0100000007	Ts'etta
280c060035	Zı şok'le eyhen, Allahne Xaaler Doyukana inyaa vor.
280c070089	Şok'le «Zas q'urban deş, rəhı'm vukkan» cuvab hucoo eyhen ıxhay atsts'axhanxhiy, şu taxsir deşinbışilqa bınah qaa'as deşdiy.
280c080033	İnsanna Dix, Zı Şabbatne yiğınar Xərna vorna.
280c090020	I'sa mançe sinagogeeqa qarayle.
280c0a00c7	Maa'arır xıl qeqquna sa insan eyxhe. Fariseyaaşe I'salqa taxsir qaa'asın kar t'abal ha'a ıxhayke, manbışe Mang'uke qiyghanan: – Nya'a, Q'aanunun Şabbatne yiğıl yug qaa'as havaysaranbıne?
280c0b00b1	I'see manbışis inəxdun alidghıniy qele: – Vuşde neng'ukamecab sa vəq'ə vuxheene, vucub Şabbatne yiğıl g'uyeeqa g'a'aybxheene, nya'a, şu mana mançe alqaahas dişde?
280c0c0067	İnsan vəq'əyle nimeexheyir gıranra vor! Mançil-allab Şabbatne yiğıl yugvalla haa'as havaysarna.
280c0d0083	Mançile qiyğa Mang'vee ık'arang'uk'le eyhen: – Xıl hotke! Mang'veeyid xıl hotkumee, xıl yug qexhe, mansa xıl xhinne qexhe.
280c0e004d	Fariseyar sinagogeençe qığeepç'ı, I'saykın nəxüdne ha'asva gaf haa'a.
280c0f007f	I'sayk'le man ats'axhxha mançe ayk'anna. Mang'uqab qihna geeb insanar avayk'an, Mang'vee manbışin gırgınbı yug qaa'anbı.
280c100039	I'see Cune hək'ee neng'uk'lecad eyhes ixhes deşva uvhu.
280c110051	Məxüd Rəbbine mizele yuşan ha'ane Yeşaya peyğambaree otk'unin xhinne eyxhe:
280c1200bc	«Haane Zı g'əyxı'na G'ul! Zas Mana geer ıkkan, Yizde yik'es ıkkanəxrına Mana vor. Zı Yizın Rı'h Mang'us heles. Mang'vee milletbışis qotkuyne məhkamayne hək'ee yuşan haa'as.
280c130062	Mang'vee ts'irıb haa'as deş, hı'ccatıd ha'as deş, Mang'un sesıd şahrabışee g'ayxhes deş.
280c140082	Mang'un qotkuyn məhkama ğamdexha, Mang'vee hoççunin q'amışid haq'var ha'as deş, K'ətqəs qexhen pelyted k'ətqə'əs deş.
280c15002d	Milletbışda umud Mang'une doyulqa vuxhes».
280c16009a	Mançile qiyğa I'sayne k'anyaqa cinaaşe aqqına bı'rq'ı'na, miz avquna sa insan arayle. I'see mana yug qa'ana. Mang'uk'le g'ecenıd, yuşanır ha'ana.
280c170068	Gırgın insanar mançile mattepxha sana-sang'uke qiyghanan: – Deşxhee, inane vor Davudna Dix, Masih?
280c18006f	Fariseyaaşik'le man g'ayxhı eyhen: – Mang'vee cinar, cinaaşine xərıng'une Ba'al-Zevulne gucuka qığa'a.
280c1900d2	Fariseyaaşine ək'leençe ı'lğəən I'sayk'le ats'axhxha, Mang'vee manbışik'le eyhen: – Sa ölka q'öne cigeeqa quvxhaxhee mana q'əra quvxhes, q'öne cigeeqa quvxhana şaharıb, xavıd geed aaxvas deş.
280c1a008a	Şeyt'anın şeyt'an qığayhexheene, man adğançe q'öna qıxhava eyhen vodun. Məxüdxheene, nəxübne mançina paççahiyvalla aaxvas?
280c1b008e	Zı cinar Ba'al-Zevulne gucuka qığa'axheene, manke vuşde telebabışe şavne gucukane qığa'a? Mançil-allab manbı şos haakimara vuxhes.
280c1c006a	De'eş, Zı cinar Allahne Rı'hı'ka qığa'axheene, Allahna Paççahiyvalla şolqa qabınava eyhen vodun.
280c1d00a1	Şavusse gucnane insanne xaaqa ikkeç'u, mang'un g'el-xıl idiyt'ıl sixbı ha'as əxəyee? Məxrıng'un ts'etta g'el-xıl ayt'alas ıkkan, qiyğad sixbı ha'as.
280c1e0050	Yizın sura ıqdyaqqına, Zaka parxaçra vor, Zaka sidya'ang'veeyid dağa'anxhe.
280c1f00a5	Mançil-allad Zı şok'le eyhen, insanaaşine gırgıne bınahbışileyiy kufurıle ılyheepç'esınbı, saccu Allahne Rı'hı's hı'iyne kufurıle ılyhıdeepç'es.
280c2000ba	Şavaayiy İnsanne Dixek'le cuvab uvhu mang'une bınahıle ılyheepç'esınbı, Muq'addas Rı'hı'k'le cuvab uvhuyng'unemee bınahıle ine dyunyeylib şene dyunyeylib ılyheepç'es deş.
280c2100b9	Yivek'le yugnava eyhexhee, mançine şagavık'led yugnava eyhe. De'eş, yivek'le qüvçunava eyhexhee, mançine şagavık'led qüvçunava eyhe. Yiv çine şagavıkexhe vaats'a vooxhena.
280c22006f	Xoçebışda nasıl, şu pisınbınang'a, vuşde ghalyaqa yugun qayleyee? İnsanne yik'eedın mizelyxhe eyxhen.
280c23007d	Yugne insanee yugvaline xazineençe yugun karbıxhe qığa'anbı, pisıng'veeyid pisde xazineençe pisınbıxhe qığa'anbı.
280c240067	Zı şok'le eyhen, Q'iyaamatne yiğıl nişil-alla qadiy uvhuyne cuvabıl-alla, insanaaşe cuvab qeles.
280c250076	Ghaleençe qığeç'uyne sa cuvabıl-alla vak'le qorkunavad eyhesın, menne cuvabıl-alla valqa taxsirıd gixhxhesın!
280c26006f	Manke Q'aanunne mə'əllimaaşeyiy fariseyaaşe I'sayk'le eyhen: – Mə'əllim, şas Ğu əlaamat hagu ıkkan.
280c2700d5	I'see manbışis inəxdun alidghıniy qele: – Allahne yəqqı'le qıkk'epç'iyne, ine gahıne pisde insanaaşe əlaamat t'abal ha'a. Manbışis Yunus peyğambarne əlaamatıle ğayrı nencad əlaamat heles deş.
280c2800bc	Nəxüriy Yunus peyğambar xhebılle yiğnayiy xheyible xəmna xənne baluğne vuxhne axu, həməxürur İnsanna Dix, Zı xhebılle yiğnayiy xheyible xəmna ç'iyene k'oralybışee axvas.
280c2900fa	Ninevayne milletın Yunus peyğambarne cuvabıl k'ırı alixhxhıva, bınahbışike xıl ts'ıts'av'uva, Allahne yəqqı'lqa satk'ılva, Q'iyaamatne yiğıl manbı oza qeepxha mane insanaaşilqa taxsir gixhxhes. Həşdemee inyaa Yunusuler Xərna vor.
280c2a00e0	Canubne kraliçeeyid dyunyeyne şene q'omançe arı Sıleymanne k'orane ək'elil k'ırı alixhxhıva, məng'eeyid Q'iyaamatne yiğıl oza qiyxha mane insanaaşilqa taxsir gixhxhes. Həşdemee inyaa Sıleymanıler Xərna vor.
280c2b0094	Cin insanne adğançe qığeç'uyle qiyğa xhyanbı deşde cigabışee iliyk'ar axva, çisın manzil haa'asın ciga t'abal ha'a, yicıd iveeke deş.
280c2c0099	Mane gahıl mançin eyhen: «Zı dorala, qığeç'uynecar xaaqa sak'alas». Mane xaaqa sak'ımee, mançik'le xav qatxhu, vuşucar dena, məttıda g'aces.
280c2d00ea	Manke man atk'ın çikasana yighılle çiled pisın cinar qott'ul qales. Manbıd maqa adı, maayıd axvasınbı. Məxrune insanıs qiyğa ıxhayn, ts'etta ıxhaynçile pisda qales. İne gahıne pisde insanaaşine vuk'lelqad man qales.
280c2e006f	I'sa cəmə'ətıka yuşan ha'amee, Mang'una yediy Mang'un çocar Mang'uka yuşan haa'asva abı, g'ab ulyoozar.
280c2f006b	Şavaamee Mang'uk'le eyhen: – Yiğna yediy Yiğın çocar g'abıb ulyobzur, Vakavub yuşan haa'as vukkan.
280c300057	I'see mane insanıs inəxdun alidghıniy qele: – Yizda yediy Yizın çocar vuşbıne?
280c310055	Mang'vee xıleka Cun telebabı haagu eyhen: – Yizda yedir, Yizın çocar inbı vob.
280c320065	Şavaayiy Yizde Xəybışeene Dekkıs ıkkanan ha'a, manar Yizda çoc, Yizda yiçu, Yizda yed yeexhe.
280d01003e	I'sa manecar yiğıl xaançe qığeç'u, golyune k'ane giy'ar.
280d02006c	Mang'une hiqiy-alla manimeen millet sadıva Mana ark'ın lotk'ee giy'ar, milletmee deryahne mıglekcad axva.
280d03006e	I'see manbışis misaalabı ts'ıts'a-ts'ıts'a'a geed kar yuşan ha'a: – Sa insan toxum oozasva qığeç'e.
280d04007c	Mang'vee toxum oozamee, toxumen sabarabı yəqqı'ne mıgleqqa g'a'adak'va. Maqad şit'yar aletxu qadı, manbı oyxhananbı.
280d050086	Mane toxumın sabarabıd g'a'adak'vanbı nyaq'v k'ılybanane g'ayenane cigeeqa. Nyaq'v maa'ab k'ılybava, manbı zaradacad aleylenbı.
280d060034	Verığ üvxümeeyib kokbı deşva manbı qeqvanbı.
280d07007e	Mançike sassabıd ğı'ç'iybışeeqa g'a'adak'va. Ğı'ç'iyid axtı qıxha, manbı çik avud g'alya'a, aleyles haysar deş.
280d0800b4	Yugne cigeeqa g'a'atk'uyne toxumbışemee yugun şagav hele. Mançine sassançin vəş nəqqees, sassançin yixhts'al, sassançinıd xhebts'al nəqqees ezuynçile geed şagav hele.
280d090027	K'ırıbınang'vee k'ırı alixhxhecen!
280d0a0053	Telebabı I'saysqa qeepxha qiyghanan: – Nişil-allane cos misaalabı ts'ıts'a'a?
280d0b0098	Mang'vee manbışis inəxdun alidghıniy qele: – Şos Xəybışeene Paççahiyvaleene dyugulene karbışin ats'axhxhay huvu, şenbışismee huvu deş.
280d0c009c	Şavuqayiy vod, məxrıng'us sık'ıldad geed heles, məxrıng'uqa gırgın hexxaalika ixhes. Şavuqayiy deş, məxrıng'une xılençe vodunıd g'ayşesın.
280d0d00b5	Zı misaalabı ts'ıts'aa'a-ts'ıts'aa'a mançil-alla manbışika yuşan ha'a, manbışik'le ilyaakamee g'ece deş, k'ırı iliyxhemeeyid g'iyxhe deş, manbışilqa hiyxharıd deş.
280d0e00c6	Məxüd Allahne mizele yuşan ha'ane Yeşaya peyğambaree otk'unin xhinne eyxhe: «G'ayxhiylette g'ayxhesın, şolqamee yic hixharas deş, İlyaakıylette ilyaakasınbı, şok'lemee yic g'aces deş.
280d0f00fb	İne milletın yik'bı g'ayelqa sak'ı, K'ırıbışik'led dağamda g'iyxhe, Manbışe uleppı gyatxıynbı, Uleppışik'led g'ımececenva, K'ırıbışik'led g'imiyxhecenva, Yik'bışik'led haymexhecenva, Zalqab siviyk'al deş, Zı co yug qeecenva».
280d100053	Şu nimee baxtivarariy, vuşde uleppışik'led, k'ırıbışik'led g'ece-g'iyxheva!
280d1100f0	Zı şok'le hək'en eyhe, peyğambaraaşine g'ellesınbışik'led, qopk'une insanaaşik'led, şok'le g'ecenbı g'acu ıkkaniy, g'acesme manbışik'le əxı' deş, şok'le g'iyxhenıd manbışik'le g'ayxhes ıkkaniy, g'ayxhesıd əxı' deş.
280d120053	Həşde şu k'ırı alixhxhe mane ezang'une misaalayka hucooyiy eyhes ıkkiykınva.
280d1300bc	Şavuk'leyiy Xəybışeene Paççahiyvaline hək'ee eyhen g'ayxhı, mang'ulqa man hidiyxhar, mang'une yik'eeqa ezuyn şeyt'anın qöqən. Yəqqı'ne mıgleqqa g'a'aypxhına toxum mana vob.
280d140065	G'ayenane cigeeqa g'a'aypxhınamee, eyhen g'ayxhı, şadvalin zarada «Ho'ova» eyhene insanık akar.
280d1500a2	Məxrı'ng'uqa kok deşva mana sık'ınna gahna axva. Dağamın yiğbı qadımee, Allahne cuvabıl-alla mang'uqa qihna gyapk'ımee, mana yəqqı'le qığeç'esda.
280d1600c3	Ğı'ç'eeqa g'a'aypxhınamee, eyhen g'iyxhene, yiğısiysın işbı ha'ava, var-devletın hoyt'alva, man g'ayxhiyn cuvab cune adcad gek'ane insanık akar. Mançil-allad toxumen şagav hele deş.
280d1700db	Yugne cigeeqa g'a'aypxhınamee, eyhen g'iyxhene, vuk'leeqa k'yadaççene insanık akar. Məxrıng'vee sassa yəqqees vəş, sassa yəqqees yixhts'al, sassa yəqqeesıd xhebts'al nəqqees ezuynçile geed şagavxhe helen.
280d18008f	I'see manbışis sa mebna misaala ts'ıts'aa'a: – Xəybışda Paççahiyvalla nişikne akar? Haane, insanee cune çoleeqa yugna toxum üvxü.
280d190053	İnsanar g'alyapk'ıyng'a mane insanna duşman arı, sukeeqa xarvak' oozu ayk'anna.
280d1a0031	Suk ələə gibğılmee xarvak' g'ooce giviyğal.
280d1b0086	Nukarar xaane iyesiysqa qabı eyhen: «Yişda xərna, nya'a ğu çoleeqa yugna toxum dişde üvxü? İna xarvak' nençeniyxan vuxha?»
280d1c0087	Mang'vee nukaraaşik'le eyhen: «Man duşmanee hı'ı». Nukaraaşe mang'uke qiyghanan: «Vas ıkkanxhee, şi hapk'ın mana ulyoodas?»
280d1d004f	İyesee eyhen: «De'eş, şu xarvak' ulqodamee, sayıb g'idevcu sukcab ulyooda.
280d1e00d0	Hasre qiyşalasmee manbı sacigeecad aleeylecen. Qiyşalne gahıl, zı qiyşalanbışik'le ts'etta xarvak' sav'u, gyoxhxhan haa'asın xhinnen bafabı he'eva eyhes. Qiyğab suk yizde anbareeqa üvxeva eyhes».
280d1f0092	I'see manbışis sa mebnab misaala ts'ıts'aa'a: – Xəybışda Paççahiyvalla nişikne akar? Sa insanee cune çoleeqa xardalna toxum üvxiyxə.
280d2000d9	Xardalna toxum gırgıne toxumbışda nekke k'ınna vuxheeyib, mana alyabımee dirigee ələəne alabışde nekke axtınçilqa siviyk'al. Mançike xəə ileedaxvane şit'yaaşe akvaabı ha'asda xhinnena sa yiv vooxhe.
280d2100ec	I'see manbışis sa mebnab misaala ts'ıts'aa'a: – Xəybışda Paççahiyvalla nişikne akar? Sa zəiyfee xamırılqa acıxamır ilekka. Məng'ee, man alyaat'u xhebne vexhxheene urveeqa alikkı'ı, bıkırda aleylesmee g'alyadaççen.
280d220085	I'see man gırgın misaalabı ts'ıts'a'a-ts'ıts'a'a eyhe ıxha, Mang'vee milletıs misaala ts'ıts'dyav'u vuççud eyhe ıxha deş.
280d2300a2	Məxüd peyğambaree otk'unin xhinne eyxhe: «Zı ghal misaalabı ts'ıts'a'asva aaqas, Dyunye itxhıniyle inyaqa Dyugulenda axuyn karbı Zı şos yuşan ha'as».
280d24009b	I'sa milletıke curxha, xaaqa ikkeç'e. Mang'un telebabı Mang'usqa qabı eyhen: – Çolee alyabıyne xarvak'na misaala hucoo eyheniyva şas yuşan hee'e.
280d250056	I'see manbışis inəxdun alidghıniy qele: – Yugna toxum oozana İnsanna Dix vorna.
280d26005f	Çolud dyunye vod. Yugun toxumbıd Paççahiyvalin uşaxar. Xarvak'ıb şeyt'anın uşaxar vob.
280d270075	Xarvak' oozuna duşmanır, iblis vorna. Qiviyşalna gahıb dyunyeyn axır vodun, qiviyşalanbıb malaaikar vobınbı.
280d280050	Xarvak' ulyoodu gyooxhan haa'an xhinne, məxüd dyunyeyn axır qadıyng'a ixhes.
280d29009c	İnsanne Dixee Cun malaaikar g'axuvles, mançinıd pisde yəqqı'lqa ts'ıts'aa'an karbıyiy pisvalla ha'an gırgınbı Mang'une Paççahiyvaleençe saa'as.
280d2a0069	Manbı geşşuybıyiy ık'arıke silibı sana-sançil qadaxan ses qööne gyopxhanne peşteeqa dağaa'as.
280d2b0082	Qopkuynbımee mane gahıl cone Dekkıne Paççahiyvalee verığ xhinne hits'aaghar vuxhes. K'ırıbınang'vee k'ırı alixhxhecen!
280d2c00d3	– Xəybışda Paççahiyvalla nişikne akar? Sa insanık'le dyugulyav'una xaziyna aveykı, mana meeb dyugul haa'ana. Qiyğa man çol alişşes əxecenva, şadra ayk'anna cuqa vodun gırgıncad kar massa heles.
280d2d005e	Xəybışda Paççahiyvalla nişikne akar? Haane, sa taaciree micagın mirvaribı t'abal ha'a.
280d2e0085	Mang'uk'le geeb gıranna mirvari aveykımee, mana sa mirvari alivşes vəəxecenva, ayk'anna cuqa vodunmeen gırgın kar massa heles.
280d2f0078	Sayib Xəybışda Paççahiyvalla nişikne akar? İnsanaaşe deryaheeqa tor ayhe, maqa curayn-curayn baluğar gyadak'va.
280d300090	Tor gyatsts'ımee, man hadğu deryaheençe qığayhen. Qiyğab gyuv'ur yugun baluğar g'əyxı' ç'emç'ebışeeqa sa'a, pisınbıd dağa'anbı.
280d31006b	Dyunyeyn axır hitxhıring'ad həməxüd ixhes. Malaaikar adı pisınbı qopkuynbışde əreençe g'əvxü,
280d320069	manbı geşşuybıyiy ık'arıke silibı sana-sançil qadaxan ses qööne gyopxhanne peşteeqa dağaa'as.
280d330063	I'see manbışike «İn eyhen gırgın şolqa hitxhırinneva?» qiyghan. Manbışe «Ho'ova» eyhe.
280d3400be	I'see manbışik'le eyhen: – Xəybışeene Paççahiyvaline hək'ee uvhuyn hitxhırna Q'aanunna mə'əllim, mançil-allar xaazineençe ts'edıniy yisseyn qığayhene xaane iyeseeşik akar.
280d350034	I'see man misaalabıd ts'ıts'ı'ı mançe ayk'anna.
280d3600e8	Mana Cune şahareeqa sark'ıl, maane sinagogee cəmə'ət xət qa'a giyğal. Cəmə'ət mançile mattıxha eyhen: – Nençeniyxan Mane İnsanıqa manimeena k'orana ək'el vuxha? Nəxüdniyxan Mang'usse man əlaamatbı hagvas əxə?
280d370080	İna ustadna Dix dişee? Mang'une yedinıd do Mayram dişde vod? Nya'a Yaaq'ub, Yusuf, Şimon, Yahuda Mang'un çocar dişde vob?
280d380069	Nya'a Mang'un gırgın yiçubı inçeğana dişde vooxhe? Nençeniyxan Mane İnsanıs man gırgın ıxha?
280d39009e	Manbışe I'salqa inyam ha'a deş. I'seemee manbışik'le eyhen: – Peyğambarıs Cune vatanıleyiy Cune xaale ğayrı gırgınəəng'ə hı'rmat giviyxhena.
280d3a0045	Manbışe inyam hidya'ava, Mang'veed maa geed əlaamatbı hagva deş.
280e010057	Mane gahıl I'sayne hək'eedın xabarbı Galileyayne xərıng'uk'le Hiroduk'le g'iyxhe.
280e0200b4	Mang'vee cune nukaraaşik'le eyhen: – Mana xhineeqa k'yooq'ana Yəhye vorna. Mana hapt'ıynbışde əreençe üç'ür qı'ı qarıva, Mang'usse məxdın əlaamatbı hagvas əxə.
280e030093	Hirodee vucee ögeecar dişdiy, çocune Filipne xhunaşşeyne Hirodiadaynemee, Yəhye aqqı'ı g'elybı-xıleppı ayt'ıl, zindaneeqaniy dağerçu.
280e04004f	Nya'askanniy Yəhyee Hiroduk'le uvhuva: «Vas Hirodiada hee'es yixhes deşva».
280e050085	Hirodus Yəhye gik'as ıkkiykıneeyir, mana cəmə'ətıle qəyq'ənnaniy. Cəmə'ətıd Yəhyeyqa peyğambarıqa xhinneniy ilyakkan.
280e060082	Hirodın yedike ıxhayn yiğnang'a, Hirodiadayna yiş yı'q'neeqa qığeyç'u mang'usva mık' haa'a. Man Hirodne yik'eençe eyxhe.
280e070037	Mang'vee k'ın g'iysar, içee cuke heqqıyn helesınva.
280e08005e	İçeeyid yedee xət qı'iyn eyhe: – Zas xhineeqa k'yooq'ane Yəhyeyna vuk'ul sinee qavaale.
280e09007f	Man g'ayxhı paççahın yik' sacurayıd qe'eene, mang'vee mihmanaaşinee ögee k'ın g'assırva içee heqqiyn «Alleva» eyhe.
280e0a0043	Mang'vee zindaneeqa insan g'axuvu Yəhyeyna vuk'ul gyapxas ulyooka.
280e0b004d	Mang'una vuk'ul gyapxı sineeab içiys abayle. İçeeyib mana yedis vukkekka.
280e0c006a	Yəhyeyne telebabışe abı mang'un candak alyaat'u, k'eyxhan. Qiyğab mançina xabar ana I'saysqa abayle.
280e0d00a8	Man g'ayxhı, I'sa lotk'eeqa gyu'ur vuşucar deşde sa cigeeqa ayk'an. Şaharbışeene insanaaşik'le Mana nyaqa ark'ıniy ats'axhxha, Mang'uqab qihna iviykar avayk'an.
280e0e0090	I'sa lotk'eençe giç'uyng'a, Mang'uk'le maqa sadıynmeen millet g'acu, manbışis rəhı'm qavayle. Mang'vee maabın vuk'aranbı yug qaa'anbı.
280e0f00c0	Exha qexhemee, I'sayn telebabı Mang'usqa qeepxha eyhen: – İnyaa hiqiy-alla vuççud deşin. Gecdad vod. Millet g'aykke hapk'ın hiqiy-allane xivaaşeençe cosun oxhanasın kar alişşecen.
280e100056	I'seemee manbışik'le eyhen: – Imaak'ancen manbı. Manbışisın otxhuniy şu hele.
280e11006a	Telebabışe I'sayk'le eyhen: – İnyaa şaqa xhone gıneyleyiy q'öne baluğule ğayrı vuççud deşin.
280e120028	I'see «Şoqa vodun Zasqa qaleva» eyhe.
280e1300e2	Milletık'led «Şunab ok'ul gyuvreva» eyhe. I'see Vuce xhoble gıneyiy q'ölle baluğ aqqı, xəəqə ilyakkı, Allahıs şukur haa'a. Qiyğad man gıney hatq'ur telebabışisqa qele, telebabışed man milletıs bit'al ha'a.
280e140071	Gırgınbı otxhun avts'uyle qiyğa, yıts'ıq'vəbleb xəbna gyavts'una ç'emç'e hexxada axuyne gıneyna saa'a.
280e15005c	Uşaxariy yedar qı'dəbəqəxhee, man otxhuniy xhone aazırılqa ılqəəne insanee otxhun.
280e160086	I'see mankecab Cun telebabı ulyookanbı lotk'eeqa gyuv'ur şene aq'valqa ılğeepç'es. Vucur, insanar mançe əlyhəəsmee maa axva.
280e17005e	I'sa cəmə'ət atk'ıniyle qiyğa, Vuccar axumee, exheeqana düə haa'asva suvalqa ılqeç'e.
280e180084	Mane gahılqasse lotk'a mane cigayke əq'əna qıxha eyxhe. Manbışde suralqa mıts aa'ava, lotk'ayle k'enad mırtar qiyxhar ıxha.
280e190044	Miç'eed qıxhesse, I'sa goleene xhinel iykar, manbışisqa qarayle.
280e1a0073	Telebabışik'le Mana xhinel oo iykar g'acu, qəvəyq'ənanbı. Manbı qəpq'ı'n ts'irbı ha'a: – Man rı'hı'd!
280e1b006a	Mankecar I'sa manbışika yuşan ha'a giyğal. Mang'vee manbışik'le: «Qı'məəq'ən, Zı vorva» eyhe.
280e1c0075	Pyoturee Mang'us inəxdun cuvab qele: – Yizda Xərna, Mana Ğuxheene, zak'le xhinel oo iykar Vasqa «Qorava» eyhe.
280e1d0059	I'see «Qorava» eyhe. Pyoturur lotk'eençe qığeç'u xhinel oo iykar I'saysqana ayk'an.
280e1e0090	Mıts it'umba aa'a g'avcu, mana qərq'ı'niyvalin xhinek avqa əə giyğal. Manke «Yizda Xərna, zı g'attixhan he'eva!» mang'vee ts'ir haa'a.
280e1f008a	I'see mankecad xıl hotku mana aqqaqqana. I'see mang'uk'le eyhen: – K'ılda inyamnana, nya'a ğu ək'leeqa əxəsee-dəxəseeva qali'ı?
280e200034	Manbı lotk'eeqa ılqeepç'ımee mıts k'ıl qooxhe.
280e210050	Lotk'eebınbışe «Ğu hək'erar Allahna Dixırva» uvhu Mang'us k'yoozaranbı.
280e220050	I'sayiy Cun telebabı golyune şene aq'valqa, Genisaretne suralqa ılğeebaç'e.
280e230086	Maa vooxhene insanaaşik'le I'sa qıvaats'ı, hiqiy-alla Mana arıva ses adaççe. İnsanaaşeb gırgın vuk'aranbı Mang'usqa abayle.
280e2400b9	Vuk'aranbışe I'salqa miz k'yaa'a: – Hucoone ixhes, Yiğne tanalinçine baağık xheeyib şi soot'as havaasre. Mang'une tanalinçine baağık soot'uyn gırgınbı yug qeebaxhe vuxha.
280f010056	Mane gahıl I'saysqa İyerusalimğançe fariseyariy Q'aanunun mə'əllimar abı eyhen:
280f02007b	– Nya'a Yiğne telebabışe yişde baba-dideeşe uvhiyn hidya'a? Nya'a manbışe gıney otxhanang'a xıleppı hudyoyğal?
280f030066	I'see manbışik'le eyhen: – Nya'a şu manke baba-dideeşin ədatbı ha'ava, Allahee uvhiyn hidya'a?
280f04007a	Nya'a Allahee dişde uvhu: «Dekkısiy yedis hı'rmat gyuvxhe», «Şavaayiy dekkıqayiy yediqa hoku, məxrına gik'eva»?
280f050051	Şumee eyhen: sa insanee «Dekkiy yed, zı şos helesın Allahıs huvuva» uvhee,
280f060089	məxring'vee dekkısiy yedis hı'rmat givdiyxheeyib vooxhe. Şu məxüd hı'iyka Allahne Cuvabıle heepxı, baba-dideeşin ədatbı ha'a.
280f070083	Ay q'öbvalla haa'anbı! Nimee yugda dişee Rəbbine mizele yuşan ha'ane Yeşaya peyğambaree şuna xhinnenbışde hək'ee otk'un:
280f080054	«Mane milletın Zas ghalikacab hı'rmat giviyxhe, Manbışin yik'bı Zaka deş vod.
280f090082	Manbışin Yizde ögiyl k'yobzuriy nişiscad karaı'dəən kar vod, Co xət qa'anıd, insanaaşe cokecad qığavhuyn karbı vod».
280f0a0050	I'see millet Cusqa sı'ı eyhen: – Yugda k'ırı alixhxhe, vuk'leeqa k'eççe.
280f0b005e	İnsan ghalyaqa ıkkekançin deş əq'əə'ə, mang'une ghaleençe qı'ğəənçe əq'əə'ə.
280f0c006a	Mane gahıl Mang'usqa telebabı qeepxha eyhen: – Vak'le ats'anne, Ğu eyhenbı fariseyaaşik set'uynbı.
280f0d0062	I'see manbışik'le eyhen: – Yizde Xəybışeene Dekkee idezuyn kar kokeençe g'ı'ttitğəsın.
280f0e009f	Manbı coleb-alqa g'alee'e, manbışe cok akaran bı'rq'ı'nbıcab hoot'al. Bı'rq'ı'ng'vee bı'rq'ı'na hoytalxhee, manke q'öyursana xandak'eeqa g'a'apk'as.
280f0f0043	Pyoturee Mang'uk'le «Mana misaala şas yugba yuşan he'eva» eyhe.
280f100032	I'see eyhen: – Vuşded vuk'leeqa k'iç'u dişde?
280f110070	Nya'a vuşde vuk'leeqa k'idəə, ghalyaqa ıkkiyn gırgın vuxhneqa ayk'anva, mançile qiyğa qığeç'e ıxhay?
280f120058	Ghaleençe qı'ğəən cuvab, yik'eençexhe qaylen, mançinıb insanar əvq'əə'ənbı.
280f13007b	Pisın fıkırbı, gyapt'iy, zina, sixbı, horbışika aq'val aqqiy, qəlasın uvhiy gırgın man kar insanne yik'ee eyxhe.
280f140071	İnsan əq'ə'ən karbı manbı vod. Hidyodğılne xıleppışika insanee kar otxhunva mana əq'ən kar deş vod.
280f150035	I'sa mançer Suriy Sidon eyhene cigabışeeqa ayk'an.
280f1600f1	Maa'ar Mang'usqa mane cigabışee yeexhena, kana'anbışda sa xhunaşşe ts'ir haa'a qeexhe. Məng'ee Mang'uk'le eyhe ıxha: – Yizda Xərna, Davudna Dix, zalqa rəhı'm hee'e! Yizda yiş cinaaşe ayqı, məng'ee geeb əq'üba ts'ıts'aa'a!
280f17009c	I'see məng'ı's cuvabcad qele deş. Manke Man'gusqa telebabı qeepxha «Hucoone ixhes, g'aykke mana, deşxhee mana şaqar qihna ts'ir haa'a qööva» eyhe.
280f180063	I'see zəiyfayk'le eyhen: – Zı saccu İzrailyne aguyn vəq'əbı xhinnene insanaaşisqa g'axuvu.
280f19004c	Zəiyfa Mang'usqana qiyxha, kyorzul eyhen: – Yizda Xərna, zas kumag he'e!
280f1a0067	I'see məng'ı'k'le eyhen: – Uşaxaaşine xılençe gıney g'ayşu, xvaabışis k'eçvee yugda dexhe.
280f1b0080	Zəiyfee eyhen: – Ho'o, yizda Xərna, Ğu qotkuda eyhe! Xvaabışemee, iyeseeşine sufranıle g'a'atk'uyn xüvəbıxhe oyxhan.
280f1c0097	Məng'ı'ne mane cuvabıs I'see eyhen: – Ay zəiyfa! Vaqa xədın inyamıd, hasre vas ıkkanəxüd ixhecen. Məng'ı'na yişir mankecar yug qeexhena.
280f1d0076	I'sa mançe qığeç'u, Galileyayne golyune mıglekğançe ılğeç'u, maane suvabışde sançilqa ılqeç'u giy'arna.
280f1e00e1	Mang'usqa maqa geeb insanar sabayle. Maqa sabıynbışiqa k'aanbı, bı'rq'ı'nbı, quç'opkuriynbı, yuşan haa'as dəəxənbı, geed ık'arnanbı vooxhe. Manbı I'sayne g'elybışisqa qaa'a, I'seeyib manbı yug qaa'a vuxha.
280f1f00bd	Yuşan haa'as dəəxənbı – yuşan haa'a, quç'opkuriynbı – yug qeepxha, k'aanbı – iviykar, bı'rq'ı'nbışik'le – g'ece, g'acumee, millet mattıxha İzrailyna Allah axtı qa'a.
