0100000012	يارىتىلىش
36040e0117	[جامائىتىڭنىڭ] ئاقساقاللىرى قوللىرىنى ئۇچاڭغا قويغاندا، [خۇدانىڭ] ۋەھىيىسى ئارقىلىق ساڭا ئاتا قىلىنىشى بىلەن سەندە بولغان ئىلتىپاتقا بىپەرۋالىق قىلما.
36040f00d2	بۇ ئىشلارغا بېرىلىپ، ئۆزۈڭنى ئۇلارغا تولۇق ئاتىغىن. شۇنىڭ بىلەن سېنىڭ ئالغا باسقانلىقىڭ ھەممەيلەنگە ئايان بولىدۇ.
36041000df	ئۆزۈڭگە ۋە بەرگەن تەلىمىڭگە ئىزچىل كۆڭۈل قويغىن. چۈنكى شۇنداق قىلغاندا ئۆزۈڭنىمۇ ۋە ساڭا قۇلاق سالغانلارنىمۇ قۇتقۇزىسەن.
3605010117	ياشانغان ئەرلەرنى ئەيىبلىگەندە قاتتىق سۆزلىمىگىن، بەلكى ئۇلارغا ئاتاڭ سۈپىتىدە نەسىھەت بەرگىن. شۇنىڭدەك، يىگىتلەرگە قېرىنداشلىرىڭ سۈپىتىدە سۆزلىگىن.
36050200da	ياشانغان ئاياللارغا ئاناڭ سۈپىتىدە، ياش ئاياللارغا ئاچا-سىڭىللىرىڭ سۈپىتىدە ھەر ئىشتا پاك قەلب بىلەن مۇئامىلە قىلغىن.
3605030072	ھەقىقىي تۇل ئاياللارنى ھۆرمەتلەپ، ئۇلارنىڭ ھالىدىن خەۋەر ئال.
360504016c	لېكىن، تۇل ئاياللارنىڭ پەرزەنتلىرى ياكى نەۋرىلىرى بولسا، ئۇلار ئالدى بىلەن ئۆز ئائىلىسىگە نىسبەتەن ئىخلاسمەنلىكنى ئۆگىنىپ، ئۆز ئاتا-ئانىسىنىڭ ئەجرىنى ياندۇرسۇن؛ چۈنكى بۇ ئىش خۇدانى خۇرسەن قىلىدۇ.
36050500eb	ئەمدى ھەقىقىي تۇل ئۆتۈۋاتقان، يالغۇز قالغان ئاياللار بولسا، ئۈمىدىنى خۇداغا باغلىغان بولۇپ، كېچە-كۈندۈز دۇئا-تىلاۋەتتە بولىدۇ.
360506008e	لېكىن ھۇزۇر-ھالاۋەتكە بېرىلگەن تۇل خوتۇن ھايات بولسىمۇ، ئۆلگەنگە باراۋەردۇر.
36050700d6	ئەمدى باشقىلار تەرىپىدىن ئەيىبلىنىدىغان ئەھۋالغا چۈشۈپ قالماسلىقى ئۈچۈن سەن ئۇلارغا بۇ ئىشلارنى جېكىلەپ تاپىلىغىن.
3605080101	لېكىن بىرسى ئۆز تۇغقانلىرىدىن، بولۇپمۇ ئۆز ئائىلىسىدىكىلەردىن خەۋەر ئالمىسا، ئۇ ئېتىقادتىن تانغان دەپ قارىلىپ، كاپىرلاردىن بەتتەر بولىدۇ.
36050900bb	تۇل ئايال تىزىمغا ئېلىنسا، يېشى ئاتمىشتىن تۆۋەن بولماسلىقى، بىرلا ئەرنىڭ ئايالى بولغان بولۇشى كېرەك،
36050a0218	يەنە گۈزەل ئەمەللىرى بىلەن تەرىپلەنگەن بولۇشى، بالىلىرىنى ياخشى تەربىيىلەپ چوڭ قىلغان، مۇساپىرلارغا مېھماندوستلۇق كۆرسەتكەن، مۇقەددەس بەندىلەرنىڭ پۇتلىرىنى يۇيۇپ قويغان، قىيىنچىلىقتا قالغانلارغا ياردەم قولىنى ئۇزارتقان، ئۆزىنى ھەرخىل خەير-ساخاۋەت ئىشلىرىغا بېغىشلىغانلار بولۇشى كېرەك.
36050b00fb	لېكىن ياش تۇل ئاياللارنى [تىزىملىككە] كىرگۈزمە. چۈنكى ئۇلارنىڭ ئىشق ھەۋەسلىرى قوزغىلىپ مەسىھتىن تېنىپ، قايتا نىكاھلىنىشنى ئارزۇ قىلىدۇ؛
36050c0099	شۇنىڭ بىلەن، ئۇلار دەسلەپ بەرگەن ۋەدىسىگە خىلاپلىق قىلىش سەۋەبلىك ئەيىبلىك بولىدۇ.
36050d01ae	ئۇنىڭ ئۈستىگە ئۇلار ھۇرۇنلۇقنى ئادەت قىلىۋېلىپ، ئۆيمۇ-ئۆي دوقۇرۇپ يۈرۈشنى ئۆگىنىدۇ؛ شۇنداقلا ھۇرۇن بولۇپلا قالماي، ئۇلار غەيۋەت قىلىپ، باشقىلارنىڭ ئىشلىرىغا چېپىلغاق بولۇپ نالايىق ئىشلارغا ۋالاقلايدىغانلاردىن بولۇپ قېلىشى مۇمكىن.
36050e0178	شۇنىڭ ئۈچۈن، بۇنداق ياش تۇل ئاياللارنىڭ نىكاھلىنىپ، پەرزەنت كۆرۈپ، ئۆي ئىشلىرى بىلەن شۇغۇللىنىشىنى خالايمەن. شۇنداق قىلغاندا، بىزگە قارشى تۇرغۇچىغا بىزنى ھەرقانداق ئەيىبلەپ-ھاقارەتلەش پۇرسىتى چىقمايدۇ.
36050f00a6	چۈنكى شۇنداق بەزى تۇل ئاياللار ئاللىقاچان ئېتىقادتىن تېنىپ شەيتاننىڭ كەينىگە كىرىپ كەتتى.
3605100183	ئەگەر ئېتىقادى بار بىر ئەر ياكى ئايال كىشىنىڭ تۇل قالغان تۇغقانلىرى بولسا، ئۇ ئۆزى ئۇلارغا ياردەم بەرسۇن، يۈكى جامائەتكە چۈشمىسۇن. شۇنداق بولغاندا، جامائەت ھەقىقىي ئىگە-چاقىسىز تۇل ئاياللارغا ياردەم قىلالايدۇ.
3605110123	جامائەتنى ياخشى يېتەكلەيدىغان ئاقساقاللار، بولۇپمۇ خۇدانىڭ سۆز-كالامىنى يەتكۈزۈش ۋە تەلىم بېرىشتە ئەجىر سىڭدۈرگەنلەر ئىككى ھەسسە ھۆرمەتكە سازاۋەر قىلىنسۇن.
36051200db	چۈنكى مۇقەددەس يازمىلاردا: «خامان تەپكەن ئۆكۈزنىڭ ئاغزىنى بوغما» ۋە: «مەدىكار ئۆز ھەققىنى ئېلىشقا ھەقلىقتۇر» دېيىلگەن.
36051300a0	ئىككى ياكى ئۈچ گۇۋاھچى ھازىر بولمىغۇچە، ئاقساقال ئۈستىدىن قىلىنغان ئەرزنى قوبۇل قىلما.
3605140110	ئەگەر [ئاقساقاللاردىن] بىرسى گۇناھ سادىر قىلغان بولسا، باشقىلارنىڭمۇ بۇنىڭدىن ئىبرەت ئېلىپ قورقۇشى ئۈچۈن، جامائەت ئالدىدا تەنبىھ بېرىپ ئەيىبلىگىن.
3605150174	خۇدانىڭ، مەسىھ ئەيسانىڭ ۋە خۇدا تاللىغان پەرىشتىلەرنىڭ ئالدىدا شۇنى ساڭا ئاگاھ قىلىپ تاپىلايمەنكى، سەن بۇ ئەمرلەرگە ھېچ ئايرىمىچىلىق قىلماي، ھېچقانداق ئىشتا بىر تەرەپكە يان باسماي قەتئىي ئەمەل قىلغىن.
36051600c5	بىراۋنىڭ ئۇچىسىغا قولۇڭنى قويۇشقا ئالدىراپ كەتمە؛ باشقىلارنىڭ گۇناھلىرىغا شېرىك بولما. ئۆزۈڭنى پاك تۇتقىن
36051700de	(ئاشقازىنىڭ ياخشى بولمىغانلىقى، شۇنداقلا سەن دائىم ئاغرىيدىغان بولغاچقا، سۇلا ئىچىۋەرمەي، بىرئاز شارابمۇ ئىچىپ بەرگىن).
360518011a	بەزى كىشىلەرنىڭ گۇناھلىرى بۇرۇنلا ئېنىق، شۇنداقلا سوراق كۈنىگىچە ساقلىنىدۇ؛ لېكىن بەزىلەرنىڭكى ئۇلارنىڭ كەينىدىن ئەگىشىپ بارىدۇ، كېيىن ئاشكارە بولىدۇ.
36051900fe	خۇددى شۇنىڭغا ئوخشاش، بەزى كىشىلەرنىڭ گۈزەل ئەمەللىرىنى ئاسانلا كۆرۈۋالغىلى بولىدۇ؛ ھازىر ئاشكارا بولمىسا كېيىن ئاشكارىلانماي قالمايدۇ.
360601014e	قۇللۇق بويۇنتۇرۇق ئاستىدا بولغانلارنىڭ ھەممىسى ئۆز خوجايىنلىرىنى ھەر تەرەپتە ھۆرمەتلىسۇن. شۇنداق قىلغاندا، خۇدانىڭ نامى ۋە ئۇنىڭ تەلىمىنىڭ ھاقارەتكە ئۇچرىشىدىن ساقلانغىلى بولىدۇ.
360602023a	خوجايىنلىرى ئېتىقادچى بولسا، قۇللىرى: «بىز ھەممىمىز ئوخشاشلا قېرىنداشلارغۇ» دەپ، ئۇلارغا ھۆرمەتسىزلىك قىلمىسۇن. ئەكسىچە، ئۇلارغا تېخىمۇ ئەستايىدىل خىزمەت قىلسۇن. چۈنكى ئۇلارنىڭ ياخشى خىزمىتىدىن بەھرىمەن بولىدىغانلار دەل سادىق ئېتىقادچىلار ھەم سۆيۈملۈك بەندىلەردۇر. سەن بۇ تەلىملەرنى ئۆگەتكىن ۋە جېكىلىگىن.
3606030144	ئوخشىمىغان تەلىملەرنى تەرغىب قىلغان ۋە ساغلام سۆزلەرنى (يەنى رەببىمىز ئەيسا مەسىھنىڭ ھەق سۆزلىرىنى)، شۇنداقلا ئىخلاسمەنلىككە يېتەكلەيدىغان تەلىمنى قوبۇل قىلمىغان كىشى بولسا،
3606040194	ئۇنداقلار دەۋەقە كۆرەڭلەپ كەتكەن، ھېچنېمە چۈشەنمەيدىغان كىشىلەردىندۇر. ئۇلار نىزا-مۇنازىرە پەيدا قىلىشقا ۋە گەپ تالىشىشقا ھېرىسمەن؛ بۇنداق ئىشلاردىن ھەسەتخورلۇق، جېدەل-ماجىرا، تۆھمەت، رەزىل گۇمانخورلۇق ھاسىل بولىدۇ،
3606050144	ھەمدە نىيىتى چىرىكلەشكەن، ھەقىقەتتىن مەھرۇم بولغان كىشىلەر ئارىسىدا دائىملىق سۈركىلىش كەلتۈرۈپ چىقىرىدۇ. بۇنداق كىشىلەر ئىخلاسمەنلىكنى پايدا-تاپاۋەتنىڭ بىر يولى دەپ قارايدۇ.
3606060075	دەرۋەقە، [خۇداغا] ئىخلاسمەن ۋە رازىمەن بولۇش غايەت زور پايدىدۇر.
36060700ae	چۈنكى بىز بۇ دۇنياغا ھېچنېمە ئېلىپ كەلمىدۇق، شۇنىڭدەك ئۇنىڭدىن ھېچنېمىنىمۇ ئېلىپ كېتەلمەيمىز.
360608008d	شۇڭا، يېمەك-ئىچمەك ۋە كىيىم-كېچىك يېتەرلىك بولسىلا بۇلاردىن قانائەت قىلىمىز.
360609018f	لېكىن باي بولۇشنى ئويلايدىغانلار بولسا ھامان ئازدۇرۇلۇشلارغا ئۇچراپ، تۇزاققا ۋە شۇنداقلا ئىنسانلارنى ۋەيرانچىلىققا ۋە ھالاكەتكە چۆكتۈرىدىغان نۇرغۇن ئەخمىقانە ھەم زىيانلىق ئارزۇ-ھەۋەسلەرنىڭ ئىلكىگە تېيىلىپ كېتىدۇ.
36060a0116	چۈنكى پۇلپەرەسلىك ھەرخىل رەزىللىكلەرنىڭ يىلتىزىدۇر. بەزىلەر بۇنىڭغا ئىنتىلىشى بىلەن ئېتىقادتىن چەتنەپ، ئۆزلىرىنى نۇرغۇن دەرد-قايغۇلار بىلەن سانجىدى.
36060b0136	ئەمما سەن، ئەي خۇدانىڭ ئادىمى، بۇنداق ئىشلاردىن يىراق قاچ؛ ھەققانىيلىق، ئىخلاسمەنلىك، ئىشەنچ-ئېتىقاد، مېھىر-مۇھەببەت، سەۋر-تاقەت ۋە مۆمىن-مۇلايىملىقنى ئىنتىلىپ قوغلا.
36060c015d	ئېتىقادتىكى گۈزەل كۈرەشتە كۈچەپ كۈرەش قىل. مەڭگۈلۈك ھاياتنى چىڭ تۇتقىن. سەن دەل بۇنىڭغا چاقىرىلدىڭ ھەمدە ئۇنىڭ يولىدا نۇرغۇنلىغان گۇۋاھچىلار ئالدىدا بۇ ئېتىقادنىڭ گۈزەل شاھىتلىقىنى قىلدىڭ.
36060d012a	ھەممىگە ھاياتلىق بېرىۋاتقان خۇدانىڭ ئالدىدا، شۇنداقلا پونتىئۇس پىلاتۇسقا گۈزەل شاھىتلىقنى قىلىپ گۇۋاھلىق بەرگەن مەسىھ ئەيسانىڭ ئالدىدا ساڭا شۇنى تاپىلايمەنكى،
36060e00b5	رەببىمىز ئەيسا مەسىھ قايتا ئايان بولغۇچە، [خۇدانىڭ] بۇ ئەمرىگە ھېچ قۇسۇرسىز ۋە داغسىز ئەمەل قىلغىن.
3606100264	‏ ئۇنىڭ ئايان بولۇشىنى ۋاقىت-سائىتى كەلگەندە بىردىنبىر مەڭگۈ ئۆلمىگۈچى، ئىنسان يېقىنلىشالمايدىغان نۇر ئىچىدە ياشايدىغان، ھېچكىم كۆرمىگەن ۋە كۆرەلمەيدىغان مۇبارەكلەشكە لايىق بولغان بىردىنبىر ھۆكۈمران، يەنى پادىشاھلارنىڭ پادىشاھى، رەبلەرنىڭ رەببى ئەمەلگە ئاشۇرىدۇ. ئۇنىڭغا ئىززەت-ھۆرمەت ۋە ئەبەدىلئەبەد كۈچ-قۇدرەت بولغاي، ئامىن!
3606110189	بۇ زاماندا باي بولغانلارغا مەغرۇرلانماسلىقنى، تايانغۇسىز ئۆتكۈنچى بايلىققا ئەمەس، بەلكى بىز بەھرىمەن بولۇشقا ھەممىنى بىزگە سېخىيلىق بىلەن تولۇپ تاشقان ھالدا تەمىنلىگۈچى خۇداغا تايىنىپ ئۈمىد باغلاشنى تاپىلىغىن؛
3606120122	ئۇلارغا ياخشى ئەمەللەرنى قىلىشتا [ھەقىقىي] باي بولۇڭلار، خەير-ساخاۋەتلىك ئىشلاردا مەرد، باشقىلار بىلەن ئورتاق بەھرلىنىشكە قولى ئوچۇق بولۇڭلار دەپ تاپىلىغىن.
36061300e9	ئۇلار بۇنداق قىلغاندا، ھەقىقىي ھاياتنى تۇتۇش ئۈچۈن كېلەچەكتە ئۆزلىرىگە پۇختا بىر ئاساس-ئۇل بولىدىغان بىر خەزىنە توپلىيالايدۇ.
3606140113	ئەي تىموتىي، ساڭا ئامانەت قىلىنغان [ھەقىقەتلەرنى] قوغدا. ئۆزۈڭنى ئىخلاسسىز، قۇرۇق گەپلەردىن ھەمدە ئاتالمىش ئىلىمنىڭ تالاش-تارتىشلىرىدىن نېرى تۇتقىن.
36061500c7	بەزىلەر مۇشۇنداق بىمەنە [ئىلىمگە] ئېگىمەن دەپ جاكارلاپ، ئېتىقادتىن چەتنىدى. مېھىر-شەپقەت سىلەرگە يار بولغاي!
3700000014	تىموتىيغا 2
37010101d2	مەسىھ ئەيسادا ۋەدە قىلىنغان ھاياتنى ئېلىپ بېرىش ئۈچۈن، خۇدانىڭ ئىرادىسى بىلەن ئەيسا مەسىھنىڭ روسۇلى بولغان مەنكى پاۋلۇستىن سۆيۈملۈك بالام تىموتىيغا سالام: خۇدائاتىمىزدىن ۋە رەببىمىز مەسىھ ئەيسادىن ساڭا مېھىر-شەپقەت، رەھىمدىللىق ۋە خاتىرجەملىك بولغاي!
370103012e	مەن ئاتا-بوۋىلىرىمنىڭ ئىزىنى بېسىپ ساپ ۋىجدانىم بىلەن خىزمىتىنى قىلىۋاتقان خۇداغا تەشەككۈر ئېيتىمەن، چۈنكى كېچە-كۈندۈز دۇئالىرىمدا سېنى توختاۋسىز ئەسلەپ تۇرىمەن؛
37010400cc	كۆز ياشلىرىڭنى ئەسلىگىنىمدە، شادلىققا چۆمۈشۈم ئۈچۈن سەن بىلەن يەنە دىدارلىشىشقا قاتتىق تەلپۈنۈپ يۈرمەكتىمەن؛
3701050150	چۈنكى سېنىڭدە بولغان ساختىلىقسىز ئېتىقاد ئېسىمدىن چىقمايدۇ. بۇ ئېتىقاد ئەڭ ئاۋۋال موماڭ لوئىستا، ئاندىن ئاناڭ ئەۋنىكىدە بار بولغان، ئەمدى ھازىر سەندىمۇ بار ئىكەن دەپ خاتىرجەمدۇرمەن.
3701060134	شۇنىڭ ئۈچۈن مەن شۇنى قايتىدىن ساڭا ئەسلىتىمەنكى، قوللىرىمنى ئۇچاڭغا قويۇشۇم بىلەن سەندە بولغان، [خۇدا] ساڭا تەقدىم قىلغان ئىلتىپاتنى قايتىدىن يالقۇنلىتىپ جارى قىلغىن.
37010700ef	چۈنكى خۇدا بىزگە قورقۇنچاقلىقنىڭ روھىنى ئەمەس، بەلكى بىزگە كۈچ-قۇدرەتنىڭ، مېھىر-مۇھەببەتنىڭ ۋە سالماقلىقنىڭ روھىنى تەقدىم قىلدى.
370108017e	شۇڭا رەببىمىز ھەققىدىكى خەۋەر-گۇۋاھلىقتىن، ياكى ئۇنىڭ مەھبۇسى بولغان مەندىن نومۇس قىلما. ئەكسىچە، خۇدانىڭ كۈچ-قۇدرىتى بىلەن خۇش خەۋەرنى جاكارلاش يولىدىكى خارلىق-مۇشەققەتنى ئۆز ھەسسەڭ بويىچە ئورتاق تارتقىن؛
37010901ae	خۇدا بىزنى ئۆز ئەمەللىرىمىزگە ئاساسەن ئەمەس، بەلكى ئۆز مۇددىئاسى ۋە مېھىر-شەپقىتىگە ئاساسەن قۇتقۇزۇپ، پاك-مۇقەددەس چاقىرىقى بىلەن چاقىردى؛ ئۇنىڭ بۇ مېھىر-شەپقىتى ھەممە دەۋر-زامانلاردىن ئىلگىرىلا مەسىھ ئەيسادا بىزگە بېغىشلانغاندۇر؛
37010a014b	لېكىن بۇ مېھىر-شەپقەت قۇتقۇزغۇچىمىز ئەيسا مەسىھنىڭ كېلىشى بىلەن ھازىر ئايان بولدى؛ ئۇ ئۆلۈمنى بىكار قىلىۋېتىپ، خۇش خەۋەر ئارقىلىق ھاياتلىق ۋە چىرىماسلىقنى يورۇقلۇقتا ئايان قىلدى.
37010b00a9	مەن بولسام ئەللەرگە بۇ خۇش خەۋەرنىڭ جاكارچىسى، روسۇلى ۋە تەلىم بەرگۈچىسى بولۇپ تەيىنلەنگەن.
37010c01c8	مەن شۇ سەۋەبتىن ھازىرقى بۇ خارلىق-مۇشەققەتلەرنى تارتماقتىمەن. لېكىن بۇنىڭدىن نومۇس قىلمايمەن؛ چۈنكى مەن كىمگە ئېتىقاد قىلغانلىقىمنى بىلىمەن ھەمدە ئۇنىڭ ماڭا تاپشۇرغان ئامانىتىنى شۇ كۈنگىچە ساقلىيالايدىغانلىقىغا قادىر ئىكەنلىكىگە ئىشەندۈرۈلدۇم.
37010d00f7	مەندىن ئاڭلىغان ساغلام تەلىم سۆزلىرىنىڭ نەمۇنىلىك بىر ئۈزۈندىسىنى ساقلاپ، مەسىھ ئەيسادا بولغان مۇھەببەت ۋە ئېتىقاد بىلەن چىڭ تۇتقىن؛
37010e009b	بىزدە ماكانلاشقان مۇقەددەس روھقا تايىنىپ ساڭا تاپشۇرۇلغان شۇ گۈزەل ئامانەتنى ساقلا.
37010f00fd	سەن بىلگىنىڭدەك، ئاسىيا ئۆلكىسىدىكى [ئېتىقادچىلارنىڭ] ھەممىسى [دېگۈدەك] مەندىن يۈز ئۆرىدى. ئۇلارنىڭ ئارىسىدا فىگېلۇس ۋە خېرموگېنېسمۇ بار.
3701100112	رەب ئونېسىفورنىڭ ئائىلىسىدىكىلىرىگە رەھىم-شەپقەت كۆرسەتكەي. چۈنكى ئۇ مېنىڭ مەھبۇس بولغانلىقىمدىن ھېچ نومۇس قىلماي كۆپ قېتىم مېنى يوقلاپ سۆيۈندۈردى.
3701110078	ئۇ رىم شەھىرىگە كەلگىنىدە مېنى تاپقۇچە كۆپ ئىزدەپ ئاۋارە بولۇپتۇ.
3701120113	رەب شۇ كۈنىدە ئۇنى ئۆزىدىن رەھىم-شەپقەتكە مۇيەسسەر قىلغاي؛ ئۇنىڭ ئەفەسۇس شەھىرىدە ماڭا كۆرسەتكەن خىزمەتلىرىنىڭ قانچىلىك ئىكەنلىكىنى ئوبدان بىلىسەن.
370201008d	شۇڭا ئەي ئوغلۇم، سەن مەسىھ ئەيسادا بولغان مېھىر-شەپقەتكە تايىنىپ كۈچلۈك بول؛
37020200f6	ۋە سەن كۆپ گۇۋاھچىلار ئالدىدا مەندىن ئاڭلىغانلىرىڭنى ھەم ئىشەنچلىك ھەمدە باشقىلارغىمۇ تەلىم بېرەلەيدىغان ئادەملەرگە ئامانەت قىلغىن.
37020300b3	ئەيسا مەسىھنىڭ ياخشى جەڭچىسى بولۇش سۈپىتىدە، خارلىق-مۇشەققەتنى ئۆز ھەسسەڭ بويىچە ئورتاق تارتقىن.
37020400ff	جەڭچى بولغان كىشى ئۆزىنى ئەسكەرلىككە تىزىملىغان سەردارىنى رازى قىلىش ئۈچۈن ئادەتتىكى تۇرمۇش ئىشلىرىنى ئۆزىگە ھەلەك قىلىۋالماسلىقى كېرەك.
37020500c0	مۇسابىقىگە قاتناشقان تەنھەرىكەتچىمۇ مۇسابىقە قائىدىلىرىگە رىئايە قىلمىسا، غەلىبە تاجىغا ئېرىشەلمەيدۇ.
370206008d	ئەجىر سىڭدۈرگەن دېھقان ھوسۇلىدىن بىرىنچى بولۇپ بەھرىمەن بولۇشى تېگىشلىكتۇر.
370207008a	بۇ سۆزلىرىم ئۈستىدە ياخشى ئويلا، شۇنىڭ بىلەن رەب ساڭا ھەممە ئىشتا يورۇتىدۇ.
37020800cc	سەن داۋۇتنىڭ نەسلى بولغان، ئۆلۈمدىن تىرىلگەن ئەيسا مەسىھنى مەن يەتكۈزۈۋاتقان خۇش خەۋەر بويىچە ئېسىڭدە چىڭ تۇت.
3702090102	بۇ خۇش خەۋەرنى دەپ كۆپ خارلىق-مۇشەققەت چېكىپ، ھەتتا جىنايەتچى ھېسابلىنىپ كىشەنلىنىپ ياتىمەن. ھالبۇكى، خۇدانىڭ سۆز-كالامى ھېچ كىشەنلەنمەيدۇ!
37020a011c	ئەمدى مەن دەل شۇ سەۋەبتىن، [خۇدا] تاللىغان بەندىلەرنىڭ مەسىھ ئەيسادا بولغان نىجاتقا مەڭگۈلۈك شان-شەرەپ بىلەن ئېرىشىشى ئۈچۈن ھەممە ئىشقا بەرداشلىق بېرىمەن.
37020b00c5	تۆۋەندىكى بۇ سۆزلەر ئىشەنچلىكتۇر: ــ «ئۇنىڭ بىلەن بىللە ئۆلگەنىكەنمىز، ئۇنىڭ بىلەن ھاياتتا بىللە ياشايمىز.
37020c00c7	قىيىنچىلىقلارغا بەرداشلىق بەرسەك، ئۇنىڭ بىلەن بىللە ھۆكۈم سۈرىمىز. بىز ئۇنىڭدىن تانساق، ئۇمۇ بىزدىن تانىدۇ.
37020d00b0	بىز ئۇنىڭغا ساداقەتسىزلىك قىلساقمۇ، ئۇ يەنىلا ساداقەتلىكتۇر؛ چۈنكى ئۇ ئۆزىدىن ھېچ تانالمايدۇ».
37020e01d2	بۇ ئىشلارنى داۋاملىق [قېرىنداشلارنىڭ] سەمىگە سېلىپ، ئۇلارنى رەب ئالدىدا بىمەنە سۆزلەر ئۈستىدە تالاش-تارتىش قىلماسلىقنى ئەستايدىللىق بىلەن ئاگاھلاندۇرغىن. بۇنداق تالاش-تارتىشلارنىڭ ھېچقانداق پايدىسى بولمايلا قالماي، بەلكى ئاڭلىغۇچىلارنى نابۇت قىلىدۇ.
37020f0165	ئۇستا تىكىمچى رەختنى توغرا پىچقاندەك ھەقىقەت سۆزىنى دۇرۇس چۈشەندۈرۈپ، ئۆزۈڭنى خۇدا ئالدىدا تەستىقلانغۇدەك، يەرگە قاراپ قالمايدىغان ماھىر بىر خىزمەتكار قىلىپ كۆرسىتىشكە ئىنتىلىپ كۆڭۈل قويغىن؛
37021000d8	لېكىن ئىپلاس، قۇرۇق گەپلەردىن نېرى تۇر. چۈنكى بۇنداق گەپلەرنى قىلغۇچىلار بەرىبىر تېخىمۇ ئىخلاسسىزلىققا چۆمۈپ كېتىدۇ.
37021100e4	مۇشۇنداقلارنىڭ گەپلىرى خۇددى مەرەزدەك تېزلا يامراپ كېتىدۇ. خىمېنېيۇس ۋە فىلېتوسلار مانا شۇنداقلارنىڭ ئىچىدىكى ئىككىسىدۇر؛
37021200fd	ئۇلار ھەقىقەتتىن چەتنەپ، ئۆلگەنلەرنىڭ تىرىلىشى دېگەن بۇ ئىش ئاللىقاچان يۈز بېرىپ بولدى، دەيدۇ، شۇنداقلا بەزىلەرنىڭ ئېتىقادىنى غۇلىتىدۇ.
3702130185	ھالبۇكى، خۇدانىڭ مەزمۇت ئۇلى چىڭ تۇرماقتا. ئۇنىڭ ئۈستىگە مۆھۈر بىلەن: «رەب ئۆزىگە تەۋە بولغانلارنى تونۇيدۇ» ۋە «رەبنىڭ مۇبارەك نامىنى لەۋزىگە ئالىدىغانلارنىڭ ھەممىسى رەزىللىكتىن قول ئۈزسۇن» دەپ مۆھۈرلەنگەندۇر.
3702140133	باي-باياشات ئادەمنىڭ ئۆيىدە پەقەت ئالتۇن ۋە كۈمۈش قاچا-قۇچىلارلا ئەمەس، ياغاچ، ساپال قاچىلارمۇ بولىدۇ. قاچا-قۇچىلارنىڭ بەزىلىرى ئەتىۋارلىنىدۇ، بەزىلىرى پەس كۆرۈلىدۇ.
370215012a	ئەگەر بىر كىشى ئۆزىنى ئۇنداقلارنىڭ كىرىدىن تازىلاپ خالىي قىلسا، ئۇ مۇقەددەس قىلىنغان، خوجايىنىمىزغا يارايدىغان قاچىدەك، ھەرقانداق گۈزەل ئىشلارغا تەييار بولىدۇ.
370216015e	شۇڭلاشقا، ياشلىقنىڭ ئارزۇ-ھەۋەسلىرىدىن ئۆزۈڭنى قاچۇرغىن، پاك قەلب بىلەن رەبگە نىدا قىلغۇچىلەر بىلەن بىللە ھەققانىيلىق، ئىشەنچ-ئېتىقاد، مېھىر-مۇھەببەت ۋە تىنچ-خاتىرجەملىكنى قوغلىشىپ ئىزدە.
37021700f9	لېكىن ئەخمىقانە، بىلىمسىزلىكتىن چىققان تالاش-تارتىشلارغا ئارىلىشىشنى رەت قىل، چۈنكى بۇنداق ئىشلارنىڭ جېدەل تېرىيدىغانلىقىنى بىلىسەن.
37021800f1	ئەمدىلىكتە رەبنىڭ قۇلى جېدەللەشمەسلىكى، بەلكى ھەممە كىشىلەرگە مۇلايىم-مېھرىبان، تەلىم بېرىشكە ماھىر، سەۋر-تاقەتلىك بولۇشى كېرەك؛
370219012a	شۇنىڭ بىلەن ئۆز-ئۆزىگە قارشى بولغانلارغا ئۇ خۇدا بەلكىم ئۇلارغا ھەقىقەتنى تونۇپ يېتىشىگە توۋا قىلىدىغان قەلبنى بېرەر دەپ، مۆمىن-مۇلايىملىق بىلەن نەسىھەت قىلسۇن؛
37021a00eb	بۇنداق بولغاندا ئۇلار ئۇيقۇسىنى ئېچىپ، ئۆزلىرىنى ئۆز مۇددىئاسىغا ئەمەل قىلىشقا تۇتقۇن قىلغان ئىبلىسنىڭ تۇزىقىدىن قۇتۇلالايدۇ.
3703010070	ئەمما شۇنىمۇ بىلگىنكى، ئاخىر زامانلاردا ئېغىر كۈنلەر بولىدۇ.
3703020111	ئۇ چاغدىكى ئىنسانلار ئۆزىنىلا ئويلايدىغان، پۇلپەرەس، مەنمەنچى، ھاكاۋۇر، كۇپۇرلۇق قىلىدىغان، ئاتا-ئانىسىنىڭ سۆزىنى تىڭشىمايدىغان، تۇزكور، ئىپلاس،
37030300a8	كۆيۈمسىز، كەچۈرۈمسىز، تۆھمەتخور، ئۆزىنى تۇتالمايدىغان، ۋەھشىي، خەير-ساخاۋەتلىككە دۈشمەن،
3703040081	ساتقۇن، تەلۋە، شۆھرەتپەرەس، ھۇزۇر-ھالاۋەتنى خۇدادىن ياخشى كۆرىدىغان،
37030500ea	سىرتقى قىياپەتتە ئىخلاسمەن بولۇۋېلىپ، ئەمەلىيەتتە ئىخلاسمەنلىكنىڭ قۇدرىتىنى ئىنكار قىلىدىغان بولىدۇ. بۇنداقلاردىن يىراق تۇر.
