0100000012	پەیدابوون
2702070102	«لەبەر ئەوەی دەبێت لێوەکانی کاهین زانین بپارێزن، خەڵک دێنە لای بۆ ئەوەی لە دەمی ئەو فێرکردنەکە بزانن، چونکە ئەو نێردراوی یەزدانی سوپاسالارە.
27020800ea	بەڵام ئێوە لە ڕێگاکە لاتاندا و فێرکردنەکانتان بۆ زۆر کەس بووە کۆسپ، پەیمانی لێڤیشتان شکاند.» ئەمە فەرمایشتی یەزدانی سوپاسالارە.
2702090109	«لەبەر ئەوە من لەلای هەموو گەلەکە ڕیسوام کردن و سووکایەتیم پێکردن، چونکە ڕێگاکانی منتان نەگرتەبەر و لایەنگریتان کرد لە جێبەجێکردنی فێرکردنەکە.»
27020a00ec	ئایا هەموومان یەک باوکمان نییە؟ ئایا یەک خودا بەدیی نەهێناوین؟ ئیتر بۆچی بە ناپاکی لەگەڵ یەکتری پەیمانی باوباپیرانمان دەشکێنین؟
27020b0155	یەهودا ناپاکی کرد. شتێکی قێزەون لە ئیسرائیل و لە ئۆرشەلیم ئەنجام درا: ژنیان هێنا لەو ژنانەی کە خوداوەندێکی بێگانە دەپەرستن، بەم شێوەیە یەهودا پەرستگای یەزدانی گڵاوکرد، ئەوەی خۆشی دەویست.
27020c00fb	هەرکەسێک کە ئەمە دەکات با یەزدانی سوپاسالار هیچ نەوەیەکی لە چادرەکانی یاقوب بۆ نەهێڵێتەوە، تەنانەت ئەگەر قوربانیش پێشکەش بە یەزدان بکات.
27020d012d	شتێکی دیکە کە دەیکەن: بە فرمێسک قوربانگای یەزدان دادەپۆشن، بە گریان و هاوار، چونکە وەک جاران قوربانی ئێوە جێی ڕەزامەندی یەزدان نییە و بە پەسەند لە دەستتان وەرناگرێت.
27020e014d	ئێوە لێم دەپرسن: «لەبەر چی؟» لەبەر ئەوەی یەزدان شایەتە لەنێوان تۆ و ژنەکەی تەمەنی گەنجیت، کە ناپاکیت لەگەڵی کرد، هەرچەندە ئەو هاوسەرتە و ئەو ژنەیە کە پەیمانی هاوسەرگیریت لەگەڵی هەیە.
27020f014e	ئایا خودا نەیکردنە یەک؟ ئێوە بە جەستە و بە ڕۆح هی خودان. ئیتر خودا داوای چی دەکات؟ نەوەی لەخواترستان هەبێت. لەبەر ئەوە بە ڕۆح ئاگاداری خۆتان بن و ناپاکی لە ژنی تەمەنی گەنجیەتیتان مەکەن.
27021001ae	یەزدانی پەروەردگاری ئیسرائیل دەفەرموێت: «ئەو پیاوەی کە ڕقی لە ژنەکەیەتی و تەڵاقی دەدات، توندوتیژی بەرامبەر بە کەسێک دەکات کە لەڕاستیدا دەبێت بیپارێزێت.» ئەمە فەرمایشتی یەزدانی سوپاسالارە. ئینجا بە ڕۆح ئاگاداری خۆتان بن و ناپاکی مەکەن.
270211014b	بە قسەکانتان یەزدانتان ماندوو کرد. ئێوە دەپرسن: «بە چی ماندوومان کرد؟» بەوەی کە گوتتان: «ئەوەی خراپە بکات، لەبەرچاوی یەزدان چاکە، ئەو بەوان دڵخۆشە،» یان «خودای دادپەروەری لەکوێیە؟»
270301018c	«من نێردراوی خۆم دەنێرم، ئەوەی ڕێگاکەی پێشم بۆ ئامادە دەکات. لەناکاو ئەو پەروەردگارەی کە ئێوە داوای دەکەن، دێتە ناو پەرستگاکەی؛ بێگومان نێردراوەکەی پەیمانیش دێت کە دڵتان پێی خۆشە.» ئەمە فەرمایشتی یەزدانی سوپاسالارە.
27030200d7	«بەڵام کێ بەرگەی ڕۆژی هاتنی دەگرێت؟ کێ خۆی ڕادەگرێت لە دەرکەوتنی؟ چونکە ئەو وەک ئاگری پاڵاوگە و وەک سابوونی جل شوشتنە.
2703030121	وەک پاڵێوەر و بێگەردکاری زیو دادەنیشێت، نەوەی لێڤی پاک دەکاتەوە و وەک زێڕ و زیو دەیپاڵێوێت. ئینجا یەزدان خەڵکێکی دەبێت کە بە ڕاستودروستی قوربانی پێشکەش دەکەن.
27030400aa	ئیتر قوربانی یەهودا و ئۆرشەلیم لەلای یەزدان قبوڵ دەبێت، هەروەک ڕۆژانی دێرین، ساڵانی ڕابردوو.
2703050211	«ئینجا بۆ دادگاییکردن دێمە لاتان. خێرا دەبمە شایەت لەسەر سیحرباز و داوێنپیسان، لەسەر ئەوانەی بە درۆ سوێند دەخۆن، لەسەر ئەوانەی پارەی کرێکار دەخۆن، لەسەر ئەوانەی مافی بێوەژن و هەتیو زەوت دەکەن، لەسەر ئەوانەی دەست بە ڕووی کەسی نامۆوە دەنێن و لە من ناترسن.» ئەمە فەرمایشتی یەزدانی سوپاسالارە.
2703060072	«من یەزدانم، ناگۆڕێم، ئیتر ئەی نەوەی یاقوب، ئێوە لەناو نەچوون.
2703070154	لە سەردەمی باوباپیرانتانەوە لە فەرزەکانم لاتان داوە و بەجێتان نەهێناوە. بگەڕێنەوە لام، منیش دەگەڕێمەوە لاتان.» ئەمە فەرمایشتی یەزدانی سوپاسالارە. «بەڵام ئێوە دەپرسن:”چۆن بگەڕێینەوە؟“
27030800f7	«ئایا مرۆڤ خودا تاڵان دەکات؟ چونکە ئێوە تاڵانتان کردم! «بەڵام ئێوە گوتتان:”چۆن تاڵانمان کردی؟“«لە دەیەک و قوربانییەکان تاڵانتان کردم.
270309007b	ئێوە، تەواوی ئەم نەتەوەیە، نەفرەتتان لێکراوە، چونکە تاڵانم دەکەن.»
27030a0195	یەزدانی سوپاسالار دەفەرموێت: «تاقیم بکەنەوە: هەموو دەیەکەکان بۆ ماڵی خەزینە بهێنن، تاکو لە پەرستگاکەم خواردن هەبێت. ئینجا بزانن چۆن پەنجەرەکانی ئاسمانتان بۆ دەکەمەوە و بەرەکەت بەسەرتاندا دەبارێنم، هەتا جێ نەبێت تێی بکەن.
27030b00fa	لەبەر ئێوە ڕێ لە مێروو دەگرم، هەتا بەروبوومی زەوییەکەتان تێکنەدات، دار مێوتان لە کێڵگە بێ بەر نەبێت.» ئەمە فەرمایشتی یەزدانی سوپاسالارە.
27030c00d2	«ئینجا هەموو نەتەوەکان خۆزگەتان پێ دەخوازن، چونکە خاکەکەتان دەبێتە خاکی شادی.» ئەمە فەرمایشتی یەزدانی سوپاسالارە.
27030d00a2	یەزدان دەفەرموێت: «قسەکانتان لەسەر من ڕەق بوون.» «ئێوەش دەپرسن:”چیمان لەسەر تۆ گوتووە؟“
27030e0114	«ئێوە گوتتان:”خواپەرستی بێهوودەیە. چ سوودێکی هەبوو کە فەرمانەکانی ئەومان پاراستووە و بە خەمبارییەوە لەبەردەم یەزدانی سوپاسالار ژیانمان گوزەراندووە؟
27030f00e9	بەڵام ئێستا ئێمە خۆزگە بە لووتبەرزان دەخوازین. هەروەها بەدکاران سەردەکەون، تەنانەت ئەوانەی خودا تاقی دەکەنەوە، دەرباز دەبن.“»
270310017a	ئینجا ئەوانەی لە یەزدان دەترسان قسەیان لەگەڵ یەکتری کرد، یەزدانیش گوێی شل کرد و گوێی لێبوو. لەبەردەمیدا لە پێچراوەیەک تۆمار کرا، بۆ ئەوەی ببێتە یادەوەرییەک بۆ ئەوانەی لە یەزدان دەترسن و ڕێز لە ناوەکەی دەگرن.
2703110130	یەزدانی سوپاسالار دەفەرموێت: «ئەوانە دەبنە هی من، لەو ڕۆژە دەبنە گەنجینەیەکی تایبەتی من. بەزەییم پێیاندا دێتەوە وەک چۆن پیاو بەزەیی بە کوڕەکەی دێتەوە کە خزمەتی دەکات.
27031200d7	ئینجا دیسان جیاوازی لەنێوان ڕاستودروستان و خراپەکاراندا دەبینن، لەنێوان ئەوانەی خودا دەپەرستن و ئەوانەی نایپەرستن.»
270401015f	یەزدانی سوپاسالار دەفەرموێت: «بێگومان ئەو ڕۆژە دێت کە وەک تەنوور داگیرساوە. جا هەموو لووتبەرزان و بەدکاران دەبنە پوشوپەڵاش و ئەو ڕۆژەش کە دێت، ئەوان دەسووتێنێت. نە ڕەگ و نە لقیان بۆ نامێنێتەوە.
2704020144	بەڵام ئێوە کە لە ناوەکەم دەترسن، خۆری ڕاستودروستیتان لێ هەڵدێت و تیشکەکانی دەبێتە هۆی چاکبوونەوە. جا دێنە دەرەوە و قەڵەمباز دەدەن وەک چۆن جوانەگای قەڵەو لە تەویلە بەڕەڵا دەکرێن.
27040300e7	ئینجا لەو ڕۆژەی ئەوە دەکەم، ئێوە خراپەکاران پێشێل دەکەن، دەبنە خۆڵەمێش لەژێر نەعلی پێتان.» ئەوە فەرمایشتی یەزدانی سوپاسالارە.
27040400c0	«تەوراتی موسای بەندەی منتان لە یاد بێت، فەرز و حوکمەکان، کە من لە حۆرێڤ فەرمانم پێی کرد بۆ هەموو ئیسرائیل.
270405009f	«گوێ بگرن، بەر لەوەی ڕۆژی گەورە و ترسناکی یەزدان بێت، من ئەلیاسی پێغەمبەرتان بۆ دەنێرم.
27040600b0	دڵی باوکان بۆ منداڵ و دڵی منداڵان بۆ باوک دەگەڕێنێتەوە، نەوەک بێم و خاکەکە بە تەواوی وێران بکەم.»
2800000008	مەتا
2801010062	ئەمە ڕەچەڵەکی عیسای مەسیحە، کوڕی داود، کوڕی ئیبراهیم:
280102009b	ئیبراهیم باوکی ئیسحاق بوو، ئیسحاق باوکی یاقوب بوو، یاقوب باوکی یەهودا و براکانی بوو،
28010300b3	یەهودا باوکی پێرێز و زەرەح بوو کە تامار دایکیان بوو، پێرێز باوکی حەسرۆن بوو، حەسرۆن باوکی ڕام بوو،
280104008f	ڕام باوکی عەمیناداب بوو، عەمیناداب باوکی نەحشۆن بوو، نەحشۆن باوکی سەلمۆن بوو،
28010500c3	سەلمۆن باوکی بۆعەز بوو کە ڕاحاب دایکی بوو، بۆعەز باوکی عوبێد بوو کە ڕائووس دایکی بوو، عوبێد باوکی یەسا بوو،
2801060092	یەسا باوکی داودی پاشا بوو. داود باوکی سلێمان بوو لەو ژنەی کە پێشتر ژنی ئوریا بوو،
280107008d	سلێمان باوکی ڕەحەڤەعام بوو، ڕەحەڤەعام باوکی ئەبیا بوو، ئەبیا باوکی ئاسا بوو،
2801080093	ئاسا باوکی یەهۆشافات بوو، یەهۆشافات باوکی یەهۆرام بوو، یەهۆرام باوکی عوزیا بوو،
280109007f	عوزیا باوکی یۆتام بوو، یۆتام باوکی ئاحاز بوو، ئاحاز باوکی حەزقیا بوو،
28010a0083	حەزقیا باوکی مەنەشە بوو، مەنەشە باوکی ئامۆن بوو، ئامۆن باوکی یۆشیا بوو،
28010b0079	یۆشیا باوکی یەهۆیاکین و براکانی بوو، لە کاتی ڕاپێچکردنەکە بۆ بابل.
28010c00a5	لەدوای ڕاپێچکردنەکە بۆ بابل، یەهۆیاکین باوکی شەئەلتیێل بوو، شەئەلتیێل باوکی زروبابل بوو،
28010d0095	زروبابل باوکی ئەبیهود بوو، ئەبیهود باوکی ئەلیاقیم بوو، ئەلیاقیم باوکی ئازور بوو،
28010e0081	ئازور باوکی سادۆق بوو، سادۆق باوکی ئەکیم بوو، ئەکیم باوکی ئەلیهود بوو،
28010f008d	ئەلیهود باوکی ئەلعازار بوو، ئەلعازار باوکی مەتان بوو، مەتان باوکی یاقوب بوو،
280110008f	یاقوب باوکی یوسفی مێردی مریەم بوو، ئەوەی عیسای لێبوو، کە بە مەسیح ناودەبردرێت.
2801110134	بەم شێوەیە هەموو نەوەکان لە ئیبراهیمەوە هەتا داود چواردە نەوەن، لە داودەوە هەتا ڕاپێچکردنەکە بۆ بابل چواردە نەوەن، لە ڕاپێچکردنەکەشەوە بۆ بابل هەتا مەسیح چواردە نەوەن.
280112010b	لەدایکبوونی عیسای مەسیح بەم شێوەیە بوو: کاتێک مریەمی دایکی دەستگیرانی یوسف بوو، پێش ئەوەی بگوازرێتەوە، دەرکەوت کە بەهۆی ڕۆحی پیرۆزەوە سکی پڕبووە.
28011300b0	یوسفی دەستگیرانی کە پیاوێکی چاک بوو، نەیویست ئابڕووی ببات، بڕیاری دا بە نهێنی دەستی لێ هەڵبگرێت.
2801140132	کاتێک بیری لەم شتانە دەکردەوە، فریشتەیەکی یەزدان هاتە خەونی و پێی فەرموو: «ئەی یوسفی نەوەی داود، مەترسە لەوەی مریەم بهێنیت، چونکە ئەوەی ئەو سکی پێی هەیە لە ڕۆحی پیرۆزە.
2801150089	کوڕێکی دەبێت ناوی دەنێیت عیسا، چونکە گەلەکەی لە گوناهەکانیان ڕزگار دەکات.»
2801160092	ئەمانە هەمووی ڕوویدا تاکو ئەوەی یەزدان لە ڕێگەی پێغەمبەرەکە فەرموویەتی بێتە دی:
28011700b9	﴿ئەوەتا پاکیزەیەک سکی دەبێت و کوڕێکی دەبێت، ناوی لێ دەنێن ئیمانوێل،﴾ کە بە واتای خودا لەگەڵمانە دێت.
28011800ab	کاتێک یوسف لە خەو هەستا، ئەوەی فریشتەکەی یەزدان فەرمانی پێدابوو ئەنجامی دا و ژنەکەی گواستەوە.
2801190077	بەڵام هەتا کوڕەکەی نەبوو لەگەڵی جووت نەبوو، ئینجا ناوی لێنا عیسا.
28020100d2	لەدوای لەدایکبوونی عیسا لە بێت‌لەحمی یەهودیا، لە سەردەمی هێرۆدسی پاشا، هەندێک مۆغ لە ڕۆژهەڵاتەوە هاتنە ئۆرشەلیم،
28020200c6	پرسییان: «پاشای لەدایکبووی جولەکە لەکوێیە‏؟ لە ڕۆژهەڵاتەوە ئەستێرەی ئەومان بینی، هاتووین کڕنۆشی بۆ ببەین.»
280203008c	کاتێک هێرۆدسی پاشا ئەمەی بیست، پەشۆکا و هەموو خەڵکی ئۆرشەلیم لەگەڵی پەشۆکان.
28020400b1	هەموو کاهینانی باڵا و مامۆستایانی تەوراتی گەلی کۆکردەوە، لێی پرسین: «مەسیح لەکوێ لە دایک دەبێت؟»
2802050097	وەڵامیان دایەوە: «لە بێت‌لەحمی یەهودیا، چونکە لە ڕێی پێغەمبەرەکەوە ئاوا نووسراوە:
280206011a	«﴿بەڵام تۆ ئەی بێت‌لەحمی خاکی یەهودا، کەمتر نیت لە شارۆچکەکانی دیکەی یەهودا، چونکە لە تۆوە فەرمانڕەوایەک دەردەکەوێت، شوانایەتی گەلی ئیسرائیلم دەکات.﴾»
28020700bb	دوای ئەمە هێرۆدس بە نهێنی مۆغەکانی بانگکرد و لەبارەی کاتی دەرکەوتنی ئەستێرەکە لێکۆڵینەوەی لەگەڵ کردن.
2802080102	ئینجا بۆ بێت‌لەحمی ناردن و پێی گوتن: «بڕۆن و بە وردی بەدوای منداڵەکەدا بگەڕێن. کاتێک دۆزیتانەوە هەواڵم بدەنێ، تاکو منیش بێم و کڕنۆشی بۆ ببەم.»
2802090117	لەدوای ئەوەی گوێبیستی پاشا بوون، ڕۆیشتن، هەمان ئەو ئەستێرەیەی کە لە ڕۆژهەڵات بینیبوویان، پێشیان کەوت و هات و لەسەر ئەو شوێنە ڕاوەستا کە منداڵەکەی لێبوو.
28020a004d	کاتێک ئەستێرەکەیان بینی، زۆر شادمان بوون،
28020b0117	چوونە ماڵەکە، منداڵەکەیان لەگەڵ مریەمی دایکی بینی، دانەوینەوە و کڕنۆشیان بۆ برد و سندوقی گەنجینەکانیان کردەوە، زێڕ و بخوور و موڕیان بە دیاری پێشکەش کرد.
28020c00dc	ئینجا خودا لە خەوندا مۆغەکانی ئاگادار کردەوە کە نەگەڕێنەوە لای هێرۆدس، ئەوانیش بە ڕێگایەکی دیکەدا گەڕانەوە وڵاتی خۆیان.
28020d016e	دوای ڕۆیشتنی مۆغەکان، فریشتەیەکی یەزدان هاتە خەونی یوسف و گوتی: «هەستە، منداڵەکە و دایکی ببە و ڕابکە بۆ میسر. لەوێ بمێنەوە هەتا پێت دەڵێم، چونکە هێرۆدس وا بە شوێن منداڵەکەدا دەگەڕێت، بۆ ئەوەی بیکوژێت.»
28020e0074	یوسفیش هەستا و لە شەودا منداڵەکە و دایکی برد و بەرەو میسر ڕۆیشت،
28020f0100	هەتا مردنی هێرۆدس لەوێ مایەوە، تاوەکو ئەوەی یەزدان لە ڕێگەی پێغەمبەرەکەوە فەرموویەتی بێتە دی، کە دەفەرموێ: ﴿من کوڕی خۆمم لە میسر بانگ کرد.﴾
280210014a	کاتێک هێرۆدس زانی مۆغەکان فریویان داوە، زۆر تووڕە بوو. بەگوێرەی ئەو کاتەی لە مۆغەکانەوە لێی کۆڵیبووەوە، ناردی و هەموو کوڕێکی تەمەن دوو ساڵ بەرەو خواری لە بێت‌لەحم و دەوروبەری کوشت.
2802110063	ئینجا ئەوەی لە ڕێگەی پێغەمبەر یەرمیا گوترابوو هاتە دی:
28021200de	﴿دەنگێک لە ڕامەوە بیسترا، گریان و شیوەنێکی گەورە، ڕاحێل بۆ منداڵەکانی دەگریێت، ڕازی نییە دڵنەوایی بکرێت، چونکە نەماون.﴾
2802130070	کاتێک هێرۆدس مرد، فریشتەیەکی یەزدان لە میسر هاتە خەونی یوسف و
28021400c0	گوتی: «هەستە، منداڵەکە و دایکی ببە و بڕۆ بۆ خاکی ئیسرائیل، چونکە ئەوانەی دەیانویست منداڵەکە بکوژن، مردن.»
280215006e	یوسفیش هەستا، منداڵەکە و دایکی برد و گەڕایەوە خاکی ئیسرائیل.
2802160116	بەڵام کاتێک بیستی ئەرخیلاوس لە یەهودیا لە جێی هێرۆدسی باوکی فەرمانڕەوایە، ترسا بچێتە ئەوێ. دوای ئەوەی لە خەوندا ئاگادار کرایەوە، گەڕایەوە ناوچەی جەلیل.
2802170106	جا هات و لە شارۆچکەیەک نیشتەجێ بوو بە ناوی ناسیرە، بۆ ئەوەی ئەو فەرمایشتەی لە ڕێگەی پێغەمبەرانەوە گوترابوو بێتە دی: ﴿بە ناسیرەیی ناودەبردرێت.﴾
28030100a4	هەر لەو ڕۆژانەدا، یەحیای لەئاوهەڵکێش لە دەشتی یەهودیا دەرکەوت و پەیامی خودای ڕادەگەیاند،
2803020069	دەیگوت: «تۆبە بکەن، چونکە پاشایەتی ئاسمان نزیک بووەتەوە.»
280303012c	یەحیا ئەو کەسەیە کە لە ڕێگەی پێغەمبەر ئیشایاوە دەربارەی گوتراوە: ﴿کەسێک لە چۆڵەوانی هاوار دەکات و دەڵێت: «ڕێگا بۆ هاتنی یەزدان ئامادە بکەن، ڕێچکەکانی بۆ ڕێکبخەن.»﴾
28030400c1	جلوبەرگی یەحیا لە مووی وشتر بوو، پشتێنێکی چەرمیشی لە ناوقەدی دەبەست، خواردنیشی کوللە و هەنگوینی کێوی بوو.
28030500a7	ئیتر خەڵکی ئۆرشەلیم و تەواوی یەهودیا و هەموو ناوچەکانی دەوروبەری ڕووباری ئوردون هاتنە لای،
280306009c	دانیان بە گوناهەکانیاندا دەنا و لەسەر دەستی ئەو لە ڕووباری ئوردون لە ئاو هەڵدەکێشران.
280307010d	کە بینی زۆر لە فەریسی و سەدوقییەکان بۆ لەئاوهەڵکێشانەکەی دێن، پێی گوتن: «ئەی بێچووە ماران، کێ ئاگاداری کردوونەتەوە لە دەست تووڕەیی داهاتوو هەڵبێن؟
2803080050	با بەرهەمێکتان هەبێت لە تۆبەکردن بوەشێتەوە.
28030900e4	پێتان وا نەبێت دەتوانن بەخۆتان بڵێن:”ئیبراهیم باوکمانە.“پێتان دەڵێم، خودا دەتوانێت لەم بەردانە نەوە بۆ ئیبراهیم دروستبکات.
28030a00b8	ئەوەتا تەور خراوەتە سەر ڕەگی دار، هەر دارێک بەرهەمی باش نەدات، دەبڕدرێتەوە و فڕێدەدرێتە ناو ئاگرەوە.
28030b013c	«من بۆ تۆبەکردن لە ئاوتان هەڵدەکێشم، بەڵام ئەوەی لەدوای من دێت، لە من بەتواناترە، شایانی ئەوە نیم تەنانەت پێڵاوەکانیشی بۆ هەڵبگرم. ئەو لە ڕۆحی پیرۆز و لە ئاگرتان هەڵدەکێشێت.
28030c00dd	شەنی بەدەستەوەیە بۆ پاککردنەوەی جۆخینەکەی، گەنمەکە لە ئەمباردا کۆدەکاتەوە و قەسەڵەکەش بە ئاگرێکی نەکوژاوە دەسووتێنێت.»
28030d00b4	ئینجا عیسا لە ناوچەی جەلیلەوە هاتە سەر ڕووباری ئوردون، تاوەکو لەسەر دەستی یەحیا لە ئاو هەڵبکێشرێت.
28030e00db	بەڵام یەحیا دەیویست ڕێی لێ بگرێت و دەیگوت: «من پێویستیم بەوەیە لەسەر دەستی تۆ لە ئاو هەڵبکێشرێم، کەچی تۆ دێیت بۆ لای من؟»
28030f00fc	عیساش وەڵامی دایەوە: «لە ئێستادا ڕێگا بدە بەم جۆرە بێت، چونکە ئاوا لە ئێمە دەوەشێتەوە بۆ ئەوەی هەموو ڕاستودروستییەک بێتە دی.» ئینجا ڕێی دا.
28031000f7	هەرکە عیسا لە ئاو هەڵکێشرا، لە ئاوەکە هاتە دەرەوە. لەو ساتەدا ئاسمان کرایەوە و ڕۆحی خودای بینی وەک کۆترێک هاتە خوارەوە و لەسەری نیشتەوە.
280311008c	دەنگێکیش لە ئاسمانەوە فەرمووی: «ئەمە کوڕی خۆشەویستمە، ئەوەی زۆر پێی دڵشادم.»
28040100a0	پاشان عیسا بەهۆی ڕۆحی پیرۆزەوە بردرایە چۆڵەوانی، تاکو لەلایەن ئیبلیسەوە تاقی بکرێتەوە.
280402005c	دوای ئەوەی کە چل شەو و چل ڕۆژ بەڕۆژوو بوو، برسی بوو.
280403009e	تاقیکەرەوە لێی هاتە پێش، پێی گوت: «ئەگەر تۆ کوڕی خودایت، بەم بەردانە بڵێ با ببن بە نان.»
28040400d4	بەڵام عیسا وەڵامی دایەوە: «نووسراوە: ﴿مرۆڤ تەنها بە نان ناژیێت، بەڵکو بە هەر وشەیەک کە لە دەمی خوداوە دێتە دەرەوە.﴾»
280405007a	ئینجا ئیبلیس بردییە شاری پیرۆز و لەسەر گوێسەبانەی پەرستگا ڕایگرت و
280406013c	پێی گوت: «ئەگەر تۆ کوڕی خودایت خۆت هەڵبدە خوارەوە. لەبەر ئەوەی نووسراوە: «﴿سەبارەت بە تۆ فەرمان بە فریشتەکانی دەدات، لەسەر دەستیان هەڵتدەگرن، تاکو پێت بەر بەردێک نەکەوێت.﴾»
280407008f	عیساش پێی فەرموو: «هەروەها نووسراوە: ﴿یەزدانی پەروەردگارتان تاقی مەکەنەوە.﴾»
28040800a5	دیسان ئیبلیس بۆ سەر شاخێکی زۆر بڵندی برد و هەموو شانشینەکانی جیهان و شکۆی ئەوانی پیشان دا و
280409006f	پێی گوت: «هەموو ئەمانەت دەدەمێ ئەگەر کڕنۆش ببەیت و بمپەرستی.»
28040a00ec	ئینجا عیساش پێی فەرموو: «ئەی شەیتان لێم دووربکەوە! چونکە نووسراوە: ﴿کڕنۆش بۆ یەزدانی پەروەردگارت دەبەیت و تەنها ئەو دەپەرستیت.﴾»
28040b0074	ئیتر ئیبلیس وازی لێ هێنا و چەند فریشتەیەک هاتن و خزمەتیان دەکرد.
28040c0067	کاتێک عیسا بیستی یەحیا گیراوە، گەڕایەوە بۆ ناوچەی جەلیل.
28040d00be	ناسیرەی بەجێهێشت و هات لە شاری کەفەرناحوم نیشتەجێ بوو، کە لەسەر دەریاچەیە، لە سنووری زەبولون و نەفتالی،
28040e0063	تاکو ئەوەی لە ڕێگەی پێغەمبەر ئیشایاوە گوتراوە بێتە دی:
28040f00bd	﴿ئەی خاکی زەبولون و خاکی نەفتالی، ئەوەی لە ڕێگای دەریایە، ئەوبەری ڕووباری ئوردون، جەلیلی ناجولەکەکان،
28041000d9	ئەو گەلەی لە تاریکیدا دانیشتووە، ڕووناکییەکی گەورەی بینی، دانیشتووان لە خاکی سێبەری مەرگ ڕووناکی بەسەریاندا هەڵهات.﴾
28041100b3	لەو کاتەوە عیسا دەستی کرد بە جاڕدان و دەیفەرموو: «تۆبە بکەن، چونکە پاشایەتی ئاسمان نزیک بووەتەوە.»
2804120124	کاتێک عیسا بە کەناری دەریاچەی جەلیلدا دەڕۆیشت، دوو برای بینی، شیمۆن کە پێی دەگوترا پەترۆس لەگەڵ ئەندراوسی برای، تۆڕیان فڕێدەدایە دەریاچەکە، چونکە ماسیگر بوون.
2804130071	عیسا پێی فەرموون: «وەرن دوام بکەون، دەتانکەم بە ڕاوکەری مرۆڤ.»
280414004e	دەستبەجێ تۆڕەکانیان بەجێهێشت و دوای کەوتن.
280415010b	کە لەوێ ڕۆیشت، دوو برای دیکەی بینی، یاقوبی کوڕی زەبدی و یۆحەنای برای، لە بەلەمێکدا لەگەڵ زەبدی باوکیان تۆڕەکانیان چاک دەکردەوە، ئەوانیشی بانگکرد.
2804160065	دەستبەجێ بەلەمەکە و باوکیان بەجێهێشت و دوای عیسا کەوتن.
2804170120	ئینجا عیسا بە هەموو جەلیلدا دەگەڕا، لە کەنیشتەکانیان خەڵکی فێر دەکرد و مزگێنی پاشایەتییەکەی ڕادەگەیاند، هەرچی نەخۆشی و نەساغی نێو خەڵک هەبوو چاکی دەکردنەوە.
2804180148	لەبەر ئەوە دەنگوباسی تەواوی سوریای گرتەوە، ئەوانیش هەموو نەخۆشێکیان دەهێنایە لای، بە جۆرەها دەرد و ئازارەوە، ئەوانەی کە ڕۆحی پیسیان تێدابوو و فێدار و ئیفلیج بوون، چاکی دەکردنەوە.
28041900a8	جا خەڵکێکی زۆر لە جەلیل و دە شارەکە و ئۆرشەلیم و یەهودیا و ئەوبەری ڕووباری ئوردون دوای کەوتن.
2805010090	کاتێک عیسا خەڵکەکەی بینی، چووە سەر چیا، ئینجا دانیشت و قوتابییەکانی هاتنە لای،
280502003e	دەستی کرد بە فێرکردنیان و فەرمووی:
2805030088	«خۆزگە دەخوازرێت بەوانەی کە بە ڕۆح هەژارن، چونکە شانشینی ئاسمان بۆ ئەوانە.
2805040070	خۆزگە دەخوازرێت بەوانەی کە ماتەمدارن، چونکە دڵنەوایی دەکرێن.
2805050082	خۆزگە دەخوازرێت بە دڵنەرمەکان، چونکە زەوییان بە میراتیی بۆ دەمێنێتەوە.
2805060088	خۆزگە دەخوازرێت بەوانەی کە برسی و تینوون بۆ ڕاستودروستی، چونکە تێر دەکرێن.
2805070084	خۆزگە دەخوازرێت بەوانەی کە دڵیان پڕ لە بەزەییە، چونکە بەر بەزەیی دەکەون.
2805080059	خۆزگە دەخوازرێت بە دڵپاکەکان، چونکە خودا دەبینن.
2805090077	خۆزگە دەخوازرێت بە ئاشتیخوازان، چونکە بە ڕۆڵەی خودا ناودەبردرێن.
28050a00ae	خۆزگە دەخوازرێت بەوانەی لە پێناوی ڕاستودروستی دەچەوسێنرێنەوە، چونکە شانشینی ئاسمان بۆ ئەوانە.
28050b00de	«خۆزگە دەخوازرێت بە ئێوە کاتێک خەڵکی جنێوتان پێدەدەن‏ و دەتانچەوسێننەوە، لەبەر من هەموو جۆرە بوختانێکتان بۆ هەڵدەبەستن.
28050c00ce	دڵخۆش و شادمان بن، لەبەر ئەوەی لە ئاسمان پاداشتتان گەورەیە، چونکە پێش ئێوە پێغەمبەرانیشیان ئاوا چەوساندووەتەوە.
28050d0125	«ئێوە خوێی زەوین، بەڵام ئەگەر خوێ سوێرییەکەی نەما، چۆن تامە سوێرەکەی بۆ دەگەڕێندرێتەوە؟ ئیتر بەکەڵکی هیچ نایەت، ئەوە نەبێ فڕێبدرێتە دەرەوە و خەڵکی پێشێلی بکەن.
28050e008a	«ئێوە ڕووناکی جیهانن، شارێک لەسەر شاخ دروست‏کرابێت ناتوانرێت بشاردرێتەوە.
28050f00f0	هەروەها خەڵکی چرا هەڵناکەن تاکو بیخەنە ژێر تەشتەوە، بەڵکو لەسەر چرادان دایدەنێن بۆ ئەوەی ڕووناکی بداتە هەموو ئەوانەی لە ماڵەکەدان.
28051000de	بە هەمان شێوە، با ئێوەش ڕووناکیتان بۆ خەڵک بدرەوشێتەوە، تاکو کردارە باشەکانتان ببینن و ستایشی باوکتان بکەن کە لە ئاسمانە.
