2800000007	Matiewo
36040a0095	Kelima lanyapo i, ke ti tie ania, ki tuuni boncianla. kelima ti dugi U Tienu yua n fo, ki go tie bi niba kuli candaano, yaaba n duu o po yaali n cie.
36040b0024	Kadi ki maadi li bona ki go tundi a.
36040c0057	Obakuli ń da fali a sɔpaanma, ama ŋan ya tie yaaba n wangi ti dudugdi bi maama nni.
36040d004f	Ya fiini mi cogma nni, mi tundma nni, ki ya paandi bi niba pala hali mi ba cua.
36040e007b	Da yuandi ya yenpaabu n ye a niinni, ban den pua sawali ke yaaba n ŋua U Tienu nikpelba maani a po bi nui, ke a baa yaabu.
36040f0085	ŋan ya fiini li bona nni bonŋanla, ŋan taa a yuli kuli ki cabi li bona, yukuli ń bandi ke a tuona cuoni bonŋanla, ki caa liiga.
360410009a	ŋan guudi a yuli, ki diidi a tundma nni bonŋanla, ŋan ya tie ania li bona nni, kelima a ya tie yeni, a ba fie a yuli ki go fie yaaba n cengi a bangima.
3605010079	Da nanbi k manboli mani o jakpelo, ama ya pa andi u pali, nani biba yeni; ya paandi u nupaɔngu pala nani i nataani yeni.
3605020049	A puociana nani binaa nba yen, b puobidi nani t ninsiaba yeni, l papielem
360503002b	Seln a pakuana yaab n ŋanbi k tie pakuana.
360504009c	L ya tie k l pakuali pia t bidi lan yaka a yabila ban ñigni k ya pia t ŋandi b diogun, k gɔ ya tiendi b danba ban tund b yaali, k l ma l ŋani u tienu po
3605050082	Yua tie pakual yeni mɔni, k tie yuan cuo li ba k ta u dindanlik cabi u Tienu k gɔ jaandi, k miadi u tiensugli yieni yen ñiɔgu.
3605060044	Ama ya pakualo n kpaani dulña ne yenyienu kpe'u ba l ya tie ku fuo.
360507002d	Tund'ba mani l bona k ban ji da pia jalgi ba.
360508008f	L ya tie k yua k nanbi k ŋanbi k ŋmagdi o nibi yaabi ŋanbi k tie u diogun ya yaabi, biani u mɔmɔnigaama, yu k bani u Tienu yaali su yen'o.
360509006c	K fidi ban yini pua k u tie pakualo wan mɔndik ya pia bina piiluobo k ya tie yua n den kunni ja yendo baba.
36050a00a6	K yua kul ya bani k u tuona den ŋani k den wlubi tu bidi, k den gaani b canba, k den ŋuudi b nuŋanba taana, k den todi b cicagdanba, k den tiendi tuoŋan buoli kul
36050b0074	Ama ŋan yie t pakuabidi, k l ma ya yognu k u ja nianga paadi yenba yen Jesu b ji yi kpaani ban guani k kunni b jabi
36050c003a	K ji k cɔlni b cincin-puoni yaali k b den puoni Jesu yeni
36050d009d	K baa ji pia tuonli ba yeni, b ji waa yiegi a ñiana ni. L gɔ k tie k b waa fanm - fanma mɔ ka b waa yeni t mayiyuodi yen i tuali, k maadi ya maama k laba.
36050e009c	L po n cedi k n bua ya pakua bidi n da k kunni b jaba, k ban guani k kunnib jabak mali t bidi, k ŋanbi k kub'ba a dioguni, k da ŋa t ninnanda ya sugdi'ti.
36050f0033	k l ma pakɔtianba ŋa a sanu yo k ji ŋodi staanni
36051000a3	Kreso-yua diogun ya pia a pakuana wani n ji baa tod' ba k lan fidiyaali lan ji da tie tugkpiegli u jaandiogu po, k wani mɔndi fid k todi yaab nanbi k tie pakuana.
360511009e	Ya jaandiog liig yaaba nanbi k suani b tuonli k l ŋani b dagdi yeni ban ŋanbi k la b tuonlsel bonŋanli. l nam ŋanbi k nua yaab n tundib niba u Tienu maama
360512008d	kl ma u Tienu Kadaɔgu yedi: ya nua taand' a ka pua i dii, a ji kan pibin u ñɔbu. k l tuonsɔnli dagidi yeni wan ga u tuonsɔn- ŋmapaɔgu.
3605130053	Nul ya ba yeni u jaandiogliig yua maama, ŋan da gaa, l ya k tie b lie, b ta yaa ka
360514004b	Yaab tundi k biidi nan fu yeb'ba b lieb kul nungn k yaab sieni n ji ya jie.
3605150086	n maad'a hal u tienu ne po, hal Yesu kreso po, yeni u tienu malek po, ya cɔnlni min yed'a uaal ne kul, k ba lugdm ba n da ye i siign.
360516006e	Da yi peli k maandi a nugi nul po, k gɔ da kuandi a nugu nutano biidn. Fin mɔno, Cuo a. ba k ya ye t ŋandin
3605170075	Da ñu miñima baba ka. A ya yi tieni nan nu o damɔngu mɔ waama k lan ya ŋanbdi a tugun k dugni a tugyianu yen po.
360518006f	B tianb ya biidi k wuo b wlaama ba k b da buni b buudi mɔno. Ama b tianba yaali yi waagi yo ban t fioli bandi.
3605190054	Nani a tuon ŋama n k kluo yeni l gɔ tie yeni k t tuon biidi mɔ kan fidi k wuo ni.
360601008c	Yaaba n ye ti yonbdi cacagma nni ń ya nua bi yonbdanba nani yaaba n dagdi yeni ti kpiagdi, ke ban da ti fanbi U Tienu yeli yeni o bangima.
3606020102	Yaaba ya canbaanaa n ŋua U Tienu, ń da fali ba, ki ya tama ke bi tie bi kpiiba i; ama ban ŋanbi ki ya tuuni bi po kelima bi tie dugikaaba yeni buakaaba yaaba n gbaa ke ban tieni ba yaali n ŋani. ŋan ya wandi lanya bona, ki go cedi ke bi cɔlni li bona.
3606030095	Nilo ya pia bangtianma ke maa taa yeni a yaama, bii kaa tuo U Tienu bangima yaama n ŋua ti Diedo Jesu Kiristi ñɔmaama yeni mi yenŋɔdma bangima,
360604009d	O tie yuondaano, ki naa bani libakuli. Yaali n pugdi, o pia ku ñɔniagu yeni mi niama yianu, uni n cuoni yeni ki nanga, a kɔnkɔna, ti sugdi, ku tuotabgu,
360605007e	Nufanu nunfandanba ñɔniama yaama n ki pia gbenma. Bi tudi i mɔmɔni sanu, ki maali ke mi yenŋɔdma tie ŋalmani tuonli i.
360606004b	Lani n yeni mi yenŋɔdma yeni li pamanli n tie ya ŋalmani n yabi ñiali.
3606070050	Kelima ti ki cua yeni libakuli ŋanduna nni ne. Ti go kan gedi yeni libakuli mo.
360608005a	Lanwani ii, ti ya pia tin ba di yaali yeni tin ba ŋagni ti gbanu yeni yaali, li dagdi ti.
36060900c0	Ama, yaaba n kpaani ke ban tua ŋalmandanba, bani n baali mi biigma nni, ku diagu nni, yeni ya ŋalmanbuama n ki pia mayuli, ki tulni ba, ki kuandi bi niba u ŋmanbiidu yeni u dogu biidma nni.
36060a0093	Kelima, mi ligibuama n tie ti tuonbiadi kuli jiinjali; nitianba ba i ligi, ki ji bodi ki fagdi yeni U Tienu sanu, ki kuani bi yuli ti yanyagdi nni.
36060b0087	Ama fini, U nilo, ŋan sani ki ŋa lanya bona ki na lingi mi teginma, mi yenŋɔdma, ti dudugdi sanu, mi buama, li juunli, ti nimɔndi.
36060c00a4	ŋan kɔni ti dudugdi kɔkɔnmɔnli, ŋan cuo ban yini a ya miali n ki pia gbenma ya po, yaali ya po ke a tieni kasiedimɔno a dudugdi po bi nib boncianli nintuali.
36060d0082	N miadi a U Tienu yua n tieni bonlikuli li miali nintuali yeni Jesu Kiristi yua waani kasiedmɔno o dudugdi po Pɔnsi Pilati kani,
36060e007f	ke ŋan kubi U Tienu ñɔmaama bonŋanla ki ŋɔdi ya yema n ki pia taglibakuli, haliyeni ti Diedo Jesu Kiristi ń ba dɔgdi.
36060f00a2	Yua n ba kadi ki waani ti kpiagdi yudaano, u paaciamu daano, bi badcianba ya badciamo, bi diediba ya diedo, yua n kubi ya miali n ki pia gbenma, li yogu ya pundi,
360610008b	Yua n ye ban kan nandi ya yenma kani, yua ke niloba kuli ki kpeli ki la, ki go kan la halibada, yua n yeni ti yudandi yeni u paaciamu. Ami!
36061100cf	ŋan tundi ŋanduna ne ŋalmandanba ke ban da tie japaadanba, ki go da kuani bi dandanli ya piama n ki pia dugdi po, ama, ban ya daani U Tienu nni, wani yua n puuni ya piamɔnma n pia ti po li pamanli todma.
3606120074	ŋan tundi ba, ban ya tie yaali n ŋani, bi piama ń ya yabi a tuadŋama, ti bulcindi yeni ya nuu n tiani yama nni.
3606130064	Bi ya tie yeni, bi ba taani ki dogni ya piama ya fiagli n paa ki ŋani, ki fidi ki baa ya miamɔnli.
360614008c	Timote, ŋan ŋanbi ki guudi ban teni a yaali ki nan ŋa ya maacianma n ki tie maamɔnma, kaa pia mayuli, yeni u nufanu bancianma n̄ɔniagu
3606150069	yaagu ke yaaba n tudi ki fagdi yeni ti dudugdi taa ke gu tua bi tuonli. U Tienu ŋanbli ń ya ye yeni a.
3700000008	2 Timote
3701010089	Min pɔl yua tie Jesus tondo kelima u tienu yanbuama po wan sɔni k min waani u tienu n den niani ya miali n ye Jesus kristi nni ya maama
370102007d	n bibuadiga Timoti, n fuondi: ti baa u tienu yeni yesu kristi ti diedo n yadi pun ŋa l ŋanbili, m yanduama yeni ŋalibalga.
3701030062	N tuoni u tienu min tuuni yua po yini ya pali siedi n ŋani nani ti yaajanba n den tuuni opo maama
3701040037	N tiani a ninsiidi po ki gɔ sun k la ŋa n pali mangi.
370105007f	N tiani a dandanmɔl po a yaa Lowisa yeni a naa Yunisa n den kpel pia ya dandanli buolu, n bani cain ka mo ko pia ldandanbuolu.
370106007e	Lan po i: ki bua ŋan yaa tundi tigi nani o muu yeni u Tienu n den puni a ya ŋanbili-paabu min den maani apo n nii ya yogunu.
3701070067	U Tienu k puni ti yaa fuoma k pia jeje o puni ti ya fuoma pia li papaali yeni mi buama yeni l yukubili.
37010800bb	Daa jie mani fe yeni yin tiedi ya sieda o diedo po, daa jie ba fe fini mono yua ye t yonmdli nni g dugn i o ya po. taa ya paalu k o tienu tieni k tuo m cacagnma dugn i u Tienu ñɔmaamapo
3701090094	Wan fie'ti k gɔ yin'ti k ti ya ye m foŋanma nni, L ya sua k u tiel'i laa tie ti ya tuona po kaa, ama u den tuodi k bobn i ki dugni o ŋalbalgo po.
37010a00be	Mɔla ti candaano yesu kristi cuama ŋanduna dogidi po l ŋanbiliwan yesus den paadi m kuuma paalu ki dɔgdi ti po l miali yala n baa ye ya yogunu kuli ki dugni o labaaŋanli wanginma ya po.
37010b004e	Utienu den puogn i ke me tua l labaalŋamo wangika yeni o tondo yeni u bangika
37010c00aa	L po n cedi k laadi ya fala ne mɔlane ama mi jie i fe l po baawaamu kelima m bani mi daanu yua ki go bani ke pia u paalu ki ba fidi ki kubi m pianli haali l daal n pundi
37010d0085	ŋan den gbadi n kan yaa mamɔma ba tie a po bontogidikaala. ŋan ya ŋua ma k se ki paa l dandanla nni ti pia yaala yesus kristi nni
37010e0064	ŋan ya kubi u tienu n den piana ya pianŋanli kelime u Tienu foŋam yua ye yeni ti nni ya paalu po.
37010f005f	A bani ke ti diema yaaba ba Asi diema lebidi ki ŋa nni Fijela yeni Elimojena tie b siiga yaabi
3701100086	O diedo n ya gba Onisifola yeni o deni yaabi po m niñima kelima o den yi duani i yama k mangidi i palawan den jie ki fe n kpaadi i po
3701110047	Wan den cua loma ya yogunu o den tieni ania ki lingi nni haali k la nni
3701120072	O diedo n gbadi opo mi nñima o guacuama daali. a bani ki cie nilo kukli wan den nni ya todima kuli min den Efesa.
3702010042	Fini n big, ya pagd a pal yen ya ŋalbalgin yen yesu kilisu niini.
3702020068	A tunda yal k a bang n kan k kasielb bocial tuo a po, bogdli ya nub k a dan bi po k ba fid ki wan bitab.
370203003d	ŋan tuo ki ga fala yen nni, nan yesu kilisu ya nannangu yen.
370204004d	Yua n kua t sojed k bua wan mang o canba pal kan jɔd o yeyienu boam bona po.
3702050034	Nasanlo k o ga e panpan kaa cɔnln ban blo ya kuana.
370206003f	Ya kpakuolo n ko paa n tie yua n ba cil ki mang o pal taagu po.
370207003c	Maal ŋamma min mara yal yen yom dan ba nan gbad l bona kul.
3702080061	Fin n tiad yesu kilisu po, yua fi bi kpienb sigan, dafid yabil, yal naan yen min muandi ya labal.
370209005b	Lan labal poe kin cangin, hal ki ban lolin nan o kukpal yen. O tienu maam, lan wan ki luol.
37020a0098	N gan li maaba kul yen li junl, kilisu yab ya po k o tienu gagd, lan fid bimɔn la ya fabu n yesu kilisu, yen ya kpagidi n ki pia gben yen yal yeg yenl.
37020b0051	Klma li maama tie moamoɔn ne: li ya tua k t kpe yen o, yen wan, ti ba fuo yen o.
37020c004b	Li ya tua ki ti tugn yen o t ba pia o palu. Ama ti ya yieo omoɔ ba yie ti.
37020d0046	Ti yaa tieg yeno, wan wan baa ye n tiegman klma o kan fid ki yie o ba.
37020e006e	Lane ki li bual min ya tiada yog kul. O tienu ki bua n niam: la pugd pu. Li yaa tie lan bid yab n song yaa ka.
37020f0084	Pag aba ki sed o tienu nug nan ya nulo n bobn, k kua li tuonl kaa pia wansan k ŋa li tuonl, klma o wangi o tienu maam yen e mumɔn.
3702100060	ŋa ti miyoyod yen yamb n k tie li dandal yab. yab ta bi ba k tenb, b fagd yogu kul yen o tienu.
3702110068	Li nub maam tie nan li bofuodl yen ki li ŋman k ban gben t gbanand. Li tie nan d yimane yen filet yene.
370212005b	Bi den fagd e mon ki mali kin yiedm tienped o, yeni, bi ji ye ki ŋand bocianl li dandanln.
37021300de	Li yogunu goga, o tienu tan pupal se yen no maam yal tie o po bam: yomdan baan yaab n tie o yaab, yua n taa yomdan yel kul ba fagidi yen o. yam i dan ban yab tie o nub “yua n ye ki o tie ti yom i dan, wan fagd ti bid.”
3702140092	O dieciangun, wula yen a ligi babaa bi be ka ye, li yɔgli yen ti dad ya boba. Cincin na yal tie b yumandaciab yi yale. A tien a mɔn na tagn kul.
3702150099	Li ŋan, nulo ya cua oba min mad yal kul po. o baa tie ya bobl n bobn a tuonŋanma po, k gud pli pli, ki mon o danopo, ki pia n yaam a tuonŋanna kul po.
3702160072	Fagd yen ya yeyienu n ba bid o nupano. Sɔn a palyukiba l dandanl, n buam, yen n yanduam yen ya dab n ban o tienu.
370217004e	Yie ti yajaga bid yen yayajaga n ki pia tanpul; a ban kili cuon yen a konkona.
370218007f	Ama, la wan ti yomdan o tuinsonlo wan ya pia konkona. li bɔl ki wan ya pia n buam yua kul po. Ki ba fid tund, ki go ga amaaba.
3702190065	O ba ŋagd yen li pisonl yab n ki ban o tienu. ŋaa ban o tienu ya kan lebd bi yeyienu ban baa emonn?
37021a005b	bi ba guan ki ba bi yeyien ŋannu ki ŋan stan jalm yal n kub ti yonbdan ki bi suan o buam.
370301002f	Yi ban k bona kul gbem yogu ba paa hal bocienl.
37030200af	Bi nub ba waan b ba paa, k ba bua elig ciam bi ba duond bi ba yen ki kan cɔoln nul, bi ba sugd o tienu, yen bi go kan cɔoln b danb, bi ba tie mundanb kan cɔln o tienu bona.
370303007a	bi kan muɔ bi ñunŋim yen sugl nub, bi ba tie fagu danb bi kan fid kub bi ba, bi ba tie nkum danb yen bi ka bua boŋanl.
370304005d	Biba tie yaal ki bi buɔ yal, kba waan biba. Biba kuɔr binub, biba buɔ bobiigu cie O tienu.
3703050068	Ama bkaan fini yaa tie danka mɔni, kelima babuɔ yale tie U tienu Fuoŋaam yaa palo. Da ŋuɔ laa nubi.
3703060050	Bitiam baa fidi kuɔ a diena botienni ke ñuun ñɔk bi puo yaab k ka haal yoko.
3703070042	Ya puo n pia ŋanduna buam hal bocienl, ama ba fid bang li mumuni.
3703080092	Nan Jannes yen Jambile n den yiie Moiis maam, lan Jab moko yie e mɔamɔan. Bi tie ya nub ya malm n ki ŋan, bi dandanl moko ki pa a bigna yogunu.
370309005e	Bi kaan fidi ya di kca, kelima yua kul baa la bi garem. L den tien o nan ya bomlieb fakodaanpo
37030a0065	Ama fini, a den tien nania k cɔal n maam, n yeyie nu, n yaan jaga, n ddaan, n junl, n buam, n faala.
37030b00b0	Fini mɔro a den la binuba dmabni ŋlire yen n den la ya falaa paa Antiyɔsini, Ikoniɔm yen Listri dogoni. N den la ya falaa kuli a n den kobiyen yokuli n Yɔmdaan den faabni.
37030c0044	Moni yab kul tuo ke biba fo yen U tien, yen Yesu Kristi ba la falaa.
37030d0078	Amaa, a nub biada yen atigbadaan yok kuul ba kuɔ li tuolbidini, bina tund kua ti tuondbidini ki buande biba yen biliem.
37030e004f	Ama fini ŋam yaakub a den baang yali yen dandal kul len yua kan ka den baango.
37030f0070	haal nan a den tie big, a den baang o tienu omaama mɔni, yal ba fid ten yal ŋan ki tien faabu yesu kilisu nni.
37031000ad	Kelma minmɔn kul ñan o tien kan yal ñan ki ba fid tund o nul nni, ki ba fid ki jalgo. Ki ba ŋangd o yen ki ba fid ki paago, o yeyienu ya naani yen o tienu buam ya saanu.
3703110044	Lan ba tod otienu nulo wan ya bobd oba cain ki suan tuonl ŋanl kul.
3704010093	U tienu nintuali nni yeni jesu kilisi nintuali nni ke ti ten'a ya ñɔbonli ne bani yaaba baa bua yaaba fuo yeni yaaba n kpe kuli bi kpiagidi kani.
370402008f	ya wangi u tienu maama ki ya se ki paa, uyogu ya pundi yeni laa pundi kuli. yie yaala ki ŋani, ki baagi bi niba yeni itundi yeni li padingili.
37040300e6	Kelima u yogu cuoni ke bi niba kan kuni i mɔmɔani tundi, bi ba teni bi yula u faagu bankaaba i. Yaaba baa bnagi ba bani bi bà n bua yaala. Li bontienikaana nni, ke bi bua ki ya cengi yaali baa mangidi bani bi bà ya tuba nni.
370404004a	Bi ba ñaani bi tuba k daa cengi mɔmɔani maama i, ki ŋa yaali n jɔgni.
370405007f	Ama fini u tienu nulo ŋan daa tie yua sɔngi li bonli kuli nni, ki pa fala yognu ki sɔni u tienu maama. Hali lan pundi maama.
3704060039	Mini wan cabi im yuli lan ya ye mani n gednma yognu pundi
370407003e	N kɔni i mɔmɔani kɔnli; ngbeni n cenli; n kubi n dandanli.
37040800ae	U tienu maam feliga biili po, ya badi fogiliga ke yonmdaano yua tiegi n ba teni n yaaga ti buudi daali. Li ka tie mini baba ka, ama li baa tie yaaba gbadi o buama maama kuli.
370409002e	Tieni ania fini a bà ki tuodi ki cua n kani.
37040a0067	Kelima Demasi ŋaani duliña buama po i. O gedi Tesaloniki. Kresansi gedi galati Titi mo gedi dalimati.
37040b0050	Mini ye luk baba n ye. Ta Maarki yin yegi cua, kelima o baa pia buam a tuona po.
37040c001a	N sɔni Ticiki hali Efesi.
37040d0062	Li liadili yua ke n ŋA Troasi Karpisi deni a cuoni n kani ŋan ya kubi. Yeni a tila, a tilikpela.
37040e0055	O maano Alesanda den mi biadima hali ke pendi buama, o yonmdaano ba ŋmian'o o tuona.
37040f0037	ŋan cuo a bà yen'o, kelima o tie yibali ti maama po.
3704100067	N cincin fala nni o bà kuli den k sedi taani nni bi kuli den sani ki ŋaa n i. ban daa ta ki jalig'i.
3704110092	Ama n yomdaano gaa n, ki go kpaagi n ke min fidi ki ya wangi o labaŋanmo ki fidi ke bi nilanba n gbadi. Yeni k o den gaani o yangbanlo ñɔbu nni
370412009e	N yomdaano ba tugi nni ki ya ñandi n ti tuobiadi kuli nni, ki go gaa n i o kpiagidi deni tanpoli naani n ŋani wan ya die ti kpiagidi yognu n tu yognu amina.
370413004a	ŋan fuondi n po Pisika yeni Akilasi, yeni Onesifode deni yaaba kuli n po.
3704140033	Erasti sedi Kolinta, k ŋa Tolifima yua yia Miiliti
3704150065	Mɔndi ki cua k u fawaagu daa pundi. Ebulisi, Pudensi, Linis, Klodia yeni i naataani kuli fuondi ŋa.
3704160056	T yomdaano Jesu kilisi fuoŋanma n ya ye yen'a k u Tienu ŋanbidi n ya ye yeni i kuli.
3800000004	Tidi
38010100c7	li tiline tie Pɔl n tena, wani tie U tienu Tuosɔnlo yen Jesu ŋɔtielo, yaab k U tienu lukdbi. O den lukd minn k n coanbi U tienu dandaanl ni yen k go waanbi mumuni kul tunda yal tie ti dandanlepo.
380102006e	Yen lan fidi bin yaa pia ya mial kaan gbeni. Ya Tienu k puɔ faag den puon ti yal mieli kaan gbel haali yoknu.
3801030073	O yogn den pudi, Pɔl den waano omaam yen olabaal moni yaal ke o den teni, yeni U tienu yaa palopo yuaan ti Fietua.
3801040081	N fuoda, Tidi n big buaadi kiti ya dendalin: N Jaandi k U tienu t baa yen Yesu Kristu ti Fietua n tena o ŋalebalk yen n yanduam.
3801050085	N den ŋaaŋaan Kreti dogoon yen lan fidi naan jodi letuol ki guani k bobni dogu kuli jandierin liga jabaa yen min den waan maanma. b
38010600b2	L buɔl k ligi yaaba kul lin yaa pia ya yeyienu ŋaan yen waan da tie ncocom. li boal k be yaan firi daan o bilaa po, o bilaa yeyenu lin yaa ŋaan cien k go yaa ŋaam jini bibaa.
38010700d4	L yaapo, li buɔl ki jandiogu ligi yua da pia nangma, kelima o tie U tien deni liga yua. li ya po cedi ko ka tie yoa pia bidi onini ba pibinli, okan ya tie dañulo, likonkonl dano. Ki da pia ya bona k coyeni efe.
3801080086	wan ya tie o cangalo, o ŋanmu yadonl, o baa tie yoa ŋaam maali, k tuoli ŋani, o yeyinnu kaan pia jɔgnd ki go ya tie yoa cɔln oba.
380109008d	wan ŋami k ya kubi labal ŋamo ya nanani ban den tundo yalaa. Li ya po obaa fidi k ya pagdii olieba nani atud ŋamaa ki yie yala k tie lani.
38010a009e	Kelima bocienli yie ke bi kaan coɔl U tienu mumuni. Bi ŋmand bi nuba yula k baan yaa ŋoa yala tie b ma faagu. Ti la binubanii bocienl ñaani Jufi yaaba ni.
38010b006e	L buɔli ki nan munni bi ñanaa, kelima bi gulg ti diedi kul k moandi yalan kii bual, kelima bi kpaan ne ligi.
38010c008e	Kreti yaaba den pia yoa k bi den yio sawal pual, O madi; k bi yaa nubaa tie faodanba, Bi tie ya yandi bia, yen ajidiciama yen bi kpaljidaanba.
38010d0063	Didi mani ya bubud ŋan: L buɔl k yin yaa ŋaanm jalgbi yen ban fid i ki ya pia li dandanl ŋanli.
38010e0065	ki baan da ŋoan Juifbaa maam yeni ya yikodi ki bi nub biliki fidi ki ŋmagdi binubi yaal tie mumuni.
38010f0099	“yen yaa ba ŋam ŋani O tienu, lekul ŋani” ama ya nuba pia ti jɔkn yen n kan daama. Ba pu k ŋani bi nugani. Bi malma yen bi yan jagli kul jognoo.
3801100087	L ya po b mɔdo made k bi ban O tienu, ama bi yeyienu k ta yen O tien maam. Kelima nul ki buabi yen bi kan fedi suan tuol ŋanl ba kul.
380201003f	Fin wan n maad o tienu maam nann o tienu kadaogn maad nand yen.
38020200a9	Maad a nukpela k ban ya tie caanba mamodam. k b nu ban ya colin ba, ban ya pie i malŋam, ki ya pie u palu l dindanlin. K ban ya pie n buom b lieb po ki ya pie l ñingl.
38020300af	A puo nikpela mon n ya pie n mal ŋam o tienu nungaan, a puo nikpela n da tie puobiad ba. Ban bie da tie ya b tug b ba k caab yen m daam. A puo nikpela n ya tien i cegl ŋann.
3802040093	o puo nikpela n cegl i puo bid ban ya pie i yan luom k bie ya buoa b caalb maam yen b biid maam. A puo nikpela n te k t puo bid n dagd k bie ŋaan.
380205007d	T puo bid n ya tie puo yanfodanba k bie ya kagii, ban jin bi ba b caalb nungan. lan n tie o tienu maad yal en maam n ya tuol.
3802060031	A maad nacenb mɔn, k b yen yem n ya ŋan k dagd.
380207005f	fin mono n ya suɔn a tuon ŋama b nubin ya lad a kan, a cegli n ya tuol k bie ya pie u colung.
3802080063	A maam n ya tuol k b nuba daa niena. k lan te k i yibal la n ya ye i fein. k ban da fid k jalg tii.
3802090052	A go te ki yanb mon ya coln b caanbaam bonl kulin. ban ya manngd b caanbaab paala.
38020a007a	K ban da bond b caanbaaba paala. K bie da fa u faag, ban ya wang b ba k b tie numonb lan n b wan k o tienu maam tie mumom.
38020b0045	Ala o tienu ŋalbalg bo dogd nan u falu n ñanan k bad b nub po yeni.
38020c00cc	u falu n yi ced tin ña o tienu mutuolin k go san k fagd yen ŋanuna yab n suan ya tuonbiid n, mola ne wan t ji b fid k yaye ya, yen yem n ŋam k dagd yen ti, k bie gbie yen ya cɔlung k t b tien o tienu.
38020d006c	Ti ya guu k t tuonan yaa k t suan n ya mangd o tienu pal k bie gbengd u b ja jiesu sanl t baa colin o maami.
38020e009f	Wan n tug u ba k yid salg t bid po k bua wan ŋam ti t bid buolu kul, t bo ye yene k bie ŋud ti yen o som yal bo wul i dipunponl po yen ya nuba ku bo lugd ba.
38020f006e	Did yal k a b tun k ten b nub. ŋam b paag nub pala nand. ŋan son la yen yikod. k u ba n da fid k mab n d na.
380301008a	Ya tiadi'bi ban yi tieni bi yudanba yeni bi yikodanba n bua yaali, ki cɔlni 'bi k go yi bobni i bà ki cegini tuonŋanli kuli sɔnma po.
3803020076	Tiadi'bi ki ban daa maadi mabiigu nulo po, ki lɔgidi a kunkɔna, ki cɔlni i lieba, ki gɔ jiini i bà i lieba kani.
38030300c7	Ti mo bo ki cengi niba k gɔ ki cɔlni. K bodi kaa ji yeni ti bà mi cacagnma nni yeni u manu nni. Ti bo ye ti biidi nni yeni ki nanga nni. Ti bo k bua ti lieba ki go pia ti yantiabiidi ti lieba po.
3803040033	Ama u Tienu ti gaaka numɔndugu po yeni o buama po,
3803050088	O gaa ti po ki laa tie ti tuoŋanma yeni ti mɔnkundi po ka ama o sugli po. O gaa ti mi ñinwulma malma nni yeni fuoŋanma lebidima nni.
3803060042	Jesu Kristi ti gaaka po, u Tienu yadi fuonŋanma ti po ke li yabi.
380307004e	O bo tieli li ki dugi k o ŋanbidi po tin mɔ n tua faadiila li manpaanli nni.
380308008f	Sawalo ne tie ti dugi o po i. N bua k ŋan yaa maadi ki dugi li bona po i. Lan fidi yaala ki yaaba n dugi uTienu po n tieni a bonŋana b liigi.
380309006b	Ama lɔgidi yikodi makpaga, a kunkɔna, yeni u buolu paadnma. Li tie ya bona ki dagidi yenli k gɔ ki mɔni
38030a0050	fagini a bà yeni ya daano maadi ki guani ledi ki bua mi paadinma ki siiga nni.
38030b0051	Ki bani ke o nulo ne ki tuagi u sansiedu, k o tie ti biidi ki go bu ki cuo o bà
38030c0073	Mini n ba ti sɔni ŋa Artmasi bii Tiki, kagini a bà ki cua n kani Nikopoli min cuo ke n baa ye naani gu faawaagu
38030d0050	kagini ki baa yeni Zenasi, yiko gbanbandiciamo, yeni Apolosi, k lba n daa pɔdi.
38030e007a	Ti niba ba bangi a tuoŋanma sɔnmi ki fidi ñani i payiani yia mɔni ki daa tie ya niba kan fidi tieni bonli lan ba binmi
38030f0047	Yaaba n ye ne kuli fuondi ŋa. Fuondi yaaba n bua ti ki gɔ dugi ti po.
3900000006	Filimo
3901010066	min Pɔl yua tie dansalg Jesu kristo po yeni ti nijua Timote fuod filimo ti dɔnli yen ti tuosonlielo.
3901020039	Appia ti nisaalo yen Archik yua tie ti sije lielo Otienu.
390103003f	Otienu ti ba yen ti yomdano yesu n ten yi o palu yen li pamanl.
390104002f	N tug nni ki band Otienu ya yogu ki jandi a po.
3901050061	N gba ki b maad ŋanpia ya buam yen ti dugid yal ka pia ti yomdan yesu po yen yab n daan o niini.
390106005f	N miad Otienu ki ya ŋuntagu ki ti pia n ya tiee yen a tuona, yen a boŋama yal ki ti baa sonn.
3901070071	N waan li pamancianl yen li paapal ya yogu kin gbad ka suan yen n buam po maam. n nijua, klma a paag dankab paal.
3901080035	lan n ced, yen ya ŋaam k kilisu ten min waang tuonl.
3901090079	li ŋan n buam po min mia ya miabun, k ya li tie min tie yua: Min pɔl ki tie nikpelo, mada k n tie yonbl yesu kilisu po.
39010a0050	N miada omiabu yaltie n big onesimi, k ji tua e nanlgan ba ne kamane, yomdiegun.
39010b003a	waa den cili pia buam ama monlan ji mon min yen fin ya po.
39010c002f	N suano wan guana kan o tie nan ngbanand bogdm.
39010d0053	N ya po bi bua waa ya ye n kan: o bi ba fid ga o tuonl ki son n po li laba manl po.
39010e0073	Mi bua mintien bonl ka gbad a ŋonbun lan fid ya ŋanbu ka ba tien n da paalu po ba n kalgm, ama lan ya tie a buam.
39010f004e	klma ŋma ban li ba fid onesimi den paad yena lan fid nan guan k lao yogu kul.
3901100088	La tie nan o yombo, ama ki tie yen o yombo. nan ya ninjua buado. O tien paa, o ba tie a po lede. Nn waan tie ji yen ninjal ti yomdan ni.
390111002d	O ñutaagun ya nin, gao nan li bi ya tie min.
