0100000014	Medheteththa Maxaafa
2a0b1f00b0	Dugeha dere macca kawoya Solomoone erateth beyanaas biitta gaxappe dendada yida gishshas pirda wode iza ha yeletara dendada pirdana; hekko Solomooneppe aadhdhizaadey haan dees.
2a0b20009b	Yoonaasi sabbakishin siyidi Nannawe asay ba nagarappe maarettida gishshas ha yeletara issife dendidi pirdana; gido attiin Yoonaasappe aadhdhizay haan dees.
2a0b210070	«Xomppe oyththidi kareppe geliza asas poo7ana mala qoncceson woththeettes attiin geemason woththiza asi deenna.
2a0b220097	Ne asateththas poo7oy ne ayfe; ne ayfey paxa gidikko ne kumeththa asateththayka poo7o gidana; ne ayfey sakettiko ne kumeththa asateththay dhuma gidana.
2a0b230039	Hessa gishshas nenan diza poo7oy dhumontta mala naagetta.
2a0b240095	Histtiko ne asateththay poo7o gidikko dhumida asateththi deenna aggiko ne kumeththa asateththay xomppey lo7eththi poo7iza mala lo7i beettana» gides.
2a0b25004f	Yesusi haasaya wursida mala issi Farsaawey banara quma maanaas Yesusa xeygides.
2a0b260043	Yesusi quma maana kushe meecettontta aggidayssa be7idi malalettida.
2a0b270091	Goday izas, «Ha7i intte Farsaaweti xuu7assinne keres bolla bagga meecci geeshsheeta; inttes giddo baggazi uuzeteththaninne iitateththan kumides.
2a0b280042	Intteno eeyatoo! Kare bagga medhdhiday giddo bagga medhdhibeennee?
2a0b290054	Yo7on gidikko giddon dizayssa muxuwaata immite; he wode wurikka inttes geesh gidana.
2a0b2a0116	«Intteno Farsaawetoo! Inttes aayye ana! Aanugappenne xalotappe qasseka dumma dumma kaththafe tammaafe issino kesseeta; gido attiin tumu pirdanne Xoos dosanayssa aggi aadhdheeta; gidikkoka intte aggi aadhdhanaas bessenna; hankkoyssa aggontta intte ooththana bessizaytikka hayta.
2a0b2b0099	«Intteno Farsaawetoo! Inttes aayye ana! Ayhuda Woosa Keeththan uttanaas bonchcho oyde koyeeta; giya giddonkka asay intte sinththan hokkana mala doseeta.
2a0b2c0062	Asi erontta iza bollara biza qotetti diza duufo intte misatiza gishshas inttes aayye ana!» gides.
2a0b2d0068	Muse wogaa erizaytappe issoy zaaridi, «Astamaaree! Ne hessaththo haasayza wode nunakka cayaasa» gides.
2a0b2e00a9	Yesusikka zaaridi, «Intteno Muse wogaa erizaytoo intteska aayye ana! Asi tookkanaas dandayontta deexo tooho as toosseeta; intte gidikko biradhdhe xeerankka bochcheketa.
2a0b2f0050	«Intte Aawati wodhida nabeta duufo intte lo7eththiza gishshas inttes aayye ana.
2a0b30006e	Histtiko intte intte aawata ooso minththiza markkatta; istti nabeta wodhida; intteka istta duufo lo7eththeeta.
2a0b310086	«Hessa gishshas Xoossa erateththi, ‹Nabetanne Hawaareta ta isttas yeddana; isttika isttafe issaa issaa wodhana; haratakka gooddana.
2a0b320072	Hessa gishshas ha yeletay biittay medhettoosofe ha7i gakkanaas gukkida nabeta ubbaa suuththaa gishshas oyshettana.
2a0b3300ae	Aabeele suuththafe doommidi yarshizasoppenne Xoossa Keeththa giddon gukkida Zakaraasa suuththa gakkanaas koyeettes› gadus. Ee ta inttes gizay ha yeletay hayssas oyshettana.
2a0b340090	«Intteno woga erizaytoo! Inttes aayye ana! Erateththa penge qulpe wolqqara woththi ekkidi intteska gelibeekketa; gelanaytakka diggeeta» gides.
2a0b350054	Yesusi heeppe kezidaappe guye Xaafetinne Farsaaweti eqettishe oyshan shempo diggida.
2a0b360034	Iza doonappe keziza qaalan iza qaxxanaas naagettida.
2a0c0100a9	He wode daro derey ba giddon issoy issaara yedhettana gakkanaas shiiqi uttidaashe Yesusi bana kaallizayta, «Farsaaweta irshofe naagettite; hessika qoodheppe qommo hano.
2a0c020048	Qonccontta kamettidi attanaynne erettontta qotan attana miishshi deenna.
2a0c030091	Hessa gishshas intte geeman haasaydaazi wuri qoncce kezana; qasseka intte qol7an hayththan saasuketti haasaydaazi wuri dere sinththan yootettana.
2a0c04006f	«Ta laggetoo! Ta inttes gizay asho xalla wodhanaappe attiin hara aykkoka ooththanaas dandayonttaytas babbofte.
2a0c0500ba	Gido attiin intte babbanaas bessizay oonakko ta inttena bessana; asho wodhidaappe guye ashonne shempo issife gaththi Gaanname taman yegganaas dandayzayssas babbite; ee izas babbite gays.
2a0c060064	«Siine kafo ichchashati nam7u santes bayzetteettes; gido attiin isttafe issineyokka Xoossi dogenna.
2a0c070066	Intte hu7e binanay kumeth taybon dees; hessa gishshas babbofte; daro Siine kafotappe intte aadhdheeta.
2a0c08008c	«Ta inttes yootays; ta gishshas asa sinththan markkattiza asa ubbaas Asa Nay qasseka Xoossa kiitanchcha sinththan iza gishshas markkattana.
2a0c090053	Gido attiin asa sinththan tana kaddidaadey Xoossa Kiitanchcha sinththan kaddettana.
2a0c0a006c	«Asa Naa bolla kawushsha qaala haasayzaades nagaray wuri maarettanashin Xillo Ayana cayizaadey maarettenna.
2a0c0b0091	«Asay inttena oykkidi dere haarizaytakkonne godatizaytakko; Ayhuda Woosa Keeththe oykki efikko, ‹Ay gi zaarinoo? Ay giinoo?› giidi hirgofte.
2a0c0c0059	Ays giikko intte haasayanaas bessizayssa Xillo Ayanay he wode inttena tamaarsana» gides.
2a0c0d0083	Daro asaa giddofe issaadey, «Astamaaree! Ta ishay nu aawaa laata miishshaafe tana gakkizayssa taas immana mala izas yoota» gides.
2a0c0e004f	Yesusikka, «Haysso! Tana intte bolla pirdiza daanna ooththiday oonee?» gides.
2a0c0f0090	Qasseka isttas, «Asas daro miishshi diikkoka shemppoy he dureteththan dontta gishshas naagettite; yiiqeteththafe inttena keehi naagite» gides.
2a0c100055	Zaareththidikka isttas, «Lo7eththi kath immiza gade godaa gidida issi dure asi dees.
2a0c11006d	He addezikka ba wozinan, ‹Ta kaththaa shiishshada woththizasoy baynda gishshas ay ooththoo?› gi qoppides.
2a0c12008a	«Addezikka, ‹Taas diza gootarata laallada hara aakkizayssa keexxana; histtada taas diza kaththaanne taas dizaaz ubbaa izan shiishshana.
2a0c13006a	Ta shemppoyee! Daro wodes gidiza kath shiishshida gishshas shempa uttada ma; uya; ufayetta› gaana gides.
2a0c140099	«Gido attiin, ‹Xoossi haysso eeyazoo! Ne shemppoyo hach omars neeppe ekkana koyeettes; hessa gishshas ne nees shiishshidayssi oonas gidanee?› gides.
2a0c15007b	«Hessa gishshas Xoossa achchan dure gidontta baas miishshe shiishshiza asa wurseththika hessa mala» gi leemison yootides.
2a0c160091	Hessafe guye Yesusi bana kaallizaytas, «Inttes ta yootays; intte duussas, ‹Ay maanaakko woykko intte bollas ay may7anaakko› giidi ceecopite.
2a0c170041	Ays giikko shemppoy kaththafe asateththi qasse may7ofe aadhdhees.
2a0c180092	Quurota xeellite zerettenna; maxettenna; kath shiishshiza gootaray isttas baa shin Xoossi istta mizees. Histtiko intte isttafe keehi aadhdheketii?
2a0c190059	Gido attiin inttefe darssi qoppidi ba layththa bolla issi gallas gujjana dandayzay oonee?
2a0c1a005b	Histtiko guuththa miish oosoy inttes dandayettonttaashe ays hara miishshas keehi qoppeetii?
2a0c1b00a4	«Ciishshati waanidi diccizaakko ane xeellite; waayettenna; suqettenna; gido attiin ta inttes yootays; Solomooneykka gita asa shin isttafe issineyththo may7ibeenna.
2a0c1c0096	Histtiko Xoossi hach beettidi wonto taman wodhdhana maata hayssaththo mayzizaa gidikko intteno ammanoy paccidaytoo! Inttena wostti aaththi mayizennee?
2a0c1d0053	«Hessa gishshas, ‹Ay miinoo? Ay may7inoo?› giidi intte wozinay darssi qoppofo.
2a0c1e006f	Biitta bollan diza asi wuri hayssa koyees; gido attiin hayssi wuri inttes koshshizayssa intte Salo Aaway erees.
2a0c1f0054	Ubbaafekka koyroththidi Xoossa kawoteth koyite; hayssi wuri inttes gujetti imettana.
2a0c200077	«Intteno guuththa wude mehe mala gididaytoo! Kawoteth inttes immanaas intte Aawaas lo7o qofa gidida gishshas babbofte.
2a0c210081	Inttes dizayssa bayzidi manqotas immite; kaysoy ekkonttason, bilay monttason, cimmontta korojon wurontta miish salon shiishshite.
2a0c220033	Intte wozinay intte miishshi dizason daana» gides.
2a0c230037	«Qaanththan gixxidi giigettite; intte poo7oykka poo7o,
2a0c240089	Istta goday bullachcha diggisappe simmidi yaanaashe naagettizaytanne izi yiidi penge qoxxishin elle doyanaas giigi uttida asata misatite.
2a0c2500a9	Istta goday yiza wode dhiskontta naagi uttida ashkarati istti anjjettidayta; ta inttes tumu gays; istta goday baas qaanththan gixxi eqqidi istta maaddan utissidi mizana.
2a0c260060	Omars woykko leela giddoththan yiidi istti dhiskontta dishin demmiko he ashkarati anjjettidayta.
2a0c27006c	Kaysoy ay wode yaanaakko erizaa gididaakko keeththaa goday kaysoy bookkishin co7u giidi bessonttayssa erite.
2a0c280051	Asa Nay intte qoppontta woden yaanayssa eridi intteka giigettidi naagite» gides.
2a0c29005c	Phexroosikka, «Godoo! Hayssa leemisoza ne yootizay nuus xallayee? Ubba asaassaraa?» gides.
2a0c2a008b	Godaykka, «Histtiko baso asaas koshshiza woden quma immana mala keeththaadey keeththa asaa bolla woththiza ammanettida wozinama asi oonee?
2a0c2b0045	Goday simmishin hessaththo ooththishe beettizaadey izi anjjettidaade.
2a0c2c0043	Ta inttes tumu gays; baas diza miish ubbaa bolla hessaade godasana.
2a0c2d009e	Gido attiin, ‹Izaadey ta goday elle yeenna gam7ana› gi qoppidi adde ashkaratanne macca ashkarata bukkiko, qasseka koyida mala miidinne uyidi maththottiko,
2a0c2e0096	hessaade goday izi qoppontta gallassan yaana giidi ezgontta saaten yaana; histtidi iza qanxxereththi yeggidi iza exa ammanonttaytara issife ooththana.
2a0c2f005f	«Ba godaa qofaa eridi giigettonttaynne godaa shene ooththontta ashkaray iita shoch shocettana.
2a0c3000af	Gido attiin erontta dishe shochchas bessiza mooro ooththida ashkaray guuththara shocettana; daro imettida asa ubbaafe daroy koyettees; daro hadara ekkidaadefe daroy koyettees.
2a0c310062	«Tani yiday biitta bollan tama eeththanaassa; he tamay ha7i eexxi kezidaakko tana daro ufayssana.
2a0c32005f	Gido attiin tani xammaqettana xinqatay dees; he xinqatay polettanaashe tani keeha metotettadis.
2a0c330078	Inttes tani biitta bolla saro ehana yidaa misatizee? Gidenna; ta inttes yootays; tani yiday issaa issaafe shaakkanaassa.
2a0c34009f	Hayssafe sinththan issi keeththan ba giddon shaakettida ichchashu asati daana. Nam7ati heedzdzata bolla heedzdzati nam7ata bolla dendidi ba giddon shaakettana.
2a0c3500d3	Aaway ba attuma naa bolla, attuma naykka ba aawaa bolla, aaya ba macca nay bolla, macca nayakka ba aayey bolla, bollota ba naa machchi bolla, naa machchaka ba bolloti bolla dendidi ba giddon shaakettana» gides.
2a0c36008a	Qasseka derezas, «Intte arshey mokkiza baggara shaaray kezishin be7idi, ‹Ellerakka iray yaana gees› geeta; intte gida malakka hanees.
2a0c37005e	Dugeha baggara pudeha carkishin, ‹Gallassay ho7o gidana› geeta; intte gida malakka hanees.
2a0c38007c	Intteno Lo7o misatiza iitatoo; saloyssanne sa7a medha be7idi hananayssa ereeta shin ha wodeza eroy inttena waani xoonizee?»
2a0c390025	«Histtiko intte ays tuma pirdeketii?
2a0c3a00e0	«Ne morkkera daanna sinththan eqqana bishin buro oge bollan dashe izara giigana oge koya; ne histtontta aggiko izi nena goochchidi daanna sinth efana; daannayka nena aaththidi halaqas immana; halaqaykka nena woynen yeggana.
2a0c3b0067	Ta nees yootays; daannay pirdida wurseththa santiyo qanxxa wursana gakkanaas ne heeppe kezakka» gides.
2a0d010089	He wode issi issi asati Yesusaakko yiidi, «Philaxoosi istta suuth istta yarshora gaththi walakkida Galila asata» gishe Yesusas yootida.
2a0d0200ad	Izikka zaaridi, «Histtiin hessa mala metoy istta bolla gakkida asati hankko waayey gakkontta attida Galila asaa ubbaafe aadhdhida nagaranchcha gidida gishshas gi qoppeetii?
2a0d03005a	Gidenna! Ta inttes yootays; intte maarettontta ixxiko intte wurikka he asata mala dhayana.
2a0d040098	Woykko Selihoomen gimbey istta bolla kundiin hayqqida tammanne osppun asati Yerusalaamen diza asaa ubbaafe nagaranchcha gidida gishshas giidi qoppeetii?
2a0d050062	Gidenna! Ta inttes yootays; intte maarettontta ixxiko intte wurikka he asata mala dhayana» gides.
2a0d060093	Qasseka isttas, «Issi asi woyne tokkizasohon tokettida issi balase miththi dawus; he balase miththayko ayfe koyana yiidi issi ayfekka demmibeenna.
2a0d0700e8	Woyne atakilte ooththizayssas, ‹Hekko tani ayfe demmana gaada hachchira heedzdzu layth ha balaseykko simeretta yaada issi ayfekka demmabeekke; hessa gishshas izo qanxxa digga! Aazas coo biittaa xunxazee?› giidi leemiso yootides.
2a0d080069	Izikka zaaridi, ‹Godoo! Tani izi xaphon osha yeggada ooseththa xeellana mala ha layththas aggaagarkkii?
2a0d090048	Yiza layththas iza ayfikko lo7o; ayfontta ixxiko qanxxandasa›» gides.
2a0d0a003f	Yesusi Sambata gallas issi Ayhuda Woosa Keeththan tamaarsishin,
2a0d0b00a4	tammanne osppun layth kumeth iita ayanay oykkidi asateththaa pacisida issi maccassaya heen dawus; izakka zokkoy quunnida gishshas mulekka dhoqqu gaanaas dandayukku.
2a0d0c006b	Yesusi izo be7idaappe guye xeygidi, «Hanne maccassayee! Neni nena sakkiza hargezappe paxadasakko!» gides.
2a0d0d005a	Yesusi ba kushe izi bolla woththiin iza heerakka sitti gaada eqqadus; Xoossaaka galatadus.
2a0d0e00e6	Ayhudata Woosa Keeththa halaqazikka Sambata gallas paththidayssas Yesusa bolla hanqettidi izakko yiza dereza, «Oosos bessiza usuppun gallassati diza gishshas he ooso gallassatan yiidi paxite attiin Sambata gallas yoopite» gides.
2a0d0f00b8	Godaykka zaaridi, «Intteno qoodheppe qommon haasayzaytoo! Intte giddofe issaadey ba boora woykko ba hare Sambata gallas bason qashettidasoppe birshidi haaththe ushshanaas efi erennee?
2a0d10009d	Histtiin hanna maccassaya Abrahaame naa gidada tammanne osppun layth kumeth Xala7ey qachchiin dizasoppe Sambata gallas birshettanaas izis bessennee?» gides.
2a0d110088	Yesusi hizgi oychchida wode izara eqettizayti wurikka yeellatida; gido attiin derey wurikka izi oychchida malalisiza oyshan ufayettides.
2a0d120052	Qasseka Yesusi zaaridi, «Xoossa Kawoteththi ay misatizee? Ta izo aazara leemisoo?
2a0d1300b1	Issi asi Sanafice geetettiza miththa ayfe ba gaden tokkiin mokka diccada gita gidiin kafoti izi hagga giddon duussaso giigsana gakkanaas diccida sanafice mith misatawus» gides.
2a0d14002b	Qasseka, «Xoossa Kawoteth aazara leemisoo?
2a0d15005b	Issi maccassi munuqa caalisanaas daro dhiillera walakkida guuththa irsho misatawus» gides.
2a0d160065	Hessafe guye Yesusi Yerusalaame bishe kanththi biza katamaninne gutatan asaa tamaarsishe aadhdhishin,
2a0d1700c0	issaadey izakko shiiqidi, «Godoo! Pirdafe guuththa asati xalla attanee?» gi oychchides. Izikka zaaridi, «Xunththa pengeyra gelanaas baaxetite; daroti gelanaas koyeettes shin isttas hanenna.
2a0d1900c9	Keeththaa goday dendidi ba kare gordi gidiin intte karen eqqidi, ‹Godoo! Kare doyarkkii!› giidi penge qoxxana shin izi zaaridi, ‹Intte oonakkonne awappe yidaakko ta inttena erikke› gaana gides.
2a0d1a0073	«Intteka izas zaaridi, ‹Nuni nenara issife midossinne issife uyidos; nu dubbushan ne nuna tamaarsadasa› gaana.
2a0d1b008f	«Izikka zaaridi, ‹Inttena intte oonakkonne intte awappe yidaakko ta inttena erikke; intte makkallati wurikka taappe haakkite› gaana gides.
2a0d1c00a0	«Intte Abrahaame, Yisaaqa, Yaaqoobenne nabeta ubbata Xoossa Kawoteththan be7iza wode intte karen yegetti attiko he wode inttes yeehonne achcha garccech gidana.
2a0d1d006e	Asay arshey mokkiza baggafenne wulliza baggafe pudehappenne dugehappe yiidi Xoossa Kawoteththa maaddan uttana.
2a0d1e0074	Hekko guyen dizaytappe baggayti sinththe aadhdhana, sinththan dizaytappe baggayti guye aadhdhanayti deettes» gides.
2a0d1f0072	He wode Farsaawetappe issi issi asi yiidi, «Herdoosi nena wodhanaas koyza gishshas hayssafe denda kichcha» gida.
2a0d2000b9	Yesusi isttas, «Tani buro, ‹Hachchinne wonto daydanththata asappe kessana; hargizaytakka paththana; heedzdzanththo gallas ta qofaso ta gaththana› gides giidi he worakanaas yootite.
2a0d21007e	Gido attiin nabey Yerusalaameppe harason hayqqanaas bessontta gishshas hachchinne wonto wontoppeynka ta sinththe buus gujjana.
2a0d2200cd	«Hanne Yerusalaame nabeta wodhizaaree! Neekko kiitettidayta shuchchara caddizaaree! Kuttoy ba ciyeta ba qefe gars shiishshiza mala ne nayta shiishshanaas aappun wode koyadinaashin ne gidikko akkay gadasa.
2a0d23009f	Hekko intte keeththay kayzides; ta inttes yootays, ‹Godaa sunththan yizaadey anjjettides› intte gaana wodey gakkanaashe nam7anththo tana beyekketa» gides.
2a0e010094	Issi gallas Yesusi quma maanaas Farsaaweta halaqatappe issaa soo gelida wode asay wuri Yesusi ay ooththanaakko giidi ayfe iza bolla tokki xeellides.
2a0e020048	Heenkka izas asateththay puuriin waayettiza issi asi iza sinththan dees.
2a0e030085	Yesusikka Muse wogaa erizaytanne Farsaaweta, «Sakettizaade Sambata gallas paththanaas koshshizeyee? Koshshennee?» giidi oychchides.
2a0e04003c	Isttika co7u gida; izikka addeza bochchidi paththi yeddides.
2a0e050080	Qasseka, «Inttefe issi asas Sambata gallas nay woykko booray kundidi ollan gelikko eeson heerakka kessonttaadey oonee?» gides.
2a0e060039	Isttika oyshaas aykko zaarokka demmanaas dandaybeettenna.
2a0e07004d	Xeygettida asati uttanaas bonchchoso koyishin Yesusi be7idi leemisora isttas,
2a0e080060	«Issi asi nena sarges xeygikko bonchchoson uttofa; neeppe bollara bonchchettizaadey xeygettiko,
2a0e090079	inttena nam7atakka xeygidaadey yiidi, ‹Ne uttidasohoza hayssaades yedda› gaana; nenikka yeellatashe ziqqaso baandasa.
2a0e0a00cb	Gido attiin ne xeygettida wode ziqqaso xeellada utta; nena xeygidaadey yiidi, ‹Ta laggezoo! Haa ya dhoqqasohon utta› gaandes; nenikka he wode nenara maaddan uttida asaa ubbaa sinththan bonchchettana.
2a0e0b0067	Gaasoykka bana dhoqqu histtizaadey wuri ziqqi gaana; bana ziqqi histtizaadey wuri dhoqqu gaana» gides.
2a0e0c00b9	Yesusikka xeygida addeza, «Quma woykko kawo mizanaas xeyssiko neyssaththo nena xeyssidi mizontta mala ne laggeta woykko ne ishata, ne dabbota woykko dureta woykko dure gutata xeygoppa.
2a0e0d0071	Gido attiin asaa xeyssada mizana koykko manqota, kushey, tohoy baynda wobbetanne qooqeta xeyssa; neni anjjettana.
2a0e0e0068	Xeygettidayti kushe zaaranaas dandayontta gishshas xillota denththa wode nees kushey zaarettana» gides.
2a0e0f0082	Maaddan Yesusara issife uttidaytappe issoy hayssa siyidi, «Xoossa Kawoteththan shiiqidi maaddaafe miza asi anjjettidaade» gides.
2a0e100040	Yesusikka, «Issi asi wolqqama gibira giigsidi daro as xeygides.
2a0e110088	«Gibira maana wodeykka gakkiin xeygettida imaththata, ‹Wurikka giigida gishshas haa yiite!› giidi xeygana mala ba ashkara yeddides.
2a0e12008a	Gido attiin wurikka baas hara gaaso shiishshidi issoy, ‹Ha7i gade shammadis; ta baada beyanaas bessees; hachchis tana lanccofa› gides.
2a0e130074	«Hankkoyssika, ‹Tani ichchashu waaxa boora shammadis; istta paacca xeellana gishshas hach tana lanccofa› gides.
2a0e140057	«Qasse hara issaadeyka, ‹Tani buro mishirateththan days; baanaas dandaykke› gides.
2a0e150101	«Oosanchchazi kiitettidasoppe simmidi heedzdzati gidayssa ba godaas yootides; he wodekka gibira giigsidayssi hanqettidi oosanchchaza, ‹Elle oyddu oge kezada manqota, kusheynne tohoy baynda wobbeta, qomaaxatanne ayfey baynda qooqeta haa gelththa› gides.
2a0e160072	«Oosanchchazikka zaaridi, ‹Ta Godoo! Ne tana azazidayssa ubbaa poladis; ha7ikka hara uteththasoy dees› gides.
2a0e17007b	«Godazikka oosanchchaza, ‹Gede oyddu oge kezada ta keeththe kumana mala pudenne duge aadhdhizayta wolqqara haa gelththa.
2a0e180058	Tani tuma gays; gibiraa maana xeygettidaytappe issaadeyka doonan gelththenna›» gides.
2a0e19003a	Daro derey izara issife bizayssa Yesusi be7idi guye simmi,
2a0e1a0092	«Taakko yizay wuri ba aawaa, ba machchonne nayta, ba ishatanne michcheta, ba shemppo gidiin ixxontta aggiko tana kaallizaade gidanaas dandayenna.
2a0e1b004a	Ba masqale tookkidi tana kaallonttay tana kaallizaade gidanaas dandayenna.
2a0e1c0083	«Inttefe issi asi keeththe keexxanaas koykko polanaas dandayanaakkonne dandayonttaakko koyrottidi baas diza bira qopponttay oonee?
2a0e1d0059	Keeththaa keexxana doommidi wursanaas hanontta ixxiko be7ida asi wuri iza bolla miiccana.
2a0e1e0051	Isttika, ‹Hayssi addezi keeththe keexo oykkides shin polibeenna› gi miiccana.
2a0e1f0096	«Woykko issi kawoy hara kawora olas giigettidi nam7u tammu shii as ekki yiza kawo zaaranaas tammu shii ola asara zaaranaakko uttidi qopponttay oonee?
2a0e20005d	Ola zaaranaas dandayetontta misatidi beettiko buro haahon dishin maqaynnanaas gaanna yeddees.
2a0e210061	Hessaththoka inttefe oonakka gidiin baas dizayssa aggonttay tana kaallizaade gidanaas dandayenna.
2a0e220053	«Maxiney lo7oshin ba maxineteththaa mal7o yeddiko zaaridi waani mal7ana dandayzee?
2a0e230063	Gaden yeggiin aradisontta gishshas coo kare wora yegettees; siyiza hayththi diza asi siyo!» gides.
2a0f010060	Issi gallas qaraxa shiishshizaytinne nagaranchchati wuri Yesusappe siyanaas iza achchi shiiqida.
2a0f02006e	Farsaawetinne Xaafeti, «Hayssi addezi nagaranchchata ixxenna; isttarakka mees» giidi ba giddon zuuzumettida.
2a0f030028	Yesusikka isttas leemiso hizgi yootides;
2a0f0400b3	«Intte giddofe issaades xeetu dorsi diikko he xeetu dorsatappe issina dhaykko attida uddufun tammanne uddufunata demban yeggidi dhaydayssa demmana gakkanaas koyana bonttay oonee?
2a0f050027	Demmidi ufayssara hashen tookki ekkidi,
2a0f06007c	baso simmees; ba laggetanne guta asata issi bolla xeygidi, ‹Dhayda ta dorsayo demmadis; tanara issife ufayettite› gaana.
2a0f07009b	Ta inttes yootays, ‹Hessaththoka maaroteth koshshontta uddufun tammanne uddufun xillotappe maareteththan geliza issi nagaranchchan salon ufays gidana.›
2a0f0800a8	«Woykko issi tammu bira santey diza maccassaya he tammaafe issineya dhaykko xomppe oyththada demmana gakkanaas keeththa gars pittada lo7eththa koyontta maccassi oonee?
2a0f09008f	Izakka demmida wode ba laggetanne ba gutata issife xeygada, ‹Taappe dhayda bira santiyo demmida gishshas tanara issife ufayettite› gaandus.
2a0f0a0077	Ta inttes yootays; ‹Hessaththoka maarotan geliza issi nagaranchcha asan Xoossa kiitanchchata achchan ufays gidana.›
2a0f0b001f	«Issaades nam7u nayti deettes.
2a0f0c0090	Isttafekka kaalo naazi ba aawaa, ‹Aabboo! Nees diza miishshaafe ta gishaa taas imma› gides. Aawaykka baas diza miishshaa ba naytas gishides.
2a0f0d009d	«Daro wode gam7ontta dishe kaalo naazi ba miishshaa ubbaa shiishshi ekkidi haaho biitta bides; heenkka baas diza miishshaa go7ay baynda coo mela dhayssides.
2a0f0e005e	Izikka baas dizayssa ubbaa dhayssidaappe guye he biittan iita koshay dendiin daro waayettides.
2a0f0f007d	Hessa gishshas he deren diza asaappe issaadeko shiiqides; izaadeyka ba guddunth heemmana mala guddunth heemmizasoho yeddides.
2a0f10005f	Naazikka guddunththati miza harqqozappe maanaas amottides shin hessaka immizaadey beettibeenna.
2a0f110087	«Gido attiin iza wozinay simmida wode, ‹Ta aawa ashkarata aappunatappe kaththi palahizee shin tani hayssan gafan hayqqana matadinaa?
2a0f12004a	Dendada ta aawa soo baada aabboo! Salon Xoossaa, sa7an ta nena qohadis.›
2a0f130074	Hayssafe guye, ‹Tani ne naa geetettada xeygettanaas taas bessenna; ne ashkaratappe issaa mala tana qooda› gides.
2a0f140092	Hessa gishshas dendidi ba aawaakko bides; gido attiin buro izi haahora yishin aaway beyi mishettidinne izakko woxxi biidi idimmi oykkidi yeerides.
2a0f150084	«Naazikka, ‹Aabboo! Salon Xoossaa, sa7an ta nena qohadis; hayssafe guye ta ne naa geetettada xeygettanaas taas bessenna› gides.
2a0f160089	«Gido attiin aaway ashkaratas, ‹Eesotidi ubbaafe doorettida may7o ehidi mayzite; iza biradhdhen migido, iza tohonkka caamma aaththite.
2a0f170039	Modhdho mirgo boora ehidi shukkite; ane miidi ufayettoos.
2a0f180068	Hayssi ta naazi hayqqides shin paxides; dhaydes shin beettides› gides; hessafe guye ufayeteth oykkida.
2a0f190069	«Hessi haniza wode bayra naazi goshshason dees; heeppeka simmidi soo matida wode diiththa duris siyides.
2a0f1a0044	Izikka ashkaratappe issaa xeygidi, ‹Hessi aazee?› gi oychchides.
2a0f1b0076	Ashkarazikka, ‹Ne ishay yides; izi saroninne lo7on simmida gishshas ne aaway modhdho mirgo boora shukkides› gides.
2a0f1c006b	«Bayra ishazikka hanqettidi soo gelanaaska koyibeenna. Aawaykka kare kezidi izi soo gelana mala woossides.
2a0f1d00d8	Gido attiin izikka zaaridi aawaas, ‹Hekko tani hayssa gakkanaas nees aylle mala ooththadis; ne azazoppe issinokka pacisabeekke; gido attiin tani ta laggetara ufayettana mala ne taas issi deysha laaqqaka immabeekka.
2a0f1e007b	Gido attiin hayssi ne naazi nees dizayssa ubbaa laymatizaytara wursidi yishin modhdho mirgo boora izas shukkadasa› gides.
2a0f1f0050	«Aawaykka, ‹Ta naazoo ne ubba wode tanara daasa; taas gididay wurikka neessa.
2a0f200074	Hayssi ne ishay hayqqides shin paxides; dhaydes shin beettides; hessa gishshas nuni ufayettanaas bessees› gides.»
2a100100b5	Yesusi bana kaallizaytas, «Issi dure adde dayssas iza keeththaa ayssiza issi asi dees; izi he dure addeza miishshaa ogey baynda laallizayssa worey dure addeza hayththan wodhdhides.
2a100200dc	Dure addezi he addeza xeygidi, ‹Haysso ta siyizayssi hessi aazee? Hayssafe doommada ne ta keeththaa ayssizaade gidanaas dandayontta gishshas ne alaafeteththan giddon diza miishshaa oykkida mazgabaa taas zaara› gides.
2a100300b7	«Keeththaa ayssiza addezi ba wozinara, ‹Ta goday tana ta alaafeteththaafe gooddana gees; goya maanaas taas wolqqay baa; woossanaas yeellatays; hessa gishshas ay ooththoo?› giidi,
2a10040051	tani alaafeteththaafe kezikko asay tana mokki ekkana mala ooththana oge ta erays.
2a10050087	«Hessa gishshas iza godaa acoy istta bolla diza asata issaa issaa xeygides. Koyro yidayssa, ‹Ne bolla godaa acoy aappunee?› gides.
2a100600a8	«‹Issi xeetu xaaro kumeththa zaytey ta bolla dees› gides; alaafezi zaaridi kase ne faramida waraqataa hey ekka uttada elle ichchashu tammu xaaro gaada xaafa gides.
2a100700cd	«Kaallidi hankkoyssa, ‹Nech, ne bolla aappuni dizee?› gides. ‹Xeetu ogoro gisttey dees› gides; alaafezi zaaridi, ‹Kase ne tal7ashe faramida waraqataa hey osppun tammu ogoro gaada xaafa› gides.
2a100800b4	«Godazikka shocechchiza alaafezi ooththida cinccateththaa gishshas iza nashshides; hayssabha alameza nayti bana misatizaytara diza gaagoteththan poo7o naytappe aadhdhida cinccata.
2a100900a3	«Hessa gishshas tani inttena gizay ha biittaa miishshay wurida wode mernaa keeththan intte ekettana mala ha7i inttes diza miishshaara inttes lagge medhdhite gays.
2a100a0086	Guuththa miishshan ammanettizaadey daro miishshankka ammanettana; guuththa miishshan ammanettonttaadey daro miishshankka ammanettenna.
