2800000006	IMatta
2b05280043	Kindọ ni inu tọrọ nọ ba ọkọ shi mi kọ peni ọkyuọ.
2b05290038	“Imẹ ka ta yira mi ujọọ kukushi shi bajiya ba”
2b052a004f	Ki imẹ ye nu, iva sa ye si inu shi nu nọ uyoo Ọnọng kidẹ ikwyi nu ba.
2b052b007f	Imẹ ba kidẹ nọ uca Ate mi, inu ta yira mi ba, ipeni ace aghọ ba kidẹ nọ uca ẹrẹkwyuẹ nga ni, inu ki yira nga.
2b052c00b1	Nanyi kọ ni inu ki ma aipang ka akyua umani inu wang peni ujọọ kushi ace nu, ni inu ta wang nọ peni ujọọ mani ukunu kukushi Ọnọng umani anga shi ka ayayu nga ba?
2b052d0081	Inu ma tẹri si iki kyaa ashuwa nu kukushi Ate yi ba. Aghọ ki kyaa ashuwa nga shi iMusa, umani inu sa ikwyi si anga ki foo nu.
2b052e006d	Tẹri si inu ma aipang ni iMusa ni, inu ta kọ ma aipang ni imẹ, ki iMusa wọọ kaya ẹrẹkwyuẹ mi.
2b052f005e	Ipeni inu ra ma nu aipang kini imumani awọọ ba ni, nanyi kọ ni inu ki ma aipang kọ?”
2b06010084	Awii ra ya woru bọ ni, iYesu va bulu ki kyaa udaa ugẹẹ ẹrẹyẹma aGalili, aka ba yọrọ wọ si ẹrẹyẹma aTibariya.
2b0602004d	Ikir bajiya lite nọ uyii nga, ka anu amaa nọ uma umani asọ ju na adumu.
2b06030031	IYesu va kila nga izizẹ ki cica kina atina nga.
2b0604002f	Ka akyakyua ri ni, agya ubulu ya sọ ba ayayo.
2b0605008e	IYesu ya sang ẹrẹkwyuẹ ki nu ikir bajiya ni, aba tẹri iFilibus si, “Abi wọ ni ayọ ki ghẹ imila umani iki maa ajiya ri kọ?”
2b06060045	IYesu ghulu iFilibus kindọ ka amara nga wọ ka aye imumani aki ju.
2b06070083	IFilibus ba yira nga ki tẹri si, “Ufẹ ipii itin aghọtina ki maa yọ na aghẹ imila umani kwinga ki peni na zẹẹ ba.”
2b0608005e	Aghaye kidẹ atina nga aghọnọ uca si Andrawus, anayuru iSiman iYahaya va tẹri iYesu si,
2b0609007c	“Ace ananọ wẹ na asi ni agbọ ubiredi itọ kina itagbo ipai. Ikẹmbọ wọ yi idi ima ki ju na ajiya ri kindii?”
2b060a0089	IYesu ba tẹri bọ si, “Inu sa ajiya ka acica.” Uka ni ọbọng shiya nagigang. Aghẹmẹ va cica, afuma agha araji ushọ atọ.
2b060b00a2	IYesu ba kpaa agbọ ubiredi, aya kpẹẹ usa Ọnọng izaa ni, aba kau aghọmani aci, aba bọ nadidu imumani iki maa bọ kọ. Kindii wọ na aju ni itagbo.
2b060c005b	Aya la ki suu ni, aba tẹri atina nga si, “Inu curu awo na ashẹ ka aba bra yọ ba.”
2b060d008c	Atina va curu awo ubiredi ki tii ka ọkọọ ushọ nọ upai, awo umani ashẹ kidẹ agbọ ubiredi utọ kọ umani ajiya kpẹẹ ula.
2b060e008b	Ajiya ya nu amaa imu wo ica ni iYesu ju ni, aba tẹri si, “Aipang, anga shi aghọ pii kọ ọtọ Ọnọng umani asi aki ba asing.”
2b060f0079	IYesu ya kpẹlẹ si, ajiya wang kpaa nga ni ẹrẹkyuọ ka ama nga ẹrẹgọm ni, aba vuu nga aya izizẹ kayu nga.
2b06100040	Ughẹ ya kpaa ni, atina iYesu ka sang ki kyabọ ẹrẹyẹma.
2b0611009e	Akyua ra ni uka ya sang uba ni itii, iYesu sa kọ sang nga uba ukushi bọ ba. Atina va ghila bọ idẹ ọgbọlọ ki kpẹnẹ ubulu kyabọ aKafarnahum.
2b06120046	Ẹrẹyẹma kpẹnẹ utiyagha ka uce uwuru ẹrẹkyuọ sọ tẹ.
2b06130092	Aya tẹ ki fuma amel atai ko anari ni, aba nu iYesu na akyeng kaya na amusum, asọ ba nga ayayo kina ọgbọlọ. Atina va kọọ ẹrẹbata.
2b06140043	IYesu va tẹri bọ si, “Imẹẹ, ba kọọ ẹrẹbata ba.”
2b0615006a	Aba tọ yira nga kidẹ ọgbọlọ. Kidẹ anakyua ni ọgbọlọ nga fuma uka umani aki kyabọ kọ.
2b061600d7	Ikyua ya yẹẹ na ushẹ bajiya na aci ka uhwo udaa ugẹẹ ẹrẹyẹma ba kpẹlẹ si ọgbọlọ uye wọ ba ukaa, akpẹlẹ si iYesu ta ghila nga ọgbọlọ kina atina ba, atina nga bọ kyaa kayu bọ.
2b0617008c	Ace agbọlọ umani aba ka aTibariya tara kọ ka ayayo kina uka umani ajiya la ubiredi wọ kọ utumu umani akpẹẹ usa Ọnọng izaa.
2b06180088	Ajiya ya nu ni iYesu kina atina nga shi bọ ya kọ ukaa ba ni, aba ghila bọ ọgbọlọ ki kyabọ aKafarnahum na asọ wang iYesu.
2b06190079	Aya nu nga ka udaa ugẹẹ ẹrẹyẹma ni, aba ghulu nga si, “Aghọmẹẹ, agba awii wọ ni ingọ ki ba wọ?”
2b061a009b	IYesu va yira bọ si, “Aipang, imẹ sọ tẹri nu, inu sọ wang ka inu la ubiredi ki suu, ba si inu kpẹlẹ si amaa uma usa uwo ica ni imẹ ju ba.
2b061b00f5	Inu ba duma na uwang imila ni ika bra yọ ba, inu ju utina kaya imila umani ishi yọ na amara ba inga uma ọkyuọ utaa amaa. Imila umani Anọ Ajiya ki ma nu yidii. Ka aya Anọ Ajiya wọ ni Ate Ọnọng kọ sa amaa uyeni nga uyira nu.”
2b061c0061	Ajiya ba ghulu iYesu si, “Ikẹmbọ na ayọ ki ju ka ayọ hwura uma umani Ọnọng wang?”
2b061d0066	IYesu ba yira bọ si, “Imumani Ọnọng wang si inu ju yẹ, inu ma aipang ka aghọmani atuma.”
2b061e0086	Ajiya va ghulu iYesu si, “Aligba amaa uwo ica nga ni inu ki ju ka ayọ nu ni ayọ ma aipang ni ingọ. Ikẹmbọ ni ingọ ki ju?
2b061f007f	Ananirakpẹẹ bayọ la umanna ka aghumu, kọnọ umani awọọ upii Ọnọng si, “Ama bọ imila ka ayaya ka ala.’”
2b06200087	IYesu ba yira bọ si, “Aipang, imẹ sọ tẹri nu, iMusa nga ma nu imila ra ka ayaya ba, Ate mi nga ka ma nu imila aipang ka yaya.
2b0621003d	Imila Ọnọng yọ ka shulu ka ayaya na asing ọkyuọ.”
2b06220055	Aba tẹri nga si, “Aghọ aghaghẹ, ka ma ayọ ighọ imila ri kwaligba awii!”
2b062300c7	IYesu yira ki tẹri bọ si, “Imẹ shi imila uma ọkyuọ, aghọmani aba ukushi mi ni, aki sọ kọọ nga idafo ba, aghọmani ama aipang ni imẹ ni, aki sọ kọọ nga idafo na amusum ba.
2b06240045	Kọnọ umani imẹ tẹri nu ni, inu nu mi, inu ta ma nu aipang ba.
2b06250061	Nadidu aghọmani Ate ma mi ni, aki ba ukushi mi, aghọmani aba ukushi mi ni, iki kla mi nga ba.
2b06260055	Ka imẹ shulu mi ka ayaya ki imẹ ba ju uyoo mi ba, uyoo aghọmani a tuma mi wọ.
2b0627007b	Uyoo aghọmani a tuma ni, imẹ ba vulu agha ayaye kọ kidẹ aghọmani a ma mi ba, imẹ sang bọ ka awii usang asing.
2b0628009f	Ka uyoo Ate mi wọ si, nadidu aghọmani asọ kra Anọ ni, ki va ma aipang ni nga ni, ashi na ọkyuọ utaa amaa, imẹ ki va sang nga awii usang asing.”
2b06290065	AYahudawa va duma kidẹ ikwyi bọ ni iYesu ka atẹri si, “Imẹ shi imila ni ishulu ka ayaya.”
2b062a00ad	AYahudawa si, “Ba iYesu wẹ ri ba, anọ iYusufu aghọmani ayọ ye ate nga kina ayuru nga nadidu ba? Ikẹmbọ sa ka akyakyua ri na asi, ‘Imẹ shulu ka ayaya’?”
2b062b0041	IYesu ba yira bọ si, “Inu shee uduma ki ikwyi nu kina ace nu.
2b062c0083	Ba aghọmani aki bra uba ukushi mi, in ba si Ate umani a tuma mi nga waa nga ba, imẹ ki va sang adidu ajiya ka awii usang asing.
2b062d00c1	Awọọ kidẹ ẹrẹwọ aghọ pii kọ ọtọ Ọnọng si, ‘Nadidu bọ ni Ọnọng nga ki mẹẹ bọ.’ Nadidu aghọmani akọọ, ki va mẹẹ kukushi Ate ni, aka ba ukushi mi.
2b062e005d	Ba aghọmani akọ nu Ate in ba si aghọmani a kunu kukushi Ọnọng ba, agna kọ nu Ate.
2b062f0059	Aipang ni isọ tẹri nu, nadidu aghọmani ama aipang ni ashi nọ ọkyuọ utaa amaa.
2b0630001e	Imẹ shi imila uma ọkyuọ.
2b06310046	Ananirakpẹẹ nu la umanna ka aghumu, nadidu kindọ ni akpuru bọ.
2b0632004f	Ni imila umani ika shulu ka ayaya ka nadidu aghọmani ala ni, aki kpoo nga ba.
2b063300d6	Imẹ shi imila umani ika shulu ka ayaya. Nadidu aghọmani ala imila ri ni, aki peni ọkyuọ ki ta kọ sang asing. Imila ri ni inọma ẹrẹnọma mi yọ, ingọ umani imẹ ki ma ka asing peni ọkyuọ.”
2b0634008a	AYahudawa ba tee aghọ linang kina ace bọ, asọ ju si, “Nagyi wọ ni ajiya ri ki ma ayọ inọma ẹrẹnọma nga ka ayọ la?”
2b063500b0	IYesu ba tẹri bọ si, “Aipang, imẹ sọ tẹri nu inkini inu ta la nu inọma ẹrẹnọma Anọ Ajiya ki sa ayi nga ba ni, inu shi nu nọ ọkyuọ kidẹ nu ba wudu.
2b0636009c	Nadidu aghọmani asọ la inọma ẹrẹnọma mi, na asọ va sa ayi ẹrẹnọma mi ni, ashi na ọkyuọ utaa amaa, imẹ ki sang nga kọ sang asing.
2b06370052	Ka inọma ẹrẹnọma mi ni, imila aipang yọ, ayi mi ni, uma usa aipang yọ.
2b06380076	Nadidu aghọmani asọ inọma ẹrẹnọma mi, na asọ va sa ayi mi ni, ashi kidẹ mi, imẹ kọ shi kidẹ nga.
2b063900a4	Kọnọ umani Ate akyuọ tuma mi ni, kaya nga wọ ni imẹ sọ cẹ wọ, kindii wọ ni aghọmani akpaa mi kina imila nga yọ ni, aki peni ọkyuọ kaya mi.
2b063a00b4	Imẹ shi imila umani ishulu ka ayaya. Ananirakpẹẹ nu la umanna, nadidu kindọ ni, akpuru bọ, nadidu aghọmani ala imila ri ni, aki peni ọkyuọ ki ta kọ sang asing.”
2b063b006a	IYesu tẹri uma ri nadidu ka akyua umani asọ mẹẹ kidẹ ọkọ takwyuẹ aYahudawa ka aKafarnahum.
2b063c008b	Ace aghọ bọ na pam kidẹ aghọyii nga ya kọọ kindọ ni, aba ju si, “Udii upii ri ni, ọlọ shiya, inga ki bra uyira wọ?”
2b063d007c	IYesu ye si aghọyii nga sọ pii na ace bọ kaya umẹẹ nga ni, aba tẹri bọ si, “Udii umẹẹ bra nu ikwyi wọ?
2b063e006a	Nagyi wọ ni inu kọọ wọ ki ikwyi nu insi inu nu Anọ Ajiya na asọ kila nga ọka umani aba wọ?
2b063f0080	Aghing nga ka ma ọkyuọ. Ẹrẹnọma shi wọ na akyuọ uju ima ba. Upii ni imẹ tẹri nu ni, aghing nga kina ọkyuọ.
2b064000a2	Ace aghọ bọ shi wọ kidẹ nu na ata ma bọ aipang ba.” Ko kpaa ka akyua ni, iYesu ye aghọmani ata ma bọ aipang ba, kina aghọmani aki gbura na wọ.
2b06410080	IYesu ba khimi utẹri si, “Uwu sa ni imẹ tẹri nu si, ‘Ba aghọmani aki bra uba ukushi mi, sa Ate ma nga akyuọ.’”
2b0642005b	IYesu ya kpẹẹ upii nga ni, ajiya na pam kidẹ aghọyii ya nga, asọ yii bọ nga ba.
2b0643003e	IYesu ba ghulu ushọ na apai si, “Inu wang kọ sang nu?”
2b0644008a	ISiman iBitrus ba yira si, “Ate, ukushi inga wọ na ayọ ki kyaa? Ingọ shina upii nọ uka ma ọkyuọ umani ushi wọ na amara ba.
2b06450047	Ayọ ma aipang, ayọ va ye si ingọ shi agha upipar Ọnọng ra.”
2b0646005c	IYesu ba yira bọ si, “Imẹ hwiya aghọ ushọ na apai, aghaye nu ni ishẹẹ wọ.”
2b06470077	Asọ yeni si iYahuda, anọ iSiman Iskariyoti, ka anga ki gbura nga kọ, ka anga ni aghaye nga kidẹ ushọ na apai.
2b0701008a	Aya sang ni iYesu ba kigor kidẹ aGalili, ni ata wang nga ukyeng kidẹ aYahudiya ba, ka aYahudawa na shiya kọ akadu wang pii nga kọ.
2b07020032	Awii usra agya nọ uzọọ aYahudawa ya sang ju,
2b0703008a	ni anayuru iYesu ba tẹri nga si, “Ushi ọdọma ni ingọ vuu kyang aYahudiya ka aghọyii ngọ ya nu uma uwọ ica nọ ọsọ ju.
2b070400a1	Nadidu aghọmani awang na aye nga nagigang ni, aki shọ nga ni uma na asọ ju ba. Insi ingọ su ju uma ri ni, yeni ẹrẹkwyuẹ ngọ ka ajiya ye ngọ.”
2b07050033	Ka ibọ anayuru iYesu ta ma bọ aipang ni nga ba.
2b07060068	Ni iYesu ba tẹri bọ si, “Akyua mi kọ sang wọ ju ba, ukushi nu ni kwaligba akyua shi na kikẹ.
2b07070076	Inu ni ashi ki bra wọ tọọ nu nga ba, imẹ ni ashi ta wang mi nga ba ka imẹ ka tẹri utina akakiya ni aka ju.
2b07080059	Inu wor kya nu uka usra agya. imẹ ta ki kya mi ba, ka akyua mi kọ sang wọ ju ba.”
2b07090050	IYesu ya kpẹẹ utẹri bọ udibi uma ri ni, ava zọnọ laa nga ka aGalili.
2b070a006e	Anayuru nga ya kpẹẹ uworu kya bọ uka usra agya ni, iYesu va woru kọ uyuyi, ata woru nga ka ayayẹ ba.
2b070b0062	AYahudawa su wang nga kọ ọkọ usra agya, asọ ghulu si, “Abi kọ ni ajiya ri shi kọ?”
2b070c00b6	Kidẹ ikir bajiya ni ajiya sọ pii na ace bọ kaya iYesu kọ uyuyi. Ace aghọ bọ sọ tẹri si, “Ajiya adaduma nga.” Ace aghọ bọ si, “Kayi, asọ dor ajiya wọ.”
2b070d005f	Ni ba aghọmani abra utẹri ila iYesu kidẹ bajiya ba, ka asọ hwiri ẹrẹbata aYahudawa.
2b070e0060	Aya fuma abiyatẹ usra agya ni, iYesu va ghila nga idẹ ọna Ọnọng ki kpẹnẹ umẹẹ.
2b070f008b	Agha akakọng aYahudawa va woo ica ki ghulu si, “Ikẹmbọ sa na ajiya ri ye uma nagigang ba si akọ kya ọkọ upila iwọọ ba?”
2b0710006c	IYesu va yira bọ si, uma umani imẹ sọ mẹẹ ni, unga mẹ bọ ba, unga aghọmani atuma mi bọọ.
2b07110076	Nadidu aghọmani hwiya uju ima ni Ọnọng wang ni, aki ye si umẹẹ mi ba kọ ukushi Ọnọng, ba ukushi mi ba.
2b071200be	Aghọmani amẹẹ uma ẹrẹkwyuẹ nga ni, awang jọọ ẹrẹkwyuẹ nga kọ. Ni aghọmani asọ jọọ aghọmani atuma mi ni, anga shi agha aipang, ni ashi nga ni utaa aipang ba.
2b07130047	iMusa nga mẹẹ nu ba? Ni ba ace aghọmani asọ yii umẹẹ ba?”
2b07140061	ajiya va yira si, “Ingọ shi nọ ushẹẹ kidẹ ngọ. Inga bu bọ wang pii ngọ kọ?”
2b0715004e	IYesu va yira bọ si, “Imẹ ju ima uwoo ica iye, ni inu woo ica nadidu nu.
2b0716008a	IMusa ma nu upii si inu sho aghumu, anga kyọ uju ba, ananirakpẹẹ bọ. Kindọ ni unu ka sho ananọ aghumu ka awii uwuru aYahudawa.
2b071700ca	In kini aki bra usho aghumu na anọ ka awii uwuru aYahudawa ni ka aju imumani umẹẹ iMusa tẹri ni, ikẹmbọ sa ni inu kọọ anaa wọ nọ umani imẹ ma ẹrẹnọma ọkyuọ ka awii uwuru?
2b07180069	inu ba tẹri ajiya ashuwa ni ima ni inu nu ni ica ba, inu tẹri ajiya ashuwa ni ima ushi na birbọ.”
2b0719005b	Na ace ajiya Urushelima tẹri si, “Ajiya ri nga na su wang na wang pii nga kọ ri ba”
2b071a006d	Awẹ ni, asọ pii ka ayaye, ata tẹri bọ nga ice ima ba. Ta agha ite kọ yira si anga shi aghọfoo ni?
2b071b0080	Uwẹ ni, ayọ ye uka ni ajiya ri kunu kọ, akyua ni aghọfoo aipang ki ba kọ ni, ba aghọ ki ye uka ni a kunu kọ ba.”
2b071c00e3	IYesu sọ mẹẹ kidẹ ọna Ọnọng ni, ava sang ẹrẹyuẹ si, “Inu ye mi, inu va ye uka ni ikunu kọ. Ita bami ni ẹrẹkyuọ ẹrẹkwyuẹ mi ba. Aghọ utuma mi ni agha aipang nga, anga ni inu ta ye nu nga ba.
2b071d0049	Imẹ ni iye nga, ka ukushi nga kọ ni imẹ kunu kọ, anga tuma mi.”
2b071e0082	IYesu ya tẹri udibi uma ri ni, ajiya nga va wang utra ukpẹnẹ nga. Ni ba aghọ piya nga ba, ka akyua nga ta kọ ju wọ ba.
2b071f009b	Kindọ ni ajiya na pam va ma aipang ni iYesu, na asọ ju si, “Ni, akyua ni aghọfoo ki ba ni, aki ju uma uwo ica ka acẹẹ uma ni ajiya ri ju ni?”
2b07200092	AFarisiyawa kọọ uma ni ajiya sọ tẹri kaya iYesu, ni afirist akakọng kina aFirisiyawa va tuma aghọ sha ọna Ọnọng sa ya kpini nga.
2b0721006d	IYesu yira bọ si, “Akyua ni iki ci kini nu si na zẹẹ, akpẹẹ ni iki vuu mi ukushi aghọ utuma mi.
2b07220055	Inu ki wang mi, ni inu ta ki nu mi nga ba. Uka ni shiya ni uta ki bra nọ uba ba.”
2b072300fb	AYahudawa va pii na ace bọ ki ju si, “Abi wọ na ki kyaa kọ na ayu ta ki peni yi nga ba? Ta aki kyaa ukushi aYahudawa na ku furu bọ na shi kina aghọmani ashi bọ aYahudawa ba ni, ka aya mẹẹ aghọmani ashi bọ aYahudawa ba ku kadu ni?
2b072400a2	Ikẹmbọ na asọ yeni na si, ‘Inu ki wang mi, ni uta ki peni mi nga ba’? Ikẹmbọ na asọ yeni si “Uka ni imẹ shiya ni uta ki bra nọ uba ba’?”
2b072500a5	Awii upra usra agya, angọ shi awii aghaghẹ usra agya ni, iYesu tara ki sang ẹrẹyuẹ ki ju si, “Nadidu aghọ kọọ usa amusum na ba ukushi mi ka aba sa.
2b07260095	Nadidu aghọ ma aipang ni me ni, ‘Avọ mẹẹ amusum umẹẹ ọkyuọ ki kunu kidẹ ikwyi nga,’ Kọnọ umani upii Ọnọng tẹri ni.”
2b072700aa	IYesu sọ pii kaya aghing Ọnọng, anga ni aghọ ma aipang ni nga ki yira, ka agha akyua ri ni a ta kọ ma bọ aghing Ọnọng ba, ka ata ku jọọ bọ iYesu ba.
2b07280081	Ajiya ya kọọ udi upii ni iYesu tẹri ni, ava ju si, “Aipang, adi aghọ ri nga si aghọ pii kọ ọtọ Ọnọng ra.”
2b0729007b	Ace aghọ bọ va ju si, “Adi aghọ ri nga si aghọfoo.” Ki ta ka kyua ri, aghọfoo ri ni aGalili nga na kunu wọ?
2b072a0089	Ba upii Ọnọng tẹri si aghọfoo ki kunu kidẹ ute uDauda ba?” Aki va kunu ka aBaitalami, anifọng umani uDauda kunu kọ ba?”
2b072b001e	Anyu bajiya va kau kaya iYesu.
2b072c0043	Ace aghọ bọ wang kpẹnẹ nga, ba aghọmani abra piya nga ba.
2b072d0082	Aghọ sha ya vuu bọ ni, afirist akakọng kina aghite aFarisiyawa va ghulu bọ si, “Ikẹmbọ sa ni uta ba nu ni nga ba?”
2b072e004b	Aghọ sha nga va yira si, “Ba ajiya na akọ pii kina ajiya ri ni ba.”
2b072f0042	AFarisiyawa va tẹri aghọ sha si, “Inu ni akọ dor nu wudii?
2b0730004d	Ta ace aghọ shi wọ kidẹ aghọ ite ko aFarisiyawa ni ama aipang ni nga?
2b07310062	Ni ikir bajiya ri ni ata ye bọ ice ima kọ umẹẹ iMusa ba, ibọ ni agha anyu ababi bọ.”
2b07320057	INikodimus aghọmani akya ukushi iYesu ka akyua, agha aye kidẹ bọ, tẹri bọ si,
2b07330072	Kọ umẹẹ iMusa ni ayọ taki bra bọ uwa ajiya ashuwa ba, sa akọọ ka anyu nga, ka ye ima ni asọ ju.”
2b07340098	Ava yira nga si, “Ingọ ni agha aGalili nga na? Kra idẹ upii Ọnọng kọ nu, ba ace aghọ pii kọ ọtọ Ọnọng na ki ba ka aGalili ba.”
2b07350013	Kwinga va kyaa aca.
2b0801002e	Ni iYesu va wor kya izizẹ na ashẹ uzaitun.
2b08020083	Ni kikyuating ni iYesu va ghila nga idẹ ọna Ọnọng. Ajiya nadidu va ba bọ ukushi nga, ava kọ cica na asọ mẹẹ bọ.
2b08030085	Na aghọmẹẹ iMusa kina aFarisiyawa va ba na yiri na akpẹnẹ nga na anyẹ kina aghẹmẹ. Ava sa nga na tara ka fatẹ bọ.
2b0804005e	Na ava ju iYesu nga si, “Aghọmẹẹ, ayiri ri ni akpẹnẹ nga na nyẹ kina aghẹmẹ.
2b0805006b	Ni, umẹẹ iMusa tẹri si ataa ighọ ri na atii sa akpuru bọ. Ni ingọ ni ingọ tẹri si ikẹ?”
2b0806008d	Aghulu nga kindi ri ka mra nga, ka peni uvulu na ki kya ni ashuwa nga. Ni iYesu va kpikpo, ki wọọ iwọọ ki ẹrẹbọ na anivọ nga.
2b08070092	Aya dẹẹ kọ ghulu iYesu nga ni, ava sisang ki tara ki ju bọ si, “Nadidu aghọ na ashi nọ uvulu ba ni akyọ uta ayiri ri nọ utii.”
2b0808003a	Ni iYesu va kpikpo ki dẹẹ kọ wọọ ki ẹrẹbọ.
2b080900b5	Aya kọọ kindọ ni, ava dẹẹ kọ sang bọ kọ ukadu ka yila ye, kọ kpaa ka aghọ ite bọ ki ta agha azazi bọ, ki she iYesu nga ka yu nga, kina ayiri na tai kite nga.
2b080a006e	Ni iYesu va sang ki tara, ki ghulu nga si, “Ayiri, abi na ashi kọ? Ba aghọ na awa ngọ ashuwa ba ni?”
2b080b007b	Ava yira si, “Ba aghọ ba.” ni iYesu ju nga si, imẹ ma ta wa ngọ nga ashuwa ba. wor, ni ba khimi uvulu kọ ba.”
2b080c0087	IYesu va khimi upẹni na ajiya si, “Imẹ shi uyeri ashi. Aghọ yii mi ta ki kyeng nga kidẹ itii ba, aki peni uyeri ọkyuọ.”
2b080d0075	Na afarisiyawa va ju iYesu nga si, “Ingọ sọ yeni ẹrẹkwyuẹ ngọ shi aipang nga ni ingọ yira kọ ba.”
2b080e00d3	IYesu va yira bọ si, “Ko ni imẹ yeni ẹrẹkwyuẹ mi ni, uyira mi ni aipang nga, ki imẹ ye uka ni ukunu kọ, kini uka ni iki kya mi kọ. Inu ta ye nu uka ni ikunu kọ ba kini uka ni ikya mi kọ ba.
2b080f004c	Unu ka kyua ashuwa kọ kyoo ajiya. Imẹ ni ika ju mi ace aghọ ashuwa ba.
2b08100072	Ko ni imẹ ki ju ashuwa ni, ashuwa mi ni aipang nga, ki imẹẹ kayu mi ba, ka Ate mi na atuma mi shi kini mẹ.
2b08110076	Kidẹ umẹẹ nu ni awọọ si, inkini agha pai tẹri ima iyeng ra ni, iyiya yọ na yira upii bọ ka aipang nga.
2b08120051	Imẹ ni ika yeni ẹrẹkwyuẹ mi, Ate aghọ tuma mi ni anga shi agha ipai.”
2b081300aa	Ava ghulu nga si, “Abi wọ ni Ate ngọ ra shi kọ?” iYesu va yira bọ si, “Inu ta ye mi nga ba, inu ta va ye nu Ate mi ba. Inu ta ye mi ni, Inu ta ye Ate mi.”
2b081400c0	IYesu tẹri upii ri ka akyua na asọ mẹẹ ka ayayo kọnọ uka ni aka kyo ufẹ na aka ma kidẹ ọna Ọnọng. Kindọ ni ba aghọ ukpẹnẹ nga ba, ka akyua nga ta kọ ju wọ ba.
2b0815009f	Ni iYesu va khimi utẹri ajiya nga si, “Imẹ ki wor, inu ki wang mi, inu ki va kpuru nu kidẹ uvulu nu. Uka ni iki kya mi ni, inu ta ki bra nu kyaa ba.”
2b0816009d	Udi sa ni agha ite aYahudawa va ju si, “Ushi ni, Aki pii ẹrẹkwyuẹ nga wọ nu nga ni a ju si, ‘Uka ni iki kya mi ni, inu taki bra nu kyaa ba’?”
2b08170096	Ni iYesu va lite nọ tẹri bọ si, “Inu shi ka ẹrẹbọ, imẹ ni ikunu ka ayaya kọ. Inu ni anga ashi ri bọ, imẹ ni anga ashi ri nga ba.
2b081800b2	Ọwọ sa ni imẹ tẹri nu si inu ki kpuru nu kidẹ uvulu nu. Ka insi inu ta ma nu aipang si aghọ ni imẹ tẹri nu si imẹ shi ba ni, inu ki kpuru nu kidẹ uvulu nu.”
2b08190084	Ibọ va ghulu iYesu nga si, “Ingọ ni inga”? IYesu va yira bọ si, “Imẹ shi aghọ ni imẹ tẹri nu kọ kpaa ka akyua.
2b081a00ba	Uma shi wo na pam ni imẹ ki bra utẹri kaya nu, ki imẹ ju nu ashuwa. Ni imẹ su tẹri ashi uma ni imẹ kọng kukushi aghọ na tuma mi kayu wọ, na asọ tẹri aipang kọ.”
2b081b003b	Ajiya nga ta kpẹlẹ bọ si asu pii ni bọ kaya Ate ba.
2b081c00fc	Ọwọ sa ni iYesu ju bọ si, “Akyua ni inu ki zẹẹ Anọ Ajiya ni, akyua ra kọ ni inu ki kpẹlẹ si imẹ shi nga. Inu ki kpẹlẹ si ita shi mi kọ uju kwikẹ nọ ubra ẹrẹkwyuẹ mi ba, ka imẹ sọ tẹri ima ni Ate tuma mi kọ.
2b081d006d	Aghọ tuma mi shi kini imẹ, ata shee mi nga kayu mi ba, ka imẹ sọ ju imumani awang kọ agba akyua.”
2b081e004b	Akyua ni iYesu sọ tẹri udibi uma ri na ajiya napam va ma aipang ni nga.
2b081f0079	IYesu va tẹri aYahudawa na ma aipang ni nga si, “In kini inu ko umẹẹ mi ni, inu ni aghọyii mi bọ anga aipang.
2b0820002e	Ni inu ki ye aipang, aipang ki ma nu ulang.”
2b08210099	Ava yira nga si, “Ayọ ni anọ Ibrahim bọ, ayọ ta kọ shi yi agira ace aghọ ba. Ni ikẹmbọ sa ni ingọ sa ju si ayọ ki peni ulang ni?”
2b08220069	IYesu va yira bọ si, “Aipang, isọ tẹri nu si, nadidu aghọ na asọ ju uvulu ni agira uvulu nga.
2b08230062	Agira ka ci nga ka aca ki ta kọ sang asing ba, ka anọ ni anga ọna nga ki ta kọ sang asing.
2b08240043	Kindii ni insi anọ ma nu ulang ni, inu ki peni ulang unga aipang.
2b08250063	Imẹ ye ni inu ni anọ Ibrahim bọ, ni inu wang pii mi kọ, ka inu ta yira nọ umẹẹ mi ba.
2b0826006a	Imẹ sọ tẹri nu imumani imẹ nu kukushi Ate mi, ni inu sọ ju imumani inu kọng kukushi ate nu.”
2b08270099	Ava yira nga si, “Ibrahim nga shi ate ba yọ.” Ni iYesu va yira bọ si, “Awasi inu na anọ Ibrahim bọ ni, inu ta kọ ju uma umani Ibrahim ju.
2b08280083	Imẹ ni ajiya nga aghọ utẹri aipang anga ni imẹ kọng kukushi Ọnọng, ni inu wang pii mi kọ. Ibrahim ta ju idi ima ba.
2b082900ba	Kindii ni inu sọ ju imumani ate nu ka ju wọ.” Ni aYahudawa va ju si, “Ayọ ni anọ useshi bọ ba. Ọnọng nga shi Ate ba yọ, anga ashi kayu nga Ate na ayọ shi ni nga.”
2b082a00e6	IYesu ju bọ si, “Ata ju si Ọnọng nga shi Ate nu ni inu ta kọ yoo mi, ka ukushi Ọnọng kọ ni imẹ kunu kọ, agha akyua ri ni imẹ wẹ kọ kẹẹ. Ita ba mi nọ ubra ẹrẹkwyuẹ mi ba, Ọnọng nga tuma mi.
2b082b005b	Ikẹmbọ sa ni inu ta kpẹlẹ nu upii mi ba? Ka inu ta bra nu ọkọng umẹẹ mi ba.
