010000000b	Kamtawngnae
31041300a7	Ahnimouh teh kayayeirai panuek awh hoeh. Noenae dawk a sawtaw awh teh kakhin e hno aphunphun hah hoehoe a sak awh nahanlah mahoima radueknae kut dawk a kâpoe awh toe.
3104140046	Hot patetlah na o awh nahan Khrih e cangkhainae hah na kamtu awh hoeh.
310415004c	Jisuh dawk lawkkatang ao e patetlah a lawk hah na thai awh teh na kamtu awh.
3104160086	Ahmaloe na hringnae, dumyen hounlounnae, lungthin hoi rawknae koe ka phat e tami karuem hah na rading awh nahan cangkhai lah na o awh.
310417004d	Hottelah cangkhai lah na onae teh a katha e lungthin na tawn awh nahane doeh.
3104180066	A katang e lannae hoi thoungnae dawk Cathut hoi kâvan lah sak lah kaawm e tami katha hah khohnat awh.
31041900b4	Hatdawkvah, laithoe e lawk hah takhoe awh nateh, lawkkatang dueng hah buet touh hoi buet touh kâdei awh. Bangkongtetpawiteh, maimouh pueng teh tak buet touh e puengcang lah o awh.
31041a0061	Na lungkhueknae dawk yon bawk sak awh hanh. Na lungkhueknae roum laipalah kanîloum sak awh hanh.
31041b0029	Kahraimathout hanelah hmuen poe awh hanh.
31041c006b	Ouk ka parawt e ni bout parawt laipalah karoedengnaw a poe thai van nahan a kut hoi thaw kahawi tawk naseh.
31041d00ae	Kakhin e lawk kam touh boehai nangmae pahni dawk hoi tâcawt sak awh hanh. Ka thai e taminaw hanelah ahawinae ao nahan a panki e patetlah roung nahane lawk dueng mah dei awh.
31041e006d	Ratangnae hnin totouh hanelah nangmouh tacikkinkung Cathut e Kathoung Muitha hah a lung mathout sak awh hanh.
31041f007c	Lungduemnae, Lungphuennae, Lungkhueknae hramkinae, tami minhmai ka mathout lah lawk deinae, hounroenae pueng hah takhoe awh.
31042000a3	Buet touh hoi buet touh kahawi hno saknae, kâpahrennae, Cathut ni Khrih thung vah nangmae yon a ngaithoum e patetlah buet touh hoi buet touh yon kângaithoum awh.
3105010059	Hottelah nangmouh teh Cathut ni pahren e a ca lah na o awh dawkvah, Cathut koe kamtu awh.
31050200a5	Cathut koe hmuitui lah ao thai nahan Khrih ni amae a tak hah a kâhnawng teh thuengnae a sak e lahoi maimouh lung na pataw e patetlah lungpatawnae dawkvah hring awh.
31050300a8	Hatei, kamsoumhoehe napui tongpa yonnae, kakhin lah hringnae abuemlah, hounlounnae hah tami kathoungnaw ni a roun kawi e lah ao e patetlah lawk hoi boehai dei awh hanh.
3105040073	Ka kamcukamnat hoeh e lawk, panuilai, thangpoutlai, dei e patetnaw hai takhoe awh nateh pholennae lawk hah dei awh.
31050500f2	Kamsoumhoehe napui tongpa yonnae ka sak e tami, kakhin lah ka hring e tami, meikaphawk bawknae lah kaawm e hounlounnae hoi kahring e tami apipatet haiyah, Khrih hoi Cathut uknaeram dawk bangpatet e râw boehai coe mahoeh tie teh na panue awh.
310506008a	Apipatet koehai ayawmyin e lawknaw hoi kâdum sak awh hanh. Hotnaw kecu dawk Cathut lungkhueknae teh lawk ka ngai hoeh e naw koevah a pha.
310507002f	Hatdawkvah, ahnimouh hoi rei kambawng awh hanh.
3105080080	Ahmaloe vah, nangmouh teh hmonae dawk na o awh. Atuteh Bawipa dawk angnae lah na o awh dawkvah, angnae canaw patetlah hring awh.
310509004a	Angnae a pawnaw teh hawinae, lannae hoi lawkkatang dawk hringnae hah doeh.
31050a003b	BAWIPA Cathut ni a ngai e hno teh bangne tie hah kamtu awh.
31050b0064	Ahawinae banghai kaawm hoeh e hmonae thawnaw hoi kâbet laipalah hotnaw hah letlang pâpho pouh awh.
31050c004c	Bangkongtetpawiteh, arulahoi sak e hnonaw dei e ca patenghai kaya a tho rah.
31050d0052	Yon pueng teh angnae lahoi doeh a kamnue. Ka kamnuek sak e hno haiyah angnae doeh.
31050e0085	Hatdawkvah, hettelah a dei awh. Ka ip nang kâhlaw leih, duenae koehoi thaw leih, hottelah na sak pawiteh Khrih ni angnae na poe han.
31050f0074	Hatdawkvah tamipathu patetlah awm laipalah, tami a lungkaang patetlah kheikhei na tarawi awh nahan kâhruetcuet awh.
3105100041	Atu e a hninnaw teh a mathoe toung dawkvah atueng hno panuek awh.
3105110068	Hatdawkvah, pathu a hanh leih. Bawipa ni a ngai e hno hah kapek nateh ka panuek e tami lah awm awh leih.
3105120059	Sak payonnae kampaisakkung, misurtui hoi paruinae hah roun awh nateh Muitha hoi kawi awh.
31051300a1	Sam la, pholennae la, hoi muitha hringnae koe lah tha kâpoenae lanaw hoi buet touh hoi buet touh kâdei awh nateh lunghawi nalaihoi Bawipa pholennae la sak awh.
3105140065	Pa Cathut koevah Bawipa Jisuh Khrih min lahoi hnocawngca dawk pout laipalah lunghawinae lawk dei awh.
3105150044	Cathut barinae lahoi buet touh hoi buet touh e rahim kârahnoum awh.
3105160050	Yunaw, Bawipa e uknae rahim na o awh e patetlah vanaw e uknae rahim vah awm awh.
310517007a	Bangkongtetpawiteh, Khrih teh Kawhmoun e lû lah ao e patetlah vâ teh yu e lû lah ao. Ahni teh tak rungngangkung lah ao.
310518007b	Kawhmoun teh Khrih e uknae rahim a kâhnawng e patetlah yunaw teh bangpueng dawk vanaw e uknae rahim vah kâhnawng van awh.
3105190062	Vânaw: Khrih ni Kawhmoun a lungpataw teh amahoima a kâhmoun e patetlah, yunaw hah lungpataw awh.
31051a007a	Hottelah yon thoung lah ao teh khinnae awmhoeh. Vuen cipeinae awmhoeh. Ka kamcu e hah Khrih ni ama koe a hnawng nahanelah,
31051b0061	lawkkatang tui hoi a pâsu teh thoungsak nahan hote Kawhmoun hanelah a hringnae a kâpasoung toe.
31051c0099	Hot patetvanlah, vanaw, namamouh hoi namamouh na lungpataw awh e patetlah yunaw hah lungpataw awh. A yu ka lungpataw e tami teh amahoima hai a lungpataw.
31051d008e	Ma e takthai ka hmuhma e api buet touh hai awmhoeh. Khrih ni Kawhmoun hah a kawkhik e patetlah tami pueng ni amahoima e tak teh a kawkhik awh.
31051e006f	Bangkongtetpawiteh, maimanaw teh amae a takthai, a hruhrawng lah o awh dawkvah a takthai e puengcang lah o awh.
31051f0092	Hete kong dawkvah, tongpa ni a na pa hoi a manu a ceitakhai vaiteh a yu hoi tak a hmawng dawkvah kahni touh roi teh tak buet touh lah a coung han.
3105200056	Hethateh, hrolawk doeh. Hettelah ka ti navah, Khrih hoi Kawhmoun ka dei ngainae a tho.
3105210078	Hatdawkvah, nangmouh ni namamae takthai lungpataw awh e patetlah yu hah lungpataw awh. Yu ni hai vâ hah bari van naseh.
3106010054	Canaw: Bawipa ngainae patetlah nupanaw e lawk hah ngâi awh. Hot teh kamsoum e doeh.
310602004c	Manu hoi na pa hah bari awh. Hotteh apasuek e kâpoelawk hoi lawkkam lah ao.
3106030088	Hottelah na sak pawiteh, nang teh talai van hringsawnae hoi hawinae na coe han tie lawkkam teh apasuek poung e lawkkam e kâlawk lah ao.
3106040068	Panaw, canaw hah a lungphuen sak awh hanh. Bawipa e cangkhainae patetlah cingthui awh nateh kawkhik awh.
3106050079	Sannaw, Khrih e lawk na ngâi awh e patetlah talai bawinaw e lawk hai taki nalaihoi lunghringnae tawn laipalah ngâi awh.
310606007e	Mithmu dueng taminaw e lung karoumsak e lah awm laipalah, Khrih e san patetlah Cathut ngainae hah lungtho nalaihoi tarawi awh.
3106070079	Tami e san lah kaawm e patetlah dueng pouk laipalah, Bawipa e a san lah kaawm e patetlah bari nalaihoi a san lah awm awh.
3106080086	Kahawi e hno ka sak e tami teh san nakunghai, tami kahlout nakunghai, Bawipa koehoi a tawk e patetlah bout hmu han tie hah panuek awh.
3106090091	Bawinaw, namamae sannaw koe hot patetvanlah sak awh. Nangmae Bawipa teh kalvan ao tie hoi ahni teh apie minhmai hai khen hoeh tie hah panuek awh.
31060a0068	A hnuktengpoung lah ka hmaunawnghanaw, Bawipa lahoi thoseh, thaonae bahu lahoi thoseh, kacaklah awm awh.
31060b006a	Kahraimathout e dumyennae na ngang thai awh nahan, Cathut ni na pathoup pouh e puengcang hoi kamthoup awh.
31060c00a7	Bangkongtetpawiteh, takthai hoi kaawm e taran hoi kâthe awh hoeh. Uknaenaw, kâtawnnaenaw, talai hmonae ka ukkungnaw, kalvanlae muitha kathoutnaw hoi doeh kâthe awh.
31060d009a	Hatdawkvah, atueng kamathout e hnin dawk kacaklah na kangdue thai nahan, thaw na cum teh na ngang thai awh nahan, Cathut e puengcang kakuep e hah sin awh.
31060e003b	Lawkkatang taisawm kâyeng awh. Lannae saiphei hah kho awh.
31060f0045	Lungmawngnae kamthang kahawi pâpho nahanlah khokkhawm hah khawm awh.
3106100074	Kahrai ni na ka e hmaisene hah na ngang thai awh nahan yuemnae bahling hah senehmaicanaw e a van vah patuem sin awh.
3106110056	Rungngangnae sumluhuem hah huem awh nateh, Cathut e lawk Muitha tahloi hai patuem awh.
31061200cf	Pout laipalah ratoumnae a phunphun lahoi ratoum awh. Hottelah na ratoum awh navah nâtuek hai na thathout awh hanh. Na lungpout awh hanh. Kai hane hoi tami kathoungnaw hane hai ratoum awh nateh khenyawn awh.
310613008c	Hete kamthang kahawi e laicei lah ka o dawk doeh sumbawtarui hoi na katek awh. Hote kamthang kahawi hah lungtang nalaihoi ka dei thai nahan,
3106140080	kamthang kahawi hrolawk hateh pâpho hane roeroe lah ao dawkvah taranhawi nalaihoi ka pâpho thai nahan kai hane hai ratoum awh.
31061500bf	Kai dawk ka tho e hnonaw hoi ka sak e hnonaw hah na panue thai awh nahan, Bawipa koe yuemkamcu lah thaw ka tawk e ka pahren e ka nawngha Taisikas ni abuemlahoi nangmouh koe a pâpho han doeh.
3106160087	Nangmouh ni kaimae kamthangnaw hah na panue awh nahan, ahni ni nangmouh lung na pahawi nahanlah ahni hah nangmouh koe ka patoun e doeh.
3106170099	Hmaunawnghanaw nangmouh koe lungmawngnae awm lawiseh. Pa Cathut hoi Bawipa Jisuh Khrih ni na poe e yuemnae hoi lungpatawnae teh nangmouh koe awm lawiseh.
3106180050	Maimae Bawipa Jisuh Khrih lungpataw katangnaw koe a lungmanae awm lawiseh. Amen.
3200000007	Filippi
32010100a1	Kai Pawl hoi Timote, Jisuh Khrih e a san lah kaawm e ni Filippi kho kaawm e bishopnaw hoi hotunaw, Khrih Jisuh thung tami kathoungnaw pueng koe ca na patawn awh.
3201020064	Maimae Pa Cathut hoi Bawipa Jisuh Khrih koehoi e lungmanae hoi roumnae teh nangmouh koe awm lawiseh.
3201030046	Nangmouh na pouk nah tangkuem, Cathut koe lunghawinae lawk ouk ka dei.
320104004a	Ka ratoum tangkuem nangmouh hanlah lunghawinae lungthin hoi pou ka ratoum.
3201050079	Bangkongtetpawiteh, nangmouh teh apasueke hnin koehoi atu totouh a thaw kahawi dawk cungtalah rei ka tawk e lah na o awh.
3201060077	Nangmouh koe hnokahawi ka kamtawng e Cathut ni Jisuh Khrih e hnin totouh thaw na cum sak a han doeh ti yuemnae ka tawn.
3201070114	Nangmanaw hoi ka kâkuen lah hettelah pouknae ka tawn e heh kahawi e lah ao. Nangmanaw pueng ni kai thongim ka bo nah thoseh, kamthang kahawi deinae dawk thoseh, kai hoi a lungmanae cungtalah rei ka hmawng awh e lah na o awh dawkvah nangmouh teh ka lungthin dawk pou na o awh.
3201080068	Nangmouh teh Jisuh Khrih e lungpatawnae lahoi na rabuipoung awh tie na kapanuekkhaikung teh Cathut doeh.
3201090058	Nangmae lungpatawnae teh a tang e lungangnae hoi pouknae aphunphun dawk hoehoe kuep teh,
32010a0082	Ka lentoe e hno hah kapeknae na tawn thai awh nahan hoi Jisuh Khrih e hnin nah kathoung lahoi toun awm laipalah na o thai awh han.
32010b008d	Jisuh Khrih lahoi lannae apaw dawk na kuep thai awh teh Cathut lentoe kamnue thai nahane hoi a bawilennae na pholen thai awh nahan ka ratoum.
32010c007b	Hmaunawnghanaw kai dawk kaphate hnonaw ni kamthang kahawi hoe a kampai sak tie na panue thai awh nahanlah na ngai khai awh.
32010d0071	Hatdawkvah, Khrih kecu dawk kateknae ka khang e heh, siangpahrang im koe dueng laipalah, hmuen tangkuem a kamnue.
32010e009f	Kapap e hmaunawnghanaw ni kai ni kateknae ka khang kecu dawk Bawipa dawk yuemnae a cak awh teh, takinae tawn laipalah taranhawi laihoi kamthang lawk a dei awh.
32010f004f	Tangawn ni teh hmuhmanae lungthin hoi kâtaran hanlah Khrih kamthang a dei awh.
320110009e	A lungpatawnae lungthin hoi ka dei e taminaw ni kahawi e kamthang heh Bawipa ni na poe e thaw doeh ti a panue dawk pahrennae lungthin katang hoi a pâpho awh.
3201110094	Alouknaw ni teh kai katek lah ka onae dawkvah, runae hoehoe kâhmo seh tie ngai lahoi yah, kâtânae lung hoi Khrih e kamthang kahawi teh a dei awh.
32011200a3	Telah pawiteh bangtelamaw dei awh han, kâsak laihoi nakunghai, lawkkatang lahoi nakunghai, Khrih kong dei lah ao dawk ka konawm. Hmalah hai ka ko bout a nawm han.
3201130092	Bangkongtetpawiteh, nangmae ratoumnae naw hoi Jisuh Khrih e Muitha koehoi kabawpnae naw hoi hetnaw teh, kai ka hloutnae lah ao han telah ka panue.
32011400ef	Kai teh bangpatet hno dawk hai kayayeirai takinae awm hoeh. Yampa e patetlah atu hai taranhawinae hoi ka kawi lahun, ka hring hai thoseh, ka due hai thoseh ka takthai dawk hoi Khrih teh pholen lah ao han tie ngaihawinae kalenpoung ka tawn.
320115004f	Bangkongtetpawiteh, kai kahringnae teh Khrih doeh, ka due haiyah meknae lah ao.
320116006e	Hahoi ka hring rah pawiteh aphu kaawm e thaw bout ka tawk thai nahanlah bangmaw ka rawi han ti ka panuek hoeh.
3201170097	Hatdawkvah kai teh hno kahni touh e rahak vah ka o. Kai teh talai hringnae ceitakhai vaiteh Khrih hoi o hanelah ka ngai toe, hot teh hoe kahawi e doeh.
3201180056	Hateiteh, hete tak hoi kai roup kaawm rah pawiteh nangmouh hanlah hoe pankinae lah ao.
320119008b	Hatdawkvah yuemnae a roung nahan hoi lunghawi nahanlah kahring rah pawiteh nangmouh hoi cungtalah rei o han tie hah yuemnae lahoi ka panue.
32011a005c	Hat nah nangmouh koe bout ka tho toteh kai hoi Jisuh Khrih dawk na lunghawinae hoe apap han.
32011b018f	Bangtelah nakunghai nangmouh teh Khrih e kamthang kahawi hoi kamcu lah khosak awh. Hottelah na hring awh pawiteh Muitha buet touh dawk kacaklah na kangdout e lah awm vaiteh, lungkânging lahoi Khrih e kamthang kahawi yuemnae dawk thaw rei ka tawk e lah na o awh han. Na ka taran e naw kong dawk, takinae banghai awmhoeh tie hah, nangmouh hoi ka kâhmo nakunghai, kamphei nakunghai ka panue thai han.
32011c008a	Hottelah takihoehnae teh ahnimouh hanlah rawk kahmanae lah ao. Nangmouh hanelah teh rungngangnae lah ao teh Cathut koehoi ka tho e lah ao.
32011d008a	Bangkongtetpawiteh, Khrih thaw tawk e hateh ama yuem e dueng laipalah, ama hanelah runae khang sin hanelah hai na poe sin e a tho dawkvah,
32011e0066	kai ni ka kâhmo e hai na panue awh. Atu hai kai ni ka kâhmo e patet e hah nangmouh ni na kâhmo awh.
3202010072	Hatdawkvah Khrih dawk thapoenae, lungpatawnae, Muitha hoi kâhuikonae, kâpahrennae tie buetbuet touh awm pawiteh,
320202009c	nangmouh ni buet touh hoi buet touh lungkâpataw awh nateh, lungthin kâkapeknae tawn laipalah lungthin cungtalah pouknae lahoi ka lunghawinae kuep sak awh.
32020300bd	Kâtaran ngainae lungthin, kâoupkapawinae lungthin tawn laihoi bangpatet e hno hai sak awh hanh. Ayânaw kai hlak ahawi telah buet touh hoi buet touh kârahnoumnae lungthin hoi khosak awh.
320204004a	Ma hane ahawinae dueng pouk laipalah ayâ louk hane hai pouk pouh van awh.
3202050047	Khrih Jisuh thung kaawm e lungthin hah nangmouh koehai awm sak van awh.
3202060072	Hote Bawipa teh Cathut coungnae hoi a kuep ei teh Cathut hoi kâvannae thama lahoi lawp hanelah pouknae tawn hoeh.
320207004e	Amae a reng a ceitakhai teh san coungnae a kâmahrawk teh tami patetlah a khe.
3202080066	Hottelah tami coungnae hoi a kuep teh thingpalam dawk duenae totouh a khang teh amahoima a kârahnoum.
320209006d	Hatdawkvah Pa Cathut ni Bawipa teh a lathueng poung lah a tawm teh min pueng hlak ka talue poung e min a poe.
32020a0090	Bangkongtetpawiteh, Jisuh min barinae lah kalvan kaawm e, talai dawk kaawm e, talai thung kaawm e kâroe tako pueng ni khok a cuengkhuem vaiteh,
32020b006f	Jisuh Khrih teh Bawipa doeh telah pahni hoi a kampangkhai teh, Pa Cathut a bawilennae a kamnue sak nahane doeh.
32020c00dd	Hatdawkvah ka pahren e naw, lawk pou na ngâi awh e patetlah nangmouh teh ka mithmu lawk na ngâi e dueng laipalah, kai hoi na kâhla nahai lawk na ngâi awh teh, takinae lung hoi nangmae rungngangnae hah kamnuek sak awh.
32020d0085	Bangkongtetpawiteh, nangmouh teh ngainae tawn sak han e, tawk sak han e, nangmae thung lungthocalah hoi thawtawkkung teh Cathut doeh.
32020e003e	Bang patet e thaw dawk hai phuenangnae tawn laipalah tawk awh.
32020f0102	Hottelah na tetpawiteh tami kadumyennaw hmalah nangmouh teh tounhoehe hoi ayâ runae ka poe hoeh e Cathut e ca lah na o awh han. Hringnae lawkkatang hah kacaklah na patuep awh vaiteh, kalvan lah kaawm e hmaiangnaw patetlah ahnimae thung pheng a tue pouh han.
320210008b	Hottelah hoiyah kai teh ayawmyin lah ka yawng hoeh tie hoi ayawmyin lah ka kâyawm e nahoeh tie hah Khrih e hnin a pha toteh ka konawm han.
32021100b8	Hot dueng laipalah nangmae yuemnae hoi kâkuen e bawknae, hoi thuengnae naw dawk kai na thueng awh han ati awh nakunghai, ka lunghawi vaiteh nangmouh pueng hoi cungtalah ka konawm han.
320212004b	Hot patetvanlah nangmouh hai na lunghawi awh, kai hoi cungtalah konawm awh.
3202130086	Nangmae akongnaw ka thai navah ka tha hoe ao. Nangmouh koe Timote tang ka patoun thai nahanelah, Jisuh Khrih dawk ngaihawinae ka tawn.
320214008c	Bangkongtetpawiteh, Timote patetlah kai hoi lungkânging niteh, nangmae hawi nahanelah, ka pouk katang e tami buet touh hai kai koe awmhoeh.
320215005f	Taminaw pueng teh Khrih Jisuh ahawi nahan tawng awh hoeh, ma hawi nahan dueng doeh a tawng awh.
32021600a9	Hatei Timote teh kai hoi cungtalah, a capa hoi a na pa patetlah kamthang kahawi hanelah thaw ka tawk roi katang doeh tie ahni ni a kamnue sak e nangmouh ni na panue awh.
320217007a	Hatdawkvah kai dawk bangtelah ao han tie ka panue nah ahni teh nangmouh na o koe tang ka patoun han telah pouknae ka tawn.
320218004e	Kama roeroe hai palang ka tho thai han doeh telah Bawipa dawk yuemnae ka tawn.
3202190082	Ka nawngha Epaphroditus teh nangmouh koe atu patoune hane a panki telah ka pouk. Ahni teh kai hoi thaw tawk hui, ransa hui lah ao.
32021a0085	Bangkongtetpawiteh ahni patounnae a kong nangmouh ni na thai a dawk doeh. Ahni ni nangmanaw pueng na rabui lawi vah a lung nawm hoeh.
32021b00b1	Ahni teh meimei kadout lah a pataw, hatnavah Cathut ni ahni teh a pahren, ahni dueng a pahren e nahoeh, kai ka lung boutbout a mathoe hoeh nahanelah, kai hai na pahren e lah ao.
32021c0091	Hatdawkvah nangmouh teh ahni hah bout na hmu awh nah konawm sak nahan, kai hai ka lung tha a dam nahan, ahni teh hoe a kâyawm dawkvah ka patoun.
32021d0062	Hatdawkvah Bawipa khet lahoi lunghawinae lahoi ahni teh dâw awh. Hot patetlah e taminaw bari awh.
32021e00b9	Bangkongtetpawiteh, ahnimouh ni kai na khetyawt awh, ka kuep hoeh rae thaw hah ahni ni a kuep sak hanelah ka hringnae kâhmoun teh Khrih e a thaw kecu dawk duenae koe meimei ka pha toe.
32030100a8	Ahnoungpoung lah ka hmaunawnghanaw, Bawipa dawk na konawm awh. Kai ni boutbout ka thut nakunghai ka patang hoeh. Bangkongtetpawiteh nangmouh teh karoumlah na o awh han.
320302005a	Uinaw roun awh. Tami kahawi hoeh e naw hah roun awh. Vuensoma e lah ka kâsaknaw roun awh.
32030300c0	Maimouh ni Cathut heh Muitha lahoi bawk dawkvah maimouh teh vuensoma katang e lah o awh. Bangkongtetpawiteh, maimouh teh talai dawk kamngawi awh laipalah, Khrih Jisuh thung konawm e lah o awh.
3203040074	Hatei takthai koe lahoi kâoupkhai hane ka tawn van. Alouknaw ni kâoupkhai hane ao tet awh pawiteh kai dawk hoe ao.
3203050094	Bangkongtetpawiteh, kai teh aphung patetlah ataroe hnin vuensoma lah ka o. Hebrunaw thung dawk Hebru, Isarel miphun Benjamin catoun Farasi lah ka o.
3203060071	Lungthonae koe lahoi pawiteh, kawhmoun karektapkung lah ka o. Kâlawk dawk e lannae lahoi teh tounhoehe lah ka o.
3203070045	Hatei hete hnonaw pueng teh Khrih dawkvah banglahai ka pouk hoeh toe.
32030800ab	Maimae Bawipa Khrih Jisuh panuenae aphu kaawm e hno dawk bangpueng ka sung sak e lah ka pouk. Hote Bawipa kecu dawk bangpueng hai ka hnoun teh eivoi patetlah doeh ka pouk.
3203090082	Ka lannae heh kâlawk dawk hoi laipalah Khrih thung yuemnae lahoi doeh ka coe, hote lannae teh Cathut koehoi e yuemnae lahoi doeh.
32030a008b	Kai ka ngainae teh Khrih panue hane hoi a ma boutthawnae panue vaiteh a ma a khangnae khang van han hoiyah a ma patetlah due van hane doeh.
32030b0040	Ka ngaihawinae teh, duenae koehoi boutthawnae koe pha hane doeh.
32030c00ad	Kai teh ka kuepcing toe ka ti ngainae tho hoeh. Khrih Jisuh ni hote thaw tawk thai nahanelah, kai hah na man dawkvah, kai ni hai hote thaw ka tawk thai nahanelah ka kâyawm.
32030d0090	Hmaunawnghanaw, kai ni ka kuet toe ka tie nahoeh. Hatei buet touh ka sak e hno teh, hnuk lae naw ka pahnim teh, hmalae hnonaw koe lah ka kâyap.
32030e0084	Khrih Jisuh thung Cathut ni lathueng lahoi na kaw teh na poe hane suh hah ka hmu thai nahanlah kawntung koe kâyawm laihoi ka yawng.
32030f00a8	Hatdawkvah kacue e tami pueng ni teh het patetlah e lungthin tawn hanelah ao. Nangmouh dawk pouknae alouklouk na tawn awh pawiteh, hot patenghai Cathut ni a pâpho han.
3203100055	Bangtelah nakunghai, maimouh ni atu totouh pha awh e patetlah hmalah hoe cet awh sei.
3203110077	Hmaunawnghanaw kaie khosaknae hah out awh. Kaimouh koehoi out kawi e patetlah katarawinaw hai nangmouh ni khen sin awh.
3203120088	Kai ni hete kong dawk ka dei e patetlah atu hai ka mitphi bout a bo. Bangkongtetpawiteh Khrih e thingpalam hah ka taran e tami moi apap.
32031300bb	Ahnimouh teh rawknae koe a hringnae a pâpout awh. Bangkongtetpawiteh ahnimae Cathut teh vonpui doeh. Ahnimouh ni kaya kawi e hnopai dawkvah a kâoup awh teh talai hno dawk a lungpen awh.
320314008a	Hatei maimanaw teh, kalvanlae tami lah o awh. Hote hmuen koehoi ka tho hane Rungngangkung, Bawipa Jisuh Khrih hah maimouh ni ngaihawi awh.
32031500b5	Hote Bawipa teh bangpueng haiyah, amae lawkngai sak thainae bahu hoi banglah kaawm hoeh e maimae tak hah bawilennae hoi ka kawi e amae tak hoi kâvan sak hanelah, a kâthungsak han.
32040100c4	Hatdawkvah, kaie lunghawinae hoi bawilukhung lah kaawm e, ka pahren teh, ka rabui e, ka hmaunawnghanaw, ka dei e patetlah nangmouh teh ka pahren poung e, Bawipa dawk kacaklah awm awh ka pahrennaw.
3204020055	Euodias hoi Sintikhe, Bawipa dawk lungthin suetalah na o awh nahanlah na hroecoe awh.
32040300d5	Kai hoi thaw rei ka tawk huinaw nangmouh hai na dei pouh awh. Kai hoi Klement, hahoi hringnae dawk kâen e alouke thaw ka tawk hui naw hoi kamthang lawk deinae koe na kabawm e, hote napuinaw hah ka bawm awh lah a.
320404003c	Bawipa dawk konawm awh haw, bout ka dei ko pou nawm awh haw.
320405003e	Nangmouh lungthin na nem awh e teh tami pueng ni panuek naseh.
3204060098	Bangpatet e hno dawk hai lungpuennae tawn laipalah lunghawilawkdeinae hoi ratoum awh nateh, na kâhei han na ngai e pueng hah Cathut koe panuek sak awh.
3204070084	Hatnavah, taminaw ni panue thai hoeh e Cathut e roumnae teh Khrih Jisuh lahoi nangmae na lungthin hoi na pouknae naw hah a ring han.
3204080091	Ahnoungpoung lah hmaunawnghanaw kahman e, bari kawi e, kalan e, kacai e, ngai kaawm e, a kamthang kahawi e naw hoi na lungthin dawk kawi sak awh.
32040900ae	Nangmouh ni ahmaloe hoi kai koe na kamtu awh teh, na hmu awh teh na thai awh e naw dawk hring awh. Hottelah na hring awh pawiteh, roumnae Cathut teh nangmouh hoi rei a o han.
32040a00ba	Atu haiyah nangmouh ni kai hah khetyawt hanlah na lung bout a kuep awh dawkvah, Bawipa dawk puenghoi ka konawm. Hote lungthonae hah ahmaloe hai na tawn awh ei, na khenyawn thai awh hoeh.
32040b007f	Hottelah ka dei navah, ka roedeng dawk nahoeh. Bangkongtetpawiteh, ka kâhmo e pueng dawk lungkuep thai nahanelah yo kamtu toe.
32040c00a3	Hnephnapnae ka khang thai teh, bawirengnae hai ka panue toe. Von pahanae, vonhlamnae, bawirengnae roedengnae naw pueng khang hanelah kho tangkuem vah ka kamtu toe.
32040d0047	Kai hah thayung hoi na kakawi sak e Khrih lahoi bangpuengpa ka ti thai.
32040e004d	Hatei roedengnae ka khang navah, nangmouh ni kahawicalah na khetyawt awh toe.
32040f00a5	Filippi taminaw, kamthang lawk dei hanelah Masidonia ram hoi nuengnueng ka kamthaw nah poenae hoi dâwnae hah nangmouh hloilah alouke kawhmoun ni na kabawm awh hoeh.
3204100050	Thesalon khopui dawk ka o nah kai ni ka panki e hno vai hni touh na poe awh toe.
3204110065	Hottelah ka ti navah, poehno ka tawngnae nahoeh. Nangmanaw na bawi awh nahanlah doeh na ngaikhai awh.
32041200b6	Kai teh bangpueng koung ka tawn toe. Nangmouh ni na patawn e poehno hah Epaphroditus koehoi kakueplah ka dâw toe. Hote hnonaw teh a hmui katui e, Cathut ni a ngai kawi e hno lah ao.
320413007b	Maimae Cathut ni a bawilennae dawk kaawm e amae bawinae hoiyah nangmae pankinae pueng teh Khrih Jisuh lahoi a kuep sak han.
3204140046	Maimae na pa Cathut teh talai a pout hoehroukrak lentoe lawiseh. Amen.
320415007d	Khrih Jisuh thung kaawm e tami kathoung naw hah kut man a loe. Kai koe kaawm e hmaunawnghanaw ni hai nangmouh kut na man awh.
320416005e	Tami kathoungnaw thung dawk alawkpui lah Sizar Bawi im kaawm e naw ni nangmouh kut na man awh.
320417004b	Maimae Bawipa Jisuh Khrih e a lungmanae teh nangmouh koe awm lawiseh. Amen.
3300000006	Kolosa
33010100b6	Kai Pawl, Cathut ngainae lahoi Jisuh Khrih e guncei lah kaawm e hoi, Timote ni Kolosa kho kaawm, Khrih thung kaawm e tami kathoungnaw hoi yuemkamcu e hmaunawnghanaw ca na patawn awh.
330102005f	Jisuh Khrih hoi maimae Pa Cathut koe e lungmanae hoi lungmawngnae teh nangmouh koe awm lawiseh.
330103002c	Nangmouh ni Khrih Jisuh hah na yuem awh teh,
3301040044	tami kathoungnaw pueng hah na lungpataw awh tie ka thai awh dawkvah,
33010500fa	Lawkkatang kamthang lawk nangmouh ni na thai awh teh, na yuem awh e patetlah nangmouh hane ngaihawinae kalvan vah hmouk lah ao dawkvah, nangmouh hanelah pout laipalah ka ratoum awh teh, maimae Bawipa Jisuh Khrih e Pa Cathut e lungmanae teh ka pholen.
33010600ef	Hote kamthang teh talaivan pueng a kamthang toung dawkvah nangmouh koe totouh hai a pha toe. Cathut e lungmanae lawkkatang hah na thai awh teh na panue awh hnin hoi, a paw na paw awh, na roung awh e patetlah kho tangkuem vah a kampung van.
