0100000004	Tite
2e0f3a0105	Ace mani ka, wun amǝ'eambǝam, wu cam kàngkàng. Ɓǝ̀ kǝgìr ɓǝ̀ kǝa gǝshi wun ɗàng. Wu pìtà túró mala Mǝtalabangŋo koya pwari ka, acemǝnana wu sǝlǝna ama ɓekǝ túró pa kàm wun nǝ̀ pe ace Mǝtalabangŋo, sǝ túrè nda ɓà ka ɗàng.
2e10010093	Amur cau mala ramgi ɓoro ace bwalì aɓwana mala Ɓakuli mǝnana a Urǝshalima ka: Wu pa kǝla mǝnana ǝn kania a'ikǝlisiya mǝnana a Galati ka.
2e100200e2	A tita pwari mala koya nre-limo ka, koyan atà wun ngga, ɓǝ̀ san nkanggari boalo mǝnana kúmô sǝ kārǝa arǝ kume male ka ɓǝ̀ tsǝì. Wu kǝa kúndǝô ama she mǝ yina ka sǝ wun nǝ̀ yia ramgi a kun-bu wun ɗàng.
2e10030083	Ɓǝ̀ ǝn yina ka, mǝ nǝ yia gilǝ acauterǝa amur aɓwana mǝnana wu earnǝia ama ɓǝa kyan nǝ ɓoro ma'wun a Urǝshalima ka.
2e10040053	Sǝ ɓǝ̀ yi dumǝna ama ɓoaro male ka mǝ kyan ngga, sǝm nǝ̀ ongsǝ sǝnǝia.
2e100500a0	Mǝ nǝ ká a makka wun kun, anzǝm mǝnana ɓǝn karna aɓa nzali Masǝdoniya ka. Acemǝnana kànì mem ngga, nda mǝnana ama mǝ nǝ pǝlǝa aɓa Masǝdoniya.
2e10060093	Earka mǝ nǝ duk zuku aban wun, ko yakǝla mǝ nǝ mal mbulo kat aban wun, anzǝm man ngga sǝ wu nǝ̀ pusǝkwar-muram aban lidǝmba nǝ gya mem.
2e1007007a	Eare mem ngga, nǝma pa mǝ nǝ sǝn wun a murkuli ɗang, nǝma ɓǝ̀ banem sauwa aban wun, ɓǝ̀ Mǝtalabangŋo ear ka.
2e1008004f	Sǝ ado ka, mǝ nǝ nggá duk zuku a Afisu she ɓǝ̀ Lamsan Pentikos karna ka.
2e10090052	Anjar mala pakki atúró na pas kani, sǝama aɓibura gbal ka, à cambam kingging.
2e100a007b	Ɓǝ̀ Timoti yina ka, wu é nǝ banɓoarnado. Yì ka, túró mala Mǝtalabangŋo na pakkiyi, kǝla mǝnana ǝn pakkiyi ka.
2e100b009d	Wu kǝa eare ɓǝ̀ kǝɓwa nyesǝi ɓà ɗàng. Ɓǝ̀ nǝ̀ nyare aban yiu abanam ngga, wu pusǝbǝri pepe. Mǝ nda aban kundǝmuri andǝ amǝ'eamrǝarǝu.
2e100c00cc	Mala mǝ'eam sǝm kǝla Apolo ka, ǝn camarǝ ne wi nǝma yì andǝ aɓea amǝ'eamrǝarǝu ka, ɓǝa kya ban wun. Sǝ ado ka, kǝ ear ama nǝ̀ ká ɗàng. Nǝ̀ ká nǝnzǝ́mò ɓǝ̀ kumǝna dǝmbu ka.
2e100d0074	Wu do aɓa kwaro mala dǝm wun. Wu tamsǝkusǝ wun kàngkàng aɓa paɓamuru. Wu pak aburana. Wu dum nǝ rǝcandǝa.
2e100e002d	Ko man wu nǝ̀ pak ka wu pe aɓa earcearǝu.
2e100f00cb	Wu sǝlǝna ama Sǝtifanas andǝ ɓala male ka, à nda ka amǝdǝmba ak cau mala Ɓakuli a nzali Akaya, sǝ à pana ɓamuria arǝ túró ace aɓwana mala Ɓakuli. Ən nggǝ zǝmba wun, wun amǝ'eambǝam,
2e1010007a	wu okia aɓwana kǝla amǝnia, andǝ koya ɓwa na mǝnana kǝ pak túró, sǝ kǝ pa rǝcandǝa aɓa kpapi atà túró ka.
2e10110086	Banɓoaram nǝ yiu mala Sǝtifanas, sǝ Fotunatus, sǝ Akaikus. À yì lumsǝna kun túró mǝnana nongŋo acemǝnana wu pa kani raka.
2e101200a2	Yia ka, à nongsǝam ɓabumam andǝ ɓabum wun gbal. Aɓwana mǝnana à kǝ pak túró mǝ'mǝsǝcau nì kǝla amǝnia ka, ɓalǝ wun ɓǝ̀ kǝa lórǝiǎ ɗang.
2e101300c4	A'ikǝlisiya mǝnana a bu-nzali Asiya ka, à kǝ makka wun kun. Akila andǝ Pǝrisǝla, andǝ ikǝlisiya mǝnana kpapiyi a ɓala malea ka, à kǝ makka wun kun, nǝ earcearǝu mala Mǝtalabangŋo.
2e10140080	Amǝ'eamrǝarǝu mǝnana a kani kat ka, à kǝ makka wun kun. Wu makkia rǝ wun kún kat nǝ earcearǝu mǝfele mala amǝkwaɗi.
2e10150043	Mim Bulǝs, mǝ nda ǝn gilǝa wun mǝnia yì makkun ngga nǝ buam.
2e1016006d	Ɓǝ̀ kǝɓwa kǝ earce Mǝtalabangŋo raka, ɓǝ̀ súban sulǝo amur ɓwe! Marana tha - Mǝtala sǝm, yiu!
2e10170036	Ɓǝ̀ ɓwamuru mala Mǝtalabangŋo Yesu, do atà wun.
2e10180053	Ən nggǝ makka wun kun nǝ earcearǝu aɓa lullǝ Kǝrǝsti Yesu. Ɓǝ̀ do anggo.
2f0000000e	2 Amǝ Korinti
2f0101011a	Mǝnia yì cauterǝa ka, pur nǝ bu Bulǝs mǝnana nǝ eare mala Ɓakuli sǝ tàrì, ama ɓǝ̀ duk mǝ'mishan mala Kǝrǝsti Yesu ka, andǝ mǝ'eam sǝm Timoti. Sǝm nda ban gilǝì ikǝlisiya mala Ɓakuli mǝnana a Korinti, andǝ aɓwana mala Ɓakuli mǝnana kat a nzali Akaya ka.
2f0102005e	Ɓǝ̀ Tár sǝm Ɓakuli andǝ Mǝtalabangŋo Yesu Kǝrǝsti pa wun ɓwamuru andǝ dorǝpwala.
2f010300a6	Ɓwangsǝban ɓǝ̀ o aban Ɓakuli mǝnana nda Tár Yesu Kǝrǝsti Mǝtala sǝm ngga, mǝnana nda Tár sǝm mǝ'sǝn mǝsǝswatǝr nî, andǝ mǝ'pa girikiban kat ka.
2f010400bf	Kǝ giriki sǝm aɓalǝ atanni ma'sǝm kat, ace mǝnana ɓǝ̀ sǝm giriki aɓea aɓwana, mǝnana à nda aɓa tanni ka, nǝ ulang girikiban mǝ'mwashati mǝnana Ɓakuli girikina sǝm nǝi ka.
2f0105007e	Sǝ kǝla mǝnana sǝm nggǝ nu tanni kpǝm atà Kǝrǝsti ka, anggo gbal sǝ sǝm nǝ̀ kum girikiban kpǝm nǝ bu Kǝrǝsti.
2f0106011a	Ko ɓǝ̀ sǝm kutio aɓalǝ atanni mala do mǝkwane ka, nda àkǝ̀ ce girikiban andǝ amsǝban ma'wun. Sǝ ɓǝ̀ sǝm kum girikiban ngga, nda ace mǝnana ɓe wu kum girikiban andǝ rǝcandǝa mala do nǝ munyi aɓa gandǝrǝu aɓalǝ atanni mǝ'mwashati mǝnana sǝm nggǝ nu ka.
2f010700c5	Tsǝkɓalǝu ma'sǝm arǝ came ma'wun kàngkàng ngga kǝ dǝurǝ ɗang, acemǝnana sǝm sǝlǝna ama, kǝla mǝnana wu kǝ nu tanni atà sǝm ngga, anggo gbal sǝ wu nǝ̀ kum girikiban atà sǝm.
2f01080100	Wun amǝ'eamrǝarǝu, sǝm nggǝ earce ama, wu kǝa dum nǝ ɗwanyi sǝlǝe amur tanni mǝnana kum sǝm a nzali Asiya ka ɗang. Acemǝnana sǝm kútí aɓata parban mala tanni mǝgule mǝnana kútì rǝcandǝa ma'sǝm, yàle kǝla pà sǝm nǝ̀ au ɗàng.
2f010900e2	Ɓafo ka, lú nda kǝgìr mǝnana sǝm twali ama ueka sǝm ngga. Sǝa ma mǝno ka pa anggo ace mǝnana ɓǝ̀ sǝm ngga gūlì arǝ ɓamur rǝ sǝm ɗang, ɓǝ̀ sǝm gūlì arǝ Ɓakuli nǝmurǝì, mǝnana loasǝkiyi alú ka.
2f010a00a3	Amsǝna sǝm aɓalǝ amǝnia yì anggurlú ka, sǝ nǝ̀ amsǝ sǝm ɗǝm. Tsǝkɓalǝu ma'sǝm ngga, nda àkǝ̀ rǝì, sǝ yì ka, nǝ̀ lidǝmba nǝ amsǝ sǝm.
2f010b0096	Wu kǝ bwala sǝm kàm nǝ hiwi, ace mǝnana ɓǝà aɓwana pas pak yàwá a kunì sǝm ace ɓwamuru mǝnana sǝm kùmô nǝ hiwi mala aɓwana pas ka.
2f010c0181	Nggori ma'sǝm ngga, nda mǝnana ama, giu-ɓabum sǝm kǝ bangga sǝm ama aɓa mǝsǝcau ka sǝm dumǝna do ɓanza nǝ ɓabum ɓoarnsari. Sǝm dumǝna gbal nǝ ɓabum sǝm mwashat mǝnana kǝ pur nǝban Ɓakuli ka, nggeamurǝmi ka, mǝnana lǝmdǝa aɓa dotarǝu ma'sǝm sǝnǝa wun ngga. Sǝ mǝno ka sǝm pè aɓa kpata sǝlǝe mala ɓwapǝndǝa ɗang, nda nǝ ɓwamuru mala Ɓakuli.
2f010d009e	Gir mǝnana sǝm gilǝa wun ngga nda kǝ mǝnana wu nǝ̀ gandǝ ɓallè, wu nǝ̀ bwalte ka. Sǝ tsǝkɓalǝu mem ngga nda mǝnana ceì nǝ̀ kpaka wun pepe.
2f010e00dd	Sǝ kǝla mǝnana ado ka wu sùrǝ́nà sǝm bǝti ka, wun nǝ̀ nggá súrǝ̀ sǝm pepè, ace mǝnana a pwari yiu mala Mǝtala sǝm Yesu ka, wun nǝ̀ nggori nǝ sǝm, kǝla mǝnana sǝm nǝ̀ nggá nggori nǝ wun ngga.
2f010f00a3	Acemǝnana mǝ ndanǝ makɓalǝu arǝ mǝno kat ka sǝ ǝn yi kani a ɓabumam ama mǝ nǝ ká aban wun atadǝmbe, ace mǝnana ɓǝ̀ wu yi kum tsǝkbu kusǝ ɓari.
2f011000fd	Kànì mem mǝno ka, nda mǝnana ama ɓǝ̀ mu nda njar aban ká a Masǝdoniya ka, mǝ nǝ kàr aban wun. Sǝ ɓǝ̀ mǝ nǝ nyàrî Masǝdoniya ka, mǝ nǝ kàr ɗǝm aban wun, ace mǝnana ɓǝ̀ wu pusǝkwar-bǝrem ace gya mem aban ká a nzali Yahudi.
2f011100e9	Mǝno ka nda ɗenyicau mem. Sǝ lang ǝn kani mǝ nǝ pak anggo ka, ǝn do kǝla ǝn panǝ ɗenyicau re? Ko ǝn nggǝ twal akani mem kǝla pe mala amǝɓanza ace mǝnana mǝ nǝ na ama, “E, e” sǝ, “Awo, awo” atārǝia ka le?
2f0112007f	Kǝla mǝnana Ɓakuli nggaɗikiyi bumi arǝ cau male raka, cau mem a ban wun ngga, “E” andǝ “Awo” na atārǝia ɗàng.
2f011300d0	Acemǝnana Yesu Kǝrǝsti Muna mala Ɓakuli, mǝnana mim sǝnǝ Silas andǝ Timoti, sǝm hamnǝ cau male a ban wun ngga, “E” na andǝ “Awo” atārǝia ɗang. A ɓālǝi ka, “E” na, a koya pwari ka.
2f011400d2	Acemǝnana apacau mala Ɓakuli kat ka à lùmsǝ̀nà aɓa Kǝrǝsti nǝ eare ama “E.” Nda gìr mǝnana tsǝa sǝ nǝ ban Yesu Kǝrǝsti sǝ sǝm nggǝ na ama, “Ɓǝ̀ do anggo” ace gusǝlǝ Ɓakuli ka.
2f011500a2	Sǝ ado ka, Ɓakuli na tsǝk sǝm sǝnǝa wun, ɓǝ̀ sǝm kum kusǝu-came kàngkàng aɓa tārǝù ma'sǝm sǝnǝa Kǝrǝsti. Kǝ yì nda mǝnana tàr sǝm ngga.
2f0116010a	Yi canba sǝm nyoulǝa male arǝ sǝm, mǝnana lǝmdǝ ama sǝm nda ka amale ka. Sǝ mǝno yì nyoulǝa ka nda Bangŋo male mǝnana tsǝka sǝmi a ɓabum sǝm, ɓǝ̀ lǝmdǝa aɓa mǝsǝcau ama nǝnzǝ́mò ka, nǝ̀ yia pà sǝm agir mǝnana bang ama nǝ̀ pà ka.
2f011700a7	Ɓakuli nǝ nakunam ama mǝsǝcau na ǝn banggiyi ka. Gìr mǝnana tsǝa sǝ ǝn nyare a Korinti raka, nda àkǝ̀ ce mǝnana ama mǝ ngga yiu mǝ kpakia rǝ wun raka.
2f01180108	Sǝm pa aban ɓariki ama sǝm nǝ̀ tsǝk wun ɓǝ̀ wu kpata gìr mǝnana sǝm earkiyice amur paɓamuru ma'wun ngga ɗàng; a kun mani ka sǝm ndarǝ pak túró sǝnǝa wun ace banɓoarnado ma'wun. Acemǝnana paɓamuru ma'wun nda tsǝa sǝ wu cam kàngkàng ngga.
2f0201006b	Ace mǝno ka, ǝn twali a ɓabumam nǝma pà mǝ nǝ kiɗiki ɓabum wun ɗǝm nǝ kà mem a ban wun ɗàng.
2f02020086	Ɓǝ̀ ǝn kiɗiki ɓabum wun ngga, sǝ à yana ɗe à nǝ̀ pwasǝ bumam? Kǝ wun mǝnana ǝn kiɗiki ɓabum wun ngga, kǝ wu nda re?
2f020300fe	Ən gilǝa wun mǝno yì cauterǝa ka ace mǝnana, mǝ ngga yiu mǝ pak bumkiɗikea nǝ aɓwana mǝnana à nda à nǝ̀ pam bumpwasǝa ka ɗàng. Mǝ ndanǝ nzǝmcandǝa arǝ wun kat ama ɓǝ̀ ɓabumam pwasǝ ka, wun kat ka ɓabum wun nǝ̀ pwasǝ gbal.
2f020400dd	Ən gilǝa wun mǝno yì cauterǝa ka aɓa bumkiɗikea mǝgule andǝ bumpina nǝ mǝrǝm a mǝsǝam; sǝ mǝno ka pà ace kiɗiki ɓabum wun ɗang, nda ace lǝmdǝa wun earcearǝu mǝlime mǝnana mǝ ndanǝi ace wun ngga.
2f020500a1	Ɓǝ̀ kǝɓwa yinǝ bumkiɗikea ka, mǝ nda nǝmurǝam kiɗiki ɓabumam ngga ɗang, wu nda mǝnana kat kiɗiki ɓabum wun ngga. (Mǝno ka dumsǝkicau na ɗang).
2f0206002f	Tanni mǝnana bangula wun pe wi ka, kārǝ́na.
2f0207009c	Sǝ adyan ngga, ɓoaro wu twali wi banì, sǝ wu giriki, ace mǝnana bumkiɗikea ɓǝ̀ kǝa kútì rǝcandǝa male gandǝa ɓǝ̀ ɓungi ɓabumi ka ɗàng.
2f0208004c	Ən nggǝ zǝmba wun, wu lǝmdǝì wi ɗǝm ama wu ndanǝ earcearǝu arǝì.
2f02090064	Ən gilǝa wun ace kārǝki wun, sǝ mǝ sǝlǝa ko wu ndanǝ okiru arǝ acau mem aɓa koya gir kat.
2f020a00ec	Ɓwa mǝnana wu twalǝ́ni wi banì ka, mim gbal ka, ǝn twalǝni wi banì. Sǝ gìr mǝnana kat ǝn twalǝna banì (ɓǝ̀ ɓe kǝgìr ndakam mǝnana ɓoaro ɓǝà twalbanì ka) ǝn twalǝna banì nǝ rǝcandǝa mala Kǝrǝsti ace wun.
2f020b008c	Ən pak mǝnia yì gìr ka ace mǝnana Shetan ɓǝ̀ kǝa kum njar arǝ sǝm ɗàng. Acemǝnana sǝm ngga, sǝm sùrǝ́nà rǝ akutan male.
2f020c009e	Lang ǝn bingŋǝna Tǝros, ace kǝ hamnǝ Cau Amsǝban mala Kǝrǝsti ka, ǝn yi sǝni ka Mǝtalabangŋo angŋa dǝmba mǝ́nǝ́nà njar mala túró akanó.
2f020d009e	Sǝ ko bumam nong ɗang, acemǝnana ǝn kum mǝ'eam sǝm Titus akanó ɗàng, nda sǝ ǝn tsǝk aɓwana mǝno ka a ndà, sǝ ǝn kutio aban ká a Masǝdoniya.
2f020e0116	Sǝama ɓǝà pakki Ɓakuli yàwá! Acemǝnana ko aya pwari, aɓa dotarǝu ma'sǝm sǝnǝa Kǝrǝsti ka, kǝ ging nǝ sǝm aɓa limurǝm. Kǝ paktúró nǝ sǝm ace mesǝ mǝsǝcau mǝnana nǝ̀ tsǝk aɓwana ɓǝà súrǝ̀ Kǝrǝsti a koya ban, kǝla rǝm muru-mǝrǝmɓoarne.
2f020f00db	Sǝm ngga sǝm nda kǝla muru-mǝrǝmɓoarne mǝnana Kǝrǝsti kǝ pana ɓoro nǝi a ban Ɓakuli, sǝ rǝmbi kǝ mǝsǝe aɓalǝ aɓwana mǝnana à kǝ kum àwá, sǝ aɓalǝ aɓwana mǝnana à nda aɓa ká kiɗikea ka.
2f02100110	A ban aɓwana mǝnana à nda aɓa ká kiɗikea ka, rǝm mùrú mǝnia ka mǝɓike na, mǝnana nǝ̀ ká nǝia a lú mur'mwana ka; sǝ a ban aɓwana mǝnana à kǝ kum àwá ka, rǝm mùrú mǝnia ka mala pa yilǝmu na. Sǝ yana ɓwe kārǝa nǝ̀ pak mǝnia yì túró ka?
2f021100fd	Sǝm pa kǝla acilia aɓwana, mǝnana à twal cau mala Ɓakuli gìr nggāliki na ka ɗàng. Sǝm, aɓa tàrǝu ma'sǝm sǝnǝa Kǝrǝsti ka, sǝm nggǝ hamnǝ cau nǝ ɓabum sǝm mwashat a ɓadǝm Ɓakuli, kǝla aɓwana mǝnana Ɓakuli nǝ̀ túriá ka.
2f03010122	Sǝm nda ban tita ɓwangsǝ ɓamur rǝ sǝm ɗǝm le? Ko dumǝna ama sǝm ngga ɓǝ̀ sǝm pang nǝ acauterǝa mǝnana à nǝ̀ lǝmdǝ ayana nda sǝm a ban wun, ko ɓǝ̀ sǝm alte ɓǝ̀ wu gilǝ amǝnana à nǝ̀ ne acilia aɓwana cau amur sǝm, kǝla mǝnana aɓea ɓwana pakkiyi ka le?
2f030200dd	Wun nǝ ɓamur rǝ wun ngga wu nda ka cauterǝa ma'sǝm mala lǝmdǝ ayana nda sǝm, mǝnana à gilǝì a ɓabum sǝm, mǝnana koyana le ka, nǝ̀ gandǝ ɓallè, sǝ nǝ̀ súrǝ̀ atúró ma'sǝm mǝɓoarne aɓalǝ wun.
2f03030145	Nda a banfana ama, wun nda ka cauterǝa mǝnana Kǝrǝsti nǝ nggearǝì nǝ̀ gilǝì ka. Sǝ yì cauterǝa ka nda gìr mǝnana pur aɓa turo-mishan ma'sǝm ngga. À gilǝì nǝ biro ɗang, nda nǝ Bangŋo mala Ɓakuli mǝyilǝmuì sǝ à gilǝì. Pà amur akpamgbǝlang tali sǝ à gilǝì ɗang, nda a ɓabum ɓwapǝndǝa.
2f0304005d	Sǝm bang mǝnia ka, acemǝnana sǝm ndanǝ nzǝmcandǝa a ɓadǝm Ɓakuli nǝ ban Kǝrǝsti.
2f0305008d	Sǝm pa aban bang ama sǝm kārǝ́nà a mala pak mǝnia yì túró aɓa rǝcandǝa ma'sǝm ɗang. Kārǝá ma'sǝm ngga, pur nǝban Ɓakuli.
2f03060161	Yì na nyesǝ sǝm, sǝm duk amǝturo-mishan mala bǝsa kùrcau ka. Mǝnia ka, kùrcau mala Nggurcau mala Musa mǝnana à gilǝì nǝ gilǝe ka na ɗang, mala Bangŋo mala Ɓakuli na. Kpata kùrcau mǝ'e, mǝnana à gilǝì nǝ gilǝe ka, kǝ kánǝban a lú, sǝ mala bǝsa kùrcau, mǝnana kpate nda kpata gi Bangŋo ka, nǝ̀ kánǝban a kum yilǝmu.
2f030701a3	Kùrcau mǝ'e mana anggurcau male ka Ɓakuli gilǝia a nzǝm kpamgbang tali sǝ pe Musa ka, yiu nǝ pàcau mala lú, kat andǝ amani ka yiu atārǝia andǝ tá mala ɓoarɓwa mala Ɓakuli. Lang Musa nǝ̀ yinǝi aban aɓwana ka, ɓoarɓwa male tsǝa ɓamǝsǝ Musa kǝ tá karara, amǝ Isǝrayila gandǝ came à nǝ̀ sǝn ɓamǝsǝi ɗang, ace ɓiki tá male. Nǝ nzǝ́mò ka mǝno yì tá ka twal amsǝa yi ndǝrmia.
2f030800ac	Ɓǝ̀ kùrcau mǝ'e kum ɓoarɓwa anggo ka, lang sǝ ɓoarɓwa mǝnana à nǝ̀ kùmô aɓata kùrcau mǝbǝshe ka nǝ̀ pa, ado mǝnana Bangŋo Mǝfele kǝ pa yilǝmu ka?
2f030900bf	Ɓǝ̀ kùrcau mǝ'e, mǝnana kǝ kasǝ ɓashi-lú amur ɓwa, ndanǝ ɓoarɓwa anggo ka, ɓoarɓwa mala kùrcau mǝbǝshe, mǝnana kǝ pa yilǝmu ka, pà nǝ̀ kútì mǝno kpǝm nǝ gulo re?
2f030a00ba	Mǝsǝcau, ɓoarɓwa mala kùrcau mǝ'e mǝnana ndakam ɗiɗyal ka, adyan ngga ɓoarɓwa na ɗang ko bǝti, ɓǝa kārǝí arǝ ɓoarɓwa mala bǝsa kùrcau, mǝnana karmuri nǝ gulo ka.
2f030b00a8	Sǝ ɓǝ̀ kùrcau mǝ'e mǝnana tè malna ka, yiu nǝ ɓoarɓwa ka, mala kùrcau mǝbǝshe mǝnana tè pà nǝ̀ mal raka, ɓoarɓwa male nǝ̀ kutibanì kǝ̀rkǝ́r.
2f030c006d	Sǝ acemǝnana kùrcau mǝbǝshe kǝ pa sǝm ulang mǝno yì tsǝkɓalǝu ka, sǝm ndanǝ mǝsǝkang-kangŋa.
2f030d0101	Pà sǝm nǝ̀ kùmsǝ lagir a ɓamǝsǝ sǝm kǝla mana Musa pak ka ɗang. Musa gìr ɓamǝsǝi nǝ lagir ace mǝnana amǝ Isǝrayila ɓǝa kǝa sǝn málá mala ta mala ɓoarɓwa mǝnana a ɓamǝsǝi ka ɗang, kat andǝ amani ama ɓoarɓwe na arǝ mal ka.
2f030e0101	Sǝ amǝ Isǝrayila ka ɓabumia girkina, bà yalung ko aya pwari sǝ à ndarǝ ɓal amalǝmce mala kùrcau mǝ'e ka, mǝno yì lagir ka nda kam più a ɓamǝsǝia. Yì lagir ka, à kǝ gandǝ pusǝe ɗang, she ɓǝ̀ ɓwa pànà ɓamúrì aban Kǝrǝsti ka.
2f030f0073	E, ko yalung sǝ ɓǝa ɓal Nggurcau mala Musa ka, mǝno yì lagir ka, girǝna ɓabumia, à pà nǝ̀ bwalte ɗang.
2f03100066	Sǝ ɓǝ̀ nda a ya pwari sǝ ɓwa pǝlǝ rǝì aban Mǝtalabangŋo ka, mǝno yì lagir ka à pusǝni!
2f0311007c	Mǝtalabangŋo andǝ Bangŋo ka à nda mwashat, sǝ ban mǝnana Bangŋo mala Mǝtalabangŋo nda kam ngga, panzǝban nda kam.
2f03120123	Sǝm mǝnana kat sǝm pànǝ lagir a ɓamǝsǝ sǝm raka, sǝ sǝm ndarǝ lǝmdǝ ta mala ɓoarɓwa mala Ɓakuli ka, à nda rǝ nggaɗi sǝm ɓǝ̀ sǝm pa kǝla yì, nǝ ɓoarɓwa mǝnana kǝ ká nǝ ká a dǝmba ka. Mǝnia yì ɓoarɓwa ka pur nǝban Mǝtalabangŋo mǝnana nda Bangŋo ka.
2f04010084	Sǝ acemǝnana Ɓakuli, aɓa sǝn mǝsǝswatǝr male sǝ pà sǝm mǝnia yì túró mishan ngga, ɓabum sǝm pà nǝ̀ ɓungi ɗang.
2f04020197	Sǝm nyìngŋǝ̀nà bu sǝm arǝ agir kǝsǝkya mǝnana à kǝ pea aɓa sǝmbǝrǝa ka, sǝ sǝm ginǝce ɓealu mala swarkiban. Pà sǝm nǝ̀ nacau mala Ɓakuli nǝ nyir ɗang. Sǝm nǝ̀ dukdo mǝsǝcau aɓa tǎlaban a ɓadǝm Ɓakuli, sǝ sǝm nǝ̀ ɓariki aban lǝmdǝ ɓamur rǝ sǝm a njar mǝɓoarne a ban aɓwana mǝnana kat à kǝ gandǝ gakkita mǝɓoarne andǝ mǝɓane aɓa ɗenyicau malea ka.
2f04030084	Sǝ ɓǝ̀ Cau Amsǝban mǝnana sǝm nggǝ hamnǝi, sǝmbǝrǝa anzǝm lagir ka, sǝmbǝrǝì aɓwana mǝnana à kǝ ká kiɗiki ka.
2f040400fb	Shetan, mǝnana ginggiyi nǝ nza man ngga songŋǝ́nà pǝndǝa aɓa ɗenyicau mala amǝ ɗwanyi earnǝ Cau Amsǝban, ace mǝnana ɓǝà kǝa kum sǝn tǎlaban mala Cau Amsǝban mala ɓoarɓwa mala Kǝrǝsti, mana ndà purban mala Ɓakuli ka, ɗàng.
2f040500b0	Yì Yesu Kǝrǝsti Mǝtalabangŋo ka, nda mana sǝm nggǝ hamnǝi ka, ɓamur rǝ sǝm nda sǝm nggǝ hamnǝi ka ɗàng. Sǝm ngga, sǝm nda ka amǝtúró ma'wun à kǝ ce Yesu.
2f040600c8	Ɓakuli mǝnana bang ama, “Ɓǝ̀ tǎlaban ta aɓa pǝndǝa” ka, tana a ɓabum sǝm ace pà sǝm tǎlaban mala súrǝ̀ ɓoarɓwa mala Ɓakuli mǝnana à nǝ̀ sǝni a ɓamǝsǝ Yesu Kǝrǝsti ka.
2f04070137	Mǝnia yì túró mishan Ɓakuli pa sǝm ngga nda kǝla gǝna mǝɓoarne mana à nǝ̀ tsǝkce pepè ka. Sǝ nggearǝ sǝm mǝnana à pa sǝm mǝnia yì gǝna ka, sǝm nda kǝla ankwaring dǝɓang, ace lǝmdǝa sǝm ama rǝcandǝa mǝgule mǝnana kàrmúr ban kat ka, pur nǝban sǝm ɗàng, pur nǝban Ɓakuli.
2f04080091	À tsǝk sǝm aɓa do mǝkwane a koya buì ka, sǝ mǝno ka ɓungi sǝm ɗàng. À zurǝì ɓabum sǝm, sǝ sǝm pǝlǝki nǝ ɓalǝ sǝm ɗàng.
2f04090068	À pà sǝm tanni, sǝ Ɓakuli ka nying sǝm ɗàng; à ram sǝm a nzali, sǝ sǝm par bu sǝm, sǝm lo.
2f040a00a4	Sǝm dukdo mala aɓwana mǝnana à wuna aɓa nggūrǝu sǝm sǝnǝa Yesu ko aya pwari ka, ace mǝnana do male nǝ yilǝmu gbal ka à nǝ̀ sǝni aɓa nggūrǝ sǝm.
2f040b00ab	Aɓa do ma'sǝm kat ka, sǝm do aɓa ká-mǝɓane mala lú ko aya pwari atàcau mala Yesu, ace mǝnana do male ɓǝ̀ lǝmdǝa aɓa nggūrǝ sǝm mǝnana dupî ká lú ka.
2f040c007f	Mǝnia ka lǝmdǝ ama sǝm amǝ'mishan ngga, sǝm nda aɓa wara sǝnǝa lú, sǝama mǝno ka ndarǝ yinǝ wun aɓa kum yilǝmu.
2f040d0098	Malǝmce bang ama, “Ən earǝna nǝi, ace mani ka ǝn nacau.” Nǝ mǝno yì bangŋo mala paɓamuru ka, sǝm gbal ka sǝm earnǝi, nda sǝm nacau ka.
2f040e00b0	Sǝm pa anggo acemǝnana sǝm sǝlǝna ama Ɓakuli, mǝnana loasǝ Mǝtalabangŋo Yesu ka, nǝ̀ loasǝ sǝm gbal sǝnǝa Yesu, sǝ nǝ̀ ká nǝ sǝm, sǝnǝa wun a ɓadǝmbi.
2f040f00d6	Mǝno kat ka, nda à kǝ ce ɓoaro ma'wun, ace mǝnana ɓwamuru mala Ɓakuli mǝnana nda aban lidǝmba aban ká a ban aɓwana pas ka, nǝ̀ yinǝ pak yàwá mǝgule, sǝ nǝ̀ lidǝmba nǝ yinǝ gulo a ban Ɓakuli.
2f041000b4	Ace mani ka, ɓabum sǝm ɓungi ɗang. Ko ɓǝ̀ do ama nggūrǝ sǝm mǝnana à kǝ sǝni nǝ mǝsǝu, nda ban ká kìɗìkì ka, bangŋo ma'sǝm ngga kǝ duk bǝshe a koya pwari.
2f041100d3	Amǝnia yì atanni ma'sǝm mǝkèke mana bania pà nǝ̀ sau raka, à nda ban gilǝki sǝm ace kum ɓoarɓwa mǝnana málá male pà kàm ɗàng, sǝ gulo male ka kǝ ɓè pà kàm à nǝ̀ kànì arǝì ɗàng.
2f041200f0	Agir mǝnana à kǝ sǝnia nǝ mǝsǝu ka, teà kǝ sau ɗang, sǝ agir mǝnana à kǝ sǝnia nǝ mǝsǝu raka, málá malea pà kàm ɗàng. Nda gìr mǝnana tsǝa sǝ sǝm nggǝ soa mǝsǝ sǝm arǝ agir mǝnana à kǝ gandǝ sǝnia raka.
