0100000014	Англунимос
2a1724007a	Халавдэ, кадя ж асанас Исусостар. Онэ поджанас и дэнас Лэсти уксусо
2a1725005a	и пхэнэнас: — Фэрисар Пэс, сар Ту Тхагар иудеёско!
2a17260070	Ай упрэ англав Исусо сас пистросардо: «Када Тхагар иудеёско».
2a172700c0	Екх андай примардэ кав трушул прахари дэлас амрая Лэс и пхэнэлас: — Со Ту, на Христосо? Фэрисар Пэс и амэн!
2a172800b2	Авэр жэ прахари улэлас лэс и пхэнэлас: — Чи ту на дарас Дэвлэстар? Ту кадя ж сындосардо по миримос.
2a17290084	Амэ туса пав чячимос прилас кода, со затердэ, ай Вов нисо вырито на тердя.
2a172a0089	И вов пхэндя: — Исусо, гындосар пала мандэ, сар авэса андо Пэско Тхагаримос!
2a172b0080	И пхэндя лэсти Исусо: — Чячимос пхэнав тути: адес авэса Манца андо раё.
2a172c00b8	Сар сас вряма пашэ дэшудуй чясоря десэстирэ, пай всавори пхув ашыля рят, и када сас жыкай трин чясоря.
2a172d0075	Кхам пэрэашыля тэ пхабол, о паринд андо храмо росшындяпэ поепаш.
2a172e00c3	Исусо фартэ зацыписайля: — Дадэ, андэ Тирэ васта Мэ отдав духо Мэрно! И сар пхэндя када, Вов отдя пэско духо.
2a172f00bf	Кала пхурэдэр шэлэ халавдэнго вся када удикхля, лашардя лэ Дэвлэс и пхэндя: — Кадва Мануш чячес сас жужо!
2a173000d1	И всаворэ мануша, савэ стидэпэ тэ подикхэн пэ умаримос, удикхле, со сас, рисавэнас палпалэ и марэнас пэс андэ кулин.
2a173100ca	Всаворэ, савэ жанэнас Исусос, и жувля, савэ жанас пала Лэстэ андай Галилея, тэрдёнас и дикхэнас дурал пала када.
2a173200b9	Котэ сас лашо и жужо англав Дэл мануш, савэс акхарэнас Иосифо. Вов сас екх андай пхурэдэра синедрионо.
2a173300df	Нэ вов на подритярэлас лэндирэ лава и рындоря. Иосифо сас андай Аримафея, форо Иудейско, и ажутярэлас Тхагаримос Дэвлэско.
2a17340067	Кадва мануш авиля кав Пилато и мангля о тило лэ Исусоско.
2a173500e8	Вов зля тило, тховдя андэ сани материя и тховдя Лэс андо склэпо, саво сас вымардо андэ баруно плай. Котэ инке никас на гаравэнас.
2a1736006f	Када сас дес, кала гытонаспэ кай субота, и кадва дес поджалас.
2a173700d5	Палав Иосифо жанас и жувля, савэ авиле лэ Исусоса андай Галилея. Онэ дикхле о склэпо и сар кордэ тховдэ тило Исусоско.
2a173800af	Сар онэ рисайле, гытосардэ мастина лашэ фаноса и духоря. Суботнё дес онэ отчиёнас пав запхэнимо.
2a1801007c	Ай дэнзор андо курко жувля линэ гытосардэ мастина и жыле кав склэпо.
2a1802004f	Онэ дикхле, со бар сас отшуто лэ склэпостар.
2a1803005e	Кала зажыле, онэ на аракхле тило лэ Раеско Исусоско.
2a180400b4	Онэ на полэнас, со тердяпэ, и акэ, сикадэпэ лэнди дуй мурша андэ йида, сави свэтосавэлас, сар молния.
2a180500b0	Даратар жувля обмэкле пэстирэ муя тэлэ, нэ кола пхэндэ лэнди: — Со тумэ родэн жундэс машкар мулэ?
2a180600a6	Лэс катэ нинай, Вов жундиля! Тумэ сэрэн, со Вов пхэнэлас тумэнди, кала сас инке андэ Галилея:
2a180700e0	«Шавэс Манушыканэс трэбуй сас тэ отдэн андэ васта бэзэхалэ манушэнди, тэ примарэн кав трушул. Нэ по трито дес Вов жундёла».
2a18080035	Тунчи онэ сэрдэ Лэстирэ лава.
2a180900b5	Онэ рисайле лэ склэпостар и роспхэндэ пала вся када дэшуекхэ апостолонэнди и аврэнди, ко сас лэнца.
2a180a0106	Када сас Мария Магдалина, Иоана, дэй Иаковостири, савя кадя ж акхарэнас Мария и авэр жувля, савэ сас лэнца. Онэ роспхэндэ вся када апостолонэнди,
2a180b0080	нэ апостолоря на патяйле лэнди. Лэнди сикадяпэ, со када качи шушэ лава.
2a180c0102	Ай Пэтро вщиля и прастая кав склэпо. Вов тэлиля и задикхля андрэ, нэ удикхля качи материя. Вов рисайля пэстэ, дивосайля всаворэсти, со тердяпэ.
2a180d00cf	Андэ кодва ж дес дуй андай сытярнэ жанас андо гав Эмаусо, саво сас варикай дэшудуй километроря лэ Иерусалимостар.
2a180e0058	Онэ дэнас дума машкар пэстэ пала вся, со тердяпэ.
2a180f0094	И кала онэ дэнас дума и роспушэнас екх екхэстар, Ежэно Исусо поджыля и жыля лэнца.
2a1810005b	Нэ лэндирэ якха сас затердэ, и вонэ на ужангле Лэс.
2a181100d2	Исусо пушля лэндар: — Пала со када тумэ дэн дума машкар пэстэ, сар жан пав дром? Онэ тэрдиле, и муя лэндэ сас грыжомэ.
2a181200f6	Екх лэндар, савэс акхарэнас Клеопа, пхэндя: — Ту, душол, авилян андо Иерусалимо и екх, саво на жанэл пала кода, со тердяпэ андэ кала деса?
2a18130124	— Пала со? — пушля Иисусо. — Со тердяпэ Исусоса андав Назарето, — пхэндэ онэ. — Вов сас пророкоса, зорало англав Дэл и англай всаворэ мануша андэ лава и рындоря.
2a1814008d	Амарэ барэ рашая и пхурэдэра сындосардэ Лэс по миримос и примардэ кав трушул.
2a181500d5	Ай амэ ажутярасас, со Вов исин Кодва, Саво трэбуй сас тэ фэрисарэл лэ Израилёс. Нэ акэ, трито дес, сар вся када тердяпэ.
2a18160082	Нэ коисавэ андай амарэ жувля дивосардэ амэн: онэ жыле дэнзор кав склэпо
2a181700c1	и на аракхле котэ Лэско тило, рисайле и роспхэндэ амэнди, со онэ дикхле ангелон, савэ пхэндэ, кай Вов жундо.
2a181800bb	Тунчи коисавэ андар амарэ жыле кав склэпо и удикхле котэ вся, сар роспхэндэ жувля, но Лэс онэ на дикхле.
2a181900b7	Вов пхэндя лэнди: — Савэ тумэ бигодятирэ и сар тумэ найсыго патян всаворэсти, со пхэнэнас пророкоря!
2a181a0082	Чи на трэбуй сас лэ Христости тэ грыжолпэ и тэ зажал андэ Пэстири слава?
2a181b00d4	И ля лэ Моисеёстар и всаворэ пророконэндар тэ роспхэнэл лэнди, со пхэнэласпэ пала Лэстэ андэ всаворо Пистросаримос.
2a181c0093	Кала онэ поджыле гавэстэ, каринг онэ жанас, Исусо сикадя, кай камэл тэ жал майдур,
2a181d00bb	нэ онэ фартэ мангэнас Лэс: — Ашпэ амэнца. Поджал рят, дес прожыля. И Вов зажыля андо чер и ашыляпэ лэнца.
2a181e00a6	Кала Исусо бэшэлас лэнца палай мэсали, Вов ля марно, наисардя Дэвлэс, пэрэпхагля и дя лэнди.
2a181f0098	Тунчи лэндирэ якха отпхэрнадэпэ, и онэ гатярдэ Лэс. Нэ Вов ашыля важ лэнди надикхло.
2a182000ff	Онэ линэ тэ пхэнэн екх екхэсти: — Чи на пхабонас андэ амэндэ водя, кала Вов дэлас дума амэнца пав дром и отпхэрнавэлас амэнди Пистросаримос?
2a182100d5	Андэ кодья ж вряма онэ вщиле и жыле палпалэ андо Иерусалимо. Котэ онэ аракхле дэшуекх апостолон и колэн, ко сас лэнца.
2a18220077	Кола пхэндэ лэнди, со о Рай чячес жундиля и сикадиля лэ Симоности.
2a182300b8	Тунчи кала дуй роспхэндэ вся, со сас лэнца пав дром, сар онэ ужангле Исусос, кала Вов пхагэлас о марно.
2a18240092	Онэ инке дэнас дума, сар Ежэно Исусо ашыля машкар лэндэ и пхэндя: — Миро тумэнди!
2a18250053	Онэ замуле даратар, гындонас, со дикхэн духос.
2a18260079	Вов пхэндя лэнди: — Состар тумэ даран? Состар тумэ на састэс патян?
2a182700de	Подикхэн пэ Мэрнэ васта и пэрнэ. Када ж Мэ! Лэнпэ Мандэ и роздикхэн. Кав духо нинай тило и кокаля, ай Мандэ, сар дикхэн, исин.
2a18280060	Вов пхэндя када и сикадя лэнди Пэстирэ васта и пэрнэ.
2a182900c0	Нэ онэ лошатар инке на патянас и дивосавэнас. Тунчи Исусо пушля лэндар: — Тумэндэ катэ исин варисо тэ хан?
2a182a003c	Онэ подинэ Лэсти котор пэко мащё.
2a182b0032	Вов ля и халас англай лэндэ.
2a182c0144	— Пала када Мэ пхэнавас тумэнди, кала сымас инке тумэнца, — пхэндя Вов. — Вся, со запистросардо пала Мандэ андо Законо Моисеёско, кай пророкоря и андэ псалморя трэбуй тэ терэлпэ.
2a182d0075	Тунчи Вов лэнди отпхэрнадя годи, кай онэ тэ полэн Пистросаримос.
2a182e00af	— Пистросардо, со сас лэ Христости тэ грыжолпэ и по трито дес тэ жундёл андай мулэ, — пхэндя Вов.
2a182f0132	— Важ Алав Лэско всаворэнди манушэнди, майанглал Иерусалимостар, тунчи пай всаворэ пхувья, авэла роспхэндо, кай онэ тэ каисавэн и тунчи простисарэнапэ лэндирэ бэзэха.
2a18300045	Тумэ авэна пала вся када тэ роспхэнэн.
2a183100e4	Акэ, Мэ бишалава тумэнди кода, пала со дя лав Мэрно Дад, нэ тумэ ашэнпэ андо форо Иерусалимо, жы кала прилэна зор упралимастар.
2a18320092	Тунчи Вов выандярдя лэн андав форо кай Вифания, вазгля васта и бахталисардя лэн.
2a183300a7	Андэ кодья вряма, кала Вов бахталисарэлас лэн, Вов ля тэ отжал лэндар и тэ ваздёл по болыбэн.
2a1834006d	Сытярнэ тэлинэ Лэсти и баря лошаса рисайле андо Иерусалимо.
2a18350064	Онэ сас всавори вряма андо храмо и лашарэнас лэ Дэвлэс.
2c0000000e	Рындоря
2c010100c3	Пативало Феофило, андэ мэрно англуно лил мэ пистросардэм палай вся, со Исусо терэлас и состэ Вов сытярэлас,
2c010200de	жыкай кодва дес, кала припхэндя Свэнтонэ Духоса вытидэнди Лэса апостолонэнди, со трэбуй тэ терэн, и сас залино по болыбэн.
2c0103011f	Кала Вов пэрэандярдя и грыжа, сикадяпэ лэнди жундэса и бут допхэнэлас, со када чячимос. И саранда дес сикавэласпэ лэнди и пхэнэлас палав Тхагаримос Дэвлэско.
2c0104010c	Екхвар, кала онэ сас екхэтанэ, Вов припхэндя лэнди тэ на ашавэн Иерусалимо, нэ тэ ажутярэн кода, пала со дя лав о Дад. — Пала када тумэ ашундэ Мандар.
2c0105008e	Иоано болэлас паеса, ай кала прожана найбут деса, авэна болдэ Свэнтонэ Духоса.
2c010600c4	Кола, савэ стидэпэ котэ, пушле Лэс: — Рай, Ту со, стидэспэ тэ рисарэс андэ кадья вряма тхагаримос Израилёско?
2c010700a7	Вов пхэндя лэнди: — Най тумаро рындо тэ жанэн деса и вряма, савэ о Дад тховдя Пэстирэ зораса.
2c01080128	Нэ кала пэр тумэндэ сжала Свэнто Духо, тумэ прилэна зор и авэна Мэрнэ допхэнимаря андо Иерусалимо, пай всавори Иудея, Самария и кав дурутнэ тхана пай всавори пхув.
2c01090088	Вов пхэндя када, и англай лэндирэ якха сас вазгло упрэ, и облако гарадя Лэс.
2c010a00cb	Онэ дикхэнас по болыбэн, сар Вов ваздэласпэ. И акэ, андэ кодья вряма паша лэндэ авиле дуй мануша андэ парни йида.
2c010b0127	И пхэндэ: — Мурша галилеяноря! Со тумэ тэрдён и дикхэн упрэ? Кадва Исусо, Саво сас залино тумэндар по болыбэн, рисавэла кадя ж, сар тумэ дикхле Лэс, кала Вов ужалас.
2c010c0107	Тунчи онэ рисайле андо Иерусалимо пав плай, саво акхарэлпэ Оливково. Вов сас найдур форостар, по дром, саво домукэлпэ тэ прожал андо суботнё дес.
2c010d018e	И сар онэ зажыле андо чер, вазглепэ андо тхан упрэ, кай онэ жувэнас андэ кодья вряма. Котэ сас Пэтро и Иоано, Иаково, Андреё, Филипо, Фома, Варфоломеё, Матфеё, Иаково, шаво Алфеёско и Симоно Зилото, тай Иуда, шаво Иаковоско.
2c010e00bf	Всаворэ онэ екхэтанэ мангэнаспэ Дэвлэс. Катэ сас коисавэ жувля и Мария, дэй Исусостири, и Лэстирэ пхрала.
2c010f00b9	Андэ кодья вряма Пэтро вщиля машкар пхрала пав патявимос и пхэндя (сас стидэ варикай шэл биш манушэн):
2c0110011d	— Пхралалэ! Трэбуй сас тэ терэлпэ кода, со андэ Пистросаримос пхэндя Свэнто Духо Давидостирэ уштэнца палав Иуда. Вов сас пхурэдэр колэнго, савэ линэ Исусос.
2c01110055	Вов сас амэнца и терэлас апостолонэндири бути,
2c011200d8	нэ приля замакхлэ ловэ и тиндя мал. Котэ вов пэля и кадя арэсляпэ, со лэстэ пхариля о пэр, и выпэле всаворэ лэстирэ пора.
2c011300db	И када ужангле всаворэ, ко жувэлас андо Иерусалимо, и акхардэ кадья мал пэ лэндири шыб Акелдама, со исин «Ратэстири мал».
2c011400cf	Андэ лил Псалморя пистросардо: «Мэк лэско чер авэла шушо, тай тэ на жувэл котэ нико» и «Лэско тхан мэк залэл авэр».
2c011500da	Амэнди трэбуй тэ вытидас екхэс манушэс, саво сас машкар амэндэ всавори вряма, пав всаворэ тхана, кай пхирэлас Рай Исусо,
2c01160112	кола вряматар, кала лэс болэлас Иоано, жыкай кодва дес, кала Вов сас залино амэндар. Сар и амэнди, лэсти трэбуй сас тэ дикхэл, со Исусо жундиля мулэндар.
2c01170098	Онэ вытидэ дуен: Иосифос, саво акхарэлпэ Вар-Сава, и инке акхарэлпэ Иусто, и Матфеёс;
2c011800c6	и манглепэ Дэвлэс тай пхэндэ: — Ту, Рай, жанэс всаворэндирэ водя. Сикав андай кала дуй екхэс, савэс Ту вытидян
2c011900b4	тэ прилэл кадай бути и апостолимос, саво ашавдя Иуда, кай тэ жал кордэ, каринг лэсти сас сындосардо.
2c011a009d	Онэ шутэ жребиё, и вов выпэля лэ Матфеёсти, и кодва сас прилито кай дэшуекх апостолоря.
2c02010063	Кала авиля свэнко Пандэшако дес, онэ сас андэ екх тхан.
2c020200ab	Сыго авиля шумо пав болыбэн, сар фартэ зораля балвалятар, и пхэрдярдя всаворо чер, кай онэ сас.
2c02030084	Авиле лэнди шыба, сар яга, савэ всаворэ екх пала екх сжыле по кажно мануш.
2c020400b2	Всаворэ пхэрдиле Свэнтонэ Духоса и линэ тэ дэн дума пэ авэр шыба, сар о Духо дэлас лэнди тэ пхэнэн.
2c02050088	Андо Иерусалимо сас дэвлэкунэ иудеёря андай всаворэ пхувья талай болыбэн.
2c02060100	И сар тердяпэ кадва шумо, стидэпэ бут мануша и на полэнас, со терэлпэ, колэсти со всаворэ ашунэнас, сар апостолоря дэнас дума пэ лэндирэ шыба.
2c020700b2	Всаворэ фартэ дивонаспэ и дэнас дума машкар пэстэ: — Кала, савэ дэн дума, най всаворэ галилеяноря?
2c02080071	Сар амэ ашунас пэстири шыб, сави амэ жанас амарэ бэяндимастар?
2c020900d6	Машкар амэндэ исин парфяноря и мидяноря, еламиторя и ко жувэл андэ Месопотамия, Иудея и Кападокия, Понто и Цэкни Азия,
2c020a00a3	Фригия и Памфилия, Египто и пхув андэ Ливия, сави пашай Киринея, и кола, ко жувэл андо Римо,
2c020b00d0	иудеёря и прозелиторя, критяноря и араборя. Ашунэнас, сар онэ дэн дума амаря шыбаса палай барэ рындоря Дэвлэстирэ?
2c020c008b	Всаворэ дивосавэнас и на дополэнас, пхэнэнас екх екхэсти: — Со када терэлпэ?
2c020d0075	Ай авэр асанас лэндар тай пхэнэнас: — Онэ матиле гуглэ молэстар.
2c020e0109	Пэтро вщиля лэ дэшуекхэнца и зоралэ гласоса пхэндя лэнди: — Мурша иудеёря и всаворэ, ко жувэл андо Иерусалимо! Ашунэнтэ мэрнэ алава, кай тэ жанэн.
2c020f0071	Онэ на матэ, сар тумэ гындон. Икхатар качи иня чясо дэнзорэско!
2c02100051	Нэ пала када пхэндя майанглал пророко Иоилё:
2c02110177	«Андэ палатунэ деса, — пхэнэл о Дэл, — шава Духо Мэрно пэ всаворэн манушэн, шавэ и щея тумарэ авэна тэ пхэнэн лав Дэвлэстар и шаворэ тумарэ авэна тэ дикхэн дикхимос, и пхурэ мурша тумарэ дикхэна сунэ Лэстар.
2c021200ae	И пэ бутярнэ и бутярня Мэрнэ андэ кола деса шава Мэрно Духо, и онэ авэна тэ пхэнэн лав Дэвлэстар.
2c0213008b	Мэ сикавава диворя по болыбэн упрэ и шпэры пэ пхув тэлэ, рат и яг, и баро тхув.
2c02140084	Кхам калёла, и шон ашэла сар рат, жы кала авэла дес Раеско, баро и лашардо.
2c0215006b	И тунчи кажно, ко приакхарэла алав Раеско, авэла фэрисардо.
2c0216016e	Мурша Израилёстирэ! Выашунэн, со мэ пхэнава. Зораса тай дивоса и шпэраса, савэ о Дэл тердя черэз Лэстэ машкар тумэндэ, сар тумэ и жанэн, Дэвэл допхэндя тумэнди, со Мурш Исусо андав Назарето авиля Лэстар.
2c021700df	Сар Дэл загындосарэлас и жанэлас майанглэ, тумэ умардэ Лэс. Прэдинэ андэ прахарэндирэ васта, савэ примардэ Лэс кав трушул.
2c021800b3	Нэ о Дэл жундярдя Лэс, росшындя грыжы миримастирэ, колэсти со миримасти на сас зор тэ уритярэл Лэс.
2c021900e5	Давидо пхэнэл пала Лэстэ: «Дикхлем мэ англав пэстэ лэ Раес всавори вряма, Вов пай право риг паша мандэ, кай састэс тэ тэрдював.
2c021a00ac	Важ кода радосайля води мэрно и лошарэл шыб мэрни; и всаворэ мэрнэ маса авэна тэ жувэн надияса.
2c021b00a5	Колэсти со Ту на ашавэса води мэрно андо адо и на дэса свэнтонэсти Тирэсти тэ ашэл прахоса.
2c021c008c	Ту дян манди тэ ужанав дром жувимаско, Ту пхэрдярэса ман лошаса англав Тутэ».
2c021d00d6	Пхралалэ! Домукэн ман тэ пхэнав тумэнди ворта. Прапапо Давидо муля и гарадо, и склэпо лэско амэндэ жыкай адесутно дес.
2c021e00b2	Вов сас пророко и жанэлас, со о Дэл солахадя лэсти, со по троно авэла тэ бэшэл мануш пай лэско родо.
2c021f00e0	Вов майанглал пхэндя, со Христосо жундёла андай мулэ, со на авэла ашадо о води Лэско андо адо, и тило Лэско на ашэла прахоса.
2c02200078	Калэс Исусос о Дэл жундярдя андай мулэ, амэ всаворэ дикхасас када.
2c022100ef	Вов сас вазгло Дэвлэстирэ правонэ вастэса и приля лэ Дадэстар Свэнто Духо, пала Саво дя лав о Дэл, и со тумэ икхатар дикхэн и ашунэн.
2c022200c6	Давидо на вазгляпэ по болыбэн, нэ вов пхэнэлас кадя: «Пхэндя Рай Дэл мэрнэ Раести: — Бэш пай право риг Мандар,
2c02230069	кола вряматэ, кала шава тирэ вражымарен кай и пэрнэ Тирэ».
2c022400e1	Кадя састэс жанэн, всаворо чер лэ Израилёско, со Калэс Исусос, Савэс тумэ примардэ кав трушул, о Дэл стердя Раеса и Христоса.
2c022500cc	Кала онэ ашундэ када, заровдэ воденца и пхэндэ Пэтрости и аврэнди апостолонэнди: — Пхралалэ! Со амэнди тэ терас?
2c0226012f	Пэтро пхэндя лэнди: — Каисавэн и тэ болэлпэ кажно тумэндар важ алав Исусоско Христоско, кай Дэл тэ эртисарэл тумэнди бэзэха. И тунчи тумэ прилэна даро Свэнтонэ Духос.
2c022700b3	Кадва лав дино тумэнди и тумарэ бэяцэнди, колэнди, ко дур, и всаворэнди, кас акхарэла амаро Рай Дэл.
2c02280088	И бут аврэ лавэнца вов умангэлас лэн: — Фэрисавэнпэ калэ хохавнэ родостар!
2c022900a5	Кола, ко приля лэско лав, болдэпэ, и приашыле лэндэ андэ кодва дес варикай трин мия манушэн.
2c022a00d6	Онэ ритярэнаспэ апостолонэндирэ сытяримастэ, всавори вряма екхэтанэ дэнас дума, пхагэнас марно и мангэнаспэ Дэвлэс.
2c022b00a4	Всаворэ мануша сас андэ дар англав Дэл, и апостолоря сикавэнас бут шпэры и терэнас диворя.
2c022c0066	Всаворэ патикунэ сас екхэтанэ, и вся лэндэ сас гуртоско.
2c022d00a2	Онэ битинэнас пэско хулаимос тай барвалимос, и роздэнас всаворэнди, касти, со сас трэбуй.
2c022e00c2	Кажно дес онэ екхэтанэ сас андо храмо, ай пай чера пхагэнас марно, ханас хамос лошаса и отпхэрнадэ воденца,
2c022f00c1	лашарэнас Дэвлэс. Онэ жувэнас андо мищимос всаворэнца манушэнца, и Рай кажно дес анэлас лэндэ фэрисардэн.
2c030100a3	Пэтро и Иоано жанас кав храмо андэ трито чясо десэско. Андэ кадья вряма котэ сас мангимос.
2c0302015d	Пашай удара лэ храмостирэ, савэ акхарэнаспэ «Шукар», бэшэлас мануш, саво сас банго всаворо пэско жувимос. Лэс кажно дес анэнас и бэшлярэнас, кай вов тэ мангэл ловэ колэндэ, ко зажал андо храмо.
2c03030087	Вов удикхля лэ Пэтрос и Иоанос, савэ зажанас андо храмо, тай мангля лэндар.
2c03040081	Пэтро и Иоано фартэ вдикхлепэ андэр лэстэ и пхэндэ: — Подикх пэ амэндэ.
2c0305006e	Вов вдикхляпэ пэр лэндэ и гындолас, со онэ варисо дэна лэсти.
2c030600ed	Нэ Пэтро пхэндя: — Руп и сомнак нинай мандэ, а со исин мандэ, кода и дав тути: важ алав Исусоско Христоско андав Назарето вщи и пхир!
2c030700aa	Вов ля лэс палав право васт тай вазгля. Андэ кодья вряма ашыле майсастэ лэстирэ чянга и пэрнэ.
2c030800ce	Вов подхукля, тэрдиля тай ашыля тэ пхирэл. Тунчи зажыля лэнца андо храмо, пхирэлас и хукэлас, лашарэлас лэ Дэвлэс.
2c0309006b	Всаворэ мануша дикхле лэс, сар вов пхирэл и лашарэл Дэвлэс.
2c030a0116	Онэ ужангле, со када сас кодва, саво бэшэлас пашай Шукар удара храмостирэ кай тэ мангэл ловэ. Онэ на патянас лэ якхэнди тай дивонаспэ колэсти, со тердяпэ.
2c030b0130	Ай сар састярдо банго на отжалас лэ Пэтростар и Иоаностар, тунчи всаворэ мануша дивонаспэ колэсти тай спрастаепэ лэндэ андо тхан, саво акхарэлпэ Соломоностирэ тиндэ.
2c030c016c	Кала Пэтро удикхля када, вов пхэндя лэ манушэнди: — Мурша Израилёстирэ! Состар тумэн када дивосарэл? Состар тумэ дикхэн пэ амэндэ кадя, сар наче амэ пэстиря зораса и жужымаса тердэ када, со вов пхирэл?
2c030d0151	О Дэл Авраамоско, лэ Исаакоско и Иаковоско, Дэл амарэ дадэнго, лашардя Пэстирэс Бутярнэс Исусос, Савэс тумэ прэдинэ и Савэстар отпхэндэпэ англав Пилато, кала вов камэлас тэ отмукэл Лэс.
2c030e00b8	Тумэ отпхэндэпэ лэ Свэнтостар и Чячимастар и мангле тэ отмукэл тумэнди колэс, саво умарэлас манушэн.
2c030f00c8	Тумэ умардэ Пхурэдэрэс лэ Жувимастирэс, нэ о Дэл жундярдя Лэс андай мулэ, и амэ дикхасас када пэстирэ якхэнца.
2c031000bf	Кадва мануш, савэс тумэ жанэн и дикхэн, патяйля андо алав Исусоско, и Вов састярдя лэс англай тумарэ якха.
2c03110074	Пхрала, мэ полав: тумэ и тумарэ пхурэдэра на жанэнас, со терэнас.
2c031200d1	Нэ кадя о Дэл тердя кода, со пхэнэлас черэз всаворэн пророконэн, со лэ Христости трэбуй авэла тэ пэрэандярэл грыжа.
2c03130073	Акэ, каисавэн и рисавэн кав Дэл, кай тэ скхосэнпэ бэзэха тумарэ,
2c031400d2	кай авиля лэ Раестар вряма тэ чиёл, и кай бишалдя Вов тумэнди лэ Исусос Христос, Савэс Вов майанглал вытидя тумэнди.
2c03150106	Болыбнасти трэбуй сас тэ прилэл Лэс кай вряма, кала терэлапэ кода, со дэлмутня вряматар пхэнэнас Дэвлэстар всаворэ Лэстирэ свэнтонэ пророкоря.
2c031600fe	Моисеё пхэндя: «Рай, о Дэл тумаро, тховэла тумэнди андай пхрала тумарэ Пророкос, сар ман. Кандэн Лэс андэ вся, со Вов авэла тэ пхэнэл тумэнди.
2c0317007a	Всаворэ, ко на кандэла колэс Пророкос, авэна вытрадэ андав народо».
2c0318009c	Самуило и всаворэ авэр пророкоря, савэ сас палав лэстэ, дэнас дума, со авэна кала деса.
2c03190134	Тумэ — шавэ пророкондирэ и заветостирэ, саво Дэл дя тумарэ дадэнди, кала пхэндя Авраамости: «Кодва, Саво авэла андав тиро родо, дэла бахт всаворэнди манушэнди пай пхув».
2c031a010a	Дэл жундярдя андай мулэ Пэстирэс Бутярнэс, майанглал бишалдя Лэс тумэндэ тэ бахталисарэл тумэн и обрисарэл кажнонэс лэстирэ выритонэ рындондар.
2c040100b2	Кала онэ дэнас дума кай и мануша, лэндэ поджыле рашая, пхурэдэр халавдэнго андэ храмо и садукеёря,
2c040200a6	савэ холявэнас пэ кода, со онэ сытярэнас манушэн, тай пхэнэнас, со черэз Исусо жундёна мулэ.
2c04030092	Онэ линэ лэн тай пхандадэ андо баруно жыкай дэнзор, колэсти со вряма сас кай рят.
2c04040095	Бут мануша, савэ ашунэнас лав, патяйле, и сас кацавэн, ко патяйля, варикай панч мия.
2c040500a7	Пэ авэр дес стидэпэ андо Иерусалимо лэндирэ майбарэ, пхурэдэра тай сытяримаря Законостирэ,
2c04060097	о Аннас, баро рашай, о Каиафа, о Иоано, и Александро, и авэр андав родо барэ рашаенго.
2c04070094	Онэ тховдэ лэн по машкар тай пушле: — Савя зораса ай савэ алавэса тумэ тердэ када?
2c0408009d	Тунчи Пэтро пхэрдиля Свэнтонэ Духоса тай пхэндя лэнди: — Рая манушэндирэ и пхурэдэра!
2c040900c7	Кала тумэ допушэн адес амэндар пала лашо рындо, саво сас тердо важ насвало мануш, и пала кода, сар вов састиля,
2c040a0174	тунчи жанэн тумэ и всаворэ мануша Израилёстирэ, со вов тэрдёл англай тумэндэ састярдо алавэса Исусостирэса Христостирэса андав Назарето, Савэс тумэ примардэ кав трушул и Савэс о Дэл жундярдя андай мулэ.
2c040b00b4	Вов исин бар, саво отшутэ тумэ, ко терэнас о чер, ашыля англунэ барэса, пэ саво ритярдёл всаворо чер.
2c040c00dd	И нико авэр на дэл о фэрисаримос, колэсти со на дино манушэнди авэр алав талай болыбэн, савэса трэбуй амэнди тэ фэрисавас.
2c040d0111	Онэ дикхле, со о Пэтро тай Иоано, мэк и наервалэ и мануша андав народо, нэ всаекх на даранас. И кала онэ ужангле, со кола сас лэ Исусоса, фартэ дивосайле.
2c040e00b0	Онэ кадя ж дикхле састярдэс манушэс, саво тэрдёлас лэнца, тай лэнди нисо на сас тэ пхэнэн пэ када.
2c040f00af	Тунчи онэ припхэндэ апостолонэнди тэ выжан андав Синедрионо тай ашыле тэ дэн дума машкар пэстэ:
2c0410010f	— Со амэнди тэ терас калэ манушэнца? Всаворэнди, ко жувэл андо Иерусалимо, ашундо, со онэ тердэ чячюно диво, и амэнди най сар тэ отпхэндювас калэстар.
2c041100fb	Нэ соб тэ на розжалпэ кадья дума машкар мануша, дараваса лэн тай запхэнаса лэнди, кай тэ на дэн дума палав кадва алав никасти андай мануша.
2c041200a4	Онэ акхардэ лэн, припхэндэ лэнди майбут тэ на дэн дума и тэ на сытярэн палав алав Исусоско.
2c041300db	Нэ Пэтро и Иоано пхэндэ лэнди: — Сындосарэн: чи пав чячимос авэла англав Дэл, кай тэ кандас тумэн майфартэ, сар лэ Дэвлэс?
2c0414005e	Амэнди най сар тэ на пхэнас кода, со дикхле и ашундэ.
2c041500f1	Онэ придарадэ лэн тай отмукле, колэсти со на аракхле, сар тэ марэн лэн, тай колэсти со всаворэ лашарэнас Дэвлэс пала кода, со тердяпэ.
2c041600a3	Важ кода со колэсти манушэсти, каса тердяпэ диво састяримаско, сас варикай саранда бэрша.
2c041700d5	Кала Пэтрос тай Иоанос отмукле, онэ авиле кай пэстирэ пхрала и роспхэндэ, со пхэнэнас лэнди барэ рашая тай пхурэдэра.
2c041800d8	Онэ выашундэ и екхэтанэ вазгле о гласо кав Дэл и пхэндэ: — Баро Дэл, Саво тердян болыбэн, пхув, море и вся, со андэ лэндэ!
