2800000009	ማቶስ
31041a00c7	Ꮊረንግርካ ዋጭተረትዳት! የንታ ዋጭንዘን ማቼ ጎማ Ꮊይ ፍክሰቴ፥ የንታ ዋጭነረ ነጋ ጋይማክናና Ꮊይና እንደናር Ꮊይ አርዳ።
31041b0046	ዳብሎስካንታ አርድንተታ ዉልፋ Ꮊይ እመቴ።
31041c00ea	ድብድ Ꮊቅባብ ኮዘንካ ኦስ Ꮊይ ድባ። ስግስሰረ ማጠርስባብከስካንታ እምምድንግንዳ ብራ ክታ ዶቅድንግንዳ ገታ ይንታ አንካ ኡርማ ርን ክት ፍክሳ።
31041d00f7	ቦድሶ የንታ አፋርንካ ዳቅል ኬዛ Ꮊይ ዉታ፥ ኬዛር ማቼ ኤሰርድባብከስም ጉርምዝድንደትኬ ዳቅስካንታ መይድን፥ ኤድንከስካንተረ ዝግዝድን ኬዘን ኬዝከቴ።
31041e0096	የ ቆት ተይምሳን ሰጨና ዶፈን ማድንግንዳ የካንታ እመርሳን ጭል ሳብታ አያንን Ꮊይ ሞርእሰቴ።
31041f007f	ጫቅም፥ ስነር፥ ዋጭ፥ አዉል፥ የክኬ Ꮊረርየረ ዳቅል ሙዳ የንዘንካ ኦስ ጎተራ።
31042000ed	ስግስሶ ክክ ክክታ ኡርመኬ አተርድባብ Ꮊልስመኬ ቡዳርንካ አጨርድባብ ማትከቴ፥ ሳብ ክርስቶሰካ ነጋ የም ጋይሳንግንዳ የተረ ክክ ክክ ነጋ ጋይከቴ።
3105010072	ይና ሶልምምስባብ ይንችንከስግንዳ የተረ ሳብታ ካምስንም ጎርስምከቴ።
310502010b	ክርስቶስ ዎም ሶልምሳንግንደኬ ሳብም ጉርምዝድንዳ ኡርማ ዎስማ ዶቅድንዳ እምንተኬ ካስ ማስሶ ይንታ ሰንፔንም ዎካንታ ስክስትዮ እምሳንግንዳ የተረ ሶልመካ ዶእከቴ።
31050300b6	በልም፥ ቱና፥ ድሳ ኬናከስግንደን ፍክስ ነግሶ ኬዛ ዎራ ሳብካንታ ፋስምሳን ኤድንከስታ ባንግር ቦድሶ Ꮊይ ኤስማ።
31050400d3	ስግስሰረ ሳብም ጋለትከት ዳት ይምኤርዝድንደትምኬ ዳቼታ ኬዘም አነረ ሴካ ኬዛ የም ዝክሳዬ፥ ኬናግንዳ ሪና የካንታ ኡርድንዳ ካዬ።
310505011e	ማነም ኦካኦግድባብ ማቼረ፥ Ꮊምንመረ ቱነታ ፍክስንም ይድባብ ማቼ አነረ ጭጭመተረ ጮይስማታክን ሪንካንታ ጎይንድባብግንዴ፥ ኮካንታ ክርስቶሳርኬ ሳብ ባንችማረረ ባእ ክታ ካዬ።
31050600ae	ከትኬና ሪንከስጎካ ክትምዳክን ኤድንከዘን ሳብታ ዋጭና Ꮊድንካንታ Ꮊየሰነረ ማዳክን ኬዘካ Ꮊይ የም ገስሳ።
3105070063	ኮካንታ ከታኬና ክትምዳክባብ ኤድንከስካ ክክን Ꮊይ ዙገርቴ።
31050800e0	ኤና እሪ የታ ኡምንታ ዋር ዶቅድ Ꮊቀቴ፥ ታ ማቼ የታ ጮይስታ የ ማቻን ኦል የታ ሳክመቴ፥ ኮካንታ ሳክማር ዶቅድባብ ኤድንካስግንዳ ኦንግከቴ።
3105090080	Ꮊረታ ጋይሴ ኡርመትች ሙዳ ጭለትችንተኬ ዶፈንንታ አፍ Ꮊፈርድንዳ ሳክመዘንኬ።
31050a0054	ኮካንታ ጮይስም ጉርምዝድንዳ ሪና Ꮊራ ማቼረ ዝከቴ።
31050b0091	ኦስ ሳክመናር ዉችሰቶ መያ ማስከት ዳት አፍ ካያ ማቻን ኡምንታ ፍክስንካ ክክን Ꮊይ ማተቴ።
31050c0075	ኡማር ዶቅድባብ ኤድንከስ አቸካ ኬት ይድን ሪን ኬዛካንታ ዎራ ኦስንዝዴ።
31050d005c	ሙዳ ሪና ኦስ ሳክማር ዉድንካ ዶፈና መያ ማትሶ Ꮊፈርተሬ።
31050e00ce	መየካ Ꮊፈርድንዳ ሙዳ ሳክሜ፥ ኮ ኦላር፥ “የና ግንእድባቦ ንግካ፥ ደእናርከረ አምካ፥ ክርስቶሰረ የስካንታ ሳግዝዴ” ጋይምቴ።
31050f00a3	ይና Ꮊስግንዳ የ ዶቅተርናከረ አግምሶ ገቀርከቴ፥ ኤጨንባብከስግንዳ ዳት ዳቸንከስግንዳ Ꮊይ ዶቀቴ።
310510005a	ሰጨንከስና ዳቅለኬ፥ ስለንም የንታ ማታ ካንታ ማስከቴ።
3105110071	ኮካንታ ጮይስታ ጋይተና Ꮊራ ማቼረ ገቀርከቴ ዳት ዳቼንከስ Ꮊይማተቴ።
31051200a7	ኦስ ካይንታር የም ጎርዝድንዳ ማቻንካንታ ዎይን ዎጭምንካ Ꮊይጎዘቴ፥ ስግስሰረ አያን ጭልንካ ጮጭከቴ።
31051300a5	የችከኬ ዴእስካ አያናረረ ሳችካ ክክ ክክ ኬዝምከቴ፥ የንታ ቡዳርንካ ደእስኬ የቺካ ጮይስም ጋለትከቴ።
310514008e	ዎንታ ጮይስን የሱስ ክርስቶስታ ላምንካ ሙዳ ሪንካንታ ሙዳᎺይካ ሳብ ባቤንም ጋለትከቴ።
3105150089	ክርስቶስካንታ ቦንቻ ማድንግንዳ የንታ ዋርንካ ዋልቃ ዋልቀና አብንከስካንታ ቆልማ።
310516009a	የታ ይእስባብ ማነንከሶ! ጮይስ የሱስካንታ የ ክትምድንግንዳ የንታ ክእስንከስካንታ ክትምከቴ።
31051700c3	ክርስቶስ ምክስ ኤሄንታ ዱራ ማቻንግንዳ ክእስነረ ኬነንታ ዱሬ፥ አነረ ክርስቶስ ይንታ ዘና ማቻን ምክስ ኤሄንም አቅዝዴ።
31051800cb	ምክስ ኤሄንከስ ክርስቶስካንታ ክትምድንግንዳ ኮትኮግንደረ ይእስባብ ማነንከስ ሙዳሪካ፥ ይንታ ክእስንከስካንታ ኬት ክትማ።
31051900e0	ክእስንከሶ! ክርስቶስ ምክስ ኤሄንከስም ሶልምሳንግንደኬ ይንታ ማተንመረ ኮትካንታ ስክስት እምሳንከካ የተረ የንታ ኬነንከስም ሶልምከቴ።
31051a00d9	ክርስቶስ ኮም ክት ይሳንዳ ምክስ ኤሄንም ሳብካንታ ፋስምስንዳ ማስካንታ ዝግሴ፥ ክት ሳብካንታ ፋሳንደረ ይንታ ቃለንጎካ ሎቀካ ስእሴ።
31051b0106	ኮግንደካ ምክስ ኤሄንም ጭም አነረ ባላ ቱችኬ ኮም ካምድን አብ ዳቅልር Ꮊፈራክናና ሳብካንታ ፋስምስአንዳ፥ ቦርድር ካየንደትኬ ላቅምድንዳ ማስሶ ይንደር ሳንዝዴ።
31051c00e4	ኮትኮግንደረ ክእስንከስ ይንታ ማተንም ሶልምድንግንዳ ኬታ ይንታ ኬነንከስም ሶልማ ዝግዝዴ፥ ይንታ ኬነንም ሶልምድባብ ይንታ ማተን ሶልምዴ።
31051d00c4	ይንታ ገታ ዘነን ግርድባብ Ꮊየነረ ካዬ፥ ስግስሰረ ክርስቶስ ምክስ ኤሄንካንታ ይድንደትግንዳ እችዝዴ ኡርስተረ ካርዝዴ።
31051e0029	ዎተረ ክርስቶስታ ዘኖቴ፥
31051f00bb	“ኮጎካ ኤድ ይንታባበንምኬ እንደንም ዛቅሶ ይንታ ኬነንካ ክክን ዋልቃ ማተሬ፥ ቃስተነረ ዋልቃዘና ማደኬ” ጋይምቴ።
310520009e	ኮና አችምሳን ኬዘና አንድሬ፥ ኮትኮመረ እ ጋይድንዳ ክርስቶስጎኬ ምክስ ኤሄንጎካ ካምስ ማስስቴ።
31052100d7	ኬዛር ማቼ ኮና ሪና የመረ ይይዝግዝድንዴ፥ ኮካንታ ክእስ ይንታ ኬነንም ይንታ ማታግንዳ ማስሶ ሶልማ፥ ኬነነረ ይንታ ክእስንም ቦንቻ።
3106010076	ይንችንከሶ! የም አጭባብከስካንታ ጮይስካ ክትምከቴ፥ ኮነረ ዝግዝድንዴ።
310602008f	“የስታ ባቤንምኬ እንደንምኬ ቦንችካ” ጋይድን ክቴና ጉርም ቃላ ዶቅድንዳ ኤና እሪ ክቴ፥
31060300ad	ኮትኮመረ ጉርም ቃለን የስ ይሴ “ሙዳ ሪይና የስካንታ ኡርተረ፥ ኮ ፍጨዘን ስለና የስታ ቃልተሬ” ጋይድንዴ።
31060400fc	የተረ አጥመንባብከሶ! ጮይስ የሱሰታ ዎገን ኤስሰረቶ፥ ዳቅል ፍክስናርንካ ማሰረቶ Ꮊገካ ከትም ጋጵስከት ዳት የንታ ይንችን ዋጨረቶ የንታዘን Ꮊይሰነርሰቴ።
31060500fc	የታ አይለንከሶ! ዋሄዘን የንታ ማታቆልስባብከስካንታ ጳሰርንደትኬ ጭጭካ ክትምከቴ፥ ክርስቶስካንታ የ ፍግዝድንደትግንዳ ኡርማ ቡደካ ከትካንታ ክትምከቴ።
3106060102	የ ክትምድንደረ ሳብታ ጋይተንም ቡዳርንካ ኬት ቦድባብከስግንዳ ክርስቶሰታ ፍክስንባብከስግንዳ ማትሰቶ ዳት፥ ኤድም ጉርምስካንታ ጋይሰቶ ሰድምካንታ Ꮊይማታ።
3106070080	ኤድም ማታክናና ጮይስካንታ የ ፍግዝድንግንዳ ማትሰቶ ኡርማ ገቅርካ ፍክስከቴ።
31060800e3	አይለነረ ማታ አነረ ማተን ቆልስባበረ ዋልቃ ዋልቃባብና ይ ፍክሳን ኡርማ ፍክስንካ ጮይስደርካ ናክንም ክት ተይድባብ ማትንተን የታ ኤዝደቴ።
3106090112	የተረ ማተን ቆልስባብከሶ! ኤታ ባላካንታ ኦስንዳክባብ የንተኬ ከተካ ጮይስ ጭላር ዶቅድንደትግንዳ ገቅርካ ኬዛ ዝግመትን ዛቅሰቶ የንታ አይልንከስካንታ ኡርመንም ይከቴ።
31060a004d	ይና ጮይስያርኬ ክታ አንድር ዎልቀንካ ዛብከቴ።
31060b0078	ዳብሎሰታ ጩባ ፍክስን የ ግርተርንግንዳ ሳብታ ዳም ካችምን ሙዳ ቆበርከቴ።
31060c0145	ዎንታ ዳምና ኤድካ ክክን ማታክናና ኮ ኡም ፍጫሙደንዘን ፍግዝድባብከስታ ገችንባብከስካ፥ ኤረንባብከስኬ ኮ ኡም ፍጫ ሙደን ቆልድባብከስካ ክክን ጭለዘን ዶቅድን ቱና አያንንከስታ ዳምንባብከስካ ክክኔ።
31060d00fa	ኮካንታ ዳቅል ሰጨንካ ይምኤንባብታ ዎልቀን ጋምካንታ የ ማተርንግንደኬ ሙደንመረ ቦድሰቶ ዛብሶ ዎእካንታ የ ማተርንግንዳ ሳብታ ሙዳ ዳም ካችምን አምስከቴ!
31060e00a1	ይና ዶፈን የንታ ዎክ ጫምናር ሶቅርሰቶ ኦንገዘን ኤድ ስብልም ቆበርድንግንዳ ጭለትቼንም ቆብርሰቶ፥
31060f007a	ሳራትቼንታ ክላ ኬዘንም ጫማግንዳ የንታ ዱትናር አርችሰቶ ግግምካ ዎእከቴ።
31061000c0	ኮ ሙደንዘንከረ ስግ ኖሀግንዳ ሎግንጅድባብከስ ዳብሎስታ ዶንግን ሙዳ የ ካይስዝድንደትም አሜንን ግትማግንዳ የድከቴ።
31061100ee	አቅንተንም ማተዘን ቆጵግንዳ የንታ ማተንዘን ጉፍከቴ፥ ኮትኮግንደረ አያን ጭልንዘንካ Ꮊፈርድንደትም ዳምታ ማሰንም የድከቴ ና ኮነረ ሳብታ ቃለኔ።
31061200c3	ሙዳᎺይካ አያን ጭልንካ ጎርስመረቶ ምክስከቴ። ኮ ገቅርንካ ሳብ ጭልስባብ ኤድንከስካንታ ንግስንደትኬ ዳቅሶ ምክስከቴ።
31061300d3	ክላ ኬዘንታ አችምሳንደትም ጳስካይሳ እ መያ ማዝድንግንዳ፥ እ ኬዝድንᎺይከረ ዝግዝድን ቃለና እምምድንግንዳ እካንተረ ምክስከቴ።
31061400d1	ታየረ ስብል ዛንካ ዞከርስቶ ኮትኮ ክላ ኬዘንታ ክተምስባብቴ፥ ኮካንታ እም ዝግዝድንደትከካ ጳስካይሳ እ ኬዝድንግንዳ ምክስከቴ።
3106150101	ሶልምምስባብ ዎንታ እስመንኬ ጮይስ የሱሰታ አሜንምሳን ፍክስንባብ ቲኪቆስ እጎክንዳ Ꮊስግንዳ ማዳናንከረ አና Ꮊራ ፍክስምዳናንከረ ሙዳ ሪን የካንታ ኬዝተሬ።
31061600b4	ኮካንታ ዎታ Ꮊስግንዳ ዎ ማቻናንከረ የ ኤስተርንግንደኬ የመረ ዳቅዝድንግንዳ ጋይንተካ ክትም የንደር ኦይትቴ።
31061700bf	ሳብ ባቤንዘንኬ ጮይስ የሱስ ክርስቶስዘንካ ሳራትች፥ ሶልመኬ አሜንካ ክክን እስመንከስካንተኬ ምችነንከስካንታ ማታ።
31061800b7	ነግዳክን ሶልመካ ዎንታ ጮይስን የሱስ ክርስቶሰም ሶልምድባብከስ ሙደንካንታ ሳብታ ዉች እምንተና ከትካንታ ማታ።
3200000012	ፍልጵስዮስ
3201010194	የሱስ ክርስቶስታ ፍክስንባብ ማችባብከስ ጳውሎስዘንኬ ጢማቶስዘንካ፥ ፍልጵስዮስ ካተመናር ዶቅድባብከስካንታ፥ የሱስ ክርስቶስካ ሳብካንታ ፋስምስባብ ሙደንካንታ፥ ኮትኮግንደረ ምክስ ኤሄናር ጎርዝድባብከስካንተኬ ከትም አሌን አልድባብከስካንታ፥
32010200a1	ዎንታ ባቤን ሳብዘንኬ ዎንታ ጮይስን የሱስ ክርስቶስዘንካ ዉች እምንተንኬ ሳራትቸንካ የካንታ ማታ።
3201030051	የም እ ገቀርድንᎺይካ ሙዳ እስታ ጮይስን ጋለድቴ፥
3201040071	የ ሙደንካንተረ እ ምግዝድንᎺይካ ሙዳ እስታ ምክስና ጉርምካ ጮጫንዴ።
32010500b1	እርንደትዘንካ የድሶ ታካ የለልታ ክላ ኬዘንም ሳባክንካ እንካ የካ ፍግዝድባብከስ የማቻንኦል ሳብም ጋለድቴ፥
32010600bb	ኮም ኡርማ ፍክስን የንካ የጅባብ ጮይስና፥ የሱስ ክርስቶስ ፍርደንካንታ Ꮊድን ሰጨንካ ቦድምድንደትም እታ ኤስትቴ።
32010701d0	ታ እ ዞክና ኤሀር ዶቅድንኬ እ ዞከርተርንደታ እሪ ክላ ኬዘንታ ዶፈንን ካርስስካንተኬ ኮትመረ ዳቅስስካንታ ሳብ ይንታ ዉች እምንተንካ እካንታ እምሳን እዋንካ የታ ሙደነረ ካስምድባብከስ የማቻንኦል ሙዳᎺይካ እስታ ቡዳር የም ገቀርድቴ። ኮካንተረ የጎካ እካንታ ኤስምድንዳ ኡርማ ገቅርዬ።
320108008f	የሱስ ክርስቶስታ ሶልመንካ የ ሙደንከስም Ꮊራከካ እ የም ሱነርዳናከረ ሳብ እስታ ማርኬ።
320109008b	የንታ ሶልመና ኤሰኬ ገቀርት ተይንታ ጮጫንዳ ማትሶ ጋጰሮ አይድንግንዳ እታ ምግዝድቴ።
32010a00fa	ኮነረ እንድንካ ኡርድን ሪ የታ የ ፋስት ኤስተርንግንደኬ ክርስቶስ ማት ክት Ꮊድን ሰጨንካ ጭለጭልኬ ኦስንዝድን ሪ ካየንባብከስ ማትሰቶ የ Ꮊፈርድንግንዴ።
32010b00e0	ኮግንደከረ የንታ ሰንፔና የሱስ ክርስቶስዘንካ Ꮊፈርድን ጭለትችንታ አፍ ጮጫንዳ ማትሶ ሳብካንታ ቦንቸኬ ጋለት Ꮊፍስዝድባብከስ ማተረቴ።
32010c00cf	እስመንከስኬ ምችነንከሶ! እስታዘን የልሳን ሪና ሙዳ ክላ ኬዘና ስግስሶ ዳልግድንግንዳ ይይንተን የ ኤዝድንግንዳ እታ ሶልምድቴ።
32010d00e3	እተረ እ ዞከርሳንዳ ክርስቶስጎካ ማትንተን ባንችንከስ ዶቅድን ኤሄን ካርዝድባብከስኬ አብንከሰረ ኮታር ዶቅድባብ ኤድንከስ ሙደና ኤዝደኬ።
32010e014c	እስታ ዞክርንጎካ አሜንድባብ እስመንከሳርንካ በድንከስ ኤንገር እርንደትዘንካ ስግስሶ ጮይስካ አሜንምድባብከስ ማቼኬ፥ ኮካንታ ሳብታ ቃለን ጳስካይሳ ኬዛካንታ ኤና እሪንደትዘንካ ስግስሶ ሙቅም Ꮊፍተኬ።
32010f013b	ማታጋካ ዳት ዋልቃ ዋልቀንከስ ክርስቶሰታ ክላ ኬዘን ኤስምዝድባብከስ ዳቅል ቀምስምካ፥ አብንከሰረ Ꮊይዘንካ Ꮊይ ቶግዳ ጋይድን አያንኬ፥ አብንከስ ማቼ ክርስቶሰም ሳባግድባብከስ ሉላ ቡዳርንኬ።
3201100105	ከታኬና ሳብታ ቃለን ሉላ ቡዳርንካ ኤስምዝድባብከስ ሶልመዘንካ አምሳንዴ፥ ከተረ እታ ክላ ኬዘንታ ዶፈንን ካርስስካንታ ኮታር እ ዶርምሳንደትም ከት ኤዝድንጎኬ።
32011100f2	ከታኬና ማቼ ክርስቶስጎካ ዎብስሶ ከት ሳባግድንዳ ሉለካ ማታክናና ይንታ ማተን ሶልመኬ እስታ ዞክርንዘን ጉጅምድን ማጣ እዘን ተይᎺድካንታ ገቅርሰኬ።
32011200b6	ኮነረ ኩን ኮት ማታጋካ ዳት ኮትኮካ እም ጉርምዝዴ፥ ካምስሰረ ማታ ዶፈንከረ፥ ሙዳ ጎግንከረ ክርስቶስ ሳባክምዴ።
32011300b9	አብ እ ጉርምድን ጎግና የንታ ምክስንኬ የሱስ ክርስቶስታ አያንታ አሌንካ ባዛካይሳ እ ዉድንደትም እ ኤዝድንካንቴ።
320114013e	ቦድሶ እ ኦስንዳክንደትም Ꮊድን ጉርምንካ ካርዝድቴ፥ ኬዛርንካ ማቼ ሙዳᎺይካ እ ይድንግንደኬ ታካ ሰንፔካ እ ዶቅሰረ አነረ እ ደእሰረ ክርስቶስ እስታ ኤደትቼንካ ቦንችምዴ ጋይስቶ ሙቅምካ ኬዝድቴ።
3201150086	ኮካንታ እስታ ሰንፔና ጋይንትና ክርስቶስካ ዶቅንትዬ፥ ደእነረ እካንታ መይድንዴ።
320116011f	ማታጋካ ዳት ኮ እስታ ዋሀ ኤደትቼንካ ኦስ እ ዶቅደስናና አፍይ ዶቅድን ፍክስም ፍክሳት ጋይንትዬ፥ ማችንከረ ኮዘንካ ኦስ ዶቅንትዘንኬ ደእዘንካ Ꮊምንም እ እዳናከረ እታ ኤሳይቴ።
320117018f	ከትኬና ቃስተን ገቅርንከስታ ዎክያር እታ የድምትቴ፥ ዋልቃጎካ ክርስቶስካ ክክን ማትና ሙደንዘንካ ስገድን ሪ ማቻንካንታ ኮ ዶቅንትንዘንካ ፋስምስቶ ክርስቶስካ ክክን ማትን ዝግድቴ፥ ኮነረ ክርስቶሰካ ክክን ዶቅና እንድንካ ኡርድንዳ ማቻንካንቴ።
3201180061	ኬዛርንካ ማቼ እስታ ሰንፔካ ዶቅና የካንታ ስግ ዝግዝድንዴ።
32011900e1	ኮትኮካ አሜንምካ እታ ደእዘንካ አቅስቶ የንታ አሜንና ጋጵድንግንደኬ ጉርምን የ Ꮊብድንግንዳ የ ሙደንካክክን ዶቅተርንደትም እታ ኤዝድቴ።
32011a0095	እተረ አናካርንካ የንደር እ Ꮊድንካ እጎካ የንታ ዶቅድንዳ ጋይርና የሱስ ክርስቶሰካ በተሬ።
32011b017a	ይና ሙደንዘንከረ ስግ የንታ ዶቅንተና ክርስቶስታ ክላ ኬዘን ጋለችዝድንዳ ማታ፥ ኮነረ እታ Ꮊድስቶ የም ሰጀረ አነረ የንዘንካ እ ጎተርሰ ዋልቃ ገቅርካ የንታ ዳቅሶ ዎእንተንኬ ክላ ኬዘን ዋልቃትችካ የልስካንታ የንታ ጉርንም ኤሰርድቴ፥
32011c00f7	የም ግርድባብከስመረ Ꮊራ ሪከረ Ꮊይ ጳሰቴ፥ ኮነረ የንታ ሙቅምና ኬትካንታ ካይንተታ ቃዉታ ማድንካ የካንታ ማቼ ሳብዘንካ ማቻን የንታ አቅንተንታ ቃዉቴ።
32011d00c7	ክርስቶስካንታ የ ፍግዝድንግንዳ የካንታ እመርሳንዳ ክትካ Ꮊክ የ አሜንድንግንዳ ማታክዶቆ ክትጎካ ማጣ የ ተይተርንግንዴ።
32011e0105	ኮካንታ ታ እንካ ክክን ማጠንም ካስምድባብ ማተቴ፥ ኮነረ ማጠና ኤና ኮታ እሪ እዘን የልስንካ የ ሰዳንደትኬ ታየረ እዘን የላዶቅድንዳ ማትንተን የ ኤሰራዶቅድንዴ።
32020100fe	ክርስቶሳር ዳቅንታ የንታ ዶቅሴ፥ ክታ ሶልመንከረ የ ዳቅሳንዳማቼ፥ አያን ጭልንካ ክክን ዋልቃትች የንታ ዶቅሴ፥ ክክ ክከረ ላቅም እዘንኬ አጭርንም የ ሰችሴ፥
32020200a8	ዋልቃ ገቅርንካ፥ ሶልመንካ፥ አያንካ፥ የ ገቀርድን ሪካ ኤኤረቶ እስታ ጉርምና ቦድማ ማድንግንዳ ይከቴ።
320203013c	የንታ ማቴን ይርክሳ ይይንተካ አብ ኤድንከስ የንዘንካ ስግሶ ኡርማ ከት ማድንግንዳ ማስሰቶ ፋይድከት ዳት የንታ ማቴን ሶልመካ አነረ “እግንዳ Ꮊይዶቅዳ” ኩን ጋይንተካ ጬቀሮ Ꮊረሰነረ Ꮊይ ይየቴ።
32020400ba	ኮትኮግንደረ ዋልቃ ዋልቀና ይንታ ማታካንታ መይድንደትም Ꮊክ ማታክናና አብ ኤድንካንተረ መይድንደትም ክት ገቅራ።
3202050092	ኮግንደካ የሱስ ክርስቶስ ሰችሳን ይንታ ማቴን ይርክሳ ይይንተና የንታ ዋረረ ዶቅ ዝግዝዴ።
32020600e4	ኖ ሙዳᎺይካ ይንታ እዘንካ ሳብዬ። ማታጋካ ዳት ሳብካ ክክን ክትም ጋድ ማስዝድንደትም ሳብም ካምሶ ዶቅንተን ዎልቀካ ይ የጃንግንዳ ፋይዳክዬ።
32020700b9	ስግስሰረ ይንታ ዶቅድን ቦንቼን ሙዳ ዛቅሶ አይላግንዳ ማትሶ Ꮊፈርሴ ኤድግንደረ አጥምሴ፥ ኤድም ካምሰረ መያ ማቼ፥
32020800a2	ይንታ ማተን ይርክሳ ይሴ፥ ደእ የለልታ፥ ኮነረ ማዝቀልንዘን ሮከርሶ ደእ የለልታ፥ ክትምስባብ ማቼ።
32020900b6	ኮጎካ ሳብ ሙደንዘንካ ስግ ዶቅድን ቦንቻ ካርናር ጬክሳ ይሴ፥ ላም ሙደንዘንካ ስገድንደትም ላም ክትካንታ እምሴ።
32020a00c4	ኮካንታ የሱስታ ላምንካንታ ቦንቻ፥ ጭለዘንከ ፍጨዘን፥ ፍጨታ ታመከረ ዶቅድባብከስ ሙደና ከታ ይንታ ቡቀንካ ጉምፈርደኬ።
32020b00a1	ከታ ይንታ አድምንከረ “የሱስ ክርስቶስ ጮይስዬ” ጋይሰኮ ማርክርካ ሳብ ባቤንካንታ ቦንቻ እምደኬ።
32020c01c9	እስታ ገርነንከሶ! እታ የንካ ክክን እ Ꮊቃንደትካ ሙዳᎺይካ ክትምድባብከስ የ ማቻንግንዳ፥ ስግስሰረ ታ የንዘንካ እ ጎተርሳንደትካ እንድንካ ክትምድባብከስ የ ማድንግንዳ የም ገቀርስዝድቴ፥ ኮካንታ የታ ዋልቃ ዋልቀና የንታ አቅንተን ቦድማ ማስካንታ ጳስኬ ቦንቸካ ዳቅሰቶ ፍክስከቴ።
32020d00a2	ሳብ ይንታ ኡርማ ጋይተንግንዳ ክትምን የካንታ እመሮ ይንታ ገቅርንም ቦድማ ማስካንታ የንካ ፍግዝዴ።
32020e0077	Ꮊምንመረ ፍክስ የ ፍግዝድንደትᎺይካ Ꮊይ ጉንድመቴ፥ አነረ Ꮊይ ቤርመቴ።
32020f0107	ኩነረ ማቼ ኮ ዎብከ ዳቅል አጥርንታ ዎክያር ኦሰንዝድንደትኬ ይንኤእርዝድንዳ ካየንባብ ጭለጭል ሳብታ ይንች ማትንተካ ኮ ፍጫሙደንዘን ቤዝንከስግንዳ ሳክስተረቴ።
320210014d	ኮነረ ማድንዳ ሰንፓ Ꮊፈርድን ቃለን ዛቃከትዶቆ ዳቅስሰቶ የድንተኬ፥ ኮግንደካ እስታ ዞደነረ ማታ ፍክስና ዉችኩን ማትሶ ነገዳክንኦል ክርስቶስ ማትሶ ክት ᎺድንᎺይካ እ ጋይርድንደታ ጎግ ዶቅተሬ ጋይንትዬ።
32021100f4	ሳብካንታ አሜንካ የ እምድን ካሲንኬ ሳብታ ዎንንዘን እስተረ ሰንፔና ጉጅምሶ ካሲ ማትሶ እምምደረ ዎራ እም ጉርምዝዴ፥ የንከረ ክክን አንድር ጉርምድቴ።
3202120080	ኮትኮግንደረ የታ ጉርምሰቶ እመረ የንታ ጉርምንካ እ ጉርምድንግንዳ ይስዝደቴ።
32021300c2	እታ የጎክንደትም ኤስርካ እ ዳቅድንግንዳ ጢማቶሰም ሳነካ የንደር ኦይትካንታ እ ማድንደትም ጮይስ የሱሰካ ጉርም ይድቴ።
3202140066	የጎክንደትም ቡዳርንካ ገቅርድባብ ጢማቶስዘንካ አብ ኤድ ካዬ።
32021500a5	አብንከስ ማቼ ይም መይድንደትም Ꮊክ ዝግደክዳት የሱስ ክርስቶስታ ፍክስንጎካ Ꮊረነረ ገቅር ከታ ካዬ።
3202160132	ጢማቶስታ አሜንምና ጰጭምሶ ክትካንታ ማርከርምስባብ ማትንተኬ እንከረ ክክን ባቤንኬ ይንችክንግንዳ የካ ማትሶቶ ክላ ኬዘንም ኤስስንካ ፍግዝድ ዎንታ Ꮊቅንተን የታ የንታ ማታርንካ ኤዝደቴ።
32021700bd	ኮካንታ እስተና Ꮊረዘን ኮት የልዳናከረ እ ኤሳንደታ ቡሪ ጢማቶሰም ሳነካ የንደር እ ኦይድንደትም Ꮊድን ጉርም ይድቴ።
32021800af	ኮትኮግንደረ እታ እስታ ማታርንካ ሳነካ የንደር እ Ꮊድንግንዳ ጮይስ እም አሌንም አልዴ ጋይስቶ አሜንምድቴ።
3202190181	ኮትኮግንደረ እም ዝግዝድንደትካ ሙዳ አለን እም አልተርንግንዳ የ ኦይችባብ እስታ እስመን ኤጳፍሮድቱስም ኦስ የንደር ኦይት ዝግዝድንዳ ማቻንደትም ኤስትቴ፥ ኖ እንካ ክክን ዎእስባብ ዳምንባብኬ እንካ ክክን ላኮይት ማትሶ ፍግዝድ Ꮊቅባቤ።
32021a00d9	ክትም ኦስ የንደር እ ኦይድንደረ የ ሙደንመረ ሰድንካንታ ክት ሱነርሳንካንተኬ የተረ ክታ ሰቅርንም የንታ ኤስርንካ ክት ማጠርሳንጎኬ።
32021b00fd	ዶፈንካ ኖ ሰቀርሶ ደእካንታ የልሶ Ꮊቄ፥ ኬዛርንካ ማቼ ሳብ ክትም አጨርሴ፥ ክትካንታ Ꮊክ ማታክናና ሞርእዘን ሞርእ ጉጅምዳክንግንዳ እካንተረ ዎራ አጨርሴ።
32021c00c2	ኮካንታ የታ ክትም ሰድሶ የ ጉርምድንግንደኬ እስተረ ሞርእና ነግድንግንዳ ክትም ኦስ የንደር ሳነካ ኦይትካንታ ዝግትቴ።
32021d00ae	ይና ጮይስካ ክት አሜንድንኦል አንድር ጉርምካ ክትም ሞከቴ፥ ክትግንዳ ዶቅድባብ ኤድንከስም ሙዳ ቦንችከቴ።
