2800000005	Macho
2f0308006f	Nɛ yiyɛɛ je gɛ̀ bee noo, je yì ba gee mwɛɛ yo yì le yi Kiyo ki Yuude, gɛ fe lo wuwɛɛ n'yulɛ gɛ?
2f03090102	Nɛ je yì bo gɛ̀ gee mwɛɛ yo yì gɛ̀ too bɛ fiɛɛ fì leese lo bamii yi ŋgɛ le, yi gɛ̀ too bɛ n'yulɛ wu Nyo, gɛ tu je yì bo gee mwɛɛ yo yì le yi Nyo jôde bamii lɛ bo le chaaŋ a wu jii taŋlo yi kɛ̂me n'yulɛ wù fede lo wɛɛ!
2f030a0099	Kinchiɛɛŋ kiyu le lɛ fiɛɛ fì gɛ̀ too fi kɛme n'yulɛ wu Nyo fiyu le fi lɛsɛ wa n'yulɛ we nje n'yulɛ wù kuge wù fede wɛɛ le wu to wa.
2f030b00a0	Nɛ fiɛɛ fì gɛ̀ kage wa fi gɛɛne lo gɛ̀ too bɛ n'yulɛ wu Nyo, gɛ tu n'yulɛ wu fiɛɛ fì too ki fi nyû wa kimaga le wu kuge wu fede lo wuwɛɛ!
2f030c0045	No bee kee noo njɛ kimaŋɛ le lo sɛŋ, bee mo feeji bee faane gɛ.
2f030d00b8	Gɛ bee nyu njɛ Musɛ wù gɛ̀ baŋɛ bvushi bwe bɛ nju ki wu gê lɛ keefɛ bamii ba Ishwala jîiŋe no n'yulɛ wù gɛ̀ baaŋ yi bvushi bwe le jime wu kage wu gɛɛne lo gɛ.
2f030e00f8	Geenɛ bamii bayu bvufee bvuboo gɛ̀ jiime lo. Mo too bude abɛŋ, lɛ bo doo bo tɛŋe fiɛɛ a Ŋwa wu Maŋkaŋ mà kege le, bo yu, fiɛɛ nyu gɛh yu fì baŋe bvufee bvuboo. Le gɛh yi Kletu le wù taŋlo bo chiaasɛ fiɛɛ fì baŋe fiyu.
2f030f007c	Yi nchiɛɛŋ le, too bude a bɛŋ wunɛ, bo tɛŋe fiɛɛ a ŋwa wu Musɛ le, fiɛɛ nyu gɛh yu fi baŋ bvufee bvuboo lɛ.
2f03100049	Geenɛ, muh tu wa fie bɛ Tada, ba mo ba chiaasɛ fiɛɛ fì baŋe fiyu.
2f03110055	Tada wunɛ le Kiyo, mo faaŋ fɛ Kiyo kinɛ le fo, tu bamii le bo bu wa yi bvunfa le.
2f0312010a	Fi le lɛ besabɛŋ bachii ba le lɛ fiɛɛ baaŋ fi baŋe manshi mɛsa besabɛŋ le n'yulɛ wu Tada wù baaŋ yi ye yese besabɛŋ le, wu gee besabɛŋ baaŋ bee mo bee kuse bee gɛɛne fwe fwe bee fiɛɛnɛ wa nyu wu. Ŋkusɛ wunɛ gee Tada wù le Kiyo ki Yuude.
2f04010072	Noo, no bee kɛme lɛme chinɛ nyume Nyo wù kole yii wu nya bee le, tu gɛ taŋlo shɛ́ŋ kwee bee bɛ chi gɛ.
2f0402013f	Bee le bee baa jiŋ yi mwɛɛ mù bamii gee nyilɛ le, mù le mu kinchoosɛ. Bee le bee faŋ je yi kilɛlɛ. Gɛ bee leese chimbiaŋ a jɛ yi Nyo le gɛ. Bee to bee jɛme gɛh nyu nchiɛɛŋ bee chuuyi andaŋɛdaŋ, bee duunyi bikwɛɛ biɛsa muh wuchii le a Nyo jii, wu lɛ taŋlo bo kwajɛ bo kɛɛ bamii ba le bee.
2f04030077	Nɛ mo nyu lɛ saaka wù joŋe wù bee feeji wunɛ le fiɛɛ baŋɛ, tu fi baŋe gɛh nyu fɛ bamii ba lɛɛse lo le.
2f0404010d	Fɛ bobaa bamii ba baaŋ bɛɛŋ gɛ saaka wunɛ le gɛ le Sataŋ wù le nyo wu yi woŋ kfunɛ le, wu le wu baŋɛ bvufee bvuboo bvu jiiŋ. Wu ge noo wu lɛ keefɛ bo yɛ̂ne n'yulɛ wu saaka wù joŋe wù le kune bvukugɛ bvu Kletu wù le nfiɛɛnɛ yi Nyo le gɛ.
2f0405009d	Bɛŋ kêe lɛ gɛ bee feeji nyu kune bikwɛɛ biɛsa gɛ. Bee feeji nyu kune Kletu Jiso lɛ le Tada. Bee le gɛh lo fiesa bamii ba lɛne bɛŋ le nje Jiso.
2f040600e1	Nyo wù gɛ̀ jɛmɛ lɛ, “N'yulɛ bu yi kijibɛ le wu bâaŋ”, Le Nyo wuyu wunɛ wù ge n'yulɛ we tu wu baaŋ fɛ muntele mwesa le ki wu yûusɛ bee lɛ bee kee bvukugɛ bvu Nyo bvù le yi bvushi bvu Jiso Kletu le.
2f040700da	Nchvu yi saaka wunɛ le yi ye yese le, geenɛ bee le gɛh lo fiesa baleh ba bo ma lo. Bee le noo wu lɛ fi dûunyi lɛ bvuŋga bvunɛ bvù fede bvuŋga bvuchii bvù le yi ye yese le, le bvu Nyo, gɛ nyume bwesa gɛ.
2f0408008f	Baŋgɛ yige bee bimbe le bichii, geenɛ bo ya bwɛɛyi gɛ̀ bee gɛ. Bee jade bvufee tu bvu lɛɛse lo bee, geenɛ shɛ́ŋ kwee gɛ bee gɛ.
2f04090082	Bo to bo boone bikaa a bee jiŋ, geenɛ Nyo daayi gɛ a bee le gɛ. Bo to bo kfuune bee, bee gweeyi fɛkuu, geenɛ bee kweeyi gɛ.
2f040a0079	Bee to be jiɛnyi bee kwee gɛ kfuu chi kwe yi Jiso segechii, wu lɛ kinche ki Jiso taŋlo ki dûunyi tɛ yi ye yese le.
2f040b0081	No bee chee, bee to be nyu gɛh jwe wu kwe le segechii nje Jiso, wu lɛ kinche ki Jiso dûunyi yi ye yese yì taŋlo yi kwe le.
2f040c0050	Noo, bee mo bee kwee kwe, geenɛ kwe yese yinɛ too nyu bɛ kinche fɛ bɛŋ le.
2f040d0086	Bee le be leesɛ fitele yi Nyo le no muh mu gɛ lesɛ wu mo wu saŋ lɛ, “Nle mbɛɛŋ fɛ njɛme”, bee tɛ bɛɛŋ fɛ bee jɛme.
2f040e00cd	Bee kee lo lɛ wuwɛɛ wù gɛ̀ bvusɛ Tada wese besabɛŋ wù Jiso Kletu yi kwe le, lé wu gê wu bvûsɛ tɛ besabɛŋ ba le bɛ Jiso yi kwe le, wu jo bee mo bɛŋ tɛ wu gɛɛŋ wu gɛɛ a wu fwe.
2f040f00b7	Mwɛɛ munɛ munchii kooshi nje bɛŋ, wu lɛ no kiŋkoŋɛ ki Nyo fede ki gɛɛne fɛ bamii ba duude wesee le, kiyone ki bamii nyaa fɛ Nyo le bîise mbɛɛŋsɛ gɛɛne fɛ Nyo le.
2f04100095	Le fiɛɛ fì shɛ́ŋ kwee gɛ̀ bee gɛ. Mo no ye yese chinɛ bvuge yi gɛɛne yi kage nɛ, muntele mwesa kuuse mu tuu gɛh lo munfɛŋ aju achii.
2f041100a5	Baŋgɛ ba shige banɛ ba bee yɛne yi kife kì shige kinɛ le, le ba seese nyu bvujoŋɛ bvù baaŋ bvù kage gɛ fɛ bee le bvù taŋlo muh gɛ ka wu bege gɛ.
2f041200d7	Noo, bee baaŋ leesɛ gɛ fiesa bvufee yi mwɛɛ mù ba yɛde mu le gɛ. Bee leese nyu yi mù ba yɛde gɛ le, nje mwɛɛ mù besabɛŋ yɛde mu le, le mu fede lo, geenɛ mù besabɛŋ yɛde gɛ, le mu kage gɛ.
2f050100c6	Besabɛŋ kee lɛ ba saayi lo chuŋ yi le ye yese yi besebɛŋ chee yu fɛkuu fɛnɛ, tu besabɛŋ kɛme yeh fɛ Nyo le yì ba jonɛ gɛ bɛ chiaaŋ gɛ. Yiyɛɛ le yeh yi fɛwe, nyu yì kage gɛ.
2f05020086	No besabɛŋ le fɛnɛ mɛɛse besabɛŋ tune, nje besabɛŋ beede baaŋ lɛ ba jii ye yi fɛwe yɛɛ ye yese besabɛŋ le njɛ njú.
2f05030067	Le ge nyû sege ba jii wa ye yɛɛ yi ye yese besabɛŋ le, besabɛŋ gɛ ka bee nyû ye yi yese gɛ.
2f0504014a	No besabɛŋ baaŋ bee chee chuŋ yinɛ le, baŋgɛ ba besabɛŋ yɛne bo gee besabɛŋ tune lo baaŋ. Gɛ nyu lɛ besabɛŋ goone lɛ ba baayɛ njú chiɛɛ yì le ye yese ba jii nyu yi fɛwe gɛ. Besabɛŋ goone lɛ ba jîi nyu yi fɛwe ye yese besabɛŋ le, wu lɛ kinche kì kage gɛ mi lo ye yese chinɛ yi taŋlo yi kwe.
2f05050068	Nyo le wu seesɛ besabɛŋ ki bee kɛ̂mɛ fiɛɛ finɛ. Wu le wu baa sa besabɛŋ le nyu Kiyo ki Yuude.
2f050600a0	Noo, bee mo bee nyu segechii bee kee finɛ fiɛɛ bee maŋe gɛ. Bee kee lɛ no bee chee yi woŋ kfunɛ le yi ye chinɛ le, bee le je yì ndefe le fɛ Tada le.
2f05070054	Bee gee mwɛɛ nje fitele fì bee leese yi Nyo le, gɛ nyu nje bee yɛde wu le gɛ.
2f05080090	Bee le njɛ bee maŋe finɛ fiɛɛ sɛŋ, fi joŋe chuule lɛ bee chînɛ lo ye chinɛ le, bee gɛɛŋ bee nyume wa besa ba Tada fɛ la che le.
2f05090088	Noo, kɛnɛ lɛ bee le besa bo fɛ la che le, kɛnɛ bee baaŋ fɛnɛ, fiɛɛ fì bee jiiŋe le lɛ, bee gêe gɛh ki wu yûge njoŋ.
2f050a00d8	Bɛŋ kêe lɛ besabɛŋ bachii kɛme ki bee lɛɛŋ fwe a Kletu wu sâ besabɛŋ, wu lɛ muh wu mumwaa wu mumwaa kɛ̂mɛ nlaŋɛ wu fiɛɛ fì wu gɛ̀ gee yi ye chinɛ le, kɛnɛ le fì joŋe kɛnɛ fì befe.
2f050b00bd	No bee kee fiɛɛ fì le ki bee fâane Tada, bee mo bee moŋ ki bee gê bamii kusɛ. Nyo kee bamii ba le bee chuule. Ŋkwaji lɛ bɛŋ tɛ kee chuule a muntele mwɛna le bamii ba le bee.
2f050c0154	No bee jɛme nɛ gɛ nyu lɛ bee goone ki bee ka be kaasɛ bee duunyi bikwɛɛ biɛsa bɛŋ le gɛ. Bee nyaa gɛh nyu je bɛŋ le ki bɛŋ chîaase ye bɛ bee, wu lɛ taŋlo bɛŋ kɛ̂me fiɛɛ fì taŋlo bɛŋ chvûu bamii ba bɛɛŋse ye yi kijusɛ ki mu le bɛ mwɛɛ mù bo yɛde a bamii jii, nyume gɛ mu fɛ muntele muboo le gɛ.
2f050d006b	Nɛ le lɛ bikwɛɛ jiɛnyi bee, tu bi jiɛnyi nje Nyo. Nɛ le lɛ bi lɛme fo, tu bi lɛme gɛh nje bɛŋ.
2f050e00f9	Fiɛɛ fì gee bee gɛɛne fwe bɛ fiɛɛ fì bee gee le kiŋkoŋɛ kì Kletu kɛme fɛ besabɛŋ le. Bee gee noo nje bee le bee bɛɛŋ lɛ muh wu mumwaa gɛ̀ be wu kwe fɛ bamii le bachii, fi mo fi nyume lɛ bamii bayu bachii le bo kwe wa tɛ.
2f050f00ba	Wu gɛ̀ kwe fɛ bamii bachii le wu lɛ keefɛ bobaa ba chee, ka bo chêe nje bikwɛɛ biboo gɛ. Geenɛ, lɛ bo chêe wa nje wɛɛ muh wù gɛ̀ kwe wu kaasɛ wu bu yi kwe le nje bo.
2f051000c6	Noo, kɛge mɛɛse gɛɛne lo fwe gɛ bee ka jiiŋe muh bɛ je yì muh wu wuŋ gɛ. Bee nɛ chi jiiŋe Kletu nyu bɛ je yi muh wu wuŋ, gɛ bee baaŋ be ka be jiiŋe wu mɛɛse a yiyɛɛ je le gɛ.
2f051100a4	Fiɛɛ fì nyume le lɛ, nɛ muh le wu taashɛ wa bɛ Kletu, tu wu le wa muh wù fwɛŋ. Mwɛɛ mù kege munchii le mu fe wa, mwɛɛ munchii tu wa mù munfɛŋ.
2f051200b3	Finɛ fichii gee Nyo wu gɛ̀ kaasɛ wu jo besabɛŋ yi ye ye le wu najɛ mwɛɛ besabɛŋ bɛ wu, fede yi Kletu le. Wu le wu nya bee lɛme ki bee gêe bamii naji mwɛɛ bɛ Nyo.
2f051300e8	Fi le lɛ, le yi Kletu le wù Nyo gɛ̀ najɛ mwɛɛ bɛ bamii ba yi woŋ kfunɛ le, lɛ bo tu bɛ wu. Wu baaŋ gɛ wu ŋgode finte fi bimbefɛ biboo gɛ, wu mo wu nya ntuŋ wu najɛ wunɛ chiaaŋ yese le, lɛ bee têede bamii le.
2f051400c3	Bee mo bee nyu fɛnɛ yi kijusɛ ki Kletu le, Nyo fede yi ye yese le wu lɛge bamii. Noo bee kude chiaaŋ fɛ bɛŋ le a jee chi Kletu le lɛ bɛŋ kâasɛ mɛɛse bɛŋ nâjɛ mwɛɛ bena Nyo.
2f05150091	Le nje besabɛŋ ba wu wù Nyo gɛ̀ ge Kletu wù gɛ̀ kee gɛ kimbefɛ gɛ, ja wu tu kimbefɛ, wu lɛ besabɛŋ tû chaaŋ a Nyo jii nje wu.
2f060100aa	No bee lɛne yi kintaashɛ le besa Nyo, bee mo kude chiaaŋ tɛ fɛ bɛŋ le lɛ keefɛ bɛŋ fɛ̂ fitele fì joŋe fì Nyo kɛme fɛ bɛŋ le ge fi lɛsɛ achiji gɛ.
2f060200db	Nyo gɛ̀ bee wu jɛme lɛ, “Kife kì chuule gɛ̀ to ki kojɛ, nnya bintuŋ wo le. Juu chi mbvusɛ gɛ̀ kojɛ mɛ mbvusɛ wo.” Bɛŋ jîŋɛ bɛŋ yɛ̂ŋ, mɛɛse le kife kì chuule, chinɛ le juu chi mbvusɛ.
2f0603008d	Gɛ bee gee lo fiɛɛ fì taŋlo fi baŋe je yi muh mu gɛ. Bee gee noo wu lɛ keefɛ ba gê ba yɛ̂ŋ jialɛ chimi yi lɛme chesa le gɛ.
2f060400e5	Geenɛ, bee le be dunyɛ fiesa bikwɛɛ biɛsa a jé le yichii lɛ bee le bamii ba lɛme ba Nyo. Bee le bee dunyɛ je yì bee kaane shɛ́ŋ baaŋ yi baŋgɛ ba bee yɛde le, bɛ sege mwɛɛ tɛɛme mo sege je nyume gɛ yu gɛ.
2f060500dd	Bee ka be dunyɛ tɛ no bo suŋe bee, bɛ no bo leese bee yéh yi ncha le, bo ka shiŋshi baŋgɛ besa bo. Bee to bee kfuune ye yi lɛme le, bee jade bee che antaŋ bee lefe gɛ, be ja kife kimi le bee tu bee kwee jɛŋ.
2f060600fc	Bee duunyi tɛ a je yi kinche kesa kì yuude le, bɛ no bee kee fiɛɛ kune Nyo, mo no bee kaane shɛ́ŋ, bɛ no bee kɛme muntele mù njoŋe fɛ bamii le. Bee chee bee bii no Kiyo ki Yuude duunyi bee le, bee koŋe bamii bɛ kiŋkoŋɛ kinchiɛɛŋ.
2f060700cf	Bee to bee jɛme gɛh nyu njɛmɛ wù nchiɛɛŋ, bee gee mwɛɛ a bvuŋga bvu Nyo le. Bee to bee jiji kinche ki chaaŋ le ki nyume njɛ mwɛɛ mu jɛŋ mu a kibo kinchiɛɛŋ le bɛ mu a kibo kiŋkoŋo le.
2f060800fd	Bee to bee duunyi tɛ bamii ba le bee, kɛnɛ bamii ŋgvuune bee, kɛnɛ bo ŋgvuune gɛ, kɛnɛ bo jɛme mwɛɛ mù mbefe kune bee kɛnɛ bo jɛme nyu mù njoŋe. Bamii to bo jode bee lɛ bee le bamii ba kinlɛlɛ, geenɛ bee nyu bamii ba nchiɛɛŋ.
2f060900ed	Bamii to bo jade bo nyu njɛ bo kee gɛ bee gɛ, geenɛ bo kee bee chuule. Bee jade bee yɛne lɛ bee le wa baŋkfusa, geenɛ bɛŋ jîŋɛ bɛŋ yɛ̂ŋ, bee le gɛh yu. Bamii to bo ja bo nyaa ŋgɛ bee le, geenɛ bo yuuyi gɛ bee gɛ.
2f060a00f3	Bee to bee nyu njɛ bamii ba le yii yii, geenɛ bee laŋe gɛh ye segechii, bee nyume njɛ bamii ba fuude, geenɛ bee gee bamii ba duude tuu bamii ba kwa lɛ. Bee to bee nyume nɛ njɛ gɛ bee kɛme fiɛɛ gɛ, geenɛ bee kɛme mwɛɛ munchii.
2f060b0098	Bamii ba Kolɛŋ, bee le bee jɛmɛ wa bɛŋ le, bee baaŋ nyilɛ gɛ fiɛɛ gɛ. Bee le bee gwenyɛ tɛ muntele mwesa bee gɛɛ mu yɛsɛ fɛ bɛŋ le.
2f060c0053	Bee baaŋ baŋɛ gɛ muntele mwesa fɛ bɛŋ le gɛ. Baŋe bɛŋ mwɛna fɛ bee le.
2f060d008a	Njɛme bɛŋ le njɛ booŋ baŋ lɛ bɛŋ gêe gɛh yɛɛŋyɛɛŋ no bee ge fɛ bɛŋ le, bɛŋ gwênyɛ tɛ muntele mwɛna fɛ bee le.
2f060e00c6	Keefɛ bɛŋ shûu kikaa bɛ bamii ba le gɛ ba mbɛmɛ gɛ. Taŋlo fiɛɛ fì chaaŋ bɛ fì befe jiɛnyɛ nɛɛ fɛ mu nyûme yi fiɛɛ le fimimia? N'yulɛ bɛ kijibɛ taŋlo kɛme kintaashɛ?
2f060f0080	Taŋlo Kletu bɛ Bɛlial bo nyume jwe wu mumwaa? Fiɛɛ fì taashi muh wu mbɛmɛ bɛ muh wù le gɛ muh wu mbɛmɛ gɛ le la?
2f06100139	Yeh yi kintanyɛ ki Nyo taŋlo yi kɛme la ki yi gê bɛ munyo mu yi woŋ kfunɛ le? Bɛŋ kêe lɛ besabɛŋ le yeh yi kintanyɛ yi Nyo yi kɛme kinche. Finɛ fiɛɛ le no Nyo gɛ̀ jɛmɛ lɛ, “Nlé ŋgê nchêe yi bo le, njîɛnyi a bo ntɛnɛɛ. Nlé ŋgê nyûme Nyo wuboo, bo nyume bamii baŋ.”
2f06110092	Noo, Tada duu lɛ, “Bɛŋ bû a bo antɛnɛɛ, bɛŋ nyûme yeye a bo le. Keefɛ bɛŋ kûŋ fiɛɛ fì nyiɛŋ le gɛ, mɛ mo nfîh bɛŋ.
2f06120084	Nlé ŋgê nyûme chiji wene, bɛŋ nyume booŋ baŋ ba bilɛŋsɛ mo ba bikɛse. Finɛ jɛme Tada wù Kɛme Bvuŋga Bvuchii.”
2f070100fe	Nsáa yaŋ yi shɛ́ŋ, no Nyo le wu nya baŋka banɛ besabɛŋ le nɛ, bee mo be chûgɛ fiɛɛ fichii fì chɛŋe bɛ ye yese besebɛŋ mo kiyo kesa besebɛŋ. Besabɛŋ yûude bee gɛ̂ɛne bee mɛ̂ɛse no besabɛŋ chee yi nfaaŋ wù wu Nyo le.
2f0702009d	Bɛŋ gɛ̂ɛ kijusɛ a muntele mwɛna le fɛ bee le. Gɛ bee nyu bee jiaa fiɛɛ fɛ muh le gɛ. Gɛ bee nyu bee lɛɛ bɛ muh gɛ, gɛ bee fide muh mu gɛ.
2f070300b9	Gɛ njɛme nɛ lɛ nsage lo bɛŋ nsuune nsa gɛ. Nle njɛme wa bɛŋ le lɛ bɛŋ le shɛ́ŋ yese, mo nyu ki bee kwê kɛnɛ ki bee nyûme yu, tu besabɛŋ le gɛh yi kintaashɛ le.
2f070400ba	Nle ŋgɛɛ fitele fiaŋ yi ye yene le baaŋ. Ŋkɛme kinchiaase ye baaŋ kune bɛŋ. Fitele fiaŋ le nyiɛgee baaŋ kune bɛŋ. Yi baŋgɛ bachii ba bee yɛne le, n'yuge gɛh nyu njoŋ.
2f070500c2	Mo no bee gɛ̀ lesɛ woŋ wu Masɛdonia le, bee gɛ̀ baaŋ kɛme gɛ nfufɛ shɛ́ŋ gɛ. Bee gɛ̀ kɛme baŋgɛ bimbe bichii. Bamii goone jwe besa bo, bee ka kɛme nfaaŋ a muntele mwesa le.
2f07060075	Geenɛ, Nyo wù jiɛɛse muntele mu bamii ba le yi yii le, gɛ̀ jiɛɛse muntele mwesa bɛ nto wù Taytu gɛ̀ to.
2f07070139	Gɛ mɛ gɛh nto we maa wu gɛ̀ jiɛɛse muntele mwesa gɛ. Gɛ̀ bee tɛ je yì bɛŋ gɛ̀ jiɛɛsɛ fitele fie yu. Wu gɛ̀ sɛɛŋ bee le lɛ bɛŋ goone baaŋ ki bɛŋ yɛ̂ŋ mɛne, bɛŋ tu bɛŋ kɛme yii fɛ bikwɛɛ biɛna le, mo no bɛŋ kwaji baaŋ kune mɛ. No n'yu noo, ŋka n'yuge lo njoŋ baaŋ.
2f07080115	Mo nɛ nyu lɛ ŋwa wu ŋgɛ̀ nsaŋ fɛ bɛŋ le wɛɛ gɛ̀ ge bɛŋ tu bɛŋ nyume yii yii, tu gɛ fi fuuŋse mɛ gɛ. Geenɛ, fi gɛ̀ fuuŋsɛ gɛh mɛ, nje n'yɛde lɛ ŋwa waŋ wuyu gɛ̀ ge bɛŋ nyume yii yii. Geenɛ, bɛŋ gɛ̀ bee yii yii gɛh yi kife le nɛ shige.
2f070900f7	Ntu n'yuge njoŋ mɛɛse, nyume gɛh lɛ nje bɛŋ gɛh bee yii yii gɛ. Le nje yii yinɛ yi gɛ̀ ge bɛŋ kusɛ muntele mwɛna. Bɛŋ gɛ̀ kɛme yii nyu a je yì Nyo goone le. Noo, bee gɛ̀ baaŋ ge gɛ fiɛɛ fimi fì befe fɛ bɛŋ le gɛ.
2f070a0120	Nɛ muh kɛme yii a je yì Nyo goone le, tu fi lé fi gê wu kûsɛ fitele fie. Finɛ fiɛɛ tô nyu bɛ mbvusɛ fɛ wu le, fi too gɛh nyu bɛ fiɛɛ fì wu fuuŋse ye yi fi le gɛ. Geenɛ, muh kɛme yii a je yì bamii ba yi woŋ kfunɛ le, tu yi lé yi gê yi tô nyu bɛ kwe.
2f070b02ab	Bɛŋ yɛ̂ŋ fiɛɛ fì yii yì le yi Nyo goone le yi to yu fɛ bɛŋ le. Bɛŋ yɛ̂ŋ no bɛŋ le bɛŋ jo mwɛɛ a je yì tɛɛme le. Bɛŋ yɛ̂ŋ tɛ no bɛŋ le bɛŋ ge fiɛɛ fichii ki fi dûnyɛ lɛ gɛ bɛŋ kɛme kibo fɛ fiɛɛ fì befe fiyu le gɛ. Bɛŋ yɛ̂ŋ no fiɛɛ fiyu le fi toonyɛ bɛŋ. Bɛŋ yɛ̂ŋ nfaaŋ wù bɛŋ kɛme. Bɛŋ yɛ̂ŋ shɛ́ŋ yì baaŋ yì bɛŋ kɛme ki bɛŋ yɛ̂ŋ mɛne. Bɛŋ yɛ̂ŋ shɛ́ŋ yì bɛŋ kɛme ki bɛŋ gê fiɛɛ fì kooji. Bɛŋ yɛ̂ŋ tɛ kfuu chi ŋgɛ wù bɛŋ le bɛŋ nya muh wuyu wù ge jialɛ le. Yi fiɛɛ le fichii bɛŋ le bɛŋ dunyɛ lo lɛ gɛ bɛŋ kɛme kibo fɛ fiɛɛ fiyu le gɛ.
2f070c010e	Noo, mo no ŋgɛ̀ nsaŋ ŋwa wɛɛ fɛ bɛŋ le, gɛ ŋgɛ̀ nsaŋ nje muh wù gɛ̀ ge jialɛ gɛ, kɛnɛ muh wù bo gɛ̀ ge jialɛ wu le gɛ. Ŋgɛ̀ nsaŋ wu lɛ taŋlo bɛŋ dûnyɛ fɛ bikwɛɛ biɛna le a Nyo jii kfuu chi shɛ́ŋ yì bɛŋ kɛme fɛ bee le.
2f070d00d5	Noo, finɛ fiɛɛ le fi ge shɛ́ŋ tu yi jiɛɛ bee. Ki bisɛ yi shɛ́ŋ yese yì le yi jiɛdɛ le, bee ka yuge njoŋ baaŋ nje njoŋ wù Taytu yuge nje bɛŋ bachii, le bɛŋ ge fitele fie nyu yi nyiɛgee le.
2f070e0117	Ŋgɛ̀ chiaase wa ye nje bɛŋ Taytu le, bɛŋ gɛ̀ baaŋ choosɛ gɛ mɛ gɛ. Kinchiaasɛ ye kì bee gɛ̀ shee be chiaase ye nje bɛŋ Taytu le ki duunyi lɛ le kinchiɛɛŋ. Le gɛh yɛɛŋyɛɛŋ no fiɛɛ fichii fì bee gɛ̀ shee bee jɛme bɛŋ le, nyu tɛ nchiɛɛŋ.
2f070f0091	Wu wù Taytu to wu kwaji bɛŋ bachii no bɛŋ gɛ̀ yuge wu le, bɛ no bɛŋ gɛ̀ fi wu bɛ nfaaŋ, bɛŋ shiŋshi, wu koŋe bɛŋ wu fede lo.
2f07100051	Mɛ tɛ n'yuge njoŋ nje nle ŋgɛɛ bvufee bwaŋ yi ye yene le ŋgɛɛŋ mɛsɛ.
2f0801008d	Booŋ ba bwe wese, bee goone lɛ bɛŋ kɛɛ fiɛɛ fì nfii wu Nyo le wu ge fɛ bintaashɛ bi bamii ba mbɛmɛ bi kimbe kì Masɛdonia le.
2f080200b3	Baŋgɛ ba tɛɛme le bo moŋ wa bo baaŋ. Geenɛ njoŋ wù baaŋ wù bo kɛme le wu ge bo gwenyɛ chiaaŋ yiboo yichii ki bo nya bamii bamu le mo ba le yi kifufe kì baaŋ le.
2f080300a4	Fiɛɛ fì taŋlo nsɛɛŋ le lɛ, le bo ba gɛ̀ kwajɛ lɛ bo lé bo nyâ nnya no bvuŋga bvuboo le. Bo doo bo nyaa, bo nya bo fesɛ no bo gɛ̀ bee ki bo nya.
2f0804007b	Bo gɛ̀ lɛgɛ wesee lɛ bee nyâ gɛh bo je ki bo lêe kibo fɛ lɛme chinɛ le ki bo tôoŋ bamii ba le ba Nyo Judia.
2f08050093	Bo gɛ̀ ge a je yì bee gɛ̀ kwaji gɛ lɛ taŋlo bo ge le gɛ. Bo gɛ̀ ya bo nya bikwɛɛ biboo Tada le, bo mo bo nya tɛ bee le no Nyo goone.
2f080600a4	Noo, bee mo bee lɛgɛ Taytu lɛ no wu gɛ̀ kɛ wa lɛme chinɛ a bɛŋ ntɛnɛɛ, wu mo wu gɛ̂ɛŋ bɛ chi fwe wu fî bɛŋ, wu mɛ̂sɛ lɛme chi nfii chinɛ.
2f08070162	Bɛŋ kee ki bɛŋ gê mwɛɛ munchii nɛ chuule, mwɛɛ mu a kimbe ki mbɛmɛ le, mu a kimbe ki njɛme le, mu a kimbe ki bvufee le, mu a kimbe kì bɛŋ gɛɛ shɛ́ŋ chuule ki ge fiɛɛ, mo mu a kimbe ki kiŋkoŋɛ kena fɛ bee le. No bɛŋ kee noo, bɛŋ mô bɛŋ yɛ̂ŋ lɛ bɛŋ le bɛŋ gwênyɛ chiaaŋ yene yi lɛme chi nfii chinɛ chuule.
2f080800a5	Gɛ njɛme nɛ nyaa nyu nchi gɛ. Mone lo ki n'yɛ̂ŋ lɛ kiŋkoŋɛ kena tɛ le kinchiɛɛŋ, mbege bɛ shɛ́ŋ yì chuule yì bamii bamu kɛme ki bo ge fiɛɛ.
2f080900c9	Bɛŋ kee wa fitele fì joŋe fì Tada wese besabɛŋ wu Jiso Kletu gɛ̀ kɛme. Mo no wu gɛ̀ bee muh wu bvukugɛ wu ja wu tu muh kifufe nje bɛŋ, wu lɛ kifufe ke gê bɛŋ tu bamii ba bvukugɛ.
2f080a0113	Yi saaka wù kune nya yinɛ, ŋgoone ki nyâ waŋ ntefɛ. Fi le chuule lɛ bɛŋ ba gɛ̀ kɛ kiluŋ ki chi fe wa le ki bɛŋ gê fiɛɛ, ya nyume gɛh ki bɛŋ gê fiɛɛ maa gɛ, bɛŋ gɛ̀ bee tɛ bamii ba gɛ̀ kɛ bo kɛme shɛ́ŋ yì chuule ki bɛŋ gê fiɛɛ.
2f080b00ce	Bɛŋ mo bɛŋ gɛ̂ɛŋ yu fwe bɛŋ mɛ̂sɛ lɛme chiyu, wu lɛ bɛŋ doo bɛŋ mɛɛse no bvuŋga bwena le, fi jîɛnyɛ kikaa kimimia bɛ shɛ́ŋ yì chuule yì bɛŋ kɛme ki bɛŋ gê fiɛɛ yu.
2f080c00a3	Bɛŋ kêe lɛ muh kɛme shɛ́ŋ ki wu nyâ, tu Nyo le wu fi nnya ye wu bii fiɛɛ fì mwɛdɛ nya le, wu ya bii gɛ nyu yi fiɛɛ fì muh baaŋ kɛme gɛ le.
