010000000a	Medhetethi
290b20005e	‘Asape giiko’ asa ubbay Yohaanisi nabe gideysa eroosona.” Hessa gisho, asaas yayidosona.
290b21008a	Hessa gisho, enti Yesuusako, “Nuuni eroko” yaagidi zaaridosona. Yesuusi, “Taanika haysa ay maatan oothiyako, hintew odike” yaagis.
290c0100d8	Yesuusi entaw leemison yaagidi odis: “Issi uray woyne tokidi, iya yuushon dirsi diris. Qassi he woyne gum7iya olla bookis. Iya naaganaw adussa shako shakis. Hessafe guye, kothe oothiya asas immidi, hara biitta bis.
290c020067	Woyne ayfiya maxiya wodey gakin, bana gakiya gishuwa ehana mela, issi ba aylliya kothe aawatako yeddis.
290c030040	Kothe aawati iya aylliya oykidi wadhidi, mela kushe yeddidosona.
290c04005c	Nam7antho hara aylle entako kiittin, enti he aylliya huuphiya qoo7idi kawushidi yeddidosona.
290c05009c	Woyne atakiltiya goday qassika hara aylle kiittis. He aylliya wodhidosona, qassi hara darota hessada oothidosona, issota issota wadhidi, harata wodhidosona.
290c0600a4	“Woyne atakiltiya godaas kiittanaw ubbaafe wursethan I daro dosiya ba na7aa xalaali attis. I, ‘Enti ta na7aa bonchona aggokona’ gidi, ba na7aa entako kiittis.
290c070076	“Shin kothe aawati banta giddon, ‘Laattanaysi haysa; yedhite iya wodhoos; iya laatay nubaa gidana!’ yaagidosona.
290c08004c	Na7aa oykidi wodhidi, iya aha woyne gadiya giddofe gaxa kessidi yeggidosona.
290c090070	“Hiza, woyne gadiya goday waatanee? Yidi he kothe aawata wodhi ongidi, woyniya kothe oothiya hara asas immana.
290c0a00cc	“‘Gimbeysati boridi ixida shuchay godaa xaphuwa minthiya, ubbaafe aadhiya shuchu gidis. Haysi Goday oothidaba; qassi nu ayfiyaska malaalsiyaba’ yaageysa Geeshsha Maxaafape nabbabibeketii?” yaagis.
290c0c00a3	Kahine halaqati, higge astamaaretinne cimati Yesuusi he leemisuwa banta bolla leemisidaysa erida gisho, iya oykanaw koydosona, shin asaas yayyidi, aggidi bidosona.
290c0d0074	Qassi iya odaape bala demmidi, iya oykana mela, Farsaawetapenne Herodiisa baggatape guutha asata iyako kiittidosona.
290c0e010a	Enti iyako yidi, “Astamaariyaw, neeni tuma odeteysanne asape ase shaakonnaysa nuuni eroos. Neeni ase dummayaka; qassi Xoossaa ogiya tumatethan tamaarsaasa. Nuuni Roome biitta Kawa Qeesares giira giireysi wogeye woga gidennee? Giira giirane agganee?” yaagidosona.
290c0f0064	Shin Yesuusi enta cubbotethaa eridi, “Tana ayis paacetii? Ane issi santime tana bessite” yaagis.
290c10007f	Enti iyaw ehidosona, “Ha misileynne sunthay oodebayee?” yaagidi enta oychis. Enti, “Roome Kawa Qeesareysa” yaagidosona.
290c110070	Yesuusi zaaridi, “Yaatiko, Qeesareba Qeesares, Xoossaba Xoossaas immite” yaagin enti iyabaa malaaletidosona.
290c120069	Hayqida asi dendenna giya Saduqaawetape issi issi asati Yesuusako yidi, haysada yaagidi, iya oychidosona.
290c1300a6	“Astamaariyaw, Musey nuus higgiya xaafishe, ‘Macho ekida asi na7a yelonna hayqiko, he hayqidaysa ishay iya machiw ekidi, ba ishaas na7a yelanaw bessees’ yaagis.
290c14004c	Beni wode laapun ishati de7eysatape bayray macho ekidi, na7a yelonna hayqis.
290c15004a	Nam7anthoy iyo ekis, ika na7a yelonna hayqis. Heedzanthoyka hessada hanis.
290c160063	Laapunatika hessatho iyo ekidi, na7a yelonna hayqidosona. Ubbaafe guye, qassi he maccasiya hayqasu.
290c170077	Yaatin, laapunati iyo ekida gisho hayqida asay hayqope dendiya gallas, iya entafe awusas macho gidanee?” yaagidosona.
290c18005a	Yesuusi zaaridi, “Hinte baletey, Geeshsha Maxaafata woyko Xoossaa wolqaa eronna gishosa!
290c190069	Hayqida asay hayqope dendiya gallas, salon de7iya kiitanchota mela gidanaape attishin, ekokona; gelekona.
290c1a00c4	Shin hayqidaysata denduwaba gidiko, Muse maxaafan xaafetida xuugetiya tushiyaba odiya bessan, Xoossay Museko, ‘Taani, Abrahaame Xoossa, Yisaaqa Xoossa, Yayqooba Xoossa’ gidaysa nabbabibeketii?
290c1b006f	Hessa gisho, I, paxa de7eyisata Xoossaafe attishin, hayqidaysata Xoosse gidenna. Hinte daro balideta” yaagis.
290c1c00a9	Higge astamaaretape issoy enti palameysa shiiqidi si7is. Qassi Yesuusi entaw loythi zaaridaysa si7idi, “Kiita ubbaafe aadhiya kiitay awusee?” yaagidi Yesuusa oychis.
290c1d007c	Yesuusi zaaridi, iya haysada yaagis: “Kiita ubbaafe aadhiya kiitaa si7ite; ‘Isra7eele asaw, Goday nu Xoossay issi Godaa.
290c1e0078	Ne Godaa ne Xoossaa ne kumetha wozanape, ne kumetha shempuwafe, ne kumetha qofaape, ne kumetha wolqaafe dosa’ yaagees.
290c1f008e	Qassi kiita ubbaafe aadhiya nam7antho kiitay haysa; ‘Ase ubbaa ne huuphiyada dosa’ yaageysa; haysatape aadhiya hara kiiti baawa” yaagis.
290c20008c	Higge astamaarey Yesuusako, “Astamaariyaw, tuma gadasa; neeni ‘Xoossay issi Xoossaa xalaala. Iyape attishin, hari baawa’ gidaysi tuma.
290c2100a9	Xoossaa kumetha wozanape, kumetha qofaapenne kumetha wolqaafe doseysinne qassi ase ubbaa ba huuphiyada doseysi, xuussa yarshofenne hara yarsho ubbaafe aadhees” yaagis.
290c2200ba	Yesuusi higge astamaariya zaaroy aadhida erancho asa zaaro gididaysa be7idi, “Neeni Xoossaa kawotethaafe haakabaaka” yaagis; hessafe guye, Yesuusa haraba oychanaw oonika minnibeenna.
290c23006f	Yesuusi xoossa keethan tamaarsishe, haysada yaagis: “Higge astamaareti Kiristoosa woygidi Dawita na7a goonna?
290c2400a3	Dawiti Geeshsha Ayyaanan kumidi, “‘Goday, ta Godaa, “Taani ne morketa ne tohoy yedhiyaso oothana gakanaw, haysan taape ushacha baggara utta” gis’ yaagis.
290c25009c	Dawiti ba huuphen Kiristoosa, ‘Godaa’ gidi xeegiko, yaatin, Kiristoosi waanidi, Dawita na7a gidi?” yaagis. Daro asay Yesuusi geysa ufaysan si7idosona.
290c26009b	Yesuusi tamaarsishe, haysada yaagis: “Higge astamaaretape naagetite; enti adussa ma7o ma7idi yuuyeysanne giyanka asay enta bonchidi sarotheysa dosoosona.
290c270072	Enti ayhude woosa keethatan daro lo77iya oydiya dosoosona; qassi asi bantana mokiya bessan boncho bessi dosoosona.
290c280071	Enti am7eta keethaa bonqidi, bantaw lo77o daananaw woosa adussosona; enti ubbaafe aadhiya pirdaa ekana” yaagis.
290c2900a4	Yesuusi xoossa keethan muxaata yeggiya saaxiniya matan uttidi, asay ba miishiya he saaxiniyan yeggeysa be7is; daro dure asay daro miishiya he saaxiniyan yeggoosona.
290c2a003c	Issi manqo am7iya yada, nam7u bakanna he saaxiniyan yeggasu.
290c2b0082	Yesuusi ba tamaareta xeegidi, “Taani hintew tuma odayis; muxaata saaxiniyan yeggida asa ubbaafe ha manqo am7iya darsada yeggasu.
290c2c0080	Ayis giiko, harati ubbay bantaw palahida miishiyape yeggidosona. Shin iya ba pacaape, baw de7iya aquwa kumethi immasu” yaagis.
290d010087	Yesuusi Xoossa Keethafe keyishin, iya tamaaretape issoy, “Astamaariyaw, ha lo77o shuchaanne ha lo77o shucha keethaa be7ay!” yaagis.
290d0200a4	Yesuusi zaaridi, “Ha gita shucha keethaa be7ay? Ha keethay shuchi shucha bolla gimbetida mela laaletonna attenna; issi shuchika attonna ubbay laaletana” yaagis.
290d030085	Yesuusi Xoossa keethafe hini baggara Shamaho zuma bolla uttidashin, Phexroosi, Yayqoobi, Yohaanisinne Indiriyasi bantarka iyako yidi,
290d04006b	“Haysi awude hananeeko nuus oda; ha ubbay poletana wodiya erisiya malaatay aybee?” yaagidi oychidosona.
290d050057	Yesuusi qassi entako haysada yaagidi odis. “Hintena oonika balethonna mela naagetite.
290d06005c	Daro asati ta sunthan, ‘Taani Kiristoosa’ yaagidi tamaarsishe yidi, daro asaa balethana.
290d07007f	Matan de7iya olaanne haahon de7iya ola wore hinte si7iya wode hirgofite. Hessa melabay hananaw bessees, shin wursethay buroona.
290d0800b8	Issi biitta asay hara biitta asaara oletana; qassi issi kawotethay hara kawotethatara oletana; biitta qaaxoy ubba bessan hanana; koshay daana, shin hessi ubbay yelo iqethas zooke mela.
290d0900ed	“Shin hinte, hinte huuphen naagetite. Ayis giiko, asi hintena oykidi, pirda keethas aathidi immana; qassi ayhude woosa keethatanka hintena lisson garaafana; deriya haareyisata sinthaninne kawota sinthan ta gisho hinte markatanaw eqana.
290d0a0047	Wursethay gakanaape sinthe wongelay koyro dere ubbaas odetanaw bessees.
290d0b00ca	Enti hintena pirda keethi ehiya wodenne aathidi immiya wode, woygidi odaneko koyro hirgofite; he saatiyan Xoossay hintew immiyaba odite. Hintenan Geeshsha Ayyaanay odeteesipe attishin, hintena gideketa.
290d0c0065	“Ishay ba ishaa, aaway ba na7aa wodhisana. Nayti bantana yelidaysata bolla dendidi, enta wodhisana.
290d0d004f	Asa ubbay hintena ta suntha gisho ixana, shin wursethi gakanaw minniday attana.
290d0e00b1	“Shin dhayo tunatethay eqanaw bessonna bessan eqidashin hinte be7ana.” (Akeekiso: Hessi woy guusseko nabbabeysi akeeko!) “Yihuda biittan he wode de7eysati deriyako baqato.
290d0f0047	Keetha huuphen de7iya urayka issiba ekanaw duge wodhidi, ba soo gelopo.
290d10002c	Gaden de7eysi ba ma7uwa ekanaw guye simmofo.
290d110048	He wode qanthatida maccasatasinne dhanthiya maccasatas daro un7a gidana.
290d120043	Shin haysi ubbay haniya wodey balgo gidonna mela, Xoossaa woossite.
290d13008a	Ayis giiko, Xoossay alamiya medhida wodiyape doomidi, ha77i gakanaw haniboonna metoynne sinthafeka hanonna metoy asa bolla he wode hanana.
290d14007f	Goday he gallasata taybuwa guuthonnaako, ase gidida oonika attenna. Shin I ba doorida asa gisho, he gallasata taybuwa guuthees.
290d150078	“He wode oonika hintena, ‘Heko, Kiristoosi haysan de7ees woyko Kiristoosi hinin de7ees’ yaagiko, hessa ammanopite.
290d160098	Wordancho Kiristoosatinne wordo nabeti dendidi bantaw danda7etiko, hari attoshin Xoossay dooridaysataka balethanaw malaatatanne malaalsiyabata bessaana.
290d170038	Shin hinte naagetite; taani hintew ubbaba kasetada odas.
290d180048	“Shin he wode he waayiyape guye, away dhumana; ageenay poo7uwa aggana.
290d190040	Xoolintoti salope kundana; qassi salon de7iya wolqatika qaaxana.
290d1a0050	He wode Asa Na7ay, gita wolqaranne bonchuwara shaara giddora yishin enti be7ana.
290d1b006f	He wode I kiitanchota sa7a oyddu bagga kiittana; sa7a gaxape salo gaxa gakanaw, Xoossay doorida asaa shiishana.
290d1c0077	“Leemisuwa balase mithafe akeekite; balasiya aaciya wodenne I haythay cil7iya wode, torchey matatidaysa hinte ereeta.
290d1d0050	Hessadaka, hinte he ubbabay haneysa be7iya wode, I matidi penge gakidaysa erite.
290d1e0055	Taani hintew tuma odayis; ha ubbabay hanana gakanaw haysan de7iya asa ubbay hayqenna.
290d1f002f	Saloynne sa7i aadhana, shin ta qaalay aadhenna.
290d20008c	“Shin he gallasaanne he saatiya Aawa xalaalape attishin, hari attoshin salon de7iya kiitanchota gidin woyko Na7aa gidin oonika erey baawa.
290d210043	He wodey awude gidaneeko, hinte eronna gisho, naagetitenne minnite.
290d2200ad	Ta yuussay, ba keetha aggidi, oge biya asa mela. Uray ba aylletas huuphen huuphen ooso immidi enta ba oosuwa bolla aawa oothis; qassi naageysi minthidi naagana mela kiittis.
290d23009f	“Hessa gisho, minnite. Ayis giiko, goday omarsi gidin woyko giddi bilahe gidin woyko kutto waaso gidin woyko wonti maathe gidin awude yaaneko, hinte ereketa.
290d240044	Hinte akeekona I yidi hinte dhiskidi de7ishin demmonna mela minnite.
290d250039	Taani hintew odeysa asa ubbaas odayis; minnite” yaagis.
290e0100b5	Paasika Ba7aale bonchiya gallasinne Uytha Ba7aale bonchiya gallasi gakanaw nam7u gallasi attis. Kahine halaqatinne higge astamaareti asi eronna Yesuusa oykidi wodhiya oge koyoosona.
290e020055	“Asay ooshshi kessonna mela Paasika bonchiya gallasan hessa oothoko” yaagidosona.
290e0300f9	Yesuusi Bitaane kataman baro hargancho gidida Simoona son gibira bolla uttidashin, issi maccasiya albasxiroosa shuchafe oosetida philqaaxe kumetha nardoose geetetiya daro al7o shitto ekada yasu. He philqaaxe menthada shittuwa Yesuusa huuphen tigasu.
290e040053	He bessan de7iya asape issoy issoy hanqetidi, “Ha shittoy mela coo iitey aybisee?
290e05009b	Ha shittuwa heedzu xeetu dinaaren bayzidi, miishiya manqotas immanaw danda7etees” yaagidi banta giddon odetidosona. Yaatidi, he maccasiw daro boridosona.
290e060058	Shin Yesuusi “Ha maccasiw aykoka goopite; iyo ayis waaysetii? Iya taw lo77oba oothasu.
290e070084	Manqoti ubba wode hintera de7oosona. Hinte koyida wode awudeka hinte enta maaddanaw danda7eeta, shin taani ubba wode hintera de7ike.
290e080052	Iya ba danda7idaysa oothasu; qassi tana moogoos giigisanaw kasetada shitto tiyasu.
290e09007c	Taani hintew tuma odayis; sa7a ubban wongela odiya bessa awunka, asay iyo akeekana mela ha iya oothidaysi odetana” yaagis.
290e0a0071	Tammanne nam7u tamaaretape issoy Asqoroota Yihuda geeteteysi Yesuusa kahine halaqatas aathidi immanaw entako bis.
290e0b007c	Enti hessa si7ida wode ufaytidi, “Nuuni new miishe immana” yaagidosona; Yihudi Yesuusa aathidi immanaw inje wode koyees.
290e0c00c6	Uytha miya gallas bonchiya koyro gallas, Paasika katha maanaw maraze shukiya wode, Yesuusa tamaareti iyako, “Paasika bonchiya gallas neeni maana katha nuuni aw bidi giigisino?” gidi oychidosona.
290e0d0096	Yesuusi ba tamaaretape nam7ata haysada yaagidi kiittis: “Katamaa biite; hinte bishin, otora haathe tookida issi uray hintera gahetana; iya kaallite.
290e0e0085	I bidi geliya keetha godaa, ‘Astamaarey neeko, “Taani ta tamaaretara Paasika maanaw imatha kifiley awunee?” yaagees’ yaagite.
290e0f0064	Goday hintena pooqiya bolla de7iya giigidi uttida dalga kifile bessaana; hessan giigisite” yaagis.
290e10006a	He nam7u tamaareti keyidi, katama bidosona; Yesuusi entaw odidaysada demmidi, Paasika kathi giigisidosona.
290e11003f	Sa7ay omarsiya wode Yesuusi tammanne nam7u tamaaretara yaa bis.
290e120080	Enti uttidi kathi mishin, Yesuusi entako, “Taani hintew tuma odayis; hintefe issoy taara meysi, tana aathidi immana” yaagis.
290e13005e	Iya tamaareti dagammidi, banta huuphen huuphen, “Tuma taneshsha?” yaagidi iya oychidosona.
290e140070	Yesuusi zaaridi, “He uray, hinte tammanne nam7atape issuwa; I taara issife tushanaw ba uytha shaaten yeddeysa.
290e150095	Asa Na7ay, Geeshsha Maxaafay hayqana gidaysada hayqana, shin Asa Na7a, aathidi immiya ura ayye! He uray yeletonna attidaako iyaw lo77oshin” yaagis.
290e160083	Enti mishin, Yesuusi uythaa ekidi, Xoossaa galatis; he uytha menthidi, ba tamaaretas immishe, “He7ite, haysi ta ashuwa” yaagis.
290e170048	Xuu7a ekidi, Xoossaa galatidi, entaw immin ubbayka he xuu7ape uyidosona.
290e180044	Yesuusi, “Haysi ooratha caaquwan daro asaa gisho gukiya ta suutha.
290e19007c	Taani hintew tuma odayis; taani Xoossaa kawotethan ooratha woyne uyana gallasi gakanaw zaarada ha woyniyape uyike” yaagis.
290e1a0034	Mazmure yexidaape guye, Shamaho zuma bolla bidosona.
290e1b0092	Yesuusi entako, “Hinte ubbay tana yeggi aggidi baqatana; Geeshsha Maxaafay, “‘Xoossay wude aawa shocana, dorsati ubbay laaletana’ yaagees.
290e1c004e	Shin taani hayqope dendidaape guye, hintefe sinthatada Galila baana” yaagis.
290e1d0058	Phexroosi zaaridi, “Enti ubbay nena yeggi aggidi baqatikoka, ta nena aggike” yaagis.
290e1e0089	Yesuusi Phexroosako, “Taani new tuma odayis; hachi qamma kuttoy nam7u toho waassanaape sinthe neeni tana heedzu toho kaddana” yaagis.
290e1f0095	Shin Phexroosi kaseysafe minthidi, “Taani hari attoshin, neera issife hayqiyakoka, nena kaddike” yaagis. Qassi harati ubbatika hessada gidoosona.
290e20008b	Geetasemaane geetetiya bessaa bidosona; Yesuusi ba tamaaretako, “Taani Xoossaa woossada simmana gakanaw hinte haysan uttishite” yaagis.
290e210054	Yesuusi Phexroosa, Yayqoobanne Yohaanisa baara ekidi bis; daro waayetisinne un7etis.
290e220058	Qassi entako, “Taani hayqana gakanaw azzanas, haysan gam7ishite; dhiskofite” yaagis.
290e230074	Guuthi sinthe shiiqidi, sa7an gufannidi, danda7etiyaba gidiko, he waayiya saatey baape aadhana mela, Xoossa woossis.
290e24008b	Qassi, “Abba, ta Aawaw, ubbabay new danda7etees, ha waaye xuu7aa taape digga. Shin ne sheney hanope attishin, ta sheney hanopo” yaagis.
290e250093	Yesuusi ba tamaaretako simmi yidi, enti dhiskidashin demmidi, Phexroosako, “Simoona, dhiskadii? Neeni issi saateka barkada naaganaw danda7abikii?
290e26007e	Paacen hinte gelonna mela barkidi naagitenne Xoossaa woossite. Hintew lo77o amoy de7ees, shin hinte daaburancho asi” yaagis.
290e270026	Qassika bidi kaseysada Xoossa woossis.
290e280081	Ba tamaaretako guye simmidi yaa wode, dhiskidashin demmis. Enta ayfiya dhiskoy goozi wothida gisho, iyako ay odetiyakoka erokona.
290e29009f	Heedzantho entako yidi, “Ha77i gakanawuka dhisketinne shempetii? Hiza, gidana; saatey gakis; be7ite! Asa Na7ay, nagarancho asaas aadhidi imetana wodey gakis.
290e2a0040	Dendidi yedhite; be7ite, tana aathidi immanaysi gakis” yaagis.
290e2b00d5	Yesuusi hessa buroo odishin, tammanne nam7u iya tamaaretape issoy, Yihudi, ellesidi gaki wodhis. Qassi kahine halaqati, higge astamaaretinne cimati kiittin, mashshanne xam7a oykida daro asay iyara issife yidosona.
290e2c0081	Yesuusa aathidi immanaysi he daro asaas, “Taani yeeriya uray iya; iya oykidi, loythi naagidi efite” yaagidi malla odi wothis.
290e2d005b	Yihudi gaki wodhida mela Yesuusako shiiqidi, “Astamaariyaw” yaagidi Yesuusa yeeri ekis.
290e2e0020	He daro asay Yesuusa oykidosona.
290e2f006b	Shin matan eqidaysatape issoy ba mashsha shoddidi kahine halaqaa aylliya shocidi, iya haytha qanxidi holis.
290e300079	Yesuusi zaaridi, he shiiqida daro asaako, “Tana panga kessidi, panga oykeysada oykanaw mashshenne xam7a oykidi yidetii?
290e310091	Taani xoossa keethan tamaarsashe, gallas gallas hintera de7iya wode tana oykibeeketa, shin Geeshsha Maxaafay gidaysi poletanaw bessees” yaagis.
290e320032	Iya tamaareti ubbay iya yeggi aggidi baqatidosona.
290e330047	Laxana xalaala ma7ida issi na7atetha uray Yesuusa kaalleysa asay oykis.
290e340035	Shin he uray laxana yeggi aggidi, xire kallo baqatis.
290e35006f	Asay Yesuusa kahine halaqaa soo efidosona. Yan kahine halaqati, cimatinne higge astamaareti shiiqidi de7oosona.
290e360063	Phexroosi kahine halaqaa zabbaa gakanaw haahon iya kaalli bidi yan naageysatara uttidi tama kayees.
290e37006b	Kahine halaqatinne shiiqida asa ubbay Yesuusa wodhanaw iya bolla marka koydosona, shin aykoka demmibookona.
290e380052	Daro asati iya bolla wordo markatidosona, shin enta markatethay issino gidibeenna.
290e3900e1	Issi issi asati dendi eqidi Yesuusa bolla, “I, ‘Taani asi keexida ha Xoossa Keetha laallada, asa kushen keexetiboonna hara Xoossa Keetha heedzu gallasa giddon keexana’ gishin nuuni si7ida” yaagidi wordo markatidosona.
290e3b0036	Gidoshin, enta markatethay hessanka issino gidibeenna.
290e3c007e	Kahine halaqay asa ubba sinthan dendi eqidi, “Haysati nena mootiya mootuwas ne zaariyabay baawee?” yaagidi Yesuusa oychis.
290e3d0083	Shin Yesuusi si77i gis; aykoka zaaribeenna. Kahine halaqay, “Anjetida Xoossaa Na7ay, Kiristoosi neneyee?” yaagidi zaari oychis.
290e3e008a	Yesuusi zaaridi, “Ee tana, hinte Asa Na7ay, wolqaama Xoossaafe ushacha baggara uttidashin qassi saluwa shaarara yishin be7ana” yaagis.
290e3f0042	Kahine halaqay ba ma7uwa peedhidi, “Nuna hara marka ay koshshii?
290e40007d	Hinte iya cashsha si7ideta; hinte qofay aybee?” yaagis. Enti ubbay, “I hayqanaw bessees” yaagidi iya bolla pirdidosona.
290e4100ac	Entafe issoti issoti iya bolla cutethi oykidosona. Iya ayfiya goozidi baqishe, “Nena dechiday oonee? Ane nuus oda!” yaagidosona. Naageysati iya eki efidi garaafidosona.
290e420064	Phexroosi kahine halaqaa zabban garsa baggara de7ishin, kahine halaqa gadhindotape issiniya ya yasu.
290e430067	Phexroosi tama kayeysa demmada, tishshi ootha xeellada, “Neka Naazirete Yesuusara de7aasa” yaagasu.
290e440085	Shin Phexroosi, “Ne geysi aybeko ta erike, taw akeeketena” yaagidi kaddis. Yaagi simmidi, zago keyiya wode iiraka kuttoy waassis.
290e450068	He gadhindiya Phexroosa be7ada, iya matan eqida asatako, “Ha urayka entara de7ees” gada zaara odasu.
290e4600a5	Shin Phexroosi qassika kaddis. Guuthu gam7ishin, matan eqida asati nam7antho Phexroosako, “Neeni Galila biitta asi gidiya gisho tuma entara de7aasa” yaagidosona.
290e470058	Shin Phexroosi, “Taani hinte giya uraa erike!” yaagidi bana baadethinne caaqo oykis.
290e4800a9	Ellesidi kuttoy nam7antho waassi aggis. Phexroosi, Yesuusi iyako, “Neeni kuttoy nam7u toho waassanaape sinthe heedzu toho tana kaddana” gidaysa akeekidi daro yeekis.
290f0100a8	Wonta guura ellesidi kahine halaqati, cimati, higge astamaaretinne Ayhude shangoti ubbay shiiqidi maqetidosona. Enti Yesuusa qachi efidi Philaxoosas aathidi immidosona.
290f020063	Philaxoosi iyako, “Neeni Ayhude kawo?” yaagidi oychis. Yesuusi zaaridi, “Ne gadasa” yaagis.
290f03002c	Kahine halaqati Yesuusa daroban mootidosona.
290f040076	Shin Philaxoosi zaaridi Yesuusako, “New zaariyabay baawee? Enti ne bolla ay mela mootuwa ehiyako be7ikii?” yaagis.
290f050039	Shin Yesuusi haraba zaaronna ixin, Philaxoosi malaaletis.
290f06005f	Philaxoosas Paasika Ba7aale bonchiya gallasan asay koya issi asi qashope billiya meezey de7ees.
290f070067	He wode issi Barbaana geetetiya uray ooshshu kessidi shempo wodhida asaara issife qasho keethan de7ees.
290f080045	Shiiqida daro asay Philaxoosi kaseysada oothana mela iya oychidosona.
290f09005d	Philaxoosi asa zaaridi, “Taani hintew Ayhudeta kawa billanaysa koyeetii?” yaagidi oychis.
290f0a0051	Hessa I giday, kahine halaqati Yesuusa qanaatidi aathidi immidaysa eriya gishosa.
290f0b0072	Shin kahine halaqati Yesuusa gisho Barbaana billanaada, he shiiqida asay Philaxoosa woossana mela asaa maqidosona.
290f0c004b	Philaxoosi zaaridi, “Yaatin, ha hinte Ayhude kawo geysa waato?” yaagis.
290f0d0049	Asay Philaxoosa bolla waassidi, “Masqale bolla iya kaqa” yaagidosona.
290f0e0082	Philaxoosi, “Ayis? I ay iitaba oothidee?” yaagis. Shin asay kaseysafe guji waassidi, “Masqale bolla iya kaqa” yaagidosona.
290f0f0088	Philaxoosi asaa ufaysanaw koyidi, Barbaana billis. Yaatidi, lisson Yesuusa garaafisidi, masqaliya bolla kaqana mela entaw aathidi immis.
290f10006f	Hessafe guye, wotaadareti Yesuusa deriya haareysa ooso keethi efidi, hara wotaadareta ubbaa issife xeegidosona.
290f110056	Qassi zo7o afila iya mayzidosona; aguntha kallacha giigisidi, iya huuphen wothidosona.
290f120053	Hessafe guye, iyako, “Ayhudeta kawaw merinaw kawota” yaagidi, iyaw ziggidosona.
290f13005b	Iya huuphiya xam7an shocidosona; qassi iya bolla cuttidosona; gulbatidi iyaw goyinnidosona.
290f14006d	Iya toochidaape guye zo7o afila iyape qaari ekidi, iya afila iya mayzidi masqale bolla iya kaqanaw efidosona.
290f150095	Enti bishe, Iskindirenne Rufoosa aawa, Simoona geetetiya Qereena biitta asi, gaxarepe katama yeysara gahetidi, Yesuusa masqaliya wolqan toossidosona.
290f160065	Yaatidi Golgota geetetiya bessaa Yesuusa efidosona. “Golgota” guussay “Huuphe guugge” guussu.
290f17005b	Sakoy si7etonna mela karbera walaketida woyne uyo gidi iyaw immidosona; shin I uyonna ixis.
290f180061	Enti masqale bolla iya kaqidosona. Oona aybi gakaneeko gidi iya afila shaakidi saama yeggidosona.
290f190038	Enti masqale bolla iya kaqiya wode wontafe heedzu saate.
290f1a0046	Enti, “Ayhude kawa” yaagidi iya mootiya xuufe xaafidi wothidosona.
290f1b006d	Yesuusara nam7u pangata issuwa iyape ushacha baggara hankuwa iyape haddirsa baggara masqale bolla kaqidosona.
290f1c0051	Geeshsha Maxaafay, “Iitabaa oothida asatara I paydetis” geetetidaysi poletis.
290f1d008c	Ogera aadhiya asay Yesuusa kadhidi, banta huuphiya qaathidi cayidosona. “Heko! Xoossa Keetha laallada heedzu gallasa giddon keexana geyso,
290f1e003f	ane masqaliya bollafe wodha; ne huuphiya ashsha” yaagidosona.
290f1f007b	Hessadaka, kahine halaqati higge asatamaaretara issife Yesuusa toochidi, “Harata ashshis, shin bana ashshanaw danda7enna;
290f2000b2	nuuni be7idi ammanana mela Kiristoosi, Isra7eele Kawoy, ane masqale bollafe ha77i wodho” yaagidosona. Qassi hari attoshin, iyara masqale bolla kaqetidaysatika iya toochidosona.
290f210042	Usupun saatepe doomidi, uddufun saate gakanaw biitta ubbay dhumis.
290f220095	Uddufun saaten Yesuusi, “Elohe, Elohe, lama sabaqtanii?” yaagidi waassis. Hessa guussay, “Ta Xoossaw, ta Xoossaw, tana ayis aggadii?” guussu.
290f230052	Hessan eqida asape issoy issoy hessa si7idi, “Heko, Eeliyaasa xeegees” yaagis.
290f2400c8	He asape issoy woxidi, isponjen caala woyne kunthis; hessa xam7a xeeran wothidi, “Naagite; Eeliyaasi masqale bollafe iya wodhisanaw yaaneko ane be7oos” yaagidi, Yesuusa doonako ushshanaw shiishis.
290f250026	Hessafe guye, Yesuusi waassis; hayqis.
290f260055	Xoossa keethan kaqetida magaraajoy qommofe duge gakanaw, nam7u keyidi daaketi wodhis.
290f270086	Masqaliyape sintha baggara yan eqida issi mato halaqay, Yesuusi waanidi hayqidaako be7ida wode, “Ha uray tuma Xoossa Na7a” yaagis.
290f280093	Hessa haahon eqidi be7iya guutha maccasati de7oosona. Enta giddon Magdela Mayraama, kaaluwa Yayqoobanne Yoosa aayiya Mayraamanne Salooma de7oosona.
290f290098	He maccasati Yesuusi Galilan de7iya wode iya kaallidaysatanne iya mokidaysata qassi Yesuusara issife Yerusalaame bida hara daro maccasati yan de7oosona.
290f2a011b	Sa7i omarsida wode, shiiqida asan bonchetida Ayhude shangotape issoy, Yoosefa geetetiya uray, Xoossa kawotethay yaanaysa naagishe de7eysi, Armaate katama asi de7eysi yis. Wontethe Sambaatas giigetiya gallas gidida gisho, Yoosefi minnidi Philaxoosako bidi, Yesuusa aha ekanaw woossis.
290f2c0075	Philaxoosi, Yesuusi hayqidaysa si7ida wode malaaletis; mato halaqa xeegidi, “I hayqidi gam7idee?” yaagidi oychis.
290f2d004d	Philaxoosi, Yesuusi hayqidaysa mato halaqaape si7idi, iya aha Yoosefas immis.
290f2e00ae	Yoosefi moogo afila shammis; Yesuusa aha masqaliyape wothidi, afilan xaaxidi, shuchafe woocetida duufon iya aha moogis. Qassi he duufuwa doonan gita shuchu gondorsidi wothis.
290f2f0054	Magdela Mayraamanne Yoosa aayiya Mayraama Yesuusa aha enti awun moogidako be7oosona.
