2800000006	ܡܬܝ
390107006e	ܚܕܘܬܐ ܓܝܪ ܤܓܝܐܬܐ ܐܝܬ ܠܢ ܘܒܘܝܐܐ ܕܒܝܕ ܚܘܒܟ ܐܬܬܢܝܚܘ ܪܚܡܐ ܕܩܕܝܫܐ
3901080068	ܡܛܠ ܗܕܐ ܦܪܗܤܝܐ ܤܓܝܐܬܐ ܐܝܬ ܠܝ ܒܡܫܝܚܐ ܕܐܦܩܘܕ ܠܟ ܐܝܠܝܢ ܕܙܕܩܢ
39010900a8	ܡܛܠ ܚܘܒܐ ܕܝܢ ܡܒܥܐ ܗܘ ܒܥܐ ܐܢܐ ܡܢܟ ܐܢܐ ܦܘܠܘܤ ܕܐܝܬܝ ܤܒܐ ܐܝܟ ܕܝܕܥ ܐܢܬ ܗܫܐ ܕܝܢ ܐܦ ܐܤܝܪܐ ܕܝܫܘܥ ܡܫܝܚܐ
39010a0052	ܘܒܥܐ ܐܢܐ ܡܢܟ ܥܠ ܒܪܝ ܐܝܢܐ ܕܝܠܕܬ ܒܐܤܘܪܝ ܐܢܤܝܡܘܤ
39010b005e	ܗܘ ܕܒܙܒܢ ܠܝܬ ܗܘܐ ܠܟ ܒܗ ܚܫܚܘ ܗܫܐ ܕܝܢ ܐܦ ܠܟ ܐܦ ܠܝ ܛܒ ܚܫܚ
39010c0052	ܘܫܕܪܬܗ ܠܟ ܐܢܬ ܕܝܢ ܐܝܟ ܕܠܝܠܕܐ ܕܝܠܝ ܗܟܢܐ ܩܒܠܝܗܝ
39010d0074	ܨܒܐ ܗܘܝܬ ܓܝܪ ܕܠܘܬܝ ܐܚܕܝܘܗܝ ܕܢܗܘܐ ܡܫܡܫ ܠܝ ܚܠܦܝܟ ܒܐܤܘܪܐ ܕܐܘܢܓܠܝܘܢ
39010e007b	ܒܠܥܕ ܡܠܟܟ ܕܝܢ ܠܐ ܨܒܝܬ ܡܕܡ ܠܡܥܒܕ ܕܠܐ ܐܝܟ ܕܒܩܛܝܪܐ ܬܗܘܐ ܛܒܬܟ ܐܠܐ ܒܨܒܝܢܟ
39010f004e	ܟܒܪ ܕܝܢ ܐܦ ܡܛܠ ܗܕܐ ܫܢܝ ܕܫܥܬܐ ܕܠܥܠܡ ܬܐܚܕܝܘܗܝ
3901100081	ܠܐ ܡܟܝܠ ܐܝܟ ܥܒܕܐ ܐܠܐ ܝܬܝܪ ܡܢ ܥܒܕܐ ܐܚܐ ܚܒܝܒܐ ܕܝܠܝ ܚܕ ܟܡܐ ܕܝܠܟ ܘܒܒܤܪ ܘܒܡܪܢ
3901110043	ܐܢ ܗܟܝܠ ܐܝܬܝܟ ܠܝ ܫܘܬܦܐ ܩܒܠܝܗܝ ܐܝܟ ܕܠܝ
3901120039	ܘܐܢ ܡܕܡ ܚܤܪܟ ܐܘ ܚܝܒ ܗܕܐ ܥܠܝ ܚܫܘܒ
3901130070	ܐܢܐ ܦܘܠܘܤ ܟܬܒܬ ܒܐܝܕܝ ܐܢܐ ܦܪܥ ܐܢܐ ܕܠܐ ܐܡܪ ܠܟ ܕܐܦ ܢܦܫܟ ܚܝܒ ܐܢܬ ܠܝ
390114004e	ܐܝܢ ܐܚܝ ܐܢܐ ܐܬܬܢܝܚ ܒܟ ܒܡܪܢ ܐܢܝܚ ܪܚܡܝ ܒܡܫܝܚܐ
390115007e	ܡܛܠ ܕܬܟܝܠ ܐܢܐ ܕܫܡܥ ܐܢܬ ܠܝ ܟܬܒܬ ܠܟ ܘܝܕܥ ܐܢܐ ܕܝܬܝܪ ܡܢ ܡܐ ܕܐܡܪ ܐܢܐ ܥܒܕ ܐܢܬ
3901160077	ܒܚܕܐ ܕܝܢ ܐܦ ܛܝܒ ܠܝ ܒܝܬ ܡܫܪܝܐ ܡܤܒܪ ܐܢܐ ܓܝܪ ܕܒܨܠܘܬܟܘܢ ܡܬܝܗܒ ܐܢܐ ܠܟܘܢ
3901170044	ܫܐܠ ܒܫܠܡܟ ܐܦܦܪܐ ܫܒܝܐ ܕܥܡܝ ܒܝܫܘܥ ܡܫܝܚܐ
3901180040	ܘܡܪܩܘܤ ܘܐܪܤܛܪܟܘܤ ܘܕܡܐ ܘܠܘܩܐ ܡܥܕܪܢܝ
3901190044	ܛܝܒܘܬܗ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܥܡ ܪܘܚܟܘܢ ܐܡܝܢ
3a0000000c	ܥܒܪ̈ܝܐ
3a0101005a	ܒܟܠ ܡܢܘܢ ܘܒܟܠ ܕܡܘܢ ܡܠܠ ܐܠܗܐ ܥܡ ܐܒܗܝܢ ܒܢܒܝܐ ܡܢ ܩܕܝܡ
3a01020074	ܘܒܗܠܝܢ ܝܘܡܬܐ ܐܚܪܝܐ ܡܠܠ ܥܡܢ ܒܒܪܗ ܕܠܗ ܤܡ ܝܪܬܐ ܕܟܠܡܕܡ ܘܒܗ ܥܒܕ ܠܥܠܡܐ
3a010300c6	ܕܗܘܝܘ ܨܡܚܐ ܕܫܘܒܚܗ ܘܨܠܡܐ ܕܐܝܬܘܬܗ ܘܐܚܝܕ ܟܠ ܒܚܝܠܐ ܕܡܠܬܗ ܘܗܘ ܒܩܢܘܡܗ ܥܒܕ ܕܘܟܝܐ ܕܚܛܗܝܢ ܘܝܬܒ ܥܠ ܝܡܝܢܐ ܕܪܒܘܬܐ ܒܡܪܘܡܐ
3a0104005f	ܘܗܢܐ ܟܠܗ ܝܪܒ ܡܢ ܡܠܐܟܐ ܐܝܟ ܡܐ ܕܡܝܬܪ ܫܡܐ ܕܝܪܬ ܡܢ ܕܝܠܗܘܢ
3a010500b0	ܠܐܝܢܐ ܓܝܪ ܡܢ ܡܠܐܟܐ ܡܡܬܘܡ ܐܡܪ ܐܠܗܐ ܕܒܪܝ ܐܢܬ ܐܢܐ ܝܘܡܢܐ ܝܠܕܬܟ ܘܬܘܒ ܕܐܢܐ ܐܗܘܐ ܠܗ ܠܐܒܐ ܘܗܘ ܢܗܘܐ ܠܝ ܠܒܪܐ
3a01060071	ܬܘܒ ܕܝܢ ܐܡܬܝ ܕܡܥܠ ܒܘܟܪܐ ܠܥܠܡܐ ܐܡܪ ܕܠܗ ܢܤܓܕܘܢ ܟܠܗܘܢ ܡܠܐܟܐ ܕܐܠܗܐ
3a01070068	ܥܠ ܡܠܐܟܐ ܕܝܢ ܗܟܢܐ ܐܡܪ ܕܥܒܕ ܡܠܐܟܘܗܝ ܪܘܚ ܘܡܫܡܫܢܘܗܝ ܢܘܪ ܝܩܕܐ
3a0108007a	ܥܠ ܒܪܐ ܕܝܢ ܐܡܪ ܕܟܘܪܤܝܟ ܕܝܠܟ ܐܠܗܐ ܠܥܠܡ ܥܠܡܝܢ ܫܒܛܐ ܦܫܝܛܐ ܫܒܛܐ ܕܡܠܟܘܬܟ
3a01090081	ܪܚܡܬ ܟܐܢܘܬܐ ܘܤܢܝܬ ܥܘܠܐ ܡܛܠ ܗܢܐ ܡܫܚܟ ܐܠܗܐ ܐܠܗܟ ܡܫܚܐ ܕܚܕܘܬܐ ܝܬܝܪ ܡܢ ܚܒܪܝܟ
3a010a0066	ܘܬܘܒ ܐܢܬ ܡܢ ܒܪܝܫܝܬ ܤܡܬ ܫܬܐܤܝܗ ܕܐܪܥܐ ܘܫܡܝܐ ܥܒܕ ܐܝܕܝܟ ܐܢܘܢ
3a010b0054	ܗܢܘܢ ܢܥܒܪܘܢ ܘܐܢܬ ܩܝܡ ܐܢܬ ܘܟܠܗܘܢ ܐܝܟ ܢܚܬܐ ܢܒܠܘܢ
3a010c007e	ܘܐܝܟ ܬܟܤܝܬܐ ܬܥܘܦ ܐܢܘܢ ܗܢܘܢ ܢܬܚܠܦܘܢ ܘܐܢܬ ܐܝܟ ܕܐܝܬܝܟ ܐܢܬ ܘܫܢܝܟ ܠܐ ܢܓܡܪܢ
3a010d008a	ܠܡܢ ܕܝܢ ܡܢ ܡܠܐܟܐ ܡܡܬܘܡ ܐܡܪ ܕܬܒ ܡܢ ܝܡܝܢܝ ܥܕܡܐ ܕܐܤܝܡ ܒܥܠܕܒܒܝܟ ܟܘܒܫܐ ܬܚܝܬ ܪܓܠܝܟ
3a010e008e	ܠܐ ܗܐ ܟܠܗܘܢ ܐܝܬܝܗܘܢ ܪܘܚܐ ܕܬܫܡܫܬܐ ܕܡܫܬܕܪܝܢ ܒܬܫܡܫܬܐ ܡܛܠ ܐܝܠܝܢ ܕܥܬܝܕܝܢ ܠܡܐܪܬ ܚܝܐ
3a02010063	ܡܛܠ ܗܢܐ ܚܝܒܝܢܢ ܕܝܬܝܪܐܝܬ ܢܗܘܐ ܙܗܝܪܝܢ ܒܡܕܡ ܕܫܡܥܢ ܕܠܐ ܢܦܠ
3a02020089	ܐܢ ܓܝܪ ܡܠܬܐ ܕܐܬܡܠܠܬ ܒܝܕ ܡܠܐܟܐ ܐܫܬܪܪܬ ܘܟܠ ܕܫܡܥܗ ܘܥܒܪ ܥܠܝܗ ܩܒܠ ܦܘܪܥܢܐ ܒܟܐܢܘܬܐ
3a020300bc	ܐܝܟܢܐ ܚܢܢ ܢܥܪܘܩ ܐܢ ܢܒܤܐ ܥܠ ܐܝܠܝܢ ܕܗܢܘܢ ܐܢܘܢ ܚܝܝܢ ܗܢܘܢ ܕܫܪܝܘ ܡܢ ܡܪܢ ܠܡܬܡܠܠܘ ܘܡܢ ܐܝܠܝܢ ܕܡܢܗ ܫܡܥܘ ܒܢ ܐܫܬܪܪܘ
3a020400a1	ܟܕ ܤܗܕ ܥܠܝܗܘܢ ܐܠܗܐ ܒܐܬܘܬܐ ܘܒܬܕܡܪܬܐ ܘܒܚܝܠܐ ܡܫܚܠܦܐ ܘܒܦܘܠܓܐ ܕܪܘܚܐ ܕܩܘܕܫܐ ܕܐܬܝܗܒܘ ܐܝܟ ܨܒܝܢܗ
3a02050058	ܠܐ ܗܘܐ ܓܝܪ ܠܡܠܐܟܐ ܫܥܒܕ ܥܠܡܐ ܕܥܬܝܕ ܕܥܠܘܗܝ ܡܡܠܠܝܢܢ
3a02060070	ܐܠܐ ܐܝܟ ܕܡܤܗܕ ܟܬܒܐ ܘܐܡܪ ܡܢܘ ܓܒܪܐ ܕܥܗܕܬܝܗܝ ܘܒܪܗ ܕܐܢܫܐ ܕܤܥܪܬܝܗܝ
3a02070080	ܐܡܟܬܝܗܝ ܩܠܝܠ ܡܢ ܡܠܐܟܐ ܬܫܒܘܚܬܐ ܘܐܝܩܪܐ ܤܡܬ ܒܪܝܫܗ ܘܐܫܠܛܬܝܗܝ ܒܥܒܕܐ ܕܐܝܕܝܟ
3a020800c4	ܘܟܠ ܡܕܡ ܫܥܒܕܬ ܬܚܝܬ ܪܓܠܘܗܝ ܒܗܝ ܕܝܢ ܕܟܠ ܡܕܡ ܫܥܒܕ ܠܗ ܠܐ ܫܒܩ ܡܕܡ ܕܠܐ ܡܫܥܒܕ ܗܫܐ ܕܝܢ ܠܐ ܥܕܟܝܠ ܚܙܝܢܢ ܕܟܠ ܡܕܡ ܡܫܥܒܕ ܠܗ
3a020900d7	ܗܘ ܕܝܢ ܕܡܟ ܩܠܝܠ ܡܢ ܡܠܐܟܐ ܚܙܝܢܢ ܕܗܘܝܘ ܝܫܘܥ ܡܛܠ ܚܫܐ ܕܡܘܬܗ ܘܬܫܒܘܚܬܐ ܘܐܝܩܪܐ ܤܝܡ ܒܪܝܫܗ ܗܘ ܓܝܪ ܒܛܝܒܘܬܗ ܐܠܗܐ ܚܠܦ ܟܠܢܫ ܛܥܡ ܡܘܬܐ
3a020a00a3	ܝܐܐ ܗܘܐ ܓܝܪ ܠܗܘ ܕܟܠ ܒܐܝܕܗ ܘܟܠ ܡܛܠܬܗ ܘܒܢܝܐ ܤܓܝܐܐ ܐܥܠ ܠܬܫܒܘܚܬܐ ܕܠܪܝܫܐ ܕܚܝܝܗܘܢ ܒܚܫܗ ܢܓܡܪܝܘܗܝ
3a020b0085	ܗܘ ܓܝܪ ܕܩܕܫ ܘܗܢܘܢ ܕܐܬܩܕܫܘ ܡܢ ܚܕ ܐܢܘܢ ܟܠܗܘܢ ܡܛܠ ܗܢܐ ܠܐ ܒܗܬ ܕܢܩܪܐ ܐܢܘܢ ܐܚܘܗܝ
3a020c0045	ܟܕ ܐܡܪ ܐܤܒܪ ܫܡܟ ܠܐܚܝ ܘܒܓܘܗ ܕܥܕܬܐ ܐܫܒܚܟ
3a020d0065	ܘܬܘܒ ܕܐܢܐ ܐܗܘܐ ܬܟܝܠ ܥܠܘܗܝ ܘܬܘܒ ܗܐ ܐܢܐ ܘܒܢܝܐ ܕܝܗܒ ܠܝ ܐܠܗܐ
3a020e00d0	ܡܛܠ ܓܝܪ ܕܒܢܝܐ ܐܫܬܘܬܦܘ ܒܒܤܪܐ ܘܕܡܐ ܐܦ ܗܘ ܒܗ ܒܕܡܘܬܐ ܐܫܬܘܬܦ ܒܗܝܢ ܒܗܠܝܢ ܕܒܡܘܬܗ ܢܒܛܠ ܠܡܢ ܕܐܚܝܕ ܫܘܠܛܢܐ ܕܡܘܬܐ ܕܐܝܬܘܗܝ ܤܛܢܐ
3a020f0079	ܘܢܫܪܐ ܠܗܢܘܢ ܐܝܠܝܢ ܕܒܕܚܠܬܐ ܕܡܘܬܐ ܒܟܠܗܘܢ ܚܝܝܗܘܢ ܡܫܥܒܕܝܢ ܗܘܘ ܠܥܒܕܘܬܐ
3a0210006d	ܠܐ ܗܘܐ ܓܝܪ ܥܠ ܡܠܐܟܐ ܡܫܠܛ ܗܘܐ ܡܘܬܐ ܐܠܐ ܥܠ ܙܪܥܗ ܕܐܒܪܗܡ ܡܫܠܛ ܗܘܐ
3a021100b6	ܡܛܠ ܗܢܐ ܙܕܩ ܗܘܐ ܕܒܟܠ ܡܕܡ ܢܬܕܡܐ ܠܐܚܘܗܝ ܕܢܗܘܐ ܡܪܚܡܢܐ ܘܪܒ ܟܘܡܪܐ ܡܗܝܡܢܐ ܒܕܐܠܗܐ ܘܢܗܘܐ ܡܚܤܐ ܥܠ ܚܛܗܘܗܝ ܕܥܡܐ
3a02120056	ܒܗܝ ܓܝܪ ܕܗܘ ܚܫ ܘܐܬܢܤܝ ܡܫܟܚ ܕܢܥܕܪ ܠܐܝܠܝܢ ܕܡܬܢܤܝܢ
3a030100a0	ܡܟܝܠ ܐܚܝ ܩܕܝܫܐ ܕܐܬܩܪܝܬܘܢ ܒܩܪܝܢܐ ܕܡܢ ܫܡܝܐ ܚܙܐܘܗܝ ܠܗܢܐ ܫܠܝܚܐ ܘܪܒ ܟܘܡܪܐ ܕܬܘܕܝܬܢ ܝܫܘܥ ܡܫܝܚܐ
3a03020040	ܕܡܗܝܡܢ ܠܡܢ ܕܥܒܕܗ ܐܝܟ ܡܘܫܐ ܒܟܠܗ ܒܝܬܗ
3a0303008d	ܤܓܝܐܐ ܗܝ ܓܝܪ ܬܫܒܘܚܬܗ ܕܗܢܐ ܛܒ ܡܢ ܕܡܘܫܐ ܐܝܟܢܐ ܕܤܓܝ ܐܝܩܪܐ ܕܒܢܝܗ ܕܒܝܬܐ ܛܒ ܡܢ ܒܢܝܢܗ
3a03040058	ܟܠ ܒܝܬܐ ܓܝܪ ܡܢ ܐܢܫ ܗܘ ܡܬܒܢܐ ܗܘ ܕܝܢ ܕܒܢܐ ܟܠ ܐܠܗܐ ܗܘ
3a03050083	ܘܡܘܫܐ ܐܝܟ ܥܒܕܐ ܐܬܗܝܡܢ ܒܒܝܬܐ ܟܠܗ ܠܤܗܕܘܬܐ ܕܐܝܠܝܢ ܕܥܬܝܕܢ ܗܘܝ ܠܡܬܡܠܠܘ ܒܐܝܕܗ
3a0306009c	ܡܫܝܚܐ ܕܝܢ ܐܝܟ ܒܪܐ ܥܠ ܒܝܬܗ ܘܐܝܬܘܗܝ ܒܝܬܗ ܚܢܢ ܐܢ ܥܕܡܐ ܠܚܪܬܐ ܢܐܚܘܕ ܓܠܝܘܬ ܐܦܐ ܘܫܘܒܗܪܐ ܕܤܒܪܗ
3a0307004f	ܡܛܠ ܕܐܡܪܬ ܪܘܚܐ ܕܩܘܕܫܐ ܕܝܘܡܢܐ ܐܢ ܒܩܠܗ ܬܫܡܥܘܢ
3a03080075	ܠܐ ܬܩܫܘܢ ܠܒܘܬܟܘܢ ܠܡܪܓܙܘܬܗ ܐܝܟ ܡܡܪܡܪܢܐ ܘܐܝܟ ܝܘܡܐ ܕܢܤܝܘܢܐ ܕܒܡܕܒܪܐ
3a0309004c	ܕܢܤܝܘܢܝ ܐܒܗܝܟܘܢ ܘܒܩܘ ܚܙܘ ܥܒܕܝ ܐܪܒܥܝܢ ܫܢܝܢ
3a030a007c	ܡܛܠ ܗܢܐ ܡܐܢܬ ܠܝ ܒܕܪܐ ܗܘ ܘܐܡܪܬ ܕܥܡܐ ܗܘ ܕܛܥܐ ܠܒܗܘܢ ܘܗܢܘܢ ܠܐ ܝܕܥܘ ܐܘܪܚܬܝ
3a030b003f	ܘܐܝܟ ܕܝܡܝܬ ܒܪܘܓܙܝ ܕܠܐ ܢܥܠܘܢ ܠܢܝܚܬܝ
3a030c0088	ܐܙܕܗܪܘ ܗܟܝܠ ܐܚܝ ܕܠܡܐ ܢܗܘܐ ܒܐܢܫ ܡܢܟܘܢ ܠܒܐ ܒܝܫܐ ܕܠܐ ܡܗܝܡܢ ܘܬܦܪܩܘܢ ܡܢ ܐܠܗܐ ܚܝܐ
3a030d00a1	ܐܠܐ ܒܥܘ ܡܢ ܢܦܫܟܘܢ ܟܠܗܘܢ ܝܘܡܬܐ ܥܕܡܐ ܠܝܘܡܐ ܕܡܬܩܪܐ ܝܘܡܢܐ ܕܠܐ ܢܬܩܫܐ ܐܢܫ ܡܢܟܘܢ ܒܛܥܝܘܬܐ ܕܚܛܝܬܐ
3a030e0081	ܐܬܚܠܛܢ ܓܝܪ ܥܡ ܡܫܝܚܐ ܐܢ ܡܢ ܪܝܫܝܬܐ ܘܥܕܡܐ ܠܐܚܪܝܬܐ ܒܗ ܒܩܝܡܐ ܗܢܐ ܫܪܝܪܐ ܢܚܡܤܢ
3a030f0072	ܐܝܟܢܐ ܕܐܡܝܪ ܕܝܘܡܢܐ ܐܢ ܒܪܬ ܩܠܗ ܬܫܡܥܘܢ ܠܐ ܬܩܫܘܢ ܠܒܘܬܟܘܢ ܠܡܪܓܙܘܬܗ
3a0310007d	ܡܢ ܐܢܘܢ ܓܝܪ ܗܢܘܢ ܕܫܡܥܘ ܘܐܪܓܙܘܗܝ ܠܐ ܟܠܗܘܢ ܗܠܝܢ ܕܢܦܩܘ ܡܢ ܡܨܪܝܢ ܒܝܕ ܡܘܫܐ
3a03110074	ܘܒܐܝܠܝܢ ܡܐܢܬ ܠܗ ܐܪܒܥܝܢ ܫܢܝܢ ܐܠܐ ܒܗܢܘܢ ܕܚܛܘ ܘܓܪܡܝܗܘܢ ܢܦܠܘ ܒܡܕܒܪܐ
3a03120062	ܘܥܠ ܐܝܠܝܢ ܝܡܐ ܕܠܐ ܢܥܠܘܢ ܠܢܝܚܬܗ ܐܠܐ ܥܠ ܗܢܘܢ ܕܠܐ ܐܬܛܦܝܤܘ
3a03130040	ܘܚܙܝܢܢ ܕܠܐ ܐܫܟܚܘ ܠܡܥܠ ܡܛܠ ܕܠܐ ܗܝܡܢܘ
3a04010085	ܢܕܚܠ ܗܟܝܠ ܕܠܡܐ ܟܕ ܩܝܡ ܡܘܠܟܢܐ ܕܡܥܠܬܐ ܕܠܢܝܚܬܗ ܢܫܬܟܚ ܐܢܫ ܡܢܟܘܢ ܕܦܐܫ ܡܢ ܕܠܡܥܠ
3a040200be	ܐܦ ܚܢܢ ܓܝܪ ܐܤܬܒܪܢ ܐܝܟ ܕܐܦ ܗܢܘܢ ܐܠܐ ܠܐ ܐܘܬܪܬ ܐܢܘܢ ܠܗܢܘܢ ܡܠܬܐ ܕܫܡܥܘ ܡܛܠ ܕܠܐ ܡܡܙܓܐ ܗܘܬ ܒܗܝܡܢܘܬܐ ܠܗܢܘܢ ܕܫܡܥܘܗ
3a040300d7	ܥܐܠܝܢܢ ܕܝܢ ܠܢܝܚܬܐ ܚܢܢ ܐܝܠܝܢ ܕܗܝܡܢܢ ܐܝܟܢܐ ܕܝܢ ܐܡܪ ܐܝܟ ܕܝܡܝܬ ܒܪܘܓܙܝ ܕܠܐ ܢܥܠܘܢ ܠܢܝܚܬܝ ܕܗܐ ܥܒܕܘܗܝ ܕܐܠܗܐ ܡܢ ܫܘܪܝܗ ܕܥܠܡܐ ܗܘܘ
3a04040068	ܐܝܟ ܕܐܡܪ ܥܠ ܫܒܬܐ ܕܐܬܢܝܚ ܐܠܗܐ ܒܝܘܡܐ ܫܒܝܥܝܐ ܡܢ ܥܒܕܘܗܝ ܟܠܗܘܢ
3a04050037	ܘܗܪܟܐ ܬܘܒ ܐܡܪ ܕܠܐ ܢܥܠܘܢ ܠܢܝܚܬܝ
3a0406008f	ܡܛܠ ܗܟܝܠ ܕܐܝܬ ܗܘܐ ܐܬܪܐ ܕܐܢܫ ܐܢܫ ܢܥܘܠ ܠܗ ܘܗܢܘܢ ܕܐܤܬܒܪܘ ܩܕܡܝܐ ܠܐ ܥܠܘ ܒܕܠܐ ܐܬܛܦܝܤܘ
3a040700bc	ܬܘܒ ܝܘܡܐ ܐܚܪܢܐ ܤܐܡ ܡܢ ܒܬܪ ܙܒܢܐ ܤܓܝܐܐ ܐܝܟܢܐ ܕܡܢ ܠܥܠ ܟܬܝܒ ܕܐܡܪ ܕܘܝܕ ܕܝܘܡܢܐ ܐܢ ܒܩܠܗ ܬܫܡܥܘܢ ܠܐ ܬܩܫܘܢ ܠܒܘܬܟܘܢ
3a04080077	ܐܠܘ ܓܝܪ ܝܫܘܥ ܒܪ ܢܘܢ ܐܢܝܚ ܗܘܐ ܐܢܘܢ ܠܐ ܐܡܪ ܗܘܐ ܡܢ ܒܬܪܟܢ ܥܠ ܝܘܡܐ ܐܚܪܢܐ
3a04090035	ܡܕܝܢ ܩܝܡ ܗܘ ܠܡܫܒܬܘ ܠܥܡܗ ܕܐܠܗܐ
3a040a006c	ܐܝܢܐ ܓܝܪ ܕܥܠ ܠܢܝܚܬܗ ܐܬܬܢܝܚ ܐܦ ܗܘ ܡܢ ܥܒܕܘܗܝ ܐܝܟ ܕܐܠܗܐ ܡܢ ܕܝܠܗ
3a040b006c	ܢܬܚܦܛ ܗܟܝܠ ܕܢܥܘܠ ܠܗܝ ܢܝܚܬܐ ܕܠܐ ܢܦܠ ܒܕܡܘܬܐ ܕܗܢܘܢ ܕܠܐ ܐܬܛܦܝܤܘ
3a040c0102	ܚܝܐ ܗܝ ܓܝܪ ܡܠܬܗ ܕܐܠܗܐ ܘܟܠ ܤܥܪܐ ܘܚܪܝܦܐ ܛܒ ܡܢ ܤܦܤܪܐ ܕܬܪܝܢ ܦܘܡܝܗ ܘܥܐܠܐ ܥܕܡܐ ܠܦܘܪܫܢܐ ܕܢܦܫܐ ܘܕܪܘܚܐ ܘܕܫܪܝܬܐ ܘܕܡܘܚܐ ܘܕܓܪܡܐ ܘܕܝܢܐ ܡܚܫܒܬܐ ܘܬܪܥܝܬܐ ܕܠܒܐ
3a040d0086	ܘܠܝܬ ܒܪܝܬܐ ܕܛܫܝܐ ܡܢ ܩܕܡܝܗ ܐܠܐ ܟܠ ܡܕܡ ܥܪܛܠ ܘܓܠܐ ܩܕܡ ܥܝܢܘܗܝ ܕܠܗ ܝܗܒܝܢܢ ܦܬܓܡܐ
3a040e0088	ܡܛܠ ܕܐܝܬ ܠܢ ܗܟܝܠ ܪܒ ܟܘܡܪܐ ܪܒܐ ܝܫܘܥ ܡܫܝܚܐ ܒܪܗ ܕܐܠܗܐ ܕܤܠܩ ܠܫܡܝܐ ܢܚܡܤܢ ܒܬܘܕܝܬܗ
3a040f0092	ܠܐ ܓܝܪ ܐܝܬ ܠܢ ܪܒܟܘܡܪܐ ܕܠܐ ܡܨܐ ܕܢܚܫ ܥܡ ܟܪܝܗܘܬܢ ܐܠܐ ܕܡܢܤܝ ܒܟܠܡܕܡ ܐܟܘܬܢ ܤܛܪ ܡܢ ܚܛܝܬܐ
3a04100094	ܢܬܩܪܒ ܗܟܝܠ ܒܓܠܐ ܥܝܢ ܠܟܘܪܤܝܐ ܕܛܝܒܘܬܗ ܕܢܤܒ ܪܚܡܐ ܘܢܫܟܚ ܛܝܒܘܬܐ ܠܥܘܕܪܢܐ ܒܙܒܢܐ ܕܐܘܠܨܢܐ
3a050100aa	ܟܠ ܪܒ ܟܘܡܪܐ ܓܝܪ ܕܡܢ ܒܢܝܢܫܐ ܗܘܐ ܚܠܦ ܒܢܝܢܫܐ ܩܐܡ ܥܠ ܐܝܠܝܢ ܕܕܐܠܗܐ ܐܢܝܢ ܕܢܩܪܒ ܩܘܪܒܢܐ ܘܕܒܚܐ ܚܠܦ ܚܛܗܐ
3a05020086	ܐܝܢܐ ܕܡܫܟܚ ܕܢܡܟ ܢܦܫܗ ܘܢܚܫ ܥܡ ܐܝܠܝܢ ܕܠܐ ܝܕܥܝܢ ܘܛܥܝܢ ܡܛܠ ܕܐܦ ܗܘ ܟܪܝܗܘܬܐ ܠܒܝܫ
3a0503006e	ܘܡܛܠܬܗ ܚܝܒ ܗܘ ܕܐܝܟܢܐ ܕܚܠܦ ܥܡܐ ܗܟܢܐ ܐܦ ܚܠܦ ܢܦܫܗ ܢܩܪܒ ܥܠ ܚܛܗܘܗܝ
3a05040074	ܘܠܐ ܗܘܐ ܠܢܦܫܗ ܐܢܫ ܢܤܒ ܐܝܩܪܐ ܐܠܐ ܐܝܢܐ ܕܡܬܩܪܐ ܡܢ ܐܠܗܐ ܐܝܟܢܐ ܕܐܗܪܘܢ
3a05050096	ܗܟܢܐ ܐܦ ܡܫܝܚܐ ܠܐ ܗܘܐ ܢܦܫܗ ܫܒܚ ܕܢܗܘܐ ܪܒ ܟܘܡܪܐ ܐܠܐ ܗܘ ܕܐܡܪ ܠܗ ܕܒܪܝ ܐܢܬ ܐܢܐ ܝܘܡܢܐ ܝܠܕܬܟ
3a0506006c	ܐܝܟ ܕܐܦ ܒܕܘܟܬܐ ܐܚܪܬܐ ܐܡܪ ܕܐܢܬ ܗܘ ܟܘܡܪܐ ܠܥܠܡ ܒܕܡܘܬܗ ܕܡܠܟܝܙܕܩ
3a050700b6	ܐܦ ܟܕ ܒܤܪܐ ܠܒܝܫ ܗܘܐ ܒܥܘܬܐ ܘܬܟܫܦܬܐ ܒܓܥܬܐ ܚܝܠܬܢܝܬܐ ܘܒܕܡܥܐ ܩܪܒ ܗܘܐ ܠܡܢ ܕܡܫܟܚ ܗܘܐ ܡܢ ܡܘܬܐ ܕܢܚܝܘܗܝ ܘܐܫܬܡܥ
3a0508005f	ܘܟܕ ܛܒ ܒܪܐ ܐܝܬܘܗܝ ܡܢ ܕܚܠܬܐ ܘܚܫܐ ܕܤܒܠ ܝܠܦܗ ܠܡܫܬܡܥܢܘܬܐ
3a05090069	ܘܗܟܢܐ ܐܬܓܡܪ ܘܗܘܐ ܠܟܠܗܘܢ ܐܝܠܝܢ ܕܡܫܬܡܥܝܢ ܠܗ ܥܠܬܐ ܕܚܝܐ ܕܠܥܠܡ
3a050a0048	ܘܐܫܬܡܗ ܡܢ ܐܠܗܐ ܪܒ ܟܘܡܪܐ ܒܕܡܘܬܗ ܕܡܠܟܝܙܕܩ
