280000000c	ማትዎስ
2f07090139	ስኑንታኖ ሀሽ ግሬጝዋ፤ ኤስ ግሬናስ ንቶ ሱሞትክ ዛግና ቦርአ ስኖይናማቶ ሱሜቲ ሱሞሲክ ሀርሚት ቦርአዋ፤ ኤሴ ሱሞንትስ ሀኦሲ ፍቃድኒማቶ ስንና ቦርአ እንኖ እሳንነ ኣነ ንቶትን ሚርኦዌንዋ ኡዋ።
2f070a00f8	ሀኦሲ ፍቃድንማቶ ስና ሱሞስ ፋሩኒ ኡግናሲክ ዞንስፋ ሀርሙክ ቤስቴፋ ሶልቶሶን ቴሸፋና ቦርአ ኣነ ጋቢስፋዋ። ስኑንታኖ ሀን ዳስታኪ ሱሞስ ክቱቱ ኤጳ ያፋ።
2f070b01b0	ሀን ሱሞንትስ ሀኦሲ ፍቃድክ ስንባሲክ ኣካነ ፋ ማምሱኒ ዎልጉሶን፥ ኣካነ ፋ ችማሶን፥ ኣካነ ፋ ታእኒን ግቶሶን፥ ኣካነ ፋ ድጋሶን፥ ኣካነ ፋ ካልታናሶን፥ ኣካነ ፋ ኮናሶን፥ ኣካነ ፋ ኬኦ ንቶስታ ኤጳ ያናማቶ ጋሳሲራ ቢትዋ። ንቶ ደይ ዙታምባሴ አሲክ ኤስ ቾዋሲ ኣፍሴትዋ።
2f070c010a	ኤስ ባሪ ቦርኣ አዉነ ፋሮንኑ ንቶክ ትችፋናክ ታ ንቶክ ትችናስ እንኖ ቾዋሲክ ፋ ችማስ ሀኦሲ ስና አምማ ስናናክዋ እያታኖ ሚርኤ አሱሲክናዋ ሚርአሜ አሱሲክና እያታዋ።
2f070d00fa	ችማ ዳኒስታን ደናሎ ቲቶ ዳንና ግራሲክ ዳይስራ ግሬኒዋ፤ ኤስ ግሬኒስ ደይ ዙታምኒትሴ ቲቶኒን ችኒሴት ቦርአናዋ አያናባስ ቤይሳ ዳናናክ ዛግሴት ቦርአናዋ።
2f070e0133	ንቶስታ ፋ ቴቶናሶን ትቶኒክ ማኬራ ፋናር። ንቶ ደይ ታ ኢቾናክ ኣነ ዛጉዌት። እንኖ ዎንና ዎንና ንቶክ ፉቶሶን ማኬት ፋኒር። ኤሲስ ደይ ንቶ ቾዋሶን ቲቶኒክ ማኬኒ ቴቶኒስ ፉቶ ስንባስ አርቴዋ።
2f070f00d5	ዙታምኒትሴ አጃጃሜትር ስንትማቶናዋ፤ ድጋክ፥ ኮርኩክና ደይ ኤጳ ታትማቶና ቲቶ ያዳቴፌና ካባሲክ ንቶክ ፋ ኬሽታምባስ አካማ ስንዋ።
2f0710006e	ታ ደይ ዙታምባሴ አሲክ ንቶትን አማንቶክ ችምናሲክ ዳይስራ ግሬጝዋ።
2f0801009e	አይኒ ሜያነ! ሜቀዶንያክ ፋሴ ቤቴክርስታኒሲክቶክ ሀኦስ እምና ባሪ ኦትማሶን አሩሶትክ ሾሌፌኒዋ።
2f080200b1	ባሶ ሾዎ ሻናክ ፋታንቴሴቴዋ። ስኑንታኖ ግራቤሲስ አካማዋ፤ አካማኖን ቱካም ስንነፌክኑ አካማ እማቱ እሜቴዋ።
2f08030084	ችሜቴስነ ፋሮንናዋ ባሶ ችማስታን ደናሎ ፍቃድቤሲሲክ እሜቴማቶ ታ ዛል ስንናናዋ።
2f08040080	ዩዳክ ፌሴ ክርስታናኒ ሜያኖን አሪጋሱኒ ሁግና ካልኖይኒማቶ ማእስሬቱ ሺጵስቴ።
2f080500d3	ባሶ ዛግሴቴስ እንኖ ኦድኒ ባርስታን ደናሎዋ። ዜምሜ ቴትቤሲሶን ዳሚሲክ እሜቴ፤ ቱስሬ ደይ ሀኦሲ ፍቃድክ ቴትቤሲሶን እኖክ እሜቴ።
2f080600b7	ሀን ዎስቶሶን ዜምሜ ዎስቴስ ቲቶ ስንና ቦርአ ሀሽኑ ኤስ እምኒ ዎስቶኒትሶን ታሜ ኮእባስታ ካቱናክ ባሪን ሺጴኒዋ።
2f080700e5	ንቶ አማንቶክ፥ ዎላክ፥ አሩክ፥ ችሜ ዎስቶክ፥ እኖክ ደይ ቤስሴት ኬሽታና ዙታምባሴ አሲ ደናሎ ስንት፤ ሀን እምኒ ዎስቶሲክ ደይ ደናሎ ስንትዋ።
2f08080105	ኤሴ ሀን ባሮን ማኬፋናስ ንቶትን አጃጆናክታዋ። ስኑንታኖ ኦምኒ ሜያ እሜፌ እማሴዋ ንቶ እሜፌት እማሴ አሲን ሆስራ ንቶ ኬሽታናስ ፉቶ ስንባሶን አሩናክዋ እያትዋ።
2f080900f9	ንቶ ዳምኒ የሱስ ክርስቶስኒ ኦትማሶን አሪሴትርዋ። ባር አዉነ ፋሮን ኦቱም ስኒፌናክ ባሳ ቱካም ስንናሲክ ንቶ ኦቱም ስናትክ ባር ንቶክ እያትዋ ቱካም ስኒ።
2f080a00dd	ኤስ ቾዋሲክ ንቶክ ማአር ስንና ታክ ቤስቴ ኪቶ ንቶክ እምፋዉጝዋ። ኣታ ዎጋሲክ እማ ኮእባ ስኖይናሮን ኤስ ባሮን ዜምሜ ዛጉክ ሾሌስ ንቶዋ።
2f080b00d2	ኤስ ባሪ ቦርኣ አሱኒክ እማክ ሾሌት ሳፋራኒትስ ዎስቶታ ፌሻ ኮእባስታ ካርአናክ ንቶ ችምትስነ ፋሮን ኤስ ሳፋሬት ባሮን ሀሽ ዛጉት።
2f080c00ed	አሱኒክ እማናክ ማአ ፍቃድባ ፋፋናነ ኤስ አሱሳ እማ ኦድቴራ ታስቴር ስናናስ ባሳ ሁግናስንነ ፋሮን እማናነታኖ ባርኪ ፎንቶሶን እምፌና ካባሲክታዋ።
2f080d00ab	ኤስ ባሮ ይፋናስ ንቶ ዙታምንትሴ እሳ ኪጤ ስናትክታኖ ንቶ እማክ ራካቴፌኒ ኦም ሜያ ቤይሳ ዳኖቶዋ እያታዋ።
2f080e00f7	ንቶ ራካቴፌት ካባሲክ ባሶ ኦትማስ ንቶ ራክኮሲክ አሪጋሱናክ ሀሽ ንቶ ኦትማስ ባሶ ራክኮሶን አሪጋሱኒር ስኑን፤ ኤስ ባርክ ንቶ ጋነያስ እሳ ኪጤ ስና ፎና።
2f080f00ab	ኤሲስ ደይ፦ «አካማኖን ዙት ባርክ ኣነ ፉእቶዋ፤ ጋሮኖን ዙት ባርክ ደይ ኣነ ዮኡዋ» ይስቴራ ትቼናሲማቶዋ።
2f08100096	ታ ንቶክ ሳፋሬፋናስነ ፋሮን ቲቶ ደይ ንባስን ንቶክ ሳፋሮናክ ዛጊ ሀኦሲክ ጋላታ ስንፋውጝዋ።
2f08110091	ቲቶ ንቶኪ ዬናስ ባሳ ቴትኒ ፍቃድክ ግራክቱ ካብሬ ዬቴኖ እንኖ ባሪን ሺጴኒ ባር ባርክታዋ።
2f081200a9	ምስራቹኒ ካማሶን ማኮባሲክ ቤቴክርስታኒሲክቶ ዙታምባሴ አሲስ ጋላታምቶ አዪስን ባርኔን አነ ጋፍኩኒዋ።
2f0813015c	ኤስ ባርስታን ደናሎ ኤስ አዪስ እንኖ ሀን ማአ ዎስቶሶን ዳሚሳ ኡልፍናክ ዎስቴራ ዛግፌኒ ካባሲክናዋ ዎስቶኒክ ፋ ማአ ፍቃድኒሶንና ማኬን እኖኔን አነ ሀምሜ ኤስ ዎስቶሲ አሪጋ ስናናክ ቤቴክርስታኒሲክቶስን ኮርቴርዋ።
2f081400b8	ሀን አሱኒክ እምቶናክ ዙቴ ዋጋሶን ኤጳ ኩንስፌኒ ካባሲክ እሳ ዉዛክነ እንኖ ሀማቶኖይኒማቶ ቴትኒሶን ኦድትፌኒር።
2f08150094	እንኖ አላማስ ዳሚሳ ስናክ ኮእባ ስኖይናሮን አሱኒ ሜኒ ስናክ ደይ ማአር ስና ዉዛሶን ዛጉዋ።
2f08160156	ሾዎ ዎና ሾዎ ኡግናክ ፋታንቴሬ ችም ስንነ ቤስቴ አይኒስን ትቶኔን አነ ንቶኪ ዎስኒስ ኤስ ባሪ ቦርኣዋ፥ ባር ንቶስታ ፋ አማንቶባስ አካማ ስንና ቦርአ ሀሽ ሀን ዎስቶሶን አሪጋሱናክ ፋ ሳፋርባስ ዜሞቲስታን አካማዋ።
2f0817015b	ቲቶኒ ቾዋሶን አሩክ ሾልስፋናነ ንቶትን አሪጋሱናክ ታኔን አነ ዎስቴት ፌ ዎስቶኒ ዞሞታዋ፥ ባርኔን አነ ዮሶን ኦም አይኒ ሜኒ ቾዋሲክ ስንፋናነ ባሶ ቤቴክርስታኒሲክቶኒ ኤዴ ስንነ ክርስቶስኒ ኡልፍናሲክ የርሴቴርዋ።
2f08180100	ኤስ ባሪ ቦርኣ ኬሽታንትሶን ባሶክ ቤሱቲ፤ ኤስ ባርክ ኬሽታኒትሴዋ ንቶስታ ፋ እንኖ ቴቶኒሴ ኬእኖር ስና ቤይባሶን ቤቴክርስታኒሲክቶ ዙታምባሴ አሲክ ቤሱትዋ።
2f09010082	ዩዳክ ፌሴ ክርስታናን ሜያክ ዛግቴፋ ዋግኒ ቾዋሲክ ንቶክ ትቹናክ ኣነ ሾልስፋዋ።
2f09020147	«አካያክ ፌሴ አሱኒ ሜያ ኣታ ዎጋስታን ካብግሬ አሪጋሱክ ሆሬሬ ፌሴቴርዋ» ይራ ሜቀዶንያክ አሱኒ ሜያክ ንቶ ቾዋሲክ ቴቴፋናስ ችምንትሶን አሪፋና ቦርአዋ። ንቶ ችማስ ኦም አሱኒ ሜያኖን እሞሶነክ ካብጝዋ።
2f090300e6	ሀን ዉዛሲክ ንቶስታ ፋ እንኖ ቴቶስ ኬእኖር ስንና ፉእቶኖይናማቶ ሀን አይን ሜያኖን ንቶክ ዎሱናዋ። ንቶ ደይ ዜሞቲ ታ ማኬናሲማቶ ሆሬራ ኦዶቲ።
2f090400ed	ሜቀዶንያክ አሱኒ ሜያ ታኔን አነ ንቶክ ዬሴፌ ካባሲክ ሆሮኖይ ዲፌን ብየፋቴነ እንኖ ንቶስታ ቴቴፌን ቴቶሲክ ኢቼኒርዋ፥ ንቶኑ አካማኖንቱ ኢቾትዋ።
2f090501c9	ኤስ ባሪ ቦርኣ እማትክ ማኬት ካምኒትሲማቶ ኤስ እማሶን ዜምማ ሆሱትክ ንቶትን ያዳሱሶነክ ሀን አይን ሜያ ታይስታን ዜምሜ ንቶክ ዮሶነ ባር ሾልሱ ስንና ታክ ቤስቴዋ። ኤስ ባርኪ ታ ያፋና ካባሲክ እማት እማስ ሆሬራ ፎና፤ ንቶ ደይ እማትስ ግድክ ስኖይናሮን ፍቃድንትሲክ ስኒባሶንቱ ቤስፋ።
2f0906009c	«ጋሮኖን ቡካ ባር ጋሮ ሜያቱ ዙትፌ፤ አካማኖን ቡካ ባር አካማ ሜያቱ ዙትፌ» ይስቴ ባሮን ያዳቶት።
2f09070108	ኤስ ባሪ ቦርኣ ሀኦ ሹንፋናስ ግራክ እምፌ ባሪን ስንና ቦርአ አስሱ እሳርባ እሳርባሲክ ንብባሲ እማናክ ሾሌና ባሮን ግራክ እሞቴኖ ኤክ ሀጝ ኡክ ወደይ ግድክ እማናታ።
2f090800d7	ዎንና ዎንና ዉዛ ዙታምባሴ አሲክ ቴትንትሶን ችማ ማአ ዎስቶ ዙታምባሴ አሲስታ ፌሹ ችማትክ ሀኦስ ኤባባሶን አሪክስራ እማናክ ችማናዋ።
2f0909009d	«ኤሲስ ደይ ቱካምኒ ሜያክ ጋራማክ እም፤ ኦኮባስ ደይ ኮእባ ፎንቶኖን ፎና» ይስቴራ ትቼናስማቶዋ።
2f090a00d2	ቡክፌ ባርኪ ዛላ፤ ሙን ባርኪ ቱሻ እምፋ ሀኦሲ ቡካት ዛላሶን አሪክስራ ንቶክ እማናዋ፤ ጋራማክ እምት እማስ ጋናኖን ደይ አሪክሱና።
2f090b00ef	ንቶ እሜቲ እማስ እኖክ ካሞ እምቶና አሱኒ ሜያ ዙቴሬ ሀኦሶን ጋላቶሶነክ ዎንና ዎንና እማትክ ሀኦሲ ዉዛ ዙታምቤሲሴ አሲክ ኦቱም ስንናትክ ዛጋዉጝዋ።
2f090c00c9	ኤስ እምፌት እምኒ ዎስቶስ ክርስታናኒ ሜያኖን ራክኮስን ክሱባስታን ደናሎ አሱኒ ሜያ ሀኦሲክ አካማ ጋላታ እሞሶነክ ዛግርዋ።
2f090d0108	ሀን ንቶ እምፌት እምኒ ዎስቶስ ክርስቶስኒ ምስራቹኒ ካማሲክ አጃጃሜራ አማናምቶ ስኒፋት ባሶክ ስኑን ኦሚሲክ እሜትማቶ ቤሱባሲክ ዙታምቤሲሴ ሀኦሶን ጋላቴሴድፌዋ።
2f090e009d	ባሶ ደይ ሀኦስ ንቶክ እምና አካማ ኦቱምባስታን ካብ ቾዋ ንቶትን ኬሽቴሴፌ ቦርአ ንቶክ ሺጵሶነዋ።
2f090f0077	አሱኒ ካማክ ዎሉምቶናክ ችምቶኖይ ባሪ እማሲክ ሀኦሲክ ጋላታ ስንፋውጝዋ።
2f0a0100ff	ታ ጳዉሎስ ንቶ ስና ፋና ካባሲክ ኢቼር ይስቴን። ስኑንታኖ ንቶስታን ዎክፋና ካባሲክ ኢቾኖር ይስቴን፤ ክርስቶስኒ ጋራማሲክናዋ ማኣሲክና ንቶትን ሺጴፋዉጙዋ።
2f0a02011f	ንቶትን ሺጴፋናስ ንቶኪ ያፋና ካባሲክ ድጎኖይ ማኮናክ ታን ዛጉትክዋ፤ ስኑንታኖ አሽኒ ሳፋራክ ኩቲት ፋኒር ዛግሬ ሳፋርሴፌ እሳ እሳ አሱኒ ሜኒ ስናክ ድጎኖይ ማኮናክ ሾሌፋዉጙዋ።
2f0a03007b	አዉነ ፋሮንኑ ሀን ዳስታክ ፋፌኒክ ኔቤፌኒ ኔቦስ ሀን ዳስታኪ ኔቦሲማቶታዋ።
2f0a0400a0	ኤስ ኔቦኒ ሜኒስ ደይ ጎስማሶን ቦጋኒክ ሀኦኒ ሁግናባ ፋናርታኖ ሀን ዳስታኪ ኔቦኒ ሜያስነ ፋርታዋ።
2f0a0500d6	ሀኦሶን አሩኒ ቾዋስታ ቱሳ ስንና ካብፋ ዌኑሴዋ ቤጋንቶሴ አስን ቦጋኒ፤ አሱሳ ሳፋራኖን ዙትራ ቦጀራ ክርስቶስኒክ አጃጃሞናክ ዛጉኒ።
2f0a06007c	ንቶ አጃጃሞስ ቱማ ስንፋና ካባሲክ አጃጃሞ ቤያሶን ዙትራ ኬኡክ ሆሬር ሲናኒ።
2f0a070108	ንቶ ቢፌትስ ጌሮክ ቤስቴፋ ባሮን ኮእባዋ፤ ኦኑ ታ ክርስቶስኒር ይሬ ባሪክ አማነፋናነ ሄፕሳ ዎል ሌ ሳፋሮዎዋ። እንኖ ደይ ባሳይሲማቶ ክርስቶስኒር ስኒማቶ ያዳቶዎ።
2f0a0800e8	ዳሚስ እኖክ እምና ሀእሱኒ ሁግናሲክ አካማኖን ቴቴፋናነ ኣፋዋ ኢቾናዉዛ። ሀን ሀእሱኒ ሁግናስ እኖክ እምቴናስ ንቶትን ችኑኒክታኖ ቦጋኒክታዋ።
2f0a09005d	ዎስናሲክ ንቶትን ዴሱናርነ ፋር ስንና ንቶክ ቤስቶናታዋ።
2f0a0a00fa	እሳ እሳ ሜያ፦ «ጳዉሎስኒ ዎስያሲክቶ ፋያ ደይ ችማዋ። ስኑንታኖ ባር ቴትባሲክ እኖኔን አነ ፌና ካባሲክ ሆፕ ዎሉምባስ ደይ ካሽስቶዋ» ይሴት ፌሴቴር ስናና።
2f0a0b0111	ኤስ ባሮን ይሴፌ አሱኒ ሜያ እንኖ ዎክሶክ ፋጌዶ ዎስያኒሲክ ማኬፌኒ ባሬዋ ታእሶኖን ንቶኔን አነ ፋጌዶ ዎስቴፌኒ ባሬ አሲ ጋነሲ ኦር ኦር ኬስባ ኣፋ ስኒባሶን ያዳትሶቶዋ።
2f0a0c014a	ስኑንታኖ ቴትቤሲሶን ጋላቴሴፌ እሳ እሳ አሱኒ ሜያኔን አነ ፋድቶኒክ ወደይ ሆሱኒክ ኣፋ ችማኒ ዉዛ። ስኑንታኖ ባሶ ቴትቤሲሶን ዎልግሬ ቴትቤሲስኔን አነ ማዛኖቤሲሲክናዋ ሆሱቤሲሲክና ባሶ ያዳትሴ አሱቴዋ።
2f0a0d00c2	ስኑንታኖ እንኖ ንቶክ ካርአንኔን ሀኦሲ እኖክ እምና ዎስቶስ ድላክቱ ቴቴፌንታኖ ቴቶኒክ ሾልስስታን ደናሎ ኣነ ቴቴፌን።
2f0a0e00d9	ንቶ ደይ ፋትስ እንኖ ዎስቶኒ ድላስ ስንና ቦርአ ክርስቶስኒ ምስራቹኒ ካማሶን አሱክ ንቶክ ያፌን ካባሲክ ኤስ ድላስን ኣነ ኣታ ኬሴንዋ።
2f0a0f0175	ኤስ ባሪ ቦርኣ ሀኦሲ እኖክ ድለራ እምና ድላስታን ኣታ ኦምን ሜያ ዎስቴሴቴ ዎስቶሲክ ኣፋ ቴቶኒዉዛ፥ ኤስ ባርስታን አማንቶኒትስ ድቻናክናዋ እንኖ ዎስቶስ ደይ ሀኦሲ እኖክ ድለና ድላ ንቶ ጋነያስ ዳይስራ ታጉናክና አብድ ዛግድፌንዋ።
2f0a1000d1	ኤሴ ኦም አሱሳ ዎስቶኒ ድላስ ግርራ ዜሞቲ ዎሱስቴ ዎስቶሲክ ቴቶኖይ ንቶስታን ኤካሎ ፋሴ ዳሲክቶሲ ምስራቹኒ ካማሶን ማኮ ችማናዋ።
2f0a110044	ስኑንታኖ፦ «ቴቴፌ ባር ዳሚሲክ ቴቶዎዋ»።
2f0a1200c6	ኤሲስ ደይ አስሱ ጋላታ ዳናናክ ችምፌናስ ዳሚስ ባሪን ጋላቴፌና ካባሲክታኖ አስሱ ባር ባሪን ዎልግሬ ጋላቴፌና ካባሲክታዋ።
2f0b010074	ጋሮ ጎዋናሶን ታክ ፋኩሶትማቶ አብዲ ዛግፋዉጝዋ፤ አዳራዋ ታን ፋኩትዋ።
2f0b0200e4	እሳ ዱርባ ናዋ ዱርቡማባሴ ፌን ቴጎሲክ ቴጌቴፋናይሲማቶ ታ ደይ ንቶትን ክርስቶስኒክ ቴጌራ ዱስና ቦርአ ንቶ ቾዋሲክ አያናኒ ኮና ኮነፋዉጝዋ።
2f0b0300f3	ዛዋስ ማጙባሲክ ሄዋኖን ዳግሲናስማቶ ንቶ ሳፋራስ ደይ አዉዛክነ ማጝራ ክርስቶስኒክ ፋ ማአ ደይ ካይማ ስና አማናምቶኒትሶን ቤያትቶ እያት ድጌፋዉጝዋ።
2f0b040198	እሳ አሱ ንቶኪ ዬሬ እንኖ ንቶክ ማኬኒ ባሮን ስኖይናሮን ኦም የሱስኒን ንቶክ ማኬፋናነ ወደይ ንቶ ኤጳ ታት አያናሶን ስኖይናሮን ኦማ አያና ኤጳ ታሴፋትነ ወደይ ኤጳ ታት ምስራቹኒ ካማሶን ስንኖይናሮን ኦማ ምስራቹኒ ካማ ኤጳ ታሴፋትነ ሻክራ ሜርቴትዋ ኡዋ።
2f0b050092	ስኑንታኖ ታ ሀን እኝ እኝ ዎስኒ ሜኒ ጋነያስን እሳ ዉዛክነ ሀቴር ስንና ታክ ኣነ ቤስቴፋዋ።
2f0b0600bb	ዎሉምኒ ቴችማሲክ አሩ ስና ቤይፋናክኑ አሩና ኣነ ሀቶዋ። ኤስ ባሮን ደይ ሾዎ ኡግናክ ንቶክ አምማኖን ክስራ ማኬኒዋ።
2f0b0700eb	ታ ሀኦሲ ምስራቹኒ ካማሶን ዳሞዛ ታክ ካስቶኖይናሮን ንቶክ ማኮናሴዋ ንቶትን ቴጉናክ ታ ቴታሶን ሀቴሱናሴ አዉዛክነ ቦርአ ስንና ታይስታ ፋድቴታሶ?
2f0b080086	ንቶክ ዎስቶክ ኦማ ቤቴክርስታኒሲክቶኪን አሪጋሱኒ ዋጋ ኤጵናሲክ ባሶትን ቦኤጝዋ።
2f0b0901ad	ንቶኔን አነ ፋና ራክኮ ታይስታ ካርፋና ካባሲክ ሜቀዶኒያን ዬሴ አይኒ ሜያ ታክ ሾልሱ ስና ዉዛ ዙታምባሴ አሲክ አሪጋሲት ፌሴቴር ስንና ቦርአ ኦኒስታኑ ኣነ ባአ ስኑት። ሀሽ ሀውጙኔን ካርአ ንቶስታ እሳ ዉዛክነ ኣነ ባአ ስኑት። ሀንኔንኑ ደይ ንቶስታ ኣፋ ባአ ስናናዉዛ።
2f0b0a008b	ክርስቶስኒ ፉቶስ ታይሲ ፎባሲክ ቴቶኖይናማቶ ታን ዛጉንዉዛ አካያክ ዳስታክ ኦኑ ኣፌ።
2f0b0b0091	ኤስ ባር አዉኒ ቦርአንሶ? ንቶትን ሹና ቤይና ቦርአኖሶ? ንቶትን ሹንፋናማቶ ሀኦስ አሪፋዋ።
2f0b0c00c6	ኤሴ ኦም ዎስኒ ሜያ፦ «እንኖ ባሶሲማቶ ዎስቴኒር» ይት ቴቴሴፌ ቾዋሶን ትሽኩክ ሀሽቲ ዛግት ፋና ባሮን ሀንኔን ደይ ዛጉናዋ።
2f0b0d00cd	ኤስ ኤፌቴና አሱኒ ሜያ ክርስቶስኒ ዎስኒ ሜያነ ፌር ስንነ ቤስቶክ ቴትቤሲሶን ሶልሴፌ ኤሽቱ ዎሲናዋ ኤሽሴፌ ዎስትኛኒ ሜያናዋ።
2f0b0e0092	ኤስ ባር ደይ ዲንቂሱኒ ዉዛታዋ፥ ሴጣናስኑ ቻሬፍኒ ዎስያ ስንና ቤስቶክ ቴትባሶን ሶለርዋ።
2f0b0f0111	ኤስ ባሪ ቦርኣ ሀን ሴጣናሲ ዎስትኛኒ ሜያ ኦኮ ዎስትኛኒ ሜያኖን ስንነ ቤስቶክ ቴትቤሲሶን ሶልሴፌክ ኣፋ ዲንቅስሱና ዉዛ ስናናዛ። ኮእባስታክ ዎስቶቤሲሲ ዋጋኖን ዳኖነ።
2f0b1000ed	«ኦኒክኑ ታ ጎዋነ ፌር ስንና ባርክ ቤስቶናታ» ይራ ሄፕሳ ደይ ማኬፋውጙዋ። ጎዋ ስንና ንቶክ ቤስቴፋናክኑ ጋሮኖን ቴቶናክ ጎዋነ ፌር ዛግራ ፋዱትዋ።
2f0b11009f	ኤሲስማቶ ቴቶክ ማኬፋና ካባሲክ ኤስ ማኬፋና ባር ዳሚሳ ፍቃድኒማቶ ስኖይናማቶ ጎዋነ ፌር ስንናዋ።
2f0b120059	ሾዎኒ ሜያ አሽኒ ቾዋሲክ ቴቴሴፌ ቦርአ ታ ደይ ቴቴፋን።
2f0b13005e	ንቶ ቴቹምኒት ፋናር ስኒትማቶ ጎዋኒ ሜያኖን ግራክ ፋኩቲ።
2f0b1400f6	ኤሲስማቶ ኦኑ ንቶትን ቦዝኒማቶ ዛጋናነ፤ ኦኑ ንቶሶን ሜፋናነ፤ ኦኑ ንቶይሶን ባሳር ዛጋናነ፤ ኦኑ ንቶትን ካሽፋናነ፤ ኦኑ ጋችኒትሶን ቦቻናነ ፋክፌት።
2f0b150147	ታን ኢሹኒር ስንፋናክኑ ሀን ዉዛሲክቶኖን ዛጉክ ችም ስና ቤይንማቶ ንቶክ አምማኖን ማኮናዋ። ስኑንታኖ ኦኑ ችሜ ቴቶኒር ፌፋናነ ታ ደይ ባሳሲማቶ ችማ ቴቶናዋ። ኤስ ባሮን ይፋናስ ሀሽኑ ጎዋኒማቶ ስንናዋ።
2f0b1600ed	ባሶ እብራዊኒ ሜያኖሶ? ታ ደይ እብራውዋ። ባሶ እስራኤልኒ ሜያኖሶ? ታ ደይ እስራኤላዊዋ፤ ባሶ አብራሀምኒ ዛላሲክኖሶ? ታ ደይ አብራሀምኒ ዛላስንዋ።
2f0b170160	ባሶ ክርስቶስኒ ዎስትኛኖሶ? ታ ደይ ባሶስታን ደናሎ ክርስቶስኒ ዎስትኛዋ፤ ሀን ባሮን ማኬፋናስ ንፋሶነ ፌር ስንናዋ፤ ባሶስታን ደናሎ ሾዎ ዎና ዎስቶክ ሆፕን፥ ሾዎ ዎና ታቴን፥ ሾዎ ዎና ሱስቴን፥ ሾዎ ዎና ክቱታ ካርእን።
2f0b180089	አይሁድኒ ሜያ ኡቻ ዎል ሌ ኬዛስሬ እዝግነ ኬዛስሬ እዝግነኖን አላንጋክ ታን ሱስሴቴ።
2f0b1900c9	ኬዛ ዎላ ሃሮክ እቼን፤ እሳርጋ ሹአክ እቼን፤ ኬዛ ዎላ ማርካብኒ አዳጋ ታይስታ ካርእ፤ እሳ ዋልነዋ እሳ ዎንነ ባሪስታቱ ፋኒ።
2f0b1a01bd	ኡጉንኒ ኩቱናሲ ኣታማታክ ዎርአ አካኒ አዳጋ ደይ ቦእኛኒ ሜኒ አዳጋ ታይስታ ካርእ። አይሁድ ስና ታ ኬኒሲክንናዋ አዛብኒ ሜያክንና አዳጋ ታይስታ ካርእ፤ ካታማስንናዋ ኢችማ ዳስ ሲንና ደይ ባርስታን አዳጋ ታይስታ ካርእ፤ ኤሲስማቶ ደይ ኤሽ አማኝኒ ሜያኪን አዳጋ ታይስታ ካርእ።
2f0b1b00fc	ሾዎ ዎስቶነዋ ሆፕነ ታይስታ ፋር፤ ሾዎ ዎና አፋይኒ ቱርኪን፤ ማካክናዋ አካኒ እክታናክና ራካቴን፤ ሾዎ ዎና ሙ ቱርኪን፤ ኮቾነዋ አታቱ ኩቱነ ታይስታ ካርእ።
2f0b1c00a4	ኦማሶኔን ዙትራ ፋዱኖይ ቤቴክርስታኒሲክቶ ዙታምባሴ አሲ ቾዋኖን ዎንና ዎንና ሳፋሮክ ራካቴት ፋናር።
2f0b1d00c9	እሳ አሱ ሆፕፌና ካባሲክ ታ ደይ አነ ሆፑኖይና ዎና ኣጌንሶ? እሳ አሱ ቦርኣሲክ ቱሳኤፌና ካባሲክ ታ ደይ ሃሮኖይና ዎና ኣጌንሶ?
2f0b1e006a	ቴቶክ ሾልሲር ስንፋናነ ታ ቴቶናስ ሆፕናሶን ቤስፋ ዉዛሲክቶክዋ።
2f0b1f0091	ኮእባ ፎንቶኖን ጋላትባ ፋና ዳምኒ የሱስኒ አባ ሀኦሲ ታ ኣፋ ኤሻና ዉዛ ስንናማቶ አርፋዋ።
2f0b2000e5	ደማስኮኒ ካታማስ ፋና ካባሲክ ታቶ አሬታስን ሀእሱኒ ስካሎስ ፌ አእሲኛሲ ታን ኤጴ ታርአናክ ሾሌፋት ካታማሲ ፍኛኖን ታሶኒ ሜያክ ኦድስት ፌር።
2f0b21009d	ስኑንታኖ አሱኒ ሜያ ማሳሲ ዱስሬ ኦጃሲ ማስኮትሲ ካሞ ኬስሴቴን ኤስ አእሲኛሳ ኩሹስን ኣታ ኬስኒ።
2f0c0100c4	አዉነ ፋሮን ቴቶስ ኬአና ዉዝባ ትሽፋናክኑ ቴቶ ሾልስፋናነ ዳሚስ ታክ እምና አምማኖን ቤስና ዉዛሴዋ ራእሴ አሲክ ቴቶናዋ።
2f0c020139	ክርስቶስኒር ስንና እሳ አሱኒን አሪፋውጙዋ፥ ኤስ አሱስ አሲሬ አቼቼ ዎጋኔን ስናክ ኬሳ ሳማስታ ኦቴሬ ሀሜ ካርእ፥ (ኦቴሬ ሀምሚናስ ደይ አሽባስነንጝዋ ወደይ ኣነቶ? ኣነ አሩት፥ ሀኦስቱ አሪፋር።)
2f0c0300af	ስኑንታኖ ኤስ አሱስ ኦቴሬ ሀምናማቶ አሪፋውጙዋ። አሽባስነንጝዋ ወደይ ኣነቶ? ኣነ አሩት፥ ሀኦስቱ አሪፋር።
2f0c040089	ባር ኦቴሬ ገነቲ ሀምሜ አሱኒ ካማክ ማክቶክናዋ አሱ ዎሎናክና ችምኖይና ዉዛሶን ኦደ።
