010000001b	আদিপুস্তক
2f0b1b01ab	আমি কষ্টের মধ্যেও কঠিন পরিশ্রম করেছি, কখনো না ঘুমিয়ে কাটিয়েছি; কিছু না খেয়ে থেকেছি খিদেয় এবং পিপাসায় কষ্ট পেয়েছি, শীতে ও যথেষ্ট কাপড়ের অভাবে কষ্ট পেয়েছি।
2f0b1c00d1	ঐ সব বিষয় ছাড়াও আমি প্রতিদিন সব মণ্ডলী গুলির জন্য ভয় পাচ্ছিলাম তারা কি করছে।
2f0b1d00f1	সেখানে কেউ দুর্বল হলেও আমি দুর্বল না হই, যে অন্য কাউকে পাপে ফেলতে চায়, তখন আমার কি রাগ হয় না?
2f0b1e011f	যদি আমি অহঙ্কার করি, এই রকম জিনিসগুলির জন্যই কেবলমাত্র অহঙ্কার করব, যে জিনিসগুলো প্রকাশ করে যে আমি কত দুর্বল।
2f0b1f00f5	প্রভু যীশু খ্রীষ্টের পিতা ও ঈশ্বর যুগে যুগে যাঁকে ধন্য করে তিনি জানেন আমি মিথ্যা কথা বলছি না।
2f0b200115	দম্মেশক শহরে আরিতা রাজার নিযুক্ত শাসনকর্ত্তা আমাকে ধরবার জন্য সেই নগরের চারিদিকে পাহারাদার রেখেছিলেন।
2f0b210182	কিন্তু আমার বন্ধু আমাকে একটি ঝুড়িতে করে দেওয়ালের জানলা দিয়ে আমাকে নগরের বাইরে নামিয়ে দিয়েছিল, এই ভাবে আমি তাঁর কাছ থেকে পালিয়ে গিয়েছিলাম।
2f0c0100fd	আমি অবশ্যই নিজেকে রক্ষা করে চলব, সুতরাং অহঙ্কার করব কিছু দর্শনের বিষয় যা প্রভু আমাকে দিয়েছেন।
2f0c0201fb	চোদ্দ বছর আগে একজন লোক খ্রীষ্টে যোগদান করেছিলেন যাকে আমি চিনি স্বর্গ পর্যন্ত তাকে তুলে নেওয়া হয়েছিল কেবলমাত্র ঈশ্বর জানেন যখন তিনি আমাকে উপরে তুলেছেন কেবলমাত্র আমার আত্মা অথবা আমার দেহকে।
2f0c0300aa	এবং আমি আমার শরীরে অথবা কেবলমাত্র আমার আত্মায়, ঈশ্বর একাই জানেন
2f0c04016f	স্বর্গে পরমদেশ নামক এক জায়গায় আমাকে নিয়ে যাওয়া হয়েছিল। সেখানে আমি কিছু শুনেছিলাম যা ছিল আমার কাছে আরো পবিত্র সম্ভব হলে তোমাদের বলবো।
2f0c0501d9	আমি ঐ বিষয়ে অহঙ্কার করতে পারি কিন্তু যা সব ঘটছে তা ঈশ্বর করেছেন, আমি না। আমার জন্য আমি অহঙ্কার করতে পারি কেবলমাত্র এই বিষয়ে ঈশ্বর কিভাবে আমার উপর কাজ করছেন, আমি একজন দুর্বল মানুষ।
2f0c06023c	যদি আমি নিজের বিষয়ে অহঙ্কার করতে চাই, তবে আমি নির্বোধ হব না, কারণ আমি সত্যিই বলবো। যে কোনো ভাবেই, আমি আর অহঙ্কার করব না, সুতরাং কেবলমাত্র তুমি আমার বিচার করো তুমি কি শুনেছ আমাকে বল, অথবা আগেই তুমি আমার বিষয়ে কি জেনেছ বল।
2f0c0701fe	আর ঐ নিগূরতত্ত্বের অসাধারণ গুরুত্ব থাকার জন্য আমি যেন খুব বেশি অহঙ্কার না করি, এই জন্য আমার দেহে একটি কাঁটা, শয়তানের এক দূত, আমাকে দেওয়া হল, যেন সে আমাকে আঘাত করে, যেন আমি খুব বেশি অহঙ্কার না করি।
2f0c0800e7	এই বিষয় নিয়ে আমি প্রভুর কাছে তিনবার প্রার্থনা করেছিলাম, যেন এটা আমাকে ছেড়ে চলে যায়।
2f0c09025b	কিন্তু তিনি আমাকে বলেছিলেন, আমার অনুগ্রহ তোমার জন্য যথেষ্ট। কারণ যখন তুমি দুর্বল হয়ে পড়বে তখন আমার শক্তি দুর্বলতায় কাজ করে, আমার দুর্বলতার জন্য আমি আরো তাড়াতাড়ি অহঙ্কার বোধ করব, সুতরাং খ্রীষ্টের শক্তি আমার উপর অবস্থান করে।
2f0c0a0313	আমি সব কিছুর সামনা সামনি হতে পারি কারণ খ্রীষ্ট আমার সঙ্গে আছেন। এটা হতে পারে আমি অবশ্যই দুর্বল, অথবা অন্যরা আমাকে ঘৃণা করবে, আমাকে ভীষণ কষ্ট করতে হবে, অথবা অন্যরা আমাকে মেরে ফেলার চেষ্টা করবে। তাঁর নানারকম দয়ার জন্য আমাকে কষ্টভোগ করতে হবে। যে কোনো ঘটনায়, যখন আমার শক্তি চলে যাবে, তখনো আমি শক্তিশালী।
2f0c0b01c8	আমি যখন এই ভাবে লিখছি, আমি আমার নিজের প্রশংসা করছি। কিন্তু আমি এই রকম করেছি কারণ তোমার উপর আমার বিশ্বাস আছে। আমি ঠিক এই রকমই ভালো “বিশেষ প্রেরিতদের” যদিও আমি সত্যিই কিছুই না।
2f0c0c01dc	প্রকৃত প্রেরিতদের চেনার সত্য সংকেত আমি তোমাদের দিয়েছি খুব ধৈর্য্য সহকারে আমি তোমাদের মধ্যে যে অলৌকিক কাজ করেছি: বিস্ময়কর অলৌকিক কাজ যা প্রমাণ করে আমি সত্যিই যীশু খ্রীষ্টের দাস।
2f0c0d021a	নিশ্চিত করে বলছি তোমরা অন্য সব মণ্ডলীর কাছে গুরুত্বপূর্ণ! কেবলমাত্র একটা বিষয়ে তোমরা আলাদা ছিলে যে আমি তোমাদের কাছ থেকে কোনো টাকা নিই নি যা তাদের কাছ থেকে নিয়েছি। আমার অন্যায় কাজের জন্য আমাকে ক্ষমা কর!
2f0c0e03ad	সুতরাং এই শোন! আমি এখন এই তৃতীয় বার তোমাদের কাছে যাবার জন্য তৈরী হয়ে আছি এবং এই যাত্রায়, অন্য সকলের মত, আমি তোমাদের কাছে কোনো টাকা চাইব না। আমি কিছু চাই না কেবল তোমাদের চাই। আমি তোমাদের কাছে কি চাই! তোমরা আমাদের মতামত জানো যা আমরা আমাদের পরিবারে অনুসরণ করে চলি: ছেলেমেয়েরা তাদের বাবামায়ের খরচ চালাবে না কিন্তু বাবামায়েরা ছেলে মেয়েদের খরচ জমিয়ে রাখবেন।
2f0c0f020a	আমি খুব খুশি হয়েই তোমাদের জন্য সব কিছু করব, যদিও এর মানে আমি আমার জীবন দেব। যদি এই মানে বোঝায় আমি তোমাদের ভালবাসি চিরকালের থেকে বেশি, নিশ্চিত ভাবে তোমরাও আমাকে আনন্দে চিরকালের চেয়ে বেশি ভালবাসবে।
2f0c100146	সুতরাং, কেউ অবশ্যই বলবে যে আমি তোমাদের টাকার কথা বলিনি, আমি কৌশলে তোমাদের বাধা দিয়ে আমার নিজের প্রয়োজনের সব খরচ আমি করেছি।
2f0c110116	ভালো, আমি কাউকে তোমাদের কাছে পাঠিয়ে কখন তোমাদের ঠকাই নি তাছাড়া আমি তোমাদের কাছে পাঠিয়েছি, আমি কি করেছি?
2f0c12034c	উদাহরণ, আমি তীতকে এবং অন্য ভাইকে তোমার কাছে পাঠিয়েছিলাম, কিন্তু তাদের সাহায্য করার জন্য তারা তোমাদের কিছু বলেনি, তারা কি করেছে? তীত কখন তার খরচ তোমাদের দিতে বলেনি, সে কি করেছে? তীত এবং অন্য ভাই তোমার সঙ্গে আমার মতই ব্যবহার করেছে, একই রকম নয় কি? আমরা আমাদের জায়গায় একইভাবে বাস করেছি; তোমরা কখন আমাদের জন্য কোনো খরচ করবে না।
2f0c1302b9	তোমরা ঠিক চিন্তা করনি যে এই চিঠিতে আমি আমার দোষ কাটানোর চেষ্টা করেছি, তুমি কি ঠিক? ঈশ্বর জানেন যে আমি খ্রীষ্টের সঙ্গে যুক্ত আছি এবং যা আমি লিখেছি সব কিছু তাঁর আদেশে বলবান হয়ে তোমরা তাঁকে বিশ্বাস কর। কথা কহিতেছি; আর, প্রিয়তমেরা, সবই তোমাদেরকে গেঁথে তুলবার জন্য বলছি।
2f0c1403d9	কিন্তু যখন আমি তোমাদের কাছে আসব, আমি যেরকম ইচ্ছা করেছিলাম আমি তোমাদের সেরকম দেখতে পাবনা। আমি যখন তোমাদের কাছে আসব আমাকে কিছু শোনাতে চাইবে না। আমি ভয় পাচ্ছি যে তোমরা তোমাদের মধ্যে ঝগড়া করবে, একে অপরকে হিংসা করবে, তোমাদের মধ্যে কেউ রাগ করবে। আমি ভয় পাচ্ছি তোমাদের মধ্যে কেউ নিজেকে প্রধান করবে, যা নিয়ে তোমরা একে অপরের সঙ্গে কথা বলবে এবং তোমাদের মধ্যে কেউ খুব স্বার্থপর হবে।
2f0c1501d1	যখন আমি তোমাদের কাছে আসব, আমি তোমাদের দেখে ভয় পাব, ঈশ্বর আমাকে নত করবেন, অনেকে ঈশ্বরের দিকে পাপ থেকে, অপবিত্রতা থেকে ও ব্যভিচার থেকে মন ফেরাবে না সেইজন্য আমি দুঃখিত ও শোকার্ত হব।
2f0d010206	এই তৃতীয় বার আমি তোমাদের কাছে যাচ্ছি এই বিষয়গুলো আলোচনার জন্য। এই বিষয়ে আলোচনার নিয়ম পাঠিয়ে অপরের বিরুদ্ধে প্রত্যেকটি দোষারোপ নির্ভর করে দুই অথবা তিনজন সাক্ষীর কথায়, ঠিক এক জনের কথায় নয়।
2f0d020177	আমি যখন দ্বিতীয়বার সেখানে ছিলাম আমি তাদের বলেছিলাম যারা আগে পাপ করেছে, তাদের ও অন্য সবাইকে আমি আগেই বলেছি ও বলছি, যদি আবার আসি, আমি মমতা করব না।
2f0d0301b3	আমি তোমাদের বলছি কারণ তোমরা প্রমাণ চাইছ যে খ্রীষ্ট আমার ভিতর দিয়ে কথা বলছেন, তিনি তোমাদের বিষয়ে দুর্বল নন; তবুও তিনি তাঁর মহান শক্তি দিয়ে তোমাদের সঙ্গে কাজ করছেন।
2f0d04035b	আমরা খ্রীষ্টের উদাহরণ থেকে শিক্ষা পাই, কারণ তিনি যখন দুর্বল ছিলেন তখন তারা তাঁকে ক্রুশে দিয়েছিল, তবুও ঈশ্বর তাঁকে আবার জীবিত করেছেন। আমরাও তাঁর সঙ্গে বাস করে দুর্বল হয়েছি এবং তাঁর উদাহরণ অনুসরণ করছি, কিন্তু তাঁর সঙ্গে, এই পাপ সম্পর্কে তোমাদের সঙ্গে যখন কথা বলবো তখন ঈশ্বর আমাদের ক্ষমতাবান করবেন যা তোমাদের কেউ কথা দিয়েছেন।
2f0d05033a	তোমরা প্রত্যেকে অবশ্যই পরীক্ষা করে দেখ তিনি কিভাবে জীবিত; তোমরা প্রমাণ কর যে ঈশ্বর তোমাদের ভালবাসেন এবং করুণা করেন তা তোমরা বিশ্বাস কর। তোমরা অবশ্যই তোমাদের নিজেদের পরীক্ষা কর: তোমরা কি দেখেছ যে যীশু খ্রীষ্ট তোমাদের ভিতরে বাস করছেন? তিনি তোমাদের প্রত্যেকের মধ্যে বাস করেন, অবশ্য যদি তোমরা এই পরীক্ষায় ব্যর্থ হও।
2f0d0600aa	এবং আমি আশাকরি যে তোমরা দেখবে যে খ্রীষ্টও আমাদের মধ্যে বাস করেন।
2f0d070294	এখন আমরা ঈশ্বরের কাছে প্রার্থনা করি যে তোমরা কোনকিছু ভুল করবে না। আমরা এই জন্য প্রার্থনা করি কারণ আমরা চাই তোমাদের থেকে আরো ভালো দেখাতে ঐ পরীক্ষায় পাস করে। তাসত্ত্বেও, আমরা তোমাদের জানাতে চাই এবং ঠিক জিনিস কর। যদি আমরা অক্ষম হই, আমরা চাই তোমরা সফল হও।
2f0d0800af	আমরা যা করি সত্য তা দমন করে; সত্যের বিরুদ্ধে আমরা কিছু করতে পারিনা।
2f0d090177	যখন আমরা দুর্বল হই এবং তোমরা বলবান হও তখন আমরা আনন্দ করি। আমরা প্রার্থনা করি যে তোমরা সবদিন অবশ্যই সম্পূর্ণরূপে ঈশ্বরকে বিশ্বাস করও মান্য কর।
2f0d0a0290	আমি এখন তোমাদের কাছ থেকে চলে যাব সেইজন্য আমি এই সব লিখছি। যখন আমি তোমাদের কাছে আসব, আমি তোমাদের সঙ্গে কঠোর আচরণ করব না। কারণ ঈশ্বর আমাকে একজন প্রেরিত করেছেন, আমি তাঁর ক্ষমতা ব্যবহার করে তোমাদের উত্সাহ দিতে পছন্দ করি কিন্তু তোমাদের দুর্বল করতে চাই না।
2f0d0b028f	সবশেষে এই বলি, ভাইয়েরা আনন্দ কর! আগের আচরণের থেকে এখনকার আচার এবং আচরণ ভালো কর এবং ঈশ্বর তোমাদের সাহস দেবেন। একে অপরের সঙ্গে একমত হও এবং শান্তিতে একসঙ্গে বাস কর। যদি তোমরা এই সব কাজ কর, ঈশ্বর, তোমাদের ভালবাসবেন এবং শান্তি দেবেন, তোমাদের সঙ্গে থাকবেন।
2f0d0c0079	একে অপরকে শুভেচ্ছা জানাও ও পবিত্র চুম্বন দাও।
2f0d0d0077	সব পবিত্র লোকেরা তোমাদের শুভেচ্ছা জানাচ্ছে।
2f0d0e011d	প্রভু যীশু খ্রীষ্টের অনুগ্রহ, ঈশ্বরের ভালবাসা এবং পবিত্র আত্মার সহভাগীতা তোমাদের সকলের সঙ্গে সঙ্গে থাকুক।
3000000018	গালাতীয়
30010101f9	পৌল, খ্রীষ্টের একজন প্রেরিত, এই প্রেরিত পদ কোন মানুষের কাছ থেকে বা কোন মানুষের মাধ্যমেও নয়, কিন্তু যীশু খ্রীষ্ট এবং পিতা ঈশ্বর যিনি মৃতদের মধ্যে থেকে তাঁকে উঠিয়েছেন তাঁদের মাধ্যমেই পেয়েছি,
30010200ab	এবং আমার সঙ্গে সব ভাইয়েরা, গালাতিয়া প্রদেশের মণ্ডলীদের প্রতি।
30010300d9	আমাদের পিতা ঈশ্বর এবং প্রভু যীশু খ্রীষ্ট তোমাদের প্রতি অনুগ্রহ ও শান্তি দান করুন।
3001040156	তিনি আমাদের পাপের জন্য নিজেকে প্রদান করলেন, যেন আমাদের ঈশ্বরও পিতার ইচ্ছা অনুসারে আমাদেরকে এই উপস্থিত মন্দ যুগ থেকে উদ্ধার করেন।
3001050087	যুগপর্য্যায়ের যুগে যুগে ঈশ্বরের মহিমা হোক। আমেন।
3001060156	আমি অবাক হচ্ছি যে, খ্রীষ্টের অনুগ্রহে যিনি তোমাদেরকে আহ্বান করেছেন, তোমরা এত তাড়াতাড়ি তা থেকে অন্য সুসমাচারের দিকে ফিরে যাচ্ছ।
300107012c	তা অন্য কোনো সুসমাচার না; কেবল এমন কিছু লোক আছে, যারা তোমাদেরকে অস্থির করে এবং খ্রীষ্টের সুসমাচার বিকৃত করতে চায়।
30010801a7	কিন্তু আমরা তোমাদের কাছে যে সুসমাচার প্রচার করেছি, তা ছাড়া অন্য সুসমাচার যদি কেউ প্রচার করে আমরাই করি, কিংবা স্বর্গ থেকে আসা কোনো দূত করুক তবে সে শাপগ্রস্ত হোক।
300109017a	আমরা আগে যেমন বলেছি এবং এখন আমি আবার বলছি, তোমরা যা গ্রহণ করেছ, তা ছাড়া অন্য কোনো সুসমাচার যদি কেউ তোমাদের কাছে প্রচার করে, তবে সে শাপগ্রস্ত হোক।
30010a0190	আমি এতে কার অনুমোদন চাইছি মানুষের না ঈশ্বরের? অথবা আমি কি মানুষকে সন্তুষ্ট করতে চেষ্টা করছি? যদি এখনও মানুষকে সন্তুষ্ট করতাম, তবে খ্রীষ্টের দাস হতাম না।
30010b013e	কারণ, হে ভাইয়েরা, আমার মাধ্যমে যে সুসমাচার প্রচারিত হয়েছে, তার বিষয়ে তোমাদেরকে জানাচ্ছি যে, তা মানুষের মতানুযায়ী না।
30010c010e	আমি মানুষের কাছে তা গ্রহণও করিনি এবং শিক্ষাও পাইনি; কিন্তু যীশু খ্রীষ্টের প্রকাশের মাধ্যমেই পেয়েছি।
30010d011b	তোমরা তো যিহুদী ধর্মে আমার আগের আচার ব্যবহারের কথা শুনেছ; আমি ঈশ্বরের মণ্ডলীকে অতি তাড়না ও বিধ্বস্ত করতাম;
30010e016c	আমি পরম্পরাগত পৈতৃক রীতিনীতি পালনে খুব উদ্যোগী হওয়াতে আমার স্বজাতীয় সমবয়স্ক অনেক লোক অপেক্ষা যিহুদী ধর্মে আগে আগে এগিয়ে যাচ্ছিলাম।
30010f0110	কিন্তু ঈশ্বর, যিনি আমাকে আমার মায়ের গর্ভ থেকে পৃথক্ করেছেন এবং নিজের অনুগ্রহের মাধ্যমে আহ্বান করেছেন,
30011001b2	তিনি নিজের পুত্রকে আমাতে প্রকাশ করবার ইচ্ছা করলেন, যেন আমি অযিহুদিদের মধ্যে তাঁর বিষয়ে সুসমাচার প্রচার করি, তখন আমি একটুর জন্য রক্ত ও মাংসের সাথে পরামর্শ করলাম না।
3001110118	এবং যিরূশালেমে আমার আগের প্রেরিতদের কাছে গেলাম না, কিন্তু আরব দেশে চলে গেলাম, পরে দম্মেশক শহরে ফিরে আসলাম।
3001120107	তারপর তিন বছর পরে আমি কৈফার সাথে পরিচিত হবার জন্যে যিরূশালেমে গেলাম এবং পনেরো দিন তাঁর কাছে থাকলাম।
30011300d2	কিন্তু প্রেরিতদের মধ্যে অন্য কাউকেও দেখলাম না, কেবল প্রভুর ভাই যাকোবকে দেখলাম।
30011400b8	এই যে সব কথা তোমাদের লিখছি, দেখ, ঈশ্বরের সামনে বলছি, আমি মিথ্যা বলছি না।
300115007b	তারপর আমি সুরিয়ার ও কিলিকিয়ার অঞ্চলে গেলাম।
30011600e6	আর তখনও আমি যিহূদীয়া প্রদেশের খ্রীষ্টিয় মণ্ডলীগুলির সঙ্গে চাক্ষুষ পরিচিত ছিলাম না।
300117014b	তারা শুধু শুনতে পেয়েছিল, যে ব্যক্তি আগে আমাদেরকে তাড়না করত, সে এখন সেই বিশ্বাস বিষয়ক সুসমাচার প্রচার করছে, যে আগে বিনাশ করত;
3001180073	এবং আমার কারণে তারা ঈশ্বরের গৌরব করতে লাগল।
30020100d9	তারপরে চোদ্দ বছর পরে আমি বার্ণবার সাথে আবার যিরূশালেমে গেলাম, তীতকেও সঙ্গে নিলাম।
3002020265	আমি সেখানে গিয়েছিলাম কারণ এটি ঈশ্বরের সুস্পষ্ট নির্দেশ ছিল। এবং যে সুসমাচার অইহূদিদের মধ্যে প্রচার করছি, লোকদের কাছে তার বর্ণনা করলাম, কিন্তু যারা গন্যমান্য, তাঁদের কাছে গোপনে করলাম, দেখা যায় যে আমি বৃথা দৌড়াচ্ছি, বা দৌড়িয়েছি।
30020300fd	এমনকি, তীত, যিনি আমার সঙ্গে ছিলেন, তিনি গ্রীক হলেও তাঁকে ত্বকচ্ছেদ স্বীকার করতে বাধ্য করা গেল না।
30020401c4	গোপনভাবে আসা কয়েক জন ভণ্ড ভাইয়ের জন্য এই রকম হল; খ্রীষ্ট যীশুতে আমাদের যে স্বাধীনতা আছে, তার দোষ ধরবার জন্য তারা গোপনে প্রবেশ করেছিল, যেন আমাদেরকে দাস বানিয়ে রাখতে পারে।
30020500fb	আমরা এক মুহূর্তও তাদের বশবর্ত্তী হলাম না, যেন সুসমাচারের সত্য তোমাদের কাছে অপরিবর্তনীয় থাকে।
300206017e	আর যাঁরা গন্যমান্য বলে খ্যাত তাদের কোনো অবদান নেই আমার কাছে। তাঁরা যাই হোন না কেন, এতে আমার কিছু এসে যায় না। মানুষের বিচারকে ঈশ্বর গ্রহণ করেন না।
30020701c1	বরং, তারা যখন দেখলেন অচ্ছিন্নত্বক ইহুদিদের মধ্যে আমাকে যেমন বিশ্বাস করে সুসমাচার প্রচারের দায়িত্ব দেওয়া হয়েছে তেমনি ছিন্নত্বক ইহুদিদের মধ্যে পিতরকে দেওয়া হয়েছে।
3002080166	কারণ ছিন্নত্বকদের কাছে প্রেরিতত্ত্বের জন্য ঈশ্বর পিতরের কাজ সম্পন্ন করলেন, তেমনি তিনি অইহূদিদের জন্য আমার মাধ্যমে কাজ সম্পন্ন করলেন।
3002090222	যখন তাঁরা বুঝতে পারল যে সেই অনুগ্রহ আমাকে দেওয়া হয়েছে, তখন যাকোব, কৈফা এবং যোহন যাঁরা নেতারূপে চিহ্নিত, আমাকেও বার্ণবাকে সহভাগীতার ডান হাত দিলেন, যেন আমরা অইহূদিদের কাছে যাই, আর তাঁরা ছিন্নত্বকদের কাছে যান;
30020a00cf	তারা কেবল চাইলেন যেন আমরা দরিদ্রদের স্মরণ করি; আর সেটাই করতে আমিও আগ্রহী ছিলাম;
30020b010d	এবং কৈফা যখন আন্তিয়খিয়ায় আসলেন, তখন আমি মুখের উপরেই তাঁর প্রতিরোধ করলাম, কারণ তিনি দোষী হয়েছিলেন।
30020c01e2	যাকোবের কাছ থেকে কয়েকজনের আসবার আগে কৈফা অইহূদিদের সাথে খাওয়া দাওয়া করতেন, কিন্তু যখন তারা আসলো, তিনি ছিন্নত্বকদের ভয়ে পিছিয়ে পড়তে ও নিজেকে অইহূদিদের থেকে পৃথক্ রাখতে লাগলেন।
30020d011c	আর কৈফার ভণ্ডামির সাথে অন্য সব ইহূদি বিস্বাসিরাও যুক্ত হল, এমনকি, বার্ণাবাও তাঁদের ভণ্ডামিতে আকর্ষিত হলেন।
30020e023c	কিন্তু, আমি যখন দেখলাম, তারা সুসমাচারের সত্য অনুসারে চলে না, তখন আমি সবার সামনে কৈফাকে বললাম, তুমি নিজে ইহূদি হয়ে যদি ইহূদিদের মত না, কিন্তু অইহূদিদের মত জীবনযাপন কর, তবে কেন অইহূদিদেরকে ইহূদিদের মত আচরণ করতে বাধ্য করছ?
30020f0077	আমরা জন্মসূত্রে ইহূদি, আমরা অইহূদিয় পাপী নই;
3002100335	বুঝেছি যে কেউই ব্যবস্থার কাজের মাধ্যমে নয়, কিন্তু যীশু খ্রীষ্টে বিশ্বাসের মাধ্যমে মানুষ ধার্মিক বলে চিহ্নিত হয়। সেইজন্য আমরাও খ্রীষ্ট যীশুতে বিশ্বাসী হয়েছি, যেন ব্যবস্থার কাজের জন্য নয়, কিন্তু খ্রীষ্টে বিশ্বাসের জন্য ধার্মিক বলে চিহ্নিত হই; কারণ ব্যবস্থার কাজের জন্য কোন শরীর ধার্মিক বলে চিহ্নিত হবে না।
300211017b	কিন্তু আমরা খ্রীষ্টে ধার্মিক বলে গণ্য হবার চেষ্টা করতে গিয়ে আমরাও যদি পাপী বলে প্রমাণ হয়ে থাকি, তবে তার জন্য খ্রীষ্ট কি পাপের দাস? একেবারেই না!
3002120100	কারণ আমি যে নিয়ম ভেঙে ফেলেছি, তাই যদি আবার পুনরায় গেঁথে তুলি, তবে নিজেকেই অপরাধী বলে দাঁড় করাই।
30021300d5	আমি তো নিয়মের মাধ্যমে নিয়মের উদ্দেশ্যে মরেছি, যেন ঈশ্বরের উদ্দেশ্যে জীবিত হই।
300214026c	খ্রীষ্টের সাথে আমি ক্রুশারোপিত হয়েছি, আমি আর জীবিত না, কিন্তু খ্রীষ্টই আমার মধ্যে জীবিত আছেন; এবং এখন আমার শরীরে যে জীবন আছে, তা আমি বিশ্বাসে, ঈশ্বরের পুত্রে বিশ্বাসেই যাপন করছি; তিনিই আমাকে ভালবাসলেন এবং আমার জন্য নিজেকে প্রদান করলেন।
3002150129	আমি ঈশ্বরের অনুগ্রহ অস্বীকার করি না; কারণ নিয়মের মাধ্যমে যদি ধার্ম্মিকতা হয়, তাহলে খ্রীষ্ট অকারণে মারা গেলেন।
3003010129	হে নির্বোধ গালাতীয়েরা, কে তোমাদেরকে মুগ্ধ করল? তোমাদেরই চোখের সামনে যীশু খ্রীষ্ট ক্রুশারোপিত বলে বর্ণিত হয়নি?
3003020152	আমি শুধু এই কথা তোমাদের কাছে জানতে চাই, তোমরা কি ব্যবস্থার কাজের জন্য পবিত্র আত্মাকে পেয়েছ? না বিশ্বাসের সুসমাচার শ্রবণের জন্য?
30030300b0	তোমরা কি এতই নির্বোধ? পবিত্র আত্মাতে শুরু করে এখন কি মাংসে শেষ করবে?
30030400a7	তোমরা এত দুঃখ কি বৃথাই ভোগ করেছ, যদি প্রকৃত পক্ষে বৃথা হয়ে থাকে?
30030501a6	অতএব, যিনি তোমাকে পবিত্র আত্মা জুগিয়ে দেন ও তোমাদের মধ্যে আশ্চর্য্য কাজ সম্পন্ন করেন, তিনি কি ব্যবস্থার কাজের জন্য তা করেন? না বিশ্বাসের সুসমাচার শ্রবণের জন্য?
30030600dd	যেমন অব্রাহাম, “ঈশ্বরে বিশ্বাস করলেন, আর সেটাই তাঁর পক্ষে ধার্ম্মিকতা বলে গণ্য হল।”
300307008d	অতএব জেনো, যারা বিশ্বাস করে, তারাই অব্রাহামের সন্তান।
30030801c9	আর বিশ্বাসের জন্য ঈশ্বর অইহূদিদেরকে ধার্মিক বলে চিহ্নিত করেন, শাস্ত্র এটা আগে দেখে অব্রাহামের কাছে আগেই সুসমাচার প্রচার করেছিল, যথা, “তোমার থেকে সমস্ত জাতি আশীর্বাদ পাবে।”
30030900b5	অতএব যারা বিশ্বাস করে, তারা বিশ্বাসী অব্রাহামের সাথে আশীর্বাদ পায়।
30030a01b7	বাস্তবিক যারা নিয়মের ক্রিয়া অনুযায়ী চলে, তারা সবাই অভিশাপের অধীন, কারণ লেখা আছে, “যে কেউ নিয়মগ্রন্থে লেখা সব কথা পালন করবার জন্য তাতে স্থির না থাকে, সে শাপগ্রস্ত।”
30030b01c5	কিন্তু মশির নিয়ম পালনের মাধ্যমে কেউই ঈশ্বরের সামনে ধার্মিক বলে চিহ্নিত হয় না, এটা সুস্পষ্ট, পবিত্র শাস্ত্রে লেখা আছে “কারণ ধার্মিক ব্যক্তি বিশ্বাসের জন্য বেঁচে থাকবে।”
30030c00cd	কিন্তু নিয়ম বিশ্বাসমূলক না, বরং “যে কেউ এই সকল পালন করে, সে তাতে বেঁচে থাকবে।”
30030d01d3	খ্রীষ্টই মূল্য দিয়ে আমাদেরকে নিয়মের অভিশাপ থেকে মুক্ত করেছেন, কারণ তিনি আমাদের জন্যে শাপস্বরূপ হলেন; যেমন পবিত্র শাস্ত্রে লেখা আছে, “যাকে ক্রুশে টাঙ্গান যায়, সে শাপগ্রস্ত।”
30030e013f	যেন অব্রাহামের পাওয়া আশীর্বাদ খ্রীষ্ট যীশুতে অইহূদিদের প্রতি আসে, আমরা যেন বিশ্বাসের মাধ্যমে প্রতিজ্ঞার আত্মাকে পাই।
30030f015d	হে ভাইয়েরা, আমি মানুষের মত বলছি। মানুষের নিয়মপত্র হলেও তা যখন প্রতিষ্ঠিত হয়, তখন কেউ তা বিফল করে না, কিংবা তাতে নতুন কথা যোগ করে না।
30031001a2	ভাল, অব্রাহামের প্রতি ও তাঁর বংশের প্রতি প্রতিজ্ঞা সকল বলা হয়েছিল। তিনি বহুবচনে আর বংশ সবের প্রতি না বলে, একবচনে বলেন, “আর তোমার বংশের প্রতি,” সেই বংশ খ্রীষ্ট।
300311019a	এখন আমি এই বলি, যে চুক্তি ঈশ্বরের থেকে আগেই প্রতিষ্ঠিত হয়েছিল, চারশো ত্রিশ বছর পরে আসা নিয়ম সেই প্রতিজ্ঞাকে উঠিয়ে দিতে পারে না, যা প্রতিজ্ঞাকে বিফল করবে।
300312015d	কারণ উত্তরাধিকার যদি নিয়মমূলক হয়, তবে আর প্রতিজ্ঞামূলক হতে পারে না; কিন্তু অব্রাহামকে ঈশ্বর প্রতিজ্ঞার মাধ্যমেই অনুগ্রহ করেছেন।
30031301b2	তবে নিয়ম কি? অপরাধের কারণ তা যোগ করা হয়েছিল, যে পর্যন্ত না সেই বংশ আসে, যাঁর কাছে প্রতিজ্ঞা করা হয়েছিল এবং সেই আদেশ দূতদের মাধ্যমে একজন মধ্যস্থের হাতে বিধিবদ্ধ হল।
30031400a8	এখন এক মধ্যস্থকারী শুধু এক জনের মধ্যস্থ হয় না, কিন্তু ঈশ্বর এক।
