0100000012	Англунимо
2c160a00d7	Мэ пхучлём: «Рае, со манди тэ терэ?» Рай пхэнда: «Вщи тай джя дэ Дамаско. Котэ тути пхэнэна вса, со тути трэбуни тэ терэ».
2c160b00b9	Кодэла, ко сле манца, пала васт андэ ман дэ Дамаско, колэсти со мэ корылём душлимахкэрэ пхабаримастар.
2c160c00c1	Котэ мандэ авиля мануш пав лавэ Анания, саво джювда пав Упхэнима и сля дэ патива всавэрэ катутнэ иудеендэ.
2c160d00fe	Вов поджиля мандэ, ачиля пашэ тай пхэнда: «Пхрал Савло! Мэк оттерэнпэ тирэ якха!» Дэ кодыя вряма мэ ачилём тэ дыкхэ и удыкхлём кадэлэ манушэ.
2c160e00ef	Вов пхэнда: «Дэвэл амарэ дадэнгоро вытидэня тут, соб ту тэ уджянэх Лэхкири воля, тэ удыкхэх Чячюнэ и тэ шунэх лава Лэхкэрэ уштэндар.
2c160f0085	Ту авэґа важ всавэрэн манушэн допхэнимари пала кода, со дыкхлян и шундан.
2c16100090	Со ту цырдэх вряма? Вщи, прыакхар Лэхкоро Лав, болдэпэ и схалав пэхкоро бэзимо».
2c16110090	Тунчи мэ рисилём дэ Ерусалимо. И кала мэ манглёмпэ дэ храмо, манди сля дыкхлимо.
2c161200d1	Мэ удыкхлём Рае, Саво пхэнда манди: «Сиго выджя Ерусалимостар, колэсти со катэ на прылэна тиро допхэнимо пала Ман».
2c161300c6	Мэ пхэндом: «Рае! Кадэла мануша джянэн, со мэ чувавас дэ барунэ и маравас дэ синагоги кодэлэн, ко патян дэ Тут.
2c16140106	Кала чюлиля рат Стефаностар, саво сля Тиро допхэнимари, мэ ачявас котэ и подавас ґласо пала кодэлэн, ко умарэнас лэ, и дыкхлём пала лэнгири їда».
2c1615008b	Тунчи Рай пхэнда манди: «Джя! Мэ бичалав тут народонэндэ, савэ джювэн дурал».
2c161600b9	Ды кадэлэн лавэн мануша шунэнас Павло, нэ катэ ачиле тэ типисявэ: — Мэк вов мэрэл! Лэсти нащи тэ джювэ!
2c16170085	Вонэ типисиле тай розчинэнас пэхкири їда и чувэнас прахо пхуякоро упрал.
2c16180139	Тунчи пханглякоро пхурэдэр прыпхэнда тэ улиджя Павло дэ халавдэнгоро цэр. Вов прыпхэнда тэ марэ лэ чукненца тай тэ допхуче, соб тэ уджянэ, сости мануша кади мижон пэ лэстэ.
2c16190127	Нэ кала Павло прыпхангле, соб тэ марэ, вов пхэнда шэлякэрэ пхурэдэрэсти, саво ачелас пашэ: — Чи мишто авэла тэ марэ римсконэ манушэ, ай тэ на пролиджя пав лэ сындо?
2c161a00d2	Кала шэлякоро пхурэдэр шунда када, вов джиля тай пхэнда пханглякэрэ пхурэдэрэсти: — Со ту терэх? Када римско мануш!
2c161b00a7	Пханглякоро пхурэдэр выджиля Павлостэ тай пхучля: — Ту римско мануш? — Нэ, — пхэнда кодэва.
2c161c00f5	Тунчи пхурэдэр пхэнда: — Мэ потиндом бут ловэ пала кода, соб тэ аче римсконэ манушэґа. — Ай мэ бэнимастар римско мануш, — пхэнда Павло.
2c161d0107	Кодэла, савэ камле тэ допхуче лэ, екхатар отджиле лэстар. Кала пхурэдэр уджянгля, со пхангля ланчукоґа римсконэ манушэ, вов фартэ пэрэдаравдапэ.
2c161e0164	Пэ авэр диво пхурэдэр закамля тэ уджянэ ды лавэ, дэ со иудея дошарэн Павло. Тунчи розпхангля лэ и прыпхэнда, соб тэ стидэнпэ англунэ рашая и всаворо Синедрионо. Тунчи анда Павло и тховда англа лэн.
2c170100f9	Павло вхаляпэ якхэнца пэ кодэлэн, ко сля дэ Синедрионо, тай пхэнда: — Пхралалэ! Ды авдивутно диво мэ всавэрэ їлэґа теравас бути Дэвлэсти.
2c1702009e	Катэ англуно рашай Анания прыпхэнда кодэлэнди, ко ачелас пашэ, тэ марэ Павло пав уштэн.
2c17030128	Тунчи Павло пхэнда: — Дэвэл тут марэла, мануш домуенгоро! Ту бэшэх катэ, соб тэ сундисарэ ман пав Упхэнима. А еджино пэрэхукэх Упхэнимо, кала прыпхэнэх ман тэ марэ!
2c1704008b	Кодэла, савэ аченас паша Павло, пхэнда лэсти: — Сости ту кошэх англунэ рашае?
2c170500fb	Павло пхэнда: — Пхралалэ, мэ на джянавас, со вов англуно рашай. Колэсти со искриисардо: «На дэдумэ бибахт пала пхурэдэрэ тирэ народостар».
2c17060199	Павло джянгля, со дэ Синедрионо екх лэндар сле саддукея, ай авэр — фарисея. Колэсти вов зоралэ ґласоґа пхэнда: — Пхралалэ, мэ фарисеи, чяво фарисеехкоро. Ман сундисарэн пала кода, со мандэ исин надия пэ отджюндивимо мулэндар.
2c170700be	Кала вов када пхэнда, машкар фарисея тай саддукея ваздэняпэ баро гвалто, тай всавэрэ розджилепэ дэ дума.
2c170800b4	Саддукея пхэнэн, со нэнай ни отджюндивимо, ни ангелонэн, ни фано, нэ фарисея патян, со када вса исин.
2c17090136	Ваздэняпэ баро типимо, койсавэ сиклимаря пав Упхэнима фарисеендар вщиле тай пхэндэ: — Амэ на аракхах дэ кадэлэ манушэ нисави дош. Со, кала лэсти дэдумэлас фано чи ангело?
2c170a0146	Гвалто фартэ розпхабиляпэ, и пханглякоро пхурэдэр пэрэдаравдапэ, со Павло розчинэна поепаш. Вов прыпхэнда халавдэнди тэ залэ лэ котарь зораґа тай тэ отлиджя дэ халавдэнгоро цэр.
2c170b00e5	Пэ авэр рят англа Павло ачиля Рай тай пхэнда: — На дара! Сар ту допхэнэґас пала Ман дэ Ерусалимо, кади авэґа тэ допхэнэ дэ Римо.
2c170c00b3	Дэнзор койсавэ иудея стидэнепэ тай лиле солах нисо тэ на хан и тэ на пэн ды колэ, сар умарэна Павло.
2c170d0047	Кади здэдуманепэ пашэ саранда манушэн.
2c170e00db	Вонэ джиле англунэ рашаендэ тай пхурэдэрэндэ и пхэндэ: — Амэ солахане нисо тэ на ха и тэ на пэ ды колэ, сар умараґа Павло.
2c170f0156	Кана тумэ тай Синедрионо помангэн пханглякэрэ пхурэдэрэ тэ анэ лэ тумэндэ, соб пашэ тэ роздыкхэ кадэва рындо. Ай амэ стидаґапэ тай умараґа лэ инте ды колэ, сар вов доджяла кадэлэ тханэстэ.
2c171000cf	Пала лэнгири дума уджянгля Павлохкиря пхэнякоро чяво. Вов джиля дэ халавдэнгоро цэр тай розпхэнда када Павлости.
2c17110101	Тунчи Павло акхарда екхэ шэлякэрэ пхурэдэрэндар и пхэнда лэсти: — Отлиджян кадэлэ чявэ пханглякэрэ пхурэдэрэстэ, лэстэ исин койсо тэ пхэнэ.
2c17120149	Шэлякоро пхурэдэр отлиджялда чявэ пханглякэрэ пхурэдэрэстэ тай пхэнда: — Павло, савэ амэ схутилдэ, акхарда ман тай помангля тэ анэ тутэ кадэлэ чявэ. Лэстэ исин койсо тути тэ пхэнэ.
2c171300c1	Пханглякоро пхурэдэр лиля чявэ пала вастэ, отлиджялда дэ рига тай пхучля: — Со ту камэх манди тэ розпхэнэ?
2c1714010f	Чяво пхэнда: — Иудея прылиле дэ гындо тэ мангэ тут, соб ту тэ анэх атася Павло дэ Синедрионо. Вонэ пхэнэн, со камэн будэр тэ уджянэ пала лэхкоро рындо.
2c17150165	Нэ ту на патя кадэлэсти, колэсти со пэ дром чёрял дожутярэн лэ саранда манушэн. Вонэ солахане тэ на ха тай тэ на пэ ды колэ, сар умарэна Павло. Важ када лэндэ вса исин. Вонэ дожутярэн кацик лав тутар.
2c171600c4	Пханглякоро пхурэдэр отмукля чявэ тай прыпхэнда лэсти: — Никасти на розпхэн пала кода, со ту пхэндан манди.
2c17170184	Тунчи пханглякоро пхурэдэр акхарда дон шэлякэрэн пхурэдэрэн и прыпхэнда лэнди: — Стидэн дуй шэла халавдэн, эфтадэша анклистарен тай дуй шэла аврэн халавдэн, соб вонэ тэ джян дэ Кесария, сар авэла еня чясо рятяґа.
2c171800b0	Дэн Павлости грастэ тай дыкхэн, соб лэґа тэ на авэл бибахт. И отлиджян лэ барэдэрэстэ Феликсостэ.
2c1719003d	Тунчи вов искриисарда кацаво лил:
2c171a0077	«Клавдии Лисии Пативалэ барэдэрэсти Феликсости: Тэ авэх бахтало!
2c171b0108	Кадэлэ манушэ схутилдэ иудея тай камле тэ умарэ. Нэ мэ поджилём халавдэнца и выхутилдом лэ лэнгэрэ вастэндар, сар уджянглём, со вов римско мануш.
2c171c0091	Мэ закамлём тэ уджянэ, дэ со вонэ дошарэн лэ, тай андом лэ дэ лэнгоро Синедрионо.
2c171d00b6	Мэ полилём, со вонэ дошарэн лэ важ лэнгоро Упхэнимо. И со лэ ни пала со тэ мулярэ чи тэ чувэ дэ барунэ.
2c171e00cd	Мэ уджянглём, со лэ камэн чёрял тэ умарэ, и екхатар отбичалдом лэ тутэ. И прыпхэндом, соб лэ тэ дошарэн англа тут».
2c171f0092	Халавдэ тердэ, сар вов прыпхэнда, лиле Павло тай лиджялдэ рятяґа дэ Антипатрисо.
2c172000aa	Пэ авэр диво анклистаря лагле Павлоґа дурэдэр, ай кодэла, ко джянас пэза, рисиле дэ Ерусалимо.
2c172100a0	Кала анклистаря авиле дэ Кесария, вонэ отдэне барэдэрэсти лил тай пэрэдэне лэсти Павло.
2c172200ae	Барэдэр продинда лил тай пхучля Павло, савя вов пхуятар. Кала вов уджянгля, со Павло Киликиятар,
2c17230154	тунчи пхэнда: — Мэ вышунава тут, кала авэна кодэла, ко дошарэнас тут, — тай прыпхэнда, соб халавдэ тэ аракхэн тхан Павлости дэ райкано цэр, саво терда тхагари Иродо, тай тэ рицарэн лэ котэ.
2c18010152	Проджиля панч дивэ, и англуно рашай Анания койсавэ пхурэдэрэнца тай манушэґа пав лавэ Тертулло, саво розлэласпэ дэ римско упхэнима, авиля дэ Кесария, соб тэ дошарэ Павло англа барэдэрэ.
2c18020051	Кала Павло андэ, Тертулло ачиля тэ дошарэ лэ.
2c180300dc	— Пативало Феликсо! Наис тути пала пачя, сави ту дэх амэнди и пала кода, со тердан важ амарэн манушэн пэхкиря баря годяґа.
2c180400b1	Соб бут тэ на зарицарах тут, мэ мангав тэ дэх амэнди набут вряма и тэ вышунэх амэн пав тирэ мищима.
2c180500e7	Амэ бинах кадэлэ мануш бидаґа дэ амари пачя. Вов подваздэл иудеен пав всавири люмля тай исин пхурэдэр дэ назариенгоро стидэмо.
2c18060058	Вов камля тэ маґрисарэ храмо, нэ амэ схутилдэ лэ.
2c18080080	Кала ту допхучеґа лэ, ту еджино уджянэґа пала вса, дэ со амэ лэ дошарах.
2c18090070	Иудея ж подрицардэ лэ тай пхэндэ, со лэхкэрэ лава исин чячимо.
2c180a0149	Барэдэр сикавда Павлости, соб вов тэ пхэнэл. И Павло пхэнда: — Мэ джянав, со ту бут бэрша сундисарэх амаро народо. Колэсти лошало тэ пхэнэ лав англа тут, соб тэ сикавэ пэхкоро чячимо.
2c180b00a3	Тути напхаро авэла тэ уджянэ, со пашэ дэшудуй дивэ павпалэ мэ авилём тэ тэлё дэ Ерусалимо.
2c180c00cd	Кодэла, савэ дошарэн ман, на дыкхле, соб мэ хаваспэ каґась дэ храмо чи подваздавас манушэн дэ синагоги чи дэ форо.
2c180d006a	Лэндэ на выджяла тэ допхэнэ кода, пала со вонэ дошарэн ман.
2c180e0135	Мэ прыджянав, со джяв чячюнэ Дромэґа, саво вонэ акхарэн хохавимаґа. Мэ тэлював Дэвлэсти амарэ дадэнгоро и патяв всавэрэсти, со искриисардо дэ Упхэнима тай дэ Англунарен.
2c180f00e6	Мандэ кади ж исин надия пэ Дэвлэ, сар и кадэлэ манушэндэ. Надия пэ кода, со отджювдёна мулэндар сар патякунэ, кади ж напатякунэ.
2c181000b4	Колэсти прытховав всавири зор, соб муро їло всавири вряма тэ авэл жужо англа Дэвлэ и англа манушэн.
2c181100dd	Набут бэршэн мэ на слём дэ Ерусалимо, ай тунчи авилём пордэ, соб тэ пэрэдэ мурэ народости даро важ чёрорэн и тэ анэ жэртвы.
2c181200b8	Вонэ аракхле ман дэ храмо, кала мэ жужараваспэ. Нэ котэ на сля нисави гроза манушэн тай нисаво гвалто.
2c181300dc	Тунчи авиле койсавэ иудея Цыкня Азиятар. Акэ лэнди трэбуни сля тэ авэ катэ, соб тэ дошарэ ман, кала лэндэ сось исин пэ ман.
2c181400b1	Чи мэк кодэла, ко исин катэ, пхэнэна, сави дош вонэ аракхле дэ ман, кала ман допхучелас Синедрионо.
2c181500ba	Чи мэ дошало дэ кодэлэ, со типисилём: «Ман сундисарэн пала кода, со мэ патяв дэ отджюндивимо мулэндар»?
2c18160115	Феликсо, саво мишто джянэлас пала Дром, оттховда кадэва рындо. — Мэ пхэнава лав пав тумаро рындо, кала авэла пханглякоро пхурэдэр Лисии, — дэдуманя вов.
2c18170123	Вов прыпхэнда шэлякэрэ пхурэдэрэсти, соб халавдэ тэ дыкхэн пала Павло, нэ и тэ дэн лэсти набут воля и тэ на запхэнэн лэхкэрэ амалэнди тэ лашарэ лэхкэрэ рындуря.
2c1818012f	Проджиля набут дивэ, тай Феликсо авиля пэхкиря ромняґа, сави сля иудеянка пав лавэ Друзилла, и бичалда пала Павло, соб тэ пошунэ пала лэхкоро патявимо дэ Исусо Христо.
2c18190189	Кала Павло ачиля тэ дэдумэ пала джювимо пав чячима, пала кода, со трэбуни мишто тэ дыкхэ пала пэ и пала сындо, саво авэла, Феликсо пэрэдаравдапэ тай пхэнда: — Хутилэла пэ авдивэ, джя! Сар трэбуни авэла, мэ тут акхарава.
2c181a00cf	Лэстэ кади ж сля надия, со Павло дэла лэсти ловэ. Колэсти бут вов молы прыпхэнэлас тэ анэ Павло тай дэдумэлас лэґа.
2c181b00e6	Проджиля дуй бэрша, тай пэ Феликсохкоро тхан ачиля Порции Фесто. Нэ Феликсо ачявда Павло дэ барунэ, соб тэ терэ мишто иудеенди.
2c1901009f	И кади, трин дивэнди Фесто авиля дэ кодыя пхув. Тунчи лиля дром Кесариятар дэ Ерусалимо,
2c19020076	тев англунэ рашая тай иудеенгэрэ пхурэдэра сикавдэ дош пэ Павло.
2c19030110	Вонэ фартэ мангле Фесто, соб вов тэ тховэл пэ лэн патив тай тэ пэрэлиджял Павло дэ Ерусалимо. Еджинэ вонэ камле тэ стидэпэ тай тэ умарэ Павло пав дром.
2c19040087	Фесто пхэнда: — Пала Павло дыкхэн халавдэ дэ Кесария. И мэ сиго котэ авава.
2c1905009a	Мэк тумарэ пхурэдэра джяна манца и сикавэна дош пэ лэстэ, кала вов терда сось налачё.
2c190600fe	Фесто сля лэнца пашэ охто чи дэш дивэ, ай тунчи рисиля дэ Кесария. Пэ авэр диво вов бэшля пэ сундисарехкоро тхан тай прыпхэнда тэ анэн Павло.
2c190700f0	Кала Павло авиля, иудея, савэ авиле Ерусалимостар, ачиле тэ дошарэ лэ дэ бутэн пхарэн рындонэн, нэ тэ допхэнэ када лэндэ на выджялас.
2c190800f7	Павло ж камля тэ сикавэ пэхкоро чячимо тай пхэнда: — Мэ на пэрэхуклём иудеенгоро Упхэнимо, и нисо на тердом ни храмости, ни императости.
2c190900e0	Фесто камля тэ дэ патив иудеенди, колэсти пхучля Павлостар: — Камэх тэ джя дэ Ерусалимо, соб котэ тут тэ сундисарэн пры ман?
2c190a0101	Павло пхэнда: — Мэ ачяв англа сындо императохкоро, и лэґа трэбуни тэ авав сундисардо. Мэ на тердом иудеенди нисо налачё, сар ту еджино джянэх.
2c190b010c	Кала мэ прахари и затердом мэримо, мэк авэл кади. Нэ кала иудея дошарэн ман ивья, никастэ нэнай зор тэ выдэ ман лэнди. Мэк ман сундисарэл императоро!
2c190c00b6	Фесто дэдуманя пэхкэрэ стидэмаґа тай пхэнда: — Кала мангэх сындо императохкоро, джяґа императостэ.
2c190d00c6	Проджиля набут дивэ, тай дэ Кесария тэ ваздэ патив Фестости авиле тхагари Агриппа тай лэхкири ромни Берника.
2c190e00f4	Вонэ сле котэ койсавэ дивэ, тай Фесто дэдумэлас тхагареґа пала Павлохкоро рындо. — Катэ исин екх мануш, савэ Феликсо ачявда дэ барунэ.
2c190f00c4	Кала мэ слём дэ Ерусалимо, иудеенгэрэ рашая тай пхурэдэра сикавдэ пэ лэстэ дош. Вонэ мангле тэ сундисарэ лэ.
2c1910013b	Мэ пхэндом лэнди, со римсконэ манушэндэ на прылито тэ отдэ манушэ дэ вастэн кодэлэнди, ко лэ дошарэн, кала вов майанглал на дыкхэлапэ лэнца тай на допхэнэла, со вов надошало.
2c191100d1	Вонэ авиле манца кордэ, и мэ пэ авэр диво бэшлём пэ сундисарехкоро тхан тай прыпхэндом тэ анэн кордэ кадэлэ манушэ.
2c191200cf	Вонэ ачиле паша лэ, нэ нисо на тердэ, соб тэ долиджя лэхкири дош хоть дэ екх налачё рындо, пала саво мэ думисаравас.
2c191300ee	Нэ машкар лэн сля гвалто пала кода, сар трэбуни тэ тэлё Дэвлэсти, тай пала Исусо, Саво муля, нэ пала Савэ Павло пхэнда, со Вов джювдо.
2c191400ed	Мэ на джянглём, сар манди тэ роздыкхэ кадэва рындо. Тай пхучлём Павлостар, чи камэл вов тэ джя дэ Ерусалимо тай тэ прылэ котэ сындо.
2c191500f7	Павло закамля, соб лэхкоро рындо тэ роздыкхэл императоро. И мэ прыпхэндом тэ рицарэ лэ дэ барунэ ды колэ, сар отбичалава лэ императостэ.
2c191600ab	Агриппа пхэнда Фестости: — И мэ камав тэ пошунэ кадэлэ манушэ. — Атася шунэґа, — пхэнда Фесто.
2c1917014a	Пэ авэр диво Агриппа тай Берника барэ пхутимаґа заджиле дэ цэра сындохкири. Лэнца сле пханглякэрэ пхурэдэра тай пативалэ мануша кодэлэ форостар. Фесто прыпхэнда, соб тэ анэн Павло.
2c19180158	Тунчи Фесто пхэнда: — Тхагари Агриппа и всавэрэ, ко катэ исин! Тумэ дыкхэн манушэ, пала савэ гроза иудеен анэнас дош манди дэ Ерусалимо тай катэ дэ Кесария и типисиле, со лэсти нащи тэ джювэ.
2c19190106	Мэ ж на аракхав дэ лэ нисави дош, пала сави лэ трэбуни тэ умарэ. Нэ сар вов мангля императохкоро сындо, мэ тховдом дэ гындо тэ отбичалэ лэ дэ Римо.
2c191a0175	Нэ мандэ нэнай нисо пэ кадэлэ манушэ, соб тэ искриисарав раести. Колэсти мэ вылиджялдом лэ тумэндэ, и англал всавэрэстар тутэ, тхагари Агриппа, соб ту тэ допхучех лэ тай мэ тэ джянав, со манди тэ искриисарэ.
2c191b009c	Мэ думисарав, со на пав чячима тэ бичалэ барунаре и тэ на пхэнэ, дэ со исин лэхкири дош.
2c1a01009d	Агриппа пхэнда Павлости: — Мишто, дэдумэ пала пэ. Павло подлиля васт и ачиля тэ дэдумэ:
2c1a0200a4	— Тхагари Агриппа! Мэ бахтало тэ допхэнэ англа тут пэхкоро чячимо, кала ман дошарэн иудея.
2c1a0300ff	Ту ж мишто джянэх, со прылито иудеендэ тай кода, пала со вонэ ханпэ екх екхэґа. Колэсти фартэ мангав тут, соб ту тэ на холявэх, нэ тэ шунэх ман.
2c1a04009c	Иудея мишто джянэн, сар мэ джювдом машкар мурэн манушэн дэ Ерусалимо тэрнэ бэршэндар.
2c1a050114	Вонэ дэмут джянэн ман. И кала закамэна, допхэнэна, со мэ джювдом сар фарисеи тай слём стидэмастар, тев всавири зор прытховэнас, соб тэ терэ пав Упхэнима.
2c1a06009e	Авдивэ мэ ачяв англа сындо пала надия пэ Дэвлэхкоро Лав, саво Дэвэл дэня амарэ дадэнди.
2c1a07011b	Дэшудуй чянга амарэ народостар диво тай рят терэн бути Дэвлэсти тай дожутярэн, кала заджяла дэ зор кадэва Лав. Пала кадыя надия, тхагари, ман дошарэн иудея.
2c1a080057	Сости тумэ на патян, со Дэвэл отджювдярэл мулэн?
2c1a09009a	Мэ кади ж на прылавас Лав Исусохкоро Назаретостар тай мараваспэ кадэлэ сикляримаґа.
2c1a0a0124	Када мэ теравас дэ Ерусалимо, кала манди дэне лачимо англунэ рашая. Мэ бичалавас дэ барунэ бутэн свэнтонэн и, кала лэн умарэнас, подавас пала кода пэхкоро ґласо.
2c1a0b00fe	Мэ бут маравас лэн дэ всавэрэ синагоги, соб вонэ тэ отпхэнэнпэ пэхкэрэ патявимастар. И кади мижылём пэ лэн, со традавас лэн и дэ авэр форуря.
2c1a0c00a3	Екхвар мэ ладавас дэ Дамаско пав кадэва рындо зораґа тай прыпхэнимаґа англунэ рашаендар.
2c1a0d013c	Тай пав дром пордэ, тхагари, мэ удыкхлём дэ епашдиво душлимо болыбнастар, саво пхаболас зоралэдэр кхамэстар. И дэ кодэва душлимо попэлём и мэ, и кодэла мануша, савэ сле манца.
2c1a0e0115	Амэ всавэрэ тэлэдэне пэ пхув, тай мэ ушундом ґласо, саво дэдумэлас манди пав еврейско чиб: «Савло, Савло, сости ту традэх Ман? Пхаро тути пэ Ман тэ выджя».
2c1a0f007b	Мэ пхучлём: «Ко Ту, Рае?» — «Мэ Исусо, Савэ ту традэх, — пхэнда Рай. —
2c1a1000ff	Ваздэпэ, вщи пэ пурэн тирэн. Мэ авилём, соб тэ терэ тут Мурэ бутярнэґа и допхэнимареґа пала кода, со ту дыкхлян и со Мэ терава англа тирэ якха.
2c1a110088	Мэ фирисарава тут тирэ манушэндар тай наиудеендар, савэндэ Мэ тут бичалав,
2c1a1201ac	соб тэ оттерэ лэнди якха и тэ рисарэ лэн калимастар душлимастэ, и сатанастар тай лэхкиря зоратар тэ рисарэ лэн Дэвлэстэ. Соб лэнгоро бэзимо тэ авэл отмукло и соб вонэ кади ж тэ авэн машкар кодэлэн, ка Мэ свэнтисардом патявимаґа дэ Ман».
2c1a130079	Тхагари Агриппа, манди нащи сля тэ на кандэ болыбнахкэрэ дыкхлима.
2c1a14019b	Мэ пхэнавас лав майанглал кодэлэнди, ко сля дэ Дамаско, тунчи дэ Ерусалимо тай пав всавири Иудея. Ай тунчи наиудеенди, тэ ачявэн вонэ бэзимо тай тэ обрисявэн Дэвлэстэ, тэ допхэнэн пэхкэрэ рындонэнца, со чячимаґа ачявдэ бэзимо.
2c1a150063	Пала када иудея схутилдэ ман дэ храмо и камле тэ умарэ.
2c1a160113	Нэ Дэвэл ды авдивэ дэл зор манди. Тай акэ, мэ ачявэ катэ тай допхэнав цыкнэнди и барэнди. Мэ на прытховав нисо кодэлэстэ, со пхэндэ Моисеи тай англунаря.
2c1a170111	Нэ пхэнав, со Христости сля трэбуни тэ пэрэлиджя кадыя грыжа, пэрвонэсти тэ отджювдё мулэндар и тэ пхэнэ пала душлимо и амарэ манушэнди, и наиудеенди.
2c1a180108	Кала вов кади допхэнэлас пала пэ, Фесто обчинда лэхкоро лав. — Ту на дэ пэхкиря годя, Павло, — затиписиля вов, — баро їрвалимо терэл тут динилэґа!
2c1a1900a9	Павло пхэнда: — Пативало Фесто, мэ на динило. И кода, со мэ пхэнав, исин чячимо тай годявэримо.
2c1a1a00f7	Тхагари, англа савэ мэ пхэнав бидаракоро, джянэл пала када. Нисо кадэлэстар на гаравдо важ лэ, колэсти со терэласпэ всавэрэндэ пэ якхэн.
2c1a1b006c	Тхагари Агриппа, ту патях англунаренди? Мэ джянав, со патях.
2c1a1c00b2	— Ту думисарэх пала кадыя скурто вряма тэ терэ кади, соб мэ тэ авав христианино? — пхэнда Агриппа.
2c1a1d0160	Павло дэдуманя: — Сави б кадыя вряма тэ на авэл, скурто чи лунго, мэ мангавпэ Дэвлэсти, соб на кацик ту, нэ и всавэрэ, ко шунэл ман авдивэ, тэ авэн кацавэ, сар мэ, кици тэ на прылэн кадэла ланчугуря.
2c1a1e008c	Тхагари вщиля тай лэґа вщиле барэдэр, Берника тай кодэла, савэ бэшэнас лэнца.
2c1a1f00c0	Вонэ выджиле тай дэдумэнас екх екхэсти: — Кадэва мануш на терда нисо, соб тэ умарэ лэ чи тэ чувэ дэ барунэ.
2c1a2000ad	— Лэ б фэдэр тэ отмукэ пэ воля, нэ вов помангля сындо императохкоро, — пхэнда Агриппа Фестости.
2c1b010114	Кала сля пхэндо, со амэ ладах дэ Италия, Павло и аврэн барунарен пэрэдэне шэлякэрэ пхурэдэрэсти пав лавэ Юлии, императохкэрэ халавдэнгэрэ стидэмастар.
2c1b020127	Амэ бэшле пэ адрамитско корабли, савэсти трэбуни сля тэ заджя дэ портуря пав Цыкни Азия, тай лагле. Амэнца сля македонянино Аристархо, саво бариля дэ Фессалоника.
2c1b030115	Пэ авэр диво амэ авиле дэ Сидоно. Юлии сикавда дорымо Павлостэ тай отмукля лэ, соб вов тэ спхирэл пэхкэрэ амалэндэ и соб вонэ тэ лашарэн лэхкэрэ рындуря.
2c1b040100	Тунчи амэ упалэ выджиле дэ море тай проджиле Кипро кодэла ригатар, тев на пхурдэлас балвал. А кала на кади, балвал бы пхурдэлас ворта пэ амэн.
2c1b0500a4	Амэ пэрэлагле море паша пхувен дэ Киликия тай Памфилия и ачиле дэ форо Мира, саво дэ Ликия.
2c1b0600bd	Котэ шэлякоро пхурэдэр аракхля корабли Александриятар, саво джялас дэ Италия, тай тховда амэн пэ лэстэ.
2c1b070172	Бут дивэн амэ полокхэ ладаґас англал. Сля фартэ пхаро тэ ладэ, нэ амэ авиле дэ Книдо. Важ кода со балвал на дэлас амэнди тэ ладэ, амэ подлагле Критостэ кодэла ригатар, тев на пхурдэлас балвал, пашэ Салмони.
2c1b0800d3	Амэнди сля фартэ пхаро тэ ладэ паша берего, нэ амэ авиле дэ тхан, саво акхарэлпэ Лаче Пристани, надур форостар Ласея.
2c1b0900f7	Амэ хасардэ бут вряма и нащи сля тэ ладэ пав пане дурэдэр, соб тэ на хасявэ, колэсти со проджиля иудеенгоро посто. Тунчи Павло подпхэнда:
2c1b0a00c1	— Мэ дыкхав, со тэ ладэ дурэдэр авэла фартэ пхаро. И на кицик мищимо пэ корабли хасявэла, нэ хасяваґа и амэ.
2c1b0b00b9	Нэ шэлякоро пхурэдэр на кандэня Павло, ай кандэня кодэлэ, ко лиджялас корабли тай кораблехкэрэ хулае.
2c1b0c019b	Ай сар дэ кодэва форо нащи сля тэ пэрэмарэ ївэнд, бут манушэн прылиле дэ гындо, со трэбуни тэ ладэ котарь и тэ авэ дэ Финиксо, тхан пэ Крито, тев заджянас бут корабли, и саво сля оттердо пэ юго тай северо-западо, соб тэ ачепэ котэ.
2c1b0d00ff	Пхурдэня южно балвал тай бутярнэ кораблестар прылиле дэ гындо, со када лэнди трэбуни. Тунчи ваздэне якори тай лагле паша Критохкоро берего.
2c1b0e00a7	Проджиля набут вряма тай пхурдэня бари северно-восточно балвал, сави акхарэлпэ Эвракилоно.
2c1b0f0160	Амэндэ на сля зора тэ ладэ дэ кодыя риг, тев пхурдэлас балвал, колэсти балвал порисарда корабли тай ачиля тэ традэ лэ. Тунчи амэ отдэнепэ кодэлэсти, со авэла, тай балвал традэня корабли пав пане.
2c1b1000b2	Амэ подлагле островостэ, саво акхардапэ Кавда. Котэ амэндэ баря зораґа выджиля тэ фирисарэ лодка.
2c1b110159	Кала ла подлиле пэ корабли, бутярнэ змукле доря кораблестар тай обпхангле лэ. Вонэ дарэне тэ заджя дэ Сирто, тев набут пани, колэсти обмукле парусо тай балвал дурэдэр лиджялас амэн пав пане.
2c1b1200ae	Бари балвал кади чувэлас корабли дэ рига, со пэ авэр диво вонэ ачиле тэ вычувэ бужэ кораблестар.
2c1b130099	Пэ трито диво вонэ пэхкэрэ вастэнца вычутэ дэ пани и вса авэр, со ачиляпэ пэ корабли.
2c1b1400c1	Койсавэ дивэ на душолас ни кхам, ни чергэня, тай зорали балвал пхурдэлас. Амэ хацардэ надия, со фирисаґапэ.
