2800000016	ማቶስ እንጂለ
31031200c0	ቴሁ መሲህ ኢተት አልባዕልመስለከ ቄዕራሽመስ፥ ጎቴመስለከ ጥዕላሽመስ ሄንከ ጎሬ ጠሊላኖን ሜጡበ ሰውዩ አታልቶኖተለከ
3103130083	መን ኤንኬዕኒች በተኣ መሲህ ኢተተ ደጎኖተ መገን ዊምማን ዊመ እኮኖተ ዱአ አኣም።
31031400b2	ህካን እኮቤቺሃ ኒ ኣዜን አታ ዎልቀስ መሳን ኡጭናምለከ ሰውይናምሀኒች በትሽ ደፈፍሽ ኣሶተ አታለመኖስ መገኒሃ
31031500b0	እሲሃ አመዕናኖ ዱእ ምኒ መሲህ ኢስ አዲን ዘማኔን ጉዕማን ዘላለሚች ዘላለሚሃ ኬዕምኙ እሲሃ እሁን፤ ኣሚዕን።
310401009a	ቀርቹ ካደሞንከኤ ኡሱረኛ እኮም አን ገአንቴንተ ገአሚሃክዕኔ ሀስሰኖ ሄኡ ሄኦኖተ ኡጫንክዕኔ።
31040200ae	ኢታንለከ ገገዊንከክዕኔ አታዕሊን ጉዕመ ወክት ገዉ ሆፍሲንለከ ጎደብ ላፍማን መት-መቱ አታዕለቀሚን ሄዕዬ።
310403006e	ወገሬቲን ሜጡ እኬን መገን አያኒን ደገመኖ ሜጦመተ ጠረኝሴን አገሬ።
310404006e	አዕኑ መቶ ተብሴሃ ገአንቴንተሀንገን መቱ ጅስሙለከ መቱ አያኑ ዮኡ።
3104050058	ህትን መቱ ቀርቹ፥ መቱ አመዕነቱለከ መቱ ጠመቀሙ ዮኡ።
310406009f	ጉዕሚችን ሎረ እኮሁ፥ ጉዕማንን አአኖሁ፥ ጉዕማንን ሄአኖሁ፥ ጉዕሚንከ አነ እኮሁ መቱ መገኑ ዮኡ።
3104070076	ጠዉ እኮጎሬ መሲህ ኣሶተ ሀሾ ጌሲን መት-መትሃኔ መገን ኣስቱት ኣሰንቶኔ።
3104080090	ሁኩንን «አሌ ፉሎ ወክት ልግብ አገንቶእረ አእ ኦሮዕዮ፤ መኒሃ ሽልማት ኣሴእ» የመሞጋት።
3104090099	ህከረ ሁኩ «አሌ ፉሎ» ይታ ላገት ሄጭ ኡላችን አበ ጥዕላሸ ቤቹ ድሩ እህባች ዎሉ መ እሆተ አታለኖ?
31040a0091	ኩን ጥዕላሸ ቤቹ ድሬኢሁ ህትን ጉዕመንከ ዊመ አኦተ ሰሜች ጉዕሚችን አሌ ዋል ፉሎሁ እሶት።
31040b0110	እስን መት-መቱሰ አሳበተ፥ መት-መቱሰንገ ነብያኑተ፥ መት-መቱሰ እንጂለ ዱዱብስታእረ፥ መት-መቱሰንገ አመዕናኖ ዜማኑተ፥ መት-መቱሰንገ አስተማረተ እካገ ሽልማት ኣሴሰ።
31040c00a3	ካን አዕዮንኩ መሲህ ጅስመ እኮእ አመዕናኖ ዱእ ምኒ ነሲሃ አመዕናኑተ አመዕነት ክድማተ ቅጥ አእሃት።
31040d00ae	ህትን መገን ቤቱ ደጊን አመዕነቲን ደገመኖ ሜጦመተ ኢልን መሲህ ዊመ እኮገን ነኡሁ ዊመ መነ እንክ ነጵኖታት።
31040e00d4	ከኒች ኤተሮን መን ተንኮ ክዝቢንለከ ጣንሲን ቅጠሞ ክዝብ ትምርቲን ቦብሩለከ ዊ ሁሉ ከበሃ ካጰ ሀንበለንት መርታ ጩለገ እንካምበአ።
31040f0088	በትሽን ሀንቅ ኢታን ጠወዕነን ጉዕመ ጅስሚሃ ቡዕለ እኮ መሲህበ ጉዕመርቺን ነጵናም።
3104100159	አደዱ መኖመ ጅስሙ መቱ እሀኖሁ መሲሂንት፤ ጅስሙ ጉዕሙንኩ ሜጡ እኮሁ መኖመት ደቀንታ ቤቾኒት፤ ህካን እኮቤቺሃ መት-መቱ ጅስም ብሊቱ ኣሰሞስ ሆጉተ ብዝ አዕይ አአኖ ወክት ጅስሙ ጉዕሙንኩ ነጰኖ፤ ገውስ ኢታን ነሰኖ።
310411009d	ከኒች ኤተሮን ሰውቱሰ ተሰ እኮ አይሁደ እክበ መንገ ሄኦኖቼ ይ ቀርች ሱዕሚን ጠረኝሽ ኩላንክዕኔ፤
31041200b3	እሰ ቀልቡ ቱንስዮኡ፤ ህትን ቀልብ ዱድማች ኬዕዮሀኒንለከ ኤንኬዕኑ ሆግሰ መሳን መገኑ ኣሰኖ ሄኢች አደ እኮኡ።
31041300a3	ሙልት ሰውቱሰ በዕዮቤቺሃ ንጃስ እኮ ጠወ ጉዕመንከ አኢሃ ገዉሰ ሙልሰኖ ማልሰ ሄዕላቻተ ህግስ ኣቶኡ።
3104140050	አዕኑ እኮጎሬ መሲህ ደጌንታሁ ህትናሞ ዎቄንበአ።
310415009f	ሀንቅንከ እስተኔሃ ሞጮጭቴንታአ፤ ህትን እሲሃ እኬንተቤቺሃ ሀንቁንኩ ኢሳን ሄኡስ ተማርቴንታአ።
3104160095	ህካን እኮቤቺሃ ጣንስ ጩብቤቹ አዎንሰኖ ሄዕላቻን በዕዮ ዎዕናሃ ሄኤነንተ ኑባጴ ሃለት ከሜ።
3104170033	ቀልብክዕኔ ሰውቱ ሃዕሮ እሁን።
3104180077	ሀንቅ ፈይማንለከ ጠሊልማን መገን ምሳሌን ከለቀሞ ሃዕሮ ክልቀት ኦደዕዬ።
310419009d	ህካን እኮቤቺሃ ክዝብ ጠወኦኖቼ፤ ጉዕሙንኩኔ መቱ ጅስመ እንኮምቤቺሃ ገገዉንኩኔ ሀንቅ ጠወዕኖ።
31041a0083	ኡሙዕርዬ! ኡሙዕርቴንተጎሬሁ ጩብ አቶኖቼ፤ ህትን ኡሙዕርቴንተገን አሩ ኣጉንከ።
31041b003a	ህትን እልብሲሃ ሆሮን ቤቹ ኣቶኖቼ።
31041c00ad	ህትን ሞገኖሁ ከ ኤተሩ ሞጉንከ፤ ጠዉ እኮጎሬ ህከን ወጥ ኦርጨቀሞሀኒሃ ኣሶተ ገይስ አንጋን ጡመርቹ አኡን።
31041d00b1	ሆሮ አፌችክዕኔ ሂለ ላገት ፉልቱንከ፤ ጠው እኮጎሬ ሞጮጨኖሀኒሃ ተሽየኖለከ ጠረኝሲሃ ደግለለኖ ጠወ ጠወዕዬ።
31041e009e	ህትን ዎዘንቴነንተ በሬተ ዊመ እሆህዕኔተ አሌክዕኔ መተብገ ዎቀረሞ ጠሊለ መገን አያነ ሻዝሶኖቼ።
31041f00b4	ህትን ቀራርስጩ፥ ንዴት፥ ኡሙዕርት፥ ጨንጨነተ፥ ያርት፥ ቦሮዕረንሹለከ ሂሉ ጠዉ ጉዕሙንኩ ክዕኔች ካጰ ሽቁን።
31042000eb	ህትን መት-መቲሃክዕኔ ጡማኑተለከ አሙዜነንተረ፥ ጎደበ ላፋኑተለከ መረርሲጫኑተ እኬ፤ መገኑ መሲሂን አጉሮህዕኔገን ገገዊንከክዕኔ አጉዕራቀሜ።
310501004d	ኢቴኖ ኦሶገ አዕኑሁ መገኑ አዎንቴነንተረ እኬ።
31050200b9	መሲህ ኢቴኔገን መገኑ ተሽ አአኖ ጡሙ ሽቱት ዮስ ክትም አዕይ ገውስ ኒተኔሃ ህግሽ ኣሴገን አዕኑሁ እስ ኢታን ሄዕዬ።
31050300d1	ህትኔ ጠዉ መገን ኡመቲሃ ሀሲሰኖበእቤቺሃ ዝነት ህከረንገ ዎሉ ንጃስ እኮ ጠወ አኡ ህከረንገ ጎራሜቹ እሁ ፈቅ ሞጮጩሁ ሀስሰኖበአ።
31050400db	ህከን ወጥ መገኒሃ ሹኩሪ ሆንጠህሼ ቤሉ ሂለለከ ገወ ጠወ ህከረንገ ሂለ ቀልድ ጠወ ጠወኡ ሀስሰኖህዕኔበአ፤ ህትኔ ጠዉ ክዕኔሃ መከኖበአ።
31050500c3	ዝነተ ህከረንገ ጉዕመ ንጃስ አኡ ህከረንገ ሽርኬሃ ሰገድገ ዮ ጎራምመተ መሲሂንለከ መገን ዎምነቴን ቤቹ ደአኖበእገ ደጌ።
31050600a2	ከን ጠው መሳን አዘዘንታበእ መን አሌን መገን ኡሙዕርት አሜታቤቺሃ አዪሁ ተሰ ጠዊን ጣንሱንከህዕኔ።
3105070057	ህካን እኮቤቺሃ ከን አዘዘንታበእ መኒን ሜጡ እኮኖቼ፤
31050800c6	ዎዕናሃ አዕኑ ቱንስቹሃን እቅ፤ እኮጎሬ ቴሱ ቀርችረ እኬንተቤቺሃ ኑርሃን፤ ህካን እኮቤቺሃ ኑር ኣዜን ሄአኖ መኒገ ሄዕዬ።
3105090071	መሰንትስ ጡሙ ጠዉ ጉዕሙንኩ ፈይመለከ ሀንቅ ላልቹ ደገመኖሁ ኑርቺት።
31050a006b	ህካን እኮቤቺሃ ቀርቺሃ ተሽ አአኖስ ጠዉ መሃጎሬ መረመርቴን ደጌ።
31050b0089	አዕኑ ህከ ላልቹ ዮበእ ቱንስች ሆጉተ ፉሽቴን ለሊሼ ቤሉ ህከን ሆጎን ሀዕላቀንቶኖቼ።
31050c004f	ቱንስቾን ሄኣ መኑ ማጥ አታ ጠወ ጠወኡ ሙልሲሰኖ።
31050d004a	ጉዕሙርቹንኩ ኑርቤቹ ፉለኖረ በራ እክ ለለኖ።
31050e00d3	በራ እክ ለለኖ ጠዉ ጉዕሙንኩ ኑርሃን፤ ህካን እኮቤቺሃ «አት ኩ ግሳንቲሁ በቅይ! ሬሆች አደ እክ ኬእ! መሲህ ኑር ለሊሰኖሄ» የመሞኡ።
31050f008b	ቴሱ ሀት እኬን ሄኤነንተጎሬ አጥራመቴን ሰውይዬ፤ ሀይቾ መንጋት ቤሉ ገዋኖገ ሄኦኖቼ።
3105100054	ኩ ዘማኑ ሂለ እኮቤቺሃ ወክትክዕኔ ከልባን ቤሶኖቼ።
310511006b	ህካን እኮቤቺሃ ቀርች ያደት መሃጎር ሰውይዬ ቤሉ ገዋኑተ እኮኖቼ።
3105120085	ህትን ጠሊለ አያኒን ዊሜ ቤሉ ሂለ ዎቃሃ መሰኖህዕኔቤቺሃ ወይን ጠጂን ሰከርቶኖቼ።
31051300d9	ህትን መዝሙራን ገለቲን አመዕናኑት ዘመርታ ሃሊን ገገዊንከክዕኔ ጠወዕዬ፤ ገለቲንለከ መዝሙርን ዊመ ቀልቢንከክዕኔ ቀርቹ ገለትጭዬ፤
310514007c	ቀርቹሃኔ መሲህ ኢስ ሱዕሚን ጉዕመ ጠዊንከ አነ መገኑ ጉዕመ ወክት ገለትጭዬ።
3105150087	መሲህ ከበጂሃ ዮህዕኔ ዋጃቶች ኬዕዮሀኒን ገገዉንኩክዕኔ መት-መትክዕኔ ትዛዝ ቶጌ።
310516007a	ምኒ አማኖ! ቀርቾሃ ኢሲሃ አዘዘንቴነንተሀንገን ምኒክዕኔ አናኖተ አዘዘሜ፤
31051700e2	መሲህ አመዕናኖ ዱእ ምኒሃ ቡዕለ እኮገን ምኒ አኑሁ ምንስ አማተ ቡዕለሃን፤ ህትን መሲህ ጅስመ እኮ መገን አመዕናኖ ዱእ ምኒሃ ጡምሳንቹሃን።
31051800a8	አመዕናኖ ዱእ ምኑንኩ መሲህሃ አዘዘንታገን ህትን ምኒ አማኑት ምኒ አናኖተሰ ጉዕመ ጠዋንን አዘዘንቱን።
31051900a1	ምኒ አናኖ! መሲህ አመዕናኖ ዱእ ምኒ ኢቴገለከ ገዉስ ህግሽ ኣሴገን አዕኑሁ ምኒክዕኔ አማኑተ ኢትዬ፤
31051a00aa	መሲህ ህካን አዕዮሁ አመዕናኖ ዱእ ምኒ ጠሊለተ አኦተ ሀሽት፤ ነጠ አዕዮሴንኩ ላገስ መሳን ዊን ኣንሽንት።
31051b00e2	ከን ሃሌን ጡሩ ህከረንገ ሚንተ ኡሱሩ ህከረንገ ካን አጉደኖ ደገሙዕነ ጠሊለተ፥ ኩሌኖርቹ ዮበኢተለከ ምልካምተ አዕይ ገይስቤቹ ሆንጠህሰኖ።
31051c00ad	ህትን ምኒ አናከት ገይሰ ጅስመ ኢትታሀንገ ምንሰ አማኑተ ኢቱ ሀስሰኖሰ፤ ምንስ አመተ ኢተኖሁ ገዉስ ኢተኖ።
31051d00bb	ገይስ ጅስመ ግበኖሁ አዪሁ ዮበአ፤ ህከን ወጥ መሲህ መገን አመዕናኖ ዱእ ምኒ አአኖ ሃሊን ገዉስ እትሰኖ፤ አገረኖሁ።
31051e002a	ነኡ መሲህ ጅስምሃ ብልት፤
31051f00a2	«ከን መሳን መኑ አነስለከ አመስ አጉር ምንስ አማን ሜጡ እሀኖ፤ ለሙንኩሰ መቱ ጅስመ እካአ» የመሞኡ።
310520008f	ኩ ምስጥሩ ሎረሃን፤ ካን ያሚሁ መሲህተኔሃለከ መገኑ አመዕንቶ ዱእ ምኒ ምሳልተ አዕዪት።
31052100d0	ጠዉ እኮጎሬ ኩ ጠዉ ክዕኔንተ ለአኖ፤ ህካን እኮቤቺሃ ምኒ አኑ ምንስ አማተ ገይስገ አዕይ ኢቱን፤ ምኒ አመት ምንሴ አነ ኬዕምሱን።
310601007a	ኦሶ! ሀስሰኖ ጠወ እኮቤቺሃ ቀርቺን አናኖተክዕኔለከ አማኖተክዕኔ አዘዘሜ።
3106020077	«ህትን አነክለከ አመክ ኬዕምስ» የኖ ትዛዙ ተብሴ ላገት ዮስ ዎኔሃ ትዛዝ፤
3106030096	ካን አቶንትጎሬ «ጉዕሙ ጠዉንኩ ጡመ እሀኖሄ፤ ከን ኣዱንያ አሌኒ ኡሙሩክ ዱንከኖ» ይታእታን።
31060400c5	አዕኑ አናከትለከ አማኑት! ቀርቾ ኢሲን ጡመ ዎቃሃ ተማርስቴነን፥ ሸዜነንለከ ሻቄነን ነስዬሰ ቤሉ እለክዕኔ ኡሙርሲሶኖቼ።
31060500cc	አዕኑ ሮሰት! ዱንየ አል ቀርቻኑተ እኮህዕኔሀኑኡተ ዋጂንለከ ሁጢን አዘዘሜ፤ መሲህ ካደንቴነንተ ሃሊን ጡመ ቀልቢን አዘዘሜሰ።
31060600b2	አዘዘንቴነንታሁ መገን ሰውት ቀልቢች አታ መሲህ አሳበገ እኬኒት ቤሉ መነ ሙንደእስሲሃ ይቴን ለልጪሃ እሁንከ።
3106070061	መነ እሁዕነ ቀርቹ ካደንቴነንተገ አቴን ጡመ ቀልቢን ካደሜ።
3106080080	ሮስ እኮ ሰዎልድቹ ገገዉሰ አቶ ጡመ ሆጎን ቀርቺች ዋጋ ቶጋኢሃ እሁሰ ደጌነንተ።
31060900d1	ህትን ቀርቻኑት! መን ሚንተ ለዕይ ጎልበ ክዕኔለከ እሰ ቀርቹ ሰማን ሄኡስ ሰውይቴን ዋጅሲሱክዕኔ አጉርቴን ሮሳተክዕኔ ጡመ አዕዬ።
31060a003d	ቀርቾንለከ እስ ሎረ ዎልቃን ጠረኝዬ፤
31060b0091	ሻይጣን ሂለ ሆጉተ ግቦኖተ አታልቴነንተ መገኑ ኣሰኖህዕኔ በገዝ ኦዳተ ጉዕመንከ ኦደዕዬ።
31060c00d3	ኒ ኦሉ መኒን እሁዕነ ከን ኣዱንያ አሌን አታ ገሻኖኒ፥ ሹማን፥ ከን ኣዱንያ አል ዎልቃንለከ ኡላች አሌን ሄኣ ሂለ አያኒ ዎታደርኒት።
31060d00fc	ህካን እኮቤቺሃ ሂለ በር ባለጋር ዎልቀተ ፈንቀሽቶኖተ አታልቴነንተለከ ጉዕመንከስ ሹልቴን ጠረኝቴን ኡሪሃ አታልቶኖተ መገን በገዝ ኦዳተ ጉዕመንከ ቆዕርዬ!
31060e00a5	ቴሱ ሀንቅ ዝናርገ ረመዞንከክዕኔ ቆዕርቴን ወዘናን ኦደኤኖ በገዝ ኦድኖገ ፈይመ በገዝ ኦዳተ ኦደኤን፥
31060f007f	ወገሬት እንጂለ ዱዱብሲሃ ተቃጠቡክዕኔ ጫዕመገ ሎካንከክዕኔ ዎዕርቴን ኡርዬ።
31061000c5	ከኒች ጉዕሚችን አበ ጊረ ለበነገ ቡበኖ እልብስ በገዙ ጉዕመንከ አሊችክዕኔ ከዕሙ አታልቴነንተ አመዕነቱ ጌሬንጌርገ አፌ።
31061100ac	ጡሙክዕኔ ብረት ቆሜገ ቡዕላንከክዕኔ ወዕርዬ፤ ህትን ጠሊለ አያኒች ደገመኖ ሲፈ ሁኩንን መገን ላገተ አፌ።
31061200bb	ጉዕመ ወክት ጠሊለ አያነ አዎንቴነን ዱአ አዕዬ፤ ከን ሃሊን መገኑ መጠሮሰ መኒሃ በቅ ይቴንለከ ጠረኝቴን ዱአ አዕዬ።
3106130089	እንጂል ምስጥር መለል ኩሎተ ጠወኣም ወክት ሀስሳ ላገት ኣሰንታኤገ ኤሳሃ ዱአ አዕዬ።
31061400a8	ቴሁ ሰንሰለቲን ኡሱረም ከን እንጂሊሃ አሳቤቹሃን፤ ህካን እኮቤቺሃ ሀስሰኖገ መለል ጠወኦተ ዱአ አዕዬ።
31061500ba	ኢተሞ አመኔቤቱለከ ቀርች ሆጎን አመዕነሞ ካድንቹ ቲኪቆስ አን ሀት ዮም ጎሬ መ አኣም ጎሬ ጉዕመርቹንከ ኩለኖህዕኔ።
310616009b	ህካን እኮቤቺሃ ነኡ ሀት እንኮምጎር ደጎኖተለከ ክዕኔተ ጠረኝሶህዕኔተ ይ እሱ ክዕኔቤቹ ሶኮም።
310617008f	አነ መገንለከ ቀርቾሃ መሲህ ኢስን ወገሬቱለከ ኢተት አመዕነቲን ሜጡበ አመ ኦሶተ እሁን።
310618007a	ሙርተእበ ኢታን ቀርቹኔ መሲህ ኢሰ ኢትታሀኑኡተ ጉዕሚንከ ኣስቱት እኩንሰ።
3200000012	ፍልጵስዩስ
3201010163	ኩ ሶህኑት መሲህ ኢስ ካዲመተ እኮ ጳዉሎሴችለከ ጥማቶሴች ሶሀንቶእተ ሶህኑ፤ ሶሃሞንኩ «ፍልጵስዩስ» ዬኖ ከተማን ሄኣ አመዕናኖ ጭምት አዎንሳኖሃ፥ ድያቆናከተለከ መሲህ ኢሳን አመዕንት ጠሊላኑተ እኮሀኑኡሃ ጉዕሚንካት።
3201020074	አናኔ መገኒቺ ቀርቹሃኔ መሲህ ኢሲች ኣስቱትለከ ወገሬቱ ክዕኔሃ እሁን።
320103005a	አን ክዕኔተ ቃጋም ወክት ጉዕመንከ መገኑኤ ገለትጫሚት።
320104006b	አን ክዕኔተኔሃ ዱአ አኣም ወክት ጉዕመንከ ሙንዲኖን ዱአ አኣሚት።
3201050090	ወዕኔ በሬች ጀመር ከበሬ ኢለ ተሽት ላገተ ኢን ሜጡበ እኬን አቴንተቤቺሃ መገኑ ገለትጫም።
3201060098	ከ ጡመ ሆጉተ ክዕኔን አኦተ ጀመሮ መገኑ መሲህ ኢስ አሜተኖ በር ሹሎተ ኢለ አገረኖገ አመዕናም።
32010701b9	ቴሱ ኡሱር ምኔን ዮም ወክትለከ ኡሱረምችኤ ብርተ እንጂል ሀንቂሃ ከዕመቀሞተለከ እሱንከ ጠረኝሲሃ አኣም ወክት መገኑ ኣስቶንከስ ኣሴኤ ዕድሊን ጉዕሙንኩክዕኔ ቤቀማኑተ እኬንተቤቺሃ አዕኑ ጉዕመ ወክት ቀልቤንከኤ ዮንተ። ህካን እኮቤቺሃ ክዕኔተኔሃ ሞጮጨመኖኤሁ ሀንቅሃን።
3201080068	መሲህ ኢስ ኢታን ጉዕመንከክዕኔ ሄንከ ሱናሚት ጎሬ መገኑ ደገኖ።
3201090078	ኢተክዕኔ ኤንኬዕኑለከ ሀይመተ ሰውዩ ዊሞሀ እክ ነጰን መረኖገ ዱአ አኣም።
32010a00cb	እስን ጡመ ጠወ አጥራመቴን ደጎኖተለከ መሲህ ፈንቀል አሜተኖ በር ነጣኑተለከ ሙልሲሰኖ ጠዉ ዮህዕኔበእረ እኬን ደገንቶኖታት።
32010b00a4	ህትን መሲህ ኢሲን ደገመኖ ፈይመ ላልቺን ዊንቴን መገኒሃ ኬዕምኝለከ ገለት ደግሲሴነንታሃ እኬነንተ።
32010c008b	አመኤ ኦሶ! ኢ አሌን ኢሌ ጠዉ ጉዕሙንኩ እንጂሉ አበ አልባዕለኖገ አኡስ ደጎኖተ ሀሳም።
32010d00b4	ህካን እኮቤቺሃ አን ኡሱረሞሚሁ መሲህተኔሃ እሁስ ሮም ዎም ምኒ ዘበኛኑትለከ ዎሉ ህከኔ ዮ መኑ ጉዕሙንኩ ደጋአ።
32010e00d4	ቀርቾን አመዕንቶ አመኦሶች ልግቡሰ ኢ ኡሱረምተኔሃ ቀርቾን አመዕነንት መገን ላገተ ዎዕኔች በትስ ዋጅቱዕነ መለልት ዱዱብስታኢት።
32010f00df	እኮጎሬ መት-መቱ መኑ መሲህተኔሃ ዱዱብስታኢሁ አቄሻንትለከ ዎሉሰ ጢቄኒት፤ ጠዉ እኮጎሬ ዎሉስ መኑ መሲህተኔሃ ጡመ ቀልቢን ዱዱብስታኢት።
32011000e5	እሰ ተሽት ላገተ ፈየ ቀልቢን ዱዱብስታኢሁ ኢታች ኬዕዮሀኒንት፤ መሰንትስ አን ኡሱረሞሚሁ ተሽት ላገተ ሀንቂን ሰበኮተ አጰማምገ ደጋቤቺሃት።
32011100e4	ጠዉ እኮጎሬ አቄሻንለከ ጢቄን መሲህ ዱዱብስታኢሁ ሀንቂን እሁዕነ ገዉሰ ኢቲንለከ ኡሱረምኤ አሌን ዎልት ኦርሸተ በርግታኢሃ አጉጆሰቤቺሃት።
32011200bb	መሃ እኮጎሬ ሀካንስ እኮጎሬ ጉዕማንከ ዎቄን አመሰሊን እኮ ሀንቂን እኮ እቃ መሲህተኔሃ ዱዱብሰመኖቤቺሃ ሙንደኣም።
32011300c5	ከኒች ኤተሪሃ ሙንደኣም፤ መሰንትስ ክዕኔ ዱኢንለከ መሲህ ኢስ ጠሊለ አያኒ ሀዕለንሺን ዮኤ ኦርሻች ፉላምገ ደጎምቤቺሃት።
320114013d	ህካን እኮቤቺሃ መ ጠዊኒ ሙላምበእገ ዊሙ ሃሽኣቱትለከ ተብሶሁ ዮኤ፤ ጠዉ እኮጎሬ ጉዕመ ወክት አኣምሀንገን ቴሁ ሄዕዮምጎሬ ህከረንገ ሬዮምጎሬ መሲህ ዊመ ጅስምኤ አሌን ሎረ እሀኖገ ዊሙ መለሉ ዮኤ።
320115007e	ህካን እኮቤቺሃ ኢ ሄኡ መሲሂን ሄኡሃን፤ ሬሁተ እኮጎሬ ኤሳሃ ደግለለኖኤሃን።
32011600cd	ጠዉ እኮጎሬ ፎሊን ሄዕዮምጎሬ ላልቹ ዮስ ሆጉተ ቀርቺሃ አኦተ አታላም፤ እኮጎሬ ሬሆችለከ ሄኢች ሀካንስ መጠራም ጎር ደጎምበአ።
32011700f3	ከን ለሞ ጠዋን ቀልቡኤ ለሙ ቤቹ እኮኡ፤ እስን መቶ አዲን ከን ሄኢች አደ እክ መሲህን እሆተ ሀሳም፤ መሰንትስ ሁኩን ጉዕመርቺችን በተአኖሃ እኮቤቺሃት።
320118006b	ጠዉ እኮጎሬ አን ሬሁዕነ ፎሊን ሄዕዮምጎሬ ክዕኔሃ በትሽ ጡመሃን።
32011900a7	አን ከ ጠወ አመዕንዮም፤ ሁኩንን ሙንዲኑክዕኔለከ አመዕነቱክዕኔ ነጰኖገ ሬሁዕነ ፎሊን ሄኣምገ ደጎም።
32011a009a	ህካን እኮቤቺሃ አን ክዕኔኤን ለንኪሃ ደቀሞምጎር ኢ መሳን መሲህ ኢሳን ዮህዕኔ ቦኑ አበ እሀኖ።
32011b013a	ጉዕሚችን በትሴን መሲህ እንጅሊሃ ሀስሰኖገ ሄዕዬ፤ አሜች ለዕዮንክዕኔጎሬ ህከረንገ ክዕኔች ቄዕር ክዕኔተኔሃ ሞጮጬምጎሬ መቶ ቀልቢን እንጂል አመዕነትተኔሃ ሜጡበ እኬን አጰንቴነንተገ ደጋም።
32011c00c7	ክዕኔተ ግባህዕኔረ መ ጠዋኒ ዋጅቶኖቼ፤ ኩንን እሳሃ በእሰተ መላ፤ ጠዉ እኮጎሬ ክዕኔሃ ጡምተ መላ፤ ሁኩንን መገን አዲቺት።
32011d0093	መሰንትስ መሲህን አመዕንቶኖተ ጠለዕል እሁዕነ እስተኔሃ ኦርሸተ ቶጎኖተ ኩን ኣሰሞህዕኔ።
32011e00c8	ህካን እኮቤቺሃ አዕኑ ከኒች ብርተ አጰንሸኤ ለኤንታአ፤ ቴሁ ኢ አጰንሸ ለኤነንታት፤ አዕኑሁ ህትናሙ አጰንሸ አጰንቴነንተ።
320201013b	መሲህን እኬንተቤቺሃ መት-መቱክዕኔ ሸዜነን ጠረኝቴንታአ፤ ህትን እስ ኢታን ጠረኝጨቀንቴነንተ፤ ህትን ጠሊለ አያኒን ሜጡ እኬንታአ፤ ህትን መት-መቲሃክዕኔ ጡምመትለከ ጎደበ ላፍመተ ለሊሴንታች፥
3202020070	ህካን ሰውቲን፥ ኢታንለከ ቀልብን ሙርስጭቴን ሜጡ እኬን ሙንዲሲሼኤ።
32020300a7	ገዉ ኢቲን ህከረንገ ቦኒን መቱርቹ አቶኖቼ፤ ጠዉ እኮጎሬ ዎሉ መኑ ክዕኔች ቆሀኖገ ገዉ ሆፍሲን ዎለዕዬ፤
3202040079	ህትን ገገዉክዕኔ ዎሎ መን መኩተ ሀሼ ቤሉ ገይክዕኔ መኩተ ጠለዕል ሀሶኖቼ።
3202050050	ህትን ኩ መሲህ ኢሳን ዮ ሰውቱ ክዕኔ በላን ሄኡን።
3202060063	እስ መገኑ እኮጎሬ መገኒን ቅጡ አአኖ ሀል አፍ አገሮተ ሀሾበአ
3202070054	ጠዉ እኮጎሬ ሮስ ደነ አፎ መነ እኮ ገውስ ኦነ አዕዮ።
3202080069	ገዉስ ሆፍሽ ሬሆተ ኢለ መስቀል አሌን ሰቀለም ሬሆተ ኢለ አዘዘሞ።
32020900a0	ህካን እኮቤቺሃ መገኑ ጉዕሚችን አሌ ዋሽ ኬዕምኝ ቤቾን አዕዮስ፤ ጉዕመ ሱዕሚችን ሎረ ሱዕመ ኣሴስ።
32020a00ae	ህካን እኮቤቺሃ ኢስ ሱዕም ኬዕምኝተኔሃ ኡላን፥ ሰማንንለከ ኡለ ኣዜን ዮሩ ጉዕሙንኩ ጉሉቤንከሰ ጉሉጵታአ።
32020b0089	ህትን አረቤንከሰን «መሲህ ኢስ ቀርቹሃን» ይት መሰከርት አነ መገኒሃ ኬዕምኝ ኣታአ።
32020c0122	ህካን እኮቤቺሃ ኢ ጃላ! ጉዕመ ወክት አዘዘንቴንተኤገን ክዕኔቤቾን ሄዕዮም ወክት ጠለዕል እሁዕነ በትሽን ቴሱ ክዕኔች ቄዕሬም ወክትሃ ጡሙክዕኔ ለሊሳ ሆጉተ ዋጅንለከ ሁጢን አዕዬ።
32020d007b	መሰንትስ እስ ጡመ ስውት ሀሶኖተለከ አቶኖተ ክዕኔ ኣዜን አአኖሁ መገኑሃን።
32020e0063	ጉዕመንከ ሆጉተ አቴነንተ ወክት ቁንቁቶኖቼ፤ ህትን ኦዶኖቼ።
32020f00f7	ህካን እኮቤቺሃ አዕኑ ከን ሂለ ክልቀት በላን ሆፍኙለከ ህንቄኖህዕኔርቹ ዮህዕኔበኢሃ ነጣኑተ መገን ኦሱተ እኬን ዱንያ አል መኒሃ ኑር እኬን ለሊሴነንተ።
3202100112	ኩን እሀኖንኩ ሄኡ ደገመኖ ላገተ ሙርቶኑዕናን ጠረኝሴን አፊኒት፤ ከን ሃሌን ደጉዱኤ እኮ ሆጉኤ ተሰ እክ ፈቃበእቤቺሃ መሲህ ፈንቀል አሜተኖ ወክት ድከኣም ሄአኖኤ ዩሃን።
