1300000006	Psalmi
3400000010	1 Tesaloničanom
34010100a0	Pavel in Silvan in Timotej občini Tesaloničanov v Bogu očetu in Gospodu Jezusu Kristusu; milost vam in mir od Boga očeta našega in Gospoda Jezusa Kristusa!
340102004d	Zahvaljujemo se Bogu vedno za vas vse, spominjajoč se vas v molitvah svojih,
340103009d	Neprestano spominjajoč se dela vašega v veri in truda v ljubezni, in stanovitnosti v tipanji Gospoda našega Jezusa Kristusa, pred Bogom in očetom našim;
3401040037	Vedóč, bratje ljubljeni od Boga, za izvoljenje vaše;
34010500a2	Da evangelj naš ni prišel samo v besedi do vas, nego tudi v moči in v Duhu svetem, in v mnogem prepričanji, kakor veste, kakošni smo med vami postali za vas.
340106006b	In vi ste postali posnemalci naši in Gospodovi, sprejemši besedo, v mnogi stiski z veseljem Duha svetega,
3401070040	Tako da ste postali zgled vsem verujočim v Macedoniji in Ahaji.
34010800a9	Kajti od vas je zadonela beseda Gospodova ne samo po Macedoniji in Ahaji, nego tudi v vsakem kraji razširila se je vaša vera v Boga, tako da nam ni treba kaj govoriti.
3401090087	Kajti sami oznanjajo za nas, kak smo imeli prihod k vam, in kako ste se obrnili k Bogu od malikov, služit Bogu živemu in resničnemu,
34010a006b	In čakat sina njegovega iz nebés, katerega je zbudil izmed mrtvih, Jezusa, ki nas rešuje jeze prihodnje.
340201003e	Kajti sami veste, bratje, naš prihod k vam, da ni bil prazen;
3402020098	Nego, dasì smo trpeli prej in zasramovani bili, kakor veste v Filipih, govorili smo prostodušno v Bogu našem proti vam evangelj Božji v mnogem boji.
3402030044	Kajti opomin naš ni iz zmotnjave, ne iz nečistosti, ne v zvijači;
3402040090	Nego kakor nas je Bog za vredne spoznal izročiti nam evangelj, tako govorimo, ne da bi bili ljudém po volji, nego Bogu, ki presoja srca naša.
340205006a	Kajti ne s prilizovanja besedo nismo se pečali nikdar, kakor veste, ne s pretvezo lakomnosti; Bog priča!
3402060072	In od ljudî nismo slave iskali, ne od vas, ne od drugih, ko smo bili lahko imenitni, kakor aposteljni Kristusovi;
3402070043	Nego bili smo rahli sredi vas, kakor pač dójka goji otroke svoje.
3402080082	Tako hrepeneč po vas, bila nas je volja ne samo podati vam evangelj Božji, nego tudi duše svoje, ker ste nam postali ljubljeni.
340209009c	Kajti spominjate se, bratje, truda našega in težave; ker noč in dan smo delali, da bi ne bili nadležni komu izmed vas, in oznanjali vam evangelj Božji;
34020a005d	Vi priče in Gospod Bog, kako sveti in pravični in brez krivice smo bili z vami verujočimi;
34020b005b	Kakor veste, kako smo slehernega izmed vas kakor oče otroke svoje opominjali, izpodbujali,
34020c0050	In rotili, da živite pristojno Bogu, ki vas kliče v svoje kraljestvo in slavo.
34020d00cc	Zato se tudi mi zahvaljujemo Bogu neprestano, da ste prejemši od nas besedo Božjo oznanovano, sprejeli ne besede človeške, nego (kakor je resnično) besedo Božjo, katera tudi deluje v vas verujočih.
34020e009c	Kajti vi ste postali posnemalci, bratje, občin Božjih v Judeji v Kristusu Jezusu, ker ste tudi vi isto trpeli od lastnih rojakov, kakor tudi oni od Judov,
34020f0082	Kateri so tudi Gospoda Jezusa umorili, in lastne preroke, in nas pregnali, in kateri niso Bogu po volji in so vsem ljudém zoprni;
340210007c	Kateri nam branijo govoriti poganom, da se rešijo, da vedno napolnijo grehe svoje. Prišla pa je nad nje jeza v njih konec.
3402110094	Mi pa, bratje, osiroteni za vami za nekaj časa, po obličji ne po srci, prizadevali smo si tolikanj bolj videti obličje vaše v mnogem poželenji.
3402120051	Zato smo hoteli priti k vam, jaz Pavel, enkrat in dvakrat, a branil nam je satan.
3402130083	Kajti kdo je upanje naše, ali veselje, ali slave venec? Ali ne tudi vi, pred Gospodom našim Jezusom Kristusom o prihodu njegovem?
3402140024	Kajti vi ste slava naša in veselje.
3403010042	Zato, ker več ne strpimo, sklenili smo raji sami ostati v Atenah,
3403020096	In poslali smo Timoteja, brata našega in služabnika Božjega in sodelalca našega v evangelji Kristusovem, utrdit vas in opominjat vas o veri vaši;
340303004f	Da nihče ne omahuje v teh stiskah; sami namreč veste, da smo namenjeni za to.
340304006f	Saj smo tudi, ko smo bili pri vas, naprej povedali vam, da pridemo v stiske, kakor se je tudi zgodilo in veste.
340305009a	Zato sem tudi jaz, ker nisem mogel več strpeti, poslal pozvedet za vero vašo, da bi vas ne bil morda izkušal izkušnjavec, in bi bil zastonj naš trud.
34030600b5	Ko je pa ravnokar Timotej k nam prišel od vas, in prinesel nam blago vest o veri in ljubezni vaši, in da nas imate vedno v dobrem spominu, hrepeneč videti nas, kakor tudi mi vas;
3403070054	Zato smo bili, bratje, za vas potolaženi v vsej stiski in sili svoji po veri vaši;
3403080031	Ker zdaj živimo, če vi stojite trdno v Gospodu.
340309006e	Kajti káko zahvalo moremo Bogu vrniti za vas, za vse veselje, s katerim se radujemo za vas pred Bogom svojim,
34030a005c	Noč in dan presilno proseč, da bi videli obličje vaše in dopolnili pogreške vere vaše.
34030b004e	On pa Bog in oče naš, in Gospod naš Jezus Kristus naj vodi pot našo k vam;
34030c0061	Vas pa naj Gospod napolni in obogati z ljubeznijo med seboj in do vseh, kakor smo tudi mi do vas;
34030d008e	Da utrdi srca vaša brez madeža v svetosti pred Bogom in očetom našim, o prihodu Gospoda našega Jezusa Kristusa z vsemi njegovimi svetimi.
34040100a2	V ostalem pa, bratje, prosimo vas in opominjamo v Gospodu Jezusu, da, kakor ste prejeli od nas, kako vam je živeti in Bogu ugajati, če dalje bolj rastete v tem;
3404020037	Kajti veste, kake nauke smo vam dali po Gospodu Jezusu.
340403004a	To namreč je volja Božja, posvečenje vaše, da se zdržujete kurbarije;
3404040048	Da vé vsak izmed vas posodo svojo pridobiti si v posvečenji in časti;
340405003e	Ne v poželenja strasti, kakor tudi pogani ne poznajoči Boga;
340406008f	Da ne prestopate in ne prekanjate brata svojega v stvari; ker Gospod je kaznovatelj vsega tega, kakor smo vam tudi naprej povedali in pričali.
340407003c	Kajti Bog nas ni poklical za nečistost, nego v posvečenje.
3404080067	Zatorej kdor zameta, ne zameta človeka, nego Boga, njega, ki je tudi dal Duha svojega svetega med nas.
340409005b	Za bratoljubje pa ni treba vam pisati; kajti sami ste od Boga učeni, ljubiti se med seboj;
34040a0069	Saj tudi ravnate tako z vsemi brati po vsej Macedoniji. Opominjamo pa vas, bratje, da vedno bolj rastete,
34040b006f	In da si prizadevate mirno živeti, in opravljate svoje, in delate sè svojimi rokami, kakor smo vam naročili;
34040c0047	Da živite spodobno pred njimi, ki so zunaj, in ne potrebujete nikogar.
34040d0065	Nočem pa, da bi ne vedeli, bratje, za pokojne, da se ne žalite, kakor tudi drugi, ki nimajo upanja.
34040e0064	Kajti če verujemo, da je Jezus umrl in vstal, tako bode tudi Bog pokojne po Kristusu peljal z njim.
34040f0073	To namreč vam pravimo v besedi Gospodovi, da mi živeči, ostali za prihod Gospodov, ne bodemo prehiteli pokojnih;
3404100084	Ker Gospod sam bode v zapovedi, v glasu nadangelovem in v trombi Božji stopil dol z nebes, in mrtvi v Kristusu bodo vstali najprej.
340411007d	Potem bodemo mi živeči, ostali, z njimi vred zgrabljeni v oblakih Gospodu naproti kvišku, in tako bodemo vedno z Gospodom.
340412002e	Zato se opominjajte s temi besedami med seboj.
340501003a	O časih pa in prilikah, bratje, ni treba da se vam piše;
340502004a	Kajti sami veste na tanko, da dan Gospodov, kakor tat ponoči, tako pride;
3405030076	Ko namreč pravijo: Mir in varnost, tedaj jih mahoma doleti poguba, kakor porodne bolečine nosečo, in ušli ne bodo.
340504003a	Vi pa, bratje, niste v temi, da vas dan zagrabi kakor tat;
3405050042	Vi vsi ste luči sinovi in sinovi dneva; nismo od noči ali temé.
340506003e	Torej ne spimo kakor tudi drugi, nego čujmo in trezni bodimo.
3405070045	Kajti speči spé ponoči, in upijanjajoči se upijanjajo se ponoči;
3405080068	Mi pa, ki smo od dneva, bodimo trezni, ter oblecimo oklep vere in ljubezni, in za šlem upanje blaginje;
3405090063	Kajti ni nas Bog pripravil za jezo, nego za zadobljenje blaginje po Gospodu našem Jezusu Kristusu,
34050a0046	Kateri je umrl za nas, da, naj čujemo ali spimo, z njem vred živimo.
34050b004e	Zato opominjajte se med seboj in izpodbujajte drug druzega, kakor tudi delate.
34050c0070	Prosimo pa vas, bratje, da znate nje, ki se trudijo med vami, in so vam predpostavljeni v Gospodu in vas svaré,
34050d0045	In da jih visoko čislate v ljubezni za njih delo. Mirujte med seboj.
34050e0079	Opominjamo pa vas, bratje, svarite neredne, prigovarjajte malodušnim, skrbite za slabotne, potrpežljivi boditi z vsemi.
34050f0060	Glejte, da ne vrne kdo komu hudega za hudo, nego vedno za dobrim hodite med seboj in proti vsem.
3405100011	Radujte se vedno!
3405110012	Molite neprestano!
340512004b	Hvaležni bodite v vsem; kajti to je volja Božja v Kristusu Jezusu za vas.
340513000f	Duha ne gasite.
340514001a	Prerokovanj ne zaničujte.
340515001e	Poskusite vse, dobro ohranite.
3405160021	Vsakoršnega hudega se zdržujte.
340517008f	On pa, Bog mirú, posvéti vas cele, in duh vaš popoln, in duša in telo naj se ohrani brez krivice o prihodu Gospoda našega Jezusa Kristusa.
3405180032	Zvest je, ki vaš kliče, kateri bode tudi storil.
3405190016	Bratje, molite za nas.
34051a0026	Pozdravite brate vse v svetem poljubu.
34051b003e	Rotim vas pri Gospodu, da se naj list bere vsem svetim bratom.
34051c005d	Milost Gospoda našega Jezusa Kristusa z vami! Amen. Tesaloničanom list prvi pisan iz Atén.
3500000010	2 Tesaloničanom
3501010062	Pavel in Silvan in Timotej občini Tesaloničanov v Bogu očetu našem in Gospodu Jezusu Kristusu:
3501020044	Milost vam in mir od Boga očeta našega in Gospoda Jezusa Kristusa.
350103009e	Zahvaljevati se dolžni smo Bogu vedno za vas, bratje, kakor je spodobno, ker se močno množi vera vaša, in raste ljubezen vsakega izmed vas vseh med seboj;
3501040091	Tako da se mi sami hvalimo za vas v občinah Božjih, zaradi stanovitnosti vaše in vere v vseh preganjanjih vaših in stiskah, katere prebivate;
3501050065	Znamenje pravične sodbe Božje, da se za vredne spoznate kraljestva Božjega, za katero tudi trpite:
3501060044	Če je res pravično pri Bogu vračati stisko njim, ki vas stiskajo,
350107005b	In vam stiskanim počitek z nami, v razodenji Gospoda Jezusa z neba z angeli moči njegove,
3501080071	V ognji plamena, kaznujočega njé, ki ne poznajo Boga, in ne slušajo evangelja Gospoda našega Jezusa Kristusa,
3501090063	Kateri bodo za kazen trpeli večno pogubo izpred obličja Gospodovega in izpred slave moči negove,
35010a008b	Kader bode prišel, da se oslavi v svetih svojih, in da se mu čudijo vsi verujoči (ker se je verovalo pričanje naše pri vas) tisti dan.
35010b0080	Za kar tudi vedno molimo za vas, da vas vredne spozna poklica naš Bog, in napolni vse dopadajenje dobrote in delo vere v moči,
35010c0079	Da se oslavi ime Gospoda našega Jezusa Kristusa v vas, in vi v njem, po milosti Boga našega in Gospoda Jezusa Kristusa.
3502010056	Prosimo pa vas, bratje, za prihod Gospoda našega Jezusa Kristusa in shod naš z njim,
350202008d	Da se ne daste hitro oplašiti umu, in se ne ustrašite, ne po duhu ne po besedi, ne po pismu, kakor da je od nas, da je blizu dan Kristusov.
350203006a	Naj vas nihče ne preslepi nikakor; ker če ne pride prej odpad, in se razodene človek greha, pogube sin,
3502040095	Kateri se upira in spenja zoper vse, kar se kliče Bog ali čestitost, tako da se samega posadi v svetišče Božje kakor Boga in se kaže da je Bog.
3502050041	Ali se ne spominjate, da sem, bivajoč še pri vas, rekel vam to?
3502060041	In sedaj, kaj zadržuje, veste, da se ne razodene o svojem času.
3502070050	Kajti že deluje skrivnost krivice, samo da se on, ki zadržuje, odpravi skoraj;
350208007e	In tedaj se bode razodel krivični, katerega bode Gospod uničil z dihom svojih ust in pokončal s prikaznijo svojega prihoda:
3502090055	Katerega prihod je po kreposti satanovi v vsej moči in znamenjih in čudežih laži,
35020a0068	In v sleherni prevari krivice v pogubljenih, za to ker niso sprejeli ljubezni resnice, da bi se rešili;
35020b0042	In zato jim bode Bog poslal krepost zmotnjave, da verujejo láži:
35020c0050	Da bodejo sojeni vsi, kateri niso verovali resnici, nego jim je ugajala krivica.
35020d00a5	Mi pa smo dolžni zahvaljevati se Bogu vedno za vas, bratje ljubljeni od Gospoda, ker vas je Bog izvolil od začetka v blaginjo v posvečevanji Duha in veri resnice,
35020e0060	Za kar vas je poklical po evangelji našem, v zadobljenje slave Gospoda našega Jezusa Kristusa.
35020f0077	Zatorej stójte trdno, bratje, in hranite izročila, katerih ste se učili, bodi si po besedi, bodi si po listu našem.
350210007c	Sam pa Gospod naš Jezus Kristus in Bog in oče naš, ki nas je ljubil in dal nam večno tolažbo in dobro upanje v milosti,
3502110047	Potolaži naj srca vaša in potrdi vas v sleherni dobri besedi in delu.
350301005e	V ostalem, molite, bratje, za nas, da se širi beseda Gospodova in slaví, kakor tudi pri vas,
3503020044	In da se rešimo nespametnih in hudobnih ljudî; kajti vera ni vseh.
350303003b	Zvest pa je Gospod, kateri vas bode utrdil in branil zlega,
350304004d	Zaupamo pa v Gospodu vam, da kar vam naročamo, tudi delate in bodete delali.
350305004e	Gospod pa naj vodi srca vaša v ljubezen Božjo, in v stanovitnost Kristusovo.
35030600a4	Naročamo pa vam, bratje, v imenu Gospoda našega Jezusa Kristusa, da se ogibljete vsakega brata, kateri živi neredno in ne po sporočilu, katero je prejel od nas.
350307002e	Kajti sami veste, kako je nas posnemati treba;
3503080099	Ker nismo bili neredni med vami, in ne zastonj kruha jedli od koga, nego s trudom in težavo smo delali noč in dan, da bi ne nadlegovali koga izmed vas;
3503090049	Ne da bi ne imeli oblasti, nego da se vam damo v zgled, da nas posnemate.
35030a005e	Saj smo tudi, ko smo bili pri vas, to naročali vam, da če kdo noče delati, naj tudi ne jé.
35030b0067	Čujemo namreč, da nekateri med vami neredno živé, in ne delajo nič, nego pečajo se z nepotrebnim.
35030c006f	Takim pa naročamo in jih opominjamo po Gospodu našem Jezusu Kristusu, da naj v miru delajoč svoj kruh jedó.
35030d002d	Vi pa, bratje, ne opešajte v dobrem dejanji.
35030e006a	Če pa kdo ne sluša besede naše po listu, njega zaznamovajte, in ne pečajte se z njim, da ga bode sram;
35030f0039	In ne imejte ga za sovražnika, nego svarite kakor brata.
3503100048	On pa, Gospod mirú, daj vam mir vedno, vsakoršen. Gospod z vami vsemi!
3503110049	Pozdrav z mojo roko Pavlovo, kar je znamenje v vsakem listu; tako pišem.
3503120064	Milost Gospoda našega Jezusa Kristusa z vsemi vami! Amen. Tesaloničanom list drugi pisan iz Atén.
360000000a	1 Timoteju
3601010066	Pavel apostelj Jezusa Kristusa, po povelji Boga rešitelja in Gospoda Jezusa Kristusa, upanja našega,
3601020074	Timoteju, pravemu otroku v veri: milost, usmiljenje, mir od Boga očeta našega in Kristusa Jezusa, našega Gospoda!
3601030068	Kakor sem te prosil, da ostani v Efezu, potujoč v Macedonijo, da zapoveš nekim, naj ne učé drugače,
3601040079	In naj se ne ubijajo z basnimi in rodopisi brez konca, kateri napravljajo bolj prepire nego izpodbujevanje Božje v veri.
3601050051	Namen pa zapovedi je ljubezen iz srca čistega in dobre vesti in vere nehinavske;
360106003d	Kar so nekateri izgrešivši obrnili se v prazno besedovanje,
3601070045	Hoteč biti postavouki, dasi ne umejo, ne kaj govoré, ne kaj trdijo.
3601080037	Vemo pa, da je postava dobra, če jo kdo postavno rabi,
36010900a8	Vedóč to, da za pravičnega ni postavljena postava, nego za nepostavne in uporne, brezbožne in grešnike, nesvete in posvetne, očeta in matere ubijalce, ljudomorce,
36010a006b	Kurbirje, moželežnike, ljudokradeže, lažnike, krivoprisežnike, in kar druzega nasprotuje zdravemu uku,
36010b003f	Po evangelji slave Boga blaženega, kateri se je meni izročil.
36010c007c	In hvaležen sem njemu, ki me krepčá, Kristusu Jezusu Gospodu našemu, da me je za zvestega imel in postavil me v službo,
36010d0076	Ki sem bil prej preklinjalec in preganjalec in silovitnik; ali usmiljenje sem zadobil, ker sem neveden delal v neveri;
36010e0052	Preobila pa je bila milost Gospoda našega z vero in ljubeznijo v Kristusu Jezusu.
36010f0077	Resnična beseda in vsega sprejema vredna, da je Kristus Jezus prišel na svet, grešnike rešit, katerih prvi sem jaz.
3601100099	Ali za to sem usmiljenje zadobil, da bi v meni prvem Kristus pokazal vso svojo potrpežljivost za zgled njim, ki bodo verovali vanj za večno življenje.
3601110063	Kralju pa svetov, neminljivemu, nevidnemu, samemu modremu Bogu, čast in slava na vekov veke! Amen.
3601120066	To zapoved ti naročam, Timotej otrok, po predhodnjih prerokovanjih o tebi, da biješ v njih lepi boj,
360113005a	Imajoč vero in dobro vest, katero so nekateri od sebe pahnili ter ponesrečili se v veri;
360114005f	Med katerimi je Himenej in Aleksander, katera sem izročil satanu, da se učita ne preklinjati.
3602010067	Opominjam torej pred vsem, naj se napravljajo prošnje, molitve, klicanja, zahvaljevanja za vse ljudî,
360202005f	Za kralje in vse prvake, da živimo mirno in tiho življenje v vsej pobožnosti in poštenosti.
360203003c	Kajti to je dobro in prijetno pred Bogom rešiteljem našim,
3602040047	Kateri hoče, da se rešijo vsi ljudje in pridejo do spoznanja resnice.
3602050050	Kajti eden je Bog, eden tudi srednik med Bogom in ljudmi, človek Kristus Jezus,
360206003e	Kateri se je dal v odkupnino za vse, pričanje o svojem času,
360207007d	Za kar sem bil jaz postavljen glasnik in apostelj (resnico govorim v Kristusu, ne lažem), učenik poganov v veri in resnici.
3602080060	Hočem torej, da možjé molijo v vsakem kraji, roke svete dvigajoč brez jeze in pregovarjanja.
3602090093	Isto tako tudi žene v spodobni opravi, da se naj dičijo sè sramežljivostjo in poštenostjo, ne v kitah ali zlatu ali biserih, ali dragi obleki,
36020a0052	Nego (kar se spodobi ženskim, katere so bogoslužnost obljubile,) z dobrimi deli.
36020b002e	Ženska naj se mirno uči v vsej podložnosti.
36020c0045	Ženski pa učiti ne dovolim, ne gospodovati možu, nego v miru biti;
36020d002c	Kajti Adam je bil prvi vstvarjen, potem Eva;
36020e0042	In Adam ni bil prevaran, žena pa je prevarana prišla v pregreho;
36020f0063	Rešila pa se bode z detorodstvom, ako ostanejo v veri in ljubezni in posvečevanji s poštenostjo.
3603010044	Resnična beseda: Če kdo išče predstojništva, želi lepega dela.
3603020072	Predstojnik torej treba da je brez napake, ene žene mož, trezen, zméren, spodoben, gostoljuben, dober učitelj;
3603030062	Ne pijanec, ne pretepalec, ne grdega zaslužka; nego odjenljiv, ne prepirčen, ne denarja lakomen;
3603040041	Svoji hiši dober gospodar, otroke strahujoč z vso spodobnostjo;
3603050051	(Če pa kdo svoji hiši gospodariti ne zná, kako bode skrbel za občino Božjo?)
3603060032	Ne novinec, da napihnen ne pade v sodbo hudičevo.
360307005b	Treba pa tudi, da ima dobro pričanje od vnanjih, da ne pade v očitanje in past hudičevo.
360308005a	Pomočniki isto tako spodobni, ne dvojezični, ne mnogemu vinu vdani, ne grdega zaslužka;
3603090026	Imajoč vere skrivnost v čisti vesti.
36030a0052	A tudi ti naj se najprej presodijo, potem naj bodejo pomočniki, ko so neoponosni.
36030b0041	Ženske isto tako spodobne, ne obrekljive; trezne, zveste v vsem.
36030c0053	Pomočniki naj bodejo ene žene možjé, otrokom dobri gospodarji in svojim hišam.
36030d0078	Kateri so bili namreč dobri pomočniki, pridobé si lepo stópinjo, in veliko zaupanje v veri, ki je v Kristusu Jezusu.
36030e002d	To ti pišem, upajoč, da pridem prej k tebi;
36030f007a	Če se pa mudim, da veš, kako se je treba vesti v hiši Gospodovi, ki je občina Boga živega, stolp in podzidje resnice.
36031000b2	In po vseh mnenji velika je pobožnosti skrivnost; Bog se je razodel v mesu, opravičil v Duhu, prikazal se angelom, oznanjal poganom, verovan bil na svetu, kvišku vzet v slavi.
3604010086	Duh pa izrečno govori, da bodejo v poslednjih časih nekateri odpadli od vere, držeč se lažnjivih klatiduhov in naukov hudičevih,
360402003d	V licemérstvu lažigovórnikov, zaznamovanih v lastni vesti,
36040300a5	Ki branijo ženiti se in možiti, in zapovedujejo zdrževati se jedil, katera je Bog vstvaril za uživanje sè zahvaljevanjem vernim in njim, ki so spoznali resnico.
3604040064	Kajti vsaka stvar Božja je dobra in nič ni da bi se zamotalo, ako se prejemlje sè zahvaljevanjem;
3604050030	Kajti posvečuje se po besedi Božji in molitvi.
360406007b	To naročajoč bratom, bodeš dober pomočnik Jezusa Kristusa, vzrejen v besedah vere, in dobrega nauka, po katerem hodiš.
3604070044	Posvetne pa in starobabje basni zavračaj; vadi se pa v pobožnosti.
360408007e	Kajti telesna vaja je za malo koristna; pobožnost pa je za vse koristna, ker ima obljubo življenja sedanjega in prihodnjega.
360409002a	Resnična beseda in vsega sprejema vredna;
36040a008a	Kajti za to se tudi trudimo in sramotimo, ker smo upanje svoje postavili v Boga živega, kateri je rešitelj vseh ljudî, sosebno vérnih.
36040b0017	Zapovedúj to in úči!
36040c007d	Nihče naj ne zaničuje mladosti tvoje, nego zgled bodi vérnim v besedi, v vedenji, v ljubezni, v duhu, v veri, v čistosti.
36040d003a	Dokler pridem, skrbi za branje, opominjanje, podučevanje.
36040e0060	Ne zanemarjaj darú v sebi, kateri ti je bil dan po preroštvu s pokladanjem rok starejšinstva.
36040f0042	To premišljaj, v tem bivaj, da bode napredek tvoj očiten v vsem.
360410006b	Pazi nase in na úk; stanoviten bodi v tem; kajti to delajoč rešil bodeš sebe in njé, ki te poslušajo.
3605010052	Nad starejšim se ne hudúj, nego opominjaj ga kakor očeta; mlajše, kakor brate;
3605020047	Žene starejše, kakor matere; mlajše, kakor sestre, v vsej čistosti.
360503001c	Vdove spoštuj, prave vdove.
360504009d	Ako pa ima kaka vdova otroke ali vnuke, učé se naj najprej pobožnosti do svoje hiše in povračevati roditeljem. Kajti to je dobro in prijetno pred Bogom.
3605050060	Prava vdova pa in samica ima upanje v Boga in je stanovitna v prošnjah in molitvah noč in dan;
360506001c	Razuzdana pa je živa mrtva.
3605070027	In to zapoveduj, da bodejo brez napake.
3605080060	Ako pa kdo ne skrbi za svoje, zlasti pa za domače, zatajil je véro, in hujši je od nevernega.
3605090049	Vdova naj se izvoli ne pod šestdesétimi leti, bivša enega moža žena;
36050a00ab	V dobrih delih izpričana, če je otroke izredila, če je tujce sprejemala, če je svetim noge umivala, če je stiskanim pomagala, če je za slehernim dobrim delom hodila.
36050b005a	Mlajše vdove pa zavračaj; ko so namreč pohotne postale po Kristusu, hočejo se možiti;
36050c0031	Imajoč očitanje, da so se izneverile prvi veri.
36050d008b	Zraven pa se tudi učé brez dela pohajkovati po hišah; in ne samo brez dela, nego tudi jezične in védečne, govoreč česar ni potreba.
36050e007c	Hočem torej, da naj se mlajše možé, otroke rodévajo, gospodinjijo, nobenega povoda ne dajó nasprotniku za obrekovanje.
36050f0033	Kajti že se jih je nekaj nazaj obrnilo za satanom.
3605100068	Če ima kak veren, ali verna vdove, pomaga jim naj, in občina ne imej težave, da pomaga pravim vdovam.
3605110076	Starejšine, kateri so dobri glavarji, naj se imajo za dvojne česti vredne, zlasti kateri se trudijo v besedi in uku.
3605120066	Govori namreč pismo: "Volu mlatečemu ne zavezuj gobca;" in pa: "Vreden je delalec svojega plačila."
3605130043	Zoper starejšino ne sprejemaj tožbe, razen na dve priči ali tri.
3605140040	Grešeče svári vpričo vseh, da bodejo imeli tudi drugi strah.
360515008f	Rotim pred Bogom in Gospodom Jezusom Kristusom in angeli izvoljenimi, da hraniš to brez predsodka in ne storiš ničesar po posebnem nagnenji.
3605160060	Rók nikomur prenaglo ne pokladaj in ne udeležuj se tujih gréhov. Ohrani samega sebe čistega.
3605170067	Ne bodi več vodopivec, nego uživaj po malo vina, zaradi želodca svojega in pogostih slabosti svojih.
360518005d	Nekaterih ljudî grehi so očitni, gredó naprej v obsojo; nekaterim pa tudi za njimi gredó.
3605190049	Tako so tudi dobra dela očitna, in ona, ki niso tako, ne dado se skriti.
3606010076	Kateri so hlapci pod jarmom, naj imajo svoje gospode za vse česti vredne, da se ne govori pregrešno o Bogu in nauku.
36060200b0	Kateri pa imajo verne gospode, naj jih ne zaničujejo, ker so bratje; nego tem bolj naj služijo, ker so verni in ljubljeni, kateri sprejemajo dobroto. Tako úči in opominjaj.
360603006c	Ako kdo drugače uči in ne pristopi zdravim besedam Gospoda našega Jezusa Kristusa in nauku k pobožnosti,
360604008e	Oslepljen je in nič ne umé, nego boleha za pregovarjanji in besednimi prepiri, iz česar postane zavist, prepir, preklinjanje, natolcevanje;
3606050079	Nepotrebni opravki ljudî popačenih v duhu in brez resnice, ki mislijo, da je pobožnost pridobivanje. Ogiblji se takih.
3606060038	Je pa pridobivanje veliko pobožnost sè zadovoljnostjo.
3606070051	Kajti ničesar nismo prinesli na svet, jasno, da tudi odnesti ne moremo ničesar;
3606080035	Če pa imamo hrane in odeje, bodimo s tem zadovoljni.
3606090099	Kateri pa hočejo biti bogati, padejo v izkušnjavo in past in mnoga poželenja nespametna in škodljiva, katera pogrezajo ljudî v pogubljenje in pogin.
36060a0076	Kajti vsega zlega korenina je lakomnost; njej vdani so nekateri zabredli od vere in prebodli se z mnogimi bolečinami.
36060b0079	Ti pa, o človek Božji, ogiblji se tega; hodi pa za pravico, pobožnostjo, vero, ljubeznijo, stanovitnostjo, krotkostjo.
36060c0085	Bij lepi boj vere; poprimi se večnega življenja, za katero si bil tudi poklican in si spoznal lepo spoznanje pred mnogimi pričami.
36060d0076	Naročam ti pred Bogom, ki vse oživlja, in Kristusom Jezusom, kateri je pričal pred Poncijem Pilatom lepo spoznanje,
36060e0059	Da hraniš zapoved brez madeža, brez napake, do prihoda Gospoda našega Jezusa Kristusa.
36060f006b	Katerega bode o svojem času prikazal blaženi in edini vladar, kralj kraljujočih in gospodujočih gospod,
3606100099	Kateri ima sam neumrjočnost, v svetlobi bivajoč ne dohodni; katerega ni videl ljudî nobeden, in tudi videti ne more; njemu čast in moč večna! Amen.
360611009e	Bogatinom na tem svetu naročaj, naj se ne prevzemajo; in naj ne zaupajo v bogastva negotovost, nego v Boga živega, kateri nam delí vsega obilo v uživanje;
360612003e	Naj dobro delajo, bogati v dobrih delih, radodarni, podeljivi:
360613005d	Naj si nabirajo zaklade v dobro podstavo za prihodnjost, da se poprimejo večnega življenja.
3606140063	O Timotej, brani zalogo ogibajoč se posvetnega govoričenja in nasprotij krivo imenovane znanosti,
3606150098	Katero spoznavajoč so nekateri izgrešili vero. Milost s teboj! Amen. Timoteju list prvi pisan iz Laodiceje, katera jo glavno mesto Frigije Pakacijane.
370000000a	2 Timoteju
3701010057	Pavel apostelj Jezusa Kristusa po volji Božji za obljubo življenja v Kristusu Jezusu,
3701020067	Timoteju otroku ljubljenemu: milost, usmiljenje, mir od Boga očeta in Kristusa Jezusa Gospoda našega.
3701030087	Hvaležen sem Bogu, kateremu služim od pradedov v čisti vesti, ker te imam neprestano v spominu v molitvah svojih ponoči in podnevi,
3701040049	Hrepeneč videti te, spominjajoč se solz tvojih, da se napolnim veselja;
3701050093	Ker imam v mislih nelicemersko vero tvojo, katera je bivala najprej v babici tvoji Lojidi in materi tvoji Evniki, preverjen sem pa, da tudi v tebi.
3701060060	Zaradi tega opominjam te, da upihaš blagodar Božji, kateri je v tebi po rók mojih pokladanji.
370107004d	Kajti Bog nam ni dal duha boječnosti, nego moči in ljubezni in strahovanja.
3701080074	Ne sramuj se torej pričanja Gospoda našega, ne mene, jetnika njegovega; nego z evangeljem vred trpi po moči Boga,
370109009b	Kateri je nas rešil in poklical sè svetim poklicem: ne po delih naših, nego po svojem sklepu in milosti, dani nam v Kristusu Jezusu pred večnimi časi;
37010a008d	A razodeti sedaj po prihodu rešitelja našega Jezusa Kristusa, kateri je uničil smrt in obelodanil življenje in neminljivost po evangelji,
