2800000008	Matáayo
4209030069	Aho, nkʉʉmbɨ jikafuma hara muukii, jikeenera ɨsɨ, maa jikaheewa ngururu yo lʉma ja ngururu ja ingi.
42090400c7	Ijo nkʉʉmbɨ jikakaaniwa jidɨɨre saambʉla masaambɨ ya ɨsɨ, baa mʉmero tʉkʉ baa mʉtɨ wowoosi tʉkʉ. Maa kaa, jivaturikirye vara voosi ˆvasiina mʉtooso wa Mʉlʉʉngʉ vipáamii vyaavo.
42090500b1	Ijo nkʉʉmbɨ sɨ jijáa jarekerwa jivʉʉlae tʉkʉ, maa kaa, kʉvaturikirya vii kwa myeeri ɨsaano. Ʉsʉʉngʉ wo lʉmwa nɨ ijo nkʉʉmbɨ ʉjáa nɨ ja ulúmirwe nɨ ingi.
4209060093	Mpɨɨndɨ ijo, vaantʉ saakɨra veende inkwya, maa kaa, sɨ varɨ kɨɨpata tʉkʉ. Merirya veende matɨ inkwya, maa kaa, inkwya vatɨɨja yeende.
42090700c9	Haaha ijo nkʉʉmbɨ jijáa nɨ ja faráasi ˆjiímiiwe neeja sa nkoondo. Mitwii yaavo jijáa jiivɨkɨra kɨɨntʉ ˆkɨrɨ ja itáaji ra saháabu. Visho vyaavo vijáa viifwɨ́ɨne visho vya vaantʉ.
420908006c	Njwɨɨrɨ jaavo jijáa jiifwɨ́ɨne njwɨɨrɨ ja vaantʉ vaki. Mayeo yaavo yajáa nɨ ja mayeo ya siimba.
42090900bc	Jijáa jatɨɨte ngawo ya chʉʉ́ma ˆyakʉnɨkɨrɨra kɨpeembe. Sawúti ya mbava jaavo, ɨjáa nɨ ja sawúti ya magáari ˆyarútwaa nɨ faráasi ˆyarɨ foo ˆyootɨɨja na nkoondwii.
42090a0083	Mɨkɨra yaavo ɨjáa yatɨɨte kɨdoboko ja mɨkɨra ya ingi, na ɨjáa yatɨɨte ngururu yo turikirya vaantʉ kwa myeeri ɨsaano.
42090b00d4	Ijo nkʉʉmbɨ jijáa jatɨɨte mʉtemi, ʉwo mʉtemi waavo noo murimʉ mʉʉja wa Ntarii. Irina raachwe kwa Kɨeburanía noo Abadóoni aséwaa, na kwa Kɨgiríki noo Apolóoni aséwaa, noo kʉsea, “Mʉmali.”
42090c0052	Irema ra ncholo ralóokire. Haaha mʉtaange yakaarɨ marema yavɨrɨ ˆyookʉʉja.
42090d00a0	Murimʉ mʉʉja wa sasatʉ ʉkafwɨɨra irimʉ raachwe. Aho, nkateera sawúti yoofʉmɨra mpeembii ine ja masabáahʉ ya saháabu ˆɨrɨ mbere ya Mʉlʉʉngʉ.
42090e00c2	Sawúti ɨyo, ɨkamʉsea jei murimʉ mʉʉja wa mʉsasatʉ ʉra ˆajáa na irimʉ, “Ɨchʉngʉrɨre mirimʉ miija ɨne, ɨra ˆyachuungwa aho ibootii ikʉʉlʉ ˆriíkaa maaji ra Efuráati.”
42090f00dd	Ɨyo mirimʉ miija ɨne ɨkachʉngʉrɨrwa sa yʉʉlae ivaru rɨmwɨ ra mavaru yatatʉ ya vaantʉ voosi va weerʉ. Ɨyo mirimʉ miija ɨjáa yavɨɨkwa neeja sa mpɨɨndɨ ɨhɨ, sikʉ ɨhɨ, mweeri ʉhʉ na mwaaka ʉhʉ.
4209100082	Aho, vakʉʉja valwi nkoondo ˆvarɨ foo ˆviivérekiirye faráasi. Nkateera hesáabu yaavo nɨ mayana magana yavɨrɨ mara iyana.
420911013c	Haaha aho njorii, jei noo ˆvyeene joonekana ijo faráasi na vaambuki faráasi, vipeembii vyaavo, vajáa vatɨɨte ngawo ja mooto ˆjiri nkʉʉndʉ, ˆjiri gyaa na ˆjiri ubúusi ja sálʉfa. Ijo faráasi mɨtwe yaavo ɨjáa nɨ ja mɨtwe ya siimba, mɨlomwii yaavo kwafumáa lʉrɨɨjo lwa mooto, muuki na sálʉfa.
420912009c	Kwa ayo marema yatatʉ, ivaru rɨmwɨ ra mavaru yatatʉ ya vaantʉ voosi va weerʉ vakʉʉlawa nɨ mooto, muuki na sálʉfa ngʼeene yafumáa malakii yaavo.
420913008a	Ngururu ja ijo faráasi nɨ mɨlomwii na mikirii yaavo jijáa. Mɨkɨra yaavo nɨ ja njoka ˆjiri na mɨtwe yo turikirirya vaantʉ ɨjáa.
4209140173	Vaantʉ ˆveene sɨ vʉʉlawa nɨ ayo marema, sɨ vamʉvalandʉkɨra Mʉlʉʉngʉ tʉkʉ, vareke ʉvɨ wa mɨrɨmo ya mɨkono yaavo. Voovo vajáa vatuuba kwiinamɨra mirimʉ mɨvɨ, vidabalaíyo ˆvyatengeneshiwa kwa saháabu, chʉʉ́ma cha mpía, sháaba, mawye na mabambari. Vidabalaíyo ivyo sɨ vyoonáa tʉkʉ, sɨ vyateeráa tʉkʉ, baa kei sɨ vyayeendáa tʉkʉ.
420915007b	Avo vaantʉ sɨ vamʉvalandʉkɨra Mʉlʉʉngʉ fuma kʉʉlaa kwaavo, ʉsavɨ waavo, ʉhanguti waavo na wiivi waavo tʉkʉ.
420a0100fd	Aho, nkoona murimʉ mʉʉja wɨɨngɨ ˆʉrɨ na ngururu wookiima fuma kurumwii. Ʉwo murimʉ, ʉjáa warɨ́ɨngɨrɨɨrwe nɨ ichu na italavaási mutwii waachwe. Kisho chaachwe chalavalaváa ja mwaasʉ, na mawʉlʉ yaachwe yajáa ja ngururyo ja mooto.
420a0200c9	Mʉkonwii waachwe ʉjáa wakwáatɨrɨɨre kɨtáabu kiduudi ˆchaálwɨɨrwe. Ʉwo murimʉ ʉjáa walwaatya ijeo raachwe ra kʉlʉme mweeri ya mayɨya, na ra kʉmooso ʉjáa walwaatya mweeri ya ɨsɨ.
420a03007b	Ʉkatʉla isóso na sawúti nkʉʉlʉ ja siimba ˆyooruma. ˆɄkatʉle isóso, maa vira vidandárɨka mufungatɨ vikarɨra.
420a0400fe	Mpɨɨndɨ ivyo vidandárɨka mufungatɨ ˆvikarume, nɨɨnɨ nkasaaka naande kaandɨka. Maa kaa, nkateera sawúti fuma kurumwii yoosea, “Vaa mʉtooso masáare ˆyalúusirwe nɨ ivyo vidandárɨka mufungatɨ na karɨ ʉyaandɨke tʉkʉ. Nɨ kimbiso.”
420a0500ac	Aho, ʉra murimʉ mʉʉja ˆnaarɨ nɨɨ́ne wiímire kʉʉlʉ kʉmwɨ mweeri ya mayɨya na kwɨɨngɨ mweeri ya ɨsɨ, ukiinurirya mʉkono waachwe wa kʉlʉme na kurumwii.
420a060111	Ʉwo murimʉ ukiilaha kwa irina ra Mʉlʉʉngʉ ˆArɨ Nkaasʉ kwa sikʉ ˆjisiina ʉhero. Yeeye ʉʉmba kurumu na vyoosi ˆviri mʉʉmo na ʉʉmba weerʉ na vyoosi ˆviri mʉʉmo na ʉʉmba mayɨya na vyoosi ˆviri mʉʉmo. Maa ʉkasea, “Mpɨɨndɨ jo woojera jasírire!
420a0700e1	Maa kaa, sikʉ ijo ʉra murimʉ mʉʉja wa mufungatɨ ˆʉrɨ sengerera fwɨɨra irimʉ raachwe, Mʉlʉʉngʉ kiimikirirya arɨ kɨra ˆakɨbweeyya kɨve fuumbo ja ˆvyeene avawyɨɨra vatʉmami vaachwe valáali na mʉtwe.”
420a0800e3	Aho, nkateera ɨra sawúti fuma kurumwii ɨkaanyanɨrɨra kei yookʉʉnsea, “Tamanya kasʉmʉle kɨra kɨtáabu kiduudi ˆchafótolwɨɨrwe mʉkonwii wa ʉra murimʉ mʉʉja ˆwiímire mweeri ya mayɨya na mweeri ya ɨsɨ.”
420a0900d6	Maa nkatamanya na kwa ʉra murimʉ mʉʉja. Nkʉʉloomba wʉʉmpeere kɨra kɨtáabu kiduudi. Nowo ʉkaansea, “Kɨsʉmʉle, ukirye. Mʉlomwii kʉva kɨrɨ mwerere ja hʉʉkɨ na indii kʉva kɨrɨ ʉsʉʉngʉ.”
420a0a00b5	Jeyyo, nkatoola kɨra kɨtáabu kiduudi fuma mɨkonwii ya ʉra murimʉ mʉʉja maa nkarya. Mʉlomwii kɨjáa chaamwerere ja hʉʉkɨ, maa kaa, ˆnkamerye, indii kɨkava ʉsʉʉngʉ.
420a0b00b3	Aho, maa nkasewa jei, “Woosaakwa ʉlʉʉse kei ʉláali na mʉtwe kwa nkolo ˆjiri foo, kwa vaantʉ va ndʉʉsɨka ˆjiri foo, kwa ɨsɨ ˆjiri foo na kwa vatemi ˆvarɨ foo.”
420b0100c5	Aho, nkaheewa isaanga ˆrɨrɨ ja dʉʉrɨ yo piimɨra, maa nkasewa, “Inʉka, upiime Kaaya Njija ya Mʉlʉʉngʉ na masabáahʉ. Kei ʉvale vaantʉ ˆvoomwiinamɨra Mʉlʉʉngʉ aho Kaayii Njija.
420b0200b6	Maa kaa, karɨ upiime waama wa Kaaya Njija tʉkʉ, sa ʉwo waama vaheewa vaantʉ sɨ ˆvarɨ Vayahúudi. Voovo lwaatalwaata varɨ múujii mʉʉja kwa myeeri makumi yanɨ na ɨvɨrɨ.
420b0300d7	Nɨɨnɨ vaheera ndɨrɨ mashahíidi vaanɨ vavɨrɨ lʉvɨro valʉʉse ʉláali na mʉtwe kwa sikʉ ijo iyana rɨmwɨ, magana yavɨrɨ na makumi mʉsasatʉ, kʉnʉ viivɨ́kɨɨre magunía, koonekya ʉsʉʉngʉ.”
420b04008e	Avo mashahíidi nɨ ɨra mɨtɨ ɨvɨrɨ ya mɨseitúuni na vira vyaángo vivɨrɨ vya vimʉrɨ ˆvyɨɨ́maa mbere ya Ijʉva wa weerʉ yoosi.
420b0500a7	Mʉʉntʉ yoyoosi ˆarɨ saaka varetera marema, ʉʉ́lawaa nɨ mooto ˆwafúmaa malakii yaavo. Jeyyo, noo ˆvyeene arɨ kʉʉlawa ʉra ˆarɨ yera kʉvaretera marema.
420b060107	Avo mashahíidi vatɨɨte lʉvɨro lo chuunga kurumu mbula ɨdɨɨre vaa mpɨɨndɨ joosi ˆvoolʉʉsa ʉláali na mʉtwe. Baa kei, vatɨɨte lʉvɨro lo valandʉla maaji yave sakami, na kʉʉvaa weerʉ kwa marema ˆyiísimiresimire mpɨɨndɨ yoyoosi ˆvoosaaka.
420b07008e	Na ˆvarɨ hʉmʉla toola ʉshahíidi waavo, maka fuma ntarii vakɨɨmɨrɨra ɨrɨ nkoondo, na ɨyo maka vasiinda ɨrɨ na kʉvʉʉlaa ɨrɨ.
420b0800cd	Miviimba yaavo chaala ɨrɨ njirii ya múuji ʉra mʉkʉʉlʉ, haantʉ Mweenevyoosi waavo ˆaningʼiniwa mʉsaláabii fʉʉrʉ akakwya. Na irina ra fuumbo ra ʉwo múuji noo Sodóoma au Mísiri ˆwaséwaa.
420b0900aa	Vaantʉ fuma kɨra ndʉʉ, kɨra lʉkolo, kɨra ndʉʉsɨka, na fuma kɨra ɨsɨ, laanga varɨ ɨyo miviimba kwa sikʉ itatʉ na núusu na sɨ varɨ ruma ɨtaahwe tʉkʉ.
420b0a00ad	Na vaantʉ ˆviíkalaa aha weerwii vyeenda varɨ no vaa siriri. Novo kiiheera veende vilʉngʉlʉngʉ sa avo mashahíidi vavaturikiryáa avo vaantʉ ˆviíkalaa aha weerwii.
420b0b00cb	Maa kaa, sikʉ itatʉ na núusu ˆjikalooke, nkeeho ya nkaasʉ ˆifúmaa kwa Mʉlʉʉngʉ ɨkavɨɨngɨra vara mashahíidi. Aho, vakɨɨma na mawʉlʉ yaavo. Vaantʉ vakakwaatwa nɨ woowa ˆvakavalaange.
420b0c00ab	Aho, vara mashahíidi vakateera sawúti nkʉʉlʉ fuma kurumwii yoovasea, “Ambuki na kʉnʉ we!” Jeyyo, vakaambʉka na kurumwii na ichu kʉnʉ vavɨ vaavo voovalaanga.
420b0d0110	Mpɨɨndɨ yɨɨyo, kʉkafʉmɨra kitiíntima kɨkʉʉlʉ, na ɨmwɨ ya ikimi ya múuji ɨkawya. Vaantʉ mayana mufungatɨ vakʉʉlawa nɨ ɨkyo kitiíntima. Na vara ˆvachaala vakakwaatwa nɨ woowa maatʉkʉ vii, maa vakamʉbweeyyirya nkongojima Mʉlʉʉngʉ wa kurumwii.
420b0e005c	Rɨra irema ra vaantʉ ra kavɨrɨ ralóokire. Laanga, irema ra katatʉ rookʉʉja chaangʉ.
420b0f00f1	Aho, murimʉ mʉʉja wa mufungatɨ ʉkafwɨɨra irimʉ raachwe. Maa, kʉkava na sawúti nkʉʉlʉ kurumwii joosea, “Ʉtemi wa weerʉ wavɨ́ɨre wa Ijʉva wiitʉ na wa Masía waachwe, yeeye kɨɨmɨrɨra arɨ kwa sikʉ ˆjisiina ʉhero.”
420b1000a5	Aho, vara vawosi makumi yavɨrɨ na vanɨ, vara ˆviíkalaa machuumbii yaavo ya kɨtemi mbere ya Mʉlʉʉngʉ, vakalaala ɨsɨ na ɨnda, vakamwiinamɨra Mʉlʉʉngʉ
420b1100a6	voosea, “Tookʉdʉʉmba ee Ijʉva Mʉlʉʉngʉ Mweenengururu, weewe ʉmwaarɨ na ʉjáa ʉmwaarɨ. Weewe watoola ngururu jaako nkʉʉlʉ, na ʉkaanda kɨɨmɨrɨra.
420b120159	Ɨsɨ sɨ ˆjikurúmaa jijáa jakalala, maa kaa, nkalari yaako yuújire. Mpɨɨndɨ yuújire yo mʉlamʉrɨra kɨra mʉʉntʉ ˆaakwya, na yo vaheera kʉnáálo vatʉmami vaako valáali na mʉtwe na vaantʉ vaako, na vara ˆvarɨnyémyaa irina raako, vakʉ́ʉ́lʉ na vadúúdi. Kei mpɨɨndɨ yuújire yo vamala vara ˆvasáambʉlaa weerʉ.”
420b1300d6	Maa re, Kaaya Njija ya Mʉlʉʉngʉ ya kurumwii ɨkayʉʉlwa. Aho, isandúku ra mʉháko rɨkoonekana aho Kaayii Njija. Kʉkava na ndávo, kukiririma, kɨdandárɨka, kitiíntima na mbula nkʉlʉnkʉʉlʉ ya mawye.
420c0100cc	Aho, isháara nkʉʉlʉ ɨkoonekana kurumwii, mʉʉntʉ muki ˆarwíikirwe mwaasʉ, na mweeri ˆʉrɨ ɨsɨ ya majeo yaachwe, kei ˆarɨ na itáaji ra nyényeeri ikimi na ivɨrɨ mweeri ya mʉtwe waachwe.
420c020053	Ʉwo mʉʉntʉ muki nɨ muruto ajáa na arɨráa sa makata yo kiichʉngʉla mwaana.
420c0300cf	Aho kei, isháara yɨɨngɨ ɨkoonekana kurumwii, kɨɨntʉ ˆkɨrɨ ja ramʉʉntaɨra ikʉʉlʉ ˆrɨrɨ nkʉʉndʉ ˆrɨjáa na mɨtwe mufungatɨ na mpeembe ikimi. Na kɨra mʉtwe ʉjáa watɨɨte itáaji.
420c040112	Mʉkɨra waachwe ʉjáa wahʉʉnga ivaru rɨmwɨ ra mavaru yatatʉ ya nyényeeri ˆjiri kurumwii na ʉjáa wajifweitɨra na ɨsɨ. Ɨro ramʉʉntaɨra rɨkɨɨma mbere ya ʉwo mʉʉntʉ muki ˆajáa aséngerɨɨre kiichʉngʉla, sa ˆarɨ kiichʉngʉla vii, rɨmerye mwaana.
420c0500fa	Ʉwo mʉʉntʉ muki akiichʉngʉla mwaana mʉlʉme. Mwaana ʉwo noo ˆarɨ kɨɨmɨrɨra ɨsɨ joosi ja weerʉ kwa nkome ya chʉʉ́ma. Maa kaa, ʉwo mwaana akatoolwa, maa akatwaalwa fʉʉrʉ kwa Mʉlʉʉngʉ na fʉʉrʉ ichuumbii raachwe ra kɨtemi.
420c0600b8	Ʉra mʉʉntʉ muki ne akatɨɨja na ɨsɨ ya ibaláángwii, haantʉ Mʉlʉʉngʉ ˆahiimya neeja sa amʉlaangirirye ʉko kwa sikʉ iyana rɨmwɨ, magana yavɨrɨ na makumi mʉsasatʉ.
420c0700a3	Haaha ʉko kurumwii kʉkava na nkoondo. Mɨkaéeli mʉkʉ́ʉ́lʉ wa mirimʉ miija na mirimʉ yaachwe vakalwa nkoondo na ramʉʉntaɨra na mirimʉ yaachwe mɨvɨ.
420c080075	Maa kaa, ramʉʉntaɨra na mirimʉ yaachwe yakasiindwa na kʉkasoveka nkalo yaachwe na mirimʉ yaachwe ʉko kurumwii.
420c0900f5	Maa ɨro ramʉʉntaɨra rɨkafweitwa na ɨsɨ. Ɨro noo rɨra ijoka ra kalɨ ˆrɨséwaa Ikʉ́ʉ́lʉ ra Mirimʉ Mɨvɨ noo kʉsea, Irimʉ, rooro noo ˆrɨkóoveraa weerʉ yoosi. Rɨkafweitwa na ɨsɨ na mirimʉ yaachwe ɨkafweitwa hamwɨ noro.
420c0a00fe	Aho, nkateera sawúti nkʉʉlʉ fuma kurumwii yoosea, “Haaha ʉlamuriri, ngururu na Ʉtemi wa Mʉlʉʉngʉ wiitʉ wuújire, na wiimiriri wa Masía waachwe. Sa ʉra ˆavasítaakyaa vaaniitʉ mbere ya Mʉlʉʉngʉ chɨrɨrɨ chobu, afwéitɨrwe na ɨsɨ.
420c0b00a7	Novo vamusiinda kwa sakami ya Mwaana wa Muundi, na kwa isáare ra ʉshahíidi waavo. Voovo sɨ voona nkaasʉ yaavo nɨ kɨɨntʉ tʉkʉ, mpaka kukwya sa kuruma kwaavo.
420c0c0102	Sa jeyyo, ee kurumu vaa siriri, na nyuunyu ˆmwiíkalaa ʉko vai siriri! Maa kaa, nɨ mpolaɨ kwa ɨsɨ na mayɨya, sa Ikʉ́ʉ́lʉ ra Mirimʉ Mɨvɨ rakíimire na kwaanyu, rakíimire na kwaanyu na nkalari, rooro ratáangire mpɨɨndɨ yaachwe nɨ nkufi.”
420c0d0090	Ɨro ramʉʉntaɨra ˆrɨkoone rafwéitirwe na ɨsɨ, maa rɨkaanda kʉmʉsakaata ʉra mʉʉntʉ muki ˆajáa iichʉ́ngwɨɨre mwaana mʉlʉme.
420c0e0112	Maa kaa, ʉra mʉʉntʉ muki akaheewa mbava ja ja mbeu nkʉʉlʉ, sa awʉlʉke na kʉlɨkʉʉlɨ ʉko ɨsɨ ya ibaláángwii kʉʉntʉ ˆiimiriwa neeja sa alaangiririwe neeja na ave kʉlɨ na ɨro ramʉʉntaɨra kwa sikʉ iyana rɨmwɨ, magana yavɨrɨ na makumi mʉsasatʉ.
420c0f0074	Aho, ɨro ramʉʉntaɨra rɨkataɨka maaji ˆyarɨ foo ja lʉʉjɨ ˆlookiika sa yamukumuriirye ʉra mʉʉntʉ muki.
420c10009c	Maa kaa, ɨsɨ ɨkamwaambirirya ʉwo mʉʉntʉ muki, ɨkoonyekera ja mʉlomo, maa ɨkateererya lʉra lʉʉjɨ ˆlwafumáa mʉlomwii wa rɨra ramʉʉntaɨra.
420c110129	Aho, ɨro ramʉʉntaɨra rɨkamʉkalarɨra ʉra mʉʉntʉ muki maatʉkʉ vii. Rɨkalooka no koolwa nkoondo na vaana vɨɨngɨ vara ˆvachaala va ʉra mʉʉntʉ muki. Ava vaana noo vara voosi ˆvakwaatya ndairiri ja Mʉlʉʉngʉ na ˆvatuuba kʉtoola ʉshahíidi wa kumuruma kwaavo YéesuKirisitʉ.
420d010118	Maa re ɨro ramʉʉntaɨra rɨkɨɨma mbarɨmbarɨ ya mayɨya. Aho, nkoona maka yoofuma mayiyii. Ɨyo maka ɨjáa yatɨɨte mpeembe ikimi, na mɨtwe mufungatɨ. Kɨra mpeembe ɨjáa yatɨɨte itáaji. Mweeri ya kɨra mʉtwe kʉjáa kwaandɨkwa irina ra uhiintiki kwa Mʉlʉʉngʉ.
420d020117	Ɨyo maka ˆnɨjáa nɨɨyona ɨjáa yiifwɨ́ɨne sʉvɨ, majeo yaachwe yajáa nɨ ja majeo ya idunkáárya na mʉlomo waachwe ʉjáa nɨ ja mʉlomo wa siimba. Rɨra ramʉʉntaɨra rɨkɨɨheera ɨyo maka ngururu jaachwe, ichuumbi raachwe ra kɨtemi na ngururu jo kɨɨmɨrɨra.
420d0300a9	Nkoona mʉtwe ʉmwɨ wa ɨyo maka ʉjáa watɨɨte kɨloonda cha inkwya, maa kaa, ʉlo lʉʉma lʉkahola. Vaantʉ voosi va weerʉ vakahwaalala, maa vakiituuba ɨyo maka.
420d0400db	Jeyyo, vakariinamɨra ramʉʉntaɨra sa ˆvyeene rɨjáa rɨɨhɨ́ɨre ɨra maka wiimiriri waachwe. Kei vakiiyinamɨra ɨra maka na vakiiyurya voosea, “Ani ˆarɨ ja ɨhɨ maka? Na nɨ ani ˆarɨ daha kʉlwa noyo?”
420d0500b4	Ɨra maka ɨkaheewa nkalo ɨlʉʉse masáare yo kiivaa kɨpeembe na yo mʉhɨɨntɨkɨra Mʉlʉʉngʉ. Ɨkaheewa ʉlo lʉvɨro lo kɨɨmɨrɨra kwa myeeri makumi yanɨ na ɨvɨrɨ.
420d060092	Maa ɨkaalʉla mʉlomo waachwe ɨmʉhɨɨntɨkɨre Mʉlʉʉngʉ, na ɨhɨɨntɨkɨre haantʉ Mʉlʉʉngʉ ˆiíkalaa na ˆviíkalaa ʉko kurumwii.
420d07009f	Kei ɨkarekerwa ɨlwe na vaantʉ va Mʉlʉʉngʉ na ɨkavasiinda. Ɨkaheewa wiimiriri mweeri ya kɨra lʉkolo, kɨra ndʉʉ, kɨra ndʉʉsɨka, na kɨra ɨsɨ.
420d0800e8	Na vaantʉ voosi va weerʉ kwiiyinamɨra varɨ, noo kʉsea, kɨra mʉʉntʉ irina raachwe sɨ ˆraandɨkwa kɨtáabwii cha nkaasʉ cha Mwaana wa Muundi keende kʉʉmbwa kwa weerʉ, kɨtáabwii cha Mwaana wa Muundi ʉra ˆasɨɨnjwa.
420d09001b	ˆArɨ na matu, nɨ ateere.
420d0a00e3	Koonɨ mʉʉntʉ nɨ wo nyahɨrwa nkoondwii, nyahɨrwa arɨ asʉmʉlwe. Koonɨ mʉʉntʉ nɨ wo kʉʉlawa na nyaasʉka, kʉʉlawa arɨ na nyaasʉka. Aho, noo kʉʉntʉ ˆkʉrɨ kuyimirirya na kuruma kwa vaantʉ va Mʉlʉʉngʉ.
420d0b00bd	Aho, nkoona maka yɨɨngɨ ya isaka yookaambʉka na mweeri fuma ɨsɨ. Ɨyo maka ɨjáa yatɨɨte mpeembe ivɨrɨ ˆyiifwɨ́ɨne ja mwaana wa muundi. Noyo ɨkalʉʉsɨka ja ramʉʉntaɨra.
420d0c00de	Ɨyo maka ɨkatumia wiimiriri wa ɨra maka ya ncholo kɨpaango chaachwe. Noyo ɨkabweeyya vaantʉ voosi va weerʉ, voosi ˆviíkalaa isii yaachwe viinamɨre ɨra maka ya ncholo, ɨra kɨloonda chaachwe cha imalo ˆchahola.
420d0d007f	Noyo ɨkabweeyya isháara nkʉʉlʉ, baa ɨkabweeyya mooto ʉkakiima fuma kurumwii, ʉkʉʉja mweeri ya ɨsɨ mbere ja vaantʉ.
420d0e0100	Sa ijo isháara ɨjáa yaheewa ɨndoobweeyya kɨpaango cha ɨra maka ya ncholo, ɨkavakoovera vara ˆviíkalaa kʉrɨ weerʉ. Ɨkavalairirya vabweeyye kɨdabalaíyo kwa nyemi ya ɨra maka ya ncholo, ɨra ˆɨjáa yatamikiwa na nyaasʉka, maa kaa, ɨkahola.
420d0f00cc	Ɨra maka ya kavɨrɨ ɨkaheewa lʉvɨro lo kiiheera nkeeho ya nkaasʉ kɨra kɨdabalaíyo cha maka ya ncholo, sa kɨlʉʉsɨke na kɨbweeyye vara ˆvasíitire kuchiinamɨra ɨkyo kɨdabalaíyo vʉʉlawe.
420d1000bf	Ɨkadoomererya kɨra mʉʉntʉ, mʉkʉ́ʉ́lʉ na mudúúdi, musúngaati na mʉkɨva, mʉtʉ́mwa na mʉʉntʉ ˆarɨ húuru atalwe mweeri ya mʉkono waachwe wa kʉlʉme au vipáamii vyaavo.
420d1100a6	Kei ɨkalairirya, kusiina mʉʉntʉ yoyoosi wʉla au baa wʉsa kɨɨntʉ tʉkʉ, mpaka ave na ʉlo lʉtalo, noo kʉsea irina ra ɨyo maka au náamba ya irina raachwe.
420d1200c6	Aha, noo hasaakwa tooti. Koonɨ ʉmwɨ arɨ na mɨryʉʉngʉ, ɨɨvale ɨyo náamba ya ɨra maka, sa nɨ náamba ya mʉʉntʉ. Náamba yaachwe nɨ magana mʉsasatʉ, makumi mʉsasatʉ na mʉsasatʉ.
420e010104	Aho, nkalaanga, maa nkoona Mwaana wa Muundi iímire mweeri ya Lʉʉlʉ lwa Sayúuni, arɨ hamwɨ na vaantʉ mayana igana rɨmwɨ, makumi yanɨ na ine. Ava noo vara ˆvaandɨkwa irina ra Mwaana wa Muundi, na irina ra Taáta wa Mwaana wa Muundi vipáamii vyaavo.
420e0200c8	Kei, nkateera sawúti fuma kurumwii, ˆɨrɨ ja sawúti ya lʉʉjɨ lʉkʉʉlʉ, na ja sawúti ya kɨdandárɨka kɨkʉʉlʉ. Na ɨyo sawúti ˆnɨjáa natéɨɨre nɨ ja vavini voovaa mawuumbi yaavo.
420e03014b	Avo vaantʉ vakɨɨmba lwɨɨ́mbo lufya mbere ya ichuumbi ra kɨtemi, na mbere ya vira viúumbe vine ˆviri mooyo na vara vawosi. Kusiina mʉʉntʉ wɨɨngɨ ˆiikiindya akataangɨra ʉlo lwɨɨ́mbo tʉkʉ. ˆVataangɨra nɨ avo vaantʉ mayana igana rɨmwɨ, makumi yanɨ na ine vii, ˆveene vajáa vanunuulwa fuma kʉrɨ weerʉ.
420e04010a	Ava noo vara vaantʉ ˆvasiina njeo, sɨ vanaava na njeo na vaantʉ vaki tʉkʉ, sa voovo nɨ vanjalʉ. Ava vamutúubaa Mwaana wa Muundi kokoosi ˆarɨ doma. Voovo vanunuulwa fuma kwa vaantʉ ja mpóryo ja ndɨɨwa ja ncholo kwa Mʉlʉʉngʉ na kwa Mwaana wa Muundi.
420e05004c	Mɨlomo yaavo yashaanwa isiina ʉloongo tʉkʉ, na isiina mangʼuulo tʉkʉ.
420e060104	Aho, nkoona murimʉ mʉʉja wɨɨngɨ woowʉlʉka katɨ na katɨ ya kurumu, ˆʉrɨ na Masáare Maaja ya sikʉ ˆjisiina ʉhero, woovavariyʉrɨra vara ˆviíkalaa kʉrɨ weerʉ, vaantʉ fuma kɨra ɨsɨ, kɨra lʉkolo, kɨra ndʉʉsɨka, na fuma kɨra ndʉʉ.
420e0700d5	Akalʉʉsa na sawúti nkʉʉlʉ yoosea, “Mʉnyemyi Mʉlʉʉngʉ na mʉmʉbweeyyirye nkongojima, sa mpɨɨndɨ ya ʉlamu yafíkire. Mwiinamiri yeeye ˆmweene ʉʉmba kurumu na ɨsɨ, mayɨya na mpula ja maaji.”
420e0800e0	Murimʉ mʉʉja wa kavɨrɨ ʉkatʉʉbɨrɨra kʉnʉ woosea, “Wahángalamukire! Wahángalamukire múuji mʉkʉʉlʉ wa Babéeli, múuji ʉra ˆwavaheera vaantʉ va ɨsɨ joosi vanywe diváai nkarɨ ya ʉhanguti waachwe.”
420e0900f6	Murimʉ mʉʉja wa katatʉ ʉkatuuba ɨra ɨvɨrɨ, ʉkalʉʉsa kwa sawúti nkʉʉlʉ woosea, “Mʉʉntʉ yoyoosi ˆarɨ kiiyinamɨra ɨyo maka na kɨdabalaíyo chaachwe, na yoyoosi ˆarɨ talwa lʉtalo kɨpáamii chaachwe, au mʉkonwii waachwe,
420e0a00fc	ʉwo ne kʉnywa arɨ diváai nkarɨ ya nkalari ya Mʉlʉʉngʉ. Diváai ɨyo sɨ yasaangiwa na maaji tʉkʉ kati ˆyatengeneshiwáa. Ʉwo mʉʉntʉ turikiriwa arɨ kwa mooto na sálʉfa mbere ya mirimʉ miija ˆɨrɨ mpeho na mbere ya Mwaana wa Muundi.
