010000000c	ԾՆՆԴՈՑ
2a04170124	Եւ նա ասաց նրանց. «Անշուշտ, ինձ այս առածը կ՚ասէք. «Բժի՛շկ, բժշկի՛ր ինքդ քեզ»: Այն ամէնը, ինչ արել ես Կափառնայումում, որչափ որ լսեցինք, արա՛ եւ այստեղ, քո գաւառում»:
2a04180081	Եւ նա ասաց. «Ճշմարիտ եմ ասում ձեզ, որ մարգարէն ընդունելի չէ իր քաղաքում:
2a0419010a	Արդարեւ, ասում եմ ձեզ, որ Եղիայի օրով Իսրայէլում բազում այրիներ կային, երբ երկինքը փակուեց երեք տարի ու վեց ամիս, եւ ամբողջ երկրի վրայ մեծ սով եղաւ:
2a041a00ba	Սակայն նրանցից ոչ մէկի մօտ Եղիան չուղարկուեց, այլ միայն՝ մի այրի կնոջ՝ սիդոնացիների Սարեփթա քաղաքում:
2a041b00e2	Նաեւ՝ Իսրայէլում Եղիսէ մարգարէի օրով բազում բորոտներ կային, եւ սակայն նրանցից ոչ մէկը չմաքրուեց, այլ միայն՝ Նէեման ասորին»:
2a041c006a	Երբ այս լսեցին, ժողովարանում բոլորը լցուեցին բարկութեամբ.
2a041d00ff	եւ վեր կենալով՝ նրան քաղաքից դուրս հանեցին ու տարան մինչեւ դարաւանդը այն լերան, որի վրայ շինուած էր իրենց քաղաքը, որպէսզի նրան գահավէժ անեն:
2a041e003e	Իսկ նա, անցնելով նրանց միջով, գնաց:
2a041f0087	Եւ իջաւ Գալիլիայի Կափառնայում քաղաքը ու շաբաթ օրերը ուսուցանում էր նրանց:
2a0420008a	Նրա ուսուցման վրայ զարմանում էին, որովհետեւ նրա խօսքը լի էր հեղինակութեամբ:
2a042100b1	Եւ ժողովարանում մի մարդ կար, որին բռնել էր մի պիղծ դեւի չար ոգին. սա բարձր ձայնով աղաղակեց եւ ասաց.
2a042200e3	«Թո՛ղ տուր մեզ, Յիսո՛ւս Նազովրեցի, ի՞նչ ես ուզում մեզնից. մեզ կորստեան մատնելո՞ւ եկար. գիտենք, թէ ով ես, Աստծու Սուրբն ես դու»:
2a04230108	Յիսուս սաստեց նրան եւ ասաց. «Պապանձուի՛ր եւ դո՛ւրս ելիր դրանից»: Դեւը մէջտեղում գետին զարկեց նրան եւ դուրս ելաւ նրանից ու որեւէ վնաս չտուեց նրան:
2a04240115	Եւ բոլորին զարմանք պատեց. իրար հետ խօսում էին ու ասում. «Ի՜նչ խօսք է այս, որ իշխանութեամբ եւ զօրութեամբ սաստում է պիղծ ոգիներին, եւ դրանք դուրս են գալիս»:
2a0425006d	Եւ նրա հռչակը տարածւում էր գաւառի շրջակայքի բոլոր տեղերում:
2a0426005a	Եւ նա ժողովարանից դուրս գալով՝ մտաւ Սիմոնի տունը:
2a0427008e	Սիմոնի զոքանչը բարձր ջերմութեան մէջ տառապում էր: Նրա համար Յիսուսին աղաչեցին:
2a042800c1	Նա կանգնեց նրա մօտ, սաստեց ջերմին, եւ ջերմը թողեց նրան: Հիւանդը անմիջապէս ոտքի ելաւ եւ սպասարկում էր նրանց:
2a04290133	Եւ երբ արեւը մայր էր մտնում, բոլոր նրանք, որոնք պէսպէս ցաւերով հիւանդներ ունէին, նրա մօտ էին բերում նրանց. եւ նա նրանցից իւրաքանչիւրի վրայ ձեռք էր դնում ու նրանց բժշկում:
2a042a0120	Շատերի միջից դեւեր էլ էին ելնում, աղաղակում եւ ասում. «Դո՛ւ ես Աստծու Որդին»: Եւ նա սաստում էր ու թոյլ չէր տալիս նրանց խօսել. որովհետեւ գիտէին, թէ նա Քրիստոսն է:
2a042b00fc	Եւ երբ օրը լուսացաւ, նա ելաւ գնաց մի ամայի տեղ, իսկ ժողովուրդը փնտռում էր նրան. եկան մինչեւ նրա մօտ եւ չէին թողնում նրան, որ հեռանայ իրենցից:
2a042c012e	Եւ նա նրանց ասաց. «Աստծու արքայութիւնը ես ուրիշ քաղաքների էլ պիտի աւետարանեմ, որովհետեւ դրա համար իսկ ուղարկուեցի»: Եւ նա քարոզում էր գալիլիացիների ժողովարաններում:
2a050100b9	Եւ մինչ ժողովուրդը խռնւում էր նրա շուրջը՝ լսելու Աստծու խօսքը, նա կանգնած էր Գեննեսարէթի ծովակի ափին:
2a050200d8	Եւ տեսաւ երկու նաւակներ, որ կանգնած էին ծովակի եզերքին. եւ ձկնորսները դրանց միջից դուրս եկած՝ ուռկաններն էին լուանում:
2a050300fe	Նա մտաւ նաւակներից մէկի մէջ, որ Սիմոնինն էր, եւ խնդրեց նրան, որ ցամաքից փոքր-ինչ հեռացնի այն. նստեց ու նաւակի միջից ուսուցանում էր ժողովրդին:
2a050400bd	Եւ երբ դադարեց խօսելուց, ասաց Սիմոնին. «Քշիր տա՛ր դէպի խորերը, եւ ձեր ուռկանները գցեցէ՛ք որսալու համար»:
2a050500f9	Սիմոնը պատասխանեց եւ նրան ասաց. «Վարդապե՛տ, ամբողջ այս գիշեր չարչարուեցինք եւ ոչինչ չբռնեցինք, բայց քո խօսքի համար ուռկանները կը գցենք»:
2a050600ab	Երբ այդ արեցին, մեծ քանակութեամբ ձկներ բռնեցին, այն աստիճան, որ նրանց ուռկանները պատռւում էին:
2a0507010b	Նրանք նշան էին անում միւս նաւակի մէջ եղող իրենց որսակիցներին, որ գան իրենց օգնեն: Եւ նրանք եկան, եւ երկու նաւակներն էլ լցուեցին սուզուելու աստիճան:
2a050800d3	Երբ Սիմոն Պետրոսն այս տեսաւ, Յիսուսի ծնկներին ընկաւ եւ ասաց. «Ինձնից հեռո՛ւ գնա, Տէ՛ր, որովհետեւ ես մեղաւոր մարդ եմ».
2a050900a1	քանի որ վախը պատել էր նրան եւ բոլորին, որ նրա հետ էին, իրենց բռնած ձկների քանակի պատճառով.
2a050a0146	նոյնպէս եւ՝ Զեբեդէոսի որդիներին՝ Յակոբոսին եւ Յովհաննէսին, որոնք Սիմոնի որսակիցներն էին. եւ Յիսուս Սիմոնին ասաց. «Մի՛ վախեցիր, այսուհետեւ դու մարդկա՛նց պիտի որսաս կեանքի համար»:
2a050b006e	Եւ նաւակը ցամաք հանելով՝ թողեցին ամէն ինչ ու նրան հետեւեցին:
2a050c0122	Եւ երբ նա հասաւ քաղաքներից մէկը, բորոտութեամբ պատած մի մարդ, Յիսուսին տեսնելով, երեսի վրայ ընկած՝ աղաչեց նրան եւ ասաց. «Տէ՛ր, եթէ կամենաս, կարո՛ղ ես ինձ մաքրել»:
2a050d00b6	Նա մեկնեց իր ձեռքը, դիպաւ նրան եւ ասաց. «Կամենում եմ, մաքրուի՛ր»: Եւ իսկոյն բորոտութիւնը գնաց նրանից:
2a050e0136	Յիսուս պատուիրեց նրան ոչ ոքի չասել, այլ՝ «Գնա՛, - ասաց, - դու քեզ ցո՛յց տուր քահանային եւ ընծայ տուր քո մաքրուելու համար, ինչպէս որ հրամայել էր Մովսէսը՝ ի վկայութիւն նրանց»:
2a050f00e4	Եւ նրա համբաւը աւելի ու աւելի էր տարածւում. եւ բազում ժողովուրդ էր հաւաքւում լսելու նրան ու իրենց հիւանդութիւնից բժշկուելու:
2a0510006c	Իսկ նա խոյս էր տալիս դէպի ամայի տեղեր եւ աղօթքի էր կանգնում:
2a05110183	Մի օր ինքն ուսուցանում էր, իսկ փարիսեցիներն ու օրէնքի վարդապետները, որոնք հաւաքուել էին Գալիլիայի եւ Հրէաստանի բոլոր քաղաքներից ու Երուսաղէմից, նստած էին. եւ Տիրոջ զօրութիւնը նրա հետ էր ու նրա միջոցով բժշկում էր:
2a051200bc	Եւ ահա մարդիկ մահիճով մի մարդ բերեցին, որ անդամալոյծ էր, եւ ուզում էին նրան ներս մտցնել ու դնել նրա առաջ:
2a05130120	Եւ երբ ամբոխի պատճառով նրան ներս մտցնելու միջոց չգտան, բարձրացան տանիք եւ կտուրի բացուածքից նրան վար կախեցին ու մահիճով հանդերձ իջեցրին մէջտեղ, Յիսուսի առաջ:
2a05140091	Տեսնելով նրանց հաւատը՝ Յիսուս ասաց նրան. «Ո՛վ մարդ, թող քո մեղքերը քեզ ներուեն»:
2a051500ff	Օրէնսգէտներն ու փարիսեցիները սկսեցին խորհել եւ ասացին. «Ո՞վ է սա, որ հայհոյանքներ է ասում. ո՞վ կարող է ներել մեղքերը, եթէ ոչ՝ Աստուած միայն»:
2a051600aa	Յիսուս, գիտենալով նրանց մտածումները, պատասխանեց նրանց եւ ասաց. «Ի՞նչ էք մտմտում ձեր սրտերում.
2a0517009a	ո՞րն է աւելի հեշտ, ասել՝ քեզ ներուած լինեն քո մեղքե՞րը, թէ՞ ասել՝ վե՛ր կաց եւ քայլի՛ր:
2a05180129	Բայց որպէսզի իմանաք, թէ մարդու Որդին իշխանութիւն ունի երկրի վրայ մեղքերը ներելու (ասաց անդամալոյծին)՝ քե՛զ եմ ասում, վե՛ր կաց, վերցրո՛ւ քո մահիճը եւ գնա՛ քո տունը»:
2a051900d4	Եւ իսկոյն բոլորի առաջ վեր կենալով՝ իր վրայ առաւ այն, ինչի վրայ ինքը պառկել էր, գնաց իր տունը եւ փառաւորում էր Աստծուն:
2a051a00c7	Բոլորին զարմանք պատեց, եւ փառաւորում էին Աստծուն: Ահով լցուեցին եւ ասում էին. «Այսօր արտասովոր բաներ տեսանք»:
2a051b0111	Դրանից յետոյ, դուրս ելաւ այնտեղից եւ տեսաւ մի մաքսաւորի, որի անունը Ղեւի էր, եւ որը մաքսատանը նստած՝ գործի վրայ էր: Յիսուս նրան ասաց. «Իմ յետեւից արի՛»:
2a051c005d	Եւ նա թողնելով ամէն ինչ, վեր կացաւ գնաց նրա յետեւից:
2a051d00cf	Եւ Ղեւին իր տան մէջ նրան մեծ ընդունելութիւն տուեց, եւ մեծ թուով մաքսաւորներ եւ ուրիշներ նրանց հետ սեղան էին նստել:
2a051e0108	Փարիսեցիները եւ օրէնսգէտները տրտնջում էին Յիսուսի դէմ իր աշակերտների մօտ ու ասում. «Ինչո՞ւ էք մաքսաւորների եւ մեղաւորների հետ ուտում եւ խմում»:
2a051f0095	Յիսուս պատասխանեց նրանց եւ ասաց. «Առողջներին բժիշկներ պէտք չեն, այլ՝ հիւանդներին:
2a0520007d	Ես չեմ եկել արդարներին կանչելու, այլ՝ մեղաւորներին՝ ապաշխարութեան»:
2a05210124	Եւ նրանցից ոմանք ասացին նրան. «Ինչո՞ւ Յովհաննէսի, ինչպէս եւ փարիսեցիների աշակերտները ծոմ են պահում յաճախ եւ աղօթք անում, իսկ քո աշակերտները ուտում են ու խմում»:
2a052200c6	Եւ նա ասաց նրանց. «Միթէ կարո՞ղ էք հարսանքաւորներին հրամայել, որ ծոմ պահեն, որքան ժամանակ որ փեսան նրանց հետ է:
2a05230085	Կը գան օրեր, երբ որ փեսան նրանցից կը վերցուի, ապա այդ օրերին ծոմ կը պահեն»:
2a0524011b	Եւ նրանց մի առակ էլ ասաց. «Ոչ ոք հնացած ձորձի վրայ նոր զգեստից կտոր չի դնի, ապա թէ ոչ՝ ե՛ւ նորը կը պատռուի, ե՛ւ նոր զգեստից վերցրած կտորը չի յարմարուի հնի հետ:
2a052500dd	Եւ ոչ ոք նոր գինին հին տիկերի մէջ չի լցնի, ապա թէ ոչ՝ նոր գինին հին տիկերը կը պայթեցնի. գինին կը թափուի, եւ տիկերը կը փչանան:
2a0526007b	Այլ՝ նոր գինին նոր տիկերի մէջ պէտք է լցուի, եւ երկուսն էլ կը պահուեն:
2a0527008d	Եւ ոչ ոք, երբ հինը խմի, նորը կ՚ուզենայ, որովհետեւ կ՚ասի, թէ՝ հինը աւելի լաւն է»:
2a060100e9	Առաջին ամսուայ երկրորդ շաբաթ օրը, երբ նա անցնում էր արտերի միջով, նրա աշակերտները հասկ էին պոկում, շփում իրենց ափի մէջ եւ ուտում:
2a060200a7	Եւ փարիսեցիներից ոմանք ասացին նրանց. «Ինչո՞ւ էք անում այն, ինչ օրինաւոր չէ անել շաբաթ օրով»:
2a060300d2	Յիսուս նրանց պատասխանեց եւ ասաց. «Դուք չէ՞ք կարդացել, թէ ինչ արեց Դաւիթը, երբ քաղց զգաց ինքը եւ նրանք, որ նրա հետ էին.
2a06040118	թէ ինչպէս նա մտաւ Աստծու տունը, կերաւ առաջաւորութեան հացը եւ տուեց նրանց, որ իր հետ էին. մինչդեռ, բացի քահանայապետներից, ոչ ոքի չէր թոյլատրուած ուտել այն»:
2a06050072	Եւ Յիսուս նրանց ասաց. «Մարդու Որդին նաեւ շաբա՛թ օրուայ տէրն է»:
2a060600bb	Եւ մի ուրիշ շաբաթ օր նա մտաւ ժողովարան եւ ուսուցանում էր. եւ այնտեղ կար մի մարդ, որի աջ ձեռքը չորացած էր:
2a060700e8	Օրէնսգէտներն ու փարիսեցիները հետեւում էին՝ տեսնելու, թէ արդեօք շաբաթ օրը կը բժշկի՞. որպէսզի նրան ամբաստանելու համար բան գտնեն:
2a060800bf	Եւ նա գիտէր նրանց մտածումները: Չորացած ձեռքով մարդուն ասաց. «Վե՛ր կաց, մէջտե՛ղ արի»: Նա վեր կացաւ կանգնեց:
2a06090108	Յիսուս նրանց ասաց. «Ես ձեզ մի բան հարցնեմ. շաբաթ օրը ի՞նչ բան է օրինաւոր անել՝ բարի՞ գործ անել, թէ՞՝ չար գործ, մի հոգի՞ փրկել, թէ՞ կորստեան մատնել»:
2a060a00ea	Եւ իր շուրջը բոլորի վրայ զայրագին նայելով՝ ասաց նրան. «Ձեռքդ երկարի՛ր». եւ նա երկարեց, եւ նրա չորացած ձեռքը առողջացաւ միւսի նման:
2a060b008d	Նրանք լցուեցին կատաղութեամբ եւ միմեանց հետ խօսում էին, թէ ի՛նչ անեն Յիսուսին:
2a060c00a3	Եւ այդ օրերին Յիսուս լեռ բարձրացաւ աղօթելու եւ ամբողջ գիշերն անցկացրեց Աստծուն աղօթելով:
2a060d00c3	Եւ երբ լոյսը բացուեց, կանչեց իր աշակերտներին եւ ընտրեց նրանցից տասներկուսին, որոնց եւ առաքեալներ անուանեց.
2a060e0091	Սիմոնին, որին էլ Պետրոս կոչեց, եւ Անդրէասին՝ նրա եղբօրը, Յակոբոսին, Յովհաննէսին,
2a060f00bf	Փիլիպպոսին, Բարթողոմէոսին, Մատթէոսին, Թովմասին, Ալփէոսի որդի Յակոբոսին, Սիմոնին՝ Նախանձայոյզ կոչուածին,
2a06100079	Յակոբի որդի Յուդային եւ Իսկարիովտացի Յուդային, որը եւ մատնիչ եղաւ:
2a06110111	Եւ նրանց հետ միասին իջաւ մի տափարակ տեղ, ուր նրա աշակերտների խումբը եւ ամբողջ Հրէաստանից ու Երուսաղէմից եւ այն կողմերից եւ Տիւրոսի ու Սիդոնի ծովեզրից
2a061200de	շատ մեծ բազմութիւն եկել էր լսելու նրան եւ բժշկուելու իրենց հիւանդութիւններից: Եւ պիղծ ոգիներից տառապողները բժշկւում էին:
2a061300c8	Եւ ամբողջ ժողովուրդն ուզում էր նրան դիպչել, որովհետեւ նրանից մեծ զօրութիւն էր դուրս գալիս եւ բժշկում բոլորին:
2a061400db	Եւ Յիսուս աչքերը բարձրացրեց իր աշակերտների վրայ ու ասաց. Երանի՜ հոգով աղքատներիդ, որովհետեւ Աստծու արքայութիւնը ձերն է:
2a061500c9	Երանի՜ նրանց, որ քաղցած են այժմ, որովհետեւ պիտի յագենան: Երանի՜ նրանց, որ այժմ լալիս են, որովհետեւ պիտի ծիծաղեն:
2a061600d7	Երանի՜ է ձեզ, երբ որ մարդիկ ձեզ ատեն եւ երբ որ ձեզ մերժեն եւ նախատեն ու մարդու Որդու պատճառով ձեր մասին չար անուն հանեն:
2a061700e3	Ուրախացէ՛ք այդ օրը եւ ցնծացէ՛ք, որովհետեւ ձեր վարձը մեծ է երկնքում. նրանց հայրերը նոյն ձեւով էին վարւում մարգարէների հանդէպ:
2a06180085	Բայց վա՜յ ձեզ՝ հարուստներիդ, որովհետեւ դուք ձեր մխիթարութիւնը ստացել էք:
2a061900d7	Վա՜յ ձեզ, որ այժմ յագեցած էք, որովհետեւ քաղցած պիտի մնաք: Վա՜յ ձեզ, որ այժմ ծիծաղում էք, որովհետեւ պիտի սգաք ու պիտի լաք:
2a061a00c8	Վա՜յ ձեզ, երբ որ բոլոր մարդիկ լաւ խօսեն ձեր մասին, որովհետեւ նրանց հայրերը սուտ մարգարէներին այդպէս էին անում:
2a061b00b4	«Բայց ասում եմ ձեզ, դո՛ւք, որ լսում էք ինձ. սիրեցէ՛ք ձեր թշնամիներին, ձեզ ատողներին բարութի՛ւն արէք.
2a061c006a	օրհնեցէ՛ք ձեզ անիծողներին, ձեզ նեղողների համար աղօթեցէ՛ք:
2a061d00e5	Ով խփում է քո ծնօտին, նրան մի՛ւսն էլ մօտեցրու. եւ ով որ քեզնից քո բաճկոնը բռնի է վերցնում, նրան մի՛ արգելիր, որ վերցնի շապիկդ էլ:
2a061e0098	Ամէն մարդու, որ քեզնից ուզում է, տո՛ւր, եւ ինչ որ մէկը քեզնից վերցնի, ետ մի՛ պահանջիր:
2a061f007d	Եւ ինչպէս կամենում էք, որ անեն ձեզ մարդիկ, այնպէս արէ՛ք եւ դուք նրանց:
2a062000c8	Եւ եթէ դուք ձեզ սիրողներին սիրէք, ո՞րն է ձեր արած շնորհը, որովհետեւ մեղաւորներն էլ են սիրում իրենց սիրողներին:
2a062100bd	Եւ եթէ ձեր բարերարներին բարութիւն անէք, ո՞րն է ձեր արած շնորհը, որովհետեւ մեղաւորներն էլ նոյնն են անում:
2a06220138	Եւ եթէ փոխ էք տալիս նրանց, որոնցից յետ առնելու ակնկալութիւն ունէք, ո՞րն է ձեր արած շնորհը, որովհետեւ մեղաւորներն էլ են փոխ տալիս մեղաւորներին, որպէսզի նոյն չափով յետ առնեն:
2a062301b9	Բայց դուք սիրեցէ՛ք ձեր թշնամիներին եւ բարութի՛ւն արէք ձեզ ատողներին ու փո՛խ տուէք նրան, ումից յետ առնելու ակնկալութիւն չունէք: Եւ ձեր վարձը շատ կը լինի, եւ դուք Բարձրեալի որդիները կը լինէք, որովհետեւ նա բարեհաճ է չարերի եւ ապերախտների հանդէպ:
2a06240053	Գթասի՛րտ եղէք, ինչպէս որ ձեր Հայրը գթասիրտ է»:
2a062500c9	«Մի՛ դատէք, որ Աստծուց չդատուէք, մի՛ դատապարտէք, եւ չպիտի դատապարտուէք, ներեցէ՛ք, եւ ներում պիտի գտնէք Աստծուց,
2a0626010c	տուէ՛ք, եւ պիտի տրուի ձեզ. ձեր գոգը պիտի լցնեն առա՛տ չափով՝ թաթաղուն, շարժուն, զեղուն. այն չափով, որով չափում էք, նո՛ւյն չափով պիտի չափուի ձեզ համար»:
2a062700ab	Նրանց մի առակ էլ ասաց. «Միթէ կարո՞ղ է կոյրը կոյրին առաջնորդել. չէ՞ որ երկուսն էլ փոսը կ՚ընկնեն:
2a06280094	Աշակերտը մեծ չէ, քան իր վարդապետը. ամէն կատարեալ աշակերտ իր վարդապետի պէս կը լինի:
2a06290092	Ինչո՞ւ քո եղբօր աչքի միջի շիւղը տեսնում ես, իսկ քո աչքի միջի գերանը չես նշմարում:
2a062a0186	Եւ կամ՝ ինչպէ՞ս կարող ես եղբօրդ ասել՝ եղբա՛յր, թող որ քո աչքից այդ շիւղը հանեմ, իսկ դու քո աչքի միջի գերանը չես տեսնում: Կեղծաւո՛ր, նախ քո աչքից գերանը հանի՛ր եւ ապա լաւ կը տեսնես՝ քո եղբօր աչքից շիւղը հանելու համար»:
2a062b009c	«Որովհետեւ չկայ բարի ծառ, որ չար պտուղ տայ. եւ դարձեալ՝ չկայ չար ծառ, որ բարի պտուղ տայ.
2a062c00af	որովհետեւ իւրաքանչիւր ծառ իր պտղից է ճանաչւում: Փշերից թուզ չեն քաղում եւ ոչ էլ մորենուց՝ խաղող:
2a062d00f5	Բարի մարդը իր սրտի բարի գանձերից բարին է բխեցնում, իսկ չար մարդը՝ չարն է բխեցնում. որովհետեւ սրտի աւելցուկից է, որ խօսում է նրա բերանը»:
2a062e0072	«Ինչո՞ւ ինձ «Տէ՛ր, Տէ՛ր» էք կոչում, իսկ ինչ ասում եմ՝ չէք անում:
2a062f00a6	Ամէն մարդ, որ ինձ է գալիս եւ լսում է իմ խօսքերն ու կատարում դրանք, ձեզ ցոյց տամ, թէ ում է նման:
2a06300160	Նման է տուն շինող այն մարդուն, որ հողը փորեց ու խորացրեց եւ հիմքը դրեց ժայռի վրայ. եւ երբ հեղեղ բարձրացաւ, գետը զարկեց տանը եւ չկարողացաւ շարժել այն, որովհետեւ նրա հիմքը ժայռի վրայ էր հաստատուած:
2a06310131	Իսկ ով իմ խօսքերը լսում է եւ չի կատարում, նման է այն մարդուն, որ հողի վրայ առանց հիմքի տուն է շինում. գետը զարկեց, եւ այն իսկոյն փուլ եկաւ, եւ այդ տան կործանումը մեծ եղաւ»:
2a07010099	Եւ երբ Յիսուս վերջացրեց իր բոլոր խօսքերը, եւ ժողովուրդը նրան լսեց, Կափառնայում մտաւ:
2a070200ab	Այնտեղ մի հարիւրապետի ծառայ, որ շատ սիրելի էր նրա համար, ծանր հիւանդացել էր եւ մեռնելու մօտ էր:
2a070300b9	Երբ լսեց Յիսուսի մասին, հրեաներից աւագներին ուղարկեց, որ աղաչեն նրան, որպէսզի գայ եւ բժշկի իր ծառային:
2a070400bf	Եւ նրանք Յիսուսի մօտ գալով՝ թախանձագին աղաչում էին նրան եւ ասում. «Արժանի է նա, որին այս շնորհը պիտի անես,
2a07050078	որովհետեւ նա սիրում է մեր ազգը եւ ժողովարանը նա՛ շինեց մեզ համար»:
2a0706012d	Յիսուս գնաց նրանց հետ. երբ տնից շատ հեռու չէր, հարիւրապետը նրա մօտ բարեկամներ ուղարկեց՝ ասելով. «Տէ՛ր, նեղութիւն մի՛ կրիր, որովհետեւ արժանի չեմ, որ իմ յարկի տակ մտնես.
2a070700a1	դրա համար էլ ինձ արժանի չհամարեցի քեզ մօտ գալու. այլ՝ խօսքով ասա՛, եւ իմ ծառան կը բժշկուի.
2a07080156	որովհետեւ ինքս էլ իշխանութեան ենթակայ մարդ եմ, իմ ձեռքի տակ զինուորներ ունեմ. սրան ասում եմ՝ գնա՛, եւ գնում է, իսկ միւսին, թէ՝ արի՛, եւ գալիս է, եւ իմ ծառային, թէ՝ արա՛ այս բանը, եւ նա անում է»:
2a07090107	Եւ երբ Յիսուս այս լսեց, զարմացաւ. դարձաւ ժողովրդին, որ հետեւում էր իրեն, եւ ասաց. «Ճշմարիտ եմ ասում ձեզ, որ Իսրայէլի մէջ անգամ այսչափ հաւատ չգտայ»:
2a070a0076	Պատգամաւորները տուն վերադարձան եւ հիւանդ ծառային գտան բժշկուած:
2a070b00d5	Հետեւեալ օրը Յիսուս գնում էր մի քաղաք, որ Նային էր կոչւում. նրա հետ էին գնում նաեւ իր աշակերտները եւ բազում ժողովուրդ:
2a070c00f4	Երբ քաղաքի դարպասին մօտեցաւ, ահա դուրս էր բերւում մի մեռել, միակ որդին իր մօր, որ մի այրի կին էր. եւ քաղաքից բազում ժողովուրդ նրա հետ էր:
2a070d005c	Երբ Տէրը կնոջը տեսաւ, խղճաց նրան եւ ասաց. «Մի՛ լար»:
2a070e00ba	Մօտենալով՝ դագաղին դիպաւ: Դագաղը տանողները կանգ առան: Եւ նա ասաց. «Քե՛զ եմ ասում, ո՛վ պատանի, վե՛ր կաց»:
2a070f0076	Մեռելը վեր կացաւ, նստեց եւ սկսեց խօսել: Եւ Յիսուս նրան մօրը տուեց:
2a07100113	Եւ ահը պատեց բոլորին. փառաւորում էին Աստծուն եւ ասում. «Մի մեծ մարգարէ է յայտնուել մեր մէջ», եւ՝ «Աստուած այցելութիւն է տուել իր ժողովրդին բարութեամբ»:
2a07110090	Եւ նրա մասին այս զրոյցը տարածուեց ամբողջ Հրէաստանում եւ երկրի բոլոր կողմերում:
2a07120068	Եւ Յովհաննէսին այս բոլորի մասին պատմեցին իր աշակերտները:
2a071300fa	Եւ Յովհաննէսն իր աշակերտներից մի երկուսին իր մօտ կանչեց ու նրանց ուղարկեց Տիրոջ մօտ՝ ասելու. «Դո՞ւ ես, որ գալու էիր, թէ՞ ուրիշին սպասենք»:
2a071400f0	Եւ այդ մարդիկ գալով նրա մօտ՝ ասացին. «Յովհաննէս Մկրտիչը մեզ ուղարկեց քեզ մօտ եւ ասում է. «Դո՞ւ ես, որ գալու էիր, թէ՞ ուրիշին սպասենք»:
2a071500e8	Եւ նոյն ժամին նա շատերին բժշկեց հիւանդութիւններից, ցաւերի հարուածներից, չար ոգիներից եւ բազմաթիւ կոյրերի տեսողութիւն շնորհեց:
2a071601a0	Նա պատասխանեց նրանց եւ ասաց. «Գնացէք պատմեցէ՛ք Յովհաննէսին, ինչ որ դուք տեսաք եւ լսեցիք. որ կոյրերը տեսնում են, կաղերը՝ քայլում, բորոտները մաքրւում են, խուլերը՝ լսում, մեռելները յարութիւն են առնում, աղքատները Բարի լուրն են լսում.
2a07170053	եւ երանի՜ նրան, որ իմ պատճառով չի գայթակղուի»:
2a07180112	Եւ երբ Յովհաննէսի պատգամաւորները գնացին, նա սկսեց ժողովրդին խօսել Յովհաննէսի մասին. «Ի՞նչ տեսնելու համար դուրս եկաք անապատ. քամուց շարժուող մի եղէ՞գ:
2a0719013b	Հապա ի՞նչ տեսնելու համար դուրս եկաք. փափուկ զգեստներով զարդարուած մի մա՞րդ. ահաւասիկ նրանք, որ փառաւոր զգեստներով են եւ փափուկ կենցաղով են ապրում, արքունիքներում են լինում:
2a071a00a4	Հապա ի՞նչ տեսնելու համար դուրս եկաք. մի մարգարէ՞. այո՛, ասում եմ ձեզ, առաւել քան մի մարգարէ.
2a071b00ee	որովհետեւ Յովհաննէսը նա է, որի մասին գրուած է. «Ահա քո առաջից ուղարկում եմ իմ պատգամաւորին, որպէսզի քո առաջ քո ճանապարհը պատրաստի»:
2a071c010e	Ճշմարիտ եմ ասում ձեզ, կանանցից ծնուածների մէջ չկայ աւելի մեծ մարգարէ, քան Յովհաննէսը. բայց Աստծու արքայութեան մէջ ամենափոքրը աւելի մեծ է, քան թէ նա»:
2a071d00e4	Եւ երբ ամբողջ ժողովուրդը լսեց, նոյնպէս եւ մաքսաւորները, ընդունեցին Աստծու արդարութիւնը՝ մկրտուելով Յովհաննէսի մկրտութեամբ:
2a071e00d2	Իսկ փարիսեցիները եւ օրինականները իրենց հոգիներում Աստծու խորհուրդն անարգեցին նրանով, որ Յովհաննէսից չմկրտուեցին:
2a071f0068	«Արդ, ո՞ւմ նմանեցնեմ այս սերնդի մարդկանց, եւ ո՞ւմ են նման:
2a07200122	Նրանք նման են մանուկների, որոնք նստում են հրապարակներում, ձայն են տալիս միմեանց եւ ասում. «Փող զարկեցինք ձեզ համար, եւ չպարեցիք. ողբ ասացինք, եւ դուք լաց չեղաք»:
2a07210091	Եկաւ Յովհաննէս Մկրտիչը, չէր ուտում եւ չէր խմում. եւ դուք ասացիք՝ նրա մէջ դեւ կայ:
2a072200d9	Եկաւ մարդու Որդին. ուտում է եւ խմում. եւ դուք ասում էք. «Ահա ուտող եւ խմող մի մարդ, մաքսաւորների եւ մեղաւորների բարեկամ»:
2a0723004f	Եւ իմաստութիւնը արդարացուեց իր որդիներից»:
2a072400b3	Փարիսեցիներից մէկը աղաչում էր նրան, որ իր հետ ճաշ ուտի. եւ նա մտնելով փարիսեցու տունը՝ սեղան նստեց:
2a072500bb	Եւ քաղաքում մի մեղաւոր կին կար. երբ նա իմացաւ, որ փարիսեցու տանը սեղան է նստել, մի շիշ ազնիւ իւղ բերելով,
2a07260133	կանգնեց Յիսուսի յետեւ, նրա ոտքերի մօտ. եւ լաց էր լինում ու սկսեց արտասուքներով թրջել նրա ոտքերը եւ իր գլխի մազերով սրբում էր. համբուրում էր նրա ոտքերը եւ այդ իւղով օծում:
