0100000008	Genesisi
3e00000008	1 Johani
3e010100a7	Izvo zvakanga zviripo kubva pakutanga, izvo zvatakanzwa, zvatakaona nameso edu, zvatakatarira uye zvatakabata namaoko, izvozvi ndizvo zvatinoparidza zveShoko roupenyu.
3e01020095	Upenyu hwakaonekwa; takahuona uye tikapupura nezvahwo, uye tinoparidza kwamuri upenyu husingaperi, hwakanga huri kuna Baba uye hwakaratidzwa kwatiri.
3e01030083	Tinoparidza kwamuri zvatakaona nezvatakanzwa, kuti nemiwo mugowadzana nesu. Uye tinowadzana naBaba noMwanakomana wavo, Jesu Kristu.
3e0104002d	Tiri kunyora izvi kuti mufaro wedu uzadziswe.
3e01050075	Iyi ndiyo mharidzo yatakanzwa kwaari uye yatinoparidza kwamuri kuti: Mwari ndiye chiedza; maari hamuna rima zvachose.
3e0106005c	Kana tichiti tinowadzana naye asi tichifamba murima, tinoreva nhema uye hatigari muchokwadi.
3e01070093	Asi kana tichifamba muchiedza, saiye ari muchiedza, tinowadzana nomumwe nomumwe wedu, uye ropa raJesu, Mwanakomana wake, rinotinatsa pazvivi zvose.
3e01080047	Kana tichiti hatina chivi, tinozvinyengera uye chokwadi hachizi matiri.
3e0109007c	Kana tichireurura zvivi zvedu, iye akatendeka uye akarurama, uye achatikanganwira zvivi zvedu agotinatsa pakusarurama kwose.
3e010a0053	Kana tichiti hatina kutadza, tinomuita murevi wenhema uye shoko rake harizi matiri.
3e02010092	Vana vangu vandinoda, ndinonyora izvi kwamuri kuti murege kutadza. Asi kana munhu akatadza, tine murevereri kuna Baba, Jesu Kristu, Iye Akarurama.
3e02020064	Ndiye chibayiro chinoyananisira zvivi zvedu, uye kwete zvivi zvedu bedzi, asi wezvivi zvenyika yose.
3e0203003d	Tinoziva kuti isu tinomuziva kana tichiteerera mirayiro yake.
3e0204006d	Munhu anoti, “Ndinomuziva,” asi asingaiti zvaanorayira, iyeye murevi wenhema, uye chokwadi hachizi maari.
3e02050083	Asi kana munhu achiteerera shoko rake, zvirokwazvo rudo rwaMwari runokwaniswa maari. Izvi ndizvo zvatinoziva nazvo kuti tiri maari:
3e0206004b	Ani naani anozviti anogara maari anofanira kufamba sokufamba kwakaita Jesu.
3e02070087	Vadikani, handisi kukunyorerai murayiro mutsva asi wakare, wamakanzwa kubva pakutanga. Iwoyu murayiro wekare ndiyo mharidzo yamakanzwa.
3e0208009d	Asi ndiri kukunyorerai murayiro mutsva; chokwadi chawo chinoonekwa maari uye nomamuri, nokuti rima riri kupfuura uye chiedza chechokwadi chava kutovhenekera.
3e02090044	Ani naani anoti ari muchiedza asi achivenga hama yake achiri murima.
3e020a0055	Ani naani anoda hama yake anogara muchiedza, uye maari hamuna chinhu chingamugumbusa.
3e020b0077	Asi ani naani anovenga hama yake ndiye ari murima uye anofamba murima; haazivi kwaanoenda, nokuti rima rakamupofumadza.
3e020c005e	Ndinokunyorerai, vana vangu vandinoda, nokuti zvivi zvenyu zvakaregererwa nokuda kwezita rake.
3e020d00c2	Ndinokunyorerai, madzibaba, nokuti makamuziva iye akanga aripo kubva pakutanga. Ndinokunyorerai, imi majaya, nokuti makakunda iye akaipa. Ndinokunyorerai, vana vanodikanwa, nokuti makaziva Baba.
3e020e00b8	Ndinokunyorerai, madzibaba, nokuti makamuziva iye akanga aripo kubva pakutanga. Ndinokunyorerai, imi majaya, nokuti mune simba, shoko raMwari rinogara mamuri, uye makakunda iye akaipa.
3e020f0059	Musada nyika kana zvinhu zviri mairi. Kana munhu achida nyika, rudo rwaBaba haruzi maari.
3e021000ad	Nokuti zvinhu zvose zviri munyika zvinoti kuchiva kwemunhu, kuchiva kwameso uye kuzvikudza kwemunhu nokuda kwezvaanazvo nezvaanoita, hazvibvi kuna Baba asi zvinobva kunyika.
3e02110058	Nyika nokuchiva kwayo inopfuura, asi munhu anoita kuda kwaMwari anorarama nokusingaperi.
3e021200c8	Vana vanodikanwa, ino ndiyo nguva yokupedzisira; uye sezvamakanzwa kuti andikristu ari kuuya, kunyange izvozvi vanaandikristu vazhinji vakatouya. Ndizvo zvatinoziva nazvo kuti ava mazuva okupedzisira.
3e021300b3	Vakabva kwatiri, asi vakanga vasiri vedu chaivo. Nokuti dai vakanga vari vedu chaivo, vangadai vakagara nesu; asi kuenda kwavo kwakaratidza kuti hapana mumwe wavo akanga ari wedu.
3e02140050	Asi imi muno kuzodzwa kunobva kuna Iye Mutsvene, uye imi mose munoziva chokwadi.
3e02150082	Handina kukunyorerai nokuda kwokuti hamuzivi chokwadi, asi nokuda kwokuti munochiziva uye nokuti hakuna nhema dzinobva muchokwadi.
3e02160082	Ndianiko murevi wenhema? Ndiye munhu anoramba kuti Jesu ndiye Kristu. Munhu akadaro ndiye andikristu, anoramba Baba noMwanakomana.
3e02170062	Hakuna munhu anoramba Mwanakomana angava naBaba; ani naani anopupura Mwanakomana ndiye ana Babawo.
3e02180071	Onai kuti zvamakanzwa kubva pakutanga zvagara mamuri. Kana zvikadaro, nemiwo muchagara muMwanakomana nomuna Baba.
3e02190039	Uye izvi ndizvo zvaakativimbisa, ihwo upenyu husingaperi.
3e021a0047	Ndiri kunyora zvinhu izvi kwamuri pamusoro pavaya vanoedza kukutsausai.
3e021b0111	Kana murimi, kuzodzwa kwamakagamuchira kubva kwaari kunogara mamuri, uye hamutsvaki mumwe munhu kuti akudzidzisei. Asi sezvo kuzodza kwake kuchikudzidzisai pamusoro pezvinhu zvose uye sezvo kuzodza ikoko kuri kwechokwadi, kwete kwenhema, sezvakwakakudzidzisai, garai maari.
3e021c0086	Uye zvino, vana vanodiwa, rambai muri maari, kuitira kuti paanoonekwa tive nokushinga uye tisinganyadziswi pamberi pake pakuuya kwake.
3e021d0062	Kana muchiziva kuti iye akarurama, munoziva kuti mumwe nomumwe anoita zvakarurama akaberekwa naye.
3e0301009c	Tarirai kukura kworudo rwatakaitirwa naBaba, kuti tinzi vana vaMwari! Uye ndizvo zvatiri! Chinoita kuti nyika itadze kutiziva ndechokuti haina kumuziva iye.
3e0302009d	Vadikani, zvino tiri vana vaMwari, uye zvatichazova zvichigere kuzivikanwa. Asi tinoziva kuti paachaonekwa, isu tichafanana naye, nokuti tichamuona sezvaari.
3e03030045	Mumwe nomumwe ane tariro iyi maari anozvichenesa, sezvo iye akachena.
3e03040053	Munhu wose anotadza anodarika murayiro, zvechokwadi, chivi ndiko kudarika murayiro.
3e03050058	Asi munoziva kuti iye akaonekwa kuitira kuti abvise zvivi zvedu. Uye maari hamuna chivi.
3e03060075	Hakuna munhu anogara maari anoramba achingotadza. Hakuna munhu anoramba achitadza, kana akamuona kana kuti akamuziva.
3e03070068	Vana vanodiwa, musarega munhu upi zvake achikutsausai. Uyo anoita zvakanaka, akarurama, saiye akarurama.
3e030800a9	Uyo anoita zvakaipa ndowadhiabhori, nokuti dhiabhori akanga achingotadza kubva pakutanga. Mwanakomana waMwari akaonekwa nokuda kwaizvozvi kuti aparadze basa radhiabhori.
3e0309008f	Hakuna munhu akaberekwa naMwari anoramba achiita chivi, nokuti mbeu yaMwari inogara maari; haangarambi achingotadza, nokuti akaberekwa naMwari.
3e030a00a2	Ndiwo maziviro edu kuti vana vaMwari ndevapi uye kuti vana vadhiabhori ndevapi: Ani naani asingaiti zvakarurama haasi mwana waMwari; uyewo uyo asingadi hama yake.
3e030b0040	Iri ndiro shoko ramakanzwa kubva pakutanga: Tinofanira kudanana.
3e030c009f	Musaita saKaini, akanga ari wowakaipa uye akaponda mununʼuna wake. Uye akamuurayireiko? Nokuti mabasa ake akanga akaipa uye omununʼuna wake akanga akarurama.
3e030d0033	Musashamiswa, hama dzangu, kana nyika ichikuvengai.
3e030e006c	Tinoziva kuti takabva murufu tikaenda muupenyu, nokuti tinoda hama dzedu. Ani naani asingadi anogara murufu.
3e030f0063	Ani naani anovenga hama yake imhondi, uye munoziva kuti hakuna mhondi ino upenyu husingaperi mairi.
3e03100093	Aya ndiwo maziviro edu kuti rudo rwakadini: Jesu Kristu akapa upenyu hwake nokuda kwedu. Uye isu tinofanira kupa upenyu hwedu nokuda kwehama dzedu.
3e03110074	Kana munhu ane pfuma uye akaona hama yake ichishayiwa, asi akasainzwira tsitsi, rudo rwaMwari rungagara maari seiko?
3e03120059	Vana vanodikanwa, ngatiregerei kuda namashoko kana norurimi, asi namabasa uye nechokwadi.
3e0313005e	Zvino, ndiwo maziviro edu kuti tiri vechokwadi, uye kuti mwoyo yedu inozorora sei pamberi pake
3e03140067	pose patinopiwa mhosva nemwoyo yedu. Nokuti Mwari mukuru kupfuura mwoyo yedu, uye anoziva zvinhu zvose.
3e03150058	Shamwari dzinodikanwa, kana mwoyo yedu isingatipi mhosva, tinako kuvimba pamberi paMwari
3e0316006f	uye tinogamuchira kubva kwaari zvose zvatinokumbira, nokuti tinoteerera mirayiro yake uye tinoita zvinomufadza.
3e0317007c	Uye uyu ndiwo murayiro wake: kutenda muzita roMwanakomana wake, Jesu Kristu, uye nokuda mumwe nomumwe wedu sezvaakatirayira.
3e03180098	Avo vanoteerera mirayiro yake vanogara maari, naiye mavari. Uye izvi ndizvo zvinoita kuti tizive kuti iye anogara matiri: Tinozviziva noMweya waakatipa.
3e0401009a	Shamwari dzinodikanwa, musatenda mweya yose yose, asi edzai mweya kuti muone kana ichibva kuna Mwari, nokuti vaprofita vazhinji venhema vakapinda munyika.
3e0402007c	Aya ndiwo maziviro amungaita Mweya waMwari: mweya mumwe nomumwe unopupura kuti Jesu Kristu akauya munyama unobva kuna Mwari,
3e0403008e	asi mweya wose usingapupuri Jesu haubvi kuna Mwari. Ndiwo mweya waandikristu, wamakanzwa kuti uri kuuya uye kunyange iye zvino watova munyika.
3e04040069	Imi, vana vanodikanwa, munobva kuna Mwari uye makavakunda, nokuti ari mamuri mukuru kuna iye ari munyika.
3e04050043	Ivo ndevenyika, naizvozvo vanotaura sevenyika, uye nyika inovanzwa.
3e040600af	Isu tinobva kuna Mwari, uye ani naani anoziva Mwari anotinzwa; asi ani naani asingabvi kuna Mwari haatinzwi. Izvi ndizvo zvinoita kuti tizive mweya wechokwadi nomweya wenhema.
3e0407007e	Shamwari dzinodikanwa, ngatidananei, nokuti rudo runobva kuna Mwari. Mumwe nomumwe anoda akaberekwa naMwari uye anoziva Mwari.
3e04080034	Ani naani asingadi haazivi Mwari, nokuti Mwari rudo.
3e04090082	Mwari akaratidza rudo rwake pakati pedu sezvizvi: Akatuma Mwanakomana wake mumwe woga munyika kuti tive noupenyu kubudikidza naye.
3e040a008e	Urwu ndirwo rudo: kwete kuti isu takada Mwari, asi kuti iye akatida uye akatuma Mwanakomana wake kuti ave chibayiro chinoyananisa zvivi zvedu.
3e040b004f	Shamwari dzinodikanwa, sezvo Mwari akatida zvakadai, isu tinofanirawo kudanana.
3e040c006f	Hakuna munhu akatongoona Mwari; asi kana tichidanana, Mwari anogara matiri, uye rudo rwake runokwaniswa matiri.
3e040d004a	Tinoziva kuti tinogara maari uye iye matiri, nokuti akatipa zvoMweya wake.
3e040e0059	Uye takaona uye tikapupura kuti Baba vakatuma Mwanakomana wavo kuti ave Muponesi wenyika.
3e040f0061	Kana munhu akapupura kuti Jesu ndiye Mwanakomana waMwari, Mwari anogara maari uye iye muna Mwari.
3e04100082	Nokudaro tinoziva uye tinovimba norudo rwaMwari kwatiri. Mwari rudo. Ani naani anogara murudo anogara muna Mwari, uye Mwari maari.
3e0411007d	Naizvozvo, rudo runokwaniswa pakati pedu kuitira kuti tigova nokuvimba pazuva rokutongwa, nokuti munyika ino takafanana naye.
3e04120087	Murudo hamuna kutya. Asi rudo rwakakwana runodzinga kutya, nokuti kutya kune chokuita nokurangwa. Munhu anotya haana kukwaniswa murudo.
3e04130024	Tinomuda nokuti iye akatanga kutida.
3e0414009f	Kana munhu achiti, “Ndinoda Mwari,” asingadi hama yake, murevi wenhema. Nokuti ani naani asingadi hama yake yaakaona, haagoni kuda Mwari, waasina kumboona.
3e0415004b	Uye akatipa murayiro uyu: Ani naani anoda Mwari anofanirawo kuda hama yake.
3e05010073	Mumwe nomumwe anotenda kuti Jesu ndiye Kristu, akaberekwa naMwari, uye mumwe nomumwe anoda baba anodawo mwana wavo.
3e05020066	Izvi ndizvo zvatinoziva nazvo kuti tinoda vana vaMwari: kana tichida Mwari uye tichiita mirayiro yake.
3e05030049	Uku ndiko kuda Mwari: kuteerera mirayiro yake. Uye mirayiro yake hairemi,
3e05040067	nokuti vose vakaberekwa naMwari vanokunda nyika. Uku ndiko kukunda kwakakunda nyika, iko kutenda kwedu.
3e05050052	Ndianiko anokunda nyika? Ndiye chete anotenda kuti Jesu ndiye Mwanakomana waMwari.
3e05060094	Uyu ndiye akauya nemvura neropa, Jesu Kristu. Haana kuuya nemvura bedzi, asi nemvura neropa. Uye Mweya ndiye anopupura, nokuti Mweya ndiye chokwadi.
3e05070028	Nokuti kune zvitatu zvinopupura zvinoti:
3e05080036	Mweya, mvura, neropa; uye zvitatu izvi zvinotenderana.
3e05090084	Tinogamuchira uchapupu hwavanhu, asi uchapupu hwaMwari hukuru nokuti ndihwo uchapupu hwaMwari, hwaakapa pamusoro poMwanakomana wake.
3e050a00e4	Munhu mumwe nomumwe anotenda muMwanakomana waMwari ano uchapupu uhu mumwoyo make. Munhu mumwe nomumwe asingatendi Mwari, akabva amuita murevi wenhema, nokuti haana kutenda kupupura kwaMwari kwaakaita pamusoro poMwanakomana wake.
3e050b0066	Uye uku ndiko kupupura kuti: Mwari akatipa upenyu husingaperi, uye upenyu uhu huri muMwanakomana wake.
3e050c004b	Uyo ano Mwanakomana ano upenyu; uyo asina Mwanakomana waMwari haana upenyu.
3e050d0072	Ndanyora izvi kwamuri imi munotenda muzita roMwanakomana waMwari kuitira kuti muzive kuti mune upenyu husingaperi.
3e050e007a	Ndiko kusatya kwatinako mukuswedera kwedu kuna Mwari: kuti kana tichikumbira chinhu chipi nechipi nokuda kwake, anotinzwa.
3e050f0067	Uye kana tichiziva kuti anotinzwa pazvose zvatinokumbira, tinoziva kuti tava nazvo zvatakumbira kwaari.
3e051000db	Kana munhu akaona hama yake ichiita chivi chisingaurayisi, anofanira kunyengetera uye Mwari achamupa upenyu. Ndinoreva vaya vane chivi chisingaurayisi. Pane chivi chinourayisa. Handirevi kuti anyengetere pamusoro pacho.
3e0511003b	Kuita chakaipa kwose chivi, uye pane chivi chisingaurayisi.
3e05120096	Tinoziva kuti mumwe nomumwe akaberekwa naMwari haarambi achiita chivi; uyo akaberekwa naMwari anomuchengeta zvakanaka, uye akaipa haagoni kumukuvadza.
3e05130048	Tinoziva kuti tiri vana vaMwari, uye kuti nyika yose iri pasi powakaipa.
3e051400d9	Tinozivawo kuti Mwanakomana waMwari akauya akatipa kunzwisisa, kuitira kuti timuzive iye wechokwadi. Uye tiri maari iye wechokwadi, kunyange muMwanakomana wake Jesu Kristu. Ndiye Mwari wechokwadi noupenyu husingaperi.
3e05150027	Vana vanodikanwa, ibvai pazvifananidzo.
3f00000008	2 Johani
3f01010078	Mukuru, kumudzimai akasanangurwa navana vake, vandinoda muchokwadi, uye kwete ini ndoga, asiwo navose vanoziva chokwadi,
3f01020044	nokuda kwechokwadi chinogara matiri uye chichava nesu nokusingaperi:
3f0103007a	Nyasha, ngoni norugare zvinobva kuna Mwari Baba nokuna Jesu Kristu, Mwanakomana waBaba, zvichava nesu muchokwadi nomurudo.
3f0104005d	Zvakandifadza zvikuru kuwana vamwe vana venyu vachifamba muchokwadi, sezvatakarayirwa naBaba.
3f01050074	Uye zvino, mai, handisi kukunyorerai murayiro mutsva asi iwo watakanzwa kubva pakutanga. Ndinokumbira kuti tidanane.
3f01060084	Uye urwu ndirwo rudo: kuti tifambe mukuteerera mirayiro yake. Sezvamakanzwa kubva pakutanga, murayiro wake ndewokuti mufambe murudo.
3f01070083	Vanyengeri vazhinji, vasingapupuri kuti Jesu Kristu akauya munyama, vakapinda munyika. Munhu akadaro ndiye munyengeri naandikristu.
3f0108005b	Muchenjere kuti murege kurasikirwa nezvamakashandira, asi kuti mugopiwa mubayiro wakakwana.
3f01090090	Mumwe nomumwe anomhanya mberi asingarambiri mudzidziso yaKristu haana Mwari; ani naani anorambira mukudzidzisa kwaKristu ana Baba noMwanakomana.
3f010a0063	Kana munhu akauya kwamuri uye asingauyi nedzidziso iyi, musamupinza mumba menyu kana kumugamuchira.
3f010b003c	Ani naani anomugamuchira anogovana naye mubasa rake rakaipa.
3f010c00a1	Ndine zvizhinji zvokukunyorerai, asi handidi kushandisa pepa neingi. Asi, ndine tariro yokukushanyirai ndigotaura nemi chiso nechiso, kuti mufaro wedu uzadziswe.
3f010d0035	Vana vomununʼuna wenyu akasanangurwa vanokukwazisai.
4000000008	3 Johani
400101003f	Mukuru, kushamwari yangu inodikanwa Gayo, wandinoda muchokwadi.
4001020070	Mudikani, ndinonyengetera kuti uve noutano hwakanaka uye kuti zvose zvikunakire kunyange sokufara kwomweya wako.
4001030080	Ndakafara kwazvo dzimwe hama padzakauya dzikandiudza nezvokutendeka kwako pachokwadi uye kuti unoramba uchifamba sei muchokwadi.
400104005b	Hapana chimwe chinhu chinondifadza kupfuura kunzwa kuti vana vangu vari kufamba muchokwadi.
400105004d	Mudikani, wakatendeka pane zvaunoita kuhama, kunyange vasiri vanhu vaunoziva.
400106006c	Vakataurira kereke nezvorudo rwako. Uchaita zvakanaka kana ukavadzosazve nenzira yakafanira pamberi paMwari.
400107004a	Nokuda kweZita iri vakabuda, vasingagamuchiri rubatsiro kubva kuvahedheni.
4001080054	Naizvozvo tinofanira kugamuchira vanhu vakadai kuti tishande pamwe chete muchokwadi.
4001090060	Ndakanyorera kukereke, asi Dhiotirefesi, iye anoda kuva mukuru, akati haagamuchiri zvatinotaura.
40010a00ca	Saka kana ndauya, ndichamuyeuchidza mabasa ake aanoita, okunyeya, nokuitira godo. Kwete izvozvo zvoga, anorambawo kugamuchira hama. Anodzivisawo vaya vanoda havo kuita izvozvo uye achivabudisa mukereke.
40010b008f	Mudikani, usatevedzera zvakaipa asi zvakanaka. Ani naani anoita zvakanaka ndiye anobva kuna Mwari. Ani naani anoita zvakaipa haana kuona Mwari.
40010c00a0	Dhemetriasi anopupurirwa zvakanaka navose, uye kunyange nechokwadi chaicho. Nesuwo tinotaura zvakanaka nezvake, uye munoziva kuti uchapupu hwedu ndohwechokwadi.
40010d004e	Ndine zvizhinji zvokukunyorera, asi handidi kuita izvozvi nechinyoreso neingi.
40010e00b0	Ndinovimba kuti ndichakuonai nokukurumidza, uye tichazotaurirana chiso nechiso. Rugare kwamuri. Shamwari dziri kuno dzinokukwazisai. Kwazisai shamwari dziri ikoko namazita avo.
4100000005	Judha
4101010080	Judha, muranda waJesu Kristu nomununʼuna waJakobho, kuna vaya vakadanwa, vanodikanwa naMwari Baba, vanochengetwa naJesu Kristu:
4101020029	Ngoni, rugare norudo ngazviwande kwamuri.
41010300d9	Shamwari dzinodikanwa, kunyange ndakanga ndichishingairira kuti ndinyore kwamuri pamusoro poruponeso rwatinogovana, ndakafunga kuti ndinofanira kunyora ndichikukurudzirai kuti murwire kutenda kwakapiwa vatsvene kamwe.
41010400fe	Nokuti vamwe varume vane kutongwa kwavo kwakanyorwa nezvako kare, vakapinda muchivande pakati penyu. Ivo vanhu vasina umwari, vanoshandura nyasha dzaMwari wedu vachidzitora semvumo yokuita upombwe, uye vachiramba Jesu Kristu, Ishe naTenzi wedu mumwe oga.
410105009b	Kunyange maizviziva henyu kare, ndinoda kukuyeuchidzai kuti Ishe akasunungura vanhu vake kubva muIjipiti, asi pashure akaparadza vaya vakanga vasingatendi.
41010600ad	Uye vatumwa vasina kuchengeta nzvimbo youkuru hwavo asi vakasiya musha wavo, ivava akavachengeta murima, vakasungwa nengetani dzokusingaperi vakamirira kutongwa pazuva guru.
41010700a1	Nenzira imwe cheteyo, Sodhomu neGomora uye namaguta akanga akapoteredza akazvipa kuupombwe nokutsauka, akava muenzaniso wavaya vari pakurangwa nomoto usingaperi.
410108006e	Nenzira imwe cheteyo, ava varoti vanosvibisa miviri yavo, vachiramba vakuru uye vachituka zvisikwa zvokudenga.
41010900bb	Asi kunyange Mikaeri mutumwa mukuru, paakanga achirwa nadhiabhori pamusoro pomuviri waMozisi, haana kutsunga kutaura mashoko okutuka nokumupomera mhosva, asi akati, “Ishe ngaakutuke!”
41010a00d0	Asi vanhu ava vanotaura zvisina maturo pamusoro pezvinhu zvavasinganzwisisi; uye kunyange nezvinhu zvavanonzwisisa kubva pakuberekwa kwavo, semhuka dzisingafungi, zvinhu izvozvi ndizvo chaizvo zvinovaparadza.
41010b0075	Vane nhamo! Vakasarudza nzira yaKaini; vakamhanyira mubayiro wokutsauka kwaBharamu; vakaparadzwa mukupanduka kwaKora.
41010c00e3	Vanhu ava makwapa pamitambo yenyu yorudo, vanodya nemi vasingatyi napaduku, vanongozvipa zvokudya ivo chete. Makore asina mvura, anotinhwa nemhepo; miti yenguva yamasutso, isina michero uye yakadzurwa, yakafa zvakapetwa kaviri.
41010d0079	Mafungu egungwa anopenga, anopupuma nyadzi dzawo; nyeredzi dzinodzungaira, ivava vakachengeterwa rima guru nokusingaperi.
41010e008a	Enoki, wechinomwe kubva kuna Adhamu, akaprofita pamusoro pavanhu ava achiti, “Tarirai, Ishe ari kuuya nezviuru nezviuru zvavatsvene vake
41010f00c9	kuti azotonga vanhu vose, uye abate nemhosva vose vasina umwari pamusoro pamabasa ose asina umwari avakaita nenzira isina umwari, uye namashoko okutuka akataurwa navanhu vasina umwari pamusoro pake.”
410110008b	Vanhu ava vanyunyuti uye vapomeri; vanotevera kuchiva kwavo vamene; vanozvirumbidza pachavo uye vanobata vamwe kumeso kuti zvivanakire ivo.
410111004a	Asi, vadikani, rangarirai zvakataurwa navapostori vaIshe wedu Jesu Kristu.
4101120057	Vakati kwamuri, “Munguva yokupedzisira kuchava navaseki vachatevera kuchiva kwavo.”
410113004b	Ava ndivo vanhu vanokuparadzanisai, vanotevera nyama yavo uye vasina Mweya.
4101140058	Asi imi, vadikani, zvivakei mukutenda kwenyu kutsvene uye munyengetere muMweya Mutsvene.
4101150078	Zvichengetei murudo rwaMwari pamunenge muchimirira ngoni dzaIshe wedu Jesu Kristu kuti dzikuuyisei kuupenyu husingaperi.
410116001f	Itirai ngoni avo vanokahadzika;
4101170089	bvutai vamwe kubva mumoto mugovaponesa; vamwe muvanzwire ngoni dzakasanganiswa nokutya, muchivenga kunyange nenguo dzakasvibiswa nenyama.
4101180088	Kuna iye anogona kukuchengetai kuti murege kugumburwa uye anokuisai pamberi pokubwinya kwake musina chamunopomerwa, uye nomufaro mukuru,
410119009a	kuna iye Mwari oga muponesi wedu, ngakuve nokubwinya, umambo, simba noukuru, nokuna Jesu Kristu Ishe wedu, nguva isati yavapo, zvino nokusingaperi! Ameni.
420000000c	Zvakazarurwa
42010100b3	Zvakazarurwa zvaJesu Kristu, zvaakapiwa naMwari kuti aratidze varanda vake zvinofanira kuitika nokukurumidza. Akazvizivisa nokutumira kwaakaita mutumwa wake kumuranda wake Johani,
420102004f	iye anopupura zvose zvaakaona, iro shoko raMwari uye nouchapupu hwaJesu Kristu.
420103009f	Akaropafadzwa uyo anoverenga mashoko ouprofita uhu, uye vakaropafadzwa avo vanohunzwa uye vagochengeta pamwoyo yavo zvakanyorwa imomo, nokuti nguva yava pedyo.
42010400be	Johani, kukereke nomwe dziri mudunhu reEzhia: Nyasha norugare ngazvive nemi zvinobva kuna iye aripo, uye akanga aripo, naiye achazouya, nokumweya minomwe iri pamberi pechigaro chake choushe,
42010500a8	nokuna Jesu Kristu, iye chapupu chakatendeka, dangwe kubva kuvakafa, nomutongi wamadzimambo enyika. Kuna iye anotida uye akatisunungura kubva kuzvivi zvedu neropa rake,
4201060072	uye akatiita ushe nouprista kuti tishumire Mwari naBaba vake, ngaave nokubwinya nesimba nokusingaperi-peri! Ameni.
420107007e	Tarirai, ari kuuya namakore, uye meso ose achamuona, kunyange naivo vakamubaya; uye marudzi ose enyika achachema nokuda kwake.
4201080075	“Ndini Arifa naOmega,” ndizvo zvinotaura Ishe Mwari, “iye aripo, akanga aripo, uye achazouya, Wamasimba Ose.”
42010900cb	Ini Johani, hama yenyu nomufambidzani wenyu mumatambudziko, muumambo, nomukutsungirira nomwoyo murefu wedu muna Jesu, ndakanga ndiri pachitsuwa chePatimosi nokuda kweshoko raMwari uye nouchapupu hwaJesu.
42010a0060	Pazuva raShe, ndakanga ndiri muMweya, uye ndikanzwa mushure mangu inzwi guru rinenge rehwamanda,
42010b0095	richiti, “Nyora mubhuku rakapetwa zvaunoona ugozvitumira kukereke nomwe: dzokuEfeso, Simina, Pegamo, Tiatira, Sadhisi, Firadherifia neRaodhikea.”
42010c0079	Ndakatendeuka ndikatarisa kuti ndione inzwi rakanga richitaura kwandiri. Uye ndakatendeuka ndikaona zvigadziko zvemwenje,
42010d00b0	uye pakati pezvigadziko zvemwenje pakanga pano mumwe akanga “akaita somwanakomana womunhu,” akafuka nguo yaisvika kutsoka dzake uye ane bhanhire regoridhe pachipfuva chake.
42010e007a	Musoro wake nebvudzi rake zvakanga zvakachena samakushe, zvakachena sechando, uye meso ake akanga akaita somurazvo womoto.
42010f0078	Tsoka dzake dzakanga dzakaita sendarira inopenya muvira romoto, uye inzwi rake rakanga rakaita somubvumo wemvura zhinji.
42011000bd	Akanga akabata nyeredzi nomwe muruoko rwake rworudyi, uye mumuromo make makabuda munondo unopinza, unocheka mativi ose. Chiso chake chakanga chakaita sezuva rinopenya nokupenya kwaro kwose.
4201110096	Pandakamuona, ndakawira patsoka dzake kunge ndafa. Ipapo akaisa ruoko rwake rworudyi pamusoro pangu akati, “Usatya. Ndini Wokutanga neWokupedzisira.
4201120076	Ndini iye Mupenyu; ndakanga ndafa, uye tarira, ndiri mupenyu nokusingaperi-peri! Uye ndakabata kiyi dzorufu neHadhesi.
420113004d	“Naizvozvo, nyora zvawaona, zviripo zvino nezvichazoitika shure kwaizvozvi.
42011400d1	Chakavanzika chenyeredzi nomwe dzawaona muruoko rwangu rworudyi nechezvigadziko zvinomwe zvemwenje ndechichi: Nyeredzi nomwe ndivo vatumwa vekereke nomwe, uye zvigadziko zvinomwe zvemwenje ndidzo kereke nomwe.
42020100a3	“Kumutumwa wekereke iri muEfeso nyora kuti: Aya ndiwo mashoko aiye akabata nyeredzi nomwe muruoko rwake rworudyi anofamba pakati pezvigadziko zvinomwe zvemwenje.
42020200c8	Ndinoziva mabasa ako, kubata kwako nesimba uye nokutsungirira kwako. Ndinoziva kuti haudi kuonana navanhu vakaipa, uye kuti wakaedza avo vanozviti vapostori asi vasiri ivo, uye ukavawana vari venhema.
4202030057	Wakatsungirira ukava nomwoyo murefu pakutambudzika nokuda kwezita rangu, uye ukasaneta.
420204003a	Asi ndine mhosva iyi newe: Wakasiya rudo rwako rwokutanga.
42020500a3	Rangarira pawakawa! Tendeuka uite zvinhu zvawakanga uchiita pakutanga. Kana usingatendeuki, ndichauya kwauri ndigobvisa chigadziko chako chomwenje panzvimbo yacho.
4202060049	Asi chinhu ichi unacho: Unovenga mabasa avaNikoraiti, andinovenga neniwo.
4202070096	Ane nzeve dzokunzwa ngaanzwe zvinoreva Mweya kukereke. Kuno uyo anokunda, ndichamutendera kuti adye zvinobva pamuti woupenyu, uri muparadhiso yaMwari.
4202080078	“Kumutumwa wekereke iri muSimina nyora kuti: Aya ndiwo mashoko aiye Wokutanga neWokupedzisira, akafa uye akararamazve.
4202090095	Ndinoziva kutambudzika kwako nourombo hwako, asi uri mupfumi! Ndinoziva kutuka kwaavo vanozviti vaJudha uye vasiri ivo, asi vari vesinagoge raSatani.
