2800000007	Matewos
310116007e	Ha'oos zuuttambaase basa ha'suusi sikalosi ha'unak zagi. Betekiristaniisik dey zuuttambaase asiistan denalo sinanak teet zagi.
310117005f	Betekiristaniis dey bar zuuttambaase asin aaffa ugnaknu zuutire tuunifena basa tuuma atubaaswa.
3102010038	Nitto boor'nitiisiknawa mangsuntiisikna kitira faasetir.
31020200ce	Es kabaasik han daastaki mangu ugnaasik faat faasetir; esiisimato dey samaastak faase kiina ayyanaasi hugnanon ha'sifa barik ajajamet faasetir. Bar Ha'oosik ajajamo beya asuni meyaasta wostet fa ayyanaaswa.
31020300bf	Inno zuuttamniise zeemo sinak baasso ganeyaassi ashniisi fiqadiknawa kanuniisi safarakna zoonustet ashniisi eenantok faat faanir; oom meenimato dey testoniisik Ha'oosi gi'ni sikalositu faani.
3102040062	Sinuntano Ha'oosi fakiya akama sinna boor'anawa innok fa keeshtanbaas akama sinbaastan kabi chowa;
310205006e	Mangsuniisik kitira faafeniknu Ha'oos Kiristoosneen ane foonik zagi; nitto dey farisetiis han Ha'oosi otmakwa.
3102060058	Ha'oos Kiristoos Yesusniki kamo barneen ane kitun kabgira samaki dimaasta innotin duusi.
3102070092	Es baron dey zaginaas Yesus Kiristoosniki kamo innok ammanon besina garambaasewa hoossoba foonto otumbaasi arkunon yooni neyaasik innok besunakwa.
3102080067	Nitto farisetiis amantooski kamo Ha'oosi otmakwa. Es bar dey Ha'oni imatano nitto wostoosik bestertawa.
3102090037	Oonu teetonoynamato faruni otmaas bestenaas wostoktawa.
31020a0069	Inno Ha'oos zeemma hoossina ma'a wostooson wostonik Yesus Kiristoosniki kamo hepsa teste Ha'oosi testowa.
31020b00b4	Es bari boor'a zeemo nitto koontontiisik Aazab sinna faasetirwa; Ayhudni meya asuni kushuk haarko kunobesiisik teetefaafe nittotin haarko kunnor yit feeseter sinnamato yaadatotiwa.
31020c00c5	Nitto Israelni daraasa keen sinnor; abdini teyyani kaamaasik irba sinna han daastak dey isa abdinti foonto sinna; Ha'oosneen ane foonor; Kiristoosnistan dey oor kessa faasetir sinetimato yaadatoti.
31020d006b	Sinuntano hash nitto zeemo sinak wokka faaseti baron hash Yesus Kiristoosniki kamo basa hannaasik tai'tiwa.
31020e0075	Innotin oor kisi faassoni sawaason bogge Ayhudni meyanonnawa Aazabni meyanonna isar zagire nagani sinaas Kiristooswa.
31020f0088	Hep daraasin barneen ane isar zagire isa gaddo daranin tesunak tumaasi ajajisikitononnawa sitirisikitononna ashbaasik sharere naga zagi.
3102100060	Masqalista kituk guma sinaason tishki. Hepobesiise asin isa billiti zagire Ha'oosneen ane gansi.
3102110061	Yeere dey wokke fe nittoknawa tai'sere feese Ayhudni meyakna nagani misirachchuni kaamaason make.
3102120048	Inno zuuttamniise barki kamo isa Ayyanaasik zoonustera Abaaski ta'aniwa.
310213007f	Es bari boor'a nitto kortoni meyaneen ane isa daani asuwa. Dey Ha'oni keerki meyateno hanneen ekalok nitto irba wedey oogotewa.
3102140079	Wosini meeni kaptaastanawa raajjuni meeni kaptaastana kaputtera yeretirwa. Kajjaasta diifa shu'aas dey Yesus Kiristooswa.
3102150054	Shu'ni keyaas zuuttambaase es shu'aasik keetera Daamiisa betemeqdesi sinanak dichfa.
310216005d	Ha'oos Ayyanabaasik nittoossi foona shu'ni keya sinatik nitto dey ane Kiristoosnik keetotiwa.
310301005a	Es bari boor'a ta Phawulos Yesus kiristoosnik taato sinnaas nitto Aazabni meyakwa iyaatwa.
310302004c	Nittok ke'ungwa iyaat Ha'oos otumbaasik taak imna wostooson futok odesetiwa.
3103030060	Zeemma kawunanon nittok tichinaasimato Ha'oos aacho chowaason ammanon kisira raa'ik taak besiwa.
3103040075	Han nittok tichina baron feretifeti kabaasik ta yaadatena Kiristoosni aacho chowaason nitto dey yaadatotik chimatiwa.
31030500b5	Es aacho chowaas dey Ha'oosi Ayyanak korto sina wosini meyaknawa raajjuni meyakna hashti ammanon kessa bestenaasne faaron aata neyaassi feese asuni meyak aane ammanon kessa bestowa.
31030600ce	Es bar dey besifanaas Aazabni meya Ayhudni meyaneen ane ristibaason warasoneknawa isa atuni billiti sinne Ha'oos imna abdini misirachchuni kaamaaski kamo dey Yesus Kiristoosniki kamo haa'er sinobesiisongwa.
3103070070	Ha'oos hugnabaasi wostonimato taak imna bari otmaasi imak ta dey han misirachchuni kaamaasi wostinynya siningwa.
310308009b	Ta kortoni meya zuuttambesiise asiissin hater sinfanaknu dilba foonto Kiristoosni otum sinaason Aazabni meyak awasunak Ha'oosi otmak han wostoos taak imte.
310309009a	Esiisimato dey aata neyaasik zuuttambaase asin tesi Ha'ooskik aachera fa aacho Ha'oosi koppo awu sinnamato asu zuuttambaase asik ammanon kisira makonakwa.
31030a0099	Es bar dey sinnaas hashti kabaasik betekiristaniiski kamo samak feese gaanynyasakitonawa ha'sinynyaasakitona Ha'oosi techmanon gito gitobaasik arsonekwa.
31030b0059	Ha'oos Daamni Yesus Kiristoosniki kamo han baron zaginaas koi'ba foonto koppobaasimatowa.
31030c0074	Kiristoosnir sinniisiknawa barik amanoniisikna Ha'oosi sinak diga foontononnawa barik amantokna ta'ak chima danniwa.
31030d006e	Ta nitto boor'a ephphataat faana shanaas nittok ulfinniti sinna boor'a abdi buggutiitawa yira shiiphefawungwa.
31030e0048	Ese Aba Ha'oosi sina ke'naasik kaa'nera shiiphefanaas han bari boor'awa.
31030f0078	Samaknawa han daastakna feese Ha'oni keerki meya isarbesi isarbesiis futoni suntosone sunbesiison danetees Ha'ooskingwa.
3103100069	Ha'oos sirki atuntiison chinuni hugna Ayyanabaaski kamo ulfinbaasi otumtan nittok imanak shiiphefawungwa.
3103110071	Esiisimato dey Kiristoos amantok nibnitiissi foonaknawa nitto dey tasa fokka keeshtanak chimme yerer sinatiknawa.
31031200c6	Yo'uba foonto Ha'oosi tuumta kar'a tuumtotik tagbaasewa dichbaase dey tegbaasewa doo'obaase asuni arustan denalo sina Kiristoosni keeshtanaason kortoni meyaneen ane yaadato chimatik shiiphefawungwa.
3103140093	Es bari boor'a innoossi wostet fa hugnabaaski kamo mamsifeni baristannawa safarefeni baristanna denalonon akamanon daysira zagunak chimfa Ha'oosik;
3103150080	Barik betekiristaniiski kamonawa Yesus Kiristoosniki kamona koonto zuuttambaase asik koi'ba foontonon ulfina sinfawungwa! Aamin!
3104010071	Ese Daamiisa wostonon wostena boor'a taatere fe ta! Nitto teegteti teegtoosik sholsi fo foosotik shiiphefawungwa.
3104020051	Keeshtanak nittotna nittotna fakiyak wonna wonna shuphak; garamak chimma foosoti.
3104030043	Nagak zatera Ha'oni Ayyanaaskin bestefa isar sinaason oodak chimti.
310404004b	Teegtesefeti kabaasik isa abdiisik teegtesetimato isa atunewa isa Ayyanane;
3104050023	Isa Daam, isa amanto; isa haphukto;
310406008f	Zuuttambaase asiistan denalo sina bar; zuuttambaase asiissi wostefa bar; zuuttambaase asiissi faafar zuuttambaase asi Aba sina isa Ha'oos faar.
310407005c	Sinuntano Kiristoos imanak sholenasimato isarni isarniisik Ha'oosi otmani imanon innok imte.
3104080061	Esiis dey: «Den kesfena kabaasik; showo boojo booje; asuni meyak dey ima imi» yistenaysimatowa.
3104090069	Eekan: «Den sama kesi» yifa kaamaas zeemma han daasta dey yeet daassi kere uu sina shakaanane awu unso?
31040a005d	Han yeet kere bar es zuuttambaase asin tuunuk samaasikito zuuttambaase asi denalo kesa barwa.
31040b00ba	Bar dey isa isaasin wosi; isa isaasin raajju; isa isaasin misirachchuni kaamaason maksonir; isa isaasin amanynyini meyanon keemernawa assinynyani meena sinonek imaasikitonon baassok imi.
31040c0073	Es baron dey zaginaas Kiristoosni atu sina betekiristaniisikitonon chinuk; amanynyini meyanon dey wostok hoossukwa.
31040d0081	Esiisimato dey Ha'oosi Naanin aruk; amanok bestefa isar sinnaasta kar'a; Kiristoos tuum sinnaasne faaron inno dey tuum sinanikwa.
31040e008f	Hawungnneen ekalok asuni meeni jallinni eeshshuusiknawa eshasikkna hoore daagsifa assusi siruk ek hang shorket daaga naanggota aafa sinaniwuza.
31040f005d	Es baristan futooson keeshtanak maket wuza zuuttambaase asik teet sina Kiristoosniki dichani.
3104100114	Showo atuni billitiis isa barista uphefanaas Kiristoosnikwa. Atuus zuuttambaase dey isa barista zatenaas ke'oba ke'obaasikwa. Es bari boor'a atu isarba isarbaasi billiti barik imte wostooson mai'sira wostefana kabaasik atuus zuuttera dichfa; keeshtanaasik dey chimma yerefawa.
3104110071	Hawungneen ekalok safarabesi ke'nor sina Aazabni meenimato footiitawa yira Daamiisa sunak nittotin kiitifawungwa.
3104120060	Baasso kanuus talme; nibbesiisi muumtan kabi chowa aru beybesiisik Ha'oosi kaastan oor kesetewa.
3104130077	Iichchanni kanubesiis tishina boor'a kiina wuzasikitonon zuutire zaguk teetbesiison ashni eenantobesiisik aatire imete.
3104140039	Sinuntano nitto Kiristoosni chowaason arisetiis ekkatawa.
3104150048	Futoosik basa chowaason odetiwa; Yesusniissi fa futooson barkin aritiwa.
310416009b	Es bari boor'a nittotin eeshshira boor'aassi zoonsifa eenantoosik mangu zeemmati faati fooson; kur'u testoni amalaason eenantobaasneen ane kisira ha'utiwa.
310417001f	Kanuntiisi Ayyanak gaddo sinti.
3104180048	Futoni ookoosiknawa kortoosikna Ha'oosi gitok teste gaddo atuuson mayti.
310419007e	Es bari boor'a esha wolla wollotiita. Zuuttamniise isa atuusi billiti sinni boor'a innotna innotna wol futo wuzasontu wolloni.
31041a005a	Gi'toti; sinuntano es gi'aasik boor'aason wostotiita; gi'nitiis keronoyfeen awa girunaata.
31041b0026	Dabulosnik dey giruna katto besutiita.
31041c008a	Zeemo wiiset fe bar hanneen ekalok wiisonaata. Es baristan tukamni meyak imana waagba foonak bar teetbaasik ma'a wosto sina baron wostowo.
31041d0055	Odefe baassotin girsira zagguni kaamatano noonontiissin isanne mangu kaama kesanaata.
31041e004a	Furtoti wonaasik maatama ichcheti Korto Ha'oosi Ayyana suumonak zagutiita.
31041f0055	Suqaro sina, haari, gi'a, sasa mei'newa aaffa mangu wuzaas zuuttera nittoostan wokun.
31042000b2	Es baristan nittotna nittotna wol ma'ar dey asunik safarer; kenashter sinti. Ha'oos Kiristoosniki kamo nittotin feeshun yinaasimato nitto dey nittotna nittotna wol feeshun usoti.
310501003d	Ese shunto naanggotnimato nitto dey Ha'oosi ugnak zoonustoti.
3105020096	Kiristoos innotin shunaasimatonawa Ha'ooson girsuni sawuba faana mabanewa maa'ane zagire kaabaason innok aatire imnamatona nitto dey keeshtanak footi.
31050300ad	Es effatena wuzaas kiristanani meyak aane mai'fa sinna boor'a gerkesa wedey aaffa tesa zinanu sinun wedey joortu sinaas wolumbaasnu nitto ganeyaassi odtonak aane sholsifawa.
31050400a5	Es baristan Ha'oosik galata imtitano asu giistonaknawa gowwani meeni wollakna wedey kanyni wollakna wollotik aane sholsifawa; es effatena wuzaas nittok ma'ba aafawa.
31050500b0	Gerkesa sinun wedey awune fa zina sina wosto zagit fe asu feefaanane wedey kool'oni shiiphone fa joora sinun Kiristoosnikinawa Ha'oosi taatosina ristiba aafa sinnamato arutiwa.
3105060079	Han wuzaasikitoni boor'a ajajamonoy asuni meyaasta Ha'oni gi'a yoonir sinna boor'a oonu ke'noy wollak nittotin eshanaata.
310507003e	Es bari boor'a ajajamonoy asuni meyaneen ane isar sinatiitawa.
3105080094	Zeemo nitto talmasitu faafeti; sinuntano hash Daamiisar sineti boor'a nitto chaarefawa. Es bari boor'a chaarefaassi feese asuni meenimato foosotiwa.
3105090046	Chaarefaasi gaana bestefanaas ma'aron zaguknawa ooko sina wuzasiknawa.
31050a0040	Es bari boor'a Daamiisin girsuni wuzaas awu sinnamato tu'nusoti.
31050b0069	Chaarefaasta ammanon kessa bestonak zagutitano gaanba foonto sina talmuni wostoosneen ane isar sinatiita.
31050c0046	Talmaassi feesefe asuni meya aachonon zagsefe wuzaas wollaknu iichuwa.
31050d004b	Zuuttambaase chaarefaasta kesfana kabaasik futoni gitobaas ammanon bestefa.
31050e0092	Ammanon kessa bestefa bar zuuttambaase chaarefawa. Es bari boor'a «Afay'te ne guzuwa! Kitun dey kabuwa! Kiristoos dey neek chaarsunawa» yistewa.
31050f005f	Ese aakkak footimato mai'sira yaadatotiwa. Techumni meenimatotano gowwani meenimato footiitawa.
3105100047	Wonaasikito mangu sinna boor'a aagene aagene wonaason wostota feeshuti.
310511004b	Es bari boor'a Daamiisa fiqadi awu sinnamato yaadatotitano gowwa sinatiita.
310512006e	Tishuni ugnaassi nittotin taamnir sinna boor'a waynini ushak zawotiita. Es baristan Korto Ayyanaasik tuumtoti.
3105130081	Gaamaknawa we'sokna; Ayyanani teechok nittotna nittotna wol wollosoti; we'soknawa gaamakna tuuma nibnitiisik Daamiisin galattoti.
3105140061	Daamni Yesus Kiristoosni sunaasik wuza zuuttambaase asik Aba sina Ha'ooson wonna wonna galattoti.
3105150043	Kiristoosni ulfinaasikwa iyaat nittoossin isaas oomiisik ajajamowo.
3105160050	Keerinyani meyane! Daam Yesusnik ajajamefetiisimato teegontisakitonik ajajamoti.
310517007c	Kiristoos betekiristaniisik teet sinnamatonawa atuba sina betekiristaniison fatunir sinnamatona teegoos dey asubaasi teetwa.
310518006d	Betekiristaniis Kiristoosnik ajajamefanamato keerinyaasikito dey zuuttambaase asik teegobesiisik ajajamosoto.
310519008b	Teegoni meyane! Kiristoos betekiritaniison shunnamatonawa teetbaason barikwa iyaat aatire imnamatona nitto dey keerinyatiisikitonon shunti.
31051a0078	Kiristoos es baron zaginaas betekiristniison korto zagunak sholefaatwa. Korto zaginaas dey kaambaaski kamo akak massewa.
31051b0090	Es barik kiina wedey aafsiki karawo wedey es barne fa ooma mangu wuza barista bestonoynamato korto; mudaba foonto gada zagire barki tai'sunakwa.
31051c008e	Esiisimato teegoni meya baasso teetbesiison shunefeysimato keerinyabesiisikitonon shunonek sholsuwa. Asubaason shunfe bar teetbaasontu shunfe.
31051d0089	Basa teetni atuuson oomtefe asu oonu aafe; es baristan ooma Kiristoos betekiristaniisik zagifenaysimato basa teetaason maasir; dey ferer.
31051e0025	Inno dey Kiristoosni atuni billitiwa.
31051f007e	Es bari boor'a «Asu intobaasonnawa ababaasinna beyye keerinyabaasneen ane taphtefe; hepobesiise dey isa atu sinefe» yistewa.
3105200066	Han aacho chowaas akamanon inyawa. Es baron yinaas Kiristoosninnawa betekiristaniisonna beso zagirawa.
3105210096	Sinuntano han wuzaas nittotin dey biyar sinna boor'a teegoos keerinyabaason basa teettason shunfenaasimato shuno; keerinyaas dey teegobaysin ulfinsun.
310601005d	Naanggotaasikitone! Sholsir sinna boor'a Daamiisikwa iyaat kooni aba intontiisik ajajamosoti.
310602004d	«Abanesinnawa intoneesonna ulfinsu» yifa ajajiis tesunirwa; es ajajiis dey:
3106030062	«Zuuttambaase neek ma'ar sinana; han daastak dey wogganees dichana» yifa abdini kaamba faanarwa.
3106040090	Nitto dey kooni abanawa intoni meyane! Daamiisa sitirinon assuk; kaanuknawa ke'ukna dichutitano naanggotnitiison haarsuk jiina'osonak zagutiita.
3106050092	Nitto bozni meeno! Han daastak nitto daam sina baassok digaknawa korkukna ajajamosoti; Kiristoosnik ajajamefetiisne faaron ma'a nibak ajajamosoti.
310606008c	Ajajamotiis dey Ha'oosi fiqadinon nibaassin kabi safarak wostesefe Kiristoosni wostinynyasamatotano asunin girsukwa iyaat biistok zagutiita.
3106070043	Asunin sinnoynaron Daamiisik wostet faatimato zagira girak wostoti.
3106080068	Boz sinfenak birmadu isa isarbaas wostena ma'a wostoosi wossumanon Daamiiskin ephphetoonamato arifetiwa.
31060900af	Daamni meyane! Asuni sina biire teshshunoy nittor sina Daamiisnawa baassor sina Daamiisna samak feenamato yaadatok fokkorontiison beyfaat boznitiisakitonik ma'a wuza zagutiwa.
31060a0049	Ese han baristan fu'te barik Daamiisiknawa basa akama hugnaasikna chimti.
31060b0052	Dabulosni mangu wostooson tugga'o chimatik Ha'oosi neeboni meyaason zuutira mayti.
31060c00cd	Inno neebefeni neeboos asuni meyaneen ane sinnoynaron han talma daasta wostet feese ha'sife baasso; ha'sinynyani meenawa han daastaki hugnaasneenna dey den samak faase kiina ayyanaasikitoni taar'osneengwa.
31060d00a8	Es bari boor'a mangu wonaasik gumantiisa hugnanon wolguk chimatiknawa zuuttambaase asin wostota feeshira zagira yero chimatikna Ha'oosi neeboni meyanon zuutira kabguti.
31060e005c	Ese futooson zinnara zagira geshontiista taar'era; ookooson nibbaastaki xiruri zagira mayti.
31060f0049	Nagani misirachchuni kaamaason chaa'manimato zagira yer'a hoorera yeroti.
3106100088	Es baristan denalo geenimato saamma wobawobtet fa Dabulosni manguni yeegason zuutira tishku chimati amantooson geebanimato zagira ephti.
3106110081	Faruuson gufta zagira teetnitiista guufoti; esiisimato dey Korto Ayyanaaskin bestefa siifoson; es bar dey Ha'oosi kaamanon ephti.
3106120079	Wonna wonna Korto Ayyanaasik zoonustok shiiphonewa mamsune asin tai'suti. Es barik kortoni meyak guzira chimma shiiphoti.
3106130091	Misirachchuni kaamaasi wosi sinnaasik shashsharak taatena bari aacho chowanon diga foontonon ammanon kisira makonak kaama taak imtonak shiiphoti.
3106140066	Es bari boor'a misirachchuni kaamaason makonak sholsinasimato diga foontonon makonak taak shiiphotiwa.
31061500a2	Shunto ayniisnawa Daam Yesusni wostoosik amanamto wostinynya sina Tikiqos ta chowaas aakka sinnamatonawa awu wostet faanamatona zuuttambaase asin nittok makonawa.
3106160067	Es bari boor'a inno aakkak faanimato arutiknawa nittotin dey chinunakna iyaattu barin nittoki wosingwa.
310617006e	Ha'o Abaaskinnawa Daam Yesus Kiristoosnikinna naganewa keeshtanne dey amantoosneen ane ayni meyak sinfawungwa.
3106180077	Maajunoy wedey ko'unoy keeshtanaasik Daamni Yesus Kiristoosnin shunfe baasso zuuttambesiise asik basa otma sinfawungwa.
320000000c	Filiphisiyus
32010100f8	Yesus Kiristoosni wostinynyani meya sina Phawulosnikinnawa Ximotiyosnikinna Filiphisiyusni katamaasi feesefe Yesus Kiristoosnik amanere Ha'oni asu sina baasso zuuttambesiise asik dey betekiristaniison ha'sife kur'uni meyaknawa daaqonynyini meyakna;
3201020058	Abani sina Ha'ooskinnawa Daamni Yesus Kiristoosnikinna otumnewa nagane nittok sinfawung.
3201030045	Nittotin yaadatefana kabaasik wonna wonna Ha'onaason galattefawungwa,
3201040064	Nitto zuuttamnitiise asik shiiphefana kaba zuuttambaase asik shiiphefana shiiphonaas girak tuumtowa.
320105008e	Tesuni wonaastan kabira hash hawung kar'ana kabaneen misirachchuni kaamaason makok wostonaason argasir sineti boor'a Ha'ooson galattefawungwa.
3201060075	Han ma'a wostooson wostotik zagi Ha'oos; Yesus Kiristoos wolle yoona koi'ni wonaasta katunamato mai'sira arifawungwa.
3201070139	Hash taatoni keer faana kabaasiknawa taatoni keer girunoy faana kabaasikna misirachchuni kaamaasi futonon oodanaknawa es baron dey chinunakna Ha'oos otumbaasik taak imna ixaason nitto zuuttamnitiise haa'er sineti boor'a wonna wonna nibnaassitu faasetiwa. Es bari boor'a nitto chowaasik taak bestet fa bar likkiwa.
320108006c	Yesus Kiristoosni keeshtanaasik nitto zuuttamnitiise asin awune faaron kaltet faanamato Ha'oos taak zaalawa.
320109004e	Keeshtannitiis aruknawa yaadatakna tuuma sinna dichet hamanak shiiphefawungwa.
32010a0085	Esiis dey ma'ar sina wuzaas awu sinnamato tu'nira arutiknawa; Kiristoos wolle yoona wono kayimnawa zinanti foontona sinna bestotikwa.
32010b0078	Es barik kaantiis Yesus Kiristoosnikin bestefa ooko sina wuzaasik tuumar sinna Ha'oosik ulfinnewa galatne imar sinatiwa.
32010c0069	Ayni meyane! Tayista kar'a wuzaas misirachchuni kaamaas mai'sira tagunak zaginamato arutik sholefawungwa.
32010d0087	Ta dey taatenaas Kiristoosnik wostena boor'a sinnamato taate meeni masaraason oodefe tasoni meenawa oom asuni meena zuuttere arseterwa.
32010e00bb	Ta taatoni keer giruusi boor'a amanere fe ayni meyaassin showobesiis Daamiisik teetosonek siniwa. Es bari boor'a Ha'oosi kaamanon diga foontonon makok zeemotiistan daysire chima danetewa.
32010f00be	Sinuntano isa isa meya Kiristoosni Misirachchuni kaamaason maksefees koonakwa; oomni meya dey tayistu mero uni safarakwa; sinuntano oomni meya misirachchuni kaamaason maksefees ma'a nibakwa.
32011000a2	Han baasso Ha'oosi kaamanon ma'a nibak maksefees keeshtanakwa; baasso dey ta misirachchuni kaamaasi futo tishunoynamatowa iyaat hanta ha'tenamato arsete boor'awa.
3201110099	Sinuntano ek baasso Kiristoosni chowaason eelingsire maksefees ma'a nibak sinnoynaron teetni shunaknawa ta taatoosta ooma rakko daysusonek safarsefaatwa.
320112005e	Ma'a nibak sinun mangu nibak Kiristoos maktobaasik akamanon girefawungwa; hanneen dey gironar.
3201130078	Es girefanaas dey nitto shiiphoosiknawa Yesus Kiristoosni Ayyanaasi argasuusikna birmadumma kesanamato arifana boor'awa.
32011400cf	Wonaasik isanne aafa iichchonawuza sinnamato abdik oodtifawungwa. Sinuntano wonna wonna zagit faanasimatonawa hawung dey kaak faafanak wedey kitifanak Kiristoos tayissi ulfintonawa yira digonoy makefawungwa.
3201150048	Es bari boor'a taak kaa uus Kiristoosnik foowa. Kituus dey taak buu'awa.
3201160095	Sinuntano hantak kaak foonar sinfaanane gaanbarere wosto wostonak sholsifa; sinfanaknu kaak foostannawa kituustanna aaffaron korunamato aane arutiwa.
32011700eb	Es hep safaraasik rakkatedifan. Isa hamnarik Kiristoosneen ane foos zuuttambaase asiistan denalo sinna boor'a han kaastan oor kessa Kiristoosneen ane foonak kaltefawungwa; esiis dey Kiristoosneen ane foos akamanon ma'ar sinna boor'awa.
3201180031	Ooma ugnak kaak foonaas nittok akamanon sholsuwa.
320119007e	Es barik teetok kitutan fui'tera amantontiisik dichatiknawa gira danatikna nitto zuuttamnitisneen ane foona baron arifawungwa.
32011a006c	Ta hepsa wolla nittoki yaafana kabaasik ta boor'a fa teetontiis Yesus Kiristoosneen ane foontiisik arkunawa.
32011b00e4	Ese Zuuttambaase asiistan kaantiisik Kiristoosni misirachchuni kaamaasik sholsu fo footi. Es bar dey ta yaara biifanak wedey wokfanak isa alamak chimme yeerontiisonnawa misirachchuni kaamaason isarik katuk kabontiisonna odonawa.
32011c0094	Nittotin tugga'sefe baassotin isanne digotiitawa; sinuntano es chimnitiis baassok tishuni beso sinfana kabaasik nittok Ha'ooskin imte faruni besowa.
32011d006c	Kiristoosnik wostotik imte ixaas barik amanotik koi'ba sinnnoynaron basa chowaasik shana ephphatootiknengwa.
32011e00a8	Es bari boor'a hash taneen ane shanaason haa'er sinetiwa; es shanaas dey zeemo sinak tayista kar'in biyeti barewa hashnu dey tayista kar'et faanamato odet faati barewa.
32020100d7	Nittotna nittotna Kiristoosnik chinit fo faafaanane; keeshtanbaasik dey chimeset faasetir sinfaanane dey Korto Ayyanaasneen ane isarniti faafaanane; dey nittotna nittotna ma'a wuza zagunewa kenashtone besisefaatine;
3202020063	Es bari boor'a safarak; keeshtanak; ayyanaknawa alamakna isar sinna ta giraas tuuma sinanak zaguti.
320203009d	Teetnitiison daa ephpha oom asuni meya nittoostan wayya sinetemato faadutitano teetniison shunak wedey «Tane fe asu aafe» yifa teetok isa wuzane zagutiita.
320204006e	Esiisimato asu isarba isarbaas basa teetak ke'ni wuzason koi'ba sinnoynaron oom asusik ke'ni wuzason safarowo.
3202050049	Es barik Kiristoos Yesusniissi fa safaraas nittoossi dey foonak sholsuwa.
3202060065	Bar Ha'oni haalak feefet Ha'oosneen ane isa kixxe sinni; Ha'oni haalason hugnak ephanak aane sholowe.
3202070076	Es baristan barik fa ulfinaason zuutire beyye; boznimato sinne beste; Asunimato dey koonte; asuni gitok ammanon beste.
3202080069	Teetbaason daa ephi; kituta kar'ana kabaneen; es barnu masqalita suuttere; kituna kabaneen ajajamer sini.
3202090077	Es bari boor'a Ha'oos zuuttambaase asi denalo; barin den teggi; suna zuuttambaase asiistan denalo; sina suna barik imi.
32020a007f	Es bari boor'a Yesusni sunaasi ulfinak; samaknawa daakna; dey daasi sikalosi faase barikito zuuttera; ke'baasik barik kaa'nona.
32020b0065	Asuni meeni termaas zuuttera: «Yesus Kiristoos Daamwa» yira zaalni makok Aba Ha'oosik ulfina imana.
32020c0109	Koontaasakitono! Ta nittoneen ane faana kabaasik wonna wonna ajajamer sinetimato hash ta nittoostan wokfana kabaasik es baristan denalo ajajamer sinatik yaadatsifawungwa. Es bari boor'a isa isarnitiis faruntiison besifa wostooson digaknawa ulfinakna chimma wostoti.
32020d0063	Es bari boor'a bar sinanak sholefana baron sholotiknawa zagutikna nittoossi wostet fayiis Ha'ooswa.
32020e0048	Aaffa wostoosonnu wostefeti kabaasik unyusotiita wedey karakkarosotiita.
32020f0097	Es bar dey sinfaanane han elinga dey mangu koontoosi ganesi zinanewa muudane foonto kayim Ha'oni naanggota sinna han daastak baakuranimato chaarsutiwa.
32021000c2	Es bar dey sinanaas kaa bestefana kaamaason yeetunoy mai'sira ephatinewa. Esiisimato eelnaasewa wostonaase ke'nor sinna fui'tonoynamato Kiristoos wolle yeefena kabaasik teetona wuzna faarwa uwa.
3202110093	Ha'oosik wostontiisewa amanontiise asi maa'aasta ta kaas dey dayistera maa'a sinna imtefaananenu girefawungwa. Nitto dey ta giraason haa'er sinati.
3202120041	Esiisimato nitto dey girera taan dey girantiison haa'er zagutiwa.
3202130067	Ta nitto chowaason odera gironak Ximotiyosnin taptera nittoki wosu chimanak Daam Yesusnik abdi zagifan.
3202140048	Nitto chowaasik nibbaassin safarefees Ximotiyosteno oom asu taak aafewa.
3202150075	Sinuntano oom asuni meya baasso teetak ke'ni wuzasontu zaguk eelefetano Yesus Kiristoosni wostoosik giddibesi aafawa.
32021600c1	Ximotiyos amanamto asu sinbaas fattantera zaala makter sinnamato taneen ane dey abanawa naana asimato isar sinna misirachchuni kaamaason assuk ane wostet faanimato nitto teetnitiisik arsetirwa.
3202170076	Es bari boor'a ta chowaas ayta hamma kar'nitto arinanneen orfo Ximotiyosnin taptera nittoki wosunamato abdi zagifanwa.
320218005b	Esiisimatonu ta teetnaasik nittoki yoo chimanak Daamiis taan argasunawa yira amanefawungwa.
32021900e6	Esiisimato taak sholsi wuza zuuttambaase asik taan argasunak wosiseti ayta Eephafiroditusnin wolgira nittok wosuna bar sholsu sinna taak bestewa; bar taneen ane taar'ere yere meya taar'onawa wostoni zomotana sinne wostet fe asuwa.
32021a0096	Barin nittoki wosunaas bar nitto zuuttamnitiise asin biyanak kaltena boor'anawa basa mettooson dey nitto odeseti boor'a digere safaret feena boor'awa.
32021b00be	Futoosik bar akamanon mettere kitunak kar'iwa; sinuntano Ha'oos barik fakiya zagiwa. Es bar dey bar barik sinnoynaron suumosta suumo tayista kopuktonoynamato taakneentu Ha'oos fakiya zagiwa.
32021c006c	Es bari boor'a barin biira girotiknawa ta suumoos kashonakna barin nittoki wosunawa yira akamanon sholengwa.
32021d0066	Ese Daamiisin amanere fe asu sinna boor'a girak ephphatootiwa. Barne fe oom meyanon zuutira ulfinsuti.
32021e0093	Nitto tai'sera bestera taak zagu beyeti argasuuson bar taak tuunukwa iyaat Kiristoosni wostoosi boor'a kaabaasonnu keeshtonoy kituta katire feerwa.
32030100b8	Koi'baastak aytaasakitono! Daamiisik girotiwa. Es zeemoti nittok tichina wuzason hepsa wolgira nittok tichifaanane taan aane oomsuwawa. Es bar dey nittotin eshaassin oodanak chimanawa.
3203020087	Kannimato haanet feese mangu wuzason zagisefe baassostan teetnitiison oodti; haarko kunu sholsuwa yisefe baassostan teetnitiison oodti.
