2800000007	mathi.h
2f0a1000b4	tena vaya. m yu. smaaka. m pa"scimadiksthe. su sthaane. su susa. mvaada. m gho. sayi. syaama. h, ittha. m parasiimaayaa. m pare. na yat pari. sk. rta. m tena na "slaaghi. syaamahe|
2f0a110044	ya. h ka"scit "slaaghamaana. h syaat "slaaghataa. m prabhunaa sa hi|
2f0a12006c	svena ya. h pra"sa. msyate sa pariik. sito nahi kintu prabhunaa ya. h pra"sa. msyate sa eva pariik. sita. h|
2f0b010068	yuuya. m mamaaj naanataa. m k. sa. na. m yaavat so. dhum arhatha, ata. h saa yu. smaabhi. h sahyataa. m|
2f0b0200aa	ii"svare mamaasaktatvaad aha. m yu. smaanadhi tape yasmaat satii. m kanyaamiva yu. smaan ekasmin vare. arthata. h khrii. s.te samarpayitum aha. m vaagdaanam akaar. sa. m|
2f0b030099	kintu sarpe. na svakhalatayaa yadvad havaa va ncayaa ncake tadvat khrii. s.ta. m prati satiitvaad yu. smaaka. m bhra. m"sa. h sambhavi. syatiiti bibhemi|
2f0b0400e7	asmaabhiranaakhyaapito. apara. h ka"scid yii"su ryadi kenacid aagantukenaakhyaapyate yu. smaabhi. h praagalabdha aatmaa vaa yadi labhyate praagag. rhiita. h susa. mvaado vaa yadi g. rhyate tarhi manye yuuya. m samyak sahi. syadhve|
2f0b050055	kintu mukhyebhya. h preritebhyo. aha. m kenacit prakaare. na nyuuno naasmiiti budhye|
2f0b060082	mama vaakpa. tutaayaa nyuunatve satyapi j naanasya nyuunatva. m naasti kintu sarvvavi. saye vaya. m yu. smadgocare prakaa"saamahe|
2f0b07009d	yu. smaakam unnatyai mayaa namrataa. m sviik. rtye"svarasya susa. mvaado vinaa vetana. m yu. smaaka. m madhye yad agho. syata tena mayaa ki. m paapam akaari?
2f0b080050	yu. smaaka. m sevanaayaaham anyasamitibhyo bh. rti g. rhlan dhanamapah. rtavaan,
2f0b090130	yadaa ca yu. smanmadhye. ava. artte tadaa mamaarthaabhaave jaate yu. smaaka. m ko. api mayaa na pii. dita. h; yato mama so. arthaabhaavo maakidaniyaade"saad aagatai bhraat. rbhi nyavaaryyata, itthamaha. m kkaapi vi. saye yathaa yu. smaasu bhaaro na bhavaami tathaa mayaatmarak. saa k. rtaa karttavyaa ca|
2f0b0a0072	khrii. s.tasya satyataa yadi mayi ti. s.thati tarhi mamai. saa "slaaghaa nikhilaakhaayaade"se kenaapi na rotsyate|
2f0b0b0066	etasya kaara. na. m ki. m? yu. smaasu mama prema naastyetat ki. m tatkaara. na. m? tad ii"svaro vetti|
2f0b0c00b3	ye chidramanvi. syanti te yat kimapi chidra. m na labhante tadarthameva tat karmma mayaa kriyate kaari. syate ca tasmaat te yena "slaaghante tenaasmaaka. m samaanaa bhavi. syanti|
2f0b0d0073	taad. r"saa bhaaktapreritaa. h prava ncakaa. h kaaravo bhuutvaa khrii. s.tasya preritaanaa. m ve"sa. m dhaarayanti|
2f0b0e005a	taccaa"scaryya. m nahi; yata. h svaya. m "sayataanapi tejasviduutasya ve"sa. m dhaarayati,
2f0b0f00b3	tatastasya paricaarakaa api dharmmaparicaarakaa. naa. m ve"sa. m dhaarayantiityadbhuta. m nahi; kintu te. saa. m karmmaa. ni yaad. r"saani phalaanyapi taad. r"saani bhavi. syanti|
2f0b1000c9	aha. m puna rvadaami ko. api maa. m nirbbodha. m na manyataa. m ki nca yadyapi nirbbodho bhaveya. m tathaapi yuuya. m nirbbodhamiva maamanug. rhya k. sa. naika. m yaavat mamaatma"slaaghaam anujaaniita|
2f0b11007a	etasyaa. h "slaaghaayaa nimitta. m mayaa yat kathitavya. m tat prabhunaadi. s.teneva kathyate tannahi kintu nirbbodheneva|
2f0b12004f	apare bahava. h "saariirika"slaaghaa. m kurvvate tasmaad ahamapi "slaaghi. sye|
2f0b130040	buddhimanto yuuya. m sukhena nirbbodhaanaam aacaara. m sahadhve|
2f0b1400d0	ko. api yadi yu. smaan daasaan karoti yadi vaa yu. smaaka. m sarvvasva. m grasati yadi vaa yu. smaan harati yadi vaatmaabhimaanii bhavati yadi vaa yu. smaaka. m kapolam aahanti tarhi tadapi yuuya. m sahadhve|
2f0b1500b7	daurbbalyaad yu. smaabhiravamaanitaa iva vaya. m bhaa. saamahe, kintvaparasya kasyacid yena pragalbhataa jaayate tena mamaapi pragalbhataa jaayata iti nirbbodheneva mayaa vaktavya. m|
2f0b160092	te kim ibrilokaa. h? ahamapiibrii| te kim israayeliiyaa. h? ahamapiisraayeliiya. h| te kim ibraahiimo va. m"saa. h? ahamapiibraahiimo va. m"sa. h|
2f0b1700f1	te ki. m khrii. s.tasya paricaarakaa. h? aha. m tebhyo. api tasya mahaaparicaaraka. h; kintu nirbbodha iva bhaa. se, tebhyo. apyaha. m bahupari"srame bahuprahaare bahuvaara. m kaaraayaa. m bahuvaara. m praa. nanaa"sasa. m"saye ca patitavaan|
2f0b180084	yihuudiiyairaha. m pa ncak. rtva uunacatvaari. m"satprahaarairaahatastrirvetraaghaatam ekak. rtva. h prastaraaghaata nca praptavaan|
2f0b190064	vaaratraya. m potabha njanena kli. s.to. aham agaadhasalile dinameka. m raatrimekaa nca yaapitavaan|
2f0b1a0101	bahuvaara. m yaatraabhi rnadiinaa. m sa"nka. tai rdasyuunaa. m sa"nka. tai. h svajaatiiyaanaa. m sa"nka. tai rbhinnajaatiiyaanaa. m sa"nka. tai rnagarasya sa"nka. tai rmarubhuume. h sa"nka. tai saagarasya sa"nka. tai rbhaaktabhraat. r.naa. m sa"nka. tai"sca
2f0b1b00a6	pari"sramakle"saabhyaa. m vaara. m vaara. m jaagara. nena k. sudhaat. r.s. naabhyaa. m bahuvaara. m niraahaare. na "siitanagnataabhyaa ncaaha. m kaala. m yaapitavaan|
2f0b1c0082	taad. r"sa. m naimittika. m du. hkha. m vinaaha. m pratidinam aakulo bhavaami sarvvaasaa. m samitiinaa. m cintaa ca mayi varttate|
2f0b1d004b	yenaaha. m na durbbaliibhavaami taad. r"sa. m daurbbalya. m ka. h paapnoti?
2f0b1e0044	yadi mayaa "slaaghitavya. m tarhi svadurbbalataamadhi "slaaghi. sye|
2f0b1f0083	mayaa m. r.saavaakya. m na kathyata iti nitya. m pra"sa. msaniiyo. asmaaka. m prabho ryii"sukhrii. s.tasya taata ii"svaro jaanaati|
2f0b20007b	damme. sakanagare. aritaaraajasya kaaryyaadhyak. so maa. m dharttum icchan yadaa sainyaistad damme. sakanagaram arak. sayat
2f0b210067	tadaaha. m lokai. h pi. takamadhye praaciiragavaak. se. naavarohitastasya karaat traa. na. m praapa. m|
2f0c01006b	aatma"slaaghaa mamaanupayuktaa kintvaha. m prabho rdar"sanaade"saanaam aakhyaana. m kathayitu. m pravartte|
2f0c0200c9	ita"scaturda"savatsarebhya. h puurvva. m mayaa paricita eko janast. rtiiya. m svargamaniiyata, sa sa"sariire. na ni. h"sariire. na vaa tat sthaanamaniiyata tadaha. m na jaanaami kintvii"svaro jaanaati|
2f0c03005d	sa maanava. h svarga. m niita. h san akathyaani marttyavaagatiitaani ca vaakyaani "srutavaan|
2f0c04006a	kintu tadaanii. m sa sa"sariiro ni. h"sariiro vaasiit tanmayaa na j naayate tad ii"svare. naiva j naayate|
2f0c050079	tamadhyaha. m "slaaghi. sye maamadhi naanyena kenacid vi. saye. na "slaaghi. sye kevala. m svadaurbbalyena "slaaghi. sye|
2f0c060130	yadyaham aatma"slaaghaa. m karttum iccheya. m tathaapi nirbbodha iva na bhavi. syaami yata. h satyameva kathayi. syaami, kintu lokaa maa. m yaad. r"sa. m pa"syanti mama vaakya. m "srutvaa vaa yaad. r"sa. m maa. m manyate tasmaat "sre. s.tha. m maa. m yanna ga. nayanti tadarthamaha. m tato vira. msyaami|
2f0c0700d7	aparam utk. r.s. tadar"sanapraaptito yadaham aatmaabhimaanii na bhavaami tadartha. m "sariiravedhakam eka. m "suula. m mahyam adaayi tat madiiyaatmaabhimaananivaara. naartha. m mama taa. dayitaa "sayataano duuta. h|
2f0c08005f	mattastasya prasthaana. m yaacitumaha. m tristamadhi prabhumuddi"sya praarthanaa. m k. rtavaan|
2f0c0900e5	tata. h sa maamuktavaan mamaanugrahastava sarvvasaadhaka. h, yato daurbbalyaat mama "sakti. h puur. nataa. m gacchatiiti| ata. h khrii. s.tasya "sakti ryanmaam aa"srayati tadartha. m svadaurbbalyena mama "slaaghana. m sukhada. m|
2f0c0a0096	tasmaat khrii. s.taheto rdaurbbalyanindaadaridrataavipak. sataaka. s.taadi. su santu. syaamyaha. m| yadaaha. m durbbalo. asmi tadaiva sabalo bhavaami|
2f0c0b00ff	etenaatma"slaaghanenaaha. m nirbbodha ivaabhava. m kintu yuuya. m tasya kaara. na. m yato mama pra"sa. msaa yu. smaabhireva karttavyaasiit| yadyapyam aga. nyo bhaveya. m tathaapi mukhyatamebhya. h preritebhya. h kenaapi prakaare. na naaha. m nyuuno. asmi|
2f0c0c0078	sarvvathaadbhutakriyaa"saktilak. sa. nai. h preritasya cihnaani yu. smaaka. m madhye sadhairyya. m mayaa prakaa"sitaani|
2f0c0d00c3	mama paalanaartha. m yuuya. m mayaa bhaaraakraantaa naabhavataitad eka. m nyuunatva. m vinaaparaabhya. h samitibhyo yu. smaaka. m ki. m nyuunatva. m jaata. m? anena mama do. sa. m k. samadhva. m|
2f0c0e013d	pa"syata t. rtiiyavaara. m yu. smatsamiipa. m gantumudyato. asmi tatraapyaha. m yu. smaan bhaaraakraantaan na kari. syaami| yu. smaaka. m sampattimaha. m na m. rgaye kintu yu. smaaneva, yata. h pitro. h k. rte santaanaanaa. m dhanasa ncayo. anupayukta. h kintu santaanaanaa. m k. rte pitro rdhanasa ncaya upayukta. h|
2f0c0f00be	apara nca yu. smaasu bahu priiyamaa. no. apyaha. m yadi yu. smatto. alpa. m prama labhe tathaapi yu. smaaka. m praa. narak. saartha. m saananda. m bahu vyaya. m sarvvavyaya nca kari. syaami|
2f0c100095	yuuya. m mayaa ki ncidapi na bhaaraakraantaa iti satya. m, kintvaha. m dhuurtta. h san chalena yu. smaan va ncitavaan etat ki. m kenacid vaktavya. m?
2f0c110063	yu. smatsamiipa. m mayaa ye lokaa. h prahitaaste. saamekena ki. m mama ko. apyarthalaabho jaata. h?
2f0c1200b4	aha. m tiita. m viniiya tena saarddha. m bhraatarameka. m pre. sitavaan yu. smattastiitena kim artho labdha. h? ekasmin bhaava ekasya padacihne. su caavaa. m ki. m na caritavantau?
2f0c1300dd	yu. smaaka. m samiipe vaya. m puna rdo. sak. saalanakathaa. m kathayaama iti ki. m budhyadhve? he priyatamaa. h, yu. smaaka. m ni. s.thaartha. m vayamii"svarasya samak. sa. m khrii. s.tena sarvvaa. nyetaani kathayaama. h|
2f0c140136	aha. m yadaagami. syaami, tadaa yu. smaan yaad. r"saan dra. s.tu. m necchaami taad. r"saan drak. syaami, yuuyamapi maa. m yaad. r"sa. m dra. s.tu. m necchatha taad. r"sa. m drak. syatha, yu. smanmadhye vivaada iir. syaa krodho vipak. sataa paraapavaada. h kar. nejapana. m darpa. h kalaha"scaite bhavi. syanti;
2f0c1500f0	tenaaha. m yu. smatsamiipa. m punaraagatya madiiye"svare. na namayi. sye, puurvva. m k. rtapaapaan lokaan sviiyaa"sucitaave"syaagamanalampa. tataacara. naad anutaapam ak. rtavanto d. r.s. tvaa ca taanadhi mama "soko jani. syata iti bibhemi|
2f0d01008c	etatt. rtiiyavaaram aha. m yu. smatsamiipa. m gacchaami tena sarvvaa kathaa dvayostrayaa. naa. m vaa saak. si. naa. m mukhena ni"sce. syate|
2f0d0200ca	puurvva. m ye k. rtapaapaastebhyo. anyebhya"sca sarvvebhyo mayaa puurvva. m kathita. m, punarapi vidyamaanenevedaaniim avidyamaanena mayaa kathyate, yadaa punaraagami. syaami tadaaha. m na k. sami. sye|
2f0d030086	khrii. s.to mayaa kathaa. m kathayatyetasya pramaa. na. m yuuya. m m. rgayadhve, sa tu yu. smaan prati durbbalo nahi kintu sabala eva|
2f0d0400c9	yadyapi sa durbbalatayaa kru"sa aaropyata tathaapii"svariiya"saktayaa jiivati; vayamapi tasmin durbbalaa bhavaama. h, tathaapi yu. smaan prati prakaa"sitaye"svariiya"saktyaa tena saha jiivi. syaama. h|
2f0d0500f4	ato yuuya. m vi"svaasayuktaa aadhve na veti j naatumaatmapariik. saa. m kurudhva. m svaanevaanusandhatta| yii"su. h khrii. s.to yu. smanmadhye vidyate svaanadhi tat ki. m na pratijaaniitha? tasmin avidyamaane yuuya. m ni. spramaa. naa bhavatha|
2f0d060065	kintu vaya. m ni. spramaa. naa na bhavaama iti yu. smaabhi rbhotsyate tatra mama pratyaa"saa jaayate|
2f0d07010a	yuuya. m kimapi kutsita. m karmma yanna kurutha tadaham ii"svaramuddi"sya praarthaye| vaya. m yat praamaa. nikaa iva prakaa"saamahe tadartha. m tat praarthayaamaha iti nahi, kintu yuuya. m yat sadaacaara. m kurutha vaya nca ni. spramaa. naa iva bhavaamastadartha. m|
2f0d080073	yata. h satyataayaa vipak. sataa. m karttu. m vaya. m na samarthaa. h kintu satyataayaa. h saahaayya. m karttumeva|
2f0d09007d	vaya. m yadaa durbbalaa bhavaamastadaa yu. smaan sabalaan d. r.s. tvaanandaamo yu. smaaka. m siddhatva. m praarthayaamahe ca|
2f0d0a00ea	ato heto. h prabhu ryu. smaaka. m vinaa"saaya nahi kintu ni. s.thaayai yat saamarthyam asmabhya. m dattavaan tena yad upasthitikaale kaa. thinya. m mayaacaritavya. m na bhavet tadartham anupasthitena mayaa sarvvaa. nyetaani likhyante|
2f0d0b00c7	he bhraatara. h, "se. se vadaami yuuyam aanandata siddhaa bhavata paraspara. m prabodhayata, ekamanaso bhavata pra. nayabhaavam aacarata| prema"saantyoraakara ii"svaro yu. smaaka. m sahaayo bhuuyaat|
2f0d0c0038	yuuya. m pavitracumbanena paraspara. m namaskurudhva. m|
2f0d0d0029	pavitralokaa. h sarvve yu. smaan namanti|
2f0d0e0083	prabho ryii"sukhrii. s.tasyaanugraha ii"svarasya prema pavitrasyaatmano bhaagitva nca sarvvaan yu. smaan prati bhuuyaat| tathaastu|
300000000c	gaalaatina.h
30010100a2	manu. syebhyo nahi manu. syairapi nahi kintu yii"sukhrii. s.tena m. rtaga. namadhyaat tasyotthaapayitraa pitre"svare. na ca prerito yo. aha. m paula. h so. aha. m
3001020065	matsahavarttino bhraatara"sca vaya. m gaalaatiiyade"sasthaa. h samitii. h prati patra. m likhaama. h|
3001030070	pitre"svare. naasmaa. mka prabhunaa yii"sunaa khrii. s.tena ca yu. smabhyam anugraha. h "saanti"sca diiyataa. m|
3001040065	asmaaka. m taate"svaresyecchaanusaare. na varttamaanaat kutsitasa. msaaraad asmaan nistaarayitu. m yo
300105005e	yii"surasmaaka. m paapahetoraatmotsarga. m k. rtavaan sa sarvvadaa dhanyo bhuuyaat| tathaastu|
3001060099	khrii. s.tasyaanugrahe. na yo yu. smaan aahuutavaan tasmaanniv. rtya yuuyam atituur. nam anya. m susa. mvaadam anvavarttata tatraaha. m vismaya. m manye|
30010700a1	so. anyasusa. mvaada. h susa. mvaado nahi kintu kecit maanavaa yu. smaan ca ncaliikurvvanti khrii. s.tiiyasusa. mvaadasya viparyyaya. m karttu. m ce. s.tante ca|
30010800ba	yu. smaaka. m sannidhau ya. h susa. mvaado. asmaabhi rgho. sitastasmaad anya. h susa. mvaado. asmaaka. m svargiiyaduutaanaa. m vaa madhye kenacid yadi gho. syate tarhi sa "sapto bhavatu|
30010900bc	puurvva. m yadvad akathayaama, idaaniimaha. m punastadvat kathayaami yuuya. m ya. m susa. mvaada. m g. rhiitavantastasmaad anyo yena kenacid yu. smatsannidhau gho. syate sa "sapto bhavatu|
30010a00c9	saamprata. m kamaham anunayaami? ii"svara. m ki. mvaa maanavaan? aha. m ki. m maanu. sebhyo rocitu. m yate? yadyaham idaaniimapi maanu. sebhyo ruruci. seya tarhi khrii. s.tasya paricaarako na bhavaami|
30010b0070	he bhraatara. h, mayaa ya. h susa. mvaado gho. sita. h sa maanu. saanna labdhastadaha. m yu. smaan j naapayaami|
30010c007f	aha. m kasmaaccit manu. syaat ta. m na g. rhiitavaan na vaa "sik. sitavaan kevala. m yii"so. h khrii. s.tasya prakaa"sanaadeva|
30010d00cb	puraa yihuudimataacaarii yadaaham aasa. m tadaa yaad. r"sam aacara. nam akaravam ii"svarasya samiti. m pratyatiivopadrava. m kurvvan yaad. rk taa. m vyanaa"saya. m tadava"sya. m "sruta. m yu. smaabhi. h|
30010e00a0	apara nca puurvvapuru. saparamparaagate. su vaakye. svanyaapek. saatiivaasakta. h san aha. m yihuudidharmmate mama samavayaskaan bahuun svajaatiiyaan atya"sayi|
30010f005d	ki nca ya ii"svaro maat. rgarbhastha. m maa. m p. rthak k. rtvaa sviiyaanugrahe. naahuutavaan
30011000a8	sa yadaa mayi svaputra. m prakaa"situ. m bhinnade"siiyaanaa. m samiipe bhayaa ta. m gho. sayitu ncaabhyala. sat tadaaha. m kravya"so. nitaabhyaa. m saha na mantrayitvaa
30011100a1	puurvvaniyuktaanaa. m preritaanaa. m samiipa. m yiruu"saalama. m na gatvaaravade"sa. m gatavaan pa"scaat tatsthaanaad damme. sakanagara. m paraav. rtyaagatavaan|
3001120091	tata. h para. m var. satraye vyatiite. aha. m pitara. m sambhaa. situ. m yiruu"saalama. m gatvaa pa ncada"sadinaani tena saarddham ati. s.tha. m|
300113005e	kintu ta. m prabho rbhraatara. m yaakuuba nca vinaa preritaanaa. m naanya. m kamapyapa"sya. m|
3001140055	yaanyetaani vaakyaani mayaa likhyante taanyan. rtaani na santi tad ii"svaro jaanaati|
300115003e	tata. h param aha. m suriyaa. m kilikiyaa nca de"sau gatavaan|
3001160099	tadaanii. m yihuudaade"sasthaanaa. m khrii. s.tasya samitiinaa. m lokaa. h saak. saat mama paricayamapraapya kevala. m jana"srutimimaa. m labdhavanta. h,
3001170072	yo jana. h puurvvam asmaan pratyupadravamakarot sa tadaa ya. m dharmmamanaa"sayat tamevedaanii. m pracaarayatiiti|
300118002c	tasmaat te maamadhii"svara. m dhanyamavadan|
300201009a	anantara. m caturda"sasu vatsare. su gate. svaha. m bar. nabbaa saha yiruu"saalamanagara. m punaragaccha. m, tadaano. m tiitamapi svasa"nginam akarava. m|
3002020117	tatkaale. aham ii"svaradar"sanaad yaatraam akarava. m mayaa ya. h pari"sramo. akaari kaari. syate vaa sa yanni. sphalo na bhavet tadartha. m bhinnajaatiiyaanaa. m madhye mayaa gho. syamaa. na. h susa. mvaadastatratyebhyo lokebhyo vi"se. sato maanyebhyo narebhyo mayaa nyavedyata|
3002030068	tato mama sahacarastiito yadyapi yuunaaniiya aasiit tathaapi tasya tvakchedo. apyaava"syako na babhuuva|
30020400bd	yata"schalenaagataa asmaan daasaan karttum icchava. h katipayaa bhaaktabhraatara. h khrii. s.tena yii"sunaasmabhya. m datta. m svaatantryam anusandhaatu. m caaraa iva samaaja. m praavi"san|
30020500a0	ata. h prak. rte susa. mvaade yu. smaakam adhikaaro yat ti. s.thet tadartha. m vaya. m da. n.daikamapi yaavad aaj naagraha. nena te. saa. m va"syaa naabhavaama|
30020600bf	parantu ye lokaa maanyaaste ye kecid bhaveyustaanaha. m na ga. nayaami yata ii"svara. h kasyaapi maanavasya pak. sapaata. m na karoti, ye ca maanyaaste maa. m kimapi naviina. m naaj naapayan|
30020700bf	kintu chinnatvacaa. m madhye susa. mvaadapracaara. nasya bhaara. h pitari yathaa samarpitastathaivaacchinnatvacaa. m madhye susa. mvaadapracaara. nasya bhaaro mayi samarpita iti tai rbubudhe|
30020800b4	yata"schinnatvacaa. m madhye preritatvakarmma. ne yasya yaa "sakti. h pitaramaa"sritavatii tasyaiva saa "sakti rbhinnajaatiiyaanaa. m madhye tasmai karmma. ne maamapyaa"sritavatii|
3002090113	ato mahya.m dattam anugraha.m pratij naaya stambhaa iva ga.nitaa ye yaakuub kaiphaa yohan caite sahaayataasuucaka.m dak.si.nahastagraha.m.na vidhaaya maa.m bar.nabbaa nca jagadu.h, yuvaa.m bhinnajaatiiyaanaa.m sannidhi.m gacchata.m vaya.m chinnatvacaa sannidhi.m gacchaama.h,
30020a0057	kevala. m daridraa yuvaabhyaa. m smara. niiyaa iti| atastadeva karttum aha. m yate sma|
30020b0065	aparam aantiyakhiyaanagara. m pitara aagate. aha. m tasya do. sitvaat samak. sa. m tam abhartsaya. m|
30020c00be	yata. h sa puurvvam anyajaatiiyai. h saarddham aahaaramakarot tata. h para. m yaakuuba. h samiipaat katipayajane. svaagate. su sa chinnatva"nmanu. syebhyo bhayena niv. rtya p. rthag abhavat|
30020d0088	tato. apare sarvve yihuudino. api tena saarddha. m kapa. taacaaram akurvvan bar. nabbaa api te. saa. m kaapa. tyena vipathagaamyabhavat|
30020e0109	tataste prak. rtasusa. mvaadaruupe saralapathe na carantiiti d. r.s. tvaaha. m sarvve. saa. m saak. saat pitaram uktavaan tva. m yihuudii san yadi yihuudimata. m vihaaya bhinnajaatiiya ivaacarasi tarhi yihuudimataacara. naaya bhinnajaatiiyaan kuta. h pravarttayasi?
30020f004d	aavaa. m janmanaa yihuudinau bhavaavo bhinnajaatiiyau paapinau na bhavaava. h
3002100150	kintu vyavasthaapaalanena manu. sya. h sapu. nyo na bhavati kevala. m yii"sau khrii. s.te yo vi"svaasastenaiva sapu. nyo bhavatiiti buddhvaavaamapi vyavasthaapaalana. m vinaa kevala. m khrii. s.te vi"svaasena pu. nyapraaptaye khrii. s.te yii"sau vya"svasiva yato vyavasthaapaalanena ko. api maanava. h pu. nya. m praaptu. m na "saknoti|
30021100a1	parantu yii"sunaa pu. nyapraaptaye yatamaanaavapyaavaa. m yadi paapinau bhavaavastarhi ki. m vaktavya. m? khrii. s.ta. h paapasya paricaaraka iti? tanna bhavatu|
300212005c	mayaa yad bhagna. m tad yadi mayaa punarnirmmiiyate tarhi mayaivaatmado. sa. h prakaa"syate|
300213004e	aha. m yad ii"svaraaya jiivaami tadartha. m vyavasthayaa vyavasthaayai amriye|
300214011e	khrii. s.tena saarddha. m kru"se hato. asmi tathaapi jiivaami kintvaha. m jiivaamiiti nahi khrii. s.ta eva madanta rjiivati| saamprata. m sa"sariire. na mayaa yajjiivita. m dhaaryyate tat mama dayaakaari. ni madartha. m sviiyapraa. natyaagini ce"svaraputre vi"svasataa mayaa dhaaryyate|
300215007c	ahamii"svarasyaanugraha. m naavajaanaami yasmaad vyavasthayaa yadi pu. nya. m bhavati tarhi khrii. s.to nirarthakamamriyata|
30030100d3	he nirbbodhaa gaalaatilokaa. h, yu. smaaka. m madhye kru"se hata iva yii"su. h khrii. s.to yu. smaaka. m samak. sa. m prakaa"sita aasiit ato yuuya. m yathaa satya. m vaakya. m na g. rhliitha tathaa kenaamuhyata?
3003020092	aha. m yu. smatta. h kathaamekaa. m jij naase yuuyam aatmaana. m kenaalabhadhva. m? vyavasthaapaalanena ki. m vaa vi"svaasavaakyasya "srava. nena?
3003030060	yuuya. m kim iid. rg abodhaa yad aatmanaa karmmaarabhya "sariire. na tat saadhayitu. m yatadhve?
3003040071	tarhi yu. smaaka. m gurutaro du. hkhabhoga. h ki. m ni. sphalo bhavi. syati? kuphalayukto vaa ki. m bhavi. syati?
30030500b1	yo yu. smabhyam aatmaana. m dattavaan yu. smanmadhya aa"scaryyaa. ni karmmaa. ni ca saadhitavaan sa ki. m vyavasthaapaalanena vi"svaasavaakyasya "srava. nena vaa tat k. rtavaan?
3003060068	likhitamaaste, ibraahiima ii"svare vya"svasiit sa ca vi"svaasastasmai pu. nyaartha. m ga. nito babhuuva,
3003070055	ato ye vi"svaasaa"sritaasta evebraahiima. h santaanaa iti yu. smaabhi rj naayataa. m|
30030800dc	ii"svaro bhinnajaatiiyaan vi"svaasena sapu. nyiikari. syatiiti puurvva. m j naatvaa "saastradaataa puurvvam ibraahiima. m susa. mvaada. m "sraavayana jagaada, tvatto bhinnajaatiiyaa. h sarvva aa"si. sa. m praapsyantiiti|
3003090052	ato ye vi"svaasaa"sritaaste vi"svaasinebraahiimaa saarddham aa"si. sa. m labhante|
30030a00d8	yaavanto lokaa vyavasthaayaa. h karmma. nyaa"srayanti te sarvve "saapaadhiinaa bhavanti yato likhitamaaste, yathaa, "ya. h ka"scid etasya vyavasthaagranthasya sarvvavaakyaani ni"scidra. m na paalayati sa "sapta iti|"
30030b00a1	ii"svarasya saak. saat ko. api vyavasthayaa sapu. nyo na bhavati tada vyakta. m yata. h "pu. nyavaan maanavo vi"svaasena jiivi. syatiiti" "saastriiya. m vaca. h|
30030c007e	vyavasthaa tu vi"svaasasambandhinii na bhavati kintvetaani ya. h paalayi. syati sa eva tai rjiivi. syatiitiniyamasambandhinii|
30030d00d4	khrii. s.to. asmaan parikriiya vyavasthaayaa. h "saapaat mocitavaan yato. asmaaka. m vinimayena sa svaya. m "saapaaspadamabhavat tadadhi likhitamaaste, yathaa, "ya. h ka"scit taraavullambyate so. abhi"sapta iti|"
30030e0099	tasmaad khrii. s.tena yii"sunevraahiima aa"sii rbhinnajaatiiyaloke. su varttate tena vaya. m pratij naatam aatmaana. m vi"svaasena labdhu. m "saknuma. h|
30030f00a0	he bhraat. rga. na maanu. saa. naa. m riityanusaare. naaha. m kathayaami kenacit maanavena yo niyamo niracaayi tasya vik. rti rv. rddhi rvaa kenaapi na kriyate|
30031000c7	parantvibraahiime tasya santaanaaya ca pratij naa. h prati "su"sruvire tatra santaana"sabda. m bahuvacanaantam abhuutvaa tava santaanaayetyekavacanaanta. m babhuuva sa ca santaana. h khrii. s.ta eva|
30031100f2	ataevaaha. m vadaami, ii"svare. na yo niyama. h puraa khrii. s.tamadhi niracaayi tata. h para. m tri. m"sadadhikacatu. h"satavatsare. su gate. su sthaapitaa vyavasthaa ta. m niyama. m nirarthakiik. rtya tadiiyapratij naa loptu. m na "saknoti|
3003120093	yasmaat sampadadhikaaro yadi vyavasthayaa bhavati tarhi pratij nayaa na bhavati kintvii"svara. h pratij nayaa tadadhikaaritvam ibraahiime. adadaat|
30031300cf	tarhi vyavasthaa kimbhuutaa? pratij naa yasmai prati"srutaa tasya santaanasyaagamana. m yaavad vyabhicaaranivaara. naartha. m vyavasthaapi dattaa, saa ca duutairaaj naapitaa madhyasthasya kare samarpitaa ca|
3003140032	naikasya madhyastho vidyate kintvii"svara eka eva|
30031500ba	tarhi vyavasthaa kim ii"svarasya pratij naanaa. m viruddhaa? tanna bhavatu| yasmaad yadi saa vyavasthaa jiivanadaanesamarthaabhavi. syat tarhi vyavasthayaiva pu. nyalaabho. abhavi. syat|
30031600ae	kintu yii"sukhrii. s.te yo vi"svaasastatsambandhiyaa. h pratij naayaa. h phala. m yad vi"svaasilokebhyo diiyate tadartha. m "saastradaataa sarvvaan paapaadhiinaan ga. nayati|
300317007a	ataeva vi"svaasasyaanaagatasamaye vaya. m vyavasthaadhiinaa. h santo vi"svaasasyodaya. m yaavad ruddhaa ivaarak. syaamahe|
3003180095	ittha. m vaya. m yad vi"svaasena sapu. nyiibhavaamastadartha. m khrii. s.tasya samiipam asmaan netu. m vyavasthaagratho. asmaaka. m vinetaa babhuuva|
3003190045	kintvadhunaagate vi"svaase vaya. m tasya vineturanadhiinaa abhavaama|
30031a004f	khrii. s.te yii"sau vi"svasanaat sarvve yuuyam ii"svarasya santaanaa jaataa. h|
30031b0060	yuuya. m yaavanto lokaa. h khrii. s.te majjitaa abhavata sarvve khrii. s.ta. m parihitavanta. h|
30031c0094	ato yu. smanmadhye yihuudiyuunaanino rdaasasvatantrayo ryo. saapuru. sayo"sca ko. api vi"se. so naasti; sarvve yuuya. m khrii. s.te yii"saaveka eva|
