0100000016	ሜꬌቴꬃ ማጻፋ
2d011a00c5	ሄሳ ጋሶን ጾሲ ኢስታ ዬላቺዛ ኣሞቴꬃስ ኣꬂ ኢሚዴስ፤ ኢስታ ማጫሳቲ ካሴ ሎሴቲዳ ጋይቶቴꬃ ዎጋ ሎሴይ ባይንዳ ዎጋን ላሚዳ።
2d011b0161	ሄሳꬆካ ኣቱማ ኣሳይ ባስ ቤሲዛ ማጫሳታራ ዚንኣናይሳ ኣጊዲ ኣዴይ ኣዴራ ዚንኣናስ ኣሞን ጹጌቲዲ ማጫሳታራ ዚንኢዛ ማላ ኣዴይ ኣዴራ ዚንኢዲ ፓላ ሚሽ ኦꬂዳ፤ ሄይታንቲ ባርካ ባ ኦꬂዳ ኢታ ኦሶዛስ ቤሲዛ ቂጻቴ ባ ቦላ ኤሂዳ።
2d011c00ce	ቃሴካ ኢስቲ ባ ቆፋራ ጾስ ኤሮይ ኑና ማዴና ጊዳ ጊሻስ ኢስቲ ኦꬃናስ ቤሶንታይሳ ኦꬃና ማላ ጾሲ ኢስታ ጎኦንታ ቆፋስ ኣꬂ ኢሚዴስ።
2d011d00ed	ኡባ ባጋራ ማካላኔ ኢታቴꬅ፥ ዪቄኔ ኢታ ኦሶን ጻላላ ኩሚዳ፤ ቃናቴቴꬃን፥ ሼምፖ ዎꬎን፥ ኦሻን፥ ባሌꬆኒኔ ጌኔን ኩሚዳይታ ቃሴካ ዚጊርዛይታ ጊዲዳ።
2d011e00ff	ኣሳ ሱንꬅ ሞሪዛይታ፥ ጾስ ኢጺዛይታ፥ ኣስ ጫዪዛይታ፥ ኦቶራንቻታኔ ጬቄቲዛይታ ጊዲዳ፥ ኡባ ዎዴ ኢታ ኦꬃናስ ኦጌ ኮይዛይታ፥ ባና ዬሊዳይታስ ኣዛዜቶንታይታ፥
2d011f007e	ዩሺ ቆፖንታይታ፥ ጊዳ ቃላ ዛሪ ላሊዛይታ፥ ኣሳስ ሚሼቶንታይታ፤ ሜንጼ ኢታታ።
2d012000cf	«ሄሳ ኦꬂዛይቲ ዉሪካ ሃይቃናስ ቤሴስ» ጊዛ ጾሳ ዎጋ ኢስቲ ኤሪሼ ሄይታንታ ባስ ኦሶ ጻላላ ጊዶንታ ሄሳꬆ ኦꬂዛይታካ ሚንꬄꬄቴስ።
2d02010145	ሄሳ ጊሻስ ኔኖ ሃራ ቦላ ፒርዲዛይሶ ኔኒ ታ ሃኒ ጋሶን ኦꬃዲስ ጊዛ ጋሶይካ ኔስ ዴና፤ ኔ ሃራ ኣሳ ቦላ ፒርዲዛይሳን ኔርካ ኔስ ኩናኔ ኤካሳ፤ ጋሶይካ ሃራ ኣሳ ቦላ ኔ ፒርዲዛይሳ ኔካ ዛራዳ ኢዛ ኦꬂዛ ጊሻሳ።
2d0202006a	ሃይታ ማላታ ኦꬂዛ ኣሳታ ቦላ ጾሳ ፒርዳይ ሊኬ ጊዲዳይሳ ኑ ኤሮስ።
2d020300ad	ሄሳ ጊሻስ ኔ ኣሳ ቦላ ፒርዳሼ ሄ ኔ ፒርዲዛይሳ ዛራ ኦꬂዛዴ ጊዲኮ ኔ ጾሳ ፒርዳፌ ኬሳ ኤካ ኣታና ኔስ ሚሳቲዜ?
2d020400b0	ዎይኮ ጾሳ ኪያቴꬂ ኔና ማሮቴꬃኮ ካሌꬂዛይሳ ሻካ ኤሮንታ ዳሼ ኢዛ ጊታ ኪያቴꬃኔ ኢዛ ዳንዳያ ዱሬቴꬃ ኔ ሌቃይ?
2d020500e0	ጊዶ ኣቲን ኔኒ ኔ ዎዚና ሙሜቴꬃኒኔ ማሮቴꬅ ኮዮንታ ኔ ዎዚና ጋሶን ጾሳ ቱማ ፒርዳይ ቆንጪዛ ዎዴ ጾሳ ሃንቆ ጋላሳስ ኔ ቦላ ዳሮ ሃንቆ ሺሻሳ።
2d0206003c	ጾሲ ኢሳስ ኢሳስ ኢዛ ኦሶ ማላ ኢማና።
2d0207007a	ሎኦ ኦሶ ኣጎንታ ኦꬂዲ ቦንቾ ሳባኔ ሜርና ዴኦ ኮይዛይታስ ሜርና ዴኦ ኢማና።
2d02080093	ጊዶ ኣቲን ባርካ ባና ዶሲዛይታሲኔ ቱማ ኣጋጊዲ ኢታ ካሊዛይታ ቦላ ፒርዳይኔ ሃንቆይ ጋካና።
2d02090095	ኢታ ኦꬂዛ ኣይ ኣሳ ቦላካ ኮይሮ ኣይሁዳ ኣሳ ቦላ፥ ካሊዲ ኣይዛቤታ ቦላ ዋዬይኔ ሜቶይ ጋካና።
2d020a009b	ጊዲኮካ ሎኦ ኦꬂዛዴስ ኦናስካ ኣይሁዳ ኣሳስ ጊዲን ኣይዛቤታስ ሳባይ፥ ሳሮቴꬂኔ ቦንቾይ ጊዳና።
2d020b0024	ጾሲ ኦናካ ሻኪ ማዴና።
2d020c00d2	ካሴ ዎጋይ ኤቆንታ ዎዴ ናጋራ ኦꬂዳ ኣሳይ ዉሪካ ዎጋይ ባይንዳ ꬋያና፤ ዎጋይ ኤቂ ሲሚን ናጋራ ኦꬂዳይቲ ዎጋን ኦይኬቲዲ ፒርዴታና።
2d020d00a7	ኣይስ ጊኮ ጾሳ ኣቻን ጺሎ ጌቴቲዛይቲ ኤቂዳ ዎጋስ ኣዛዜቲዛይታፔ ኣቲን ዎጋ ሲስ ሲዪዛይታ ጻላ ጊዴቴና።
2d020e0106	ዎጋይ ባይንዳ ኣይዛቤቲ ዎጋይ ዮቲዛይሳ ጮ ሜላ ሃኖቴꬃፌ ኤሪዲ ኦꬂሺን ኢስታስ ዎጋይ ባይንዳ ኣጊኮካ ኢስታስ ሜꬌቴꬃ ዎጋይ ዲዛ ጊሻስ ኢስቲ ባ ኦꬃናይሳ ኤሬቴስ።
2d020f00eb	ኢስታ ዎዚናይ ኢስታስ ማርካቲዛ ጊሻሲኔ ኢስታ ቆፋይ ኢስታ ሞቲዛ ጊሻስ ቃሴካ ኢስታ ማዲዛ ጊሻስ ዎጋይ ዮቲዛይ ኢስታ ዎዚናን ጻፌቲዳይሳ ኤሬቴስ።
2d021000b0	ሄሲካ ታ ሚሺራቾ ቃላን ታማርሲዛ ማላ ጾሲ ኣሳ ዎዚናን ቆቴቲዳይሳ ኪርስቶሳ ባጋራ ፒርዲዛ ጋላሳን ቆንጪሳና።
2d0211007d	ኔ ኔና ኣይሁዳ ኣስ ጊኮ ዎጋን ኣማኔታሳኔ ኔስ ጾሳራ ዲዛ ኢሲፌቴꬃን ጬቄታሳ።
2d02120067	ዎጋ ካሊዛ ጊሻስ ጾሳ ሼኔ ኤራዳ ኩሜꬅ ጊዲዛዝ ሻካ ኤሪዳ ጊዲኮ፥
2d02130072	ኔ ቆቄታ ካሌꬂዛዴ፤ ꬉማን ዲዛይታስ ፖኦ ጊዲዳይሳ ኔ ኣማኔቲዳዴ ጊዲኮ
2d02140098	ዎጋፔ ኔ ዴሚዳ ኤራቴꬃኒኔ ቱማቴꬃን ሃንኮ ኤሮንታይታ ዞሪዛዴ፥ ጉꬃ ናይታ ታማርሲዛዴ ጊዲኮ፥
2d0215009b	ኔኒ ሃራታ ታማርሶ ኣጋዳ ኔ ሁኤስ ኣዛስ ታማርኪ? ኔኒ ሃራ ኣስ ካይሶቶፓ ጋ ሳባካሼ ኔስ ካይሶታይ?
2d02160092	ኔኒ ሃራ ኣሲ ላይማቶንታ ማላ ዮታሼ ኔስ ላይማታይ? ኔስ ኤቃ ኢጻሳ ሺን ጾሳ ኬꬃ ሚሻ ቦንቃይ?
2d02170065	ኔኒ ዎጋን ጬቄታሳ ሺን ዎጋ ኔ ባጋራ ኦꬆንታ ኣጋዳ ጾሳ ካዉሻይ?
2d0218008a	ሄሲካ፥ «ኢንቴ ጋሶን ጾሳ ሱንꬂ ኣይዛቤታ ኣቻን ጫዬቴስ» ጌቴቲ ጻፌቲዳ ማላ ሃኒዴስ።
2d02190094	ኔ ዎጋ ናጋ ፖሊዛዴ ጊዲኮ ቃጻራስ ጎኣይ ዴስ፤ ኔ ዎጋ ኦꬆንታዴ ጊዲኮ ቃሴ ኔ ቃጻራይ ጮ ሃዳ።
2d021a0065	ቃጻሬቶንታ ዲሼ ዎጋይ ጊዛይሳ ፖሊኮ ቃጻሬቲዳዴራ ጊና ቆዴቴኔ?
2d021b00c3	ኔስ ጻፌቲዳ ዎጋይኔ ቃጻራይ ኔስ ዲኮ ዲዛ ዎጋ ኔ ናጎንታዴ ጊዲኮ ሃንኮ ቃጻሬቶንታ ዲሼ ዎጋስ ኣዛዜቲዳይ ኔ ቦላ ፒርዳና።
2d021c00e6	ኢሳዴይ ጮ ሜላ ሱንꬃስ ኣሳ ኣይፌን ታ ኣይሁዳ ኣስ ጊዳና ጊኮ ኢዚ ኣይሁዳ ኣስ ጊዴና፤ ቱማፔ ቃጼሬቴꬂ ጮ ካሬራ ኣሾ ኣይፌን ቤቲዛ ቃጻራ ጊዴና።
2d021d0168	ጊዲኮካ ኢሲ ኣሲ ኣይሁዳ ኣስ ጊዳናስ ዳንዳይዛይ ኢዛስ ጋꬃ ባጋይ ኣይሁዳ ኣስ ጊዲሺና። ቃጻራይካ ቃጻራ ጊዲዛይ ጻፌቲዳ ዎጋ ጻላላ ጊዶንታ ኣያናን ዎዚናፔ ጊዲዳ ቃጻራ ጊዲኮኮ! ሄሳ ማላ ኣሲ ጋላታ ኣሳፔ ጊዶንታ ጾሳፌ ዴሜስ።
2d03010065	ሂስቲኮ ኣይሁዳ ኣስ ጊዴꬃስ ኣዛ ጎኣይ ዲዜ? ቃጻራይ ኣይ ጎኢዜ?
2d0302007f	ኣዋራካ ጊዲን ጎኣይ ዳሮ፤ ሃራፔ ኮይሮ ጾሳ ቃላይ ሃዳራ ኣይሁዳታስ ኢሜቲዴስ።
2d0303006f	ኢስታፌ ኢሶታስ ኢሶታስ ኣማኖይ ባይንዳ ኣጊኮ ጾሳን ኣማኔቴꬅ ዲጊዜ?
2d030400db	ሙሌካ ዲጌና! ኣሲ ዉሪካ ዎርዳንቻ፥ «ኔኒ ኔ ቃላፔ ዴንዲዳይሳን ቱማንቻ፤ ኔ ሞርኬ ፒርዳንካ ጾናሳ» ጌቴቲ ጻፌቲዳ ማላ ጾሲ ቃሴ ቱማንቻ።
2d03050119	ኑ ማካላ ኦሶይ ጾሳ ጺሎቴꬅ ቆንጬን ቤሲዛይሳ ጊዲኮ ሂስቲን ኑ ኣይ ጋኔ? ጮ ኣሳ ዎጋ ማላ ፓላሜታናስ ጾሲ ባ ሃንቆ ኑ ቦላ ኤሂዛይሲ ኑስ ቤሴና ጋኔዬ? ሄሳካ ታ ጊዛይ ኣሳꬆ ቆፋና።
2d03060071	ቱማፔ ሄሳꬆ ሃኔና፤ ሄሳꬆ ሃኒዛ ጊዲኮ ጾሲ ኣላሜ ቦላ ዎስቲ ፒርዳንዴ?
2d03070106	«ታ ዎርዶቴꬂ ጾሳ ቱማቴꬅ ቆንጪሲዛይሳን ኢዛ ቦንቾ ጌዴ ጉጂዛ ጊዲኮ ሂስቲን ሃኢ ጋካናስ ዎስቲ ታ ቦላ ናጋራንቻ ማላ ፒርዴቲዜ?» ጊዲ ፓላሜታና ኣሲ ዳና ዳንዳዬስ።
2d030800db	ሄሳ ጉሲ፥ «ሎኦይ ያና ማላ ኣኔ ኢታ ኦꬆስ» ጌቴስ ጊዲ ኢሲ ኢሲ ኣሳቲ ኑ ቦላ ዎሬሲዛይሳ ማላ። ሃይታ ኣሳታ ቦላ ጋኪዛ ፒርዳይ ቱሙ ፒርዳ።
2d0309010c	ሂስቲን ኑ ኣይ ጊኖ? ኑኒ ኢስታፌ ኣꬊዞኒ? ሙሌካ ኣꬎኮ። ኣይሁዳታ ጊዲኮካ፥ ኣይዛቤታ ጊዲኮካ ዉሪካ ናጋራፔ ጋርሳ ባጋራ ዲዛ ጊሻስ ታ ዉርሳካ ካሴታዳ ኢስታስ ዮታዲስ።
2d030a0039	«ጺሎይ ኦኒካ ዴና፤ ኢሳዴይካ ዴና።
2d030b0048	ዩሺ ቆፒዛዴይ ባ፤ ጾስ ኮይዛይ ኢሳዴይካ ባ።
2d030c0086	ዉሪካ ባሌቲዳኔ ኢሲ ቦላ ጎኦንታይታ ጊዲዳ። ሎኦ ኦꬂዛይ ኦኒካ ባ፤ ኢሳዴይካ ዴና።
2d030d00a6	ኢስታ ዶናይ ዶያ ዲዛ ዱፎ ማላ፤ ኢስታ ዶናይ ኡባ ዎዴ ባሌꬆ ሃሳዬስ፤ ኢስታ ሜቴርሻይ ሾሻ ማርዜራ ዴስ።
2d030e0041	ኢስታ ዶናን ቃንጌꬂኔ ጫሞ ሚሺ ኩሚዴስ።
2d030f0037	ኢስታ ቶሆይ ሱꬅ ጉሳናስ ኤሶቴስ።
2d03100037	ኢስታ ኦጌን ꬋዮይኔ ላፋቴꬂ ዴስ።
2d0311002d	ኢስቲ ሳሮቴꬃ ኦጌ ኤሬቴና።
2d03120057	ኢስታ ኣይፌሶን ጾሳስ ያሻቴꬂ ባ» ጌቴቲ ጻፌቲዳ ማላ።
2d031300d4	ሄሳ ጊሻስ ዶናይ ዉሪካ ጎርዴታና ማላ ዴሬይ ኩሜꬅ ጾሳስ ዛሮ ኢማና ማላ ዎጋይ ጊዛይ ዉሪካ ዎጋፔ ጊዶራ ዲዛይታስ ጊዲዳይሳ ኑ ኤሮስ።
2d0314009e	ሄሳ ጊሻስ ዎጋይ ናጋራይ ኣዛኮ ኤሪሴስ ኣቲን ዎጋ ናጎን ኦኒካ ኢዛ ኣቻን ጺሎ ጌቴታናስ ዳንዳዬና።
2d03150083	ሃኢ ቃሴ ካሴ ናቤቲ ኢዛስ ማርካቲዳይሲ ዎጋፔ ካሬራ ጊዲዳ ጾሳ ጺሎቴꬂ ቆንጪዴስ።
2d03160075	ሄሲ ጾሳ ጺሎቴꬂ ዬሱስ ኪርስቶሳ ኣማኖን ዱማቴꬂ ባይንዳ ቤቲዛ ጺሎቴꬃ።
2d0317006c	ጋሶይካ ኣሲ ዉሪካ ናጋራ ኦꬂዴስ፤ ጾሳ ቦንቾይካ ኣሳ ናስ ፓጪዴስ።
2d03180083	ኣሳይ ዬሱስ ኪርስቶሲ ኣሳ ና ጊሻስ ኦꬂዳ ኪያቴꬃፌ ዴንዲዳይሳን ጮ ሜላ ጺሊዴስ።
2d03190103	ኢዛ ሱꬃን ጊዲዳ ኣማኖን ናጋራፔ ማሬታና ያርሾ ሂስቲዲ ጾሲ ዬሱሳ ሺሺዴስ፤ ኢዚ ሄሳ ኦꬂዳይ ካሴቲዲ ፖሌቲዳ ናጋራ ቃጻዮንታ ዳንዳያን ኣꬊዳ ባ ጺሎቴꬅ ቤሳናሳ።
2d031a00b8	ኢዚ ሄሳ ሃ ዎዴዛን ኦꬂዳይ ባ ጺሎቴꬃ፤ ሄሲካ ባ ባጋራ ጺሎ ጊዲዳ ዬሱስ ኪርስቶሳን ኣማኒዛዴ ጺሊሲዛይሳ ቤሳናሳ።
2d031b00c3	ሂስቲን ኑኒ ኢዛን ጬቄቲዛ ሚሺ ኣዚ ዲዜ? ኣይኮ ሚሻንካ ጬቄቶኮ፤ ኑ ጬቄታና ጋሶይካ ኣዜ? ዎጋ ናጊዛ ጊሼ? ጊዴና፤ ኣማኖና።
2d031c0063	ኣይ ኣሲካ ኣማኖን ኣቲን ዎጋ ናጎን ኣቶንታይሳ ኑ ጌሺ ዮቶስ።
2d031d0074	ጾሲ ኣይሁዳታስ ጻላ? ኣይዛቤታስካ ጾስ ጊዴኔ? ኤ ኣይዛቤታስካ ኢዚ ጾሳ።
2d031e008b	ቃጻሬቲዳይሳ ኣማኖን ቃሴ ቃጻሬቶንታይሳካ ሄ ኣማኖንካ ጺሊሲዛይካ ኢዚ ኢሲ ጾሳ ጻላ።
2d031f00ae	ሂስቲን ሄሲ ሄሳ ጊዲኮ ኣማኖ ጋሶን ዎጋ ጎኣይ ባይንዳ ሚሽ ኦꬂኖ? ሙሌካ ሄሳꬆ ሃኔና፤ ዎጋ ኑ ሚንꬃና ኣቲን።
2d0401005e	ሄሳ ጊሻስ ቃሴ ኑ ኣብራሃሜይ ሃይሳፌ ኣይ ጎኣ ዴሚዴስ ጊኖ?
2d0402009f	ኣብራሃሜይ ባ ኦሶን ጺሊዳኮ ኢዚ ጬቄታናዚ ኢዛስ ዴሲኮሺን፤ ኢዚ ጾሳ ሲንꬃን ጬቄታናስ ዳንዳዬና።
2d0403008f	ጌሻ ማጻፋይ፥ «ኣብራሃሜይ ጾስ ኣማኒዴሲኔ ኢዛ ኣማኖይ ኢዛስ ጺሎቴꬃን ቆዴቲዴስ» ጌስ።
2d04040098	ኢሳዴይ ኦሶ ኦꬂኮ ኢዚ ኤኪዛ ሚሻይ ኢዛስ ጮ ኪያቴꬅ ኢሜቲዛዝ ጊዶንታ ኢዛዴስ ኦሶ ዋጋ ጊዴስ።
2d040500aa	ጊዶ ኣቲን ኦሶ ኦꬆንታ ናጋራንቻ ኣሲ ጺሎ ኬሲዛ ጾሳን ኣማኒዛዴስ ኢዛ ኣማኖይ ኢዛስ ጺሎቴꬃን ታይቤቴስ።
2d04060068	ዳዊቲካ ጺሎቴꬂ ኢዛዴስ ቆዴቲዛይ ሎኦ ኦሶን ጊዶንታ ኣሳ ጊሻስ፥
2d0407007d	«ኢስታስ ኢስታ ባላ ኦሶይ ኣቶ ጌቴቲዳይቲኔ ናጋራፔ ማሬቲዳይቲ ኣንጄቲዳይታ!
2d04080064	ኢዛ ናጋራ ጎዳይ ሙሌካ ቆዶንታዴይ ኢዚ ኣንጄቲዳይሳ!» ጊዴስ።
2d040900d5	ሃ ኣንጆዚ ቃጻሬቲዳይታስ ጻላላዬ? ዎይኮ ቃጻሬቶንታይታሳራ? «ካሴ ኮይሮ ኑ ኣዋ ኣብራሃሜ ኣማኖይ ኢዛስ ጺሎቴꬃን ቆዴቲዴስ» ጊዶስ።
2d040a00d0	ሂስቲን ዋኒ ኢዛስ ሄሳꬆ ቆዴቲዴ? ኢዚ ቃጻሬቲዳፔ ጉዬ? ዎይኮ ቃጻሬታናፔ ካሴ? ኢዛስ ጺሎቴꬃን ቆዴቲዳይ ኢዚ ቃጻሬታናፔ ሲንꬃና።
2d040b010f	ኢዚ ካሴ ቃጻሬታናፔ ካሴ ዴሚዳ ጺሎቴꬃይ ቃጻራስ ማላታ ጊዳና ማላ ጺሎቴꬃስ ማታሜ ኤኪዴስ። ሄሳ ጊሻስ ቃጻሬቶንታ ኣማኒዛይታስ ጺሎቴꬃን ቆዴታና ማላ ኡባታስ ኢዚ ኣዋ።
2d040c00e0	ኢዚ ቃጻሬቲዳይታስካ ኣዋ፤ ቃጻሬቲዳይታስ ጻላላ ጊዶንታ ኑ ኣዋ ኣብራሃሜይ ካሴ ቃጻሬታናፔ ሲንꬄ ኢዛስ ዲዛ ኣማኖ ጌዶ ካሊዛይታስ ኡባሳ።
2d040d00c1	ኢዚ ኣላሜ ላቲዛዴ ጊዳና ማላ ኣብራሃሜይኔ ኢዛ ዜሬꬃቲ ኡፋይሳ ቃላ ኤኪዳይ ዎጋ ባጋራ ጊዶንታ ኣማኖን ጊዲዳ ጺሎቴꬃና።
2d040e007f	ዎጋ ናጊዛይቲ ላቲዛይታ ጊዲኮ ኣማኖስ ጎኣይ ዴና፤ ሂዶታይካ ጮ ሃዳ ጊዳናሺን፤
2d040f005e	ዎጋይ ሃንቆ ካሌꬄስ፤ ዎጋይ ባይንዳሶን ዎጋ ሜንꬆይ ዴና።
2d04100198	ሄሳ ጊሻስ ሂዶታይ ኣማኖን ዪዴስ፤ ሄሲካ ኢዛ ሂዶታይ ኢዛ ኪያቴꬃን ጊዳና ማላኔ ኣብራሃሜ ዜሬꬅ ኡባስ ኣማኔቲዛይሳ ጊዳና ማላ ሃኒዴስ፤ ሄሲካ ዎጋን ኢዛይታ ጊዲዳይታስ ጻላላ ጊዶንታ ኣማኖን ኣብራሃሜ ናይታ ጊዲዳይታስ ኡባታሳ፤ ኢዚካ ኑስ ኡባሲካ ኣዋ።
2d04110116	ሄሲካ፥ «ታ ኔና ዳሮ ዴሬ ኣዋ ኦꬃዲስ» ጌቴቲ ጻፌቲዳ ማላ ሃኒዴስ፤ ኢዚካ ሃይቂዳይታስ ዴኦ ኢሚዛዴን፥ ባይንዳይሳ ቃሴ ዲዛ ማላ ኦꬂዛዴን ኣማኒዳ ጾሳ ሲንꬃን ኢዚ ኑስ ኣዋ።
2d041200e7	ካሴ ኢዛስ፥ «ኔ ዜሬꬂ ሄሳꬆ ሃናና» ጌቴቲዳ ማላ ሂዶታ ኦꬃናስ ዳንዳዬቶንታ ሚሻን ኣብራሃሜይ ጾሲ ሃናና ጊዳይሳ ኣማኒዲ ዳሮ ዴሬ ኣዋ ጊዲዴስ።
2d041300e1	ኣብራሃሜስ ዬሌቲን 100 ላይꬅ ጊዲሺን ኣብራሃሜይ ባ ኣሳቴꬃይ ሃይቄꬃ ማላ ጊዲዳይሳኔ ሳራስ ዬሎ ዎዴይ ኣꬊ ቢዳይሳ ኤሪሼካ ኣማኖን ሌፒቤና።
2d04140077	ጌዴ ጉጂዲ ኣማኖን ሚኒዲ ጾሳስ ቦንቾ ኢሚዴስ ኣቲን ጾሲ ጊዳ ቃላ ሲꬊቤና።
2d04150064	ጾሲ ኢዛስ ኢሚዳ ሂዶታይ ፖሌታናይሳ ኩሜꬃ ዎዚናፔ ኣማኒዴስ።
2d0416003d	ሄሳ ጊሻስ ኢዛስ ጺሎቴꬃን ቆዴቲዴስ።
2d0417006f	«ኢዛስ ጺሎቴꬃን ቆዴቲዴስ» ጊዛ ቃላይ ጻፌቲዳይ ኢዛስ ጻላላ ጊዴና።
2d0418009b	ጊዶ ኣቲን ጾሲ ኑ ጺሎቴꬃ ኢዛ ባጋራ ታይቢዛ ኑ ጎዳ ዬሱሳ ሃይቆፔ ዴንꬂዳይሳን ኣማኒዛ ኑሳራኮ።
2d04190086	ኢዚ ኑ ናጋራ ጊሻስ ሃይቃናስ ኣꬊ ኢሜቲዴስ፤ ኢዚ ኑና ጺሊሳናስ ሃይቆፔ ዴንዲዴስ።
2d0501008b	ሂስቲኮ ኑኒ ኣማኖን ጺሊዳ ጊሻስ ኑ ጎዳ ዬሱስ ኪርስቶሳ ባጋራ ኑስ ጾሳራ ሳሮቴꬂ ዴስ።
2d050200da	ሃይሳ ሃ ኣማኖዛን ሚኒ ዲዛ ኪያቴꬃን ኑኒ ጌሊዳይ ኢዛ ባጋራ ጊዲዳ ጊሻስ ኡፋይሳን ጾሳ ቦንቾ ጊሼቲ ኤኪዛይታ ጊዲዳ ጊሻስ ኑ ኡፋዬቶስ።
2d0503009c	ሃይሳን ጻላላ ጊዶንታ ኑና ጋኪዛ ዋዬንካ ኡፋዬቶስ። ጋሶይካ ዋዬይ ዳንዳያን ጋꬂዛይሳ ኑ ኤሮስ።
2d05040061	ዳንዳያይ ፓጬን ሚኖቴꬅ ኢሜስ፤ ፓጬን ሚኖቴꬂ ሂዶታ ኢሜስ።
2d050500b9	ሄ ሂዶታይ ቃሴ ኑና ዬላቼና። ጾሲ ኑስ ኢሚዳ ጺሎ ኣያናን ባ ሲቆ ኑ ዎዚናን ጉሲዳ ጊሻስ ሄ ሂዶታይ ኑና ዬላን ጋꬄና።
2d05060084	ኑ ዳቡራንቻታ ጊዲ ዲሺን ጾሳ ዎዴይ ጋኪዳ ማላ ኪርስቶሲ ኑ ናጋራ ጊሻስ ሃይቂዴስ።
2d050700b9	ጺሎ ኣሳ ጊሻስ ሃይቃና ኣሲ ቤታናይሲ ዳሮ ሜቴስ። ሎኦ ኣሳ ጊሻስ ሃይቃናስ ጻላና ኣሲ ኦኔ ኤሪዛይ ቤታና ዳንዳዬስ።
2d050800b1	ጊዶ ኣቲን ኑ ቡሮ ናጋራንቻ ጊዲ ዲሺን ኪርስቶሲ ኑ ጊሻስ ሃይቂዴስ፤ ሄሲካ ጾሲ ኑና ሲቂዛ ባ ሲቆ ሄሳን ቤሴስ።
2d05090070	ኑኒ ኢዛ ሱꬃን ጌዪዳይታ ጊዲኮ ሃራፔካ ኢዛ ባጋራ ጾሳ ሃንቆፌ ኣታና።
2d050a00db	ኑ ጾሳስ ሞርኬታ ጊዲ ዲሺን ኢዛ ናዛ ሃይቆን ኢዛራ ጊጊዳይታ ጊዲኮ ኑ ኢዛራ ጊጊዳፔ ጉዬ ኢዛ ናዛ ዴኦ ባጋራ ኑኒ ፓጺዳይሲ ዋኒ ኬሂ ዳሬኔ!
2d050b00a6	ሄሳ ጻላላ ጊዴና፤ ቃሴካ ኑኒ ሃኢ ኢዛራ ጊጋ ዴሚዳ ኑ ጎዳ ዬሱስ ኪርስቶሳ ባጋራ ጾሳንካ ኡፋይስ ኦꬆስ።
2d050c0121	ሄሳ ጊሻስ ናጋራይ ኢሳዴ ጋሶን ዱጌ ሃ ኣላሜዛ ዪዳ ማላ ሃይቆይካ ናጋራ ጋሶን ዪዴስ፤ ሃይቆይካ ሄሳ ባጋራ ኣሳ ኡባኮ ዪዴስ፤ ሄሳስ ጋሶይካ ኣሲ ዉሪካ ኢዛ ባጋራ ናጋራ ኦꬂዳ ጊሻሳ።
2d050d008a	ዎጋይ ኢሜታናፔ ካሴ ናጋራይ ቢታ ቦላ ዴስ ሺን ዎጋይ ባይንዳሶን ናጋራይ ናጋራ ጊዴና።
2d050e00fe	ጊዶ ኣቲን ኣዳሜፔ ሃ ሲሚን ሙሴ ዎዴ ጋካናስ ዲዛ ዎዴን ኣዳሜ ማላ ዎጋ ሜንꬂዲ ናጋራ ኦꬆንታይታ ቦላካ ሃይቆይ ካዎቲዴስ፤ ኣዳሜይ ቡሮ ያና ኪርስቶሳስ ሌሚሶ።
2d050f0124	ጊዲኮካ ኢዛ ኪያቴꬃ ኢሞታይ ኣሳ ቆሆ ማላ ጊዴና፤ ኢሳዴይ ሞሪዳይሳን ዳሮ ኣሳይ ሃይቂኮካ ጾሳ ኪያቴꬃኒኔ ኢሲ ኣስ ዬሱስ ኪርስቶሳ ኪያቴꬃን ዪዳ ኢሞታይ ዳሮታስ ኬሂ ዳሪ ኢሜቲዴስ።
2d05100211	ቃሴካ ጾሳ ኢሞታይ ኢሳዴ ባጋራ ዪዳ ናጋራፔ ቤቲዳ ኣይፌ ማላ ጊዴና፤ ጋሶይካ ኢዛ ፒርዳይ ኢሳዴ ናጋራ ካሊዲ ፒርዳ ኤኪ ዪዴስ፤ ኢዛ ኢሞታይ ቃሴ ዳሮ ቆሆ ጋሶን ጺሎቴꬅ ኤሂዴስ። ሃይቆይ ኢሳዴ ባጋራ ካዎቲዳይሳ ጊዲኮ ዳሮ ቲርፓ ጊዲዳ ጾሳ ኪያቴꬂኔ ጺሎቴꬃ ኢሞታ ኤኪዳይቲ ኢሳዴ ባጋራ ሄሲካ ዬሱስ ኪርስቶሳ ባጋራ ጾኒዲ ዴኦን ዳና።
2d051200c7	ሂስቲኮ ኢሳዴ ቆሆ ጋሶን ፒርዳይ ኣሳ ኡባ ቦላ ጋኪዳ ማላ ሄሳꬆካ ኢሳዴ ጺሎቴꬃ ኦሶን ኣስ ኡባስ ዴኦ ኢሚዛ ጺሎቴꬂ ቤቲዴስ።
2d051300a0	ኢሳዴይ ኣዛዜቶንታ ኢጺዳ ጊሻስ ዳሮ ኣሳይ ናጋራንቻ ጊዲዳ ማላ ኢሳዴ ኣዛዜቴꬃን ቃሴ ዳሮቲ ጺላና።
2d0514008d	ዎጋይ ዪን ሞሮይ ዳሪዴስ፤ ጊዶ ኣቲን ናጋራይ ዳሮይሳፌ ቦላራ ጾሳ ኪያቴꬂ ኬሂ ዳሪዴስ።
