0100000006	Genezo
3801100082	Ili pretendas koni Dion; sed per siaj agoj ili malkonfesas Lin, estante abomenaj kaj malobeemaj kaj por ĉiu bona faro senvaloraj.
3802010035	Sed parolu vi tion, kio konvenas al la sana doktrino:
380202005c	ke la maljunuloj estu sobraj, seriozmienaj, prudentaj, sanaj en la fido, en amo en pacienco;
3802030084	ke la maljunulinoj tiel same estu je sintenado respektemaj, ne kalumniantoj, nek sklavigitaj de troa vino, sed instruantaj la bonon;
3802040044	por ke ili eduku la junulinojn ami siajn edzojn, ami siajn infanojn,
3802050086	esti prudentaj, ĉastaj, hejme laborantaj, bonfaremaj, submetiĝemaj al siaj propraj edzoj, por ke la vorto de Dio ne estu blasfemita;
3802060035	konsilu tiel same la junulojn, ke ili estu prudentaj;
3802070062	pri ĉio montrante vin ekzemplo de bonaj faroj, en via instruado montrante sincerecon, seriozecon,
3802080067	paroladon sanan, nekondamneblan; por ke la kontraŭulo hontu, havante nenion malbonan diri kontraŭ ni.
3802090076	Admonu sklavojn, ke ili estu submetiĝemaj al siaj propraj sinjoroj kaj plaĉantaj al ili en ĉio; ne kontraŭdiremaj,
38020a0070	ne ŝtelantaj, sed montrantaj ĉian bonan fidelecon; por ke ili ornamu en ĉio la doktrinon de Dio, nia Savanto.
38020b003f	Ĉar jam aperis la graco de Dio, portante savon al ĉiuj homoj,
38020c0072	instruante nin, ke foriginte malpiecon kaj laŭmondajn dezirojn, ni vivadu sobre, juste, kaj pie en la nuna mondo,
38020d0068	atendantaj la feliĉan esperon kaj la malkaŝon de la gloro de nia granda Dio kaj Savanto, Jesuo Kristo,
38020e0079	kiu donis sin por ni, por elaĉeti nin el ĉia maljusteco kaj por purigi al si popolon propran, fervoran pri bonaj faroj.
38020f0050	Tion parolu, kaj konsilu kaj riproĉu kun ĉia aŭtoritato. Neniu vin malestimu.
380301006a	Memorigu ilin, ke ili submetiĝu al regantoj kaj estroj, ke ili estu obeemaj, pretaj por ĉiu bona laboro,
3803020074	ke ili ne parolu malbonon pri iu ajn, estu ne malpacemaj, sed dolĉanimaj, montrantaj ĉian mildecon al ĉiuj homoj.
38030300ac	Ĉar ni ankaŭ estis iam malsaĝaj, malobeemaj, trompitaj, servantaj al diversaj pasioj kaj voluptoj, vivantaj en malico kaj envio, malamindaj, kaj malamantaj unu la alian.
3803040044	Sed kiam aperis la boneco de Dio, nia Savanto, kaj Lia amo al homoj,
380305009d	ne per laboroj faritaj en justeco, kiujn ni mem farus, sed laŭ Sia kompato Li savis nin, per la lavado de renasko, kaj per la renovigo de la Sankta Spirito,
380306003f	kiun Li riĉe surverŝis sur nin per Jesuo Kristo, nia Savanto;
3803070055	por ke ni, justigite per Lia graco, fariĝu heredantoj laŭ la espero de eterna vivo.
38030800b2	Fidinda estas la diro, kaj mi volas, ke pri tio vi atestadu kun certeco, por ke tiuj, kiuj ekkredis al Dio, zorgu pri bonaj faroj. Tiuj aferoj estas bonaj kaj utilaj al la homoj;
3803090080	sed evitu malsaĝajn demandojn kaj genealogiojn kaj diskutojn kaj prileĝajn disputojn, ĉar ili montriĝas senutilaj kaj vanaj.
38030a0043	Se iu estas herezulo ankoraŭ post unua admono kaj dua, evitu tiun,
38030b0043	sciante, ke tia homo perversiĝis kaj pekas, estante memkondamnita.
38030c006b	Kiam mi sendos al vi Artemason aŭ Tiĥikon, rapidu veni al mi al Nikopolis; ĉar mi decidis travintri tie.
38030d0075	Antaŭen irigu Zenason, la leĝiston, kaj Apoloson sur ilia vojaĝo kiel eble plej rapide, por ke nenio manku al ili.
38030e006a	Kaj niaj amikoj ankaŭ lernu daŭrigi bonajn laborojn, por necesaj bezonoj, por ke ili ne estu senfruktaj.
38030f006a	Ĉiuj, kiuj estas ĉe mi, vin salutas. Salutu vi tiujn, kiuj amas nin en la fido. Graco estu kun vi ĉiuj.
3900000007	Filemon
3901010064	Paŭlo, malliberulo por Kristo Jesuo, kaj Timoteo, la frato, al Filemon, nia amato kaj kunlaboranto,
390102005a	kaj al Apfia, la fratino, kaj al Arĥipo, nia kunbatalanto, kaj al la eklezio en via domo:
3901030047	Graco al vi kaj paco de Dio, nia Patro, kaj de la Sinjoro Jesuo Kristo.
390104003e	Mi ĉiam dankas mian Dion, memorigante pri vi en miaj preĝoj,
390105005f	aŭdinte pri via amo kaj pri la fido, kiun vi havas al la Sinjoro Jesuo kaj al ĉiuj sanktuloj;
390106006e	por ke la partoprenado en via fido fariĝu energia per la sciigo de ĉiu bonaĵo, kiu estas en vi, por Kristo.
3901070079	Ĉar mi tre ĝojis kaj havis multon da konsolo pro via amo, ĉar la koroj de la sanktuloj refreŝiĝis per vi, frato mia.
3901080058	Kvankam do mi havas plenan kuraĝon en Kristo, por ordoni al vi tion, kio estas konvena,
3901090075	tamen pro la amo mi preferas petegi tia, kia mi estas, Paŭlo, maljunulo kaj nun ankaŭ malliberulo pro Kristo Jesuo;
39010a0056	mi petegas vin koncerne mian filon, kiun mi naskis en miaj katenoj; tio estis Onesimo,
39010b0045	kiu estis iam senutila por vi, sed nun estas utila por vi kaj por mi;
39010c003d	mi ĵus resendis al vi lin mem, alivorte, mian propran koron;
39010d006a	lin mi volonte ja tenus apud mi, por ke anstataŭ vi li estu al mi helpanto en la ligiloj de la evangelio;
39010e0062	sed mi nenion volis fari sen via konsento; por ke via boneco estu ne kvazaŭ deviga, sed laŭvola.
39010f005e	Ĉar eble li pro tio estas apartigita for de vi por kelka tempo, por ke vi havu lin por ĉiam;
390110008d	jam ne kiel sklavon, sed kiel pli bonan ol sklavo, kiel fraton amatan, precipe por mi, sed des pli por vi, kaj en la karno kaj en la Sinjoro.
3901110048	Se vi do rigardas min kiel kunulon, akceptu lin tiel same, kiel min mem.
390112005b	Se tamen li faris ian malhonestaĵon, aŭ ŝuldas ion al vi, tion enkalkulu en mian konton;
390113007c	mi, Paŭlo, skribas per mia propra mano, mi ĝin repagos; mi tamen ne diras al vi, ke vi viaparte ŝuldas al mi eĉ vin mem.
390114005c	Jes, frato mia, lasu min havi plezuron de vi en la Sinjoro; refreŝigu mian koron en Kristo.
390115005d	Fidante pri via obeo, mi skribas al vi, sciante, ke vi faros eĉ pli multe, ol kiom mi diras.
3901160069	Sed krom tio pretigu por mi gastoĉambron; ĉar mi esperas, ke mi, laŭ viaj preĝoj, estos donita al vi.
3901170038	Salutas vin Epafras, mia kunmalliberulo en Kristo Jesuo,
3901180033	Marko, Aristarĥo, Demas, Luko, miaj kunlaborantoj.
3901190040	La graco de nia Sinjoro Jesuo Kristo estu kun via spirito. Amen.
3a00000006	Hebroj
3a0101005e	Dio, kiu multafoje kaj multamaniere parolis en la tempo antikva al niaj patroj en la profetoj,
3a01020073	en tiuj lastaj tagoj parolis al ni en Filo, kiun Li nomis heredanto de ĉio, per kiu ankaŭ Li faris la mondaĝojn,
3a010300cc	kiu, estante la elbrilo de Lia gloro kaj plena bildo de Lia substanco, kaj subtenante ĉion per la vorto de sia potenco, kaj farinte la elpurigon de niaj pekoj, sidiĝis dekstre de la Majesto en altaĵoj;
3a01040054	fariĝinte tiom pli granda ol la anĝeloj, kiom pli bonegan nomon ol ili li heredis.
3a0105008d	Ĉar al kiu el la anĝeloj Li iam diris: Vi estas Mia Filo, Hodiaŭ Mi vin naskis? kaj denove: Mi estos al li Patro, Kaj li estos al Mi Filo?
3a01060076	Kaj ankoraŭ, kiam Li enkondukas la unuenaskiton en la mondon, Li diras: Kaj kliniĝu antaŭ li ĉiuj anĝeloj de Dio.
3a01070062	Kaj pri la anĝeloj Li diras: Kiu faras la ventojn Liaj senditoj, Flamantan fajron Liaj servantoj;
3a01080072	sed pri la Filo: Via trono estas Dia trono por ĉiam kaj eterne; La sceptro de via regno estas sceptro de justeco.
3a0109006d	Vi amas virton kaj malamas malvirton; Tial Dio, via Dio, oleis vin per oleo de ĝojo pli ol viajn kamaradojn.
3a010a005e	Kaj: En antikveco Vi, ho Eternulo, fondis la teron, Kaj la ĉielo estas la faro de Viaj manoj.
3a010b003e	Ili pereos, sed Vi restos; Kaj ĉiuj ili eluziĝos kiel vesto,
3a010c0065	Kiel veston Vi ilin ŝanĝos, kaj ili ŝanĝiĝos. Sed Vi restas la sama, Kaj Viaj jaroj ne finiĝos.
3a010d0073	Sed al kiu el la anĝeloj Li iam diris: Sidu dekstre de Mi, Ĝis Mi faros viajn malamikojn benketo por viaj piedoj?
3a010e006b	Ĉu ne estas ili ĉiuj spiritoj servantaj, elsendataj, por servi al tiuj, kiuj estas heredontoj de la savo?
3a02010054	Pro tio ni devas pli diligente atenti la aŭditaĵojn, por ke ni de ili ne forflosu.
3a02020078	Ĉar se la vorto parolata per anĝeloj montriĝis konstanta, kaj ĉiu dekliniĝo kaj malobeo ricevis justan rekompencon,
3a02030086	kiamaniere ni forsaviĝos, malŝatinte tian gravan savon? kiu, unue ekanoncite per la Sinjoro, estas konfirmita al ni de la aŭdintoj;
3a0204007f	dum Dio ankaŭ kunatestis per signoj kaj mirindaĵoj kaj diversaj potencaĵoj kaj disdonoj de la Sankta Spirito, laŭ Sia volo.
3a02050049	Ĉar ne al anĝeloj Li submetis la estontan mondon, pri kiu ni paroladas.
3a02060065	Sed iu atestis ie, dirante: Kio estas homo, ke Vi lin memoras? Kio estas homido, ke Vi pensas pri li?
3a0207008b	Vi malaltigis lin malmulte antaŭ la anĝeloj, Per honoro kaj beleco Vi lin kronis. Vi faris lin reganto super la faritaĵoj de Viaj manoj;
3a02080092	Ĉion Vi metis sub liajn piedojn. Ĉar, metante ĉion sub lin, Li nenion lasis ne submetita. Sed nun ni ankoraŭ ne vidas ĉion submetita sub lin.
3a020900ac	Sed la malmulte sub la anĝeloj malaltigitan Jesuon ni vidas, pro la sufero de morto, kronita per honoro kaj beleco, por ke per la favoro de Dio li gustumu morton por ĉiu.
3a020a0095	Ĉar konvenis al Li, por kiu ĉio estas, kaj de kiu ĉio estas, alkondukanta multajn filojn al gloro, perfektigi per suferado la estron de ilia savo.
3a020b0068	Ĉar la sanktiganto kaj la sanktigatoj estas ĉiuj el unu; pro tiu kaŭzo li ne hontas nomi ilin fratoj,
3a020c005b	dirante: Mi predikos Vian nomon al miaj fratoj, En la mezo de popola kunveno mi Vin gloros.
3a020d0053	Kaj ankaŭ: Mi fidos Lin. Kaj ankaŭ: Jen mi kaj la infanoj, kiujn Dio donis al mi.
3a020e00b1	Ĉar do la infanoj partoprenas en sango kaj karno, li ankaŭ mem egale partoprenis en ili, por ke per morto li neniigu tiun, kiu havis la potencon de morto, tio estas la diablo,
3a020f0058	kaj liberigu tiujn, kiuj per timo de morto dum la tuta vivo estis subigitaj al sklaveco.
3a02100047	Ĉar vere li ektenas ne anĝelojn, sed la idaron de Abraham li ektenas.
3a021100a4	Tial li devis en ĉio similiĝi al siaj fratoj, por ke li fariĝu kompatema kaj fidela ĉefpastro en la aferoj de Dio, por fari repacigon por la pekoj de la popolo.
3a02120047	Ĉar per tio, ke li mem, tentate, suferis, li povas helpi la tentatojn.
3a03010072	Tial, fratoj sanktaj, partoprenantaj en ĉiela voko, pripensu la Apostolon kaj Ĉefpastron de nia konfeso, Jesuon,
3a03020045	kiu estis fidela al Tiu, kiu nomis lin kiel ankaŭ Moseo en Lia domo.
3a03030086	Ĉar ĉi tiu estas rigardita kiel inda je tiom pli granda gloro ol Moseo, kiom pli grandan honoron, ol la domo, havas ĝia stariginto.
3a0304004a	Ĉar ĉiu domo estas starigita de iu; sed la stariginto de ĉio estas Dio.
3a03050065	Kaj Moseo ja estis fidela en Lia tuta domo, kiel servanto, por atestaĵo pri tio, kio estis parolota;
3a03060086	sed Kristo, kiel filo super Lia domo; kies domo ni estas, se ni tenos nian kuraĝon kaj la ĝojadon de nia espero firmaj ĝis la fino.
3a0307004a	Tial, kiel diras la Sankta Spirito: Hodiaŭ, se vi aŭskultas Lian voĉon,
3a03080059	Ne obstinigu vian koron, kiel en la indignigo, Kiel en la tago de la tento en la dezerto,
3a0309004d	Kiam viaj patroj Min incitis, Esploris kaj vidis Miajn farojn kvardek jarojn.
3a030a0081	Pro tio Mi indignis kontraŭ tiu generacio, Kaj Mi diris: Ili ĉiam estas kun koro malĝusta, Kaj ili ne volas koni Miajn vojojn;
3a030b0040	Tial Mi ĵuris en Mia kolero, Ke ili ne venos en Mian ripozejon.
3a030c0061	Gardu vin, fratoj, ke ne estu en iu el vi koro malbona de nekredemo, en defalo de la vivanta Dio;
3a030d0079	sed konsilu unu la alian ĉiutage, dum estas nomate hodiaŭ, por ke neniu el vi estu obstinigita per la trompeco de peko;
3a030e0066	ĉar ni fariĝis partoprenantoj en Kristo, se la komencon de nia certiĝo ni tenos firma ĝis la fino;
3a030f0067	dum estas dirite: Hodiaŭ, se vi aŭskultas Lian voĉon, Ne obstinigu vian koron, kiel en la indignigo.
3a03100052	Ĉar kiuj, aŭskultinte, indignigis? ĉu ne ĉiuj elirintoj el Egiptujo per Moseo?
3a0311006b	Kaj kontraŭ kiuj Li indignis kvardek jarojn? ĉu ne kontraŭ la pekintoj, kies korpoj falis en la dezerto?
3a03120050	Kaj al kiuj Li ĵuris, ke ili ne venos en Lian ripozejon, krom al la neobeantoj?
3a03130033	Kaj ni vidas, ke ili pro nekredemo ne povis enveni.
3a04010067	Ni do timu, ke, kiam al ni restas promeso veni en Lian ripozejon, iu el vi eble ŝajne malatingos ĝin.
3a04020090	Ĉar al ni ankaŭ estas evangelio anoncita tiel same, kiel al ili; sed al ili la aŭdita parolo ne utilis, ne miksite kun fido ĉe la aŭdantoj.
3a040300c0	Ĉar ni ekkredintoj venas en la ripozejon, kiel Li diris: Tial Mi ĵuris en Mia kolero, Ke ili ne venos en Mian ripozejon; kvankam la faritaĵoj estis finitaj jam de post la fondo de la mondo.
3a0404005b	Ĉar Li diris ie pri la sepa tago jene: Kaj Dio ripozis en la sepa tago de Sia tuta laboro;
3a04050030	kaj ankaŭ jene: Ili ne venos en Mian ripozejon.
3a04060071	Ĉar restas do por iuj veni en ĝin, kaj tiuj, al kiuj la evangelio unue estis predikita, ne envenis pro malobeo,
3a0407009e	denove Li difinis iun tagon, dirante en David: Hodiaŭ, post tiom da tempo; kiel estas dirite: Hodiaŭ, se vi aŭskultas Lian voĉon, Ne obstinigu vian koron.
3a0408004e	Ĉar se Josuo al ili estus doninta ripozon, Li ne parolus poste pri alia tago.
3a0409002f	Tial restas sabata ripozo por la popolo de Dio.
3a040a005a	Ĉar tiu, kiu venis en sian ripozejon, ankaŭ mem ripozas de siaj faroj, kiel Dio de Siaj.
3a040b0059	Ni klopodu do veni en tiun ripozejon, por ke neniu falu laŭ la sama ekzemplo de malobeo.
3a040c00d2	Ĉar la vorto de Dio estas viva kaj energia, kaj pli akra ol ĉia glavo dutranĉa, kaj penetranta ĝis divido de la animo kaj spirito, kaj de artikoj kaj medolo, kaj kritikanta la pensojn kaj celojn de la koro.
3a040d0084	Kaj ne ekzistas kreitaĵo kaŝita antaŭ Lia vidado; sed ĉio estas nuda kaj evidenta al la okuloj de Tiu, al kiu nia afero rilatas.
3a040e006d	Havante do ĉefpastron grandan, trapasintan la ĉielon, Jesuon, la Filon de Dio, ni tenu firme nian konfeson.
3a040f007f	Ĉar ni havas ĉefpastron ne tian, kiu ne povus simpatii kun niaj malfortaĵoj, sed tentitan en ĉio tiel same, tamen sen peko.
3a04100070	Ni do alvenu kun kuraĝo al la trono de graco, por ke ni ricevu kompaton kaj trovu gracon por ĝustatempa helpo.
3a05010098	Ĉar ĉiu ĉefpastro, prenata el inter homoj, pro homoj estas difinita por aferoj rilatantaj al Dio, por ke li oferu kaj donacojn kaj oferojn pro pekoj;
3a0502006b	povante indulgi tiujn, kiuj estas malkleraj kaj erarantaj, tial, ke li mem estas ĉirkaŭata de malforteco;
3a05030052	kaj pro tio li devas, kiel por la popolo, tiel ankaŭ por si mem, oferi pro pekoj.
3a05040053	Kaj neniu alprenas al si tiun honoron krom la vokato de Dio, tiel same, kiel Aaron.
3a0505008e	Tiel ankaŭ Kristo sin mem ne honoris, por fariĝi ĉefpastro, sed lin honoris Tiu, kiu diris al li: Vi estas Mia Filo, Hodiaŭ Mi vin naskis;
3a05060057	kiel ankaŭ aliloke Li diris: Vi estas pastro por ĉiam, Laŭ la maniero de Melkicedek.
3a05070095	En siaj karnaj tagoj, preĝojn kaj petegojn oferinte, kun forta kriado kaj larmoj, al Tiu, kiu povis lin savi el morto, kaj aŭdite pro sia pia timo,
3a05080048	tiu, kvankam li estis Filo, tamen lernis obeon per tio, kion li suferis;
3a0509004e	kaj perfektigite, li fariĝis la fonto de eterna savo al ĉiuj al li obeantaj;
3a050a0037	nomite de Dio ĉefpastro laŭ la maniero de Melkicedek.
3a050b0062	Pri tiu ni havas dirotaĵojn multajn, kaj malfacile klarigeblajn tial, ke vi surdiĝis en aŭdado.
3a050c00cd	Ĉar kvankam vi jam devus esti instruistoj, vi ankoraŭ bezonas, ke oni instruu al vi, kiaj estas la komencaj elementoj de la orakoloj de Dio, kaj vi fariĝis bezonantoj de lakto kaj ne de solida nutraĵo.
3a050d0067	Ĉar ĉiu, kiu nutriĝas per lakto, estas nesperta rilate la vorton de justeco; ĉar li estas infaneto.
3a050e007e	Sed solida nutraĵo estas por la plenaĝuloj, kiuj per uzado havas la sentojn ekzercitaj, por distingi inter bono kaj malbono.
3a060100a7	Tial, ĉesigante la diskutadon pri la elementoj de Kristo, ni iru antaŭen al perfektiĝo, ne metante denove fundamenton de pento el malvivaj faroj kaj de fido al Dio,
3a06020058	de la dogmaro pri baptoj, surmetado de manoj, de revivigo de mortintoj, de eterna juĝo.
3a06030023	Kaj tion ni faros, se Dio permesos.
3a0604007b	Ĉar ĉe tiuj, kiuj unufoje estas allumitaj kaj gustumis la ĉielan donon kaj fariĝis partoprenantoj en la Sankta Spirito,
3a06050049	kaj gustumis la bonan vorton de Dio kaj la potencojn de la estonta mondo,
3a0606008a	kaj defalis, ne estas eble renovigi ilin ankoraŭ al pento, dum ili rekrucumas al si la Filon de Dio kaj elmetas lin al publika malhonoro.
3a060700a7	Ĉar la tero, kiu entrinkis la pluvon, sur ĝin ofte venantan, kaj produktas kreskaĵojn, taŭgajn por tiuj, pro kiuj ĝi ankaŭ estas kultivata, ricevas benon de Dio;
3a06080070	sed se ĝi donas dornojn kaj kardojn, ĝi estas malaprobata kaj proksima al malbeno; ĝia fino estas en brulado.
3a06090074	Sed ni certigas al ni aferojn pli bonajn pri vi, amatoj, kaj aferojn, kiuj akompanas savon, kvankam ni tiel parolas;
3a060a008e	ĉar Dio ne estas maljusta, por forgesi vian laboron kaj la amon, kiun vi montris al Lia nomo, servinte al la sanktuloj kaj ankoraŭ servante.
3a060b0066	Sed ni deziras, ke ĉiu el vi montru tian saman diligentecon por la plenumo de la espero ĝis la fino;
3a060c006b	por ke vi fariĝu ne maldiligentaj, sed imitantoj de tiuj, kiuj per fido kaj pacienco heredas la promesojn.
3a060d0063	Ĉar kiam Dio promesis al Abraham, Li ĵuris per Si mem (ĉar Li ne povis ĵuri per iu pli granda),
3a060e0044	dirante: Certe benante Mi benos vin, kaj multigante Mi multigos vin.
3a060f0039	Kaj tiel, atendinte kun pacienco, li atingis la promeson.
3a06100063	Ĉar homoj ĵuras per la pli granda, kaj ĉe ili la ĵuro por certigo estas fino de ĉia disputado.
3a06110077	Kaj Dio, volante montri pli abunde al la heredantoj de la promeso la neŝanĝeblecon de Sia intenco, intermetis ĵuron,
3a0612009a	por ke per du neŝanĝeblaj aferoj, en kiuj ne eble estas por Dio mensogi, fortan konsolon havu ni, kiuj rifuĝis, por akiri la esperon antaŭ ni metitan,
3a0613005f	kiun ni havas kiel ankron de la animo, firman kaj konstantan, enirantan internen de la kurteno;
3a06140066	kien eniris Jesuo, la antaŭulo por ni, fariĝinte ĉefpastro por ĉiam laŭ la maniero de Melkicedek.
3a0701008f	Ĉar tiu Melkicedek, reĝo de Salem, pastro de Dio la Plejalta, kiu renkontis Abrahamon revenantan de la mortigado de la reĝoj, kaj lin benis,
3a0702008a	kaj al kiu ankaŭ Abraham donis dekonon el ĉio (unue laŭ interpreto reĝo de justeco, kaj poste reĝo de Salem, tio estas reĝo de paco;
3a07030092	senpatra, senpatrina, sengenealogia, havanta nek komencon de tagoj, nek finon de vivo, sed similigita al la Filo de Dio), restas pastro por ĉiam.
3a07040063	Nun pripensu, kiel granda estis ĉi tiu, al kiu la patriarko Abraham donis dekonon el la akiraĵoj.
3a070500c1	Kaj efektive el la filoj de Levi tiuj, kiuj ricevas la pastran oficon, havas ordonon imposti laŭleĝe podekone la popolon, tio estas, siajn fratojn, kvankam elirintajn el la lumboj de Abraham;
3a07060070	sed tiu, kies genealogio ne estas el ili, ricevis de Abraham dekonaĵon, kaj benis tiun, kiu havis la promesojn.
3a07070050	Sed ekster ĉia kontraŭparolo, la malpli granda ricevas benon de la pli granda.
3a07080066	Kaj ĉi tie homoj, kiuj mortas, ricevas dekonaĵojn, sed tie unu, pri kiu estas atestate, ke li vivas.
3a0709005a	Kaj, por tiel diri, per Abraham ankaŭ Levi, la ricevanto de dekonaĵoj, donis dekonaĵon;
3a070a004f	ĉar li estis ankoraŭ en la lumboj de la patro, kiam Melkicedek lin renkontis.
3a070b00d9	Tial, se ekzistis perfekteco per la Levida pastreco (ĉar sub ĝi la popolo ricevis la leĝon), kia plua bezono estis, ke leviĝu alia pastro laŭ la maniero de Melkicedek, kaj ne estu nomata laŭ la maniero de Aaron?
3a070c004b	Ĉar kiam la pastraro ŝanĝiĝas, necese ankaŭ fariĝas ŝanĝo de leĝo.
3a070d005f	Ĉar tiu, pri kiu tio estas dirita, estas ano de alia tribo, el kiu neniu servis ĉe la altaro.
3a070e0069	Ĉar evidente estas, ke nia Sinjoro devenis de Jehuda, pri kiu tribo Moseo diris nenion rilate pastrecon.
3a070f0054	Kaj tio eĉ pli evidenta estas, se laŭ simileco de Melkicedek leviĝas pastro alia,
3a0710005b	kiu estas farita ne laŭ la leĝo de ordono karna, sed laŭ la potenco de vivo nedetruebla;
3a07110052	ĉar li havas la ateston: Vi estas pastro por ĉiam Laŭ la maniero de Melkicedek.
3a07120054	Ĉar okazas vere nuligado de antaŭiranta ordono, pro ĝia malforteco kaj senutileco
3a07130071	(ĉar la leĝo nenion perfektigis); kaj okazas la enkonduko de pli bona espero, per kiu ni alproksimiĝas al Dio.
3a07140021	Kaj pro tio, ke ne mankas ĵurado
3a0715009d	(ĉar ili sen ĵurado estas faritaj pastroj, sed ĉi tiu kun ĵuro laŭ Tiu, kiu diris pri li: La Eternulo ĵuris, kaj ne pentos: Vi estas pastro por ĉiam);
3a07160034	Jesuo fariĝis garantiulo de des pli bona interligo.
3a0717005a	Kaj ili ja fariĝis pastroj multenombraj, ĉar pro morto estas malpermesate al ili daŭri;
3a07180048	sed ĉi tiu, pro sia eterna daŭrado, havas sian pastrecon neŝanĝebla.
3a07190081	Tial ankaŭ li povas savi ĝis la ekstremaĵo tiujn, kiuj alproksimiĝas per li al Dio, ĉar li ĉiam vivas, por propeti pro ili.
3a071a007d	Ĉar por ni konvenis tia ĉefpastro, sankta, senpeka, senmakula, apartigita for de pekuloj, kaj farita pli alta ol la ĉielo;
3a071b00ba	li ne havas ĉiutagan necesecon, kiel tiuj ĉefpastroj, oferi oferojn, unue pro la propraj pekoj, poste pro la pekoj de la popolo; ĉar tion li faris unufoje por ĉiam, oferante sin mem.
3a071c00a1	Ĉar la leĝo starigas kiel ĉefpastrojn homojn, kiuj havas malfortecon; sed la vorto de la ĵuro, kiu estas post la leĝo, nomas Filon, perfektigitan por ĉiam.
3a0801007f	Jen do la resumo rilate la diritaĵojn: Ni havas tian ĉefpastron, kiu sidiĝis dekstre de la trono de la Majesto en la ĉielo,
3a0802005a	servanto de la sanktejo, kaj de la vera tabernaklo, kiun starigis ne homo, sed la Sinjoro.
3a08030083	Ĉar ĉiu ĉefpastro estas enoficigita por oferi donacojn kaj oferojn; kaj tial estas necese, ke ankaŭ ĉi tiu havu ion por oferi.
3a0804006f	Sed se li estus sur la tero, li tute ne estus pastro, tial, ke jam ekzistas oferantoj de donacoj laŭ la leĝo;
3a080500c9	kiuj servas al la ekzemplo kaj ombro de ĉielaj aferoj, kiel Moseo estis admonita, faronte la tabernaklon; ĉar: Zorgu, Li diris, ke vi faru ĉion laŭ la modelo, kiu estis montrita al vi sur la monto.
3a08060094	Sed nun li ricevis servadon des pli bonan, ju pli bona estas la interligo, kies interulo li fariĝis kaj kiu sur pli bonaj promesoj estas dekretita.
3a08070051	Ĉar se tiu unua interligo estus sendifekta, tiam ne estus serĉita loko por dua.
3a08080093	Ĉar riproĉante ilin, Li diris: Jen venos la tempo, diras la Eternulo, Kiam Mi faros kun la domo de Izrael kaj la domo de Jehuda interligon novan:
3a080900d9	Ne tian, kiel la interligo, kiun Mi faris kun iliaj patroj En la tago, kiam Mi prenis ilian manon, por elkonduki ilin el la lando Egipta, Ĉar ili ne restis en Mia interligo, Kaj Mi malatentis ilin, diris la Eternulo.
3a080a00e0	Sed jen estas la interligo, kiun Mi faros kun la domo de Izrael Post tiu tempo, diras la Eternulo: Mi metos Miajn leĝojn en ilian internon, Kaj sur ilia koro Mi ilin skribos, Kaj Mi estos ilia Dio, Kaj ili estos Mia popolo.
3a080b00a0	Kaj ne plu instruos ĉiu sian proksimulon, Kaj ĉiu sian fraton, dirante: Ekkonu la Eternulon; Ĉar ĉiuj Min konos, De iliaj malgranduloj ĝis iliaj granduloj;
3a080c0058	Ĉar Mi pardonos iliajn kulpojn, Kaj iliajn pekojn kaj malbonaĵojn Mi ne plu rememoros.
3a080d0079	Dirante: Novan interligon — Li malnovigis la unuan. Kaj tio, kio kadukiĝas kaj malnoviĝas estas proksima al malapero.
3a0901004d	Sed eĉ la unua interligo havis ordonojn pri Diservado, kaj sanktejon mondan.
3a09020088	Ĉar tabernaklo estis pretigita: la unua, en kiu estis la kandelabro kaj la tablo kaj la panoj de propono; ĝi estas nomata la Sanktejo;
3a0903003e	kaj post la dua kurteno, la tabernaklo nomata la Plejsanktejo,
3a090400be	havanta la oran incensilon, kaj la keston de interligo, tegitan entute per oro, en kiu estis vazo ora (enhavanta la manaon) kaj la ekflorinta bastono de Aaron kaj la tabeloj de la interligo,
3a09050067	kaj super tio kerubojn de gloro superombrantajn la fermoplaton, pri kiuj ni nun ne povas detale paroli.
3a0906006c	Kiam do ĉi tio estis tiel aranĝita, en la unuan tabernaklon eniras ĉiam la pastroj, farante la Diservojn;
3a09070081	sed en la duan, unufoje en la jaro eniras la ĉefpastro sola, ne sen sango, kiun li oferas pro si kaj pro la eraroj de la popolo;
3a09080083	per tio la Sankta Spirito montras, ke la vojo en la sanktejon ankoraŭ ne estas elmontrita, dum la unua tabernaklo ankoraŭ staras;
3a0909008b	kio estas parabolo por la nuna tempo; laŭ kio estas oferataj donacoj kaj oferoj, kiuj ne povas laŭ la konscienco perfektigi la adoranton,
3a090a006e	nur altrudate (kun manĝaĵoj kaj trinkaĵoj kaj diversaj lavadoj kaj karnaj purigadoj) ĝis tempo de reformo.
3a090b0095	Sed Kristo, aperinte kiel ĉefpastro de la estontaj bonoj, per la pli granda kaj pli perfekta tabernaklo, ne manfarita, tio estas ne el ĉi tiu kreo,
3a090c0088	nek per la sango de kaproj kaj bovidoj, sed per sia propra sango, eniris unufoje por ĉiam en la sanktejon, atinginte eternan elaĉeton.
3a090d0085	Ĉar se la sango de kaproj kaj bovoj, kaj la cindro de bovidino, ŝprucigite sur malpurulojn, sanktigas ĝis la purigado de la karno:
3a090e009c	kiom pli la sango de Kristo, kiu per la eterna Spirito sin oferis senmakula al Dio, purigos vian konsciencon el malvivaj faroj, por servi al la vivanta Dio?
