010000001b	ஆதியாகமம்
28061b00d2	கவலைப்படுவதால், உங்களில் யார் தன் வாழ்நாளில் ஒருமணி நேரத்தைக் கூட்டமுடியும்?
28061c0189	“உடையைக் குறித்தும் நீங்கள் ஏன் கவலைப்படுகிறீர்கள்? காட்டு மலர்கள் எப்படி வளர்கின்றன என்று பாருங்கள். அவை உழைப்பதுமில்லை, நூல் நூற்கிறதுமில்லை.
28061d0155	ஆனால் நான் உங்களுக்குச் சொல்கிறேன், சாலொமோன் எல்லாச் சிறப்புடையவனாய் இருந்துங்கூட, இவைகளில் ஒன்றைப்போல் உடை உடுத்தியதில்லை.
28061e0208	விசுவாசக் குறைவுள்ளவர்களே! இன்றைக்கு இருந்து நாளைக்கு நெருப்பிலே எறியப்படுகிற காட்டுப் புல்லுக்கே, இறைவன் இவ்வாறு உடுத்துவாரானால், உங்கள் பிதா உங்களுக்கு, எவ்வளவு அதிகமாய் உடுத்துவிப்பார்?
28061f010d	எனவே என்னத்தை உண்போம்? என்னத்தைக் குடிப்போம்? என்னத்தை உடுப்போம்? என்று சொல்லிக் கவலைப்பட வேண்டாம்.
2806200153	ஏனெனில் இறைவனை அறியாதவர்கள் இவற்றின் பின்னால் ஓடுகிறார்கள். உங்கள் பரலோக பிதாவோ இவை உங்களுக்குத் தேவை என அறிந்திருக்கிறார்.
280621015d	எனவே முதலாவதாக இறைவனுடைய அரசையும் அவரது நீதியையும் தேடுங்கள், அப்பொழுது இவைகளெல்லாம் உங்களுக்கு அவற்றோடுகூடக் கொடுக்கப்படும்.
28062201b5	நாளைக்கு என்ன நடக்கும் என்று கவலைப்பட வேண்டாம். ஏனெனில் நாளையத்தினம், நாளைக்கான தேவையைப் பார்த்துக்கொள்ளும். ஒவ்வொரு நாளுக்கும், அன்றன்றுள்ள பிரச்சனையே போதும்.
28070100b9	“தீர்ப்புச் செய்யாதிருங்கள், நீங்களும் தீர்க்கப்படாதிருப்பீர்கள்.
2807020199	நீங்கள் மற்றவர்களுக்கு அளிக்கும் தீர்ப்பையே நீங்களும் பெறுவீர்கள். நீங்கள் எந்த அளவினால் அளக்கிறீர்களோ, அந்த அளவின்படியே உங்களுக்கும் அளக்கப்படும்.
280703010b	“நீ உனது கண்ணிலுள்ள உத்திரத்தைக் கவனிக்காமல், உனது சகோதரனின் கண்ணிலுள்ள துரும்பைப் பார்ப்பது ஏன்?
2807040160	உன் கண்ணில் உத்திரம் இருக்கையில், நீ உனது சகோதரனிடம், ‘நான் உனது கண்ணிலுள்ள துரும்பை எடுத்துப் போடுகிறேன்,’ என எப்படிச் சொல்லலாம்?
28070501b6	வேஷக்காரனே, முதலில் உன் கண்ணிலுள்ள உத்திரத்தை எடுத்துப்போடு; அப்பொழுது உனது சகோதரனின் கண்ணிலுள்ள துரும்பை எடுத்துப் போடத்தக்கதாக நீ தெளிவாகப் பார்க்கக்கூடும்.
28070601fb	“பரிசுத்தமானதை நாய்களுக்குக் கொடுக்கவேண்டாம்; உங்கள் முத்துக்களைப் பன்றிகளுக்கு முன் வீச வேண்டாம். அப்படிச் செய்தால், அவை முத்துக்களை மிதித்துவிட்டு, திரும்பி உங்களையும் பீறிப்போடும்.
2807070160	“கேளுங்கள் உங்களுக்குக் கொடுக்கப்படும்; தேடுங்கள் நீங்கள் கண்டடைவீர்கள்; தட்டுங்கள் அப்பொழுது கதவு உங்களுக்குத் திறக்கப்படும்.
2807080165	ஏனெனில், கேட்கிற ஒவ்வொருவரும் பெற்றுக்கொள்கிறார்கள்; தேடுகிறவர்கள் கண்டடைகிறார்கள்; தட்டுகிறவர்களுக்குக் கதவு திறக்கப்படுகிறது.
28070900ba	“அப்பத்தைக் கேட்கும் தன் மகனுக்கு, உங்களில் யார் கல்லைக் கொடுப்பான்?
28070a009d	அல்லது மீனைக் கேட்கும் மகனுக்கு யார் பாம்பைக் கொடுப்பான்?
28070b0256	தீயவர்களாகிய நீங்களே உங்கள் பிள்ளைகளுக்கு நல்ல அன்பளிப்புகளைக் கொடுக்க அறிந்திருக்கிறீர்கள். அப்படியிருக்க, பரலோகத்திலிருக்கிற உங்கள் பிதா தம்மிடத்தில் கேட்பவர்களுக்கு, நல்ல அன்பளிப்புகளைக் கொடுப்பது அதிக நிச்சயம்!
28070c01e2	ஆகவே, மற்றவர்கள் உங்களுக்கு எவைகளைச் செய்யவேண்டுமென்று நீங்கள் விரும்புகிறீர்களோ, அதையே நீங்களும் மற்றவர்களுக்குச் செய்யுங்கள்; இதுவே மோசேயின் சட்டமும், இறைவாக்குகளும் ஆகும்.
28070d018e	“இடுக்கமான வாசல் வழியாக உள்ளே செல்லுங்கள். ஏனெனில் அழிவுக்கு செல்லும் வாசல் அகலமானது, வழியும் விரிவானது. பலர் அதன் வழியாகவே உள்ளே செல்லுகிறார்கள்.
28070e013d	ஆனால் இடுக்கமான வாசலும், குறுகலான வழியுமே வாழ்வுக்கு வழிநடத்துகின்றன. ஒரு சிலர் மட்டுமே அதைக் கண்டுபிடிக்கிறார்கள்.
28070f01d0	“பொய் தீர்க்கதரிசிகளைக்குறித்து விழிப்பாயிருங்கள். அவர்கள் ஆட்டுத் தோலைப் போர்த்திக்கொண்டு உங்களிடம் வருவார்கள். ஆனால் உள்ளத்திலோ அவர்கள் கடித்துக் குதறுகிற ஓநாய்கள்.
28071001f7	அவர்களது கனியினால் நீங்கள் அவர்கள் யாரென்று அடையாளம் கண்டுகொள்வீர்கள். மக்கள் முட்புதர்களில் இருந்து திராட்சைப் பழங்களையும், முட்செடிகளிலிருந்து அத்திப்பழங்களையும் பறிக்கிறார்களா?
280711010a	இல்லையே, அதேபோல், ஒவ்வொரு நல்ல மரமும் நல்ல கனியைக் கொடுக்கும். கெட்ட மரமோ, கெட்ட கனியையே கொடுக்கும்.
28071200e3	நல்ல மரம் கெட்ட கனிகளைக் கொடுக்கமாட்டாது, கெட்ட மரமும் நல்ல கனிகளைக் கொடுப்பதில்லை.
28071300cc	நல்ல கனிகொடாத ஒவ்வொரு மரமும், வெட்டி வீழ்த்தப்பட்டு நெருப்பில் வீசப்படும்.
28071400a6	இவ்வாறு, அதனதன் கனியினால் மரங்களை அடையாளம் கண்டுகொள்வீர்கள்.
280715020f	“என்னை நோக்கி, ‘ஆண்டவரே, ஆண்டவரே’ என்று, சொல்லுகிற எல்லோரும், பரலோக அரசிற்குள் செல்வதில்லை. மாறாக பரலோகத்தில் இருக்கிற என் பிதாவின் சித்தத்தின்படி செய்கிறவர்கள் மட்டுமே அதின் உள்ளே செல்வார்கள்.
280716021c	அந்நாளில் அநேகர் என்னிடம், ‘ஆண்டவரே, ஆண்டவரே, நாங்கள் உமது பெயரில் இறைவாக்கு உரைக்கவில்லையா? உமது பெயரில் பிசாசுகளைத் துரத்தவில்லையா? உமது பெயரில் பல அற்புதங்களைச் செய்யவில்லையா?’ என்று சொல்வார்கள்.
2807170191	அப்பொழுது நான் அவர்களிடம், ‘அக்கிரம செய்கைக்காரர்களே! நான் ஒருபோதும் உங்களை அறியவில்லை, என்னைவிட்டு அகன்றுபோங்கள்’ என்று வெளிப்படையாகச் சொல்வேன்.
2807180194	“எனவே, நான் சொல்லும் இவ்வார்த்தைகளைக் கேட்டு, இவற்றின்படி செய்கிற ஒவ்வொருவனும், கற்பாறையின்மேல் தன் வீட்டைக் கட்டிய புத்தியுள்ளவனைப் போலிருப்பான்.
28071901ae	மழை பெய்தது, வெள்ளம் மேலெழுந்தது, காற்று வீசி வீட்டைத் தாக்கியது; அப்படி இருந்தும், வீடு விழவில்லை. ஏனெனில் அதன் அஸ்திபாரம் கற்பாறையின்மேல் போடப்பட்டிருந்தது.
28071a016c	ஆனால், எனது இவ்வார்த்தைகளைக் கேட்டும், அதன்படி செயல்படாத ஒவ்வொருவனும், மணலின்மேல் தன் வீட்டைக் கட்டிய புத்தியில்லாதவன் போலிருப்பான்.
28071b012e	மழை பெய்தது, வெள்ளம் மேலெழுந்தது, காற்று வீசி வீட்டைத் தாக்கியது, அந்த வீடோ பலத்த சேதத்துடன் இடிந்து விழுந்தது.”
28071c00e5	இவற்றை இயேசு சொல்லி முடித்தபோது, மக்கள் அவருடைய போதனையைக் கேட்டு வியப்படைந்தார்கள்.
28071d0112	ஏனெனில் அவர் மோசேயின் சட்ட ஆசிரியர்களைப்போல் போதிக்காமல், அதிகாரமுள்ளவராய் அவர்களுக்கு போதித்தார்.
2808010126	இயேசு மலைப்பகுதியில் இருந்து கீழே இறங்கி வந்தார், அப்பொழுது பெருந்திரளான மக்கள் அவரைப் பின்தொடர்ந்தார்கள்.
2808020193	அப்பொழுது ஒரு குஷ்டவியாதி உள்ளவன் வந்து, அவர்முன் முழங்காற்படியிட்டு, “ஆண்டவரே, உமக்குச் சித்தமானால், என்னைச் சுத்தமாக்க உம்மால் முடியும் என்றான்.”
2808030180	இயேசு தன் கையை நீட்டி அவனைத் தொட்டு. “எனக்கு சித்தமுண்டு, நீ சுத்தமடைவாயாக!” என்று சொன்னார். உடனே அவன் தனது குஷ்டவியாதியிலிருந்து சுத்தமானான்.
2808040273	அப்பொழுது இயேசு அவனிடம், “நீ இதை ஒருவருக்கும் சொல்லாதபடி பார்த்துக்கொள். ஆனால், நீ போய் ஆசாரியனுக்கு உன்னைக் காண்பித்து, மோசே கட்டளையிட்ட காணிக்கையைச் செலுத்து அது அவர்களுக்கு நீ சுகமடைந்ததற்கான ஒரு சாட்சியாய் இருக்கும்” என்றார்.
28080500e2	இயேசு கப்பர்நகூமுக்குப் போனபோது, ஒரு நூற்றுக்குத் தலைவன் உதவிகேட்டு அவரிடம் வந்து,
280806011c	“ஆண்டவரே, வீட்டில் எனது வேலைக்காரன் முடக்குவாதமுடையவனாய், கடும் வேதனையுடன் படுத்திருக்கிறான்” என்றான்.
280807009b	இயேசு அவனிடம், “நான் வந்து அவனைக் குணமாக்குவேன் என்றார்.”
280808019f	நூற்றுக்குத் தலைவன் அதற்குப் பதிலாக, “ஐயா, நீர் எனது வீட்டிற்குள் வருவதற்கு நான் தகுதியற்றவன். ஒரு வார்த்தை மட்டும் சொல்லும், என் வேலைக்காரன் குணமடைவான்.
2808090293	ஏனெனில் நானும் அதிகாரத்திற்குக் கீழ்ப்பட்டவனாயிருந்தும், எனக்குக் கீழேயும் படைவீரர்கள் இருக்கிறார்கள். நான் ஒருவனை, ‘போ’ என்றால், போகிறான்; ஒருவனை, ‘வா’ என்றால், வருகிறான். நான் எனது வேலைக்காரனிடம் இதைச் செய் என்றால், அவன் செய்கிறான்” என்றான்.
28080a01f7	இயேசு இதைக் கேட்டபோது வியப்படைந்தார். அவர் தம்மைப் பின்தொடர்கிறவர்களிடம், “நான் உங்களுக்கு உண்மையைச் சொல்கிறேன், இப்படிப்பட்ட பெரிதான விசுவாசத்தை இஸ்ரயேலரிடத்திலும் நான் கண்டதில்லை.
28080b0259	நான் இதையும் உங்களுக்குச் சொல்கிறேன்: அநேகர் கிழக்கிலிருந்தும், மேற்கிலிருந்தும் வருவார்கள். அவர்கள் ஆபிரகாம், ஈசாக்கு, யாக்கோபு ஆகியோருடன் இறைவனுடைய அரசிலே பெரும்விருந்தில் அவர்களுக்குரிய இடங்களில் பங்கு பெறுவார்கள்.
28080c0158	ஆனால் அந்த அரசுக்குரிய மக்களோ, வெளியே இருளுக்குள்ளே எறியப்படுவார்கள். அங்கே அழுகையும் பற்கடிப்பும் உண்டாயிருக்கும்” என்றார்.
28080d0192	அதற்குப் பின்பு இயேசு நூற்றுக்குத் தலைவனிடம், “நீ போ, நீ விசுவாசித்தபடியே, உனக்கு ஆகட்டும்” என்றார். அந்த வேளையிலேயே அவனது வேலைக்காரன் குணமடைந்தான்.
28080e0135	இயேசு பேதுருவின் வீட்டிற்கு வந்தபோது, பேதுருவின் மாமியார் காய்ச்சலுடன் படுக்கையில் படுத்திருப்பதை அவர் கண்டார்.
28080f0143	இயேசு அவளுடைய கையைத் தொட்டவுடனே காய்ச்சல் அவளைவிட்டுப் போயிற்று. அவள் எழுந்து அவருக்குப் பணிவிடை செய்யத் தொடங்கினாள்.
28081001a5	மாலை நேரமானபோது, பிசாசு பிடித்திருந்த பலரை இயேசுவிடம் கொண்டுவந்தார்கள்; அவர் வார்த்தையினாலே அந்த தீய ஆவிகளைத் துரத்தி, எல்லா நோயாளிகளையும் குணமாக்கினார்.
280811017c	“அவர்தாமே நம்முடைய பலவீனங்களை ஏற்றுக்கொண்டு, நமது நோய்களைச் சுமந்தார்” என்று இறைவாக்கினன் ஏசாயாவினால் கூறப்பட்டது இப்படியாக நிறைவேறியது.
2808120135	தன்னைச் சுற்றி நின்ற கூட்டத்தை இயேசு கண்டபோது, அவர் தம்முடைய சீடர்களிடம், மறுகரைக்குப் போகும்படி, கட்டளையிட்டார்.
2808130146	அப்பொழுது ஒரு மோசேயின் சட்ட ஆசிரியன் அவரிடம் வந்து, “போதகரே, நீர் போகும் இடமெல்லாம் நான் உம்மைப் பின்பற்றுவேன்” என்றான்.
280814019e	இயேசு அதற்குப் பதிலாக, “நரிகளுக்குக் குழிகளும், ஆகாயத்துப் பறவைகளுக்குக் கூடுகளும் உண்டு. ஆனால் மானிடமகனாகிய எனக்கோ தலைசாய்க்கக்கூட இடமில்லை” என்றார்.
280815013a	இன்னொரு சீடன் அவரிடம், “ஆண்டவரே, முதலில் நான் போய் என் தகப்பனை அடக்கம் செய்துவிட்டு வர எனக்கு அனுமதிகொடும்” என்றான்.
280816010f	அதற்கு இயேசு அவனிடம், “நீ என்னைப் பின்பற்று. மரித்தோர் தங்கள் மரித்தோரை அடக்கம்பண்ணட்டும்” என்றார்.
28081700f2	அதற்குப் பின்பு இயேசு படகில் ஏறினார். அவரது சீடர்களும் அவரைப் பின்தொடர்ந்து சென்றார்கள்.
2808180140	அப்பொழுது திடீரென ஒரு புயல்காற்று கடலின்மேல் வீசியது; அலைகள் படகிற்கு மேலாக மோதியது. இயேசுவோ தூங்கிக்கொண்டிருந்தார்.
2808190172	சீடர்கள் இயேசுவிடம் வந்து, அவரை எழுப்பி, “ஆண்டவரே, எங்களைக் காப்பாற்றும்! நாங்கள் தண்ணீரில் மூழ்கப்போகிறோம்!” என்று அவரிடம் சொன்னார்கள்.
28081a0211	அதற்கு இயேசு, “விசுவாசக் குறைவுள்ளவர்களே! நீங்கள் ஏன் இவ்வளவாய் பயப்படுகிறீர்கள்?” எனக் கேட்டார். பின்பு அவர் எழுந்து காற்றையும் அலைகளையும் கடிந்துகொண்டார். அப்பொழுது மிகுந்த அமைதி உண்டாயிற்று.
28081b0161	அதைக் கண்டவர்கள் வியப்படைந்து, “இவர் எப்படிப்பட்டவரோ? காற்றும் அலைகளுங்கூட இவருக்குக் கீழ்ப்படிகிறதே!” என்று பேசிக்கொண்டார்கள்.
28081c0245	இயேசு மறுபக்கத்திலுள்ள கதரேனருடைய நாட்டிற்கு வந்தபோது, பிசாசு பிடித்த இருவர் கல்லறைகளிலிருந்து வந்து அவரைச் சந்தித்தனர். ஒருவரும் அந்த வழியாய்ச் செல்லமுடியாதவாறு, அவர்கள் மிகவும் கொடூரமானவர்களாய் இருந்தார்கள்.
28081d01b3	அவர்கள், “இறைவனின் மகனே, உமக்கு எங்களிடம் என்ன வேண்டும்? நியமிக்கப்பட்ட காலம் வருமுன், எங்களைச் சித்திரவதை செய்யவா நீர் இங்கே வந்தீர்?” என உரத்த சத்தமிட்டார்கள்.
28081e00dc	அவர்களுக்கு கொஞ்சம் தூரத்தில் பன்றிகள் பெருங்கூட்டமாய் மேய்ந்து கொண்டிருந்தது.
28081f0147	பிசாசுகள் இயேசுவிடம், “நீர் எங்களை வெளியே விரட்டுவதானால், பன்றிக்கூட்டத்திற்குள் அனுப்பிவிடும்” என்று கெஞ்சிக்கேட்டன.
28082001e3	இயேசு அவைகளிடம், “போங்கள்!” என்றார். எனவே அவைகள் வெளியே வந்து, பன்றிகளுக்குள் புகுந்துகொண்டன. அந்த முழுப்பன்றிக்கூட்டமும், மேட்டிலிருந்து விரைந்தோடி, கடலுக்குள் விழுந்து செத்தன.
2808210190	பன்றிகளை மேய்த்துக் கொண்டிருந்தவர்கள் பட்டணத்திற்குள் ஓடிப்போய், பிசாசு பிடித்தவர்களுக்கு நிகழ்ந்ததையும், நடந்த எல்லாவற்றையும் அறிவித்தார்கள்.
28082201b5	அப்பொழுது பட்டணத்திலுள்ள யாவரும் இயேசுவை சந்திக்க வெளியே வந்து. அவர்கள் இயேசுவைக் கண்டபோது, தங்களுடைய பகுதியைவிட்டுப் போய்விடும்படி அவரை வேண்டிக்கொண்டார்கள்.
28090100bf	இயேசு ஒரு படகில் ஏறி, கடலைக் கடந்து தமது சொந்தப் பட்டணத்திற்கு வந்தார்.
280902027c	அங்கே சிலர் முடக்குவாதக்காரன் ஒருவனைப் படுக்கையில் கிடத்தியபடியே, அவரிடம் கொண்டுவந்தார்கள். இயேசு அவர்களுடைய விசுவாசத்தைக் கண்டபோது, அந்த முடக்குவாதக்காரனிடம், “மகனே, தைரியமாயிரு; உன்னுடைய பாவங்கள் உனக்கு மன்னிக்கப்பட்டன” என்றார்.
2809030134	இதைக் கேட்ட சில மோசேயின் சட்ட ஆசிரியர்கள், “இவன் இறைவனை நிந்திக்கிறான்!” என்று தங்களுக்குள் சொல்லிக்கொண்டார்கள்.
280904012f	அவர்களுடைய சிந்தனைகளை அறிந்த இயேசு அவர்களிடம், “நீங்கள் ஏன் உங்கள் இருதயங்களில் தீயவைகளைச் சிந்திக்கிறீர்கள்?
2809050105	‘உன்னுடைய பாவங்கள் மன்னிக்கப்பட்டன’ என்று சொல்வதா, அல்லது, ‘எழுந்து நட’ என்று சொல்வதா, எது எளிது?
28090602ab	ஆனால் பூமியிலே பாவங்களை மன்னிப்பதற்கு மானிடமகனாகிய எனக்கு அதிகாரம் உண்டு என்பதை நீங்கள் அறியவேண்டும் என்று விரும்புகிறேன்” என்று சொல்லி, பின்பு இயேசு அந்த முடக்குவாதக்காரனிடம், “எழுந்திரு, உன் படுக்கையை எடுத்துக்கொண்டு உன் வீட்டுக்குப்போ” என்றார்.
2809070073	உடனே அவன் எழுந்து, தன் வீட்டுக்குப் போனான்.
280908012f	மக்கள் கூட்டம் இதைக் கண்டபோது, இப்படிப்பட்ட அதிகாரத்தை மனிதருக்கு அளித்த இறைவனைப் பயபக்தியுடன் துதித்தார்கள்.
2809090252	இயேசு அங்கிருந்து போகும்போது, மத்தேயு என்னும் பெயருடைய ஒருவன் வரி வசூலிக்கிறவர்களுடைய அலுவலகத்தில் உட்கார்ந்திருப்பதைக் கண்டார். அவர் அவனிடம், “என்னைப் பின்பற்றி வா” என்றார். அவன் எழுந்து அவரைப் பின்பற்றிச் சென்றான்.
28090a01ae	பின்பு இயேசு, மத்தேயுவின் வீட்டில் விருந்து சாப்பிடும்போது, வரி வசூலிக்கிறவர்களும், பாவிகளும் அநேகர் வந்து, அவருடனும் அவருடைய சீடர்களுடனும் சாப்பிட்டார்கள்.
28090b0173	இதைப் பரிசேயர் கண்டபோது, அவரது சீடர்களிடம், “ஏன் உங்கள் போதகர் வரி வசூலிக்கிறவர்களோடும் பாவிகளோடும் சாப்பிடுகிறார்?” என்று கேட்டார்கள்.
28090c0151	இதைக் கேட்டபோது இயேசு, “சுகமாயிருப்பவர்களுக்கு வைத்தியன் தேவையில்லை, வியாதியாய் இருப்பவர்களுக்கே வைத்தியன் தேவை” என்றார்.
28090d0233	மேலும் அவர், “‘நான் பலியை அல்ல, இரக்கத்தையே விரும்புகிறேன்’ என்ற இறைவாக்கின் கருத்து என்னவென்று, போய்க் கற்றுக்கொள்ளுங்கள். ஏனெனில் நான் நீதிமான்களை அழைப்பதற்காக வரவில்லை, பாவிகளையே அழைக்கவந்தேன்” என்றார்.
28090e01ab	அதற்குப் பின்பு யோவானுடைய சீடர்கள் இயேசுவிடம் வந்து, “நாங்களும், பரிசேயரும் உபவாசிக்கிறோம். ஆனால் உமது சீடர்கள் உபவாசிப்பதில்லை, அது ஏன்?” என்று கேட்டார்கள்.
28090f0215	அதற்கு இயேசு, “மணமகன் தங்களுடன் இருக்கும்போது, மணமகனின் விருந்தினர் துக்கங்கொண்டாடுவது எப்படி? மணமகன் அவர்களைவிட்டு எடுக்கப்படும் காலம் வரும்; அப்பொழுது அவர்கள் உபவாசிப்பார்கள்” என்று சொன்னார்.
28091001b6	“ஒருவனும் பழைய ஆடையில், புதிய துணியை ஒட்டுப் போடுவதில்லை. அப்படி ஒட்டுப் போட்டால், புதிய துணி ஆடையைக் கிழித்துவிடும், கிழிசலும் முன்னிருந்ததைவிட பெரிதாகிவிடும்.
28091102db	மக்கள் புதிய திராட்சை இரசத்தைப் பழைய தோல் பைகளில் ஊற்றி வைப்பதில்லை. அப்படி செய்தால், தோல் பைகள் வெடித்து விடும்; திராட்சை இரசமும் சிந்திப்போகும், தோல் பைகளும் பாழாய்ப்போகும். அப்படிச் செய்யாமல், புதிய திராட்சை இரசத்தைப் புதிய தோல் பைகளில் ஊற்றி வைக்கவேண்டும்” என்றார்.
280912028e	இயேசு இதைச் சொல்லிக்கொண்டிருக்கையில், ஜெப ஆலயத் தலைவன் ஒருவன் வந்து அவர்முன் முழங்காற்படியிட்டு, அவரிடம், “எனது மகள் இப்பொழுதுதான் மரித்துப்போனாள். ஆனாலும் நீர் வந்து உமது கையை அவள்மேல் வையும். அப்பொழுது அவள் உயிர் பெறுவாள்” என்று சொன்னான்.
28091300fe	இயேசு எழுந்து ஜெப ஆலயத் தலைவனுடன் சென்றார். இயேசுவின் சீடர்களும் அவருக்குப் பின்சென்றார்கள்.
280914019d	அவ்வேளையில், பன்னிரண்டு வருடங்களாக இரத்தப்போக்கினால் வருந்திக்கொண்டிருந்த ஒரு பெண், இயேசுவுக்குப் பின்னால் வந்து, அவரது மேலுடையின் ஓரத்தைத் தொட்டாள்.
28091500f3	அவள், “நான் அவரது மேலுடையைத் தொட்டால் போதும். குணமடைவேன்” எனத் தனக்குள் சொல்லிக்கொண்டாள்.
2809160175	இயேசு அவளை திரும்பிப்பார்த்து, “மகளே, தைரியமாயிரு; உனது விசுவாசம் உன்னை குணப்படுத்தியது” என்றார். அந்தப் பெண் அந்த நேரத்திலேயே குணமானாள்.
2809170147	பிறகு இயேசு ஜெப ஆலயத் தலைவனின் வீட்டிற்குள் போனவுடன் குழல் ஊதுவோரையும், கூச்சலிட்டு அழும் மக்கள் கூட்டத்தையும் கண்டார்.
2809180143	இயேசு அவர்களிடம், “வெளியே போங்கள். இந்த சிறுமி சாகவில்லை, அவள் தூங்குகிறாள்” என்றார். அவர்களோ அதைக்கேட்டு நகைத்தார்கள்.
2809190168	மக்கள் கூட்டத்தை வெளியே அனுப்பியபின், இயேசு உள்ளேப் போய், அந்தச் சிறுமியின் கையைப் பிடித்துத் தூக்கினார், அவள் உடனே எழுந்திருந்தாள்.
28091a006b	இச்செய்தி, அப்பகுதிகள் எங்கும் பரவியது.
28091b018f	இயேசு அங்கிருந்து போகும்போது, இரண்டு பார்வையற்றோர் அவரைப் பின்தொடர்ந்து சென்று, “தாவீதின் மகனே! எங்கள்மேல் இரக்கமாயிரும்!” என்று சத்தமிட்டார்கள்.
28091c0273	அவர் வீட்டிற்குள் சென்றபோது, அந்த பார்வையற்றோர் அவரைப் பின்தொடர்ந்து அவரிடம் வந்தார்கள். இயேசு அவர்களிடம், “என்னால் இதைச் செய்யமுடியும் என நீங்கள் விசுவாசிக்கிறீர்களா?” எனக் கேட்டார். “ஆம் ஆண்டவரே!” என்று அவர்கள் பதிலளித்தார்கள்.
28091d0129	பின்பு இயேசு, அவர்களுடைய கண்களைத் தொட்டு, “உங்களுடைய விசுவாசத்தின்படியே உங்களுக்குச் செய்யப்படும்” என்றார்.
28091e0174	உடனே அவர்களுக்கு பார்வை கிடைத்தது. இயேசு அவர்களிடம், “இதைப்பற்றி ஒருவரும் அறியாதபடி பார்த்துக்கொள்ளுங்கள்” எனக் கடுமையாக எச்சரித்தார்.
28091f00fd	ஆனால் குணமடைந்தவர்களோ வெளியே போய், அவரைப் பற்றியச் செய்தியை அப்பகுதியெங்கும் பரப்பினார்கள்.
280920013a	அவர்கள் வெளியே சென்றுகொண்டிருந்தபோது, பிசாசு பிடித்ததினால் பேச முடியாதிருந்த ஒருவனை இயேசுவிடம் கொண்டுவந்தார்கள்.
28092101c0	அந்த பிசாசு துரத்தப்பட்டபோது, ஊமையாயிருந்தவன் பேசத் தொடங்கினான். மக்கள் கூட்டம் வியப்படைந்து, “இஸ்ரயேலில் இதுபோன்ற எதுவும், ஒருபோதும் காணப்பட்டதில்லை” என்றார்கள்.
28092200e8	ஆனால் பரிசேயரோ, “பிசாசுகளின் தலைவனாலேயே, இவன் பிசாசுகளைத் துரத்துகிறான்” என்றார்கள்.
280923023b	இயேசு எல்லாப் பட்டணங்கள்தோறும், கிராமங்கள்தோறும் நடந்துபோய், அங்கே யூதருடைய ஜெப ஆலயங்களில் போதித்து, பரலோக அரசின் நற்செய்தியைப் பிரசங்கித்தார். அத்துடன் எல்லா விதமான வியாதிகளையும், நோய்களையும் குணமாக்கினார்.
28092401c3	அவர் திரளான மக்கள் கூட்டத்தைக் கண்டபோது, அவர்கள்மேல் மனதுருகினார். ஏனெனில் அவர்கள், மேய்ப்பன் இல்லாத ஆடுகளைப்போல் துன்புறுத்தப்பட்டு, உதவியற்றவர்களாக இருந்தார்கள்.
280925012b	அப்பொழுது இயேசு தமது சீடர்களிடம், “அறுவடை மிகுதியாய் இருக்கிறது, ஆனால் வேலையாட்களோ, கொஞ்சமாய் இருக்கிறார்கள்.
2809260131	ஆகையால் அறுவடையின் ஆண்டவரிடம், தமது அறுவடைக்கு வேண்டிய வேலையாட்களை அனுப்பும்படி வேண்டிக்கொள்ளுங்கள்” என்றார்.
280a0101d6	இயேசு தமது பன்னிரண்டு சீடர்களையும் தம்மிடம் வரவழைத்து, அசுத்த ஆவிகளை விரட்டவும், எல்லா விதமான நோய்களையும், வியாதிகளையும் குணமாக்கவும் அவர்களுக்கு அதிகாரத்தைக் கொடுத்தார்.
280a0201c8	இவை அந்தப் பன்னிரண்டு அப்போஸ்தலர்களின் பெயர்கள்: முதலாவது, பேதுரு என அழைக்கப்பட்ட சீமோன், அவனுடைய சகோதரன் அந்திரேயா; செபெதேயுவின் மகன் யாக்கோபு, அவனுடைய சகோதரன் யோவான்;
280a0300ea	பிலிப்பு, பர்தொலொமேயு; தோமா, வரி வசூலிப்பவனான மத்தேயு, அல்பேயுவின் மகன் யாக்கோபு, ததேயு,
280a0400ca	கானானியனாகிய சீமோன், இயேசுவைக் காட்டிக்கொடுத்த யூதாஸ்காரியோத்து ஆகியோரே.
280a0501cf	இயேசு இந்தப் பன்னிரண்டு பேருக்கும் இவ்வழிமுறைகளைச் சொல்லி அனுப்பினார்: “நீங்கள் யூதரல்லாதவர்களிடம் போகவேண்டாம், சமாரியர்களின் எந்த பட்டணத்திற்குள்ளும் செல்லவேண்டாம்.
280a060088	இஸ்ரயேலின் வழிதவறிப்போன ஆடுகளிடத்திற்கே போங்கள்.
280a0700e8	நீங்கள் போகும்போது, ‘பரலோக அரசு சமீபித்து வருகிறது’ என்ற செய்தியைப் பிரசங்கியுங்கள்.
280a0801d5	நோயுற்றோரை குணமாக்குங்கள், இறந்தவர்களை எழுப்புங்கள், குஷ்டவியாதி உள்ளோரைச் சுத்தப்படுத்துங்கள், பிசாசுகளை விரட்டுங்கள். இலவசமாக நீங்கள் பெற்றீர்கள், இலவசமாகவே கொடுங்கள்.
