0100000009	መተꬅ
30060e00c3	ሽን አላመይ ታዉ ካቀትዳይሳፈነ ታንካ አላምያስ ካቀትዳ፥ ጎዳ የሱስ ክርስቶሳ ማስቃልያፐ አትሽን፥ ሀራ ጬቆይ ታፐ ሃኮ።
30060f0076	ህዛ፥ ቃፃረትን ቃፃረቶና አግን አይኮካ ማደና። ማደይ ኦራꬃ መ ተꬅ ግዶ።
3006100073	ሀ ዎጋ ካልያ ኡባስነ ፆሳ ደረ ግድዳ እስራኤለስ ሳሮተꬅነ ማሮተꬅ ግዶ።
300611007d	ታኒ የሱሳስ ማዱንፅዳ ቤታ ታ አሳተꬃን ቶክዳ ግሾ፥ ህዛፐ ታና ኦንካ ዋይሶፖ።
3006120073	ታ እሻቶ፥ ኑ ጎዳ የሱስ ክርስቶሳ አꬎ ኬሀተꬃይ ህንተራ ግዶ። አምንእ።
310000000c	ኤፈሶና
31010100c2	ፆሳ ሸነን ክርስቶስ የሱሳ ሀዋረ ግድዳ ጳዉሎሳፐ፥ ኤፈሶናን ደእያ ጌሻታስነ ክርስቶስ የሱሳ አማነይሳታስ ፃፈትዳ ኪታ።
310102007c	ፆሳ ኑ አዋፐነ ጎዳ የሱስ ክርስቶሳፐ አꬎ ኬሀተꬃይነ ሳሮተꬃይ ህንተዉ ግዶ።
31010300ae	ሳሎን ደእያ አያና አንጆ ኡባን ክርስቶሳ ባጋራ ኑና አንጅዳ፥ ኑ ጎዳ የሱስ ክርስቶሳ አዋይ፥ ፆሳይ ጋላተቶ።
31010400c0	ኑኒ እያ ስንꬃን ጌሻታነ ቦረይ ባይናይሳታ ግዳና መላ ፆሳይ አላመይ መ ታናፐ ካሰ ክርስቶሳ ባጋራ ባ ሲቁዋን ኑና ዶርስ።
3101050098	ፆሳይ ባ ሸንያን ባ ዶስዳይሳዳ የሱስ ክርስቶሳ ባጋራ ኑና ባ ናይታ ኦꬃናዉ ካሰትድ ቆፕ ዎꬅስ።
310106007f	ፆሳይ ባ ሲቅያ ናኣ ባጋራ ኑስ ጮ እምዳ አꬎ ኬሀተꬃይ ቦንቸታና መላ ሄሳ ኦꬅስ።
3101070075	ፆሳ አꬎ ኬሀተꬃ ዱረተꬃዳ ክርስቶሳ ሱꬃን ዎዘትድ ናጋራ አቶተꬃ ደምዳ።
310108005e	ባ አꬎ ኬሀተꬃ ጭንጫተꬃንነ ኤራተꬃን ኩንꬅድ ኑስ እሚስ።
3101090074	ፆሳይ ባ ዶስዳይሳዳ ክርስቶሳ ባጋራ እያ ሸንያ ፁራ ኑ ኤራና መላ ኦꬅስ።
31010a00b5	ዎደይ ጋክያ ዎደ ፆሳይ ፖላናዉ ቆፕዳ ቆፋይ፥ ሳሎንነ ሳአን ደእያ መ ተꬃ ኡባይ ክርስቶሳፐ ጋርሳን ግዳና መላሳ።
31010b00a1	ኡባባ ባ ሸንያዳ ኦꬅያ ፆሳይ፥ ካሰትድ ሀልችዳይሳ ክርስቶሳ ባጋራ ኑኒ እያባ ግዳና መላ ኑና ዶርስ።
31010c00a7	ሄሳ እ ኦꬅዳይ፥ ክርስቶሳን ኡፋይስ ዎꬅድ ናጎን ኮይሮ ግድዳ ኑኒ ፆሳ ቦንቹዋ ጋላታን ቆንጭሳና መላሳ።
31010d00db	ህንተካ ህንተ አቶተꬃ ዎንገላ፥ ሄስካ ቱማ ቃላ ስእዳ ዎደ ክርስቶሳ አማንደታ። ፆሳይ ህንተዉ እማና ግዳ ጌሻ አያናን ህንተ አታመትደታ።
31010e008f	ፆሳ ቦንቾይ ጋላተታና መላ ፆሳይ ባ አሳ ዎዛና ጋካናዉ ጌሻ አያና ኑስ ኦይꬁ ኦꬅድ እሚስ።
31010f007b	ሄሳ ግሾ፥ ጎዳ የሱሳ ህንተ አማነይሳነ ጌሻታ ኡባ ህንተ ሲቀይሳ ታ ስእዳ ዎደ
310110005c	ታ ዎሳን ህንተና ቆፓሸ ህንተ ግሾ ፆሳ ጋላተይሳ አጋብከ።
31011100ce	ጎዳ የሱስ ክርስቶሳ ፆሳይ፥ ቦንቾ አዋይ፥ ፆሳ ህንተ አꬅድ ኤራናዳ ጭንጫተꬃነ ቆንጨꬃ አያና ህንተዉ እማናዳ ታኒ ፆሳ ዎሳይስ።
31011200e8	ፆሳይ ህንተና ፄግዳ ኡፋይሳይነ ጌሻት ላትያ ቦንቾ ላታይ አይ መላ ዳሮኮ ህንተ ኤራና መላ ፆሳይ ህንተ ዎዛና አይፍያ ዶያና መላ ታኒ ፆሳ ዎሳይስ።
31011300ff	ቃስ እያ አማንያ ኑናን ኦꬅያ እያ ዎልቃይ አይ መላ አꬍዳ ግቴኮ ህንተ ኤራና መላ ዎሳይስ። ሄ ዎልቃይ ፆነቶናነ ዳቡሮና ዎልቃ። ሀ ኑናን ደእድ ኦꬅያ ዎልቃይነ፥
3101140082	ክርስቶሳ ሀይቆፐ ደንꬅድ፥ ሳሎን ፆሳፈ ኡሻቻ ባጋራ ኡትስዳ ግታ ዎልቃይ እስኖ።
31011500fd	እያ ሱንꬃይ፥ አይሰይሳታፐነ ማታ አዋታፐ፥ ሃረይሳታፐነ ጎዳታፐ፥ ቦላ ግድድ ሀ አላምያ ፃላላን ግዶናሽን፥ ስንꬃፈ ያና አላምያንካ ሀራ ሱንꬃታ ኡባፈ ꬎቃ።
310116009b	ፆሳይ ኡባ ክርስቶሳ ቶሆፐ ጋርሳን ሃርስስ፤ ቃስ ዎሳ ኬꬃን፥ ኡባባን ጎዳ ግዳና መላ እያ ሹምስ።
31011700aa	ዎሳ ኬꬅ ክርስቶሳ ኩመꬅ ኦꬅያ እያ አሳተꬅ። መ ተꬃይ ደእያ በሳ ኡባን ክርስቶስ ባ ሁጰን ኡባባ ኩን ይሳ።
310201006e	ሀይሳፈ ካሰ ህንተ፥ ህንተ ናጋራነ ህንተ ቆሁዋ ጋሶን ሀይቅዳይሳታ።
31020200dd	ሄ ዎደ ህንተ ሀ አላምያ ኢታ ኦግያ ካልደታ። ጫርኩዋ ቦላ ደእያ አያና ዎልቃታ ሀላቃስነ ሀእካ ፆሳስ ኪተቶና አሳ ሃርያ አያናስ ኪተትደታ።
31020300d4	ኑ ኡባይካ ካሰ ሄ አሳታ ግዶን ኑ አሾ አሙዋነ ኑ ዎዛና ሸንያ ካልድ ደእዳ። ኑካ ሀራታ መላ ኑ መ ተꬃን ፆሳ ሀንቁዋ ኤካናዉ ደኤይሳታ።
3102040065	ሽን ፆሳ ግታ ማሮተꬃፈነ ኑስ ደእያ ግታ ሲቁዋፐ ደንድዳይሳን፥
31020500b5	ሀር አቶሽን ኑኒ ኑ ቆሁዋን ሀይቅድ ደእሽን ክርስቶሳ ባጋራ ኑስ ደኦ እሚስ። ህንተካ አትዳይ ፆሳ አꬎ ኬሀተꬃና።
3102060072	ፆሳይ ኑና ክርስቶሳራ እስፈ ሀይቆፐ ደንꬅድ ሳሎን እያራ እስፈ ዎꬅስ።
31020700ca	እ ሄሳ ኦꬅዳይ፥ ክርስቶስ የሱሳ ባጋራ ኑስ ቆንጭስዳ ባ ኬሀተꬃነ ዛው ባይና ባ አꬎ ኬሀተꬃ ዱረተꬃ ያና ላይꬃን ኑና በሳናሳ።
310208009f	ህንተ አꬎ ኬሀተꬃን አማኖን አትደታ። ሄስካ፥ ፆሳ እሞታፐ አትሽን፥ ህንተ ኦሶን በንትዳባ ግደና።
3102090054	ኦንካ ጬቀቶና መላ አቶተꬃይ በንትዳይ ኦሶን ግደና።
31020a00a5	ኑኒ ፆሳ መ ተꬅ፤ እ ኑስ ካሰትድ ጊግስ ዎꬅዳ ሎኦ ኦሶታ ኦꬃና መላ ክርስቶስ የሱሳ ባጋራ ኦራꬅ መ ትዳ።
31020b00e2	ሄሳ ግሾ፥ ህንተኖ የለታን አይሁደ ግዶናይሳቶ፥ አይሁደት ባንታዉ አሳ ኩሸን ቃፃረትድ፥ ህንተና ቃስ ቃፃረትቦናይሳታ ግድ ፄገይሳ አኬክተ።
31020c0115	ሄ ዎደ ህንተ ክርስቶሳፐ ሻከት ደእዳይሳ፥ እስራኤለ አሳስ አላጋ ግድድ ደእዳይሳ፥ ፆሳ ኡፋይሳ ቃላፐ ሃክድ ደእዳይሳነ ሀ አላምያን ኡፋይስነ ፆሲ ባይና ደእዳይሳ አኬክተ።
31020d0096	ሽን ህንተ ካሰ ሃክድ ደእዳይሳት፥ ሀእ ክርስቶስ የሱሳን ደእድ ክርስቶሳ ሱꬃን ማታ ሺቅደታ።
31020e00a1	ክርስቶስ ኑ ሳሮተꬃ፤ እ አይሁደነ አይሁደ ግዶና አሳ ትምድ፥ ናምኣ ሻክ ዎꬅዳ ሞርከተꬃ ጎዳ ላልስ።
31020f00bd	እ ባናን ሀ ናምኡ ኮቻታፐ እስ ኦራꬃ አሰ መꬍድ፥ ህግያ እያ ኪታራነ ዎጋታራ እስፈ ባ አሳተꬃን ꬋይስድ ሳሮተꬅ እሚስ።
31021000a6	ክርስቶስ ማስቃልያ ቦላ ሀይቅድ ሞርከተꬃ ꬋይስስ፤ ቃስ ናምኡ ኮቻታ እስ አሳተꬅ ኦꬅድ ፆሳራ ስገꬅስ።
3102110096	ክርስቶስ ይድ፥ ፆሳፈ ሃክድ ደእያ ህንተዉ፥ ቃስ ማትድ ደእያ ኤንታዉ ሳሮተꬃ ዎንገላ ኦድስ።
3102120060	ኑ ኡባይ እያ ባጋራ እስ አያናን አዋ ስን ሺቃናዉ ዳንዳኦስ።
3102130086	ህዛፐ ህንተ አላጋ ዎይኮ እማ ግደከታ፥ ሽን ህንተ ሀእ ጌሻታ ቢታ አስነ ፆሳ ሶ አስ።
3102140096	ህንተ ሀዋረትነ ናበት ባስዳ ባሱዋ ቦላ ኬፀትደታ። ጎዳ ፃጱዋ ምንꬅያ ሹቻይ ክርስቶስ የሱሳ።
310215006d	እያን ኬꬃ ኡባይ እስፈ ኦይከትድ ጎዳን ጌሻ ፆሳ ኬꬅ ግዳናዉ ድጬስ።
3102160076	ህንተ ቃስ ፆሳይ ባ አያናን ደእያ ኬꬅ ግዳናዉ ክርስቶሳን እስፈ ኬፀተታ።
310301008a	ሄሳ ግሾ፥ ታኒ፥ ጳዉሎስ፥ አይሁደ ግዶና ህንተ ግሾ ክርስቶስ የሱሳን ቃሾ አስ ግዳስ።
310302008c	ታ ህንተና ማዳና መላ ፆሳይ ባ አꬎ ኬሀተꬃን ታዉ እምዳ ሀ ኦሱዋባ ህንተ ሎይꬅ ስእደታ።
3103030076	ታ ህንተዉ ካሰ ቃንꬃን ፃፍዳይሳዳ ፆሳይ ባ ፁራ ቆንጨꬃን ታዉ ቆንጭስስ።
3103040094	ታ ፃፍዳይሳ ህንተ ናባብያ ዎደ ክርስቶሳ ፁራ ታ አይ መላ ኤርዳኮ ህንተ አኬካናዉ ዳንዳኤታ።
310305009d	ሀ ፁራይ ጌሻ ሀዋረታስነ ናበታስ ሀእ አያና ባጋራ ቆንጭዳይሳዳ በን ዎደ አሳስ ሄሳዳ ቆንጭስቤና።
310306011a	ፁራይ ሀይሳ: አይሁደ ግዶና አሳይ ዎንገላ ባጋራ እስራኤለታራ እስፈ ፆሳ አንጁዋ ላቶሶና። እስራኤለታራ እስ ኬꬃ አስ ግዶሶና፤ ክርስቶስ የሱሳ ባጋራ ፆሳ ኡፋይሳ ቃላ ኤኮሶና።
3103070081	ፆሳይ ባ ኦꬅያ ዎልቃ ባጋራ ታዉ እምዳ አꬎ ኬሀተꬃን ሀ ዎንገላስ ኦሳንቾ ግዳስ።
31030800cd	ታኒ ጌሻታ ኡባፈ ላፋ ግድኮካ አይሁደ ግዶና አሳስ ዛው ባይና ክርስቶሳ ዱረተꬃ ዎንገላ ኦዳና መላ ሀ አꬎ ኬሀተꬃይ ታዉ እመትስ።
31030900b8	ቃስ ካሰ ዎድያን ኡባ መꬍዳ ፆሳን ቆሰትድ ደእያ ፁራስ፥ ፆሳ ቆፋይ አይበኮ ቆንጭሳናዉ አꬎ ኬሀተꬃይ ታዉ እመትስ።
31030a00b5	ፆሳይ ሄሳ ኦꬅዳይ ሀእ ዎድያን ዎሳ ኬꬃ ባጋራ ሳሎን ደእያ ሀላቃታስነ ሃረይሳታስ ባ ዱማ ዱማ ቆንጨꬃ ኤርሳናሳ።
31030b006e	ፆሳይ ባ መርና ቆፋ ኑ ጎዳ ክርስቶስ የሱሳ ባጋራ ፖላናዉ ሄሳ ኦꬅስ።
31030c007d	ኑ አማኖን ያሽ ባይና ፆሳኮ ሺቃና መላ ክርስቶስ ኑስ ምኖተꬅነ ላአተꬅ እሚስ።
31030d00ab	ታኒ ህንተ ግሾ ዋየ ኤክያ ግሾ፥ ህንተ ታ ዋያን ዬላቶናዳ ህንተና ዎሳይስ፤ ታኒ ህንተ ቦንቹዋስ ዋየታይስ።
31030e0048	ታኒ አዋ ስንꬃን ጉልባታዳ ዎሰይ ሄሳ ግሾሳ።
31030f0057	ሳሎንነ ሳአን ደእያ እስ እስ ሶ አሳይ እያን ሱን ቴስ።
31031000a5	ፆሳይ ባ ቦንቾ ዱረተꬃፈ ህንተ ጋርሳ አሳተꬃ ምንꬅያ ዎልቃ ባ አያና ባጋራ እማና መላ ህንተዉ ዎሳይስ።
3103110098	ቃስ አማኖን ክርስቶስ ህንተ ዎዛናን ዳና መላነ ህንተ ሲቆን ፃጶ የድድ ምንድ ዳና መላ ዎሳይስ።
31031200c7	ሄሳዳካ፥ ክርስቶሳ ሲቆይ አይ መላ ዳልገኮ፥ አዱሰኮ፥ ꬎቀኮነ ጪሞኮ ጌሻታ ኡባራ፥ ህንተ አኬካና ዎልቃ ደማና መላ ዎሳይስ።
31031300a9	ኤራተꬃፈ አꬍያ ክርስቶሳ ሲቁዋ ህንተ ኤራና መላ ቃስ ደኦ እምያ ፆሳ ዎልቃን ህንተ ኩማና መላ ታ ዎሳይስ።
310314009e	ህዛ፥ ኑ ግዶን ኦꬅያ ባ ዎልቃ ባጋራ ኑኒ ዎሰይሳፈ ዎይኮ ቆፐይሳፈ አꬅድ ኦꬃናዉ ዳንዳእያ ፆሳስ፥
310315008c	ዎሳ ኬꬃንነ ክርስቶስ የሱሳን ዎደ ኡባን መርናፐ መርና ጋካናዉ ቦንቾይ ግዶ። አምንእ።
310401008b	ህዛ፥ ጎዳ ግሾ ቃሸትዳ ታኒ፥ ህንተ ፄገትዳ ፄሳስ በሲያ ደኦ ዳና መላ ህንተና ዎሳይስ።
3104020076	ህንተ ኡባ ዎደ አዳታነ ሀዮ ግድተ፤ እሶይ እሱዋ ዳንዳእተነ ሲቆን ደእተ።
310403005d	ሳሮተꬃን ቃሸትድ አያናይ እምያ እስፈተꬃ ናጋናዉ ምንተ።
3104040086	ፆሳይ ህንተና ፄግዳ ዎደ እስ ኡፋይሳስ ፄግዳይሳዳ እስ አሳተꬅነ እስ አያን ደኤስ።
310405004e	እስ ጎዳይ፥ እስ አማኖይነ እስ ፅንቃተይ ደኤስ።
3104060088	ኡባፈ ቦላ ግድዳ፥ ኡባ ባጋራ ኦꬅያነ ኡባ ግዶን ደእያ እስ ፆሳይ፥ ኡባ አዋይ ደኤስ።
3104070073	ሽን ክርስቶስ እማናዉ ኮይዳይሳዳ ኑ እሶይ እሶይ ዱማ ዱማ እሞታ ኤክዳ።
31040800a6	ሄሳ ግሾ፥ ፆሳ ቃላይ፥ “እ ፑደ ከይዳ ዎደ ድኤትዳ ዳሮታ ባራ ኤክድ ብስ፤ አሳስካ እሞታ እሚስ” ያጌስ።
310409009d	ያትን፥ “ፑደ ከይስ” ጉሳይ ዎይ ጉሴ? እ ኮይሮ ዱገ፥ ሳኣ ዝቃ በሳ ዎꬍስ ጉሱ ግዶና እፅኮ አይ ጉሴ?
31040a0073	ሀ ዱገ ዎꬍዳይስ፥ ኡባ በሳን በንታናዉ ኡባፈ ꬎቃ ሳሉዋ ከይዳይስ እያ።
31040b00ec	እ እሶታ እሶታ ሀዋረታ፥ እሶታ እሶታ ናበታ፥ እሶታ እሶታ ዎንገላ ሳባከታ፥ እሶታ እሶታ ዎሳ ኬꬅ ሄመይሳታ፥ እሶታ እሶታ አስታማረታ ኦꬅድ እሚስ።
31040c0094	እ ሄሳ ኦꬅዳይ ክርስቶሳ አሳተꬅ ግድዳ ዎሳ ኬꬅ ድቻናዉነ አማንያ አሳ ፆሳ ኦሶስ ጊግሳናሳ።
31040d00be	ሄሳዳካ፥ ኑ ኡባይ ፆሳ ናኣ ኤርድ አማኖን በንትያ እስፈተꬃኮ ጋክድ፥ ክርስቶሳ አያና ደኡዋ ኩመꬅ ጋክድ ድጫና መላሳ።
31040e00bd	ህዛፐ ጉየ፥ አሳ ገነ ጭሞን ጊግዳ ባለꬅያ ዎርዶ ትምርተ ጫርኮንነ ሆበን ገደነ ሃ ኩሎ ካእያ ናይታ መላ ግዳናዉ በሰና።
31040f0094	ሽን ኑኒ ቱማ ሲቆን ኦድሸ፥ አሳተꬃስ ሁጰ ግድያ ክርስቶሳራ ደእያ እስፈተꬃ ጉጅ ጉጅ ድቾስ።
3104100118	ኩመꬃ አሳተꬃይ ክርስቶሳ ቦላ ዘምፔስ ቃስ ዱማ ዱማ አሳተꬃ ብልተት እሶይ እሱዋራ ኦይከትድ ኡትስ። እስ እስ አሳተꬃ ክፍለይ ባ ኦሱዋ ኦꬅያ ዎደ ኩመꬃ አሳተꬃይ ሲቆን ድጬስ።
31041100be	ሄሳ ግሾ፥ ታኒ ሀይሳ ህንተዉ ጎዳ ሱንꬃን ኦዳይስነ ማርካታይስ። ጎእ ባይና ቆፋ ቆፕያ አይሁደ ግዶና አሳታዳ ደኦፕተ።
31041200b3	ኤንታ ቆፋይ ꬉምስ፤ ባንታ ዎዛና ሙምስዶሶና። ኤንቲ ኤራተꬃ ꬋዮንነ እፃስ ግድ ፆሳይ እምያ ደኡዋፐ ሃክዶሶና።
31041300a7	ኤንቲ ዬላ ግያባ ኤሮኮና፤ ኤንቲ ላይማተꬃስ ባንታና አꬅድ እምዶሶና፤ ቃስ ቱናባ ኡባ ጉየ ጎና ኦꬆሶና።
3104140052	ሽን ህንተ ክርስቶሳ ኤርዳይ ሄሳ መላ ኦገን ግደና።
3104150069	እያባ ቱማ ስእደታ። ቃስ የሱሳን ደእያ ቱማ መላ እያፐ ታማርደታ።
310416008c	ህንተ ካሰ ደእዳ ደኦ ኦግያ አግተ። ቃስ ባ ጭምያ አሞን ꬋይያ ህንተ ጬጋ አሳተꬃ ድግተ።
310417002d	ህንተ ዎዛና ቆፋን ኦራፅተ።
310418006c	ቱማ ፅሎተꬃንነ ጌሻተꬃን ፆሳ ሌምሶን መ ትዳ ኦራꬃ አሳተꬃ ማእተ።
310419009a	ህዛ፥ ዎርዶ ኦደቶፍተ። ኑኒ ኡባይ ክርስቶሳ አሳተꬃ ብልተታ ግድያ ግሾ አሳ ኡባራ ቱማ ኦደትተ።
31041a0085	ሀንቀትተ፥ ሽን ህንተ ሀንቁዋን ናጋራ ኦꬆፍተ። ህንተ ሀንቀት ደእሽን አው ዉሎፎ።
31041b0023	ፃላሄስ በሰ እሞፍተ።
31041c009b	ካይሶትያ ኡራይ ህዛፐ ጉየ ካይሶቶፖ። ሽን ማንቆታ ማድያባይ እያዉ ዳና መላ ባ ኩሸን ሎኦባ ኦꬆ።
31041d00a7	ህንተ ዶናፐ ኢታ ቃል ከዮፖ። ሽን ስኤይሳታ ጎአና መላነ ሀራታ ምን ꬅያ ኮሽያ ሎኦ ቃል ህንተ ዶናፐ ከዮ።
31041e0078	ፆሳይ ህንተና ዎዝያ ጋላሳስ ህንተና አታምድ ዎꬅዳ ፆሳ አያና አዛንꬆፍተ።
31041f0062	ጫመተꬅ፥ ይሎ፥ ሀንቆ፥ ዋሶ፥ ጫሸነ ኢታ ኡባ ህንተፈ ሃስተ።
31042000b8	አꬅድ እሶይ እሱዋስ ኬሀነ ቃ ተይሳታ ግድተ። ፆሳይ ክርስቶሳ ባጋራ ህንተዉ አቶ ግዳይሳዳ ህንተካ ዎልስ አቶ ጊተ።
310501003e	ህዛ፥ ፆሳይ ዶስያ ናይታዳ እያ ዳንተ።
310502009b	ክርስቶስ ኑና ዶስድ ባና ኑ ግሾ ፆሳስ ሳውያ እሞነ ያርሾ ኦꬅድ እምዳይሳዳ ህንተካ ሲቆን ደእተ።
310503008f	ሽን ላይማተꬅ፥ ቱናተꬅነ ኡዘተꬅ አማንያ አሳስ በሶና ግሾ ህንተ ግዶን ኡባራካ ስኤቶፎ።
31050400a2	ፆሳ ጋላትተፐ አትሽን፥ ዬላያባይነ ኤያ ኦድ ዎይኮ ቅ ይ ህንተዉ በሶና ግሾ ህንተ ግዶን ኡባካ ደኦፖ።
31050500df	ሀይሳ ኤርተ፤ ኦንካ ላይማተይ ዎይኮ ቱናባ ኦ ይ ዎይኮ ኡዘተይ ክርስቶሳ ካዎተꬃነ ፆሳ ካዎተꬃ ላታናዉ ዳንዳኤና። ኡዘተꬅ ኤቃ ጎይኖ መላ።
310506008b	ሀይሳታ ጋሶን ፆሳ ሀንቆይ ኪተቶና አሳ ቦላ ያና ግሾ ኦንካ ህንተና ፓꬆና ኦዳን ጭሞፎ።
3105070037	ሄሳ መላ አሳራ እስፈተꬅ ኦꬆፍተ።
3105080098	ካሰ ህንተ ꬉማን ደእደታ፥ ሽን ሀእ ጎዳ ባጋራ ፖኦን ደኤታ። ህዛ፥ ፖኦ አሳዳ ፖኦን ስመረትተ።
3105090046	ፖኦይ ሎኦተꬅ፥ ፅሎተꬅነ ቱማተꬅ አይፌስ።
31050a0033	ጎዳ ኡፋይስያባ ኦꬃናዉ ኮይተ።
31050b005e	ጎእ ባይና ꬉማ ኦሶ ቆንጭስተፐ አትሽን፥ እያራ እስፎፕተ።
31050c005b	ኤንቲ ጌማን ኦꬅያ ኦሱዋ ሀር አቶሽን ኦዳናዉካ ዬላዬስ።
31050d004b	ሽን ኡባባይ ፖኦን ከይያ ዎደ ቆንጨን በንቴስ።
31050e00b7	ፖኦይ ኡባባ ቆንጨን በሴስ። ሄሳ ግሾ፥ “ነኖ ꬍስከይሶ ባርካ፤ ሀይቆፐ ደንዳ፤ ክርስቶስ ነ ቦላ ፖአና” ያገትስ።
31050f0085	ህዛ፥ ህንተ ዋንድ ደእያኮ አኬክ በእተ። ጭንጫታ ግድተፐ አትሽን፥ ኤያታ ግዶፕተ።
3105100052	ላይꬃይ ኢታ ግድያ ግሾ እንጀትያ ዎደ ኡባ ጎኤትተ።
310511005e	ሄሳ ግሾ፥ ጎዳ ሸነይ አይበኮ አኬክተፐ አትሽን፥ ኤዮፕተ።
3105120096	ጌሻ አያናን ጋላስ ጋላስ ኩምተፐ አትሽን፥ ꬋዮኮ ህንተና ካለꬅያ ግሾ ዎይነ ኡሻን ማꬆቶፍተ።
31051300a9	ማዝሙረን፥ ሳባንነ አያና የꬃን፥ እሶይ እሱዋራ ኦደትተ። ቃስ ህንተ ዎዛናን የፅሸነ ሳቢሸ ጎዳ ጋላትተ።
310514006a	ኑ ጎዳ የሱስ ክርስቶሳ ሱንꬃን ኡባ ዎደ ፆሳ አዋ ኡባባስ ጋላትተ።
310515004d	ክርስቶሳ ቦንቹዋስ ግድ እሶይ እሱዋስ ሃረትተ።
3105160053	ማቸቶ፥ ጎዳስ ሃረተይሳዳ ህንተ አዝናታስ ሃረትተ።
31051700ac	ክርስቶስ ዎሳ ኬꬃስ ሁጰ ግደይሳዳ አዝንካ ባ ማቼስ ሁጰ። ቃስ ክርስቶስ ባ አሳተꬅ ግድዳ ዎሳ ኬꬃ አሸይሳ።
310518008b	ሽን ዎሳ ኬꬃይ ክርስቶሳስ ሃረተይሳዳ ማቸት ባንታ አዝናታስ ኡባባን ሃረታናዉ በሴስ።
3105190086	አዝናቶ፥ ክርስቶስ ዎሳ ኬꬃ ዶስድ ባና እዉ እምዳይሳዳ ህንተካ ህንተ ማቸታ ዶስተ።
31051a0047	እ ዎሳ ኬꬃ ባ ቃላ ባጋራ ሃꬃን ሜጭድ ጌሽስ።
31051b00db	ክርስቶስ ዎሳ ኬꬃ ቅት ዎይኮ ሶምኦ ቱስ ዎይኮ ሄሳ መላባይ ባይና እ ኩመꬃ ቦንቹዋራ ጌሽነ ቦረቶናሮ ኦꬅድ ባኮ ሺሻናዉ ኮይድ ሄሳ ኦꬅስ።
31051c0096	ሄሳዳካ፥ አዝናት ባንታና ዶሰይሳዳ ባንታ ማቸታ ዶሳናዉ በሴስ። ባ ማችዉ ዶሰይስ ባና ዶሴስ።
31051d008c	ባና እፅያ አስ ኦንካ ባዋ፥ ሽን ክርስቶስ ዎሳ ኬꬃስ ኦ ይሳዳ ባ አሳተꬃ ሙዜስነ ናጌስ።
31051e0033	ኑኒ ክርስቶሳ አሳተꬃ ብልተታ።
31051f00bb	ፆሳ ቃላይ፥ “ሄሳ ግሾ፥ አስ ባ አዋነ ባ አይዉ አግድ፥ ባ ማቸራ እስፈ ዳና፤ ኤንቲ ናምአይካ እስ አሾ ግዳና” ያጌስ።
310520007a	ሀይስ ግታ ፁራ፥ ሽን ታኒ ሄሳ ክርስቶሳባነ ዎሳ ኬꬃባ ሌምሶ ኦꬃዳ ኦዳይስ።
31052100b8	ግዶሽን፥ ህንተ እሶይ እሶይ ህንተ ማቸታ ህንተ፥ ህንተና ዶሰይሳዳ ዶስተ። እስ እስ ማቻ ባ አዝና ቦንቻናዉ በሴስ።
3106010088	ናይቶ፥ ህንተ ጎዳባ ግድያ ግሾ ህንተና የልዳይሳታስ ኪተትተ። ሄስ ህንተዉ በሲያባ።
3106020067	“ነ አይዉነ ነ አዋ ቦንቻ።” ሄስ ኡፋይሳ ቃል ደእያ ኮይሮ ኪታ።
310603007a	“ነ ሄሳ ፖልያባ ግድኮ ኡባይ ነዉ እንጀታና፤ ነ ላይꬃይ ሳአ ቦላ አዱቃና።”
3106040095	አዋቶ፥ ህንተ ናይታ ጎዳ ቃላ ታማርሶንነ ኤንታ ካለሶን ድችተፐ አትሽን፥ ኤንታና ጫምሶፕተ።
3106050094	አይለቶ፥ ክርስቶሳስ ኪተተይሳዳ ህንተ ሳአ ጎዳታስ ያሻን፥ ቦንቾንነ ሱረ ዎዛናን ኪተትተ።
31060600b1	ኤንታ ስንꬃን ሳባ ደማናዉ ኤንቲ በእያ ዎደ ፃላላ ኦꬆፍተ። ሽን ክርስቶሳ አይለታዳ ፆሳ ሸንያ ዎዛናፐ ፖልተ።
310607005b	አሳስ ግዶናሽን፥ ጎዳስ ግድ ህንተ ኩመꬃ ዎዛናፐ ኦꬅተ።
3106080095	አይለ ግድን ዎይኮ ጎዳ ግድን እሶይ እሶይ ባ ኦꬅዳ ሎኦ ኦሱዋስ ጎዳፐ ዎይቶ ኤካናይሳ ኤሬታ።
3106090110	ጎዳቶ፥ አሳ ሶምኦ በእድ ማዶና ጎዳይ፥ ሳሉዋን ደኤይሳ ኤሬታ። ሄሳ ግሾ፥ ህንተ አይለታ ማንደይሳ አግድ ኤንቲ ህንተዉ ቦንቾን ኪተተይሳ መላ ህንተ ኤንታዉ ሎኦባ ኦꬅተ።
31060a0047	ዉርሰꬃን፥ ጎዳንነ እያ ግታ ዎልቃን ምንተ።
31060b0080	ፃላሄ ጭሙዋ ኤቀታናዉ ዳንዳአና መላ ፆሳይ ህንተዉ እምዳ ኦላ ሚሽያ ኡባ ማእተ።
31060c00bd	ኑ ኦላይ አሳራ ግዶናሽን፥ ሳሎን ደእያ ቱና አያና ኦላንቾታራ፥ ማታ አዋታራ፥ ሃረይሳታራነ ሀ ꬉማ አላምያ ዎልቃታራ።
