1300000006	Psalms
2e060e0055	Vayi Nzambi wufulukisa Pfumu mu bafua ayi mu lulendo luandi niandi wela kutufulukisa.
2e060f00a6	Luisi zaba ko ti zinitu zieno zidi binama bi nitu yi Klisto? A buevi, ndieka bonga binama bi nitu yi Klisto muingi ndibikitula binama bi nitu yi ndumba yi leta? Nana.
2e06100091	Luisi zaba ko ti mutu bundani ayi ndumba yi leta, buna wunkitukanga nitu yimosi ayi niandi? Bila disonama ti: Bawu buadi bela kituka nitu yimosi.
2e06110049	Vayi woso mutu wumbundana ayi Pfumu wunkitukanga Pheve yimosi ayi niandi.
2e061200be	Diawu ndikulukamba: Lutina kitsuza. Masumu moso mamvanganga mutu madi ku nganda yi nitu. Vayi woso vengi disumu di kitsuza vodisidi nitu andi masumu, bila diawu didi disumu di khati yi nitu.
2e0613007b	Luisi zaba ko ti nitu eno yidi nzo yi Pheve Yinlongo yoyi yidi mu beno; yoyo Nzambi kaluvana? Ayi buabu lukivuidi diaka ko.
2e06140048	Bila mu thalu yiwombo lusumbulu. Diawu lukembisa Nzambi mu zinitu zieno.
2e07010069	Mu diambu di mambu ma lusonika mu nkandꞌeno “didi diambu dimboti kuidi bakala mu bika simba nketo”.
2e0702006f	Vayi mu diambu di tina kitsuza, bika kadika bakala kaba ayi nketo andi ayi kadika nketo kaba ayi bakala diandi.
2e07030075	Bika bakala kavangila nketo andi mamo ma kafueti kumvangila ayi nketo mamvandi bobuawu kafueti vangila bakala diandi.
2e0704008c	Bila nitu yi nketo yisiedi yandi ko; yidi mu diambu di bakala diandi. Bobuawu nitu yi bakala yisiedi yandi ko; yidi mu diambu di nketo andi.
2e070500d9	Lubika tinasananga; botula kaka bu luwizani mu kambu bundana mu thangu yi khufi mu diambu di kukiyekula mu lusambulu, bosi luvutuka buela bundana muingi satana kabika kuluvukumuna mu diambu di kambu kueno ku kukiyala.
2e0706003b	Luzaba ti thubidi bobo banga minsua vayi luisi lutumunu ko.
2e07070098	Thidi batu boso baba banga minu, vayi kadika mutu wutambula diandi dikaba di nlemvo kuidi Nzambi: kuidi wunkaka dikaba diadi, kuidi wunkaka dikaba dina.
2e07080044	Kuidi batu bakambu kuela ayi mafuola bulutidi mboti baba banga minu.
2e07090085	Vayi enati balendi nunga ko mu kukiyala, buna mboti bakuela bila bulutidi mboti mu kuela ayi mu banga kadika thangu ku tsi zinzinunu.
2e070a008e	Kuidi bakuela ndimvana lutumunu lualu: bika sia ti minu vayi niandi veka Pfumu veni luawu: nketo dikuela kalendi vambana ayi bakala diandi ko.
2e070b00b1	Vayi enati nketo dikuela beni vambini ayi bakala diandi, buna, nketo wowo kabika buela kuela voti kavutuka wizana ayi bakala diandi. Bobuawu bakala kalendi botula nketo andi ko.
2e070c00b6	Kuidi bankaka, minu thubidi bika sia ti Pfumu: enati khomba yi bakala widi ayi nketo wukambu wilukila ayi enati nketo beni tidi kuandi zinga yandi buna kabika vambana ayi nketo beni.
2e070d0090	Bobuawu diaka, enati nketo widi ayi bakala dikambu wilukila ayi enati bakala beni tidi kuandi zinga yandi buna kabika vambana ayi bakala diandi.
2e070e00e8	Bila bakala dikambu wilukila wukitulu wunlongo mu diambu di nketo andi; ayi nketo wukambu wilukila wukitulu wunlongo mu diambu di bakaladiandi. Bila enati buawu ko buna bana beno bela tangulu bana basumuka. Vayi buabu badi banlongo.
2e070f00c8	Enati mutu wowo wukambu wilukila, tidi vambana buna wulenda kuandi vambana. Mu nzila yoyo khomba yi bakala voti khomba yi nketo wowo basiedibakangama ko bila Nzambi wututela mu zingilanga mu ndembama.
2e07100086	Bila, mbi zebi ngeyo nketo e? Mananga ngeyo wela vukisa bakala diaku? Voti mbi zebi ngeyo bakala? Mananga ngeyo wela vukisa nketo aku?
2e07110093	Muaki bulutidi mboti kadika mutu kadiatila boso Pfumu kamvanina ayi boso Nzambi kantedila. Bobo buididi lutumunu lu ndieti vana muidi mabundu moso.
2e07120088	Mutu sumbu katelo, wuba wuzengo e? Kabika tomba vutuka mu ba wukambu zengo. Mutu sumbu katelo buna widi wukambu zengo e? Kabika zengoso.
2e07130080	Wuba wuzengo voti wukambu wuzengo disi diambu di mfunu ko. Vayi diambu di lutidi mfunu diawu diadi: kinzika zithumunu zi Nzambi.
2e07140046	Bika kadika mutu katatamana ba banga bu katuama bela mu thangu katelo.
2e0715006b	Wuba mvika bu wutelo e? Kadi kudibela mayindu. Vayi enati wulenda kuluka mu buvika beni, buna sadila buawu.
2e0716007c	Bila mvika wowo wutelo mu Pfumu widi mutu wu kiphuanza mu Pfumu. Bobuawu mutu wu kiphuanza wowo wutelo widi mvika wu Klisto.
2e07170048	Beno lusumbu mu thalu yinneni. Diawu lubika buela kituka bavika ba batu.
2e07180066	Bakhomba baama, bika kadika mutu katatamana ba va ntuala Nzambibanga bu katuama bela mu thangu katelo.
2e071900a2	Mu diambu di bobo bakambu kuela, ndisi ko kadi thumunu yi Pfumuvayi ndieka kuba kamba diyindu diama banga mutu wumosi wumonono kiadi kuidi Nzambi mu ba wukuikama.
2e071a0067	Mu diambu di ziphasi zi thangu yayi, ndimmona ti bulutidi fuana kuidi kadika mutu mu ba boso bu kadidi.
2e071b004d	Nketo widi yaku? Kadi tomba vambana. Enati wisiko nketo bunakadi tomba nketo.
2e071c00bb	Muaki enati kuedidi buna wusi vola masumu ko. Enati nketo wukambu kuela kuedidi, buna kasi vola masumu ko. Vayi bobo bamvanga bobo bela mona ziphasi mu nsuni vayi thidi lubika mona ziawu.
2e071d007c	Tala diambu ndituba: bakhomba, luzaba ti thangu yeka yikhufi. Diawu bobo badi ayi baketo bika baba banga basi ayi baketo ko.
2e071e009a	Batu bobo bandila, baba banga basi ndila ko, bobo balembo moni khini, banga ti basi mona khini ko ayi bobo balembo sumbi baba, banga ti basi kadi kima ko.
2e071f006b	Kuidi bawu bansadilanga ntoto wawu, bika baba banga ti basadilanga wawu ko. Bila ntoto wawu vioka wumvioka.
2e0720009b	Thidi ti lubika ba mayindu. Bila mayindu ma mutu wukambu kuela madi mu diambu di Pfumu ayi mayindu mandi moso madi mu zaba buevi kafueti yangidikila Pfumu.
2e07210069	Vayi mayindu ma mutu wukuela madi mu diambu ntoto wawu madi muzaba; buevi kafueti yangidikila nketo andi.
2e07220103	Niandi widi wuvasuka. Mayindu ma nketo wukambu kuela voti mayinduma muana ndumba madi mu diambu di Pfumu muingi baba wunlongo mu nitu ayi mu Pheve. Vayi mayindu ma nketo wukuela madi mu mambu ma ntotowawu madi mu zaba; buevi kafueti yangidikila bakala diandi.
2e0723009e	Thubidi bobo mu diambu di kulusadisa, bika sia ti mu diambu di ku lutambila ntambu vayi mu diambu luba ayi khadulu yisonga ayi luba bakangama mu sadila Pfumu.
2e072400d7	Enati bakala yindudi ti weti vangila muanꞌandi wu ndumba mambu makambulu fuana, enati weti diatusu kuidi zinzinunu ayi enati weti banzila ti bakuelana kaka buna dimboti kuandi; kasi vola masumu ko; bika bakuelana.
2e072500a5	Vayi enati bakala, zebi kanga ntima ayi vasiko mutu wukunkuika vayiniandi veka beki lukanu mu kambu buela kuela ndumba beni; buna niandi vengi bufuana, kabika kuela.
2e07260066	Diawu woso mutu kuedidi vengi diambu dimboti ayi woso mengi kuandi kuela, vengi diambu dilutidi mboti.
2e072700d9	Nketo wukuela widi wukangama kuidi bakala diandi mu thangu bakaladiandi kakidi zingi. Vayi enati bakala diandi difuidi, nketo wowo wulenda kuandi buela kuela dioso bakala di katidi, vayi kafueti kuedila mu Pfumu kaka.
2e0728009b	Vayi kuidi minu mbueni ti nketo wowo wufuilu bakala, wela luta mona khini ti kakadi buela kuela. Ayi tsidi diana ti minu mamvama Pheve yi Nzambi yidi yama.
2e0801008d	Mu diambu di zimbizi zitambuku kuidi bitumba, tuzebi ti beto bosonzayilu yidi yeto. Nzayilu yinnatanga luniemo vayi luzolo tunga lueti tunga.
2e08020050	Mutu wowo wulembo yindula ti niandi zebi, buna kasi zaba ko boso bufueti zabulu.
2e08030045	Vayi enati mutu wunzolanga Nzambi, buna niandi zabikini kuidi Nzambi.
2e080400b9	Mu diambu di mambu matedi dia zimbizi zitambuku kuidi bitumba, muaki beto tuzebi mboti ti bitumba bidi bima biphamba va ntotowawu, ayi, kuisi Nzambi yinkaka ko; Nzambi yimosi kaka yidi.
2e08050093	Bila enati bawombo beti tedolo zinzambi buba mu diyilu, buba va ntoto; buna diodi dilembo monika ti zinzambi zidi ziwombo ayi bapfumu badi bawombo.
2e080600dd	Vayi kuidi beto tuzebi ti Nzambi yimosi kaka yidi, Tata, niandi wuvanga bima bioso ayi beto tulembo zingi mu diambu diandi. Ayi Pfumu yimosi kaka yidi, Yesu-Klisto. Bima bioso bivangulu mu niandi ayi beto tuidi mu niandi.
2e080700e0	Muaki baboso basi nzayilu ko. Vayi bankaka bu bayuku sambilanga bitumba nate buabu, beti dianga zimbizi ziozi zintambukungu kuidi bitumba. Mayindu ma mintima miawu bu madi malebakana, buna makubamonisanga ti bavodidi masumu.
2e080800a8	Luzaba mboti ti bidia bilendi kutufuanisa va meso ma Nzambi ko. Enati tukadi dia kadi kima buna tulendi kambu kima ko, enati tudidi, kadi kima tulendi baka ko va mbata.
2e08090063	Vayi lukeba mu diambu di kiphuanza kioki kidi yeno; kibika ba ditadi dimbuminina minlebukila thutu.
2e080a00b9	Bila enati mutu wumueni “ngeyo mutu widi nzayilu” buna vuendi mu nzo Nzambi yi bitumba, keti buna mayindu ma ntima wu nlebukila wowomamantuma mu dia zimbizi zitambuku kuidi bitumba?
2e080b005f	Mu diambu di nzayilu aku, khomba yoyo yilebakana, yoyi Klisto kafuila va dikulusi, makazimbala.
2e080c0099	Bu lumvolanga bobo masumu kuidi bakhomba ayi bu lulembo luekanga mintima mi minlebukila, luzaba mboti ti kuidi niandi veka Klisto lulembo volanga masumu.
2e080d00a0	Diawu enati bidia ndilenda dia bilenda buisa khombꞌama mu masumu, buna ndilendi buela bidianga ko mu diambu ndibika ba diluaku dimbuila khombꞌama mu masumu.
2e09010089	A buevi, ndisi phuanza ko e? Ndisi mvuala ko e? Ndisia mona Pfumu eto Yesu Klisto ko e? Beno ndisia lubuta mu kisalu kiama mu Pfumu ko e?
2e09020072	Enati kuidi bankaka ndisi mvuala ko vayi kuidi beno ndidi mvuala bila beno luidi dimbu ki kimvuala kiama mu Pfumu.
2e0903002f	Wowo mvutu pheni kuidi batu bobo bakumfundanga.
2e0904002d	A buevi, tuisi ko minsua mu dia ayi mu nua e?
2e09050080	Tuisi ko minsua mu kibanga va kimosi ayi nketo wuzebi Klisto, banga bu nsilanga bamvuala bankaka, bakhomba zi Pfumu ayi Piela e?
2e09060058	Buna Balinabasi ayi minu, beto kaka tubeki minsua mu sala mu diambu di tukizingisanga e?
2e090700dc	Disodi mbi dinsalanga kisalu ki kisodi vayi dikukifutanga niandi veka e? Nani wulenda kuna ndima yi vinu vayi kadianga ko makundi madi muna? Nani wuntuidilanga nkangu wu zingombi vayi kanuanga ko miliki mi nkangu beni e?
2e09080049	Mu kimutu ndintubila mambu mama e? Voti Mina miyolukilanga ko mambu beni?
2e0909008a	Bila mu Mina mi Moyize musonama: Wulendi kanga munu wu ngombi ko yimfundumunanga makundi. A buevi, Nzambi wulenda bela zingombi mayindu e?
2e090a00cb	Keti mu diambu dieto katubila bobo? Bila mambu momo masonimina mu diambu dieto. Mutu wunkunanga zitsola kafueti sala mu diana dioso, ayi woso wumfundumunanga makundi kafueti ba ayi diana di tambula kuku.
2e090b006f	Enati tukuna makundi ma kiphevi mu beno, buna buevi, dieka diambu dinneni ti tutambudi bima bieno bi kinsuni e?
2e090c00c8	Enati bankaka babeki minsua miomi mu beno, buna beto katulutidi ko e? Vayi tusia sadila ko minsua beni; tunkanga ntima mu mambu moso muingi tubika tula diambu dilenda kakidila nsamu wumboti wu Klisto.
2e090d00ba	Luisi zaba ko ti batu bobo bansadilanga mu nzo Nzambi bambakanga bidia biawu muna nzo Nzambi e? Ayi bobo bansadilanga va ntala bambonganga ndambu mu makaba momo bantambikanga vana ntala.
2e090e005e	Bobuawu, Pfumu wuvana thumunu ti bobo bansamunanga Nsamu Wumbotibazingilanga mu nsamu wumboti.
2e090f00c8	Vayi minu ndisia sadila kadi diambu dimosi ko mu mambu momo ayi ndisi sonika ko bobo mu diambu luvanga buawu mu diambu diama bila bulutidimboti kuidi minu mu fua ayi mu mona mutu wu mvonda nkembo ama.
2e091000b7	Bila enati ndilembo samuna Nsamu Wumboti buna vasiko diambu diodi ndikukiniemisina bila yidi thumunu nditambula mu kingolo. Ayi mabienga kuidi minu enati ndikadi samuna Nsamu Wumboti.
2e0911009d	Enati mu luzolo luama veka ndinsadila mawu buna mfutu widi yama. Vayi enati luisi mu luzolo luama ko buna ndilembo sadi mu diambu di kisalu kioki nditambula.
2e09120099	Buna mfutu mbi widi yama? Mfunuꞌama widi mu longa, mu kambu futu, Nsamu wu Klisto wundilonganga mu diambu ndibika sadila minsua miama mu Nsamu Wumboti.
2e09130090	Bila minu bu ndidi mutu wu kiphuanza va meso ma batu boso, vayi ndikituka mvika wu batu boso muingi ndibaka bu natina bawombo kuidi Yesu Klisto.
2e091400c5	Kuidi Bayuda, ndieka banga Nyuda muingi ndibaka Bayuda. Kuidi batu bobo badi ku tsi Mina, ndieka banga mutu widi ku tsi mina; ka diambu ko ndisi ku tsi mina ko muingi ndibaka bobo badi ku tsi mina.
2e091500db	Kuidi batu bobo bakambulu zaba mina ndieka banga mutu wukambulu zaba Mina muingi ndibaka bu natina kuidi Klisto bobo bakambulu zaba Mina, ka diambu ko ndisi kambu zaba Mina mi Nzambi ko vayi ndidi ku tsi Mina mi Klisto.
2e091600ab	Kuidi bawu badi batu balebakana, minu ndieka mutu wulebakana muingi ndibaka batu balebakana. Kuidi batu boso ndiyikidi banga bima bioso muingi ndibaka bu vukisila bankaka.
2e09170058	Ndimvanganga mambu moso mu diambu di Nsamu Wumboti muingi mamvamandiba kithuadi mu wawu.
2e091800b4	Lusi zaba ko ti batu boso bobo banzawulanga thinu ku nganda bisavu, banzawulanga mu diambu banunga. Ayi wumosi kaka weti tambulangamfutu. Bika beno mamveno luzawula muingi lununga.
2e091900f1	Batu bobo banzawulanga bakukivanganga minsiku miwombo-wombo. Beti vanganga bobo mu diambu babaka budu ki nkembo kioki kika kizingilanga ko. Vayi beto tueti vanganga bobo mu diambu di baka budu ki nkembo kioki kinzingilanga mu zithangu zioso.
2e091a0080	Diawu bu ndinzawulanga, kadi sia ti mu phamba; ayi bu ndieti nuananga, ndizubanga zikhomi mu phamba ko banga mutu wunzuba phemo.
2e091b0071	Vayi minu ndinuanisanga nitu ama ayi ndikuyiyalanga muingi buedi ba ti minu veka ndozolo, bu mbeni longa bankaka.
2e0a01006b	Beno bakhomba, mbengi ti lubika zaba ti bakulu beto badiatila ku tsi dituti ayi bawu boso badiatila va mbu;
2e0a020032	bawu boso babotama mu Moyize mu dituti ayi mu mbu;
2e0a030024	baboso badia bidia bimosi bi kiphevi
2e0a04008e	ayi baboso banua nduinu yimosi yi kiphevi. Bila banua nlangu wutotukila mu ditadi di Kipheve diodi diba kuba landakananga. Ditadi beni Klisto.
2e0a05004d	Vayi Nzambi kasia mona khini ko mu bawombo mu bawu; diawu bafuila mu dikanga.
2e0a060066	Mambu mama madi bifuani kuidi beto mu diambu tubika zinina mambu mambimbi banga bawu bu bazinina moyo.
2e0a07009e	Lubika sambilanga bitumba banga bubela bankaka mu bawu. Banga bu sonimina: batu bavuanda mu diambu di dia ayi nua bosi bawu boso batelama mu diambu di sakana.
2e0a080075	Tubika kukiyekula mu kitsuza banga bu vangila bankaka mu bawu. Bunamakumuadi mili tatu yi batu bafua mu lumbu kimosi.
2e0a09004c	Tubikanu tota Pfumu banga buvangila bankaka mu bawu, buna mbungi wuba bunga.
2e0a0a005e	Lubika niunguta, banga bu niungutila bankaka mu bawu. Mu bila kioki mbasi yi lufua yiba vonda.
2e0a0b0079	Mamoso momo ma babuila madi kifuani kuidi beto. Mambu beni masonoko mu kutulubula, beto tulembo zingi mu thangu yi tsuka.
2e0a0c003a	Diawu woso mutu wumbanza ti widi wutelama kakeba kedi bua.
2e0a0d010a	Ziphukumunu zioso zibuila batu ziba ziphukumunu ziozi batu boso balenda nunga. Vayi Nzambi widi wukuikama, kalendi tala ko ti phukumunu yiluviatukila ngolo. Vayi phukumunu bu yizidi, niandi kafueti kuluvana diluaku di lufueti totukila muingi lubaka bu vibidila yawu.
2e0a0e0038	Diawu bakundi bama ba luzolo, lutina sambilanga bitumba.
2e0a0f0065	Minu ndinyoluka kuidi batu badi banga batu badiela, diawu luzenga beno veka mu momo ma ndilembo tubi.
2e0a100097	“Mbungu yi lusakumunu” yi tunsakumunanga yisi kithuadi ayi mengama Klisto ko e? Dipha diodi tueti bukunanga, disi kithuadi, ki nitu yi Klisto ko e?
2e0a110073	Bila dipha dimosi didi vayi beto tuidi bawombo, tuidi nitu yimosi bila beto boso bueti kabananga dipha dimosi kaka.
2e0a120051	Lutala Iseli, mu kinsuni, bobo bandianga makaba, basi mu kithuadi ayi ntala ko e?
2e0a13005f	Mbi thidi tuba? Kani kima kioki kitambuku kuidi tumba mfunu kidi? Kani tumba beni mfunu kidi e?
2e0a14009f	Nana. Vayi makaba momo Bapakanu bantambikanga, bantambikanga mawu kuidi eipheve zimbimbi, vayi bika kuidi Nzambi. Mbengi ti luba kithuadi ayi ziphevi zimbimbi.
2e0a150085	Lulendi ko nua mu mbungu yi Pfumu ayi mu mbungu yi ziphevi zimbimbi. Lulendi ko dia va meza yi Pfumu ayi va meza yi ziphevi zimbimbi.
2e0a16004e	Voti tutidi soka kiphala ki Nzambi e? A buevi, beto tulutidi ngolo ayi niandi?
2e0a17007e	“Minsua midi mu mambu moso”. Muaki mambu moso masi mfunu ko. Voti minsua midi mu mambu moso vayi mambu moso matunganga ko.
2e0a180059	Mutu kabika tombanga mamboti mandi veka vayi bika kadika mutu katomba mamboti ma ndiandi.
2e0a190049	Ludia bima bioso bintekosongo ku zandu, mu kambu yamisa mayindu ma ntima.
2e0a1a0038	Bila Pfumu niandi vuidi ntoto ayi bima bioso bidi muawu.
2e0a1b008f	Enati mutu wukambu wilukila wulutumisini mu dia ayi enati lutidi kuenda buna ludia bibio bakulutudila mu kambu yamisa mayindu ma mintima mieno.
2e0a1c0095	Vayi enati mutu wulukembi ti: “biabi bidi bitambuku” buna lubika ku bidia mu diambu di mutu wowo wululubudi ayi mu kambu yamisa mayindu ma ntima.
2e0a1d0091	Ndikadi yolukila mayindu maku ma ntima vayi mayindu ma mutu wunkaka. Bila mbi mayindu ma ntima ma mutu wunkaka mafueti sambisila kiphuanza kiama?
2e0a1e0075	Enati ndimvutula matondo bu ndindianga buna bila mbi mfueti tubudulu mu diambu di bidia bi ndimvutudilanga matondo e?
2e0a1f0075	Diawu banza ti dia lundia, nua lu nua voti dioso kuandi diambu lumvanga, luvanga diawu mu diambu di nkembo wu Nzambi.
2e0a20006e	Lubika kituka diluaku di mbuminina batu thutu, buba kuidi Bayuda, kuidi Bapakanu voti kuidi dibundu di Nzambi.
2e0a2100a7	Banga minu bu ndieti vanganga. Ndintulanga ngolo mu monisa batu boso khini, mu mambu moso, mu kambu tombanga mamboti mama vekavayi mamboti ma bawombo mu diambu bavuka.
2e0b01003f	Bika lutsokudila, banga minu mamvama bu ndieti sokudila Klisto.
2e0b02006e	Ndikuluniemisanga bu lukuthebukilanga moyo mu mambu moso ayi bu lunkebanga malongi banga bu ndilulongila mawu.
2e0b030081	Vayi thidi luzaba ti: Klisto niandi Pfumu yi kadika bakala, bosi bakala niandi pfumu yi nketo; ayi Nzambi niandi Pfumu yi Klisto.
2e0b04005f	Diawu dioso bakala wulembo sambila voti wulembo bikula ayi ntu wufutubuna vuezidi Pfumuꞌandi.
2e0b050081	Vayi woso nketo wulembo sambila voti bikula ayi ntu wukambu fuku, buna vuezidi pfumu andi bila dedikini ayi nketo widi dikungulu.
2e0b06009a	Enati nketo kasi ko ntu wufuku, buna bika bamvuka zitsuki. Vayi enati tsoni kuidi nketo muba zitsuki zivuku voti muba dikungulu buna bika kafuka ntu andi.
2e0b070076	Vayi bakala, kalendi fuka ntu ko, bila bakala niandi mfikula ayi nkembo wu Nzambi. Vayi nketo niandi nkembo wu bakala.
2e0b080048	Bila bakala kasia bongo mu nketo ko vayi nketo niandi wubongo mu bakala;
2e0b09005b	ayi bakala kasia vangu mu diambu di nketo ko vayi nketo niandi wuvangu mu diambu di bakala.
2e0b0a004f	Diawu nketo, mu diambu di zimbasi, kafueti ba ayi dimbu ki lulendo va ntu andi.
2e0b0b005c	Muaki mu Pfumu, nketo kalendi zinga kambu bakala ko ayi bakala kalendi zinga kambu nketo ko.
2e0b0c0073	Bila banga nketo bu kabongo mu bakala, buawu bobo bakala kabutukila mu nketo vayi bima bioso bimbongongo mu Nzambi.
2e0b0d0060	Luzenga beno veka? Didi kuandi diambu di mboti ti nketo kasambila Nzambi ayi ntu wukambu fuku e?
2e0b0e005a	Bila khadulu yi kimutu yikululonga ti diambu di tsoni kuidi bakala mu ba zitsuki zikula e?
2e0b0f007a	Vayi enati nketo widi ayi zitsuki zikula buna widi nkembo kuidi niandi. Bila bamvana zitsuki zikula mu diambu di kukifuka.
2e0b100061	Enati mutu tidi finda ziphaka; beto tuisi ko kifu kioki ayi mabundu ma Nzambi masi ko kifu kioki.
2e0b11008c	Mu mambu mama ndieka sonika, ndikadi kuluniemisa bila bu lueti kutakananga, kadi sia ti mu diambu di mamboti meno vayi lueti ku kibivisanga.
2e0b12008c	Bila va theti, ndilembo wanga ti zikhabunu zidi va khatitsikꞌenobu lueti kutakananga mu zikhutukunu zieno mu dibundu. Ayi nguilukidi fioti
2e0b13005a	bila mu beno mufueti ba makabu mavasuka mu diambu di bobo badi bakuikama bamonika mu beno.
2e0b140040	Bu lunkutakananga va kimosi yisi ko ti bidia bi Pfumu lundianga.
2e0b15007b	Bila bu lundianga, kadika mutu wunuaninanga mu dia bidia biandiveka. Diawu wunkaka wulembo moni nzala, vayi wunkaka kololo.
2e0b1600e2	A buevi, luisi ko zinzo mu lulenda dila ayi nuina e? Voti lueti lenzanga dibundu di Nzambi voti lueti fuisanga tsoni bobo bakambulu kadi kima e? Mbi mfueti ku lukamba e? Mfueti kuluniemisa e? Mu diodi ndilendi ku luniemisa ko.
2e0b170067	Bila mambu momo nditambula kuidi Pfumu mawu ndilulonga: mu builu bu kayekolo, Pfumu Yesu wubonga dipha,
2e0b180082	bu kavutula matondo, wubukuna diawu ayi wutuba: “Yayi yawu nitu ama, yitambuku mu diambu dieno; lusianga bobo mu kumbanzanga”.
2e0b1900a0	Bobuawu bu bamana dia, wubonga mbungu ayi wutuba: “mbungu yayi yawu Nguizani yimona mu menga mama. Kadika khumbu luela yinua, lusianga bobo mu kumbanzanga.”
2e0b1a007d	Bila kadika khumbu luela dianga dipha diadi ayi luela nuanga mbungu yayi, buna lunyamikisanga lufua lu Pfumu nate kela kuiza.
2e0b1b007a	Diawu woso mutu wela dia dipha ayi wela nua mbungu yi Pfumu mu kambu fuana, wela vola nkanu mu nitu ayi mu menga ma Pfumu.
2e0b1c005a	Diawu bika kadika mutu kakifiongunina niandi veka, buna bosi kadia dipha ayi kanua mbungu.
2e0b1d007d	Bila woso mutu didi dipha ayi nuini mbungu mu kambu banzila nitu yi Pfumu buna didi ayi nuini nzengolo mu diambu diandi veka.
2e0b1e005f	Diawu minlebukila mididi miwombo mu beno ayi bambevo bawombo ayi bawombo bankaka mu beno bafua.
2e0b1f0042	Enati tueti kukifionguninanga beto veka, nganu tulendi sambusu ko.
2e0b20007b	Vayi bu tueti sambusungu buna tueti bakanga thumbudulu kuidi Pfumu muingi tubika ba zengolo nkanu va kimosi ayi basi ntoto.
2e0b210044	Diawu bakhomba ziama, bu lunkutakananga mu dia; bika luvingasananga.
2e0b2200b7	Enati mutu wumosi wulembo moni nzala, bika kadia ku nzoꞌandi mu diambu lubika ba sambusu bu lunkutakananga. Mu diambu di mambu mankaka, ndiela madedikisa bu ndiela kuiza kuidi beno.
2e0c010042	A bakhomba, mbengi ti lubika zaba phila yididi mu makaba ma Pheve.
2e0c02005a	Beno luzebi ti bu luba Bapakanu, lunatu muidi bitumba bikambulumbembo boso bu lutuadusulu.
2e0c0300d1	Diawu ndikuluzabikisila ti kuisi ko mutu, wuntuadusungu kuidi Pheve yi Nzambi, wulenda tuba: “Bika Yesu kasingu” ayi kuisi ko mutu wulenda tuba: “Pfumu Yesu” enati kasi tuadusu kuidi Pheve Yinlongo ko.
2e0c04003c	Makaba madi ma phila mu phila vayi Pheve yidi yimosi kuandi.
2e0c05003c	Bisalu bidi bi phila mu phila vayi Pfumu yidi yimosi kuandi.
2e0c06005c	Mavanga madi ma phila mu phila vayi Nzambi yidi kuandi yimosi; yimvanganga mamoso mu baboso.
2e0c070054	Vayi kadika mutu wutambula makaba ma Pheve Yinlongo mu diambu di mfunu wu batu boso.
2e0c080067	Kuidi wunkaka, Pheve yivana dikaba di tuba mambu manduenga; kuidi wunkaka, Pheve yivana mambu ma diela.
2e0c090055	Yo yawu Pheve yivana kuidi wunkaka minu ayi kuidi wunkaka dikaba di belusila bimbevo.
2e0c0a00d2	Wunkaka wutambula dikaba di vangilanga bikumu; wunkaka dikaba di bikudila; wunkaka dikaba di suasisila ziphevi; wunkaka dikaba di tubila zimbembo ziphila mu phila ayi wunkaka dikaba di sudikisila zimbembo beni.
2e0c0b0080	Vayi Pheve yimosi ayi yawu kaka yimvanganga mambu moso mama; yimvananga kuidi kadika mutu dikaba diviakana ayi boso bu yizodidi.
2e0c0c008b	Nitu yidi yimosi vayi yidi ayi binama biwombo. Binama bioso bi nitu, ka diambu ko bidi biwombo, bidi nitu yimosi kaka. Bobo buididi Klisto.
2e0c0d00a6	Bila beto boso mu Pheve yimosi tubotimina mu diambu tuba nitu yimosi. Tuba Bayuda voti basi Ngelese, bavika voti batu badi mu kiphuanza, mu Pheve yimosi kaka tunuina.
2e0c0e0039	Nitu yisi nama kimosi kaka ko vayi yibeki binama biwombo.
2e0c0f006a	Enati kulu kutubidi: “Sumbu ndisi koko ko, diawu ndisi mu nituko.” Buna diawu diodi kasi mu nitu ko e?
2e0c10006d	Enati dikutu ditubidi: “sumbu ndisi dieso ko diawu ndisi mu nitu ko.” Buna diawu diodi kasi ko mu nitu e?
2e0c110086	Enati dieso diawu nitu yimvimba, buna buevi nitu yilenda wila e? Enati dikutu diawu nitu yimvimba, buna buevi nitu yilenda wila tsudi?
2e0c12004a	Vayi Nzambi wutula kadika nama mu nitu yi mutu boso bu katila niandi veka.
2e0c130049	Enati binama bioso bidi kaka nama kimosi nganu buevi bulenda bela nitu e?
2e0c140033	Vayi binama bidi biwombo ayi nitu yidi yimosi kaka.
2e0c150086	Diawu dieso dilendi ko kamba koko ti: “Ndisi kuvua mfunu ko.” Ntu mamvandi kalendi kamba malu ko ti: “Ndisi kuluvua mfunu ko”.
2e0c160049	Binama biobi bieti monikanga ti bidi bilebakana biawu mamvawu mfunu bidi.
2e0c17008d	Binama biobi bitumbanzilanga ti bikinzukungu buwombo ko. Biawu tueti luta kinzika. Binama biobi bimmonikanga bi tsoni, biawu tueti luta vuika
2e0c180096	Binama biobi bikambu monikanga bi tsoni bisi ko mfunu mu vuiku. Nzambi wukubika binama ayi wuvana nzitusu wuwombo kuidi binama biobi bikambulu nzitusu
2e0c19005e	muingi nitu yibika vasuka ayi mu diambu di kadika nama kabelanga ndiandi nama mayindu mamboti.
2e0c1a00ad	Enati nama kimosi kilembo moni phasi, buna binama bioso bilembo moni phasi va kimosi; ayi enati nama kimosi kitambudi nzitusu buna binama bioso bilembo moni khini va kimosi.
