0100000018	ကမ္ဘာ​ဦး
2e0000001f	၁ ကောရိန္သု
2e0101010a	ဘုရားသခင် ၏အလို တော်အားဖြင့် ယေရှု ခရစ် ၏ တမန်တော် အရာ၌ ခန့်ထား သော ငါ ပေါလုနှင့် ငါ့ညီ သုဿင် သည်၊
2e0102025f	ယေရှု ခရစ် အားဖြင့် အပြစ် နှင့်ကင်းစင်၍ သန့်ရှင်း သူအရာ၌ ခန့်ထား သောသူတည်းဟူသော၊ ကောရိန္သု မြို့၌ ရှိ သော ဘုရားသခင် ၏ အသင်းတော် မှစ၍ခပ်သိမ်း သောအရပ် ၌ ငါ တို့သခင် ယေရှု ခရစ် ကို ပဌနာ ပြုသောသူ အပေါင်း တို့ကို ကြားလိုက်ပါ၏။
2e010301f6	ထိုသခင်သည် ငါ တို့၏သခင်သာမဟုတ်၊ သင်တို့၏သခင်လည်း ဖြစ်တော်မူ၏။ သခင် ယေရှု ခရစ် နှင့် ငါ တို့အဘ တည်းဟူသောဘုရားသခင့် အထံတော်က ကျေးဇူး တော်နှင့် ငြိမ်သက် ခြင်းသည် သင် တို့၌ ရှိပါစေသော။
2e01040097	အထက်ခရစ်တော် ၏ သက်သေ ကို သင် တို့တွင် တည် စေသည်ရှိသော်၊
2e01050125	သင်တို့သည် ထိုခရစ်တော် အားဖြင့် ၊ အရာရာ ၌ နှုတ် သတ္တိ၊ ဉာဏ် သတ္တိအပေါင်း နှင့် ကြွယ်ဝ ပြည့်စုံကြ သည်ဖြစ်၍ ၊
2e010601a2	ယေရှု ခရစ် အားဖြင့် သင် တို့အားပေး တော်မူသော ဆုကျေးဇူး တော်ကို ငါထောက် ၍၊ သင် တို့ အကြောင်း ကြောင့် ငါ့ ဘုရားသခင် ၏ကျေးဇူး တော်ကို အစဉ်မပြတ် ချီးမွမ်း၏။
2e01070186	ထိုကြောင့် သင် တို့သည် ငါ တို့သခင် ယေရှု ခရစ် ၏ ပေါ်ထွန်း တော်မူခြင်းကို မြော်လင့် ၍နေစဉ်၊ ဆု တော် တစ်စုံတစ်ခု မျှမ လျော့ ဘဲ စုံလင်လျက်ရှိကြ၏။
2e010801a4	သင်တို့သည် ငါ တို့သခင် ယေရှု ခရစ် ၏ နေ့ရက် ၌ အပြစ်တင် စရာအခွင့်နှင့်ကင်းလွတ်မည်အကြောင်း၊ သင် တို့ကို အဆုံး တိုင်အောင် ခိုင်ခံ့ မြဲမြံစေတော်မူလိမ့်မည်။
2e0109019c	ငါ တို့သခင် တည်းဟူသောသား တော်မြတ်သခင် ယေရှု ခရစ် နှင့် ဆက်ဆံ ခြင်းကျေးဇူးတော်ကို သင်တို့ အား ပေး တော်မူသော ဘုရားသခင် သည် သစ္စာ နှင့်ပြည့်စုံတော်မူ၏။
2e010a027a	ညီအစ်ကို တို့၊ သင်တို့ရှိသမျှ သည် စကား တညီတညွတ် တည်းဖြစ်၍ အချင်းချင်း မ ကွဲပြား ဘဲ စိတ် သဘော တသံ တသမတ်တည်းရှိ သည်နှင့် စေ့စပ် စုံလင်ကြမည်အကြောင်း၊ ငါ တို့သခင် ယေရှု ခရစ် ၏ နာမ တော် ကို အမှီပြု ၍ သင် တို့ကို ငါ နှိုးဆော်တောင်းပန်ပါ၏။
2e010b015e	အကြောင်းမူကား ၊ ငါ့ ညီအစ်ကို တို့၊ သင် တို့သည် အချင်းချင်း မသင့်၊ ရန်တွေ့ခြင်းရှိ သည်ကို၊ ခလောဣ အိမ်သားအချို့တို့သည် ပြော ကြ၏။
2e010c0198	သင် တို့က၊ ငါ သည်ပေါလု တပည့်ဖြစ် ၏။ ငါ သည် အာပေါလု တပည့်ဖြစ်၏။ ငါ သည်ကေဖ တပည့်ဖြစ်၏။ ငါ သည်ခရစ်တော် တပည့် ဖြစ်၏ဟု အသီးအသီး ပြော ကြသောကြောင့် ငါဆို ရ၏။
2e010d0180	ခရစ်တော် သည် ကွဲပြား သလော။ ပေါလု သည် သင် တို့အတွက် လက်ဝါးကပ်တိုင် မှာ အသေခံပြီလော။ သို့မဟုတ် သင်တို့သည် ပေါလု ၏နာမ ၌ ဗတ္တိဇံ ကို ခံကြပြီလော။
2e010e013b	ကရိပ္ပု နှင့် ဂါယု မှတစ်ပါး ၊ သင် တို့တွင် အဘယ်သူ အားမျှ ဗတ္တိဇံ ကို ငါမပေးသည်ဖြစ်၍ ဘုရားသခင် ၏ ကျေးဇူး တော်ရှိပါ၏။
2e010f00e0	သို့ဖြစ်၍ ပေါလုသည်မိမိ နာမ ၌ ဗတ္တိဇံ ကို ပေးသည်ဟု အဘယ်သူ မျှဆို စရာအကြောင်း မ ရှိ။
2e01100131	သတေဖန် ၏အိမ်သူ အိမ်သားတို့အားလည်း ဗတ္တိဇံကို ပေး ပြီ။ ထိုမှတစ်ပါးအခြား သောသူအား ဗတ္တိဇံ ပေးသည်ကိုငါမ မှတ်မိ ။
2e01110277	ဗတ္တိဇံ ကိုပေးစေခြင်းငှာခရစ်တော် သည် ငါ့ ကို စေလွှတ် တော်မူသည်မ ဟုတ်။ ဧဝံဂေလိ တရားကို ဟောစေခြင်းငှာစေလွှတ်တော်မူ၏။ သို့သော်လည်း ၊ ခရစ်တော် ၏လက်ဝါးကပ်တိုင် ကို အချည်းနှီး မ ဖြစ် စေခြင်းငှာ ၊ နှုတ် ပညာ ကို အခွင့်မ ပေးဘဲနေတော်မူ၏။
2e011201ee	အကြောင်းမူကား ၊ ဆုံးရှုံး ခြင်းသို့ရောက်သော သူ တို့၌ လက်ဝါးကပ်တိုင် တော်တရား သည် မိုက် သော တရားဖြစ် ၏။ ကယ်တင် ခြင်းသို့ ရောက်သောငါ တို့၌ ထိုတရားသည် ဘုရားသခင် ၏ တန်ခိုး တော် ဖြစ် ၏။
2e0113012e	ကျမ်းစာ လာသည်ကား ၊ ပညာရှိ တို့၏ ပညာ ကို ငါဖျက်ဆီး မည်။ ဉာဏ် ကောင်းသောသူ တို့၏ ဉာဏ် ကို လည်း ငါပယ် မည်ဟု လာသတည်း။
2e011401bb	ပညာရှိ ကားအဘယ်မှာ ရှိသနည်း။ ကျမ်းပြု ဆရာကား အဘယ်မှာ ရှိသနည်း။ ပြဿနာ ၌လေ့ကျက်သော ဆရာကား အဘယ်မှာ ရှိသနည်း။ လောကီ ပညာ ကို ဘုရားသခင် သည် မိုက် စေတော်မူသည် မ ဟုတ်လော။
2e01150286	အဘယ်သို့ နည်းဟူမူကား၊ ဘုရားသခင် ၏ ပညာ တော်စီရင်သည်နှင့်အညီ၊ လောကီသား တို့သည် မိမိ တို့ပညာ အားဖြင့် ဘုရားသခင် ကို မ သိ ဘဲနေကြသောအခါ၊ ဘုရားသခင် သည် ယုံကြည် သော သူတို့ ကို ဒေသနာ တော် မိုက်မဲ ခြင်းအားဖြင့် ကယ်တင် ခြင်းငှာစေတနာ ရှိတော်မူ၏။
2e011600db	ယုဒ လူတို့သည် နိမိတ် လက္ခဏာကို တောင်း တတ်ကြ၏။ ဟေလသ လူတို့သည် ပညာ ကို ရှာ တတ် ကြ၏။
2e01170217	ငါ တို့မူကား ၊ လက်ဝါးကပ်တိုင် မှာ အသေခံတော်မူသော ခရစ်တော် ၏ အကြောင်းအရာကို ဟောပြော ကြ၏။ ထိုအကြောင်းအရာသည်ကား၊ ယုဒ အမျိုးသားထိမိ ၍ လဲစရာအကြောင်းဖြစ်၏။ တစ်ပါး အမျိုးသား၌ကား၊ မိုက်မဲ ခြင်းဖြစ်၏။
2e01180194	သို့သော်လည်း ၊ ယုဒ လူဖြစ်စေ၊ ဟေလသ လူဖြစ်စေ၊ ခေါ် တော်မူသောသူ တို့၌ ဘုရားသခင် ၏ တန်ခိုး တော်နှင့် ဘုရားသခင် ၏ပညာ တော်တည်းဟူသောခရစ်တော် ၏ တရားဖြစ်၏။
2e01190159	ဘုရားသခင် ၏မိုက်မဲ ခြင်းအရာသည် လူ တို့၏ ပညာထက်သာ၍ပညာ ရှိ ၏။ ဘုရားသခင် ၏ အားနည်း ခြင်းအရာသည် လူ တို့၏ အစွမ်းထက်သာ၍အစွမ်း ရှိ၏။
2e011a020e	ညီအစ်ကို တို့၊ သင် တို့ကို ခေါ် တော်မူခြင်း အကြောင်း အရာကို ဆင်ခြင် ကြလော့။ ခေါ်တော်မူသော သူတို့တွင် လောကီ ပညာရှိ အများ မ ပါ။ ထင်ရှားသော လူ ကြီးအများ မ ပါ။ မင်းအမျိုးအနွယ်ဖြစ်သော သူအများ မ ပါ။
2e011b0242	ဘုရားသခင် သည် ပညာရှိ တို့ကို ရှက်ကြောက် စေခြင်းငှာ ၊ လောကီ အရာ၌ မိုက်မဲ သော သူ တို့ကို ရွေးကောက် တော်မူ၏။ အစွမ်း သတ္တိရှိသော သူ တို့ကို ရှက်ကြောက် စေခြင်းငှာ ၊ လောကီ အရာ၌ အားနည်း သော သူ တို့ကို ရွေးကောက် တော်မူ၏။
2e011c013e	မြတ်သောသူတို့ကို ရှက်ကြောက် စေခြင်းငှာလောကီ အရာ ၌ ဆင်းရဲ သောသူ၊ မ ရေရာ သောသူ ၊ ယုတ် သောသူ တို့ကို ရွေးကောက် တော်မူ၏။
2e011d00b4	ထိုကြောင့် ၊ ဘုရားသခင် ရှေ့ ၌ အဘယ်သူမျှ ဝါကြွား စရာ အကြောင်းမ ရှိ။
2e011e0201	ထိုဘုရားသခင် အားဖြင့် သင် တို့သည် ယေရှု ခရစ် ၌ တည်နေကြ၏။ ထိုသခင် မူကား ၊ ဘုရားသခင်စီရင် တော်မူသည်အတိုင်း၊ ငါ တို့၌ ပညာ မှစ၍ဖြောင့်မတ် ခြင်း၊ သန့်ရှင်း ခြင်း၊ ရွေးနှုတ် ခြင်းဖြစ်တော်မူ၏။
2e011f00ec	သို့ဖြစ်၍ ၊ ကျမ်းစာ လာသည်နှင့်အညီ ၊ ဝါကြွား သောသူ မည်သည်ကား၊ ထာဝရ ဘုရား၌ သာဝါကြွား စေ။
2e020101bc	ညီအစ်ကို တို့၊ ငါ သည်သင် တို့ရှိရာ သို့ ရောက်လာ သောအခါ၊ ဘုရားသခင် ၏ သက်သေ ချက်ကို ထူးမြတ်သောစကား နှင့် ထူးမြတ် သော ပညာ အားဖြင့် သင် တို့အား ပြသ ၍ ရောက်လာ သည်မ ဟုတ်။
2e020201af	အကြောင်းမူကား ၊ ယေရှု ခရစ် တည်းဟူသောလက်ဝါးကပ်တိုင် မှာ အသေခံတော်မူသော သခင် မှတစ်ပါး ၊ အဘယ် အရာကိုမျှ သင် တို့တွင် ငါမ သိ မ မှတ်ဟု ငါစိတ် ပြဋ္ဌာန်း ခြင်းရှိ၏။
2e02030113	သင် တို့နှင့်အတူ ငါရှိနေသောအခါ၊ အားနည်း ခြင်း၊ အလွန် ကြောက်ရွံ့ တုန်လှုပ် ခြင်းနှင့်တကွ ငါ ရှိ နေ၏။
2e02040083	သင် တို့၏ယုံကြည် ခြင်းသည် လူ ပညာ အားဖြင့် မ တည် ၊
2e02050202	ဘုရားသခင် ၏ တန်ခိုး တော်အားဖြင့် တည်စေခြင်းငှာ ၊ ငါ့ စကား ၊ ငါ့ ဒေသနာ သည် လူပညာ နှင့် ယှဉ်သောဖြားယောင်း သောစကား နှင့်တကွ ရှိသည် မ ဟုတ်။ ဝိညာဉ် တော်၏နိမိတ် လက္ခဏာ တန်ခိုး တော်နှင့်တကွ ရှိ၏။
2e020601b1	သို့သော်လည်း ၊ စုံလင် သော သူတို့အား ငါတို့သည် ပညာ စကားကို ဟောပြော ၏။ ထိုသို့ဆိုသော်၊ လောကီ ပညာကို မ ဆိုလို။ ပြယ်ပျောက် တတ်သော လောကီ မင်း တို့၏ ပညာ ကိုမ ဆိုလို။
2e0207019d	ဤ ကမ္ဘာ မ တည်မရှိမှီ၊ ငါ တို့၏ ဘုန်း အသရေ ဖြစ်စေခြင်းငှာ ၊ ဘုရားသခင် စီရင် တော်မူသော ပညာ၊ နက်နဲ သောအရာ၌ ဝှက်ထား သော ဘုရားသခင် ၏ ပညာ ကို ငါတို့သည်ပြသ ကြ၏။
2e02080143	ထို ပညာကို လောကီ မင်း တစ်စုံတစ်ယောက် မျှမသိ ။ သိ လျှင် ၊ ဘုန်းကြီး တော်မူသောသခင် ကို လက်ဝါးကပ်တိုင် မှာကွပ်မျက်ကြပြီ။
2e020901e5	ကျမ်းစာ လာသည်နှင့်အညီ ၊ ဘုရားသခင် ကို ချစ် သော သူ တို့အဘို့အလိုငှာ၊ ဘုရားသခင်ပြင်ဆင် တော်မူသော အရာ တို့ကို လူ မျက်စိ ဖြင့်မ မြင် ၊ နား ဖြင့်မ ကြား ၊ စိတ် နှလုံးဖြင့် မ ကြံစည် သေး။
2e020a01c8	ထိုအရာတို့ကို ဘုရားသခင် သည် မိမိ ဝိညာဉ် တော်အားဖြင့် ငါ တို့အားဖော်ပြ တော်မူ၏။ ဝိညာဉ် တော် သည် ဘုရားသခင် ၏ နက်နဲ သော အရာတိုင်အောင်ခပ်သိမ်း သောအရာတို့ကိုစစ် တော်မူ၏။
2e020b01ae	လူ ၏နက်နဲသော အရာကို လူ ၌ ရှိသောမိမိ စိတ် ဝိညာဉ်မှတစ်ပါး အဘယ်သူ သိ သနည်း။ ထိုနည်းတူ ဘုရားသခင် ၏ နက်နဲသောအရာကို ဘုရားသခင် ၏ ဝိညာဉ် တော်မှတစ်ပါး အဘယ်သူ မျှမ သိ ။
2e020c0168	ငါ တို့သည် လောကီ ဝိညာဉ် ကို မ ခံရ ကြ။ ဘုရားသခင် ပေး တော်မူသောအရာ တို့ကို သိ ခြင်းအလိုငှာ ဘုရားသခင် ထံမှ ကြွလာသော ဝိညာဉ် ကိုခံရကြပြီ။
2e020d0271	ဘုရားသခင်ပေးတော်မူသော အရာတို့ကို ငါ တို့သည် လူ ပညာ ကိုအမှီပြု ၍ နားလည်သောစကား နှင့် မ ဟော ။ သန့်ရှင်းသော ဝိညာဉ် တော်သည် ဝိညာဉ် နှင့် စပ်ဆိုင်သော အရာကို ဝိညာဉ် စကားအားဖြင့်ဖွင့်ပြ ၍ ပဲ့ပြင် တော်မူသော စကားနှင့် ငါတို့သည် ဟော ကြ၏။
2e020e023a	ဇာတိ ပကတိလူ သည် ဘုရားသခင် ၏ ဝိညာဉ် တော်အရာ တို့ကို မ ခံ မယူ။ ထိုအရာတို့သည် မိုက်မဲ သော အရာဖြစ် သည်ဟု ထင်တတ်၏။ ထိုအရာတို့ကို ဝိညာဉ် အားဖြင့်သာ ပိုင်းခြား ၍နားလည်နိုင်သောကြောင့် ၊ ဇာတိပကတိလူသည် နား မ လည်နိုင် ။
2e020f014c	ဝိညာဉ် လူမူကား ၊ ထိုအရာအလုံးစုံ တို့ကို ပိုင်းခြား ၍ နားလည်တတ်၏။ သို့သော်လည်း ထိုလူ ကို အဘယ်သူ မျှပိုင်းခြား ၍ မသိနိုင်။
2e02100147	ထိုလူ ကို သွန်သင် နိုင်မည်အကြောင်း အဘယ်သူ သည် ထာဝရ ဘုရား၏ စိတ် တော်ကို သိ သနည်း။ ငါ တို့မူကား ခရစ်တော် ၏စိတ် ကို ခံရ ကြ၏။
2e03010202	ညီအစ်ကို တို့၊ အထက်က ငါ သည် ဝိညာဉ် လူတို့အား ဟောပြောသကဲ့သို့ သင် တို့အား ဟောပြော ရသော အခွင့်မ ရှိ ဘဲ၊ ဇာတိ ပကတိလူတို့အား၎င်း၊ ခရစ်တော် ၌ သူငယ် ကလေးတို့အား၎င်း၊ ဟောပြောသကဲ့သို့ ဟောပြောရ၏။
2e03020180	ယခုတိုင်အောင်သင် တို့သည် ခဲဘွယ် စားဘွယ်ကို မ ကြေနိုင် သောကြောင့် ငါမ ကျွေးရ၊ နို့ ကိုသာ တိုက် ရ ၏။ ယခုပင် လည်း ၊ သင်တို့သည် မ ကြေနိုင် ကြသေး ။
2e03030228	ယခုပင်လည်း၊ ဇာတိ ပကတိလူဖြစ် ကြသေး ၏။ ဂုဏ်ပြိုင် ခြင်း၊ ရန်တွေ့ ခြင်း၊ အချင်းချင်း ကွဲပြားခြင်း ရှိသည်ဖြစ်၍ ၊ သင် တို့သည်ဇာတိ ပကတိ လူဖြစ် ကြသည် မ ဟုတ်လော။ လောကီ ထုံးစံအတိုင်း ကျင့်ဆောင် ကြသည် မဟုတ်လော။
2e0304018a	တစ်ယောက် က၊ ငါ သည်ပေါလု တပည့်ဖြစ် ၏ ဟူ၍၎င်း၊ တစ်ယောက် က၊ ငါ သည်အာပေါလု တပည့်ဖြစ်၏ ဟူ၍၎င်း၊ အသီးသီးပြော ကြလျှင် ၊ ဇာတိပကတိလူ ဖြစ် ကြသည်မ ဟုတ်လော။
2e030501ff	ပေါလု ကား အဘယ်သူ နည်း။ အာပေါလု ကား အဘယ်သူ နည်း။ အခြားသောသူမဟုတ်၊ ထာဝရ ဘုရား သည် အသီးသီး တို့အား အခွင့်ပေး သနားတော်မူသည်နှင့်အညီ ၊ သင်တို့ကို ယုံကြည် ခြင်းသို့ ရောက်စေသော ဓမ္မဆရာ ပေတည်း။
2e03060131	ငါ သည်စိုက်ပျိုး သောသူဖြစ်၏။ အာပေါလု သည် ရေလောင်း သော သူဖြစ်၏။ အပင်ကိုကြီးပွား စေသော သူ ကား ၊ ဘုရားသခင် ပေတည်း။
2e03070143	စိုက်ပျိုး သောသူ မ တတ်နိုင်။ ရေလောင်း သော သူ လည်း မ တတ်နိုင်။ ကြီးပွား စေတော်မူသော ဘုရားသခင် သာလျှင် တတ်နိုင်တော်မူ၏။
2e0308017f	သို့သော်လည်း ၊ စိုက်ပျိုး သောသူ နှင့် ရေလောင်း သောသူ သည် တစ်လုံးတစ်ဝတည်း ဖြစ် ၍ ၊ အသီးအသီး မိမိ လုပ် သည်အတိုင်း မိမိ အကျိုး ကို ခံရ လိမ့်မည်။
2e03090187	ငါတို့သည် ဘုရားသခင့် ထံ၌အလုပ် လုပ်သော သူချင်းဖြစ် ကြ၏။ သင်တို့သည် ဘုရားသခင် ၏ ဥယျာဉ် တော်ဖြစ်ကြ၏။ ဘုရားသခင် ၏ ကျောင်း တော်တိုက်လည်း ဖြစ် ကြ၏။
2e030a0224	ဘုရားသခင် ၏ကျေးဇူး တော်ကို ငါ ခံရ သည်နှင့်အညီ ၊ လိမ္မာ သော ဗိသုကာ ကဲ့သို့ တိုက်မြစ် ကိုချ ပြီ။ အခြား သောသူသည် ထပ်ဆင့်၍ တည်ဆောက်လေ ၏။ သို့ရာတွင် ၊ အဘယ်သို့ ထပ်ဆင့်၍ တည်ဆောက် သည်ကို လူတိုင်းသတိပြု ပါစေ။
2e030b0136	အကြောင်းမူကား ၊ ယေရှု ခရစ် တည်းဟူသော ၊ ချ လျက်ရှိသော တိုက်မြစ် မှတပါး အခြား သော တိုက်မြစ်ကို အဘယ်သူ မျှမချ နိုင် ။
2e030c013f	ထို တိုက်မြစ် အပေါ် ၌ရွှေ ၊ ငွေ ၊ ကျောက် ကောင်း ၊ သစ်သား ၊ မြက်ပင် ၊ ကောက်ရိုး များကို ထပ်ဆင့်၍ တည်ဆောက် သောသူရှိသမျှ ၊
2e030d0246	အသီးသီး လုပ်သော အလုပ် သည် ထင်ရှား လိမ့်မည် ။ အဘယ်သို့ နည်းဟူမူကား ၊ ဖော်ပြ ချိန် နေ့ရက် သည် မီး အားဖြင့် ထင်ရှား စေလိမ့်မည်။ လူ တိုင်းလုပ်သောအလုပ် သည် အဘယ်သို့ သော အလုပ်ဖြစ် သည်ကို မီး သည်စစ်ကြော စုံစမ်းလိမ့်မည်။
2e030e0113	ထို တိုက်မြစ်အပေါ်၌ ထပ်ဆင့်၍ တည်ဆောက် သော အကြင်သူ ၏ အလုပ် သည်မြဲ ၏။ ထိုသူသည် အကျိုး ကို ခံရ လိမ့်မည်။
2e030f0180	အကြင်သူ ၏အလုပ် သည် ကျွမ်းလောင် ၏၊ ထိုသူ သည် အရှုံး ခံရလိမ့်မည်။ သို့သော်လည်း ၊ မီး နှင့် လွတ် သကဲ့သို့ သူသည် ကယ်တင် ခြင်းသို့ ရောက်လိမ့်မည်။
2e0310016e	သင်တို့သည် ဘုရားသခင် ၏ ဗိမာန် တော် ဖြစ် ကြသည်ကို၎င်း ၊ ဘုရားသခင် ၏ဝိညာဉ် တော်သည် သင် တို့အထဲ ၌ ကျိန်းဝပ် တော်မူသည်ကို၎င်း မ သိ ကြသလော။
2e031101e0	အကြင်သူ သည် ဘုရားသခင် ၏ ဗိမာန် တော်ကို ဖျက်ဆီး ၏။ ထို သူကို ဘုရားသခင် ဖျက်ဆီး တော်မူလိမ့်မည်။ ဘုရားသခင် ၏ ဗိမာန် တော်သည် သန့်ရှင်း ရ၏။ သင် တို့သည်လည်း၊ ထိုဗိမာန် တော် ဖြစ် ကြ၏။
2e031201c5	အဘယ်သူ မျှ ကိုယ် ကို မလှည့်ဖြား စေနှင့်။ သင် တို့တွင် အကြင်သူ သည် ဤ လောက ၌ ပညာရှိ ဖြစ် သည်ဟု ကိုယ်ကိုထင် ၏။ ထိုသူသည်ပညာရှိ အဖြစ် သို့ ရောက်လိုသောငှာ လူမိုက် ဖြစ် ပါစေ။
2e031301ca	အကြောင်းမူကား ၊ လောကီ ပညာ သည် ဘုရားသခင့် ရှေ့၌ မိုက်မဲ ခြင်းဖြစ် ၏။ ကျမ်းစာ လာသည်ကား ၊ ဘုရားသခင် သည် ပညာရှိ တို့ကို သူ တို့၏ ပရိယာယ် အားဖြင့် ဘမ်းဆီး တော်မူ၏ဟု လာသတည်း။
2e03140114	တစ်ဖန်တုံ ၊ပညာရှိ တို့၏ အကြံအစည် တို့သည် အချည်းနှီး ဖြစ် ကြောင်း ကို ထာဝရ ဘုရားသိ တော်မူ၏ဟု လာသတည်း။
2e03150132	ထိုသို့ဖြစ်လျှင်၊ အဘယ်သူ မျှလူတို့ ၌ ဝါကြွား ခြင်းမရှိစေနှင့်။ ခပ်သိမ်း သောအရာတို့သည် သင် တို့ အဘို့ ဖြစ် ကြ၏။
2e03160214	ပေါလု ဖြစ်စေ ၊ အာပေါလု ဖြစ်စေ ၊ ကေဖ ဖြစ်စေ ၊ ဤလောက ဖြစ်စေ ၊ အသက် ရှင်ခြင်းဖြစ်စေ ၊ သေ ခြင်း ဖြစ်စေ ၊ မျက်မှောက် အရာဖြစ်စေ ၊ နောက် လာလတံ့သော အရာဖြစ်စေ ၊ ခပ်သိမ်း သော အရာတို့သည် သင် တို့အဘို့ ဖြစ်ကြ၏။
2e031700f0	သင် တို့သည်လည်း ၊ ခရစ်တော် အဘို့ဖြစ်ကြ၏။ ခရစ်တော် သည်လည်း ဘုရားသခင် အဘို့ ဖြစ်တော်မူ၏။
2e0401016b	ခရစ်တော် ၏ အစေအပါး ကဲ့သို့ ၎င်း ၊ ဘုရားသခင် ၏ နက်နဲ သောအရာတို့ကို စောင့်သော ဘဏ္ဍာစိုး ကဲ့သို့၎င်း၊ သူတစ်ပါး သည် ငါ တို့ကို မှတ် ပါစေ။
2e04020083	ထိုမှတပါး ၊ ဘဏ္ဍာစိုး မည်သည်ကား၊ သစ္စာရှိ ရမည်။
2e0403012f	သင် တို့မှစ၍အခြားသောလူ များတို့သည် ငါ့ ကို သစ္စာမရှိဟုစီရင် သော်လည်း ၊ ငါသည်အမှုမထား။ ငါ့ ကိုယ်ကိုငါမ စီရင် ။
2e040401a3	အကြောင်းမူကား ၊ ကိုယ်စိတ် သည် ကိုယ် ကို အပြစ်မ တင်။ သို့သော်လည်း ၊ ထို အကြောင်းဖြင့် ငါသည် အပြစ် လွတ်သည်မ ဟုတ်။ ငါ့ ကို စီရင် သောသူ ကား ၊ ထာဝရ ဘုရားပေတည်း။
2e04050317	ထိုသို့ဖြစ်လျှင်မှောင်မိုက် ၌ ဝှက်ထား သော အရာတို့ကို ပွင့်လင်း စေ၍ စိတ် နှလုံးအကြံအစည် များကို ထင်ရှား စေလတံ့သော သခင် ဘုရားကြွလာ တော်မ မူမှီ တိုင်အောင် အဘယ် အမှုကိုမျှ အဆုံးအဖြတ်မ စီရင် ကြနှင့်။ ကြွလာတော်မူသောအခါ၊ အသီးသီး တို့သည် ဘုရားသခင် ချီးမွမ်း တော်မူခြင်းကျေးဇူးကို ခံရ ကြလတံ့။
2e04060338	ညီအစ်ကို တို့၊ သင် တို့သည် ကျမ်းစာ ကို လွန် ၍ သူတစ်ပါးကို မ ရိုသေ အပ်ဟု ငါ တို့ကိုထောက်၍ နားလည် စေခြင်းငှာ ၎င်း၊ မာန စိတ်ထောင်လွှားသည်နှင့် တစ် ယောက်ကိုမှီဝဲ၍တစ် ယောက်ကိုငြင်းဆန် ခြင်းမ ရှိစေခြင်းငှာ ၎င်း၊ ငါဆိုခဲ့ပြီးသောအချက်၌ သင်တို့၏ အကျိုးကို ထောက်၍ ငါ နှင့် အာပေါလု ကို ပုံဆောင် လျက် ဆိုသတည်း။
2e04070229	ထိုမှတစ်ပါး၊ အဘယ်သူ သည် သင့် ကိုထူးခြား စေသနည်း။ သူတစ်ပါးလက်မှ မ ခံ မယူဘဲ အလိုအလျောက် ရသော အရာတစ်စုံတစ်ခုမျှ သင်၌ရှိ သလော။ သူတစ်ပါးလက်မှ ခံယူ သည်မှန် လျှင် ၊ မ ခံ မယူသကဲ့သို့ အဘယ်ကြောင့် ဝါကြွား သနည်း။
2e040801f7	ယခု တွင်သင် တို့သည် ကြွယ်ဝကြ၏။ ငွေရတတ် ကြ၏။ ငါ တို့ မ ရှိစဉ်တွင်စိုးစံ ကြ၏။ ငါ တို့သည် သင် တို့နှင့်အတူစိုးစံ ရသော အခွင့်ရှိ မည်အကြောင်း၊ သင်တို့ကို အမှန် စိုးစံ စေခြင်းငှာ အလိုရှိ ၏။
2e04090253	သတ် ဘို့ရာထားသောသူကဲ့သို့ အခြားသော သူများနောက် ၌ တမန်တော် တည်းဟူသောငါ တို့ကို ဘုရားသခင် ထုတ်ပြ တော်မူသည်ဟု ငါထင် ၏။ အကြောင်းမူကား ၊ ငါတို့သည် လောကီသား များနှင့် ကောင်းကင် တမန်များ မျက်မှောက် ၌ ပွဲဝင် သောသူ ဖြစ်ကြ ၏။
2e040a029a	ငါ တို့သည် ခရစ်တော် ၏ အကြောင်း ကြောင့် လူမိုက် ဖြစ်ကြ၏။ သင် တို့မူကား ၊ ခရစ်တော် ၌ ပညာရှိ ဖြစ်ကြ၏။ ငါ တို့သည် အားနည်း သောသူ ဖြစ်ကြ၏။ သင် တို့မူကား ၊ အစွမ်း သတ္တိနှင့် ပြည့်စုံသောသူ၊ အသရေ ရှိသောသူဖြစ်ကြ၏။ ငါ တို့သည် အရှက်အကြောက် ခံရသော သူဖြစ်၍ ၊
2e040b0130	ယခု တိုင်အောင် အစား အသောက်ငတ်မွတ်ခြင်း၊ အဝတ် နွမ်းပါးခြင်း၊ ရိုက်ပုတ် ညှဉ်းဆဲခြင်းကို ခံရကြ၏။ နေရာ မကျသောသူ၊
2e040c0188	ကိုယ် လက် နှင့် ပင်ပန်း စွာ လုပ်ဆောင် ရသောသူ ဖြစ်ကြ၏။ ကဲ့ရဲ့ ခြင်းကို ခံရသောအခါ မေတ္တာပို့ ကြ၏။ ညှဉ်းဆဲ နှိပ်စက်ခြင်းကို ခံရသောအခါ သည်းခံ ကြ၏။
2e040d01b7	အသရေ ရှုတ်ချခြင်းကို ခံရသောအခါ တောင်းပန် ကြ၏။ ဤလောက ၏ အညစ်အကြေး ကဲ့သို့ ၎င်း၊ အရပ်ရပ် ထဲက လှည်းပစ်သော တန်မြက်ချေး အမှိုက် ကဲ့သို့၎င်း၊ ယခု တိုင်အောင် ဖြစ် ကြ၏။
