0100000008	Postanak
2a0117003c	I kad se navršiše dani njegove službe otide kući svojoj.
2a01180059	A posle ovih dana, zatrudne Jelisaveta žena njegova, i krijaše se pet meseci govoreći:
2a0119005a	Tako mi učini Gospod u dane ove u koje pogleda na me da me izbavi od ukora među ljudima.
2a011a004d	A u šesti mesec posla Bog anđela Gavrila u grad galilejski po imenu Nazaret
2a011b005e	k devojci isprošenoj za muža, po imenu Josifa iz doma Davidovog; i devojci beše ime Marija.
2a011c006a	I ušavši k njoj anđeo reče: Raduj se, blagodatna! Gospod je s tobom, blagoslovena si ti među ženama.
2a011d0055	A ona, videvši ga, poplaši se od reči njegove i pomisli: Kakav bi ovo bio pozdrav?
2a011e0043	I reče joj anđeo: Ne boj se, Marija! Jer si našla milost u Boga.
2a011f003c	I evo zatrudnećeš, i rodićeš Sina, i nadeni Mu ime Isus.
2a01200063	On će biti veliki, i nazvaće se Sin Najvišega, i daće Mu Gospod Bog presto Davida oca Njegovog;
2a0121004a	i carovaće u domu Jakovljevom vavek, i carstvu Njegovom neće biti kraja.
2a01220041	A Marija reče anđelu: Kako će to biti kad ja ne znam za muža?
2a012300a1	I odgovarajući anđeo reče joj: Duh Sveti doći će na tebe, i sila Najvišeg oseniće te; zato i ono što će se roditi biće sveto, i nazvaće se Sin Božji.
2a01240079	I evo Jelisaveta, tvoja tetka, i ona zatrudne sinom u starosti svojoj, i ovo je šesti mesec njoj, koju zovu nerotkinjom.
2a01250025	Jer u Boga sve je moguće što kaže.
2a0126005e	A Marija reče: Evo sluškinje Gospodnje; neka mi bude po reči tvojoj. I anđeo otide od nje.
2a01270046	A Marija ustavši onih dana, otide brzo u gornju zemlju, u grad Judin.
2a01280035	I uđe u kuću Zarijinu, i pozdravi se s Jelisavetom.
2a0129006b	I kad Jelisaveta ču čestitanje Marijino, zaigra dete u utrobi njenoj, i Jelisaveta se napuni Duha Svetog,
2a012a005e	i povika zdravo i reče: Blagoslovena si ti među ženama, i blagosloven je plod utrobe tvoje.
2a012b0032	I otkud meni ovo da dođe mati Gospoda mog k meni?
2a012c0059	Jer gle, kad dođe glas čestitanja tvog u uši moje, zaigra dete radosno u utrobi mojoj.
2a012d0044	I blago onoj koja verova, jer će se izvršiti šta joj kaza Gospod.
2a012e002b	I reče Marija: Veliča duša moja Gospoda;
2a012f0025	I obradova se duh moj Bogu Spasu mom,
2a01300062	Što pogleda na poniženje sluškinje svoje; jer gle, odsad će me zvati blaženom svi naraštaji;
2a01310034	Što mi učini veličinu silni, i sveto ime Njegovo;
2a0132003e	I milost je Njegova od kolena na koleno onima koji Ga se boje.
2a01330042	Pokaza silu rukom svojom; razasu ponosite u mislima srca njihovih.
2a0134002c	Zbaci silne s prestola, i podiže ponižene.
2a0135002d	Gladne napuni blaga, i bogate otpusti prazne.
2a01360032	Primi Izrailja, slugu svog, da se opomene milosti.
2a0137003f	Kao što govori ocima našim, Avraamu i semenu njegovom doveka.
2a0138003f	Marija pak sedi s njom oko tri meseca, i vrati se kući svojoj.
2a0139002e	A Jelisaveti dođe vreme da rodi, i rodi sina.
2a013a0067	I čuše njeni susedi i rodbina da je Gospod pokazao veliku milost svoju na njoj, i radovahu se s njom.
2a013b0056	I u osmi dan dođoše da obrežu dete, i hteše da mu nadenu ime oca njegovog, Zarija.
2a013c003b	I odgovarajući mati njegova reče: Ne, nego da bude Jovan.
2a013d003f	I rekoše joj: Nikoga nema u rodbini tvojoj da mu je takvo ime.
2a013e003b	I namigivahu ocu njegovom kako bi on hteo da mu nadenu ime.
2a013f004f	I zaiskavši daščicu, napisa govoreći: Jovan mu je ime. I začudiše se svi.
2a01400046	I odmah mu se otvoriše usta i jezik njegov i govoraše hvaleći Boga.
2a0141005a	I uđe strah u sve susede njihove; i po svoj gornjoj Judeji razglasi se sav ovaj događaj.
2a01420070	I svi koji čuše metnuše u srce svoje govoreći: Šta će biti iz ovog deteta? I ruka Gospodnja beše sa njim.
2a01430042	I Zarija otac njegov napuni se Duha Svetog, i prorokova govoreći:
2a01440041	Blagosloven Gospod Bog Jakovljev što pohodi i izbavi narod svoj,
2a01450034	I podiže nam rog spasenja u domu Davida sluge svog,
2a01460034	Kao što govori ustima svetih proroka svojih od veka
2a0147004b	Da će nas izbaviti od naših neprijatelja i iz ruku svih koji mrze na nas;
2a01480040	Učiniti milost ocima našim, i opomenuti se svetog zaveta svog,
2a01490037	Kletve kojom se kleo Avraamu ocu našem da će nam dati
2a014a0048	Da se izbavimo iz ruku neprijatelja svojih, i da mu služimo bez straha,
2a014b0034	I u svetosti i u pravdi pred Njim dok smo god živi.
2a014c006e	I ti, dete, nazvaćeš se prorok Najvišega; jer ćeš ići napred pred licem Gospodnjim da Mu pripraviš put;
2a014d0045	Da daš razum spasenja narodu njegovom za oproštenje greha njihovih,
2a014e0047	Po dubokoj milosti Boga našeg, po kojoj nas je pohodio istok s visine;
2a014f0055	Da obasjaš one koji sede u tami i u senu smrtnom; da uputiš noge naše na put mira.
2a01500057	A dete rastijaše i jačaše duhom, i beše u pustinji dotle dok se ne pokaza Izrailju.
2a0201004a	U to vreme pak iziđe zapovest od ćesara Avgusta da se prepiše sav svet.
2a02020034	Ovo je bio prvi prepis za vladanja Kirinova Sirijom.
2a02030031	I pođoše svi da se prepišu, svaki u svoj grad.
2a0204008c	Tada pođe i Josif iz Galileje, iz grada Nazareta u Judeju u grad Davidov koji se zvaše Vitlejem, jer on beše iz doma i plemena Davidovog,
2a02050049	da se prepiše s Marijom, isprošenom za njega ženom, koja beše trudna.
2a0206002a	I kad onamo behu, dođe vreme da ona rodi.
2a0207005c	I rodi Sina svog prvenca, i povi Ga, i metnu Ga u jasle; jer im ne beše mesta u gostionici.
2a02080046	I behu pastiri u onom kraju koji čuvahu noćnu stažu kod stada svog.
2a0209005d	I gle, anđeo Gospodnji stade među njima, i slava Gospodnja obasja ih; i uplašiše se vrlo.
2a020a005e	I reče im anđeo: Ne bojte se; jer gle, javljam vam veliku radost koja će biti svemu narodu.
2a020b0046	Jer vam se danas rodi spas, koji je Hristos Gospod, u gradu Davidovom.
2a020c003d	I eto vam znaka: Naći ćete dete povito gde leži u jaslama.
2a020d0057	I ujedanput postade s anđelom mnoštvo vojnika nebeskih, koji hvaljahu Boga govoreći:
2a020e0041	Slava na visini Bogu, i na zemlji mir, među ljudima dobra volja.
2a020f0095	I kad anđeli otidoše od njih na nebo, pastiri govorahu jedan drugom: Hajdemo do Vitlejema, da vidimo to što se tamo dogodilo šta nam kaza Gospod.
2a02100047	I dođoše brzo, i nađoše Mariju i Josifa i dete gde leži u jaslama.
2a02110038	A kad videše, kazaše sve što im je kazano za to dete.
2a0212003a	I svi koji čuše diviše se tome što im kazaše pastiri.
2a0213003a	A Marija čuvaše sve reči ove i slagaše ih u srcu svom.
2a02140063	I vratiše se pastiri slaveći i hvaleći Boga za sve što čuše i videše, kao što im bi kazano.
2a02150084	I kad se navrši osam dana da Ga obrežu, nadenuše Mu ime Isus, kao što je anđeo rekao dok se još nije bio ni zametnuo u utrobi.
2a0216006a	I kad dođe vreme da idu na molitvu po zakonu Mojsijevom, doneše Ga u Jerusalim da Ga metnu pred Gospoda,
2a02170070	(kao što je napisano u zakonu Gospodnjem: Da se svako dete muško koje najpre otvori matericu posveti Gospodu;)
2a0218005c	i da prinesu prilog, kao što je rečeno u zakonu Gospodnjem, dve grlice, ili dva golubića.
2a02190094	I gle, beše u Jerusalimu čovek po imenu Simeun, i taj čovek beše pravedan i pobožan, koji čekaše utehe Izrailjeve, i Duh Sveti beše u njemu.
2a021a0051	I njemu beše Sveti Duh kazao da neće videti smrt dok ne vidi Hrista Gospodnjeg.
2a021b006a	I kaza mu Duh te dođe u crkvu; i kad donesoše roditelji dete Isusa da svrše za Njega zakon po običaju,
2a021c0030	i on Ga uze na ruke svoje, i hvali Boga i reče:
2a021d003c	Sad otpuštaš s mirom slugu svog, Gospode, po reči svojoj;
2a021e0025	Jer videše oči moje spasenje Tvoje,
2a021f0028	Koje si ugotovio pred licem svih naroda,
2a0220003c	Videlo, da obasja neznabošce, i slavu naroda Tvog Izrailja.
2a02210043	I Josif i mati Njegova čuđahu se tome što se govoraše za Njega.
2a02220098	I blagoslovi ih Simeun, i reče Mariji, materi Njegovoj: Gle, Ovaj leži da mnoge obori i podigne u Izrailju, i da bude znak protiv koga će se govoriti
2a02230048	(a i tebi samoj probošće nož dušu), da se otkriju misli mnogih srca.
2a02240084	I beše Ana proročica, kći Fanuilova, od kolena Asirovog; ona je ostarela, a sedam je godina živela s mužem od devojaštva svog,
2a02250074	i udova oko osamdeset i četiri godine, koja ne odlažaše od crkve, i služaše Bogu dan i noć postom i molitvama.
2a0226006a	I ona u taj čas dođe, i hvaljaše Gospoda i govoraše za Njega svima koji čekahu spasenja u Jerusalimu.
2a02270055	I kad svršiše sve po zakonu Gospodnjem, vratiše se u Galileju u grad svoj Nazaret.
2a02280062	A dete rastijaše i jačaše u duhu, i punjaše se premudrosti, i blagodat Božija beše na Njemu.
2a02290045	I roditelji Njegovi iđahu svake godine u Jerusalim o prazniku pashe.
2a022a004b	I kad Mu bi dvanaest godina, dođoše oni u Jerusalim po običaju praznika;
2a022b0066	i kad dane provedoše i oni se vratiše, osta dete Isus u Jerusalimu; i ne znade Josif i mati Njegova;
2a022c0064	nego misleći da je s društvom, otidoše dan hoda, i stadoše Ga tražiti po rodbini i po znancima.
2a022d0037	I ne našavši Ga vratiše se u Jerusalim da Ga traže.
2a022e0058	I posle tri dana nađoše Ga u crkvi gde sedi među učiteljima, i sluša ih, i pita ih,
2a022f0040	i svi koji Ga slušahu divljahu se Njegovom razumu i odgovorima.
2a0230007e	I videvši Ga začudiše se, i mati Njegova reče Mu: Sine! Šta učini nama tako? Evo otac tvoj i ja sa strahom tražismo te.
2a0231005b	I reče im: Zašto ste me tražili? Zar ne znate da meni treba u onom biti što je Oca mog?
2a02320027	I oni ne razumeše reči što im reče.
2a0233006b	I siđe s njima i dođe u Nazaret; i beše im poslušan. I mati Njegova čuvaše sve reči ove u srcu svom.
2a0234004d	I Isus napredovaše u premudrosti i u rastu i u milosti kod Boga i kod ljudi.
2a030100e0	U petnaestoj godini vladanja ćesara Tiverija, kad beše Pontije Pilat sudija u Judeji, i Irod četvorovlasnik u Galileji, a Filip brat njegov četvorovlasnik u Itureji i u trahonitskoj, i Lisanija četvorovlasnik u Avilini,
2a03020055	za poglavara svešteničkih Ane i Kajafe, reče Bog Jovanu sinu Zarijinom u pustinji,
2a03030058	i dođe u svu okolinu jordansku propovedajući krštenje pokajanja za oproštenje greha;
2a03040093	kao što je napisano u knjizi reči proroka Isaije koji govori: Glas onog što viče u pustinji: Pripravite put Gospodnji; poravnite staze Njegove;
2a03050083	Sve doline neka se ispune, i sve gore i bregovi neka se slegnu; i šta je krivo neka bude pravo, i hrapavi putevi neka budu glatki;
2a03060029	I svako će telo videti spasenje Božije.
2a03070074	Jovan, pak, govoraše ljudima koji izlažahu da ih krsti: Porodi aspidini! Ko vam kaza da bežite od gneva koji ide?
2a03080096	Rodite dakle rodove dostojne pokajanja, i ne govorite u sebi: Oca imamo Avraama; jer vam kažem da Bog može i od ovog kamenja podignuti decu Avraamu.
2a0309006b	Jer već i sekira stoji drvetu kod korena; i svako drvo koje dobar rod ne rađa seče se i u oganj se baca.
2a030a0036	I pitahu ga ljudi govoreći: Šta ćemo dakle činiti?
2a030b0072	On pak odgovarajući reče im: Koji ima dve haljine neka da jednu onome koji nema; i ko ima hrane neka čini tako.
2a030c0051	Dođoše pak i carinici da ih krsti, i rekoše mu: Učitelju! Šta ćemo činiti?
2a030d003a	A on im reče: Ne tražite više nego što vam je rečeno.
2a030e009a	Pitahu ga pak i vojnici govoreći: A mi šta ćemo činiti? I reče im: Nikome da ne činite sile niti koga da opadate, i budite zadovoljni svojom platom.
2a030f005b	A kad narod beše u sumnji i pomišljahu svi u srcima svojim za Jovana: Da nije on Hristos?
2a031000bb	Odgovaraše Jovan svima govoreći: Ja vas krstim vodom; ali ide za mnom jači od mene, kome ja nisam dostojan odrešiti remen na obući Njegovoj; On će vas krstiti Duhom Svetim i ognjem.
2a03110076	On ima lopatu u ruci svojoj, i očistiće gumno svoje, i skupiće pšenicu svoju, a plevu će sažeći ognjem večnim.
2a03120031	I drugo mnogo koješta javlja narodu i napominja.
2a0313006b	Iroda pak četvorovlasnika koraše Jovan za Irodijadu, ženu brata njegovog, i za sva zla što učini Irod;
2a03140035	i svrh svega učini i to te zatvori Jovana u tamnicu.
2a03150054	A kad se krsti sav narod, i Isus pošto se krsti i moljaše se Bogu, otvori se nebo,
2a03160082	i siđe na Nj Duh Sveti u telesnom obliku kao golub, i ču se glas s neba govoreći: Ti si Sin moj ljubazni, Ti si po mojoj volji.
2a0317006b	I taj Isus imaše oko trideset godina kad poče; i beše, kao što se mišljaše, sin Josifa sina Ilijinog,
2a03180050	sina Matatovog, sina Levijevog, sina Melhijinog, sina Jenejevog, sina Josifovog,
2a03190050	sina Matatijinog, sina Amosovog, sina Naumovog, sina Eslijinog, sina Nangejevog,
2a031a004e	sina Maatovog, sina Matatijinog, sina Semejinog, sina Josifovog, sina Judinog,
2a031b0054	sina Joaninog, sina Risinog, sina Zorovaveljevog, sina Salatiilovog, sina Nirijinog,
2a031c003c	sina Melhijinog, sina Adijinog, sina Kosamovog, sina Irovog,
2a031d0052	sina Josijinog, sina Elijezerovog, sina Jorimovog, sina Matatovog, sina Levijevog,
2a031e0051	sina Simeunovog, sina Judinog, sina Josifovog, sina Jonanovog, sina Elijakimovog,
2a031f0050	sina Melejinog, sina Mainanovog, sina Matatinog, sina Natanovog, sina Davidovog,
2a0320004f	sina Jesejevog, sina Ovidovog, sina Voozovog, sina Salmonovog, sina Naasonovog,
2a0321004f	sina Aminadavovog, sina Aramovog, sina Esromovog, sina Faresovog, sina Judinog,
2a0322004f	sina Jakovljevog, sina Isakovog, sina Avraamovog, sina Tarinog, sina Nahorovog,
2a0323004c	sina Seruhovog, sina Ragavovog, sina Falekovog, sina Everovog, sina Salinog,
2a0324004f	sina Kainanovog, sina Arfaksadovog, sina Simovog, sina Nojevog, sina Lamehovog,
2a03250054	sina Matusalovog, sina Enohovog, sina Jaredovog, sina Maleleilovog, sina Kainanovog,
2a0326003a	sina Enosovog, sina Sitovog, sina Adamovog, sina Božijeg.
2a04010049	Isus pak pun Duha Svetog vrati se od Jordana, i odvede Ga Duh u pustinju,
2a04020065	i četrdeset dana kuša Ga đavo, i ne jede ništa za to dana; i kad se oni navršiše, onda ogladne,
2a04030046	i reče Mu đavo: Ako si Sin Božji, reci ovom kamenu da postane hleb.
2a0404006e	I odgovori mu Isus govoreći: U pismu stoji: Neće živeti čovek o samom hlebu, nego o svakoj reči Božijoj.
2a04050055	I izvedavši Ga đavo na goru visoku pokaza Mu sva carstva ovog sveta u trenuću oka,
2a0406006d	i reče Mu đavo: Tebi ću dati svu vlast ovu i slavu njihovu, jer je meni predana, i kome ja hoću daću je;
2a04070037	ti, dakle, ako se pokloniš preda mnom biće sve tvoje,
2a0408007a	i odgovarajući Isus reče mu: Idi od mene, sotono; u pismu stoji: Poklanjaj se Gospodu Bogu svom, i Njemu jedinom služi.
2a04090065	I odvede Ga u Jerusalim, i postavi Ga navrh crkve, i reče Mu: Ako si Sin Božji, skoči odavde dole;
2a040a004d	jer u pismu stoji da će anđelima svojim zapovediti za tebe da te sačuvaju,
2a040b003c	I uzeće te na ruke da gde ne zapneš za kamen nogom svojom.
2a040c0046	I odgovarajući Isus reče mu: Kazano je: Ne kušaj Gospoda Boga svog.
2a040d003e	I kad svrši đavo sve kušanje, otide od Njega za neko vreme.
2a040e0055	I vrati se Isus u sili duhovnoj u Galileju; i otide glas o Njemu po svemu onom kraju.
2a040f0037	I On učaše po zbornicama njihovim, i svi Ga hvaljahu.
2a0410006a	I dođe u Nazaret gde beše odrastao, i uđe po običaju svom u dan subotni u zbornicu, i ustade da čita.
2a04110055	I daše Mu knjigu proroka Isaije, i otvorivši knjigu nađe mesto gde beše napisano:
2a041200d1	Duh je Gospodnji na meni; zato me pomaza da javim jevanđelje siromasima; posla me da iscelim skrušene u srcu; da propovedim zarobljenima da će se otpustiti, i slepima da će progledati; da otpustim sužnje;
2a0413002a	I da propovedam prijatnu godinu Gospodnju.
2a04140049	I zatvorivši knjigu dade sluzi, pa sede: i svi u zbornici gledahu na Nj.
2a04150040	I poče im govoriti: Danas se izvrši ovo pismo u ušima vašim.
2a0416007a	I svi Mu svedočahu, i divljahu se rečima blagodati koje izlažahu iz usta Njegovih, i govorahu: Nije li ovo sin Josifov?
2a0417009c	I reče im: Vi ćete meni bez sumnje kazati ovu priču: Lekaru! Izleči se sam; šta smo čuli da si činio u Kapernaumu učini i ovde na svojoj postojbini.
2a0418004b	Reče pak: Zaista vam kažem: nikakav prorok nije mio na svojoj postojbini.
2a04190091	A zaista vam kažem: Mnoge udovice behu u Izrailju u vreme Ilijino kad se nebo zatvori tri godine i šest meseci i bi velika glad po svoj zemlji;
2a041a004f	i ni k jednoj od njih ne bi poslan Ilija do u Sareptu sidonsku k ženi udovici.
2a041b006a	I mnogi behu gubavi u Izrailju za proroka Jelisija; i nijedan se od njih ne očisti do Neemana Sirijanina.
2a041c0033	I svi se u zbornici napuniše gneva kad čuše ovo.
2a041d0079	I ustavši isteraše Ga napolje iz grada, i odvedoše Ga navrh gore gde beše njihov grad sazidan da bi Ga bacili odozgo.
2a041e0024	Ali On prođe između njih, i otide.
2a041f003b	I dođe u Kapernaum grad galilejski, i učaše ih u subote.
2a0420003d	I čuđahu se nauci Njegovoj; jer Njegova beseda beše silna.
2a0421004e	I u zbornici beše čovek u kome beše nečisti duh đavolski, i povika glasno
2a04220078	govoreći: Prođi se, šta je tebi do nas, Isuse Nazarećanine? Došao si da nas pogubiš? Znam Te ko si, Svetac Božji.
2a0423007d	I zapreti mu Isus govoreći: Umukni, i iziđi iz njega. I oborivši ga đavo na sredu, iziđe iz njega, i nimalo mu ne naudi.
2a04240083	I u sve uđe strah, i govorahu jedan drugom govoreći: Kakva je to reč, da vlašću i silom zapoveda nečistim duhovima, i izlaze?
2a0425002e	I otide glas o Njemu po svima okolnim mestima.
2a04260079	Ustavši, pak, iz zbornice dođe u kuću Simonovu; a taštu Simonovu beše uhvatila velika groznica, i moliše Ga za nju.
2a04270050	I stavši više nje zapreti groznici, i pusti je. I odmah ustade i služaše im.
2a04280095	A kad zahođaše sunce, svi koji imahu bolesnike od različnih bolesti, dovođahu ih k Njemu; a On na svakog od njih metaše ruke, i isceljivaše ih.
2a0429008a	A i đavoli izlažahu iz mnogih vičući i govoreći: Ti si Hristos Sin Božji. I zaprećivaše im da ne govore da znaju da je On Hristos.
2a042a0079	A kad nasta dan, iziđe i otide u pusto mesto; i narod Ga tražaše, i dođe k Njemu, i zadržavahu Ga da ne ide od njih.
2a042b006c	A On im reče: I drugim gradovima treba mi propovediti jevanđelje o carstvu Božijem; jer sam na to poslan.
2a042c0029	I propovedaše po zbornicama galilejskim.
2a05010066	Jedanput pak, kad narod naleže k Njemu da slušaju reč Božiju On stajaše kod jezera genisaretskog,
2a05020054	i vide dve lađe gde stoje u kraju, a ribari behu izišli iz njih i ispirahu mreže:
2a05030075	I uđe u jednu od lađa koja beše Simonova, i zamoli ga da malo odmakne od kraja; i sedavši učaše narod iz lađe.
2a05040056	A kad presta govoriti, reče Simonu: Hajde na dubinu, i bacite mreže svoje te lovite.
2a0505007e	I odgovarajući Simon reče Mu: Učitelju! Svu noć smo se trudili, i ništa ne uhvatismo: ali po Tvojoj reči baciću mrežu.
2a05060049	I učinivši to uhvatiše veliko mnoštvo riba, i mreže im se prodreše.
2a05070086	I namagoše na društvo koje beše na drugoj lađi da dođu da im pomognu; i dođoše, i napuniše obe lađe tako da se gotovo potope.
2a0508006f	A kad vide Simon Petar, pripade ka kolenima Isusovim govoreći: Iziđi od mene, Gospode! Ja sam čovek grešan.
2a05090057	Jer beše ušao strah u njega i u sve koji behu s njim od mnoštva riba koje uhvatiše;
2a050a0085	a tako i u Jakova i Jovana, sinove Zevedejeve, koji behu drugovi Simonovi. I reče Isus Simonu: Ne boj se; odsele ćeš ljude loviti.
2a050b0043	I izvukavši obe lađe na zemlju ostaviše sve, i otidoše za Njim.
2a050c009e	I kad beše Isus u jednom gradu, i gle, čovek sav u gubi: i videvši Isusa pade ničice moleći Mu se i govoreći: Gospode! Ako hoćeš možeš me očistiti.
2a050d0058	I pruživši ruku dohvati ga se. I reče: Hoću, očisti se. I odmah guba spade s njega.
2a050e009e	I On mu zapovedi da nikom ne kazuje: Nego idi i pokaži se svešteniku, i prinesi dar za očišćenje svoje, kako je zapovedio Mojsije za svedočanstvo njima.
2a050f0080	Ali se glas o Njemu još većma razlažaše, i mnoštvo naroda stecaše se da Ga slušaju i da ih isceljuje od njihovih bolesti.
2a0510002e	A On odlažaše u pustinju i moljaše se Bogu.
2a051100a4	I jedan dan učaše On, i onde seđahu fariseji i zakonici koji behu došli iz sviju sela galilejskih i judejskih i iz Jerusalima; i sila Gospodnja isceljivaše ih.
2a05120060	I gle, ljudi donesoše na odru čoveka koji beše uzet, i tražahu da ga unesu i metnu preda Nj;
2a05130075	i ne našavši kuda će ga uneti od naroda, popeše se na kuću i kroz krov spustiše ga s odrom na sredu pred Isusa.
2a05140049	I videvši veru njihovu reče mu: Čoveče! Opraštaju ti se gresi tvoji.
2a05150083	I počeše pomišljati književnici i fariseji govoreći: Ko je ovaj što huli na Boga? Ko može opraštati grehe osim jednog Boga?
2a05160058	A kad razume Isus pomisli njihove, odgovarajući reče im: Šta mislite u srcima svojim?
2a0517004d	Šta je lakše reći: Opraštaju ti se gresi tvoji? Ili reći: Ustani i hodi?
2a05180090	Nego da znate da vlast ima Sin čovečiji na zemlji opraštati grehe, (reče uzetome:) tebi govorim: ustani i uzmi odar svoj i idi kući svojoj.
2a05190057	I odmah ustade pred njima, i uze na čemu ležaše, i otide kući svojoj hvaleći Boga.
2a051a0064	I svi se zaprepastiše, i hvaljahu Boga, i napunivši se straha govorahu: Čuda se nagledasmo danas!
2a051b005e	I potom iziđe, i vide carinika po imenu Levija gde sedi na carini, i reče mu: Hajde za mnom.
2a051c0029	I ostavivši sve, ustade i pođe za Njim.
2a051d0071	I zgotovi Mu Levije kod kuće svoje veliku čast; i beše mnogo carinika i drugih koji seđahu s Njim za trpezom.
2a051e007b	I vikahu na Njega književnici i fariseji govoreći učenicima Njegovim: Zašto s carinicima i grešnicima jedete i pijete?
2a051f0045	I odgovarajući Isus reče im: Ne trebaju zdravi lekara nego bolesni.
2a05200042	Ja nisam došao da dozovem pravednike nego grešnike na pokajanje.
2a0521006f	A oni Mu rekoše: Zašto učenici Jovanovi poste često i mole se Bogu, tako i farisejski; a tvoji jedu i piju?
2a0522004a	A On im reče: Možete li svatove naterati da poste dok je ženik s njima?
2a05230053	Nego će doći dani kad će se oteti od njih ženik, i onda će postiti u one dane.
2a0524008c	Kaza im pak i priču: Niko ne meće zakrpe od nove haljine na staru haljinu, inače će i novu razdreti, i staroj ne liči šta je od novog.
2a0525006c	I niko ne lije vino novo u mehove stare; inače prodre novo vino mehove i ono se prolije, i mehovi propadnu;
2a05260042	nego vino novo u mehove nove treba liti, i oboje će se sačuvati.
2a05270040	I niko pivši staro neće odmah novog; jer veli: Staro je bolje.
2a0601008a	Dogodi Mu se pak u prvu subotu po drugom danu pashe da iđaše kroz useve, i učenici Njegovi trgahu klasje, i satirahu rukama te jeđahu.
2a0602004d	A neki od fariseja rekoše im: Zašto činite šta ne valja činiti u subotu?
2a0603006a	I odgovarajući Isus reče im: Zar niste čitali ono što učini David kad ogladne, on i koji behu s njim?
2a06040099	Kako uđe u kuću Božiju, i uze hlebove postavljene i izjede, i dade ih onima što behu s njim, kojih nikome ne valjaše jesti osim jedinih sveštenika.
2a06050033	I reče im: Sin je čovečiji Gospodar i od subote.
2a0606006b	A dogodi se u drugu subotu da On uđe u zbornicu i učaše, i beše onde čovek kome desna ruka beše suva.
2a06070055	Književnici pak i fariseji gledahu za Njim neće li u subotu isceliti, da Ga okrive.
2a06080071	A On znaše pomisli njihove, i reče čoveku koji imaše suvu ruku: Ustani i stani na sredu. A on ustade i stade.
2a06090078	A Isus reče im: Da vas zapitam: Šta valja u subotu činiti, dobro ili zlo? Održati dušu ili pogubiti? A oni ćutahu.
2a060a0069	I pogledavši na sve njih reče mu: Pruži ruku svoju. A on učini tako; i ruka posta zdrava kao i druga.
2a060b0050	A oni se svi napuniše bezumlja, i govorahu jedan drugom šta bi učinili Isusu.
2a060c0058	Tih, pak, dana iziđe na goru da se pomoli Bogu; i provede svu noć na molitvi Božijoj.
2a060d005c	I kad bi dan, dozva učenike svoje, i izabra iz njih dvanaestoricu, koje i apostolima nazva:
2a060e005b	Simona, koga nazva Petrom, i Andriju brata njegovog, Jakova i Jovana, Filipa i Vartolomija,
2a060f003a	Mateja i Tomu, Jakova Alfejevog i Simona prozvanog Zilota,
2a06100038	Judu Jakovljevog, i Judu Iskariotskog, koji Ga i izdade.
2a0611009b	I izišavši s njima stade na mestu ravnom, i gomila učenika Njegovih; i mnoštvo naroda iz sve Judeje i iz Jerusalima, i iz primorja tirskog i sidonskog,
2a06120073	koji dođoše da Ga slušaju i da se isceljuju od svojih bolesti, i koje mučahu duhovi nečisti; i isceljivahu se.
2a0613005b	I sav narod tražaše da Ga se dotaknu; jer iz Njega izlažaše sila i isceljivaše ih sve.
2a06140076	I On podignuvši oči na učenike svoje govoraše: Blago vama koji ste siromašni duhom; jer je vaše carstvo Božije.
2a0615006c	Blago vama koji ste gladni sad; jer ćete se nasititi. Blago vama koji plačete sad; jer ćete se nasmejati.
2a06160074	Blago vama kad na vas ljudi omrznu i kad vas rastave i osramote, i razglase ime vaše kao zlo Sina radi čovečijeg.
2a06170076	Radujte se u onaj dan i igrajte, jer gle, vaša je velika plata na nebu. Jer su tako činili prorocima očevi njihovi.
2a06180039	Ali teško vama bogati; jer ste već primili utehu svoju.
2a0619006b	Teško vama siti sad; jer ćete ogladneti. Teško vama koji se smejete sad; jer ćete zaplakati i zaridati.
2a061a0069	Teško vama kad stanu svi dobro govoriti za vama; jer su tako činili i lažnim prorocima očevi njihovi.
2a061b0060	Ali vama kažem koji slušate: ljubite neprijatelje svoje, dobro činite onima koji na vas mrze;
2a061c004b	blagosiljajte one koji vas kunu, i molite se Bogu za one koji vas vređaju.
2a061d0062	Koji te udari po obrazu, okreni mu i drugi; i koji hoće da ti uzme kabanicu, podaj mu i košulju.
2a061e0040	A svakome koji ište u tebe, podaj; i koji tvoje uzme, ne išti.
2a061f003c	I kako hoćete da čine vama ljudi činite i vi njima onako.
2a06200060	I ako ljubite one koji vas ljube, kakva vam je hvala? Jer i grešnici ljube one koji njih ljube.
2a06210060	I ako činite dobro onima koji vama dobro čine, kakva vam je hvala? Jer i grešnici čine tako.
2a06220090	I ako dajete u zajam onima od kojih se nadate da ćete uzeti, kakva vam je hvala? Jer i grešnici grešnicima daju u zajam da uzmu opet onoliko.
2a062300ba	Ali, ljubite neprijatelje svoje, i činite dobro, i dajte u zajam ne nadajući se ničemu; i biće vam velika plata, i bićete sinovi Najvišega, jer je On blag i neblagodarnima i zlima.
2a06240038	Budite dakle milostivi kao i Otac vaš što je milostiv.
2a0625006b	I ne sudite, i neće vam suditi; i ne osuđujte, i nećete biti osuđeni; opraštajte, i oprostiće vam se.
2a06260091	Dajte, i daće vam se: meru dobru i nabijenu i stresenu i prepunu daće vam u naručje vaše. Jer kakvom merom dajete onakvom će vam se vratiti.
2a0627004b	I kaza im priču: Može li slepac slepca voditi? Neće li oba pasti u jamu?
2a0628005e	Nema učenika nad učiteljem svojim, nego i sasvim kad se izuči, biće kao i učitelj njegov.
