0100000006	Senesi
3a0b2300ba	Naʻe maʻu ʻe he kau fefine ʻenau mate kuo fokotuʻu moʻui: pea naʻe fakamamahi ʻae niʻihi, ʻo ʻikai te nau tali ʻae fakahaofia; kaekehe kenau lavaʻi ʻae toetuʻu lelei hake:
3a0b240083	Pea naʻe tō ki he niʻihi ʻae ʻahiʻahi ʻoe ngaahi manuki mo e kauʻimaea, ʻio, ʻoe ngaahi haʻi mo e nofo fale fakapōpula:
3a0b2500f4	Naʻe tolongaki ʻaki ʻae maka ʻakinautolu, naʻe kilisi ʻo fahiua ʻakinautolu, naʻe ʻahiʻahiʻi, naʻe tāmateʻi ʻaki ʻae heletā: naʻa nau ʻalu fano ʻi he kiliʻi sipi mo e kiliʻi kosi; kuo masiva, kuo mamahi, kuo ngaohikoviʻi;
3a0b2600a5	(ʻAkinautolu naʻe ʻikai taau mo māmani ke maʻu:) naʻa nau ʻalu fano ʻi he ngaahi toafa, mo e ngaahi moʻunga, pea ʻi he ngaahi ʻana mo e luo ʻoe kelekele.
3a0b270071	Pea ko e tui naʻe maʻu ai ʻekinautolu ni kotoa pē ʻae ongoongolelei, ka naʻe ʻikai lavaʻi ʻae talaʻofa:
3a0b28008c	Ko e meʻa ʻi he teuteu ʻe he ʻOtua ʻae meʻa lelei hake moʻotautolu, ke ʻoua naʻa fakahaohaoa ʻakinautolu taʻekau ai ʻakitautolu.
3a0c010109	Ko ia, ko e meʻa ʻi he kāpui ʻakitautolu ʻe he ʻao ʻoe kau fakamoʻoni tokolahi pehē, ke tau siʻaki foki ʻae meʻa mamafa kotoa pē, mo e angahala ʻoku [tau] moʻuangofua ki ai, pea tau feleleʻi ʻi he fakakukafi ʻae fakapuepue kuo tofi ʻi hotau ʻao.
3a0c02010f	‌ʻO sio pe kia Sisu ko e kamataʻanga mo e ngataʻanga ʻoe tui; ʻaia ne ne kātaki ʻae pekia ʻi he ʻakau, mo ne taʻetokanga ki he fakamā, ko e meʻa ʻi he fiefia naʻe tuku ʻi hono ʻao, pea kuo nofo eni ʻi he nima toʻomataʻu ʻoe ʻafioʻanga ʻoe ʻOtua.
3a0c030086	Ke mou tokangaʻi ia naʻa ne kātaki ʻae angatuʻu pehē mei he kau angahala kiate ia, telia naʻa mou fiu mo vaivai ʻi homou loto.
3a0c040053	‌ʻOku teʻeki ai ke mou fekuki ʻo aʻu ki he mate, ʻi he fekuki mo e angahala.
3a0c0500d3	Pea kuo ngalo ʻiate kimoutolu ʻae akonaki ʻaia ʻoku pehē kiate kimoutolu, ʻo hangē ko e fānau, “Hoku foha, ʻoua naʻa ke taʻetokangaʻi ʻae tautea mei he ʻEiki, pe vaivai ʻi heʻene valokiʻi koe:
3a0c060072	He ko ia ʻoku ʻofa ki ai ʻae ʻEiki ʻoku ne tautea, pea ʻoku ne teʻia ʻae foha kotoa pē ʻoku ne maʻu.”
3a0c0700ac	Kapau te mou kātaki ʻae tautea, pea ʻoku fai ai ʻe he ʻOtua kiate kimoutolu ʻo taau mo e ngaahi foha; he ko e foha fē ia ʻaia ʻoku ʻikai ke tauteʻi ʻe he tamai?
3a0c0800a0	Pea kapau ʻoku ʻikai tautea ʻakimoutolu, ʻaia ʻoku totofu ai kotoa pē, pea ta ko e tupu feʻauaki ʻakimoutolu, pea ʻoku ʻikai moʻoni ko e ngaahi foha.
3a0c0900bf	Kaeʻumaʻā naʻe tautea ʻakitautolu ʻe he ngaahi tamai ʻo hotau sino, pea tau fakaʻapaʻapa ki ai: ʻe ʻikai lahi muʻa ʻetau fakavaivai ki he Tamai ʻoe ngaahi laumālie, pea moʻui?
3a0c0a00a2	He ko e moʻoni naʻa nau tautea ʻo faʻiteliha pe ʻakinautolu ʻi he ʻaho siʻi pe; ka ʻoku fai ʻe ia ke ʻaonga, ke [tau] kau ai ʻi heʻene māʻoniʻoni.
3a0c0b00a4	Ko eni, ʻoku ʻikai ha fiefia lolotonga ha tautea, ka ko e mamahi: hili ange ia ʻoku tupu ʻae fua fakamelino ʻoe māʻoniʻoni kiate kinautolu kuo akonekina ai.
3a0c0c0047	Ko ia ke poupou hake ʻae nima kuo tāupe, mo e foʻi tui ʻoku vaivai;
3a0c0d0076	Pea ngaohi ʻae ʻaluʻanga totonu ki homou vaʻe, telia naʻa fakahēʻi ʻaia ʻoku pipiki; kae fakamoʻui muʻa ia.
3a0c0e0094	Tuli ke mou melino mo e kakai kotoa pē, pea ki he māʻoniʻoni, ʻaia ka ʻikai maʻu, ʻe ʻikai mamata ʻe ha tangata ʻe tokotaha ki he ʻEiki:
3a0c0f00b6	‌ʻO vakavakai lahi telia naʻa tomui ha taha ʻi he ʻaloʻofa ʻae ʻOtua; telia naʻa ai ha aka kona ʻe tupu pea fakamamahiʻi ai [ʻakimoutolu], pea ʻuliʻi ai ʻae tokolahi;
3a0c1000a6	Telia naʻa ai ha taha feʻauaki pe ha manuki ʻoe meʻa tapu, ʻo hangē ko ʻIsoa, ʻaia naʻa ne fakatau hono lelei ʻoe ʻuluaki foha ʻaki ʻae meʻakai pe taha.
3a0c1100c0	He ʻoku mou ʻilo ʻi he hili ia, pea ne fiemaʻu ʻae tāpuaki, naʻe tekeʻi ia: he naʻe ʻikai te ne ʻilo ke liliu ʻaki hono loto, neongo ʻa ʻene kumi ia ʻi he feinga mo e loʻimata.
3a0c12008f	He ʻoku ʻikai ke mou hoko ni ki he moʻunga ʻe faʻa alasi, ʻaia ne vela ʻaki ʻae afi, pea ki he ʻuliʻuli, mo e fakapoʻuli, mo e afā,
3a0c130096	Pea mo e pā mai ʻoe meʻa lea mo e ongo ʻoe ngaahi lea; ʻaia naʻe kole ai ʻakinautolu naʻe fanongo ke ʻoua naʻa toe leaʻaki kiate kinautolu:
3a0c1400be	(He naʻe ʻikai te nau faʻa tali ʻaia naʻe fekau mai, “Pea naʻa mo e manu kapau ʻe lave ki he moʻunga, ʻe tolongaki ia ʻaki ʻae maka, pe hokaʻi ke ʻasi ʻaki ʻae foʻi tao:”
3a0c150083	Pea ko hono fakailifia fau ʻoe meʻa naʻe hā mai, naʻe pehē ai ʻe Mōsese, “ʻOku ou mātuʻaki manavahē, mo tetetete:”)
3a0c1600aa	Ka kuo mou hoko ni ki he moʻunga ko Saione, ki he kolo ʻoe ʻOtua moʻui, ki he Selūsalema mei he langi, pea ki he fakataha ʻoe kau ʻāngelo tokolahi taʻefaʻalaua.
3a0c170050	Ki he fakatahaʻanga lahi, pea ko e siasi ʻoe tangata angatonu kuo fakahaohaoa,
3a0c1800a0	Pea kia Sisu ko e fakalaloa ʻoe fuakava foʻou, pea ki he taʻataʻa ʻoku luluku, ʻaia ʻoku leaʻaki ʻae ngaahi meʻa lelei lahi ʻi [he toto ʻo] ʻEpeli.
3a0c1900e4	Vakai ke ʻoua naʻa mou taʻetokangaʻi ia ʻoku folofola. He kapau naʻe ʻikai hao ʻakinautolu naʻe taʻetokangaʻi ia naʻe lea ʻi māmani, ʻe fēfeeʻi ʻakitautolu, ʻo kapau te tau tafoki meiate ia ʻoku mei he langi?
3a0c1a00bd	‌ʻAia naʻe lulululu ʻa māmani ʻe hono leʻo ʻi he kuonga ko ia: ka kuo talaʻofa eni, ʻo pehē, “Ko e toe taha teu lulululu kae ʻikai ngata ki māmani pe, ka ko e langi foki.”
3a0c1b00cf	Pea ko e pehē, “Ko e toe taha,” ko e fakahā ʻoe hiki ʻoe ngaahi meʻa ko ia kuo luluʻi, ʻo taau mo e ngaahi meʻa kuo ngaohi, koeʻuhi ke tuʻumaʻu pe ʻae ngaahi meʻa ʻoku ʻikai faʻa luluʻi.
3a0c1c00b8	Ko ia ʻi heʻetau maʻu ʻae puleʻanga, ʻe ʻikai faʻa luluʻi, ke tau kuku maʻu mo e ʻofa, ʻaia ke tau tauhi ʻaki ʻae ʻOtua ke ʻaonga, ʻi he fakaʻapaʻapa mo e manavahē:
3a0c1d0028	He ko e afi fakaʻauha ʻa hotau ʻOtua.
3a0d010031	Ke tuʻumaʻu pe ʻae feʻofoʻofani fakakāinga.
3a0d020077	‌ʻOua naʻa ngalo ke fakaafe ʻae kakai muli: he kuo fakaafe ai ʻe he niʻihi ʻae kau ʻāngelo ʻi he taʻeʻilo.
3a0d0300a6	Manatuʻi ʻakinautolu ʻoku moʻua ʻi he haʻi, ʻo hangē kuo haʻisia mo kimoutolu; mo kinautolu ʻoku ngaohikoviʻi, ʻo hangē ko hoʻomou kei ʻi he sino foki.
3a0d04009b	Ko e fakamaʻu mali mo e mohenga taʻeʻuliʻi, ʻoku lelei ia ki he kakai kotoa pē, ka koe kau feʻauaki mo e kau tono fefine ʻe fakamaau ʻe he ʻOtua.
3a0d0500c1	Ke taʻemanumanu [hoʻomou] ʻulungāanga; pea mou fiemālie ʻi he ngaahi meʻa ʻoku mou maʻu: he kuo pehē mai ʻe ia, “E ʻikai te u liʻaki koe, pea ʻe ʻikai te u ʻalu ʻiate koe.”
3a0d06008b	Ko ia ʻoku tau lea mālohi ai, “Ko hoku tokoni ʻae ʻEiki pea ʻe ʻikai te u manavahē ki ha meʻa ʻe fai ʻe he tangata kiate au.”
3a0d0700cc	Manatuʻi ʻa homou kau fakahinohino, ʻakinautolu naʻe leaʻaki ʻae folofola ʻae ʻOtua kiate kimoutolu, pea faʻifaʻitaki ki heʻenau tui, ʻo fakatokanga ki he ngataʻanga ʻo ʻenau ʻulungāanga.
3a0d08004b	Ko Sisu Kalaisi ʻoku tatau ʻi he ʻaneafi, mo e ʻaho ni, pea taʻengata.
3a0d0900ff	Ke ʻoua naʻa feʻaveʻaki fano ʻakimoutolu ʻe he ngaahi akonaki ʻoku kehekehe hono anga mo foʻou. He ko e meʻa lelei ke tuʻumaʻu ʻae loto ʻi he ʻofa; ʻikai ʻi he ngaahi meʻakai, ʻaia naʻe ʻikai ʻaonga kiate kinautolu naʻe moʻua ki ai.
3a0d0a007b	‌ʻOku ai ʻetau ʻesifeilaulau, ʻaia ʻoku ʻikai totonu ke kai mei ai ʻekinautolu ʻoku tauhi ʻi he fale fehikitaki.
3a0d0b00ab	Kaeʻumaʻā ia, ʻoku tutu ʻi tuaʻā kolo ʻae sino ʻoe fanga manu ko ia, ʻaia ʻoku ʻomi honau toto ʻe he taulaʻeiki lahi ki he potu tapu, koeʻuhi ko e angahala.
3a0d0c0082	Ko ia naʻe mamahi foki ʻa Sisu, ʻi he tuaʻā kolo, koeʻuhi ke ne fakamāʻoniʻoni ʻae kakai ʻaki hono taʻataʻa ʻoʻona.
3a0d0d0044	Ko ia ke tau ʻalu atu kiate ia kituaʻā kolo, ʻo fua hono manuki.
3a0d0e006a	He ʻoku ʻikai maʻu ʻekitautolu ʻi heni ha kolo ʻe tuʻumaʻu, ka ʻoku tau kumi ki ha taha ʻe hoko.
3a0d0f00a3	Ko ia ke tau ʻatu ʻiate ia ʻae feilaulau ʻoe fakafetaʻi ki he ʻOtua ʻo maʻuaipē, ʻaia ko e fua ʻoe loungutu ʻoka atu ai ʻae fakafetaʻi ki hono huafa.
3a0d100073	Ka ko e fai lelei, mo e foaki, ke ʻoua naʻa ngalo: he ko e ngaahi feilaulau pehē ʻoku leleiʻia ai ʻae ʻOtua.
3a0d110107	Mou talangofua kiate kinautolu ʻoku fakahinohino ʻakimoutolu, pea mou fakavaivai: he ʻoku nau leʻohi homou laumālie, he te nau fakamatala ki ai, pea koeʻuhi ke nau fai ia ʻi he fiefia, kaeʻoua naʻa ʻi he mamahi: he ʻoku taʻeʻaonga ia kiate kimoutolu.
3a0d12008f	Hūfia ʻakimautolu: he ʻoku mau ʻilo kuo ʻiate kimautolu ʻae ʻatamai lelei, pea ʻoku mau loto ke moʻui angatonu ʻi he meʻa kotoa pē.
3a0d130058	Ka ʻoku ou kole ke mou tokanga lahi ki ai, koeʻuhi ke tuku au ke vave kiate kimoutolu.
3a0d1400a8	Ko eni, ko e ʻOtua ʻoe monūʻia, naʻa ne toe ʻomi mei he pekia ʻa hotau ʻEiki ko Sisu, ko e tauhi lahi ʻoe fanga sipi ʻi he taʻataʻa ʻoe fuakava taʻengata.
3a0d1500fe	‌ʻOfa ke ne ngaohi ʻakimoutolu ke mou haohaoa ʻi he ngaue lelei kotoa pē, ke fai hono finangalo, ʻo ne fai ʻiate kimoutolu ʻaia ʻoku lelei ʻi hono ʻao, ʻia Sisu Kalaisi; ke ʻiate ia ʻae ongoongolelei ʻo taʻengata pea taʻengata. ʻEmeni.
3a0d160096	Pea ʻoku ou kole kiate kimoutolu, ʻe kāinga, mou tali ʻae lea ʻoe akonaki ni: he kuo u tohi ʻae tohi kiate kimoutolu ʻi he ngaahi lea siʻi pe.
3a0d17007c	‌ʻOku mou ʻilo kuo mamaʻo atu hotau kāinga ko Timote; ʻa ia, ka vave ʻene haʻu, te ma mamata mo ia kiate kimoutolu.
3a0d1800ad	‌ʻOfa atu kiate kinautolu kotoa pē ʻoku fakahinohino ʻakimoutolu, mo e kāinga māʻoniʻoni kotoa pē. ʻOku ʻofa atu kiate kimoutolu kotoa ʻakinautolu ʻi ʻItali.
3a0d190037	Ke ʻiate kimoutolu kotoa pē ʻae ʻaloʻofa. ʻEmeni.
3b00000006	Semisi
3b01010092	Ko au Semisi, ko e tamaioʻeiki ʻae ʻOtua, pea mo e ʻEiki ko Sisu Kalaisi, ki he faʻahinga ʻe hongofulu ma ua kuo fakahē mamaʻo, ʻofa atu.
3b0102006e	‌ʻE hoku kāinga, ʻoka mou ka tō ki he ngaahi ʻahiʻahi kehekehe, ui ia kotoa pē ko e meʻa fakafiefia;
3b01030052	‌ʻO ʻilo, ko e ʻahiʻahiʻi ʻo hoʻomou tui, ʻoku ne fakatupu ʻae kātaki.
3b01040076	Kae tuku ʻae kātaki ke ngāue ki he haohaoa, koeʻuhi ke mou haohaoa mo māʻopoʻopo, ʻo taʻemasiva ʻi ha meʻa.
3b010500af	Ka ai hamou taha ʻoku masiva ʻi he poto, ke kole ʻe ia ki he ʻOtua, ʻaia ʻoku ne foaki lahi ki he kakai kotoa pē, pea ʻoku ʻikai valokiʻi; pea ʻe foaki ia kiate ia.
3b010600b2	Ka ʻe lelei ʻene kole ʻi he tui, ʻo taʻefakataʻetaʻetui. He ko ia ʻoku fakataʻetaʻetui ʻoku hangē ia ko e peau ʻoe tahi ʻoku fakateka mo feliliʻaki ʻe he matangi.
3b01070053	Ke ʻoua naʻa mahalo ʻe he tangata ko ia ʻe maʻu ʻe ia ha meʻa mei he ʻEiki.
3b0108004a	Ko e tangata ʻoku lotolotoua, ʻoku taʻemaau ʻi heʻene anga kotoa pē.
3b01090037	Ke fiefia ʻae tokoua ʻoku masiva ʻi hono hakeakiʻi:
3b010a006a	Ka ko e maʻumeʻa, ʻi hono fakaangavaivaiʻi: koeʻuhi ʻe mole atu ia ʻo hangē ko e fisi ʻoe mohuku.
3b010b00e0	He ʻoku ʻalu hake ʻae laʻā mo e vela lahi, pea ne fakamae ʻae mohuku, pea ngangana ai hono fisi ʻoʻona, pea ʻauha mo e fakaʻofoʻofa ʻo hono ngaohi: ʻe pehē foki ʻae ʻauha ʻoe tangata koloaʻia mei hono hala.
3b010c00d4	‌ʻOku monūʻia ʻae tangata ʻoku ne kātaki ʻae ʻahiʻahi: he ʻoka ʻilo ia ʻoku lelei, ʻe maʻu ʻe ia ʻae pale ʻoe moʻui, ʻaia kuo talaʻofa ki ai ʻae ʻEiki kiate kinautolu ʻoku ʻofa kiate ia.
3b010d00e0	Ke ʻoua naʻa pehē ʻe ha taha ʻoka ʻahiʻahi [koviʻi] ia, Kuo ʻahiʻahi [koviʻi] au ʻe he ʻOtua: he ʻoku ʻikai faʻa ʻahiʻahiʻi ʻae ʻOtua ʻe he kovi, pea ʻoku ʻikai ʻahiʻahi[koviʻi] ʻe ia ha tokotaha:
3b010e0069	Ka kuo ʻahiʻahi [koviʻi] ʻae tangata, ʻaia kuo takiekina, pea fakaoloolo, ʻe heʻene holi ʻaʻana.
3b010f007b	Pea ʻoka tuituʻia ʻae holi kovi, ʻoku fanauʻi ko e angahala: pea ka kakato ʻae angahala, ʻoku fanauʻi ai ʻae mate.
3b01100032	‌ʻE hoku kāinga ʻofeina, ʻoua naʻa mou hē.
3b011100cd	Ko e foaki lelei kotoa pē mo e foaki haohaoa kotoa pē ʻoku mei ʻolunga, pea ʻoku ʻalu hifo ia mei he Tamai ʻoe ngaahi maama, ʻaia ʻoku ʻikai ʻi ai ha fetoʻoaki, pe ko e ʻata ʻae feliliuʻaki.
3b0112009c	Pea ko hono finangalo pe ʻoʻona naʻa ne fakatupu ai ʻakitautolu ʻaki ʻae folofola ʻoe moʻoni, koeʻuhi ke tau hoko ko e ʻuluaki fua ʻi hono kakai.
3b01130089	Ko ia, ko hoku kāinga ʻofeina, ke fakavave ʻae tangata kotoa pē ki he fanongo, pea fakatuotuai ki he lea, ʻo fakatotoka ki he ʻita:
3b01140055	He ʻoku ʻikai ke fakatupu ʻae māʻoniʻoni ʻoe ʻOtua ʻe he ʻita ʻae tangata.
3b011500af	Ko ia mou liʻaki ʻae ʻuli kotoa pē pea mo hono lahi fau ʻoe angahala, pea tali ʻi he angavaivai ʻae folofola kuo tō, ʻaia ʻoku mālohi ke fakamoʻui homou laumālie.
3b0116006c	Ka ke fai ʻekimoutolu ki he folofola, pea ʻoua naʻa ngata ʻi he fanongo, ʻo mou kākaaʻi ʻakimoutolu.
3b01170097	He kapau ʻoku fanongo ʻe ha taha ki ne folofola, kae ʻikai fai, ʻoku tatau ia mo ha taha ʻoku ne fakasio ki he mata ʻo hono sino ʻi ha sioʻata:
3b0118005e	He ʻoku ne fakasio kiate ia, pea ʻalu, pea ngalo leva ʻiate ia pe ʻoku matamata fēfē ia.
3b011900d4	Ka ko ia ʻoku sio fakamamaʻu ki he fono haohaoa ʻoe tauʻatāina, pea fai maʻuaipē ki ai, pea ʻoku ʻikai fanongo mo ngalo, ka ʻoku fai ʻe ia ʻae ngāue, ʻe monūʻia ʻae tangata ni ʻi heʻene ngāue.
3b011a00b9	Kapau ʻoku ai ha taha ʻiate kimoutolu ʻoku ne mahalo ko e lotu ia, kae ʻikai taʻofi hono ʻelelo, kae kākaaʻi hono loto ʻoʻona, ʻoku taʻeʻaonga ʻae lotu ʻae tangata ko ia.
3b011b00f3	Ko e lotu māʻoniʻoni mo taʻehanomele ʻi he ʻao ʻoe ʻOtua ko e Tamai, ko eni ia, Ke ʻaʻahi ki he ngaahi tamai mate mo e kau fefine kuo mate honau husepāniti, ʻi heʻenau mamahi, pea ke fakaʻehiʻehi ia mei māmani ke taʻehanomele.
3b02010085	‌ʻE hoku kāinga, ʻoua naʻa mou maʻu ʻi he filifilimānako ki he kakai, ʻae tui ʻa hotau ʻEiki nāunauʻia ko Sisu Kalaisi.
3b0202009f	He kapau ʻe hū mai ki homou falelotu ha taha ʻoku ai ha mama koula ʻi hono nima, pea ai mo e kofu lelei, pea hū mai foki mo ha taha masiva mo e kofu kovi;
3b020300d3	Pea mou tokangaʻi ia ʻoku ne ʻai ʻae kofu lelei, mo pehē kiate ia, “Nofo koe ki heni ʻi he potu lelei;” kae pehē ki he masiva, “Tuʻu koe ki hena,” pe, “Nofo heni ʻi lalo hoku tuʻungavaʻe:”
3b02040060	‌ʻIkai ʻoku mou filifilimānako ʻiate kimoutolu, pea hoko ai ko e kau fakamaau mahalo kovi?
3b020500d9	Fanongo, ʻe hoku kāinga ʻofeina, ʻIkai kuo fili ʻe he ʻOtua ʻae masiva ʻoe māmani ke koloaʻia ʻi he tui, pea ko e kau hoko ki he puleʻanga ʻaia kuo ne talaʻofa ki ai kiate kinautolu ʻoku ʻofa kiate ia?
3b0206009b	Ka kuo mou fakamamahiʻi ʻae masiva. ʻIkai ʻoku fakamālohiʻi ʻakimoutolu ʻe he kakai koloaʻia, pea fetoho ʻakimoutolu ki he ngaahi fakamaauʻanga?
3b02070057	‌ʻIkai ʻoku nau lauʻikovi ʻae huafa lelei ko ia, ʻaia kuo ui ʻaki ʻakimoutolu?
3b020800a4	Ko eni, kapau te mou fakamoʻoni ki he fono fakaʻeiki, ʻo fakatatau ki he tohi, “Ke ke ʻofa ki ho kaungāʻapi ʻo hangē pe ko koe,” ʻoku mou fai lelei ai:
3b0209008c	Ka ʻoka mou ka filifilimānako ki he kakai, ʻoku mou fai angahala ai, pea ʻoku fakahalaia ʻakimoutolu ʻe he fono ko e kau talangataʻa.
3b020a0073	He ko ia te ne fai kotoa pē ʻae fono, kae hala ʻi hono meʻa ʻe taha, ʻoku halaia ia ʻi hono meʻa kotoa pē.
3b020b00ca	He ko ia ia naʻe pehē, “ʻOua naʻa ke tono fefine,” naʻe pehē foki ʻe ia, “ʻOua naʻa ke fakapō.” Ko eni, kapau ʻe ʻikai te ke tono fefine, ka ke fakapō, kuo ke hoko ko e maumau fono.
3b020c007d	Ke pehē pe hoʻomou lea, pea pehē mo hoʻomou ngāue, ʻo taau mo kinautolu ʻe fakamaau ʻaki ʻae fono ʻoe tauʻatāina.
3b020d0085	He ko ia naʻe ʻikai ke fakahā ʻae ʻofa, ʻe maʻu ʻe ia ʻae fakamaau taʻehaʻofa; pea ʻoku fiefia ʻae ʻofa ki he fakamaau.
3b020e00b2	‌ʻE hoku kāinga, neongo ʻoku pehē ʻe ha taha ʻoku ʻiate ia ʻae tui, ka ʻoku ʻikai ʻi ai mo e ngaahi ngāue, ko e hā hono ʻaonga? ʻE fakamoʻui ia ʻe he tui [pe]?
3b020f0051	Kapau ʻe telefua pea fiekaia ʻi he ʻaho kotoa pē ha tokoua pe ko e tuofefine,
3b021000c7	Pea pehē ʻe homou tokotaha ki ai, “ʻAlu ʻo ke fiemālie, pea ke mafana, pea ke mākona:” kae ʻikai siʻi te mou ʻatu ki ai ʻae ngaahi meʻa ʻoku ʻaonga ki he sino; ko e hā hono ʻaonga?
3b02110076	‌ʻOku pehē foki ʻae tui, kapau ʻoku ʻikai ʻi ai ʻae ngaahi ngāue, ʻoku mate ia, pea ʻoku tuʻu taha pe ia.
3b021200c7	‌ʻIo, ʻe pehē nai ʻe ha taha, “ʻOku ʻiate au ʻae ngaahi ngāue: fakahā mai kiate au hoʻo tui taʻehanongaahingāue, pea te u fakahā kiate koe ʻa ʻeku tui ʻaki ʻeku ngaahi ngāue.”
3b02130077	‌ʻOku ke tui ʻoku ai ʻae ʻOtua pe taha; ko hoʻo fai lelei ia: ʻoku tui foki ʻae kau tēvolo, pea nau tetetete.
3b02140066	Ka ʻoku ke loto ke ke ʻilo, ʻe tangata vale, ko e tui taʻeʻiai ʻae ngaahi ngāue, ʻoku mate ia?
3b0215009f	‌ʻIkai naʻe fakatonuhiaʻi ʻe he ngaahi ngāue ʻa ʻetau tamai ko ʻEpalahame, ʻi heʻene ʻohake ʻa ʻAisake ko hono foha ʻi he funga ʻesifeilaulau?
3b02160078	‌ʻOku ke mamata ki he ngāue ʻoe tui ʻi heʻene ngaahi ngāue, pea naʻe fakahaohaoa ʻae tui ʻe he ngaahi ngāue?
3b021700b6	Pea naʻe fakamoʻoni ʻae tohi ʻaia ʻoku pehē, Na’e tui’a’Epalahame ki he’Otua, pea na’e lau ia kiate ia ko e mā’oni’oni: pea naʻe ui ia ko e Kāinga ʻoe ʻOtua.
3b02180067	Ko eni, ʻoku mou mamata ʻoku fakatonuhia ʻae tangata ʻe he ngaahi ngāue, kae ʻikai ʻi he tui pe.
3b0219009d	‌ʻIkai naʻe fakatonuhia pehē foki ʻa Lehapi ko e fefine feʻauaki ʻe he ngaahi ngāue, ʻi heʻene tali pea ne fekau ʻae kau mataki ʻi he hala kehe?
3b021a0087	He ʻoku hangē ʻoku mate ʻae sino taʻeʻiai ʻae laumālie, ʻoku pehē ʻae tui taʻeʻiai-ʻae-ngaahi-ngāue, ʻoku mate foki ia.
3b0301007a	‌ʻE hoku kāinga, ke ʻoua naʻa akonaki ʻae tokolahi, he ʻoku mou ʻilo ʻe ʻāsili ai ʻae tautea kiate kitautolu.
3b030200b8	He ʻoku tau tūkia kotoa pē ʻi he ngaahi meʻa kehekehe. Kapau ʻe ʻikai tūkia ha taha ʻi he lea, ko e tangata haohaoa ia, pea ʻoku faʻa fai ʻe ia ke taʻofi ki he sino kotoa.
3b030300a2	Vakai, ʻoku tau ʻai ʻae meʻa taʻofi ki he ngutu ʻoe fanga hoosi, koeʻuhi ke nau paongofua kiate kitautolu; pea ʻoku tau puleʻi ʻaki ia honau sino kotoa.
3b030400c6	Vakai foki ki he ngaahi vaka he neongo ʻoku lalahi, pea fakangaholo ʻe he ngaahi matangi mālohi, ka ʻoku faʻa feliliuʻaki ia ʻae foheʻuli siʻi, ʻo faʻiteliha ʻae tangata ʻoku fakaʻuli.
3b030500a3	‌ʻOku pehē foki ki he ʻelelo, ko e kupu siʻi, ka ʻoku ne polepole ki he ngaahi meʻa lahi. Vakai ki hono lahi ʻoe vao ʻakau kuo tutu ʻaki ʻae afi siʻi!
3b030600d8	Pea ko e afi ʻae ʻelelo, ko e maama angahala: ʻoku pehē ʻae ʻelelo ʻi heʻene ʻi hotau ngaahi kupuʻi sino, ʻoku ne ʻuliʻi ʻae sino kotoa, ʻoku ne fakavela ʻae anga fakakakano; pea kuo tutu ia mei heli.
3b030700bb	He naʻe fakalalata ʻi muʻa, pea ʻoku kei fakalalata ʻe he kakai, ʻae manu fekai kehekehe kotoa pē, mo e fanga manupuna, mo e ngaahi meʻa totolo, pea mo e ngaahi meʻa ʻi he tahi:
3b03080081	Ka ʻoku ʻikai faʻa fakalalata ʻe ha tangata ʻae ʻelelo; ko e kovi taʻefaʻataʻofi ʻaia, ʻoku pito ʻi he kona fakamate.
3b0309008e	Ko ia ʻoku tau fakafetaʻi ʻaki ki he ʻOtua ko e Tamai; pea ko ia ʻoku kape ʻaki ʻae kakai, ʻaia naʻe ngaohi ʻi he tatau ʻoe ʻOtua.
3b030a0082	‌ʻOku mei he ngutu pe taha ʻae tāpuaki mo e kapekape. ʻE hoku kāinga, ʻe ʻikai siʻi lelei ke pehē ʻae ngaahi meʻa ni.
3b030b004b	He ʻoku puna mai mei ha matavai pe taha ʻa e [vai] melie mo e [vai] kona?
3b030c00c0	‌ʻE hoku kāinga, ʻe faʻa tupu ʻi he fiki ʻae fua ʻoe ʻolive? Pe ʻi he vaine ʻae fua ʻoe fiki? Pea pehē, ʻoku ʻikai ha matavai ʻe puna mei ai ʻa e [vai] kona mo e [vai] melie.
3b030d009b	Ko hai ha taha ʻoku poto mo ʻilo lahi ʻiate kimoutolu? Ke fakahā ʻe ia ʻi he ʻulungāanga lelei ʻa ʻene ngaahi ngāue ʻi he angavaivai mo e poto.
3b030e007b	Pea kapau ʻoku ʻi homou loto ʻae feinga kovi mo e fekeʻikeʻi, ʻoua naʻa mou polepole ai, mo lohiakiʻi ʻae moʻoni.
3b030f0069	‌ʻOku ʻikai ʻalu hifo mei ʻolunga ʻae poto ni, ka ʻoku fakamaama, mo fakakakano, pea fakatēvolo.
3b0310006b	He ko ia ʻoku ʻi ai ʻae meheka mo e fekeʻikeʻi, ʻoku ʻi ai ʻae maveuveu mo e ngāue kovi kotoa pē.
3b031100db	Ka ko e poto ʻoku mei ʻolunga ʻoku fuofua maʻa, pea fakamelino, pea angavaivai, pea ongongofua ki he kole, ʻoku pito ʻi he ʻaloʻofa mo e ngaahi fua lelei, ʻoku ʻikai filifilimānako, ʻoku ʻikai ke mālualoi.
3b0312005f	Pea kuo tūtuuʻi ʻae fua ʻoe māʻoniʻoni ʻi he melino maʻanautolu ʻoku faʻa fakalelei.
3b0401009f	‌ʻOku mei fē ʻae ngaahi tau mo e fekeʻikeʻi ʻoku ʻiate kimoutolu? ʻIkai ʻoku mei hoʻomou ngaahi holi kovi ia ʻaia ʻoku tau ʻi homou ngaahi kupu?
