0100000018	ഉല്പത്തി
280419015e	അവൻ അവരെ സൗഖ്യമാക്കി; ഗലീല, ദെക്കപ്പൊലി, യെരൂശലേം, യെഹൂദ്യ, യോർദ്ദാനക്കരെ എന്നീ സ്ഥലങ്ങളിൽ നിന്നു വളരെ പുരുഷാരം അവനെ പിന്തുടർന്നു.
28050100e7	യേശു പുരുഷാരത്തെ കണ്ടപ്പോൾ മലയിൽ കയറി; അവിടെ അവൻ ഇരുന്നശേഷം ശിഷ്യന്മാർ അടുക്കൽ വന്നു.
2805020085	അവൻ തിരുവായ്മൊഴിഞ്ഞു അവരെ ഉപദേശിച്ചുതുടങ്ങിയത്:
28050300ae	ആത്മാവിൽ ദരിദ്രരായവർ ഭാഗ്യവാന്മാർ; സ്വർഗ്ഗരാജ്യം അവർക്കുള്ളത്.
2805040096	ദുഃഖിക്കുന്നവർ ഭാഗ്യവാന്മാർ; അവർക്ക് ആശ്വാസം ലഭിക്കും.
2805050090	സൌമ്യതയുള്ളവർ ഭാഗ്യവാന്മാർ; അവർ ഭൂമിയെ അവകാശമാക്കും.
28050600bf	നീതിക്കുവേണ്ടി വിശന്നു ദാഹിക്കുന്നവർ ഭാഗ്യവാന്മാർ; അവർ സംതൃപ്തർ ആകും.
2805070084	കരുണയുള്ളവർ ഭാഗ്യവാന്മാർ; അവർക്ക് കരുണ ലഭിക്കും.
2805080090	ഹൃദയനിർമ്മലതയുള്ളവർ ഭാഗ്യവാന്മാർ; അവർ ദൈവത്തെ കാണും.
28050900ef	സമാധാനം ഉണ്ടാക്കുന്നവർ ഭാഗ്യവാന്മാർ; അവർ ദൈവത്തിന്‍റെ പുത്രന്മാർ എന്നു വിളിക്കപ്പെടും
28050a00d8	നീതിനിമിത്തം ഉപദ്രവിക്കപ്പെടുന്നവർ ഭാഗ്യവാന്മാർ; സ്വർഗ്ഗരാജ്യം അവർക്കുള്ളത്.
28050b0172	എന്‍റെ നിമിത്തം നിങ്ങളെ അപമാനിക്കുകയും ഉപദ്രവിക്കുകയും നിങ്ങളെക്കൊണ്ട് എല്ലാ തിന്മയും കളവായി പറകയും ചെയ്യുമ്പോൾ നിങ്ങൾ ഭാഗ്യവാന്മാർ.
28050c01b2	സ്വർഗ്ഗത്തിൽ നിങ്ങളുടെ പ്രതിഫലം മഹത്തരമാകകൊണ്ട് സന്തോഷിച്ചുല്ലസിപ്പിൻ; നിങ്ങൾക്ക് മുമ്പെ ജീവിച്ചിരുന്ന പ്രവാചകന്മാരെയും അവർ അങ്ങനെ തന്നെ ഉപദ്രവിച്ചുവല്ലോ.
28050d01c4	നിങ്ങൾ ഭൂമിയുടെ ഉപ്പാകുന്നു; ഉപ്പ് സ്വാദ് ഇല്ലാതെ പോയാൽ അതിന് എങ്ങനെ സ്വാദ് വരുത്താം? പുറത്തു കളഞ്ഞിട്ട് മനുഷ്യർ ചവിട്ടുവാനല്ലാതെ മറ്റൊന്നിനും പിന്നെ കൊള്ളുന്നതല്ല.
28050e0103	നിങ്ങൾ ലോകത്തിന്‍റെ വെളിച്ചം ആകുന്നു; മലമേൽ സ്ഥാപിച്ചിരിക്കുന്ന പട്ടണം മറഞ്ഞിരിപ്പാൻ പാടില്ല.
28050f0180	വിളക്കു കത്തിച്ച് കൂടയ്ക്ക് കീഴിലല്ല, പ്രത്യുത തണ്ടിന്മേലത്രേ വെയ്ക്കുന്നത്; അപ്പോൾ വിളക്ക് വീട്ടിലുള്ള എല്ലാവർക്കും പ്രകാശം കൊടുക്കുന്നു.
28051001c1	അങ്ങനെ തന്നെ മനുഷ്യർ നിങ്ങളുടെ നല്ല പ്രവൃത്തികളെ കണ്ടു, സ്വർഗ്ഗസ്ഥനായ നിങ്ങളുടെ പിതാവിനെ മഹത്വപ്പെടുത്തേണ്ടതിന് നിങ്ങളുടെ വെളിച്ചം അവരുടെ മുമ്പിൽ പ്രകാശിക്കട്ടെ.
2805110180	ഞാൻ ന്യായപ്രമാണത്തെയോ പ്രവാചകന്മാരെയോ നശിപ്പിക്കേണ്ടതിന്നു വന്നു എന്നു ചിന്തിക്കരുത്; നശിപ്പിക്കുവാനല്ല പൂർത്തിയാക്കുവാനത്രേ ഞാൻ വന്നത്.
28051201e9	സത്യമായിട്ട് ഞാൻ നിങ്ങളോടു പറയുന്നു: ആകാശവും ഭൂമിയും ഒഴിഞ്ഞുപോകുംവരെ സകലവും പൂർത്തിയാകുവോളം ന്യായപ്രമാണത്തിൽനിന്ന് ഒരു വള്ളി എങ്കിലും പുള്ളി എങ്കിലും ഒരുനാളും ഒഴിഞ്ഞുപോകയില്ല.
28051302c2	ആകയാൽ ഈ ഏറ്റവും ചെറിയ കല്പനകളിൽ ഒന്ന് വ്യത്യാസപ്പെടുത്തുകയും മനുഷ്യരെ അങ്ങനെ പഠിപ്പിക്കയും ചെയ്യുന്നവൻ സ്വർഗ്ഗരാജ്യത്തിൽ ഏറ്റവും ചെറിയവൻ എന്നു വിളിക്കപ്പെടും; അവയെ അനുസരിക്കുകയും പഠിപ്പിക്കയും ചെയ്യുന്നവനോ സ്വർഗ്ഗരാജ്യത്തിൽ വലിയവൻ എന്നു വിളിക്കപ്പെടും.
2805140190	നിങ്ങളുടെ നീതി ശാസ്ത്രിമാരുടെയും പരീശന്മാരുടെയും നീതിയെ കവിയുന്നില്ലെങ്കിൽ നിങ്ങൾ സ്വർഗ്ഗരാജ്യത്തിൽ കടക്കുകയില്ല എന്നു ഞാൻ നിങ്ങളോടു പറയുന്നു.
28051501a7	കൊല ചെയ്യരുത് എന്നും ആരെങ്കിലും കൊല ചെയ്താൽ ന്യായവിധിയ്ക്ക് യോഗ്യനാകും എന്നും പൂർവ്വപിതാക്കൻമാരോട് ആ കാലങ്ങളിൽ അരുളിച്ചെയ്തത് നിങ്ങൾ കേട്ടിട്ടുണ്ടല്ലോ.
280516024e	ഞാനോ നിങ്ങളോടു പറയുന്നത്: സഹോദരനോട് കോപിക്കുന്നവൻ എല്ലാം ന്യായവിധിയ്ക്ക് യോഗ്യനാകും; സഹോദരനോട് വിലയില്ലാത്തവൻ എന്നു പറഞ്ഞാലോ ന്യായാധിപസഭയുടെ മുമ്പിൽ നിൽക്കേണ്ടിവരും; മൂഢാ എന്നു പറഞ്ഞാലോ അഗ്നിനരകത്തിന് യോഗ്യനാകും.
2805170161	അതുകൊണ്ട് നിന്‍റെ വഴിപാട് യാഗപീഠത്തിങ്കൽ കൊണ്ടുവരുമ്പോൾ സഹോദരന് നിനക്കു എതിരായി വല്ലവിരോധവും ഉണ്ടെന്ന് അവിടെവച്ച് ഓർമ്മവന്നാൽ
280518016d	നിന്‍റെ വഴിപാട് അവിടെ യാഗപീഠത്തിന്‍റെ മുമ്പിൽ വെച്ചിട്ട്, ഒന്നാമത് ചെന്നു സഹോദരനോട് നിരന്നുകൊൾക; പിന്നെ വന്നു നിന്‍റെ വഴിപാട് കഴിക്ക.
2805190268	നിന്‍റെ പ്രതിയോഗിയോടുകൂടെ ന്യായസ്ഥലത്തേക്കുള്ള വഴിയിൽ ആയിരിക്കുമ്പോൾ തന്നെ വേഗത്തിൽ അവനോട് ഇണങ്ങിക്കൊൾക; അല്ലാഞ്ഞാൽ പ്രതിയോഗി നിന്നെ ന്യായാധിപനും ന്യായാധിപൻ നിന്നെ കാവൽക്കാരൻ്റെ പക്കലും ഏല്പിച്ചിട്ട് നീ തടവിൽ ആയിപ്പോകും.
28051a0138	ഒടുവിലത്തെ കാശുപോലും കൊടുത്തുതീരുവോളം നീ അവിടെനിന്ന് പുറത്തു വരികയില്ല എന്നു ഞാൻ സത്യമായിട്ട് നിന്നോട് പറയുന്നു.
28051b00ba	വ്യഭിചാരം ചെയ്യരുത് എന്നു അരുളിച്ചെയ്തത് നിങ്ങൾ കേട്ടിട്ടുണ്ടല്ലോ.
28051c013f	ഞാനോ നിങ്ങളോടു പറയുന്നത്: സ്ത്രീയെ മോഹിക്കേണ്ടതിന് അവളെ നോക്കുന്നവൻ എല്ലാം ഹൃദയംകൊണ്ട് അവളോട് വ്യഭിചാരം ചെയ്തുപോയി.
28051d0213	എന്നാൽ വലങ്കണ്ണ് നിനക്കു വീഴ്ച വരുത്തുന്നു എങ്കിൽ അതിനെ ചൂഴ്ന്നെടുത്ത് എറിഞ്ഞുകളക; നിന്‍റെ ശരീരം മുഴുവനും നരകത്തിൽ വീഴുന്നതിനേക്കാൾ നിന്‍റെ അവയവങ്ങളിൽ ഒന്ന് നശിക്കുന്നത് നിനക്കു പ്രയോജനമത്രേ.
28051e01c9	വലങ്കൈ നിനക്കു വീഴ്ച വരുത്തുന്നു എങ്കിൽ അതിനെ വെട്ടി എറിഞ്ഞുകളക; നിന്‍റെ ശരീരം മുഴുവനും നരകത്തിൽ പോകുന്നതിനേക്കാൾ അവയവങ്ങളിൽ ഒന്ന് നശിക്കുന്നത് നിനക്കു പ്രയോജനമത്രേ.
28051f0110	ആരെങ്കിലും ഭാര്യയെ ഉപേക്ഷിച്ചാൽ അവൾക്ക് ഉപേക്ഷണപത്രം കൊടുക്കട്ടെ എന്നു അരുളിച്ചെയ്തിട്ടുണ്ടല്ലോ.
28052001eb	ഞാനോ നിങ്ങളോടു പറയുന്നത്: വ്യഭിചാരം ഹേതുവായിട്ടല്ലാതെ ഭാര്യയെ ഉപേക്ഷിക്കുന്നവനെല്ലാം അവളെ വ്യഭിചാരിണിയാക്കുന്നു; ഉപേക്ഷിച്ചവളെ ആരെങ്കിലും വിവാഹം കഴിച്ചാൽ വ്യഭിചാരം ചെയ്യുന്നു.
280521018b	കള്ളസത്യം ചെയ്യരുത് എന്നും സത്യം ചെയ്തതു കർത്താവിന് നിവർത്തിക്കേണം എന്നും പൂർവ്വന്മാരോട് ആ കാലങ്ങളിൽ അരുളിച്ചെയ്തത് നിങ്ങൾ കേട്ടിട്ടുണ്ടല്ലോ.
2805220122	ഞാനോ നിങ്ങളോടു പറയുന്നത്: ഒരിക്കലും സത്യം ചെയ്യരുത്; സ്വർഗ്ഗത്തെക്കൊണ്ട് അരുത്, അത് ദൈവത്തിന്‍റെ സിംഹാസനം;
28052300ff	ഭൂമിയെക്കൊണ്ട് അരുത്, അത് അവന്‍റെ പാദപീഠം; യെരൂശലേമിനെക്കൊണ്ട് അരുത്, അത് മഹാരാജാവിന്‍റെ നഗരം
2805240125	നിന്‍റെ തലയെക്കൊണ്ടും സത്യം ചെയ്യരുത്; ഒരു രോമവും വെളുപ്പിപ്പാനോ കറുപ്പിക്കുവാനോ നിനക്കു കഴിയുകയില്ലല്ലോ.
2805250115	നിങ്ങളുടെ വാക്ക് അതെ അതെ, എന്നും ഇല്ല, ഇല്ല എന്നും ആയിരിക്കട്ടെ; ഇതിൽ അധികമായത് ദുഷ്ടനിൽനിന്ന് വരുന്നു.
28052600ee	കണ്ണിന് പകരം കണ്ണും പല്ലിന് പകരം പല്ലും എന്നു അരുളിച്ചെയ്തത് നിങ്ങൾ കേട്ടിട്ടുണ്ടല്ലോ.
280527013a	ഞാനോ നിങ്ങളോടു പറയുന്നത്: ദുഷ്ടനോട് എതിർക്കരുത്; നിന്നെ വലത്തെ കരണത്ത് അടിക്കുന്നവന് മറ്റേ കരണവും തിരിച്ചുകാണിക്ക.
2805280120	നിന്നോട് വ്യവഹരിച്ച് നിന്‍റെ വസ്ത്രം എടുക്കുവാൻ ഇച്ഛിക്കുന്നവന് നിന്‍റെമേൽ കുപ്പായവും വിട്ടുകൊടുക്കുക.
28052900c0	ഒരുവൻ നിന്നെ ഒരു മൈൽദൂരം പോകുവാൻ നിർബ്ബന്ധിച്ചാൽ രണ്ടു അവനോടുകൂടെ പോക.
28052a00df	നിന്നോട് യാചിക്കുന്നവനു കൊടുക്ക; വായ്പവാങ്ങുവാൻ ഇച്ഛിക്കുന്നവനെ ഒഴിഞ്ഞുകളയരുത്.
28052b0105	അയൽക്കാരനെ സ്നേഹിക്ക എന്നും ശത്രുവിനെ പകയ്ക്ക എന്നും അരുളിച്ചെയ്തത് നിങ്ങൾ കേട്ടിട്ടുണ്ടല്ലോ.
28052c013a	ഞാനോ നിങ്ങളോടു പറയുന്നത്: നിങ്ങളുടെ ശത്രുക്കളെ സ്നേഹിപ്പിൻ; നിങ്ങളെ ഉപദ്രവിക്കുന്നവർക്കുവേണ്ടി പ്രാർത്ഥിക്കുവിൻ;
28052d024a	സ്വർഗ്ഗസ്ഥനായ നിങ്ങളുടെ പിതാവിന് പുത്രന്മാരായി തീരേണ്ടതിന് തന്നെ; അവൻ ദുഷ്ടന്മാരുടെമേലും നല്ലവരുടെമേലും തന്‍റെ സൂര്യനെ ഉദിപ്പിക്കുകയും നീതിമാന്മാരുടെമേലും നീതികെട്ടവരുടെ മേലും മഴ പെയ്യിക്കയും ചെയ്യുന്നുവല്ലോ.
28052e0128	നിങ്ങളെ സ്നേഹിക്കുന്നവരെ സ്നേഹിച്ചാൽ നിങ്ങൾക്ക് എന്ത് പ്രതിഫലം? ചുങ്കക്കാരും അങ്ങനെ തന്നെ ചെയ്യുന്നില്ലയോ?
28052f011e	സഹോദരന്മാരെ മാത്രം വന്ദനം ചെയ്താൽ നിങ്ങൾ എന്ത് വിശേഷം ചെയ്യുന്നു? ജാതികളും അങ്ങനെ തന്നെ ചെയ്യുന്നില്ലയോ?
2805300115	ആകയാൽ നിങ്ങളുടെ സ്വർഗ്ഗീയപിതാവ് സൽഗുണപൂർണ്ണൻ ആയിരിക്കുന്നതുപോലെ നിങ്ങളും സൽഗുണപൂർണ്ണരായിരിക്കേണം.
280601023f	മനുഷ്യർ കാണേണ്ടതിനായി നിങ്ങളുടെ നീതിപ്രവൃത്തികൾ അവരുടെ മുമ്പിൽ ചെയ്യാതിരിപ്പാൻ ജാഗ്രതയുള്ളവരായിരിപ്പിൻ; അല്ലായെങ്കിൽ സ്വർഗ്ഗത്തിലുള്ള നിങ്ങളുടെ പിതാവിന്‍റെ പക്കൽനിന്നും നിങ്ങൾക്ക് പ്രതിഫലം ലഭിക്കുകയില്ല.
2806020277	ആകയാൽ ഭിക്ഷ കൊടുക്കുമ്പോൾ മനുഷ്യരാൽ പ്രശംസിക്കപ്പെടേണ്ടതിന് പള്ളികളിലും വീഥികളിലും കപടഭക്തിക്കാർ ചെയ്യുന്നതുപോലെ നിന്‍റെ മുമ്പിൽ കാഹളം ഊതിക്കരുത്; അവർക്ക് പ്രതിഫലം കിട്ടിയിരിക്കുന്നു എന്നു ഞാൻ സത്യമായിട്ട് നിങ്ങളോടു പറയുന്നു.
2806030130	നീയോ ദാനം ചെയ്യുമ്പോൾ നിന്‍റെ ദാനം രഹസ്യത്തിലായിരിക്കേണ്ടതിന് വലതു കൈ ചെയ്യുന്നതു എന്ത് എന്നു ഇടതുകൈ അറിയരുത്.
280604009a	രഹസ്യത്തിൽ കാണുന്ന നിന്‍റെ പിതാവ് നിനക്കു പ്രതിഫലം തരും.
280605028c	നിങ്ങൾ പ്രാർത്ഥിക്കുമ്പോൾ കപടഭക്തിക്കാരെപ്പോലെ ആകരുത്; അവർ മനുഷ്യർ കാണേണ്ടതിന് പള്ളികളിലും തെരുക്കോണുകളിലും നിന്നുകൊണ്ടു പ്രാർത്ഥിക്കുവാൻ ഇഷ്ടപ്പെടുന്നു; അവർക്ക് പ്രതിഫലം കിട്ടിയിരിക്കുന്നു എന്നു ഞാൻ സത്യമായിട്ട് നിങ്ങളോടു പറയുന്നു.
28060601ce	നീയോ പ്രാർത്ഥിക്കുമ്പോൾ സ്വകാര്യമുറിയിൽ കടന്നു വാതിൽ അടച്ചു രഹസ്യത്തിലുള്ള നിന്‍റെ പിതാവിനോട് പ്രാർത്ഥിക്കുക; രഹസ്യത്തിൽ കാണുന്ന നിന്‍റെ പിതാവ് നിനക്കു പ്രതിഫലം തരും.
2806070193	പ്രാർത്ഥിക്കുമ്പോൾ നിങ്ങൾ ജാതികളെപ്പോലെ വ്യർത്ഥവാക്കുകൾ ആവർത്തിക്കരുത്; അധികം സംസാരിക്കുന്നതുകൊണ്ട് ഉത്തരം കിട്ടും എന്നാണ് അവർ ചിന്തിക്കുന്നത്.
2806080138	അവരോട് തുല്യരാകരുത്; നിങ്ങൾക്ക് ആവശ്യമുള്ളത് ഇന്നതെന്ന് നിങ്ങൾ യാചിക്കും മുമ്പെ നിങ്ങളുടെ പിതാവ് അറിയുന്നുവല്ലോ.
2806090109	നിങ്ങൾ ഇപ്രകാരം പ്രാർത്ഥിക്കുവിൻ: സ്വർഗ്ഗസ്ഥനായ പിതാവേ, അങ്ങേയുടെ നാമം വിശുദ്ധീകരിക്കപ്പെടേണമേ;
28060a00d5	അങ്ങേയുടെ രാജ്യം വരേണമേ; അങ്ങേയുടെ ഹിതം സ്വർഗ്ഗത്തിലെപ്പോലെ ഭൂമിയിലും ആകേണമേ;
28060b006e	ഞങ്ങൾക്ക് ആവശ്യമുള്ള ആഹാരം ഇന്ന് തരേണമേ;
28060c0107	ഞങ്ങളുടെ കടക്കാരോട് ഞങ്ങൾ ക്ഷമിച്ചിരിക്കുന്നതുപോലെ ഞങ്ങളുടെ കടങ്ങളെയും ഞങ്ങളോടു ക്ഷമിക്കേണമേ;
28060d015a	പരീക്ഷകളിൽ ഞങ്ങൾ അകപ്പെടാതെ, ദുഷ്ടനായവനിൽനിന്ന് ഞങ്ങളെ വിടുവിക്കേണമേ. രാജ്യവും ശക്തിയും മഹത്വവും എന്നും അങ്ങേയ്ക്കുള്ളതല്ലോ.
28060e0113	നിങ്ങൾ മനുഷ്യരോടു അവരുടെ പിഴകളെ ക്ഷമിച്ചാൽ, സ്വർഗ്ഗസ്ഥനായ നിങ്ങളുടെ പിതാവ് നിങ്ങളോടും ക്ഷമിയ്ക്കും.
28060f00fc	നിങ്ങൾ മനുഷ്യരോടു പിഴകളെ ക്ഷമിക്കാഞ്ഞാലോ നിങ്ങളുടെ പിതാവ് നിങ്ങളോടും പിഴകളെ ക്ഷമിക്കയില്ല.
28061002c7	വിശേഷിച്ചും നിങ്ങൾ ഉപവസിക്കുമ്പോൾ കപടഭക്തിക്കാർ ചെയ്യുന്നതുപോലെ വിഷാദമായ മുഖം കാണിക്കരുത്; എന്തെന്നാൽ അവർ ഉപവസിക്കുന്നു എന്നു മനുഷ്യരെ കാണിക്കേണ്ടതിന് അവരുടെ മുഖത്തെ വിരൂപമാക്കുന്നു; അവർക്ക് പ്രതിഫലം കിട്ടിപ്പോയി എന്നു ഞാൻ സത്യമായിട്ട് നിങ്ങളോടു പറയുന്നു.
280611009b	എന്നാൽ നീയോ ഉപവസിക്കുമ്പോൾ തലയിൽ എണ്ണ തേച്ച് മുഖം കഴുകുക.
2806120129	എങ്കിൽ നിന്‍റെ ഉപവാസം മനുഷ്യരല്ല രഹസ്യത്തിലുള്ള നിന്‍റെ പിതാവ് കാണുകയും നിനക്കു പ്രതിഫലം നല്കുകയും ചെയ്യും.
2806130173	പുഴുവും തുരുമ്പും തിന്നു തീർക്കുന്നതും കള്ളന്മാർ തുരന്നു മോഷ്ടിക്കുകയും ചെയ്യുന്ന ഈ ഭൂമിയിൽ നിങ്ങൾക്ക് തന്നെ നിക്ഷേപം സ്വരൂപിക്കരുത്.
280614018b	പുഴുവും തുരുമ്പും തിന്നു തീർക്കാത്തതും കള്ളന്മാർ തുരന്നു മോഷ്ടിക്കാതെയുമിരിക്കുന്ന സ്വർഗ്ഗത്തിൽതന്നെ നിങ്ങൾക്ക് നിക്ഷേപം സ്വരൂപിച്ചുകൊൾവിൻ.
2806150093	നിന്‍റെ നിക്ഷേപം ഉള്ളിടത്ത് നിന്‍റെ ഹൃദയവും ഇരിക്കും.
280616014e	കണ്ണ് ശരീരത്തിന്‍റെ വിളക്കു ആകുന്നു; അതുകൊണ്ട് കണ്ണ് ചൊവ്വുള്ളതെങ്കിൽ നിന്‍റെ ശരീരം മുഴുവനും പ്രകാശത്താൽ നിറഞ്ഞിരിക്കും.
280617015e	കണ്ണ് ദോഷമുള്ളതെങ്കിലോ നിന്‍റെ ശരീരം മുഴുവനും ഇരുട്ടായിരിക്കും; അതുകൊണ്ട് നിന്നിലുള്ള വെളിച്ചം ഇരുട്ടായാൽ ഇരുട്ട് എത്ര വലിയത്!
280618024b	രണ്ടു യജമാനന്മാരെ സേവിക്കുവാൻ ആർക്കും കഴിയുകയില്ല; അങ്ങനെ ചെയ്താൽ ഒരുവനെ പകച്ച് മറ്റവനെ സ്നേഹിക്കും; അല്ലെങ്കിൽ ഒരുവനോട് പറ്റിച്ചേർന്നു മറ്റവനെ നിരസിക്കും; നിങ്ങൾക്ക് ദൈവത്തെയും ധനത്തെയുംസേവിക്കുവാൻ കഴിയുകയില്ല.
2806190249	അതുകൊണ്ട് ഞാൻ നിങ്ങളോടു പറയുന്നത്: എന്ത് തിന്നും, എന്ത് കുടിക്കും എന്നു നിങ്ങളുടെ ജീവനായിക്കൊണ്ടും എന്ത് ഉടുക്കും എന്നു ശരീരത്തിനായിക്കൊണ്ടും ആകുലപ്പെടരുത്; ആഹാരത്തേക്കാൾ ജീവനും ഉടുപ്പിനേക്കാൾ ശരീരവും വലുതല്ലയോ?
28061a0235	ആകാശത്തിലെ പറവകളെ നോക്കുവിൻ; അവ വിതയ്ക്കുന്നില്ല, കൊയ്യുന്നില്ല, കളപ്പുരയിൽ കൂട്ടിവയ്ക്കുന്നതുമില്ല എങ്കിലും സ്വർഗ്ഗസ്ഥനായ നിങ്ങളുടെ പിതാവ് അവയെ പുലർത്തുന്നു; അവയെക്കാൾ നിങ്ങൾ ഏറ്റവും വിശേഷതയുള്ളവരല്ലയോ?
28061b00f6	ആകുലപ്പെടുന്നതുകൊണ്ട് തന്‍റെ ജീവിതകാലയളവിനോട് ഒരു മുഴം കൂട്ടുവാൻ നിങ്ങളിൽ ആർക്ക് കഴിയും?
28061c017a	ഉടുപ്പിനെക്കുറിച്ച് ആകുലപ്പെടുന്നത് എന്തിന്? വയലിലെ താമര എങ്ങനെ വളരുന്നു എന്നു നിരൂപിപ്പിൻ; അവ അദ്ധ്വാനിക്കുന്നില്ല, നൂല്ക്കുന്നതുമില്ല.
28061d0126	എന്നാൽ ശലോമോൻ പോലും തന്‍റെ സർവ്വമഹത്വത്തിലും ഇവയിൽ ഒന്നിനോളം ചമഞ്ഞിരുന്നില്ല എന്നു ഞാൻ നിങ്ങളോടു പറയുന്നു.
28061e0151	ഇന്നുള്ളതും നാളെ അടുപ്പിൽ ഇടുന്നതുമായ വയലിലെ പുല്ലിനെ ദൈവം ഇങ്ങനെ ചമയിക്കുന്നു എങ്കിൽ, അല്പവിശ്വാസികളേ, നിങ്ങളെ എത്ര അധികം.
28061f00ef	ആകയാൽ നാം എന്ത് തിന്നും എന്ത് കുടിക്കും എന്ത് ഉടുക്കും എന്നിങ്ങനെ നിങ്ങൾ ആകുലപ്പെടരുത്.
2806200146	ഈ വക ഒക്കെയും ജനതകൾ അന്വേഷിക്കുന്നു; സ്വർഗ്ഗസ്ഥനായ നിങ്ങളുടെ പിതാവ് ഇതൊക്കെയും നിങ്ങൾക്ക് ആവശ്യം എന്നു അറിയുന്നുവല്ലോ.
28062100f4	മുമ്പെ അവന്‍റെ രാജ്യവും നീതിയും അന്വേഷിക്കുവിൻ; അതോടുകൂടെ ഇതൊക്കെയും നിങ്ങൾക്ക് കിട്ടും.
2806220140	അതുകൊണ്ട് നാളെയ്ക്കായി ആകുലപ്പെടരുത്; നാളത്തെ ദിവസം തനിക്കായി ആകുലപ്പെടുമല്ലോ; അതത് ദിവസത്തിന് അന്നന്നത്തെ ദോഷം മതി.
280701008a	നിങ്ങൾ വിധിക്കപ്പെടാതിരിക്കേണ്ടതിന് വിധിക്കരുത്.
280702011f	നിങ്ങൾ വിധിക്കുന്ന വിധിയാൽ നിങ്ങളും വിധിക്കപ്പെടും; നിങ്ങൾ അളക്കുന്ന അളവിനാൽ നിങ്ങൾക്കും അളന്നുകിട്ടും.
280703012c	എന്നാൽ സ്വന്തകണ്ണിൽ തടിക്കഷണം ഇരിക്കുന്നത് നോക്കാതെ സഹോദരന്‍റെ കണ്ണിലെ ചെറിയ വൈക്കോൽ കരട് നോക്കുന്നത് എന്ത്?
2807040152	അല്ല, സ്വന്തകണ്ണിൽ തടിക്കഷണം ഇരിക്കെ നീ സഹോദരനോട്: നിന്‍റെ കണ്ണിൽ നിന്നു വൈക്കോൽ കരട് എടുത്തുകളയട്ടെ എന്നു പറയുന്നത് എങ്ങനെ?
2807050175	കപടഭക്തിക്കാരാ, ആദ്യം സ്വന്തകണ്ണിൽ നിന്ന് തടിക്കഷണം എടുത്തുകളയുക; പിന്നെ സഹോദരന്‍റെ കണ്ണിൽ നിന്ന് കരട് എടുത്തുകളയുവാൻ വ്യക്തമായി കാണും.
28070601d6	വിശുദ്ധമായത് നായ്ക്കൾക്ക് കൊടുക്കരുത്; നിങ്ങളുടെ മുത്തുകളെ പന്നികളുടെ മുമ്പിൽ ഇടുകയുമരുത്; അവ കാൽ കൊണ്ടു അവയെ ചവിട്ടുകയും തിരിഞ്ഞു നിങ്ങളെ ചീന്തിക്കളകയും ചെയ്‌വാൻ ഇടവരും.
2807070143	യാചിപ്പിൻ എന്നാൽ നിങ്ങൾക്ക് കിട്ടും; അന്വേഷിക്കുവിൻ എന്നാൽ നിങ്ങൾ കണ്ടെത്തും; മുട്ടുവിൻ എന്നാൽ നിങ്ങൾക്കായി തുറക്കും.
2807080105	യാചിക്കുന്ന ഏവർക്കും ലഭിക്കുന്നു; അന്വേഷിക്കുന്നവർ കണ്ടെത്തുന്നു; മുട്ടുന്നവനു തുറക്കപ്പെടും.
28070900ba	മകൻ അപ്പം ചോദിച്ചാൽ അവനു കല്ല് കൊടുക്കുന്ന മനുഷ്യൻ നിങ്ങളിൽ ആരുള്ളു?
28070a006b	മീൻ ചോദിച്ചാൽ അവനു പാമ്പിനെ കൊടുക്കുമോ?
28070b01d5	അങ്ങനെ ദോഷികളായ നിങ്ങൾ നിങ്ങളുടെ മക്കൾക്കു നല്ല ദാനങ്ങളെ കൊടുക്കുവാൻ അറിയുന്നു എങ്കിൽ സ്വർഗ്ഗസ്ഥനായ നിങ്ങളുടെ പിതാവ് തന്നോട് യാചിക്കുന്നവർക്കു നന്മ എത്ര അധികം കൊടുക്കും!
28070c0167	മനുഷ്യർ നിങ്ങൾക്ക് ചെയ്യേണം എന്നു നിങ്ങൾ ഇച്ഛിക്കുന്നതൊക്കെയും നിങ്ങൾ അവർക്കും ചെയ്‌വിൻ; ന്യായപ്രമാണവും പ്രവാചകന്മാരും ഇതു തന്നെ.
28070d0161	ഇടുക്കുവാതിലിലൂടെ അകത്ത് കടക്കുവിൻ; നാശത്തിലേക്കു പോകുന്ന വാതിൽ വീതിയുള്ളതും വഴി വിശാലവും അതിൽകൂടി കടക്കുന്നവർ അനേകരും ആകുന്നു.
28070e00fd	ജീവങ്കലേക്ക് പോകുന്ന വാതിൽ ഇടുക്കവും വഴി ഞെരുക്കവുമുള്ളത്; അത് കണ്ടെത്തുന്നവർ ചുരുക്കമത്രേ.
28070f0177	കള്ളപ്രവാചകന്മാരെ സൂക്ഷിച്ചുകൊള്ളുവിൻ; അവർ ആടുകളുടെ വേഷം ധരിച്ചു നിങ്ങളുടെ അടുക്കൽ വരുന്നു; അകമെയോ കടിച്ചുകീറുന്ന ചെന്നായ്ക്കൾ ആകുന്നു.
2807100172	അവരുടെ ഫലങ്ങളാൽ നിങ്ങൾ അവരെ അറിയും; മുൾപ്പടർപ്പിൽ നിന്നു മുന്തിരിപ്പഴവും ഞെരിഞ്ഞിലുകളിൽനിന്ന് അത്തിപ്പഴവും ആരെങ്കിലും പറിക്കാറുണ്ടോ?
