2800000013	Matiwos Dooshishiyo
36050f0069	Haniyere shinoru bo kenihi k'irts t'owu mááts ik ikuwots imneti weratse tuut Shed'ani shuutso sha'erne.
36051000ed	Amants mááts iku meyitsere bo kenihi k'irts máátsuwots fa'ane wotiyal Ik' meyitsi ashuwotssh kur bowoterawok'o bíwere boon teúwiye, hank'onowere Ik' moow eegoru boon tep'etu deshaw bokenihi k'irts t'owu máátsuwotsi tep'o falfane.
3605110079	Ik' mootsi fino sheengshdek't jishiruwotsi, dabnu nabonat daniyonmawiru een ashuwotssh git kish wotts mango boosh geyife,
360512007a	S'ayn mas'aafotse «Mááyo sirbiru minzi beero b́ no no tipk'aye,» mank'o «fintsosh damozo daats bísh geyiyfe» etre.
3605130070	Wee gito wee keez asho b́ gawiyala bako Ik' meyitsi ashuwotsi jishiru eenashats t'intseyiru s'aamiyo dek'k'aye.
3605140058	K'osh k'osh ashuwots boshatetwok'o morro finiru ashuwotsi ash jamwots shinatse giishowe.
360515009c	N finiru keew jamon iko ikoniyere n bogshrawo t iztsank'on jamo ik aawon ns'iletwok'o Ik'onat Iyesus Krstosn marat'ets melakiwots shinatse adaran neesh imre
3605160074	N kisho ashuwotsats gerde boosh k'onr naashiwosh kark'aye, k'osh ashuwots morro nkayerawok'o n tooko s'aynon kord'e.
360517007d	N maac' weeshonat jam aawo n shodiruwi jangosh múk'shde weyiniyon dutsets biro úyee bako haniye okoon aats mec'ro ushk'aye.
3605180068	Ik ik ashuwots mrro be'ek b́ woto shin angshoniye b́kitsiri, k'osh ashuwots morro b́ be'et ja'arniye.
360519004a	Sheeng fino jamoshe b́ be'eti, aashat beyirwonwor be'eraniyere ooreratse.
360601007d	Ik' shútsonat b́ danits danon b́ c'asherawok'o guuts guuts jamwots bo doonzotsi mangiyo boosh b́ geyituwok'owo dande'ene.
3606020115	Bodoonzots amank wotts doonz detsts guuts jamwots Iyesus Krstosn bo eshuwotsi bo wottsotse boon gac'k'ayine, bo fin manatse oot' datsituwots bo doonz doonzuwots amantsonat shuneets eshuu bowottsosh baltsoniye bogshide' boosh finone. Neewere daniyonat izon neen b́geyit haniye.
3606030079	Arikon Ik' k'eyi jango daniru danmanton ik wottso no doonz Iyesus Krstos aap'oman k'azt k'osh dan danyiru asho b́ beyal,
360604009c	man kofangirwonat b́jamon danawoniye, wotowabako mooshonat wed'eyon bíatsots gond tewuno s'eenb́gutsi, man b́ dowetwere okoora, faya, c'asha, amank'aza,
3606050087	Botooko kimt arikeewo boyitse t'afts ashuwots bofinefo k'ut'eraw mooshoniye, hank'o ashuwotssh Ik'osh k'ewo gizdatsi malee bí arefoni.
360606004e	«T detstso taash bodfe» etiru ashosh Ik' ik'iyoash woto ay oot'o daatsituwe.
3606070054	Datsanats dek'nowaatso eegor aaliye, datsatsnowere eegoru de'e no amet keewo aaliye.
3606080039	No meetuwonat no tahituwon nodatsitkawotiyal noosh bodfe.
360609008e	Gaaletsi wotosh geyiruwotsmó fadewon dihitúne, ash ashuwotsi awaashituwonat t'afiytu k'awuntsdeshaw gond keewon ay tewuni kambon deshetunee.
36060a0049	Han b́ wotitwonwere gizi shuno gond jamwotssh t'up' b́ wottsi jangoshe.
36060b0083	Ik' ashono! Neho jamanotsatse k'ayi woc'e, kááwon, Shayiri ash woton, imnetiyon, shunon, k'amonowere kup'ar, maac' nefon sha'owe.
36060c008b	Imnetiyon sheeng kaaro kaarowe, neen b́ maantsan b́ s'eegor ay wotts gawuwots shinatse ar wotts gawo ni imtso dúre dúri kasho deshde'e.
36060d0083	Jam keewon kash imiru Ik'onat P'ent'eniya eteets P'ilat'os shinatse sheeng amaneyon gawutso Iyesus Krstos shinatse neesh keewiruwe.
36060e0055	Nodoonz Iyesus Krstos b́ be'efetsosh t tzaziyan n shelawo shúúts s'ayinon korde'e.
36060f0077	Krstos be'ewonwere, deretsonat b́s'uz altso, naashuwotsatsi naasho, doonzuwotsatsi doonzo bí etts aawotse b́ wotiti,
36061000b7	Bíwere bíyal k'irawoniye, konuworu bíyok t'inosh b́ falawu shanotse b́ beyiri, bínowere konuworu be'atse, konuworu bek'osh falatse, mangonat dúre dúr angon bísh wotowe, amen.
36061100d8	Datsanatsi gaaletsuwots bognona bo erawok'o wee bogaal amanek woterawmanats bo te'erawok'o boon azazowe, mank'o bo tewunon noo nogene'uwituwok'o jam keewo bogshede'er noosh imetuwo Ik'o atsats b́wotituwok'o azazowe.
3606120095	Aaninuwere sheeng fino bofinituwok'o, sheeng finonowere gaaletsi bowotitwok'o, tewud doonat bodetstso kayiyosh k'andek'tswotsi bowotituwok'o azazowe.
3606130061	Mank'oon arik wotts kasho daatsosh s'ap'dek'k wotts gaalo weyiru duratse botokish kakudek'etunee.
360614005d	T'imotiwoso! adaron neesh imetso korde'e, dan woterawo «Dan» ariru koton ooshiyatse wokowe.
3606150062	Ik ikuwots mannaari dano detsfone ett boamants weeratse k'aztuurne. Ik'i s'aatoniye itnton wotowe.
370000000c	2 T'imotiwos
3701010088	Iyesus Krstos weeron daatsets jangets kashi keewo keewetsok'on, Ik'o bí ettso Iyesus Krstossh wosheetso wottso P'awlosoke woshetsoniye.
370102007a	Boree, shune na'o t naay T'imotiwossha, Niho Ik'oktsonat nodoonz Iyesus Krstosoki s'aatonat mhretiyo, jeenon neesh wotowe.
370103007b	T'uwe aawon uni'aawo neesh Ik'o t k'onor neen gawat t nihots bok'altsok'o taawere maac' s'ayinon bísh tfiniru Ik'o udirwe.
370104004a	Ni aac'uwo bateratse, neen be'er ayide'er gene'uwosh neen bek'o tewunirwe.
3701050099	Niyoke fa'a arik wotts imnetiyo gawiruwee, mannaari imnetiman shinowere ni'indo Loyidaanat ni'ind Ewunk'eyoke teshke, niyoknowere b́beyok'o t'iwintsree.
3701060081	Man jangosh t kisho ni'ats t gedor neesh imetsonat niatsotse taawok'o wotat beyiru Ik' imtso aaniy n deshiyitwok'o neesh gawirwe.
3701070055	Ik'o noosh b́ imiye angonat shunikon, b́ took keewi shayira bako shati shayiraliye.
3701080096	Eshe nodoonz jango gawosh jitsk'aye, b́ jangosh tipetso taan jitsk'aye, ernmó Ik'o neesh b́'imet angon doo shishiy jangosh taanton gond bek'o de'e.
37010900b1	Bí noo nofints sheeng finosh b́woterawo b́ took shunon b́ s'aatone noon b́ kashiy, s'ayinoshowere noon s'eegree, s'aatanowere ay duroniyere shino Iyesus Krstosn noosh imre.
37010a0091	Deeranwere noon woritso Iyesus Krstosn b́ waatsotse and be'ere. Bí k'iri ango tiitst dooshishiyon k'ir desha dúre dúre beyo noosh b́k'iitsi.
37010b0041	Taawere doo shishiyan nabituwo, wosheetso, danifo wotat naashere.
37010c0099	Gond bek'anowere tiats b́bodir man jangoshe, eree koni ti'amantsk'o tdantsosh jitseratse, taash imets adar man aawu man b́ borfetso t kotetwok'o danre.
37010d0062	Tiyoke n shishts ar wotts aap'man ariyok'o woshde Iyesus Krstosn n detsts imnetiyonat shunon kore.
37010e0043	Neesh imets sheeng adarman noyitse beyiru Shayiri s'ayinon korde'e.
37010f0074	Isiya eteets datsatse beyiru jamwots taan k'az boamtsok'owo danfnee, hanotsisnwere Fegelosnat Hermogenesitse fa'ane.
3701100069	Ik'o Onesifor meyitsi ashuwotssh mhretiyo ime, bíwere ayoto taan kup'shre, t tipetsatsnowere jitseratse.
370111004c	Dab́ Romi eteets datsumadan b́ waatsok'on kup'dek' geeyat taan b́ daatsi,
3701120084	Dúr s'uwi aawu manotso Ik'o bísh mhretiyo ime, Efesonn t beemanor awuk'o taash b́ fintsok'o nee n tookon sheengsh dek'at danfnee.
370201003d	Eshe t naayo! Iyesus Krstosoke daatseyiru s'aatatson kup'owe.
3702020067	Ay gawwots shinatse tiyooke n dants dano, koshwotsi daniyosh falitwotsnat amanets ashuwotssh adaro ime.
3702030046	Neewere Iyesus Krstossh kes'ts sheengo wotarr taanton gond bek'o be'e.
370204007e	Kes' kes'iru asho bín kes'omants azaziruman gene'ushosh k'an dek'tso woto bín geyituwe bako kes' fin woteraw finats jinatse.
3702050062	Mank'o wos'on bogosh wos'iru asho b́ nemok'on nohewo b́ k'azal da'er dek'et akliliyo daatsratse.
3702060058	Finon maawiru goshtso b́finiruwotse daatset shuwatse shin daatsetso dek'o bísh geyife.
3702070060	Doonzo jam keewatse t'iwintsdek'o neesh b́ ímetuwotse taa neesh tíetirwo n nibotse gawude'ee.
3702080060	K'irotse tuuts Dawit naar wottso Iyesus Krstosi batk'aye, taawere t keewiru doo shishiyo maniye.
370209005e	Doo shishiyan jangosh, gond fintsok'o muk'on tipeyat gondo t bek'iri, Ik' aap'onmó tiperatse.
37020a0090	Mansh boowere Iyesus Krstos weeron daatseyiru kashonat dúre dúri mangon bo daatsituwok'o, Ik'o boon marat'tswotssha er jam keewo taa k'amitwe.
37020b0051	Hank'o ett aap'man amaneke, «Bínton no k'iriyal, Bínton dab́ kashon nobetiye.
37020c005d	K'amoon kup'ar nodatseyal Bínton naashituwone. Noo bín nohaaliyalmó bíwere noon haalitwe.
37020d0061	Noo amanetsuwotsi wotonok'azal Bímo b́tooko b́ haalerawotse jam aawo amanetso wotar beetuwe.»
37020e009c	Keewan boosh gawiwe, aap'wots jangatse moosherawok'o Ik' shinatse boosh keewwe, aap'wotsn moshanuwere shishiru ashuwotsi b́ t'afiti bako egoshor woteratse.
37020f0099	Ari aap'man kááwon betsirwok'owonat b́ finon jitseraw fintso wotarr, Ik' shinatse n tooko n t'intsitwok'onat n keewre k'ebet asho nwotitwok'o k'aluwe.
3702100079	Datsaatsikonat woteraw ooshiruwotsoke wokowe, man naari ooshiyo ashuwotsi iki bogshde'e Ik'atse bowokituwok'o b́woshiti,
3702110064	Bo noon keew keewonere kasheraw gawok'o boon b́ bodeti, boyitsnowere Hemenewosnat Filit'osn fa'ane.
370212007d	Ashaanotswere «K'irotse tuwo yoots shin shin wotere» ett mosht aratse wokwtserne, ik ik ashuwots imnetiyonowere giwshirune.
37021300ac	Ernmó «Doonzo bík wottsuwotsi danfee,» eshe «Doonzo shúts s'eegiru jamo gondatse wokowa» eteets mahatebiyo bíatse fa'o giwraw Ik'i ned'okoniye kup'arniye b́ beeti.
37021400b5	Een mootse awntsonat ambaron finets k'ac' mec'ro b́ woterawo mitonat shalon wozets k'ac'uwotswere daatsefnee, boowere ik ikuwots mang finosh ik ikuwots mang deshaw finats bojineti.
37021500b7	Mangosh woteraw keewanotsatse galeyat s'ayinon beyiru asho, mang finats jinet k'ac'ok'o wotituwe, sheeng finosh k'ants jamonat b́ doonzsh s'ayintsonat sheeng finats jinetwo wotituwe.
3702160086	Jawetsori gond tewunatse wokowe, s'ayin nibon Ik' s'eegiru ashuwotsnton wotarr kááw finon, imnetiyon, shunon, jeeni jafrats sha'owe.
3702170043	Fayeyo b́ dowetwok'o danr, daronot k'awnts desha mooshatse wokowe.
3702180080	Doonzo Iyesussh guuts wottso, ash jamoke maac' nefo, daniyosh falituwonat k'amtso woto bín geyituwe bako fayeyo bín geyiratse.
370219007b	Bín k'efiru ashuwotsi maac' nefon izitk woto bín geyife, daneraka bo ari keewo bo danal Ik'o danr boanituwok'o woshituwe.
37021a0067	Mank'owon bo nibo maantsan bo aaniyal Dablos shuno bok'alituwok'o boon b́ detsts kambotse keshutúnee.
3703010035	Dúr s'uwi aawots kic'it aawo b́ weetuwok'o dande'e,
37030200a2	Ashuwots bo tooko shuntso, gizosh k'awuntirwotsi, t'a'irwotsi, míshetswotsi, c'ashiruwotsi, ind nihosh alerawwotsi, boosh k'alere uderawotsi, S'ayin woterawotsi,
3703030084	Shun deshawwotsi, orowa erawwotsi, ash shútso t'afirwotsi, botook keewde'awwotsi, maac' kup'wotsi, sheeng wotts keewo shit'irwotsi,
370304008d	Ash beshide imetuwotsi boatso korde'awuwotsi bog taana etiru mishetswotsi, Ik' shunoniye bogshdek't bo meets gene'úwo shunetuwotsi wotitune.
370305006e	Ik'o ik'iruwotsi arefetsrne bobe'eti, wotowa bako Ik' ik'iy angonmó bohaaliti, hanotsk'o ashuwotsatse wokowe.
37030600a2	Hank'o ashmanots maa mootse mut'aarr kindfets morro boats b́ dakere k'osh k'osh tewunon sha'iru, kash weratse maawk wotts máátsuwotsi widon detset ashuwotsiye.
3703070056	Mannaari máátsuwotsu jam aawe bo daniri, erenmó arik wotts danook bodosh falratsne.
3703080091	Iyanesnat Iyanberesn Museyi bo k'eftsok'o ashaanots bo tokoono awaashtswotsnat bo imnetiyon diho boats b́ bodtsotse ari keewo k'efe bok'efiriye.
370309007e	Iyanesnat Iyanberesn dark bowoto b́ be'etsok'o ashaanots dark bowotonuwe ash jami shinatse b́ be'etuwosh boosh kááweratse.
37030a0076	Neemó t daniyo, t beyo, t jangirwo, t imnetiyo, t k'amo, t shuno, t detsats t kup'tsok'o neewere tijafarats sha'erne,
37030b00ae	Mank'owere t gishewonat tkic'o danfnee, Ans'okiyanat Ik'oniyonn Lst'ronnowere ti'ats bodts keewonat k'amoon t dek'ts gishewonowere danfnee, doonzonmó jamotse taan b́ faryi.
37030c004f	Iyesus Krstos jir wotar shayri beyon beyosh geyiru jamwotsats gishewo bodetuwe.
37030d0078	Ernmó gond ashuwotsnat ariyirwotsmó ash ashuwotsno darifetsŕ bo tokishowere shelfetsr, gondats gondo dabfera boameti,
37030e0066	Neemó konok danndek'tsok'o ndantsotse, n dantsotsok'onat ariko t'iwints ndek'tsatso kup'arr ned'owee.
37030f008e	Manshowere n na'ortson dek'at n tuutso Iyesus Krstosi amanon daatset kasho b́ daatset danitelefo dano neesh imet s'ayin mas'aafwotsi danrnee.
37031000c1	S'ayin mas'aaf jamo Ik'i shayiri S'ayinon jisheyat guut'eke, bíwere ariko daniyosh, sheeltswotsi fayosh, daronowere káátsootsnat kááwu beyoshowere k'antsomants jishituwo imosh t'ak'amitke.
370311005b	Ik' asho s'ayin bowotituwok'onat jam keewu sheeng fino finosh falr b́ beetuewk'o betsoshe.
3704010080	Ik'onat b́ mangsto b́ need'iwor kashon beyiruwotsnat k'irtsuwotsats angshituwo b́be'eoon Iyesus shinatse oona neen k'oniruwe,
370402008c	Bí aap'ono naabúwee, b́ k'anoroo, k'ano b́ k'azoro jam aawo kup'de'er finowe, danifetsr, hadefetsr, izfetsr, k'amefetsr daniyon kup'owe.
37040300a1	Ashuwotssh kash daatsit danman shishosh geyo bok'azet aawo weetuwe, ernmó worewosh mirac'ar bo botookon boshunts keewo boosh keewr daniyituwotsi ko'idek'etunee.
370404002f	Mansh ariko k'ebo k'ayr turur k'ebo shunetunee.
3704050086	Neemó jam keewatse ni'atso korde, gond bek'orowere k'amdek'on kup'owe, doo shishiyo nabi keewono fin ishuwe, ni fin jamono s'eentswe.
3704060041	Taayelee shukewosh t'iiniruwe, datsanatse tuur tiamet aawo bodre,
3704070063	Kes'onere sheengsh dek'at kes'ree, wos'onowere nohewon b́ s'uufetsosh wos'ree, t imnetiyono kotre.
37040800bf	Eshe haniyak kááwi akliliyo taash k'anatniye taan b́ kotiri, aklilymanowere kááw angshiru doonzman manots taash imetuwe, b́ imetuwere t s'uzsh b́woterawo b́ be'ewo shuniru jamwotsshe.
3704090020	Káári tiyok nweetwok'o wotowe,
37040a008c	Demas datsani shunt tiatse k'alewtsere, Teselonk'e maantsowere k'azamree, K'erk'is Gelatiy maants, Titowere Dlmat'i eteets datsomants amree.
37040b004f	Taanton fa'o Luk'as s'uziye, Mark'os Ik'i finosh taash b́dabish geede'er wowe.
37040c0023	Tikik'osi Efeson maants woshk'rere.
37040d007b	Nwoor T'iro'ad datsatse Karpusokee k'aztwaats kaaboo taash de'ewowe, b́ mas'aafwotsi bítsnor Branikuwotsi taash de'ewowe.
37040e005b	K'aaz k'is'fo Eskndr ayidek'tniye tiats gondo b́ betsi, doonzo b́ finok'o bísh dashetwe.
37040f0059	Bí noo nok'alirwo kup'sh dek't b́ k'efiruwotse neewor ntokish bí'atse n tooko korde'e.
37041000c7	Boon s'amiyets keewatse shino moosho dek'at tt'iintstsok'on jametsuwots tiatsna k'az bok'aleyi bako taanton wotdek't mooshtso konuwor aaliye b́teshi, keewmanor Ik'o naandok'o woshde boats taawk'aye.
3704110097	Ernmó woshman t weeron s'eenon keeweyarr Ik' danaw ash jamó b́o k'ebetuwok'o doonzo taanton wotat́ taan kup'shre, Eeshi noonotsnowere taan ooriree.
3704120077	Doonzo taan gond keew jamotse farire, darotse fa'o b́ mengstosh taan betsituwe, dúre dúron mango bísh wotowa! Amen.
3704130042	P'rsk'lonat Ak'ilnsh, Onesiforum maa ashuwotssh t jamó t'intsuwe.
3704140049	Erast'ros K'orontositse ooruwtsere, Profimos shodt Milit'itse k'azwaaree.
370415007e	Joosho b́ kindfetsere tiyok nweetwok'o wotowe. Ewubulos, P'udes, Linos, K'lawiyanat amants jamwotswor jamo neesh t'intsirune.
3704160038	Doonzo it shayironton wotowe. Ik'i s'aato itnton wotowe.
3800000004	Tito
38010100a1	Ik'i guutsonat Iyesus Krstos wosheets wottso P'awulosoke, Ik'o galbdek'ts ashuwotsi bo imnetiyon kup'shr, Ik'i ash beyo maants jishit aro bodanetwok'o wosheetso,
3801020093	Imnetiyanúwere Ik'o dúre dúri beyo imosh noosh b́jangitsatse need'ke, koorawo Izar Izewer kashan noosh imosh jam dúroniyere shin noosh taarre.
3801030081	Ari b́ gizewo b́ bodtsok'on noon worits Ik'o azaztsok'on taa t shishiyitwok'o taash imets adarok'on Ik'o bí aap'tso b́ jangi.
380104008a	Noshir wotts imnetiyon arikon t naayi wottsosh neesh Titosh, Ik'o nihoknat noon kashitso Krstos Iyesusokere s'aatonat jeenon neesh wotowe.
3801050083	Neen K'ert'esitse k'aztk'rtso eegoshe manutseraawo manutsir, neen tiazaztsok'on Ik'i máá eenashwotsi kit kitotse nnaashitwok'owe.
38010600b7	Ik'i máá eenasho eeg eeg bíatse deshawonat mááts iku kenihi wottsoni, shiraats jintsi wotonat bo alek'azeyatse tuutson k'ooreraw amants nana'úwotsi detsts asho woto bín geyife.
38010700d4	Ik'i maa jishirwo Ik'i fino adaron b́ dek'tsotse bíyatse eeg eeg deshaw s'ayino woto bín geyife, mank'owore bika bako shiyawo, káári fayerawo, masherawo, fayetsi woterawo, gizosh k'awntrawo woto bín geyife.
3801080074	Maniyere ib dek'fo, sheeng keewo shuntso, káts wottso, kááwo, Ik'i finosh gaaletso, bítook kewdek'faltso wotowe.
380109006f	Arik wotts dano daniwon izosh k'efirwotsshowere aani dek'o b́falitwok'o danb́dek'ts amanets aap'ats kup'de'e.
38010a0080	Ay ashuwots, bítsnor Ayhudi jirwotsi wottswots gofami niwo shoyirwots, alerawwots, datsmec'ron ooshirwotsnat dashirwots fa'ane.
38010b0073	Ashaanotsi s'k boetetuwok'o wosho geyife, bo jitsit oot'o daatsosh woteraw keewo danifetst maa ash asho boshek'iri.
38010c0080	Boyitse iko, botook nebiyiwo «K'ert'es ashuwots jam aawo kootetswotsi, gond s'ootswotsi, fin biitsts maac' geenzwotsiye» etre.
38010d0061	Gawets gawanúwere arikee, mansh eshe shod deshaw imnetiyo bodetsetwok'o ashaanotsi ayide hadowe.
38010e0068	Ayhudi tururi shuutso bo sha'irwok'o, ariko k'efiru ashuwots tzaziwotsno bok'ewawok'o kup'shde'e hadowe.
38010f0096	S'ayn nib detstswotssh, jam keewo s'ayine, kiimwotsnat amaneraw ashuwotsshmó s'ayin wottso eegonwor aaliye, dabnwor bonibo wotowa bomaac'o kiimwtske.
380110007c	«Ik'o danfone» etirune, bofiinonmó jamere etetune bísha, bo wic'iknee, alerawwotsna sheeng keewo iko k'alo falawwotsiye.
380201002c	Neemó kááw danonton ik wotts dano daniwe,
38020200a5	Eenash wotts nungshwots, bo detsts detsok'on beetwotsi, bo mango kotdek'tswotsi, bo atso kotdek'tswotsi, imnetiyonat shunon, k'amonowere jeenwotsi bowotitwok'o izwe.
38020300a1	Mank'owere eenash wotts máátswots bo Ik' shatirwotsi bowotitwokowa bako oonetswotsnat, úsho shuntsowotsi bowoterawok'onat sheeng daniyo bodaniyituwok'o izuwe.
3802040046	Hank'owere guuy máátswots bo kenihotsnat bo nana'on bo shuneetwok'o,
38020500a6	botook kewdek'tswotsnat s'ayinwotsn, mootse sheengon finirwotsi, bo kenihotsshowere keweyirwotsi bo wotitwok'o daniwne. Han bok'alitwere Ik' aap'o b́ k'eferawok'owe.
3802060038	Hank'owere jawetswots botoko korde'er bo beetwok'o izwe.
3802070075	Neewere sheeng wottso finefetsr jamkeewon boosh sheengon arewe, n danon kááw nwoto, ari keew kewetsi n woto kitswe,
380208006f	K'oorerawo jeeni noon keewo boosh kitswe, hank'on k'efirwots no ats bo keewit gond keewo bo t'ut'or jiitsitune.
3802090066	Guutswotswere bodoonzotssh bo kewetwok'o, jam keewonowere boon bogene'úshitwok'o, boosh bok'ayawok'o,
38020a0091	bo gizonowere boatse boúmp'erawok'o izwe, maniyere dab noon kashit Ik' dano jam keewon b́ mangitwok'o jam aawo b́ jamon amanek nwoto kitsitne.
38020b003c	Ik'o asho bín b́kashiyit b́s'aato jam ashosh kish kitsre,
38020c008c	deeranuwere jamere etonat meets tewunon k'ayk'rar b́ tooko korde'er, kááwonat shayiri beewon datsanatse no beetwok'owe noon b́ daniyiri.
38020d0079	Hank'on no jangirw deeretso, hank'owere noko eeno Izar Izewer, noon kashiyitwo Iyesus Krstos mangon b́ be'ewo kotirwone.
38020e00ac	Krstos weeri god jamatse noon kashiyir sheeng fino finosh maawirwotsnat bísh gaalets s'ayin ashuwotsi nowotitwok'o noon s'ayintsosh no shegro b́ tooko beshidek't b́ími.
38020f005e	Eshe keewanotsi daniwe, ali s'eenonowere izwe, fayono fayowe, konwor neen b́ gac'eraawok'owa.
3803010081	Ash jametso kéwirwotsnat naashwotsnsh b́tooko dashan detson bo aletwok'o, sheeng keew jamo finosh k'andek'tswotsi bowotitwok'o,
38030200a4	konatsor gond keewo bo keewrawok'o boosh gawiwe, dab maniyere ashonton fayerawwotsnat maac'nefwotsi, b́ jamon ash jamosh bo tooko dashan detso kitsitwotsi wotoone,
38030300fa	Noowere haniyere shin danawwotsi, azazerawwotsi morrgondwotsi, noweeronowere sheelk'rts woterawwotsi, k'osh k'osh naari gusiyonat meetso geneúwoshosh kewetswots, weerigondonat nemi gondon beefwots, shit'eetswotsnat no atsatseyo fayefwotsiye noteshi.
3803040036	Ernmó no ato Ik'o doo wotonat ash shunon b́ be'ewor,
380305009e	noo nofints S'ayin finon b́ woterawo b́ took maac' k'ewon noon kashire, noon b́ kashiyiwere handr shweyon mashonat S'ayin shayiri weeron daatsets handrone.
3803060045	Ik'o noon kashitwo Iyesus Krstosn b́ shayiro ayidek't noosh kuut're.
3803070057	Hanowere b́k'al b́ s'aaton kááwar jangat nokotir dúre dúri kasho nonaatetwok'owe.
38030800a2	Etetsanwere amaneke. Ik'on amants ashuwots sheeng finosh bokup'itwok'o keew jamahan kup'shde'er ngawiitwok'o geefe, keewanwere sheengonat ashosh ik ikon ot'etske.
3803090089	Ernmó dartswots mooshatse, naar taawotse, fayotse, nematse tuutson twit fayatse wokowe, keewanots eegor oot'deshawonat k'awntsalwotsiye.
38030a0046	K'alewo dowet asho iknoto wee gitoto bín ni iziyakon bíyatse wokowe.
38030b0055	Hank'o wotst asho k'uuronat morretske, bí b́ tookats angshtso b́wottsok'o dande'e.
38030c007b	Art'emasi wee Tikik'osi itmaants twoshoor nee Nik'olyonits t maants wosh káárwe, taa joosho biyoke beshiyosh k'ut'dek're.
38030d0067	Nem dantso Zenasnat Ap'losn bo sha'o de'er botwitwok'o woshwe, boosh geyit keew jamonowere boon tewu'e.
38030e006c	Noo ashuwotsuwere aani shwalo bo'orerawok'o err beyi kic'o ketiyo bofalitwok'o sheeng fino finosh dande'ene.
38030f00a0	Taanton fa'a jamwots jamó neesh t'intsirune, imnetiyon noonton kayitwotsi wotts no mashots bojamets jamo neesh t'intsirune. Ik'oko s'aato it únetsnton wotowe.
3900000007	Filimon
390101007b	Krstos Iyesus jangosh tipetso tiyoke P'awlosnat no eshu T'imotiyosokere, shunetso no eshuu no fini tooh wottsosh Filimonsh,
3901020069	no mish Afbyash noonton Krstossh kaarts wottsosh Arikip'assh, mank'owere n meyits ko'eyiru amantsuwotssh,
3901030046	No nihi Ik'oke, no doonz Iyesus Krstos s'aatetonat jeenon itsh wotowe.
3901040038	Ik'o tk'onor itn gawfetsat jam aawo Izar Izeweri udirwe,
390105005a	Doonzo Iyesussh n detsts shunonat imnetiyon ando amantsuwotssh shuno n detstsok'o shishre,
3901060080	Krstosk no wottsosh no detsts sheeng keew jamo keer b́ danetwok'o n imnetiyo k'oshwotssh kayiyosh n kúp'itwok'o Ik'o k'onitwe.
3901070068	Ti eshuwo! niatse tuutson amantsuwots nibo b́ handrtsosh n shuno een wotts gene'onat kúp'o taash imre.
390108004f	K'alo neesh b́geyitwo k'alwe err neen azazosh Krstosn ááw shuuk'o tdetsalor,
390109005d	mank'o k'aloniyere Krstos Iyesus jangosh tipetso taa eenasho P'awlos shunon k'ono marat'itwe.
39010a004d	taa tipi mootse t beyor Shayiron t naayi wottso Onesimos jangosh neen k'onre.
39010b0056	Onasimos haniyere shin k'awntsalke b́ teshi, andomo taash wotowa neeshor t'ak'amitke.
39010c0063	Hambe bín niyok aanidek' woshere, bín niyok twoshoor t took níbo twoshtsok'o woshde'er taawitwe.
39010d007c	Doo shishi jangosh hanokere tipeyat t beyor n shegro wotar taash b́ finish bí taanton b́wotink'e geneúyank'ee b́ teshi,
39010e0070	Ernmó n sheeng fino angnon b́ woterawo shunon b́ wotituwok'owa etaat nee niekeraniyere eegoru k'alo geeratse.
39010f007a	Onesimos andish b́ borfetso múk' gizewosh niyatse b́k'ale daneraka haniyere hakon jam gizeyosh neenton beyosh wotituwe.
39011000ae	Haniyak guutsok'o b́ woterawo guutsoniyere bog wotar shuneets eshúwok'owiye, bí taash shuneets eeshúwe, neeshmó iki bogo aaw aawi b́ beyonat doonzon shune eshwok'oyiye.
3901110060	Eshe taanton tohaat finef tohok'o woshdek'at tawurne wotiyal arikon taank'o woshde'er bín de'e.
390112005d	Neen b́ dadtso fa'e wotiyal wee k'awntso biyatse fa'e wotiyal b́ k'awntsman tiyats woshuwe.
39011300b8	Eshe taa P'awlos «Bíyatse fa'a k'awntso dashetwe» etaat t took kishon t guut'tsok'o danire, ernmó n kashosh nee n tookon dab taash k'awnts n wottsok'o taa neesh t gawiyo geyiratse.
3901140071	Eshe tí eshwo! sheeng keewan taash n k'alitwok'o doozon neen k'onirwe oona neesha t nibo Krstosn taash handriwe.
390115006b	Neesh t guut'tsansh taash ni'alletwok'o amanere, monk'owere taa ti aattsoniyere bogo n k'alituwok'o danfee.
390116006f	Mannowere Ik'o it k'ono shiyir itok t weetwok'o b́ woshitwok'o t tewnirwotse bíts t kashit moo taash k'aniwe.
3901170043	Krstos Iyesus jangosh taanton tipetso Ep'afra jamo itsh t'intsirwe,
390118005f	Mank'owere t fini tooh wottswots Mark'os, Arst'rokos, Demas, Luk'aswere jamo neesh t'intsirune.
3901190032	Doonzo Iyesus Krstos s'aato it Shayironton wotowe.
3a0000000a	Ibrawiyots
3a01010059	Ik'o yoots dúr ay weerindon, nebiyiwots weeron nonih nih wotssh ayoto keewtni b́ teshi,
3a0102007b	Andomó dúr s'uwanatse jam keewo b́ naatetwok'o b́ woshtson b́ naay weeron noosh keewre, dats jamonowere bíne bí'azi.
3a010300cf	Ik'i mango golr b́be'et bíyatsne, bí b́ doyon b́ s'eenon Ik'onton ike. B́ kúp' aap'on azeets jamo tep'dek't kurirwee, ash ashuwots morro b́ s'ayintsiyakon darotse Ik' kup'o k'ani aaromants beewtsere.
