010000000e	Kĩambĩrĩria
2200000006	Nahumu
2201010075	Ĩno nĩyo ndũmĩrĩri nditũ ĩkoniĩ Nineve. Rĩĩrĩ nĩrĩo ibuku rĩa kĩoneki kĩa Nahumu, ũrĩa Mũelikoshi.
22010200c1	Jehova nĩ Mũrungu ũrĩ ũiru na mwĩrĩhĩria; Jehova nĩerĩhagĩria na akaiyũrwo nĩ mangʼũrĩ. Jehova nĩerĩhagĩria harĩ thũ ciake, na agatũũria mangʼũrĩ make harĩ amuku ake.
22010300da	Jehova ndahiũhaga kũrakara na nĩarĩ hinya mũnene; Jehova ndakaaga kũherithia mũndũ mwaganu. Njĩra yake ĩrĩ thĩinĩ wa rũhuho rũnene na thĩinĩ wa kĩhuhũkanio, matu namo nĩ rũkũngũ rwa makinya make.
2201040087	Akũũmaga iria, agatũma rĩhũe; ahũithagia njũũĩ ciothe. Bashani na Karimeli nĩkũhoohete, na kĩro kĩa Lebanoni gĩkaragatha.
220105009d	Irĩma ithingithaga mbere yake, natuo tũrĩma tũgatweka. Thĩ ĩinainaga ĩrĩ mbere yake, o na mabũrũri mothe makainaina, na arĩa othe matũũraga kuo.
22010600ab	Nũũ ũngĩĩtiiria mathirĩ make? Nũũ ũngĩkĩũmĩrĩria marakara make mahiũ? Mangʼũrĩ make-rĩ, maitĩkaga ta mwaki; ndwaro cia mahiga igathethereka mbere yake.
2201070062	Jehova nĩ mwega, nĩ kĩĩhitho hĩndĩ ya thĩĩna. Arĩa mamwĩhokete-rĩ, nĩamamenyagĩrĩra,
2201080067	no rĩrĩ, nĩakaniina Nineve na kĩguũ kĩnene kĩa maaĩ; nĩakaingata thũ ciake nginya nduma-inĩ.
220109006a	Ũrĩa wothe magaaciirĩra gwĩka Jehova-rĩ, we nĩakaũniina; o na thĩĩna ndũgooka hĩndĩ ya keerĩ.
22010a0058	Makaarigiicwo mĩigua-inĩ na marĩĩo nĩ ndibei yao; nao magaacinwo ta maragara momũ.
22010b008d	Nĩ harĩ ũmwe wĩyumĩrĩtie thĩinĩ waku wee Nineve, ũrĩa ũthugundaga ũũru wa gũũkĩrĩra Jehova, na akaheanaga irĩra cia waganu.
22010c00b9	Jehova ekuuga atĩrĩ: “O na aakorwo marĩ na arata, na nĩ aingĩ mũno-rĩ, nĩmakaniinwo, meherio. O na aakorwo nĩngũnyariirĩte, wee Juda-rĩ, ndigacooka gũkũnyariira rĩngĩ.
22010d006b	Na rĩrĩ, nĩnguunanga icooki rĩao riume ngingo-inĩ yaku, na nduange mĩnyororo ĩrĩa woheetwo nayo.”
22010e012d	Jehova nĩarutĩte watho ũgũkoniĩ, wee Nineve, akoiga atĩrĩ, “Ndũkagĩa na njiaro cia gũtũũria rĩĩtwa rĩaku. Nĩngananga mĩhianano ĩyo mĩicũhie o na ĩyo ya gũtwekio ĩrĩa ĩrĩ kũu hekarũ ya ngai ciaku. Nĩngũhaarĩria mbĩrĩra yaku, nĩgũkorwo ũrĩ kĩndũ kĩũru biũ.”
22010f0111	Ta cũthĩrĩriai kũũrĩa irĩma-igũrũ, muone magũrũ ma mũndũ ũrĩa ũrarehe ũhoro mwega, ũrĩa wanagĩrĩra thayũ! Wee Juda-rĩ, kũngũĩra ciathĩ ciaku, na ũhingie mĩĩhĩtwa yaku. Andũ aaganu matigagũtharĩkĩra rĩngĩ, nĩgũkorwo nĩmakaniinwo biũ.
22020100a3	Atĩrĩrĩ, wee Nineve, mũgũtharĩkĩri nĩokĩte gũgũtharĩkĩra. Rangĩra kĩĩgitĩro kĩa hinya, na ũgitĩre njĩra; wĩhotore, na wĩĩkĩre hinya mũno!
220202008b	Jehova nĩagacookeria Jakubu riiri wake, ũhaane ta riiri wa Isiraeli, o na aakorwo aanangi nĩmamonũhĩte, na makaananga mĩthabibũ yao.
22020300ec	Ngo cia thigari ciake nĩ cia rangi mũtune, njamba cia ita ciĩhumbĩte nguo ndune ta gakarakũ. Igera cia ngaari cia ita irahenia mũthenya ũrĩa ciahaarĩrio; matimũ mahangĩrĩtwo mĩtĩ ya mĩkarakaba namo makahenũka maahiũrio.
22020400c1	Ngaari cia ita iraguthũka ituĩkanĩirie njĩra cia itũũra, irahanyũka na mbere, ningĩ na thuutha, ituĩkanĩirie ihaaro-inĩ cia itũũra. Ihaana ta imũrĩ irakana; irahiũka ta rũheni.
22020500a5	Acookanĩrĩirie mbũtũ cia thigari iria njamba, no ciũkaga ikĩhĩngagwo. Iguthũkaga nginya rũthingo-inĩ rwa itũũra inene; ituĩkaga ta ngo ya kũrĩgitĩra.
220206004d	Hingĩrĩrio cia rũũĩ nĩ hingũre, naguo mũciĩ wa ũthamaki ũkamomoka.
2202070094	Nĩ gwathanĩtwo itũũra rĩu inene rĩtahwo na rĩthaamio. Ngombo ciarĩo cia airĩtu iragirĩka na mĩgambo ta ya ndutura, na ikehũũra ithũri.
22020800a4	Nineve kũhaana ta ndia, na maaĩ makuo nĩkũhwa marahwa. Kũraanĩrĩrwo, gũkeerwo atĩrĩ, “Ta rũgamai! Ta rũgamai!” No gũtirĩ mũndũ ũngĩĩhũgũra.
2202090059	Tahai betha! Tahai thahabu! Ũtonga ũrĩa ũrĩ igĩĩna-inĩ ciao ciothe ndũngĩthira!
22020a009c	Nineve nĩgũtahe, na indo igatunyanwo gũgatigwo ũtheri! Ngoro nĩikuĩte, na maru makaregera, na mĩĩrĩ ĩkainaina, o na andũ othe magathita ithiithi.
22020b00a3	Atĩrĩrĩ, imamo cia mĩrũũthi irĩ ha, kũndũ kũrĩa yarereire ciana ciayo, kũrĩa mĩrũũthi ya njamba na ya nga yathiiaga na ciana ciayo ĩtegwĩtigĩra?
22020c00dd	Mũrũũthi wa njamba nĩwatambuurĩire ciana ciaguo nyama cia gũciigana, na ũgĩitĩra mũgoma waguo gĩa kũrĩa, ũkĩiyũria imamo ciaguo na kĩrĩa woragĩte, na ũkĩiyũria ngurunga ciaguo na kĩrĩa waguĩmĩte.
22020d0135	Jehova Mwene-Hinya-Wothe ekuuga atĩrĩ, “Niĩ nĩngũũkĩrĩire. Nĩngacina ngaari ciaku cia ita na mwaki, naruo rũhiũ rwa njora nĩrũkaniina mĩrũũthi yaku ĩrĩa mĩĩthĩ. Ndigagũtigĩria kĩndũ gĩa kũguĩma gũkũ thĩ. Nayo mĩgambo ya andũ arĩa ũtũmaga ndĩgaacooka kũiguuo rĩngĩ.”
22030100ab	Kaĩ itũũra inene rĩa Nineve rĩrĩa rĩitaga thakame rĩrĩ na haaro-ĩ! Itũũra rĩu rĩiyũrĩtwo nĩ maheeni na indo cia ũtunyani, na rĩtiagaga andũ moragĩtwo.
220302007e	Rĩ na mwanũko wa mĩcaarica, na mũrurumo wa magũrũ ma ngaari, na mbarathi itengʼerete, na ngaari cia ita ikũrũgarũga!
22030300d7	Thigari cia mbarathi irahithũka, ikahenũkia hiũ cia njora na matimũ marahenia! Andũ aingĩ nĩmooragĩtwo, gũkagĩa na hĩba cia arĩa makuĩte, na ciimba itangĩtarĩka, nao andũ makahĩngwo nĩ ciimba icio:
22030400e7	maũndũ maya mothe marekĩka nĩ ũndũ wa ũingĩ wa merirĩria ma mũmaraya, ũrĩa ũguucĩrĩirie mũndũ-wa-nja ũcio mũrogi, ũrĩa watuire ndũrĩrĩ ngombo na ũmaraya wake, na agĩtua kĩrĩndĩ ngombo na ũragũri wake.
22030500b2	Jehova Mwene-Hinya-Wothe ekuuga atĩrĩ, “Niĩ nĩngũgũũkĩrĩra. Ngũkũheta nguo ikũhumbĩre ũthiũ. Nguonia ndũrĩrĩ njaga yaku, na ngũconorithie mbere ya mothamaki.
2203060066	Ngũgũikĩria gĩko kĩrĩ magigi, ngũnyarare ũtuĩke kĩndũ gĩa kũmakania gĩkĩonwo nĩ andũ.
220307009f	Arĩa othe magaakuona nĩmakoora makiugaga atĩrĩ, ‘Hĩ, Nineve nĩrĩanange, nũũ ũkaarĩcakaĩra?’ Mũndũ wa gũkũhooreria-rĩ, ingĩmũruta kũ?”
22030800cc	Wee-rĩ, ũkĩrĩ mwega gũkĩra Thebesi, itũũra rĩrĩa rĩakĩtwo Rũũĩ-inĩ rwa Nili, o rĩo rĩrigiicĩirio nĩ maaĩ? Rũũĩ rũu nĩruo rũrĩgitagĩra, naruo rũthingo rwarĩo nĩ maaĩ macio.
220309006a	Kushi na Misiri nĩcio ciarĩ hinya warĩo ũtangĩathirire; Putu na Lubimu maarĩ amwe a thiritũ narĩo.
22030a00f2	No rĩrĩ, nĩrĩatahirwo, na andũ aarĩo magĩthaamio. Tũkenge twarĩo twatungumanirio, tũgĩtuĩka icunjĩ magomano-inĩ mothe ma njĩra. Mĩtĩ nĩyacuukĩirwo andũ aarĩo arĩa maarĩ igweta, anene othe aarĩo makĩohwo na mĩnyororo.
22030b0057	Wee nawe nĩũkarĩĩo, na nĩũkoora, wĩhithe, wethe kĩĩhitho ũũrĩre thũ ciaku.
22030c009a	Ciĩhitho ciaku nũmu ciothe ihaana ta mĩtĩ ya mĩkũyũ, ĩrĩ na ngũyũ iria ciambĩte kwĩrua, yainainio-rĩ, ngũyũ ikagũa kanua-inĩ ka mũrĩi.
22030d00a0	Tarora, mbũtũ ciaku cia ita, hĩ, ciothe ihaana ta andũ-a-nja! Ihingo cia bũrũri waku nĩ hingũrĩre thũ ciaku biũ, mĩgĩĩko yacio ĩgacinwo na mwaki.
22030e00a0	Taha maaĩ ũige, ũgaakorwo namo hĩndĩ ya kũrigiicĩrio, ciĩgitĩro ciaku cia hinya ũcirũmie wega! Haarĩria rĩũmba, kia ndoro, ũthondeke maturubarĩ.
22030f00b8	Kũu nĩkuo mwaki ũgaakũniinĩra, na rũhiũ rwa njora rũgũtemenge ũthire biũ, rũkũrĩe o ta ũrĩa ũngĩrĩĩo nĩ itono. Ciaranai ta itono, mũciarane, mũingĩhe ta ngigĩ!
220310008d	Onjoria aku ũmaingĩhĩtie, makaingĩha gũkĩra njata cia igũrũ, no mahaana ta ngigĩ iria cianangaga bũrũri, igacooka ikeyũmbũkĩra.
22031100d8	Arangĩri aku matariĩ ta ngigĩ, anene aku nao nĩ ta mĩrumbĩ ya ngigĩ, ĩrĩa yũmbaga thingo-inĩ ciaku mũthenya wa heho, no riũa rĩara, ĩkombũka ĩgathiĩ, na gũtirĩ mũndũ ũngĩmenya kũrĩa yathiĩ.
22031200bf	Atĩrĩrĩ, wee mũthamaki wa Ashuri, arĩithi aku nĩmakomete; andũ aku arĩa marĩ igweta nĩmahuurũkĩte. Andũ aku othe mahurunjũkĩire irĩma-inĩ, na gũtirĩ wa kũmacookanĩrĩria.
22031300ca	Kĩronda gĩaku gĩtingĩhona; nguraro yaku nĩ ya gũkũũraga. Mũndũ o wothe ũiguĩte ũhoro waku arahũũra hĩ tondũ nĩũgwĩte, nũũ ũtarĩ wahutio nĩ kĩnyariirano gĩaku gĩtarĩ mũthia?
2300000008	Habakuku
2301010047	Ĩno nĩyo ndũmĩrĩri nditũ ĩrĩa yakinyĩrĩire mũnabii Habakuku.
23010200b0	Wee Jehova-rĩ, nĩ nginya rĩ ngũtũũra ngũkayagĩra ũndeithie, no wee ũkaaga kũnjigua? Githĩ ndigũkayagĩra ngiugaga, “Haaro! Haaro!” no wee ũkaaga kũhonokania?
23010300aa	Ũtũmaga ndĩrorere wagi wa kĩhooto nĩkĩ? Ũkiragĩrĩria maũndũ mooru nĩkĩ? Mwanangĩko na haaro irĩ mbere yakwa; kũrĩ na njũgitano, nayo mbaara nĩ nyingĩ.
230104009f	Nĩ ũndũ ũcio, watho nĩmwagithie hinya, na kĩhooto gĩtihootanaga. Andũ arĩa aaganu marigiicaga arĩa athingu, na nĩ ũndũ ũcio kĩhooto gĩkoogomio.
23010500a9	“Atĩrĩrĩ, ta rorai ndũrĩrĩ na mwĩrorere ũhoro wacio, na mũmake biũ. Nĩgũkorwo matukũ-inĩ maku nĩngwĩka ũndũ ũrĩa ũtangĩĩtĩkia o na ũngĩĩrwo.
2301060084	Nĩngwarahũra andũ a Babuloni, andũ a haaro, na matarĩ tha, arĩa matuĩkanagia thĩ yothe, na makegwatĩra ciikaro itarĩ ciao.
230107004e	Nĩ andũ a kũmakania, na a gwĩtigĩrwo; nĩo meyathaga, na magetũũgĩria.
230108011f	Mbarathi ciao irĩ ihenya gũkĩra ngarĩ, na nĩ ooru mũno gũkĩra njũũi iria icangacangaga kĩhwaĩ-inĩ. Thigari ciao iria ithiiaga ihaicĩte mbarathi itengʼeraga ta ciũmbũkĩte; ahaici acio a mbarathi moimaga kũndũ kũraya. Mombũkaga ta nderi ĩgĩcuuhũkĩra gĩa kũrĩa;
23010900a8	othe mokaga mehaarĩirie kũruta haaro. Thigari icio ciao nyingĩ mũno ithiiaga ihaatĩte ta rũhuho rwa werũ-inĩ, igathiĩ itahĩte andũ aingĩ mũno ta mũthanga.
23010a00b2	Manyararaga athamaki, na makanyũrũria andũ arĩa maathanaga. Mathekagĩrĩra matũũra mothe manene marĩa mairigĩre; maakaga ihumbu cia tĩĩri, magatunyana matũũra macio.
23010b009a	Ningĩ mahĩtũkagĩra kuo na ihenya o ta rũhuho mathiĩte na mbere: andũ maagararaga watho, magatuĩka ehia, magatua atĩ hinya wao nĩguo ngai yao.”
23010c00fd	Wee Jehova-rĩ, githĩ ndũtũũraga kuuma tene o na tene? O Wee Ngai wakwa, ũrĩa wakwa mũtheru, tondũ ũcio tũtigakua. Wee Jehova-rĩ, nĩwe ũthuurĩte andũ a Babuloni mahingie ituĩro rĩaku; wee Rwaro rwa Ihiga-rĩ, ũkamaamũra matũherithie.
23010d00f0	Maitho maku nĩ matheru mũno, matingĩĩrorera ũmaramari; wee-rĩ, ndũngĩkirĩrĩria maũndũ mooru. Ũgĩkiragĩrĩria andũ arĩa oingumania nĩkĩ? Ũkiraga nĩkĩ rĩrĩa andũ arĩa aaganu mekũmeria andũ arĩa athingu kũmakĩra?
23010e005e	Ũtuĩte andũ ta thamaki cia iria, ũkamatua ta ciũmbe cia iria-inĩ, iria itarĩ mũciathi.
23010f00a1	Thũ ĩyo njaganu ĩmaguucagia othe na ndwano, ĩkamagwatia na wabu wayo, ĩkamacookereria thĩinĩ wa mũtego wayo; nĩ ũndũ ũcio ĩgakena na ĩgacanjamũka.
23011000bb	Nĩ ũndũ ũcio, ĩrutagĩra wabu wayo igongona, na ĩgacinĩra mũtego wayo ũbumba, nĩgũkorwo wabu wayo nĩguo ũtũmaga ĩtũũre ĩĩkenagia, na ĩkarĩĩaga irio iria njega mũno.
2301110057	Ĩĩgũtũũra ĩtahaga na wabu wayo, ĩkaniinaga ndũrĩrĩ ingĩ ĩtegũciguĩra tha?
23020100b4	Nĩngũrũgama handũ hakwa ha kũrangĩra, na njikare o hau rũthingo igũrũ. Njetereire njigue ũrĩa ekũnjĩĩra, nĩguo menye ũrĩa ingĩcookia nĩ ũndũ wa iteta rĩĩrĩ.
23020200ac	Nake Jehova akĩnjookeria atĩrĩ, “Andĩka ũguũrio ũyũ, ũwandĩke wega ihengere-inĩ na ndemwa nene, nĩgeetha ũthomeke wega, o na mũndũ angĩkorwo atengʼerete.
23020300d7	Nĩgũkorwo ũguũrio ũyũ wetereire ihinda rĩrĩa rĩtuĩtwo; waragia ũhoro wa matukũ ma mũthia, na ndũngĩtuĩka wa maheeni. O na ũngĩikara mũno-rĩ, weterere. Ti-itherũ nĩũkahingio, na ndũgatĩĩrio.
2302040097	“Atĩrĩrĩ, mũndũ mwĩtĩĩi-rĩ, merirĩria maake ti marũngĩrĩru; no mũndũ ũrĩa mũthingu agatũũra muoyo nĩ ũndũ wa gwĩtĩkia gwake;
230205011c	ti-itherũ, mũndũ ũcio mwĩtĩĩi nĩakunyanagĩrwo nĩ ndibei; nĩ mwĩtĩĩi na ndarĩ hĩndĩ ahurũkaga. Tondũ akorokete ta mbĩrĩra, na o ta ũrĩa gĩkuũ gĩtaiganagia, o nake ndaiganagia; acookanagĩrĩria ndũrĩrĩ ciothe harĩ we, na agataha andũ a ndũrĩrĩ ciothe.
23020600f3	“Githĩ andũ othe matikamũthekerera makĩmũnyũrũragia, na mamũnyarare, makiugaga atĩrĩ, “‘Kaĩ mũndũ ũrĩa wĩigagĩra indo cia ũici, na agetongia na indo cia ũtunyani arĩ na haaro-ĩ! Egũtũũra ekaga ũguo nginya-rĩ?’
2302070088	Andũ arĩa ũrĩ na thiirĩ wao githĩ matigagũũkĩrĩra o rĩmwe? Githĩ matikaarahũka, na matũme ũinaine, macooke makũnyamarie?
23020800dd	Tondũ nĩũtahĩte ndũrĩrĩ nyingĩ indo ciao, matigari ma ndũrĩrĩ icio, nĩmagagũtaha indo o nawe. Nĩ ũndũ nĩũitĩte thakame ya andũ, na ũkaananga mabũrũri, na matũũra manene, o na arĩa othe marĩ kuo.
23020900c4	“Mũndũ ũrĩa wakaga wathani wake, na agetongia na uumithio ũtarĩ wa kĩhooto, nĩgeetha aake nyũmba yake handũ igũrũ nĩguo ehonokie ndakanyiitwo nĩ mwanangĩko, kaĩ arĩ na haaro-ĩ!
23020a0071	Wee wanaciirĩra kũniinwo kwa ndũrĩrĩ nyingĩ, ũgaconorithia nyũmba yaku mwene, na ũkoorwo nĩ muoyo waku.
23020b004b	Mahiga ma rũthingo nĩmakanĩrĩra, na mĩgamba ya mbaũ nĩĩkamũkĩria.
23020c0087	“Mũndũ ũrĩa wakithagia itũũra inene na ũiti wa thakame, na akahaanda itũũra na njĩra cia ũmaramari, kaĩ arĩ na haaro-ĩ!
23020d0086	Githĩ Jehova Mwene-Hinya-Wothe ndatuĩte atĩ wĩra wa andũ no ngũ cia gwakĩrĩria mwaki, na atĩ ndũrĩrĩ ciĩnogagia o tũhũ?
23020e0068	Nĩgũkorwo thĩ nĩĩkaiyũrwo nĩ ũmenyo wa riiri wa Jehova, o ta ũrĩa maaĩ maiyũrĩte iria-inĩ.
23020f00ad	“Mũndũ ũrĩa ũheaga andũ a itũũra rĩake njoohi, akamatahĩria mondo-inĩ ya rũũa ya ndibei nginya makarĩĩo, nĩgeetha erorere njaga yao, kaĩ arĩ na haaro-ĩ!
23021000e0	Ũkaiyũrwo nĩ thoni, handũ ha kũgĩa na riiri. Rĩĩrĩ nĩrĩo ihinda rĩaku! Nyua, ũrĩĩo, nayo njaga yaku yoneke! Gĩkombe kuuma guoko-inĩ kwa ũrĩo kwa Jehova nĩkĩragũkora, na njono nĩikũhumbĩra riiri waku.
23021100e2	Haaro ĩrĩa ũrutĩire Lebanoni-rĩ, nĩĩgakũhubĩkania, na wanangi waku wa nyamũ-rĩ, nĩũgakũmakia mũno. Nĩ ũndũ nĩũitĩte thakame ya andũ, na ũkaananga mabũrũri, na matũũra manene, na arĩa othe marĩ kuo.
2302120100	“Mũhianano mũicũhie nĩ wa bata ũrĩkũ mũndũ aarĩkia kũwacũhia? O naguo mũhianano wa gũtwekio ũrĩa ũtũmaga andũ maheeneke nĩ wa bata ũrĩkũ? Nĩgũkorwo ũrĩa ũũthondekaga ehokaga kĩrĩa ombĩte; athondekaga mĩhianano ĩtaaragia.
2302130100	Mũndũ ũrĩa wĩraga rũbaũ atĩrĩ, ‘Gĩa na muoyo!’ Kana akeera ihiga rĩtarĩ muoyo atĩrĩ, ‘Arahũka!’ Kaĩ arĩ na haaro-ĩ! Indo ta icio ciakĩhota kuonia mũndũ njĩra? Ihumbĩtwo thahabu na betha; no itirĩ na mĩhũmũ thĩinĩ wacio.
230214005c	No rĩrĩ, Jehova arĩ hekarũ-inĩ yake theru; thĩ yothe nĩĩkire ki ĩrĩ mbere yake.”
2303010042	Rĩrĩ nĩ ihooya rĩa mũnabii Habakuku, rĩa kũinwo ta rwĩmbo.
23030200f4	Atĩrĩrĩ Jehova, nĩnjiguĩte ũhoro wa ngumo yaku, nganyiitwo nĩ guoya nĩ ũndũ wa ciĩko ciaku. Rurumũkia ciĩko ciaku matukũ-inĩ maya maitũ, ũtũme imenyeke matukũ-inĩ maitũ; o na hĩndĩ ĩrĩa ũrĩ mũrakaru, iguanagĩra tha.
2303030098	Ngai ookire oimĩte Temani, ũcio Mũtheru agĩũka oimĩte Kĩrĩma kĩa Parani. Riiri wake ũkĩhumbĩra igũrũ, naguo ũgooci wake ũkĩiyũra thĩ.
2303040080	Ũkengi wake wahaanaga ta riũa rĩkĩratha; mĩrũri yahenũkaga kuuma guoko-inĩ gwake, naho hau nĩho hinya wake wahithĩtwo.
2303050048	Mũthiro nĩguo wamũtongoragia; mũrimũ wa mũthiro ũkamuuma thuutha.
23030600c2	Aarũgamire, agĩthingithia thĩ; agĩcũthĩrĩria agĩtũma ndũrĩrĩ ciinaine. Irĩma cia tene ikĩmumuthũka, natuo tũrĩma twa tene tũkĩmomoka. Mĩthiĩre yake-rĩ, nĩ ya tene na tene.
2303070084	Nĩndonire andũ arĩa matũũraga hema cia Kushani marĩ na mĩnyamaro, nao arĩa matũũraga Midiani maiyũrĩtwo nĩ ruo rũnene.
23030800d3	Wee Jehova-rĩ, nĩ njũũĩ warakarĩire? Mangʼũrĩ maku-rĩ, nĩ tũrũũĩ mokĩrĩire? Wee-rĩ, wokĩrĩire iria na mangʼũrĩ maku rĩrĩa wahaicĩte mbarathi ciaku na ngaari ciaku cia ũhootani cia ita?
2303090073	Nĩwarutire ũta waku, ũkĩwoya na igũrũ, na ũgĩĩtia mĩguĩ mĩingĩ. Nayo thĩ ũkĩmĩgayania na njũũĩ;
23030a00ad	irĩma ciakuonire ikĩĩnyogonda. Kĩguũ kĩa maaĩ nakĩo gĩgĩtherera; maaĩ ma kũrĩa kũriku makĩhũũyũka, na makĩambararia makũmbĩ mamo na igũrũ taarĩ moko.
23030b0097	Riũa na mweri nĩciarũgamire o ro ũguo kũu igũrũ, ciona ũtheri wa mĩguĩ yaku ĩkĩrathũka, na ciona kũhenia gwa itimũ rĩaku rĩkĩmenũka.
23030c0052	Watuĩkanĩirie thĩ na mangʼũrĩ, na ũkĩhũũra ndũrĩrĩ ũrĩ na marakara.
23030d009f	Wokire kũhonokia andũ aku, na ũhonokie ũrĩa waku mũitĩrĩrie maguta. Wahehenjire kĩongo kĩa nyũmba ya waganu, ũkĩmĩtharia nginya itina-inĩ ciayo.
23030e00a8	Wamũtheecire mũtwe na itimũ rĩake mwene, rĩrĩa njamba ciake cia ita ciatũtharĩkĩire itũharaganie; cigakenagĩrĩra ta igũtambuura athĩĩni arĩa mehithĩte.
23030f006b	Wee wakinyire iria igũrũ na mbarathi ciaku, ũgĩthuka maaĩ macio maingĩ, magĩtuĩka makũmbĩ manene.
230310012a	Ndaiguire ũhoro ũcio, ngoro yakwa ĩgĩtumatuuma, nacio iromo ciakwa ikĩinaina nĩ mũgambo ũcio; mahĩndĩ makwa makĩonja, namo magũrũ makwa makĩinaina. No niĩ nĩngweterera ngirĩrĩirie, nginya mũthenya ũrĩa wa kũnyariirĩka ũgaakinya, ũkore rũrĩrĩ rũrĩa rũtũtharĩkagĩra.
23031100d6	Atĩrĩrĩ, o na mũkũyũ ũngĩaga kũruta kĩro, nayo mĩthabibũ yaage thabibũ, o naguo mũtamaiyũ wage maciaro, nayo mĩgũnda yaage irio; o na kũngĩaga ngʼondu gĩcegũ na kwage ngʼombe ciugũ-inĩ-rĩ,
2303120053	niĩ no ndĩrĩkenagĩra Jehova, njanjamũkage nĩ ũndũ wa Ngai Mũhonokia wakwa.
23031300e9	Mwathani Jehova nĩwe hinya wakwa, atũmaga magũrũ makwa magĩe ihenya ta magũrũ ma thwariga, nake aahotithagia kũhaica kũrĩa gũtũũgĩru. Kũrĩ mũtongoria wa nyĩmbo. Rwĩmbo rũrũ nĩ rwa kũinwo na inanda cia mũgeeto.
2400000007	Zefania
24010100cf	Atĩrĩrĩ, ĩno nĩyo ndũmĩrĩri ya Jehova ĩrĩa yakinyĩrĩire Zefania mũrũ wa Kushi, mũrũ wa Gedalia, mũrũ wa Amaria, mũrũ wa Hezekia, rĩrĩa Mũthamaki Josia mũrũ wa Amoni aathamakaga Juda.
240102006a	Atĩrĩrĩ, Jehova ekuuga ũũ: “Nĩnganiina indo ciothe ithire biũ, ithire kũndũ guothe gũkũ thĩ.
24010300f3	Nĩnganiina andũ o na nyamũ; njooke niine nyoni cia rĩera-inĩ, na thamaki cia iria-inĩ. Andũ arĩa aaganu magaatigĩrio o hĩba cia mahuti, hĩndĩ ĩrĩa ngaaniina andũ mathire kũndũ guothe gũkũ thĩ,” ũguo nĩguo Jehova ekuuga.
24010400fe	“Nĩngatambũrũkia guoko gwakwa njũkĩrĩre Juda, na njũkĩrĩre andũ othe arĩa matũũraga Jerusalemu. Nĩnganiina mĩhianano ya Baali ĩrĩa ĩtigarĩte gũkũ, na niine marĩĩtwa ma andũ arĩa matooĩ Ngai, na athĩnjĩri-ngai cia mĩhianano,
24010500b7	o acio mainamagĩrĩra, makahooya mbũtũ cia igũrũ marĩ nyũmba igũrũ, o na makainamĩrĩra, makehĩta na rĩĩtwa rĩa Jehova, na magacooka makehĩta na rĩĩtwa rĩa Milikomu,
240106006e	o acio matigaga kũrũmĩrĩra Jehova magacooka na thuutha, na maticaragia Jehova, o na kana makamũrongooria.
24010700ac	Atĩrĩrĩ, kirai ki mũrĩ mbere ya Mwathani Jehova, nĩgũkorwo mũthenya wa Jehova ũrĩ hakuhĩ. Jehova nĩahaarĩirie igongona; ningĩ nĩamũrĩte andũ arĩa etĩte.
24010800a8	Mũthenya ũcio wa igongona rĩa Jehova-rĩ, nĩngaherithia anene, o na herithie ariũ a mũthamaki, hamwe na arĩa othe magaakorwo mehumbĩte nguo cia bũrũri ũngĩ.
240109007f	Mũthenya ũcio-rĩ, nĩngaherithia ataagarari othe a hingĩro, o acio maiyũragia hekarũ ya ngai ciao na haaro na maheeni.”
24010a00c7	Jehova ekuuga atĩrĩ, “Mũthenya ũcio nĩgũkaiguuo mũkayo uumĩte Kĩhingo-inĩ gĩa Thamaki, o na kũgirĩka kuumĩte Itũũra Rĩerũ, naguo mũrurumo mũnene wa mũmomoko uume tũrĩma-inĩ.
24010b009c	Girĩkai, inyuĩ mũtũũraga rũgongo rwa ndũnyũ; mũgirĩke tondũ onjorithia anyu othe nĩmekũniinwo, na arĩa othe monjorithanagia na betha manangwo.
24010c00df	Hĩndĩ ĩyo nĩngoya matawa njethe andũ Jerusalemu, na herithie arĩa meiganĩtie, arĩa mahaana ndibei ĩtiganĩirio na kĩnyita kĩayo, arĩa meciiragia atĩrĩ, ‘Jehova ndarĩ ũndũ angĩĩka, mwega kana mũũru.’
24010d009d	Ũtonga wao nĩũgatahwo, na nyũmba ciao imomorwo. Nĩmagaka nyũmba, no matigacitũũra; nĩmakahaanda mĩgũnda ya mĩthabibũ, no matikanyua ndibei yayo.
24010e00e0	“Mũthenya ũrĩa mũnene wa Jehova ũrĩ hakuhĩ, ũrĩ hakuhĩ na nĩũrooka narua. Ta thikĩrĩriai! Kĩrĩro kĩa mũthenya ũcio wa Jehova gĩgaakorwo kĩrĩ kĩnene, nacio njamba cia ita nĩikaarĩra mũno irĩ kũu.
24010f00c7	Mũthenya ũcio-rĩ, ũgaakorwo ũrĩ wa mangʼũrĩ, mũthenya wa mĩnyamaro na ruo rũnene, mũthenya wa mathĩĩna na mwanangĩko, mũthenya wa nduma na mairia, mũthenya wa matu na nduma ndumanu,
24011000ab	mũthenya wa kũhuhwo karumbeta na mbugĩrĩrio ya mbaara ya gũũkĩrĩra matũũra marĩa mairigĩirwo na hinya, na gũũkĩrĩra mĩthiringo ĩrĩa mĩraihu na igũrũ.
24011100b6	Nĩngarehere andũ mĩnyamaro, nao magaathiiaga ta andũ atumumu, nĩ ũndũ nĩmehĩirie Jehova. Thakame yao nĩĩgaitwo ta rũkũngũ, nacio nyama cia nda ciao iteo ta irĩ rũrua.
