2900000005	Marka
290d2300a9	Curuangah thengvar ringring uh, zangahtihle inn neitu cu zan ah maw, zanruang ah maw, zing arkhuan can ah maw, zingmaw ah maw — khawtikah a tiang thok tih nan fiah lo.
290d240042	Culole rinlopiʼn a tiang ih nan ihhmulh lai nan ta hmu pang thok.
290d250063	Cun nan sinih ka sipmi thu hi mi hmahhmah sin khaw ah ka sim: thengvar in ralring uh,” tiah a ti.
290e0100b0	Lantak Puai le Colh tello Sang Puai kim ding cu ni nih kau a duh. Puithiam upa pawl le daanthiam pawl nih Jesuh cu a thupten tlaih thei dan ding le thah thei dan ding an hrawl.
290e020052	Asinain, “Puai can ah cu i hlah seh, mipi pawl an buai pang thok,” tiah an ti.
290e03011f	Cun Jesuh cu Bethani khua, pharfah a tuar ta dah tu Simon inn ah a um ih caw a ei lai ah, a man khung ngaimi le a thianghlim mi hriak rimhmui cu alabaster lung ih tuahmi thawl thawn kengta pit in numi nu pakhat cu a tiang. Cuvai thawl cu a phak ih hriak rimhmui cu Jesuh ih lu ah a burh.
290e040054	Mi hrekkhat cu an thin a se ih, “Zangruangah hi hriak rimhmui cu a riaral ter men?
290e050096	Zangahtihle hivai hriak cu Ngun tangka zathum nakih tam ah zuar pit in mi fahrah pek sawn thok a i naʼn,” tiah an ti. Cule numi nu cu an mawhthluk.
290e06007a	Asinain Jesuh nih, “A ma ten umter uh. Zangruangah numi nu cu nan hnaihnok ngelngo? Ani nih ka cungah thil ṭha a tuah.
290e0700a1	Zangahtihle mi fahrah pawl cu nan sin an um reuhro thok ih, nan duh tik poh ah an cungah thil ṭha nan tuah thei. Asinain kei cu nan sinah ka um reuhro thok lo.
290e08006a	Ani nih a tuah thei tawk a tuah cem. Ka na phumnak ding hrangah ka taksa ruangpum hriak a culh cia mi a i.
290e090090	Cun thutak in nan ta sim, thuthang ṭha an sipnak leilung pumpuluk ah hivai a tuahmi thu hi ama hmulhlonak ah an sim reuhro thok,” tiah a ti.
290e0a005f	Cun dungthluntu lakih pakhat Judas Iskariot cu Jesuh zuar dingin puithiam upa pawl sinah a feh.
290e0b009a	Cule puithiam upa pawl nih cuvai thu an theih tikah, an lung a awi ngai ih tangka pe dingin thu an kam. Cule Judas cu Jesuh zuar ding can remcang a hrawl.
290e0c00ca	Cun Colh Telhlo Sang Puai, ni khatnak, Lantak Puai thawinak hrang tuu fa no thah ni ah, a dungthluntu pawl nih Jesuh sinah, “Lantak Puai caw cu khoitu ah ta timtuah sak nung la na duh?” tiah an sut.
290e0d009b	Cule a dungthluntu pawl lakih mi panih cu a hei thlah ih an sinah, “Khawpi sungah feh uhla tithawl cawitu pa thawn nan hmu fa thok, cule ani cu thlun uh.
290e0e00bc	Cun khoitu inn ih a luh khaw ah, a luhnak inn ih inntek sinah, ‘Sayapa nih, ka dungthluntu pawl thawn Lantak Puai caw kan einak ding mikhual khan cu khoitu hi a si? a ti,’ tiah sut uh.
290e0f006d	Cule ani nih timtuah ciami tlunta khan hnempi nan ta hmuh thok, cuva cu kan hrangah timtuah uh,” tiah a ti.
290e100081	Cun dungthluntu pawl cu an pok ih khawpi sung ah an feh. Jesuh ih a sipcia mangin an va hmu. Cule Lantak Puai zanriah an timtuah.
290e110049	Cun simla a phak tikah Jesuh cu dungthluntu hleinih pawl thawn an va feh.
290e1200a2	Cule cabuai ih caw an ei lai ah Jesuh nih, “Thutak in nan ta sim, nan lakih mi pakhat — kei thawn caw a ei khat tu — nih ka na zuar thok,” tiah a ti hnei.
290e130060	Dungthluntu pawl cu an riah a se ngai ih pakhat hnuk pakhat in, “Kei ka si maw?” tiah an ti.
290e140070	Jesuh nih an sinah, “Dungthluntu hleinih lakih mi pakhat, kei thawn kheng pakhat sungih sang a hnimtu hi a si.
290e1500bd	Minung Fapa cu, a thuhla ngancia mangin, a feh taktak thok. Asinain Minung Fapa a zuartu pa cu a lamka a pit. Suak lo lawlaw in um sehla a hrangah cun a ṭha sawn thok naʼn!” tiah a ti.
290e1600a6	Cun caw an ei laiah, Jesuh nih sang cu a la, thlawsuah a pek hnukah a ṭhek ih a dungthluntu pawl sin a pe hnei, “La uh la ei uh, hihi ka taksa a si,” tiah a ti.
290e17004c	Cule khuat cu a la ih lungawithu a sip hnukah a pe hnei ih an zaten an ding.
290e180057	Cun Jesuh nih an sinah, “Hihi mi tamngai hrangah ka thletmi, ka thisen ih thukam a i.
290e190082	Thutak in nan ta sim, Pathian Uknak sungih sabit ti thar ka din sal lai hlan lo hivai sabit ti cu ka ding i thok lo,” tiah a ti.
290e1a0027	Cule hla an sa ih Olif Tlang ah an feh.
290e1b00c9	Cun Jesuh nih an sinah, “Nan zaten ka na zuangta colh thok ih ka na ramta eng thok. Zangahtihle ‘Tuukhal cu ka thawi thok ih, tuu pawl cu an ṭhekdarh colh thok,’ tiah ca thianghlim ah ngan a i.
290e1c004c	Asinain ka thawhsal hnukah Galilee ah nan hmai ah ka feh thok,” tiah a ti.
290e1d0068	Peter nih a sinah, “Midang pawl nih ta zuangta colh khaw seula, kei cu ka zuang thok lo,” tiah a ti.
290e1e0083	Cule Jesuh nih a sinah, “Thutak in nan ta sim, nihin zan ah, ar vei nih a khuan hlanah vei thum ka na phatsan thok,” tiah a ti.
290e1f0098	Asinain Peter nih nasa hlehhlo in, “Nang thawn thi ding i hman ningla, ta phatsan hrimhrim thok lo,” tiah a ti. A dang pawl khaw nih cutin an ti ve.
290e200080	Cun Gethsemane tihmi hmun an va ban ih Jesuh nih a dungthluntu pawl sinah, “Thla ka cam sung aiva hi to khan uh,” tiah a ti.
290e210067	Cule Peter, James le Johan cu a sinah a ṭhi ta hnei. Jesuh cu khuaruahhar le vansang ngai in a um ih,
290e220078	an sinah, “Ka thinlung hi thihnak tlak khop in rauh ngai a riah a se. Hiva ah si khan uh la ka hngak uh,” tiah a ti.
290e23007b	Cun hmunhla deuh ah a feh ih leilung ah a bok, cule a canthiam a sih ahcun cuvai can cu ka sin in lan ter, tiah thla a cam.
290e2400af	Cule, “Abba, ka Pa, na hrangah cun zang hmahhmah a cangthei colh. Hivai khuat hi ka sin in la hram. Asinain ka duh mangin i hlah seh, na duh mangin i sawn seh,” tiah a ti.
290e2500a0	Cun Jesuh cu a dungthluntu pawl sinah a kir sal ih an ihhmulh khi a hmu. Cule Peter sinah, “Simon, na ihhmul maw? Nazi pakhat te hman ka na hngak thei lo maw?
290e260086	Tukforhnak ih nan luh lonak dingah ihhmul loʼn hngak uh la thla cam uh. Thlarau nih a duh naʼn taksa cu a ṭawnṭai!” tiah a ti.
290e270041	Cule Jesuh cu a feh sal ih a hmasa mang thotho in thla a cam sal.
290e28007f	Cun a kir sal sei ih an ihhmulh cu a hmu hnei sei, zangahtihle an mit a rit tuk. Zangtin kan sawn sal thok tih khaw an fiah lo.
290e2900b3	A vei thumnak a kir sal ih an sinah, “Nan ihhmul rih thotho a si maw? Nan cawlhnga rih zikzik maw? A tawk i. A tikcu a kim i. Minung Fapa cu misual pawl kut sungah zuar a i cem.
290e2a0046	Tho uh, feh u sing. Zohhnik uh, ka na zuartu pa a ban i,” tiah a ti.
290e2b00bd	Cun a ṭon berbo laiah, hmakhatte ah, dungthluntu hleinih lakih pakhat, Judas cu puithiam upa pawl, daanthiam pawl le mi upa pawl ih thlahmi talhvawng le ralnam keng miburpi thawn an tiang
290e2c008f	Mi zuartu pa nih, “Ka hnap thokmi pa cu nan tlaih duhmi pa a i. Tlai uhla ṭhaten kil pit in ṭhi ta uh,” tiah hminhlitnak a pe hnei cia.
290e2d0053	Judas cu a tian cang in Jesuh sin a feh lohli ih, “Rabbi,” tiah a ti ih a hnam.
290e2e0020	Cun Jesuh cu an tlai ih an khit.
290e2f0074	Asinain cuvai hmun ih a dingtu mi pakhat nih ralnam a zuk ih puithiam lubik ih sinum paiʼ nakawr cu ṭot in a sat.
290e30006e	Cule Jesuh nih an sinah, “Damiah tlai ding mangin ralnam le talhvawng thawn ka na tlai dingah maw nan tiang?
290e31007e	Biakinn ah thu zirh in ni cangcang nan sinah ka um ih ka na tlai eng lo. Asinain Ca Thianghlim cu a kim a ṭul,” tiah a ti.
290e320038	Cule a dungthluntu pawl nih an ramta ih an zuangta colh.
290e330057	Cun puan pate kau a sinmi tlangval pakhat nih Jesuh cu a thlun. Ani khaw cu an tlai ve.
290e340036	Asinain a puan pate cu a ramta ih taklawng in a zuang.
290e350076	Cun Jesuh cu Puithiam lubik sinah an ṭhi ta ih puithiam upa pawl, mi upa pawl le daanthiam pawl cu an hmuakkhawm fa.
290e360077	Cule Peter nih lam hlat nawn in puithiam upa ih tualhma tiang a thlun. Cule siahhlawh pawl sinah a to ih meisa a ai ve.
290e37006b	Puithiam upa pawl le khonsil upa pawl cu Jesuh thah theinak ding thu fiahpittu an hrawl, asinain an hmu lo.
290e380061	Zangahtihle mi tamngai nih fiahpitnak diklo thawn sual an puh, asinain an thu a rual fa thiam lo.
290e390042	Cun mi hrekkhat cu an ding ih, fiahpitnak diklo thawn sual an puh,
290e3a00a6	“Hi pa ih ṭonmi kan thei, ‘Minung ih sakmi hivai Biakinn hi ka siatbal thok ih ni thum sungah kut ih sak lo mi a dang pakhat ka sa thok,’ a ti,” tiah an ti.
290e3b0042	Asinain cuvai an fiahpitnak thu khaw cu an rual fa thiam cuang lo.
290e3c00b6	Cun Puithiam Lubik cu an lai fangah a hang ding ih, Jesuh sinah, “Zangkhaw na let hnei thok lo maw? Hi pawl nih ta dokalh in fiahpitnak thu an sipmi hi zangtin a si?” tiah a sut.
290e3d0093	Asinain Jesuh cu daiten a um ih zangkhaw a sawn lo. Puithiam Lubik nih, “Nang hi sunloihmi Pathian ih Fapa Khrih cu na si maw?” tiah a sut sal.
290e3e0098	Cule Jesuh nih, “Ka si, Minung Fapa cu Huham Cahnak neitu ih vorh la ah to in vancung ih khawdur pawl thawn a tian khaw na hmu leh thok,” tiah a ti.
290e3f0052	Cule Puithiam Lubik cu a hnipuan a phat ih, “Fiahpittu dang kan ṭul bet i maw?
290e40008b	Pathian a thangsiat zia cu nan thei vek cem. Zangtin nan ruat?” tiah a ti. Cule an zaten Jesuh cu thi tlak hrimhrim a i tiah mawh an puh.
290e410099	Cun mi hrekkhat nih cihrit an khak, a hmai an hup ih an thawng. Cule, “Hutu nih ta thawng? Kan sim hnik,” tiah an ti. Cun siahhlawh pawl nih an beng.
290e42006b	Cun Peter cu tualhma ih a um lai ah Puithiam Lubik ih siahhlawh pawl lak in numi pakhat cu a sinah a tiang.
290e430087	Cule cuvai nu nih Peter meisa a aih lai cu a hmuh tikah a zoh ih, “Nang khaw Nazareth mi Jesuh thawn umkhatmi na si ve,” tiah a ti.
290e440083	Asinain Peter nih a el ih, “Ka fiah lo, zangtu na ṭon tih khaw ka fiah lo,” tiah a ti ih kotka la ah a feh. Cule ar a khuang.
290e450075	Cun siahhlawh nu nih a va hmu seisei ih, a hram ih a dingtu pawl sinah, “Hi pa hi an lakih telmi a i,” tiah a ti.
290e4600b4	Asinain Peter nih a el seisei. Cun tawite rei hnukah, Peter cu a hram ih dingtu pawl nih, “Nang khaw hi an lakih mi pakhat na si rori, zangahtihle Galilee mi na i,” tiah an ti.
290e47006b	Cule Peter nih siatcam in thu a kam ih, “Nan sipmi pa hi hutu a si tih ka fiah hrimhrim lo,” tiah a ti.
290e4800c2	Cun hmakhatte ah a vei nihnak ar a khuang. Cule Peter cu Jesuh nih, “Ar vei nih khuang hlanah vei thum tiang ka na phatsan thok,” tih a sipmi cu a cing sal. Cun Peter cu a riahse in a ṭap.
290f0100b0	Cun zingmaw ngaiah puithiam upa pawl cu mi upa pawl, daanthiam pawl, le khonsil upa pawl thawn thurel khawmnak an tuah lohli. Jesuh cu hri in an khit ih Pilat sinah an ṭhita.
290f020071	Cun Pilat nih, “Judah siangpahrang na si maw?” tiah a sut. Cule Jesuh nih, “Nang nih na ti,” tiah a sawn.
290f03003b	Cule puithiam upa pawl nih Jesuh cu sual a phunphun an puh.
290f040071	Curuangah Pilat nih, “Zangkhaw na sawn hnei thok lo maw? Ta zuarthlainak liangluang hi ngai hnik,” tiah a ti.
290f050049	Asinain Jesuh nih zangkhaw a sawn hnei lo ruangah Pilat cu a mang a bang.
290f06005c	Lantak Puai cangcang ah Pilat nih mipi ih an dilmi thawngtla pakhat a suahsak hnei ringring.
290f07006a	Culai ah Barabbas an tihmi pa, ralthawh lai ah mi a thattu pa cu, ral thotu dang pawl thawn thawng an tla.
290f08004c	Cun mipi pawl cu a tuahkel mangin tuah dingah Pilat sin an tiang ih an hler.
290f090062	Asinain Pilat nih a sawn hnei ih, “Judah Siangpahrang hi thlah ningla nan duh maw?” tiah a ti.
290f0a0056	Zangahtihle puithiam upa pawl nih an nahsuah ruangah, a kut ah an tianpit, tih a fiah.
290f0b0051	Asinain Barabbas sawn suah dingah puithiam upa pawl nih mipi pawl cu an forh cia.
290f0c0079	Cun Pilat nih a sut hnei sal ih, “Asihle Judah siangpahrang nan tihmi pa hi zangtin ka tuah ding nan duh?” tiah a ti.
290f0d003b	Cule an ni nih, “Thinglamtah ah that,” tiah an hek sal.
290f0e008f	Cun Pilat nih, “Zangruangah, zangtu thil ṭhalo a tuah?” tiah a ti. Asinain an ni nih, “Thinglamtah ah that kau,” tiah an hek hlehhlo.
290f0f009a	Pilat cu mipi lungkimter a duh, Barabbas cu an hrangah a thlah. Cule Pilat nih Jesuh cu a thawiter hnei ih thinglamtah ah that dingin an kut ah a pe hnei.
290f100062	Cun ralkap pawl nih Jesuh cu uktu bawi ih tualhma ah an luhpit ih ralkap bur khat khaw an kokhawm.
290f110054	Cule Jesuh cu puan sendup an hruksak ih hling ih phiar mi lukhum a lu ah an khumter.
290f120054	Cule salam pek an thok ih, “Judah Siangpahrang, upatnak ta pe!” tiah an zohsuam.
290f130054	Cun a lu ah fung thawn an thawi, cihrit an khak, an khuk an bil ih a hmai ah an kun.
290f14007c	Cutin an zohsuam hnukah puan sendup cu an phoihsak ih, ama a hnipuan an hruter, cule thinglamtah ah that dingah an ṭhi ta.
290f150096	Cun khawte ihsin khawpi ih feh, Alexander le Rufus ih pa, Sairin khua mi Simon cu lampi ah an hmu ih, Jesuh ih thinglamtah cu a hramhram in an pu ter.
290f16005d	Cule Jesuh cu Golgotha tihmi hmun ah an fehpit. Golgotha tih cu “Luruh hmun,” tihnak a i.
290f170049	Cun mura thawn nawhmi sabit ti cu an pe, asinain Jesuh nih a ding duh lo.
290f180084	Cule thinglamtah ah an khen, a hnipuan cu an phat ih hutu nih zangtu bik a co thok tih fiah dingah camcawhfung zuk pit in an zem fa.
290f19002c	Jesuh an khet can cu zingmaw nazi pakua a i.
290f1a0041	Cule sual an puhnak catar cu, “Judah Siangpahrang,” tiah a i.
290f1b004d	Jesuh thawn damiah panih, a vorh la ah pakhat, a keh la ah pakhat an khen ve.
290f1d00a0	Cun a hram ih vongva tu pawl nih an thangsiat ih, diriam ngaiin an lu an sut, cule, “Hei! Nang hi Biakinn bal piʼn ni thum sungah a sasaltu khi na si lo maw!
290f1e0049	Nangma le nangma rung fa la thinglamtah cungin rong ṭum,” tiah an ti.
290f1f0089	Cumangin puithiam upa pawl le Daanthiam pawl nih Jesuh cu an zohsuam ih, “Midang cu a rung thei, asinain ama le ma cu a rungfa thei lo.
290f2000bf	Israel siangpahrang, Khrih cu a tun rori ah thinglamtah cungin rong ṭum sehla, kan hmu thok ih kan zum thok,” tiah an ti. A ma thawn thinglamtah ih an khet mi pawl khaw nih an zohsuam ve.
290f210059	Cun sun nazi hleinih a kim ih simla nazi pathum tiang ram pumpuluk ah sunkhawmaw a tlung.
290f2200b6	Cule simla nazi pathum ah Jesuh cu a ṭap ih, “Eloi, Eloi, lema sabachthani?” tiah thangai in a hek, a sullam cu, “Ka Pathian, ka Pathian, zangah ka na zuangta?” tihnak a i.
290f230060	Cun a hram ih a ding mi, mi hrekkhat nih an thei ih, “Ngaihnik uh, Elijah a ko,” tiah an ti.
290f2400ff	Cule mi pakhat a va zuang ih puansia cu a hangmi sabit ti sungah a hnim ih, fung ah hri thawn a khit. Cun din dingah Jesuh sin a pe ih, “Hngak rih hnik uh, thinglamtah cung in ṭhum dingah Elijah a rong maw rong lo kan zoh hnik thok,” tiah a ti hnei.
290f25002f	Cule Jesuh cu thangai in a hek ih a thaw a zom.
290f260050	Cun biakinn puanzar cu a tlun zim in a tang zim tiang ṭhen nih ah a ṭhen fa.
290f27007e	Jesuh hmaizawn ih a dingtu ralbawipa nih Jesuh ih thihdan a hmuh tikah, “Hi pa hi Pathian Fapa rori a i kau e!” tiah a ti.
290f28009c	Cuva ah cun lamhlat nawn in a cuan ve tu numi hrekkhat khaw an um. Cupawl cu Magdala khawnu Mary, James nauta sawn le Joses ih nu Mary, le Salome pawl an i.
290f290099	Cuvai numi pawl cu Jesuh Galilee peng ih a um laiih a thluntu le a tuamhlawmtu an i. Jesuh thawn Jerusalem ih a feh ve tu numi dang tampi khaw an tel ve.
290f2a0037	Cun cuvai ni cu Sabbath ni phak hlan timtuahfak ni a i.
290f2b00ae	Zanla a kim tikah, Khonsil upa lak ih upat mi sungtel le Pathian Uknak a hngakhlaptu Arimathea khawmi Josef cu ralṭha ngaiin, Pilat sinah a feh ih, Jesuh ih ruak cu a hler.
290f2c0076	Pilat nih Jesuh a thi cem, tih a theih tikah, a mang a bang ngai. Ralbawipa a ko ih, a thihnak rei cem im? tiah a sut.
290f2d004c	Ralbawipa sin in Jesuh a thi cem tih a theih tikah a ruak cu Josef a la ter.
290f2e00b7	Cun Josef cu puan nem pate a lei ih Jesuh ruak cu thinglamtah cung in a ṭhum, cule puan nem pate in a tuam ih lung an vih mi thlan ah a phum. Cun thlanka cu lung thawn in a khar ta.
290f2f0047	Magdala khawnu Mary le Joses ih nu Mary nih Jesuh an phumnak cu an hmu.
2910010075	Cun Sabbath ni a net tikah, Magdala khawnu Mary, James ih nu Mary le Salome nih Jesuh ruak culh dingah zihmui an lei.
2910020040	Zarh khat ih ani khatnak, zingmaw nisuah fangah thlan ah an feh.
2910030064	Cule, “Thlanka kharnak lung teh hutu nih kan na thawn sak thok?” tiah pakhat le pakhat an ti fa.
291004004e	Cule an zoh ih, lung cu thawn fa cem in an hmu. Cuvai lung cu lung hnempi a i.
291005007b	Thlan sungah cu an lut ih angki fual rang a hru mi tlangval pakhat, vorhla kap ih to cu an hmu ih — an thin a phang ngai.
29100600b3	Ani nih an sinah, “Nan thin phang hlah uh. Thinglamtah ih khenbet mi Nazareth mi Jesuh nan hrawl. Aiva ah a um i lo — thawhtersal a i cem! An siahnak hmun hi zoh hnik hman uh.
2910070098	Feh uhla, ‘nan hmai ah Galilee ah a feh thok, nan ta sip cia mangin cuva ah nan hmu thok,’ tiah a dungthluntu pawl le Peter cu sim uh,” tiah a ti.
291008009e	Cule an suak ih thinphang le mangbang in thlan in an zuang. An ṭih tuk ruangah hu sin khaw ah zangkhaw an sim lo. Marka Thuthangṭha Netnak Sau 16.9–20 [
29100900cd	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Zarh khat ih a ni khatnak zingmaw ah, Jesuh a thosal, khawsia pasarih a dawisuakmi Magdala khawnu Mary sinah a lang hmasabik.
29100a006f	Magdala khawnu Mary cu Jesuh thawn tlanglengkhat dahmi le riahsia in a ṭap mi pawl sinah a feh ih a sim hnei.
29100b0062	Asinain Jesuh cu a nung tihmi le Magdala khawnu Mary nih a hmu, tihmi cu an theih tikah an zum lo.
29100c0060	Cuvai hnukah, Jesuh cu dungthluntu panih khawte la ih an feh lai ah phundang in an sinah a lang.
29100d004b	Cuvai le panih cu an kirsal ih midang pawl sinah an sim, asinain an zum lo.
29100e00d4	Cuvai hnuk ah dungthluntu hleikhat pawl caw an ei lai ah Jesuh cu an sinah a lang. A thawhsal hnuk mi hrekkhat nih an hmuh thu a dungthluntu pawl nih an zum lo ih, an zuplonak le an lungruhnak ruangah a tai hnei.
29100f0065	Cun an sinah, “Leilung tlun hmahhmah ah feh uhla, cule serhsiammi zate sinah thuthang ṭha sim uh.
291010007c	Hutukhaw isehla a zum ih baptisma a cotu cu rundam an i thok. Asinain a zum lotu cu hutukhaw isehla thiam lo coter a i thok.
291011008c	Cule a zumtu pawl cu hi hminsitnak pawl tuah theinak huham pek an i thok: ka hmin in khawsia an dawi thei thok; ṭon thar in an ṭon thok;
2910120095	an kut thawn rul an la thok; thihsi an din hmanah an zangkhaw a poi thok lo; mifak cungah an kut an suang thok ih mifak cu an dam thok,” tiah a ti.
2910130065	Cun an sinih thu a sip colh hnukah, Bawipa Jesuh cu van ah lakin a um ih Pathian vorh la kap ah a to.
29101400ce	Cule dungthluntu pawl cu an feh ih khuazakip ah thu an sim; Bawipa cu an sinah ṭuan a ṭuan ih, mangbangza an tuahmi nih an thusim mi hi a dik, tih a langter.] Marka Thuthangṭha Netnak Tawi 16.9–10 [
