2800000005	Matej
3a080b0099	I neće više morati učiti svoje susjede niti svoju obitelj govoreći: ‘Spoznaj Gospodina!’ Svi će me, od najmanjega do najvećega, već poznavati,
3a080c0058	jer oprostit ću njihova bezakonja i nikada se više neću sjećati njihovih grijeha.”
3a080d005f	To što Bog govori o novome savezu znači da je onaj prvi zastario. On je dakle blizu nestanka.
3a09010066	U prvom savezu između Boga i Izraela postojale su uredbe o bogoštovlju i svetištu, ali zemaljskome.
3a0902007b	Bio je, naime, podignut Šator. U jednoj prostoriji, zvanoj Svetinja, nalazili su se svijećnjak, stol i prineseni kruhovi.
3a09030032	Drugi dio Šatora se zove Svetinja nad svetinjama.
3a090400f1	Tamo su bili zlatni kadioni žrtvenik i drveni kovčeg optočen sa svih strana zlatom—Kovčeg saveza. U njemu su bili zlatna posuda s manom, Aronov štap koji je nekoć propupao i ploče Saveza na kojima su bile zapisane Božje zapovijedi.
3a090500bd	Iznad Kovčega nalazili su se kerubini koji su predstavljali Božju slavu. Raširenim krilima zasjenjivali su poklopac Kovčega, Pomirilište. Ali nije trenutak da to potanko objašnjavamo.
3a09060079	Kad je sve to tako uređeno, u prvu su prostoriju redovito ulazili i iz nje izlazili svećenici obavljajući bogoslužje.
3a090700c8	Ali u Svetinju nad svetinjama ulazio je samo veliki svećenik, i to jedanput u godini, i uvijek s krvlju koju je prinosio Bogu za oproštenje vlastitih grijeha i grijeha naroda počinjenih u neznanju.
3a090800b2	Tim nam odredbama Sveti Duh pokazuje da ljudima nije bilo dopušteno ući u Svetinju nad svetinjama sve dok su postojali prva prostorija i cijeli sustav koji je ona predočivala.
3a0909007b	Ta je slika i za današnje vrijeme: darovi i žrtve koje prinose svećenici ne mogu očistiti savjest ljudi koji ih donose.
3a090a0087	Jer stari je sustav imao uredbe glede jela, pića i obrednoga pranja—izvanjskih stvari koje su vrijedile do uvođenja novoga poretka.
3a090b00b1	Krist je došao kao Velikim svećenikom sa dobrima, te ušao u uzvišeno, savršeno svetište na nebu koje nisu načinile ljudske ruke i koje ne pripada ovomu stvorenom svijetu.
3a090c009e	Jednom zauvijek unio je u Svetinju nad svetinjama krv—ali ne krv jaraca ili junaca. Unio je onamo vlastitu krv i tako nam pribavio otkupljenje za vječnost.
3a090d0092	Ako su u starome sustavu poškropljena krv jaraca i junaca te posuti pepeo junice posvećivali ljudska tijela čisteći ih od obredne nečistoće,
3a090e00c5	koliko će bolje Kristova krv očistiti našu savjest od mrtvih djela da možemo proslavljati živoga Boga! Jer silom vječnoga Duha Krist je sebe prinio Bogu kao savršenu žrtvu za naše grijehe.
3a090f00d0	On je posrednik novoga saveza između Boga i ljudi, da svi koji su pozvani prime vječnu baštinu koju im je Bog obećao. Jer Krist je umro da ih oslobodi kazne za grijehe koje su počinili pod prvim savezom.
3a09100065	Umre li tko i ostavi oporuku, nitko ne može ništa dobiti dok se ne dokaže da je oporučitelj umro.
3a09110032	Oporuka postaje valjanom tek smrću oporučitelja.
3a09120045	Zato ni prvi savez nije mogao biti ustanovljen bez prolijevanja krvi.
3a0913009e	Kad je Mojsije dao ljudima Zakon, uzeo je krv junaca i jaraca te ju skupa s vodom poškropio po Knjizi Zakona i po ljudima grančicama izopa i grimiznom vunom
3a09140041	govoreći: “Ova krv potvrđuje savez koji Bog sklapa s vama.”
3a09150053	Zatim je krvlju poškropio Šator i sve predmete koji su se rabili pri bogoslužju.
3a09160060	Prema Mojsijevu zakonu gotovo sve se čisti krvlju. Bez prolivene krvi nema oproštenja grijeha.
3a091700ce	Zato su se zemaljski Šator i sve u njemu—a to su bile samo slike onoga što je na nebu—morali čistiti životinjskom krvlju. Ali ono pravo, nebesko, čisti se mnogo boljom žrtvom od životinjske krvi.
3a0918008c	Jer Krist nije ušao u zemaljsko mjesto bogoslužja, koje je samo slika nebeskoga, nego u samo nebo, da posreduje pred Božjim licem za nas.
3a09190094	Nije ušao da sebe prinese mnogo puta, kao što zemaljski veliki svećenik svake godine ulazi u Svetinju nad svetinjama da prinese životinjsku krv.
3a091a009f	Da je tako, trebao bi trpjeti mnogo puta od postanka svijeta. Ali on je došao jednom zauvijek, na svršetku vjekova, da zauvijek dokine grijeh svojom žrtvom.
3a091b004b	I kao što je ljudima određeno samo jedanput umrijeti, a zatim dolazi sud,
3a091c00c9	tako je i Krist samo jedanput umro, prinoseći sebe na žrtvu, da ponese grijehe mnogih ljudi. Doći će opet, ali ne da bi opet ponio grijehe. Drugi put će donijeti spasenje svima koji ga iščekuju.
3a0a0100e8	Stari sustav Zakona bio je tek sjena budućega, a ne pravo obličje stvarnosti koju je Krist postignuo za nas. Žrtve se u starome sustavu neprestano prinose, godinu za godinom, ali ne mogu savršeno očistiti ljude koji pristupaju.
3a0a020085	Da su mogle, prestale bi se prinositi jer bi ljudi bili očišćeni jednom zauvijek i njihov bi osjećaj krivnje zbog grijeha nestao.
3a0a030057	Ali bilo je upravo suprotno. Te su ih žrtve iz godine u godinu podsjećale na grijehe.
3a0a040036	Jer krv bikova i jaraca ne može očistiti od grijeha.
3a0a050071	Zato je Krist, kad je došao na svijet, rekao: “Nisi htio životinjsku žrtvu ni prinos, nego si mi dao tijelo.
3a0a060031	Nisu ti bile ugodne žrtve paljenice ni okajnice.
3a0a070081	Tada sam rekao: ‘Evo, dolazim ispuniti tvoju volju, Bože, položiti svoj život, kao što u Svetome pismu piše za mene.’”
3a0a08009b	Pošto je rekao: “Nisi htio životinjsku žrtvu ni prinos… Nisu ti bile ugodne žrtve paljenice ni okajnice” (iako je Zakon zahtijevao takve žrtve),
3a0a090094	Krist je nastavio: “Evo, dolazim ispuniti tvoju volju, … kao što u Svetome pismu piše za mene.” On dokida prvi savez da bi uspostavio drugi.
3a0a0a0075	Božja je volja da postanemo svetima prihvaćajući žrtvu na koju je Isus Krist prinio svoje tijelo jednom zauvijek.
3a0a0b0064	Svaki svećenik stoji pred oltarom dan za danom prinoseći žrtve koje ne mogu očistiti od grijeha.
3a0a0c0093	Ali naš je Veliki svećenik, prinijevši sebe Bogu zauvijek kao jednu jedinu žrtvu za grijehe, sjeo na najuzvišenije mjesto u nebu, zdesna Bogu.
3a0a0d0039	Ondje čeka da mu svi neprijatelji budu bačeni pod noge.
3a0a0e0053	Tim jednim jedinim prinosom on je zauvijek učinio savršenima one koje posvećuje.
3a0a0f002b	I Sveti Duh svjedoči da je tako. Rekao je:
3a0a1000c1	“Ali tog dana učinit ću novi savez s izraelskim narodom, veli Gospodin: Stavit ću svoje zakone u njihovu pamet da ih mogu razumjeti i upisat ću ih u njihova srca da ih mogu poštivati.”
3a0a110064	Dodaje zatim “Oprostit ću njihova bezakonja i nikada se više neću sjećati njihovih grijeha.”
3a0a12003e	A gdje su grijesi oprošteni, ne treba više prinositi žrtve.
3a0a13004d	Sada dakle, braćo, možemo ući u Svetinju nad svetinjama zbog Isusove krvi.
3a0a14004a	To je nov put koji daje život što nam ga je Krist otvorio svojom smrću.
3a0a15003f	Budući da imamo Velikoga svećenika koji vlada Božjom kućom,
3a0a16008b	pristupimo Bogu iskrena srca i čvrste vjere pošto smo svoje srce očistili škropeći ga Kristovom krvlju, a tijelo oprali čistom vodom.
3a0a170054	Držimo se čvrsto vjere koju ispovijedamo jer vjeran je onaj koji je dao obećanje.
3a0a18003c	Pazimo da se međusobno potičemo na ljubav i na dobra djela
3a0a1900aa	te da ne zanemarujmo svojih sastanaka, kao što neki čine, nego da ohrabrujemo i upozoravamo jedni druge, posebice sada kad vidite da se približava dan njegova dolaska.
3a0a1a0073	Ako, naime, svojevoljno griješimo pošto smo spoznali istinu, ne postoji druga žrtva koja bi odnijela te grijehe,
3a0a1b0068	već samo strašno iščekivanje Božjega suda i silnoga ognja koji će proždrijeti njegove protivnike.
3a0a1c0071	Kad je tko prekršio Mojsijev zakon, na temelju iskaza dvojice ili trojice svjedoka bez samilosti su ga pogubili.
3a0a1d00ea	Pomislite samo koliko će strašniju kaznu zavrijediti oni koji su pogazili Božjega Sina i koji se prema njegovoj krvi Saveza odnose kao da je nečista. Takvi su ljudi uvrijedili Svetoga Duha koji donosi Božju milost njegovu narodu!
3a0a1e0095	Jer poznajemo onoga koji je rekao: “Osveta je moja; ja ću vratiti onima koji to zaslužuju.” Rekao je još: “Bog će suditi svojemu narodu.”
3a0a1f0027	Strašno je upasti u ruke živoga Boga!
3a0a20009e	Ne zaboravite one prve dane kad ste tek bili prosvijetljeni—kad ste tek čuli za Krista. Sjetite se kako ste ostali vjernima unatoč velikoj borbi i patnji.
3a0a21006c	Pokatkad su vas javno izvrgavali ruglu i tukli vas, a pokatkad ste pomagali drugima koji su to isto trpjeli.
3a0a22009c	Suosjećali ste s onima koje su zatvarali. Kad su vam oteli sve što ste imali, radosno ste to prihvatili znajući da vas u vječnosti čeka bolje i trajno.
3a0a230056	Ne gubite dakle čvrsto pouzdanje u Gospodina. Zbog njega ćete dobiti veliku nagradu.
3a0a24005e	Trebate biti ustrajni u vršenju Božje volje. Tako ćete primiti sve što vam je Bog obećao.
3a0a25006a	Kao što piše u Svetome pismu, “Još malo, samo malo, i doći će onaj koji ima doći; neće zakasniti!
3a0a26005a	Moj će pravednik živjeti po vjeri, a u onima koji otpadnu duša mi se neće radovati.”
3a0a270067	No mi nismo od onih koji se odmeću od Boga i odlaze u propast. Mi vjerujemo i naše su duše spašene.
3a0b01006a	Vjera je čvrsto pouzdanje da će se dogoditi ono čemu se nadamo; ona je dokaz stvarnosti koju ne vidimo.
3a0b020034	Vjerom su naši praoci postignuli da ih Bog pohvali.
3a0b030060	Vjerom znamo da je sve što postoji stvoreno Božjom zapovijedi, da je stvoreno iz nevidljivoga.
3a0b0400bd	Vjerom je Abel prinio Bogu bolju žrtvu nego Kain. Bog je prihvatio Abelovu žrtvu kako bi pokazao da je on pravedan čovjek. Tako nam Abel, iako odavno mrtav, još govori zbog svoje vjere.
3a0b0500b2	Zbog svoje vjere Henok je prenesen u nebo a da nije iskusio smrti; “nestao je jer ga je Bog uzeo”. Ali prije nego što je prenesen primio je svjedočanstvo da je ugodio Bogu.
3a0b06008e	Bogu ne možete nikada udovoljiti bez vjere. Tko želi doći k Bogu, mora vjerovati da Bog postoji i da nagrađuje one koji ga iskreno traže.
3a0b0700de	Vjerom je Noa izgradio korablju da svoju obitelj spasi od potopa. Poslušao je Boga koji ga je upozorio da će se zbiti ono što se nikada prije nije dogodilo. Vjerom je osudio ostali svijet i stekao pravednost pred Bogom.
3a0b080094	Vjerom je Abraham poslušao Boga kad ga je pozvao da ostavi dom i ode u drugu zemlju koju mu je Bog dao u baštinu. Otišao je ne znajući kamo ide.
3a0b0900c1	Čak i kad je stigao u zemlju koju mu je Bog obećao, i ondje je živio po vjeri—jer bio je poput tuđinca i živio je pod šatorom, skupa s Izakom i Jakovom kojima je Bog dao isto obećanje.
3a0b0a004f	Jer iščekivao je grad s vječnim temeljima, kojega je Bog graditelj i tvorac.
3a0b0b00af	Vjerom je i Sara s Abrahamom mogla začeti dijete unatoč svojoj poodmakloj dobi i unatoč tomu što nije mogla imati djece. Abraham je vjerovao da će Bog održati obećanje.
3a0b0c0085	Tako je od jednog Abrahama, prestara da ima djecu, nastao narod brojan poput zvijezda na nebu i neizbrojiva pijeska na morskoj obali.
3a0b0d00a9	Svi su ti ljudi u vjeri umrli a da nisu primili što im je Bog obećao, već su to vidjeli samo izdaleka i prihvatili priznajući da su na zemlji tuđinci i pridošlice.
3a0b0e0035	A tko za sebe tako kaže, očito čezne za domovinom.
3a0b0f0045	Da su mislili na zemlju iz koje su došli, mogli su se u nju vratiti.
3a0b100084	Ali oni su se radovali boljemu mjestu, nebeskoj domovini. Zato se Bog ne srami nazvati njihovim Bogom. Pripravio im je nebeski grad.
3a0b1100a1	Vjerom je Abraham prinio Izaka kao žrtvu kad ga je Bog kušao. Taj Abraham, koji je već imao Božja obećanja, bio je spreman žrtvovati vlastitog sina, Izaka.
3a0b12003f	Bog mu je obećao: “Po Izaku će ti se nazivati potomstvo.”
3a0b13008c	Vjerovao je da Bog može Izaka, ako i umre, oživjeti. To se donekle i dogodilo jer je Izak za Abrahama bio osuđen na smrt, ali je oživio.
3a0b14006a	Vjerom je Izak blagoslovio dvojicu svojih sinova, Jakova i Ezava, pouzdajući se u Boga glede budućnosti.
3a0b15007b	Vjerom je i Jakov, već star i na umoru, blagoslovio obojicu Josipovih sinova te se poklonio Bogu oslanjajući se na štap.
3a0b160098	Vjerom je i Josip na samrti s pouzdanjem govorio o tomu kako će Bog izvesti izraelski narod iz Egipta te zapovjedio da ponesu sa sobom i njegove kosti.
3a0b170090	Vjerom su Mojsija roditelji, kad se rodio, skrivali tri mjeseca. Vidjeli su da im je Bog dao lijepo djetešce i nisu se bojali kraljeve naredbe.
3a0b18004f	Vjerom je Mojsije, kad je već odrastao, odbio zvati se sinom faraonove kćeri.
3a0b190070	Radije je odabrao da bude zlostavljan skupa s Božjim narodom nego da uživa u prolaznim zadovoljstvima grijeha.
3a0b1a0081	Vrednijim od egipatskog blaga smatrao je trpjeti sramotu zbog obećanoga Krista jer je gledao na nagradu koju će dobiti od Boga.
3a0b1b0077	Vjerom je Mojsije otišao iz Egipta ne bojeći se kraljeva bijesa, postojano kao da pred sobom gleda nevidljivoga Boga.
3a0b1c009e	Vjerom je zapovjedio izraelskome narodu da svetkuje pashalnu večeru i da poprska dovratke janjećom krvlju kako im Zatornik ne bi poubijao prvorođenu djecu.
3a0b1d0072	Vjerom je izraelski narod prošao kroz Crveno more kao po suhu tlu, a Egipćani su se utopili kad su to pokušali.
3a0b1e0053	Vjerom izraelskog naroda koji je sedam dana ophodio Jerihon pale su njegove zidine.
3a0b1f006e	Vjerom je bludnica Rahaba preživjela u tome gradu i nije poginula s nevjernicima jer je lijepo primila uhode.
3a0b20007a	Što još reći? Predugo bi trajalo da vam potanko pričam o Gideonu, Baraku, Samsonu, Jefti, Davidu, Samuelu i prorocima.
3a0b21007f	Ti su ljudi vjerom u Boga osvajali kraljevstva, pravedno vladali i primili što im je Bog obećao. Zatvorili su lavovima ralje,
3a0b22008d	ugasili žestinu ognja, izbjegli smrtonosnoj oštrici mača. Oporavili su se od slabosti, ojačali u boju i nagnali u bijeg tuđinske vojske.
3a0b2300d1	Neke su žene zbog uskrsnuća ponovno zadobile svoje pokojne. Druge su pak vjernike mučili, ali su oni radije umrli nego da se odreknu Boga pa da ih oslobode. Pouzdavali su se da će uskrsnuti u bolji život.
3a0b240046	Nekima su se izrugivali i bičevali ih, okivali ih i bacali u tamnice.
3a0b25009a	Neke su kamenovali, neke prepilili napola, neke ubili mačem. Neki su hodali obučeni u ovčje i kozje kožuhe. Bili su gladni, potlačeni i zlostavljani.
3a0b26005f	Svijet ih nije bio dostojan. Lutali su pustinjom i planinama, skrivali se u špiljama i jamama.
3a0b270071	Svi su ti ljudi stekli Božju naklonost zbog svoje vjere, a nitko od njih nije primio ono što im je Bog obećao.
3a0b28005c	Jer Bog nam je svima namijenio bolje. Oni će postignuti savršenstvo, ali tek skupa s nama.
3a0c0100c4	Budući da smo okruženi tolikim mnoštvom svjedoka vjere, odbacimo svako breme i grijeh koji nam smetaju, osobito grijeh koji nas tako lako zavede. Ustrajno trčimo utrku koju nam je Bog odredio!
3a0c0200d5	Uprimo pogled u Isusa, Začetnika i Dovršitelja naše vjere. On je podnio smrt na križu ne mareći za sramotu, ali čekala ga je radost. Sada sjedi na najuzvišenijemu mjestu u nebu, zdesna Božjemu prijestolju.
3a0c030075	Razmišljajte o svemu onomu što je on podnio od grešnika, svojih protivnika, da ne sustanete i da ne klonete duhom.
3a0c04002c	Još se nikad niste oduprli grijehu do krvi,
3a0c0500a7	pa zar ste već zaboravili Božje ohrabrujuće riječi upućene svojoj djeci. Rekao je: “Sine moj, ne prezri opomenu Gospodnju i ne obeshrabri se kad te Bog opomene,
3a0c060051	Jer Gospodin kori one koje voli i kažnjava one koje prihvaća za svoju djecu.”
3a0c070079	Trpite Božju stegu jer vas Bog njome odgaja—postupa s vama kao sa svojom djecom. A ima li djeteta kojega otac ne kori?
3a0c080066	Ako vas Bog ne kori, kao što čini sa svom svojom djecom, onda mu niste prava, nego nezakonita djeca.
3a0c0900a0	Kad su nas već naši tjelesni očevi korili i mi smo ih poštivali, nećemo li se još radije pokoriti stezi našega duhovnog Oca da postignemo vječni život?
3a0c0a00a3	Jer zemaljski su nas očevi korili kratko vrijeme kako im se činilo najbolje. Ali Božja je stega uvijek za naše dobro—da postanemo dionicima njegove svetosti.
3a0c0b0097	Nijedan se ukor, doduše, ne čini radošću, nego žalošću dok ga trpimo. Ali onima koji se njime odgajaju poslije donosi plod pun mira: pravednost.
3a0c0c002e	Zato uspravite klonule ruke i klecava koljena.
3a0c0d0049	Poravnajte staze pred sobom da se hromi ud ne iščaši, nego da ozdravi.
3a0c0e006d	Trudite se sa svima živjeti u miru, čistim i svetim životom, jer koji nisu sveti, neće vidjeti Gospodina.
3a0c0f0078	Pazite da tko od vas ne ostane bez Božje milosti, da ne proklija kakav korijen gorčine pa unese zabunu i mnoge zarazi.
3a0c10008d	Pazite da tko ne postane bludnikom ili bezbožnikom poput Ezava, koji je za jedan jedini obrok prodao pravo koje je imao kao prvorođeni sin.
3a0c110073	Kada je poslije htio da ga otac blagoslovi, on to nije učinio. Bilo je prekasno za kajanje premda je gorko plakao.
3a0c12007c	Vi niste prišli opipljivoj gori, usplamtjelome ognju, tami ni oluji poput Izraelaca na gori Sinaju kad im je Bog dao Zakon.
3a0c13006a	Oni su čuli takav zvuk trublje i takvu tutnjavu izgovorenih riječi da su molili Boga da više ne govori.
3a0c140063	Prestravila ih je Božja naredba: “Ako se makar i životinja dotakne gore, mora se kamenovati!”
3a0c150058	I sam se Mojsije tako prestrašio tog prizora da je rekao: “Strah me je i dršćem.”
3a0c160080	Vi ste, naprotiv, pristupili gori Sionu i gradu živoga Boga, nebeskome Jeruzalemu, svečanome skupu bezbrojnih tisuća anđela.
3a0c1700d4	Pristupili ste skupu Božjih prvorođenaca kojih su imena zapisana na nebesima. Pristupili ste samome Bogu, koji je sudac svim ljudima. Pristupili ste duhovima otkupljenika na nebu, koji su učinjeni savršenima.
3a0c180094	Pristupili ste Isusu, posredniku novoga saveza između Boga i ljudi, škropljeničkoj krvi koja milostivo prašta, a ne traži osvetu poput Abelove.
3a0c1900c4	Pazite da budete poslušni Bogu, onomu koji vam govori. Jer ako Izraelci nisu umaknuli kad su odbili slušati glasnika na zemlji, kako da umaknemo mi ako odbijemo slušati kad nam govori s nebesa?
3a0c1a0084	Kad je Bog govorio sa Sinaja, njegov je glas uzdrmao zemlju. “Još jednom ću protresti ne samo zemlju nego i nebesa”, rekao je.
3a0c1b0055	To znači da će ono što je zemaljsko biti uzdrmano kako bi ostalo samo ono vječno.
3a0c1c0090	Budući da smo primili kraljevstvo koje se ne može uzdrmati, budimo zahvalni i ugađajmo Bogu služeći mu sa strahopoštovanjem i s predanjem.
3a0c1d0025	Jer naš je Bog oganj koji proždire!
3a0d010023	Neka vaša bratska ljubav ne umine.
3a0d02004b	Ne zanemarujte gostoljubivost jer su neki, i ne znajući, ugostili anđele!
3a0d0300a2	Ne zaboravljajte uznike u zatvoru. Suosjećajte s njima kao da ste i sami ondje. Suosjećajte sa zlostavljanima kao da njihove nevolje trpite na vlastitom tijelu.
3a0d04006e	Poštujte svoj brak i budite jedni drugima vjerni u braku. Bog će sigurno osuditi sve bludnike i preljubnike.
3a0d050082	Klonite se pohlepe za novcem, budite zadovoljni onim što imate. Jer Bog je rekao: “Nikada te neću napustiti ni iznevjeriti!”
3a0d06007b	Zato s pouzdanjem možemo reći: “Gospodin je moj pomagač i zato se ne bojim. Što mi mogu učiniti obični smrtnici?”
3a0d070093	Sjećajte se svojih starješina koji su vam govorili Božju riječ. Razmišljajući o tome kako su živjeli i umrli, pouzdajte se u Boga kao i oni.
3a0d08003a	Isus Krist isti je jučer, danas i dovijeka će biti isti.
3a0d0900a1	Ne dajte se zavesti raznim tuđim učenjima! Izvor vaše duhovne snage je Božja milost, a ne obredna pravila o hrani, koja ne koriste onima koji ih obdržavaju.
3a0d0a0048	Mi imamo oltar s kojega ne mogu jesti poslužitelji zemaljskoga Šatora.
3a0d0b0093	Po židovskome Zakonu veliki svećenik u Svetinju prinosi životinjsku krv kao žrtvu za grijehe, ali životinjska tijela spaljuju se izvan tabora.
3a0d0c004f	Zato je i Isus trpio izvan gradskih vrata, da posveti svoj narod svojom krvlju.
3a0d0d003f	Iziđimo stoga k njemu, izvan tabora, i nosimo njegovu sramotu.
3a0d0e004a	Jer mi ovdje nemamo trajnoga grada. Iščekujemo svoj vječni grad u nebu.
3a0d0f005c	S Isusovom pomoći prinosimo neprekidno svoju žrtvu hvale Bogu slaveći usnama njegovo ime!
3a0d100063	Ne zaboravljajte činiti dobro i dijeliti s onima koji su u potrebi jer su takve žrtve drage Bogu!
3a0d1100d8	Slušajte svoje starješine i činite kako vam kažu. Njihova je zadaća da bdiju nad vašim dušama i za to će odgovarati Bogu. Trudite se da to mogu obavljati radosno, a ne uzdišući, jer to ni za vas nije dobro.
3a0d120055	Molite se za nas. Savjest nam je čista i u svemu se želimo ponašati kako dolikuje.
3a0d13003b	Usrdno vas molim, molite se da se što prije vratim k vama.
3a0d14007a	Neka vas Bog mira, koji je zbog krvi vječnoga saveza uskrisio od mrtvih velikoga Pastira, našega Gospodina Isusa Krista,
3a0d1500a0	osposobi da činite svako dobro djelo i da vršite njegovu volju. Neka on čini u nama što je njemu drago, po Isusu Kristu kojemu slava u vijeke vjekova. Amen.
3a0d160055	Molim vas, draga braćo, poslušajte riječi ohrabrenja koje sam vam ukratko napisao!
3a0d17005e	Znajte da je brat Timotej izišao iz zatvora. Ako ubrzo dođe, posjetit ću vas skupa s njime.
3a0d18004b	Pozdravite sve starješine i sve svete. Pozdravljaju vas braća iz Italije.
3a0d19002c	Neka Božja milost bude sa svima vama. Amen.
3b0000000a	Jakovljeva
3b0101006f	Jakov, sluga Boga i Gospodina Isusa Krista, piše dvanaestorim plemenima rasijanima po svijetu i pozdravlja ih.
3b01020059	Draga braćo i sestre, kad god zapadnete u kušnju, smatrajte da se imate čemu radovati.
3b01030039	Jer kad vam je vjera na kušnji, jača vaša postojanost.
3b0104005b	Zato je pustite da se potpuno razvije, da postanete besprijekornima, bez ikakva nedostatka.
3b0105005a	Treba li vam mudrosti, iskajte ju od Boga koji je svima daje rado, obilno i bez prigovora.
3b0106008c	Ali tražite s vjerom, ne sumnjajući da ćete dobiti, jer čovjek koji sumnja nestalan je kao morski valovi koje vjetar lako baca amo-tamo.
3b01070030	Takav neka se ne nada išta primiti od Gospodina
3b01080045	jer je čovjek podijeljene duše, nepostojan na svim svojim putovima.
3b01090048	Neka se kršćanin niskoga položaja ponosi time što ga je Bog uzvisio,
3b010a004c	a bogataš time što ga je ponizio, jer će nestati poput poljskoga cvijeta.
3b010b0088	Sunce žarko zasja, biljka usahne i cvijet joj otpadne te sva njegova ljepota nestane. Tako će i bogataši usahnuti na svojim putovima.
3b010c0085	Blago čovjeku koji odolijeva kušnji. Kad se pokaže prokušanim, dobit će vijenac života koji je Bog obećao svima koji ga ljube.
3b010d0082	Neka nitko od vas u napasti ne kaže: “Bog me napastuje.” Niti se Boga može napastovati da čini zlo, niti on koga napastuje.
3b010e004f	Svakoga, naprotiv, napastuje njegova vlastita požuda koja ga privlači i mami.
3b010f0050	Požuda zatim začne i rodi grijeh, a kad se grijeh potpuno razvije, rađa smrt.
3b0110002a	Zato se ne dajte varati, ljubljena braćo.
3b011100ae	Sve što je dobro i savršeno dolazi nam odozgora, od Boga koji je stvorio sva nebeska svjetlila. Za razliku od njih, on se nikada ne mijenja; u njemu nema sjene zbog mijena.
3b01120054	On nas je dragovoljno rodio riječju istine, da budemo prvenci iznad svih stvorenja.
3b01130063	Upamtite, draga braćo: svatko bi trebao biti brz na slušanju, spor na pričanju i spor na srdžbi
3b01140041	jer ljudska srdžba ne može postupati prema Božjoj pravednosti.
3b01150096	Zato izbacite iz svojih života svako zlo i prljavštinu te ponizno prihvatite Božju poruku zasađenu u svoja srca jer ona može spasiti vaše duše.
3b01160078	I ne zaboravite da tu poruku nije dostatno samo slušati već treba i postupati prema njoj. Inače sami sebe zavaravate.
3b0117006b	Jer ako samo slušate Riječ, a ne vršite ju, onda ste poput čovjeka koji pogleda vlastito lice u zrcalu,
3b01180057	ali čim se promotri, odmah ode ne popravivši što je trebalo i zaboravi kako izgleda.
3b011900b2	Ali tko se ogleda u savršenomu Božjem zakonu—zakonu koji oslobađa—i nije samo zaboravan slušatelj, nego ga zaista i izvršava, Bog će ga blagosloviti u svemu što čini.
3b011a006d	Umišlja li tko da je pobožan, a ne obuzdava svoj jezik, sam sebe vara jer je njegova pobožnost nevrijedna.
3b011b00b6	Želite li da vaša pobožnost u očima Boga Oca bude čista i neokaljana, pomažite sirotama i udovicama u njihovoj nevolji i čuvajte se neokaljanima od pokvarenosti ovoga svijeta.
3b02010057	Braćo moja, vi vjerujete u slavnoga Gospodina Isusa Krista i zato ne budite pristrani!
3b0202007b	Kad bi u vaš sastanak ušao čovjek sa zlatnim prstenjem i u skupoj odjeći, a istodobno došao i bijedno obučeni siromah
3b020300a5	te kad biste onomu u skupoj odjeći rekli: “Sjednite ovdje, na dobro mjesto”, a siromahu: “Ti možeš ondje stajati ili sjesti na pod pokraj mojeg stolca”—
3b0204003d	ne bi li to značilo da ste pristrani i da nepravedno sudite?
3b020500be	Poslušajte me, ljubljena moja braćo! Zar Bog nije izabrao siromahe ovoga svijeta da budu bogataši u vjeri? Nisu li oni baštinici Kraljevstva koje je Bog obećao ljudima koji njega ljube?
3b02060069	A vi ste prezreli siromaha! Zar nisu upravo bogataši ti koji vas tlače i koji vas povlače po sudovima?
3b02070039	Ne kunu li upravo oni lijepo ime Onoga po kome se zovete?
3b02080070	Ako zaista izvršavate kraljevski zakon iz Pisma: “Ljubi svojega bližnjega kao sebe samoga”, dobro činite.
3b0209005c	Ali ako pristrano postupate prema ljudima, činite grijeh, i prema Zakonu ste prijestupnici.
3b020a0059	Tko vrši sav Zakon, a samo u jednoj odredbi pogriješi, kriv je kao da je sve prekršio.
3b020b00b8	Jer Bog koji je rekao: “Ne čini preljub” kazao je i: “Ne ubij!” Pa ako i nisi počinio preljub, ali si nekog ubio, u potpunosti si prekršio Zakon i pred Bogom si kriv za sve.
3b020c007f	I zato, ma što govorili ili činili, imajte na umu da će vam biti suđeno prema zakonu ljubavi, zakonu koji vas je oslobodio.
3b020d009b	Jer za onoga tko nije milostiv prema drugima, na sudu također neće biti milosti. Ali za one koji su milosrdni, Božje će milosrđe pobijediti nad sudom.
3b020e0078	Draga braćo i sestre, što koristi ako tko veli da ima vjeru, a ne čini dobra djela? Zar ga takva vjera može spasiti?
3b020f0040	Ako su vam koji brat ili sestra bez svagdašnje hrane i odjeće,
3b02100079	a vi im kažete: “Idite u miru, utoplite se i najedite se”—ali im ne date hranu ni odjeću, od kakve je to koristi?
3b02110044	Tako je i s vjerom: ne rodi li dobrim djelima, mrtva je i nekorisna.
3b021200b2	Netko bi, naprotiv, mogao reći: “Ti imaš vjeru, a ja imam djela.” Ali ja kažem: “Dokaži mi svoju vjeru odvojeno od djela, a ja ću tebi dokazati svoju vjeru djelima!”
3b02130081	Zar još misliš kako je dostatno vjerovati da postoji samo jedan Bog? Dobro je to vjerovati. I zlodusi u to vjeruju—i dršću!
3b02140056	Kad ćeš već jednom naučiti, šuplja glavo, da je vjera bez dobrih djela nekorisna?
3b02150069	Zar se naš predak Abraham nije pred Bogom opravdao djelom kad je na žrtvenik prinio svojega sina Izaka?
