2900000006	Marcos
290d040084	“Sabin yu paraw kanyan nu makanun mangyariyaꞌ innunghung yu buy hita palatandaanaꞌ madani yanan mangyariyaꞌ laataꞌ ati?”
290d05005b	Kaya ambalan Apu Jesus kanla, “Magꞌingat kawu taêmên ah kawu mailêtêp hitalagyuman.
290d060058	Ta madlan lumatêng buy mannunghungaꞌ, ‘Hakuy Cristo!’ Buy madla hilan mailêtêp.
290d0700ab	Nu makalêngê kawun gira ha madani kayu buy makabalita kawun gira ha madayu, ah kawu malimu. Dapat dilin mangyariyaꞌ habayin, nuwa alwa pun habatiyaꞌ katapusan mundu.
290d0800ae	Ta milalabanaꞌ bawbansa buy milalaban mêtaꞌ kawkaharian. Magdayun ha iba iban rugal buy lumatêngaꞌ tagbitil. Hay libun ati, pasimulan dilin kairapanaꞌ lumatêng.”
290d09010a	“Magꞌingat kawu, ta ha paghunul yu kangku, dakpên kawu, gitan kawu ha hukuman buy pagpapaluhun kawu ha biyag pamititipunan Hawjudio. Iarap kawu ha gawgubirnadur buy hawhari ta pagtatanungun kawu. Pagkakatawun yuy nay ati taêmên mapapêtgan yuy tungkul kangku.
290d0a0069	Bayu lumatêngaꞌ katapusan, dapat pun maipangaral ha laat bansay Mahampataꞌ Balita tungkul kangku.”
290d0b00da	“Nu dakpên kawu ta iarap kawu ha hukuman, ah kawu malimu nu hitalagyun nunghungun yu. Basta sabin yun diliy inunghung Ispiritun Apu Diyus ha uras bantu. Ta alwan hakawuy mannunghung nu alwan hay Ispiritun Apu Diyus.
290d0c0093	Ha panawunaꞌ tu, ibin patêlaꞌ sarili lan patêl ta ipapati. Habatu mêtaꞌ bawbapa ha kanlan awꞌanak buy hay awꞌanak ha kanlan mangatuwa.
290d0d0079	Kapuutan kawun laat gawan ha paghunul yu kangku. Nuwa hay manatili kangkun tapat angga ha katapusan, habatuy miligtas.”
290d0e0111	Ambala pun Apu Jesus, “Maakit yuy kasuklamꞌsuklamaꞌ lumatêng, kaya intayak lay timplu. Impaêdêng lay ati ha rugalaꞌ alwan dapat pinaypaêdêngan. (Hakawung namamasa, pakaihipin yuy ati!) Nu mangyari yanay ati, dapat magtakahanay tawtaga Judea ha kabungꞌuyanan.
290d0f0041	Hay dilag ha uhbung biyag andiyana magpahuk mangwan hitalagyuman.
290d10002f	Hay dilag ha gahak andiyana mulin mangwan baru.
290d110053	Makaingaluy mangabuktut buy kawkulawan ha allêwaꞌ tu ta mairapan hilan magtakah.
290d120044	Ipanalangin yuy andi hana mangyariyaꞌ ati ha panawun taglayꞌêp.
290d1300bb	Kasi ha panawun bantu, makadanas pagꞌiirapaꞌ tawtawung alwa pun nadadanasan ibat hin inlikhan Apu Diyus ya mundu angga hapaêg. Buy alay nan madanasaꞌ habatun pagꞌiirap makanuman.
290d140091	Nu alwan paêpêkên Apu Diyusaꞌ panawun bantu, alay nan mitlay mabyay. Nuwa alangꞌalang ha kanan pawpinili, pinaêpêk nay panawun bantu.”
290d15007a	“Nu mayin mannunghung kayung, ‘Dilag kaytiya Criston impangakun Apu Diyus!’ u ‘Dilag ya istu!’, ah kawu maniwala
290d1600be	ta lumtawaꞌ tubhunaꞌ Cristo buy tubhunaꞌ tagapannunghung Apu Diyus. Magpakit hilan hawhimala buy libun makapagtaka taêmên mamilêtêp. Nu maari, pati pawpinilin Apu Diyus magin kana.
290d170051	Kaya magꞌingat kawu! Impapatanda kuy na kayuy ati kaban ahê pun nangyayari.”
290d180064	“Pagkayarin allêwaꞌ tun matindin kairapan, magmadlêmaꞌ allêw, ahêy na maghawangaꞌ buyan.
290d190078	Buy mangananabuy bawbêtêwên ibat ha langit. Mangatêgêy libun nanaakit ha langit buy mawala ha kanla kanlan puwistu.
290d1a0096	Buy maakit lan hakuy nangibat ha langitaꞌ Inꞌanak Tawuy malatêngaꞌ nakahakay ha ulap, dilag kangkuy matagꞌayaꞌ kapangyarian buy kahawangan.
290d1b0057	Ipagtan kuy awꞌanghil ku ha laat rugal ha mundu taêmên tipununaꞌ pawpinili ku.”
290d1c006e	“Unawaên yuy aral ha puun igus. Nu magkadawênanay hawhangan igus, tanda yuy madani yanay pamitubun tanêm.
290d1d0066	Habatu mêt nu mangyariyaꞌ libun innununghung kun ati kayu, matandan yuy madani hakuy nan lumatêng.
290d1e0071	Pakalêngꞌên yuy inunghung ku kayu, matupadaꞌ laataꞌ ati bayu mangamamatiyaꞌ tawtawu ha panawunaꞌ ati.
290d1f0052	Hay langit buy lutay mayin angganan, nuwa hay libun nunghung kuy alan angganan.”
290d2000ab	“Tungkul ha allêw u urasaꞌ kangkun pagbabalik, alan nakakatandan ati maski libun anghil ha langit u haku manaꞌ Anak Apu Diyus. Hay Bapan diliyaꞌ nakakatandan ati.
290d21004f	Kaya magꞌingat kawu buy maghanda ta ah yu tanda nu makanu hakun lumatêng.”
290d2200eb	“Maari atin iitbuh ha gihay tawung naku ha madayun rugal. Bayu ya nagꞌalih ha biyag, binyanan nay nan kanya kanyan tarabahuy kanan awꞌutuhan ta pinagbilinan nay guwardiya ha pintuan, ‘Magin handa ka ha kangkun paglatêng.’”
290d230089	“Kaya magin handa kawu ta ah yu tanda nu hakun nagbiyag makanun lumatêng, maarin hapun, ha malalêy yabi, ha hawang hawang, u ha datu.
290d240035	Dat bigla kun lumatêng, malatngan katawun natutuluy.
290d250062	Kaya hay innununghung ku kayu, habatu mêtaꞌ innununghung ku ha laat, ‘Magin handa kawu!’”
290e010117	Luway allêw tana bayu lumatêngaꞌ Allêw Pagꞌalaalan Kaligtasan ha Pagꞌiirap buy Kamatiyan buy Allêw Tinapayaꞌ Alan Pampaalsa. Hay libun namamaalan pari buy tawtagapanudun kautuhan, nanangkap hilan pagkakatawun taêmên lihim lan maipadakêp buy maipapati hi Apu Jesus.
290e02005a	Ambala la, “Andi tamu gawꞌên ha Allêw Pagꞌalala, lumbutaꞌ magkaguluy tawtawu.”
290e030168	Hin dilag hi Apu Jesus ha Betania, kaban nanangan ya ha biyag Simonaꞌ daan mayin matindin hakit ha balat, inlumatêngaꞌ gihay babayi. Mayin yan pigtanaꞌ mamaalênaꞌ pabangu. Hay pamiantiyan gawa ha batun alabastro. Hay pabangung ati, puru ibat ha katas halamanaꞌ nardu. Binahak nay bêng pamiantiyan pabangu bayu imbunlug nay pabangu ha un Apu Jesus.
290e040051	Napuutaꞌ umnuy tawu istu. Ambala la, “Angkaya na sinasayangaꞌ pabangung in?
290e050088	Naipaghaliw hanay habayin ha mamhakaꞌ alaga, katumbas gihan tawunaꞌ suwildu. Naiibi hana ha mangairap.” Buy kinapuutan lay babayi.
290e06006a	Nuwa ambalan Apu Jesus, “Paulayan yu ya. Angkaya yu ya ginugulu? Mahampataꞌ atiyaꞌ ginawa na kangku.
290e070082	Hay libun mangairap panay yun makaawyun buy maari kawun tumulung kanla maski hitalagyun uras. Nuwa haku, ah yu ku panay makaawyun.
290e08008b	Ginawa nay makaya nan gawꞌên na para kangku. Binunlugan nay nawini kun pabangu taêmên ipauna nay paghahanda ha kangkun pagꞌêlbêng.
290e0900a9	Pakalêngꞌên yuy inunghung ku kayu, haantu man ipangaralaꞌ Mahampataꞌ Balita ha buung mundu, ipamalita mêtaꞌ ginawa nan ati kangku taêmên ah ya maliwanan.”
290e0a008e	Hi Judas Iscariote, giha ya ha tawtagahunul Apu Jesus. Naku ya ha libun namamaalan pari takayꞌêmên makipagkasundun ipakabili hi Apu Jesus.
290e0b00a3	Hin natandan lay pakay Judas, natula hila buy nangaku hilan biyan yan pira. Kaya ibat hin habatu, nagꞌihip yay na, nu pakapakun nan ipakabili hi Apu Jesus kanla.
290e0c012e	Inlumatêngaꞌ unan allêw ha Allêw Tinapayaꞌ Alan Pampaalsa. Atiyaꞌ allêw paghahandug tupan kikinan ha Allêw Pagꞌalaalan Kaligtasan ha Pagꞌiirap buy Kamatiyan. Kaya tinanung hi Apu Jesus tawtagahunul na, “Haantu yu labay kamin maghandan apunan para ha Allêw Pagꞌalaalan Kaligtasan?”
290e0d0150	Inutuhan nay luwa ha kanan tagahunul, “Maku kawu ha banwan Jerusalem ta baistu mayin manyalubung kayuy gihay liyaki, mipapasan bangan lanêm. Hunulun yu ya ha biyagaꞌ pahukan na, buy sabin yu ha mayin biyag, ‘Impapatanung Mistru nu haantun kuwartu yan mangan apunan awyunaꞌ tawtagahunul na ha Allêw Pagꞌalaalan Kaligtasan.’
290e0f0084	Itudu na kayuy gihay mamhakaꞌ kuwartu ha tagꞌay, kumplituy nan kagamitan buy nakahanday na. Istu kawun maghandan apunan tamu.”
290e1000ba	Nagꞌalihaꞌ luwa nan tagahunul. Buy hin inlumatêng hila ha banwa, naakit lay laataꞌ innunghung Apu Jesus kanla. Buy inhanda la istuy apunan para ha Allêw Pagꞌalaalan Kaligtasan.
290e110048	Kinayabinan, inlumatêng hi Apu Jesus awyunaꞌ labinluway tagahunul na.
290e120091	Kaban nanangan hilay na ha lamisa, ambalan Apu Jesus kanla, “Pakalêngꞌên yuy ati. Giha kayuy kaawêm ku ha panganan, maypakabili kangku.”
290e130072	Hin nalêngê lay habatu, nalungkut hila. Gihaꞌgiha hilan nagtanung kana, “Mistru, alwan hakuy habatu, ani?”
290e14005a	Ambalan Apu Jesus kanla, “Giha kayu ha labinluway kaawyun kun maysawsaw tinapay ha tasa.
290e1500a0	Ta dilag ha kasulatan, hakuy nangibat ha langitaꞌ Inꞌanak Tawuy patin. Nuwa makaingaluy tawung maypakabili kangku. Mangêd pun ban, ah yay na impanganak.”
290e1600d8	Kaban nanangan hila, nangwan tinapay hi Apu Jesus, nagpasalamat ya kan Apu Diyus buy pinagbihꞌil bihꞌil nay ati bayu inꞌibi na ha libun tawtagahunul na. “Kuwên yuy ati ta kanên yu, ati ya kangkun nawini.”
290e170065	Pagkayari, nangwa yan inêmên, nagpasalamat kan Apu Diyus, inꞌibi na kanla bayu ninêm hilan laat.
290e180092	Ambala na kanla, “Ati ya kangkun daya, ibunlug ku para ha pagtubus kasalanan dêlan tawu. Atiyaꞌ mamapêtêg pangakun Apu Diyus ha tawtawu.”
290e1900b4	“Pakalêngꞌên yuy ati, ah kuy na mênêm uman alakaꞌ ibat ha katas ubas angga ha lumatêngaꞌ paghaharin Apu Diyus. Ha allêw bantu, mênêmakun bayun kalasin ênêmên.”
290e1a004d	Nagkantaan hilan papuri kan Apu Diyus bayu naku hila ha Bungꞌuy Awꞌulibu.
290e1b00a9	Innunghung Apu Jesus ha tawtagahunul na, “Innunghung Apu Diyus ha kasulatan, ‘Patin kuy pastul ta mimihiyayaꞌ tawtupa.’ Matupadaꞌ ati ta piibwatan yu kun laat.
290e1c0048	Nuwa pagkayari kun mabyay uman, mauna ku kayu ha prubinsiyan Galilea.”
290e1d0059	Innunghung Pedro kan Apu Jesus, “Ibwatan kawu man laat, nuwa haku ah katawu ibwatan.”
290e1e00a9	Tinumbay hi Apu Jesus kana, “Pakalêngꞌên yuy inunghung ku kayu, bayu manalangꞌayaꞌ manuk luway bisis ha yabin ti, tatluy bisis mu kun ipuglaun kilala mu ku.”
290e1f0086	Nuwa impagpilitan Pedro, “Ah katawu talaga ipuglau, maski patinaku punaꞌ awyun yu.” Habatu mêtaꞌ innunghung laat nan kaawyun.
290e200088	Pagkayari, naku hila ha rugalaꞌ Getsemane. Paglatêng la istu, innunghung Apu Jesus kanla, “Mitnu kawu haati kaban manalanginaku.”
290e21005d	Inꞌawyun na hi Pedro, Santiago buy Juan. Nababaala ya ta tinatagam nay na ya mangyari kana.
290e220058	Innunghung na kanla, “Dapayakun mati ha lungkut. Haati kawun dili, ah kawu matuluy.”
290e23007f	Nagpakadayu yan bagya, ta nagluhud buy nanalangin, “Nu maari hana, ah kuy na danasinaꞌ pagꞌiirapaꞌ lumatêng kangku.”
290e2400a7	Innunghung na, “Bapa, magawa yuy laataꞌ bagay. Nu maari ipakadayu yu kangkuy pagꞌiirapaꞌ atiyaꞌ lumatêng. Nuwa alwan labay kuy mahunul nu alwan labay yu.”
290e2500ae	Pinagbalikan Apu Jesus ya tatluy tagahunul na ta nalatngan nan natutuluy. Innunghung na kan Pedro, “Simon, natutuluy kaw pun? Ah kawu makapagpuyat maski gihay uras dili?”
290e260096	Ta innunghung na kanla, “Magpuyat kawu ta manalangin taêmên ah kawu maguluy tuksu. Hay nakêm yu labay lumaban ha tuksu, nuwa hay nawini maina.”
290e270055	Nagpakadayuy namêt hi Apu Jesus ta nanalangin yan uman, dapay ha una nan panalangin.
290e2800c1	Pagkayari, pinagbalikan nan umanaꞌ tawtagahunul na. Nalatngan nay namêt hilan natutuluy ta bêlêw bêlêwên hilan tandah. Hin napukaw hila, ah la tanda nu hita nunghungun la kan Apu Jesus.
290e2900e1	Buy nanalangin yan uman. Ha pangatlun pagbalik Apu Jesus, innunghung na kanla, “Natutuluy kaw pun buy nagpapahinga? Tamay nay habayin! Lumatênganay urasaꞌ hakuy nangibat ha langitaꞌ Inꞌanak Tawuy iibi ha makasalanan.
290e2a0049	Mibwat kitamuy na, halubungun tamu hila! Dilaganay maypakabili kangku.”
290e2b00db	Nannununghung pun hi Apu Jesus, biglan inlumatêng hi Judas ya giha ha labinluway tagahunul na. Madla yan awyunaꞌ armadun ispada buy pamaluh. Sinugu hilan namamaalan pari buy tawtagapanudun kautuhan buy pawpuun Judio.
290e2c00bb	Namꞌin palatandaan ha mandakêp kan Apu Jesus hi Judas ya naypakabili kana. Ambala na, “Nu hita daninan ku ta halikan ku, habatuy dakpên yu. Gitan yu buy ah yu paulayan makatakah.”
290e2d0079	Kaya hin inlumatêng hi Judas, agad yan nagdani kan Apu Jesus. Kinanunghung na, “Mistru!”, bayu na hinalikanaꞌ ati.
290e2e0023	Agad dinakêp hi Apu Jesus tawtawu.
290e2f006f	Nangublut ispaday gihay tagahunul Apu Jesus ta tinabtab nay gihay alipên puun pari, buy nalaplapaꞌ têk ati.
290e300084	Ambalan Apu Jesus ha libun nandakêp kana, “Tulisanaku kaya bay ta nipantan kawun ispada buy pamaluh takayꞌêmên dakpên yu ku?
290e3100c6	Allêw allêwakun dilag ha timplu ta nanunudu buy dilag kaw mêt baistu. Angkaya ah yu ku dinakêp? Nuwa kaylangan mangyariyaꞌ ati taêmên matupadaꞌ innununghung ha kasulatan tungkul kangku.”
290e320043	Hin habatu mêt, inibwatan yan tawtagahunul na buy nipagtakah hila.
290e33006f	Mayin gihay binata baistu, nanghunul kan Apu Jesus, nakabalabal yan dilin tilan linu. Dinakêp ya mêt tawtawu,
290e34004a	nuwa ha pagtakah na, nadukpan lay kanan balabal, kaya inlumukhu yan hubad.
290e35007d	Gintan la hi Apu Jesus ha biyag puun pari. Nititipun baistuy laat namamaalan pari, pawpuun Judio buy tawtagapanudun kautuhan.
290e3600a2	Hinumunul mêt baistu hi Pedro nuwa madayu yan bagya kan Apu Jesus. Nagpahuk ya ha bakuran puun pari, nikiitnu ya ha gawguwardiya buy nagpakyang ya ha danin apuy.
290e3700c8	Baistu ha luub, hay libun namamaalan pari buy pinakamatagꞌaya grupun pawpuun Hawjudio nananangkap ibidinsiyan laban kan Apu Jesus taêmên mahatulan yan kamatiyan. Nuwa ala hilan makuwan ibidinsiya.
290e380061	Dêlan nagsaksin alwan pêtêg laban kan Apu Jesus nuwa alway naman nagkakagihay innununghung la.
290e390047	Mayin umnuy nêdêng buy nagsaksin alwan pêtêg laban kana. Ambala la,
290e3a008d	“Nalêngê yana sinabi na, ‘Gibaên kuy timplun atiyaꞌ gawan tawu, nuwa ha buun tatluy allêw iêdêng kuy timplun alwan gawan tawu!’
290e3b0030	Nuwa, alwa mêt nagkakagihay innununghung la.”
290e3c006e	Nêdêng ha gitnay puun pari, tinanung hi Apu Jesus, “Ala ka kaya ban sabin ha imbibintang la laban kamu?”
290e3d007b	Ahê nagtêgê hi Apu Jesus, kaya tinanung yan uman puun pari, “Haka bayaꞌ Cristo, anak Apu Diyusaꞌ pinupuri tamu?”
290e3e00d9	Tinumbay hi Apu Jesus, “Haku bay, buy hakuy nangibat ha langitaꞌ Inꞌanak Tawuy maakit yun nakaitnu ha kanan Makapangyarihan Apu Diyus. Buy paglatêng ku kayti ibat ha langit, maakit yu ku ha ulapaꞌ patabuy.”
290e3f0078	Hin nalêngêy atin puun pari, ha puut na, ginihi nay kanan baru buy ambala, “Angkaya tamu pun kaylanganaꞌ sawsaksi?
290e4000a8	Nalêngê yuy ah na inggagalangaꞌ Apu Diyus ta inꞌiitbuh nay sarili na kana. Hita labay yun gawꞌên kana?” Buy hinatulan la hi Apu Jesus, “Dapat yan patin.”
290e4100b0	Tinupayan yan umnu baistu. Tinakpan lay mata na buy sinuntuk ya bayu tinanung, “Sabin mu paraw nu hita nanyuntuk kamu?” Pagkayari, kinwa yan gawguwardiya buy pinagbubugbug.
290e42004f	Hin dilag pun ha bakuran hi Pedro, dinumanaꞌ gihay babaying utuhan puun pari.
290e43009f	Hin naakit na hi Pedro, nagpapakyang ha danin apuy, nangunênêg yan nakabalay kana buy innunghung na, “Awyun ka mêt Apu Jesus ya taga Nazaret, alwa nay?”
290e44009f	Nuwa impuglaun Pedroy ati, “Ah ku tanday innununghung mu.” Pagkayari, nagꞌalih ya baistu ta naku ya ha luwahan. Hin habatu mêt, nanalangꞌayaꞌ manuk.
290e450093	Naakit yay na mêt istun babaying utuhan, kaya innunghung babayi ha tawtawung dilag istu, “Hay tawung ban in, giha ya mêt ha awyun Apu Jesus.”
290e46007f	Nuwa, impuglaun uman Pedro. Papainghan, innunghung tawtawu baistu, “Giha ka bay ha kawkaawyun na, ta taga Galilea ka mêt.”
290e470059	Nuwa nagsumpa hi Pedro, “Matiyaku man, ah ku talagan kilalay tawung innununghung yu.”
290e4800d5	Hin habatu mêt, nanalangꞌay umanaꞌ manuk. Buy naihipan Pedroy innunghung kanan Apu Jesus, “Bayu manalangꞌayaꞌ manuk luway bisis, tatluy bisis mu kun ipaglaun kilala mu ku.” Nanghêmêkmêk yan tangih.
290f010102	Kinadatunan, ninununghung agadaꞌ libun namamaalan pari, pawpuun Hawjudio, tawtagapanudun kautuhan buy pinakamatagꞌaya grupun pawpuun Hawjudio, nagꞌihip hila nu hita gawꞌên la kan Apu Jesus. Impagapuh la hi Apu Jesus buy gintan kan Gubirnadur Pilato.
290f020091	Hin dilaganaꞌ hila, tinanung yan Pilato, “Haka kaya bayaꞌ, talagan Harin Hawjudio?” Tinumbay hi Apu Jesus, “Hakawuy nay nannunghung.”
290f03003d	Madlan bintangaꞌ libun namamaalan pari laban kan Apu Jesus.
290f04006b	Kaya tinanung yan uman Pilato, “Ala ka kaya ban manunghung? Balayên mu, madla hilan imbibintang kamu!”
290f050041	Nuwa ahêy namêt nagtêgê hi Apu Jesus. Kaya nagtaka hi Pilato.
290f06008d	Tuwing Allêw Pagꞌalaalan Kaligtasan ha Pagꞌiirap buy Kamatiyan, nakaugaliyan Pilato, magpalayan gihay bilanggun labay palayaên tawtawu.
290f070087	Mayin gihay bilanggu baistu, hay lagyu hi Barabas. Nabilanggu ya ta awyun ya ha nakilaban ha pamahalaan buy nakapati hin panawun bantu.
290f080059	Madlan nagdani kan Pilato ta hiniling lay gawꞌênaꞌ nakaugaliyan magpalayan bilanggu.
290f090049	Kaya tinanung hilan Pilato, “Labay yuy palayaên kuy Harin Hawjudio?”
290f0a006c	Innunghung nay ati ta tanda na, inggitaꞌ namitulak ha libun namamaalan pari kaya gintan kana hi Apu Jesus.
290f0b006e	Sinulsulan libun namamaalan pariyaꞌ tawtawu, “Hi Barabas ya hilingin yun palayaên, alwan hi Apu Jesus.”
290f0c006f	Nagtanung uman hi Pilato ha tawtawu, “Hitalagyu hapaêgaꞌ gawꞌên ku ha binabawêg yun Harin Hawjudio?”
290f0d0029	Nagbungꞌu hila, “Ipaku ya ha krus!”
290f0e0085	Ambalan Pilato kanla, “Awta? Hitalagyu kaya ba nagawa nan kasalanan?” Nuwa lalu pun nagbungꞌuy tawtawu, “Ipaku ya ha krus!”
290f0f00a7	Labay Pilaton iibiyaꞌ kahilingan tawtawu, kaya pinalaya na hi Barabas. Buy impapaluh nay naman hi Apu Jesus bayu inꞌibi na ha sawsundalu taêmên ipaku ya ha krus.
290f100070	Gintan sawsundalu hi Apu Jesus ha luub mamhakaꞌ biyag gubirnadur ta tinipun la istuy laat kaawyun lan sundalu.
290f11005e	Pinasuutan la hi Apu Jesus tilan kulay ubi bayu nanggawa hilan kurunan diwi buy intugpaw kana.
290f120064	Pagkayari, nagbubungꞌu hila ta kanwari pinupuri la hi Apu Jesus, “Mabiyayaꞌ Harin Hawjudio!”
290f130074	Buy inuman uman lan pinagpapaluh tukudaꞌ u na buy pinagbubulitan ya. Nagluhud hila kana, kanwari sinusumamba kana.
290f14009f	Hin nayari lan uyamên hi Apu Jesus, inhubad lay kulay ubin tila bayu impasuutaꞌ kanan baru. Pagkayari, gintan la hiya ha labas banwa taêmên ipaku ha krus.
290f1500aa	Kaban nanlyalyaku hila nahalubung lay gihay tawung ibat ha bukid. Hiya hi Simon, taga Cirene, bapan Alexander buy Rufus. Impilit lan impabwat kan Simon ya krus Apu Jesus.
290f160059	Gintan la hi Apu Jesus ha binabawêgaꞌ Golgota, hay labay nunghungun “Rugal Bungu”.
290f1700d8	Paglatêng istu, binyan la hi Apu Jesus alakaꞌ mayin halung gamutaꞌ binabawêg mira. Labay lan ipaênêmaꞌ ati takayꞌêmên ah na matanamaꞌ masyarung hakit nu ipaku lay na hiya. Nuwa ah na inênêmaꞌ ati.
290f18006b	Impaku la hi Apu Jesus ha krus bayu pinagpalabunutan lay bawbaru na taêmên matandan lay dakay balan giha.
290f190025	Ikasiyama datu hin impaku ya ha krus.
290f1a005f	Mayin karatula ha tagꞌay krus. Ati ya nakasulat bintang laban kana, “Hay Harin Hawjudio.”
290f1b005d	Mayin mêt luway tulisana impaku ha krus kadanin Apu Jesus, giha ha kanan na, giha ha kaliwa.
290f1c0072	[Ha pangyayarin ati, napapêtgananay innunghung ha kasulatan Apu Diyus, “Napabilang ya ha libun makasalanan.”]
290f1d00b4	Ininsultu hi Apu Jesus tawtawung dinuduman istu. Napapalampêyêng hila, sabayaꞌ sabin, “Hita hapaêg? Indap ku, gibaên muy timplu buy iêdêng mun uman ha luub tatluy allêw?
290f1e0030	Magtabuy ka ha krus ta iligtas muy sarili mu!”
290f1f00ab	Habatu mêtaꞌ panꞌiinsultun libun namamaalan pari buy tawtagapanudun kautuhan. Ambala la ha gihat giha, “Inligtas nay kanayun, nuwa alwa nan mailigtasaꞌ sarili na!
290f2000b3	Balayên tamu, nu makatabuy ha krusaꞌ Criston ati, hari kanun Israel! Nu makatabuy ya, maniwala kitamuy na.” Maging hay luway nangakapakung awyun na, nangꞌinsultu mêt kana.
290f210056	Hin magꞌalas dusiyanan tanghali, nagmadlêmaꞌ buun kalutꞌan ha luub tatluy uras.
290f2200b2	Hin magꞌalas tris hapun, nagbungꞌun malakas hi Apu Jesus, “Eloi, Eloi, lêma sabachtani?” Hay labay nunghungun Apu Jesus, “Diyus ku, Diyus ku, kaya mu ku pinaulayan?”
290f230098	Hin nalêngên nangakaêdêng baistuy innunghung Apu Jesus ya “Eloi”, ah la natêbêk. Kaya ambala la, “Lêngꞌên yu, binabawêg na hi Elias.”
290f240112	Inlumukhu agadaꞌ gihay tawu, nangwan ispungha, ingkabit ha tampuh bihlakan, ta intiltil ha maasimaꞌ alakꞌ, bayu impalkap ha bêbêy Apu Jesus takay hêphêpên na. Innunghung tawung ati, “Ibwatan tamu ya. Balayên tamu nu lumatêng hi Elias, nu itabuy ya ha krus.”
290f25003f	Nagbungꞌun malakas hi Apu Jesus buy nabuytuwan yan inawanên.
290f26005c	Hin habatu mêt, hay tabingaꞌ makapalaꞌ tila ha luub timplu, nagihi ha tagꞌay patabuy.
290f2700a2	Nakaêdêngaꞌ kapitan sundalu ha tapat krus, naakit na nu pakapakun nabuytuwan inawanên hi Apu Jesus. Innunghung na, “Pêtêg bayaꞌ, Anak yan Apu Diyus.”
290f280090	Ha madayun bagya, mayin babaying namamalay ha nangyayari, hi Salome, hi Maria taga Magdala, buy hi Marian indu lan Jose buy ali nan hi Santiago.
290f29008f	Hay babaying ati, mamikilalaku kana, nanunulung kana hin dilag ya pun ha Galilea. Dilag mêt baistuy babaying nakilaku kana angga ha Jerusalem.
290f2a0040	Padlêmanan habatu, uras paghanda ta dumahuy Allêw Pamamahinga.
290f2b00f1	Kaya naglakas luub hi Jose, taga banwan Arimateang lakwun na hi Gubirnadur Pilato ta ipikikuway bangkay Apu Jesus. Hi Jose, giha ha inggagalang ha pinakamatagꞌaya grupun pawpuun Hawjudio. Ta giha ya ha nangêngêtêng paghaharin Apu Diyus.
290f2c008b	Hin nalêngên Pilaton natiyana hi Apu Jesus, nagtaka ya. Kaya impabawêg nay kapitan sawsundalu, intanung na, “Natiyana hi Apu Jesus?”
290f2d0074	Hin nalêngên Pilato ha kapitanaꞌ natiyana hi Apu Jesus, pinaulayan nay na hi Josen kuwênaꞌ bangkay Apu Jesus.
290f2e010a	Nanyaliw mamaalinaꞌ tilan linu hi Jose. Bayu, impakuway bangkay Apu Jesus ha krus. Ta imbalut nay ati ha hinaliw nan tilan linu buy inꞌêlbêng nay ati ha kinalin êlbêngan ha pingit bud. Bayu, intulid nay mamhakaꞌ batu taêmên panakêp ha pintun êlbêngan.
290f2f0060	Naakit hinhatun Maria taga Magdala buy Marian indun Jose, nu haantun inꞌêlbêng hi Apu Jesus.
29100100bf	Pagkalibah Allêw Pamamahinga, nanyaliw pabangu hilan Maria taga Magdala, Marian indun Santiago, buy hi Salome, ta maku hila ha pinayꞌêlbêngan Apu Jesus, ipuyuk lay pabangu ha bangkay na.
2910020049	Hin allêw Linggu pagkasikat allêw, nakuy na hila ha pinayꞌêlbêngan.
2910030083	Kaban nallyalyaku hila, nagtatanungan hila, “Hitalagyu kayay mapikinunghungan tamung mamitulid batun pakatakêp ha êlbêngan?”
291004005f	Nuwa hin inlumatêng hila istu, naakit lan naitulidana ha pingitaꞌ mamhakaꞌ kahanaꞌ batu.
2910050086	Buy nagpahuk hila ha êlbêngan, naakit la istuy gihay binatilyu, nakabarun putin makadang, pakaitnu ha bandan kanan. Nikakalimu hila.
29100600c3	Nuwa ambalan binatilyu kanla, “Ah kawu malimu! Tanda kun titingkap yu hi Apu Jesus ya taga Nazaret ya impaku ha krus. Ala yay na kayti, nabyay yan uman! Balayên yuy pinagꞌundagan bangkay na.
291007009c	Mallyaku kawuy na ta nunghungun yu ha tawtagahunul na, laluy na kan Pedro, maunay na hi Apu Jesus ha Galilea. Baistu yu ya maakit dapay ha innunghung na.”
2910080084	Nalgangaꞌ babayi buy ginalgal kaya naghalwang ha êlbêngan buy inlumukhu. Ha subrang limu, ah lay na nainunghung ha hitalagyuman.
29100900f1	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) [Hin datun datu pun allêw Linggu, hin nabyay hi Apu Jesus, una yan nagpaakit kan Maria taga Magdala, hiyay babaying sinuklutan pituy anitung pinaalih Apu Jesus.
29100a0071	Inlakun Mariay tawtagahunul Apu Jesus. Nalatêng nan nagluluksaꞌ buy nananangih hila buy imbalita nay nangyari.
29100b004e	Nuwa, ah hila naniwala ha imbalita nan nabyay hi Apu Jesus buy nagpaakit kana.
29100c0068	Pagkayarin habatu, nagpaakit uman hi Apu Jesus ha luwa nan tagahunul palaku ha bukid, nuwa ha iban anyu.
29100d0085	Kaya nagbalikaꞌ luwa ha kaawyun la ha Jerusalem ta innunghung lan nagpaakit kanla hi Apu Jesus. Nuwa ahê mêt naniwalay libun ati.
