0100000010	Яритилиш
2f0a0e0171	Чүнки өлчими силәрниң хизмитиңларға йәтмәйдиған кишиләрдәк, [хизмитиңларда болғинимизда] даиримиздин һалқип кәтмәймиз, чүнки биз Мәсиһниң хуш хәвирини йәткүзүштә [биринчи болуп] йениңларғиму кәлдуқ.
2f0a0f01b7	Биз хизмәт даиримиздин һалқип, башқиларниң сиңдүргән җапа-әҗирлири билән махтанғинимиз йоқ; лекин биз силәрниң иман-етиқатиңлар өскәнсери араңлардики хизмитимиз бизгә бекитилгән даиримиз ичидә техиму зиядә кеңәйтилсун дәп үмүт қилимиз;
2f0a100146	шундақ болғанда, биз силәрдин техиму жирақ йәрләргә хуш хәвәрни йәткүзүп җакалайдиған болимиз; тәйярға һәйяр болуп, башқиларниң даирисидики хизмәт әҗри билән махтиниш бизгә ят.
2f0a11007d	Амма «Пәхирлинип махтиғучи болса Рәбдин пәхирлинип махтиши керәк!».
2f0a120093	Чүнки өзини тәриплигүчи әмәс, бәлки Рәб тәриплигән киши һәқиқәтән лаяқәтликтур.
2f0b0100c3	[Махтанған] бу азғинә ахмақлиғимға сәвирчан болғайсиләр! Әнди силәр маңа сәвричанлиқ қилип келиватисиләр.
2f0b020168	Чүнки мән Худадин кәлгән отлуқ муһәббәт билән силәрни [аздурушлардин] һәсәт қилимән; чүнки қизни бир әргила ятлиқ қилғандәк, мән силәрни Мәсиһкила пак қиз сүпитидә һазир болушқа вәдиләштүргәнмән.
2f0b030113	Амма илан Һава анимизни һейлигәрлиги билән аздурғандәк, ой-көңлүңлар Мәсиһкә бағланған сәмимий, сап вапалиқтин езип булғиниши мүмкин дәп әнсирәймән.
2f0b04021a	Чүнки бириси келип биз силәргә һеч җакалап бақмиған башқа бир Әйсани җакалиса, яки қәлбиңлардин орун бәргән Роһниң орниға башқа бир роһқа орун бәрсәңлар вә силәр қобул қилған хуш хәвәрдин башқа бир «хуш хәвәр»ни қобул қилсаңлар, силәр бу ишларға әҗайип сәвир-тақәт билән өтүверишиңлар мүмкин!
2f0b050095	Һалбуки, мән өзүмни һәр қандақ ишта әшу «қалтис улуқ расуллар»дин кам санимаймән!
2f0b06011d	Гәрчә мениң гәп-сөзлирим аддий болсиму, билим җәһәттә мән ундақ әмәс; биз қиливатқан һәр бир әмәллиримиздә буни силәргә һәр җәһәттин испатлап рошән қилдуқ.
2f0b0700ce	Әнди мән силәрни көтирилсун дәп өзүмни төвән тутуп, Худаниң хуш хәвирини һәқ тәләп қилмай җакалап гуна қилдимму?
2f0b0800b5	Мән силәрниң хизмитиңларда болушқа башқа җамаәтләрдин булап-талап, уларниң ярдимини қобул қилдим.
2f0b0901f9	Силәр билән биллә болған вақитлиримда, һаҗәтмән болған болсамму, мән һеч кимгә еғиримни салған әмәс (чүнки Македонийәдин кәлгән қериндашлар мениң кәм-күтәмни толуқлап бәрди); һәр қандақ ишта өзүмни силәргә жүк болуп қелиштин сақлап кәлдим вә буниңдин кейинму шундақ қилимән.
2f0b0a00b2	Мәсиһниң һәқиқити мәндә раст болғандәк, Ахая жутлирида һеч кимму мени мошу махтиништин тосмайду!
2f0b0b006b	Немә үчүн? Силәрни яхши көрмигәнлигим үчүнму?! Худа билиду!
2f0b0c016f	Лекин [бизгә охшаш һесаплиниш] пурситини издигүчиләрниң пурситини мәһрум қилиш үчүн, шуниңдәк улар махтинидиған ишларда һәқиқәтән бизгә охшаш болсун дәп, мән немә қиливатқан болсам шуни қиливеримән.
2f0b0d00cb	Чүнки бундақ кишиләр сахта расуллар, алдамчи хизмәткарлар, Мәсиһниң расуллириниң қияпитигә киривалғанлардур.
2f0b0e00a1	Бу иш әҗәблинәрлик әмәс, чүнки Шәйтан өзиму нурлуқ бир пәриштиниң қияпитигә киривалиду.
2f0b0f0141	Шуңа униң хизмәтчилириниңму өзлирини һәққанийлиқниң хизмәтчилири қияпитигә киргүзүвелиши әҗәблинәрлик иш әмәс; лекин уларниң ақивити өзлириниң ишлигәнлиригә лайиқ болиду.
2f0b10015b	Йәнә шуни ейтимәнки, һеч ким мени ахмақ дәп һесаплимисун; һәтта әгәр мени шундақ дәп қарисаңларму, әнди мәндәк ахмақни сәвир қилип қобул қилғайсиләр, шуниң билән өзүмму азғинә махтинивалай.
2f0b1100c9	Мениң һазир буларни сөзлишим Рәб тәрипидин әмәс, бәлки өзүмниң ахмақларчә жүрәклик по етип махтинишим, халас.
2f0b120084	Нурғун адәмләр инсанларчә по етип махтанғандикин, мәнму махтинип бақай.
2f0b1300ae	Чүнки өзүңлар шунчә дана болғандин кейин, силәр ахмақларға сәвир-тақәт қилишқа рази болисиләр!
2f0b140148	Мәсилән бириси силәрни қул қиливалса, бириси силәрни жутувалса, бириси силәрдин нәп алса, бириси алдиңларда чоңчилиқ қилса яки йүзүңларға качат салса, силәр униңға йол қойисиләр.
2f0b15013f	Әпсус, номус қилип ейтимәнки, биз ундақ ишларға аҗизлиқ қилдуқ! Амма улар бирәр ишта махтинишқа петинған йәрдә (ахмақларчә сөзләватимән!) мәнму шу ишта [махтинишқа] петинимән.
2f0b1600bc	Улар ибранийларму? Мәнму шундақ. Улар Исраилларму? Мәнму шундақ. Улар Ибраһимниң нәслиму? Мәнму шундақ.
2f0b17017c	Улар Мәсиһниң хизмәткарлириму? (мән әқилдин азғанлардәк сөзләватимән!); мән техиму шундақ; зиядә көп зоруқуп ишлидим, интайин көп дәрриләндим, интайин көп қетим қамалдим, көп қетим өлүм хәвплиригә дуч кәлдим;
2f0b180079	Йәһудийларниң «бир кам қириқ қамча» җазасиға бәш қетим тартилдим,
2f0b190102	үч қетим тикәнлик қамча җазасини йедим, бир қетим чалма-кесәк қилиндим, үч қетим кемә һадисисигә учридим, бир кечә-күндүзни деңизда өткүздүм.
2f0b1a01cc	Дайим сәпәрләрдә болимән; дәрияларниң хәвплирини, қарақчиларниң хәвплирини, жутдашлиримниң хәвплирини, ят әлликләрниң хәвплирини, шәһәрниң хәвпини, баяванниң хәвплирини, деңизниң хәвплирини, сахта қериндашлар арисидики хәвплирини баштин кәчүрдүм;
2f0b1b0106	әмгәкләр вә җапа ишларда зоруқуп, пат-пат түнәкләрдә, ачлиқта вә уссузлуқта, дайим роза тутушларда, соғларда вә йелиң-ялаңачлиқта жүрүп кәлдим.
2f0b1c00d5	Бу сирттики ишлардин башқа, ич-бағримда барлиқ җамаәтләр үчүн һәр күни үстүмни бесип келиватқан ғәмләрни йәватимән.
2f0b1d009a	Һәр ким аҗизлиса, мән аҗизлимидимму? Һәр ким езип путлашқан болса, мән өртәнмидимму?!
2f0b1e009e	Әнди әгәр махтинишим зөрүр болса, өз аҗизлиғимни көрситидиған ишлар билән махтинимән.
2f0b1f00ad	Рәб Әйсаниң Худа-Атиси, мәңгү тәшәккүр-мәдһийиләргә лайиқ Болғучиға аянки, мән ялған ейтмидим.
2f0b2000df	Дәмәшқ шәһиридә падиша Аретасниң қол астидики валий мени тутуш үчүн, пүтүн Дәмәшқ шәһирини қаттиқ тәқиб астиға алған еди.
2f0b2100a6	Лекин мән сепилдики бир камардин севәт билән пәскә чүшүрүлүп, униң қолидин қутулуп қачтим.
2f0c0100f8	[Әпсус], махтиниверишниң зөрүрийити бар. Гәрчә униң пайдиси болмисиму, мән Рәбдин кәлгән аламәт көрүнүшләр вә вәһийләр үстидә тохтилай.
2f0c020118	Мәсиһдә болған бир адәмни тонуймән; у он төрт жил илгири (тәндә болған һалдиму, яки тәндин ташқириму билмәймән, Худа билиду) үчинчи қат асманға көтирилди.
2f0c0300b5	Мән шундақ бир кишини билимән (тәндә болған һалдиму, яки тәндин ташқириму билмәймән, Худа билиду) —
2f0c0400e4	у җәннәткә көтирилип, шу йәрдә тил билән ипадилигили болмайдиған, инсанларниң дейиши мәнъий қилинған әҗайип ишларни аңлиди.
2f0c0500b7	Шундақ бир адәм билән махтинимән, өзүм һәққидә болса аҗизлиқмдин башқа бирәр иш билән махтанмаймән.
2f0c060374	Һәтта махтинай десәмму ахмақ һесапланмаймән; чүнки мән һәқиқәтни ейтқан болаттим; амма бириси мәндә көргинидин яки мән тоғрилиқ аңлиғинидин мени (маңа ашкариланған вәһийләрниң ғайәт зор улуқлуғи түпәйлидин) жуқури ойлап қалмисун дәп өзүмни махтиништин жиғдим. Мошу вәһийләрниң зор улуқлуғи түпәйлидин көрәңләп кәтмәслигим үчүн әтлиримгә санҗилған бир тикән, йәни мени уруп турсун дәп Шәйтанниң бир әлчиси маңа тәқсим қилинған; буниң мәхсити, мениң көрәңләп кәтмәслигим үчүндур.
2f0c08006e	Буниң тоғрисида у мәндин кәтсун дәп Рәбгә үч қетим йелиндим;
2f0c0901bb	лекин У маңа: «Мениң меһир-шәпқитим саңа йетәрлик; чүнки Мениң күч-Қудритим инсанниң аҗизлиғида толуқ әмәлгә ашурулиду» — деди. Шуңа мән Мәсиһниң күч-қудрити вуҗудумда турсун дәп аҗизлиқлиримдин махтинишни техиму хушлуқ билән талливалимән;
2f0c0a013f	шуңа мән Мәсиһ үчүн аҗизлиқларни, һақарәтләрни, қийинчилиқларни, зиянкәшликләрни вә азап-оқубәтләрни хурсәнлик дәп билимән. Чүнки қачан аҗиз болсам, шу чағда күчлүк болимән.
2f0c0b01d7	Мән [махтинип] дәрвәқә ахмақ болуп қалдим! Лекин өзүңлар мени буниңға мәҗбур қилдиңлар. Әмәлийәттә әслидә мән силәр тәрипиңлардин тәриплинишим керәк болатти; чүнки һеч әрзимәс болсамму, мән һелиқи «қалтис улуқ расуллар»дин һеч тәрәптә һеч ишта кам әмәсмән.
2f0c0c0159	Дәрвәқә мән араңларда болған чағда расулниң бешарәтлик аламәтлири, һәртәрәплик чидам-сәвирчанлиқ ичидә мөҗизилик аламәтләр, карамәтләр һәм қудрәтлик мөҗизиләр билән әмәлдә көрситилгән.
2f0c0d014b	Силәрни башқа җамаәтләрдин қайси тәрәптә төвән орунға қойдум? — пәқәтла өзүмни силәрниң үстүңларға жүк қилип артип қоймиғиним биләнму?! Мениң бу адаләтсизлигимни әпу қилғайсиләр!
2f0c0e01c3	Мана, һазир йениңларға үчинчи қетим беришқа тәйярмән, шуниң билән силәргә һеч жүк еғиримни салғум йоқ. Чүнки издигиним егилигиңлар әмәс, бәлки өзүңлардур; пәрзәнтлири ата-анилар үчүн әмәс, бәлки ата-анилар пәрзәнтлири үчүн мал-мүлүк жиғиши керәк.
2f0c0f010b	Әнди җениңлар үчүн егилигимдин хушлуқ билән сәрп қилимән һәмдә өзүмни сәрп қилимән — гәрчә мән силәрни қанчә сөйгәнсери мән шунчә аз сөйүлсәмму.
2f0c1000ce	Әнди шундақ болғини билән, мән силәргә һеч жүк болған әмәсмән; бирақ һелигәрлик қилип, мән силәрни баблап қойдум!
2f0c11008c	Әҗәба, мән силәргә әвәткән адәмләрниң бирәрси арқилиқ силәрдин нәп алдимму?!
2f0c1201a5	Мән Титусни силәрниң йениңларға беришқа үндидим вә йәнә һелиқи қериндашниму униң билән биллә әвәттим. Титусниң силәрдин нәп елип баққан йери барму? Биз иккилән охшаш бир роһта жүрүватмамдуқ? Бизниң басқан изимиз охшаш әмәсмикән?
2f0c1301ab	Яки силәр әзәлдин бизни «Улар алдимизда өзлирини ақлап келиватиду» дәп ойлаватамсиләр? [Иш ундақ әмәс]. Биз пәқәт Мәсиһдә болуп Худа алдида сөзләватимиз; қиливатқан һәммә ишлар, и сөйүмлүклирим, силәрниң етиқатиңларни қуруш үчүндур.
2f0c140232	Чүнки мән йениңларға барғинимда, силәрниң үмүт қилған йеримдин чиқмай қелишиңлардин, өзүмниңму силәрниң үмүт қилған йериңлардин чиқмай қелишимдин, йәни араңларда ғовға-җедәл, һәсәтхорлуқ, ғәзәп-нәпрәт, мәнмәнчилик, төһмәтхорлуқ, ғәйвәтхорлуқ, тәкәббурлуқ вә паракәндичиликләр болармекин дәп әнсирәймән;
2f0c150247	— бу қетим силәрниң йениңларға барғинимда, араңлардики гуна садир қилип, таки бүгүнгә қәдәр өткүзгән напаклиқ, бузуқлуқ вә шәһваний ишлардин техи товва қилмиған нурғун адәмләрниң сәвәвидин Худайим мени алдиңларда төвән қилип қоярмекин, шуларниң қилмишлири түпәйлидин матәм тутмай туралмаймәнмекин, дәп әнсирәймән.
2f0d0100bc	Бу йениңларға үчинчи қетим беришим болиду. «Һәр бир һөкүм икки-үч гувачиниң ағзида испатлиниши керәк».
2f0d020308	Мән илгири иккинчи қетим йениңларда болғинимда бурун гуна садир қилғанларға һәм қалған һәммиңларға шундақ ейтқан, һазирму силәрдин нери болсамму қайтидин алдин-ала агаһландуруп ейтимәнки (силәр Мәсиһниң мән арқилиқ сөзлигәнлигигә испат тәләп қилип келиватқиниңлар түпәйлидин), мән барғинимда һеч кимни айимаймән; дәрвәқә мән арқилиқ сөзләватқан Мәсиһ силәргә нисбәтән аҗиз әмәс, бәлки алдиңларда интайин қудрәтликтур;
2f0d04014a	У дәрвәқә аҗизлиқта крестләнгән болсиму, лекин Худаниң қудрити билән йәнила һаят. Бизму Униңда аҗиз болсақму, Худаниң силәргә қаратқан қудрити билән, Униңға бағлинип һаят яшаймиз.
2f0d050148	Әнди өзүңларни етиқатта барму-йоқ дәп тәкшүрүп көрүңлар; өзүңларни синап беқиңлар! Силәр Әйса Мәсиһниң өзүңларда болғанлиғини (синақтин шаллинип қалмисаңлар!) билип йәтмәмсиләр?
2f0d0600a8	Әнди силәрниң бизниң синақтин шаллинип қалмиғанлиғимизни билип қелишиңларни үмүт қилимән.
2f0d070186	Силәрниң һеч қандақ рәзиллик қилмаслиғиңлар үчүн Худаға дуа қилимиз; бу, бизниң синақтин өтти дәп қарилишимиз үчүн әмәс — һәтта синақтин өтмиди, дәп қаралсақму, мәйли — муһими силәрниң дурус болғанни қилишиңлар.
2f0d0800b3	Чүнки биз һәқиқәткә қарши һеч иш қилалмаймиз; немила қилсақ у бәрибир һәқиқәтни аян қилиду, халас.
2f0d090108	Чүнки биз аҗиз болсақму, силәрниң күчлүк болғиниңлардин шатлинимиз. Шуниңдәк биз йәнә шуниңға дуа қилимизки, силәр камаләткә йәткүзүлгәйсиләр.
2f0d0a0187	Силәрниң йениңларға барғинимда Рәб маңа ғулитиш үчүн әмәс, бәлки етиқатни қуруш үчүн аманәт қилған һоқуқимни ишлитип силәргә қаттиқ қоллуқни көрсәтмәслигим үчүн, мән силәрдин жирақта болғинимда мошуларни яздим.
2f0d0b01a5	Әң ахирда, қериндашлар, шатлиниңлар; камаләткә йәткүзүлүңлар, риғбәт-тәсәллидә күчәйтилиңлар; бир ой, бир пикирдә болуңлар; енақ-хатирҗәмликтә өтүңлар; вә меһир-муһәббәт вә енақ-хатирҗәмликниң Егиси Худа силәр билән биллә болиду.
2f0d0c0061	Бир-бириңлар билән пак сөйүшләр билән саламлишиңлар.
2f0d0d004f	Барлиқ муқәддәс бәндиләрдин силәргә салам.
2f0d0e00ce	Рәббимиз Әйса Мәсиһниң шапаити, Худаниң меһир-муһәббити вә Муқәддәс Роһниң һәмраһ-һәмдәмлиги силәргә яр болғай!
300000001e	Галатиялиқларға
3001010135	Мәнки Павлус, расул болған (инсанлар тәрипидин әмәс яки инсанларниң вастиси билән әмәс, бәлки Әйса Мәсиһ вә Уни өлгәнләрдин тирилдүргүчи ХудаАта тәрипидин тайинланған)
30010200a7	вә мән билән биллә туруватқан барлиқ қериндашлардин Галатия өлкисидики җамаәтләргә салам.
300103008f	ХудаАта вә Рәббимиз Әйса Мәсиһтин силәргә меһир-шәпқәт вә хатирҗәмлик болғай!
30010400c9	У ХудаАтимизниң ирадиси бойичә бизни бу һазирқи рәзил замандин қутқузушқа Өзини гуналиримиз үчүн пида қилди;
3001050061	Худаға барлиқ шан-шәрәп әбәдил-әбәткичә болғай, амин!
3001060147	Силәр өзүңларни Мәсиһниң меһир-шәпқити арқилиқ Чақирғучиниң йенидин шунчә тез жирақлаштуруп башқичә бир хил «хуш хәвәр»гә әгишип кетиватқиниңларға интайин һәйран қалмақтимән!
300107010a	Әмәлийәттә у һеч қандақ башқа «хуш хәвәр» әмәстур! — пәқәтла бәзи кишиләр силәрни қаймақтуруп, Мәсиһниң хуш хәвирини бурмилимақчи болған, халас.
300108014c	Лекин һәтта биз өзимиз болайли яки асмандин чүшкән пәриштә болсун, бириси бизниң силәргә җакалиқинимизға охшимайдиған башқа бир «хуш хәвәр»ни силәргә җакалиса, бешиға ләнәт яғсун!
300109011f	Биз бурун ейтқинимиздәк, һазирму мән шуни ейтимәнки, бириси силәрниң қобул қилғиниңларға охшимайдиған башқа бир хуш хәвәрни җаркарлиса, бешиға ләнәт яғсун!
30010a015f	Мән Худани ишәндүрүшүм керәкму яки инсанларни ишәндүрүшүм керәкму? Яки инсанларни хурсән қилишим керәкму? Мән инсанларни хурсән қилишни нишан қилған болсам, Мәсиһниң қули болмиған болаттим.
30010b00b4	Әнди, и қериндашлар, силәргә шуни уқтуримәнки, мән җакалайдиған хуш хәвәр инсанлардин кәлгән әмәс.
30010c00e6	Чүнки мән уни инсандин қобул қилғиним йоқ яки бирәр киши уни маңа үгәткини йоқ, бәлки Әйса Мәсиһ маңа вәһий арқилиқ йәткүзгән.
30010d014e	Чүнки силәр мениң Йәһудийларниң диний йолида қандақ һаят кәчүргәнлигим тоғрилиқ — мениң Худаниң җамаитигә әшәддий зиянкәшлик қилип униңға бузғунчилиқ қилғанлиғимни аңлиғансиләр.
30010e012b	Һәмдә мән Йәһудийларниң диний йолида елимиздики нурғун тәңтушлиримдин хеләла алдида тураттим вә ата-бовилиримниң әнъәнилирини сақлашқа пәвқулъаддә қизғин едим.
30010f018f	Амма анамниң қосиғидин тартип мени Өзи үчүн айрип, меһир-шәпқити арқилиқ мени чақирған Худа Өз Оғлини әлләр арисида җакалаш үчүн мәндә уни ашкарилашни лайиқ көргинидә, мән һеч қандақ қан-әт егиси билән мәслиһәтләшмәй,
30011100f5	яки Йерусалимға мәндин илгири расул болғанлар билән көрүшүшкә бармай, бәлки удул Әрәбистанға атландим. Кейин Дәмәшққә қайтип кәлдим.
30011200b2	Андин үч жилдин кейин Йерусалимға Петрус билән тонушушқа бардим вә униң қешида он бәш күн турдум.
3001130098	Амма шу чағда Рәбниң иниси Яқуптин башқа расулларниң һеч қайсиси билән көрүшмидим.
300114006f	Мана, мениң силәргә һазир язғиним Худа алдида һеч ялған әмәс!
3001150058	Кейин, мән Сурийә вә Киликийә өлкилиригә бардим.
3001160084	Амма Йәһудийәдики Мәсиһдә болған җамаәтләр мени чирайимдин тонумайтти.
30011700fe	Улар пәқәт бурун бизгә зиянкәшлик қилған адәмниң өзи шу чағда йоқатмақчи болған етиқатни һазир хуш хәвәр дәп җакалимақта, дәп аңлиған еди;
3001180058	шуниңдәк улар мениң сәвәвимдин Худани улуқлиди.
30020100bb	Йәнә буниңдин он төрт жил кейин, мән Барнабас билән Йерусалимға чиқтим; Титусниму һәмраһ қилип бардим.
30020201df	Мән бир вәһийгә бенаән шу йәргә барған едим; вә мән бекар чапмиғинимни яки бекар чапмайватқинимни җәзмләштүрүш үчүн [Йерусалимдикиләрниң] алдида (әмәлийәттә пәқәт «җамаәтниң түврүклири»дәкләргә айрим һалда) әлләр арисида җакалайдиған хуш хәвәрни баян қилдим.
30020300ae	Нәтиҗидә, һәтта маңа һәмраһ болған Титус Юнанлиқ болсиму, хәтнини қобул қилишқа мәҗбурланмиди;
30020401a7	[шу чағдики «хәтнә» мәсилиси»] болса, бизниң Мәсиһ Әйсада муйәссәр болған һөрлүгүмизни назарәт қилиш үчүн аримизға соқунуп киривалған, бизни қуллуққа чүшүрүшмәкчи болуп, ялғанчилиқ қилған сахта қериндашлар түпәйлидин болған еди.
30020500c8	Лекин биз хуш хәвәрниң һәқиқити силәрдин мәһрум қилинмисун дәп уларға һәтта бир саатчиму йол қойғинимиз йоқ;
300206019c	лекин абройлуқ һесапланған адәмләрдин болса (мениң уларниң немә екәнлиги билән карим йоқ; Худа һеч қандақ инсанниң йүз хатирисини қилмайду!) — мошу абройлуқ [әрбаблар] дәп саналғанларниң мәндики [хуш хәвәргә] қошқини йоқ еди.
300207011b	Дәл әксичә, хуш хәвәрни хәтнә қилинғанларға йәткүзүш вәзиписи Петрусқа тапшурулғандәк, хәтнисизләргә йәткүзүш вәзиписи маңа тапшурулған дәп тонуп йетип
30020800cd	(чүнки Петрусни хәтниликләргә расуллуққа Күчләндүргүчи болса, мениму әлләргә [расул болушқа] күчләндүргән еди),
300209019d	маңа ата қилинған шу меһир-шәпқәтни тонуп йәткән «җамаәтниң түврүклири» һесапланған Яқуп, Кефас вә Юһанналар болса, силәр әлләргә бериңлар, биз хәтниликләргә барайли дәп Барнабас билән иккимизгә һәмдәмлик оң қолини беришти.
30020a00d4	Уларниң бизгә пәқәт кәмбәғәлләрни унтумаңлар дегән бирла тәливи бар еди; мән дәл бу ишқа қизғин болуп келивататтим.
30020b00cc	Бирақ, кейин Петрус Антакя шәһиригә кәлгәндә, униң әйиплик екәнлиги ениқ болғачқа, мән уни йүзтуранә әйиплидим.
30020c0146	Чүнки Яқупниң йенидин бәзи адәмләр келиштин илгири у ят әлликләр билән һәмдәстихан болған еди; бирақ улар кәлгәндә, хәтниликләрдин қорқуп [шу қериндашлардин] өзини айрип тартти.
30020d00f3	Һәтта башқа Йәһудий [қериндашлар] униң бу сахтилиғиға қошулуп кәтти; һәтта Барнабасму аздурулуп уларниң сахтипәзлигигә шерик болди.
30020e0215	Амма мән уларниң хуш хәвәрниң һәқиқити бойичә дурус маңмиғанлиғини көрүп, һәммәйләнниң алдидила Петрусқа: «Сән Йәһудий туруп, Йәһудийларниң адәтлири бойичә яшимай, бәлки ят әлликләрдәк яшаватисән; шундақ туруқлуқ, немишкә сән ят әлликләрни Йәһудийлардәк яшашқа зорлимақчимусән?» — дедим,
30020f00b6	вә йәнә: «Биз [иккимиз] туғулушимиздинла Йәһудиймиз, «гунакар дәп қаралған ят әлликләр»дин әмәсмиз,
30021002e8	лекин инсанниң һәққаний қилинишини Тәврат қануниға әмәл қилишқа интилишлири билән әмәс, бәлки Әйса Мәсиһниң етиқат-садақәтлиги билән болиду, дәп билимиз. Шуңа Тәврат қануниға әмәл қилишқа интилиш билән әмәс, бәлки Мәсиһкә бағланған етиқат билән һәққаний қилинишимиз үчүн бизму Мәсиһ Әйсаға етиқат қилдуқ — чүнки һеч әт егиси Тәврат қануниға әмәл қилишқа интилишлири билән һәққаний қилинмайду» — дедим.
3002110106	Амма Мәсиһтә һәққаний қилинишқа издәнгинимиздә, бизму «гунакар» дәп испатланған болсақму, Мәсиһ әнди гунаниң хизмитидә болғучиму?! Яқ, һәргиз!
30021200e9	Амма мән әслидә ғулатқан нәрсиләрни қайтидин қурсам, өзүмни [Тәврат қануниға] хилаплиқ қилғучи дәп испатлап көрсәткән болимән.
30021300be	Чүнки мән Тәврат қануни билән Тәврат қануниға нисбәтән өлдүм; нәтиҗидә, мән Худаға йүзлинип яшаватимән.
30021401c3	Мән Мәсиһ билән биллә крестләнгәнмән, лекин мана, яшаватимән! Лекин яшаватқини мән әмәс, бәлки мәндә туруватқан Мәсиһдур. Вә мениң һазир әтлиримдә яшаватқан һаят болса, мени сөйгән вә мән үчүн Өзини пида қилған Худаниң Оғлиниң иман-етиқатидиндур.
3002150117	Мән Худаниң меһир-шәпқитини бекар қиливәтмәймән; чүнки һәққанийлиқ Тәврат қануни арқилиқ келидиған болса, Мәсиһниң өлүши бекардин-бекар болуп қалатти.
3003010131	И әқилсиз Галатиялиқлар, көз алдиңларда Әйса Мәсиһ ениқ сүрәтләнгән, араңларда крестләнгәндәк көрүнгән екән, ким силәрни һәқиқәткә итаәт қилиштин аздуруп сеһирлиди?
300302012d	Мән пәқәт шунила силәрдин сорап биләйки: — Силәр Роһни Тәврат қануниға интилиш арқилиқ қобул қилдиңларму, яки [хуш хәвәрни] аңлап, етиқат арқилиқ қобул қилдиңларму?
30030300c7	Силәр шунчә әқилсизму? Роһқа тайинип [һаятни] башлиған екәнсиләр, әндиликтә әт арқилиқ камаләткә йәтмәкчиму?
30030400bd	Силәр [етиқат йолида] болған шунчә көп азап-оқубәтләрни бекарға тарттиңларму? Дәрвәқә бекарға кәттиғу?!
300305016b	Силәргә Роһни Тәминлигүчи, араңларда мөҗизиләрни яритиватқучи бу карамәтләрни силәрниң Тәврат қануниға интилип таянғиниңлардин қиламду, яки аңлиған хәвәргә бағлиған ишәш-етиқатиңлардин қиламду?
30030600b3	[Муқәддәс язмиларда дейилгәндәк]: «Ибраһим Худаға етиқат қилди; бу униң һәққанийлиғи һесапланди».
30030700b6	Шуниң үчүн, шуни чүшинишиңлар керәкки, етиқаттин туғулғанларла Ибраһимниң һәқиқий пәрзәнтлиридур.
30030801be	Муқәддәс язмиларда Худаниң ят әлликләрни Өзигә етиқат қилиши арқилиқ уларни һәққаний қилидиғанлиғи алдин-ала көрүлүп, Худаниң Ибраһимға: «Сәндә барлиқ әл-милләтләргә бәхит ата қилиниду» дәп хуш хәвәрни алдин-ала ейтқанлиғи хатириләнгән еди.
3003090092	Шуниң билән, етиқаттин болғанлар етиқат қилғучи Ибраһим билән тәң бәхит тапиду.
30030a0199	Лекин Тәврат қануниға әмәл қилимиз дәп жүргәнләр болса һәммиси ләнәткә қалиду. Чүнки [муқәддәс язмиларда] мундақ йезилған: «Тәврат қанунида йезилған һәммә әмирләргә үзлүксиз әмәл қилмайватқан һәр бир киши ләнәткә қалиду».
30030b0139	Йәнә рошәнки, һеч ким Худаниң алдида қанунға интилиш арқилиқ һәққаний қилинмайду; чүнки [муқәддәс китапта йезилғинидәк]: — «Һәққаний адәм ишәш-етиқати билән һаят болиду».
30030c0118	Амма қанун йоли етиқат йолиға асасланған әмәс, бәлки [муқәддәс китапта]: — «Қанунниң әмирлиригә әмәл қилғучи шу ишлар билән һаят болиду» дейилгәндәктур.
30030d016f	Һалбуки, Мәсиһ бизни Тәврат қанунидики ләнәттин һөр қилиш үчүн орнимизда ләнәт болуп бәдәл төлиди. Бу һәқтә [муқәддәс язмиларда]: «Яғачқа есилған һәр бир киши ләнәткә қалған һесаплансун» дәп йезилған.
30030e010b	Шуниң билән Мәсиһ Әйса арқилиқ Ибраһимға ата қилинған бәхит ят әлликләргиму кәлтүрүлүп, биз вәдә қилинған Роһни етиқат арқилиқ қобул қилалаймиз.
30030f0127	Қериндашлар, мән инсанларчә сөзләймән; һәтта инсанлар арисида өз ара әһдә түзүлсиму, башқа һеч ким уни йоққа чиқириветәлмәйду яки униңға бирәр нәрсә қошалмайду.
300310019e	Шуниңдәк, [Худаниң әһдисидики] вәдиләр Ибраһим вә униң нәслигә ейтилған. [Муқәддәс китапта] У: «вә сениң нәсиллириңгә», (йәни, көп кишиләргә) демәйду, бәлки «сениң нәслиңгә», (йәни ялғуз бир кишигила), дәйду — бу «нәсил» Мәсиһдур.
3003110151	Мән шуни демәкчимәнки, Худаниң Мәсиһкә алдин түзгән бир әһдисини төрт йүз оттуз жилдин кейин чүшүрүлгән Тәврат қануни әмәлдин қалдуралмайду, Худаниң бу вәдисини һеч бекар қилалмайду.
3003120129	Чүнки [вәдә қилинған] мирас қанунға асасланған болса, мана у Худаниң вәдисигә асасланған болмайтти; лекин Худа шапаәт билән уни Ибраһимға вәдә арқилиқ ата қилған.
30031301e9	Ундақта, Тәврат қанунини чүшүрүштики мәхсәт немә? У болса, инсанларниң итаәтсизликлири түпәйлидин, Худаниң мираси вәдә Қилинғучи, йәни Ибраһимниң нәсли дунияға кәлгичә қошумчә қилип берилгән; у пәриштиләр арқилиқ бир васитичиниң қоли билән бекитилип йолға қоюлған.
30031400bd	Амма «васитичи» бир тәрәпниңла васитичиси әмәс (бәлки икки тәрәпниңкидур), лекин Худа Өзи пәқәт бирдур.
