2900000006	Markus
2e020f005d	Nifi nat Shemeɗsa fi'en la sǝnkǝ ichǝ nat, mǝllan tǝ indi'en nifǝsǝ na kikeɗandǝwa.
2e02100052	"Wun sǝnkǝ yara Lǝmwanda har natna sakandǝhar?" Kanang yarengnani i Kǝrǝsti.
2e03010096	Hwanmancha, ngi mbǝlla mbwa'a' ǝna kuni nda nofchi naktǝ shemeɗa fǝwa, nda nofchi naka kisshita, paɗ nda hangwa'yarcha hur tǝrmbanda Kǝrǝsti.
2e0302007f	Yah fǝrandǝ kuni nga ɗǝsǝmtǝ kwaakwaawa, kǝthlǝm sǝkwunisa sǝm'ǝn kwaakwaa kwaɗǝnwa. Chika nakǝnya sǝkwunisǝwa,
2e03030093	Kǝthlǝm paaya mwakuni hur fata. Makuna sǝrǝh ndani paɗ thlangǝtmisa thlerǝnuni, nga mwakuni hur fatwowa? Ɗǝsǝchengnuni nga nda tǝ fatwa?
2e0304006b	Kǝthlǝm ma ndeɗ yunǝwa, "Njang i Bulus", "Ndak yunǝwa", "Njang i Afolos", Nga tor fat natuni sǝtyuwa?
2e0305008a	Wun naka Afolos? Wun naka Bulus? Nga mafechǝwa fichile fǝrtuni kit tǝ mbǝɗengnanda, nda i fǝrandǝ Lǝmwanda tora chikawun engnanda?
2e0306004b	Njang hǝfkǝ hanwǝtǝkǝn, thlǝrkǝ Afolos amsǝ, paɗ Farǝ mwanangnga.
2e0307006f	Kǝthlǝm ndǝkǝn, lǝ hǝfkǝn tǝ le thlǝrkǝ amsi nga naknda mi ǝnwa, Farǝ ndak mǝllanti la mwanangnga.
2e0308006c	Lǝ hǝfkǝn tǝ lǝ thlǝr amkǝnsi nakndǝ ǝrta, chika wuna hurnanda nakficha kwanandǝ keeke tǝ tor'en.
2e03090048	Kǝthlǝm kanang shikechǝ fa torcha Fara, kunang hita Fara, tinda Fara.
2e030a00b2	Tǝ mbǝɗa kafaɗi fǝritǝ Fara, a ɗǝfi thlorǝ tindǝhi kǝ lǝ mbǝr tinda, ɓakyuna nata chekandǝ tinkǝn kǝ ɗarkǝn. Chikawuni kǝ sǝn hǝɓaakǝ tǝ witǝ tindǝ'en.
2e030b006c	Kǝthlǝm nifǝsǝ na ɗǝf thlorǝ tinda kǝ pǝɗangka le hi ɗǝftǝ fichǝhiwa, le naka Yǝso Kǝrǝsti.
2e030c0096	Nakǝnya ma tin yunǝ kǝ ɗar thlorǝ tinkǝn tǝ zinariya, ndu tǝ azurfa, ndu tǝ ngwichǝ ɗiichin, ndu tǝ afcha, ndu tǝ hwelaa, ndu tǝ kofcha,
2e030d009e	na tora chikawuna chetakish, kǝthlǝm fariniyu nan chetakissha ɗwaachitkǝn. Nak tora chikawuna chetakish tǝ hwata, hwatkǝn na kikeɗandǝ tora chikawuni.
2e030e005b	Ma tini sǝtficha kǝ ɗar thlorǝ tinkǝn hiriki iwaɗǝwa, le tinka nan thlǝt kǝnikǝn.
2e030f0071	Ma iɗ torkǝna ɗi, le tinka nan sat ɓahta, mǝllan tǝ indǝ'en nan hǝrǝkta nda nifi kuwurkǝ tǝ hur hwata.
2e03100082	Awi sǝnwuniwa kunang tǝ inchengnuni naka kapat hura'a Farǝwa, paɗ nak Shemeɗa Farǝ tǝ sokta a hur hanndǝkikechengnuniwowa?
2e03110094	Chikawun sǝɓang kapat hura'a Fara ɗi, na Fara sǝɓandaɗi; kǝthlǝm kapat hura'a Fara la nakǝn chiɗchiɗ, kunang naka kapat hura'a Farǝkǝn.
2e0312009d	Mǝ lǝmiɗuni inchengnuniwa. Ma yunǝsa hurnuni la yarkǝwa ɗathlchin a hur kisshi'i nakǝnya, kǝ saǝn fat'en nda ɓoma, kǝthlǝm kǝ sǝka lǝ ɗathla.
2e03130089	Ɗathla kisshi'iya ɓomchita mbǝɗa Fara. Nda i natna hur yarat laulawatkǝn: "La kǝsaǝn fichile nak ɗathlchin a hur ɗathlengnanda."
2e0314003a	Tǝpaɗ: "A shin Lǝmwandǝwa yara fa ɗathlǝ nga ǝnwa."
2e03150055	Kǝthlǝm ndǝkǝn mǝ hupa nifǝ hǝsǝr tǝ nifǝwa. Kǝthlǝm chikamǝ nat innuni,
2e03160082	ndu Bulus, ndu Afolos, ndu Kefas, ndu kisshita, ndu shisshingta, ndu mǝrtaɗi, ndu ichi nakǝnya, ndu ichi naka mban, nat innuni.
2e0317002f	Kunang paɗ i Kǝrǝsti, Kǝrǝsti paɗ i Fara.
2e0401007c	Tǝkichu kemsi kǝ tǝruni kaniwa mafecha Kǝrǝsti, tǝ fichile ngǝmandǝ fichǝ kǝnandǝ tǝ ichi Farǝ naka ɓuɓweeta.
2e04020054	Sokkǝn waat nifi malandǝ fichǝ ichahar kemsi kǝ mbǝsang fichǝ tǝ kitchita fa.
2e0403008f	A mbǝɗengna, hanhwan'ǝna kǝ nda fichǝwa kunang na sakimiya ndu mbǝt sakmiya chikawun nifa. Kitchitkǝn, njang mangi sakamiya faɗengniwa.
2e04040069	A shini hur indengniwa naki yalfar, chika kichu ngu soktǝwa chiwi hansarǝhiwa. Lǝmwandǝ na kikeɗita.
2e0405011a	Kǝthlǝm ndǝkǝn mǝ thlaɗuni sakmihi kǝ ɗar yunǝ pofǝn sa'u hanmunchikǝn kwaɗǝnwa; pwa'ama kǝ farǝ nat Lǝmwanda ɓata. Mǝllan na chandǝ ichi kissha ɓuɓweeta kǝ ɗwachitkǝn, kǝ cheɗin yara hanɗǝkikecha. A farǝniyu chikawun nan thlǝt hamtǝ'ena mbǝɗa Fara.
2e04060118	Nakǝnya hwanmanchina, fǝrki sakǝt ichi natya kǝ faɗengnǝ tǝ Afolos kǝthlǝm kunang, kǝ sakuni ǝn tǝ mbǝɗengnani kǝ ɗar shuni ndatfichǝwa: "Mǝ mbǝraɗuni ihi yarandǝ fichihi hur laulawatkǝnwa." Mǝ thla'a yunǝ inda hurnuni kǝ mbǝrangka lehi kǝ ɗar yunǝwa.
2e0407008c	Wun sukǝ somǝnhi tǝ tahhǝt nofcha, mǝnakseku le thluchitu? Sokkǝnma tǝ thlǝna, mǝsǝk natu thla'a'ndǝ inda nda nga tǝ thlǝnǝwa?
2e040800c4	Tepi mbǝshuni nat ichi yahtuni! Tepi shokuni kǝ hurrumcha! Tepi shokuni kuturcha nga tǝ kanangwa! Mayahtengna kǝ sokuni ka kǝ kuturcha, kǝthlǝm kanang ma kǝ sokani kuturichitkǝn tǝ kuni.
2e040900ec	A naɗengna cheɗ Fara a ɗwachitkǝnwa, kanang fathlǝncha njirandǝ fichǝ kaniɗi kǝ ndukwatkǝn chika mi, nda nofchi thlandǝ fichǝ sakmi mǝrtaɗa kandǝsi, sangfichi kani kǝ ǝnat nata kisshita, tǝ mala'ika cha nat tǝ nofcha.
2e040a00b5	Shokani kǝ ɓomcha Kǝrǝsti, kunang nakuni kǝ fa ɗathla hur Kǝrǝsti! Kanang fa kuɓanda fata, kunang nakuni kwaakwaa. Ficha natkuni tǝ kapatichita fa, kanang nga ǝnnakaniwa.
2e040b0083	Paa kǝ nakǝnya, nakani hur mita tǝ kusshimta, thlǝthlah njelecha naka fechengnani, ficha tǝpanda kani paɗ hurechengnanisǝwa.
2e040c007c	La sani tor kaǝn tǝ harchengnani. Ma erndǝ kani, ndǝfangani mbǝs'ǝnhara kanda; ma fǝrandǝ pwancha kani, kǝrǝskani.
2e040d0082	Ma sǝɓandǝ thlǝmchǝnaniɗi, la shunangani kandǝ tǝ kachita. Paaya sokkani nda chirǝfta kisshita, i nat chikawuna wuɗekta.
2e040e0052	Nga yaraki iya kǝthlǝm kǝ harangfat kuniwa, kǝ tahsayi kuni nda hwanchi yahti.
2e040f00a7	Chikama sokkǝn fasakchengnunisǝ aru kumchitkum a hur Kǝrǝsti, shinchǝnunisǝ terchinwa, kǝthlǝm njang naka shinnuni a hur Yǝso Kǝrǝsti tǝ mbǝɗa laulawata.
2e04100035	Kǝthlǝm ndǝkǝn nja hwanandǝ kuni kǝ sakuni nji.
2e04110104	Kǝthlǝm ndǝkǝn nja thlǝna Timoti kuni, hwe'engna le la mbǝntifatkǝn, le nak tǝ kachita a hur Lǝmwanda. Nan kuɗkanda kuni tǝ mbanda naɗengnǝhi a hur Yǝso Kǝrǝsti, nda i soktǝn keeke tǝ i sakandi ɗaɗi chika ayi hur chika yen mbǝt tǝrmbanda.
2e04120033	Funa thla'a'ndǝ inda nda ngi ɓata mbǝɗengnuniwa
2e04130087	Ma ngǝma Lǝmwanda ni ɓata mbǝɗengnuni chetchetya, kani tausandǝ alchiɗi mbǝstǝ fa thla'a'ndǝ iniyu kish tǝ shuwunchengnanda.
2e0414003f	Kǝthlǝm kuturichita Fara nga pathla shundǝwa pathla alchita.
2e04150067	Mǝ yahtunisi? Kǝ ɓi mbǝɗengnuni tǝ kuɓwerǝwa, ndu hur mbǝnfata paɗ tǝ ngwallǝchit shemeɗa?
2e05010085	Shikiwa fǝlawichitsa hurnuni, witǝ le tamuchit ficha sǝta chika hur fa sǝt tor ɗǝhhacha, yuna sok fǝlawichit tǝ nuh shinkǝn.
2e0502006a	Nakuni thla'a'ndǝ inda! Nga kwesh sǝtuni sǝɓhurwa? Chikawun sǝk iniyu kǝ chang ficha kissha hurnuni.
2e05030092	Chika sokkǝn njangsǝ tǝ iɗengna mbǝnniyuwa, njang tǝ kuni hur hanɗǝkiketa. Tepi sakaɗi miya nifi sǝk witǝ iniyu, nda njangsa mbǝnniyu.
2e05040084	Ma hwimunihi a hur thlǝm Lǝmwandǝ Yǝso njang tǝ kuni mbǝnniyu hur hanɗǝkiketa, paɗ alchita Lǝmwaɗengnǝm Yǝso mbǝnniyu,
2e05050089	witǝ nifiniyu kǝ fǝranguni Sheɗan kǝthlǝm kǝ ɓǝllang ficha hur fata, mbah na shemeɗ'ena hǝrǝkta farǝ ɓata Lǝmwandǝ Yǝso.
2e0506006b	Thla'a'ndǝ inchengnuni ndǝɗuwa. Sǝnwuniwa, mehndǝ nguɗehkicha la huppang humbat tahasǝ njohmǝ wowa?
2e050700e3	Pa'amǝn ɗohhǝt mehniɗiyu fechengnuni, kǝ sokuni kǝ yuwa ɗokyeta le nguchit mehndǝsa fi'en, kǝthlǝm kittǝkǝn nakuni kichu. Kǝthlǝm teppa thlafichi ɓurat hwan shohraɗengnǝm i chohhǝm tala, mǝlan naka Kǝrǝsti.
2e050800d1	Kǝthlǝm ndǝkǝn kǝsam chohhǝmtengnǝmhar nga tǝ ɗohhǝt mehndǝwa, mehǝn sǝɓfata tǝ ɓǝɓifata. Kǝla sǝm chohhǝmtengnǝm tǝ njohmi nguchit mehndǝsi, ndǝkǝn naka njohǝm kachita tǝ kitchita.
2e05090058	Yaraɗi kunisa hur thlǝn yarat ɗelwer engna ndatwa mǝlla humiɗunihi tǝ fǝlauchiwa.
2e050a00ca	Nga yarengnǝwa nofchi kisshi'iya naka fǝlauchiwa, tǝ fa yah'ichǝwa, tǝ fa ɗathlanda nofchifǝwa, tǝ fa sǝt tor ɗǝhhachǝwa. Kǝthlǝm ma nakǝn kichu sokkǝn waat kǝ chunikissha hur kisshita.
2e050b0100	Yarayi kunisi mǝ sokiɗuni tǝ chikawun la at fichiwa hwanmanda lǝ tǝrmbanda, ma la sǝkǝn fǝlawichita, ndu lǝ yah'icha, ndu lǝ mwanandǝ ɗǝhhacha, ndu lǝ erǝfata, ndu lǝ sat icha, ndu hara. Chika sǝm'ǝn mǝ sǝmiɗuni tǝ witǝ nofchiniyuwa.
2e050c0075	Mǝ kǝmikǝ tǝ sakamiya fichile nguchika hur tǝrmbanda? Nga fichile naka hur tǝrmbandǝ natuni sakamiya kandǝwa?
2e050d0052	Farǝ na sakamiya fichile nguchika hur tǝrmbanda: "Chamǝn ɓǝɓi nifa hurnuni."
2e06010090	Ma yunǝsa hurnuni naka thlangǝtmi tǝ shekkǝn, mǝ ɗiɗa muhhanharkǝna mbǝɗa fa ɓah fǝrkitwa, nga kweshkǝn kǝ mbǝɗa fa fǝrkitwowa?
2e0602007a	Awi sǝnwuniwa fa fǝrkit na sakamiya kisshitǝwowa? Makunang na sakamiya kisshita, nguni mbǝla sakmi ichi top-topyawowa?
2e0603005e	A sǝnwuniwa kǝmnang na sakamiya Mala'ika chiwowa? Kana cheta ichi natma soktǝsa kisshi'iya!
2e0604007e	Ma witǝ muhhanhar chini engnunisiyu, mǝsǝk la ɗǝtuni tǝkǝna mbanitǝ fichile nguchika miya ǝna mbanitǝ fa tǝrmbanda?
2e06050083	Mbuki iniyu kǝthlǝm kǝ harangfat kuni. Sokkǝnyawa yunǝsa hurnuni ǝrtǝ nak ɗathlchin na tahsandǝ thlerǝ fa fǝrkitaɗǝwa?
2e06060054	Paɗ mǝsǝka hwanmanda la ɗǝtna muhhanhar hwanmankǝn a mbanitǝ fa ɓah fǝrkit?
2e060700a4	Muhhanhar ndani ti la muhtuniyu kǝttǝhi mbǝɗengnuni. Nga kweshkǝn kǝrǝstuni kǝ nuni ɓomchǝwowa? Mǝsǝk nguchituni kǝrǝstǝ kǝ ɗathlang ficha kuni fa?
2e06080071	Kunang tǝ inchengnuni kuna ɗathlanda ndanifa kuna puppuk ndanihi, ta hwanmanchǝnuni la sanduni ichiniyu kanda.
2e060900f9	Awi sǝnwuniwa fa ɓah fǝrkit ngunda mbǝs yimta kutǝrichita Farǝwowa? Mǝ lǝmi fichi kuniwa, kǝthlǝm fa sǝɓtaɗaɗisi ndu fa sǝt torɗǝhhacha, ndu fa sǝt fǝlauwichita, ndu hishchǝ fa che fechengnanda, ndu hishchi fa mundǝ tǝ hishcha,
2e060a0080	ndu harcha, ndu fa yahta, ndu fa sat'icha, ndu fa erǝfata, ndu fa ɗathlanda nofchǝfa na mbǝs mbǝta hur kuturichita Farǝwa.
2e060b00a9	Nak funengnuni kichuyu. Anakǝn sapa fichǝ kuniɗi, tahsafichǝ kuni, chafichǝ kuni kish a hur thlǝm Lǝmwandǝ Yǝso Kǝrǝsti, paɗ tǝ mbǝɗa Shemeɗa Farengnǝm.
2e060c0081	"Chikamǝ ngǝmifichǝsi", Paɗ nga chikamǝ na kǝsitisǝwa. "Chikamǝ ngǝmifichǝsi", Chika kichu ngi sokta mafata chikamǝwa.
2e060d00c0	"Ɗǝsǝmta kǝthlǝm hura, hur paɗ kǝthlǝm ɗǝsǝmta" Farǝ nan thlǝrtandǝ kandaɗǝ hwaa. Sufichǝ fata kǝthlǝm kǝ i fǝlawichitwa, kǝ naka i Lǝmwanda, Lǝmwandǝ paɗɗaa i fata.
2e060e005b	Thla'ang Farǝ Lǝmwanda hur mǝmatcha tǝ alchit'en, paɗ chika kǝm nan thla'a'ndǝ kǝm.
2e060f00a5	Awi sǝnwuniwa fechengnuni njarǝ fata Kǝrǝsti tǝ indǝ'enwowa? Kemsǝ hachiya kǝ hari njarǝ fata Kǝrǝsti kǝ humayi kandǝ tǝ ɓǝɓimanda? Ngu tamtasǝtwa!
2e061000a4	Awi sǝnwuniwa nifi humangfat tǝ ɓǝɓimanda sokkǝndǝ fat ǝrtǝ tǝ ndǝwowa? Kǝthlǝm nda i nat yarat laulawatkǝn: "Chapndǝyu naknda soktǝ kǝ fat ǝrta."
2e06110047	Le humang fat'enhi tǝ Lǝmwanda, sokkǝndǝ ǝrta hur shemeɗ tǝ ndi.
2e061200b3	Rahamna fǝlawichithar! Tahhǝt ɓǝɓichitfechi nat la sǝt nifa nakna kisshitǝ fat'en, paɗ le sǝk ɓǝɓichitfat tǝ mbanda fǝlawichita sǝkǝn ɓǝɓichitfat kǝ fa fat'en.
2e061300a9	Sǝnwuniwa fechengnuni kapat hura'a Fara le naktǝ Shemeɗ Chiɗchiɗ, naka a hanndǝkikechengnuni, le thlǝtuni ɓǝɗa Farǝ wowa? Nga nakuni tǝ alchit inchengnuniwa.
2e06140052	Hikkǝ fichǝ kuni 'yang'yang. Kǝthlǝm ndǝkǝn mwanamǝn Farǝ tǝ fechengnuni.
2e0701004d	Nakǝnya kǝ ichi yaratuni ɗarkǝn, ndiichinsi hishnifǝ mǝ kahindǝ kanwa.
2e07020078	Kǝthlǝm rahhanda fǝlawichit har, chikawun hishnifǝ kǝnan tǝ nuhkǝnsi, paɗ chikawun nuhnifǝ kǝnan tǝ sǝmahsi.
2e07030068	Hishnifǝ kǝ fǝraǝn i kamkǝsa nuhkǝn i reta, nuhnifǝ paɗ kǝ fǝraǝn i kamkǝsa sǝmahha i reta.
2e0704008f	Kǝthlǝm nuhnifǝ alchit'ensǝ kǝ fa fat'en ichitkǝnwa, sǝmah ndak. Kichu paɗ sǝmah alchit'ensǝ kǝ fa fat'en ichitkǝnwa, nuhkǝn ndak.
2e070500c1	Mǝ njaɗuni ndaniwa, kǝnan tǝ ngǝmtengnuni hwaa, kǝ fari ɗǝftuni kǝthlǝm kǝna hur'inchengnuni hur hwanda kanuni ngǝr kǝmta, kǝthlǝm mǝ limi sheɗan kuni a ɗar ɓah kǝrǝstǝwa.
2e0706002c	Mbuki iya i kamkǝsi yarandǝhi, nga waatwa.
2e07070092	Mamuwa nansǝta kǝna nofchǝ nat nda njang. Nakǝn chikawun hishnifa tǝ i fǝrandǝ Fara, leya tǝ witǝ i fǝrandǝn leyu paɗ tǝ witǝ ikǝn.
2e07080095	Kǝ mbǝɗa fichile kahuchikkan tǝ ndǝllat nishcha fichile mǝrtǝ hishchengnandǝyu, a kǝllaɗengna keekesi kǝ soknda kahundǝ kanwa nda i nati.
2e07090070	Ma ngunda mbǝla kǝs fechengnandǝ harwa, kǝ kahndǝ kan. Kweshkǝn kǝ kah nifǝ kan mǝni ita ɗi tǝ yahta.
2e070a0077	Kǝ mbǝɗa fichile kahkǝ kan nja ndandakuniwa, nga njangwa Lǝmwanda, ndatwa: "Nuhnifǝ mǝ sakindǝhi tǝ sǝmahwa."
2e070b00a5	Ma ɓeɗa saktǝhi tǝndi, kǝ sokǝn kichuyu kǝnretsǝwa, manga kichuuwa kǝ tahsangndǝ thlerǝnandaɗi tǝ sǝmahha. Hishnifǝ paɗ mǝ sakiɗǝhi tǝ nuhkǝnwa.
2e070c00ae	Kǝ mbǝɗa tahchikǝn paɗ ndakiwa: "Nga Lǝmwandǝ mbukǝwa." Ma yunǝ hwanmandǝsi nat nuhkǝn kǝla ɓahfǝrkit, ngim nuhnifǝkǝn kǝ sokǝn tǝndi, mǝ cheriɗǝndǝwa.
2e070d0068	Ma nuhnifǝsǝ nat sǝmah kǝ lǝ ɓahfǝrkit, ngim hisnifǝkǝn kǝ sokǝn tǝndi, mǝ cheriɗǝndǝwa.
2e070e00fc	Kǝthlǝm hishnifǝ lǝ ɓahfǝrkit, tahsafichǝ chiɗchiɗ tǝ mbǝɗa nuhkǝn, paɗ nuhnifǝ lǝ ɓahfǝrkit, tahsafichaɗi chiɗchiɗ tǝ mbǝɗa sǝmahha. Manga kichuwa, hwechengnuni naknda nat tǝ putafa, nda i natǝn nakǝnya, nakndǝ chiɗchiɗ.
2e070f00ce	Ma lǝ ɓahfǝrkittiyu yahkǝsa saktǝhi tǝ shetkǝn kǝnan kichu. A witǝ mbǝnniyu, hwanmandǝ kǝ nuhnifǝ ndu kǝ hishnifǝ nga waatsa sokkǝnwa. Kǝthlǝm Farǝ akǝn kǝm kǝ sok yuyurchit tǝ ndani.
2e07100085	Sokǝn nuhnifa, shinnǝ ndu mbahya sokǝn na hǝrkandǝ sǝmatuuwa? Sokǝn hishnifa, shinnǝ ndu mbahya sokǝn na hǝrkandǝ nuhwuwa?
2e071100a5	Chika witǝmǝ natma hurkǝn, chikawun kǝ sokka mbǝɗi ɗǝftǝ Lǝmwandǝndǝsi a nat'enhi, kǝ i at Farǝ ndi. Ndǝkǝn naka mbutengna kǝ mbǝɗa fafǝrkit nat.
2e07120090	Wun taɓkǝ kǝ heshang ficha kǝ fari at fichǝndi? Mǝ sokiɗǝ kǝ lǝ ɓah heshiwa. Le heshuchika kǝ fari at fichǝndi, mǝ kiɗǝ heshiwa.
2e0713004c	Hesha tǝ ɓah hesha nga ǝn nakndǝwa, kuwur kussa Farǝ ndak naka ka'ǝna.
2e07140033	Chikawun kǝ nan nda i natǝn kǝ fari at Fara ɗi.
2e07150066	Naku kǝ mafat kana ficha atsǝwa? Mǝ kǝmu ǝnwa. Manu ɓǝs alchit iɗeku, sǝku tor tǝ mbayiniyu.
2e071600a9	Chikawun naka mafata kana Lǝmwanda atndi nakǝn kǝ nifi ɓǝske alchit iɗi'en a Lǝmwanda. Kichu paɗ le nguchika mafata kana ficha atndi nakǝn kǝ mafata Kǝrǝsti.
2e0717003c	Hikkǝ fichǝ kuni 'yang'yang mǝ niɗuni mafecha nofchǝwa.
2e07180082	Kǝthlǝm ndǝkǝn hwanmancha, chika hur witǝ sokmǝ atfichǝ chikawuni, kǝ sokǝn kichu nda i at Farǝndi, kǝnan tǝ Farǝ'en.
2e071900b9	Kǝ ɗar nishchi tamuchika kan, fǝriwu Lǝmwandǝ alchit shuɗe kǝ ɗarkǝnwa, paɗ naki fǝr i naka yarengna kǝ ɗar ndatwa njangti ngǝmitǝ fichǝsi a ɗar shisshetfata Lǝmwanda.
2e071a0062	Ma yarengna, kǝthlǝm ɓahhi natma hurkǝn nakǝnya, keekesi kǝ soknifǝ ichitkǝn nda i natǝn.
2e071b004b	A kehnikanwa? Mǝ kǝnǝ saktǝhiwa. Ma kahunikanwa, mǝ kǝnǝ nuhnifǝwa.
2e071c00ba	Ma kehnikan sunǝ ɓǝɓichitfatwa, ma keh nuhhwekan sutǝ ɓǝɓichitfatwa. Fichile kahkǝkan nanda yimta ɓahtǝ somsomǝn a naɗihiya, njang tǝ yahhisǝ kǝnan paapa'a mbǝɗengnuni.
2e071d0089	I yarti hwanmancha, ndatwa hanmunchikǝn nguɗeh. Thlata nakǝnya kǝ mban fichile nat nishchengnandǝsi kǝ sokndǝ nda ngusengnandǝwa,
2e071e0096	Fa tita nda nga tǝnnda titwa, fichile naka mbǝnfata nda nga kanda mbǝnfatwa, fichile hikkǝ'ǝna kǝ nandǝ nda nga ichengnandǝ kǝ kǝsndǝharwa.
2e071f007d	Fichile naka sǝt tor tǝ ǝnat kisshita mǝ ɗǝfindǝ fatsǝwa. Kǝthlǝm kisshikǝn a naɗi nakǝnya, tǝ naka mbǝrtǝhi.
2e0720008d	Yahkisi kǝnuni cha'a hur thlahur i'nda. Nifi kahhuchikkan nak yarǝ'ena ɗar torcha Lǝmwanda, i natna sǝta kǝ tǝraǝn hura Lǝmwandǝhi.
2e07210062	Le kahkǝkan nak yarǝ'ena nata ɗar ǝnat kisshita, mbayi natna sǝt kǝ tǝraǝn hura nuhkǝnhi.
2e07220109	Paɗ shek hur'indǝ'enhi. Nuhnifǝ kahhuchikkan ndu nuhhweya nak yarǝ'ena ɗar torcha Lǝmwanda, la ɗǝfkǝn indǝ'en kaǝn kǝ mbǝɗa Lǝmwanda a hur fat tǝ shemeɗa. Nuhnifi kahkǝkan yarǝ'ena ɗar ǝnat kisshita, mbayi natna sǝt kǝ tǝraǝn hura sǝmahhi.
2e072300aa	Naki mbu ichiya kǝthlǝm kǝ kǝsangka kunisi, ngauwa kǝ ɓweshikuniwa, kǝthlǝm soktengnuni kǝnaka mbandǝ ndiichin mǝ saki yarengnunihi hur mwanandǝ Lǝmwandǝwa.
2e072400ec	Ma yaraa yunǝhiwa i natna sǝt kǝ ɗar nuhhwani ngwantǝn nga keekewa, a nakǝn hurrecha nuhhwankǝna mbǝrtǝhi paɗ a fat'en kemsǝ kǝ kahhǝnkan, kǝ sǝn kichu nda i yahtǝn. Nga tǝna sǝt ɓǝɓichitfatwa, kǝ kǝnangndǝ reta.
2e072500ca	Nifi thlarkǝ kit kǝ ɗar yara hanndǝkiketǝ'en ndatwa ǝnatkǝn nga waatwa paɗ nan mbǝlla kǝs indǝ'enhar, paɗ tira hanndǝkiketǝ'enwa ngu kahhandǝ nuhhwaniyuwa, mǝlan ma shiɗtǝ i nak keeke.
2e07260070	Nifi kahhang nuhhwani ngwantǝn shiɗ keeke, paɗ nifi kahhauchik nuhhwani ngwantǝn shiɗtǝ i kamkǝsǝ kaǝn.
2e072700bc	Nuhnifǝ nakna kǝnda kǝ mbǝɗa sǝmahha ma tana mweehi tǝ shishingta. Ma mir sǝmahha, cheɗa kissha sahta kǝ kahhǝn chikawun yahtǝn, sokkǝn waat kǝ na hishnifǝkǝna i Lǝmwanda.
2e07280081	A thlandǝ shuɗengnǝhi, nan nat tǝ mbǝnfat kaǝn manan soktǝ ichitkǝn nda i natǝn. Paɗ la sikǝnfǝ Shemeɗa Farengnǝsi.
2e08010092	Nakǝnya pathlǝ ɗǝsǝmi fǝrandǝ ficha ɗǝhhacha: "Shinǝmwa nattǝm sǝɗengnǝmsi." Sǝndǝ la ɓakǝn tǝ thla'inda, mbǝnfata la tinaǝn.
2e08020045	Ma tiryunǝwa shintǝ'ǝna, paaya sǝnu nda i kamkǝsi kǝ sǝnǝnwa.
2e08030026	Ma yuna mbǝnfat Fara, shin Farǝ ndi.
2e08040084	Pathlǝ sǝm ɗǝsǝmi fǝrandǝ ficha ɗǝhhacha: "A shinǝmwa ɗǝhhata nga ǝnnakǝnna kisshitǝwa paɗ Farǝsǝ somǝnwa ǝrta."
2e08050080	Chika sokkǝnwa funisǝ la atfichǝwa farǝcha a Afshi ndu kisshita (nda i nat, "farǝchǝsǝ" ka'ǝn "shinchǝsǝ" paɗ kaǝn),
2e080600e8	Chika kichu a mbǝɗengnǝm Farǝ ǝrta, le naka Shinda, ichi natya ɓakna mbǝɗ'en, naɗengnǝmhi kǝthlǝm mǝlan. Lǝmwandǝsi ǝrta Yǝso Kǝrǝsti, tǝ mbǝɗ'en chet ichi kish natya, kǝmnang paɗ naɗengnǝmhi tǝ mbǝɗ'en.
2e080700f5	Nga chikawun sǝnkǝ iyawa. Funǝ paaya sǝɗengnandǝhi tǝ tor ɗǝhhacha, la saǝn kandǝfǝwa ɗǝsǝmi la sǝmtǝnda nda i fǝrandǝficha ɗǝhhata. Kǝthlǝm ndǝkǝn nguchikndǝ kwaakwa'a hur hanndǝkiketa la tǝrkǝndǝwa shiɓndaɗaɗi.
2e08080065	Ɗǝsǝmtǝ ɗutǝkǝm nduk tǝ Farǝwa. Ma sǝmwumwa ngǝma tahtǝhiwa, ma shimǝm ngǝma chektǝwa.
2e0809007b	Kǝ ɗǝfuni indǝsi, mbǝs thlǝt indengnuni mǝ sokiɗa ǝnat chit hansarǝhi mbǝɗa fichile nguchit alchiɗengnandǝsi.
2e080a00b0	Kǝthlǝm ma neɗ yunǝsa le nguchik kwaakwa'a hur fǝrkit, sokǝn tǝ sǝnka sa sǝm'ǝna kǝtǝn mwanandǝ ɗǝhhacha, fǝrauni alchit sǝm i tahsandǝ ficha ɗǝhhachǝwowa?
2e080b007c	Kǝthlǝm ndǝkǝn hwanmani nguchik kwaakwa'a na sǝndeku sokta mba hǝmtǝ'enhi, le mǝrtǝ Kǝrǝsti ɗi kǝthlǝm mǝlan.
2e080c00b6	Ma shiɗnǝ ɓǝɓichitfat kǝ mbǝɗa hwanmanchiwa, tǝ mbǝnniyu paɗ ɗǝfau ndindita kandǝ kǝ ɗar ɓah kwaakwaa chiɗengnanda, tǝ sǝnǝ ɓǝɓichitfat kǝ mbǝɗa Kǝrǝsti.
2e080d009c	Kǝthlǝm ndǝkǝn, ma sǝm'ǝn na ɗǝf hwanyaa kǝ yimka hur ɓǝɓichitfata, mwawi tamta chi thlu paɗwa, kǝthlǝm mǝ ɗǝffiɗǝ ndǝ kǝ hǝmǝnhiwa.
2e0901009e	Njang mbǝs thlǝt indengnǝsǝwowa? Njang nga lǝthlǝndǝ nakiwowa? Anuwi Yǝso Lǝmwaɗengnǝmwowa? Kunang nga kǝni torengnǝ nakuni a hur Lǝmwandǝwowa?
