010000000c	Olubereberye
26060700ce	Awo embalaasi ezo ez’amaanyi nga zivudde mu maaso ga Mukama, ne zifuba okutambulatambula mu nsi yonna; n’azigamba nti, “Mugende, mutambuletambule mu nsi yonna.” Awo ne zitambulatambula mu nsi yonna.
2606080089	Awo n’ampita n’aŋŋamba nti, “Laba, ezo eziraga mu nsi ey’obukiikakkono ziwummuzza Omwoyo wange mu nsi ey’omu bukiikakkono.”
2606090035	Ekigambo kya Mukama ne kijja gye ndi nga kigamba nti,
26060a00b7	“Genda eri bano: Kerudayi, ne Tobiya, ne Yedaya, abaakomawo okuva mu buwaŋŋanguse mu Babulooni, olunaku olwo lwennyini olage mu nnyumba ya Yosiya, mutabani wa Zeffaniya, mwe bali.
26060b0070	Ddira effeeza ne zaabu okole engule ogitikkire ku mutwe gwa Yoswa, kabona asinga obukulu, omwana wa Yekozadaaki.
26060c0090	Mugambe nti, bw’ati bw’ayogera Mukama ow’Eggye nti, ‘Laba omuntu erinnya lye ye Ttabi; alirokera mu kifo kye, azimbe yeekaalu ya Mukama.
26060d00e4	Oyo y’alizimba yeekaalu ya Mukama, era alijjula ekitiibwa. Alituula ku ntebe ye ey’obwakabaka, n’afuga. Era y’aliba Kabona ku ntebe ye ey’obwakabaka; walibaawo okutegeeragana okw’emirembe wakati wa Ttabi ne Yoswa.’
26060e0073	Era n’engule ya kubeera mu yeekaalu ya Mukama ng’ekijjukizo eri Keremu, ne Tobiya ne Keeni omwana wa Zeffaniya.
26060f00de	Era n’abo abali ewala balijja okuyamba okuzimba yeekaalu ya Mukama, era mulimanya nga Mukama ow’Eggye yantuma gye muli. Bino tebirirema kubaawo singa munaagondera eddoboozi lya Mukama Katonda wammwe n’obumalirivu.”
26070100ae	Awo olwatuuka mu mwaka ogwokuna ogw’obufuzi bwa kabaka Daliyo, ekigambo kya Mukama ne kijjira Zekkaliya, ku lunaku olwokuna olw’omwezi ogw’omwenda oguyitibwa Kisuleevu.
26070200a2	Abayudaaya mu Beseri baali batumye Salezeeri omukungu wa kabaka ne Legemumereki n’abantu baabwe mu Yerusaalemi okwogerako ne bakabona babegayiririre eri Mukama,
26070300a8	n’okusaba bakabona b’omu nnyumba ya Mukama ow’Eggye ne bannabbi nti, “Nkaabe era nsiibe mu mwezi ogwokutaano nga bwe mbadde nkola okumala emyaka gino gyonna?”
2607040040	Awo ekigambo kya Mukama ow’Eggye ne kinzijira nga kigamba nti,
26070500a8	“Gamba abantu bonna abali mu nsi, ne bakabona nti, ‘Bwe mwasiiba ne mukungubaga mu mwezi ogwokutaano ne mu gw’omusanvu mu myaka gino ensanvu, mwali musiibira nze?
260706004c	Era bwe mulya ne munywa, muba temulya ku lwammwe era n’okunywa ku lwammwe?
26070700f2	Bino si bye bigambo Mukama bye yalangirira mu bannabbi ab’edda, Yerusaalemi bwe kyali kikyalimu abantu era nga kikyakulaakulana, nga n’ebibuga byakyo bikyetoolodde, nga ne mu bukiikaddyo ne mu bitundu eby’ensenyi mukyalimu abantu?’”
2607080032	Ekigambo kya Mukama ne kijjira Zekkaliya nate nti,
260709009d	“Bw’ati bw’ayogera Mukama ow’Eggye nti, ‘Musalenga emisango egy’ensonga, mukwatirweganenga ekisa n’okusaasiragananga buli muntu eri muganda we.
26070a00ba	Temutulugunyanga bannamwandu, n’abatalina bakitaabwe, n’abatambuze wadde abaavu, era tewateekwa kubaawo muntu n’omu ku mmwe alowooza mu mutima gwe okukola obulabe ku muganda we!’
26070b0067	“Naye baagaana okuwuliriza ne bakakanyaza emitima gyabwe ne baziba n’amatu gaabwe baleme okuwulira.
26070c00cf	Ne bakakanyaza emitima gyabwe ng’ejjinja, ne batawuliriza mateeka wadde ebigambo Mukama ow’Eggye bye yaweereza n’Omwoyo we mu mukono gwa bannabbi ab’edda. Mukama ow’Eggye kyeyava abanyiigira ennyo.
26070d0072	“‘Bwe nabakoowoola ne batafaayo, nange ne ŋŋaana okufaayo nga bankowodde,’ bw’ayogera Mukama ow’Eggye.
26070e00b2	Era nabasaasaanya n’omuyaga ogukunta mu mawanga ge baali batamanyi. Ensi gye baaleka n’ebeera matongo nga tewali agibeeramu, ensi ennungi esanyusa, kyeyava efuuka eddungu.”
2608010035	Ekigambo kya Mukama ow’Eggye ne kinzijira nate nti:
260802006b	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Nkwatirwa Sayuuni obuggya, obuggya obungi obw’ekitalo.”
26080300be	Bw’ati bw’ayogera Mukama nti, “Ndikomawo mu Sayuuni, ndibeera wakati mu Yerusaalemi era Yerusaalemi kiriyitibwa ekibuga ekyesigwa, olusozi olwa Mukama ow’Eggye, Olusozi Olutukuvu.”
26080400aa	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Abakadde abasajja n’abakazi bajja kuddamu okutuula mu nguudo za Yerusaalemi, nga buli omu akutte omuggo, olw’obukadde.
2608050048	N’enguudo ez’ekibuga zirijjula abalenzi n’abawala nga bazannya.”
26080600c2	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Kirirabika ng’eky’ekitalo mu maaso g’abantu abo abaasigalawo mu nnaku ezo, naye nange gye ndi bwe kiriba?” bw’ayogera Mukama ow’Eggye.
260807008b	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Laba ndirokola abantu bange abali mu nsi ey’Ebuvanjuba n’abali mu nsi ey’Ebugwanjuba:
2608080069	Ndibakomyawo, babeere mu Yerusaalemi, nange nnaabeeranga Katonda waabwe mu bwesigwa ne mu butuukirivu.”
2608090113	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Emikono gyammwe gibe n’amaanyi, mmwe, mu nnaku zino ababadde bawulira ebigambo bino ebiva mu kamwa ka bannabbi abaaliwo mu nnaku okuva omusingi gw’ennyumba ya Mukama ow’Eggye lwe gwasimbibwa, yeekaalu ye eryoke ezimbibwe.
26080a00eb	Ekiseera ekyo nga tekinnatuuka, tewaali asobola kutoola nsimbi okupangisa omuntu wadde okupangisa ensolo. Era tewaali muntu ayinza kukola mirimu gye mu mirembe olw’omulabe we, kubanga buli muntu nnali mufudde mulabe wa muliraanwa we.
26080b006e	Naye kaakano abantu bano abaasigalawo sijja kubakola nga mu nnaku ezaayita,” bw’ayogera Mukama ow’Eggye.
26080c00e6	“Kubanga ensigo erikula bulungi, n’omuzabbibu gubale ekibala kyagwo, n’ettaka lireetenga ekimera kyalyo, n’eggulu lireetenga omusulo gwalyo. Nange abantu bange abaasigalawo ndibawa ebintu ebyo byonna nga gwe mugabo gwabwe.
26080d00ce	Nga bwe mwali ekikolimo mu baamawanga, ggwe ennyumba ya Yuda, naawe ennyumba ya Isirayiri, bwe ntyo bwe ndibalokola, era mulibeera omukisa eri abalala. Temutya, munywere emikono gyammwe gibe n’amaanyi.”
26080e00b0	Kubanga bw’ati bw’ayogera Mukama ow’Eggye nti, “Nga bwe nasalawo okubabonereza, bajjajjammwe bwe bansunguwaza,” bw’ayogera Mukama ow’Eggye, “era ne sibasaasira,
26080f006c	bwe ntyo nate bwe nsazeewo kaakano mu nnaku zino okukola obulungi Yerusaalemi n’ennyumba ya Yuda. Temutya.
2608100081	Bino bye bintu bye munaakolanga: buli muntu ayogerenga bya mazima ne muntu munne, musalenga emisango mu bwenkanya mu mpya zammwe;
2608110072	tosaliranga muliraanwa wo lukwe. So tolayiranga bya bulimba, kubanga ebyo byonna mbikyawa,” bw’ayogera Mukama.
2608120035	Ekigambo kya Mukama ow’Eggye ne kinzijira nate nti:
26081300f4	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Okusiiba omwezi ogwokuna, n’ogwokutaano, n’ogw’omusanvu, n’ogw’ekkumi kunaabeeranga mbaga ey’essanyu era n’okwesiima mu nnyumba ya Yuda. Noolwekyo mwagalenga amazima n’emirembe.”
260814008c	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Amawanga mangi n’abantu bangi abalijja okuva mu bibuga bingi era n’okuva mu nsi nnyingi;
26081500a7	era ab’ekibuga ekimu baliraga mu kibuga ekirala babagambe nti, ‘Tugende mangu twegayiririre Mukama, tunoonye amaaso ga Mukama ow’Eggye. Nze kennyini ŋŋenda.’
260816007b	Abantu bangi n’amawanga mangi ag’amaanyi galijja okunoonya Mukama ow’Eggye mu Yerusaalemi n’okwegayirira Mukama.”
26081700f2	Bw’ati bw’ayogera Mukama ow’Eggye nti, “Mu nnaku ezo abasajja kkumi okuva mu buli lulimi olwogerwa mu mawanga balyekwata ku kyambalo ky’Omuyudaaya bagambe nti, ‘Muleke tugende nammwe kubanga twawulira nga Katonda ali nammwe.’”
2609010095	Ekigambo kya Katonda kyolekedde ensi ya Kadulaki era kirituuka e Ddamasiko. Kubanga abantu bonna n’ebika byonna ebya Isirayiri batunuulidde Mukama,
2609020061	era ne Kamasi ekiriraanyeewo nakyo bwe kityo, ne Ttuulo ne Sidoni wadde nga birina amagezi mangi.
2609030075	Ttuulo kyezimbira ekigo ne kituuma ffeeza n’eba ng’enfuufu, ne zaabu n’eba nnyingi ng’ettaka ery’omu kkubo.
260904006e	Laba, Mukama alikyambulako ebintu byakyo, alizikiriza amaanyi gaakyo ag’oku nnyanja, era kiryokebwa omuliro.
26090500c1	Asukulooni bino kiribiraba ne kitya; ne Gaza bwe kityo kiribeera mu kulumwa okw’amaanyi. Era n’essuubi lya Ekuloni liriggwaawo; Gaza aliggyibwako kabaka we, ne Asukulooni tekiribaamu bantu.
2609060049	Abagwira balitwala Asudodi, era n’amalala g’Abafirisuuti ndigamalawo.
26090700d5	Era ndiggya omusaayi mu kamwa ke n’emmere ey’omuzizo okuva wakati mu mannyo ge. N’abo bonna abalisigalawo mu kyo baliba bantu ba Katonda waffe, balifuuka bakulembeze mu Yuda, ne Ekuloni kiriba nga Abayebusi.
260908008b	Naye ndirwanirira ennyumba yange eri eggye eddumbaganyi, so tewaliba mulumbaganyi aliddayo kujooga bantu bange kubanga kaakano mbalabirira.
26090900d4	Sanyuka nnyo ggwe omuwala wa Sayuuni: leekaana nnyo, ggwe omuwala wa Yerusaalemi; laba, kabaka wo ajja gy’oli; mutuukirivu era muwanguzi; muwombeefu era yeebagadde endogoyi, endogoyi ento, omwana gw’endogoyi.
26090a010d	Efulayimu ndimuggyako amagaali, ne Yerusaalemi muggyeko embalaasi ennwanyi, n’omutego gw’obusaale gulimenyebwa era alireeta emirembe mu mawanga, n’obufuzi bwe buliva ku nnyanja emu butuuke ku nnyanja endala era buve ku mugga Fulaati butuuke ku nkomerero z’ensi.
26090b0074	Naawe ggwe, olw’omusaayi gw’endagaano gye nakola naawe, ndisumulula abasibe bo okuva mu bunnya obutaliimu mazzi.
26090c0065	Mudde mu nkambi yammwe mmwe abasibe abalina essuubi; nangirira leero nti ndibadizaawo emirundi ebiri.
26090d00ad	Yuda ndigiweta ng’omutego ogw’obusaale ngujjuze Efulayimu. Ndiyimusa batabani ba Sayuuni, balwane n’abaana bo, ggwe Buyonaani, mbakozese ng’ekitala eky’omutabaazi.
26090e00b0	Era Mukama alirabika ng’ali waggulu waabwe, akasaale ke kamyanse ng’okumyansa kw’eggulu. Mukama Katonda alifuuwa ekkondeere, n’akumbira mu muyaga ogw’omu bukiikaddyo.
26090f00b1	Mukama ow’Eggye alibakuuma. Balirinnyirira ne bawangula envuumuulo, balinywa ne baleekaana ng’abatamiivu. Balijjula ng’ekibya ekikozesebwa okumansira ku nsonda z’ekyoto.
26091000b3	Ku lunaku olwo Mukama Katonda alirokola abantu be ng’omusumba bw’alokola ekisibo ky’endiga ze. Balitangalijja mu nsi ye, ng’amayinja ag’omuwendo bwe gatemagana mu ngule.
2609110099	Nga baliba balungi era abatuukirivu! Emmere ey’empeke erireetera abavubuka abalenzi obulamu obweyagaza, n’abawala nabo beeyagale olwa wayini omuggya.
260a01007c	Musabe Mukama enkuba mu biseera byayo; kubanga Mukama y’akola ebire enkuba n’etonnya, olwo buli muntu n’afuna ebirime.
260a0200e5	Kubanga bakatonda abalala n’abalaguzi balaba okwolesebwa okw’obulimba; ne baloota ebirooto eby’obulimba, ne bagumya abantu eby’obulimba. Abantu kyebava bazuŋŋana ng’endiga, nga banyigirizibwa olw’obutaba na musumba.
260a0300e2	“Obusungu bwange bubuubuukidde ku basumba era nzija kubonereza abakulembeze ba Yuda, kubanga Mukama ow’Eggye ajja kulabirira endiga ze, ennyumba ya Yuda, era alibafuula ng’embalaasi ye emwenyumiririzaamu ennyo mu lutalo.
260a040093	Mu Yuda mulivaamu ejjinja ery’oku nsonda, muveemu n’enkondo enyweza weema, muveemu n’omutego ogw’akasaale era muveemu na buli mufuzi yenna.
260a0500cc	Bonna awamu balyoke babe ng’abasajja abazira ennyo mu lutalo abatambulira mu bitoomi by’omu nguudo mu biseera eby’entalo. Kubanga Mukama ali nabo, balirwana ne bawangula eggye eryebagadde embalaasi.
260a0600be	“Ndiwa ennyumba ya Yuda amaanyi era ndiwonya ennyumba ya Yusufu, ndibakomyawo kubanga mbakwatiddwa ekisa. Balibeera nga be sseegaanangako era ndibawulira kubanga nze Mukama Katonda waabwe.
260a0700bd	Olwo aba Efulayimu baliba ng’abasajja ab’amaanyi, emitima gyabwe ne gisanyuka nnyo ng’abanywedde wayini. Abaana baabwe balikiraba ne basanyuka, omutima gwabwe gulisanyukira mu Mukama.
260a08005e	Ddala ndibawonya ne mbakuŋŋaanya. Ddala ndibanunula, baddeyo babeere bangi nga bwe baabanga.
260a09009d	Newaakubadde nga nabasaasaanyiza mu mawanga, naye balisinzira eyo mu nsi ezeewala ne banzijukira. Bo n’abaana baabwe baliba balamu era ne bakomawo gye ndi.
260a0a009d	Ndibakomyawo okuva mu Misiri, mbakuŋŋaanye okuva mu Bwasuli. Ndibaleeta mu Gireyaadi ne Lebanooni ne bajjula ensi ezo ne watasigalawo kabanga ka kubeeramu.
260a0b00c6	Baliyita mu nnyanja ey’okubonaabona; ennyanja ewuluguma erikkakkanyizibwa, n’obuziba bwa Kiyira bwonna bulikala. Amalala ga Bwasuli galibaggwaamu n’omugo ogw’obufuzi bwa Misiri gulimenyebwa.
260a0c005f	Ndibafuula ba maanyi mu Mukama era nabo balitambulira mu linnya lyange,” bw’ayogera Mukama.
260b01003d	Ggulawo enzigi zo ggwe Lebanooni, omuliro gwokye emivule gyo.
260b020099	Kaaba ggwe omuberosi, kubanga emivule gigudde! Emiti emirungi ennyo gyonoonese. Mukube ebiwoobe mmwe emyera gya Basani, kubanga ekibira ekikwafu kigudde.
260b0300a4	Wuliriza ebiwoobe by’abasumba, amalundiro gaabwe amalungi gazikirizibbwa. Wuliriza okuwuluguma kw’empologoma. Omuddo omulungi oguli ku Yoludaani guzikirizibbwa.
260b040061	Bw’ati bw’ayogera Mukama Katonda wange nti, “Lunda endiga zigejje ezinaatwalibwa okuttibwa.
260b0500a3	Abo abazigula bazitta ne batabaako musango. N’abo abazitunda ne bagamba nti, ‘Mukama atenderezebwe ngaggawadde!’ Abasumba baazo bennyini tebazikwatirwa kisa.
260b0600e1	Kubanga sikyaddayo kukwatirwa bantu ba nsi eno kisa,” bw’ayogera Mukama. “Ndiwaayo buli muntu okugwa mu mikono gya muliraanwa we, ne mu mikono gya kabaka we. Nabo balijooga ensi era sirigiwonya kuva mu mikono gwabwe.”
260b0700d1	Awo ne nunda ekisibo ekyateekebwateekebwa okuttibwa, okusingira ddala ezaali zijoogebwa. Ne ntwala emiggo gy’abasumba ebiri, ogumu ne ngutuuma erinnya Kisa, omulala ne ngutuuma Kwegatta era ne ndiisa endiga.
260b08005e	Mu mwezi gumu ne neegobako abasumba basatu, emmeeme yange ng’ebakyaye era nabo nga bankyaye.
260b0900ad	Awo ne ndyoka ŋŋamba nti, “Siibeere musumba wammwe, ekinaafa leka kife, ekyokwonooneka kyonooneke, era leka ebyo ebisigaddewo biryaŋŋane, buli kimu kirye kinnaakyo.”
260b0a0066	Ne ndyoka nkwata omuggo gwange Kisa ne ngumenya, ne mmenya endagaano gye nnali nkoze n’abantu bonna.
260b0b007d	Endagaano n’agikomya ku lunaku olwo era abasuubuzi b’endiga abaali bandaba ne bamanya nti ekyo kyali kigambo kya Katonda.
260b0c00af	Ne ndyoka mbagamba nti, “Bwe kiba nga kisaanidde mu maaso gammwe mumpe empeera yange; naye obanga temusiimye mulekeeyo.” Awo ne bambalira ensimbi eza ffeeza amakumi asatu.
260b0d00bf	Awo Mukama n’aŋŋamba nti, “Zisuulire omubumbi,” omuwendo guno ogw’ekitalo gwe bansasula! Kale ne ntwala ensimbi amakumi asatu eza ffeeza ne nzisuulira omubumbi mu nnyumba ya Mukama.
260b0e0074	Awo ne mmenya omuggo gwange ogwokubiri Kwegatta, okulaga nti obumu obwali wakati wa Yuda ne Isirayiri bwali bukomye.
260b0f0064	Mukama n’alyoka aŋŋamba nti, “Twala nate ebintu eby’omusumba omusirusiru bye yandikozesezza.
260b1000c5	Kubanga laba, nze nyimusizza omusumba mu nsi atafaayo ku ndiga ezizikirira era atanoonya zisaasaanye, era atayunga zimenyese wadde okuliisa ennamu, naye alya ensolo ensava ng’aziyuzaako ebinuulo.
260b1100de	“‘Zimusanze omusumba wange ataliiko ky’agasa agayaalirira ekisibo! Ekitala kifumite omukono gwe ogwa ddyo, kiggyemu n’eriiso lye erya ddyo! Omukono gwe gukalire ddala, n’eriiso lye erya ddyo lizibire ddala!’”
260c0100b6	Kino ky’ekigambo kya Katonda ekikwata ku Isirayiri. Bw’ati bw’ayogera Mukama eyabamba eggulu era n’assaawo emisingi gy’ensi, era n’akola n’omwoyo gw’omuntu ogumulimu.
260c02008d	“Laba ŋŋenda okufuula Yerusaalemi ekikompe ekitagaza amawanga gonna ageetoolodde enjuuyi zonna. Yuda awamu ne Yerusaalemi birizingizibwa.
260c0300af	Awo ku lunaku olwo ndifuula Yerusaalemi ejjinja erizitowa eri amawanga gonna, ag’ensi agalikuŋŋaana okukizingiza. Abo bonna abaligezaako okuliggyawo, balyetusaako ebisago.
260c0400b3	Ku lunaku olwo, bw’ayogera Mukama, ndikuba buli mbalaasi na buli muvuzi waayo ndimusuula eddalu. Ndikuuma ennyumba ya Yuda kyokka amaaso g’embalaasi za bannaggwanga ndigaziba.
260c050099	Awo abakulembeze ba Yuda baligamba mu mitima gyabwe nti, ‘Abantu b’omu Yerusaalemi ba maanyi, kubanga Mukama Katonda ow’Eggye ye Katonda waabwe.’
260c060138	“Ku lunaku olwo ndifuula abakulembeze ya Yuda ng’ogusigiri ogwaka ogwetooloddwa enku, ng’olumuli olw’omuliro mu makkati g’ebinywa. Balimalawo amawanga gonna ag’oku njuyi zonna, olw’oku kkono n’olw’oku ddyo; naye Yerusaalemi kirisigalawo, n’abantu baakyo mu kifo kyakyo awatali kunyeenyezebwa.
260c070099	“Mukama alisooka kununula weema za Yuda, ekitiibwa ky’ennyumba ya Dawudi, n’ekitiibwa ky’abatuuze b’omu Yerusaalemi kireme kusukka ku kya Yuda.
260c0800e1	Ku lunaku olwo Mukama aliteeka obukuumi ku batuuze b’omu Yerusaalemi; abo abasembayo obunafu ku lunaku olwo babeere nga Dawudi, era ennyumba ya Dawudi ebeere ng’ennyumba ya Katonda, nga malayika wa Mukama abakulembeddemu.
260c09003f	Ku lunaku olwo ndizikiriza amawanga gonna agalumba Yerusaalemi.
260c0a0122	“Era ndifuka ku nnyumba ya Dawudi era ku batuuze ba Yerusaalemi Omwoyo ow’ekisa n’okwegayirira. Balintunuulira nze gwe baafumita: era balimukungubagira ng’omuntu bw’akungubagira omwana we omu yekka, era balimulumirwa nnyo omwoyo ng’omuntu bw’alumirwa mutabani we omubereberye.
260c0b0073	Ku lunaku olwo okukuba ebiwoobe kuliyitirira mu Yerusaalemi okwenkana ng’okwa Kadadulimmoni mu kiwonvu Megiddoni.
260c0c0096	Ensi erikungubaga, buli kika kyokka; ekika eky’ennyumba ya Dawudi ne bakazi baabwe kyokka, n’ekika ky’ennyumba ya Nasani ne bakazi baabwe bokka;
260c0d0057	Ekika eky’ennyumba ya Leevi ne bakazi baabwe, n’ekika kya Simeeyi ne bakazi baabwe;
260c0e0037	n’ebika byonna ebirala ebisigaddeyo ne bakazi baabwe.
260d010096	“Ku lunaku olwo ensulo z’amazzi ziriggulirwa ennyumba ya Dawudi n’abatuuze b’omu Yerusaalemi okubatukuza okuva mu kibi n’obutali bulongoofu.
260d0200bd	“Ku lunaku olwo, ndiggya amannya ga bakatonda abalala okuva mu nsi, galeme kuddayo kujjukirwa, era nzigye bannabbi n’omwoyo ogutali mulongoofu mu nsi,” bw’ayogera Mukama ow’Eggye.
260d0300de	Era singa omuntu yenna awa obunnabbi, kitaawe ne nnyina abamuzaala bennyini balimugamba nti, “Oteekwa kufa kubanga oyogedde eby’obulimba mu linnya lya Mukama.” Bw’aliwa obunnabbi, bakadde be bennyini bamufumitanga.
260d040096	“Ku lunaku olwo buli nnabbi alikwatibwa ensonyi olw’okwolesebwa kwe okw’obulimba; era tebalyambala kyambalo kyabwe eky’ebyoya okulimba abantu.
260d050079	Aligamba nti, ‘Siri nnabbi nze, ndi mulimi bulimi; era mu nnimiro mwe nkoledde emirimu gyange obulamu bwange bwonna.’
260d06009f	Era singa omuntu bamubuuza nti, ‘Ate bino ebiwundu ebiri ku mubiri gwo bya ki?’ Aliddamu nti, ‘Ebiwundu n’abifunira mu nnyumba ya mikwano gyange.’”
260d0700d4	“Zuukuka, ggwe ekitala olwanyise omusumba wange, olwane n’omusajja annyimirira ku lusegere,” bw’ayogera Mukama ow’Eggye. “Kuba omusumba endiga zisaasaane nange ndiyimusa omukono gwange ku baana abato.
260d08007a	Mu nsi yonna,” bw’ayogera Mukama, “bibiri bya kusatu bye birikubwa bisaanewo, naye kimu kya kusatu kye kirisigalamu.
260d090118	Ekitundu kino eky’ekimu ekyokusatu ndikireeta mu muliro, ne mbalongoosa ng’effeeza bw’erongoosebwa mbagezese nga zaabu bw’egezesebwa. Balikoowoola erinnya lyange nange ndibaanukula. Ndigamba nti, ‘Bantu bange,’ era nabo baliddamu nti, ‘Mukama ye Katonda waffe.’”
260e010036	Olunaku lwa Mukama lujja, lwe muligabana bye mwanyaga.
260e0200f5	Ndikuŋŋaanyiza amawanga gonna mu Yerusaalemi mu lutalo okukirwanyisa; ekibuga kiritwalibwa, enju zinyagibwe n’abakazi bakwatibwe. Kimu kyakubiri eky’ekibuga kiritwalibwa mu buwaŋŋanguse; naye abalala abalisigalawo tebaliggibwa mu kibuga.
260e030058	Awo Mukama alivaayo n’alwanyisa amawanga gali nga bwe yalwana ku lunaku olw’olutalo.
260e040137	Ku lunaku olwo ebigere bye biriyimirira ku lusozi olwa Zeyituuni olwolekedde obuvanjuba bwa Yerusaalemi, era olusozi lwa Zeyituuni lulyabuluzibwamu ebitundu bibiri okuva Ebuvanjuba okudda Ebugwanjuba era lujjemu oguwonvu oguwanvu ennyo. Ekitundu ekimu eky’olusozi kidde mu Bukiikakkono ekirala mu Bukiikaddyo.
260e0500f7	Nammwe muliddukira mu kkubo ery’omu kiwonvu eky’olusozi lwange kubanga ekiwonvu kirisitulirwa waggulu era muddukanga nga bwe mwadduka musisi eyayita mu mirembe gya Uzziya, kabaka wa Yuda. Awo Mukama Katonda wange alijja n’abatukuvu be bonna.
260e060049	Ku lunaku olwo teriba kitangaala, newaakubadde obunnyogovu wadde obutiti.
260e070088	Naye luliba lunaku lwa njawulo, awataliba misana wadde kiro: olunaku olumanyiddwa Mukama. Obudde bwe buliwungeera walibaawo ekitangaala.
260e0800a9	Ku lunaku olwo amazzi amalamu galikulukuta okuva mu Yerusaalemi; agamu gagende mu nnyanja ey’Ebuvanjuba n’amalala mu nnyanja ey’Ebugwanjuba; mu kyeya ne mu ttoggo.
260e09007a	Mukama alibeera kabaka ow’ensi zonna: ku lunaku olwo Mukama alibeera omu yekka n’erinnya lye liribeera erinnya lyokka.
260e0a00e8	Ensi yonna okuva e Geba okutuuka e Limmoni ku luuyi olw’obukiikaddyo obwa Yerusaalemi; erifuuka nga Alaba naye Yerusaalemi kiriyimusibwa ne kisigala mu kifo kyakyo okuva ku mulongooti gwe Kananeri okutuuka ku masogolero ga kabaka.
260e0b0053	Abantu balikibeeramu, tekigenda kuddayo kuzikirizibwa. Yerusaalemi kiriba kinywevu.
260e0c00bc	Ono ye kawumpuli Mukama gw’alikubisa amawanga gonna agaalwanyisa Yerusaalemi. Emibiri gyabwe girivunda nga bakyali balamu. Amaaso gabavundire mu biwanga, n’ennimi zibavundire mu kamwa.
260e0d0077	Ku lunaku olwo Mukama alireetera abantu ekyekango eky’amaanyi. Buli muntu alikwata omukono gwa munne nga balwanagana.
260e0e00ab	Ne Yuda alirwanira mu Yerusaalemi era obugagga bw’ensi zonna eziriraanyeewo bukuŋŋaanyizibwe, zaabu n’effeeza n’ebyambalo bingi nnyo nga nabyo bikuŋŋaanyizibbwa.
260e0f0082	Era kawumpuli ng’oli aligwa ku mbalaasi, ne ku nnyumbu, ne ku ŋŋamira, n’endogoyi, ne ku nsolo zonna eziriba mu bisulo ebyo.
260e10009a	Abo abalisigalawo ku mawanga agaalumba Yerusaalemi banaayambukanga buli mwaka okusinza Mukama kabaka ow’Eggye era n’okukwatanga embaga ey’ensiisira.
260e110065	Omuntu yenna mu nsi bw’ataagendenga Yerusaalemi kusinza Mukama Kabaka ow’Eggye, taafunenga nkuba.
260e120099	Abamisiri bwe bataagendenga kwetabamu, tebaafunenga nkuba. Mukama anaabareeteranga kawumpuli, gwakubisa amawanga agatagenda kukwata mbaga ey’ensiisira.
260e130069	Ekyo kye kinaabanga ekibonerezo kya Misiri n’amawanga gonna agataayambukenga kukwata mbaga ya nsiisira.
260e1400d3	Ku lunaku olwo ekigambo kino, “kitukuvu eri Mukama Katonda,” kinaawandikibwa ku bide by’embalaasi era n’entamu ezifuumbirwamu mu nnyumba ya Mukama zinaabeeranga ng’ebibya ebitukuvu mu maaso g’ekyoto.
260e150101	Weewaawo, buli nsuwa mu Yerusaalemi ne mu Yuda eneebanga ntukuvu mu maaso ga Mukama ow’Eggye; n’abo bonna abanajjanga okuwaayo ssaddaaka banaafumbiranga mu zimu ku ntamu ezo. Era ku lunaku olwo, waliba tewakyali Mukanani mu nnyumba ya Mukama ow’Eggye.
2700000006	Malaki
2701010048	Buno bwe bubaka Mukama bwe yawa Malaki abutuuse eri abaana ba Isirayiri.
27010200b5	“Nabaagala,” bw’ayogera Mukama. “Naye mmwe ne mumbuuza nti, ‘Watwagala otya?’ “Esawu teyali muganda wa Yakobo?” bw’ayogera Mukama: “naye nze Yakobo gwe nayagala.
270103006d	Esawu namukyawa ne nfuula ensi ye ey’ensozi okuba amatongo, obusika bwe ne mbuwa ebibe eby’omu ddungu.”
270104010a	Singa Edomu, ekika ekyava mu Esawu kigamba nti, “Wadde tukubiddwa wansi naye tulidda ne tuzimba ebyagwa.” Mukama ow’Eggye ayogera nti, “Bo balizimba, naye nze ndibimenya; era abantu banaabayitanga, ensi embi, era nti abantu Mukama be yanyiigira ennaku zonna.
2701050062	Era amaaso gammwe galiraba ne mwogera nti, ‘Mukama agulumizibwe okusukka ensalo ya Isirayiri.’
2701060157	“Omwana assaamu kitaawe ekitiibwa, n’omuddu atya mukama we. Kale obanga ddala ndi kitammwe, ekitiibwa kye munzisaamu kiri ludda wa? Era obanga ndi mukama wammwe, lwaki temuntya?” bw’ayogera Mukama ow’Eggye. Mukama ow’Eggye bw’abagamba mmwe nti, “Mmwe bakabona munyooma erinnya lyange. “Ne mubuuza nti, ‘Twayonoona tutya?’
2701070093	“Muwaayo ku kyoto kyange emmere eyonoonese. “Kyokka ne mwebuuza nti, ‘Twakwonoona tutya?’ “Kubanga olujjuliro lwange mulufuula ekitagasa.
