280000000f	ମାତିଉ
32020e0090	ଆସ୍‌କିଏଣ୍‌ଗା ମାରି ୱାର୍‌ଗିଜିସାଏଣ୍‌ଗା ୱିଜୁ ପାଣି କିଦୁ ।
32020f018f	ଆର୍‌ତିଙ୍ଗ୍‌, ଇୟା କାକୁର୍ତି ମାରି ପାପ୍‌ମାନି ଦୁନିଆଦୁ ମିର୍‌ ମାପୁରୁଦି ଦାର୍ମୁ କଡ଼କକ୍‌ରା ୱାଜା ଦସ୍‍ସିଲିକା ମାରି ଦାର୍ମୁଦାନ୍‌ ଜିଜି ମାଡ଼ିଦେଙ୍ଗ୍‌ ଆଟ୍‌ନିଦେର୍‌ ।
3202100310	ଆଇୱାରି ଲାକ୍‌ତୁ ଜିବନ୍‌ମାନି କାବୁର୍‌ ପ୍ରଚାର୍‌ କିନିୱାଲେ ମିର୍‌ ବାଦଡ଼୍‌ତିଙ୍ଗ୍‌ ଜାୟ୍‌ କିଜିମାନି ସୁକେଙ୍ଗ୍‌ ୱାଜା ଜାୟ୍‌ ଆନିକା ମାନାତ୍‌ । ମିର୍‌ ଜଦି ଇୟାୱାଜା ଆନିଦେର୍‌, “କ୍ରିସ୍ତଦି ଦିନ୍‌ତୁ” ମି ବିସୟ୍‌ତୁ ନାନ୍‌ ଗର୍ବ କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ନା, ଇରିଙ୍ଗ୍‌ ଇବେଣ୍‌କୁ ପାର୍‌ମାଣ୍‌ ଆନାତ୍‌ ଜେ, ନା ୱିଜୁ ଜୋଜନା ମାରି ପାଣି ଆରେଏ ଆଏତ୍‍ ।
3202110229	ମାପୁରୁଦି ଉଦେସ୍‌ତାନ୍‌ ମି ବିସ୍‌ବାସ୍‌ୱାଜା ବଲିଦାନ୍‌ତୁ ଆନାତ୍‌ସୁଗି ନା ଜିବନ୍‌ତି ନେତେର୍‌ ୱାକ୍‌ସୋ ସିଦେଙ୍ଗ୍‌ ପଡ଼ାନାତ୍‌, ଆର୍‌ତିଙ୍ଗ୍‌ ନାନ୍‌ ୱେଡ଼ିକା କିଜିନା ମାରି ନା ଇୟା ୱେଡ଼ିକାଦୁ ମିଙ୍ଗିଁ ମିସା କିଦେଙ୍ଗ୍‌ ଅଡ଼୍‌ବିଜିନା ।
32021200ca	ମାରି, ଆୟାୱାଜା ମିର୍‌ ବା ୱେଡ଼ିକା କିଦୁ ମାରି ଆୟା ୱେଡ଼ିକାଦୁ ନାଙ୍ଗିଁ ବା ମିସାକିଦୁ ।
3202130165	ମାତର୍‌ ନାନ୍‌ ମି ଲାକ୍‌ତୁ ତିମତିଦିଙ୍ଗ୍‌ ବେଗି ପୋକ୍‌ନା ଇଜି ପ୍ରବୁ ଜିସୁଦିମାନୁ ଆସା କିଜିନା, ଏଣ୍ତେସ୍‌ ମି କାବୁର୍‌ ନେସ୍‌ସି ନାନ୍‌ ବା ୱେଡ଼ିକା ଆନା ।
320214016a	ଇରିଙ୍ଗ୍‌ ୱାନ୍‌ ମି ବିସୟ୍‌ତୁ ସତ୍‌ତାନ୍‌ ମୋନ୍‌ଦିୟାନ୍‌ କିନାନ୍‌, ଇୟାୱାଜା ଅଡ଼୍‌ବିନି ଲୋକ୍‌ ୱାନିଙ୍ଗ୍‌ ଡ଼ିସ୍‌ତିଙ୍ଗ୍‌ ନା ଲାକ୍‌ତୁ ଏନ୍‌ ସିଲେନ୍‌ ।
320215012a	ଆଇକାର୍‌ ୱିଜେରେ ଜିସୁ କ୍ରିସ୍ତଦି ଉଣ୍ତିଙ୍ଗ୍‌ ମୋନ୍‌ଦିୟାନ୍‌ କିଏଣ୍‌ଗା କେବଲ ନିଜେଦି ପାଣିଦି ଉଣ୍ତିଙ୍ଗ୍‌ ଦାନ୍ଧା ଆନାର୍‌ ।
320216019b	ତିମତି ଜେ ପରିକାଦୁ ଜିଣାତି ଲୋକ୍‌, ଇକା ମିର୍‌ ନେସ୍‌ତିମାନିଦେର୍‌; ମାରିନ୍‌ ବୁବାଦି ସେବା କିତି ୱାଜା ୱାନ୍‌ ତୋ ସୁସମାଚାର୍‌ ପ୍ରଚାର୍‌ ପାଣିଦୁ ନା ୱାଲେ ସେବା କିତାମାର୍ହାନ୍‌ ।
320217012c	ମାରି, ନା ଉଣ୍ତିଙ୍ଗ୍‌ ଇନିକା ଗଟାନାତ୍‌, ଆକା ନେସ୍‌ନି ଉଣ୍ତିଙ୍ଗ୍‌ ନାନ୍‌ ୱାନିଙ୍ଗ୍‌ ମି ଲାକ୍‌ତୁ ପୋକ୍‌ତାନା ଇଜି ଆସା କିଜିନା ।
3202180102	ମାତର୍‌ ନାନ୍‌ ପ୍ରବୁଦିମାନୁ ବିସ୍‌ବାସ୍‌ କିଜିନା ଜେ, ନାନ୍‌ ନିଜେ ବା ଦାପ୍ରେ ମି ଲାକ୍‌ତୁ ୱାଦେଙ୍ଗ୍ ଆଟ୍‍ନା ।
320219020e	ମାତର୍‌ ନାନ୍‌ ନା ତଡ଼ାନ୍‌, ଅର୍‍ସେପାଣିକିନାପ୍‌, ଜୁଦ୍‌ ମାରି ନା ଅବାବ୍‌ ପୁରା କିନି ଉଣ୍ତିଙ୍ଗ୍‌ ମି କାବୁର୍‌ ଅନିକାନ୍‍ ମାରି ସେବାକିନି ଏପାଫ୍ରଦିତ୍‌ତିଙ୍ଗ୍‌ ମି ଲାକ୍‌ତୁ ପୋକ୍‌ନି ଉଣ୍ତିଙ୍ଗ୍‌ ଦର୍‌କାର୍‌ ଇଜି ଏତ୍‌ କିତା ।
32021a0172	ଇରିଙ୍ଗ୍‌ ୱାନ୍‌ ମିଙ୍ଗିଁ ସୁଡ଼ୁନି ଉଣ୍ତିଙ୍ଗ୍‌ ଇଚ୍ଛା କିଜିନାନ୍‌, ମାରି ୱାନ୍‌ ନବ୍‌ଆତାମାନାନ୍‌ ଇଜି ମିର୍‌ ୱେର୍‌ଇମାନିଙ୍ଗ୍‌ ୱାନ୍‌ ଦୁଃକ୍‌କିଜିନାନ୍‌ ।
32021b0245	ସତ୍‌ତାନ୍‌ ୱାନ୍‌ ନବ୍‌ଆଜି ସାତିୱାଜା ଆତାମାର୍‌ର୍ହାନ୍‌, ମାତର୍‌ ମାପୁରୁ ୱାନିଙ୍ଗ୍‌ ଦୟା କିତାନ୍‌, ମାରି କେବଲ ୱାନିଙ୍ଗ୍‌ ସିଲେ, ମାତର୍‌ ଏଣ୍ତେସ୍‌ ନା ଉଣ୍ତିଙ୍ଗ୍‌ ଦୁଃକ୍‌ ମୁସ୍‌କୁ ଦୁଃକ୍‌ ଗଟାଏତ୍‌, ଇୟାଉଣ୍ତିଙ୍ଗ୍‌ ନା ମୁସ୍‌କୁ ବା ଦୟା କିତାନ୍‌ ।
32021c01ca	ଇୟାଉଣ୍ତିଙ୍ଗ୍‌ ନାନ୍‌ ୱାନିଙ୍ଗ୍‌ ମି ଲାକ୍‌ତୁ ପୋକ୍‌ତାନି ଉଣ୍ତିଙ୍ଗ୍‌ ଇଚ୍ଛା, ଇରିଙ୍ଗ୍‌ ମିର୍‌ ଏଣ୍ତେସ୍‌ ୱାନିଙ୍ଗ୍‌ ମାରିଡ଼େସି ସୁଡ଼ୁଜି ୱେଡ଼ିକା ଆନିଦେର୍‌ ମାରି ନା ଦୁଃକ୍‌ ବା ଉଣା ଆନାତ୍‌ ।
32021d0166	ଆଦେଙ୍ଗ୍‌ ଅରେନ୍‌ କ୍ରିସ୍ତବିସ୍‌ବାସ୍‌ସି ତଡ଼ାନ୍‌ ୱାଜା ମିର୍‌ ୱାନିଙ୍ଗ୍‌ ମାନାଦୁ ମାରି ୱାନି ୱାଜା ୱିଜୁ ଗୁଣୁମାନି ଲୋକ୍‌ତିଙ୍ଗ୍‌ ସନ୍‌ମାନ୍‌ କିଦୁ ।
32021e0238	ଇରିଙ୍ଗ୍‌ ମିର୍‌ ନାଙ୍ଗିଁ ଆମା ସେବା ସିଦେଙ୍ଗ୍‌ ଆଟ୍‌ଇତିଦେର୍‌, କ୍ରିସ୍ତଦି ପାଣି ପୁରା କିନି ଉଣ୍ତିଙ୍ଗ୍‌ ୱାନ୍‌ ଆକା ନା ଉଣ୍ତିଙ୍ଗ୍‌ କିଦେଙ୍ଗ୍‌ ସର୍‌ର୍ହାନ୍‌ନୋ ନିଜେଦି ଜିବନ୍‌ତିଙ୍ଗ୍‌ ନାସ୍ଟୁକିଜି ସାନି ଆଗ୍‌ଡ଼ିସାମାନା କିତାମାର୍ହାନ୍‌ ।
32030102a2	ସାରାସାରିୱେନ୍‌କା, ଏ ନା ତଡ଼ାନ୍‌କୁ ନି ତାଙ୍ଗିଁକି, ପ୍ରବୁଦିମାନୁ ମିସାତି ମାନିଙ୍ଗ୍‌, ପ୍ରବୁଦିମାନୁ ୱେଡ଼ିକା କିଦୁ । ଆଗ୍‍ଡ଼ିରାନ୍‍ ଆମାକା ରାସ୍‌ତା ମାନାତ୍‌, ଆୟାତାନିଙ୍ଗ୍‌ ମାରିଡ଼େସି କିଦେଙ୍ଗ୍‌ ନାନ୍‌ ୱାଦ୍‌ନିକା ଅଡ଼ବିଏ, ଇରିଙ୍ଗ୍‌ ମି ସୁରକ୍ଷା ଉଣ୍ତିଙ୍ଗ୍‌ ଇକା ସାହାଜ୍ୟ କିନାତ୍‌ ।
3203020187	ଆମାକାର୍‌ ସତ୍‌ସିଲି ପାଣିଦୁ ମିସାତାମାନାର୍‌, ନୁକୁଡ଼ିଆମାଣ୍‌କୁ ଜାଗ୍‌ରାତା, ତାଗ୍‌ଇ ପାଣିକିନି ୱାରିମାଣ୍‌କୁ ଜାଗ୍‌ରାତା, ସୁନ୍ନତ୍‌କିନି ଲୋକାମାଣ୍‌କୁ ଜାଗ୍‌ରାତା;
32030301c6	ଇରିଙ୍ଗ୍‌ ମାପ୍‌ ସତ୍‌ତାନ୍‌ ସୁନ୍ନତ୍‌ପୟ୍‌ତି ଲୋକୁ, ମାପୁ ମାପୁରୁଦି ଆତ୍ମାଦାନ୍‌ ଉପାସନା କିଜିନାପ୍‌, ମାରି ଆତ୍‌ରେରି ରିତିନୀତି ମୁସ୍‌କୁ ଆସା କିଏଣ୍‌ଗା କ୍ରିସ୍ତ ଜିସୁଦିମାନୁ ଗର୍ବ କିନାପ୍‌ ।
32030401e9	ନାନ୍‌ ଆତ୍‌ରେରି ବିସୟ୍‌ ମୁସ୍‌କୁ ବା ଆସା କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ନା, ଜଦି ଆଇକାନ୍‍ ଏନ୍‌ ଆତ୍‌ରେରି ରିତିନୀତି ମୁସ୍‌କୁ ଆସା କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ନାନ୍‍ ଇଜି ଏତ୍‌ କିନାନ୍‌, ଆର୍‌ତିଙ୍ଗ୍‌ ନାନ୍‌ ନାଣ୍ତ କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ନା;
32030501c2	ନା ଜନମ୍‍ତି ଆଟ୍‌ଦିନ୍‌ତି ନାଣ୍ତିଙ୍ଗ୍‌ ନାନ୍‌ ସୁନ୍ନତ୍‌ ଆତାମାର୍‌ଆ, ନାନ୍‌ ଇସ୍ରାଏଲତି ଲୋକ୍‌, ବିନ୍ୟାମିନ୍ କୁଡ଼ା, ପୁରାନେଗି ଏବ୍ରିୟ, ନିୟମ୍‌ ମାନାନି ବିସୟ୍‌ତାନ୍‌ ଅରେନ୍‍ ପାରୁସି ମାର୍‌ଆ,
32030601ec	ନା ତାଗ୍‌ଇ ବ୍ୟବ୍‌ଆର୍‌ତି ଉଣ୍ତିଙ୍ଗ୍‌ କ୍ରିସ୍ଟାନ୍‌ ମଣ୍ତଲିଦିଙ୍ଗ୍‌ କାସ୍ଟୁ ସିଜି ମାର୍‌ଆ, ମାରି ବ୍ୟବସ୍ଥାଦି ମାଟା ମାନାନି ମାଣୁକୁ ଜଦି ଅରେନ୍‌ ଦାର୍ମୁଦିକାନ୍‌ ଆନାନ୍‌, ଆର୍‌ତିଙ୍ଗ୍‌ ନାନ୍‌ ଦୋସ୍‌ ସିଲେତା ।
320307014e	ମାତର୍‌ ଆମାକାୱିଜୁ ନା ଉଣ୍ତିଙ୍ଗ୍‌ ନେଗେତ୍‌ ଇଜି ଅଡ଼୍‍ବିଜି ମାର୍‌ଆ, ଆୟାୱିଜୁ ନାନ୍‌ କ୍ରିସ୍ତଦି ଉଣ୍ତିଙ୍ଗ୍‌ ତାଗ୍‌ଇକା ଇଜି ଅଡ଼୍‌ବିଜିନା ।
32030802a2	କେବଲ୍‌ ନାସ ସିଲେ; ନା ପ୍ରବୁ ଜିସୁ କ୍ରିସ୍ତଙ୍ଗ୍‌ ନେସ୍‌ନି ମାଣ୍‌କୁ ଆମା ନାଣ୍ତ ବୁଦି ପୟ୍‌ତାମାନା, ତାନି ବାଦ୍‌ଲୁ ୱିଜୁ ବିସୟ୍‌ତିଙ୍ଗ୍‌ ତାଗ୍‌ଇକା ଇଜି ଏତ୍‌କିନା; ୱାନି ଉଣ୍ତିଙ୍ଗ୍‌ ନାନ୍‌ ୱିଜୁ ବିସୟ୍‌ତିଙ୍ଗ୍‌ ଡ଼ିସ୍‍ତାମାନା, ଏଣ୍ତେସ୍‌ ନାନ୍‌ କ୍ରିସ୍ତଙ୍ଗ୍‌ ପୟ୍‌ଦେଙ୍ଗ୍‌ ଆଟ୍‌ନାନ୍‌ ।
32030903bf	ମାରି ୱାନି ୱାଲେ ପୁରା ମିସାନି ଉଣ୍ତିଙ୍ଗ୍‌, ମାରି ଆୟାୱିଜୁ ବିସୟ୍‌ତିଙ୍ଗ୍‌ କାସ୍‌ରା ଇଜି ଅଡ଼୍‌ବିଜିନା । ମାରି, ଆମା ଦାର୍ମୁଦି ନିୟମ୍‌ ମାନାନି ମାଣ୍‌କୁ ପୟ୍‌ଦେଙ୍ଗ୍‌ ଆଟ୍‌ନିକା, ଆୟା ନାନି ଇନି ନିଜେଦି ଦାର୍ମୁ ନାଦି ସିଲେତ୍‌ । ଇଲେଇ ନାଦି ଆମା ଦାର୍ମୁ ମାନାତ୍‌, ଆକା କ୍ରିସ୍ତଦିମାନୁ ବିସ୍‌ବାସ୍‌ କିନି ମାଣ୍‌କୁ ପୟ୍‌ତାମାନା; ଆକା ମାପୁରୁଦିମାଣୁକୁ ୱାନାତ୍ ମାରି ଆକା ବିସ୍‌ବାସ୍‌ତି ମୁସ୍‌କୁ ତିଆର୍‌ଆତାମାନାତ୍‌ ।
32030a01a3	ଏଣ୍ତେସ୍‌ ନାନ୍‌ କ୍ରିସ୍ତଙ୍ଗ୍‌ ନେସ୍‌ନା ମାରି ୱାନି ମାରିଡ଼େସିଜିବନ୍‌ଆଜିନିଙ୍ଗିଁନି ସାକ୍ତି ଏତ୍‌କିନା; ୱାନି କାସ୍ଟୁ ବୋଗ୍‌ତି ଦଣ୍ତ୍‌ ଏତ୍‌କିଜି ସାନିମାନୁ ବା ୱାନି ୱାଜା ଆନା,
32030b00bb	ମାରି ସାତିୱାରି ମାଣ୍‌କୁ ମାରିଡ଼େସିନିଙ୍ଗିଁନିକା ପୟ୍‌ଦେଙ୍ଗ୍‌ ଆସା କିଜିନା ।
32030c01a5	ନାନ୍‌ ଜେ ଇଲେଇ ଆୟାୱିଜୁ ପୟ୍‌ତା ମାନା ମାରି ପୁରା ପୟ୍‌ତା ମାନା, ଆକା ସିଲେ, ମାତର୍‌ ନାନ୍‌ କ୍ରିସ୍ତ ଜିସୁଦି ମାଣ୍‌କୁ କୁକାୟ୍‍ ଆତିମାନିଙ୍ଗ୍‌ ଆକା ଆସିନି ଉଣ୍ତିଙ୍ଗ୍‌ ଉର୍‌କୁସିନା ।
32030d025e	ଏ ତଡ଼ାନ୍‌କୁ ନି ତାଙ୍ଗିଁକି, ଇୟାସାନ୍ଧି ନାନ୍‌ ଇତି ବାଡିଦୁ ଇଏନେ, ମାତର୍‌ ଉନ୍‌ଡ୍ରି ପାଣିଦୁ ପୁରାମାନ୍‌ଞ୍ଜି, ୱେନ୍‌କା ଡ଼ିସ୍‌ତିୱାତିମାନି ବିସୟ୍‌କୁୱିଜୁ ମୋନ୍‌ତାନ୍‌ ଆକ କିଜି ଆଗ୍‌ଡ଼ି ମାନି ବିସୟ୍‌କୁ ପୟ୍‌ନି ଉଣ୍ତିଙ୍ଗ୍‌ ସାନିଜିନିୱାଜା ସେସ୍ଟା କିଜିନା ।
32030e01d8	ଆଦେଙ୍ଗ୍‌ କ୍ରିସ୍ତ ଜିସୁଦି ୱାଲେ ଆମା ମୁସ୍‌କୁପୁର୍‌ତି ଜିବନ୍‌ ପୟ୍‌ନି ଉଣ୍ତିଙ୍ଗ୍‌ ମାପୁରୁ ନାଙ୍ଗିଁ କୁକ୍‌ତାମାନାନ୍‌, ଆୟା ପୁରସ୍କାର୍‌ତି ଉଣ୍ତିଙ୍ଗ୍‌ ଆସା ଇଡ୍‌ଜି ନାନ୍‌ ଇତି ବାଡିଦୁ ଉର୍‌କୁସିନା ।
32030f026f	ମାରି, ମା ଲୋଇ ଏସଲୋକ୍‌ ଆତ୍ମାଦାନ୍‌ ଜିଣାତିମାନିକା, ୱାରି ଇୟାୱାଜା ମୋନ୍‌ଅଡ଼୍‌ବିନିକା ତେବାନିକା ନେଗେତ୍‌, ମାରି ଜଦି ଇନି ବିସୟ୍‌ତୁ ମି ଅଡ଼୍‌ବିନିକା ଅଲଗା ନାନିକା ମନ୍‌ଅଡ଼୍‌ବିନିକା ମାନାତ୍‌, ଆର୍‌ତିଙ୍ଗ୍‌ ମାପୁରୁ ମିଙ୍ଗିଁ ୱିଜୁ ମାଟା ନେସ୍‌ନିୱାଜା ୱେର୍‌ନାନ୍‌ ।
32031000f2	କେବଲ, ନେର୍‌ସାନ୍ଧି ମାଡୁ ଆମା ନିୟମ୍‌ ମାନାଜି ୱାଜିନିକା, ଆୟା ଇସାବ୍‌ତାନ୍‌ ଆଗ୍‌ଡ଼ି ସନିକା ମାନାତ୍‌ ।
32031101b3	ଏ ତଡ଼ାନ୍‌କୁ ନି ତାଙ୍ଗିଁକି, ମିର୍‌ ଅର୍‌ସେ ମିସାଜି ନା ୱେନ୍‌କା ରାଦୁ, ମାରି ମାମାନୁ ଆମା ସାନ୍ତି ସୁଡ଼ୁଜିନିଦେର୍‌, ଆମାକାର୍‌ ଆୟାଇସାବ୍‌ତାନ୍‌ ବୁଲାସାଲାଜିନାର୍‌, ୱାରିଙ୍ଗ୍ ସୁଡ଼ୁଦୁ ।
320312020a	ଇରିଙ୍ଗ୍‌ ଇୟାୱାଜା ଗାଦିଲୋକ୍‌ ମାନାର୍‌, ଆମାୱାରି ବୁଲାସାଲାନି ବିସୟ୍‌ତାନ୍‌ ନାନ୍‌ ମିଙ୍ଗିଁ ଗାଦି ଦେବେଙ୍ଗ୍‌ ୱେର୍‌ତାମାନା, ମାରି ଇଲେଇବା ଆଡ଼୍‍ବାଜି ଆଡ଼୍‍ବାଜି ୱେର୍‌ସିନା, ୱାର୍‌ କ୍ରିସ୍ତଦି କ୍ରୁସକାଟ୍‌ତି ସାତ୍ରୁରୁ;
3203130215	ନରକଦୁ ୱାରି ଜିବନ୍‌ ସାନି ଉଣ୍ତିଙ୍ଗ୍‌ ସଲ୍‌ସିନାତ୍‌, ମେନ୍ଦଲ୍‌ ଆସାନେ ୱାରି ଦିୟାମ୍‌, ୱାର୍‌ ନିଜେ ନିଜେଦି ସେମାର୍‌ତିଙ୍ଗ୍‌ ଗର୍ବଦି ବିସୟ୍‌ ଏତ୍‌ କିନାର୍‌, ମାରି କେବଲ ଦୁନିଆଦି ବିସୟ୍‌ତି ଉଣ୍ତିଙ୍ଗ୍‌ ୱାର୍‌ ସିନ୍ତା କିନାର୍‌ ।
320314016c	ମାଡୁ ମୁସ୍‌କୁପୁର୍‌ତି ପ୍ରଜା, ଆୟା ବାଡିଦାନ୍‌ ବା ମାଡୁ ରକିୟାକର୍ତ୍ତା ପ୍ରବୁ ଜିସୁ କ୍ରିସ୍ତଦି ୱାନିଦିନ୍‌ତିଙ୍ଗ୍‌ ୱେଡ଼ିକାଦାନ୍‌ କାପ୍‌କିଜି ମାନାପ୍‌ ।
320315020a	ୱାନ୍‌ ନିଜେଦି ଆମା ପାଣିଦି ସାକ୍ତି ଦାନ୍‌ ୱିଜୁ ବିସୟ୍‌ତିଙ୍ଗ୍‌ ନିଜେଦି ଆଡ୍‍ଗି କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ନାନ୍‍, ଆୟା ସାକ୍ତିଦାନ୍‌ ମା ସାକ୍ତିସିଲି ମେନ୍ଦଲ୍‌ତିଙ୍ଗ୍‌ ବାଦେଲ୍‌କିଜି ନିଜେଦି ଗୌରବ୍‌ମୟ୍‌ ମେନ୍ଧଲ୍‍ ୱାଜା କିନାନ୍‌ ।
3204010232	ଲାଡ୍‍ତି ତଡ଼ାନ୍‌କୁ ନି ତାଙ୍ଗିଁକ୍‍, ମିଙ୍ଗିଁ ସୁଡ଼ୁନି ଉଣ୍ତିଙ୍ଗ୍‌ ନା ଏସ ବଦା, ମିଙ୍ଗିଁ ଅସିନା ଏସା ୱେଡ଼ିକା, ମି ଉଣ୍ତିଙ୍ଗ୍‌ ନା ଏସା ଗର୍ବ । ତଡ଼ାନ୍‌କୁ ନି ତାଙ୍ଗିଁକି, ନା ସିକିୟା ଇସାବ୍‌ତାନ୍‌ ପ୍ରବୁଦିମାନୁ ତିର୍‌ ତେବାଜି ଜିଜିମାଡ଼ିଦୁ ।
3204020117	ଇୟଦିଆ ମାରି ସୁନ୍ତୁଖୀ ରୁଣ୍ତିୱାନିକାଙ୍ଗ୍‌ ନା ଅନୁରୋଦ୍‌ ୱାକ୍‌ ପ୍ରବୁଦିମାନୁ ତାଙ୍ଗିଁ ୱାଜା ମିସାବିଡ଼ାଜି ମାନିୱି ।
3204030324	ମାରି, ଏ ନା ବିସ୍‌ବାସ୍‌ତି ଅର୍‌ସେପାଣିକିନିକାନ୍‌, ଇୟା ତାଙ୍ଗିଁକାଙ୍ଗ୍‍ଁ ସାହାଜ୍ୟ କିନି ଉଣ୍ତିଙ୍ଗ୍‌ ନିଙ୍ଗିଁ ବା ନା ବାତିଙ୍ଗ୍‌ମାଲ୍‌ଜିନା, ଇରିଙ୍ଗ୍‌ ଇୟାକେଙ୍ଗ୍‌ କ୍ଲେମେନ୍‌ସ୍‌ ମାରି ନା ଆଇ ପାଣିକିନିୱାନିକା ୱାଲେ ସୁସମାଚାର୍‌ ପାଣିଦୁ ନା ୱାଲେ ପାଣି କିତେମାନେ; ଆୟା ପାଣିକିନିୱାନିକା ଦରୁ ମାପୁରୁଦି “ଜିବନ୍‌ ପୁସ୍ତକଦୁ” ରାସ୍‌ତାମାନାତ୍‌ ।
32040400f4	ପ୍ରବୁଦି ୱାଲେ ମିସାତି ମାନିଙ୍ଗ୍‌ ୱିଜୁୱାଲେ ୱେଡ଼ିକା କିଦୁ, ମାରିଡ଼େସି ୱେର୍‌ସିନା, “ୱେଡ଼ିକା କିଦୁ ।”
32040500e7	ମି ନେଗି ବ୍ୟବ୍‌ହାର୍‌ ୱିଜୁ ଲୋକା ଲାକ୍‌ତୁ ତରାପିତ୍‌ । ପ୍ରବୁଦି ୱାନିଦିନ୍‌ ଲାକ୍‌ତୁ ଆତାତ୍‌ନି ।
3204060216	ଇନି ବିସୟ୍‌ତାନ୍‌ ସିନ୍ତା କିମାଟ୍‌, ମାତର୍‌ ମିଙ୍ଗିଁ ଆମାକା ଦର୍‌କାର୍‌, ଆକା ପାର୍‌ତନାଦୁ ମାପୁରୁଙ୍ଗୁଁ ଲସ୍‌ତୁ । ମାରି ପାର୍‌ତନା କିନିୱାଲେ ୱିଜୁୱାଲେ ଜିବନ୍‌ତି ଦନ୍ୟବାଦ୍‌ତି ୱାଲେ ମି ପାର୍‌ତନା ୱିଜୁ ମାପୁରୁଦିମାନୁ ୱେର୍‌ତୁ;
320407016b	ଆର୍‌ତିଙ୍ଗ୍‌ ଲୋକ୍‌ତି ବୁଜାଦେଙ୍ଗ୍‌ ଆଟ୍‌ଇକା ମାପୁରୁଦି ସାନ୍ତି କ୍ରିସ୍ତ ଜିସୁଦି ସାକାଦାନ୍‌ ମି ଜିବନ୍‌ ମାରି ମୋନ୍‌ତିଙ୍ଗ୍‌ ନେଗେନ୍‌କିଜି ଇଡିନାତ୍‌ ।
3204080284	ସାରାସାରିୱେନ୍‌କା, ଏ ତଡ଼ାନ୍‌କୁ ନି ତାଙ୍ଗିଁକି, ଆମା ୱିଜୁ ନେଗିକା ମାରି ୱେଡ଼ିକାଦି ବିସୟ୍‌ ମାନାତ୍‌, ଆମା ଆମାକା ସତ୍‌, ଆମା ଆମାକା ପେରିକା, ଆମା ଆମାକା ଟିକ୍‌, ଆମା ଆମାକା ପୁରାନେଗିକା, ଆମା ଆମାକା ଲୋକ୍‌ତିଙ୍ଗ୍‌ ନେଗିକା, ଆମା ଆମାକା ସନ୍‍ମାନଜନକ, ଆୟାୱିଜୁ ବିସୟ୍‌ ସିନ୍ତା କିଦୁ ।
32040901c5	ମିର୍‌ ଆମାୱିଜୁ ବିସୟ୍‌ ନା ମାଣ୍‌କୁ ଅଜାତିମାନିଦେର୍‌, ପୟ୍‌ତିମାନିଦେର୍‌, ୱେର୍‌ଇମାନିଦେର୍‌ ମାରି ନା ମାନୁ ସୁଡ଼ୁତିମାନିଦେର୍‌, ଆୟାୱିଜୁ କିଦୁ; ଆବେନ୍‌ ସାନ୍ତିଦାତା ମାପୁରୁ ମି ସାକା ଆନାନ୍‌ ।
32040a02b9	ପ୍ରବୁଦି ୱାଲେ ମିସାଜି ଜିଜି ମାଡ଼ିନି ୱାଲେ ନା ୱେଡ଼ିକା ଜେ, ମିର୍‌ ନା ଉଣ୍ତିଙ୍ଗ୍‌ ମନ୍‍ ସିଦୁ । ନାଣ୍ତ୍‌ ଦିନ୍‌ ୱେନ୍‌କା ମାରିଡ଼େସି ବାଦେଲ୍‌ଆନିକା ତର୍‌ତିମାନି । ନାନ୍‌ ଇନ୍‌ଏ ଜେ, ମିର୍‌ ଇୟାଦାପ୍ରେ ନା ଉଣ୍ତିଙ୍ଗ୍‌ ମାରି ମୋନସିଇ ମାର୍‌ଇଦେର୍‌, କେବଲ୍‌ ଆକା ୱେର୍‌ତେଙ୍ଗ୍‌ ସୁଜୋଗ୍‌ ପୋଇତିମାର୍‌ଇ ।
32040b01aa	ନାନ୍‌ ନିଜେଦିଙ୍ଗ୍‌ ୱେଡ଼ାଆଜିନାତ୍‌ ଏତ୍‌କିଜି ଇୟା ମାଟା ଇନ୍‌ଏ, ଇରିଙ୍ଗ୍‌ ନାନ୍‌ ଏଣ୍ତେସ୍‌ ନାନି ଅବସ୍ଥାଦାନ୍‌ ମାନା, ନାନ୍‌ ନାସଦାନ୍‌ନେ ତିର୍‌ ତେବାଦେଙ୍ଗ୍‌ ସିକିୟା କିତାମାନା ।
