2800000008	Matteuse
32020c00ba	Seepärast, mu armsad, nõnda nagu te alati olete olnud kuulekad, mitte ainult minu juuresolekul, vaid palju enam nüüd mu äraolekul, pingutage oma pääste nimel kartuse ja värinaga!
32020d0056	Sest Jumal töötab teis, et teie soovid ja teod vastaksid tema headele eesmärkidele.
32020e002b	Tehke kõike ilma nurisemata ja vaidlemata,
32020f0091	et te oleksite laitmatud ja puhtad, veatud Jumala lapsed keset nurjatut ja pöörast sugupõlve, kelle seas te särate otsekui tähed ilmaruumis,
3202100084	kui hoiate kinni elu sõnast. Siis on mul põhjust kiidelda Kristuse päeval, et ma ei ole asjata jooksnud ega asjata vaeva näinud.
3202110098	Ja isegi kui mu elu valatakse välja nagu joogiohver teie usust tuleneva ohvri ja teenistuse peale, olen ma rõõmus ja tunnen rõõmu teie kõigi üle.
3202120037	Olge siis teiegi rõõmsad ja rõõmustage koos minuga!
320213007d	Ma loodan Issanda Jeesuse loal saata Timoteose peagi teie juurde, et minu süda saaks kinnitust, kuuldes, kuidas teil läheb.
3202140061	Mul ei ole ju teist sellist mõttekaaslast, kes nõnda ehtsalt muretseks teie käekäigu pärast.
3202150046	Igaühel on ju meeles oma mured, mitte see, mida Jeesus Kristus tahab.
320216006f	Kuid Timoteose tublidus on teile teada, sest nagu poeg oma isa kõrval on ta koos minuga teeninud evangeeliumi.
320217003e	Teda ma loodangi saata niipea, kui saan selgust oma olukorras.
320218003e	Ent ma olen veendunud Issandas, et ka mina ise tulen peatselt.
3202190097	Pidasin siiski vajalikuks saata teie juurde ka oma kaastöölise ja võitluskaaslase vend Epafroditose, teie apostli ja minu vajaduste eest hoolitseja,
32021a0052	sest ta igatses teie järele ja oli tusane, et te pidite kuulma ta haigestumisest.
32021b009e	Ta oli ju tõesti haige ja suremas, kuid Jumal halastas ta peale, õieti mitte ainult tema, vaid ka minu peale, et mind ei tabaks üks kurvastus teise järel.
32021c0084	Seepärast ma saadan ta võimalikult ruttu, et te saaksite teda nähes jälle rõõmsaks ja minagi ei peaks nõnda palju kurvastuma.
32021d004f	Võtke ta siis vastu Issandas täie rõõmuga ja pidage selliseid mehi au sees,
32021e0066	sest ta oli Kristuse töö pärast surmasuus, seades oma elu ohtu, et täita teie osa minu teenimises.
3203010085	Niisiis, mu vennad ja õed, rõõmustage Issandas! Mul ei ole raske teile samadest asjadest uuesti kirjutada, sest see kinnitab teid.
3203020058	Olge valvel koerte pärast, kurjade töötegijate pärast, nende lihalõikajate pärast!
3203030070	Sest ümberlõigatud oleme meie, kes Jumalat teenime vaimus, kiitleme Kristusest Jeesusest ega looda liha peale,
3203040072	kuigi minul oleks lootust ka liha poolest. Kui keegi arvab, et temal on lootust liha tõttu, siis minul on rohkem:
3203050080	ma olen ümber lõigatud kaheksandal päeval, Iisraeli soost, Benjamini suguharust, põline heebrealane, Seaduse järgi variser;
320306004c	üliagaruses koguduse tagakiusaja, Seadusest tuleneva õiguse poolest veatu.
320307004a	Aga kõik oma kunagised kasud olen ma arvestanud kahjuks Kristuse pärast.
32030800bf	Veel enam, ma pean kõike kahjuks Issanda Kristuse Jeesuse kõikeületava tunnetuse kõrval. Tema pärast ma olen selle kõik minetanud ja arvanud otsekui rämpsuks, et saada kasuks Kristust,
32030900a8	ja et mind leitaks tema seest ega oleks mul oma õigust, mis tuleb Seadusest, vaid õigus, mis tuleb usust Kristusesse, sest usu tõttu on Jumal mind õigeks mõistnud.
32030a006b	Ma tahan ära tunda Kristust, tema ülestõusmise väge ja kannatuste osadust, saades tema surma sarnaseks,
32030b003c	et minagi mingil viisil jõuaksin ülestõusmisele surnuist.
32030c00bb	Mitte et ma oleksin selle kõik juba kätte saanud või oleksin juba oma eesmärgi saavutanud, aga ma surun edasi, et saada kätte see, mille pärast Kristus Jeesus on mind kätte saanud.
32030d009e	Vennad ja õed, ma ei arva, et ma oleksin selle juba kätte saanud. Aga ühte asja ma teen: ma unustan ära, mis on taga, ja pingutan selle poole, mis on ees.
32030e007a	Ma pürgin eesmärgi poole, et võita auhind, see on igavene elu, mille pärast Jumal on mind kutsunud Kristuses Jeesuses.
32030f009a	Meie kõik, kes me oleme küpsed, peaksime vaatama asjadele sel moel. Ja kui te mingil hetkel mõtlete teisiti, küll siis Jumal teile selle selgeks teeb.
3203100033	Siiski, mingem edasi sealt, kuhu me oleme jõudnud!
3203110068	Vennad ja õed, võtke mind eeskujuks ja jälgige neid, kes elavad nii, nagu meie teile eeskujuks oleme.
320312006a	Nagu ma olen ju teile tihti rääkinud ja ütlen nuttes nüüdki, elavad paljud Kristuse risti vaenlasena.
320313007f	Nende lõpp on hukatus, nende jumal on kõht ja nende uhkus on nende häbi, kõik nende mõtted keerlevad maiste asjade ümber.
320314005b	Sest meie ühiskond on taevas, ja sealt me ka ootame Päästjat, Issandat Jeesust Kristust,
3203150071	kes meie alandatud ihu muudab oma kirkuse ihu sarnaseks selle väega, millega ta võib ka kõik enesele alistada.
320401008c	Seepärast, mu vennad ja õed, keda ma armastan ja taga igatsen, minu rõõm ja minu võidupärg, püsige kindlalt Issandas, armsad sõbrad!
3204020047	Euodiat ma anun ja Süntühhet ma anun olema samal seisukohal Issandas.
32040300b6	Jah, ma palun sindki, tõsine kaastööline, aita neid naisi, sest nad on võidelnud evangeeliumi eest koos minu, Kleemensi ja teiste mu kaastöölistega, kelle nimed on eluraamatus.
3204040042	Olge ikka rõõmsad Issandas! Ma ütlen veel kord, olge rõõmsad!
320405004a	Teie suuremeelsus saagu teatavaks kõigile inimestele! Issand on lähedal!
320406006a	Ärge muretsege millegi pärast, vaid kandke oma vajadused Jumala ette palumises ja anumises koos tänuga!
3204070063	Ja Jumala rahu, mis on ülem kui kõik mõistus, hoiab teie südamed ja mõtted Kristuses Jeesuses.
32040800b1	Lõpuks, vennad ja õed, mis iganes on tõene, mis väärikas, mis õige, mis puhas, mis armastusväärne ja üllas, kõik, mis on vooruslik ja kiiduväärt, seda pidage silmas!
3204090068	Mida te olete õppinud ja saanud ja kuulnud ja näinud minult, seda tehke; ja rahu Jumal on siis teiega.
32040a0096	Mul oli väga hea meel Issandas, et teis tärkas jälle mure minu pärast: te hoolisite minust ju ennegi, kuid teil ei olnud võimalust seda näidata.
32040b005f	Ma ei ütle, et mul on millestki puudus, sest ma olen õppinud olema rahul sellega, mis mul on.
32040c00bd	Ma tean, mida tähendab olla puuduses ja ma tean, mida tähendab olla külluses. Olen mõistnud rahulolu saladust igas olukorras: hästi süüa või nälgida, elada külluses või puuduses.
32040d002f	Ma suudan kõik temas, kes mind teeb vägevaks!
32040e003b	Siiski, te tegite hästi, et võtsite osa minu viletsusest.
32040f00a4	Teie, filiplased, ju teate, et evangeeliumi kuulutamise alguses, kui ma Makedooniast lahkusin, oli teie kogudus ainus, kes sõlmis minuga andmise ja võtmise suhte.
3204100068	Isegi siis, kui ma viibisin Tessaloonikas, saatsite teie mu vajaduste tarbeks abi rohkem kui ühe korra.
320411003b	Ma ei ihka mitte andi, vaid vilja, mis kasvatab teie arvet.
32041200c3	Ma olen kõik kätte saanud ja seda on külluslikult! Mu vajadused on igati täidetud sellest peale, kui sain Epafroditose käest teie saadetud anni, healõhnalise ja meelepärase ohvri Jumalale.
3204130053	Küll mu Jumal täidab kõik teie vajadused oma rikkust mööda Kristuses Jeesuses!
320414004b	Aga Jumalale, meie Isale, kuulugu ülistus igavesest ajast igavesti! Aamen.
3204150061	Tervitage kõiki pühasid Kristuses Jeesuses! Teid tervitavad vennad ja õed, kes on koos minuga.
320416003e	Teid tervitavad kõik pühad, eriti need, kes on keisri kojas.
320417002f	Issanda Jeesuse Kristuse arm olgu teie vaimuga!
330000000c	Koloslastele
330101004e	Pauluselt, kes on Jumala tahtel Jeesuse Kristuse apostel, ja vend Timoteoselt,
330102006f	Jumala pühadele Kolossas, ustavatele vendadele ja õdedele Kristuses: Armu ja rahu teile Jumalalt, meie Isalt!
3301030052	Me täname Jumalat, meie Issanda Jeesuse Kristuse Isa, kui me teie eest palvetame,
3301040058	sest oleme kuulnud teie usust Kristusesse Jeesusesse ja armastusest kõigi pühade vastu
330105007f	lootuse pärast, mis on teie jaoks taevasse hoiule pandud. Sellest lootusest te olete juba kuulnud, kui evangeeliumi tõesõnum
33010600d1	teie juurde jõudis. Seesama evangeelium kannab nüüd vilja ja kasvab kogu maailmas, täpselt samamoodi, nagu on juhtunud teiegi juures alates päevast, mil te seda kuulsite ja hakkasite mõistma Jumala armu.
330107005f	Epafras, kes seda teile õpetas, on meie armas kaassulane ja Kristuse ustav teenija meie heaks.
330108003f	Tema rääkiski meile armastusest, mida Vaim on teis äratanud.
33010900c4	Seepärast ei ole me lakanud palvetamast ja anumast teie pärast alates päevast, mil me seda kuulsime, et teid täidetaks Jumala tahtmise tundmisega koos kõige vaimuliku tarkuse ja arusaamisega.
33010a0082	Et te saaksite elada Issanda väärilist elu ja talle igati meeldida: kandes vilja kõiges heas töös, kasvades Jumala tundmises,
33010b0054	saades vägevaks tema aulise väe läbi, et te oleksite vastupidavad ja kannatlikud,
33010c006b	tänades rõõmsalt Isa, kes on teid kõlbulikuks teinud osa saama pühade pärandist valguse kuningriigis.
33010d005f	Sest tema on meid päästnud pimeduse meelevallast ning toonud meid oma armsa Poja Kuningriiki.
33010e0029	Temas on meil lunastus, pattude andestus.
33010f003d	Tema on nähtamatu Jumala kuju, sündinud enne kõike loodut,
33011000ba	sest tema läbi on loodud kõik, mis on taevastes ja maa peal, mis nähtav ja nähtamatu, olgu aujärjed, võimud, valitsused ja meelevallad – kõik on loodud tema läbi ja tema jaoks.
3301110037	Tema ise on enne kõike ja kõik püsib koos tema sees.
3301120066	Tema on oma ihu, koguduse pea. Ta on algus, esmasündinu surnute hulgast, et tema oleks ülim kõiges.
3301130035	Sest Jumal arvas heaks panna temasse kogu oma täiuse
3301140084	ja lepitada tema kaudu enesega kõik, kes on maa peal ja kes on taevas, sellega, et ta tegi rahu tema vere läbi, mis ristil valati.
3301150064	Kunagi olite teiegi Jumalast võõrdunud ja mõtteviisi poolest tema vaenlased oma kurjade tegudega.
3301160084	Nüüd aga on Kristus teid lepitanud oma lihalikus ihus surma läbi, et saaksite seista pühadena, veatuina ja laitmatuina tema ees,
33011700db	kui te jätkate kindlana ja rajatuna usus ega tagane evangeeliumis olevast lootusest. See on evangeelium, mida te olete kuulnud ja mida on kuulutatud kogu loodule taeva all ja mille teenriks olen saanud ka mina, Paulus.
33011800b3	Nüüd on mul hea meel selle üle, mida ma teie pärast kannatan. Ja kui mu maises elus on veel midagi Kristuse vaevadest olemata, talun ma sedagi tema ihu, see on koguduse heaks.
3301190065	Jumal on määranud mind koguduse teenriks, et ma kuulutaksin teile Jumala sõna kogu selle täiuses,
33011a0065	saladust, mis oli varjatud läbi aegade ja sugupõlvede, kuid mis nüüd on ilmutatud tema pühadele.
33011b0091	Neile tahtis Jumal selle teatavaks teha ja näidata selle saladuse aulisi rikkusi kõigi rahvaste seas; see on Kristus teie sees, kirkuse lootus.
33011c0078	Teda me kuulutame, manitsedes ja õpetades igaüht kogu tarkuses, et valmistada ette iga inimest täiuslikuks Kristuses.
33011d004f	Selle nimel ma võitlen ja pingutan Kristuse jõuga, mis minus väega tegutseb.
330201007f	Ma tahan, et te teaksite, kui palju ma võitlen teie ja laodikeialaste ja kõikide pärast, kes mind ei ole isiklikult kohanud.
33020200b1	Ma soovin, et nende südamed saaksid julgustatud ja kokku liidetud armastuses, et neil oleks täieliku mõistmise kogu rikkus, et nad tunnetaksid ära Jumala saladuse, Kristuse,
3302030032	kelles peituvad kõik tarkuse ja tunnetuse aarded.
330204004d	Ma ütlen seda selleks, et keegi teid ei eksitaks hästikõlavate väidetega.
3302050083	Ehkki ma olen teist eemal, olen ma vaimus siiski teiega ja rõõmustan, nähes korda teie elus ja teie vankumatut usku Kristusesse.
3302060055	Kui te olete nüüd Kristuse Jeesuse võtnud vastu Issandaks, elage jätkuvalt temas,
330207006d	juurdunud ja ülesehitatud temasse. Saage tugevaks usus, nagu teile on õpetatud, ning tänage ülevoolavalt!
33020800a0	Vaadake, et keegi teid ei võtaks vangi tühja ja petliku filosoofia kaudu, mis põhineb inimeste pärimusel ja selle maailma algjõududel, mitte aga Kristusel.
330209002e	Sest ainult temas kehastub kogu jumalik täius
33020a005c	ja Kristuses olete teiegi saanud täiuslikuks. Tema on pea iga valitsuse ja meelevalla üle.
33020b0094	Temas on teid ümber lõigatud – mitte inimese kätega tehtud ümberlõikamise, vaid patuse ihu äraheitmise teel – Kristuse ümberlõikamisega,
33020c00a6	kui teid koos temaga ristimises maha maeti ja koos temaga üles äratati teie usu läbi. Jumal, kes äratas surnuist üles Kristuse, on vägev üles äratama ka teid.
33020d0093	Ehkki te olite surnud oma üleastumistes ja ihu ümberlõikamatuses, on Jumal teid koos Kristusega teinud elavaks. Ta andis andeks meile meie patud
33020e0073	ja kustutas meie võlakirja koos kõigi meie vastu olevate nõuetega. Ta kõrvaldas selle ristile naelutamise teel.
33020f0074	Ta on teinud relvituks valitsused ja meelevallad ning häbistanud neid avalikult, võidutsedes nende üle Kristuses.
330210008d	Seepärast ärgu keegi mõistku teie üle kohut selle järgi, mida te sööte või joote, ega pühade, noorkuu või hingamispäevade pärast.
3302110045	Need pole ju muud kui tulevaste asjade vari, tegelikkus on Kristuses.
33021200a1	Ärge laske end võita nendel, kellel olevat nägemusi ja kes nõuavad võltsalandlikkuses inglite kummardamist. Nad on tühja täis oma lihaliku meelsuse tõttu
3302130083	ega hoia kinni peast, kelles kogu ihu kokku liidetakse ja koos hoitakse liigeste ja kõõluste abil, ning kasvab, nagu Jumal tahab.
3302140093	Kui te koos Kristusega olete surnud selle maailma algjõududele, miks te siis, otsekui kuuluksite veel maailmale, lasete endale teha ettekirjutusi:
330215002c	„Ära katsu! Ära maitse! Ära puuduta!“
3302160065	asjade kohta, mis kasutamisel hävivad. Sellised keelud põhinevad inimlikel reeglitel ja õpetustel.
330217008e	Need küll jätavad tarkuse mulje pealesurutud vagaduse, võltsalandlikkuse ja ihu karmi kohtlemisega, aga ihu talitsemiseks pole sellest abi.
3303010077	Kui te koos Kristusega olete üles äratatud, siis taotlege seda, mis on ülal, kus Kristus istub Jumala paremal käel.
330302003f	Mõtelge sellele, mis on ülal, mitte sellele, mis on maa peal,
3303030040	sest teie olete surnud ja teie elu on Kristusega varjul Jumalas.
3303040063	Kui Kristus, kes on teie elu, saab avalikuks, siis saate ka teie koos temaga avalikuks auhiilguses.
3303050077	Seepärast surmake nüüd endas kõik maine: hoorus, räpasus, kired, kurjad himud ja ahnus, mis on ebajumalateenistus;
3303060020	nende pärast tuleb Jumala viha.
3303070039	Teiegi käisite varem nendes, kui te sellist elu elasite.
3303080059	Nüüd aga jätke maha kõik see: viha, raev, õelus, laim, räpased sõnad oma huultelt.
3303090058	Ärge valetage üksteisele, sest te olete vana inimese tema harjumustega lahti riietanud
33030a005b	ja rõivastunud uue inimesega, keda uuendatakse õigesti tunnetama oma Looja näo kohaselt.
33030b009c	Nii pole enam kreeklast ega juuti, ümberlõigatut ega ümberlõikamatut, võõramaalast ega sküüti, ei orja ega vaba, vaid kõik ja kõikides on Kristus.
33030c0084	Rõivastuge siis nagu sobib Jumala valitud pühale ja armastatud rahvale: kaastunde, lahkuse, alandlikkuse, leebuse ja pika meelega.
33030d0085	Sallige üksteist ja andke üksteisele andeks, kui kellelgi on midagi teise vastu. Nagu Issand teile on andeks andnud, andke ka teie!
33030e004f	Aga kõige selle üle olgu armastus, mis teid täiuslikus ühtsuses kokku seob.
33030f0069	Ja teie südameis valitsegu Kristuse rahu, sest selleks te olete ühe ihuna kutsutud. Ja olge tänulikud!
33031000ad	Kristuse sõna elagu rikkalikult teie sees! Kogu tarkuses õpetage ja manitsege üksteist psalmide, hümnide ja Vaimus antud lauludega, lauldes tänuliku südamega Jumalale!
3303110073	Ja kõik, mida iganes te teete sõna või teoga, seda tehke Issanda Jeesuse nimel, tänades Isa Jumalat tema kaudu.
3303120033	Naised, alistuge meestele, nagu on kohane Issandas!
330313003d	Mehed, armastage oma naisi ja ärge tehke nende elu kibedaks!
330314004c	Lapsed, olge kuulekad oma vanematele igas asjas, sest see meeldib Issandale!
3303150047	Isad, ärge kohelge oma lapsi liiga karmilt, et nad ei kaotaks julgust!
33031600a3	Orjad, kuuletuge oma maistele isandatele kõiges, mitte ainult nende silme all nagu need, kes püüavad inimestele meeldida, vaid siira südamega, kartes Issandat.
3303170058	Mida te iganes teete, tehke kogu südamest, nii nagu Issandale ja mitte nagu inimestele,
330318004d	sest te teate, et saate Issandalt tasuks pärandi. Teenige Issandat Kristust!
3303190060	Aga sellele, kes teeb ülekohut, tasutakse tema ülekohtu järgi, ega tehta vahet isikute vahel.
330401005e	Isandad, kohelge oma orje õiglaselt ja erapooletult! Te ju teate, et ka teil on Isand taevas!
3304020039	Pühendage endid palvele, olge valvsad ja püsige tänus!
3304030074	Palvetage ka meie eest, et Jumal avaks meile sõna ukse kuulutada Kristuse saladust, mille pärast ma olen ahelates.
3304040042	Palvetage, et ma oskaksin seda kuulutada selgelt, nagu ma ka pean!
330405004f	Käituge targalt nendega, kes on väljaspool kogudust, kasutades aega õigesti!
3304060062	Teie sõnad olgu alati täis armu, maitsestatud soolaga, et te teaksite, kuidas kellelegi vastata.
3304070073	Kõigest, mis puudutab mind, räägib teile Tühhikos, meie armas vend, ustav abiline ja kaassulane Issanda töös.
330408006b	Saadan ta teie juurde just selleks, et te teaksite, kuidas meil läheb, ja et ta julgustaks teie südameid.
330409007c	Koos temaga tuleb ustav ja armas vend Oneesimos, kes on pärit teie seast. Nemad räägivad teile kõigest, mis siin toimub.
33040a0085	Teid tervitab minu kaasvang Aristarhos, Barnabase nõbu Markus, kelle kohta te olete saanud korralduse ta vastu võtta, kui ta tuleb.
33040b0096	Jeesus, keda hüütakse Justuseks, tervitab teid samuti. Juutide seast on nemad ainukesed kaastöölised Jumala riigi heaks, kes on olnud mulle toeks.
33040c00b1	Teid tervitab Kristuse Jeesuse sulane Epafras, kes on pärit teie seast. Ta võitleb alati teie eest oma palvetes, et te püsiksite kindlana Jumala tahtes, küpsed ja veendunud.
33040d0069	Ma tunnistan tema kohta, et ta teeb kõvasti tööd teie heaks ning Laodikeia ja Hierapolise rahva heaks.
33040e0038	Teid tervitavad meie armas sõber arst Luukas ja Deemas.
33040f0045	Tervitage Laodikeia vendi ja õdesid, Nümfat ja kogudust tema kodus!
330410009c	Kui see kiri on teie juures ette loetud, siis hoolitsege selle eest, et seda loetaks ka Laodikeia koguduses, ja et teie loeksite Laodikeiast saabuvat kirja.
3304110062	Ja öelge Arhipposele: „Vaata, et sa viid lõpule teenistuse, mille sa oled saanud Issandalt!“
3304120052	Tervitus on minu, Pauluse, oma käega. Ärge unustage mu ahelaid! Arm olgu teiega!
3400000014	1 Tessalooniklastele
3401010081	Pauluselt, Siilaselt ja Timoteoselt, Tessalooniklaste kogudusele Jumalas Isas ja Issandas Jeesuses Kristuses: Armu ja rahu teile!
3401020055	Me täname alati Jumalat teie kõikide eest, mainides teid pidevalt oma palvetes ning
3401030099	meelde tuletades Jumala ja meie Isa ees teie usus tehtud tööd, armastuses nähtud vaeva ja teie püsivust lootuses meie Issanda Jeesuse Kristuse peale.
3401040046	Me teame, Jumalast armastatud vennad ja õed, et tema on teid valinud,
34010500b1	sest meie evangeelium ei ole teie juurde tulnud ainult sõnades, vaid ka väes ja Pühas Vaimus ning sügava veendumusega. Te ju teate, kuidas me teie juures teie heaks elasime.
340106007a	Te võtsite eeskujuks meid ning Issandat, kui te suurest kannatusest hoolimata sõna vastu võtsite Püha Vaimu rõõmuga.
340107004b	Nõnda te olete saanud eeskujuks kõigile usklikele Makedoonias ja Ahhaias.
34010800b5	Sest teie juurest on Issanda sõna kostnud mitte ainult Makedooniasse ja Ahhaiasse, vaid teie usk Jumalasse on saanud tuntuks igal pool. Nii et meil pole vaja enam midagi rääkida,
3401090090	sest nad ise ju räägivad, kuidas te meid vastu võtsite ning kuidas te olete ebajumalaist ära pöördunud, teenima elavat ja tõelist Jumalat
34010a0077	ning ootama taevast tema Poega Jeesust, kelle ta on surnuist üles äratanud ja kes päästab meid saabuva viha käest.
3402010056	Te teate hästi, vennad ja õed, et meie külaskäik teie juurde ei olnud tulemusteta.
34020200aa	Kuigi, nagu te teate, me olime eelnevalt kannatanud ja meid teotati Filippis, andis Jumal meile siiski julguse kuulutada tema evangeeliumi rohkele vastuseisule vaatamata.
340203007f	Kutse, mille me esitasime, ei ole ajendatud eksitusest või räpasest tagamõttest. Samuti ei püüa me teid kavalusega võita.
34020400bb	Vastupidi, me kuulutame kui need, kelle Jumal on heaks kiitnud ja kellele ta on oma evangeeliumi usaldanud. Me ei püüa meeldida inimestele, vaid Jumalale, kes uurib läbi meie südamed.
340205006b	Te teate, et me ei ole kunagi tulnud meelitavate sõnade ega varjatud ahnusega: Jumal on meie tunnistajaks.
340206003e	Me ei otsi kiitust inimestelt, ei teilt ega kelleltki teiselt,
3402070098	ehkki me võiksime Kristuse apostlitena rõhutada oma tähtsust. Selle asemel olime leebed teie keskel. Nii nagu imetav ema kannab hoolt oma laste eest,
340208009a	nii hoolitsesime meiegi teie eest. Kuna me armastasime teid nii väga, oli meil hea meel jagada teiega mitte ainult Jumala evangeeliumi, vaid ka meie elu.
34020900a3	Te ju mäletate, vennad ja õed, meie vaeva ja raskusi! Me töötasime ööd ja päevad, et teid mitte koormata samal ajal, kui me Jumala evangeeliumi kuulutasime.
34020a0066	Teie ise koos Jumalaga olete tunnistajaks, kui pühad, õiglased ja laitmatud me olime usklike hulgas.
34020b005d	Sest te teate, et me käitusime igaühega teie hulgast nii, nagu isa käitub omaenda lastega,
34020c0072	julgustades, lohutades ja innustades teid elama Jumala vääriliselt, kes teid kutsub oma Kuningriiki ja kirkusse.
34020d00d7	Ja seepärast me täname alatasa Jumalat, et kui te meie käest kuulsite Jumala sõna, ei võtnud te seda vastu inimliku sõnana, vaid sellena, mis see tõesti on, Jumala sõnana, mis tegutseb ka teis, kes te usute.
34020e00cf	Sest teie, vennad ja õed, olete saanud sarnaseks nende Jumala kogudustega Juudamaal, mis on Jeesuses Kristuses: sest ka teie olete saanud kannatada oma inimeste poolt, nii nagu need kogudused juutide poolt.
34020f0090	Nad tapsid ka Issanda Jeesuse ning prohvetid ja ajasid ka meid minema. Nad ei ole Jumalale meelepärased ja on vaenulikud kõigi inimeste vastu,
340210009c	takistades meid kõnelemast rahvastele nende päästmiseks. Nii täidavad nad igati oma pattude mõõtu. Ent Jumala viha on tulnud nende peale täie jõuga.
34021100a6	Meie aga, vennad ja õed, olles küll lühikeseks ajaks teist eraldatud (ihulikult, mitte aga südameis), oleme sügavas igatsuses teinud kõik, et teid jälle näha.
3402120071	Me oleme tahtnud tulla teie juurde – vähemalt mina, Paulus, ikka ja jälle –, aga saatan on meid takistanud.
340213007e	Sest kes siis veel, kui mitte teie, olete meie lootus, meie rõõm ja meie võidupärg Issanda Jeesuse ees tema tagasitulekul?
3402140021	Teie olete meie kirkus ja rõõm!
340301004d	Seepärast meie, suutmata seda kauem kannatada, otsustasime jääda Ateenasse
340302008a	ning läkitasime Timoteose, meie venna ja Jumala kaastöölise Kristuse evangeeliumi kuulutamises, kinnitama ja julgustama teid teie usus,
340303005c	et ükski ei lööks kõikuma katsumustes. Sest te teate isegi, et need on meile määratud.
340304007b	Sest veel teie juures olles me rääkisime teile, et meid hakatakse taga kiusama, ja nii ongi see sündinud, nagu te teate.
34030500ab	Sel põhjusel, suutmata kauem kannatada, saatsingi ma Timoteose uurima, kuidas te usus püsite. Ma kartsin, et ehk on kiusaja teid ahvatlenud ja meie töö läinud tühja.
34030600bc	Ent nüüd tuli Timoteos teie juurest tagasi rõõmsate sõnumitega teie usust ja armastusest. Ta teatas, et te meenutate meid alati heaga ja igatsete meid jälle näha, nagu ka meie teid.
340307005a	Nii saime julgustatud, vennad ja õed, kõiges oma ahistuses ja kannatuses teie usu läbi,
3403080033	sest see on meile eluks, kui teie püsite Issandas.
3403090077	Millist tänu me võiksime küll Jumalale anda kogu selle rõõmu eest, mida oleme tundnud teie pärast oma Jumala ees?
34030a006a	Me palvetame ööd ja päevad kogu südamest, et teid jälle näha ja lisada, mis on veel puudu teie usus.
34030b0054	Aga meie Jumal ja Isa ning meie Issand Jeesus Kristus juhtigu meie teed teie juurde!
34030c007a	Ja Issand suurendagu teie armastust ülevoolavalt üksteise vastu ja kõigi vastu, nii nagu meiegi armastus on teie vastu.
34030d0097	Ja ta kinnitagu teie südameid, et te oleksite laitmatud ja pühitsetud meie Jumala ja Isa ees, kui meie Issand Jeesus tuleb koos kõigi oma pühadega.
34040100c3	Mis puudutab teisi asju, vennad ja õed, me oleme teid juhatanud elama Jumalale meelepärast elu nii, nagu te elategi. Nüüd me palume ja julgustame teid Issandas Jeesuses seda veel enam tegema.
340402004e	Te ju teate, millised korraldused me teile oleme Issanda Jeesuse poolt andnud.
3404030047	Jumala tahe on, et te oleksite pühitsetud: väldiksite sugukõlvatust,
3404040047	et igaüks teist õpiks valitsema oma ihu pühal ja auväärsel viisil,
3404050039	mitte kirglikus himus nagu paganad, kes ei tunne Jumalat.
34040600c1	Ärgu ka ükski tehku ülekohut oma venna või õe vastu ega kasutagu teda ära, sest Issand karistab kõiki, kes säärast pattu teevad, nagu me oleme teile varem rääkinud ja teid hoiatanud.
340407003d	Jumal ei ole ju kutsunud meid rüvedusele, vaid pühitsusele.
340408005b	Kes seda korraldust eirab, ei eira inimest, vaid Jumalat, kes oma Püha Vaimu teisse annab.
3404090069	Vennaarmastusest aga pole meil tarvis teile kirjutadagi, sest Jumal on teid õpetanud üksteist armastama
34040a008b	ja te olete kohelnud armastavalt kõiki vendi ja õdesid kogu Makedoonias. Seda, vennad ja õed, me manitseme teid tegema üha enam ja enam
34040b0081	ja seadke endale eesmärgiks elada vaikset elu, tegeleda oma asjadega ning teha tööd oma kätega, nagu me oleme teid juhatanud,
34040c0064	et teie käitumine leiaks lugupidamist väljaspool kogudust ja te ei vajaks ülalpidamist kelleltki.
34040d008e	Me ei taha teid, vennad ja õed, jätta teadmatusse nende suhtes, kes on läinud magama, et te ei kurvastaks, nagu need, kellel puudub lootus!
34040e0099	Sest kui me usume, et Jeesus on surnud ja üles tõusnud, siis me usume ka, et Jumal äratab Jeesuse kaudu üles need, kes koos temaga on läinud magama.
34040f0094	Seda me ütleme teile Issanda sõnaga, et meie, kes oleme veel elus ja kes on jäänud Issanda tulekuni, ei jõua ette neist, kes on läinud magama.
3404100097	Sest Issand ise tuleb sõjahüüu, peaingli hääle ja Jumala pasunaheli saatel taevast alla ning esmalt tõusevad üles need, kes on surnud Kristuses.
34041100a6	Seejärel haaratakse meid, kes oleme veel elus ja järele jäänud, koos nendega pilvedesse, et kohtuda õhus Issandaga. Ja nii saame me igavesti olla koos Issandaga.
3404120025	Julgustage üksteist nende sõnadega!
340501004e	Ent aegadest ja ajastustest, vennad ja õed, pole meil tarvis teile kirjutada,
340502003e	sest te teate isegi, et Issanda päev tuleb kui varas öösel.
3405030085	Siis kui öeldakse: „Nüüd on rahu ja julgeolek“, tabab neid äkiline hukatus nagu tuhud rasedat naist, ja nad ei pääse pakku.
3405040052	Teie aga, vennad ja õed, ei ole pimeduses, et see päev üllataks teid kui varas.
340505005a	Teie kõik olete ju valguse lapsed ja päeva lapsed. Meie ei ole öö ega pimeduse lapsed.
340506003f	Ärgem siis magagem nagu teised, vaid valvakem ja olgem kained.
340507003d	Sest magajad magavad öösel ja purjutajad on purjus öösel,
3405080082	meie aga, kes me oleme päeva lapsed, olgem kained, hoides seljas usu ja armastuse kaitserüüd ning peas päästelootuse kiivrit.
