0100000019	ማዢንቲ ማፃኣፔ
1a1b0b0121	ዓርዋዴ ዓጫፓ ሙኬ ፖኦሊሳ ኔኤኮ ኬኤሎ ዲፆ ካፓኔ፤ ጋማዲሜ ዓጫፓ ሙኬ ዓሳኣ ኔኤኮ ዋርዲዮ ቤዞ ካፓኔ፤ ዔያታ ጊቲሞ ፔኤሲ ሹጮና ኮሾና ኬኤሎ ዑፃ ሱፄኔ፤ ኔና ሚዛጲሴሢያ ዔያቶኬ።»
1a1b0c00fb	«ኔኤኮ ዖርጎቹማ ሚርጌሢዳፓ ዔቄያና ቴርሴሴ ዓጮና ዎላ ኔኤኒ ኮርሚ ኮርሚ ኔ ሜሆ ዛሎ ዒዞይዳፓ ኔኤኒ ቢራ ዓንጊ፥ ቆርቆሬንታ ዒርሳሴ ጌይንታ ባኮዋ ዔካኔ።
1a1b0d012c	ጊሪኮ ዓሶንታ ቱባሌንታ ሜሼኬ ዓሶንታ ዎላ ኔኤኒ ኮርሞ ኮርማኔ፤ ካራሞ ማዓ ዓሶንታ ሞኦኖ ዓንጎና ኮሺንታ ሜሆዋ ኔኤኒ ዔኪ፥ ዬያ ዛሎ ኮርማ ኮርሚንታ ዱማ ዱማ ባኮ ዔያቶም ኔኤኒ ዒንጋኔ፤
1a1b0e00dc	ቤትቶጋርማ ዓጫፓ ዓሲ ናንጎዋ ዳውሎ ዓጮ ፓራሢንታ ዖሎ ዖላ ፓራሢንታ ባቁሎንታ ኔኤኒ ዔኪጋፓ ዱማ ዱማ ኮርሞ ባኮ ዔያቶም ኔኤኒ ዒንጋኔ።
1a1b0f010d	ሮዴ ዓጮ ዓሶና ዎላ ኮርሞ ኔኤኒ ኮርማኔ፤ ዳልጎ ባዞ ዋኣፆ ዓጫ ዓኣ ዓጮ ዴራ ኔኤኮ ኮርሚ ኮርሚ ዓፒሎ ዔካዖ ዬያ ዛሎ ዳርሲ ዓቺና ዞጲ ጌይንታ ዶዶ ሚፆ ዔኪ ኔኤም ሙካኔ።
1a1b1001a3	ሶኦሪያ ዓጮ ዴራ ኔኤኮ ኮርሞ ዓፒሎ ቢያና ሜሌ ሚርጌ ሜሄ ኔኤፓ ሻንቃኔ፤ ዔያታ ዬያ ዔኬ ሜሆ ዛሎ ቤሉሬ ጌይንታ ሚዛጶ ሹጮንታ ኩጮና ማዢ ሚዛጲሶና ጮልዔ ማኣዓሢንታ ጉኡፂሲ ሱኪ ዹይሶና ዓፒሎና ኪቤይዳፓ ኮሺንቴ ፓልማሢንታ ዞቄ ሚዛጶ ሹጮዋ ዔያታ ኔኤም ሻንቻኔ፤
1a1b1100f7	ዪሁዳና ዒስራዔኤሌ ዓጮኮ ኮርሞ ኮርማ ዓሳ ኔኤኮ ኮርሞ ባኮ ዛሎ ሚኒቴ ዓጮ ዛርጋሢ፥ ዳይሳሢ፥ ዔኤዞ፥ ሪሚቶ ዛይቶንታ ዱማ ዱማ ሳውቃ ዼኤሾ ኔኤም ጪጋኔ።
1a1b1200d1	ዴማስቆ ዓጮ ዴራ ኔኤኮ ኮርሞ ባኮንታ ሜሌ ሜሆ ዛሎ ሄልቦኔ ዓጮ ዎይኖ ዑዦንታ ሳሆሬ ዓጫፓ ሺኢሾ ማራቶ ጋፓኖ ኔኤም ዔያታ ሻንቻኔ።
1a1b130149	ዑዛሌ ጌይንታ ዓጫ ናንጋ ዳኣኔ ዓሶንታ ጊሪኬ ዓሶንታ ሜሆ ኔኤኮ ሻንቃኒና ኮርማኒ ዎላ ጌስቲ ቱኬኔ፤ ዔያታ ኔኤኮ ኮርሞ ባኮ ዛሎ ሼኤሺ ኮሺንቴ ዓንጎንታ ዱማ ዱማ ሳውቃ ዼኤሾንታ ዳጅሳኣሮዋ ኔኤም ዒንጋኔ።
1a1b140072	ሃሣ ዴዳኔ ዓጮ ዴራ ኔኤኮ ኮርሞ ባኮ ዛሎ ኮኦራ ጊላሴ ዔኪ ኔኤም ዬዓኔ።
1a1b150097	ዓሬቦንታ ቄዳሬ ዓጮ ሱኡጋ ቢያ ኔኤኮ ኮርሞ ሜሆ ዛሎ ማራናኣቶና ዋኒናኣቶዋ ኔኤም ዔኪ ሙካኔ፤
1a1b1600d0	ሳኣባና ራዒማ ዓጮ ኮርሞ ዓሳ ኔኤኮ ኮርሞ ባኮ ዛሎ ሚዛጶ ሹጮንታ ዎርቆንታ፥ ዶኦሪንቴያ ማዔ ዱማ ዱማ ሳውቃ ዼኤሾ ኔኤም ዒንጋኔ።
1a1b1700e8	ካኣራኔ፥ ካኔሄንታ ዔዴኔ ካታሞንታ ሳኣባ ዓጮኮ ኮርሞ ኮርማ ዓሶንታ ጊንሣ ሃሣ ዓሹርናንታ ኪልማዴ ካታሞንታ ዬይ ቢያ ኔኤና ዎላ ኮርሞ ኮርማኔ።
1a1b1800ee	ሚዛጲሶና ማኣዓሢንታ ጮልዔ ዓፒሎንታ ኩጮና ሚዛጲሲ ማዦና ማኣዓሢንታ ጋሮይዳ ሂኢሦ ሚዛጶ ባኮንታ ኮሺ ሱኮና ሻሺና ዶዲሺ ቱኪ ኔኤም ዔያታ ሻንቻኔ።
1a1b1900c7	ቴርሴሴ ዓጮኮ ዋኣፆ ካኣሚላ ሜሆ ኔኤኮ ጫኣኒፆና ኔና ማኣዳኔ።» «ኔኤኒ ዳልጎ ባዞ ዋኣፆ ሳዛ ሚርጌ ኮርሞ ባኮና ኩሜ ዓጪኬ፤
1a1b1a00d1	ዋኣፆና ፒንቆ ጎንጎ ዒሺ ዓኣዻ ዓሳ ባዞ ቁልባሢ ባንሢ ዔኪ ኔና ዓኣዼኔ፤ ዼኤፖ ዓባ ኬስካ ባንፆ ዢባራ ባዞ ዋኣፆይዳ ኔና ሜንሤኔ።
1a1b1b0169	ኔኤኮ ኮርሞ ባካ ቢያ ዋኣፆ ካኣሚሎ ዒሻ ዓሳ ቢያ ዋኣፆ ካኣሚሎይዳ ማዻ ዓሳኣ ቢያ ዬያ ኮሻ ዓሶንታ ኮርሞ ኮርማ ዓሳ ቢያ ዬኖ ዋኣፆ ካኣሚሎይዳ ዓኣ ፖኦሊሳ ቢያ ዋኣፆ ካኣሚላ ኔኤኮ ሜቃኣና ቢያሢ ባዞ ቁልባሢዳ ዔኤዺንታንዳኔ።
1a1b1c00aa	ዋኣፆ ካኣሚላ ዓኣ ዓሳ ባዞ ቁልባሢዳ ጌሊ ዔኤዺንታኣና ዒላቴ ዒላታ ዳልጎ ባዞ ዓጮይዳ ዓኣ ዓጮ ዓጊሤኔ።»
1a1b1d00d8	«ዬኖ ዎዶና ሜሌ ዋኣፆ ካኣሚሎ ዔኪ ዓኣዻ ዓሳ ዬያ ዒሻ ዓሶንታ ዋኣፆ ካኣሚሎይዳ ማዻ ዓሶ ዓይሣ ዓሳኣ ቢያ ኬስኪ ዳልጎ ባዞ ዓጫ ዔቄኔ።
1a1b1e00cc	ዒማና ዔያታ ቢያ ፔኤኮ ቶኦኮይዳ ሲላሊ ዋሂ ዲቢንሢዳ ቡምባሊ ቡምባሊ ዑኡዞ ፔኤሲ ዼጊዲ ኔ ዛሎ ዓሽኮ ፔኤሲ ዱኡዚ ዬኤካንዳኔ።
1a1b1f00b1	ኔ ዛሎ ዖዪሢና ቶኦኮ ጋሞ ፔኤኮ ጉኡሊ ሲዬ ፓቲሌያኣ ማይንታንዳኔ፤ ዒናፓ ሜቂ ዖዪሢና ኔና ዔያታ ዬኤካንዳኔ።
1a1b200140	ዔያታ ፔኤኮ ዖዪፆና ሱንፆ ኔኤኮ ዔኤሊ ዔኤሊ ዬኤካንዳኔ፤ ኔ ዛሎ ቃዪያ ዔያታ ቃያንዳኔ፤ ዬያ ቃያሢና ሂዚ ዔያታ ጋዓንዳኔ፦ ‹ዳልጎ ባዞ ዋኣፆ ሳዛ ዔኤዺንቲ ዑኡሲ ባይቄ ዓጪ ፂሮሴጉዲ ዓይጎ ዓጪዳይ?
1a1b210114	ኔኤኮ ኮርሞ ኮርሞ ባካ ዱማ ዱማ ዓጮ ዳኪንታኣና ዬይ ዱማ ዱማ ዓጮ ዴራ ኮዓ ባኮ ዔያቶም ኩኩንሣኔ፤ ኔኤም ጊዲ ዑሣ ዓኣዼ ቆሎንታ ኮርሞ ባኮናኣ ሳዖ ካኣቶ ኔኤኒ ዖርጎጪሴኔ።
1a1b2200b6	ሃሢ ኔኤኒ ጋዓንቴ ዔቶ ዳልጎ ባዞይዳ ሜቂ ዓቴኔ፤ ኔኤኮ ኮርሞ ሜሆንታ ኔኤም ማዻ ዓሳኣ ቢያ ኔኤና ዎላ ባይቄኔ፤›
1a1b230131	«ዳልጎ ባዞ ዋኣፆ ዓጫ ናንጋ ዓሳ ቢያ ኔ ዑፃ ማዔ ፑርቶ ባኮይዳፓ ዔቄያና ዲቃቴኔ፤ ዔያቶኮ ካኣታኣ ዓቱዋዖ ዎኦቶንዶ ካራ ባይዜኔ፤ ፔቴ ፔቴሢኮዋ ዓኣፖ ካራ ዲቃቲሢና ዒጊቹሞ ማላታና ጴዻኔ።
1a1b2400c3	ዓካሪ ሜሌ ዴሮኮ ኮርሞ ኮርማ ዓሳ ኔና ቦሂ ሚኢጫንዳኔ፤ ጋፒንፃኣ ኔኤኮ ዲቃሣያ ማዔኔ፤ ናንጊና ኔኤኒ ጋፒ ባይቃንዳኔ።»
1a1c010045	ናንጊና ናንጋ ጎዳ ታኣም ሂዚ ጌዒ ኬኤዜኔ፦
1a1c0201cc	«ዓሲ ናዓሢዮ! ዼኤፖ ናንጊና ናንጋ ጎዳ ፂሮሴ ካኣቲም ሂዚ ጋዓኔ ጌይ ኬኤዜ፤ ‹ዒና ኔኤኮ ዖቶርቄሢሮ ታኣኒ ናንጊና ናንጋ ጎዳኬ፤ ዳልጎ ባዞ ዋኣፆ ሳዛ ሜሌ ፆኦዞ ዖይታ ታኣኒ ዴዓንዳኔ ኔኤኒ ጌዔኔ፤ ዎዚ ኔኤኒ ኔ ማሊፆና ታኣኒ ፆኦሲኬ ጌዔያታቴያ ኔኤኒ ዓሲ ማዓንዳኣፓዓቴም ፆኦሲቱዋሴ።
1a1c0300a7	ኔኤኒ ዳኣኔሌይዳፓ ባሼ ዔራ ማዔያ፥ ሃሣ ፔቴታዖ ዔኤቢ ዓኣሺንቲ ዓታ ባኣዚ ኔኤፓ ባኣያ ማሂ ኔ ኔና ማላ?
1a1c0400be	ጎኔኬ ኔኤኒ ኔኤኮ ዔራቶና ሃምዓቶና ሚርጌ ቆሎ ዴንቄኔ፤ ኔኤኮ ሜሆ ጌሦ ማኣሮይዳ ሚርጌ ዎርቄና ቢራና ኔኤኒ ቡኩሴኔ።
1a1c0500c4	ኔኤኒ ኮርማ ኮርሞና ማዼ ዼኤፖ ሃምዓቶ ማዾና ሚርጌ ቆሎ ኔኤኒ ዴንቄኔ፤ ቆላ ኔኤኮ ሚርጌሢዳፓ ዔቄያና ኔኤኒ ዖቶርቄኔ።›
1a1c0600c1	«ዬያሮ ታኣኒ ዼኤፖ ናንጊና ናንጋ ጎዳ ዒዛም ጋዓሢ ያዺኬ፤ ‹ዓዳ ታኣኒ ናንጊና ናንጋ ጎዳጉዲ ዔራኬ ጌዒ ኔኤኒ ማሌሢሮ፥
1a1c070102	ሜሌ ዴሮ ባኣካፓ ሚርጌና ሚጪንቲሢ ባኣያ ማዔ ፃንጎ ሞርኮ ኔ ዑፃ ታኣኒ ዔኪ ሙካንዳኔ፤ ዬያታ ኔኤኮ ዔራቶና ሃምዓቶና ዴንቂ ኔ ቡኩሴ ሚዛጶ ባኮ ቢያ ባይዛንዳኔ።
1a1c080090	ኔና ዔያታ ሄሊንቱዋ ዖዶዞ ዔቶይዳ ዓጋንዳኔ፤ ዳልጎ ባዞ ሳዛ ፑርታ ሃይቢ ኔ ሃይቃንዳኔ።
1a1c0900fb	ዓካሪ ኔና ዎዻኒ ዔያታ ሙካ ዎዶና ሃሣ ኔና ኔኤኒ ፆኦሲ ማሂ ፓይዳንዳ? ኔና ዎዻ ዓሶና ኔኤኒ ዓዺንታኣና ዓሲ ኔ ማዓንዳኣፓዓቴም ፆኦሲ ማዒባኣሢ ዔርታንዳኔ።
1a1c0a00b4	ሜሌ ዓጮ ዓሶ ኩጫ ፆኦሲ ጉሙርቁዋ ዓሳ ሃይቃ ሃይቦ ኔኤኒ ሃይቃንዳኔ፤ ታኣኒ ናንጊና ናንጋ ጎዳ ዬያ ኬኤዜኔ።›»
1a1c0b0045	ናንጊና ናንጋ ጎዳ ሂዚ ጌይ ታኣም ኬኤዜኔ፦
1a1c0c0160	«ዓሲ ናዓሢዮ! ፂሮሴ ዓጮ ካኣቲ ሄላንዳ ፑርቶ ባኮ ዛሎ ቃዮ ቃዬ፤ ታኣኒ ዼኤፖ ናንጊና ናንጋ ጎዳ ጋዓ ባኮ ሂዚ ጌይ ዒዛም ኬኤዜ፦ ‹ኔኤኒ ዔራቶ ኩሜያና ሚርጌናኣ ሚዛጳያ ማዔሢሮ ፓጫ ባኣዚ ባኣያ ማዔ ባኮኮ ኔኤኒ ማላታኬ።
1a1c0d01a7	ኔኤኒ ፆኦሲኮ ዔቦ ቱኮ ጎዦ ማዔ ዔዴኔይዳ ናንጋኔ፤ ዒኢካ ፔቴ ፔቴ ሚዛጶ ሹጮ ጌይፃ፦ ሴርዲዮኔ፥ ዓልማዛ፥ ቢሪሌ፥ ሜሬጊዴ፥ ዒያስጲዴ፥ ሴንፔሬንታ ቤሉሬ ጌይንታ ሚዛጶ ሹጮና ሚዛጲሶና ዎርቄ ማኣዖ ኔ ማይንታኔ፤ ኔኤኒ ማዢንቴ ኬላፓ ዓርቃዖ ዬይ ቢያ ኔኤኮ ዓኣኔ።
1a1c0e00d8	ኔና ታኣኒ ዓዳ ካፒፆ ካፓ ኪሩቤ ማሂ ዶኦሪ ዒኢካ ጌሤኔ፤ ታኣኮ ኔኤኒ ዱማዼ ዹኮይዳ ናንጋኔ፤ ሚርጌና ሚዛጲ ማዔ ሹጮ ባኣካ ኔ ሃንታኔ።
1a1c0f00a0	ኔኤኒ ማዢንቴ ኬላፓ ዓርቃዖ ፑርቱሞ ማዺፆ ዓርቄ ዎዶ ሄላንዳኣና ናንጎይዳ ኔኤኮ ፓጬ ባኣዚ ባኣሴ፤
1a1c100176	ሻንቂ ሻንቺፆ ማዾይዳ ጳሽኪ ኔኤኒ ሺራኔ፤ ዬይ ቢያ ሴካ ፑርታ ማዾና ጎሜና ባንሢ ዔኪ ኔና ዓኣዼኔ፤ ዬያሮ ኔኤኒ ታኣኮ ዱማዼ ዹኮ ሃሺ ኬስካንዳጉዲ ታኣኒ ኔና ዎልቃዼኔ፤ ዬንሢ ሚዛጶ ሹጮንሢ ባኣካፓ ካፒፆ ካፓ ኪሩቤ ዳውሲ ኔና ኬሴኔ።
1a1c11013a	ማላሢ ኔኤኮ ሚዛጲ ማዔሢሮ ሚርጌና ኔኤኒ ዖቶርቄኔ፤ ቦንቾ ኔኤኒ ኮዒሢና ዔራቶ ኔኤሲ ኔኤኒ ዻኪሴኔ፤ ዬያፓ ዔቄያና ታኣኒ ኔና ዡጊ ሊካ ሳዓ ኬኤሬኔ፤ ሜሌ ዓጮ ካኣቶ ዻቢንቶኮ ማላታ ታ ኔና ማሄኔ።
1a1c120147	ሻንቂፆና ሻንቾናይዳ ኔኤኒ ማዼ ዻቢንቶፓ ዔቄያና ኔኤኮ ካኣዦ ቤዛ ቢያ ዒኢቴኔ፤ ዬያሮ ካታሜሎ ሚቻ ታሚ ዓርቃንዳጉዲ ማሂ ጉቤ ታ ዒዞ ሚቼኔ፤ ሃሢ ኔ ባንሢ ዛጋሢ ቢያ ኔኤኒ ዲቢንሢ ሌሊ ማዔሢ ዴንቃንዳኔ፤
1a1c1300f1	ሃይሾ ኔኤኒ ባይቄኔ! ናኣናና ኔኤኒ ጴዺንዱዋሴ፤ ቤርታ ኔና ዔራ ዓጫ ቢያ ዲቃቲ ካራ ባይዜኔ፤ ኔ ዑፃ ሄሌ ፑርቶ ባካ ዔያቶ ሄሉዋጉዲ ዔያታ ዒጊጬኔ።›»
1a1c14003b	ናንጊና ናንጋ ጎዳ ታኣም ሂዚ ጌዔኔ፦
1a1c150069	«ዓሲ ናዓሢዮ! ሲዶና ዓጮ ባንሢ ዛጊጋፓ ፆኦሲ ማሊሢ ዒዞም ኬኤዜ፤
1a1c1601be	ዒዞኮ ዴሮማኣ ዼኤፖ ናንጊና ናንጋ ጎዳ ሂዚ ጋዓኔ ጌዔ፦ ታኣኒ ዒንሢ ዑፃ ፑርቱሞና ዔቄኔ፤ ታኣኒ ዒንሢዳ ማዻንዳ ማዾና ሜሌ ዴራ ታና ጋላታንዳኔ፤ ታኣኮ ዎጎ ማዾይዳ ታ ፔኤሻኣና፥ ሃሣ ታኣኮ ዱማዼያ ማዒፆ ፔጋሲ ታኣኒ ዔርዜ ዎዶና ታኣኒ ናንጊና ናንጋ ጎዳ ማዔሢ ዔያታ ዔራንዳኔ።
1a1c170173	ታኣኮ ዱማ ዱማ ዎዻ ባኮ ዒንሢ ዑፃ ታኣኒ ዔኪ ዬዓንዳኔ፤ ዒንሢኮ ጎይፃ ጎይፃ ሱጉሢ ሾኦታንዳጉዲ ታኣኒ ማሃንዳኔ፤ ቢያ ባንፆና ዒንሢዳ ዔቃ ዖሎና ዒንሢ ባኣካ ዓሲ ዎዺንታንዳኔ፤ ሜሌ ዴራ ታኣኒ ናንጊና ናንጋ ጎዳ ማዔሢ ዔራንዳኔ።»
1a1c18015b	ናንጊና ናንጋ ጎዳ ሂዚ ጋዓኔ፦ «ቶኦቺ ዒዞ ዛጋንዳ፥ ዒዞኮ ዓሺኒ ማዒ ዓዳ ጫርጋ ጋውዲና ሜሌ ዓንጊሢጉዲ ማዒ ዒስራዔኤሌ ሜታሳንዳ ሜሌ ዓጪ ሃካፓ ሴካ ባኣሴ። ታኣኒያ ዼኤፖ ናንጊና ናንጋ ጎዳ ማዔሢ ዔያታ ዔራንዳኔ።»
1a1c19018e	ዼኤፖ ናንጊና ናንጋ ጎዳ ሂዚ ጋዓኔ፦ «ዒስራዔኤሌ ዓሶ ዜርቂንቴ ዱማ ዱማ ዴሮ ባኣካፓ ታኣኒ ቡኩሳ ዎዶና ሜሌ ዴራ ዬያ ዛጋንቴ ታኣኮ ዱማዼያ ማዒፆ ታ ፔጋሳንዳኔ፤ ዬካፓ ዔያታ ማዒ ታኣኮ ማዻሢ ያይቆኦቤም ታኣኒ ዒንጌ ዔያቶኮ ዓጫ ዔያታ ናንጋንዳኔ።
1a1c1a01d2	ዒኢካ ሂርጋ ባኣያ ዔያታ ናንጋንዳኔ፤ ማኣሪያኣ ዔያታ ማዣንዳኔ፤ ዎይኔያ ቱካንዳኔ፤ ዔያቶ ቶኦቺ ዛጋ፥ ዔያቶኮ ዓሺኖ ዓጮዋ ቢያ ታኣኒ ሻርሻንዳኔ፤ ዒስራዔኤሌ ዓሳ ጋዓንቴ ሂርጋባኣያ ጉሙርቂንቲ ናንጋንዳኔ፤ ዬኖ ዎዶና ታኣኒ ዔያቶኮ ናንጊና ናንጋ ጎዳ ማዔ ፆኦዛሢታሢ ዔያታ ዔራንዳኔ።»
1a1d0100c2	ኑኡኒ ዲዒንቴንቴ ታጳሳ ሌዖኮ ታጳሳ ዓጊኖና፥ ዬኖ ዓጊኖኮ ታጶ ላምዓሳ ኬሎና ናንጊና ናንጋ ጎዳ ታኣም ሂዚ ጌይ ኬኤዜኔ፤
1a1d0200a4	«ዓሲ ናዓሢዮ! ዓኣፖ ካሮ ኔኤኮ ጊብፄ ካኣቲ ባንሢ ማሂጋፓ ዒዛንታ ጊብፄ ዴሮንታም ፆኦሲ ማሊሢ ኬኤዜ።
1a1d03015e	ዼኤፖ ናንጊና ናንጋ ጎዳ ጊብፄ ካኣቲም ሂዚ ጋዓኔ ጌይ ኬኤዜ፤ ዎሮይዳ ቦርጊሦ ላሂ፥ ዒጊቻ ዳልጎ ባዞ ቦዖ ማሌሢ ሃይ ኔኤኒ! ሃኣዛጌ ታኣኒ ዻጋና ኔ ዑፃ ዔቄኔ፤ ‹ዓባዬ ዎራ ታኣሮኬ፤ ዬያ ዎሮ ማዤሢ ታናኬ› ኔኤኒ ጋዓኔ።
1a1d04014a	ኔኤኮ ባንጋሎይዳ ዓንጊ ኪሬ ታኣኒ ዳካንዳኔ፤ ዎሮይዳ ዓኣ ሞላሢ ኔኤኮ ዑፆይዳ ላጪ ዓርቂንታንዳጉዲ ታኣኒ ማሃንዳኔ፤ ዬይ ሞላሢያ ኔኤኮ ዑፃ ዓርቂንቴ ጎይሣ ዓኣንቴ ዓባዬ ዎራፓ ጎቺ ታኣኒ ኔና ኬሳንዳኔ።
1a1d050109	ኔናንታ ኔኤኮ ዎሮ ሞላሢያ ቢያ ዓሲ ናንጉዋ ዳውላ ታኣኒ ዢባንዳኔ፤ ሌዛ ኔኤኮ ዔውቲ ዱኡቱዋጉዲ ቦኦላ ኔኤኒ ኬኤሪንታንዳኔ፤ ካፖና ቦዖናም ሙኡዚ ታ ኔና ማሃንዳኔ።
1a1d0600d2	ዒንሢ ዒስራዔኤሌ ዓሶም ዓዳ ፒሌ ኮኦሎጉዲ ፓሡዋያ ማዔሢሮ ዬኖ ዎዶና ዒንሢ፥ ጊብፄ ዴራ ታኣኒ ናንጊና ናንጋ ጎዳ ማዔሢ ዔራንዳኔ።
1a1d0700e9	ዔያታ ፔ ኩጮና ዒንሢ ዓርቃ ዎዶና ሜቂ ጳሪንቲ ጌኤቶ ዔያቶኮ ዒንሢ ጫርጌኔ፤ ዒንሢዳ ዔያታ ጌኤቂንቴ ዎዶና ዒንሢ ሜቄም ጊኢራ ዔያቶኮ ጎጋይቄኔ።
1a1d080111	ዓካሪ ታኣኒ ዼኤፖ ናንጊና ናንጋ ጎዳ ኔኤም ኬኤዛሢ ያዺኬ፦ ‹ጬንቾ ዓፓሮና ኔና ዎዻንዳ ዓሲ ታኣኒ ዔኪ ሙካንዳኔ፤ ዬይ ዓሳ ኔኤኮ ዴሮንታ ቆልሞንታ ቢያ ዎዺ ጋፒሳንዳኔ፤
1a1d090121	ጊብፄ ዓጫ ዓሲ ናንጉዋ ዳውሌ ማዒ ጉሪ ዓታንዳኔ፤ ዬይ ያዺ ማዓኣና ታኣኒ ናንጊና ናንጋ ጎዳ ማዔሢ ዔያታ ዔራንዳኔ። «ኔኤኒ ‹ዓባዬ ዎራ ታኣሮኬ፤ ዬያ ዎሮ ማዤሢያኣ ታናኬ› ጌዔኔ።
1a1d0a0175	ታኣኒ ኔኤና ኔ ዎሮና ዑፃ ዻጋና ዔቄኔ፤ ኬዶ ባንፆና ዓኣ ሚግዶሌ ካታማፓ ዓርቃዖ ዾኦሎ ባንፃ ዴንዲ ዓስዋኔ ካታሞ ሄላዳኣና፥ ዬያጉዲ ሃሣ ዴንዲ ዒቶጲያኮ ዛጶ ሄላንዳኣና ጊብፄ ዓጮ ጉቤ ዓሲ ናንጉዋ ዳውሌ ጉሪ ማሂ ታኣኒ ዓይሳንዳኔ።
1a1d0b00b5	ዓሲ ማዔያታቴያ ቆልሞ ዒኢና ፔቴታዖ ዓኣዻዓኬ፤ ዴንዲ ዖይዲታሚ ሌዔ ሄላንዳኣና ዓይጎ ባኣዚያኣ ዬካ ናንጋዓኬ፤
1a1d0c01fe	ጊብፄ ዓጮዋ ዳውሎ ጉሮ ማዔ ዓጮይዳፓ ባሼ ዳውሌ ጉሪ ታ ማሃንዳኔ፤ ጊብፄ ዓጮ ካታማ ዴንዲ ዖይዲታሚ ሌዔ ማዓንዳኣና ዶዔ ቦኪ ኩሊንቴ ቤሲ ማዒ ዓታንዳኔ፤ ዒዞኮ ካታሞዋ ሜሌ ዶዔ ካታማፓ ፔቴዞ ታኣኒ ማሃንዳኔ፤ ዬካፓ ጊብፄ ዓሶ ታኣኒ ዳውሲንቴ ዓሲ ማሃንዳኔ፤ ሜሌ ዴሮ ባኣካ ዚርቂንቲ ዔያታ ናንጋንዳጉዲ ታ ማዻንዳኔ።»
1a1d0d00b4	ዼኤፖ ናንጊና ናንጋ ጎዳ ሂዚ ጋዓኔ፦ «ዖይዲታሚ ሌዔኮ ጊንፃፓ ጊብፄ ዓሶ ታኣኒ ዜርቄ ዓጫፓ ማሂ ዔኪ ሙካንዳኔ፤
1a1d0e00c4	ሚና ዔያታ ናንጋ ዾኦሎ ባንፆ ጊብፄ ዓጫ ጳፂሮሴይዳ ናንጋንዳጉዲ ታኣኒ ዔያቶ ማሃንዳኔ፤ ዬካ ላቤ ካኣቶ ዔያታ ማዓንዳኔ፤
1a1d0f0106	ዬያ ሌሊቱዋንቴ ቢያፓ ላቤ ካኣቶ ማዓንዳሢሮ ላሚ ሜሌ ካኣቶ ባሺ ዎይሣኒ ዒዚ ዳንዳዓዓኬ፤ ቢያፓ ዻኬያ ታኣኒ ማሃንዳሢሮ ሜሌ ካኣቲ ጊኢራ ጊኢሪሻኒ ዒ ዳንዳዓዓኬ።
1a1d100166	ዓካሪ ዒስራዔኤሌ ዓሳ ማኣዶ ኮዒ ጊብፄ ዓኣዺ ዓኣዺ ዻቢንቴ ዻቢንቶ ዔያቶም ጶቂሣያ ማዓንዳኣፓዓቴም ማኣዶ ዴንቃኒ ላሚ ጊብፄ ዔያታ ጉሙርቃዓኬ፤ ዬይ ያዺ ማዓኣና ዒስራዔኤሌ ዓሳ ታኣኒ ናንጊና ናንጋ ጎዳ ማዔሢ ዔራንዳኔ።»
1a1d1100c4	ኑኡኒ ዲዒንቴንቴ ላማታሚ ላንካሳ ሌዖ፥ ቤርታሳ ዓጊኖኮ ቤርታሳ ኬሎ ዓይፆይዳ ናንጊና ናንጋ ጎዳ ታኣም ሂዚ ጌዒ ኬኤዜኔ፦
1a1d1201bf	«ዓሲ ናዓሢዮ! ባብሎኔ ካኣቲ ናብካዳናፆኦሬ ፂሮሴ ዓጮይዳ ዖልዚ ቡላኒ ዔቄኔ፤ ቶኦካ ባላንዳያና ጌኤታኣ ዔውታንዳያ ሄላንዳኣና ፖኦሊሶ ዔያቶኮ ዔያታ ዴኤሢ ኬዲ ኬዲሴኔ፤ ያዺ ማዔያታቴያ ዔያቶኮ ካኣቲ ማዔያታቴያ ዖሎ ዖላ ዓሳ ዬያ ቢያ ላቢፃፓ ፔቴ ባኣዚታዎ ዴንቄ ባኣዚ ባኣሴ።
1a1d130176	ዬያሮ ታኣኒ ዼኤፖ ናንጊና ናንጋ ጎዳ ጋዓሢ ያዺኬ፦ ‹ጊብፄ ዓጮ ታኣኒ ካኣቲ ናብካዳናፆኦሬም ዓኣሢ ዒንጋንዳኔ፤ ዒዚያኣ ፔኤኮ ዖሎ ዖላ ዓሶም ማዼሢ ዛሎ ጪጎ ሚኢሼ ማዓንዳጉዲ ቡሪሢና ካራባኣ ጎይሢና ዴንቃ ባኮ ቢያ ዔኪ ዓኣዻንዳኔ።
1a1d1400d1	ዒዛኮ ዖሎ ዖላ ዓሳ ታኣም ማዼሢሮ ጊብፄ ዓጮ ዒዚ ላቢ ማዼሢ ዛሎ ታኣኒ ዒዛም ዒንጋንዳኔ፤ ታኣኒ ናንጊና ናንጋ ጎዳ ሃያ ኬኤዜኔ።›
1a1d150160	«ዬይ ማዓ ዎዶና ዒስራዔኤሌ ዴሮ ታኣኒ ዶዲሻንዳኔ፤ ኔኤኒያ ሂዚቄኤሌ! ዓሲ ኔኤም ዋይዛንዳጉዴ ቤሲዳ ቢያ ዑኡዞ ኔኤኮ ዼጊዲ ኬኤዛንዳጉዲ ታ ኔና ማሃንዳኔ፤ ዬያ ጎይፆና ታኣኒ ናንጊና ናንጋ ጎዳ ማዔሢ ዔያታ ዔራንዳኔ።»
