1300000005	Psalm
3e020100ae	Meine lieben Kinder! Dies schreibe ich euch, damit ihr nicht sündigt. Und sündigt doch jemand, so haben wir einen Fürsprecher bei dem Vater: Jesus Christus, den Gerechten.
3e02020074	Der ist die Sühne für unsere Sünden, und nicht für unsere allein, sondern auch für die Sünden der ganzen Welt.
3e02030044	Dies ist das Merkmal, daß wir ihn erkannt: wir halten seine Gebote.
3e0204007c	Wer behauptet: "Ich habe ihn erkannt" und seine Gebote nicht hält, der lügt; in solchem Menschen wohnt nicht die Wahrheit.
3e02050081	Wer aber seinem Wort gehorcht, in dem ist wirklich die Liebe zu Gott vollkommen geworden. Daran zeigt sich, daß wir in ihm sind.
3e0206004c	Wer da behauptet, er bleibe in ihm, der muß auch wandeln, wie Er gewandelt.
3e020700a6	Geliebte, nicht ein neues Gebot schreibe ich euch nun, sondern ein altes Gebot, das ihr gehabt von Anfang an. Dies alte Gebot ist jenes Wort, das ihr bereits gehört.
3e020800bc	Und doch schreibe ich euch ein neues Gebot; das ist es wirklich im Blick auf ihn und auf euch. Denn die Finsternis ist im Schwinden begriffen, und das wahre Licht hat zu leuchten begonnen.
3e02090063	Wer nun behauptet, er sei im Licht, und doch seinen Bruder haßt, der ist noch immer in Finsternis.
3e020a007b	Wer seinen Bruder liebhat, der ist fort und fort im Licht, und in seinem Geist ist nichts, das ihn zu Fall bringen könnte.
3e020b00a9	Wer aber seinen Bruder haßt, der lebt in der Finsternis und wandelt in der Finsternis und weiß nicht, wohin er geht; denn die Finsternis hat seine Augen blind gemacht.
3e020c005d	Ich schreibe euch, liebe Kinder, weil euch die Sünden um seines Namens willen vergeben sind.
3e020d0096	Ich schreibe euch, ihr Väter, weil ihr den erkannt habt, der von Anfang ist. Ich schreibe euch, ihr Jünglinge, weil ihr den Bösen überwunden habt.
3e020e00f2	Ich habe euch geschrieben, liebe Kinder, weil ihr den Vater erkannt habt, der von Anfang ist. Ich habe euch, ihr Jünglinge, geschrieben, weil ihr stark seid durch das Wort Gottes unablässig in euch wohnt und ihr den Bösen überwunden habt.
3e020f0071	Habt nicht lieb die Welt, noch was in der Welt ist! Wer die Welt liebhat, in dem wohnt nicht die Liebe zum Vater.
3e02100092	Denn alles weltliche Wesen — die Fleischeslust, die Augenlust und das großtuerische Leben — stammt nicht von dem Vater, sondern von der Welt.
3e02110061	Und die Welt fährt dahin mit ihrer Lust; wer aber den Willen Gottes tut, der bleibt in Ewigkeit.
3e021200c1	Kinder! Die letzte Stunde ist da! Ihr habt gehört, ein Widerchrist soll kommen. Jetzt aber sind schon Widerchristen in großer Anzahl aufgetreten. Daran erkennen wir: die letzte Stunde ist da.
3e021300ed	Sie sind aus unserer Mitte hervorgegangen, aber sie haben uns innerlich nicht angehört. Denn hätten sie uns angehört, so wären sie bei uns geblieben. Doch sie haben uns verlassen, damit es sich zeige, daß nicht alle zu uns gehören.
3e02140045	Ihr aber habt die Salbung von dem Heiligen empfangen und wißt alles.
3e0215007c	Ich habe euch nicht geschrieben, weil ihr sie kennt und deshalb auch wissen müßt, daß keine Lüge aus der Wahrheit kommt.
3e02160097	Wer sonst ist der Lügner, als der da leugnet, Jesus sei auch der Christus? Ein solcher Leugner ist der Widerchrist: er leugnet den Vater und den Sohn.
3e02170064	Jeder, der den Sohn leugnet, hat auch den Vater nicht. Wer den Sohn bekennt, der hat auch den Vater.
3e021800ae	Was ihr von Anfang an gehört, das soll in euern Herzen bleiben! Bleibt aber das in euch, was ihr von Anfang an gehört, so werdet auch ihr in dem Sohn und dem Vater bleiben.
3e02190037	Und dies hat er selbst uns verheißen: das ewige Leben.
3e021a003b	So viel schreibe ich über die, die euch verführen wollen.
3e021b00f5	Und die Salbung, die ihr von ihm empfangen habt, die bleibt in euch. Ihr habt nicht nötig, daß euch jemand belehre. Sondern wie euch seine Salbung über alles belehrt, so ist's auch wahr und keine Lüge. Wie sie euch belehrt, so bleibt in ihm!
3e021c00b6	Nun, liebe Kinder, bleibt in ihm! Dann haben wir, wenn er erscheint, auch freudige Zuversicht, und wir brauchen bei seiner Wiederkunft nicht mit Scham und Schande von ihm zu weichen.
3e021d0069	Wenn ihr wißt, daß er gerecht ist, so bedenkt auch: jeder, der Gerechtigkeit übt, ist aus ihm erzeugt.
3e030100a9	Seht, welch große Liebe hat uns der Vater bewiesen! Wir sollen Gottes Kinder heißen und sind es auch. Darum erkennt die Welt uns nicht, denn sie hat ihn nicht erkannt.
3e030200ce	Geliebte, jetzt schon sind wir Gottes Kinder. Aber es ist noch nicht offenbar geworden, was wir sein sollen. Wir wissen jedoch: wenn er erscheint, so werden wir ihm ähnlich sein; denn wir werden ihn sehen.
3e03030050	Wer solche Hoffnung hat im Vertrauen auf ihn, der reinigt sich, wie Er rein ist.
3e0304005b	Wer die Sünde tut, der frevelt auch gegen das Gesetz; denn die Sünde ist Gesetzlosigkeit.
3e03050059	Ihr wißt aber: Er ist erschienen, um die Sünden zu tilgen, und in ihm ist keine Sünde.
3e0306005c	Wer in ihm bleibt, der sündigt nicht. Wer sündigt, der hat ihn nicht gesehen noch erkannt.
3e0307006e	Liebe Kinder, laßt euch von niemand irreführen. Wer Gerechtigkeit übt, der ist gerecht, wie Er gerecht ist.
3e03080098	Wer die Sünde tut, der stammt vom Teufel; denn der Teufel sündigt von Anfang an. Dazu ist Gottes Sohn erschienen, daß er des Teufels Werke zerstöre.
3e0309008a	Jeder, der aus Gott gezeugt ist, tut keine Sünde; denn sein Same bleibt in ihm. Ja er kann nicht sündigen, denn er ist aus Gott gezeugt.
3e030a009f	Daran erkennt man Gottes Kinder und des Teufels Kinder. Jeder, der nicht Gerechtigkeit übt, stammt nicht von Gott, ebenso auch, wer seinen Bruder nicht liebt.
3e030b0057	Denn dies ist die Botschaft, die ihr von Anfang an gehört: wir sollen einander lieben.
3e030c00b5	Wir sollen nicht Kain gleichen, der von dem Bösen stammte und seinen Bruder mordete. Und warum hat er ihn ermordet? Weil seine Taten böse waren, seines Bruders Taten aber gerecht.
3e030d003c	Wundert euch nicht, meine Brüder, wenn die Welt euch haßt.
3e030e0078	Wir wissen: wir sind aus dem Tod zum Leben gelangt, weil wir die Brüder lieben. Wer keine Liebe hat, der bleibt im Tod.
3e030f006a	Wer seinen Bruder haßt, der ist ein Mörder; und ihr wißt: in einem Mörder wohnt nicht das ewige Leben.
3e031000b5	Daran haben wir das wahre Wesen der Liebe erkannt, daß Er sein Leben zu unserem Heil dahingegeben hat. So ist's auch unsere Pflicht, unser Leben zum Besten der Brüder einzusetzen.
3e0311008f	Wer irdische Güter hat und seinen Bruder Not leiden sieht, aber sein Herz vor ihm verschließt: wie kann in dem die Liebe zu Gott noch wohnen?
3e03120067	Liebe Kinder, laßt uns nicht lieben mit Worten und mit der Zunge, sondern mit der Tat und in Wahrheit!
3e0313008e	Daran werden wir dann auch erkennen, daß wir aus der Wahrheit sind, und dadurch können wir unser Herz vor seinem Angesicht zur Ruhe bringen,
3e03140065	daß wir bedenken, wenn unser Herz uns anklagt: Gott ist größer als unser Herz, und er weiß alles.
3e03150056	Geliebte, wenn unser Herz uns nicht anklagt, so haben wir freudige Zuversicht zu Gott.
3e03160076	Und was wir erbitten, das empfangen wir auch von ihm; denn wir halten seine Gebote und tun, was ihm wohlgefällig ist.
3e0317007e	Und dies ist sein Gebot: Wir sollen glauben an den Namen seines Sohnes Jesus Christus und einander lieben, wie er uns geboten.
3e0318008a	Wer seine Gebote hält, der bleibt in ihm und er in ihm. Und daß er bleibend in uns wohnt, erkennen wir an dem Geist, den er uns gegeben.
3e04010097	Geliebte, schenkt nicht jedem Geist Glauben! Prüft vielmehr die Geister, ob sie aus Gott sind! Denn viele Lügenpropheten sind ausgezogen in die Welt.
3e04020076	Daran erkennt Gottes Geist: Jeder Geist, der Jesus Christus als den im Fleisch Erschienenen bekennt, der ist aus Gott.
3e040300a7	Doch jeder Geist, der Jesus nicht bekennt, ist nicht aus Gott: das ist der Geist des Widerchrists. Ihr habt gehört, daß er kommt; und er ist schon jetzt in der Welt.
3e04040087	Ihr seid aus Gott, liebe Kinder, und habt sie überwunden. Denn der in euch wirkt, ist stärker, als der in der Welt sein Wesen treibt.
3e04050058	Sie gehören der Welt an. Darum reden sie nach Art der Welt, und die Welt hört auf sie.
3e040600b6	Wir sind von Gott gesandt. Wer Gott erkennt, der hört auf uns. Wer nicht aus Gott ist, der hört nicht auf uns. Hieran erkennen wir den Geist der Wahrheit und den Geist des Irrtums.
3e04070082	Geliebte, laßt uns einander lieben! Denn die Liebe stammt von Gott, und wer Liebe hat, der ist aus Gott erzeugt und erkennt Gott.
3e04080045	Wer keine Liebe hat, der hat Gott nicht erkannt; denn Gott ist Liebe.
3e04090096	Dadurch ist Gottes Liebe bei uns offenbar geworden, daß Gott seinen eingeborenen Sohn gesandt hat in die Welt, damit wir durch ihn das Leben hätten.
3e040a0094	Darin zeigt sich die (wahre) Liebe: nicht wir haben Gott geliebt, sondern er hat uns geliebt und seinen Sohn gesandt als Sühne für unsere Sünden.
3e040b004e	Geliebte, hat uns Gott so sehr geliebt, dann müssen auch wir einander lieben.
3e040c007b	Keiner hat Gott je gesehen. Lieben wir aber einander, so wohnt Gott bleibend in uns, und seine Liebe ist in uns vollkommen.
3e040d0071	Daß wir aber bleibend in ihm wohnen und er in uns, erkennen wir daran, daß er uns von seinem Geist gegeben hat.
3e040e005d	Und wir haben gesehen und bezeugen, daß der Vater den Sohn gesandt hat als Heiland der Welt.
3e040f004f	Wer nun bekennt, daß Jesus Gottes Sohn ist, in dem bleibt Gott und er in Gott.
3e0410009c	Wir haben erkannt und geglaubt die Liebe, die Gott zu uns hat. Gott ist Liebe; und wer in der Liebe bleibt, der bleibt in Gott, und Gott bleibt auch in ihm.
3e04110095	Darin vollendet sich bei uns die Liebe, daß wir freudige Zuversicht haben am Tag des Gerichts; denn so, wie Er ist, so sind auch wir in dieser Welt.
3e041200ae	Furcht ist nicht in der Liebe; die vollkommene Liebe vertreibt die Furcht. Die Furcht denkt ja an Strafe. Wer sich also fürchtet, der ist in der Liebe noch nicht vollkommen.
3e04130029	Wir lieben, weil Gott uns zuerst geliebt.
3e041400cd	Wer da behauptet: "Ich liebe Gott", und doch seinen Bruder haßt, der ist ein Lügner. Denn wer seinen Bruder nicht liebt, den er leibhaftig sieht, der kann Gott, den er gar nicht sieht, unmöglich lieben.
3e04150055	Ja, dies Gebot haben wir von ihm: Wer Gott liebt, der muß auch seinen Bruder lieben.
3e0501008e	Jeder, der glaubt, daß Jesus der Christus ist, der ist aus Gott gezeugt. Und wer seinen Erzeuger liebt, der liebt auch den von ihm Erzeugten.
3e05020063	Daran erkennen wir, daß wir Gottes Kinder lieben, wenn wir Gott lieben und seine Gebote erfüllen.
3e0503006a	Denn darin zeigt sich die Liebe zu Gott, daß wir seine Gebote halten. Und seine Gebote sind nicht schwer.
3e05040080	Denn alles, was aus Gott erzeugt ist, überwindet die Welt. Und die Siegesmacht, die die Welt überwunden hat, ist unser Glaube.
3e05050046	Wer ist der Weltüberwinder? Nur wer da glaubt: Jesus ist Gottes Sohn.
3e050600f9	Dieser hat seinen Weg genommen durch Wasser und Blut. Jesus ist als der Christus auch immer noch wirksam, nicht durch das Wasser allein, sondern durch das Wasser und das Blut. Auch der Geist legt Zeugnis für ihn ab, denn der Geist ist die Wahrheit.
3e05070027	So sind's denn drei, die Zeugnis geben:
3e0508004e	der Geist, das Wasser und das Blut, und diese drei bezeugen die eine Wahrheit.
3e0509009a	Nehmen wir schon der Menschen Zeugnis an, so steht Gottes Zeugnis noch viel höher. Denn dies ist Gottes Zeugnis: er hat Zeugnis abgelegt von seinem Sohn.
3e050a00da	Wer an den Sohn Gottes glaubt, der hat in der Gemeinschaft mit ihm dies Zeugnis. Wer Gott nicht glaubt, der hat ihn damit zum Lügner gemacht: er hat ja nicht geglaubt an das Zeugnis, das Gott von seinem Sohn abgelegt.
3e050b0093	Und dies ist der Inhalt des Zeugnisses: "Gott hat uns das ewige Leben gegeben, und dieses Leben ist zu finden in der Gemeinschaft mit seinem Sohn."
3e050c005c	Wer den Sohn hat, der hat das Leben. Wer den Sohn Gottes nicht hat, der hat das Leben nicht.
3e050d0077	Dies schreibe ich euch, damit ihr wißt, daß ihr ewiges Leben habt: denn ihr glaubt ja an den Namen des Sohnes Gottes.
3e050e0070	Dies zuversichtliche Vertrauen haben wir zu ihm: Wenn wir nach seinem Willen um etwas bitten, so erhört er uns.
3e050f008c	Und wie wir wissen, daß er uns erhört auf unser Bitten, so wissen wir zugleich: wir werden das von ihm Erbetene auch sicherlich empfangen.
3e05100132	Sieht einer, daß sein Bruder eine Sünde tut, die nicht zum Tod führt, so bete er für ihn, und Gott wird diesem Bruder Leben geben — das heißt solchen, die nicht eine Sünde tun, die zum Tod führt. Es gibt wirklich Sünde, die zum Tod führt. Ich rede nicht davon, daß man bei solcher Sünde bitte.
3e0511004f	Jede Ungerechtigkeit ist Sünde. Aber es gibt Sünde, die nicht zum Tod führt.
3e0512008a	Wir wissen: wer aus Gott erzeugt ist, sündigt nicht; sondern der aus Gott Erzeugte ist auf seiner Hut, und der Böse tastet ihn nicht an.
3e05130051	Wir wissen: wir sind aus Gott, und die ganze Welt liegt in der Gewalt des Bösen.
3e05140115	Wir wissen aber: der Sohn Gottes ist gekommen und hat uns Verständnis gegeben, den Wahrhaftigen zu erkennen. Und wir stehen in Gemeinschaft mit dem Wahrhaftigen, weil wir in Gemeinschaft sind mit seinem Sohn Jesus Christus. Dieser ist der wahrhaftige Gott und das ewige Leben.
3e0515002f	Liebe Kinder, hütet euch vor den Truggebilden!
3f0000000a	2 Johannes
3f010100b5	Der Älteste entbietet seinen Gruß der auserwählten Herrin und ihren Kindern. Ich liebe euch in Wahrheit, doch nicht ich allein, sondern auch alle, die die Wahrheit erkannt haben:
3f01020062	ich liebe euch um der Wahrheit willen, die in uns wohnt, und die bei uns bleiben wird in Ewigkeit.
3f0103009e	Gnade, Barmherzigkeit und Friede von Gott dem Vater und von Jesus Christus, dem Sohn des Vaters, wird mit uns sein, (damit wir wachsen) in Wahrheit und Liebe.
3f01040081	Ich habe mich sehr gefreut, unter deinen Kindern solche zu finden, die in der Wahrheit wandeln, so wie uns der Vater geboten hat.
3f010500a1	Und nun bitte ich dich, Herrin — nicht als schriebe ich dir ein neues Gebot, sondern jenes, das wir von Anfang an gehabt haben —: "Laß uns einander lieben!"
3f01060098	Und darin zeigt sich die Liebe, daß wir nach seinen Geboten wandeln. Dies ist das Gebot: "Wandelt in der Liebe!" so wie ihr von Anfang an gehört habt.
3f010700b0	Denn viele Verführer sind ausgezogen in die Welt, die Jesus Christus nicht als den im Fleisch Erschienenen bekennen. Ein solcher Mensch ist der Verführer und der Widerchrist.
3f01080063	Seht euch vor, daß ihr nicht die Frucht eurer Arbeit verliert, sondern einen vollen Lohn empfangt!
3f010900a3	Wer über die rechte Grenze hinausgeht und nicht in der Lehre Christi bleibt, der hat keinen Gott. Wer aber in dieser Lehre bleibt, der hat den Vater und den Sohn.
3f010a0074	Kommt einer zu euch und bringt diese Lehre nicht, den nehmt nicht auf in euer Haus und bietet ihm auch keinen Gruß!
3f010b0043	Denn wer ihn grüßt, der ist mitschuldig an seinem bösen Treiben.
3f010c00cd	Ich hätte euch noch vieles mitzuteilen, aber ich mag es nicht tun mit Papier und Tinte. Ich hoffe vielmehr, zu euch zu kommen und mich mündlich mit euch auszusprechen, damit unsere Freude vollkommen sei.
3f010d003b	Es grüßen dich die Kinder deiner auserwählten Schwester.
400000000a	3 Johannes
400101004f	Der Älteste entbietet seinen Gruß dem lieben Gajus, den ich aufrichtig liebe.
40010200b7	Lieber Freund! Mein Wunsch und mein Gebet ist: wie es deiner Seele wohl geht, so möge es dir auch äußerlich und besonders in der leiblichen Gesundheit in jeder Hinsicht wohl gehen.
40010300c0	Es hat mich sehr gefreut, daß Brüder gekommen sind und sich lobend darüber ausgesprochen haben, wie aufrichtig du der Wahrheit ergeben bist und wie treu du sie durch deinen Wandel bezeugst.
4001040064	Eine größere Freude habe ich nicht, als wenn ich höre, daß meine Kinder in der Wahrheit wandeln.
4001050067	Mein Lieber, du erfüllst treulich deine Pflicht an den Brüdern, sogar an solchen, die dir fremd sind.
40010600da	Diese Brüder haben deine Liebe auch vor der (hiesigen) Gemeinde rühmend anerkannt. Du tust wohl daran, wenn du sie auch jetzt wieder freundlich aufnimmst und zur Weiterreise ausrüstest, wie es sich vor Gott geziemt.
4001070072	Denn sie sind ausgezogen, um den Namen zu verkünden, und dabei nehmen sie von den Heiden keine Unterstützung an.
400108006f	Darum ist es unsere Pflicht, uns solcher Männer anzunehmen, um so an der Ausbreitung der Wahrheit mitzuwirken.
400109008c	Ich habe der Gemeinde einige Zeilen geschrieben. Aber Diotrephes, der unter ihnen nach der ersten Stelle strebt, will von uns nichts wissen.
40010a00fa	Bei meinem Besuch will ich deshalb sein ganzes Treiben aufdecken: wie er uns mit bösen Reden verdächtigt und, damit nicht genug, auch die Brüder nicht aufnimmt und solche, die sie aufnehmen wollen, daran hindert, ja sogar aus der Gemeinde stößt.
40010b008d	Mein Lieber, folge nicht dem bösen Beispiel, sondern dem guten! Wer Gutes tut, der ist von Gott; wer Böses tut, der hat Gott nicht gesehen.
40010c00a3	Demetrius hat von allen, ja von der Wahrheit selbst, ein gutes Zeugnis empfangen. Auch wir geben ihm ein gutes Zeugnis; und du weißt, daß unser Zeugnis wahr ist.
40010d0056	Ich hätte dir noch vieles mitzuteilen, aber ich mag es nicht tun mit Tinte und Feder.
40010e00aa	Ich hoffe, dich bald zu sehen. Dann wollen wir mündlich miteinander reden. Friede sei mit dir! Die Freunde lassen dich grüßen. Grüße jeden einzelnen unserer Freunde!
4100000005	Judas
41010100a8	Judas, Jesu Christi Knecht und des Jakobus Bruder, begrüßt die (zum Heil) Berufenen, die mit Gott dem Vater in Liebe vereint und für Jesus Christus auserwählt sind.
410102003d	Barmherzigkeit, Friede und Liebe werde euch reichlich zuteil!
410103010e	Geliebte, während ich gerade mit allem Fleiß dabei bin, euch über unser gemeinsames Heil zu schreiben, sehe ich mich genötigt, euch (zunächst) in diesem Brief zu ermahnen, daß ihr für den Glauben kämpft, der den Heiligen ein für allemal überliefert worden ist.
4101040136	Denn es haben sich gewisse Leute heimlich (bei euch) eingeschlichen, die schon früher geschildert sind als solche, die unter dieses Urteil fallen: "Ruchlos sind sie; sie mißbrauchen die Gnade unseres Gottes, um ein Lasterleben zu führen, und verleugnen unseren alleinigen Gebieter und Herrn Jesus Christus."
41010500ca	Ich möchte euch nun daran erinnern, wenn euch das alles auch schon bekannt ist, daß der Herr, der zum zweiten Mal ein Volk aus Ägyptenland errettet hat, über die Ungläubigen Verderben kommen ließ.
41010600e1	Auch gewisse Engel, die ihre Herrscherstellung nicht behauptet, sondern die ihnen zugewiesene Wohnung verlassen haben, verwahrt er in der Finsternis, wo sie mit ewigen Ketten gebunden sind, für das Gericht des großen Tages.
41010700fb	Ebenso stehen uns Sodom und Gomorra mit ihren Nachbarstädten, die ähnlich wie die eben erwähnten Engel Unzucht getrieben haben und anderem Fleisch nachgegangen sind, als warnendes Beispiel vor Augen: sie leiden das Strafgericht eines ewigen Feuers.
41010800b2	Trotzdem beflecken auch diese Träumer in ähnlicher Weise ihren Leib. Sie wollen von einer Oberhoheit nichts wissen und (voll Hohn und Spott) lästern sie überirdische Mächte.
41010900dc	Nun hat nicht einmal der Erzengel Michael, als er mit dem Teufel über Moses Leichnam in Streit und Wortwechsel geriet, ein lästerndes Urteil über ihn auszusprechen gewagt; sondern er sagte nur: "Der Herr strafe dich!"
41010a009e	Diese Leute aber lästern das, was sie gar nicht kennen. Sie folgen den sinnlichen Trieben wie die unvernünftigen Tiere, und damit richten sie sich zugrunde.
41010b00ab	Weh ihnen! Sie sind auf dem Weg Kains gewandelt; aus Gewinnsucht haben sie sich in die Verführung Bileams gestürzt, und sie sind in ihrer Empörung umgekommen wie Korah.
41010c0131	Diese Menschen schmausen als Schandflecke schamlos mit bei euern Liebesmahlen und mästen sich. Sie sind Wolken ohne Wasser, die von den Winden hinweggetrieben werden. Sie gleichen Bäumen im Spätherbst, an denen man keine Frucht mehr findet. Ja sie sind zweimal erstorben und mit der Wurzel ausgerissen.
41010d008f	Wilde Meereswogen sind sie, die ihre eigene Schande ausschäumen. Irrsternen gleichen sie: die Dunkelheit der Finsternis erwartet sie auf ewig.
41010e0093	Ihnen gilt, was Henoch, Adams siebenter Nachkomme, geweissagt hat: "Der Herr", so spricht er, "ist gekommen mit viel tausend seiner heiligen Engel,
41010f00cb	um über alle Gericht zu halten und alle Gottlosen zu strafen wegen all ihrer ruchlosen Werke, womit sie gefrevelt, und wegen aller Lästerworte, die sie, die gottlosen Sünder, gegen ihn geredet haben."
41011000c4	Mit ihrer Stellung unzufrieden, murren diese Leute, während sie nach ihren Lüsten wandeln. Ihr Mund führt stolze Reden, und dabei kriechen sie vor solchen Leuten, von denen sie Gewinn erhoffen.
410111007e	Ihr aber, meine Lieben, erinnert euch der Worte, die von den Aposteln unseres Herrn Jesus Christus einst zu euch geredet sind!
4101120071	Sie haben euch gesagt: "In der letzten Zeit werden Spötter auftreten, die nach ihren gottlosen Lüsten wandeln."
4101130065	Dies sind Leute, die Spaltungen in den Gemeinden anrichten: sie sind seelisch und haben keinen Geist.
410114007d	Ihr aber, meine Lieben, erbaut euch auf dem Grund eures allerheiligsten Glaubens und betet in der Kraft des Heiligen Geistes!
410115008b	Bleibt dadurch fest in Gottes Liebe und wartet auf die Barmherzigkeit unseres Herrn Jesus Christus, die euch zum ewigen Leben führen wird!
4101160023	Mit den Schwankenden habt Erbarmen:
41011700aa	rettet sie und reißt sie aus dem Feuer! Auch den anderen helft in erbarmender Liebe! Doch seid dabei auf der Hut: verabscheut sogar das vom Fleisch befleckte Unterkleid!
410118008f	Dem aber, der euch vor allem Straucheln bewahren und tüchtig machen kann, unsträflich und mit Jauchzen zu erscheinen vor seiner Herrlichkeit:
41011900b4	ihm, dem alleinigen Gott, der uns errettet durch Jesus Christus, unseren Herrn, gebührt Herrlichkeit und Hoheit, Macht und Gewalt vor aller Zeit, jetzt und in alle Ewigkeit! Amen.
420000000b	Offenbarung
42010100d2	Dies ist eine Offenbarung Jesu Christi: / Gott hat sie ihm gegeben, um seinen Knechten kundzutun, was bald geschehen soll; und er hat sie durch seinen Engel seinem Knecht Johannes zugesandt und bekannt gemacht.
4201020088	Der hat dann das, was er gesehen, aufgezeichnet und bezeugt nunmehr, was Gott geredet und was Jesus Christus ihm als wahr verbürgt hat.
420103009c	Selig ist, der die Worte dieser Weissagung vorliest, und selig sind, die sie hören und zu Herzen nehmen, was darin geschrieben ist! Denn die Zeit ist nahe!
42010400ca	Johannes entbietet den sieben Gemeinden in Asien seinen Gruß. Gnade sei mit euch und Friede von dem, der da ist, der da war und der da kommt, und von den sieben Geistern, die vor dem Thron Gottes sind,
420105007f	und von Jesus Christus, dem zuverlässigen Zeugen dem Erstgeborenen von den Toten und dem Herrscher über die Könige der Erde!
42010600d9	Ihm, der uns geliebt und uns von unseren Sünden durch sein Blut erlöst und uns zu einem Königtum, zu Priestern für seinen Gott und Vater gemacht hat; ihm gebührt die Herrlichkeit und Macht in alle Ewigkeit! Amen.
42010700ae	Seht, er kommt in den Wolken! Jedes Auge wird ihn schauen, auch die, die ihn durchstochen haben, und bei seinem Anblick werden wehklagen alle Völker der Erde. Ja, so ist es!
420108006c	"Ich bin das A und das O", spricht Gott der Herr, der da ist, der da war und der da kommt, der Allgewaltige.
4201090108	Ich, Johannes, euer Bruder und euer Genosse in der Trübsal und auch in der Königsherrschaft und in der beharrlichen Hoffnung auf das Kommen Jesu, ich war auf der Insel, die Patmos heißt, weil ich Gottes Wort verkündigt und das Zeugnis von Jesus abgelegt hatte.
42010a0075	Da ward ich an des Herrn Tag vom Geist erfüllt. Ich hörte hinter mir eine laute Stimme gleich einem Posaunenschall,
42010b00c6	die sprach: "Was du siehst, das schreibe in ein Buch und sende es an die sieben Gemeinden: nach Ephesus, nach Smyrna, nach Pergamus, nach Thyatira, nach Sardes, nach Philadelphia und nach Laodizea."
42010c0076	Da wandte ich mich um nach der Stimme, die mit mir redete. Und als ich mich umwandte, sah ich sieben goldene Leuchter,
42010d00bb	und inmitten der Leuchter sah ich jemand, der einem Menschensohn glich: Er war bekleidet mit einem Mantel, der bis zu den Füßen reichte, und um die Brust trug er einen goldenen Gürtel.
42010e006f	Sein Haupt und seine Haare waren weiß wie weiße Wolle und wie Schnee; seine Augen waren wie eine Feuerflamme;
42010f007f	seine Füße glichen Silbererz, das im Feuerofen weißglühend geworden ist; seine Stimme klang wie das Rauschen vieler Wasser.
42011000a8	In seiner rechten Hand hielt er sieben Sterne; aus seinem Mund ging ein scharfes zweischneidiges Schwert, und sein Antlitz strahlte wie die Sonne in ihrer vollen Kraft.
4201110099	Als ich ihn sah, sank ich wie tot zu seinen Füßen. Er aber legte seine Hand auf mich und sprach: "Fürchte dich nicht! Ich bin der Erste und der Letzte
420112007f	und der Lebendige. Ich war tot, aber ich bin nun lebendig in alle Ewigkeit und habe die Schlüssel des Todes und der Unterwelt.
420113006c	Schreib nun (später) auf, was du gesehen hast: das, was jetzt schon ist, und das, was einst geschehen soll!
42011400f2	(Schreib jetzt zunächst) das Geheimnis der sieben Sterne, die du in meiner rechten Hand gesehen hast, und der sieben goldenen Leuchter! Die sieben Sterne sind die Engel der sieben Gemeinden, und die sieben Leuchter sind die sieben Gemeinden.
4202010099	Dem Engel der Gemeinde in Ephesus schreibe: So spricht, der die sieben Sterne in seiner Rechten hält, die inmitten der sieben goldenen Leuchter wandelt:
42020200e0	'Ich kenne deine Werke, deine unverdrossene Arbeit und deine Ausdauer. Ich weiß, du kannst böse Menschen nicht ertragen und hast die Leute, die sich fälschlich für Apostel ausgeben, geprüft und sie als Lügner entlarvt.
420203006a	Du zeigst auch Ausdauer und hast um meines Namens willen standhaft gelitten und bist nicht müde geworden.
420204004b	Aber ich habe wider dich, daß du nicht mehr in deiner ersten Liebe stehst.
42020500cd	Nimm darum zu Herzen, von welcher Höhe du gefallen bist! Ändere deinen Sinn und tu die ersten Werke! Sonst komme ich über dich und stoße deinen Leuchter von seiner Stätte, wenn du dich nicht bekehrst.
4202060057	Dies gereicht dir noch zum Lobe: du haßt die Werke der Nikolaiten, die ich auch hasse.
42020700a0	Wer Ohren hat, der höre, was der Geist den Gemeinden sagt! Dem Sieger will ich zu essen geben von der Frucht des Lebensbaumes, der in dem Paradies Gottes ist.'
420208006c	Dem Engel der Gemeinde in Smyrna schreibe: So spricht der Erste und der Letzte, der tot war und wieder lebt:
42020900ee	'Ich kenne deine Trübsal und deine Armut — doch du bist reich! — und ich weiß, wie du von denen gelästert wirst, die sich selbst (mit Stolz) Juden nennen; aber in Wirklichkeit sind sie's nicht, sondern sie sind eine Satansgemeinde.
42020a0127	Fürchte dich nicht vor dem, was du noch leiden sollst! Seht, der Teufel wird einige von euch ins Gefängnis bringen, damit ihr geprüft werdet; und ihr werdet eine Trübsal von zehn Tagen zu leiden haben. Bleib mir treu bis in den Tod, dann will ich dir das (ewige) Leben als Siegeskrone geben!
42020b0075	Wer Ohren hat, der höre, was der Geist den Gemeinden sagt! Dem Sieger soll kein Leid geschehen von dem zweiten Tod.'
42020c006a	Dem Engel der Gemeinde in Pergamus schreibe: / So spricht, der das scharfe, zweischneidige Schwert trägt:
42020d00f8	'Ich weiß, wo du wohnst: da, wo des Satans Thron ist. Doch du hältst fest an meinem Namen und hast den Glauben, den ich in dir gewirkt, nicht verleugnet in jenen Tagen, als Antipas, mein treuer Zeuge, bei euch, wo der Satan wohnt, getötet wurde.
