2800000008	Mateusza
35020b005b	Z tego powodu Bóg pozwoli, aby zostali zwiedzeni i by bezkrytycznie uwierzyli w kłamstwo.
35020c0079	Wszyscy oni zostaną osądzeni przez Boga, dlatego że woleli czerpać przyjemność z grzechu, niż uwierzyć w prawdę.
35020d010e	Przyjaciele, Bóg okazał wam ogromną miłość! Naprawdę mamy więc powód do tego, aby Mu zawsze za was dziękować! On wybrał was, dlatego jako jedni z pierwszych przyjęliście zbawienie, zostaliście oczyszczeni przez Ducha Świętego i uwierzyliście w prawdę.
35020e006d	Przez nas, Bóg oznajmił wam dobrą nowinę i zaprosił do udziału w chwale naszego Pana, Jezusa Chrystusa.
35020f008f	Dlatego, przyjaciele, bądźcie nieugięci i mocno trzymajcie się tego, czego was nauczaliśmy będąc u was, i o czym napisaliśmy w liście.
350210008b	Doświadczyliśmy miłości Pana, Jezusa Chrystusa, oraz łaski Boga, naszego Ojca, który zapewnił nam wieczną zachętę oraz nadzieję.
350211005c	Dlatego życzymy wam, aby Bóg pocieszył was i pomógł wam czynić i mówić to, co dobre.
35030100b5	Przyjaciele, kończąc ten list, pragniemy prosić was o modlitwę za nas. Módlcie się do Boga, abyśmy wszędzie mogli głosić Jego słowo i by ludzie przyjmowali je tak jak wy.
350302008a	Proście Go również o to, aby ochronił nas przed atakami ze strony złych i fałszywych ludzi—nie wszyscy bowiem chcą wierzyć Panu.
3503030043	On jest wierny i także wam doda sił oraz ochroni was przed złem.
350304006c	Dzięki Niemu mamy nadzieję, że postępujecie i nadal będziecie postępować zgodnie z naszym poleceniem.
350305006b	Modlę się do Pana, aby dał wam taką miłość, jaką ma Bóg, i taką cierpliwość, jaką ma Chrystus.
35030600c1	Przyjaciele, nakazujemy wam teraz w imieniu naszego Pana, Jezusa Chrystusa: Trzymajcie się z dala od każdego wierzącego, który marnuje czas i żyje niezgodnie z tym, czego was nauczyliśmy.
3503070060	Daliśmy wam przecież przykład tego, jak należy żyć. Będąc u was, nie marnowaliśmy czasu
35030800a3	i nie oczekiwaliśmy, że ktoś będzie nas utrzymywał. Wręcz przeciwnie, dniem i nocą ciężko pracowaliśmy, aby nie być dla nikogo finansowym obciążeniem.
3503090062	Choć mieliśmy prawo korzystać z waszej pomocy, chcieliśmy dać wam przykład do naśladowania.
35030a008d	Jeszcze podczas pobytu u was, poleciliśmy wam, abyście trzymali się zasady: „Jeśli ktoś nie chce pracować, niech również nie je”.
35030b007b	Ostatnio usłyszeliśmy jednak, że niektórzy z was marnują czas, unikają pracy i zajmują się niepotrzebnymi rzeczami.
35030c007d	W imieniu Pana, Jezusa Chrystusa, nakazujemy im, aby zabrali się do uczciwej pracy i zaczęli zarabiać na swoje utrzymanie.
35030d0046	A wy, przyjaciele, nie pozwólcie, aby zmęczyło was czynienie dobra.
35030e009b	Zwróćcie uwagę na tych, którzy nie będą posłuszni poleceniom przekazanym w tym liście, i unikajcie ich, aby w ten sposób poczuli się zawstydzeni.
35030f005e	Nie traktujcie ich jednak jak wrogów, ale jak przyjaciół, którzy potrzebują ostrzeżenia.
35031000b2	Niech Pan, który obdarza ludzi pokojem, daruje go również wam, niezależnie od okoliczności, w których się znajdziecie! I niech On sam zawsze będzie blisko was wszystkich!
3503110096	Teraz ja, Paweł, własnoręcznie dopisuję moje pozdrowienia, tak jak to czynię w każdym liście—na znak, że rzeczywiście pochodzi on ode mnie.
3503120046	Niech nasz Pan, Jezus Chrystus, obdarza was wszystkich swoją łaską!
360000000c	I Tymoteusza
360101008c	Ja, Paweł, powołany na apostoła Chrystusa Jezusa przez samego Boga, naszego Zbawiciela, i Chrystusa Jezusa, który jest naszą nadzieją,
36010200a1	piszę do ciebie, Tymoteuszu, mój prawdziwy synu w wierze. Niech Bóg Ojciec, i Chrystus Jezus, nasz Pan, obdarzają cię swoją łaską, miłością i pokojem!
3601030074	Udając się do Macedonii, poleciłem ci zostać w Efezie, abyś zabronił pewnym ludziom głoszenia błędnych nauk
36010400cc	oraz zajmowania się legendami i niekończącymi się rodowodami. Prowadzi to bowiem tylko do bezwartościowych spekulacji, a nie pomaga ludziom w poznaniu Bożego zbawienia, które przyjmuje się wiarą.
360105006f	Ty zaś pobudzaj wierzących do miłości—płynącej z czystego serca, prawego sumienia i autentycznej wiary.
3601060057	Niektórzy bowiem nie pojęli tych spraw i wciąż tracą czas na bezsensowne dyskusje.
360107006f	Chcą być nauczycielami Prawa Mojżesza, a nie mają zielonego pojęcia o tym, czego próbują nauczać ludzi.
3601080044	My wiemy, że Prawo jest dobre—jeśli się je prawidłowo stosuje.
3601090106	Wiemy też, że zostało ono ustanowione nie dla ludzi prawych, lecz dla tych, którzy łamią wszelkie zasady: dla zbuntowanych, bezbożnych, grzeszników, gardzących świętością, bluźnierców, morderców—posuwających się nawet do zabójstwa rodziców,
36010a00ee	ludzi prowadzących rozwiązłe życie, homoseksualistów, handlarzy żywym towarem, kłamców oraz tych, którzy fałszywie przysięgają. Prawo to zostało ustanowione dla wszystkich, których czyny przeciwstawiają się zdrowym zasadom
36010b0047	dobrej nowiny, przekazanej mi przez godnego chwały, wspaniałego Boga.
36010c00a7	Jestem niezmiernie wdzięczny Temu, który dodaje mi sił—Jezusowi Chrystusowi, naszemu Panu—za to, że zaufał mi i powierzył mi misję głoszenia dobrej nowiny.
36010d00c7	Dawniej obrażałem Go i prześladowałem oraz gnębiłem Jego wyznawców. On jednak okazał mi miłość, ponieważ byłem wtedy niewierzący i nawet nie zdawałem sobie sprawy z tego, co czyniłem.
36010e005f	Pan okazał mi wielką łaskę i wlał w moje serce wiarę i miłość samego Jezusa Chrystusa.
36010f009b	Prawdą, której w pełni można zaufać, jest to, że Jezus Chrystus przyszedł na ten świat, aby zbawić grzeszników—a ja byłem największym z nich!
36011000d9	Ale Bóg okazał mi miłość, aby na mnie pierwszym pokazać ludziom, jak wielka jest cierpliwość Chrystusa. Przez mój przykład Bóg zachęcił innych, aby również uwierzyli Jezusowi i otrzymali życie wieczne.
360111007f	Niech więc jedyny Bóg, który jest nieśmiertelnym i niewidzialnym Królem wieków, będzie otoczony wieczną chwałą. Amen!
36011200a0	Tymoteuszu, jesteś mi jak rodzony syn! Zgodnie z wcześniejszymi proroctwami, nakazuję ci więc, abyś jako żołnierz Pana dzielnie walczył w tej służbie,
3601130066	zachowując wiarę i czyste sumienie. Niektórzy bowiem zatracili je i stali się rozbitkami w wierze.
3601140075	Przykładem takich ludzi są Hymenajos i Aleksander, których oddałem w ręce szatana, aby przestali obrażać Boga.
360201007c	Gorąco zachęcam was do modlitwy za wszystkich ludzi. Proście i błagajcie Boga, aby im pomagał i dziękujcie Mu za nich.
360202009a	Módlcie się również za rządzących i wszystkich sprawujących władzę, abyśmy mogli żyć w pokoju, zachowując godność i oddając chwałę Panu.
3602030048	Takie postępowanie jest dobre i podoba się Bogu, naszemu Zbawicielowi,
3602040041	który pragnie zbawić i doprowadzić do prawdy wszystkich ludzi.
3602050066	Istnieje bowiem tylko jeden Bóg i jeden pośrednik między Nim a ludźmi: Człowiek—Chrystus Jezus.
3602060072	To On złożył siebie jako okup za wszystkich ludzi. We właściwym czasie prawda ta została oznajmiona światu.
36020700b0	Mnie zaś Bóg wybrał na apostoła i nakazał mi głosić tę nowinę poganom, nauczając ich wiary i prawdy. Jest to prawdziwe Boże powołanie. Mówiąc o tym, nie kłamię.
3602080098	Proszę więc, aby na spotkaniach mężczyźni modlili się wznosząc ku Bogu czyste ręce i mając serca wolne od gniewu oraz złości na innych ludzi.
36020900b7	Kobiety zaś, przychodząc na spotkania, niech się odpowiednio ubierają—skromnie i niewyzywająco. Niech nie zwracają na siebie uwagi fryzurą, biżuterią czy modnymi ubraniami.
36020a0059	Prawdziwą ozdobą kobiet, które kochają Boga, powinno być bowiem dobre postępowanie.
36020b0044	Na spotkaniach niech słuchają i uczą się w pokoju i uległości.
36020c005a	Nie zgadzam się, aby nauczały i rządziły swoimi mężami, ale niech zachowują pokój.
36020d0038	To Adam został bowiem stworzony jako pierwszy, nie Ewa.
36020e005c	I nie on został oszukany przez szatana, lecz Ewa—to ona bowiem zgrzeszyła jako pierwsza.
36020f00a2	Kobiety dostąpią jednak zbawienia poprzez macierzyństwo, jeśli będą wierzyć Chrystusowi, okazywać innym miłość oraz prowadzić czyste i skromne życie.
3603010055	To prawda, że ten, kto chce być duchowym przywódcą, pragnie szlachetnego zadania.
3603020086	Musi to być jednak człowiek bez zarzutu: wierny swojej żonie, opanowany, rozsądny, moralny, gościnny, potrafiący nauczać ludzi,
3603030085	nie zaś pijak i awanturnik. Człowiek ten musi być łagodnie usposobiony i nieskłonny do kłótni. Nie może też być zachłanny.
360304005f	Musi dobrze zarządzać swoim domem i mieć dobrze wychowane dzieci, które szanują rodziców.
3603050070	Jeśli bowiem ktoś nie potrafi poradzić sobie z własną rodziną, to jak może dbać o członków kościoła?
3603060096	Przywódca nie może być również osobą nowo nawróconą, ponieważ mógłby popaść w pychę i—tak jak diabeł—zostać potępiony przez Boga.
3603070093	Powinien też cieszyć się dobrą opinią u ludzi spoza kościoła, aby nie był przez nich o nic oskarżany i aby nie wpadł w pułapkę diabła.
36030800a9	Również pomocnicy przywódców mają być ludźmi godnymi szacunku i nieobłudnymi. Nie mogą to być pijacy ani osoby, które za wszelką cenę chcą się wzbogacić.
360309004c	Z czystym sumieniem mają się wiernie trzymać wiary objawionej przez Boga.
36030a004e	Zanim rozpoczną służbę, muszą najpierw pomyślnie przejść okres próby.
36030b00bc	Jeśli chodzi o kobiety, to one również muszą być osobami godnymi szacunku. Nie powinny zajmować się obmawianiem innych ludzi, ale mają być opanowane i we wszystkim godne zaufania.
36030c0077	Pomocnicy mają być wierni swym żonom. Powinni też dobrze wychowywać dzieci i przykładnie zarządzać swoim domem.
36030d0099	Ci, którzy dobrze sprawują swoją służbę, zyskują szacunek u innych i umacniają swoją wiarę—coraz bardziej ufają bowiem Chrystusowi Jezusowi.
36030e005a	Choć mam nadzieję, że wkrótce do ciebie przybędę, piszę o tym wszystkim na wypadek,
36030f00a2	gdyby mój przyjazd się opóźnił. Pragnę bowiem, abyś wiedział, jak kierować domem Bożym, który jest kościołem żywego Boga, filarem i podporą prawdy.
3603100116	Tajemnica naszej wiary jest wielka: Chrystus objawił się w ludzkim ciele, a Jego prawość została potwierdzona przez Ducha. Ukazał się aniołom i opowiedziano o Nim poganom, dlatego uwierzyli Mu ludzie z całego świata. On zaś został zabrany do swojej chwały w niebie.
36040100b9	Duch Święty wyraźnie zapowiada, że w czasach ostatecznych niektórzy przestaną wierzyć Chrystusowi i dadzą się oszukać złym duchom oraz przyjmą nauki pochodzące od demonów.
3604020061	Ludzie, którzy je głoszą, to kłamcy i obłudnicy—czyniąc zło, zagłuszyli swoje sumienie.
36040300cc	Będą oni zabraniać zawierania związków małżeńskich i spożywania niektórych pokarmów, a przecież Bóg stworzył je, aby wierzący, którzy poznali prawdę, z wdzięcznością z nich korzystali.
3604040071	Wszystko bowiem, co Bóg stworzył, jest dobre, i niczego, co z wdzięcznością przyjmujemy, nie musimy unikać.
3604050079	Dziękując Bogu za pożywienie i postępując zgodnie z Jego słowem, sprawiamy, że każdy nasz posiłek jest święty.
36040600ca	Wyjaśniając te sprawy innym wierzącym, będziesz dobrym sługą Chrystusa Jezusa. W ten sposób udowodnisz również, że karmiłeś się Jego prawdziwą nauką o wierze i że jesteś jej posłuszny.
360407005c	Nie trać czasu na bezsensowne i bezwartościowe historie, ale dbaj o swój duchowy rozwój.
36040800af	Ćwiczenia fizyczne mają ograniczoną wartość, ale dobra kondycja duchowa przydaje się w każdej sytuacji i będzie nagrodzona zarówno w życiu obecnym, jak i przyszłym.
3604090032	Nauka ta jest wiarygodna i zasługuje na zaufanie.
36040a009a	To dlatego tak ciężko pracujemy i walczymy. Pokładamy bowiem nadzieję w żywym Bogu, Zbawicielu wszystkich ludzi—zwłaszcza tych, który Mu wierzą.
36040b003e	Nauczaj tych rzeczy i wzywaj ludzi do ich stosowania w życiu.
36040c00cb	Niech nikt nie lekceważy cię z powodu twojego młodego wieku. Przeciwnie, bądź wzorem dla innych wierzących w sposobie mówienia i zachowania, w okazywaniu miłości, a także w wierze i czystości.
36040d006c	Do czasu mojego przybycia czytaj słowo Boże, zwracaj uwagę innym wierzącym na ich grzechy i nauczaj ich.
36040e007a	Nie zaniedbuj swojego duchowego daru, który otrzymałeś, gdy starsi kościoła położyli na ciebie ręce i prorokowali.
36040f005c	Bez reszty poświęć się służbie, aby wszyscy wyraźnie widzieli twoje duchowe postępy.
3604100083	Uważaj na siebie i na to, co głosisz. Trzymaj się tego, co słuszne, a zapewnisz zbawienie sobie i tym, którzy cię słuchają.
360501009a	Starszym mężczyznom nie zwracaj uwagi w surowy sposób, ale czyń to tak, jak byś rozmawiał z własnym ojcem. Młodszych mężczyzn traktuj jak braci,
3605020052	starsze kobiety—jak matki, a młodsze—jak siostry, zachowując czyste relacje.
3605030053	Szczególną troską otaczaj wdowy, które są pozbawione pomocy ze strony rodziny.
36050400ba	Jeśli jednak wdowa ma dzieci lub wnuki, to one powinny opiekować się nią. W ten sposób okażą jej wdzięczność i oddadzą chwałę Bogu, któremu bardzo podoba się taka postawa.
36050500aa	Jako kościół powinniście troszczyć się o te wdowy, które są zupełnie samotne i swoją nadzieję na pomoc pokładają w Bogu, modląc się do Niego dniem i nocą.
360506004f	Te zaś, które szukają wrażeń, są duchowo martwe, mimo że jeszcze żyją.
3605070074	Postępuj według tych zasad, aby wdowom, które są pod opieką kościoła, nie zarzucano niestosownego zachowania.
3605080067	Ten zaś, kto nie dba o swoich najbliższych, zaprzecza temu, w co wierzymy, i jest gorszy od poganina.
3605090072	Z pomocy kościoła może korzystać wdowa, która ukończyła sześćdziesiąt lat, była wierna swojemu mężowi
36050a00b9	i cieszy się dobrą opinią, ponieważ dobrze wychowała dzieci, była gościnna, uczynna dla wierzących, pomagała potrzebującym i chętnie podejmowała się innych dobrych czynów.
36050b008e	Młodszych wdów nie zaliczaj do tej grupy, gdyż czasem, z powodu swoich pragnień, odchodzą od Chrystusa i chcą ponownie wyjść za mąż.
36050c005f	W ten sposób ściągają na siebie potępienie, ponieważ łamią wcześniejsze zobowiązanie.
36050d00c9	Poza tym popadają w bezczynność i wciąż przesiadują w domach innych ludzi. Nic nie robią a na dodatek zajmują się plotkami, wtrącają się do cudzych spraw i wywołują niepotrzebne dyskusje.
36050e00aa	Uważam więc, że młodsze wdowy powinny raczej wychodzić za mąż, mieć dzieci oraz zajmować się domem—i nie dawać przeciwnikowi żadnych powodów do oskarżeń.
36050f003e	Niektóre bowiem zeszły z prawej drogi i poszły za szatanem.
36051000d1	Jeśli jakaś wierząca kobieta ma w rodzinie wdowy, niech się o nie zatroszczy i nie zrzuca tego obowiązku na kościół. Wtedy będzie on mógł się zająć się wdowami, które są zupełnie osamotnione.
36051100a4	Starsi kościoła, którzy dobrze go prowadzą, powinni być podwójnie wynagradzani, zwłaszcza ci, którzy wykonują trudną pracę głoszenia słowa i nauczania.
360512008b	Pismo mówi przecież: „Nie będziesz zawiązywał pyska wołowi, który młóci zboże” oraz: „Robotnicy mają prawo do zapłaty”.
3605130071	Nie przyjmuj oskarżenia przeciwko starszemu, chyba że jest ono potwierdzone przez dwóch lub trzech świadków.
3605140096	Jeśli jednak okaże się, że starszy rzeczywiście zgrzeszył, zwróć mu uwagę w obecności całego kościoła, aby i inni mieli respekt dla Boga.
36051500c4	Stojąc przed obliczem Boga i Chrystusa Jezusa oraz świętych aniołów, wzywam cię, abyś bezwzględnie przestrzegał tych zaleceń i nie kierował się osobistymi uprzedzeniami czy sympatiami.
360516008e	Za szybko nie kładź na nikogo rąk, wyznaczając go do służby. Nie miej też udziału w grzechach innych ludzi—pilnuj swojej czystości.
3605170062	Nie pij już samej wody. Ze względu na twoje problemy z żołądkiem, pij również trochę wina.
36051800c1	Grzechy niektórych ludzi są jawne i już teraz wiadomo, że czeka ich za to sąd. Ale są i tacy ludzie, których grzechów na razie nie widać, i zostaną one ujawnione dopiero w dniu sądu.
3605190069	Podobnie jest z dobrymi czynami—niektóre są znane już teraz, inne zaś zostaną ujawnione później.
36060100b4	Wierzący niewolnicy powinni z całym szacunkiem odnosić się do swoich panów, aby nikt, z powodu ich niewłaściwego zachowania, nie obrażał Boga i nie wyśmiewał Jego nauki.
3606020102	Jeśli mają wierzących panów, niech ich nie lekceważą. Wręcz przeciwnie, niech pracują dla nich jeszcze lepiej, bo w ten sposób pomogą tym, którzy wierzą Panu i są ukochani przez Boga. Nauczaj tych zasad i zachęcaj innych do życia według nich.
3606030099	Jeśli ktoś naucza inaczej, to nie trzyma się zdrowej nauki naszego Pana, Jezusa Chrystusa, która prowadzi do zbawienia i pokazuje ludziom, jak żyć.
36060400dd	Nauczyciele ci są zarozumiali, choć niewiele wiedzą. Mają też obsesję na punkcie dyskusji i sporów o znaczenie poszczególnych słów. Ich zachowanie prowadzi do zawiści, kłótni, wyzwisk, złośliwych podejrzeń
3606050098	i niekończących się sporów. Ludzie ci stracili zdrowy rozsądek i odrzucili prawdę, uważając, że na pobożności można zrobić niezły interes.
3606060082	To prawda, że pobożność prowadzi do bogactwa, ale bogactwo to polega na tym, że człowiek zadowala się tym, co już posiada.
360607005c	Niczego przecież nie przynieśliśmy ze sobą na ten świat i niczego stąd nie zabierzemy.
3606080044	Bądźmy więc zadowoleni, jeśli mamy co jeść i w co się ubrać.
36060900ce	Ci zaś, którzy marzą o bogactwie, narażają się na różne pokusy i pułapki oraz stają się niewolnikami wielu bezsensownych i szkodliwych pragnień. One to potrafią zrujnować całe ludzkie życie.
36060a00b4	Miłość do pieniędzy jest bowiem przyczyną wszelkiego rodzaju złych czynów. Dla pieniędzy niektórzy odwrócili się nawet od Boga i sami przysporzyli sobie wielu cierpień.
36060b00b3	Tymoteuszu, wiem, że kochasz Boga. Uciekaj więc przed całym tym złem i żyj tak, aby podobać się Panu. Zabiegaj o prawość, wiarę, miłość, wytrwałość i łagodność.
36060c00c3	Dzielnie walcz o Bożą sprawę. Mocno trzymaj się obietnicy dotyczącej wiecznego życia, do którego powołał cię Bóg i o którym tak przekonująco mówiłeś w obecności wielu świadków.
36060d008f	Stojąc przed obliczem Boga, który obdarza życiem, i Chrystusa Jezusa, który odważnie oznajmił prawdę Poncjuszowi Piłatowi, wzywam cię,
36060e007f	abyś bez żadnych zastrzeżeń spełniał wszystko, co ci nakazałem. Czyń tak aż do powrotu naszego Pana, Jezusa Chrystusa!
36060f0084	On wróci w dniu wyznaczonym przez naszego wspaniałego Boga, który jest Władcą całego świata, Królem królów i Panem panów.
36061000cc	Tylko On jest nieśmiertelny sam z siebie i żyje w olśniewającej światłości—żaden człowiek nie widział Go i nie może zobaczyć. Jemu należy się cześć i wieczna władza nad wszystkim. Amen!
36061100d1	Ludziom zamożnym przypominaj, aby nie byli zarozumiali. Niech nie polegają na swoim bogactwie, które jest tak bardzo niepewne, ale na Bogu, który hojnie obdarza nas wszystkim, czego potrzebujemy do życia.
3606120083	Niech wydają pieniądze na dobre cele i bogacą się w dobre czyny. Niech pomagają potrzebującym, chętnie dzielą się z innymi
3606130089	i gromadzą prawdziwe skarby w niebie, które są jedyną pewną lokatą na całą wieczność. W ten sposób zdobędą prawdziwe życie.
36061400be	Mój Tymoteuszu, pilnuj tego, co Bóg dał ci pod opiekę. Unikaj bezsensownych i bezwartościowych dyskusji oraz sporów wywoływanych prze ludzi, którzy uważają się za bardzo mądrych.
3606150055	To przez ich nauki niektórzy stracili wiarę. Niech Bóg obdarza was swoją łaską!
370000000d	II Tymoteusza
370101006d	Ja, Paweł, powołany przez Boga na apostoła Chrystusa Jezusa, i głoszący ludziom obiecane życie wieczne,
37010200a6	piszę do ciebie, Tymoteuszu. Jesteś mi bowiem jak rodzony syn. Niech Bóg Ojciec, i Chrystus Jezus, nasz Pan, obdarzają cię swoją łaską, miłością i pokojem.
37010300db	Podobnie jak moi przodkowie, tak i ja z czystym sumieniem służę Bogu. A zawsze, gdy modlę się do Niego—we dnie czy w nocy—dziękuję Mu za ciebie, drogi Tymoteuszu, i proszę Go, aby miał Cię w swojej opiece.
370104005b	Chciałbym znowu cię zobaczyć i doznać radości, bo mam w pamięci twoje łzy rozstania.
37010500be	Dobrze pamiętam również, że szczerze uwierzyłeś Chrystusowi, podobnie jak to wcześniej uczyniła twoja babcia—Lois i mama—Eunika. Jestem pewien, że masz w sercu tę samą wiarę.
3701060095	Dlatego ponownie pragnę cię zachęcić, abyś w pełni wykorzystał ten duchowy dar, który otrzymałeś od Boga, gdy położyłem na ciebie ręce.
3701070067	Bóg nie obdarował nas strachem, ale—poprzez Ducha Świętego—dał nam moc, miłość i rozsądek.
370108010b	Nie wstydź się mówić ludziom o naszym Panu oraz przyznawać się do mnie, który—z powodu wierności Chrystusowi—trafiłem do więzienia. Wierz w to, że Bóg da ci siłę, i—podobnie jak ja—bądź gotowy cierpieć z powodu głoszenia innym dobrej nowiny.
37010900d3	To On zbawił nas i powołał do życia w świętości. Uczynił to jednak nie ze względu na nasze osiągnięcia, ale z własnej woli i dzięki łasce Chrystusa Jezusa. Zaplanował to już bowiem przed wiekami,
37010a00c4	a teraz ujawnił ten plan, posyłając na świat naszego Zbawiciela—Chrystusa Jezusa. On pokonał śmierć i dzięki swojej dobrej nowinie wskazał ludziom drogę do życia i nieśmiertelności.
37010b004e	Mnie zaś uczynił apostołem i nauczycielem, abym wszystkim o tym opowiadał.
37010c00dd	Z tego właśnie powodu spotykają mnie cierpienia. Nie wstydzę się jednak tego, bo wiem, komu uwierzyłem. Jestem też pewien, że Chrystus—aż do dnia swojego powrotu—może ochronić wszystko to, co mi powierzył.
37010d0075	Trzymaj się więc zdrowych zasad, które ode mnie usłyszałeś, i naśladuj wiarę oraz miłość samego Chrystusa.
37010e0063	Z pomocą Ducha Świętego, który w tobie mieszka, pilnuj tego wszystkiego, co ci powierzył Bóg.
37010f0072	Jak już wiesz, opuścili mnie wszyscy wierzący, którzy przybyli tu z Azji, między innymi Figelos i Hermogenes.
3701100099	Niech Bóg ma w swojej opiece Onezyfora i jego bliskich. Często bowiem podnosił mnie na duchu i wcale nie wstydził się tego, że jestem w więzieniu.
370111005e	Wręcz przeciwnie, gdy przybył do Rzymu, wszędzie mnie szukał, aż wreszcie mnie odnalazł.
3701120098	Sam zresztą dobrze wiesz, że już wcześniej bardzo pomagał mi w czasie mojego pobytu w Efezie. Niech Pan okaże mu miłość w dniu swojego powrotu.
370201006c	Tymoteuszu, mój synu, niech łaska, którą okazał ci Chrystus Jezus, będzie dla ciebie źródłem siły.
3702020098	Wszystko to, co słyszałeś ode mnie w obecności wielu świadków, przekaż ludziom godnym zaufania, którzy z kolei będą potrafili nauczać innych.
370203006a	Jako dobry żołnierz Chrystusa, bądź gotowy na to, że—podobnie jak mnie—spotkają cię cierpienia.
3702040095	Żołnierze starają się wykonywać rozkazy dowódcy, to jest ich najważniejszy cel i nie zajmują się niczym, co mogłoby im w tym przeszkodzić.
3702050075	Również sportowcy, walczący na stadionie, przestrzegają ustalonych zasad, ich celem jest bowiem zdobycie nagrody.
370206005b	Podobnie rolnicy, ciężko pracujący w polu, jako pierwsi korzystają z zebranych plonów.
3702070041	Dobrze przemyśl te słowa, a Pan pomoże ci wszystko zrozumieć.
370208009b	Zawsze pamiętaj o Jezusie Chrystusie, który pochodzi z rodu króla Dawida i który zmartwychwstał. To On jest treścią dobrej nowiny, którą głoszę.
37020900a1	Z jej powodu teraz cierpię, siedzę bowiem w więzieniu i jestem traktowany jak jakiś groźny przestępca, ale Słowa Bożego nie da się zamknąć za kratami!
37020a008c	Dlatego jestem gotów dalej znosić cierpienia, aby tylko wybrani przez Boga zostali zbawieni przez Chrystusa i dostąpili wiecznej chwały.
37020b005e	Oto prawda, której w pełni można zaufać: Jeśli z Panem umarliśmy, będziemy z Nim żyć.
37020c0065	Jeśli dla Niego cierpimy, będziemy z Nim królować. Jeśli się Go wyprzemy, i On się nas wyprze.
37020d006f	Jeśli jednak nie jesteśmy Mu wierni, On, mimo to, pozostaje wierny, bo nie może zaprzeć się samego siebie.
37020e0100	Biorąc Boga na świadka, przypominaj te prawdy wszystkim wierzącym, aby nie spierali się już o znaczenie poszczególnych słów. Takie bezsensowne dyskusje do niczego bowiem nie prowadzą, przynoszą jedynie szkodę tym, którzy się im przysłuchują.
37020f0062	Staraj się, aby Bóg uznał cię za wzorowego pracownika, który właściwie naucza ludzi prawdy.
370210005c	Unikaj zaś pustych, bezsensownych rozmów, które coraz bardziej odciągają ludzi od Boga.
3702110067	Takie bezwartościowe dyskusje przypominają zaraźliwą chorobę. Ulegli jej już Hymenajos i Filetos,
370212007f	którzy odeszli od prawdy, głosząc, że zmartwychwstanie już nastąpiło. W ten sposób podkopują wiarę niektórych ludzi.
37021300b9	Boża prawda jest jednak jak niewzruszony fundament, opatrzony napisem: „Pan zna tych, którzy do Niego należą” oraz „Każdy, kto się przyznaje do Pana, musi porzucić zło”.
37021400a7	W bogatym domu znajdują się naczynia ze złota i srebra, ale także z drewna i gliny. Te pierwsze są odświętne, drugie zaś—przeznaczone do codziennego użytku.
37021500ba	Jeśli ktoś oczyści się z wszelkiego zła, będzie jak to odświętne naczynie, lśniąco czyste, bardzo przydatne dla Pana i gotowe służyć Mu zawsze, gdy zaistnieje taka potrzeba.
37021600e8	Tymoteuszu, nie ulegaj złym pragnieniom, przez które wielu innych młodych ludzi popada w grzech. Zabiegaj raczej o prawość, wiarę, miłość, pokój i współdziałaj z tymi, którzy mają czyste serca i oddają chwałę Panu.
3702170058	Unikaj natomiast pustych i bezsensownych dyskusji, prowadzących jedynie do konfliktów.
37021800a5	Ten, kto pracuje dla Pana, nie powinien wdawać się w kłótnie z ludźmi, ale okazywać wszystkim serdeczność i cierpliwość. Powinien również nauczać innych
3702190098	i w łagodny sposób zwracać uwagę tym, którzy się sprzeciwiają prawdzie. Być może Bóg sprawi kiedyś, że opamiętają się i przyjmą prawdę,
37021a0059	a wtedy wyrwą się z pułapki diabła, który teraz zmusza ich do wykonywania jego woli.
3703010044	Musisz wiedzieć, że w czasach ostatecznych nadejdą trudne chwile.
37030200ad	Ludzie będą bowiem bardzo samolubni i zachłanni. Staną się pewni siebie i zarozumiali. Zaczną obrażać Boga i lekceważyć rodziców. Będą niewdzięczni, bezbożni,
3703030050	nieczuli, nieustępliwi, fałszywi, nieopanowani, okrutni i nienawidzący dobra.
370304006f	Staną się podstępni, impulsywni i próżni. Ich własne przyjemności będą dla nich ważniejsze niż Bóg.
37030500a7	Ludzie ci będą zachowywać pozory pobożności, w rzeczywistości jednak ich życie będzie miało niewiele wspólnego z Bogiem. Takich osób strzeż się jak ognia.
3703060071	Z nich bowiem wywodzą się ci, którzy krążą po domach i uwodzą kobiety opanowane przez grzeszne pragnienia.
370307004a	One to ciągle słuchają nowych nauk, ale nigdy nie mogą poznać prawdy.
37030800c8	Podobnie jak niegdyś Jannes i Jambres zbuntowali się przeciwko Mojżeszowi, tak samo ci nauczyciele sprzeciwiają się prawdzie. Ludzie ci stracili zdrowy rozsądek a ich wiara nie przeszła próby.
3703090085	Nie zajdą jednak zbyt daleko, bo ich głupota—podobnie jak to było w przypadku Jannesa i Jambresa—już niebawem wyjdzie na jaw.
37030a00be	Ty jednak przyjąłeś moją naukę, naśladujesz mój styl życia i dążysz do tego samego celu, co ja. Poszedłeś również śladem mojej wiary, cierpliwości, miłości i wytrwałości,
37030b00c9	a nawet moich prześladowań i cierpień, jakich doznałem w Antiochii, Ikonium i Listrze. Często bowiem spotykały mnie różne prześladowania, za każdym razem jednak Pan przychodził mi z pomocą.
37030c0058	Wszyscy, którzy chcą podobać się Chrystusowi, mogą się spodziewać prześladowań.
