2800000007	Amatayo
280e02009f	Bahi, bhakaalobholela akaatumichi bhabhe, “Habha amundu nga Ayohana Ambatichaji bhabhatekuyoka, nga maana machili gakangachika gatenda lihengo nkati jabhe”
280e0300a0	Ahelode nga bhabhakaakamula Ayohana na kwaatabha mu nyuumba ja kwaatabhila bhandu, ligongo lya Ahelodia, bhabhakibha hanu bha Afilipo, anung'una bhabhe Ahelode.
280e040087	Ligongo mala hijingi Ayohana bhatendita kwaalobholela Ahelode kubhee, “Ngapaalikwa mwenga kuntola haikege hojo kubhehe hanu bhinu!”
280e050080	Ahelode bhakapala kwaakoma Ayohana, nambo bhakajogopa bhandu ligongo bhakahobhalelanga kubhee Ayohana nga alondohi bha Annoongo.
280e060096	Palikahika lichobha lya kuhangalala lya kubhelekwa kwa Ahelode, mwana bha Ahelodia bhakahina nnoongi ja akaageni. Ahelodia bhakaachuka muntima gwabhe,
280e070049	mpaka Ahelode bhakalapila kwaapekea jono mwali choachela chibhapakwajopa.
280e080078	Na kongo bhabhi kulobholelwa na anyongo bhabhe, bhakajopa, “Mbekee pambani mutwe gwa Ayohana Ambatichaji muchipalo.”
280e090073	Amwenye Ahelode bhakaechuka, nambo ligongo lya konikola kulapila kwabhe nnoongi ja akaageni bhakakulumikia bhapate.
280e0a0065	Bahi, Ahelode bhakaatuma linyemba bhajende mu nyuumba ja kutabhila bhandu bhakaahekete mutwe Ayohana.
280e0b006c	Mutwe gwabhe gukaletwa muchipalo, bhakaapekea bhenibhala haikege, na bhenabho bhakaapelekela anyongo bhabhe.
280e0c0082	Bhabhaajigana Ayohana bhakahika, bhakagutola malilo ga Ayohana, bhakajenda kuguchika. Ngapena bhakajaula kwaapelekela ngani Ayesu.
280e0d00c3	Ayesu pabhakajoha genago, bhakabhoka penapo kwa ntumbwi bhakajenda panga bhandu ili bhabhee jika jabhe. Nambo bhandu pabhakapata ngani hejo, bhakaakagula kwa makongono kubhoka mu hilambo hijingi.
280e0e0086	Ayesu pabhakahika kuntundu ja litanda, bhakalibhona lilubhalo likolongwa lya bhandu bhakaakolela kiha na bhakaalamia akaatamwa bhabhe.
280e0f00d1	Pajikahika kimuho, bhabhachijigana bhabhe bhakaajendelela na kwaalobholela, “Pamba palulemba, na lyobha litekutipika, mwalekange bhandu bhajaulange mu hilambo yabhenji bhakaemelange chakulya bhalyangange.”
280e100055	Ayesu bhakaalobholelanga, “Ngabha mpaka bhajaulange, mwangota mwapekee chakulya.”
280e110050	Nambo bhenaangota bhakaalobholela, “Tukweti mikate nhano na homba bhabhele.”
280e120033	Ayesu bhakaalobholelanga, “Nnetelange pambani.”
280e13011a	Bhakaalobholela bhandu bhatamange mu manyai. Ngapena Ayesu bhakajitola jela mikate nhano na bhenibhala homba bhabhele, bhakalola kunani kulihunde kwa Annoongo, bhakaajopa Annoongo. Penapo bhakahimetula jenijela mikate bhakaapekea bhabhaajigana ili na bhenaangota bhabhapekee bhandu.
280e14008f	Bhandu bhoa bhakalyee na kujukuta. Kubhoka penapo bhabhachijigana nga bhakalokota mbakatika hihikagalila, bhakatweelela hikapo komi na jibhele.
280e15005b	Bhandu bhabhakalyee bhakibha akanalome elupu nhano, pangali kubhalangala haikege na bhaana.
280e1600b5	Popopo, Ayesu akaalobholela bhabhaajigana bhabhe bhajingilange muntumbwi bhalongolele kujaula kuntundu ja litanda, gono muda bhenabho Ayesu bhatenda kugatabhuka malubhalo ga bhandu.
280e170085	Ayesu pabhakajomola kwaatabhuka bhandu, bhakakwela palitombi kwaajopa Annoongo, bhakibha konokwe jikajabhe mpaka lubhendu palikahika,
280e180076	na gono muda gonigola ntumbwi gukahika kubhandikila pakati ja litanda, nambo ntumbwi gukapukunywa pukunywa na mboongo.
280e190061	Kilo, kubhandikila na kuchee, Ayesu bhakaajendelela bhabhaajigana bhabhi kujenda panani ja machi.
280e1a0093	Bhabhaajigana bhabhe pabhakalola bhabhi kujenda panani ja machi bhakajogopa muno, bhakalobhola, “Nga liimwi!” Bhakapotanga nyenye kwa kujogopa.
280e1b004d	Nambo Ayesu akaalobholelanga, “Nkoto kujogopanga, nkotokange, nga nenga!”
280e1c0079	Apetulo bhakaalobholela, “Hangwana, handa nga mwenga kweli, nnobholele nenga nihike panani ja machi konokwe kummile.”
280e1d0089	Ayesu bhakaalobholela, “Bahi nhike” Bahi Apetulo bhakatuluka kubhoka mu gonigola ntumbwi, akajenda panani ja machi, kwaakagula Ayesu.
280e1e0087	Apetulo pabhakabhona jenijela mboongo, bhakajogopa, bhakajemeka kutibhila, bhakaguta kwa lilobhe likolongwa, “Hangwana, nnjobhole!”
280e1f008c	Penapo, Ayesu bhakagunyulula lubhoko lwabhe, bhakaakamula na kwaalobholela, “Mwe mmi na kuhobhalela kachoko! Kwaniki mkibha na lipamba?”
280e200036	Ngapena bhakajingila muntumbwi, na mboongo jikakotoka.
280e21009a	Bhabhaajigana bhoa bhabhakibha nkati ja ntumbwi nga bhakatindibhala majugwa na kwaakotimia Ayesu, bhakalobhala, “Kweli mwenga nga Mwana bha Annoongo.”
280e22003d	Bhakajomboka litanda, bhakahika kuchilambo cha ku Genesaleti.
280e23009a	Bhandu bha konokwe pabhakaamanya bhabhatenda yeneyo nga Ayesu. Bhakajijenea ngani yoa mu hilambo yakubhandikila. Bhandu bhakaaletela Ayesu akaatamwa bhoa,
280e240066	bhakaajopa akaatamwa bhalebhatange mbiindo lwa ngobho jabhe, na penapo bhoa bhabhakalebhata bhakalama.
280f010090	Penapo Mafalisayo teno na bhabhajigana Malagilo ga Amusa nga bhakahika kubhoka kuchilambo cha ku Yelusalemu, bhakaajendelela Ayesu, bhakaakonya,
280f0200ac	“Kwaniki bhabhaajigana bhinu ngapokelanga malagilo gatupookile kubhoka kwa akaahokolo bhitu? Ngakuanga mpaka pachindindili handa chiipalikwa pabhapala kulyee chakulya!”
280f030078	Ayesu bhakaajangula, “Kwaniki mwangota ngakagulanga Malagilo ga Annoongo nambo kugapala majigano ginu mwaachina bhene?
280f04008c	Annoongo bhalobhola, ‘Mwaatopee atati na anyongo bhinu,’ na bhoa bhala bhaatukana atati bhabhe au anyongo bhabhe, bhapalikwa bhakomekwe.
280f0500bc	Nambo mwangota mwajigana handa mundu akweti chilebhe choachela chibhakombola kwaajangatila atati bhabhe au anyongo bhabhe, nambo bhakalobhola, ‘Chilebhe chenje ndekwaabhokea Annoongo,’
280f0600b9	mwangota ntenda kujigana bhena mundu, ngapalikwa kwaatopea atati bhabhe na anyongo bhabhe! Henela, nga chintendakubhelua lilobhe lya Anoongo kwa kugakagula majigano ginu mwachina bhene.
280f07003b	Mwe andendemundu! Alondoi Aisaya pabhakalobhola nnani jinu,
280f080080	‘Annoongo bhalobhola, habha bhandu bhandopeanga nenga kwa malobhe jika jabhe, nambo mumitima jabhenji jibhile kutali na nenga.
280f090062	Kukotimia kwabhenji kwanga maana, kwa kubhee hilebhe bhabhajigana nga malagilo ga bhandu tu.’”
280f0a0063	Ayesu bhakagukema gonigola nkutuli gwa bhandu, bhakaalobholelanga, “Nnyoanikiange, na nhelewange!
280f0b00b4	Chilebhe chichaatenda mundu bhakotokondekwa mu kwaakotimia Annoongo, nambo chenichela chichibhoka nkang'wa. Hecho nga chichaatenda mundu bhakotokondekwa mu kwaakotimia Annoongo.”
280f0c0096	Ngapena bhabhaajigana bhakaajendelela, na kwaakonya, “Bholi, mwe mmanyite kubhee Mafalisayo bhakachimwanga, pabhakajohanga genigala malobhe ginu?”
280f0d007c	Nambo Ayesu bhakaajangula, “Kila chilebhe changapandwa na Atati bhangu bha kunani kulihunde kwa Annoongo chipakutupulikwa.
280f0e0093	Nkotokwajogopanga bhandu habho! Bhenaangota ngalola, na handa bhangalola bhaatandie bhangalola ajabhe, bhoa bhabhele bhapakujingilanga muliembo.”
280f0f0050	Apetulo bhakalobhola, “Ntuatambulile kono kulengania kubhile na maana niki.”
280f100030	Ayesu bhakalobhola, “Na mwangota, ngamanyanga?
280f110064	Bholi, ngamanyanga kubhee kila chichijingila pakang'wa chijenda mulutumbo na kubhoka panja kuliinda?
280f120077	Nambo hilebhe hihibhoka pakang'wa hibhoka muntima, na genago nga gagalekelela mundu mu kanikwa mu kwaakotimia Annoongo.
280f130088	Kwa kubhee nkati ja ntima gabhoka maganikilo gabhou, ga koma, ga ngongola, ga uloloi, ga kujibha, ga kopokea hilebhe ya unani na maligo.
280f1400a3	Genago nga gagaatenda mundu bhakanikwe mu kwaakotimia Annongo. Nambo kulyee chakulya pangali kuha mabhoko ngaalekela mundu mu kukanikwa mu kwaakotimia Annoongo.”
280f15004d	Ayesu bhakabhoka penapo bhakajenda kutama ku hilambo ya ku Tilo na ku Sidoni.
280f1600e8	Bahi, haikege bhamo bhabhakibha bhatama konokwe yakubhee bhangabhee Anyahudi bhakaahikila Ayesu, bhakajomboa lilobhe, “Hangwana, mwana bha Adaudi, ngolee kia! Amwali bhangu bhatendakuchukilwa na mahoka na atenda kwaalagia muno.”
280f1700d0	Nambo, Ayesu bhangaajangula lilobhe lyoalyela. Bahi, bhabhaajigana bhabhe bhakaajendelela, na kwaalobholela, “Mwaalobholele bhajaule kwaachabhe kwa kubhee bhatenda kutukagula kongo bhabhikulekela nyenye.”
280f180089	Ayesu bhakajangula, “Nenga ndumitwe ligongo lya bhandu bha kuchilambo cha ku Isilaeli bhabhahobhite handa ngondolo bhabhahobhitinge.”
280f190063	Penapo bhenabho haikege bhakahika na kwaakotimia, bhakalobhola, “Choonde Hangwana, nyangatile,”
280f1a0058	Ayesu bhakaajangula, “Ngabha yammbone kutola chakulya cha bhaana kuilekela hiimbwa.”
280f1b008e	Bhenabho haikege bhakaajangula, “Kweli, Hangwana, nambo hiimbwa bhatenda kulyee mbakatika hiitekugwee kubhoka pamecha ja Hangwana bhabhe.”
280f1c0096	Penapo Ayesu bhakajangula, “Haikege, kuhobhalela kwinu nga kukolongwa muno, bahi ibhehe kwaachinu handa chimpala.” Popopo amwali bhabhe bhakalama.
280f1d0075	Ayesu bhakabhoka penapo na kujenda kuntundu ja litanda lya ku Galilaya, bhakakwela palitombi, bhakatama pahi konokwe.
280f1e00d5	Bhandu bhajingi bhakaahikila, bhakaapelekela bhandu bhabhalemile, bhangalola, anangwabha, bhangalola na bhangi bhajingi bhabhakibha akaatamwa, bhakabhabhekanga nnoongi ja makongono gabhe, penapo Ayesu bhakaalamia.
280f1f00f5	Lyenilyela lilubhalo lya bhandu likakangachanga muno pabhakalola, bhangalongela, bhatenda kulongela, bhabhakibha bhabhalemile bhalamite, anangwabha bhatenda kujenda, na bhangalola bhatenda kulola, bhandu bhakaalumbalila Annoongo bha ku Isilaeli.
280f200125	Ayesu bhakaakemanga bhabhaajigana bhabhe, bhakaalobholela, “Ndendakwaakolekea kiha bhandu habha kwa kubhee bhatamitinge na nanenga kwa machobha gatatu, nangocheni bhanga chakulya chichiigalile. Nanenga ngapala kwaalekanga bhajaulange kwaachabhe pangali kulyee, bhakoto kuindukanga nndela.”
280f21008b	Bhabhaajigana bhabhe bhakaalobholela, “Pamba tubhile palulemba, tupakupata koji chakulya cha kwaaliyanga habha bhandu bhajingi henela?”
280f220064	Ayesu bhakaakonya, “Mmilinge na mikate jilengwa?” Bhakaajangula, “Chaba na matobhi kachoko.”
280f230033	Bahi, Ayesu bhakaakulumikia bhandu bhatamange pahi.
280f2400c5	Ngapena bhakatola jenijela mikate chaba na yeniyela homba hibhele, na bhenabho bhakaachukulu Annoongo, bhakahimetula na kwaapekea bhabhaajigana bhabhe, na bhenaangota bhakaapekea bhenibhala bhandu.
280f25007c	Bhandu bhoa bhakalyee na kujukuta. Ngapena bhabhaajigana bhakalokota mbakatika hiikahigalila, bhakatwelelanga hijaluba saba.
280f260062	Bhenabho bhabhakalyee bhakibha akanalome elupu ncheche, pangali kubhalangana akaahikege na bhaana.
280f27006b	Ngapena Ayesu bhakaatabhukanga bhandu bhajingi bhakakwela muntumbwi, bhakajenda kuchilambo cha ku Magadani.
281001008d	Mafalisayo na Masadukayo bhakaajendelela Ayesu, na kwaalengela, na kwaajopa bhaalangiange yakangachika kubhoka kunani kulihunde kwa Annoongo.
281002008e	Nambo Ayesu bhakajangula, “Handa jiikite kimuho mwangota nnobholanga, ‘Malabhi kupakubhee kwammbone ligongo kunani kumaunde nga kukele!’
2810030118	Na mwangota pajiika kundabhi nnobholanga, ‘Leleni ula jipakoma, ligongo kunani kulihunde nga kukele na kutekubhee na mahunde.’ Mwangota mmanyanga muno kugalambuka namuna mahunde chigabhonekana, nambo ngakombolanga kugalambua hikubho hiibhokela nangocheni gabhii na maana niki.
28100400e2	Bhandu bha nangocheni yakubhee nga akaabohu na bhangaamimika! Bhapalanga bhaibhone yakangachika, nambo ngaipatanga yakangachika yoayela nambo yeniyela yakangachika ya Ayona.” Bahi, Ayesu bhakaalekanga, bhakajaula kwaachabhe.
2810050071	Bhabhaajigana bhabhe pabhakajomboka kuntundu ja litanda, bhakahimanyanga kubhee bhatekulibhalila kupetula mikate.
281006006b	Ayesu bhakaalobholela, “Mmangange miho na nchilolekeange nnani ja ngedule ja Mafalisayo na Masadukayo!”
2810070068	Popopo bhakajemekanga kulobholelana akaachinabhene, “Bhalobhola genago ligongo twangapetula mikate.”
28100800a3	Ayesu bhakagamanya chibhakataukananga, henela bhakaalobholelanga, “Mwangota bhamilinge na kuhobhalela kuchoko! Mbona ntenda kutaukana nnani ja kutopetula mikate?
28100900b1	Bholi, tangu mwangahimanya? Ngakombokelanga panakajimetula jeni jela mikate nhano jinakaaliya bhandu elupu nhano? Bholi, nkatweleanga hijaluba hilengwa ja mbakatika hiikahigala?
28100a007d	Na jenijela mikate saba jijikaaliyanga bhandu elupu ncheche? Bholi, nkakumbanga hijaluba hilengwa ja mbakatika hiikahigalila?
28100b0070	Bholi, ngamanyanga kubhee nangalongela nnani ja mikate? Ntamange maha na ngedule ga Mafalisayo na Masadukayo!”
28100c00a3	Penapo bhabhaajigana bhakahimanya kubhee bhakaalobholelanga bhatamange maha, ngabha na ngedule ja kuhalakia mikate, nambo nga majigano ga Mafalisayo na Masadukayo.
28100d0089	Ayesu pabhakahika kuchilambo cha ku Kaisalia Filipi, bhakaakonya bhabhaajina bhabhe, “Bhandu bhalobhola Mwana bha Mundu nga aganiki?”
28100e008c	Bhakaajangula, “Bhangi bhalobhola kubhee nga Ayohana Ambatichaji, bhangi Aelia, na bhangi bhalobhola Ayelemia, au bhamo bha Akaalondoi.”
28100f004f	Ayesu bhakaakonyanga, “Bholi, na mwangota mwalobholanga nenga nga aganiki?”
2810100074	Asimoni jwakemitwa Apetulo bhakaajangula, “Mwenga nga Akilisito Bhabhaokoa Mwana bha Annoongo bhabhile bhamomi.”
28101100de	Nabhena Ayesu bhakalobhola, “Npakuhachuka mwenga Asimoni mwana bha Ayona, kwa kubhee ngabha mwenga na ngabha mundu bhoabhala bhabhanhunukulile ngani heje, nambo nga Atati bhangu bhabhabhile kunani kulihunde kwa Annoongo.
28101200cb	Na nenga ndendakunnobholela, mwenga nga Apetulo, mwenga nga luhala na panani ja luhala holo mbakulichenga lilubhalo lya bhandu bhabhaahobhalela Akilisito na wala machili ga malilo ngakoombola kulichinda.
28101300dd	Mbakumpekea chijogolelo cha Umwenye gwa kunani kwa Annoongo, choachela chimpakutabha pachilambo, chipakutabhwikwa na kunani kwa Annoongo, na choachela chimpakujogola pachilambo, chipakujogolekwa na kunani kwa Annoongo.”
2810140071	Ngapena bhakaakanikianga bhabhaajigana bhabhe bhakoto kwaalobholela mundu bhoabhala kubhee bhenabho nga Akilisto.
281015013d	Kubhokela gono muda Ayesu bhakajemeka kwaalobholela bhabhaajigana bhabhe pangali kuhiya kubhee, “Hipalikwa tujende kuchilambo cha ku Yelusalemu na konokwe bhapakupotekwa muno kubhoka kwa akanahota, akaakung'i akolo, na bhabhajigana Malagilo ga Amusa. Na bhenabho bhapakomekwa nambo lichobha lya tatu bhapakuyoka.”
281016007d	Penapo Apetulo akaatola nnyenje, bhakajemeka kwaakalipila, “Jikoto kubhee henela Hangwana! Ngani hejo ngankolela mwenga!”
28101700c4	Nambo Ayesu bhakaatendebhukia na kwaalobholela Apetulo, “Mmoke nnongi jangu nenga, Lichetani! Mwenga ntenda kunhibhila mu ndela jangu. Kuganikia kwinu ngabha ga Annoongo, nambo nga ga bhandu!”
28101800c2	Ngapena Ayesu bhakaalobholela bhabhaajigana bhabhe, “Mundu bhoabhala handa bhapala kubhee bhabhaajigana bhangu, ipaalikwa bhachikane oti bhene, bhagupetule nchalaba gwabhe, ngapena bhangagule.
28101900a3	Kwa kubhee mundu bhoabhala bhabhapala kugaokoa umomi gwabhe bheene, bhapakuguhobhea, nambo mundu bhabhapakugubhoa umomi gwabhe ligongo lyangu nenga, bhapakugupata.
28101a00c4	Bholi, mundu bhapakupata chiniki handa bhapakupata hilebhe yoa ya pachilambo kongo bhabhoite umomi gwabhe? Chakwa choachela! Ngakombola kupata chilebhe choachela cha kombolea kubhujia umomi gwinu.
28101b00d0	Kwa kubhee Mwana bha Mundu bhapakuhika mu ng'anyimo na Umwenye gwa Atati bhangu pamo na akaatumichi bha kunani kwa Annoongo, penapo nga pabhapakwaalepa kila mundu ngwahupa jabhe kubhokela na hikubho yabhenji.
28101c0096	Nannobholelanga kweli, bhabhile bhandu bhangi panipani pachilambo ngajomokanga, tangu ja kwaabhona Mwana bha Mundu bhabhi kuhika mu umwenye gwabhe.”
28110100b0	Pagakajomoka machobha sita, Ayesu bhakaatola Apetulo na Ayakobo na Ayohana, anung'una bhabhe, bhakajenda nabho mpaka palitombi litandamao, na bhakatamanga konokwe jikajabhenji.
28110200a3	Pabhakibhanga konokwe, Ayesu bhakatendebhuka kumiho kwabhe nnoongi jabhe. Kumiho kwabhe kukamulikila handa liobha na ngobho yabhe hikibha hiyuu kuu na kung'anyima.
281103003e	Konokwe bhakabhokela Amusa na Aelia, bhakalongela nabho Ayesu.
28110400be	Penapo Apetulo bhakaalobholela Ayesu, “Hangwana, nga yammbone twenga kubhee pambani! Handa mpalite mbakuchenga hilendo hitatu, chimo chinu mwenga, na chimo cha Amusa na chimo cha Aelia.”
28110500c2	Apetulo pabhakibha tangu bhalongela henela, lihunde lihuu likaawekela, na lilobhe lya Annoongo likajohanika kubhoka mu helyo lihunde, “Habha nga mwana jwangu junampala, ndekubhajilwa nabho.”
281106004d	Bhabhaajigana pabhakajoha lilobhe helyo, bhakagwee manguku, bhakajogopa muno.
2811070058	Ayesu bhakajabhulila, bhakaakwaanga, bhakaalobholela, “Nnyemange, nkotokujogopanga!”
2811080041	Pabhakalola bhangaabhona amundu, nambo bhakibha Ayesu jika jabhe.
2811090090	Pabhakatulukanga palitombi, Ayesu bhakaalobholela, “Nkotokwaalobholelanga bhandu hilebhe muibhonitinge mpaka Mwana bha Mundu pabhapakuyoka.”
28110a0082	Bhenibhala bhabhaajigana bhakaakonya Ayesu, “Kwaniki bhabhajigana Malagilo ga Amusa bhalobhola kubhee, Aelia bhapakuhika oti?”
28110b005b	Ayesu bhakaajangula, “Kweli, Aelia bhapakuhika oti, bhapakuhika kubheka hilebhe yoa maha.
28110c00cf	Nambo ndendakunnobholelanga, Aelia bhahikite na bhenaangota bhangaamanya, nambo bhakaatendelela hilebhe yoa handa chibhakapalanga. Amwana bha Amundu bhapakwaatendela helahela handa chibhakaatendela Aelia.”
28110d0065	Penapo bhenibhala bhabhaajigana bhakahimanyanga kubhehe bhakaalobholela nnani ja Ayohana Ambatichaji.
28110e0071	Pabhakaguhikila kabhele gonigola nkutuli gwa bhandu, amundu bhamo bhakaajendela Ayesu bhakaatindibhalila majugwa,
28110f00a4	bhakalobhola, “Hangwana, nngolee kiha mwana jwangu mwanalome ntamwa chihinduhindu, bhatendakulaga muno, na bhombe mala jijingi bhatenda kugwela pamooto au mmachi.
281110004d	Nganneta kwa bhenibhala bhabhajiganwa bhinu nambo bhangakombola kwaalamia.”
28111100c1	Ayesu bhakaajangula, “Mwangota mwa bhandu bha nangocheni mwangahobalelanga, bhannekitinge ndela! Mbakutama na mwangota mpaka lii? Mbakumpumilianga mpaka lii? Munnetange jono mwana pambani!”
2811120060	Ayesu bhakagakalipila genago mahoka, na bhenabho gakaabhoka, bhenibhala amwana bhakalama popopo.
281113009e	Ngapena bhenibhala bhabhaajigana bhakaajendelela Ayesu pannyenje pabhakibha jikajabhe, bhakaakonya, “Mbone twenga twangakombola kugabhoa genigala mahoka?”
2811140127	Ayesu bhakaajangula, “Kwa kubhehe kuhobhalela kwinu kuchoko. Nannobholelanga kweli, handa nhobhalilinge hata kachoko handa mbeju ja haladali, mpakombola kulilobholela litombi helyelye, ‘Libhoke pamba lijabhule papala,’ na lyenelo lipakujabhula. Chaakwa choachela changakomboleka kwaachinu.
2811150073	Nambo lihoka handa heyeye ngabhoka tu ila kwa kujopa na kutabha, na kutama pangali kulyee na kung'wee choachela.”
28111600a6	Pabhakibha pamo na bhabhachijigana bhabhe konokwe ku Chilambo cha ku Galilaya, Ayesu bhakaalobholela, “Amwana bha Amundu bhajaula kamulikwa na kwaakamua kwa bhandu.
2811170072	Na bhena bhandu bhapakwakoma, nambo lichobha lya tatu bhapakuyoka.” Na babhaajigana bhabhe bhakahechukanga muno.
28111800b2	Pabhakahikanga kuchilambo cha ku Kafalanaumu bhandu bhabhakumbanga kodi ja Nyuumba ja Annoongo bhakaajendelela Apetulo, bhakaakonya, “Bholi, bhabhajigana bhinu bhalepa kodi?”
281119010f	Apetulo bhakaajangula, “Elo, bhatendakulepa.” Apetulo pabhakabhuja kwaachabhe kabula ja kulobhola lilobhe, Ayesu bhakaakonya, “Mwe Asimoni nnola bholi? Akaakolongwa bha chilambo bhakumbanga kodi kwa bheneki? Kubhoka kwa akaakola chilambo au kubhoka kwa akaageni?”
28111a007e	Apetulo bhakajangula, “Kubhoka kwa akaageni.” Ayesu bhakaalobholela, “Henela, bahi, akaakola chilambo ngapalikwa kulepa.
28111b00e6	Nambo kwa kupala tukotokwaachimwa, nnyende kulitanda, nkalopoe, ntole homba hipakujemeka kutangila, nhunukule nkang'wa jabhe, na mpakugukolela ulohi nkati. Ntole gono ulohi nkalepe kodi ligongo lya nenga na ligongo linu mwenga.”
2812010084	Gonigola muda bhabhachijigana bhakaajendelela Ayesu, bhakaakonya, “Nga bheneki bhabhile akolongwa muno mu Umwenye gwa Annoongo?”
281202003a	Ayesu bhakaankema mwana jumo na kunnyemea pakati jabhenji,
2812030085	ngapena bhakalobhola, “Ndendakunnobholelanga kweli, handa ngatendebhuka kubhehe handa mwana, ngajingilanga mu Umwenye gwa Annoongo.
281204007c	Henela, bhoabhala bhabhachitulua handa mwana jonjoni, bhenabho nga bhabhabhile akolongwa mu Umwenye gwa kunani kwa Annoongo.
281205005d	Amundu bhoabhala bhabhampokela mwana handa jonjoni kwa lihina lyangu, bhambokela na nenga.”
28120600c9	Nambo amundu bhoabhala handa bhapakwajambukia bhamo bha habhaangota bhabhanhobhalela nenga, kutendanga mabhou, nga mbaya bhaatabhe pantandala liganga likolongwa lya kuyagila na kwaatumbukila mu bahali.
281207010a	Mpakulaganga mwangota bhandu bha heche pachilambo babhajambukia bhandu bhabhahobhalela Akilisito bhatendange mabhou, hikubho hiyaajambua bhandu bhatendange mabhou nga gapakuhika, nambo bhapakulaganga amundu bhenibhala bhabhajambukia bhandu bhangi bhatendange mabhou.
281208011c	“Handa lubhoko au lukongono lwinu lupakunyambukia mabhou, muluekete na kulujea kutali na mwenga. Mbaya kwaachinu kujingila mu umomi gwa machobha goa pangali lubhoko au lukongono, kuliko kulekelelwa mu mooto gwa machobha goa gwangahimika pangali mabhoko mabhele na makongono gabhele.
28120900df	Na handa lio linu lipakunnyambukia mabhou, mbaya mulitupule na kulilekela kutaali. Mbaya kwaachinu kujingila mu umomi mmi na lio limo, kupunda kulekelelwa mu mooto gwangahimika machobha goa kongo mmi na miho goa gabhele.”
28120a00ab	“Ntamange maha! Nkotokummelua bhamo bha habhaangota bhachoko. Ndendakunnobholelanga, akaatumichi bha kunani kwa Annoongo bhabhabhilinge pamo na Annoongo machobha goa.”
28120b0066	“Kwakubhehe mwana jwa mundu akahika kwaalolengea bhenibhala bhabhatamanga handa bhabhahobhitinge.”
28120c00bc	“Mnolanga bholi? Handa amundu akweti ngondolo makomi komi, na kuhobha jumo, bhatenda bholi? Kwalekanga bhenibhala makoni tisa na tisa palitombi, na kajaula kunnolea jonijola jwaahobhite.
28120d009f	Handa bhaapatite, ndendakunnobholelanga kweli, bhapakuhachuka mutima nnani ja bhenabho ngondolo jumo kupunda bhenibhala ngondolo makoni tisa na tisa hiigalile.
28120e005c	Helahela, Atati bhinu bha kunani kwa Annoongo ngapala jumo jwa habhabha bhachoko kuhobha.”
28120f0086	“Anung'una handa alemwite, mwaajabhulile nkaakelebhuhe mmi mwangota jikajinu. Handa bhannyoine mpakubhehe mumpatite anung'una bhinu.
28121000d5	Handa bhangannyonikia, mwatole amundu bhamo au bhabhele bhabhe pamo na mwenga nyuale nabho ili kwa uchahidi gwa bhandu bhabhele au bhatatu, ili kila chilebhe chibhee maha handa Majaandiko ga Annoongo chigalobhola.
28121100f2	Handa bhangaajonikianga bhenaangota, mugulobholele nkutuli gwa bhandu bhabhanhobhalela Akilisito. Na handa ngagujohanikia nkutuli gwa bhandu bhabhanhobhalela Akilisito, na bhabhe kwaachinu handa amundu bhangaamanya Annoongo au atocha kodi.”
28121200a6	“Ndendakunobholelanga kweli, chimpakutabhanga pachilambo chipakutabhwa kunani kwa Annoongo, na chimpakujogola pachilambo chipakujogolekwa na kunani kwa Annoongo.”
28121300d7	“Kabhele ndendakunnobholelanga, bhabhele pakati jinunji handa bhakondikininge pambani pachilambo nnani ja chilebhe choachela cha chibhapakujopanga, Atati bhangu bha kunani kwa Annoongo bhapakutenda chikubho hecho.
2812140070	Kwakubhehe pohapala pabhakongananga bhandu bhabhele au bhatatu kwa lihina lyangu, na nenga mi nkati jabhenji.”
2812150095	Ngapena Apetulo gubhaajendelaje Ayesu, bhakaakonya, “Bholi, handa anung'una bhangi bhapakupunda kunnemwa nenga, naelekelele palengwa? Mala saba?”
2812160052	Ayesu akaajangula, “Ngalobhola mala chaba tu,” “Nambo mala chabini na chaba.
2812170086	Kwakubhee Umwenye gwa kunani kwa Annoongo gubhile henele, amwenye bhamo bhakabhoka kujaula kulola mabhalangano kwa akaatumichi bhabhe.
2812180085	Pabhakajemeka kutenda mabhalangano gabhe, amundu bhamo bhabhakibha na ligambo lya mamilioni gajingi ja mbiya bhabhakaleta kwaachabhe.
28121900b7	Bhena amundu bhakibha bhangali chilebhe cha kulepa, henela Hangwana bhabhe bhakaakulumika bhauchwe bheene, hanu bhabhe, bhana na hilebhe yoha hibhakibha nabho, kupala bhalepe magambo.
28121a0087	Penapo, antumichi habho bhakatindibhala majugwa nnongi jabhe, bhakalobhola, ‘Choonde nnende na nenga mbakulepa ligambo linu lyoha!’
28121b0067	Hangwana bhenabho bhakaabhonela kiha, bhakaalekelela ligambo lyelya, bhakaaleka bhajende kwaachakwe.”
28121c00c5	“Nambo bhenabho antumichi bhakabhoka, bhakaakolela bhamo bha antumichi nnyakwe bhabhakibha na ligambo lyabhe mbia kachoko. Bhakaahiling'inya pantandala bhabhi kulobhola, ‘Nnepe ligambo linu!’
28121d005b	Antumichi ajakwe bhakatindibhala majugwa, bhakaapembelela, ‘Nnende nanenga mbakunnepa.’
28121e0073	Nambo bhenabho bhakakana, na bhakaatabha mu nyuumba ja kutabhila bhandu mpaka penapo pabhapakwalepe ligambo lyabhe.
28121f00a0	Bahi, akaatumichi akaajabhe pabhakalola chilebhe hecho bhakakokolekela muno, bhakajaulanga kwaalobholela amwenye bhabhe nnani ja chikubho hecho chichikabhokela.
