010000000c	U̱r-Taku̱n
2d021d00fe	Wa-Yahuda u̱t-nip wa o̱ wu̱ jab-u̱ wa o̱o̱ge̱ ho̱n-ho̱n u̱du̱ u-Ru̱. Yar u-Ru̱ o̱ do̱'e̱ no̱mu̱ jab-u̱ ne̱t u̱r-pe̱s za bo̱r-tu̱ ne̱t pane̱ da. Go̱-du̱ ne̱t-u̱ wa kum u̱t-vam du̱gu̱-du̱ u-Ru̱, za du̱gu̱-du̱ ne̱t da.
2d03010096	¿De̱ku̱n se̱ge̱-de̱ o̱ro du̱ Yahuda-ne̱ kume̱ du̱ i-za-Yahuda-ne̱ kumte̱ da? ¿Yan-o̱ ne̱t de̱ u̱t-kwu̱m ana no̱mu̱ wa u̱r-pe̱s?
2d0302009d	Se̱ge̱-du̱ o̱ro du̱ ne̱t do̱'e̱ u̱t-kwu̱m u̱s-fu̱n u-tát! Ru̱-u̱ ya'aste̱ rem-u̱s wa u̱du̱ Yahuda-ne̱ remu̱ e̱ got se̱ u̱r-zwar ne̱.
2d0303014f	Yahuda-ne̱ u-tát e̱ zatte̱ yadu̱ jab u̱du̱ u-Ru̱ u̱ka e̱ nomte̱ este̱du̱ u̱s-rem u̱zu̱ u̱t-ya jab da. Waku̱n u̱t-kere̱ u̱t-shu̱t u̱zu̱, “¿No̱ o̱ m-hyan u̱zu̱ a Yahuda-ne̱ shu̱'u̱te̱ a-ko̱b-du̱ yadu̱ jab, u̱t-wa u̱ Ru̱-u̱ yage̱ no̱m-du̱ no̱m-u̱ wa nom-tu̱ Yahuda-ne̱ es-du̱ u̱s-rem?”
2d0304012f	Za u̱t-no̱me̱ da iya! Ko̱ ne̱t-ne̱ be̱e̱t shu̱'u̱te̱ a-u̱s-bi, u-Ru̱ wa-u̱t-nip wa, u̱ka Rem-su̱ u-Ru̱ zu̱tte̱: “Remu̱ ne̱t-ne̱ hyen-u̱t u̱zu̱ no̱m-u̱ bo̱ ware̱ u̱ mo̱ttu̱ ba'as-u̱t u̱n nip-to̱, tu̱msu̱ bo̱ re̱ u̱r-ko̱rro̱ ana o̱ kwu̱p-du̱ rem-u̱s ró.”
2d030500de	Abite̱ no̱m-u̱t yo̱-to̱ in o̱ u̱t-no̱m ko̱ske̱ no̱m-u̱t so̱-to̱ tu̱ Ru̱-u̱ no̱me̱, ¿In de̱e̱n u̱t-zu̱ Ru̱-u̱ no̱ng ho̱n-ho̱n da a wa ya' in u̱r-ko̱b? (Sin-se̱ dorog-su̱ u̱r-ma ne̱t se̱.)
2d030600b3	Za u̱t-no̱me̱ iya da! A shu̱'u̱te̱ Ru̱-u̱ no̱me̱ ho̱n-ho̱n da ko̱-uyan da, ¿re̱ne̱ o̱ wa do̱te̱ no̱mu̱ ne̱t-tu̱ u-dak kwu̱p-du̱ u̱s-rem ho̱n-ho̱n ne̱?
2d030700eb	Waku̱n wa u̱t-kere̱ u̱t-zu̱, “A mu̱ne̱ u̱zu̱ bis-u̱s ri hatu̱n m-swu̱r mu̱ nip-tu̱ Ru̱-u̱ u̱ swu̱r-mu̱ ze̱g-m wa ne̱, ¿Remu̱ u-yan o̱ Ru̱-u̱ do̱te̱ kwu̱pu̱ me̱ u̱s-rem u̱zu̱ me̱ wa-u̱t-ba'as wa?”
2d030800c2	To̱ko̱n ne̱t-to̱ ke̱k-tu̱ it u̱s-rem u̱zu̱ it zu̱u̱g, “Yage̱ it no̱m u̱t-ba'as, remu̱ no̱m-u̱t so̱-to̱ nom-u̱t.” Se̱di Ru̱-u̱ de̱ kwu̱pu̱ u̱n u̱s-rem ho̱n-ho̱n.
2d03090100	¿Yan-o̱ in do̱'e̱ u̱t-zu̱? ¿In Yahuda-ne̱ ze̱g m-ze̱g i-za-Yahuda-ne̱ da? Ko̱ o̱ko̱n, na ko̱sku̱ u̱zu̱ u̱t-ne̱t u̱t-be̱e̱t! U̱ Yahuda-ne̱ u̱ i-za-Yahuda-ne̱ da ganse̱ na o̱ye̱ remu̱ be̱b-du̱ u̱t-ba'as de̱ o̱ dor-tu̱ na.
2d030a0079	U̱-me̱ Rem-su̱ u-Ru̱, na panu̱g no̱m-u̱t tun-to̱ u̱t-be̱e̱t: “Ne̱t-u̱ jab-u̱ so̱-o̱ zarra, ko̱ wa-gan;
2d030b004c	waku̱n zaar wu̱ o̱ m-nap ne̱ da, waku̱n zaar wu̱ o̱ sa-u̱ u-Ru̱ da.
2d030c009e	Ne̱t-ne̱ be̱e̱t e̱ yakke̱ fu̱n-yu̱ u-Ru̱, Ne̱t-ne̱ be̱e̱t e̱ zatte̱ fu̱n da; Waku̱n zaar wu̱ nome̱ no̱m-u̱t so̱-to̱ da, ko̱ wa-gan.”
2d030d008b	“Nu-u̱t e̱ o̱ u̱ka u̱t-sag tu̱ o̱ u̱r-hu̱k, Rem-u̱t e̱ shu̱u̱g u̱s-bi.” “Rem-u̱s e̱ u̱ka m-rab mu̱ fa-u yo̱-ya.”
2d030e0043	“Nu-u̱t e̱ shu̱u̱g u̱ rem-u̱s yo̱-se̱, u̱s-pyap ne̱.”
2d030f0023	“E̱ waaste̱ ho̱-du̱ ne̱t da.
2d03100073	Ko̱ he̱ e̱ hu̱u̱te̱ e̱ hatu̱n u-naas u̱ namu̱ jab ne̱ u̱du̱ u̱t-ne̱t tu̱msu̱ hi-du̱ war'e̱ ne̱.
2d03110026	E̱ nak fu̱n-yu̱ res-du̱ jab da.”
2d03120030	“Gye̱r-u u-Ru̱ zaar u̱ jab-u̱s u̱n da.”
2d031300f0	U̱ da-o̱ in nak u̱zu̱ Yahuda-ne̱ e̱ na u̱t-sa e̱ do̱r bo̱r-tu̱ u-Ru̱ tu̱ Mosa pane̱. Na no̱mo̱g iya hen remu̱ ne̱t-tu̱ taagte̱ no̱m-u̱t war, tu̱msu̱ Ru̱-u̱ de̱ kwu̱pu̱ ne̱t-tu̱ dak-u uno̱ u-be̱e̱t u̱s-rem.
2d031400c8	Remu̱ iya, waku̱n zaar wu̱ de̱ u̱t-shu̱'u̱t wa za u̱t-ba'as remu̱ do̱rru̱ no̱m-u̱ bo̱r-tu̱ zu̱ na no̱m da. No̱m-u̱ bo̱r-tu̱ nome̱ o̱ ko̱su̱ ne̱t u̱ka ba'as-u̱t wa o̱tte̱.
2d031500a0	Se̱di u̱ da-o̱ Mosa u̱ a-warru̱ Rem-su̱ u-Ru̱ ne̱ ko̱ske̱ in fu̱n-yu̱ yadu̱ jab-u̱ so̱-o̱, za remu̱ do̱rru̱ no̱m-tu̱ bo̱r-tu̱ u̱t-sa da.
2d031600a1	Uno̱ jab-u̱ so̱-o̱ du̱gu̱-du̱ u-Ru̱ hagu̱n du̱gu̱-du̱ yadu̱ jab u̱du̱ Kiristi u̱du̱ i ya'e̱ u̱t-nip be̱e̱t. Mo̱ko̱n ku̱u̱k-mo̱ zaar da.
2d0317005a	Ne̱t-ne̱ kowan no̱ng u̱t-ba'as, tu̱msu̱ e̱ no̱mo̱g m-ra u̱ sek-mu̱ u-Ru̱ ne̱.
2d031800b6	Tu̱msu̱ Ru̱-u̱ no̱ng se̱ge̱-u̱r wa remu̱ nya-u̱ wa no̱mu̱ in jab gan. Wa no̱mo̱g iya remu̱ Kiristi Ye̱so̱ wu̱ rure̱ in du̱gu̱ swadu̱ u̱r-ko̱b du̱ u̱t-ba'as.
2d031901af	Ru̱-u̱ ya'aste̱ Ye̱so̱ u̱ka u̱r-to̱o̱g du̱ hastu̱ u̱t-ba'as. Wa no̱mo̱g iya remu̱ wa mu̱tte̱ ne̱t-ne̱ za u̱t-ba'as u̱du̱ u-Ru̱ da-u̱ e̱ ya jab u̱du̱ Ye̱so̱ wu̱ mare̱ u̱ remu̱ in tu̱msu̱ wa azu̱g hyu̱-m wa. To̱o̱g-u̱ o̱ ko̱ske̱ u̱zu̱ Ru̱-u̱ zatte̱ m-ku̱u̱k da, tu̱msu̱ remu̱ gag-du̱ jab-u̱ wa, wa ruuste̱ u̱ fu̱n-u̱ ba'as-tu̱ e̱ no̱me̱ u-dim wa yaag u̱n u̱r-ko̱b da.
2d031a00cb	Ru̱-u̱ no̱ng gag-du̱ jab-u̱ uno̱ da-o̱ remu̱ wa ko̱ste̱ u̱zu̱ wa o̱tte̱ jab-u̱ so̱-o̱. Tu̱msu̱ ne̱t be̱e̱t wu̱ ya' jab u̱du̱ Ye̱so̱ wa de̱ u̱t-shu̱'u̱t wa jab-u̱ so̱-o̱.
2d031b00d5	U̱ da-o̱ hen, ¿yan-o̱ na do̱te̱ u̱t-u̱k? O̱ko̱n zarra! Ru̱-u̱ za kab-du̱ ne̱t remu̱ zu̱ a o̱ do̱rru̱ bo̱r-u̱t Mosa da, se̱di wa kab i o̱ yadu̱ jab u̱du̱ Ye̱so̱ u̱ to̱o̱g-u̱ wa ne̱.
2d031c0069	In nak u̱zu̱ Ru̱-u̱ o̱ kab-du̱ u̱t-ne̱t remu̱ yadu̱ jab-u̱ e̱ za remu̱ do̱rru̱ u-bo̱r da.
2d031d0076	¿Ru̱-u Yahuda-ne̱ o̱ war-o̱? ¿Ru̱-u a-za Yahuda-ne̱ wa ko̱ e̱ da? Iya o̱, Ru̱-u̱ ne̱t-ne̱ be̱e̱t o̱.
2d031e00d7	Ru̱-o̱ u-gan, wa de̱ muutu̱ Yahuda-ne̱ e̱ shu̱'u̱t a-jab-u̱s so̱-se̱ u̱du̱ wa, remu̱ yadu̱ jab-u̱ u̱n. Tu̱msu̱ muut i za-Yahuda-ne̱ da a-jab-u̱s so̱-se̱ u̱du̱ wa, remu̱ yadu̱ jab-u̱ u̱n.
2d031f00db	¿No̱ o̱ m-hyan in mu̱u̱tu̱n bo̱r-tu̱ Ru̱-u̱ yase̱ Mosa m-zan u̱ remu̱ mo̱ttu̱ ya-du̱ jab? Ko̱ cashi iya o̱ da! Se̱di a inya jab u̱du̱ Ye̱so̱, u̱t-ko̱se̱ u̱zu̱ bo̱r-u̱t Mosa o̱tte̱ m-shin.
2d040100b1	¿A in o̱ dorog-su̱ mo̱ttu̱ bo̱r-u̱t Mosa tu̱msu̱ u̱ka ne̱t do̱te̱ u̱t-shu̱'u̱t wa jab-u̱ so̱-o̱, kamu̱g in baksu̱n Ibrahi, u̱so-u̱ u̱so-u̱t Yahuda-ne̱.
2d040200d5	Abite̱ remu̱ no̱m-du̱ no̱m-u̱t so̱-to̱ Ibrahi o̱ Ru̱-u̱ has-tu̱ wa u̱t-ba'as, Ibrahi za kwu̱mu̱g no̱m-u̱ u̱t-u̱k u̱-me̱ u̱t-ne̱t, se̱di wa za kum-u̱t no̱m-u̱ u̱t-u̱k u̱du̱ u-Ru̱ da.
2d04030077	Rem-su̱ u-Ru̱ zu̱u̱g, “Ibrahi yaag jab u̱du̱ u-Ru̱, de̱ wu̱te̱ Ru̱-u̱ fog-u̱t wa wa-jab-u̱ so̱-o̱.”
2d04040080	Da-u̱ ne̱t-u̱ no̱me̱ u-pama, to̱p-u̱ na do̱'e̱ to̱p-du̱ wa ho̱s-mo̱ da. Se̱di to̱p-u̱ no̱m-u̱ wa no̱me̱ o̱.
2d040500a1	Se̱di na got ne̱t-ne̱ a-jab-u̱s so̱-se̱ ne̱, za remu̱ pama-u̱s e̱ da, se̱di remu̱ yadu̱ jab-u̱ e̱ u̱du̱ u-Ru̱ wu̱ nome̱ ho̱-du̱ u̱t-ba'as.
2d040600a1	Dawuda waru̱g rem-u̱s se̱ da-u̱ wa no̱me̱ rem-su̱ kom-u̱ u-Ru̱ u̱du̱ ne̱t-u̱ wu̱ Ru̱-u̱ fage̱ wa jab-u̱ so̱-o̱ za wa no̱m o̱ko̱n pama-o̱.
2d04070088	“Ne̱t-tu̱ Ru̱-u̱ no̱me̱ ho̱-du̱ ba'as-u̱t e̱, e̱ o̱tte̱ Kom-u̱ u-Ru̱, I na takse̱ baas-u̱t e̱ otte̱ kom-u̱ u-Ru̱.
2d0408005c	Kom u-Ru̱ u̱du̱ ne̱t, wu̱ Yawe za u̱t-baku̱s u̱ no̱m-tu̱ ba'as-u̱t wa ne̱ da.”
2d04090110	¿Kom-u̱ u-Ru̱ o̱ do̱m-u̱ a-u̱r-pe̱s-ne̱ u̱ war-e̱ kyak i na no̱me̱ u̱r-pe̱s? ¿Ko̱ be̱e̱t u̱ a-za-u̱r-pe̱s-ne̱? No̱m-u̱ in o̱ u̱t-zu̱, “Ibrahi o̱tte̱ yadu̱ jab u̱du̱ u-Ru̱, de̱ wu̱te̱ Ru̱-u̱ ku̱b-u̱t wu̱n, wa-jab-u̱ so̱-o̱.”
2d040a00d5	¿Yan da-o̱ Ru̱-u̱ muutu̱ Ibrahi wa jab-u̱ so̱-o̱? ¿Da-u̱ na no̱mu̱ wa u̱r-pe̱s o̱ ko̱ kanda na no̱mu̱ wa u̱r-pe̱s? Ru̱-u̱ fak Ibrahi wa jab-u̱ so̱-o̱ kanda na no̱m-tu̱ wa u̱r-pe̱s o̱.
2d040b013c	Se̱di wa kabu̱g nap-su̱ u̱r-pe̱s remu̱ yadu̱ jab-u̱ rò u̱du̱ u-Ru̱ u̱zu̱ wa haste̱ ba'as-u̱t rò. Remu̱ iya Ibrahi shu̱'u̱te̱ u-u̱so u̱ yadu̱ jab u̱du̱ a-yadu̱ jab ne̱ ko̱ ba na no̱me̱ u̱n u̱r-pe̱s da. Ru̱-u̱ o̱ hyan-du̱ u̱n a-jab-u̱s so̱-se̱ ne̱ remu̱ yadu̱ jab-u̱ u̱n.
2d040c00ae	Tu̱msu̱ wu̱na u̱so-u i na no̱me̱ u̱r-pe̱s, za rem u̱r-pe̱s u̱ warre̱ da se̱di do̱rru̱ da-tu̱ yadu̱ jab-u̱ u̱so-u in Ibrahi kanda na no̱me̱ wa u̱r-pe̱s.
2d040d0102	Ru̱-u̱ no̱ngu̱ este̱du̱ u̱s-rem u̱ yaase̱ u-dak u-be̱e̱t u̱du̱ Ibrahi u̱ ko̱-u̱r wa ne̱, za remu̱ do̱rru̱ bo̱r-tu̱ u-Ru̱ da se̱di remu̱ zu̱ Ibrahi yaag jab u̱du̱ u-Ru̱. Remu̱ iya, Ru̱-u̱ zu̱ Ibrahi ne̱t-u̱ jab-u̱ so̱-o̱.
2d040e00ce	Abite̱ es-du̱ u̱s-rem su̱ u-Ru̱ u̱ i o̱ do̱rru̱ u-bo̱r ne̱ o̱ u̱ war-o̱, ko̱ske̱ u̱zu̱ yadu̱ jab-u̱ ne̱t zan-mo̱, tu̱msu̱ este̱du̱ u̱s-rem su̱ Ru̱-u̱ no̱me̱ zatte̱ m-kim da.
2d040f00b1	U̱m zu̱u̱g iya, remu̱ zu̱ bo̱r-tu̱ naku̱n ryab-su̱ u-Ru̱. Tu̱msu̱ be-du̱ bo̱r-tu̱ zatte̱ da, ne̱t za u̱t-shu̱'u̱t wa-ko̱b-du̱ kab-du̱ rem-su̱ u-bo̱r da.
2d04100154	Remu̱ iya, este̱du̱ u̱s-rem haan u̱ remu̱ yadu̱ jab. Ru̱-u̱ no̱ngu̱ in o̱ u̱ka m-ho̱s, u̱du̱ ne̱t-tu̱ o̱ u-me̱ ko̱-u̱r Ibrahi, za ne̱t-tu̱ na yaase̱ ne̱ u-bo̱r u̱ war-e̱ da, se̱di u̱r-kot u̱ i o̱tte̱ yadu̱ jab u̱ka Ibrahi. Wu̱na o̱ u-u̱so u̱ i ya jab be̱e̱t u̱du̱ este̱du̱ u̱s-rem su̱ u-Ru̱.
2d04110140	Rem-su̱ Ru̱-u̱ waru̱g u̱zu̱, “Ibrahi, u̱m wa'ag bo̱, bo̱ shu̱'u̱t u̱so-u rem-tu̱ u-dak u-tát.” Ru̱-u̱ no̱ng iya remu̱ zu̱ Ibrahi yaag jab u̱du̱ u-Ru̱ u̱zu̱ wa o̱tte̱ be̱b-du̱ yadu̱ u̱r-fat u̱du̱ wu̱ mare̱, tu̱msu̱ wu̱ nome̱ no̱m-u̱t po-to̱ u̱-me̱ no̱m-tu̱ za o̱ko̱n da.
2d04120115	Ko̱ ba shu̱'u̱te̱ u̱zu̱ Ibrahi zatte̱ o̱ko̱n u̱ wa do̱te̱ wadu̱ jab da, se̱di wa re̱e̱g shu̱ u̱ yadu̱ jab ne̱ u̱zu̱ wa de̱ shu̱'u̱te̱ u̱so-u̱ u̱t-dak u-tát, u̱ka Ru̱-u̱ zu̱tte̱ wa u̱zu̱, “Iya o̱ ya'ag-u̱ ró do̱te̱ u̱t-shu̱'u̱t.”
2d041300ac	Ibrahi yakke̱ u̱ yadu̱ jab-u̱ wa u̱ mar da, ko̱ ba shu̱'u̱te̱ u̱zu̱ wa no̱ng u̱s-hak u̱t-shik u̱t-tan, tu̱msu̱ ne̱ta wa Saratu aru̱kte̱ da-u̱ u̱r-mat.
2d0414009b	Se̱di wa no̱ng u-sakna u̱ jab remu̱ este̱du̱ u̱s-rem su̱ Ru̱-u̱ no̱me̱ da, se̱di wa swu̱ru̱g yadu̱ jab, tu̱msu̱ wa no̱mu̱ u-Ru̱ m-sek.
2d0415004b	Ibrahi yaag jab, Ru̱-o̱ keru̱ no̱m-du̱ no̱mu̱ wa zu̱ wa u̱t-no̱m.
2d04160049	Remu̱ yadu̱ jab Ibrahi, Ru̱-u̱ kabu̱g wa, “wa-jab-u̱ so̱-o̱.”
2d04170091	U̱ka na pu̱nte̱ u̱ Rem-su̱ u-Ru̱, “Ru̱-u̱ kabu̱g wu̱n wa-jab-u̱ so̱-o̱.” Tu̱msu̱ za remu̱ Ibrahi o̱ war-o̱ na pu̱nte̱ da.
2d041800c2	Se̱di na panu̱g rem-u̱s sin-se̱ remu̱ in, remu̱ zu̱ Ru̱-u̱ mutte̱ in a-jab-u̱s so̱-se̱, ne̱t be̱e̱t wu̱ ya' jab u̱du̱ wa, wu̱ yu̱nse̱ Ye̱so̱ Wa-ko-uyan in du̱gu̱ m-mar.
2d04190077	Remu̱ ba'as-u̱t in, to̱ ne̱t-tu̱ hote̱ wa, tu̱msu̱ wa yu̱ne̱ du̱gu̱ m-mar remu̱ wa jaaste̱ ba'as-u̱t in.
2d0501009f	Ba shu̱'u̱te̱ u̱zu̱, Ru̱-u̱ jaaste̱ ba'as-u̱t in remu̱ yadu̱ jab u̱du̱ Ye̱so̱, in o̱tte̱ ru̱s-du̱ jab u-me̱ Wa-ko-uyan in Ye̱so̱ Kiristi.
2d050200d6	Remu̱ yadu̱ jab-u̱ in, Kiristi upuste̱ in ke̱rru̱ kwu̱m-du̱ nya-u̱ u-Ru̱ u̱ in o̱tte̱ u̱r-yu̱. Tu̱msu̱ in no̱ng u̱r-so̱ remu̱ wadu̱ jab-u̱ Ru̱-u̱ de̱ ko̱su̱ in fu̱'u̱bse̱-tu̱ u-Ru̱.
2d050300cc	Tu̱msu̱ in no̱mo̱n u̱r-so̱ da-u̱ ne̱t-tu̱ o̱ yadu̱ in u̱r-ko̱b remu̱ yadu̱ jab-u̱ in u̱du̱ Kiristi, remu̱ zu̱ in nak u̱zu̱ swadu̱ u̱r-ko̱b u̱ in do̱'e̱ naknu̱ in gag-du̱ jab.
2d050400c1	A ne̱t-u̱ shu̱'u̱te̱ wa gag-du̱ jab, Ru̱-u̱ de̱ muutu̱ wa ne̱t-u̱ u̱r-ka. Tu̱msu̱ a ne̱t-u̱ shu̱'u̱te̱ ne̱t-u̱ u̱r-ka, wa de̱ shu̱'u̱tu̱ wa wadu̱ jab u̱du̱ u-Ru̱.
2d05050092	Wadu̱ jab za yadu̱ bo̱ m-'e̱ da ko̱ cashi, remu̱ zu̱ Ru̱-u̱ ko̱ske̱ in cwan-u̱t u̱ wa sok. Wa yaag in Yar-u wa, u̱-me̱ jab-u̱s in.
2d0506006b	Da-u̱ in za keru̱ u̱kru̱ hi-u̱r in da, regne̱ ho̱n-ho̱n da-u̱ Kiristi mare̱ remu̱ ba'as-u̱t in.
2d050700c5	U̱t-po̱ ne̱ na kum-u̱t waku̱n wu̱ de̱ m-mar remu̱ waku̱n wa-jab-u̱ so̱-o̱, jiya na u̱t-kere̱ kwu̱m-du̱ ne̱t wu̱ de̱ u̱t-mar remu̱ ne̱t-u̱ o̱ no̱m-du̱ no̱m-u̱t so̱-to̱.
2d05080087	Se̱di Ru̱-u̱ ko̱ske̱ in cwan-u̱t wa, u̱ wa to̱mto̱n in Kiristi wa mu̱r u̱ remu̱ in, da-u̱ in o̱o̱ge̱ a-u̱t-ba'as-ne̱.
2d0509007a	Ru̱-u̱ jaaste̱ ba'as-u̱t in remu̱ hyu̱-m Kiristi, za u-sakna, wa de̱ hen u̱ u̱kru̱ in du̱gu̱ ryab-su̱ u-Ru̱.
2d050a00c0	Da-u̱ in o̱o̱ge̱ m-ra u-Ru̱ ne̱, Ru̱-u̱ ho̱ngu̱ssu̱ in u̱ wa ne̱ remu̱ mar-mu̱ Wa'-u̱ wa. In nak u̱zu̱ Ye̱so̱ u̱ keru̱ u̱kru̱ in, tu̱msu̱ remu̱ zu̱ wa o̱ u̱r-fat.
2d050b0082	Maag u̱ku̱n da, in do̱'e̱ no̱m-du̱ u̱r-so̱ remu̱ mar-mu̱ Wa-ko-uyan Ye̱so̱ Kiristi no̱me̱ wa samge̱ in u-Ru̱ ne̱.
2d050c00df	U̱ka ba'as-tu̱ cwatu̱n u̱-me̱ u-dak du̱gu̱-du̱ ne̱t gan, mar-mu̱ cwaan remu̱ zu̱ ne̱t-ne̱ be̱e̱t no̱ng u̱t-ba'as. Tu̱msu̱ mar-mu̱ haan u̱du̱ u̱t-ne̱t u̱t-be̱e̱t, remu̱ ba'as-tu̱ Adamu no̱me̱.
2d050d00bd	Kanda na hattu̱n bo̱r-tu̱ Ru̱-u̱ yase̱ Mosa, ne̱t-tu̱ o̱ no̱m-du̱ u̱t-ba'as. Se̱di na kabu̱g se̱ u̱ka u̱t-ba'as da, remu̱ zu̱ bo̱r-tu̱ zaar tu̱ ne̱t de̱ u̱t-pas da.
2d050e00f0	Ko̱ ba shu̱'u̱te̱ iya, mar-mu̱ takku̱n du̱gu̱ da-u̱ Adamu u̱ haan u̱ da-u̱ Mosa, tu̱msu̱ u̱ i no̱me̱ ne̱ u̱t-ba'as remu̱ pas-du̱ u-bo̱r da u̱ka Adamu nomte̱. Adamu tu̱msu̱ wa o̱o̱ge̱ ryu̱n-u̱ wu̱ de'e̱ haan.
2d050f0151	Se̱di hastu̱ ba'as-u̱t in tu̱ Ru̱-u̱ no̱me̱ o̱ u̱ka m-ho̱s u̱du̱ in, za u̱ka ba'as-u̱t Adamu da. Remu̱ zu̱ ba'as-u̱t wa-gan nakku̱n mar-mu̱ u̱t-ne̱t u-tát. Se̱di nya-u̱ u-Ru̱ o̱ u-tát, remu̱ ho̱s-mu̱ wa no̱me̱ u̱-me̱ ne̱t gan u̱ wa, Ye̱so̱ Kiristi hattu̱n nya-u̱ u-Ru̱ u̱du̱ u̱t-ne̱t u-tát.
2d05100130	Tu̱msu̱, nya-u u-Ru̱ ganse̱ o̱o̱ge̱ u̱ ba'as-u̱t Adamu ne̱ da. U̱m zu̱u̱g iya remu̱ ba'as-u̱t to̱ tu̱ Adamu no̱me̱ to̱ nakku̱n kwu̱p-du̱ u̱s-rem su̱ u-Ru̱ u̱du̱ ne̱t-tu̱ u-dak u̱t-be̱e̱t. Se̱di nya-u u-Ru̱ muute̱ in za u̱t-ba'as ko̱ ba in no̱me̱ u̱t-ba'as u-tát.
2d05110121	Mar-m no̱mo̱g u̱r-faru̱k u̱-me̱ u̱t-ne̱t remu̱ ba'as-tu̱ ne̱t gan, Adamu. Se̱di m-ze̱g iya, Ye̱so̱ Kiristi samge̱ in u-Ru̱ ne̱. Ru̱-u̱ yaag in wa u̱ka m-ho̱s u-tát, tu̱msu̱ i kabe̱ wa, e̱ de̱ re̱-du̱ be̱b-du̱ u̱t-ba'as m-mar ne̱ u̱-me̱ Ye̱so̱ Kiristi.
2d051200ff	Remu̱ ba'as-tu̱ wa u-gan no̱me̱, to̱ haatu̱n ne̱t-ne̱ be̱e̱t swadu̱ u̱r-ko̱b, tu̱msu̱ iya-o̱ hen no̱m-u̱ u-gan u̱ Kiristi no̱me̱, o̱ haatu̱n u-u̱ku̱r u̱-me̱ ko̱wan, u̱ka Ru̱-u̱ do̱te̱ yadu̱ ne̱t-ne̱ fat-du̱ za u̱r-ma.
2d051300f8	Remu̱ ba'as-u̱t ne̱t gan no̱me̱, de̱ wu̱te̱ ne̱t-ne̱ be̱e̱t e̱ shu̱'u̱te̱ a-u̱t-ba'as-ne̱. Iya-o̱ hen tu̱msu̱ remu̱ jab-u̱ so̱-o̱ u̱ ne̱t gan no̱me̱, ne̱t-ne̱ u-tát e̱ de̱ u̱t-shu̱'u̱t a-jab-u̱s so̱-se̱ ne̱.
2d051400a8	Ru̱-u̱ ya'aste̱ bo̱r-u̱t wa u̱du̱ Mosa remu̱ ne̱t-tu̱ hyen-u̱t ba'as-u̱t e̱ m-zu̱n. Se̱di da-u̱ ba'as-tu̱ sure̱ u-tát, nya-u̱ u-Ru̱ zeg u-tát sok.
2d05150106	U̱ka ba'as-tu̱ nomte̱ u̱r-faru̱k u̱-me̱ u̱t-ne̱t u̱t-be̱e̱t tu̱msu̱ hatu̱n u̱n m-mar, iya o̱ hen nya-u̱ u-Ru̱ do̱te̱ no̱m-du̱ u̱r-faru̱k remu̱ jab-u̱ so̱-o̱, u̱ de̱ hatu̱n fat-du̱ za u̱r-ma remu̱ Ye̱so̱ Kiristi Wa-ko-uyan in.
2d0601009c	¿Yan-o̱ in do̱'e̱ u̱t-zu̱? ¿In de̱e̱n u̱ re-du̱ shu̱ u̱ no̱m-du̱ u̱t-ba'as remu̱ wa jaaste̱ ba'as-u̱t in tu̱msu̱ wa swu̱ru̱ in u-nya?
2d060200a8	Za u̱t-no̱me̱ iya da! A in kabe̱ Ye̱so̱, no̱m-tu̱ wadu̱ in u̱ yu̱-du̱ u̱t-ba'as to̱ maru̱g, ¿re̱ do̱te̱ u̱t-no̱m in ha u̱r-yu̱ u-me̱ u̱t-ba'as?
2d06030163	U̱ka na no̱m-tu̱ in u̱t-yu̱bu̱sse̱ m-bu̱, in maru̱g tu̱msu̱ na dok in u̱ Kiristi ne̱ u̱ka wa mu̱rte̱ tu̱msu̱ na dok wa. Na no̱ngu̱ in u̱t-yu̱bu̱sse̱ m-bu̱ remu̱ in nom-u̱t yu̱-u̱r po-de̱ u̱ka u̱s-gan, u̱ka Ye̱so̱ yu̱nte̱ du̱gu̱ m-mar, u̱-me̱ fu̱'u̱bse̱-tu̱ u-Ru̱ Uso-u in. Iya o̱ in kumte̱ fat-u̱r po-de̱.
2d060500a6	Ba in shu̱'u̱te̱ u̱s-gan u̱ Kiristi ne̱ remu̱ mar-m Kiristi, iya o̱ hen in do̱te̱ u̱t-shu̱'u̱t u̱s-gan u̱ yu̱ne̱-u̱r wa u̱r-fat u̱ka wa yu̱nte̱.
2d0606010b	U̱ka in nu̱pte̱ u̱zu̱ na taru̱g yu̱-du̱ u̱t-ba'as u̱ in u̱-do̱m u-kan da-u̱ na tare̱ Ye̱so̱ u̱-do̱m u-kan, taas u̱ ba'as-tu̱ kum-u̱t u̱r-be̱b u̱ jab-u̱s in da. Na no̱mo̱g sin-se̱ u̱s-be̱e̱t taas in shu̱'u̱t to̱k-ne̱ i u̱t-ba'as da.
2d06070052	In nak u̱zu̱ ba'as-tu̱ zatte̱ u̱r-faru̱k u̱ do̱m-u̱ ne̱t-tu̱ mare̱ da.
2d06080071	Ba shu̱'u̱te̱ u̱zu̱ in maru̱g u̱ Kiristi ne̱, in o̱ yadu̱ jab u̱zu̱ in do̱'e̱ u̱r-fat u̱ wa ne̱.
