1300000004	Saam
2d091b00a1	Isaiah ingawm Israelkhqi awh vemyihna anak kqawn bai hy: “Israel thlangkhqi ve tuicunli a keng awhkaw dizui zah law u seiawm, ak syng tloek doeng ni a hul hly.
2d091c0061	Ikawtih Bawipa ing khawmdek khanawh awideng kawmsaw ang tawnna a dytnaak ce pha sak kaw,” tihy.
2d091d00c7	Isaiah ing lamma na vemyihna kqawn bai hy: “Bawipa ing cadilkhqi ve a ma hlyn mantaw, ningnih ve Sodom khaw amyihna ni awm kawm usaw, Gomora khaw amyihna ni ni awm hly hawh uhy,” tinawh kqawn hy.
2d091e006c	Cawhtaw ikawmyihna ni ti lah voei? Dyngnaak amak hquut Gentelkhqi ing cangnaak ak caming dyngnaak ce hu uhy,
2d091f003e	cehlai dyngnaak ham anaa ak hquut Israelkhqi ingtaw am hu uhy.
2d09200071	Ikawtih a mami huh? Cangnaak ing a hquut kaana bibinaak ing ami hquut a dawngawh “Bahnaak lung,” awh bah uhy.
2d0921009f	Toek lah, bahnaak aham ingkaw tluuknaak aham Zion awh lung ta nyng, u awm ce ak ypnaak thlang taw ityk awh awm chah am phyi kaw,” tinawh qee hyt awm hawh hy.
2d0a01007a	Koeinaakhqi, kak kawlung ngaihnaak ing Israel thlangkhqi ham kak cykcahnaak taw a mingmih hul na ami awm thainaak aham ni.
2d0a02005c	Khawsa benawh kawlung pe uhy tice sim nyng, cehlai ami peeknaak ce cyihnaak awh am hang uhy.
2d0a030082	Khawsa ven awhkawng ak law dyngnaak ce a sim kaana a mimah a dyngnaak doeng ce sai aham cai uhy, Khawsa dyngnaak awh am pe qu uhy.
2d0a04005a	Khrih taw anaa awi a dytnaak na awm nawh ak cangnaak thlang boeih aham dyngnaak ce awm hy.
2d0a05007f	Anaa awi ak caming dyngnaak ce Mosi ing: Ve a ik-oeihkhqi ak sai thlang taw vekkhqi ak caming hqing kaw,” tinawh a na qee hy.
2d0a060099	Cehlai cangnaak ak caming dyngnaak ingtaw vemyihna kqawn hy: “Nak kawk khuiawh, ‘U nu khawk khan na a kaai hly?’ Cetaw Khrih ak kqum law tinaak ni.
2d0a070078	Am awhtaw, ‘U nu ceeikhuina ak kqum hly? Cetaw thihnaak awhkawng Khrih a thawh law hly tinaak ni) koeh ti uh,’ tihy.
2d0a0800a6	Cawhtaw ikawmyihna a ti? “Awi taw na venawh awm hy; nam kha ingkaw nak kawlung khuiawh awm hy,” ti nawh kqawn hy; cetaw cangnaak awi ningnih ing nik khypyi ve ni:
2d0a0900b4	“Jesu taw Boei ni, tinawh nam kha ing dyih pyi nawh, thihnaak awhkawng anih ce Khawsa ing thawh tlaih hy, tinawh nak kawlung ing nak cangnaak awhtaw hul na awm kawp ti,” ti ve.
2d0a0a0076	Ikawtih kawlung ing nak cangnaak dawngawh a ni dyng sak na awm nawh, nam kha ing na pho a dawngawh a ni hul na awm hy.
2d0a0b0066	U awm anih ce ak ypnaak thlang taw ityk awh awm chahqai na am awm kaw,” tinawh Cakciim ing kqawn hy.
2d0a0c009c	Juda ingkaw Gentel haanaak am awm voel hy – cawhkaw Bawipa ce thlang boeih a Bawipa na awm nawh amah ak khykhqi boeih a venawh zoseennaak khawzah pehy –
2d0a0d0044	kawtih, U awm Bawipa ang ming ak khykhqi boeih taw hulnaak hu kaw”
2d0a0e00bf	Cawhtaw, amak cangnaak ing ikawmyihna ak khynaak thai kaw? Ikawmyihna a mang zaak awhtaw anih ce ak cangnaak kaw? A mingmih a venawh u ing amak kqawn peek awhtaw ikawmyihna ang zaak naak kaw?
2d0a0f00a7	Thlang amni tyih awhtaw ikawmyihna khypyi na a awm thai kaw? “Awithang leek ak haw lawkung khqi a khaw taw leek soeih soeih mah hy!” tinawh qee hyt na awm hawh hy.
2d0a100090	Cehlai Israelkhqi boeih ing awithang leek ce am do uhy. Isaiah ing, “Bawipa, kaimih ak awih kqawn ve u ing nu ak cangnaak?” a na ti amyihna.
2d0a11005b	Cangnaak taw awi zaaknaak awhkawng ni a law, awi taw Khrih ak awi zaaknaak awhkawng awm hy.
2d0a12008b	Cehlai doet lah vang: Am za unawh nu? Za uhy: A mingmih ak awi ce khawmdek penglum pha nawh, ak awikhqi ce khawmdek a dytnaak dy pha hy.”
2d0a1300d4	Doet tlaih lah vang nyng: Israelkhqi ing am zasim unawh nu? Lamma cyk awh Mosi ing, “Qam na amak dyi thlangkhqi ce ni yt sak kawng nyng saw; zaksimnaak amak ta qam ingqawi nak kaw ni so sak kawng,” a na tihy.
2d0a140092	Isaiah ing qaal leeknaak ing, Kai a manik sui thlangkhqi ing ni hu unawh; kai a manik sui thlangkhqi venawh dang pe nyng,” tinawh anak kqawn hy.
2d0a15008a	Cehlai Israelkhqi awh ce, awi amak ngai thlangkhqi ingkaw kai anik oelhkhqi aham khawnghi zuung ka baan phyl nyng,” tinawh kqawn bai hy.
2d0b01009a	Cawhtaw kai ing doet nyng: Khawsa ing ak thlangkhqi ce ak hoet nu? Am hoet qoe qoe hy! Kai kamah awm Israel thlang, Abraham a cadil, Benjamin na awm nyng.
2d0b0200ac	Khawsa ing a sim cee hawh ak thlangkhqi ce am qoeng hy. Elijah ing Israelkhqi ama ngaih a dawngawh Khawsa venawh a cykcahnaak awi Cakciim awh ak awm ce am nami sim nawh nu?
2d0b030096	Bawipa na tawnghakhqi awm him unawh nang a bawkthangkhqi awm hqe hawh uhy; kai doeng ni ka awm hy, cehlai tuh kai awm him aham ni sui uhy,” a ti ce.
2d0b040082	Khawsa ing ikawmyihna awi am hlat peek ce? “Baal a haiawh khuk amak sym kamah aham thlang thong khqih hoep hun nyng,” tina hy.
2d0b050041	Camih lawtna, tuhawm am qeennaak ing thlang ak tyh ce awm hun hy.
2d0b060083	Qeennaak ing ak tyk mantaw, bibinaak ak caming am voel hawh ni; bibinaak ak caming mantaw, qeennaak ce qeennaak na am awm voel kaw.
2d0b070094	Cawhtaw ikawmyihna a awmnaak? Israelkhqi ing ngaihtaak doena sui hlai uhy am hu uhy, ak tyhkhqi ingtaw hu uhy. Ak changkhqi taw kawlung hqam sak hy.
2d0b0800c0	Mik ta hlai uhy a mami huh thainaak aham, haa ta hlai uhy a maming zaak thainaak aham, tuhngawi dy awh, Khawsa ing a mingmih ce ngai qepnaak kawlung pek khqi hy,” tinawh qee hyt awm hawh hy.
2d0b090088	David ingawm: A mingmih a caboei ce dawng ingkaw thang na awm seitaw, a mingmih ang bahnaak ingkaw a mi khawboe phu zawknaak na awm seh.
2d0b0a005f	Khaw a mami huh thainaak aham a mi mikkhqi hyp seitaw, a mim tingkhqi ce khun seh,” ana tihy.
2d0b0b00b7	Doet tlaih lah vang nyng: ama mi thawh thainaak voel dyna tlu unawh nu? Amni! A mingmih a sai thawlhnaak awhkawng, Israelkhqi ing ami ytnaak aham, hulnaak ce Gentelkhqi venawh law hy.
2d0b0c00ca	Cehlai a mingmih a sai thawlhnaak ce khawmdek boeinaak na awm nawh, a mingmih ing ami hlawng ce Gentelkhqi boeinaak na a awm awhtaw, a mingmih a soepnaak ing iqyt dy nu boeinaak ce a awm sak khqoet kaw!
2d0b0d0076	Nangmih Gentelkhqi venawh ni ka nik kqawn peek khqi. Gentelkhqi ham ceityih na ka awm khui taw, bi ve khawzah bi nyng,
2d0b0e006b	ikawmyihna awm kak thlangkhqi ing ytnaak ta unawh thlang vang awm hul na a mi awm thainaak aham bi bi nyng.
2d0b0f00a9	Ikawtih a mingmih ing a mi qoeng a dawngawh khawmdek ing tuqunaak na ang coeng awhtaw, a mingmih ing a mi do ak khqoet man thihnaak awhkawng hqingnaak na am awm kawm nu?
2d0b100091	Phaihpi ak cyk ce pe nawh a ciimcaih sak hawh awhtaw, phaihpi a cuu boeih na ciimcaih hy; thingkung ce a ciim awhtaw, a baaikhqi awm ciimcaih hy.
2d0b11008c	A baai a vang ce a ek awhtaw, nangmih, olive chap, olive thing a baai awh cawng na awm tiksaw ak kqa awhkawng ak pli ce hang taai na hyk ti,
2d0b120099	cedawngawh a baai chang ak khanawh koeh oek qu. Nang oek qu awhtaw, ve ve poek: nang ing ak kqa ce tha am pe hyk ti, ak kqa ing ni nang ce tha a ni peek.
2d0b130058	Cedawngawh, Kai ve cawng na ka awmnaak thai aham a baaikhqi ek hy,” na ti aham awm hy.
2d0b140093	Thym hy, a mingmih ing a ma mik cangnaak awh ni a mi ek hy, nangmih awm cangnaak awh ni naming dyih hy. Cedawngawh koeh hoel qu nawh taw, kqih lah.
2d0b150055	Khawsa ing a baai tang tang zani a mam hlyn awhtaw, nangmih awm am nim hlyn khqi kaw.
2d0b1600de	Cedawngawh Khawsa am qeennaak ingkaw a tlungthangnaak ce poek lah uh. Ak tlukhqi hamna taw ak khawngkhqi camawh ni; nang ahamna taw leek hy, a leeknaak awh na awm poe awhtaw; cekkaataw nang awm tluk sakna awm lawt kawp ti.
2d0b170048	Cangnaak kaana a mami awm poe awhtaw, a mingmih ce cawng khqi tlaih kaw.
2d0b1800bb	Nangmih olive thik chap awhkawng chawm na awm u tiksaw olive thing tang awh cawng na nami awm awhtaw, vawhkaw olive thing tangkhqi ak khqoet taw olive thing awh cawng hly thai khqoet saw!
2d0b1900bb	Koeinaakhqi, nangmih ing am naming oekqunaak aham vawhkaw awihyp ve sim kaana nami awm aham am ngaih nyng: Gentelkhqi ami soepnaak nyn a pha hlan dy taw, Israelkhqi amik kawlung hqam kaw.
2d0b1a0087	Cehlai Israelkhqi boeih hul na awm kaw; “Hulkung ce Zion awhkawng law kawmsaw; Jakob a venawh kawng Khawsa ama simnaak ce khawng kaw.
2d0b1b0071	Ve ve a mingmih mi awikamnaak ka sai ni, a mingmih a thawlhnaak ce lawh pe kawng,” tinawh qee hyt hawh amyihna.
2d0b1c0080	Awithang leek awi awhtaw, a mingmih ce nangmih a qaal na awm hlai uhy, tyknaak benawh taw, pakdamkhqi ak caming lungnaak hu uhy,
2d0b1d0049	Ikawtih Khawsa a zopeek kutdo ingkaw khynaak vetaw hqe thai na am awm hy.
2d0b1e008a	Nangmih awm maa nataw Khawsak awi am ngai hlai uhyk ti a mingmih ing awi a mami ngainaak ak caming tuh awhtaw qeennaak ce hu hawh uhyk ti,
2d0b1f0088	cemyih lawtna a mingmih awm Khawsa ing nangmih a venawh qeennaak a taak lawt amyihna qeennaak ami huh thainaak aham tuh awi am ngai uhy.
2d0b200068	Thlang boeih ak khanawh qeennaak a taak thainaak aham, Khawsa ing thlang boeih ce awi amak ngai na tahy.
2d0b2100a2	Aw Khawsa a cyihnaak ingkaw thoemnaak boeinaak” ak dung soeih soeih ve! Ak awi dengnaak sim thai noeng am ingkaw, hquut thainaak a ceng benna ak awm lam aih ve!
2d0b22004c	U ing nu Bawipa ak kawlung ce a sim hawh? U ing nu anih ce khaw ak poek pyi?
2d0b23003e	Khawsa ing a sam tlaihnaak aham, u ing nu ik-oeih a peek hawh?
2d0b240087	Ikawtih amah a ven awhkawng amah ak caming amah a venawh ik-oeih boeih ve awm hy. Amah a venawh thangleeknaak a poepa na awm seh! Amen.
2d0c0100bb	Cedawngawh, koeinaa khqi, Khawsa qeennaak awh, ak hqing bulnaak, ak ciimcaih ingkaw Khawsa a ym kawi na nami pum ce pek aham ni thoeh khqi nyng; ve ve nami bawknaak awh ak awm hly qoe ni.
2d0c0200c8	Ve khawmdek phung amyihna koeh awm unawh; Khawsa a ngaih kawi, ak leek, ym kawi ingkaw leeknaak ak soep ce ak ceetna zaaksimnaak nami taaknaak ham, namik kawlung ak thaina awmnaak ing chawt qu lah uh.
2d0c0300f3	Kai a venawh a ni peek am qeennaak ak caming nangmih boeih a venawh kanik kqawn peek khqi: Na mimah ingkaw na mimah ce ak sang soeih na koeh ngai qu uh, Khawsa ing a ni peek cangnaak ing a ting a tawk na na mimah ingkaw na mimah ce ngai qu uh.
2d0c04005a	Ningmih ing ni pum awh a baai khawzah ni ta uhy, cehlai a mi bibinaak ce am myih boeih hy,
2d0c05009c	cemyih lawtna ningnih awm Khrih awh a baai khawzah na ak awm pum pynoet na ni awm uhy, a baaikhqi boeih ce pynoet ingkaw pynoet a koena awm qu qip boeih hy.
2d0c060080	Qeennaak a peeknaak amyihna kutdo ak chang chang ni ta unawh, awikqawnkungna ak awm ing cangnaak a taak khoek amyihna kqawn seh;
2d0c07004b	bibikung ing thahly doena bi bi seh, cawngpyikung ing ypawmna cawngpyi seh,
2d0c0800a0	ak sawikung ing ypawmna sawi seh; them ak pekung ing a hai kaana pe seh, awitlykkung ing ak leekna awitlyk seh, thlang ak qeenkung ing zeel doena qeen seh nyng.
2d0c09006b	Lungnaak taw kawlung tang tang ing a awm aham awm hy. Seetnaak ce sawhna unawh, leeknaak ce ak cakna tu uh.
2d0c0a003b	Pynoet ingkaw pynoet cingnahqui lungnaak ing lung qu na uh.
2d0c0b004d	Thaseetnaak qoe qoe koeh ta law uh, tha lo law unawh, Bawipa bi ce bi law uh.
2d0c0c0069	Ngaih-unaak awh ce zeel uh, kyinaak nami huh awh kawdungnaak ing yh law unawh, cykcahnaak awh cak lah uh.
2d0c0d0047	Thlakciimkhqi a voetnaak dawm unawh, khinkhqi ce ak nep na toek law uh.
2d0c0e0069	Nangmih anik thekhanaak thlangkhqi ce zoseennaak pe law uh; zoseennaak pe unawh awih che ing koeh zyi uh.
2d0c0f003f	Ak zeelkhqi ce zeel pyi unawh; kaw ak sekhqi ce kawseet pyi uh.
2d0c10008c	Pynoet ingkaw pynoet qoep ang qui cana awm uh. Koeh oek qu uh, thlang ak kaina ak awmkhqi mi pyi qu uh. Namah ingkaw namah koeh zoeksang qu.
2d0c11006e	Thawlhnaak ce thawlhnaak ing koeh thung uh. Thlang boeih amik huh awh ak thym ce ngaihtaaknaak ing sai law uh.
2d0c12006c	Ang coeng thai awhtaw nangmih ben awhkawng ang coengnaak thai khuina thlang mi qoep ang qui cana awm law uh.
2d0c1300a0	Ka pyikhqi, nami phu koeh sui law uh; Khawsa ak kawsonaak ce ken law uh, “Kut thungnaak taw kai a koe ni, kai ing thung kawng nyng,” tinawh Bawipa ing tihy.
2d0c1400a3	Ce anglakawh: Na qaal ce ak phoen a cawih awhtaw, buh pe; Tui a ngaih awhtaw, awk kawi ce pe. Vemyihna na sai awhtaw a lu awh maieh na tloeng peek ing myih kaw.”
2d0c150046	Seetnaak ing koeh ni noeng seitaw, leeknaak ing seetnaak ce noeng lah.
2d0d010085	Thlang boeih ukkung ak kaiawh awm seh. Khawsa ing a mak tyh ukkung am awm hy. Ukkungna ak awmkhqi boeih ve Khawsa ing ak tyh khqi ni.
2d0d0200b6	Cedawngawh, u awm ukkungkhqi ak oelh thlang taw Khawsa ing a taak ce ak oelh thlang nani a awm, cemyihna amik sai thlangkhqi ingtaw amah ingkaw amah ak khanawh awidengnaak ce hu kaw.
2d0d0300d2	Ik-oeih ak thym ak saikhqi aham ukkung kqih ham am awm hy, cehlai ik-oeih amak thym ak saikhqi ham ni kqih a awm. Uknaak ak takhqi ce amak kqih ham nak ngaih nu? Them leek mah sai lah, cawhtaw nim kyih bit kaw.
2d0d0400fc	Ikawtih nang ing them leek na sainaak aham anih ce Khawsa a tyihzawih na awm hy. Cehlai ik-oeih amak leek na sai awhtaw kqih lah, anih ing zawzi ce a zoena am tahy. Ik-oeih ak sai thawlhkhqi ak khanawh kawsonaak ak takung, Khawsa a tyihzawih na awm hy.
2d0d05006b	Cedawngawh toelnaak nak kqih doeng kaana namah a simnaak qoe qoe ingawm ukkung ak kaina na awm aham awm hy.
2d0d06007c	Cawhni mangmu awm nami peek hy, ukkung taw Khawsa a tyihzawih na a awm dawngawh, a mingmih ing ve a ik-oeih awh ve bibi uhy.
2d0d0700cd	Na peek tyng ce pe boeih: Mangmu peek aham a awm awhtaw pe mai; them phu peek ham a awm awhtaw pe; kqihchahnaak peek ham a awm awhtaw kqihchahnaak pe; zoeksangnaak peek ham a awm awhtaw zoeksangnaak ce pe.
2d0d080089	Pynoet ingkaw pynoet lungnaak am kaa taw, ik-oeih laiba koeh ta law uh, u awm thlakchang ak lungnaak ingtaw anaa awi ce soep sak hawh hy.
2d0d0900c0	Koeh samphaih; thlang koeh him; koeh qu; koeh nai,” tinaak awipeek ingkaw ikawmyih ak chang awipeek awm vawhkaw: “Namah a pum amyihna na imceng lung law na,” tinaak awi awh cui boeih hy.
2d0d0a006a	Lungnaak ing a kengsam thlang a seetnaak am sai hy. Cedawngawh lungnaak taw anaa awi a soepnaak na awm hy.
2d0d0b00c4	Tuh tloek awhkaw a tym ve sim doena, ve ve sai lah, nik cangnaak thai awhkawng lak awh hulnaak a tym ce a zoe law voe voe hawh dawngawh, ihnaak awhkawng na hang hqyng lawnaak a tym ce pha hawh hy.
2d0d0c00a6	Khawmthan boeih tawm ca hawh nawh; khaw dai tawm ca hawh hy. Cedawngawh than awhkaw ik-oeih saikhqi ce qoeng hlah unawh khawkdai a suisak ing thoeihcam qu hlah u sih.
2d0d0d006a	Khawkdai awhkaw amyihna khawboe leek sai unawh, oelh qunaak ingkaw tlaiseetnaakkhqi ce koeh ta u sih nyng.
2d0d0e0070	Vemyihkhqi anglakawh Jesu Khrih ing thoeihcam qu unawh, pumsa ngaih thawlhnaak a soepnaak aham koeh poek law uh.
2d0e01003f	Cangnaak awh tha amak awm thlang ce a theenaak kaana do law uh.
2d0e02009a	Thlang pynoet ingtaw, cangnaak ak caming ik-oeih boeih boeih ai hly thai mai hlai hy, cangnaak benawh tha amak awm thlang ingtaw, anhah doeng ni a ai hly.
2d0e0300a8	Ik-oeih boeih boeih ak ai ing anhah doeng ak ai ce koeh the na seh, anhah doeng ak ai ingawm ik-oeih boeih ak ai ce koeh cawt seh, kawtih anih ce Khawsa ing do hawh hy.
2d0e040094	Thlakchang a tyihzawih awi ak deng nang ce a u nu? A Bawipa aham ni ang dyih nawh ang tluk hy. Anih ce dyi kaw, Bawipa ing anih ce dyih sak thai hy.
2d0e0500d1	Thlang pynoet ing khawnghi ak chang boeih anglakawh khawnghi pynoet ce ak ciimcaih na poek hy; thlang pynoet bai ingtaw khawnghi boeih ce ang myih na poek hy. Thlang boeih ing amah ak poeknaak amyihna awm seh.
2d0e0600f0	Khawnghi ak zeih ing Bawipa a boeimangnaak hamna ni a zeih, ik-oeih ak ai ing Khawsa venna zeelawi kqawn nawh a ai ak caming Khawsa kyihcahnaakna ai hy; a mak ai ingawm Khawsa venna zeelawi ak kqawn ak caming Khawsa kyihcahnaak na am ai hy.
2d0e070047	U awm ni mah doeng aham amni hqing nawh ni mah doeng aham am ni thi hy.
2d0e0800aa	Ni hqing awhtaw Bawipa ham ni hqing unawh, ni thih awh awm Bawipa ham ni, ni thih uh hy. Cedawngawh ni hqing awh awm, ni thih awh awm ningnih taw Bawipa koena ni awm uhy.
2d0e090071	Ve a dawngawh ni thlak thi ingkaw thlak hqing a Bawipa na a awmnaak thai aham, Khrih taw thi nawh hqing tlaih hy.
2d0e0a00b2	Cawhtaw, ikaw ham na nu nang ing na koeinaa ce awi na deng? Ikaw ham nu na koeinaa ce na thenaak? Ningmih boeih ve Khawsa awidengnaak ngawihdoelh a haiawh ning dyi boeih kawm uh.
2d0e0b0136	”Kai ka hqing a dawngawh, khawkhlu boeih ing ka haiawh khuk sym kawm uh, lai boeih ing khawsa haiawh thawlh phawng kawm uh,” tinawh qee hyt awm hawh hy. “Kai ka hqing a dawngawh, khawkhlu boeih ing ka haiawh khuk sym kawm uh, lai boeih ing khawsa haiawh thawlh pho kawm uh,” tinawh qee hyt awm hawh hy.
2d0e0c004b	Cedawngawh ningnih boeih ing nimah akawng ce Khawsa haiawh nik pho kawm uh.
2d0e0d00a0	Cedawngawh pynoet ingkaw pynoet awi koeh deng qu voel u sih. Ce anglakawh, u ingawm koeinaa ang tluknaak ham ingkaw ang bahnaak hly kawi ce koeh sai voel u sih.
2d0e0e00c6	Bawipa Jesu awh ka awm hawh amyihna, ikawmyih a buh a an awm amah poek awh am ciimcaih hy tice am awm hy. Cehlai u ingawm ik-oeih pynoet oet ce amak ciimcaih na ak poek awhtaw, anih aham am ciim hy.
2d0e0f00b1	Nang a awk ai awh ce na koeinaa ing ak kaw ama law awhtaw, lungnaak ing them am sai voel hyk ti. Anih aham Khrih ce a thih hawh dawngawh na awk na ai ing na koeinaa ce koeh hqe.
2d0e10004c	Nangmih ing nep hy tinawh namik poek ce thlang ing ak che na koeh kqawn seh.
2d0e110074	Ikawtih Khawsa qam taw awk ai awh am awm hy, Khawsa qam taw dyngnaak, qoep ang quinaak, Ciim Myihla awh zeelnaak ni,
2d0e120053	u awm vemyihna Khrih a bi ak bi ing Khawsa zeel sak nawh thlang ing kyih am cah hy.
2d0e130061	Cedawngawh qoep ang quinaak ben ingkaw pynoet ingkaw pynoet hawihkhangnaak kawi ben ce sai u sih.
2d0e140095	Buh a an a dawngawh Khawsa bibi ce koeh hqe u sih. Buh a an boeih ve ciim hy, cehlai thlang ang bahnaak aham ikawmyih awm ni awk ni ai ve am thym hy.
2d0e150088	“Na koeinaa ang tluknaak hly kawi na a awm awhtaw, meh a ma ai ham aw, misurtui ama awk ham aw, am awhtaw kaw awm a ma ai aham nep hy.
2d0e16009f	Ve a ik-oeih awh ve nang ing nak cangnaak ce namah ingkaw Khawsa anglakawh ta dym. U awm amah ing a sai ik-oeih awh dawk amak pe qu taw a zo ak seen thlang ni.
2d0e1700a0	Cehlai u awm upvoetnaak kawlung ing ak ai taw thawlh hawh hy, cangnaak ing ama ai a dawngawh; cangnaak awhkawng amak law ik-oeih boeih taw thawlhnaak na awm hy.
2d0f010087	Ningmih tha ak awmkhqi ing tha amak awmkhqi a voetnaak ce ning zaksim peek aham awm hy, nimah ak kawzeelnaak doeng poek aham am awm hy.
2d0f02007b	Ningmih boeih ing ni ven awhkaw thlang a leeknaak aham ingkaw a hawihkhangnaak aham ak kawzeelnaak ce sai peek aham awm hy.
2d0f030090	Khrih ing zani amah ak kawzeelnaak ce am sai hy, “Nang anik zyikungkhqi a zyihnaak ce kak khanawh tla hawh hy,” tinawh qee na a awm amyihna.
2d0f0400a3	yhnaak ingkaw Cakciim ak thapeeknaak ak caming ngaih-unaak ni taaknaak thai aham, ak kqym awh a mi na qeekhqi boeih taw ningnih cang saknaak aham ni a mina qee hy.
2d0f050092	yhnaak ingkaw thaawmnaak ak pekung Khawsa ing Jesu Khrih a hu ak hquut na nami awm dawngawh nangmih kawlung pynoet na taaknaak ce ni pek khqi seh,
2d0f060084	ningnih a Bawipa Jesu Khrih a Pa Khawsa ce nami zoeksangnaak thai aham namik kawlung ingkaw nami hui na mim lai pynoet na ta lah uh.
2d0f07007e	Khawsa zoeksang na a awmnaak thai aham, Khrih ing nangmih a ni do khqi lawt amyihna nangmih pynoet ingkaw pynoet do qu lah uh.
2d0f08009f	Ikawtih ka nik kqawn peek khqi taw Khawsa ak awitak ang zyngna Khrih ce Judakhqi a tyihzawih na coeng hy, pakdamkhqi venawh awi a taak ce caksak aham, tive ni,
2d0f0900c1	am qeennaak awh Gentelkhqi ing Khawsa ce a mi zoeksangnaak thai aham na ni. “Cedawngawh Gentelkhqing lak awh nang ce ni zoeksang kawng nyng saw; nang ming kyihcahnaak laa ce sa kawng nyng.”
2d0f0a004e	Aw Gentel thlangkhqi, ak thlangkhqi mi zeel lah uh,” tinawh qee hyt amyihna.
2d0f0b0087	Cekcoengawh, “Gentelkhqi boeih aw, Bawipa ce kyihcah lah uh, thlangkhqi boeih aw, a venawh thangleeknaak laa sa lah uh,” ti bai hy.
2d0f0c009a	Cekcoengawh Isaiah ingawm, “Phynlum thlang uk aham, Jesse ak kqa ce cawn kaw; Gentelkhqi ing anih awh ce ngaih-unaak ta kawm uh,” tinawh kqawn bai hy.
2d0f0d00b6	Ciim Myihla thaawmnaak ingkaw ngaih-unaak ing nami be hlai thainaak aham, amah ce nami ypnaak amyihna, ngaih-unaak Khawsa ing awmhly zeelnaak boeih ing nangmih ce ni be sak khqi seh.
2d0f0e0086	Koeinaakhqi, nangmih taw leeknaak ing be uhyk ti, cyihnaak ing soep u tiksaw pynoet ingkaw pynoet yn a tawn qu uhyk ti, tice sim nyng.
2d0f0f006e	Khawsam qeennaak ka venawh a ni peek amyihna, ityk nin taw qaal nepnaak ing ca ni qee law pek khqi kawng nyng,
2d0f1000d3	Gentelkhqi venawh Jesu Khrih a bibikung na ka awm amyihna, Ciim Myihla a ciim saknaak ak caming Khawsa a do kawi ik-oeih peek na a mi awm thainaak aham khawsoeih bibinaak ing Khawsa ak awithang leek khypyi nyng.
2d0f110041	Cedawngawh Jesu Khrih awh Khawsa bi ka binaak awh ve kyih qunyng.
2d0f12009b	Kai ing kai ak caming a soep sak Khawsa awingainaak aham Gentelkhqi sawinaak am awhtaw, ce ce kqawn nawh sai hawh nyng, ikaw awm ap kqawn sawhqat kawng –
2d0f130095	Myihla thaawmnaak ing kawpoek kyi saithainaakkhqi ce sai hawh nyng. Jerusalem awhkawng Illiricum kengsam dyna, Khrih ak awithang ce khypyi hawh nyng.
2d0f140097	Thlang ing Khrih a ma simnaak a hun awh awithang leek kypyi ve kai ang cainaak na awm poepa hy, cawh ni thlang ak tungling ak khanawh im am ka sak hly.
2d0f150078	”Thlang ing amak kqawn peek thlangkhqi ing za kawm usaw, amak zakhqi ing zasim kawm uh,” tinawh qee hyt awm hawh hy.
2d0f160046	Ve a dawngawh nangmih a venna am ka law thainaak na awm hoeih hoeih hy
2d0f17007f	Cehlai tuh awhtaw ve a qam tloek awh bibinaak aham a hun am awm voel hy, nangmih a myi awm ka huh aham ka ngaih hawh adawngawh,
2d0f1800e0	Spain qam na ka ceh awh law aham cai nyng. Ka ceh awh cawhkawng law kawng nyng saw nangmih awm ni hqip lawk khqi kawng nyng, nangmih mi a khoeh ni awm coengawh, lam awh nangmih ing nim leng bet kawm uk ti tinawh ngaih-unyng.
2d0f190054	Cehlai, tuh awhtaw, Jerusalem awh a mik awm thlakciimkhqi bibipyi aham cet hun nyng.
2d0f1a0080	Makedonia ingkaw Akhaia awhkaw thlangkhqi ingtaw awmhly doena Jerusalem awh ak awm thlak ciim khawdengkhqi ik-oeih do a dan uhy.
2d0f1b00f9	Cemyihna do dan aham ce ngaih uhy, cekkhqi venawh cemyihna a mi sai ham qoe na awm awm hy. Gentelkhqi ing Judakhqi ang Myihla zoseennaak ce a pang pyi awhtaw, pumsa ik-oeih zoseen naak ce Judakhqi venawh a ming qek a ming qaa thoem aham awm lawt hy.
2d0f1c009b	Vawhkaw bibi kak coengawh vawhkaw ak thaih ve a mingmih ing a mi huh coeng awhtaw, Spain qam na cet kawng nyng, nangmih awm ni hqip lawk khqi pahoei kawng.
2d0f1d0059	Nangmih a venna ka law awh, Khrih a zoseennaak ing ak be na law kawng nyng tice sim nyng.
2d0f1e00a4	Koeinaakhqi, kyinaak ka huhnaak awh ve kai aham Khawsa venawh nami nik cykcah pyi aham, ningnih a Bawipa Jesu Khrih ingkaw Myihla lungnaak ak caming thoeh law nyng.
2d0f1f009d	Judah awhkaw amak cangnaak thlangkhqi a kut khuiawh kawng loet nawh Jerusalem awh amik awm thlak ciimkhqi ing ka bibi ve a mi donaak thai aham cykcah lah uh,
2d0f200071	Khawsa ngaihnaak amyihna, zeelnaak ing nangmih nami kqaknaak aham nangmih a venawh ka law thainaak aham cai nyng.
2d0f21003c	Khawsa a ngaihdingnaak nangmih boeih a venawh awm seh. Amen.
2d10010063	Kenkhrea khaw thlangboel a tyihzawih na ak awm nangmih ingkaw kaimih a ci nu Fobi ce ym law lah uh.
2d100200a4	Anih ce Bawipa awh thlakciimkhqi amyihna do law unawh, nangmih a venawh kawng ang syt bawmnaak ce pe law uh, anih ing thlang khawzah ce bawm hy, kai awm ni bawm hy.
2d10030046	Jesu Khrih awh a bibi pyi Priscilla ingkaw Aquila ce kut tlaih law uh.
