0100000005	Dadaa
2c1b0b0071	Ajajaan dhibbaa ammoo, gorsa Phawuloosii caalaa, waan abbaan hobolo'ootii fi ka hoboloo oofu jedhane dhugeeffate.
2c1b0c013b	Addeen buufata hobolo'oo sun, yennaa gannaa achi turiisaaf ta hin tolle waan teeteef, isaan keessa garri caalaan, achii ka'anee, yoo isaanii dande'ame Finiiqe'etti galanee, ganna achitti bayiisaaf murteeffatane. Finiiqeen addee buufata hobolo'oo, oddoola Qareexisii irraa gara kaaba dhi'aatii fi kibba dhi'aa jirti.
2c1b0d00ab	Qilleensi laafaan karaa kibbaatiin bubbisuu yennaa jalqabe, akkuma isaan hedane waan teeteef seyanee, hoboloo guddittii hiikanee irga Qareexisiitiin abbaayaa irra deemane.
2c1b0e007d	Ammoo adoo hin turin bubbeen jadduun, «Bubbee kaaba bahaa» jedhantu, oddoola Qareexisii irraa gara abbaaya'aa gad bubbitte.
2c1b0f006a	Bubbeen hoboloo guddittii dhoottee, gara duraa deemiisa waan dadhanneef, itti lakkinnee bubbe'een oofanne.
2c1b1000c0	Oddoola diqqayyicha Kaawudaa jedhamu tokko gollaa godhannee yennaa deenne, rakkoo guddo'oon hoboloo, hoboloo guddittii teennatti hidhantee harkifantu san, qilleensa irraa buufatiisa dandeenne.
2c1b11010e	Hoboloo ol harkisanee baasaneen duuba, hoboloon guddittiin akka hin diiganneef wodaro'oon xaxanee hidhane. Hoboloon guddittiin lafa maansa Sirtis jedhantutti nu duraa dhowanti jedhanee waan sodaataneef, waan laana isii ideensisu gad hiissanee, bubbe'een oofamaa deemane.
2c1b120077	Bubbeen nutti jabaataa waan deenteef, boruyyaa fe'iisa hoboloo guddittii keessa jiru, gara abbaaya'aa darbuu jalqabane.
2c1b13005c	Guyyaa sadeesso'oo, harkuma ifiitiin meya hoboloo gudditti'ii abbaayaa gudditti'itti gatane.
2c1b140087	Nuuti guyyaa hedduu aduu yookiin urjii hin dhaggine; bubbeelle ittuma jabaattee waan nutti bubbitteef, hin fayyinu jennee addii kutane.
2c1b1500de	Namooti adoo sagalee hin nyaatin guyyaa hedduu turaneen duuba, Phawuloos odduu isaanii dhaabbatee, «Jarana, waan ani isiniin jedhe dhageettanee Qareexisii adoo ka'uu dhaddane, bala'aa fi badiin tun isin hin dhaqqadduuyyu.
2c1b160068	Amma ammoo, jabaadha'a! Sababille hoboloo guddittii malee, isin keessaa lubbuun nama tokkolle hin baddu.
2c1b170062	Halkan edaa ergamaan Waaqaa ka Waaqa ani ka isaa te'ee fi ka ani waaqonfadhuu, na bira dhaabbatee,
2c1b1800ba	‹Phawuloos, hin sodaatin! Ati Mootii Mootota Rooma'aa dura dhaabbatuu qadda. Waaqille lubbuu worra si woliin jiruu duudii, si'iif jedhee du'a irraa hin hambura› jedhee natti himeera.
2c1b190056	Tanaaf, jarana jabaadha'a! Akkuma inni natti hime akka teetu ani Waaqatti hin addadha.
2c1b1a0051	Te'uu malee, bubbe'een oofannee, oddoola tokko irratti gatamuu hin oollu» jedhe.
2c1b1b00cf	Gaafa guyyaa kudhanii arfeesso'oo halkan, abbaayaa Adriiya'aa irra bubbeen asii fi achi nu oofaa, gara halkan wodhakka'aa yennaa geenne, worri hoboloo guddittii keessa jiranu, waan lafatti dhikaatane seyane.
2c1b1c00db	Isaan waan ulfaatu qaccee wodaro'ootitti hidhanee gad buusanee, gad fageenni bisaanii meetira afurtama te'ee dhaggane; diqqoo deemaneen duuba akkuma kaan wodaroo bisaan keessa buusanee gad fageenni meetira soddoma te'e.
2c1b1d00a8	Hoboloon guddittiin rassaa dhootti jedhanee sodaatanee, sibiila ulfaataa afur, hoboloo guddittii duubaan abbaayaa keessa gad buusanee, akka latti bariituuf daadimatane.
2c1b1e00e3	Achiin duuba worri hoboloo guddittii oofu, dheetiisa barbaadanee, sibiila ulfaataa hoboloo guddittii duraan abbaayaa keessa waan gad buusanu fakkeessanee, hoboloo diqqittii hoboloo guddittii irra jirtu, abbaayaa keessa buusane.
2c1b1f0088	Phawuloos ammoo ajajaa dhibbaatii fi loltootaan, «Worri kun hoboloo guddittii irra yoo turuu dhabe, isin hafuu hin dandeettanu» jedhe.
2c1b200066	Tanaaf loltooti wodaroo hoboloon diqqoon ittiin hidhante irraa kutanee abbaayaa irratti gad lakkisane.
2c1b2100b8	Fuullee ganamaa, Phawuloos isaan duudiin sagalee akka nyaatanu kadhatee, «Isin adoo sagalee hin nyaatin adhi bultii kudhanii arfeesso'oo ti; yennaa tana mara womaa afaaniin hin qanne.
2c1b2200a8	Tanaaf, akka isin sagalee nyaattanu isin kadhadha; jiraatiisaaf nyaatiisa isin barbaachisa. Isin keessaa mataa nama tokkoo irraayyuu rifeensi tokkolle hin badu» jedhe.
2c1b230075	Phawuloos tana jedheen duuba, xaltaa ol fuudhee, isaan duudii duratti Waaqa galateeffatee, cassee, nyaatiisa jalqabe.
2c1b24003b	Achiin duuba isaan duudiin jajjabaatanee, sagalee nyaatane.
2c1b25004e	Nuuti worri hoboloo keessaa wolumatti namoota dhibba lamaa fi torbaatamii jaa.
2c1b260077	Isaan duudiin nyaatanee quufaneen duuba, fe'iisa qamadi'ii abbaayaa gudditti'itti darbanee hoboloo guddittii sallisane.
2c1b2700c7	Yennaa latti bariite, worri hoboloo oofu latti eessa akka teete hin beenne; ammoo isaan maansa qarqara abbaaya'aa dhagganee, yoo dande'ame hoboloo guddittii gara qarqara lafaa dhiibiisaaf barbaadane.
2c1b280101	Maarre isaan wodaroo kutanee sibiila ulfaataa san akka abbaayaa keessa lixu lakkisane; yoosuma wodaroo muka hobolo'oon oofanulle hiikane. Marduufa fuula duraa bubbe'etti ol kaasanee, akka bubbeen hoboloo guddittii gara qarqara abbaaya'aa geessitu lakkisane.
2c1b29009f	Hoboloon guddittiin ammoo gara duraatiin lixxee, tuulaa maansaatitti rakkattee tacho'uu dadhadde; gara duubaatiin ammoo hunna danbali'iitiin caccabuu jalqadde.
2c1b2a0071	Worra hidhamane keessaa tokkolle abbaayaa daakee akka hin milindhe, loltooti isaan duudii ijjeesiisaaf yaadatane.
2c1b2b00d0	Ajajaan dhibbaa ammoo Phawuloos lubbuu hamburiisaaf waan barbaadeef, akka isaan waan yaadane godhanu hin lakkinne. Inni worri daakiisa dande'u dursee hoboloo guddittii irraa utaalee akka lafatti bayanu ajaje;
2c1b2c009f	worri hafe ammoo, falaxaa mukaa baxxichaan yookiin muka hoboloo gudditti'ii ka caccabeen akka bayanu hime. Akka kanaan isaan duudiin nageyaan lafa irra geyane.
2c1c01005d	Nuuti nageyaan lafa irra geenneen duuba, maqaan oddoola sanii Malaaxiyaa akka jedhamu beenne.
2c1c02007e	Namooti oddoola sanii, waan baaseffachiisu nuu godhane; roobaa fi boojjii waan teeteef, ibidda gabbisanee nu duudii fudhatane.
2c1c03008b	Phawuloos haasumee wolitti qabee ibiddatti yennaa kewu, buutiin takka qoraan keessaa o'a ibiddaa adoo dheettuu, harka Phawuloosii ciniinte.
2c1c0400e0	Namooti oddoola sanii, buutiin harka Phawuloosiititti rarrateertuun dhagganee, «Namichi kun nama dhiigaa ti; inni abbaayaa keessaa nageyaan bawulle, muraa Waaqaa jalaa bayee, jiru'uun le'iisa hin dandeenne» woliin jedhane.
2c1c050050	Phawuloos ammoo, buutii ibidda irratti hargufee buusee, adoo hin miidhamin hafe.
2c1c0600c8	Isaan, «Nafi isaa ammaa iitowa yookiin ammaa lafa dhowee du'a» jedhaa eegaaraniiyyu. Guddoo eeganeen duuba ammoo akka womaa te'aa hin jirre dhagganee, yaada ifii jijjiiranee, «Inni waaqa» jedhane.
2c1c07009e	Bulchaan oddoolaa ka Phophlii'os jedhamu tokko, addee san biraa lafa qabaayyu; inni mana ifiititti nu fudhatee, haga guyyaa sadii akka dansaa nu keessumsiise.
2c1c0800b2	Gaafas abbaan Phophlii'osii dhukkuba nafa o'isuu fi albaasuun dhibamee irkateeraayyu. Phawuloos gara isaa ilaaliisaaf seenee, isaaf daadimatee, harka ifii isa irra keyee fayyise.
2c1c09005c	Wonni kun teeteen duuba, worri dhibiin oddoola sanii ka dhibamane duudiin, dhufanee fayyane.
2c1c0a007a	Isaan ulfinna guddaa nu kennanee, yennaa nuuti hobolo'oon deemiisaaf kaane, waan kara'aaf nu barbaachisu mara nuu kennane.
2c1c0b00cb	Ji'a sadiin duuba hoboloo guddittii Iskindiriya'aa, ta ji'a gannaa lafa Maalxiya'aatitti baateen kaanee deenne; hoboloon guddittiin sunille waaqota lakku'uu ka, «Diyoosqoros» jedhamu mataa irraa qaddi.
2c1c0c0035	Qachaa Seraakusiititti gallee, guyyaa sad achi bulle.
2c1c0d0094	Achii hobolo'oon kaanee, qachaa Reegiyosii geenne. Boruyyaa bubbeen kibba irraa bubbittu waan kaateef, guyyaa lamatti gara qachaa Photiyolii dhunne.
2c1c0e008c	Qachaa sanitti dhugeeffattoota garii dhagginee, guyyaa torba isaan woliin akka turru nu gaafatane; achiin duuba gara qachaa Rooma'aa deenne.
2c1c0f00e6	Dhugeeffattooti qachaa Rooma'aa keessa jiranu, dhufa teenna dhage'anee, kuun haga qachaa Aphiyosii, kuun haga addee «Bultuma sad» jedhantuu nu fudhatiisaaf dhufane. Phawuloos yennaa isaan dhagge, Waaqa galateeffatee, jajjabaate.
2c1c10005d	Qachaa Rooma'aa yennaa geenne, Phawuloos lolticha isa eegu woliin qofi akka le'u eeyyamameef.
2c1c110128	Guyyaa sadiin duuba, Phawuloos sooreyyii Yihudootaa wolitti waansise. Yennaa isaan wolitti qabamane, «Obboleeyyan tiyya; ani kolbaa teenna irratti yookiin aadaa abbootii teennaa irratti yakkaa tokkolle adoo hin godhin, Yerusaalem keessatti hidhamee, harka worra Rooma'aatitti dabarfamee kenname.
2c1c120060	Worri Rooma'aa na qoranee, yakkaa du'a natti mursiittu waan dhabaneef, na hiikiisaaf barbaadane.
2c1c130088	Yihudooti ammoo yennaa waan kana mormane, Mootii Moototaatitti akka iyyadhu hunnaan godhame malee, kolbaa tiyya irratti himata hin qabu.
2c1c1400ac	Sababa kanaaf isin dhaggee, isin woliin dubbannuuf isin waame. Ani sababa addii kolbaa Israa'eliitiif jedhee wodaroo sibiilaa tanaan hidhameera» jedhee isaanitti dubbatte.
2c1c1500c4	Isaan deebisanee, «Lafa Yihuda'aa irraa xalayaan tokkolle marroo teetiif nuuf hin barreeffanne; yookiin kolbaan teenna ta achii dhutte oduu yookiin waan hantuu tokkolle marroo teeti hin dubbanne.
2c1c160093	Te'uu malee kolbaan addee duudi'itti golii dhugeeffannaa teetii tana akka mormitu hin beenna; nuuti ammoo yaada keeti dhage'uu barbaanna» jedhane.
2c1c17012b	Maarre isaan guyyaa Phawuloos woliin wol dhagganu qabatanee, guyyaa san heddatanee addee Phawuloos jiru dhufane. Inni ganamaa jalqabee haga galgalaa marroo Mootummaa Waaqaa isaaniif dhugaa bayee, marroo Yesuusii kitaaba Muuse'eetii fi raagotaa keessaa itti himaa isaan dhugeeffachiisiisaaf wodhaane.
2c1c18005a	Isaan keessaa gariin dubbii inni dubbate dhugeeffatane, worri kuun ammoo hin dhugeeffanne.
2c1c1900bf	Maarre isaan wolii hin galle; adoo isaan achii hin ka'in, Phawuloos dubbii takkattii tana isaanitti dubbatee, «Ayyaanni Woyyichi afaan Isaayaasii raagichaatiin abbootii teessanitti dubbatee,
2c1c1a0098	«‹Gara kolbaa tanaa dhaqiitii: Isin hin dhageettan hin dhageettan, ammoo hin hubattanu: Isin hin ilaaltan hin ilaaltan, ammoo hin dhaggitanu jedhiin.
2c1c1b0111	Sababille qalbiin kolbaa tanaa dillootteerti; gurri isaanii cuqqalameera; ila ifiille dunuunfataneeran. Adoo akkas hin te'inii, silaa ilti isaanii dhaggitee, gurri isaanii dhage'ee, qalbiin isaanii hubattee, sila gara kiyya deebi'anee, anille isaan fayyiseeraayyu› jedhe.
2c1c1c0065	«Fayyinni Waaqaa kun worra Yihudoota hin te'iniif akka ergame beeka'a. Isaan hin dhage'an» jedhe. [
2c1c1d0057	Phawuloos tana dubbateen duuba, worri Yihudootaa guddoo wol moromaa isa biraa deemane.]
2c1c1e0067	Phawuloos woggaa lama duudii mana kireeffate keessa tee'ee, worra isa ilaaliisaaf dhufu duudii fudhate.
2c1c1f0077	Inni sodaa malee, namuu adoo isa hin dhooggin mootummaa Waaqaa lallabaa, marroo Goottaa Yesuus Kiristoosiille barsiise.
2d00000008	Rooma'aa
2d0101008b	Ana Phawuloosii tajaajilaa Yesuus Kiristoosii te'ee fi ergamaa te'iisaaf waamamee, Oduu Gammadaa ta Waaqaa akka lallabuuf Waaqi file irraa:
2d0102008a	Oduun Gammadaa tun akkuma Barreeffama Woyyicha keessatti barreeffante, ta Waaqi bara heddu'uun duratti karaa raagota ifiitiin waadaa gale.
2d01030078	Oduun Gammadaa marroo Ilma isaa, Goottaa keenna Yesuus Kiristoosii, namoomaan sanyii Daawitii keessaa dhalatee dubbatti;
2d01040087	akkasuma Goottaan keenna Yesuus Kiristoos Ayyaana Woyyichaan du'a keessaa ka'iisaan, Ilma Waaqaa akka te'e hunna guddo'oon beekkameera.
2d010500a9	Karaa isaatii fi maqaa isaatii jedhee, worri Yihudoota hin te'in mara akka dhugeeffatuu fi ajajamu, akka ani qajeelchuuf badhaadha ergamaa te'iisaa, Waaqi naaf kenneera.
2d01060053	Isinille worri Roomaa keessaa, ka Yesuus Kiristoosii akka teetanuuf Waaqi waameera.
2d010700b0	Maarre isin worra Roomaa keessa leetanu, ka Waaqi jaalatee akka kolbaa isaa teetanuuf waame maraaf: Waaqi Abbaan keennaa fi Goottaa Yesuus Kiristoos badhaadhaa fi nageya kennu.
2d0108009b	Duraan dursee, dhugeeffannaan teessan biyya lafaa maratti waan dhage'amiisatti jirtuuf, karaa Yesuus Kiristoosiitiin isin maraaf Waaqa kiyya galateeffadha.
2d010900a3	Waaqi ani gadhaa tokkochaan Oduu Gammadaa ta marroo Ilma isaa dubbattu lallabiisaan tajaajilu, akka ani yennaa mara daadimannaa tiyyaan isin qaabadhu dhugaa tiyya.
2d010a0063	Waaqi fedha ifiitiin dhuma irratti akka ani amma dhufee isin dhagguuf akka na dandeessisu gaafadha.
2d010b0061	Isin jajjabeessiisaaf, eebba Ayyaanaa isiniin geyiisaaf, ani isin dhaggiisaaf guddoo barbaadeera.
2d010c006f	Isin dhugeeffannaa tiyyaan anille dhugeeffannaa teessaniin, nuuti lamaanuu akka wol jajjabeessinu jechuu kiyya.
2d010d00ff	Obboleeyyan tiyya! Ani akkuma worra Yihudoota hin te'in oddu'utti dhugeeffattoota hedduu dhagge, isin odduulle'etti dhugeeffattoota dhagguu fedheeraayyu; yennaa hedduu gara keessan dhufiisaaf karoorfadhee, ammoo akka naaf hin te'in akka beettanu barbaada.
2d010e0081	Ani kolbaa maraaf, worra Giriikootaatii fi worra Giriikoota hin te'iniifille, qaroole'ee fi gowwoole'eefille itti gaafatama qaba.
2d010f005b	Maarre ani isin worra Roomaa keessa leetanuufille, Oduu Gammadaa lallabiisaaf halchaa qaba.
2d011000ae	Ani Oduu Gammadaatitti hin fokkifadhu; Oduun Gammadaa worra dhugeeffatu mara: duraan dursitee Yihudoota, akkasuma worra Yihudoota hin te'in mara fayyisiisaaf hunna Waaqaa ti.
2d011100b0	«Balchaan dhugeeffanna'aan jiruu dhaggata» jedhantee barreeffanteerti; balchummaan Waaqaa huji'iin waan mudhatteef, jalqabaa haga dhumaatitti nami dhugeeffanna'aan balchooma.
2d0112008f	Waaqa sodaa dhabiisaa fi hammeenna kolba'aa, ka hammeenna ifiitiin dhugaa mudhii dhoogganu irratti, ol-gubbaa irraa mufiin Waaqaa mudhatteerti.
2d01130066	Waan namooti marroo Waaqaa beekiisaaf dande'anu, Waaqinuu waan isaanitti mudhiseeruuf, isaanitti mura.
2d011400e0	Biyyi lafaa haga dadantee jalqabee adabi isaa, jechuulle hunni isaa ta bara baraatii fi Waaqummaan isaa ilatti ta hin mudhanne, karaa waan inni dadeetiin mudhattee hubatanteerti; maarre namooti waan itti aalatanu hin qabanu.
2d01150099	Isaan Waaqa adoo beekaneeranu, ulfinnaa fi galata isaaf male hin kennineef; yaada ifiitille'een shufuroo te'ane; qalbiin isaanii duwwaan sun dukkanootte.
2d0116002e	Qaroolee ifiin jedhan, ammoo isaan gowwoole'e;
2d011700ad	ulfinna Waaqa hin duuneef kennuu malane, fakkii nama du'uutiif yookiin sinbirrootaatiif yookiin bineensota miila afuriitiif yookiin bineensota lafa irra lowanuutiif kennane.
2d0118009b	Tanaaf akka isaan nafa wolii irratti waan fokkisiisu godhanuuf, halchaa isaanii badduu ta battumma'aan guutanteef akka bitamanu Waaqi dabarsee isaan kenne.
2d011900af	Sababille isaan dhugaa Waaqaa dharatti jijjiirane; Waaqa dade waaqonfatiisa irra waan Waaqi dade waaqonfatanee tajaajilane; Waaqi ammoo haga bara baraa ka galateeffame! Ameen.
2d011a0085	Isaan kana waan hujaneef, Waaqi halchaa fokkisiittuuf dabarsee isaan kenne. Dubartiin isaanii aadaa malee dubartii woliin sagaagalte.
2d011b00d3	Akkasuma dhiirtille wol qunnamtii aada'aa ta dubartii woliin gootu lakkittee, halchaa wol woliitiin gubatte. Tanaaf dhiirti dhiira woliin waan fokkisiisu goote; hujii badduu ifiitiif adabbii malte ifitti fidane.
2d011c0085	Namooti Waaqa beekiisa waan didaneef, Waaqi qalbii jallaametti'iif dabarsee isaan kenne; tanaaf isaan waan hujiisaaf hin malle hujan.
2d011d009e	Isaan balleessaa adda addaatiin, hammeennaan, joljolaan, hujii gadhe'een, hinaaffa'aan, ijjeecha'aan, lolaan, sobaa fi dabaan guutamane. Akkasuma wol hamatan,
2d011e0090	maqaa wol balleessan, Waaqa jibban, wol arrassan, hin bondhooran, ifi saadan, karaa heddu'uun hammeenna barbaadan, worra ifiitiif hin ajajamanu,
2d011f0063	hin qalbeeffatanu, waan dubbatanu hin guutanu, woli hin jaalatanu yookiin woliif naasuu hin qabanu.
2d012000d2	Isaan Seera Waaqaa ka, «Worra waan akkasii godhu maraaf du'atti male» jedhu hin beekan. Te'uu malee, waan akkasii mara godhiisa qofa adoo hin te'in, worra waan akkasii godhulle'een, «Dansaa gootane» jedhan.
2d0201008d	Ati, nama dhibi'itti ka murtu, waan itti aalattu hin qaddu. Ati ka nama dhibi'itti murtu, waanuma inni huje san waan hujjuuf, ifumatti murta.
2d02020059	Muraan Waaqaa ka worra waan akkasii huju irratti dhufu sirrii akka te'e nuuti hin beenna.
2d02030071	Ati ammoo, namana, yennaa waanuma namatti murte san hujju, waan muraa Waaqaa jalaa milixxe baatu sitti fakkaataa?
2d020400d2	Yookiin gadhi-laafummaa isaa guddoo, ossata isaatii fi si dande'uu isaa hin tuffattaa ree? Wonni Waaqi gadhi-laafummaa ifii si'iif fakkanseef, gara cubbuu irraa deebi'iisaa si geessiisaaf akka te'e hin beettuu?
2d0205009f	Ati ammoo mataa jabinnaa fi yaada cubbuu irraa hin deebine hin qadda. Yennaa mufi'ii fi muraan Waaqaa balchittiin mudhattuuf adabbii teeti kuufatiisatti jirta.
2d0206003c	Waaqi nama tokko tokkoofuu akkuma hujii isaatitti hin kenna.
2d0207008a	Inni worra ossee waan dansaa hujaa ulfinna, guddinnaa fi jiruu hin banne Waaqa biraa dhaggatiisaaf barbaaduuf, jiruu bara baraa hin kenna.
2d02080081	Worri dhibiin mataa ifii jaalatee waan dokonkora te'e hordofiisaaf dhugaa didane; Waaqi mufi'ii fi muraa ifii isaanitti hin fida.
2d0209008f	Dhiphinnii fi rakkinni worra waan hantuu huju mara irratti, dursee Yihudoota irratti akkasuma worra Yihudoota hin te'in irralle'etti hin dhufa.
2d020a0091	Waaqi ammoo ulfinna, guddinnaa fi nageya worra waan dansaa hujatu maraaf, dursee Yihudootaaf akkasuma worra Yihudoota hin te'iniifille hin kenna.
2d020b001d	Waaqi nama wol hin caalchisu.
2d020c0092	Worri adoo Seera Muuse'ee hin qabaatin cubbuu huju, Seera dhabulle hin badan; worri Seera adoo qabuu cubbuu huju maraa ammoo Seeraan itti muranti.
2d020d006c	Sababille fuula Waaqaa duratti waan Seerri ajaju hujiisaan balchaa te'an malee, dhage'iisa calla'aanii moti.
2d020e0090	Worri Yihudoota hin te'in Seera hin qabanu; Seera qabaatuu dhabanulle, dadama isaaniitiin waan Seerri ajaju hujan; isaan ifiif seera isaanii ti.
2d020f00ea	Akki isaanii akka wonni Seerri ajaju gadhaa isaanii keessatti barreeffameeru mudhisa. Yennaa tokko tokko wodanaan isaanii isaan himata; yennaa tokko tokkolle isaaniif falmata; tanaaf, wodanaan isaaniille tun dhugaa akka teete mudhisa.
2d0210008f	Maarre, akka Oduu Gammadaa ani lallabuutitti, yennaa Waaqi karaa Yesuus Kiristoosiitiin waan dhossa'a ka namooti hujane maratti muru tun teeti.
2d02110067	Kunoo ati, «Ani Yihudi'i» ifiin jetta; seeratti ciqilfatta; ka Waaqaa te'iisa keetille'een ifi jajja.
2d0212006d	Ati fedha Waaqaa hin beetta; Seera waan baratteertuuf waan te'uu fi waan hin teene gargar baattee hin beetta.
2d02130051	Worra balla'aaf sooressa, worra dukkana keessa jiruuf ifa akka teete ifi addatta;
2d02140062	Seera keessatti beekkumsaa fi dhugaa waan dhaggiteef, gowwaa hin gorsita, wollaalaa hin barsiitta.
2d02150073	Ati worra dhibii ka barsiittu maaf ifi hin barsiinne ree? «Hin hatina'a!» jettee lalladda, ifiif ammoo hin hatta;
2d02160090	«Hin gaarayyeeffatina'a!» jetta, ifiif ammoo hin gaarayyeeffatta; waaqota dharaa waaqonfatiisa hin jibbita, ammoo galmoota isaanii hin saanta.
2d02170053	Seera Waaqaatiin ifi jajja, ammoo seera isaa cassiisaan Waaqa irratti fokkoo fidda.
2d0218007a	Tun tama Barreeffam Woyyichi, «Sababa keessaniif, maqaan Waaqaa worra Yihudoota hin te'in oddu'utti faanshoweera» jedhu.
2d02190093	Ati yoo Seeraaf ajajante, haqanqabaa qabatiisi keeti gatii qaba; yoo ati ammoo Seeraaf hin ajajamin, akka ijjumaayyuu haqanqabaa hin qabatin teeta.
2d021a008b	Worri Yihudoota hin te'in ka haqanqabaa hin qabatin, ajaja Seeraatiif yoo ajajame, akka haqanqabaa qabateetitti Waaqi hin laakkowuufii ree?
2d021b00cb	Maarre ati haqanqabaa qabattee Seera barreeffame qabaattulle, Seera waan cassiteef, worri haqanqabaa hin qabatin sitti hin mura; isaan nafaan haqanqabaa qabatiisa dhabanulle, Seeraaf ammoo ajajamaneeran.
2d021c008c	Nami maqaa calla'aan nama Yihudi'ii te'e nama Yihudii dhugichaa moti; akkasuma haqanqabaan nafaa mudhatu qabatanu haqanqabaa dhugichaa moti.
2d021d010e	Yihudiin dhuga'aa nama keessi isaa Yihudii te'e; haqanqabaan dhugichi, haqanqabaa Ayyaana Waaqaatiin te'u, haqanqabaa qalbi'ii ti malee, haqanqabaa nafaa, ka akka Seera keessatti barreeffameetii moti. Nami akkasii leellisa Waaqa biraa dhaggata malee, nama biraanii moti.
2d03010054	Eegasuu bu'aan Yihudii te'iisaa maan ree? Yookiin gatiin haqanqabaa qabatiisaa maan?
2d0302007b	Dhugumaan Yihudii te'iis karaa maraanuu gatii guddoo qaba! Wonni guddaan Waaqi magannee jecha ifii Yihudootatti kennatiisa.
2d0303006d	Yihudoota keessaa gariin yoo hin addatamin, addatamiisa dhabiisi isaanii addatamiisa Waaqaa hin hamburaa ree?
2d030400b4	Ijjumaa hin hamburu! «Ati jecha keetiin dhugaamessa teeta; worra si himatulle hin injifatta» jedhantee akkuma barreeffante, nami maraayyuu dharaamessa te'ulle, Waaqi dhugaamessa.
2d030500b5	Ammoo balchummaa dhabuun keenna yoo balchummaa Waaqaa irra caalaa mudhise, nuuti silaa maan jenna ree? Waaqi yennaa nu adabe balleessaa hujee ree? Tana akkuma nami dubbatu dubbadha.
2d03060052	Ijjumaa waawwo'o! Waaqi balchaa yoo hin te'in, attamiin biyya lafaatitti mura ree?
2d0307009c	Ammoo addatamuu dhabuun kiyya addatamiisa Waaqaa mudhittee, baceenna ulfinna isaa ka mudhittu yoo teete, maaf haga ammaa akka cubbaalessaa natti murama ree?
2d030800bb	Namooti gariin, «Waan dansaa fidiisaaf, kowa'a waan hantuu huyna» jedhaa akka waan ani barsiisuu fakkeessanee na himatan; tanaaf worra akkasii irratti muraan murantu tama isaanii malte.
2d030900bc	Nuuti Yihudooti worra Yihudoota hin te'in hin caallaa ree? Ijjumaa waawwo'o! Nami duudiin Yihudootaa fi worri Yihudoota hin te'inille hunna cubbu'uu jala akka jiranu ani dursee mudhiseera.
2d030a004a	Akkuma barreeffante: «Nami balchaan tokkolle hin jiru, tokkolle hin jiru;
2d030b0037	ka hubatulle hin jiru; ka Waaqa barbaadatulle hin jiru.
2d030c0071	Martinuu worra gatii hin qanne te'aneeran; wol qabatanee dokonkoraneeran. Hujii dansaa ka huju tokkolle hin jiru;
2d030d00ad	Jecha nama miidhu dubbatiisaaf, afaan isaanii akka awwaala banamee ti; arraba ifiitiin hin soban; dubbiin hidhiin isaanii dubbattulle ta akka hadhaa dhudhuufa'aa nama miitu;
2d030e003a	afaan isaanii abaarsaa fi dubbii hadhoottu'uun guutameera.
2d030f0030	Miilli isaanii dhiiga namaa jissiisaaf ariifata;
2d03100032	addee isaan dhaqane mara badi'ii fi deegatti jira.
2d0311001d	Karaa nageyaalle hin beekanu;
2d0312002a	Waaqa sodaan isaan bira hin jirtu» jedha.
2d031300a1	Ajaji Seeraa worra Seera jala jiru akka ilaalu hin beenna; tanaaf namooti waan itti aalatanu dhabanee afaan qabatan; biyyi lafaa duudiin muraa Waaqaa jala galti.
2d0314006f	Tanaaf eennulle Seera muummessiisaan Waaqa duratti hin balchoomu; Seerri nami maraa cubbicha akka te'e mudhisa.
2d03150098	Amma ammoo, Seeraaf adoo hin ajajamin karaan Waaqi kolbaa ittiin balchoonsu mudhateera; Seerri Muuse'eetii fi Raagotille karaa kanaaf dhugaa bayaneeran.
2d03160061	Waaqi worra Yesuus Kiristoositti dhugeeffatu maraaf adoo wol hin caalchisin balchummaa hin kenna.
2d03170042	Nami martinuu cubbuu hujeera; ulfinni Waaqaalle irraa dhidhateera.
2d0318005a	Ammoo karaa wodoo te'iisa Yesuus Kiristoosiitiin toluma badhaadha Waaqaatiin balchoomeera.
2d031900ee	Worri isatti dhugeeffatu maraa dhiiga isaatiin araara cubbuu ifii akka dhaggatuuf, Waaqi Yesuus Kiristoos ciincaa guma'aa godhee dhikeesse. Inni cubbuu durii ossa ifiitiin balleessiisaan muraa ifii ta sirrii teete mudhisiisaaf tana godhe.
2d031a0074	Bara ammaa kanalle, worra Yesuus Kiristoositti dhugeeffatu mara balchoonsiisaan, Waaqi balchaa te'iisa ifii mudhisa.
2d031b008d	Yoona wonni ittiin ifi jajnu maanti jira ree? Womaa! Maaf ifi jajuu dhanna ree? Waan Seera muummessinuufii? Waawwo'o; ammoo dhugeeffanna'aan.
2d031c007b	Maarre nami waan Seerri ajaju muummessiisaan adoo hin te'in, dhugeeffannaa calla'aan Waaqa duratti akka balchoomu dhaggina.
2d031d0089	Yookiin Waaqi Waaqa Yihudootaa calla'aa? Inni Waaqa worra Yihudoota hin te'iniitille'ee motii? Ee, ka worra Yihudoota hin te'iniitille'e.
2d031e006a	Waaqi tokkocha; Yihudootalle te'e, worra Yihudoota hin te'in dhugeeffannuma isaaniitiin ka balchoonsu isa.
2d031f006d	Eegasuu dhugeeffanna'aan Seera hin diinna jechu'uu ree? Waawwo'o; diigiisaan irra, Seera jabeessinee qabanna.
2d0401004b	Marroo Abrahaamii, abbaa sanyii teennaa maan jenna ree? Inni maan dhaggate?
