2800000006	Mateyo
2e100d0040	Muchenjele, mukakatile mulusyomo, muchite mbuli baalumi, musime.
2e100e0032	Muchite kuti zyoonse nzimuchita zyiitwe muluyando.
2e100f00a4	Mulilizi isuwa lya Sitefanasi, kuti bakali njimichelo yakusanguna yaAchayila, alimwi bakalipeda kumulimu wabantu ba Leza basalala. Lino ndamwaambila inywe, bakwesu,
2e10100068	kuti mube mukulifwinsya kubantu baliboobo alimwi akuli woonse ugwasizya mumulimu alimwi kaminwa andiswe.
2e10110063	Ndilabotelwa kuboola kwaSitefanasi, Fotunatasi, alimwi a Achayikkasi. Bakayiizyiita mukutaba kwako.
2e10120055	Nkambo bakatontozya muuya wangu awanu. Mpawo eelyo, amubayeye bantu bali mbuli mbabo.
2e10130067	Imbungano zyaku Asiya zilamwanzya. Akwila a Pulisila baamwanzya muMwami ambungano eeyo ilimumunzi wabo.
2e10140047	Boonse beenzuma balamwaanzya. Mwaanzyane umwi awumwi alumyonto lusalala
2e1015002e	Ime, ndiPawulo, ndilemba eechi aluboko lwangu.
2e10160028	Kuti umwi katamuyandipe Mwami, ngatukwe.
2e1017002a	Luzyalo lwaMwami wesu Jesu alube andinywe.
2e10180038	Luyando lwangu alube andinywe moonse kuli Kilisito Jesu.
2f0000000d	2 Ba Kkolinto
2f010100a5	Pawulu apositolo waKkilisito Jesu mumaknze aLeza aTimoteyo mukulana wesu kumbungano yaLeza ilimuKkolinto, akubantu baleza boonse basalali muchisi choonse cheAkkasia.
2f01020053	Luzyalo kaluba mulindinwe aluumuno buzwa kuli Leza Tata wesu aMwami Jesu Kkilisito.
2f0103005a	Alumbwe Leza aTata Mwami wesu Jesu Kkilisito. Ngu Tata waluzyao aLeza wakumbulizya koonse.
2f0104009c	Leza wakatumbulizya kumasukusyo esu woonse, kuti tukakonzye kumbulizya abo balimumasukuzyo. Tulumbulizya bamwi alumbulizyo ndulonya Leza ndwatumbulizya alo.
2f0105007a	Mbuli machise aKkilisto mbwakavula nkambo kesu, lino aboobo kumbulizigwa kwesu kwakavulisya kwindila mumachise aKkilisito.
2f010600a9	Pesi na twapenzegwa, ndumbulizyo lwanu alufutuko; na twawumbulizigwa anwebo mwawumbulizigwa. Lumbulizyo lwanu lulokubeleka kabotu mukwabana kupenzegwa kukozyenye akwesu.
2f0107006c	Bulangizi bwesu kulindinwe taluteketi: nkambo tulizi kuti mbumwabana mapenzi mwakabana, akumbulizigwa kwesu.
2f010800a7	Nkambo tatuyandi kuti muleke kuzibisigwa nobakwesu, atala amasukusyo ngitwakalawo muEziya. Twakali kulemenwa kwinda nguzu zyesu, lino kuti tutakate nikuba buumi bwesu.
2f01090072	Iyii twakabetekelwa milandu yalufu. Pesi zyakali zyakuti tutabikki kusyomeka mulindiswe pesi muliLeza ubusya bafu.
2f010a005a	Wakatuvuna mumapenzi ajeya, uyotuvuna lubo. Mulinguwe twabika bulangizi bwakuti ulatuvuna.
2f010b0099	Wazichita ezi mbuli mbumulokutugwasya ankombyo zyanu, mpawo bingi bayotulumbila nkambo kazipo zyaluzyalo nzitupegwa kulindiswe kwindila munkombyo zyingi.
2f010c00a9	Makanze akulisumpula kwesu ngaaya: kutaba aluzyalo kwesu kuntwakachita lwesu munyika abusalali abantu abuleza bwini kutaponena mubusongo bwanyama pesi muluzyalo lwaLeza.
2f010d006b	Takwe nchitwakalemba pe kulindinywe chitabaliki akumvwisikana ndasyoma kuti mulaba akumvwisisya kumaninide.
2f010e007e	Mbuli mbumwakatumvwa mubuche kuti mukalikankayizizye atala andiswe mubuzuba bwaMwami Jesu, mbuli mbutuyolikankayizya andinywe.
2f010f0069	Nkambo ndakasimpe azezi ndalikuyanda kusanguna kusika kulindinywe kuti mutambule zipo zysluzyalo zyabili.
2f0110009d	Ndalikuyeya kumuswaya nkinjindililakuyosika kuMasedoniya. Alubo ndayandide kumswaya ndakuzwa lubo mulwendo lwaku Masedoniy, akuti nkayindilile kuya kuJudiya.
2f0111008b	Nindakachili kuyeya nzila eyi, ndakalengwana na? Sena ndibamba zintu munyama? Lino ndakati, “iyii, iyii “a “pe pe” muchindi chimwi?
2f01120054	Pesi mbuli Leza mbasyomekede, majwi esu kulindinywe tesi akuti “Iyii”a “pe.”
2f0113009b	Nkaambo Mwana aLeza, Jesu Kkilisito, oyo Silivanasi, Timoteyo andime ngutwakakupandulula akati kanu tensi “iyii” a “pe. Anukuti, ngu iyii kwalyoonse.
2f01140081	Nkambo zisyomezyo zyoonse zyaLeza ngu “iyii”Mulinguwe. Lino aboobo kwinda mulinguwe twamba kuti “Ameni” kubulemu bwaLeza.
2f01150048	Lino nguLeza uzuzikizya ndiswe andinywe muliKkilisito, wakatunanika swe.
2f01160052	Wakadinda chidindo alindiswe akutupa muuya mumyoyo yesu mbuli chitondezyo chibola.
2f0117006f	Pesi ndayita Leza kuti abe kamboni amuuya wangu kuti tendakakkonzya pe kusika kuKkolinto lino kuti ndizomusiye.
2f0118008a	Eechi tachambi kuti tuyanda kuba baami kulusyoma lwanu. Anukuti, tuli basimilimo nyokwe akukondwa kwanu, mbuli mbumwimvwi mulusyomo lwanu.
2f02010047	Elyo ndakayeya kulubazu lwangu kuti sikoza kulinduwe muzyiindi zichiza.
2f02020062	Na ndachita kuti umvwe kuchisa, nguni unga ulandisekelezya pesi oyo nguwenya ngundachisa moyo ime?
2f020300d6	Ndalemba mbuli mbunda chita kuchitila kuti ndaza kulinduwe nditachisigwi moyo ababo belede kundichita kuti ndikondelelwe. Ndilalusyomo atala andinywe moonse kuti lukondelo lwangu lulikozyene alukondelelo ndimulalo.
2f020400b8	Ndakulembela chakupengana kupati akuchisa kwamoyo, alubo amisozi mingi. Tendalikuyanda kuti ndikwetele kuchisa. Nkabela, ndalikuyanda kuti uzibe bukomezi bwaluyando ndwejisi kulinduwe.
2f0205007c	Kuti kuli wakachita kuti ube mumachise, teewaka zichita kulindime, pesi ayimwi nzila-kuti atakulemezyi - kulindinywe moonse.
2f0206002e	Echi chisyubulo chamuntu oyu abinji zilikwene.
2f02070069	Lino kwinda chisyubulo, mweelede kulekelela akumumbulizya we. Muchiteezi kuti atakatazigwi amawuse manji.
2f0208002f	Ndamukumbila kuti mutondezye luyando kulinduwe.
2f02090063	Nkaambo nchenchicho nchindakamulembela, kuti ndimusunke alubo ndizibe kuti mulaswilila mulizyoonse.
2f020a00a1	Elyo mwalekelela muntu chintu, ambebo ndamulekelela oyo muntu. Nchindalekelela - kuti ndalekelela nchintu -chilalekelelwa nkaambo kanduwe mubube bwaKkilisito.”
2f020b0051	Ezi zilobu kuti Satani atatchengi toonse. Nkaambo tatuli bafubafuba kumaano akwe.
2f020c006f	Mulyango wakajulwa kulindime aMwami ninda kaza kudolopo lyaTekisasi kuzokambawuka makani mabotu aKkilisito oko.
2f020d006f	Taakwe nindakaangunikide mu muuya nkaambo takwe nindakajana Tayitasi oko. Ndakabasiya alubo ndaya kuMasedoniya.
2f020e008a	Pesi alumbwe Leza unga muliKkilisito utuzulwida mukuzunda lyoonse. Kwindilila mulindiswe ulayubununa mununko unona waluzibo lwakwe koonse.
2f020f006b	Nkambo kuliLeza tuli tununkilizyo tunona muliKkilisito antomwe ababo baponede alubo akati kababo balikufwa.
2f0210008d	Kubantu balikufwa, nkanunkililo kazwa kulufu kaya kulufu. Kulibabo baponesegwa nkanunkilizyo kuzwa kubumi kuyakubumi. Nguni welede ezi zintu?
2f021100b3	Nkaambo tatulimbuli bantu binji bawuzya ijwi lyaLeza kuti bajane mpindu. Asi kuti, akusalala kwamizezo, tulambula muliKkilisito, mbuli mbututumvwa kuzwa kuli Leza kubusyu bwaLeza.
2f0301009e	Ani tulokutalika kulilumbayizya lwesu lubobiya na? Swe tatuyandi lugwalo lwachizibyo kuli ndinywe na kuzwa kuli ndinywe, mbuli bamwi bantu, nga tulachita obo?
2f03020069	Inywe lwanu muli lugwalo lwachizibyo, lulembedwe amyoyo yesu, tulizibikene alimwi akubalwa abantu boonse.
2f030300b4	Mutondezya kuti mulilugwalo kuzwa kuli Kkilisito, Impindu yamulimu wesu. Te yaka lembwa achilembyo pesi aMuuya waLeza upona. Te yakalembedwe atala abbwe, pesi atala amyoyo yabantu.
2f0304004f	Alimwi eechi nchichisimizyo nchitujisi kwindila muli Kkilisito kunembo lyaLeza.
2f0305006b	Tatukwe luzibo muli ndiswe mukwamba nikuba chili mbuli chizwa kulindiswe, pesi kuti luzibo kuzwa kuli Leza.
2f0306008a	NguLeza wakatuchita twakonzya kuba balanda bachizuminano chitali cha lugwalo pesi chaMuuya, nkaambo luwalo lulajeya, pesi Muuya upa buumi.
2f030700d9	Lino mulimu wa lufu- wakavundikwa mulugwalo lulamabwe - wakasika muli obu bulemu kuti bana balombe bamuIzilayeli tebakakonzya pe kulangana abusyu bwaMozesi. Echi nkambo kabulemu bwabusyu bwakwe, bulemu bwakali kuzima.
2f03080039	Ngabula vula byeni bulemu bwakubeleka bwamuuya mbukuyoba?
2f03090078	Nkambo na mulimulimu wakupa mulandu wakalabulemu, mbuvule bwingi bulibyeni buchita mulimu wabululami bukkalila mubulemu!
2f030a0083	Mukwambisya echo chakali mulichimwi chindi chachitwa chaba abulewe tachichikwe bulemu muchimo echi, nkambo kabulemu obu bwindilila.
2f030b0062	Nkambo kuti echo chiinda chakali abulewe ngabuloba bwingi bulibyeni bulewe kulichecho chikalilila!
2f030c0034	Mbuli mbutujisi obu bulangilizi, tulibatakwe kuyowa.
2f030d009a	Tatuli mboli Mozesi, wakabika chisitikizyo kubusyu bwakwe kuchitila kuti bana ba-Izilayeli tebakakonzya kulangana kumamanino abulemu obu bwakakali kwinda.
2f030e00d0	Pesi miyeyo yabo yakayumisigwa. Nkambo kusika sunu, elyo nibakali kubala chizuminano chipya, echo chisitikizyo chomwe mpuchichili. Takwe nichakagwisigwa pe, nkambo muliKkilisito kupela muchikonzya kugwisigwa.
2f030f0051	Pesi nikuba sunu elyo kufumbwa Mozesi nabalwa chisitikizyo chivwinika myoyo yabo.
2f03100040	Pesi elyo muntu kasandukila kuMwami, chisitikizyo chilagwisigwa.
2f03110081	Lino Mwami nguMuuya oko kuliMuuya kulikwangunuka, lino swe toonse katuli abusyu bugwisigile chisitikizyo, tubona bulemu bwaMwami.
2f03120087	Tulabukulusigwa kunjila mubulemu bukozyanya bomwe kuzwa kuchibela chomwe chabulemu kunjila mulichimwi mbuli kuzwa kumwami oyo uliMuuya.
2f0401005d	Nkinkako, nkambo tuli amulimu oyu alimwi mbuli mbutwakatambula luzyalo, tatusiki mukutyompwa.
2f040200ad	Pesi, twakakkaka nsiswa anzila zyabusu. Tatwendi mububumbwe mpawo tatujati bubi pe ijwi lyaLeza akupedekezya kasimpe, twalizumizya tobeni kuliwonse mbwamvwa kubbazu lyaLeza.
2f04030047	Pesi na esu makani avumbwa, avumbidwe kupela kulibabo balimukunyonyoka.
2f040400ab	Mukambo kabo, baLeza bayeyi nyika bawofwazya ikutasyoma kwamizezo. Nkambo kambubobu, tabakonzyi kubona mumuni wamakani mabotu abulemu bwaKkilisito, ulichikozyanyo chaLeza.
2f0405006c	Nkambo tatuli lungululi tobeni, pesi KkilisitoJesu mbuliMwami mpawo swebo mbuli babelesi banu nkambo kaJesu.
2f04060094	Lino Leza nguwenya wakati, “Mumuni oyu munika mumudima.” Wakatondezya mumyoyo yesu kupa mumuni waluzibo lwabuna Leza mubuliwo bwaJesu Kkilisito.
2f04070072	Pesi tuli abuvubi muchibikilo chanongo, Kuchitila kuti kuboneke nguzu zyindilide mpati nzizyaLeza pepe kulindiswe.
2f04080064	Twapenzegwa munzila zyoonse, pesi pepe kuzundwa. Twakanyonganisigwa pesi pepe akuzuzigwa akupupulwa.
2f04090043	Twapenzegwa pesi pepe kusiyigwa, twakasowelwa pesi pepe kunyonyoka.
2f040a0076	Lyoonse katubwezede mulindiswe mumibili yalufu lwaJesu, kuchitila kuti bumi bwaJesu alubo bukayubununwe mumibili yesu.
2f040b007a	Kulindiswe nitupona twakapedekezegwa kulufu nkaambo kaJesu kuchitila kuti buumi bwaJesu buyubununwe mumubili wesu wanyama.
2f040c0046	Lino lufu luli amilimu mulindiswe pesi buumi buli amilimu mulindinywe.
2f040d0077	Pesi tuli amuuya omwe walusyomo mbuli echo chakalembedwe: “Ndasyoma, alubo ndamba.” Alubo tulasyoma aboobo tulamba.
2f040e0076	Nkambo tulizi oyo wakabusya Mwami Jesu alubo andiswe oyo uyotubusya amwi aJesu mpawo akutweta antomwe mubuliwo bwakwe.
2f040f0081	Kulizyoonse nkambo kandinywe kuchitila luzyalo kuti lusikile kuliboonse bantu bachite kulumbayizya kuyungizigwe kubulemu bwaLeza.
2f04100068	Lino tatwelede kuba batyompwa. Nikuba kuti chanze tulikuswekelwa, chamukati tulabukuluka buzuba abuzuba.
2f0411006f	Echi chiyezyo mapenzi mawubawuba alikutubambila butamani bundemenene bwabulemu obo bwindilila zyoonse zyelesyo.
2f0412007d	Lino tatulangililwi kuzintu ezyo zibonwa pesi kuzintu zitabonwi. Zintu ezi nzitubona zilamana, pesi zintu zitabonwi tazimani.
2f0501008e	Tulizi kuti na nganda yesu yansi chilawu - yamwayisigwa, tulabuyaki kuliLeza. Ninganda itayakwi amaboko abantu pesi nganda itamani, ilikujulu.
2f05020050	Nkambo muchilawu echi tulalila kapati, kuti tukasamikwe abukalo bwesu bwakujulu.
2f05030051	Tulabulangilila bukkalo obu nkambo na twabusama tatukoyo janika katuli azintanda.
2f0504009b	Kasimpe nituchili muchilawu echi tulalila kapati akulemenwa. Tatuyandi pe tukaleke kusamikwa. Pesi, tuyanda kusamikwa kuti echo chifwa chikamenegwe abuumi.
2f0505005d	Watubambila echi chintu nguLeza, wakatupa muuya usalala mbuli chitondezyo cha echo chiyosika.
2f05060049	Aboobo amube alusyomo, kuti katuchili kumunzi mumubili, tuli kule aMwami.
2f05070024	Nkambo twenda akusyoma pepe akubona.
2f05080045	Lino tuli akusyomesesya katutali mumibili pele katuli mumunzi aMwami.
2f0509006c	Lino twita kuti chibe chintulangilila swebo nekuba tuchiliku munzi nekuba katutali nkuko kuti mukamubotezye.
2f050a00a0	Mbunga toonse tuyoboneka kunembo lyachuno chalubeta chaKkilisito kwitila kuti umwi awumwi utakatambule zilengene azintu zichitwa mumubili na bubotu nekuba bubi.
2f050b0084	Nekuba boobo, kuziba kuyowa Mwami tukombelezya bantu. Kulabonwa kabotu mbutubede aLeza, ndilangilila kuti kulibabo kumanjezezya anu.
2f050c00e1	Tatuli kwezya lubo kukombelezya ndinywe katuboneka katulibasyomekede pesi tunokumupa makani makani akulidunda atala andiswe, kuti mukabe ansandulo kuli babo balikankayizya atala akuboneka kwabo pesi kakutali mbukubede mumoyo.
2f050d0053	Na tulizwide mumiyeyo yesu nkukwaLeza; pele na kuti mumiyeyo mibotu nkuyanda kwako.
2f050e0072	Luyando lwaKkilisito lwatuchunda nkambo twakamanisya echi. Kuti muntu umwi wakafwida boonse aboobo boonse bakafwa.
2f050f006e	Wakafwida boonse kuti bapona kabatachiponeni lwabo beni pesi baponene oyo nkambo nkako wakabafwida akubusigwa.
2f0510009a	Ankambo kachechi kuzwa lino kaziya kunembo tatukabwene mumwi mukwinda munyam, nekuba kuti twakali muzi Kkilisito mukwinda munyama. Pesi kwalino tatuchizi.
2f05110065	Nkikako na umwi uli muli Kkilisito, waba chilenge chipya. Zintu zyachindi zyayinda. Bona zyaba zipya.
2f05120075	Ezi nzitu zyoonse zizwa kuliLez, wakatubwedezya mulinguwe lubo mukwinda muliKkilisito akutipa mulimo wakubwedezyanya.
2f05130086	Nkokuti muli Kkilisito leza unolikubwedezyanya nyika kuli nguwe, kutesi kubala milaka ilatala ambaabo. Unokutupa makani akubweedelana.
2f051400b9	Aboobo twakatondekwa mbuli bayimikilila baKkilisito mbuli anga Leza walikuchita kukombelezya mukwinda mulindiswe.”Twamukumbila, ankambo kwakuyanda kwaKkilisito: Amubwedelane aLeza.”
2f051500a4	Wakamubumba oyo wakalezi chibi kuti abe chibi kulindiswe, kuti tukabe bululami bwaLeza mulinguwe, kuti abe chibi kulindiswe, kuti tukabe bululami bwaLeza mulinguwe.
2f06010056	Mbuli mbutubeleka aamwi anguwe, yulamukumbila kut mutatambuli luzyalo lyaLeza chabiyo.
2f060200a2	Mbuli mbaamba kuti; “Kuchiindi cheelede ndakakuswiilizya, amubuzuba bwalufutuko ndakakugwasya.” Bona, lino nchiindi cheelede. Bona, lino ndizuba lya lufutuko.
2f0603005c	Tatukonzyi kubika zilebyo kunembo lyawumwi awumwi, kuchitila kuti milimu yesu itasampawulwi.
2f0604008d	Ani kuti, munchito zyesu zyoonse tulalitondezya kuti tulibalanda baLeza. Tulibalanda mulukakatilo lupati, mumapenzi, amumakatazyo, amubuyumu,
2f0605005f	mukuumwa, mukubikwa muntolongo, mulupyopyongano, mukubeleka changuzu, mukubula n'onzi, munzala,
2f06060057	mubusalali, muluzibo, kuba aamoyo mulamfu, mubuuya, amuMuuya uusalala, muluyando lwini.
2f06070071	Tulibalanda bakwe mujwi lyakasimpe, munguzu zyaLeza. Tulaazilwanyo zyabululami kujanza lyachilisyo alyachimwensi.
2f06080068	Tubeleka mubulemu amukunyansigwa, amumpuwo mbi amukulumbayizigwa mbuli balaalweno pesi katuli bakasimpe.
2f060900b8	Tubeleka mbuli batazibidwe anu kuti tulizidwe kabotu. Tulabeleka mbuli bafwide - bona! - tuchipona. Tubeleka mbuli bali muchisubulo chanchito zyesu pesi mbuli batapedwe mulandu walufu.
2f060a009b	Tubeleka mbuki bawuside, pele tulabotelwa chalyoonse. Tubeleka mbuli bafwaba, pele tulokuvuzya buvubi. Tubeleka mbuli batakwe ani kuti tuli azintu zyiingi.
2f060b005a	Twakaambula kasimpe koonse kulindinywe, nibaKkolinto, alimwi moyo wesu ulaangunukide loko.
2f060c0050	Teensi musyanikizigilwe aandiswe pe, pele mulilisyanikizizye lwenu mumyoyo yenu.
2f060d0052	Lino mukwaabilana kweelene - ndamwaambila mbuli bana - andinywe mujule myoyo yenu.
2f060e0084	Mutasungwi jogwe aantomwe abatali bazumini. Nga bululami bulalyidilana buti abubi? Nga mbulyidilanoonzi buli aakati amumuni amudima?
2f060f006f	Nchizuminano nzi Kkilisito nchakonzya kuzuminana aBbeliyali? Muzumini ulaatwambo nzi aantomwe awutali muzumini?
2f061000c7	Ani n'anda yaLeza ijisi chizuminanoonzi amituni? Tuli n'anda yaLeza iipona, mbuli Leza mbaakaamba: “Ndiyookkala aakati kabo akweenda aakati kabo. Ndiyooba Leza wabo, abalabo bayooba bantu bangu.”
2f06110078	Aboobo, “Amuzwe aakati kabo, akulitantamuna,” mbwaamba Mwaami. “Mutagumi chintu chitasalali, eelyo ndiyomutambula.
2f06120063	Ndiyooba Taata wenu, alimwi muyooba bana bangu balombe abasimbi,” mbwaamba Mwaami Singuzuzyoonse.
2f07010097	Nobayandwa, mbukunga tuli aazisyomezyo eezi, muleke tulisalazye tubeni kubusofwazi boonse bwakunyama akumuuya. Amuleke tutobele busalali mukuyowa Leza.
2f07020025	Amutupe mweenya! Takwe ngutwabisizya.
2f0703007a	Takwe nitwakanyonganya muntu. Nkaambo ndakazyaamba kale kuti muli mumyoyo yesu, kuti tufwe aantomwe akuti tupone aantomwe.
2f07040097	Ndili aakutayowela kupati mulindinywe, alimwi nkupati kulidunda aatala andinywe. Ndilizwide aluumbuluzyo/. Ndilafwasuka alukondo nikuba mumafwabi eesu.
2f07050095	Elyo nitwakasika kuMasedoniya, nyama zyesu tezyakali akulyookezya. Asikuti, twakakatazigwa munzila yoonse akutakkalinkana kunze alubo akuyowa mukati.
2f07060045	Pesi Leza, wuumbulizya balaansi, wakatuumbulizya akusika kwaTayitasi.
2f070700ee	Tekwali kusika kwakwe biyo pe Leza nchaakatuumbulizizya. Alubo chakali alumbuluzyo Tayitasi ndwakatambwide kulindinywe. Wakatwaambila aatala aluyando lwanu, mapenzi anu, alubo chiyandisyo chenu kulindime. Akaako ndakakondelwa kwiindilide.
2f070800c5	Nikuba kuti lugwalo lwangu lwakamuchita kuti musululwe, takwe nindilipa mulandu pe. Pesi ndakalipa mulandu eelyo nindakabona kuti lugwalo lwangu lwamusuluzya, nikuba kwali kwachiindi chiniini biyo.
2f070900bc	Lino ndilakondwa, pe pe akaambo kakuti mwakalikatazikene, pesi nkaambo kusululwa kwenu kwakamuleta kukweempwa. Mwakabona kuusa kwabuLeza, kwakuti takwe nimwakasweekelwa pe akambo kandiswe.
2f070a0085	Nkaambo kuusa kwabuLeza kuleta kweempwa oko kuzuzikizya lufutuko kakutakwe kulipa mulandu. Kuusa kwakunyika, biyeni obo, kuleta lufu.
2f070b0140	Amubone bupati bwakuyandisisya kwakuuasa kwabuLeza mbubwakaleta mulindinywe. Kwakali kupati biyeni kuyandisisya mulindinywe mukutondeezya kuti tamukwe mulandu. Kwalibupati biyeni kusesemwa kwenu buyofu bwenu, kutaakizya kwenu, bunkutwe bwenu, alubo chiyandisyo chanu kubona kuti kubeleka kabotu makani kweelede kuchitwa.
2f070c00c3	Nikuba kuti ndakalemba kulindinywe, tendakalemba akaambo kasimuchita chibi, na ooyo wakachitilwa chibi, pesi kuti kuyanda kwanu kubotu kulindiswe kuchitwe kuti kuboneke kulindinywe kumenso aLeza.
2f070d00b1	Nkaambo kazeezi mpotusungilizigwa. Mukuyungizya muluumbuluzyo lwesu, twakakondelwa alubo loko nkaambo kalukondo lwaTayitasi, nkaambo muuya wakwe wakabukulusigwa andinywe moonse.
2f070e00c9	Na ndakalikankayizya aatala andinywe, tendakawusigwa nsoni. Mulilumwi lubazu, mbuli zyoonse nzitwakaamba kulindinywe nisimpe, kulikankayizya kwesu aatala andinywe kuliTayitasi zyakaboneka kalili simpe.
2f070f007c	Luyando lunikide kulindinywe ndupati mbuli nayeya kuswiilila kwenu moonse, mbuli mbumwakamutambula kabotu akuyowa akuzazama.
2f07100032	Ndilakondwa nkaambo ndili aakutamuyowela kuzulide.
2f08010055	Tuyanda kuziba, bakwesu, aatala aluzyalo lwaLeza lwakapegwa mambungano aaMakkedoniya.
2f0802007c	Muchiindi chakusunkwa kumasukuusyo mapati, akukondwa kuzulilide, abuchete bwabo bwiindilide bakaba aabuvubi bupati bwabuuya.
2f08030096	Elyo ndipa bukamboni kuti bakapa mubwiingi mbuli mbubakali kukonzya, mpawo nikuba kwiindilila mpubakali kukonzya, elyo mukwiindila mukwaangunuka kwabo
2f0804005a	bakatukombelezya kwamoyo woonse mucheelelo chakwaabana muli ooku kugwasya basalali baLeza.
2f0805008a	Eechi techakachitika mbuli mbutwakali kulangilila, pesi bakatanguna kulipeda kuMwaami lwabo mpawo akulindiswe mukwiinda mukuyanda kwaLeza.
2f0806006c	Elyo twakasungwaazya Tayitasi, ooyo wakali watalika kale mulimu ooyu, kuti amninizye kuchita kwaluzyalo oku.
2f080700b7	Pesi mujatikizye zyoonse - mulusyomo, mukwaambula, muluzibo, mubukozu boonse, muluyando lwenu ndumulaalo kulindiswe. Elyo alubo amubone kuti mwiinkilila kunembo mukuchita luzyalo olu.
2f0808008b	Tandili kwaamba oobu chakwaangila, pesi, ndaamba oobu kuti ndisunke kunika kwaluyando lwenu mukweelanisya alo kuchiyandisyo chabamwi bantu.
2f080900a3	Nkaambo mulizi luzyalo lwaMwaami wesu Jesu Kkilisito. Nikuba kuti wakali muvubi wakaba muchete nkaambo kesu, kuchitila kuti mukwiinda mukufwaba kwakwe tube bavubi.
2f080a009c	Mukaambo aaka ndiyoomupa nchenjezyo iyoomugwasya. Munyaka omwe wiindide tamutalikide biyo kuchita chimwi chintu pesi mwakaaba aachiyandisyo kuti muchichite.
2f080b007d	Lino amuchimaninsye. Mbuli mbukwakalichiyandisyo akumaninina mukuchichita lino, alubo ngamuchimaninizye mubupati mbumukonzya.
2f080c009d	Pesi na kolaachiyandisisyo chakuchita inchito eeyi, nchintu chibotu chitambulika. Cheelede kweendelana azintu muntu nzyaleezyo, pe pe kuleezyo nzyatakweezyo.
2f080d0067	Nkaambo oku takuli mbuli kuubisizya bamwi eelyo kulinduwe kube buyumuyumu. Anu kuti, kweelede kweelana.
2f080e0098	Ikuzulila kwenu muchiindi eechino kuyoobeetela eezyo nzibayanda. Kuli mbubo akulako kuti buzulile bwabo bumweetele nzimuyanda, eelyo kuti kube kweelana.
2f080f007c	Chili mbuli mbuchilembedwe: “Ooyo iwakali aazyiingi takwe nzyaakakuchala azyo, mpawo ooyo wakali aziche takwe nakabula.”
2f08100079	Pesi kulumba akube kuliLeza, ooyo wakabika muliTayitasi moyo wakulikkataazya aatala abamwi mbuli mbundilaawo kulindinywe.
2f0811007c	Nkaambo tatambwide buyo chikkumbizyo chesu pesi wakalikkataazya loko kulinzizyo. Wakaaza kulindinywe mukuyanda kwakwe mwini.
2f0812006a	Twakamutuma aamwi amukwesu uulumbayizigwa mumambungano woonse kumulimu wakwe wakwaambilizya makani mabotu.
2f081300b8	Kutali eezi azilike, pesi alubo wakasalwa amambungano kuti abe sikweenda awe munyendo anchito eeyi yaluzyalo, ilikweendelezegwa andiswe mubulemu bwaMwaami lwakwe akuyanda kwesu kubotu.
2f0814004a	Tulikuchitila kuti umwi atakonzyi kutongooka aatala abuuya mbutuyobuchita.
2f0815005c	Tulabamba mukuchita zilikabotu, kutali kunembo lyaMwaami luzutu pesi akunembo lyabantu lubo.
2f081600c9	Tulikutuma lubo umwi mukwesu aamwi ambabo. Twakamusunka munzila nyingi mpawo twakajana kali aabukozu kumilimu myiingi. Alubo ulisungweete kapati lino nkaambo kabusichaamba bupati mbwalaabo kulindinywe.
2f08170097	Mbuli Tayitasi, ooyu mweenzuma alubo ngusimilimuma kulindinywe. Mbuli kubakwesu, mbeendelezi bamakani kuzwa mumambungano. Eelyo mbulemu kuli Kkilisito.
2f08180073	Eelyo amubatondeezye luyando lwenu, alubo amutondeezye mambungano kuti nkaambonzi nitulikankayizya aatala andinywe.
2f09010051	Kwambisya milimo yabantu baLeza basalala, twekweelede kuti ndamulembela njiyo pe.
2f090200e4	Ndilizi atala aziyandisyo zyanu, ezyo nzindakalikankayizya atala andinywe kubantu bakuMakkedoniya. Ndakabaambila kuti Akkaya wakalibambila kuzwa munyaka wayiinda. busungusungu bwanu bwakasungwaazya bayingi kuti bachite mbubonya.
2f0903007e	Lino ndakatuma bakwesu kuti kulikankayizya kwesu andinywe kutabi kufwisya bweeme akuti mukalibambile, mbuli mbundakamwaambila.
2f090400a9	Ambweni, kuti baMakkedoniya bamwi ndaza abo akujana kamutalibambilide, ngatuyoofwa bweeme - takukwe nchinga ndilamba atala andinywe - nkaambo ndilikkusikene mulindinywe.
2f090500cc	Ndakayeya kuti kulikabotu kuti ndisungwaazye bakwesu basike kiulindinywe akuti muzobambilile chipo nchimwakasyomezya. Kuchitila kuti chibambike mbuli chilongezyo, akuti chitabi mbuli chakumusinikizya ped.
2f09060077	Ichiliko ncheechi: Ooyo ubuala chakuchesya ulatebula mubuche, ayooyo ubyala chakulangila choolwe ulatebula chilongezyo.
2f09070083	Amuleke umwi awumwi ape mbuli kukanza kwamoyo wakwe. Kutali chamunyono na kuti kusinikizigwa. Nkaambo Leza uyanda uupa chalumwemwe.
2f090800c6	Alimwi Leza ulakonzya kuchita luzyalo loonse kuti lweete kulindinywe ikuti kukabe, muzyiindi zyoonse, muzintu zyoonse, kuti mujane zyoonse nzimuyanda. Eechi chiyooba kuti mukayungizye milimu mibotu.
2f0909006d	Kuli mbuli mbukulembedwe: “Wakaaba buvubi bwakwe akubupa kubachete. Bululami bwakwe bulapona kwalyoonse.”
2f090a0086	Ooyo uupa mbuto kubalimi nguubyala alimwi chinkwa chakulya uyoopa akuyungizya mbuto yakubyala. Uyoyungizya butebuzi bwabululami bwako.
