2900000007	ST MARK
290e120077	Ghadehtsi zahtgha kahchu eghinta, Jesus toowe ehti, Kwa hli anaghaisii, ehlaiti naghai chodeh sakaehtane chahte asooti.
290e130063	Kwa tyi atu keghaneli, toowe chu tyi ghati ehlaityekooh, Suni la? kahchu hligi toowe ehti, Suni la?
290e140062	Kwa ateyatetla toowehchu yehti, Ehlaiti kenetye onketi matgha ihe, yaghi tila ihe setyi tsa ihkye.
290e1500ad	Tane Chue otsidesha, takehnichatinkles akehe otye: ahwole atu oochu oontye yaghi teze tane Chue mihe atahachahi! otaihchi o-otaizilon yaghi teze ihe atu niniya tah ooli ate.
290e1600a6	Kahchu aghatsitsoo zahtgha, Jesus otles tyes nidiooh, kahchu merci ehti, kahchu tahke yataghiyits, kahchu yayiooh, toowehchu yehti, Nitahah, mehtah: tila sazi alonte.
290e170059	Kahchu nidiooh mehtusato, kwa kayioo merci, yayiooh: kwa aghanetye ayite otsi tughatolon.
290e18005e	Ahwole toowe yehtiii, Tila sa tulle alontye aduskles koonde ihe, oontlo chi otsi tyechihkliti.
290e190084	Kwa hli anaghaisii, atu otaihchi wostoissi machiche chiche tu chine tsi, kwa hlilon yaghi dzinee kwa kootyinusto Nagha Tgha nataghe.
290e1a0034	Ehlaiti hyin eghachinooh khis Olives tsighatestyetl.
290e1b00b0	Kahchu Jesus toowe yehti, Anahtye naghai atu oochu inditaghaaisi suni ihe too hatleke: takenichatinkles akehe, Ooshalasi aspai ghaghatai haslai ite eonetye tsi natihassi aspai.
290e1c0037	Ahwole tsitike netai ate, naghaghatuhshezi Galilee tsi.
290e1d005b	Ahwole Peter toowe ehti, Inkai ahwole aghanetye atu keyaneli ate, hoontye koole suni intue.
290e1e008b	Kahchu Jesus toowe ehti, Kwa hli anesi, tidi dzinee, tidi hatleke te, atu ka onkye otyesta tyeh tihchok, tghakooh oohchit soota-ghoontyesi.
290e1f0093	Ahwole otaihchi otatich hloduhsi kootieh, Ahwole nakah tanesut ate ooh, atu ihlawotatehoo oohchit noodustyeisi. Kwakooye otye aghatane chu ghatiih.
290e200060	Kwa koohnaghintyetl Gethsemane woyetih: kahchu toowe yehti yaotatichne, Nea aghasushlito sakyeh.
290e21006c	Kahchu yehtestyetl Peter chu James chu John chu, kahchu o-ochi inditatunne, kahchu matsun tah oonkhail acha;
290e22006a	Kahchu toowe yehti, Setsinde o-ochi atu oochu atyetatih azetse tsi: chode ahthli naghai, kachchu ootanahi.
290e230098	Oontsutle wotaihai otsidesha-ih, kahchu tike wozohtih nwatsutooh kooyekehchi tyetaooklihassi sye makehchi nio-otsilon, ayi sakehchi ahalai yao-otsitooh.
290e240090	Kahchu toowe ehti, Abba, Tyeih, atghazi ooli tahnootsut nuni; tidi mehtutsato saoone naniah: hoontye ooli atu suni koosti, ahwole nuni koodinti.
290e25006e	Kwa yahchidesha, nayintyi satyi, kwa toowe yehti Peter tsi, Simon sintyi la? atu ooniila ehlaiti meoochanehoo?
290e26006c	Oonahi kahchu aghasuhli, atu otsitawohazu inkaoochatauntih. Atsinde kwa hili ootagha, ahwole khazi chintyeh.
290e270047	Kwa yitai tyesha, kahchu oghasulih, kahchu kwaka ayi zake ihe ootatich.
290e280068	Kwa oondehsha tsi, yintyi satyi kahchu, (kootai ya-inkhai ihe,) kahchu atu ataooati atyekitooklih akehe.
290e2900b6	Kwa tghakooh yuhchidesha, kahchu toowe yehti, Kwa hwe satyih, kahchu niwotahah mehnatahyihi: kwakoole, meoochanehoo koohnaooizut; nea, tezoo Chue mataghachila taghila tsi metselineh.
290e2a0044	Niahtyel, yitai tawotyeli; nea, yaghi atu oochu asehti kwa hwa atih.
290e2b00e4	Kwa kwete, kwaka ootayehchoo, yuhchidesha Judas, ehlaiti keneti onketi matgha ihe, kahchu yihtestyetlooh tane natlone simakanis pyese chu mekachatayitli chu, taneghaotatyehchi metihi tyiyi ihe, adesklesne chu hoola atityine ihe.
290e2c009d	Ooh yaghi atu oochu ayehtii yayiooiih mehyachanitsiyi, toowe ehtieh, Ootayatasihchassine wohtsiewohzyesi, ayila ayi; nintahtyeh, kahchu yitai tahtyeh tyekeh.
290e2d005f	Itetyeh nooja ate, tsiwohzon yatsi anaatahlu, toowehchu ehti, Metihi, metihi; kwa yunchighachi.
290e2e0022	Kwa kiyinchut, kahchu nighadintyi.
290e2f0094	Ooh hligi ayiti naghatehyane tapyese natyese ghayaghachut, kahchu nayatehul yakeotihchi taneghaotatyehchi metihi tyiyi, kahchu yatsakhe tyeghihyitl.
290e300077	Kwa Jesus ateyatetla, toowehchu yehti, Ihla unoosi khataachila pyese intyesi yu mekachatayitli yu tala nisataghahtyelu?
290e310084	Naghaikyastaichii dzinee eonetye tyetachatlihi kwa oota taneghaodintihchoo, atu chu nisatahtyiih: ahwole aduskles tyiyi tikewokyeli.
290e320038	Kahchu aghanetye kiyechodestyetl, kahchu taghoghadehsut.
290e330063	Kwa ehlaiti uskye yakehtehtla, atetakhatooh chatachi takulli intyedi ati; kwa uskyegoone kiyinchut:
290e340040	Kwa kyechodyesha ayi chatachi takulli, kahchu tghihklah intyedi.
290e35009d	Kwa Jesus otsighatehtyi o-ochi taneghaotatihchi metihi tyiyi atindi: kwa ayiti atghe yeghati taneghaotatyehchi metihi tyiyi hoolaatitine chu, adusklesne chu.
290e360082	Kahchu Peter tontyetsi otsi yakehtehklalon, koole taneghaotatyehchi metihi kwa tsi: kwa yakasatah keotichne, na-itziluh khoon tsi.
290e370093	Kahchu taneghaotatihchne metihi tyiyi atghe chu tsiwatilhne oohatakyet otsi ayi ihe atu oochu akiyuti Jesus kizuheli; ahwole atu oontsutli ohwiooh.
290e380055	Ayi ihe natlone ketseli hakehe athlaghatati, ahwole atu hleoontye taghasoocha ootihe.
290e390045	Ooh tahkine nighintyetl, kahchu atu tyeswe akiyehti, toowe ghati ihe,
290e3a0092	Tasitsukiih atyakehe, Chahtehaooslyeasi tidi tyetachatlihi kwa tyiyi atsila kila ihe, kahchu taiti dzinee aoocha ate achu nao-osiasi atu kila ihe.
290e3b0032	Ahwole aghatane chu koosoochawotihi atu hleoontye.
290e3c0098	Kwa o-ochi taneghaotatyechi metihi tyiyi ookaze nazut, Jesus tsi taoontya yehti toowe ehti ihe, Atu atyetunatla la? ye ihea ayi chahte anaghatya oontye?
290e3d00a2	Ahwole atu wotih, atula kehe chu atih. Kahchu o-ochi taneghaotayehchi metihi tyiyi taoontya yehti, kahchu toowe yehti, Nuni la ayi Christ, ma, Chue Moohchuootaya?
290e3e0082	Kwa Jesus toowe ehti, Suni ayi: kahchu wahyesi tezoo Chue satah noohtichintye mehnatsutsutti, kahchu yahchityesha khoos yataihchi.
290e3f0081	Kahchu taneghaotatyehchi metihi tyiyi tanatunne yaghinchil, kahchu toowe ehti, Ye ootaihchi a soochawochatihi khasootiti aoontye?
290e400065	Ootahtsukiih mehe atachochihliti: naghani ta kootahtya? Kwa aghanetye kooye hlaghatati tsazuheli gha.
290e4100ad	Kwa tahkine tyekookeghizek, kahchu yani aghataghighat, kahchu nakiteghul, kahchu toowe kiyehti ihe, atanataihchi woka atawonati: Kwa keotihchne nakiteghul taghila tyiyi ihe.
290e420063	Kwa Peter yiyue nito kwa otyiyi ti ati, yuniya ehlaiti taneghaotatyehchi metihi tyiyi yawoai tsege:
290e430078	Kwa ya-i tsi Peter naitziluh, yakaitghah, toowehchu ehti, Kahchu nuni chu mehtintyetliih Jesus Nazareth otsi tatyezutti.
290e440090	Ahwole atu a kooti, toowe ehti ihe, Atu atawosti, kahchu atu atasuk atintya kehe. Kwa hadesha tyinta weswatih otsi; kwa tihchok tayidze otyesta.
290e450064	Kwa keotihche tsege kahchu ya-ih, kahchu toowe tyiyehti ayine ieti nehyane, Taila ehlaiti ayine tsi.
290e4600af	Kwa kahchu atu koo ooli ehtilon. Kahchu kluhtai ayine ayite nazati, toowehchu ghati Peter, Nuni nooklya ehlaiti aghatane tsi, ayi ihe Galilaean nali, kahchu kooh nakasse atih.
290e470062	Ahwole ketseliooh wotyihi zon ohtye ootatyehch, toowe akehe, Atu atesti tai teze mamawotahtyehchi.
290e4800c4	Kwa onkye tihchok tayidze otyesta. Kwa Peter kyechetehti yaghi sa Jesus ayehtiii, Atu ka ootihoo tihchok tayidze onkye tghakooh oochit sootahoontyezi. Kwa hlilon ayiti indi ootinta, nachaihchahli.
290f0100ff	Kwa kwete hatlindo aooclia taneghaotatyehchi metihi tyiyino aglianctye ehlakehe tsiwohzon tsiwowatilh hoolya atitine chu adeskilesne chu hlito aonetyo gha tsiwoghatsihi ihe ayi chu, kwa Jesus tahkiyagheskluli, kahchu achukcdehtyi, kwa kikalmihtyj, Pilate.
290f020085	Kahchu Pilato taoontya yehti, Nunila o-ochi koometihi tyiyi nalila Jewne gha? Kahchu ateyatetla toowohcliu yehti, Kooh tintya oontye.
290f030062	Kahchu taneghaotatyehchi metihi tyiyine chahte akiyehti ooU nation ihe: ahwole atulakehe atyeta-i.
290f04006f	Kwa Pilate kahchu taoontya yehti, toowe ehtie, Atu lakehe atyetanatla la? nea taitya ooli ihe chahte anaghahti.
290f05003f	Ahwole Jesus zon atu la kehe aye ih kwaka; kwa Pilate kawoolih,
290f06005c	Ooh ayi kwelachayihi ehlaiti yezookeh ninkho kvyechehtyesne, ooli assine nioonunisit assine.
290f07008a	Ayiti hligi aliih Barabbas ooyeih, ihkahtah chaghcsklu ayi yekatichii kwa akiyila indiootaunne, kootoo tane zehai ihe indiootatunne ayiti.
290f080063	Kwa natlone ohtye oghatyesta tyi yatsi niooghanunisit kooh hakiyulihi gha kooli zon hakooyilai ihe.
290f09006b	Ahwole Pilate ateyatetla, toowc ehti ihe, Kooh kootahti la naghachitulisitisi Jewne o-ochi koometihi tyiyi?
290f0a0056	Atawahtihi ihe taneghaotatyehchi metihi tyiyine yatagliintsutti ihe mihe incho-otsa-i.
290f0b0060	Ahwole taneghaotatyehchi metihi tyiyine kichinagbayyh tanene, otaihai koochitootsittih Barabbas.
290f0c0071	Kooh kahehu Pilate ateyatetla toowehchu yehti, Takootahtya oslihasi kooh yachi o-ochi koometihi tyiyi Jewnu woyi?
290f0d0034	Kahchu toowe hakehe oghatesta, Klaniaitih ninihtyeh.
290f0e0072	Kahchu Pilate toowe ehti, Ye tahtye ketselihoo atyuntye? Kahchu ootailichi o-ochi oghatesta, Klaniaitih ninihtyeh.
290f0f0086	Kwa Pilate tane gha kasootati chatupisha gha, yakahninooh Barabbas assi, kahchu Jesus taghinchut, yakhataghitoos, klaniai nichuhtyelu,
290f100074	Kwa simakanisne otsighatelityi tsiwatyehli kwa, Praetorium wotsatiti; kwa tyechi kiyehti ihlakehe atghe simakanisne.
290f110085	Kwa natunne taghaghintyi aghapai tatulli ihe, kahchu kiyesklu o-ochi metihi tyiyi chahte hoos chok chine ihe, kwa ita tsi gha ghiooh,
290f120050	Kahchu tyi yila ooghatthoon toowe, Yea mehsuchanetyi, o-ochi kookaoonazut Jewne.
290f130078	Kahchu nakidehul yetsi chokhaiye chok ihe, kahchu kikighizek, kwa yatsitaghatsunne ootooghanehzil yatsi nachusghataklihl
290f14006c	Kahchu kiyachatyetl atghe tatulli nighadinchus, kwa yanatunne taghintyetl, kahchu ghooghatehtyi klaniai tih.
290f150092	Kwa kitahnaghutsut ehlaiti Simon Cyrenian ali, ayi kwo noojai, tane natihti otsi Jiadesha, kootgha Alexander chu Rufus chu tahchiyatyilyu klaniai.
290f16003b	Kwa nakiyintyi Golgotha tsi, ayi tsati, Atsitsunne ooli te.
290f170054	Kwa kiyayiooh tyewootoo chiche chok tu mathuchunihklito myrrh: ahwole atu niyadiooh.
290f180060	Kwa klaniai nikiyinti tsi yanatunne atatghahaistla kikaootehunni ihe, ye anetye teze nitioolola.
290f190053	Kahchu oolitah tghakooh mehooachanehoo awatazoo dzinee ooli klaniadi nikiyinti tsi.
290f1a0064	Kwa achatyesklesi ayiti otsi chahteachatei takehnichanikuchiih ookeh. O-OCHI KOO METIHI TYIYI JEWNE.
290f1b0069	Kahchu onkyetine chu klaniadi nighanihtye unoosine; ehlaiti noohtechintye, ooh hligi chu oosklaghazihtye.
290f1c004e	Achudesklessi tyiyi tikenikyih, kooh woti, Kahcliu metseline kah kachanehtyeh.
290f1d00b1	Ooh ayine kweghatilhne ayiti oontlochi kiye sootatyihch, tagliatsi ghaghado, toowehchu ghati ihe, Gha, nuni chahta wonatla tyctachatlihi kwa tyiyi, kahchu aoonatla taiti dzinee,
290f1e002e	Aghatinta, kahchu yulichinootinta klauiai tsi.
290f1f00a2	Aghatane chu o-ochi taneghaotatyech metihi tyiyine ontlonchi akiyehti ihe toowe hlaghatati ihe adesklesne chu, Nayaghehta achune chu; atai koochati atu aghatatah.
290f200096	Oonka Christ o-ochi koometihi tyiyi Israel kwa hoote klaniai tsi noodoojai, wowoti khai kahchu a kootahti. Oo ayi yakah klaniadi yakah atii yataUhlon.
290f210083	Kwa inchitakooh klodesha sa kehchi ehalai koonaooizutooh, hatleke aoochaii tike okehe kwa hHlon kalaketi klodesha sa kehchi ehaiai.
290f2200b2	Kwa kalaketye sa kehchi ahalai klodesha, Jesus otyesta takaseneodi, toowe ehti ihe, Eloi, eloi, lama sabachthani? ayi tsati ihe Saghintai, Saghintai, yehoo gha sechanila aoontye.
290f23004a	Ooh tahkine ieti nehyane, ooghatitsuk tsi, toowe ghati, Nea, Ehas kawotih.
290f2400d8	Kahchu ehlaiti otsidehta, kahchu tsifo yeatatih atihih tayatohman sootakan chiche tu ihe, kahchu nayiooh klokhayetgha, kahchu yayiooh tuwoto gha, toowe ehti ihe, Atu kinditaghaha; oonka oohwoti Elias nayaghintyi kha.
290f25003c	Kahchu Jesus otyesta ohtye ati, kahchu matsinde kwa yecheli.
290f260072	Kwa ayi hlichatinkatii tyetachatlihi kwa otyiyi intyizon tghahkyehchi wotye cheghinchil yataihchi ctis yiyue otsi.
290f27009e	Kwa kootoo ayi simakunis metihi, ooghade nazutih. wa-i kooakehe otyesta, kahchu yatsinde yechelihooh, toowe ehti, tyewotye tune teze Nagha Tgha Chue ghilelon.
290f28009d	Ayiti oohwiliiih tsegene ehu tontyctsi otsi ookhaghanehtgha: atai chu iiti atiih Mary Magdalene, Mary chu ma James ooia etanoohlihi kahchu Joses, Salome chu;
290f29008c	(Aghatane chu, Galilee atichi, kikehtyeshaii, kahchu ooli kooyaalih ine;) achune chu natlone tsegoo yuhchi kooyehkyatehch ine Jerusalem tsi.
290f2a005d	Kahkachi aoocha tsi, ayi ihe intyizon dzmee tsi watsehlu ayi dzinee Manejitti dzinee tsi ooh,
290f2b00b3	Joseph Arimathaea otsi tazehlu, tsatincha tsiwatilh, atune chu ootakah ali Nagha Tgha nataghe, yuhchidesha, kahchu tadzye natsutih seooh Pilate kahkwiya, kahchu Jesus zi ootakyet.
290f2c0077	Kwa Pilate khawooli kwa tehtsalo ate: kwa simakanis metihi tyechi yehti, tauontya yehti tontyeto ghaite chu tehtsutiih.
290f2d003c	Kwaatawatih tsi simakanis metihi yatati, tazi ghiooh Joseph.
290f2e00cc	Kwa ataghoola tsatache oochu takulle, kahcliu nooyaghintyi, kaliclm ayi tsatache ii ihe yehtoonehtich, kahchu niyanihtyi natine kwa oota tsyekas tayaghintyi, kahchu tsye otsiyehail toosklahchi natine kwa.
290f2f0040	Kwa Mary Magdalene kahchu Mary Joses ma oohwa-ih nichanihtyinti.
29100100aa	Kwa Menejitti Dzinee kawohtzut tsi, Mary Magdalene, kahchu Mary James ma kahchu Salome, ataghaghila yu natunetgha tsehklutti, kwa yuhchighatatyel ate yu ihe kiyuhklukooh.
2910020067	Kwri o-ochi hatse hatlindo ooli hatse dzinee, koohnioonizuiooh natine kwa otsighatestyetl sa niiya tsi.
2910030046	Kwa toowe hlaghatati, Mea tsye yughaii aoontye natine kwa tustla otsi?
2910040053	Kwa koo ookahanehtghachi, oogha-ih tsye achuhchi nichunihailo: o-ochi ghinchai ihe.
2910050095	Kwa kwegliaghintyetlooh native kwa oota, kiya-ih ehlaiti uskye noohtichintye chisinchi sata, tasata natyesooh makestue takulooh: kwa oonighanintyetl.
291006009d	Kwa toowe yehti, Atu oonighahtyel: Minkhanatgha Jesus Nazareth otsi tatyezutti, klaniai nichanihtyiii: tsitike ghinta-ih; atu chode ali; nea nighamhtyintiii.
291007006b	Ahwole ootahtab, yaotatichne tatahtih Peter chu naghaghadesha Galilee tsi: ayiti wahiiissi, naghatatyakehe.
29100800a3	Kwa kwete khooghatastyetl, kahelm natine kwa otsi tsmtestyetl; yaghatilonlon ihe kahchu khaooghali ihe: kahchu atuline atula kehe akiyeliti; oonighanintyetlon ihe.
29100900d5	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Kootoo Jesus niiyaii kwete hatse dzine tsiwatselhu, hatse yuhniya Mary Magdalene, ayi taiuchi atsmde metselihi yazi otsi hayateha-ii.
29100a0051	Kwa yatatilon ayine yehkyatehchiine, tsukye atu yaghita zahtgha kahchu ghutsakooh
29100b0042	Ooh ahatane, ooghatitsuk tsi ghata, kahchu ya-ilon atu a kooghati.
29100c0062	Ayi keh yuhniya achu akelie ouketye agha tane Ihe, ghataihlu zahtgha, achu tike tsi otsighataihlu.
29100d002c	Kwa kitati achune: kahchu ama kiyehti ayine.
29100e00b2	Atyechi yuhniya keneti ehlaiti matgha aline ghiskye eghehta ootye, kwa yachiotatyech majih oontooei kha kahchu yadzye natsutti kha atu a kiyuti ihe ayi yakehtghaii tsitike nesta.
29100f004b	Kwa toowe yehti, Otsitahtyel tike okehe matatahti obicn oociiu anetye tane.
2910100065	Ayi a kootyeti kahchu tumakechaghinkliti nachawohtyezi; ahwole yaghi atu a kootyeti cliahta chuleesi.
2910110099	Kahchu tidi yachanahai yakeh ootoohsitassi ayine a kootine; Sindizi ihe kehchi ghakitoolelassi atsinde metselihi; oogliatootyehchassi atsoodi koondi ihe;
2910120086	Nootuze nighatoohtyelassi; oolita tughato ate chu azetse ahi, atu kootoohtihassi; kikatootiassi yatitihne, kwa oochu nakiyaooliteissi.
291013005f	Kwa Naghaghatai sakyedesutooh, yatai otsi nichatihtyi, kahchu sata-ih Nagha Tgha noohtichintye.
2910140091	Ahwole achughatestyetl, tike okehe tane chiwoghatihi ihe, Naghaghatai kahkeooghatihchoo, kahchu sa natsut oola kaootsooli chu intghaninkhi. Amen.
