0100000014	1 Мојсијева
2804020080	Пошто је Исус постио четрдесет дана и четрдесет ноћи, напокон огладне.
28040300a5	Кушач му тада приђе и рече му: „Ако си Син Божији, реци нека ови каменови постану хлебови.“
28040400b4	Исус му одговори: „Неће човек живети само од хлеба, већ од сваке речи која излази из Божијих уста.“
280405006b	Онда га је ђаво одвео у Свети град, поставио га на врх храма
2804060144	и рекао му: „Ако си Син Божији, баци се доле јер је [у Светом писму] написано: ’Он ће заповедити својим анђелима за тебе, да те својим рукама понесу, да ногом не би о камен запео.’“
2804070089	Исус му одговори: „Написано је и ово: ’Не искушавај Господа, Бога свога.’“
28040800bc	Тада је ђаво опет одвео Исуса на једну веома високу гору, показао му сва светска царства и њихову славу,
2804090081	и рекао му: „Све ћу ти ово дати ако паднеш преда мном и поклониш ми се.“
28040a00da	Тада му Исус одврати: „Одлази од мене, Сатано! Јер [у Писму] пише: ’Господу Богу своме клањај се, и њему једином служи.’“
28040b0088	Ђаво је након овога отишао од Исуса, а анђели су му приступили и служили му.
28040c007f	Када је Исус чуо да је Јован одведен [у тамницу], повукао се у Галилеју.
28040d00c2	Напустио је Назарет и настанио се у Кафарнауму, крај мора, на подручју Завулоновог и Нефталимовог племена,
28040e006e	да би се испунило оно што је [Бог] рекао преко пророка Исаије:
28040f00d1	„Земља завулоновска и земља нефталимска, на путу [што води] ка мору, с друге стране Јордана, Галилеја многобожачка;
28041000e8	народ што у тами седи, велику је светлост угледао, онима што у крају смрти живе, и под њеном сенком седе, светлост јарка освану.“
28041100aa	Од тада је Исус почео да проповеда и говори: „Покајте се, јер се приближило Царство небеско!“
2804120126	А када је ишао поред Галилејског језера, [Исус] виде два брата, Симона, названог Петар, и његовог брата Андрију, како бацају мреже у море. Они су, наиме, били рибари.
2804130078	[Исус] им рече: „Пођите за мном и ја ћу вас учинити рибарима људи.“
2804140051	Они су одмах оставили мреже и кренули за њим.
2804150107	Пошавши одатле даље, видео је браћу Јакова и Јована, Заведејеве синове, како у бродићу са својим оцем Заведејем, крпе рибарске мреже, па их позва.
2804160069	И они су одмах оставили бродић и свог оца и кренули за њим.
2804170111	[Исус] је обилазио сву Галилеју. Поучавао је народ у њиховим синагогама, објављивао Радосну вест о Царству и лечио сваку болест и сваку немоћ у народу.
2804180161	Глас о њему раширио се по свој Сирији. Људи су му доносили све болеснике који су патили од различитих болести и мука, опседнуте злим духовима, оболеле од падавице и непокретне, и он их је излечио.
28041900aa	За њим је ишло мноштво света из Галилеје, Декапоља, Јерусалима, Јудеје, и с оне стране Јордана.
28050100ad	Када је Исус видео мноштво света, попео се на гору, и пошто је сео, приступише му његови ученици.
280502003d	Исус поче да их поучава, говорећи:
280503006d	„Блажени су сиромашни духом, јер је њихово Царство небеско.
280504004a	Блажени су жалосни, јер ће примити утеху.
2805050064	Блажени су кротки, јер ће им се дати земља у наследство.
2805060069	Блажени су гладни и жедни праведности, јер ће се наситити.
280507005a	Блажени су милостиви, јер ће им се [Бог] смиловати.
2805080056	Блажени су чисти срцем, јер ће они Бога гледати.
280509006f	Блажени су миротворци, јер ће их Бог назвати својим синовима.
28050a007d	Блажени су прогнани због праведности, јер је њихово Царство небеско.
28050b00bf	Блажени сте кад вас буду вређали и прогонили и када вас због мене лажно оптуже приписујући вам свако зло.
28050c00a9	Радујте се и кличите, велика је награда ваша на небесима; тако су прогонили и пророке пре вас.
28050d00e7	Ви сте со земље. Али ако со обљутави, чиме ће повратити сланоћу? Неће више ваљати ни за шта, осим да се избаци и да је људи изгазе.
28050e0076	Ви сте светлост свету. Не може се сакрити град који стоји на брду.
28050f009c	И нико не пали светиљку и ставља је под мерицу, него на свећњак, па светли свима у кући.
28051000dc	Тако нека засветли ваша светлост пред људима, да би они, видећи ваша добра дела, прославили Оца вашег који је на небесима.
28051100af	Немојте мислити да сам дошао да укинем Закон или Пророке. Нисам дошао да укинем, него да испуним.
28051200dd	Заиста вам кажем: све док трају небо и земља, ни најмање слово, ни једна цртица неће нестати из Закона док се све не испуни.
280513017e	Али, ако неко прогласи неважећом једну од ових најмањих заповеди, и тако научи друге људе, најмањим ће се назвати у Царству небеском. А ко изврши и томе научи друге људе, великим ће се назвати у Царству небеском.
28051400e3	Јер вам кажем: ако ваша праведност не буде већа од праведности зналаца Светог писма и фарисеја, нећете ући у Царство небеско.
280515009b	Чули сте да је речено старима: ’Не убиј! Свако ко убије, одговараће за то пред судом.’
280516017a	А ја вам кажем да ће свако ко се гневи на свог брата, одговарати пред судом. А ко каже свом брату ’шупљоглавче’, одговараће за то пред Великим већем, а ко каже брату ’будало’, одговараће за то у огњу пакленом.
280517009d	Ако донесеш жртвени дар на жртвеник и тамо се сетиш да твој брат има нешто против тебе,
28051800ce	остави свој дар пред жртвеником, те иди и измири се прво са својим братом, па онда дођи и принеси свој жртвени дар.
2805190154	Гледај да се брзо нагодиш са својим зајмодавцем који те води на суд. Учини то док си још с њим на путу, да те зајмодавац не би предао судији, а судија службенику, па ћеш бити бачен у тамницу.
28051a007d	Заиста ти кажем: нећеш изаћи оданде док не исплатиш и последњи динар.
28051b004b	Чули сте да је речено: ’Не чини прељубе!’
28051c00a1	А ја вам кажем да свако ко гледа жену са пожудом, већ је учинио прељубу с њом у своме срцу.
28051d0103	Ако те твоје око наводи на грех, ископај га и баци од себе, јер боље је да један уд буде мртав за тебе, него да са целим телом будеш бачен у пакао.
28051e0111	И ако те твоја десна рука наводи на грех, одсеци је и баци од себе, јер боље је да један уд буде мртав за тебе, него да са целим телом будеш бачен у пакао.
28051f0099	Такође је речено и ово: ’Ако се неко разведе од жене, нека јој да потврду о разводу.’
280520011f	А ја вам кажем: сваки ко се разведе од своје жене, осим у случају да је затечена у блуду, наводи је да чини прељубу, и сваки ко се ожени разведеном, чини прељубу.
28052100bb	И ово сте чули да је речено вашим прецима: ’Не куни се криво, него изврши оно што си се Господу заклео.’
2805220077	А ја вам кажем: не куните се никако, ни небом, јер је престо Божији,
28052300a3	ни земљом, јер је она подножје његовим ногама, ни Јерусалимом, јер је то град великог Цара.
28052400b6	Не куни се ни својом сопственом главом, јер не можеш ни једну длаку на глави учинити белом или црном.
28052500b4	Само реците ’да’ када нешто тврдите, и ’не’ када нешто поричете. Што је више од овога, од Злога је.
2805260057	Чули сте да је речено: ’Око за око и зуб за зуб.’
28052700c5	А ја вам кажем: не супротстављајте се злом човеку, него, ако те неко удари по десном образу, окрени му и други.
2805280081	Ако неко хоће да иде на суд с тобом да би ти узео кошуљу, дај му и огртач.
280529006c	Ако те неко натера да идеш једну миљу с њим, иди с њиме и две.
28052a0093	Дај ономе који тражи од тебе, и не окрећи се од онога који хоће да позајми од тебе.
28052b0082	Чули сте да је речено: ’Воли ближњега свога, а мрзи непријатеља свога.’
28052c008b	А ја вам кажем: волите своје непријатеље, и молите се за оне који вас прогоне.
28052d0117	Тако ће се показати да сте деца Оца вашега који је на небесима, јер он даје да његово сунце обасјава и зле и добре, и даје кишу и праведнима и неправеднима.
28052e00b6	Јер ако волите оне који вас воле, какву ћете награду примити [од Бога]? Не чине ли то исто и порезници?
28052f00b2	Ако поздрављате само своје сународнике, чините ли нешто посебно? Зар то исто не чине и многобошци?
280530006c	Будите, дакле, савршени као што је савршен Отац ваш небески.
28060100fb	Пазите да своја дела праведности не чините пред људима да би вас приметили; иначе нећете добити награду од Оца вашега који је на небесима.
2806020135	Стога, кад дајеш милостињу, не труби пред собом, као што то лицемери чине по синагогама и по улицама, да би их људи величали. Заиста вам кажем: већ су примили своју награду.
2806030085	А ти кад дајеш милостињу, нека твоја левица не зна шта чини твоја десница,
28060400aa	да твоја милостиња буде у тајности. И Отац твој који види оно што је тајно, узвратиће ти јавно.
2806050137	Када се молите, не будите као лицемери који воле да се моле стојећи по синагогама и по раскршћима улица да би их људи видели. Заиста вам кажем, већ су примили своју награду.
280606011b	А ти када се молиш, уђи у своју собу, затвори врата за собом и помоли се своме Оцу који види што је тајно. Твој Отац који види што је тајно, узвратиће ти јавно.
28060700c3	И када се молите, не будите као незнабошци који гомилају речи, мислећи да ће због многих речи бити услишени.
28060800b0	Не будите као они! Наиме, ваш Отац зна које су ваше потребе и пре него што затражите нешто од њега.
280609009d	Ви се, дакле, молите овако: ’Оче наш, који си на небесима, нека се слави име твоје свето,
28060a0088	нека дође Царство твоје, нека буде твоја воља, како на небу, тако и на земљи.
28060b0037	Хлеб наш насушни дај нам данас
28060c007a	и опрости нам дугове наше како смо и ми опростили дужницима својим.
28060d0068	Не дај да подлегнемо искушењу, него нас избави од Злога.’
28060e008c	Јер, ако опраштате људима њихове преступе, опростиће и вама ваш Отац небески.
28060f0084	А ако не опраштате људима, ни вама неће опростити Отац ваш ваше преступе.
2806100119	А када постите, не будите снуждени као лицемери, који изобличују своје лице да би их људи видели како посте. Заиста вам кажем: већ су примили своју награду.
280611006a	А ти када постиш, умиј се и уреди своју косу мажући је уљем,
28061200dc	да не примете људи да постиш, него Отац твој који види што је тајно. И Отац твој који види што је тајно, узвратиће ти јавно.
28061300b1	Не прикупљајте себи благо на земљи, где га мољци и рђа нагризају и где лопови поткопавају и краду.
28061400c4	Него прикупљајте себи благо на небу, где ни мољац ни рђа не нагризају и где лопови не поткопавају и не краду.
2806150059	Јер, где је твоје благо, тамо ће бити и твоје срце.
2806160096	Око је светиљка телу. Ако је твоје око великодушно, цело твоје тело биће осветљено.
28061700fc	Али ако је твоје око завидно, цело твоје тело биће у тами. Дакле, ако оно што те осветљава постане тамно, каква ли ће тек тама настати у теби!
280618012e	Нико не може служити два господара. Јер, или ће једнога мрзети, а другога волети; или ће једноме бити привржен, а другога презирати. Не можете служити Богу и богатству!
2806190120	Зато вам кажем: не брините се за свој живот, шта ћете јести или шта ћете пити, нити за тело, чиме ћете се оденути. Није ли живот вреднији од хране и тело од одеће?
28061a00f1	Погледајте птице на небу! Нити сеју, нити жању, нити сабиру у житнице, а ваш Отац небески их храни. Зар ви не вредите много више од њих?
28061b0081	Ко од вас може бринући се продужити себи живот, макар само за један час?
28061c008c	А зашто се бринете за одећу? Погледајте пољске љиљане! Не труде се нити преду.
28061d0099	А ја вам кажем да ни Соломон у свој својој раскоши није био одевен као и један од њих.
28061e00d0	Па ако Бог тако одева биље које је данас у пољу, а већ сутра се баца у пећ, колико ли ће пре оденути вас, о, маловерни!
28061f009d	Не говорите забринуто: ’Шта ћемо јести?’ или: ’Шта ћемо пити?’ или: ’Шта ћемо обући?’
280620008c	Све то траже и многобошци. Јер, зна ваш небески Отац да вам је све то потребно.
2806210089	Тражите прво Царство Божије и његову праведност, а све ово ће вам се додати.
28062200bc	Према томе, не брините се за сутрашњи дан, јер ће се сутра бринути о себи. Сваком дану је доста зла свога.
280701004d	Не осуђујте, да сами не бисте били осуђени.
28070200c3	Јер како ви судите [друге], тако ће и вама бити суђено. Каквом мером мерите, таквом мером ће вама бити мерено.
280703007f	Зашто видиш трун у оку брата свога, а не примећујеш балван у своме оку?
28070400ad	Или, како можеш да кажеш своме брату: ’Дај да ти извадим трун из ока’, а у своме оку имаш балван?
28070500b2	Лицемере! Најпре извади балван из свога ока, а онда гледај како да извадиш трун из ока свога брата.
28070600f0	Не дајте светиње псима, јер ће се окренути против вас и растргнути вас, нити бацајте своје бисере пред свиње, јер ће изгазити бисере.
280707007a	Молите и даће вам се, тражите и наћи ћете, куцајте и отвориће вам се.
2807080086	Јер, ко год моли, добија, ко год тражи, налази, и ко год куца, томе се отвара.
2807090065	Ко би од вас своме сину дао камен, кад овај затражи хлеб,
28070a0045	или му дао змију, кад син затражи рибу?
28070b0110	Дакле, када ви, будући зли, умете да дајете добре дарове својој деци, колико ће више ваш Отац који је на небесима дати добра онима који затраже од њега?
28070c0089	Све што хоћете да људи чине вама, чините и ви њима. О томе су Закон и Пророци.
28070d00cb	Уђите на уска врата, јер су широка врата и простран пут који води у пропаст, и много је оних који ступају на њега.
28070e009a	Како ли су само уска врата и тесан пут који воде у живот и мало је оних који га налазе.
28070f009a	Чувајте се лажних пророка који вам долазе у овчијем руху, а изнутра су грабљиви вуци.
2807100095	Препознаћете их по њиховим плодовима. Бере ли се грожђе с трња, или смокве с чичка?
280711008d	Тако свако добро дрво рађа добре плодове, а свако лоше дрво рађа лоше плодове.
2807120093	Не може добро дрво рађати лоше плодове, нити може лоше дрво рађати добре плодове.
280713006e	Свако дрво које не рађа добре плодове, сече се и баца у ватру.
280714006d	Тако ћете и [лажне пророке] препознати по њиховим плодовима.
28071500e8	Неће ући у Царство небеско свако ко ми говори: ’Господе, Господе!’, него онај који извршава вољу Оца мојега који је на небесима.
2807160111	Многи ће ми говорити у онај дан: ’Господе, Господе! Нисмо ли пророковали у твоје име, у твоје име изгонили зле духове, и у твоје име чинили многа чуда?’
28071700a5	Онда ћу им ја рећи: ’Никада вас нисам познавао. Одлазите од мене ви, који чините безакоње!’
28071800d0	Према томе, свако ко слуша ове моје речи и извршује их, сличан је мудром човеку који је сазидао своју кућу на стени.
28071900cc	Сручи се киша, реке се излију, дуну ветрови и оборе се на ону кућу, али кућа се не сруши, јер је утемељена на стени.
28071a00cb	А свако ко слуша ове моје речи и не извршује их, сличан је неразумном човеку који је сазидао своју кућу на песку.
28071b00a6	Сручи се киша, реке се излију, дуну ветрови и оборе се на ону кућу, и она се сруши до темеља.“
28071c006a	Кад је Исус завршио ове речи, народ се дивио његовом учењу,
28071d0085	јер их је учио као неко ко има власт, а не као њихови зналци Светога писма.
2808010060	Кад је [Исус] сишао са горе, крене за њим много народа.
28080200ae	Уто му приступи неки губавац, паде пред њим и рече му: „Господе, ако хоћеш, можеш да ме очистиш.“
28080300c4	Исус испружи руку и дотакну га, рекавши: „Да, хоћу, буди чист!“ [Човек] је истог тренутка био исцељен од губе.
2808040126	Исус му рече: „Гледај да ником не говориш о овоме, него иди и покажи се свештенику и принеси жртву коју је Мојсије прописао, да се пред њима потврди [да си здрав].“
280805006a	Кад је дошао у Кафарнаум, приступи му један римски капетан
280806007c	и замоли га: „Господе, мој слуга лежи у кући одузет и много се мучи.“
2808070047	[Исус] му рече: „Доћи ћу и излечићу га.“
28080800d1	Капетан му одговори: „Господе, ја нисам достојан да дођеш под мој кров. Него ти само реци реч и оздравиће мој слуга.
280809011c	Ја, наиме, имам војнике који су ми потчињени, па кад кажем једном: ’Иди тамо!’, он оде; и другоме: ’Дођи!’, он дође. И слузи кад кажем: ’Уради ово!’, он уради.“
28080a00ea	Кад је Исус чуо ово, задивио се и рекао онима који су га следили: „Заиста вам кажем да ни међу Израиљцима нисам нашао овакву веру!
28080b00cd	А ја вам кажем да ће многи доћи с истока и запада и сести за сто са Аврахамом, Исаком и Јаковом у Царству небеском.
28080c0099	А поданици Царства биће избачени у таму најкрајњу. Тамо ће бити плач и шкргут зуба.“
28080d00a3	Исус рече капетану: „Иди! Нека ти буде како си веровао.“ Тог истог часа је слуга оздравио.
28080e0092	Исус је дошао у Петрову кућу. Тамо је затекао Петрову ташту како лежи у грозници.
28080f00a4	[Исус] је дотакао њену руку и грозница је престала. Онда је устала и почела да га послужује.
28081000e7	А када се спустило вече, довели су Исусу многе који су били опседнути злим духовима. Духове је истерао речју, а болесне излечио,
28081100b3	да би се испунило оно што је рекао пророк Исаија: „Он је наше слабости узео, и наше болести понео.“
28081200d9	Кад је Исус видео да се око њега окупило много света, заповедио је [својим ученицима] да се пређе на другу обалу [језера].
28081300bb	Тада му је приступио неки зналац Светог писма и рекао му: „Учитељу, следићу те куд год ти будеш пошао!“
28081400b1	Исус му одговори: „Лисице имају јазбине, птице гнезда, а Син Човечији нема где да наслони главу.“
2808150097	Неки, опет, други ученик му рече: „Господе, дозволи ми прво да одем и сахраним оца.“
2808160099	А Исус му одговори: „Крени ти за мном, а мртвима препусти да сахрањују своје мртве.“
2808170074	Када се [Исус] укрцао на бродић, за њим су пошли и његови ученици.
28081800b8	Изненада, подигла се велика бура на језеру, тако да су таласи преплављивали бродић. А [Исус] је спавао.
2808190097	Ученици су му приступили и пробудили га говорећи: „Господе, спаси нас, пропадамо!“
28081a00f2	А [Исус] им рече: „Зашто сте се уплашили, маловерни?“ Онда устаде, те заповеди ветровима и језеру да се смире, и настаде велика тишина.
28081b0090	Људи су зачуђени говорили: „Ко је овај да му се и ветрови и језеро покоравају?“
28081c0177	Кад је Исус приспео на другу страну [језера] у гадарински крај, из гробница су изашла два човека опседнута злим духовима и пошла му у сусрет. Били су веома опасни, па се нико није усуђивао да прође оним путем.
28081d00b0	Они повикаше: „Шта хоћеш од нас, Сине Божији? Јеси ли дошао да нас мучиш пре [одређеног] времена?“
28081e0051	Подаље одатле налазило се велико крдо свиња.
28081f00b7	Зли духови из двојице опседнутих замолише Исуса: „Ако нас већ изгониш, пошаљи нас у оно крдо свиња.“
28082000eb	Исус им рече: „Одлазите!“ [Зли духови] су изашли и ушли у свиње. Крдо се истог часа сјурило низ обронак у море и подавило се у води.
28082100bb	А свињари су се разбежали, па су дошли у град и све разгласили, као и оно што се догодило са опседнутима.
28082200b1	Сав град је изашао и пошао у сусрет Исусу. Кад су га видели, замолили су га да оде из њиховог краја.
2809010085	Исус је затим, ушао у бродић, отпловио на другу страну и дошао у свој град.
280902011b	Тамо су му довели једног одузетог човека који је лежао на носилима. Исус, видевши њихову веру, рече одузетоме: „Храбро, синко, опраштају ти се твоји греси!“
2809030070	А неки зналци Светог писма рекоше у себи: „Овај вређа [Бога].“
280904008c	Проникавши њихове мисли, Исус рече: „Зашто имате тако зле мисли у своме срцу?
280905007f	Шта је лакше рећи: ’Твоји греси су опроштени’, или: ’Устани и ходај?’
28090600f0	Али да знате: Син Човечији има власт да опрашта грехе на земљи.“ Онда рече одузетоме: „Устани, узми своја носила и иди својој кући!“
280907003c	Одузети устане и оде својој кући.
28090800a4	Када је народ то видео, запрепастио се, па је дао славу Богу који је дао такву власт људима.
2809090130	Како је одлазио оданде, Исус је приметио једног човека како седи на месту за прикупљање пореза. Звао се Матеј. [Исус] му рече: „Пођи за мном!“ Он устаде и пође за Исусом.
28090a00e6	Док је [Исус] обедовао у [Матејевој] кући, много порезника и других грешника је дошло и обедовало са Исусом и његовим ученицима.
28090b00c7	А фарисеји, видевши то, упиташе његове ученике: „Зашто ваш учитељ једе са порезницима и [другим] грешницима?“
28090c008c	[Исус] је то чуо, па им је одговорио: „Лекар не треба здравима, него болеснима.
28090d00d3	Идите и научите шта значи ово: ’Милосрђе хоћу, а не жртву.’ Јер ја нисам дошао да позовем праведнике, већ грешнике.“
28090e00db	[Исусу] су тада приступили Јованови ученици. Питали су га: „Зашто ми и фарисеји често постимо, а твоји ученици не посте?“
28090f00f4	Исус им одговори: „Зар могу сватови туговати док је младожења са њима? Ипак, доћи ће дани када ће им отети младожењу, и тада ће постити.
28091000f0	Нико не пришива закрпу од новог платна на стару одећу; јер закрпа, кад се у прању скупи, дере стару одећу, те настаје већа подеротина.
280911015d	Нити се ново вино сипа у старе мехове, јер ће се стари мехови распући од [врења] новог вина, па ће вино истећи, а мехови пропасти. Него, ново вино се сипа у нове мехове, па се тако обоје сачувају.“
2809120129	Док им је Исус то говорио, приступи му неки старешина, паде пред њим ничице и рече: „Моја ћерка је управо умрла. Но, ти дођи, стави своју руку на њу и она ће оживети.“
2809130064	Исус устаде те пође за њим заједно са својим ученицима.
28091400b5	Уто, нека жена која је дванаест година патила од крварења, приђе му с леђа и дотаче руб његове одеће.
2809150076	Говорила је у себи: „Ако дотакнем само његову одећу, оздравићу.“
28091600c9	Исус се окрете и угледавши је, рече: „Храбро, ћерко, твоја те је вера исцелила.“ Жена је тог часа била излечена.
28091700a1	Када је Исус дошао у кућу оног старешине, угледао је погребне свираче и људе како наричу.
280918009a	Рекао им је: „Склоните се! Девојка није умрла, него спава.“ А они су му се подсмевали.
2809190094	Када је народ био истеран, [Исус] уђе унутра, узе девојку за руку и она устаде жива.
28091a003d	То се прочуло по целом оном крају.
28091b00c2	Кад је Исус одлазио оданде, крену за њим два слепца. Викали су и говорили: „Сине Давидов, смилуј се на нас!“
28091c00df	Кад је ушао у кућу, слепци му приступе. Исус их упита: „Верујете ли да вас могу исцелити?“ „Да, Господе!“ – одговорише они.
28091d0081	Онда је Исус дотакао њихове очи и рекао: „Нека вам буде по вашој вери.“
28091e009c	Тог часа су прогледали, а Исус им строго напомену: „Гледајте да нико не дозна за ово!“
28091f0073	А они, изашавши из куће, пронеше глас о њему по целом оном крају.
28092000d0	Тек што су ова двојица изашла, кад ето, доведоше му човека који није могао да говори јер је био опседнут злим духом.
28092100fd	Пошто је [Исус] истерао злог духа, неми човек је проговорио. Народ је остао у чуду говорећи: „Никада се тако нешто није догодило у Израиљу.“
280922008e	Ипак, фарисеји рекоше: „Он уз помоћ главара злих духова истерује зле духове!“
2809230112	Исус је пролазио кроз све градове и села. Поучавао је народ у њиховим синагогама, објављивао Радосну вест о Царству и лечио сваку болест и сваку немоћ.
28092400b1	Кад је видео толики народ, сажалио се над њим, јер су били изнурени и ојађени као овце без пастира.
2809250078	Тада [Исус] рече својим ученицима: „Жетве је много, а мало радника.
280926007a	Стога се молите Господару жетве да пошаље раднике на своју жетву.“
280a0100d6	Исус је позвао својих дванаест ученика и дао им власт да истерују нечисте духове и да лече сваку болест и сваку немоћ.
280a0200d6	А ово су имена дванаест апостола: први Симон, прозвани Петар, и његов брат Андрија, Јаков Заведејев и његов брат Јован,
280a030075	Филип и Вартоломеј, Тома и Матеј порезник, Јаков Алфејев и Тадеј,
280a040060	Симон Хананејац и Јуда Искариот, који је издао Исуса.
280a0500c4	Ову Дванаесторицу је Исус послао и наложио им: „Не идите к незнабошцима и не улазите у самарјанске градове.
280a060058	Идите радије изгубљеним овцама дома Израиљевог.
280a070077	Кад путујете проповедајте ово: ’Приближило се Царство небеско.’
280a0800d0	Болесне лечите, мртве васкрсавајте, губаве чистите, зле духове изгоните! Бесплатно сте примили, бесплатно и дајте.
280a090083	Не опремајте своје појасеве ни златним, ни сребрним, ни бакреним новцем.
280a0a00ad	Ни торбу на пут не носите, ни два пара одеће, ни обуће, ни штап, јер радник заслужује своју храну.
280a0b00ca	А када улазите у неко село, распитајте се ко у њему хоће да вас прими. Ту останите све док не дође време да одете.
280a0c0045	Улазећи у ту кућу, поздравите укућане.
280a0d00d1	И ако та кућа хоће да вас прими, нека ваш мир буде над њом. Ако ли кућа неће да вас прими, нека се ваш мир врати к вама.
280a0e00d8	А ако вас неко не прими или не послуша ваших речи, изађите из те куће или из тог града и отресите прашину са својих ногу.
280a0f00a5	Заиста вам кажем да ће земљи содомској и гоморској бити лакше на Судњи дан него оном граду.
280a1000aa	Ево, ја вас шаљем као овце међу вукове. Стога, будите мудри као змије и безазлени као голубови.
280a110097	Чувајте се људи, јер ће вас предавати судовима и бичевати вас по својим синагогама.
280a120098	И пред владаре и цареве ће вас водити због мене, да посведочите њима и многобошцима.
280a1300b6	А када вас буду предали, не брините се шта ћете говорити, јер ће вам у тај час бити дано шта да кажете.
280a140077	Нећете, наиме, ви говорити, него ће Дух Оца вашега говорити из вас.
280a1500ae	Брат ће брата предати да се погуби и отац своје дете, устаће деца на своје родитеље и убијаће их.
280a16007e	Сви ће вас мрзети ради мог имена, али ко истраје до краја, биће спасен.
280a17011f	Када вас буду прогонили у једном граду, ви бежите у други. Заиста вам кажем: Син Човечији ће доћи пре но што ви довршите своје послање по Израиљевим градовима.
280a18007e	Ученик није изнад свога учитеља, нити је слуга изнад свога господара.
280a190135	Ученику је довољно да буде као његов учитељ и слузи да буде као његов господар. Ако су домаћина назвали Веелзевулом, колико ће погрднијим именима назвати његове укућане.
280a1a00bd	Зато се не бојте људи, јер нема ничег што је скривено, да се неће открити, нити тајног, да се неће дознати.
280a1b00aa	Што вам кажем у тами, реците на светлу и што вам се тихо каже на ухо, објавите гласно с кровова.
280a1c00d8	Не бојте се оних који убијају тело; они душу не могу убити. Више се бојте онога који може и душу и тело да погуби у паклу.
280a1d00c2	Зар се не продају два врапца за један новчић? Ипак, ни један од њих не пада на земљу а да то дозволи ваш Отац.
280a1e004b	А вама су и све власи на глави пребројане.
280a1f0064	Зато се не бојте: ви вредите много више од јата врабаца.
280a20009e	Ко год мене призна пред људима, признаћу и ја њега пред Оцем својим који је на небесима.
280a2100ac	А ко год се одрекне мене пред људима, одрећи ћу се и ја њега пред мојим Оцем који је на небесима.
280a220099	Не мислите да сам дошао да донесем мир на земљу. Нисам дошао да донесем мир, него мач.
