0100000009	Yaritilix
2b1223008f	— Mǝn bir Yǝⱨudiymu?! Seni manga tapxurƣanlar ɵz hǝlⱪing wǝ bax kaⱨinlarƣu! Nemǝ [jinayǝt] ɵtküzgǝniding? — dedi Pilatus.
2b1224011b	Əysa jawabǝn: — Mening padixaⱨliⱪim bu dunyaƣa tǝwǝ ǝmǝstur. Əgǝr bu dunyaƣa tǝwǝ bolƣan bolsa, hizmǝtqilirim mening Yǝⱨudiylarƣa tapxurulmasliⱪim üqün jǝng ⱪiliwatⱪan bolatti. Ⱨalbuki, mening padixaⱨliⱪim bu yǝrgǝ tǝwǝ ǝmǝstur, — dedi.
2b12250165	Xunga Pilatus uningƣa: — Undaⱪta, sǝn padixaⱨmu? — dedi. Əysa jawabǝn: — Xundaⱪ, eytⱪiningdǝk, padixaⱨmǝn. Mǝn xuningƣa tuƣulƣanmǝn, wǝ xuningƣa dunyaƣa kǝldim: — ⱨǝⱪiⱪǝtkǝ guwaⱨliⱪ berixim üqündin ibarǝttur. Ⱨǝⱪiⱪǝtkǝ tǝwǝ bolƣan ⱨǝrbir kixi bolsa mening awazimƣa ⱪulaⱪ salidu, — dedi.
2b122600d7	Pilatus uningdin: — «Ⱨǝⱪiⱪǝt» degǝn nemǝ? — dǝp soridi. Pilatus muxularni dǝp, yǝnǝ taxⱪiriƣa, Yǝⱨudiylarning aldiƣa qiⱪip ularƣa: — Mǝn uningdin ⱨeqⱪandaⱪ jinayǝt tapalmidim.
2b122700ca	Lekin ⱨǝr yili ɵtüp ketix ⱨeytida silǝr üqün [mǝⱨbuslardin] birni ⱪoyup berix ⱪaidǝm bar. Xunga bu «Yǝⱨudiylarning padixaⱨi»ni silǝrgǝ ⱪoyup beriximni halamsilǝr? — dedi.
2b1228009c	Ularning ⱨǝmmisi jawab berip: — Bu adǝmni ǝmǝs, Barabbasni ⱪoyup bering! — dǝp ⱪiyⱪas-sürǝn selixti (Barabbas bolsa bir ⱪaraⱪqi idi).
2b13010037	Xuning bilǝn, Pilatus Əysani elip berip ⱪamqilatti.
2b1302008f	Lǝxkǝrlǝr tikǝnlik xahlarni ɵrüp, bir taj yasap, uning bexiƣa kiydürüxti wǝ uningƣa [xaⱨanǝ] sɵsün rǝnglik bir ton kiydürüp,
2b13030092	uning aldiƣa kelip: — Yaxiƣayla, i Yǝⱨudiylarning «padixaⱨi»! — dǝp mǝshirǝ ⱪilixip, uning yüzigǝ ⱪayta-ⱪayta kaqat saldi.
2b130400c0	Pilatus bolsa yǝnǝ ordisidin qiⱪip, halayiⱪⱪa: — Mana! Uningdin ⱨeqⱪandaⱪ jinayǝt tapalmiƣanliⱪimni bilixinglar üqün, uni silǝrning aldinglarƣa elip qiⱪtim, — dedi.
2b130500ae	Buning bilǝn Əysa bexiƣa tikǝnlik taj wǝ uqisiƣa sɵsün ton kiygüzülgǝn ⱨalda taxⱪiriƣa elip qiⱪildi. Pilatus ularƣa: — Ⱪaranglar, u adǝmgǝ! — dedi.
2b130600e5	Bax kaⱨinlar wǝ ⱪarawullar uni kɵrüp: — Uni krestlǝng, krestlǝng! — dǝp warⱪiraxti. Pilatus ularƣa: — Uni elip berip ɵzünglar krestlǝnglar! Qünki mǝn uningdin ⱨeqⱪandaⱪ jinayǝt tapalmidim! — dedi.
2b130700b6	Yǝⱨudiylar uningƣa jawabǝn: — Bizdǝ xundaⱪ bir ⱪanun bar. Xu ⱪanunimizƣa asasǝn u ɵlümgǝ mǝⱨkum ⱪilinixi kerǝk, qünki u ɵzini Hudaning Oƣli dǝp atiwaldi.
2b1308002b	Pilatus bu sɵzni anglap tehimu ⱪorⱪup,
2b1309007c	yǝnǝ ordisiƣa kirip, Əysadin: — Sǝn zadi ⱪǝyǝrdin kǝlgǝn? — dǝp soridi. Lekin Əysa uningƣa jawab bǝrmidi.
2b130a00b4	Xunga Pilatus uningƣa: — Sǝn manga gǝp ⱪilmamsǝn? Seni ⱪoyup berixkǝ ⱨoⱪuⱪum barliⱪini, xundaⱪla krestlǝxkimu ⱨoⱪuⱪum barliⱪini bilmǝmsǝn? — dedi.
2b130b00d1	Əysa jawabǝn: — Sanga ǝrxtin berilmigǝn bolsa, mening üstümdin ⱨeqⱪandaⱪ ⱨoⱪuⱪung bolmiƣan bolatti. Xuning üqün meni sanga tapxurup bǝrgǝn adǝmning gunaⱨi tehimu eƣirdur, — dedi.
2b130c0116	Xu qaƣdin tartip, Pilatus uni ⱪoyuwetixkǝ amal izdǝytti. Lekin Yǝⱨudiylar warⱪirixip: — Bu adǝmni ⱪoyuwǝtsingiz, siz Ⱪǝysǝrning dosti bolmiƣan bolisiz! Ɵzini padixaⱨ degǝn ⱨǝrbir kixi Ⱪǝysǝrgǝ ⱪarxi qiⱪⱪan bolidu! — dǝp quⱪan selixti.
2b130d00ba	Pilatus bu sɵzlǝrni anglap, Əysani taxⱪiriƣa qiⱪardi wǝ «tax tahtayliⱪ ⱨoyla» dǝp atalƣan, ibraniy tilida «Gabbata» dǝp atalƣan yǝrdǝ «soraⱪ tǝhti»gǝ olturdi
2b130e00a3	(u waⱪit ɵtüp ketix ⱨeytining tǝyyarliⱪ künining altinqi saiti ǝtrapida idi). Pilatus Yǝⱨudiylarƣa: Mana bu silǝrning padixaⱨinglardur! — dedi.
2b130f014c	Lekin ular warⱪirixip: — Yoⱪiting, yoⱪiting, uni krestlǝng! — dedi. Pilatus ularƣa: — Meni padixaⱨinglarni krestligin, dǝmsilǝr? — dedi. Bax kaⱨinlar jawabǝn: — Ⱪǝysǝrdin baxⱪa ⱨeqⱪandaⱪ padixaⱨimiz yoⱪtur! — dǝp [towlaxti]. Buning bilǝn Pilatus uni krestlǝxkǝ ularƣa tapxurup bǝrdi.
2b13100084	[Lǝxkǝrlǝr] Əysani elip mangdi. U ɵz krestini yüdüp, «Bax sɵngǝk jayi» (ibraniy tilida «Golgota») degǝn yǝrgǝ bardi.
2b1312009b	Ular uni xu yǝrdǝ yǝnǝ ikki kixi bilǝn tǝng krestkǝ tartti; bu tǝripidǝ birsi, u tǝripidǝ birsi wǝ Əysa ularning otturisida krestkǝ tartildi.
2b1313008d	Pilatus tahtiƣa elan yezip krestkǝ bekitip ⱪoydi. Uningƣa: — «Nasarǝtlik Əysa — Yǝⱨudiylarning padixaⱨi» dǝp yezilƣanidi.
2b131400bc	Əysa krestlinidiƣan yǝr xǝⱨǝrgǝ yeⱪin bolƣaqⱪa, nurƣun Yǝⱨudiylar tahtidiki sɵzlǝrni oⱪudi. Tahtidiki sɵzlǝr ibraniyqǝ, latinqǝ wǝ grekqǝ yeziⱪta yezilƣanidi.
2b131500bf	Xunga Yǝⱨudiylarning bax kaⱨinliri Pilatusⱪa: — «Yǝⱨudiylarning padixaⱨi» dǝp yazmang, bǝlki «U ɵzini mǝn Yǝⱨudiylarning padixaⱨi, degǝn» dǝp yezing, — deyixti.
2b13160042	Biraⱪ Pilatus jawabǝn: — Yazidiƣanni yezip boldum! — dedi.
2b131700fd	Lǝxkǝrlǝr Əysani krestligǝndin keyin, uning kiyimlirini elip, tɵtkǝ bɵlüp, ⱨǝrbir lǝxkǝr bir ülüxtin elixti; ular ⱨǝm iqidiki uzun kɵnglǝknimu elixti; lekin bu kɵnglǝk tikilmigǝn, üstidin ayiƣiƣiqǝ bir pütün toⱪulƣanidi.
2b13180169	Xuning üqün lǝxkǝrlǝr bir-birigǝ: — Buni yirtmayli, bǝlki qǝk tartixayli, kimgǝ qiⱪsa xu alsun, — deyixti. Bu ixlar muⱪǝddǝs yazmilardiki munu sɵzlǝr ǝmǝlgǝ axurulux üqün yüz bǝrdi: — «Ular mening kiyimlirimni ɵz arisida ülǝxti, Mening kɵnglikimgǝ erixix üqün qǝk taxlaxti». Dǝrwǝⱪǝ, lǝxkǝrlǝr xundaⱪ ⱪilixti.
2b13190076	Əysaning krestining yenida anisi, anisining singlisi, Klopasning ayali Mǝryǝm wǝ Magdalliⱪ Mǝryǝmlǝr turatti.
2b131a0085	Əysa anisi bilǝn ɵzi sɵyidiƣan muhlisining birgǝ turƣanliⱪini kɵrüp, anisiƣa: — I hanim, mana sening oƣlung! — dedi.
2b131b0072	Andin u bu muhlisⱪa: — Mana sening anang! — dedi. Xundin etibarǝn, u muhlis uni ɵzining ɵyidǝ turƣuzdi.
2b131c0093	Andin Əysa ⱨǝmmǝ ixlarning tamam bolƣinini bilip (muⱪǝddǝs yazmilardiki bexarǝt ǝmǝlgǝ axurulux üqün): — Ussap kǝttim! — dedi.
2b131d00ab	U yǝrdǝ sirkǝ xarab bilǝn toldurulƣan bir koza bar idi. Ular bir parqǝ bulutni sirkǝ xarabⱪa qilap, bir lepǝkgül ƣoliƣa baƣlap, Əysaning aƣziƣa tǝnglidi.
2b131e0076	Əysa sirkǝ xarabni iqkǝndin keyin: — Tamam boldi! — dedi-dǝ, bexini tɵwǝn ⱪilip, roⱨini tapxurup bǝrdi.
2b131f0150	U küni [ɵtüp ketix ⱨeytining] tǝyyarliⱪ küni bolƣaqⱪa, krestlǝngǝnlǝrning jǝsǝtlirini xabat künidǝ kresttǝ ⱪaldururmasliⱪ üqün (xabat küni «uluƣ kün» ⱨesablanƣaqⱪa) Yǝⱨudiylar Pilatustin krestlǝngǝnlǝrning putlirini qeⱪip andin jǝsǝtlirini kresttin tezrǝk qüxürüwetixni tǝlǝp ⱪildi.
2b13200075	Xuning bilǝn lǝxkǝrlǝr berip Əysa bilǝn billǝ krestlǝngǝn birinqi andin ikkinqi adǝmning putlirini qaⱪti.
2b13210069	Lekin Əysaƣa kǝlgǝndǝ, uning alliⱪaqan ɵlgǝnlikini kɵrdi, xuning bilǝn uning putini qaⱪmidi.
2b13220062	Əmma lǝxkǝrlǝrdin biri uning biⱪiniƣa nǝyzini sanjiwidi, xuan ⱪan wǝ su eⱪip qiⱪti.
2b1323009b	Buni kɵrgüqi silǝrning ixinixinglar üqün guwaⱨliⱪ beridu; kɵrgüqining guwaⱨliⱪi ⱨǝⱪtur, u ɵzining eytⱪanlirini ⱨǝⱪ dǝp bilidu.
2b132400e4	Bu ixlarning ⱨǝmmisi muⱪǝddǝs yazmilarda: «Uning bir tal sɵngikimu sundurulmaydu» wǝ yǝnǝ bir bexarǝttǝ: «Ular ɵzliri sanjiƣan adǝmgǝ ⱪaraydu» dǝp aldin eytilƣanlarni ǝmǝlgǝ axurux üqün yüz bǝrdi.
2b13260124	Bu ixlardin keyin, Arimatiyaliⱪ Yüsüp Pilatustin Əysaning jǝsitini elip ketixni tǝlǝp ⱪildi (Yüsüp Əysaning muhlisliridin idi, lekin Yǝⱨudiylardin ⱪorⱪⱪini üqün buni mǝhpiy tutatti); Pilatus ruhsǝt bǝrdi, xuning bilǝn Yüsüp berip Əysaning jǝsitini elip kǝtti.
2b132700b3	Burun bir keqisi Əysaning yeniƣa kǝlgǝn ⱨeliⱪi Nikodimmu murmǝkki bilǝn sǝbrǝ arilaxturulƣan huxbuy dora-dǝrmandin yüz jingqǝ elip, [uning] [bilǝn billǝ] kǝldi.
2b1328008e	Ikkiylǝn Əysaning jǝsitini Yǝⱨudiylarning dǝpnǝ ⱪilix aditi boyiqǝ dora-dǝrmanlarni qeqip, kanap rǝhtlǝr bilǝn orap kepǝnlidi.
2b13290077	Əysa krestlǝngǝn yǝrdǝ bir baƣ bolup, baƣning iqidǝ tehi ⱨeqkim yǝrlǝnmigǝn yengi bir box yǝrlik bar idi.
2b132a0099	Bu Yǝⱨudiylarning ⱨeytining tǝyyarliⱪ küni bolƣaqⱪa ⱨǝm bu yǝrlik yeⱪin jayda bolƣanliⱪi üqün, ular Əysani xu yǝrlikkǝ ⱪoydi.
2b1401008f	Ⱨǝptining birinqi küni tang sǝⱨǝr, Magdalliⱪ Mǝryǝm ⱪǝbrigǝ bardi wǝ ⱪǝbrining aƣzidiki taxning eliwetilgǝnlikini kɵrdi.
2b140200c9	Xunga u yügürginiqǝ kelip Simon Petrus wǝ Əysa sɵygǝn ⱨeliⱪi muhlisning yeniƣa kelip, ularƣa: — Ular Rǝbni ⱪǝbridin yɵtkiwetiptu, uni ⱪǝyǝrgǝ ⱪoyƣinini bilmiduⱪ! — dedi.
2b14030053	Petrus bilǝn ⱨeliⱪi muhlis taxⱪiriƣa qiⱪip, ⱪǝbrigǝ ⱪarap yol aldi.
2b1404007b	Ikkiylǝn tǝng yügürüp mangdi, lekin ⱨeliⱪi muhlis Petrustin tez yügürüp, ⱪǝbrigǝ birinqi bolup yetip bardi.
2b14050076	U engixip iqigǝ ⱪarap, kanap kepǝnlǝrning u yǝrdǝ yeyiⱪliⱪ turƣanliⱪini kɵrdi, lekin iqkirigǝ kirmidi.
2b1406007c	Uningƣa ǝgixip kǝlgǝn Simon Petrus yetip kelip, ⱪǝbrigǝ kirdi wǝ u yǝrdǝ yeyiⱪliⱪ turƣan kanap kepǝnlǝrni,
2b14070094	xundaⱪla Əysaning bexiƣa oralƣan yaƣliⱪnimu kɵrdi. Yaƣliⱪ kepǝnlǝr bilǝn bir yǝrdǝ ǝmǝs, bǝlki ayrim yǝrdǝ yɵgǝklik turatti.
2b14080062	Andin ⱪǝbrigǝ awwal kǝlgǝn ⱨeliⱪi muhlismu ⱪǝbrigǝ kirip, ǝⱨwalni kɵrüp ixǝndi
2b14090090	(qünki ular uning ɵlümdin ⱪayta tirilixining muⱪǝrrǝrliki ⱨǝⱪⱪidǝ muⱪǝddǝs yazmilardiki bexarǝtni tehiqǝ qüxǝnmǝytti).
2b140a0037	Xuning bilǝn ikkiylǝn ɵz turalƣuliriƣa ⱪaytixti.
2b140b0076	Əmma Mǝryǝm bolsa ⱪǝbrining sirtida turup yiƣlawatatti. U yiƣlap turup ⱪǝbrining iqigǝ engixip ⱪariwidi,
2b140c009c	mana aⱪ kiyim kiygǝn ikki pǝrixtǝ turatti; ularning biri Əysaning jǝsiti ⱪoyulƣan yǝrning bax tǝripidǝ, yǝnǝ biri ayaƣ tǝripidǝ olturatti.
2b140d00a5	Ular Mǝryǝmdin: — Hanim, nemixⱪa yiƣlaysǝn? — dǝp soridi. — Rǝbbimni elip ketiptu, uni nǝgǝ ⱪoyƣanliⱪini bilǝlmǝywatimǝn, — dedi u ularƣa.
2b140e0086	U xu sɵzlǝrni ⱪilipla, kǝynigǝ buruluwidi, Əysaning xu yǝrdǝ turƣanliⱪini kɵrdi. Lekin u uning Əysa ikǝnlikini bilmidi.
2b140f0114	Əysa uningdin — Hanim, nemixⱪa yiƣlaysǝn, kimni izdǝysǝn? — dǝp soridi. Mǝryǝm uni baƣwǝn xu, dǝp oylap: — Tǝⱪsir, ǝgǝr uni siz xu yǝrdin yɵtkiwǝtkǝn bolsingiz, ⱪǝyǝrgǝ ⱪoyƣanliⱪingizni eytip bǝrgǝysiz. Mǝn uni elip ketimǝn, — dedi.
2b14100081	Mǝryǝm! — dedi Əysa uningƣa. Mǝryǝm burulupla, ibraniy tilida: — Rabboni! — dedi (bu sɵz «ustaz» degǝn mǝnidǝ).
2b14110115	Əysa uningƣa: — Manga esilmiƣin! Qünki mǝn tehi atamning yeniƣa qiⱪmidim. Berip ⱪerindaxlirimƣa: Meni «Silǝrningmu Atanglarning, yǝni mening Atamning, silǝrning Hudayinglarning, yǝni mening Hudayimning yeniƣa qiⱪimǝn!» dǝydu, — dǝp yǝtküzgin, dedi.
2b141200a9	Xuning bilǝn Magdalliⱪ Mǝryǝm muhlislarning yeniƣa berip, ularƣa: «Rǝbni kɵrdüm!» dedi wǝ xundaⱪla Əysa ɵzigǝ eytⱪan u sɵzlǝrni ularƣa yǝtküzdi.
2b14130134	Xu küni kǝqtǝ, yǝni ⱨǝptining birinqi küni kǝqtǝ, Yǝⱨudiylardin ⱪorⱪⱪanliⱪi üqün muhlislar yiƣilƣan ɵydǝ ixiklirini ⱨim taⱪiwalƣanidi; xu waⱪitta, Əysa kelip ularning otturisida [kɵrünüp], ɵrǝ turƣan ⱨalda ularƣa: — Silǝrgǝ aman-hatirjǝmlik bolƣay! — dedi.
2b1414006e	Buni dǝp, ⱪollirini wǝ biⱪinini ularƣa kɵrsǝtti. Xuning bilǝn muhlislar Rǝbni kɵrginidin xadlandi.
2b14150084	Xunga Əysa ularƣa yǝnǝ: — Silǝrgǝ aman-hatirjǝmlik bolƣay! Ata meni ǝwǝtkinidǝk, mǝnmu silǝrni ǝwǝtimǝn, — dedi.
2b1416006c	Bu sɵzni eytⱪandin keyin, u ularning üstigǝ bir püwlǝp: — Muⱪǝddǝs Roⱨni ⱪobul ⱪilinglar.
2b1417009a	Kimning gunaⱨlirini kǝqürsǝnglar, uning gunaⱨi kǝqürüm ⱪilinidu; kimning gunaⱨlirini tutuwalsanglar, xuning gunaⱨi tutuwelinidu! — dedi.
2b14180074	Əmma on ikkiylǝnning biri, yǝni «ⱪoxkezǝk» dǝp atalƣan Tomas Əysa kǝlgǝndǝ ularning yenida ǝmǝs idi.
2b1419010d	Xunga baxⱪa muhlislar uningƣa: — Biz Rǝbni kɵrduⱪ! — deyixti. Lekin Tomas ularƣa: — Uning ⱪollirida mihlarning izini kɵrmigüqǝ, mihlarning iziƣa ɵz barmiⱪimni wǝ biⱪiniƣa ɵz ⱪolumni tiⱪip baⱪmiƣuqǝ, ⱨǝrgiz ixǝnmǝymǝn, — dedi.
2b141a00dd	Sǝkkiz kündin keyin, muhlislar yǝnǝ xu ɵy iqidǝ jǝm bolƣanda, Tomasmu ular bilǝn billǝ idi. Ixiklǝr taⱪaⱪliⱪ tursimu, Əysa kelip ularning arisida turup: — Silǝrgǝ aman-hatirjǝmlik bolƣay! — dedi.
2b141b00a9	Andin u Tomasⱪa: — Barmiⱪingni bu yǝrgǝ tǝgküzüp, ⱪollirimƣa ⱪara. Ⱪolungni uzitip, biⱪinimƣa tiⱪip, gumanda bolmay, ixǝngüqi bolƣin! — dedi.
2b141c0054	Tomas uningƣa: — Mening Rǝbbim ⱨǝm mening Hudayimsǝn! — dǝp jawab bǝrdi.
2b141d006e	Əysa uningƣa: — Meni kɵrgǝnliking üqün ixǝnding. Kɵrmǝy turup ixǝngüqilǝr bǝhtliktur! — dedi.
2b141e006e	Əysa muhlislirining aldida bu kitabta hatirilǝnmigǝn baxⱪa nurƣun mɵjizilik alamǝtlǝrnimu kɵrsǝtti.
2b141f00cc	Lekin muxular silǝrni Əysaning Mǝsiⱨ, xundaⱪla Hudaning Oƣli ikǝnlikigǝ ixǝnsun ⱨǝm bu arⱪiliⱪ [uningƣa] etiⱪad ⱪilip, uning nami arⱪiliⱪ ⱨayatliⱪⱪa erixsun, dǝp yezildi.
2b15010092	Bu ixlardin keyin, Əysa Tiberiyas dengizining boyida muhlisliriƣa yǝnǝ bir ⱪetim kɵründi. Uning bu ⱪetimⱪi kɵrünüxi mundaⱪ boldi:
2b15020092	Simon Petrus, «ⱪoxkezǝk» dǝp atalƣan Tomas, Galiliyǝdiki Kanaliⱪ Nataniyǝl, Zǝbǝdiyning oƣulliri wǝ baxⱪa ikki muhlis billǝ idi.
2b150300c9	Simon Petrus: Mǝn beliⱪ tutⱪili barimǝn, — dedi. Kɵpqilik: Bizmu sǝn bilǝn billǝ barimiz, — deyixti. Ular taxⱪiriƣa qiⱪip, kemigǝ olturdi, lekin xu bir keqǝ ⱨeqnǝrsǝ tutalmidi.
2b15040064	Tang atay deginidǝ, Əysa ⱪirƣaⱪta turatti, biraⱪ muhlislar uning Əysa ikǝnlikini bilmidi.
2b1505007c	Xunga Əysa: — Balilar, silǝrdǝ yegüdǝk bir nǝrsǝ yoⱪⱪu? — dǝp soridi. — Yoⱪ, — dǝp jawab bǝrdi ular.
2b150600e2	Əysa ularƣa — Torni kemining ong tǝripigǝ taxlanglar, xundaⱪ ⱪilsanglar tutisilǝr, — dedi. Xuning bilǝn ular torni [xu yaⱪⱪa] taxlap, xundaⱪ kɵp beliⱪ tuttiki, ⱨǝtta torni tartip qiⱪiralmay ⱪaldi.
2b150700c0	Əysa sɵygǝn muhlis Petrusⱪa: — Bu Rǝbⱪu! — dedi. Simon Petrus uning Əysa ikǝnlikini anglap, tonini ɵzigǝ yɵgǝp (qünki [belining asti] yalingaq idi) ɵzini dengizƣa taxlidi.
2b150800c4	Ⱪirƣaⱪtin anqǝ yiraⱪ ǝmǝs bolup, tǝhminǝn ikki yüz gǝz yiraⱪliⱪta bolƣaqⱪa, ⱪalƣan muhlislar beliⱪ bilǝn tolƣan torni tartip kiqik kemisi bilǝn ⱪirƣaⱪⱪa kǝldi.
2b15090074	Ular ⱪirƣaⱪⱪa qiⱪⱪanda, xahardin yeⱪilƣan, üstidǝ beliⱪ ⱪoyuⱪluⱪ gülhanni wǝ nanni kɵrdi.
2b150a0041	Əysa: — Əmdi tutⱪan beliⱪinglardin ǝkelinglar, — dedi.
2b150b00d7	Simon Petrus [kemigǝ] qiⱪip, torni ⱪirƣaⱪⱪa tartip qiⱪardi. Tor qong beliⱪlar bilǝn tolƣan bolup, jǝmiy bir yüz ǝllik üq beliⱪ bar idi. Beliⱪ xunqǝ kɵp bolƣini bilǝn, tor yirtilmiƣanidi.
2b150c00bb	Əysa: — Kelinglar, naxta ⱪilinglar, — dedi. Muhlislarning iqidin ⱨeqkim uningdin: — Sǝn kim bolisǝn? — dǝp soraxⱪa petinalmidi. Qünki ular uning Rǝb ikǝnlikini bildi.
2b150d004a	Əysa nanni ǝkilip ularƣa bǝrdi ⱨǝm beliⱪlarnimu xundaⱪ ⱪildi.
2b150e0063	Mana bu Əysaning ɵlgǝndin keyin tirilip, ɵzini muhlisliriƣa üqinqi ⱪetim ayan ⱪilixi idi.
2b150f0123	Ular naxta ⱪilƣandin keyin, Əysa Simon Petrustin: — Yunusning oƣli Simon, sǝn meni bulardinmu qongⱪur sɵyǝmsǝn? — dǝp soridi. — Xundaⱪ Rǝb, mening seni sɵyidiƣanliⱪimni sǝn bilisǝn! — dedi Petrus. Əysa uningƣa: Undaⱪta, ⱪozilirimni otlitip baⱪ! — dedi.
2b151000f5	U ikkinqi ⱪetim yǝnǝ uningdin: — Yunusning oƣli Simon, meni sɵyǝmsǝn? — dǝp soridi. Petrus yǝnǝ: — Xundaⱪ, Rǝb, mening seni sɵyidiƣanliⱪimni bilisǝn, — dedi. Əysa uningƣa: — Undaⱪta, ⱪoylirimni baⱪ, — dedi.
2b15110151	Üqinqi ⱪetim uningdin yǝnǝ: — Yunusning oƣli Simon, meni sɵyǝmsǝn? — dǝp soridi. Petrus Əysaning üqinqi ⱪetim ɵzidin: «Meni sɵyǝmsǝn?» dǝp soriƣanliⱪiƣa kɵngli yerim bolup: — Rǝb, sǝn ⱨǝmmini bilisǝn, seni sɵyidiƣanliⱪimnimu bilisǝn, — dedi. Əysa uningƣa: — Undaⱪta, ⱪoylirimni otlat.
2b15120110	Bǝrⱨǝⱪ, bǝrⱨǝⱪ, sanga xuni eytip ⱪoyayki, yax waⱪtingda belingni ɵzüng baƣlap, ⱪǝyǝrgǝ baray desǝng xu yǝrgǝ mangatting; lekin yaxanƣanda, ⱪolliringni uzitisǝn wǝ baxⱪa birsi seni baƣlap, sǝn halimaydiƣan yǝrgǝ elip ketidu, — dedi.
2b151300c5	Əysa bu sɵzni Petrusning ⱪandaⱪ ɵlüx arⱪiliⱪ Hudaƣa xan-xǝrǝp kǝltüridiƣanliⱪini eniⱪ bildürüx üqün eytti. Andin, uningƣa yǝnǝ: — Manga ǝgǝxküqi bolƣin, — dedi.
2b151400dd	Petrus kǝynigǝ burulup, Əysa sɵyidiƣan muhlisning ǝgixip keliwatⱪanliⱪini kɵrdi (bu muhlis kǝqlik tamaⱪta Əysaning ⱪuqiⱪiƣa yɵlinip: «I Rǝb, seni tutup beridiƣan kimdu?» dǝp soriƣan muhlis idi).
2b1515005b	Petrus uni kɵrüp, Əysadin: — I Rǝb, bu adǝm keyin ⱪandaⱪ bolar? — dǝp soridi.
2b1516009d	Əysa uningƣa: — Əgǝr mǝn ⱪayta kǝlgüqǝ uning turup ⱪelixini halisammu, sening buning bilǝn nemǝ karing?! Manga ǝgǝxküqi bolƣin, — dedi.
2b15170116	Buning bilǝn ⱪerindaxlar arisida «Ⱨeliⱪi muhlis ɵlmǝydu» degǝn gǝp tarⱪaldi. Lekin Əysa Petrusⱪa: «U ɵlmǝydu» demigǝnidi, bǝlki pǝⱪǝt: «Əgǝr mǝn ⱪayta kǝlgüqǝ uning turup ⱪelixini halisammu, sening buning bilǝn nemǝ karing?!» degǝnidi.
2b15180096	Bu ixlarƣa guwaⱨliⱪ bǝrgüqi ⱨǝmdǝ bu ixlarni hatiriligüqi ǝnǝ xu muhlistur. Uning guwaⱨliⱪining ⱨǝⱪiⱪǝt ikǝnlikini bilimiz.
2b151900b2	Əysa bulardin baxⱪa nurƣun ixlarnimu ⱪilƣanidi; ǝgǝr ularning ⱨǝmmisi bir-birlǝp yezilƣan bolsa, meningqǝ yezilƣan kitablar pütkül alǝmning ɵzigǝ siƣmaytti!
2c0000001a	Rosullarning paaliyǝtliri
2c01010110	I [ⱨɵrmǝtlik] Teofilos, mǝn dǝslǝp yazƣan bayan Əysa ɵzi talliƣan rosullarƣa Muⱪǝddǝs Roⱨ arⱪiliⱪ ǝmrlǝrni tapxurup asmanƣa kɵtürülgǝn küngüqǝ bolƣan uning barliⱪ ǝmǝlliri ⱨǝm barliⱪ tǝlim berixlirining baxlanmisi toƣrisida idi.
2c010300e8	U azab-oⱪubǝtlǝrni tartⱪandin keyin, ularƣa kɵp ispatlar bilǝn ɵzining tirik ikǝnlikini kɵrsǝtkǝn; u ularƣa ⱪiriⱪ kün iqidǝ kɵrüngǝn bolup, Hudaning padixaⱨliⱪiƣa ait ixlar toƣruluⱪ sɵzlǝp bǝrgǝn;
2c0104008f	wǝ ular bilǝn jǝm ⱪilinƣanda mundaⱪ ǝmr ⱪildi: — «Yerusalemdin ayrilmay, silǝr mǝndin angliƣan, Atining wǝdisini kütünglar.
2c01050081	Qünki Yǝⱨya suda qɵmüldürgǝn, lekin silǝr bolsanglar kɵp künlǝr ɵtmǝy Muⱪǝddǝs Roⱨta qɵmüldürülisilǝr».
2c010600ad	Rosullar [uning bilǝn] jǝm ⱪilinƣanda, uningdin: — I Rǝb, sǝn muxu waⱪitta Israilning padixaⱨliⱪini ǝsligǝ kǝltürmǝkqimusǝn? — dǝp soraxⱪa baxlidi.
2c0107007f	U ularƣa mundaⱪ dedi: — Ata Ɵz ⱨoⱪuⱪiƣa asasǝn bekitkǝn waⱪit-pǝytlǝrni silǝrning bilix nesiwǝnglar yoⱪ.
2c010800d2	Biraⱪ Muⱪǝddǝs Roⱨ üstünglarƣa qüxkǝndǝ silǝr küq-ⱪudrǝtkǝ igǝ bolisilǝr, Yerusalem, pütün Yǝⱨudiyǝ wǝ Samariyǝ boyiqǝ ⱨǝm jaⱨanning qǝtlirigiqǝ manga guwaⱨqi bolisilǝr.
2c0109008d	U bu sɵzlǝrni ⱪilip bolup, ular ⱪarap turƣanda kɵtürüldi, bir parqǝ bulut uni ariƣa aldi-dǝ, u ularning nǝziridin ƣayib boldi.
2c010a0097	U asmanƣa kɵtürülgǝndǝ, ular kɵzlirini kɵkkǝ tikip ⱪaraxⱪanda, mana tuyuⱪsiz ularning yenida aⱪ kiyim kiygǝn ikki adǝm pǝyda bolup:
2c010b00fd	— Əy Galiliyǝliklǝr, nemixⱪa ɵrǝ turƣininglarqǝ asmanƣa ⱪarap ⱪaldinglar? Silǝr silǝrdin ayrilip ǝrxkǝ kɵtürülgǝn xu Əysaning asmanƣa ⱪandaⱪ kɵtürülginini kɵrgǝn bolsanglar, yǝnǝ xu ⱨalda ⱪaytip kelidu, — dedi.
