2800000007	MÀTAY
3e0310008e	Le, apanà bi ban'yöb ukwen: Yɛsu Klistɔ kàpɛ mɔ̈ɔ̈ ande ntɔn bi. Bi sye ikyer asànaa nde, bi ipà mɔ̈ɔ̈ abi ntɔn atɔŋ.
3e031100a0	Isàkal naa mbuur u mɛɛn mà we anà indiir mbɔɔn, nde umɛn un'tɔŋ ande u mpay, wɛɛ nde kun'kääŋ mpem, ukwen a Nzam ban'kwo mukal aben amu nde?
3e03120068	Baan amɛ, wɛy bi ikɔ̈ɔ̈n akwen nà u ndaa anà làlem mpɛl, wɛɛ unsà isal anà u ndandaa.
3e03130068	Abun, bi waa isàyöb naa bi ibà baar a ndandaa, anà mpem abi waa isàkal yà duu kusà a Nzam.
3e03140087	Ntɔn, itàkal naa mpem abi yàmukifüünà, bi ikyàyöb naa Nzam kan'söön mpem abi anà nde akyàyöb indiir byanswà.
3e03150069	Atɔŋ amɛ bànkwen, isàkal naa mpem abi ikifüünà anki, bi ibye anà làkyän kusà a Nzam.
3e03160079	Abun, bi isàwal undiir wanswà isàlɔm bi akà nde, ntɔn bi ban'kyey nswɛɛŋ ande anà bi ifàkyer ukwen ande.
3e0317007e	Le nswɛɛŋ ande: bi musà làkwikilà kà ikɔb a Mwan ande Yɛsu Klistɔ anà bi ikwen bi a bi, asànaa kiswɛŋ nde.
3e03180091	Mbuur afàsyäl nswɛɛŋ ande wà wà Nzam, anà Nzam wà amu nde. Apan, bi ban'yöb naa nde wà uboo a bi, u mbwo a Dweelà kipɛ nde.
3e040100f4	Ankwen amɛ, twon làn'sà làkwikilà akà baar bàkakyeyà uyɔl naa ba bye anà Dweelà, wɛɛ lasii, ntɔn muyöb naa nkye an'dweelà amà akà ba man'fà akà Nzam, ntɔn aŋangɔɔm a loor mbɔɔn bàkyàpää u mɛɛn.
3e04020075	Apan bɛ lan'yöb Dweelà a Nzam: dweelà lanswà lan'kyey naa Yɛsu Klistɔ kàyi u ndür, nde wà wà Nzam.
3e040300d4	Wɛɛ mbuur wanswà afàtɔn mukyey Yɛsu, akà nde Dweelà a Nzam watɛy, wɛɛ dweelà a un'yiiŋ a Klistɔ: bɛ làkyàwem naa nde awà akyer asàyà, anà apanà, nde kàkyàyà itaan u mɛɛn.
3e040400bb	Wɛɛ bɛ, baan amɛ, bɛ baan a Nzam, bɛ làkyàwal iböŋ kusà a aŋangɔɔm aban, ntɔn Dweelà awafàsal uboo a bɛ wà wàngwal aŋàsöön dweelà làfàyaal mɛɛn.
3e04050051	Ba bà baar a mɛɛn. Ba sye bàfàtɛn ndaa a mɛɛn, mɛɛn waa màfàwem.
3e040600be	Wɛɛ bi, bi ibà baan a Nzam. Mbuur awà ayöb Nzam, wàmukiweemà. Mbuur mpa awà wà Nzam, kiweemà anki. Apan, bi ban'yöb Dweelà a ndandaa anà dweelà làfàbwiy ndwaŋ.
3e04070097	Abun, atɔŋ amɛ, wɛy bi ikwen bi a bi. Ntɔn ukwen bàfàfà akà Nzam, anà mbuur wanswà afàkwen, bun'bör amu Nzam anà nde akyun'kwen.
3e04080046	Wɛɛ, mbuur mpa afàkwen kàyöb anki Nzam, ntɔn Nzam wà ukwen.
3e04090091	Apan, làler, ukwen a Nzam bàfàmɛnà aben uboo a bi: Nzam kàtöm Mwan ande mwɛy mpɛl u mɛɛn, ntɔn bi iwɛl mɔ̈ɔ̈ u mbwo a nde.
3e040a0088	Le, ukwen ininà: kà bi anki kàkwen Nzam, wɛɛ nde kikwen, waa kàtöm Mwan ande asànaa ibɔɔn ntɔn ndwääl a man'be abi.
3e040b0042	Ankwen amɛ, isàkal naa Nzam kikwen abun, bi sye, ikwen bi a bi.
3e040c0084	Akà mbuur mwɛy kàtääŋ anki Nzam. Isàkal naa bi ban'kwen bi a bi, Nzam wà amu bi, anà ukwen ande amu bi bàŋàkwo.
3e040d0062	Unsà yayi, bi ifàtà imbäl naa bi ibà amu nde, anà nde amu bi: nde kipɛ Dweelà ande.
3e040e007f	Anà bi, bi kàkyer un'tääŋ, waa bi ifàtà imbäl naa Taa kàtöm Mwan asànaa Un'tswää a mɔ̈ɔ̈ a mɛɛn.
3e040f0062	Mbuur wanswà afàtà imbäl naa Yɛsu wà Mwan a Nzam, Nzam wà amu nde, nde wà amu Nzam.
3e04100096	Waa bi, bi ban'yöb anà ban'sà làkwikilà naa Nzam akyikwen. Nzam wà ukwen. Mbuur awà uboo a ukwen wà amu Nzam, anà Nzam wà amu nde.
3e041100bb	Undiir uleŋà ukwen aŋàkwo uboo abi, wà naa bi ikäl aŋàyɔl a làkyän kà ilä a nsaŋ. Bi isàkal abwɛy, ntɔn mɔ̈ɔ̈ abi u mɛɛn mà wà asànaa awà wànde.
3e041200bf	Bɔɔmà batɛy uboo a ukwen. Ukwen aŋàkwo bàfàpiy bɔɔmà, ntɔn bɔɔmà bafàyà mpal bàfàdil ntaaŋàmbar. Anà mbur afàman bɔɔmà ukwen ande kà bàŋakwo anki.
3e0413003a	Akà bi, bi ikyer afàkwen, ntɔn Nzam kàtwab atikwen.
3e041400d2	Isàkal naa mbuur an'tɛn naa: «Mɛ in'kwen Nzam», wɛɛ nde an'yiiŋà un'tɔŋ ande, nde wà mbuur a loor, ntɔn mbuur mpa ukwen un'tɔŋ awà ukàmanà nde, ukwe anki mukwen Nzam mpa ukàmanà nde.
3e04150066	Anà, le nswɛɛŋ ban'kwo bi mukaar akà nde: mbuur awà akwen Nzam, wɛy ukwen sye un'tɔŋ ande.
3e050100b3	Mbuur awà an'sà làkwikilà naa Yɛsu wà Klistɔ, bàmubɔr amu Nzam, anà mbuur awà akwen Taa, mbuur afàpà mɔ̈ɔ̈, nde afàkwen sye mbuur bàbɔ̈r amu Nzam.
3e05020050	Muyöb naa bi ikwen baan a Nzam, bi ikwen Nzam anà isyääl nswɛɛŋ ande.
3e0503004d	Ntɔn mukwen Nzam yà mukwey nswɛɛŋ ande. Nswɛɛŋ ande ayi buur batɛy,
3e0504007b	ntɔn mbuur wanswà bàbör amu Nzam, wà ŋiböŋ u mɛɛn. Anà mbwo muwal iböŋ u mɛɛn yà làkwikilà abi.
3e05050069	Nà awà ŋiböŋ u mɛɛn, isàkɔɔn akal mbuur afàsà làkwikilà naa Yɛsu wà Mwan a Nzam?
3e050600bf	Yɛsu Klistɔ wà mbuur kàyi u mbwo a an'dà anà an'kil, kà nà unsà an'dà mpɛl anki, wɛɛ unsà an'dà anà an'kil, anà Dweelà ataa imbäl, ntɔn Dweelà wàndandaa.
3e05070024	Abun, ba batär bàmutà imbäl,
3e0508003b	dweelà, an'dà anà an'kil, bya byàtär byà mwɛy.
3e0509009a	Isàkal naa bi ban'kyey imbäl a baar, imbäl a Nzam kyà kyàkölàköl, ntɔn kya kyà imbäl a Nzam, nde imbäl aki kàtɛ ntɔn Mwan ande.
3e050a00e9	Mbuur awe anà làkwikilà akà Mwan a Nzam, nde we anà imbäl aki amu nde ŋakwo. Wɛɛ mbuur akɔ̈ɔ̈n làkwikilà, Nzam afun'buul mbuur a loor, ntɔn nde làkwikilà latɛy unsà imbäl kàtɛ Nzam ntɔn Mwan ande.
3e050b0058	Le imbäl ki: Nzam kipɛ mɔ̈ɔ̈ a mbul a in'tye, wɛɛ mɔ̈ɔ̈ wà amu Mwan ande.
3e050c0063	Mbuur awe anà Mwan we anà mɔ̈ɔ̈, mbuur awà akɔ̈ɔ̈n Mwan a Nzam, nde mɔ̈ɔ̈ watɛy.
3e050d00a9	Amàlasöön mɛ indiir abi yà ntɔn naa bɛ làyöb naa bɛ labye anà mɔ̈ɔ̈ a mbul a in'tye, bɛ baar làbye anà làkwikilà kà ikɔb a Mwan a Nzam.
3e050e0081	Apan, làkyän ibà bi alà kusà a nde lalà: isàkal naa bi ban'lɔm undiir asànaa abà ukwen ande, nde akyer afiwem.
3e050f007e	Anà, isàkal naa bi ikyàyöb naa nde akyer afiwem, bi ibye anà làkyän naa bi ban'wal undiir kan'lɔm bi akà nde.
3e05100141	Isàkal naa mbuur an'man un'tɔŋ ande wàmukyer man'be, man'be mpa ifàtwaal ukwà, wɛy nde uyamà, waa Nzam usun'pà mɔ̈ɔ̈, isàkal naa ndandaa man'be kan'kyer nde mun'syen anki kà ukwà. Wɛɛ mye anà man'be màfàsyen mbuur kà ukwà, kà ntɔn man'be a tub amà anki mɛ in'tɛɛnà muyamà.
3e0511004b	Ube banswà bà man'be, wɛɛ man'be manswà ifàsyen anki kà ukwà.
3e051200b1	Bi ikyàyöb naa mbuur wanswà awà bàbɔ̈r amu Nzam ufàfàkyer anki man'be, ntɔn Mwan a Nzam nde ŋakwo akyer afun'tii. Wɛɛ Un'be kun'kyer anki akà undiir mwɛy.
3e0513005c	Bi ikyàyöb naa bi ibà baan a Nzam, wɛɛ mɛɛn manswà mà ungyɛl a imwol a Un'be.
3e051400de	Bi ikyàyöb naa Mwan a Nzam kàkyàyà anà kipɛ un'yɛnà ntɔn muyöb Nzam a ndandaa. Abun, bi ibà uboo a Ndandaa, amu Mwan ande Yɛsu Klistɔ, Nde wà Ndandaa, nde wà Nzam anà mɔ̈ɔ̈ a mbul a in'tye.
3e05150033	Baan amɛ, làkäl bɛ ŋakwo ukwɛl anà itɛk.
3f00000006	2 YWAN
3f010100c7	Mɛ undweer, an'söön Un'kaar kàsɔ̈ɔ̈l Nzam anà baan ande abà in'kwen mɛ u pɛɛlà a ndandaa. Kà ntɔn mɛ mpɛl anki, wɛɛ sye akà baar banswà abye anà ngyööb a ndandaa,
3f0102003e	ntɔn ndandaa ayà uboo a bi, anà isàkal ipepey anà bi.
3f010300b4	Kab a ngway, ngyɛb anà duu amà man'fà akà Taa Nzam, anà akà Yɛsu Klistɔ, Mwan a Taa, màyàkal anà bi ntɔn bi ikäl anà mɔ̈ɔ̈ unsà ndandaa anà ukwen.
3f01040088	Mɛ kàmɛn un'sak mbɔɔn muman baan angye bumwɛy: mɔ̈ɔ̈ aba ban'pà u mbwo a ndandaa, asànaa nswɛɛŋ kàwɛl bi akà Taa.
3f0105009a	Apà, Un'kaar, mɛ amàlɔm apanà, mɛ kà nswɛɛŋ akün kàlasöön anki, wɛɛ ya akwà awà bi ayà fà nsɛmà: wɛy bi ikwen bi a bi.
3f01060097	Ler naa ukwen bà nkye: naa bi ipe mɔ̈ɔ̈ abi u mbwo a nswɛɛŋ ande. Asànaa nswɛɛŋ làwem bɛ fà nsɛmà, ntɔn bɛ làläb mbwo ayin.
3f010700bd	Ntɔn abwiiy mbɔɔn bàkyàpää u mɛɛn: ba làkwikilà bàfàsà anki u ngyeel a Yɛsu Klistɔ unsà imbuur. Yà unsà yayin waa bàyöb un'bwiiy anà un'yiiŋ a Klistɔ.
3f0108007c	Làkäl kà igyɛɛŋ bɛ ŋakwo, ntɔn bweel a isal abi bàkɔ̈ɔ̈n akyà bwà, wɛɛ bɛ làwɛl bweel aŋàkwo.
3f010900bd	Mbuur wanswà mpa awà uboo a an'lɔɔŋ a Klistɔ, wɛɛ akwen ukyà kwɛl, nde un'tüüb watɛy ana Nzam. Mbuur awà uboo a an'lɔɔŋ amà, wàŋàtüüb anà Taa anà Mwan.
3f010a0079	Isàkal naa mbuur an'yà akà bɛ, anà kàlatwääl anki an'lɔɔŋ amà, twon lun'wɛl, twon lun'pɛ mbɔr sye.
3f010b0057	Ntɔn mbuur awun'pà mbɔr, nde an'bulà un'yööb ande unsà isal ande byà ibe.
3f010c00eb	Mɛ in'yàfàkal anà indiir mbɔɔn mukalasöön, wɛɛ mɛ inkwen anki musɔn unsà làkay a un'kaan anà tin. Ntɔn mbalà yumwɛy mɛ in'yà akà bɛ anà mutɛn unsà ndaa a duu, abun un'sak abi asàkal wàŋàkwo.
3f010d0040	Mbɔr yi yan'fà akà baan a mpääŋ angye wàŋàsɔɔl.
4000000006	3 YWAN
4001010051	Mɛ undweer, an'sɔ̈ɔ̈n Gäyus, awà in'kwen mɛ unsà pɛɛlà a ndandaa.
400102007d	Nkwen amɛ, mɛ in'kwen naa ngye aböŋ unsà indiir byanswà, akäl ubwaŋ, anà un'swey a mɔ̈ɔ̈ angye ukyen usà.
4001030092	Abun, mɛ kàsäŋ mbɔɔn, ntɔn atɔŋ bàyi pà bàmutà imbäl a ndandaa ikamɛnà u mɔ̈ɔ̈ angye: ngye, ngye awà uboo a ndandaa.
400104004d	Un'sak amɛ wà mbɔɔn muwem naa mɔ̈ɔ̈ a baan amɛ wà uboo a ndandaa.
400105005f	Un'sam, ngye awà wàlää unsà indiir akyerà ngye ntɔn atɔŋ, itàkal ntɔn angyey.
40010600a3	Ba bàtɛ imbäl a un'kaay angye kusà a Ikööŋ. Ngye asàkyer ubwaŋ mukapà indiir byanswà abà ba abyà mfun ntɔn nkyeen aba, asànaa ukwen Nzam.
4001070075	Yà ntɔn ikɔb a Yɛsu waa ba bàwɛl mbwo mukyà, ukɔɔn akyey akà undiir mwɛy akà baar mpa abà Ayudà.
4001080051	Abun, abà buur abi mukaar baar a tub abà, anà bi mukal abaay ntɔn ndandaa.
4001090077	Mɛ kàsɔ̈ɔ̈n Ikööŋ undiir mwɛy, wɛɛ Dyɔtɛrfɛs awà akwen muyaal indiir byanswà, nde bi ufiwal anki.
40010a013f	Mpal in'yàyà mɛ sye, mɛ in'kyer ayàsà kà imɛɛy nsyääl ande, nde mbuur afàpay làsaŋ a làbe ntɔn bi: kà nà ntɔn abwɛy mpel anki, nde kàkyer atɔn nde ŋakwo muwal atɔŋ abà bàlyaaŋ. Baar abà bàlàwal atɔŋ abà, nde ba kàkyer atsuŋ anà kàkyer aböŋ kà Ikööŋ.
40010b007c	Un'sam amɛ, twon an'lab ube, wɛɛ lab ubwaŋ. Mbuur afàkyer ubwaŋ wà wà Nzam, mbuur afàkyer ube uyöb anki Nzam.
40010c00d3	Wɛɛ, ntɔn Dɛmɛtiris, mbuur wanswà afun'tɛɛl imbäl aŋàbwaŋ. Ndandaa ŋakwo yàmutà imbäl ntɔn nde. Wɛɛ bi sye, bi kun'tɛɛl imbäl, anà ngye akyàyɔ̈b naa imbäl a bi kyà ndandaa.
40010d005e	Mɛ in'yàkal anà indiir mukasöön, wɛɛ mɛ in'kwen anki mukyer anà tin anà inzar.
40010e00c3	Ntɔn, mɛ in'sii mukaman itaan a mbɔɔn tɛy anà bi, bi ikyer asàyäm u ndaa a duu. Wɛy duu làkäl anà ngye. Atɔŋ angye bàmapà mbɔr. Mbɔr akà asam, akà mbuur mbuur ukɔl.
4100000004	YUDE
4101010087	Yude, un'syääl a Yɛsu Klistɔ, anà un'tɔŋ a Zyak. Akà baar kàbel anà kàkwen Taa Nzam, anà bayee ntɔn Yɛsu Klistɔ.
410102003f	Wɛy kab a ngway, duu anà ukwen byàkäl mbɔɔn anà bɛ.
4101030111	Asam amɛ, abun mɛ kàkäl anà ilɛɛm mukàlasöön ntɔn ndaa iler mɔ̈ɔ̈ abi banswà. Kyekà, mɛ an'man naa yà ndöŋ mukàlasöön un'kaan awà ntɔn mukàlapà un'kanà bɛ munwaan ntɔn làkwikilà alà bàsàsye ipepey akà aŋikyɛɛl.
41010400f3	Ntɔn bye anà baar abe bàkyàbilà kunku uboo abɛ. Ba bàkyàkwaar kab a ngway a Nzam abi ntɔn mubuul la ndaa a nswɛn. Abun, ba bàfàtɔn Nkum abi mwɛy mpɛl, Mwol Yɛsu Klistɔ. Ntaaŋàmbar a baar abà, bàsön fà itaan.
41010500b3	Mɛ in'kwen mukàlayɔɔb, itàkal naa bɛ làkyàyöb indiir byanswà, Mwol, ungö mutswà un'sɛŋ ande mɔ̈ɔ̈ u Ngipiti, kàdwä baar bàkäl anà mpem a bwoor.
41010600a8	Akyeey mpa bàkäär ibyääl aba, wɛɛ bàwɛy ndwà aba ŋakwo, nde ba kayee ipepey bàŋàbäm in'siŋ u làpib, ntɔn Ilä a kölàköl kyà nsaŋ.
410107012f	Layɔbà Sɔdɔm anà Gɔmɔr anà an'bul a tsütsü: asànaa akyeey, baar abà bàbilà afwee mukyer ipasàsɛ anà ndaa a ŋingyäy. Ba bàleŋà mutüüb ndür anà akyeey kàtöm Nzam. Ba bàmukuur a ntaaŋàmbar a mbaa a mbul a in'tye, anà ya yà ntɔn muwey baar banswà.
4101080088	Ifà imwɛy sye, baar abanà, unsà ukɔŋ aba, ba bàfàsà làbiin u ndür, bàfàbɛy imwol anà bàfàto aŋàlàkoo.
41010900cb	Kyekà, itàkal Mishɛl, mfum a akyeey, umpal kàsi nde mbaaŋ anà kànüün nde ndür a Mɔsɛ anà ileŋ, nde kun'tö anki in'tswe, wɛɛ nde kàtɛn naa: «Wɛy Mwol kapɛ ntaaŋàmbar!»
41010a00d1	Wɛɛ baar abanà bàfàbɛy indiir byanswà mpa bàyɔ̈b ba, anà indiir byanswà bàyöb ba unsà imbuur asànaa an'kyän a ntsür ikɔ̈ɔ̈n un'yɛnà, u mbwo abyà ba bàfàkyà ukwà.
41010b00a4	Ngyɛb akà ba, ntɔn ba bàläb mbwo a Kayin. Ntɔn ukwen a ngim, ba bàbilà unsà ibii asànaa Balam, ba bàkü ntɔn un'tswe bwoor aba asànaa Kɔrɛ.
41010c0181	Ba bà baar bàfàtay isaa a ibööl abɛ, ntsü bàfàkyɔm ba anà bàfàyööl ba an'bäl ukɔɔn nswɛn. Ba bà asànaa in'böŋ ifiikyà a in'pöb anà mpa myàfàpà mbul. Ba bà ifà imwɛy anà in'te mpa myàfàbɔr akà imbɛŋ mwɛy, itàkal naa u paŋà myàfàfulà in'te. Abun, mya myàŋàkwà mbalà yweel, in'swɛy myàŋàtsuum.
41010d00cd	Ba bà asànaa ibɔ a an'dà byànkyɛl byà ngyäl abyà ifàful nswɛn aba. Ba bà asànaa mbwaar ifiikyà kyà a kyà, anà nde kàkyàlɔn ikal a ipepey uboo a diŋdiŋ a mpib ntɔn ba.
41010e008c	Akà ba sye isàkwo ngɔɔm a Ɛnɔk, mbuur wà nsambwaar fà Adam ayà itɛn naa: «Le, Mwol asàtwaal nsaab anà nsaab akyeey ande,
41010f0120	ntɔn mutsul nsaŋ a baar banswà. Nde asàpà ntaaŋàmbar akà baar a man'be banswà, ntɔn ndaa aba yà ube mubɛy Nzam. Nde asapà ntaaŋàmbar ntɔn isal aba byà ibe byanswà bàkyer ba akà nde ukɔɔn inzaam, anà ntɔn ndaa a bwoor bàtɛn baar a man'be akà nde.
41011000c1	Baar abà bà baar bàkɔ̈ɔ̈n un'sak, isal aba in'tär anà in'tär, ba bàfàlab an'kyän aba mabe. Ba bàfàtɛn ndaa mwɛy yà uyɔl anà bàfàlwab baar ntɔn muwal bweel.
4101110068	Wɛɛ akà bɛ, asam amɛ, làyɔbà ndaa bàlakyään antööm a Mwol abi Yɛsu Klistɔ kusà.
410112008d	Ba bàlakyään naa: «Utaaŋ a ntsüü, bàsàkal anà aŋasɛɛ anà mɔ̈ɔ̈ aba asàkal asànaa abyà ilään a mbe aba.»
410113006b	Bɛ lan'man baar bàfitwääl nkaabà, an'kyän aba mà an'kyän a mɛɛn, Dweelà akà ba watɛy.
4101140087	Wɛɛ bɛ, asam amɛ, làläb mutɔŋ mɔ̈ɔ̈ abɛ udu a làkwikilà abɛ là in'kyɛɛl. Làyamà unsà Dweelà In'kyɛɛl.
410115007d	Làbwaay unsà ukwen a Nzam, làsi làkyän abɛ unsà ubwaŋ a Mwol abi Yɛsu Klistɔ ntɔn mɔ̈ɔ̈ a mbul a in'tye.
410116002a	Baar abà an'kɛr an'kɛr, lawɛm ngyɛb.
41011700aa	Bamwɛy latsü mɔ̈ɔ̈ mukagyɔɔr u mbaa, bumwɛy lawem ngyɛb anà bɔɔmà: twon lan'sin apà ba, itàkal muba ipfɛy aba byàŋàtay a làbiin a ndür aba.
41011800a0	Akà mbuur kan'kwo mukàlatii ntɔn bɛ làkɔ̈ɔ̈n abwà anà nde kàlakäär umbäär kusà a làkoo ande ukɔɔn an'pɛl unsà un'sak mbɔɔn,
41011900d0	akà Nzam mwɛy un'tswää a mɔ̈ɔ̈ abi u mbwo a Mwol abi Yɛsu Klistɔ. Wɛy làkoo, uteer, unkaak a ngwal anà ikɔ̈b byàkäl anà nde, fà itaan, papanà, tii mbul a in'tye! Wöö wöö.
4200000007	IMƐƐY
42010100d6	Un'kaan wà we anà imɛɛy kàwɛl Yɛsu Klistɔ. Nzam kya kun'pɛ ntɔn nde uswɛŋ akà asyääl ande ndaa ayà iyà benàben. Yɛsu ya kàkyään akà un'syääl ande Ywan u mbwo a un'kyeey ande.
420102005c	Ywan wà mbäl a indiir byanswà kàmɛn nde: Ndaa a Nzam anà imbäl a Yɛsu Klistɔ.
4201030095	Un'sak akà mbuur akataŋà anà akà baar bàweemà ndaa a ngɔɔm ban'sɔn uboo kwo anà bàfàkaar ya. Ntɔn taaŋ là tsütsü mukwo.
42010400d3	Ywan akà Ikööŋ nsambwaar abyà kà Azi: Kab a ngway anà duu màkäl anà bɛ. Ma man'fà akà mbuur kàkäl, awà paa anà uyà, anà akà an'dweelà nsambwaar amà kusà a kir a imwol,
42010500b2	anà akà Yɛsu Klistɔ, mbäl afàkölà ndaa yanswà, nswɛm uboo a akü, mwol a amfum a mɛɛn. Akà mbuur afikwen, nde kitwey uboo a man'be abi u mbwo a an'kil ande,
4201060085	nde kibuul itsuŋ a angaŋ ntɔn musyääl Taarànde Nzam. Wɛy làkoo anà ngwal ikäl anà nde u mbul a in'tye! Yà abwɛy.
42010700b8	Le, nde wàmuyà uboo a un'böŋ. Baar banswà bàkyer asun'man, itàkal baar akwà bun'pfuul: in'sɛŋ myanswà myà mɛɛn isàsà un'saabà ntɔn nde. Inye, yà abwɛy.
4201080084	Mwol, Nzam Aŋangwal, kan'tɛn naa: «Mɛ in'wà wàtàtwɛb anà wàntsüü, mbuur awà paa, awà kàkäl anà uyà.»
42010900c0	Mɛ un'tɔŋ abɛ Ywan, mbuur kàtüüb mbwo anà bɛ unsà ngyɛb, unsà imfum anà muküünà amu Yɛsu. Mɛ kàkäl kà isaŋ a Patmɔs ntɔn Ndaa a Nzam anà imbäl a Yɛsu.
42010a005d	Ilä a Mwol, Dweelà làkyer an'wal, mɛ kàwem ndaa a ngwal ungö a mɛ asànaa mfuŋ,
42010b00e5	yàmutɛn naa: «Undiir wanswà amanà ngye, sɔn wa uboo a un'kaan anà tɔm wa akà Ikööŋ nsambwaar: akà Ɛfɛsɔ, akà Smirne, akà Pɛrgam, akà Tyatir, akà Sardɛs, akà Filadɛlfi anà akà Lawɔdisɛ.»
42010c0080	Mɛ kàkyer abulà ntɔn muyöb mbuur awà kàyäämà anà mɛ. Apan mɛ kàmɛn in'te a minà nsambwaar myà wɔl.
42010d007e	Uboboo a mya kàkäl anà mbuur mwɛy asànaa mwan a mbuur, akyàbwaar mvwɛl anà un'kab a wɔl aŋàbäm kà itɔl.
42010e008d	Un'tswe anà ntswe ande yàkäl yà pɛɛl asànaa ipfɛy a pɛɛl, asànaa mbul a pɛɛl. Mii ande myàkäl asànaa làlem a mbaa,
42010f006d	in'kɔl ande asànaa ishabà bàfàbel naa brɔnze aŋàyir a mbaa, ndaa ande asànaa làso a iwɔɔl.
42011000bb	U kɔɔ ande là ibaal, nde kàkäl anà mbwaar, mbwaar nsambwaar. Kɔm àŋàsye làyatoo u mun ande. Mun ande kàkäl asànaa taaŋ là paa in'ŋyäŋ u ngwal ande yanswà.
42011100d6	Mpal kun'mɛn mɛ, mɛ kàbü kà in'kɔl ande asànaa mbuur aŋàkwà. Nde kàsi kɔɔ ande là ibaal udu a mɛ, anà mutɛn naa: «Twon an'man bɔɔmà! Mɛ in'wà mbuur atàtwɛb anà wàntsüü,
420112008f	anà wà Mɔ̈ɔ̈. Mɛ kàkyer akwà, wɛɛ le, mɛ in'we anà mɔ̈ɔ̈ a mbul a in'tye. Nsab a ukwà anà an'lɔŋ yà u kɔɔ amɛ.
420113004c	Abun, sɔn indiir byanswà an'man ngye anà indiir isàyà ungö a bya.
42011400d6	Ngyee a mbwaar nsambwaar amɛn ngye u kɔɔ amɛ là ibaal anà in'te a minà nsambwaar myà wɔl ayi: mbwaar nsambwaar yà akyeey a Ikööŋ nsambwaar, in'te a minà nsambwaar myà Ikööŋ nsambwaar.»
42020100c3	«Sɔn akà un'kyeey a Ikööŋ akyà u Ɛfɛsɔ abà: "Le ndaa ukatɛɛnà mbuur kan'kaar mbwaar nsambwaar u kɔɔ ande là ibaal, awà afàkyà uboo a ndem a mbaa nsambwaar yà wɔl:
4202020111	Mɛ in'kyàyöb nsyääl angye, isal angye anà muküünà angye. Mɛ in'kyàyöb sye naa ngye afàkyey anki baar a nkyɛl, naa ngye kàsii baar abà bàfàkyey uyɔl naa ba bà antööm, wɛɛ ba kà bà antööm anki, anà ngye kàmɛɛy loor aba.
420203005d	Ngye awe anà muküünà, ngye kàmɛn mpay ntɔn ikɔb amɛ anà ngye kàyɔ̈n anki.
4202040061	Wɛɛ undiir mpa in'wà mɛ un'sak anà ngye awà: ngye kàkyàpiy ukwen angye bànsɛmà.
42020500a5	Yɔbà naa ngye kàfü ken muyàbwà abà. Tà an'kyän anà fuur nsyääl angye yà itaan. Naa tɛy, mɛ in'yàlwom làlem a mbaa angye kà ikal ala.
4202060060	Wɛɛ undiir aŋàbwaŋ ntɔn ngye awà: ngye afàtɔn nsyääl a Anikɔlayit asànaa mɛ.
42020700cf	Wɛy mbuur awe anà an'tsü uwem ndaa ukatɛɛnà Dweelà akà Ikööŋ! «Akà mbuur awà asàwal iböŋ, mɛ in'sun'pà mbwo mudyà mbɛŋ a un'te a mɔ̈ɔ̈ awà uboo a paladisɔ a Nzam."»
42020800a0	«Sɔn akà un'kyeey a Ikööŋ akyà u Smirne naa: "Le ndaa kan'tɛn mbuur wà Tàtwɛb anà wà Ngöngö, mbuur awà kàkü anà kàfàwiyà:
42020900e7	Mɛ in'kyàyöb ngyɛb aŋàdiir angye anà làmbwà angye - itàkal naa ngye awà ŋun'naaŋ, anà un'siinà a baar bàfàkyey uyɔl naa ba bà Ayudà, mpa bàtàkal ba Ayudà: Ba bà ndwà a nköŋ a Satanà!
42020a00e7	Twon an'man bɔɔmà ntɔn mpay asàman ngye. Le, ileŋ asàtɔɔm amwɛy uboo a bɛ u bɔlokà ntɔn musi bɛ, ba bàsàlamɛɛy nkwaaŋ ilä kwem. Kal wà swalaa tii kà ukwà, waa mɛ in'sabwää mpà a mɔ̈ɔ̈.»
42020b0096	«Wɛy mbuur awe anà an'tsü, uwem ndaa ukatɛɛnà Dweelà akà Ikööŋ!» «Mbuur asàwal iböŋ usàman anki mpay a nkweel yàyweel.»
42020c0076	«Sɔn akà un'kyeey awà kà Ikööŋ akyà u Pɛrgam naa: Le ndaa ukatɛɛnà mbuur awe anà kɔm aŋàsye:
42020d010d	Mɛ in'kyàyöb naa ngye afàkal ken: kà ikal alà Kir a imwol a Satanà. Wɛɛ ngye akyàndäär anà ikɔb amɛ, ngye kàtön anki làkwikilà amɛ, itàkal mpal bàdwä ba Antipas, mbäl amɛ wà swalaa, u bul abɛ, kà ikal ufàbwaay Satanà.
42020e0108	Wɛɛ mɛ, mɛ in'we anà pɛl làmwɛy ntɔn ngye: akà ngye bye anà baar bàkyànääm a an'lɔɔŋ a Balam awà kàlwɛŋà Balak naa nde baan a Isàlɛl kabwiy aben: nde kasiinà ba mudyà in'twaŋ bàfàlääm akɔl anà mukyer ipasàsɛ.
42020f004e	Akà ngye sye bye anà bumwɛy bàkyàbääb a an'lɔɔŋ a Anikɔlayit.
4202100082	Abun, buul mpem angye, naa tɛy, mɛ in'yà akà ngye benàben alà ntɔn munwan anà ba anà kɔm làfàtoo u mun amɛ.»
