2800000007	Mataayi
2f0c15011e	kange nikwoghopa kuuti niliiva nikwiisa kulyumue, uNguluve ghwango ilikumbiika nivone soni pa maaso ghiin. nilisukunala kuvona avaanhu vinga mulyumue vano vakavombile inyivi ulutasi, navalatile. vajighe na maghendele agha vuvwafu, uvughendamwalu nu vunoghelua uvunge vuno vakaale navwo.
2f0d01007c	ulu luuva lwa vutatu une kukwisa kulyumue “lunoghiile un'kole uvwolesi vwake vukagulikaghe na vooleso vavili nambe vatatu.
2f0d02006b	ye nisile ukuo ulwa vuvili, nikavavulile kuuti, niliivi nikwisa naniliiva ni kisa kuveene na kuvange vooni.
2f0d0300c6	ulu, nikuvavuula umue ulwakuva mulonda ikivalilo ikya kukagula nave uKilisite ijova kukilila une. ulwene nam'botevote kulyumue, looli umwene ghwe nya ngufu. ghwe juno ivomba imbombo n'kate mulyumue.
2f0d0400e1	poope, nambe alyale n'sila ngufu ye ikomelua pa kikovekano, lino mwumi mu ngufu sa Nguluve. fye enendiki najusue tuli vasila ngufu mwa Kilisite, neke pano tukuvavombela umue, tuuva vwumi palikimo nu mwene mu ngufu sa Nguluve.
2f0d0500b5	lilo, mughelaghe jumue neke mukagule nave muli nu lwitiko. asi, namukulutang'hania kuuti, uYeesu Kilisite ali n'kate mulyumue? umwene mwale, looli nave namukulutang'hania mukunilue.
2f0d060047	neke nihuviila kuuti, umue kya mukulutang'hania kuuti usue natukanilue.
2f0d0700ba	lino tukuns'uuma uNguluve kuuti namungavombaghe inyifi. nanisuuma kuuti usue tuhwene tusilolile ingelo, ulwene tusuuma kuuti muvombaghe inofu, nambe usue tuvoneka hwene tukunilue ingelo.
2f0d08005d	ulwakuva natuliningufu isa kusigha uvwa kyang'haani, looli kughina kupulisia uvwakyang'haani.
2f0d090074	ulwakuva tuhovoka pano usue tulivavote vote, neke umue muli ni ngufu. tukun'suuma uNguluve avatange muuve vagholofu.
2f0d0a0109	nikuvalembela amasio agha pano nikyale kukwisa, kuuti niiva nikwisa kulyumue, naningasivonaghe sino ndepoonu sikumheela niive n'kali vwimila uvutavulua vuno amheliile uMutwa. ulwakuva uMutwa naamheliile uvutavulua uvwa kuvanangania, looli uvwa kuvatanga mu lwitiko.
2f0d0b00ad	lino vanyalukolo vango, muhovokaghe muvisaghe vagholofu, munyamasaniaghe, muvisaghe vumo, muvisaghe nu lutengano. naju Nguluve unya lughano nu lutengano iiva palikimo numue.
2f0d0c0028	mu hungilanaghe mu lughano lwa Kilisite.
2f0d0d001c	avitiki vooni vikuvahungila.
2f0d0e007f	ulusungu lwa Mutwa Yeesu Kilisite, nu lughano lwa Nguluve, nu vuhangilanisi vwa Mhepo uMwimike, fivisaghe palikimo numue mweni.
3000000009	Vagalatia
30010100a7	une ne nsung'ua Paulo. une nanilinsung'ua kuhuma kuvaanhu nambe kukilila kuvaanhu, neke kukilila kwa Yesu kilisite nu Nguluve Nhaata juno alyansyuluile kuhuma kuvafue.
3001020046	une palikimo na vanyalukolo tukusilembela itembile sooni sa Vagalatia.
300103005d	uvumosi nu lutengano kuhuma kwa Nguluve Nhaata ghwitu nu Mutwa Yesu Kilisite fivisaghe numue.
3001040087	jino akihumisie vwimila isambi situ neke kuuti atupoke mu fighono ifi fya vuhosi, kuhumilanila nu lughano lwa Nguluve ghwitu nu Nhaata.
3001050033	kwa mwene vuve vwimike vuno navuli kusila na kusila
3001060094	nidegha kuuti musyetukila ng'aning'ani mu livangili ilingi, nidegha kuuti musyetukile kutali kuhuma kwa juno alyavakemhelile ku vumosi vwa Kilisite.
3001070088	kusila livangili ilingi, neke kwevale avaanhu vamonga vano vikuvasababikisia imhumhuko na kunoghua kusyetulania ilivangili lwa Kilisite.
300108007e	neke nambe ndeve twesue au uMhola kuhuma kukyanya apulisia kulyumue ilivangili ilingi lino tukapulisie kulyumue na aghunuaghe.
3001090093	ndavule ino tukajovile muvutengulilo, lino nijova kange, “ndeve kuli nu muunhu ilikuvapulisia ilivangili ilingi lino namukupile na aghunuaghe,”
30010a00a9	pe lino nilonda kuhakikisia ku vaanhu au uNguluve. nilonda kukuvahovosia avaanhu? ndeve nighendelela kughelasia kukuvahovosia avaanhu, une nanili nsung'ua ghwa Kilisite.
30010b0059	vanyalukolo ninoghua umue mukagule kuuti ilivangili lini nikapulisie nalihumila kuvaanhu.
30010c0065	nanikwupile kuhuma kwa muunhu, nambe nanikavulanisifue, looli lulyale lwe, vwa Yesu Kilisite kulyune.
30010d008a	mukapulike uvwumi vango uvwa kunsana ku nyifunyo isa kiYahudi, silyale sikumhumhusia ku vukali mu tembile ja Nguluve kukila na kukum'buda.
30010e008a	nilyaghendelile mu tembile ja kiYahudi kukila avanyalukolo vango vinga avaYahudi. nilyalye nu lughimbo kyongo mu vutavike la vababa vango.
30010f0075	neke uNguluve lukamunoghile kukunavua une kuhuma mulileme lwa mama ghwango. akang'emelile une kukilila uvumosi vwake.
3001100072	kukum'bonesia unswambe n'kate n'jango, neke kuuti nimpulisie u mwene ku vapanji. nanikalondile kuvungua na vaanhu.
300111008f	kange nanikatoghile ku Yelusalemu ku vala vano valyale vasung'ua ye nikyale une. pe pano nikaluta ku vualabuni na pambele kugomoka ku Damesiki.
3001120075	amaka ghatatu pambele nikatogha kuluta kuYelusalemu kukumughendela uKefa, nikikalile nagho iighono kijigho ni fihano.
300113004a	neke nanikamwaghile unsung'ua ujunge neke ju Yakobo unyalukolo ghwa Mutwa.
3001140048	loola! pavulongolo pa Ngulluve nanisyanga ku kila kino nilemba kulyumue.
3001150031	pe pano nikaluta ku fighavo fya Shamu na Kulikia.
300116004b	nanika kagulike ku maaso gha tembile ja vaYahudi vano valyale mwa Kilisite,
3001170072	neke vakale vipulika lwene,” umwene juno akale ikutupumhusia lino ipulisia ulwitiko luno akale ikulunangania.”
300118002c	valyale vikumughinia uNguluve vwimila jango.
300201005c	kukila amaka kijigho na ghane une, uBalinaba palikimo nu Tiito tukaluta kange ku Yelusalemu.
3002020113	nikalutile ulwakuva uNguluve akivonisie kulyune kuuti nikanoghile kuluta. nikavikile pa maaso ghave ilivangili lino nikapulisie ku vapanji. [neke nikajovile kuluiso ku vano vakajovilue kuuva vimilisi]. nikavombile ndiki neke kuuti nanikale nikimbila nambe nikakimbile vuvule.
300203005a	neke nambe uTiito juno alyale palikimo nune, juno alyale muYunani vakamulasimisie kukekua.
30020400ae	ili likahumile ulwakuva avanyalukolo vavudesi vakisile kuluiso kuposelesia uvuhulu vuno tulinavwo mwa Kilisite Yesu. vakanoghilue kukutuvomba usue tuve vasung'ua va ndaghilo.
300205007d	natukajihumisie kukuvitika nambe ilisala limo neke kuuti ilivangili lya kyang'haani lisighale kisila ndavule lilivuo ulyumue.
30020600bf	neke vala vano vajovilue kuva valyale vimilisi navakahangile kimonga kulyune kino vakale vikukivomba nakikale nu luuvumbulilo kulyune. unguluve naikwitika ulughano luno lukililile lwa vaanhu.
3002070093	pe pano vakanyaghile kuuti nitikilue kupulisia ilivangili ku vala vano navakekilue. lu lyale ndavule uPeteli apulisie ilivangili ku vano vakekilue.
3002080095	ulwakuva uNguluve akavombile imbombo n'kate ja Peteli vwimila uvusung'ue ku vala vano vakekilue, kange akalyavombile imbombo n'kate jango ku vapanji.
3002090102	unsiki ghuno uYakobo, uKefa nu Yohani, valyakagulike kuva valyajengile itembile, vakavumanyile uvumosi vuno nikapelilue, vakatwupile mulukong'ano une nu Barnaba. vakavombile ndiki neke kuuti, tulute kuvapanji, kange neke tuwesie kuluta kuvala vano vakekilue.
30020a0058	kange vakatulondile usue kukuvakumbua avakotofu. nune kange nikanoghilue kuvomba ndikio.
30020b004e	unsiki ghuno uKefa akisile ku Antikia, nikankanile pavwelu ulwakuva akahokile.
30020c00ca	ye vakyale kukwisa avaanhu vamonga kuhuma kwa Yakobo, uKefa akale ilia palikimo navapanji. nekea avaanhu ava ye vikwisa akabuhila na kuvuka kuhuma ku vapanji akale ikwoghopa avaanhu vanovilonda kukekua.
30020d0099	vule vule navaYahudi vamonga vakalungine nu kefa mu vuhomeleng'ani uvu. amahumile ghake ghakale kuuti nambe uBarnaba akatolilue nu vuhomeleng'ani vwaave.
30020e010b	neke ye nilolile kuuti navakale vikulilutila ilivangili ilya kyang'haani, nikam'bula uKefa pa maaso ghave vooni,” ndeve umue mulivaYahudi neke mukukala mu vutavike uvwa vapanji nakukuvuleka uvwa vayahudi, kiki mukuvalasimisia avapanji kukukala ndavule avaYahudi?”
30020f0043	usue twevano tulivayahudi vakuholua, natulivapanji avanya sambi.”
3002100139	kagula kuuti nakwale juno ivalilua ikyang'haani mu maghendele gha ndaghilo. looli vivalilua ikyang'haani ku lwitiko nkate ja Kilisite Yesu neke kuuti tuvalilua ikyang'haani ku lwitiko n'kate ja Kilisite sio kuuti kumaghendele gha ndaghilo. mu maghendele gha ndaghilo kusila m'bili ghuno ghulivalilua ikyang'haani.
30021100a3	neke pano tukumulonda uNguluve kwa kutuvalila ikyang'haani n'kate ja Kilisite, tukujagha najusue tuli ni sambi, pe uKilisite akavombilue kuuva nyasambi? na ndikio!
3002120082	ulwakuva ndeve nivika uluhuvilo lwango kuvika indaghilo, uluhuvilo luno nikavusisie, nikujivonesia june kuva nilin'denya ndaghilo.
3002130052	kukilila indaghilo nikawile mu ndaghilo, lino ninoghile kukukala vwimila uNguluve.
30021400dc	nipumwike palikimo nu Kilisite na nene kange nejuno nikukala, looli uKilisite ikukala n'kate jango. uvwumi vuno nikukala mu m'bili nikukala ku lwitiko n'kate ja mwa Nguluve juno akanighanile na kukujihumia vwimila jango.
300215007a	nanikuvukana uvumosi vwa Nguluve ulwakuva ndeve ikyang'haani pwejikale kukilila indaghilo, pe uKilisite nde akaile vuvule.
3003010071	vagalatia vajaasu, lwe liso liki ilihosi lino livananginie? pe uKilisite nakavonike hwene mpumuke pa maaso ghinu?
300302007f	une ninoghua kukagula ili kuhuma ku lyumue. pe mukamwupile uMhepo kumaghendele gha ndaghilo au kwa kwitikila sila sinomukupile?
300303004d	pe umue mulivajaasu ene ndiki? pe mukatengile nu Mhepo neka mumale nu m'bili?
300304003e	pe mukapumwike mu nyinga vuvule, ndeve lweli sikale sa vuvule?
300305007f	pe umwene juno amwumusie uMhepo kulyumue nakuvomba isinya ngufu kulyumue ivomba ku sa ndaghilo au kupulika palikimo nu lwitiko?
300306004b	UAbulahamu “alyale mwitiki kwa Nguluve akavalilue kuuva nyakyang'haani”
3003070048	mu lula lula mukagule kuuti, vala vano vikwitika ve vaanha va Abulahamu.
30030800b5	ililembe likavonwile kuuti uNguluve ale ikuvavalila ikyang'haani avapanji kusila ja lwitiko. ilivangili likadalikilue kwa Abulahamu taasi: “kukilila uve iisi sooni sikaunyilue”.
300309005d	neka pambele vala avanya lwitiko viise vafunyue palikimo nu Abulahamu, juno akale nu lwitiko.
30030a00be	vala vano vihuvila amaghendele gha ndaghilo vali mu lughuno. ulwakuva jilembilue, aghunilue umuunhu ghweni juno naikolana ni sooni sino silembilue mu kilembe kya ndaghilo, kukusivomba sooni.
30030b007b	lino vwelu kuuti uNguluve naikum'balila ikyang'haani nambe jumo mu ndaghilo kwa kuva unya kyang'haani ikukala ku lwitiko”
30030c0065	indaghilo najihumilanila nu lwitiko, neke pe pano “juno ivomba isi mu ndaghilo ikukala mu ndaghilo.
30030d00c5	uKilisite alyatupokile usue kuhuma ku lughuno lwa ndaghilo un'siki ghuno akavombikue kuuva lughuno vwimila jitu, ulwakuva jilembilue,” aghunilue umuunhu ghweni juno akovikue kukyanya ja mpiki.”
30030e00a1	uvufumbue vulyale kuuti, ulufunyo luno lulyale kwa Abulahamu lwale lukwisa kuvapanji mwa Kilisite yeesu, neke kuuti twupile uluingo lwa Mhepo kukilila u lwitiko.
30030f008f	vanyalukolo nijova mu lwa m'bili nambe pano ulwiting'ano lwa ki muunhu luvikilue kikangafu, nakwale juno iwesia kubenapula nambe kukwongelesia.
30031000a2	lino ulufingo lukajovilue kwa Abulahamu na kukisina kyake. najijova kuuti, “kufisina” kusona vinga looli jumo mwene, “ku kisina kyako” juno ghwe Kilisite.
300311007d	lino niti ndiki, indaghilo jino jikisie amaka 430 pambele, najivusia ulupuling'ahano lwa kunsana luno lukavikilue nu Nguluve.
30031200a4	kwa kuva uvwimilisi vwale vukwisa ku sila ja ndaghilo, navwale vukwisa kange ku sila ja lufingo. neke uNguluve akavuhumisie vuvule kwa Abulahamu ku sila ja lufingo.
30031300cc	kiki lino indaghilo jikahumisivue? jikongelesivue kuhumila mu vuhosi, kuhanga umuholua ghwa Abulahamu ise ku vala vano akafingilue, indaghilo jikavikilue ku kulila avanyMhola ku luvoko lwa juno isambania.
3003140050	lino juno isambania ifumbua kukila umuunhu jumo, looli uNguluve ghwe jumo mwene.
30031500ba	pe lino indaghilo najijova isa mu lufingo lwa Nguluve? na kwekuuti! ulwakuva nave indaghilo jino jikamumisivue jilyale ni ngufu isa kuleta uvwumi, ikyang'ani jale jipatikana ku ndaghilo.
30031600c5	neke peepano ililembe lidindiile sooni mu muvuhosi. uNguluve alyavombile ndiki neke kuuti ulufungo lwake ulwa kutupoka usue ku lwitiko mwa Kilisite Yesu luwesie kupatikana ku vala vano vikumwitika.
300317007c	neke ye lukyale kumema ulwitiko lwa Kilisite, tulyadindilue na kuva pasi pa ndaghilo kuhanga lwise ulusyetulilo lwa lwitiko.
300318007d	pe lino indaghilo jilyale ghwe mulongosi ghwitu kuhanga uKilisite pano akisilse, neke kuuti, tuvalilue ikyang'ani ku lwitiko.
300319003b	lino ulwakuva ulwitiko lwisile natuli mwa mulolelesi kange.
30031a004f	ulwakuva umue mweni muli vaanha va Nguluve kukilila ulwitiko mwa Kilisite Yesu.
30031b003e	mwevoni mwevano mukofughue mwa Kilisite munfwalile u Kilisite,
30031c0085	namkwale umuYahudi nambe umuYunani, umbombi nambe juno na m'bombi, umughosi nambe un'dala, ulwakuva mweni mulivamo mwa Kilisite Yesu.
30031d0051	nave muli va Kilisite pe nuvuholuo lwa Abulamamu, vapelua kuvutavike vwa lufingo.
3004010066	nijova kuuti ulwakuva umwimilisi ghwe mwana, aling'ine nu m'bombi, nambe ulwakuva ghwe nyakyuma kyoni.
300402004e	pe lino alipasi pavalolelesi kuhanga unsiki ghuno ghuvikilule nu viise ghwake.
300403005f	pe pano najusue pano tulyale vaanha, tukakolelivue mu vuvombi vwa vutavike vwa kwanda vwa iisi.
3004040074	neke unsiki ghuno ghunoghile yeghufikile, uNguluve akansung'ha unswambe, umuholua ghwa n'dala, umuholua mu ndaghilo.
3004050066	akavombile ndikio neke kukuvapoka vano valyale mundaghilo, neke kuti twupile mu sa kuuva hwene vaanha.
3004060088	ulwakuva umue muli vaanha, uNguluve akan'sung'ile uMhepo ghwa nswambe n'kate ja numbula siitu, uMhepo juno ikemhelua “Abba, Nhaata”.
3004070060	mu ulu usue natulivavombi kange looli vaanha. ndeve ve vaanha pe tulivimilisi kukilila uNguluve.
300408006b	nambe unsiki ghuno namukan'kagwile uNguluve, mulywale vavombi ku vala vano muvwandilo naihwani fya Nguluve.
30040900bc	neke lino ulwakuva mukun'kagula uNguluve, nambe kuuti mukagulika kwa Nguluve kiki mugomoka kange muvutavike uvuvotevote uvwa kwanda kange vusila lutalama? pe munoghelua kuva vavombi kanhe?
30040a0061	mukukikola ku vulolesi ikoghono ikitavike kukong'ana kwa mwesi, na maka. nikwoghopa vwimila jinu.
30040b0030	nikwoghopa kuuti mu lumonga mukipumwisie vuvule.
30040c0032	nikuvasuuma vanyalukolo muvisaghe ndavule nilivuo,
30040d009b	ulwakuva kange nili ndavule nilivuo. namukanihokie. pe mukagula kuuti, looli vulyale vutamy vwa m'bili kuuti nulyadalikile ilivangili kulyumue ulwa kwanda.
30040e00a4	nambe uvwumi vwango vwa m'bili vulyale mu g'helo, namukanibenapwile nambe kukunikana. pepano mukanyipile hwene Mhepo ghwa Nguluve, ilyale hwene ghwe Kilisite jujuo.
30040f0071	pe lino, muhovokela kiki? ulwakuva nikusagha kulyumue kuuti, ndejiwesekana muvusie amaaso ghinu na kukumhela une.
300410003d	neke lino pe nili mulugu ghwinu ulwakuva nikuvavula uvulweli?
300411005c	vikuvalonda kwa kunoghua, kange navagholou. vilonda kukuvavika lubale nune, neke muvalutile.
3004120079	ke kanono jaatu kuva nu lunoghelua ku vufumbue vuno vunono, nakwekuuti lwene pano milipalikimo nune looli ifighono fyoni.
300413005c	vanango vadebe nivavua uvutungu vwimila jiinu kange kuhanga uKilisite avumbike n'kate jiinu.
300414006b	lino nale ninoghelua kuva palikimo numue na kusyetulania isavuti jango, ulwakuva nanili nu lutengano numue.
300415005a	mumbule umue mwevano munoghua kuva pasi pa ndaghilo, namupulika kange indaghilo pano jiti?
3004160077	ulwakuva jilembilue kuuti uAbulahamu alyale na vaanha vaviliavadimi, jumo kwa n'dala um'bombi nu junge kwa n'dala huru,
3004170079	nambe nahele, ughwa akaholilue m'bombi akaholilue mu lwa m'bili lwene. loli jula ughwa n'dala huru akaholilue ku lufingo.
30041800ac	isi ndeponu sijovua kwakutulila ikuhwani, ulwakuva avadla ava vilingana na mapuling'ano ghavili. ghamo kuhula ku kidunda Sinai. kihola avaanha vano avombi. uju ghwe Hajili.
300419008a	lino uHajili kwe kidunda Sinai kino kili ku Arabuni. kiling'anisivua ni Yelusalemu ija lino, ulwakuva ve vavombi palikimo na vaanha vaake.
30041a003d	pe iYelusalemu jino jili nkyanya jili huru, iji je mama jitu.
30041b00d4	ulwakuva jilembilue, “hovoka, uve ghwe n'dala juno naghuhola. tosia isavuti kukyanya na kuhovoka, uve ghwe juno numanyile kuhola. ulwakuva vinga ve vaanha va juno naihola, kukila vala vala vajuno ali numughosi.
30041c003d	lino vanyalukolo ndavule u Isaka, umue mulivaanha va lufingo,
30041d009a	mu n'siki ghula ghuno umuunhu ghweni juno akaholilue ku vutavike vwa m'bili akampumwisie jula juno akaholilue ku vutavike vwa Mhepo. na lino vwe vulevule.
30041e00a0	amalembe ghiti ndani? m'busie un'dala um'bombi palikimo nu n'swambe. ulwakuva un'swambe ghwa n'dala um'bombi naililololela palikimo nu mwanha ghwa n'dala huru.'
30041f0050	pe lino vanyalukolo usue natuli vaanha va n'dala um'bombi, looli va n'dala huru.
3005010077	ulwakuva uKilisite alyatupelile uvwelu neke tuuve nu vwelu. lini mwime mu lukangafu kange namungakolwaghe kuva vavombi.
3005020066	lola une ne Paulo, nikuvavula kuuti ndeve mulikekua, uKilisite nailikuvwagha uvufumbue ku sila jojoni.
3005030059	kange, nikumwagha umughosi ghweni juno akekilue kuuti anoghiile kuvomba ku ndaghilo joni.
300504006c	vala vooni vano vivalilua ikyang'haani mu ndaghilo, muvikilue kutali nu Kilisite, mughwile kutali nu vumosi.
3005050048	lwakuva ku sila ja Mhepo ku lwitiko tughula ulukangasio lwa kyang'haani.
300506009d	kwa Kilisite Yesu kukekua nambe kisila kukekua kusila luvumbulilo lwolwoni lwe lwitiko lwene luno luvomba imbombo kukilila ulughano luno luleta uluvumbulilo.
300507004c	mukale mukimbila vunono, veeni juno akavasighile kuleka kukujitikila ilweli?
300508004a	uvusyangi vya kuvomba ndikio navuhuma kwa mwene juno alyavakemhelile umue.
3005090028	ikilule kidebe kinangania i nonge jooni.
30050a0072	nili nu luhuvilo numue mwa Mutwa kuuti namusagha ku sila ijinge jojoni, nu mwene juno ikuvasyanga ilihighua mwene.
30050b007f	vanyalukolo ndeve nighendelea kupulisia itohala, kiki nifipumhuka? mu ulio kila kino kye kisighi kya kikovekano kilinangisivua.
30050c004d	lwe lunoghelua lwango kuuva vala vano vikuvalongosia fivi fikujisyanga vavuo.
30050d009c	uNguluve avakemhelile umue vanyalukolo ku vwelu. neke namungatumilaghe uvweru vwinu hwene kyuma kya m'bili. pe pano ku lughano mutanganaghe jumue kwa jumue.
30050e0076	ulwakuva indaghilo joni jikamilike ku ndaghilo jimo; jope je “unoghile kukumughana juno ulipipi naghwo ndavule juve.
30050f005c	neke ndeve mubudala na kulisana, mujilolelelaghe kuuti namungajinanganiaghe jumue kwa jumue.
3005100034	niti, mughendaghe mwa Mhepo, namulivomba isa mubili.
30051100c7	ulwakuva um'bili ghuli ni noghelua ing'ome kukila inumbula, ni numbula jili ni noghelua in'gome kukila um'bili. isi ssoni sipingana, amahumile ghake kwe kuuti namuvomba ifinu fino munoghelua kuvomba.
3005120038	neke ndeve uMhepo ikuvalongosia umue, namuli mundaghilo.
300513003f	lino amaghendee gha mbili ghivoneka. ghope uvuvwafu, uvulamafu,
3005140069	ulufunyo lwa kihwanikisio, uvuhavi, uvulugu, ilibaatu, ni mbedo, kuva ni lyojo, kusindana, ing'aning'ano,
30051500b4	kiltule, vuhasi, vulia kyongo, ni singi sino sihwanine nisio. nikuvavunga umue ndavele nilyavavungule mu vutengulilo, kuuti voni vanovivomba isio navilikuvwagha uvutwa vwa Nguluve.
3005160042	neke ulughano lwa Mhepo lwe lughano. kuhovoka, ulutengano ulugudo,
300517005a	uvukoola uvumuunu uvunofu, ulwitiko, uvukoola, nu vudebe, kusila ndaghilo mu ndavule isio.
3005180052	vala vano va Kilisite Yesu vaghupumwisie um'bili palikimo ni noghelua saae imbivi.
3005190036	ndeve tukukala kwa Mhepo, kange tughendaghe kwa Mhepo.
30051a004b	natungavisaghe na kukughinia, natungahovesanaghe nambe kuvonelanila kitule.
30060100b8	nyalukolo ndeve umuunhu ghweni akolilue mu vuhosi, umue mwe va Mhepo, lunoghile kukun'gomosia unyalukolo ujuo ku numbula ija vukola. kuno mukujilololela jumue kuuti namungaghesivuaghe.
300602004a	mutolelanilanaghe amasigho, mu uluo mukujikamilisia indaghilo ja Kilisite.
300603005e	ndeve umuunhu ghweni ukughinia kuuti umwene ghw nono kukila himbe na kiinu, ikujisyanga jujuo.
300604007f	amuunhu ghweni na akagule imbombo jake, pepano iva ni kiinu kyake mwene ikya kukughinia, kisila kukulinganisia umwene nu junge.
3006050035	ulwakuva umuunhu ghweni litola un'sigho ghwake jujuo.
3006060055	umuunhu juno avulanisivue ilisio lunoghile kuhanga amanono ghoni nu m'bulanisi ghake.
300607004b	namungasyanguaghe. uNguluve naihighua, kino avyalile jumonga kye ilitavula.
3006080091	juno ivyala imbeju jake mu sambi ilitavula uvunangifu, looli juno ivyala imbeju mwa Mhepo ilitavula uvwumi vwa kusila na kusila kuhuma kwa Mhepo.
3006090068	natungakatalaghe kuvomba sino sinoghiile ulwakuva mu nsiki ghwake tulipeta ndeve natilidenyeka inumbula.
30060a0073	pe lino unsiki ghuno tuuva ni nafasi umuunhu ghweni atendaghe sino sinoghile. looli vano vali mu n'kate ja lwitiko.
30060b0041	lola uvukome vwa kalata sino nikavalembile ku luvoko lwango june.
30060c0098	vala vano vinoghua kuvomba inono isa m'bili vevene vikuvalasimisia kukekua. vivomba ndikio kuuti navangingilaghe mu mhumhuko sa kikovekano kya Kilisite.
30060d007d	ulwakuva vope avuo vano vakekilue avene navivomba inaghilo. pe pano vilonda umue mukekue neke viise kukughinia amavili ghinu.
30060e0086	nalungahumilaghe kukughinia kisila kikovekano kya Mutwa ghwitu uYesu Kilisite. mwa mwene iisi jikapumusivue kulyune, nu mwene mu iisi.
30060f0062	ulwakuva tukakekilue nambe kisila kukekua kuuva kye kiinu. pe pano uluholuo ulupia lwe lunghanike.
3006100072	ku vooni vano vikukala muvutavike uvu, vavisaghe nu lughano ni kisa fivisaghe lu vooni, na ku Isilaeli ja Nguluve.
3006110064	kuhuma lino umuunhu ghweni nangamhumhusiaghe, lwakuva nipindile ilitavua lya Yesu mu m'bili ghwango.
3006120055	uvumosi vwa Mutwa ghwitu uYesu Kilisite vuve mu numbula sinu vanyalukola vango. Ameni
3100000007	Waefeso
3101010096	Muvughane vwa Nguluve u Paulo n'sung'ua Kilisite Yesu, kuvala vano va baghulivue vwimila vwa Nguluve vano vali ku Efeso vano vitiki mwa Kilisite Yesu.
3101020058	Ulusungu luve kulyumue nulu tengano luno luhuma kwa Nguluve Nhaata ghwitu Yesu Kilisite.
310103009c	Aghinwaghe u Nguluve u Nhaata ghwa Mutwa ghwitu u Yesu kilisite. Nijova uluo ulwakuuva mwa Kilisite utufunyile mu moojo, ghiitu ni nyifunyo kuhuma kukyanya.
3101040097	Unguluve ye akyale kupela iisi, alyatusalwile kuuva vaana vake vwimila u Yesu Kilisite. Alyavombile uluo kuuti tuve vimike vasila n'kole pamaaso ghako.
31010500b0	Mulughano lwa Nguluve alyatusalwile pavwasio nakutu vika heene vaanha va mwene ku siila ija Yesu Kilisite. Alyavombile n'diiki ulwakuva alyanoghile kuvomba kila kino inoghelua.
3101060092	Mumahumile gha mwene kwekuuti u nguluve ighinua kulusungu lwa vitike vwa mwene. Iki kye kighono atupelile vulevule ku siila ja mughane ghwa mwene.
3101070095	Ulwakuva umughane ghwa mwene, tulinuvupuko kukilila idanda ja mwene, ulusaghilo lwa nyivi. Tulinalywo iili vwimila vwa vumofu uvwa lusungu lwa mwene.
3101080049	Akavombile ulusungu alwakuuti luve lwinga vwimila vwitu nuluhala kukagula
3101090094	U Nguluve akavombile lukagulike kulyusue luve kyang'haani lulikuvusyefu pa mbombo, kuhumilanila uvunoghelua vuno vufwikulilue mun'kate mwa Kilisite.
31010a00a0	Unsiki ghuno amasiki gjalyakwiline kuvupesie uvwa vutavike vwa mwene, u Nguluve alafivika palikimo ifiinu fyoni ifya kukyanya ifya kisina mun'kate mwa Kilisite.
31010b008f	Mwa Kilisite tukasalulivue muluvilo ye ghukyale unsiki. Lukale kuhumilanila nimbombo ja juno ivomba ifinu fyoni kuluvilo lwa vughane vwa mwene.
31010c008a	U Nguluveakavombile ulwakuuti tunoghele kujigha mulughinio lwa vwitike vwa mwene. Tukale vakwasia kuva nulukangasio mun'kate mwa Kilisite.
31010d00cf	Lukale mu sila ja Kilisite kuuti mulyapulike ilisio ilya kyang'haani, ilivangili lya m'poki vwinu kusila ja Kilisite. Lukale mwa mwene kange kuuti mwitike na kubikua umuhuri nhu Mhepo umwimike juno fingilue.
31010e0075	U Mhepo gwe atusaghile vuhasi vwitu mpaka kutema pano vuliva vuvoneka. Ulu lukale mu lughinio lwa mwitike ghwa mwene.
31010f00a3	Vwimila ulu, unsiki ye nipuluke vwimila mu lwitikOK lwinu mun'kate mwa Mutwa Yesu kange vwimila vwa lughano lwinu kuvala vooni vano vabaghulivue vwimila vwa mwene.
3101100057	Nanibuhilile kukumongesia u Nguluve vwimila vwinu kange kukuvakemela mu nyifunyo sango.
3101110095	Nikufunya kuuti u Nguluve ghwe Mutwa ghwiti Yesu Kilisite, u Nhaata ghwe vwitike, ikuvapela inumbula ija luhala, amasyetulilo gha vukagusi vwa mwene.
31011200f3	Nikufunya kuuti amaaso ghinu aha munumbula ghapelue ulumuli kulyumue kukagula lwe luliikuulukangasio ulwa kukemelua kulyumue. Nikufinya kuuti mukagule uvumofu uvwa vitiki uvwa vuhasi vwa mwene munkate mu vaala vano vabaghulivue vwimila umwene.
31011300a1	Nikufunya kuuti akagule uvuvaha vuno vukila ingufu ja mwene mun'kate mulyusue juno tukwitika. Uvuvaha uvu kwe kuhumilanila na kuvomba imbombo mhu ngufu sa mwene.
31011400a3	Iji je ngufu jino jivombile imbombo mun'kate mwa Kilisite unsiki u Nguluve ye asyusisie kuhuma kuva fue na pikum'bika kuluvoko lwa mwene ulwa ndio pala pa vulanga.
31011500b9	Alyam'bikile kukyanya kuvutali na kutema, uvutavulilua, ingufu, vutua, nilitavua lila lino litambulua. Alya m'bikile u Yesu na kwekuuti unsiki ughu looli ku nsiki ghuno ghu kwisa kange.
3101160084	U Nguluve afibikile ifinu fyoni pasi pa maghulu gha Kilisite. Avikile umwene umuutu ghwa mwene pakyanya pa fiinu fyoni mulukong'ano.
