010000000b	Murhondêro
2801050050	Salmoni aburha Bozi kuli Rahabu; Bozi aburha Obedi kuli Ruti; Obedi aburha Yese;
2801060051	Yese anaciburha mwâmi Daudi. Naye mwâmi Daudi aburha Salomoni kuli mukà Uriya.
2801070040	Salomoni aburha Roboami; Roboami aburha Abiya; Abiya aburha Asa.
2801080043	Asa aburha Yozafati; Yozafati aburha Yorami; Yorami aburha Oziyasi.
280109004b	Oziyasi anaciburha Yowatami; Yowatami aburha Akazi; Akazi aburha Ezekiyasi.
28010a004a	Ezekiyasi anaciburha Manasè; Manasè aburha Amoni; Amoni aburha Yoziyasi.
28010b0050	Yoziyasi anaciburha Yekoniya n’abalumuna, erhi bali omu bujà bw’e Babiloni.
28010c0056	Erhi barhenga omu bujà, Yekoniya aburha Salatiyeli; Salatiyeli anaciburha Zorobabeli.
28010d004e	Zorobabeli aburha Abiyudi; Abiyudi aburha Heliyakimi; Heliyakimi aburha Azori.
28010e0041	Azori aburha Sadoki; Sadoki aburha Hakimi; Hakimi aburha Eliyudi.
28010f0049	Eliyudi aburha Eliyazari; Eliyazari aburha Matani; Matani aburha Yakôbo.
2801100048	Yakôbo aburha Yozefu, ibà wa Mariya, ye nnina wa Yezu, oderhwa Kristu.
28011100f7	Amâburha goshi, kurhenga Abrahamu kuhika Daudi, gali ikumi n’anni. Kurhenga Daudi kuhika oku bujà bw’e Babiloni, gandi maburhwa ikumi n’anni. Kurhenga omu bujà bw’e Babiloni, kuhika omu maburhwa ga Kristu, gandi maburhwa ikumi n’anni.
28011200be	Rhuyumvagye oku Kristu aburhagwa. Erhi Mariya, nnina wa Yezu abà amashebwa na Yozefu, buzinda babona akol’al’izîmi oku buhashe bwa Mûka Mutagatîfu, erhi barhanayishîni bo na Yozefu.
280113006b	Yozefu ibà, bulya ali muntu mushinganyanya, arhalonzagya okumushobeka, ci alonza okumuhulusa bufundafunda.
28011400cb	Amango akâg’igerêreza ntyo, Malahika wa Nyakasane amuyagâna amubwîra, erhi: «Yozefu, mwene Daudi, bici oyôbohire okubêra na mukâwe Mariya? Eri izîmi ali, liri lya buzibu bwa Mûka Mutagatîfu.
2801150057	Kali aburha omwâna: wamuyîrika Yezu. Ye wayôkola olubaga lwâge omu byâha byâlo».
2801160056	Ebyo byoshi byâbà ntyo, mpu lyo akanwa Nyakasane abwîraga omulêbi kayunjula, erhi:
2801170081	Alà omubikira ayish’ibà nda, aburha omwâna: bayish’imuhà izîno lya Emanuweli, kwo kuderha: Nyamuzinda - haguma - nîrhu.
2801180057	Erhi Yozefu azûka, ajira nk’oku Malahika wa Nyakasane amubwîraga: abêrana mukâge.
2801190057	Barhanamanyanaga bona Yozefu alind’aburha omwâna w’oburha­bâna, amuyîrika Yezu.
28020100a8	Erhi Yezu aburhirwa e Betelehemu, co cihugo ca Yûda, erhi Herodi yeri mwâmi muli ezo nsiku. Abâmi b’ihanga barhenga ebushoshôkero bw’izûba, bajà e Yeruzalemu.
2802020094	Bajà badôsa, mpu: «Lunda luhi lulya omwâmi w’Abayahudi aburhîrwe? Rhwabwîne enyenyêzi yâge emwîrhu: co cirhudwîrhe, nti rhumuharâmye».
280203005a	Erhi Mwâmi Herodi ayumva ntyo, ageramwo omusisi haguma n’abantu b’e Yeruzalemu boshi.
280204006c	Ahamagala abakulu b’olubaga, bo bajinji n’abashamuka b’ihano, abadôsa lunda luhi Kristu anaburhîrwe.
280205004f	Bamubwîra oku omu cihugo ca Yûda e Betelehemu: kwo omulêbi ayandisire, erhi:
280206009a	Nâwe Betelehemu, cishagala ca Yûda, orhali munyi omu bishagala by’ecihugo ca Yûda, bulya we wârhengemwo omurhegesi w’olubaga lwâni lw’Israheli.
2802070057	Aho honênè Herodi ahamagala abo bâmi, abadôkereza amango enyenyêzi yababonekeraga.
28020800a6	Erhi abalika, abalangûla enjira y’e Betelehemu, anababwîra, erhi: «Gendagi, mudôse bwinjà olw’oyo mwâna, na hano mumubona, mumbwîre nâni nj’iharâmya».
280209009d	Erhi bayûs’iyumvanya na mwâmi, bagenda. Ho na halya, erya nyenyêzi babonaga, kandi yabashokolera, kuhika yagend’iyimanga enyanya y’aha omwâna àli.
28020a002c	Erhi babona eyo nyenyêzi, basîma bwenêne.
28020b00ab	Bajà omu nyumpa, barhimâna omwâna bo na nnina Mariya; banacifukama, baharâmya. Bashanûla emihako yâbo, banacimurhûla obuhirhi bwâbo: amasholo, enshangi n’obukù.
28020c006e	Okubundi babwîrwa omu bilôrho mpu bamanye barhacigeraga emwa Herodi; bacîshubirira emwâbo omu yindi njira.
28020d00df	Erhi babà bamagenda, Malahika wa Nyakasane ayagâna Yozefu, amu­bwîra, erhi: «Zûka, oyanke omwâna na nnina, oyâkire e Mîsiri, onabêreyo kuhika nkubwîre. Bulya Herodi ali hôfi h’okulonza omwâna mpu amuyîrhe».
28020e003b	Yozefu anacizûka, ayanka omwâna na nnina, ajà e Mîsiri.
28020f0085	Abêrayo kuhika Herodi afà; mpu lyo ebi Nyakasane aderhezagya omulêbi biyunjula, erhi: Nahamagîre Omwâna wâni arhenge e Mîsiri.
28021000eb	Erhi Herodi abona oku balya bâmi bamurhebire, akunira bwenêne, arhuma abayîrha orhubonjo rhwoshi rhurhac’ibona myâka ibiri rhw’e Betelehemu n’orhw’ebindi bihugo bya hôfi hâyo, erhi amagerêreza amango abâmi bamubwîraga.
2802110031	Lêro oku omulêbi Yeremiya aderhaga kwabà, mpu:
280212008d	Izù lyayumvîkana muli Rama, endûlù n’ebihogêro bya Rakeli walakira abâna bâge: arhanalonz’irhûlirizibwa, bulya abâna bamufirire.
280213004c	Erhi Herodi afà, Malahika wa Nyakasane ashub’iyagâna Yozefu omu Mîsiri.
2802140082	Amubwîra, erhi: «Zûka, yanka omwâna na nnina, oshubire omu cihugo c’Israheli: bulya abalonzagya okuyîrha omwâna bafîre».
2802150052	Okuhandi Yozefu azûka, ayanka omwâna na nnina, ashubira omu cihugo c’Israheli.
28021600a6	Ci kwonêne erhi ayumva oku Arkelayusi ye wayîmire e Yûda omu by’îshe Herodi, ayôboha okuyijà. Erhi acirhondwa omu bilôrho, acîjira oluhande lw’e Galileya.
280217007c	Erhi ayihika, ayûbaka omu cishagala ciderhwa Nazareti, mpu lyo kulya abalêbi baderhaga kubà: Ayish’iyirikwa Munazareti.
2803010066	Muli ezo nsiku, Yowane Mubatiza acîyêrekana: akazâg’iyigîriza abantu omu irungu ly’e Buyahudi.
2803020058	Akaz’ibabwîra, erhi: «Mucîyunjuze ebyâha, bulya Obwâmi bw’empingu buli hôfi».
2803030095	Oyo Yowane ye omulêbi Izaya aderhaga, mpu: Ye izù ly’odwîrhe ayakûliza omu irungu: Rheganyi enjira ya Nyakasane, yumanyanyi bwinjà ah’agera.
2803040091	Oyo Yowane akâg’iyambala ecirondo c’obwôya bw’engamiya n’omukaba gw’oluhù ecibunu; ebiryo byâge zàli nzige n’obûci bw’empoko.
2803050074	Ago mango, abantu boshi b’e Yeruzalemu, n’ab’e Yûda, n’abayûbakaga omu ntambi za Yordani, bakaz’imujayo.
280306003f	Bakacîyunjuza ebyâha, naye akababatiza omu mîshi ga Yordani.
28030700b9	Erhi abona Abafarizeyi n’Abasaduceyi banji nabo bayisha oku bubatizo, abà­bwîra, erhi: «Mwe iburha lya cibugusha, ndi lêro wammuyêresire enjira y’okuyâka obukunizi bwâyisha?
280308001b	“Mucîyunjuze bwinjà”.
2803090097	“Murhacibwîraga mwene na mwene, mpu”: “Kali larha ye Abrahamu”; bulya Nyamuzinda, mugala-byoshi, anakûla abâna b’Abrahamu muli aga mabuye.
28030a007d	“Lêro embasha ekola eri aha cisiki c’emirhi. Na ngasi murhi gurhajira malehe minjà gwatûbwa gunakwêbwe omu muliro”.
28030b00d0	“Niehe ndwîrhe nammubatiza n’amîshi, nti lyo mucîyunjuza. Ci kwônene owâyisha enyuma zâni andushire, ntakwânîni okumushwêkûla enkwêrho: ye wâmmubatize muli Mûka Mutagatîfu n’omu Muliro”.
28030c00a2	“Okuboko kwâge kufumbasire olwîbo, ayish’iiyerûla ecibuga câge; ayish’ilunda amahemba gâge omu nguli, n’omulolo agudûlike omu muliro gurhazima”».
28030d005a	Lêro Yezu arhenga e Galileya, ajà emunda Yowane àli e Yordani, mpu lyo abatizibwa naye.
28030e005a	Obwo Yowane amuhanza, anamubwîra, erhi: «We wankambatizize, kurhi wayishirage emwâni!»
28030f0087	Yezu erhi amushuza, amubwîra, erhi: «Orhang’ireka, bulya kurhukwânîne rhuyunjuze ngasi bishingânîne». Okuhandi Yowane amuleka.
28031000aa	Erhi Yezu ayûs’ibatizibwa, arhenga omu lwîshi. Aho honênè, amalunga gayîguka: anacibona Omûka gwa Nyamuzinda gwamuyandagalira omu nshusho y’engûkù, yamujakwo.
2803110072	Muli ako kasanzi, izù lyarhenga emalunga, lyaderha, erhi: «Oyu ye Mugala wâni muzigirwa, oyu ncîshingiramwo».
2804010045	Lêro Yezu ahêkwa na Mûka omu irungu, mpu lyo ashumikwa na Shetani.
2804020056	Erhi abà amâjira miregerege makumi anni na madufu makumi anni arhalya, anacishalika.
2804030077	Owal’imushumika amushegerera, amubwîra, erhi: «Akabà oli Mwene-Nyamuzinda, oderhage aga mabuye gahinduke migati».
2804040093	Naye amushuza, amubwîra, erhi: «Kuyandisirwe, mpu: Arhali mugati gône gujira omuntu, ci ajirwa na ngasi luderho lurhenga ekanwa ka Nyamuzinda».
280405005b	Obwo Shetani amuhêka omu cishagala citagatîfu, amuheba oku kanshonsho k’aka-Nyamuzinda.
28040600b3	Anacimubwîra, erhi: «Akabà oli Mwene-Nyamuzinda, hamiraga ahanshi, bulya kuyandisirwe, mpu: Nyamuzinda arhegeka bamalahika bâge bakuhêke omu maboko gâbo, olek’isârhala».
2804070063	Yezu amushuza, erhi: «Kuyandisirwe kandi, mpu: Irhondo orhashumikaga Nyakasane Nyamuzinda wâwe».
2804080066	Shetani ashub’imuhêka oku ntondo ndîndi, amuyêreka amâmi goshi g’en’igulu n’irenge lyâgo.
2804090042	Anacimubwîra, erhi: «Nakuhà ebyo byoshi okafukama wamparamya».
28040a008c	Yezu amushuza, erhi: «Rheng’aha, Shetani! bulya kuyandisirwe, mpu: Wakaz’iharâmya Nyakasane Nyamuzinda wâwe, onakamukolera yênene».
28040b0054	Shetani anacimuleka obwo. Ho n’aho bamalahika bamuyegêra, banakaz’imurhumikira.
28040c003c	Erhi Yezu ayumva oku Yowane agwâsirwe, ashubira e Galileya.
28040d006a	Aleka ecishagla ca Nazareti, acîjira omu Kafarnaumu, hôfi h’enyanja, elubibi lwa Zabuloni na Nefutali,
28040e0038	mpu lyo kuyunjula okwaderhagwa n’omulêbi Izaya, erhi:
28040f006f	Ecihugo ca Zabuloni n’eca Nefutali, yo njira y’oku nyanja, ishiriza lya Yordani, muli Galileya y’olubaga!
280410008d	Olubaga lwàli lubwârhîre omu mwizimya, lwabona obulangashane bunji; obulangashane bwabonekera abâli omu cihugo c’omwizimya gw’olufù.
280411006f	Kurhenga aho, Yezu arhondêra ayigîriza anaderha, erhi: «Cîyunjuzi, bulya Obwâmi bw’empingu buli hôfi».
28041200d5	Obwo erhi Yezu adwîrhe ageragera eburhambi bw’enyanja y’e Galileya, abona abalondana babiri, Simoni - oderhwa Petro - n’omulumuna Andreya, badwîrhe barhega orhwêshe rhwâbo omu nyanja: bulya bâli badubi.
2804130042	anacibabwîra, erhi: «Nkulikiragi, nammujira badubi b’abantu».
2804140032	Ho n’aho baleka orhwêshe rhwâbo, bamukulikira.
28041500e1	Erhi arhenga aho, mpu arhambike, abona bandi babiri balondana, bo Yakôbo, mwene Zebedeyo, bo n’omulumuna Yowane; erhi bali omu bwârho bwâbo bo n’îshe Zebedeyo, banadwîrhe balungîramwo orhwêshe rhwâbo; abahamagala.
2804160038	Ho n’aho baleka obwârho bwâbo n’îshe, bamushimba.
28041700b2	Obwo Yezu agera omu Galileya yoshi aj’ayigîriza omu masinagogi gâbo n’okuhanûla Emyanzi minjà y’Obwâmi, anaj’afumya ngasi ndwâla na ngasi buzamba bwàli omu lubaga.
28041800db	Irenge lyâge lyalumîra omu Sîriya yoshi: banacimulêrhera balwâla banji, n’abàli bagwâsirwe n’obuzamba n’amalumwa ga ngasi lubero, n’abàli bagwêrhwe na Shetani, n’abasirhe n’abahinânge, anacibaciza.
280419009b	N’orhutu rhunji rhw’e Galileya n’orhw’e Dekapoli n’orhwarhengag’e Yeruzalemu, n’orhw’e Yûda n’orhw’ishiriza lya Yordani, rhwamushimba.
2805010063	Lêro erhi Yezu abona orhutu, ajà oku ntondo, n’erhi abà amabwârhala, abaganda bâge bamujaho.
280502003d	N’erhi abumbûla akanwa, abayigîriza anabà­bwîra, erhi:
280503004a	Iragi lyâbo abakenyi omu murhima, bulya Obwâmi bw’empingu buli bwâbo.
280504003e	Iragi lyâbo abadwîrhe balaka, bulya bayish’irhûlirizibwa.
2805050038	Iragi lyâbo abîrhôhye, bulya bayish’irhegeka igulu.
2805060060	Iragi lyâbo abashalisire banagwêrhe n’enyôrha y’obushinganyanya, bulya bayish’iyigurha.
280507003f	Iragi lyâbo ab’olukogo, bulya bayish’ibêrwa nabo olukogo.
2805080043	Iragi lyâbo ab’emirhima ecîre, bulya bayish’ibona Nyamuzinda.
2805090044	Iragi lyâbo ab’omurhûla, bulya bayish’iderhwa bene Nyamuzinda.
28050a0068	Iragi lyâbo abadwîrhe balibuzibwa erhi bushinganyanya burhuma, bulya Obwâmi bw’empingu buli bwâbo.
28050b006b	Mugwêrhe iragi bakammujacira, bakanamulibuza, bakanammuderhera ngasi mabî, bakammubeshera erhi nie ntuma.
28050c0088	Musîme munacîshinge, bulya oluhembo lwinyu lwâyish’ibà lunene omu mpingu. Nabo abalêbi bali bammushokolîre, ntyo kwo balibusire.
28050d00ac	Mwe, muli munyu gw’igulu. Ci kwône, omunyu gukarhengamwo obununu, cici gwankacilungwamwo? Ntâco gwankacikwânana okurhali kukabulirwa embuga n’okulabarhwa n’abantu.
28050e0067	Mwe, muli bulangashane bw’igulu. Ecishagala ciyûbasirwe oku busongerwe bw’entondo cirhankafulikwa.
28050f0076	Kandi barhayâkiza akamole okukafulika omu byâsi, ci mpu bakamanike emugamba, lyo kamolekera abâli omu nyumpa boshi.
2805100073	Ntyo obulangashane bwinyu bumoleke embere z’abantu, lyo bakabona ebijiro binyu binjà, bakuza Sho oli omu mpingu.
2805110064	Murhagererezagya mpu nal’ikûla Amarhegeko erhi Abalêbi: ntâl’igakûla, ci nal’igayunjuliza.
2805120095	Mmubwîre okunali, kuhika amalunga n’igulu bigere i ciru ye munyi, ciru nsigiri nguma y’omu Marhegeko erhankarhenga, kuhika byoshi bishingânane.
28051300db	Owakûle hirhegeko higuma muli aga manyinyi bwenêne, akayigîriza abantu okujira ntyo, ye wayish’ibà murhò omu Bwâmi bw’empingu; ci owagashimbe akanagayigîriza, oyo ye wayish’ikuzibwa omu Bwâmi bw’empingu.
2805140094	Ci mmubwîzire: akabà obushinganyanya bwinyu burhalushiri obw’Abashamuka b’ihano n’obw’Abafarizeyi, murhakalabarha omu Bwâmi bw’empingu.
2805150071	Mwayumvîrhe oku abà mîra babwîzirwe, mpu: Irhondo orhayîrhaga; na owayirhe, akwânîne okuhanwa omu lubanja.
28051600ed	Ci niehe mmubwîzire oku ngasi yêshi wabîkire owâbo oburhè, ayish’ihanwa omu lubanja. Naye owabwîre owâbo mpu kadunduguli, akwânîne okuhanirwa e kagombe. N’owabwîre owâbo mpu musirhe, âyish’ihanwa omu nyenga y’omuliro.
2805170076	Lêro akabà odwîrhe enterekêro yâwe mpu oyihêke oku lutare. okakengêra oku owinyu akubîkira akarhinda emurhima,
280518008a	orhang’ileka oburherekêre bwâwe embere z’olutare; ogend’iyumvanya n’owinyu, na hano ogaluka, ogal’ihâna oburherekêre bwâwe.
28051900d3	Kaz’imuyumvanye mwe n’omushombanyi winyu duba, muciri omu njira naye, oyo mushombanyi alek’ikuhâna emwa omutwî w’olubanja, n’omutwî w’olubanja alek’ikuhà omuganda: olek’ikwêbwa omu mpamikwa.
28051a0044	Nkubwîzire okunali: orhamurhenge orhanaj’iryûla obujuma buzinda.
28051b0047	Mwayumvîrhe oku babwîzire abà mîra, mpu: Irhondo omanye wankahusha.
28051c006c	Ci niehe mmubwîzire oku ngasi yêshi wabone omukazi n’okumwifinja, oyu muntu emurhima erhi amuhushirekwo.
28051d00c8	Akabà isù lyâwe liryo linakaz’ikushumika, olirhomole, onalikabulire kuli; bulya kuli kwinjà kulusha okuheza cirumbu ciguma omu birumbu byâwe, ah’okuheza omubiri gwoshi omu nyenga y’omuliro.
28051e00b9	N’akabà okuboko kwâwe kulyo kunakakushumika, okutwe onakukabulire kuli: bulya kukwânîne oheze cirumbu ciguma omu birumbu byâwe, ah’okuheza omubiri goshi omu nyenga y’omuliro.
28051f0055	Kandi bàdesire, mpu: Ngasi yêshi wahuluse mukâge, amuhè acerhe c’o­kumuhulusa.
280520009c	Niehe mmubwîzire oku ngasi yêshi wahuluse mukâge, -ntadesiri omukazi w’obuhya burhali bwo, - arhumire ahusha; naye owayanke omukazi muhuluse, agonyire.
2805210080	Kandi mwayumvîrhe oku abà mîra babwîzirwe, mpu: Irhondo omanye wankalahira ebîrà, ci okakomezeza Nyakasane endahiro zâwe.
2805220079	Ci niehe mmubwîzire nti murhakâg’ilahira ciru ehitya: arhali oku izîno ly’amalunga, bulya eri ntebe ya Nyamuzinda;
2805230074	arhanali oku igulu, bulya kw’aheba amagulu gâge; arhanali kuli Yeruzalemu, bulya ciri Cishagala ca Mwâmi Mukulu.
2805240076	Orhanalahiriraga oku irhwe lyâwe, bulya ntà buhashe ogwêrhe bw’okuhindula luviri luguma lubè lwêru erhi lwîru.
280525005a	Oluderho lwinyu lubè: «Nêci, nêci; nanga, nanga»; n’ehyankalushisa aho, erhi hibî.
280526003f	Mwayumvîrhe oku bàdesire: Isù oku isù n’elîno oku lîno.
2805270087	Niehe mmubwîzire nti murhakâg’igalulira omuntu amabî gâge; ci omuntu akakushurhira omu irhama liryo, omurhege n’ery’ekulembe.
280528004a	N’owakuhêke lubanja erhi cishûli câwe cirhuma, omulekere n’olubega.
2805290044	Owakusêze mpu ojire naye nsîma cihumbi, ojire naye bihumbi bibiri.
28052a0046	Owakuhûne onamuhè; n’irhondo omanye wankayâka owalonz’ikuhôza.
28052b005b	Mwayumvîrhe oku bàdesire, mpu: Okâzigira omwalungwe wâwe, onashombe omushombanyi wâwe.
28052c004b	Ci niehe mmubwîzire nti muzigire abammu­shomba, musengerere abammulibuza;
28052d0085	lyo mubà bâna ba Sho w’empingu, obashîsa izûba lyâge oku binjà n’ababî, onaniêsa enkuba oku bashinganyanya n’endyâlya.
28052e006d	Mâshi! mukazigiraga abamuzigira bônene, luhembo luci mwayish’ihâbwa? Ka ebishungu byôki birhajira ntyo?
28052f0060	Na mukakâlamusa bene winyu bônene, kurhi mulushînage obwo? Ka abapagani bôki barhajira ntyo?
2805300042	Kuziga mwêhe mubè bimâna nk’oku Sho w’empingu ali mwimâna.
2806010091	Mumanye murhakâg’iyêrekana ebijiro binyu binjà embere z’abantu mpu mubonwe, bulya mukajira ntyo, murhakabona luhembo emwa Sho w’empingu.
28060200c4	Lêro nka okola wahà omukenyi akantu, orhabuhaga mushekera, nk’oku endyâlya zijira omu sinagogi n’omu bishagala, mpu lyo abantu bazikuza. Okuli, mmubwîre, bàhâbirwe mîra oluhembo lwâbo.
2806030052	Wêhe, nka wahà omukenyi, okuboko kwâwe kumosho kurhamanyaga eci okulyo kwajira.
2806040054	Ntyo ehi wahà omukenyi hirhamanyîbagwa; na Sho obona ebifulisirwe, akugalulirahyo.
28060500bf	Nka mwashenga, murhabâga nka ndyâlya zisîma okushenga bwimanga omu sinagogi n’omu mashanganizo g’enjira, mpu lyo zibonwa n’abantu. Okuli, mmubwîre, bahâbirwe mîra oluhembo lwâbo.
2806060091	Wêhe, nk’okola washenga, ojè omu mwâwe, na hano wamayigala olumvi, oshenge Sho omu kahwenyenye, na Sho obwîne omu kahwenyenye, akugalulira.
2806070068	Kuziga nka mwashenga, murhaderhaga binji nka bapagani, abamanya mpu okuderha binji kwarhuma bayumvîbwa.
2806080049	Mâshi, murhabashushaga; Sho ayishi ebi mulagîrîrekwo embere mumuhûne.
2806090046	Alagi oku mwakashenga: Larha, oli omu mpingu, Izîno lyâwe likuzibwe,
28060a0046	Obwâmi bwâwe buyishe, Obulonza bwâwe bubè en’igulu nk’empingu.
28060b002a	Orhuhè ene akalyo kîrhu ka ngasi lusiku.
28060c0046	Orhukûlire emyenda yîrhu, nk’oku nîrhu rhuyikûlira abarhulireyo.
28060d0037	Orhanarhuhiraga omu mashumi, ci orhulîkûze oku Mubî.
28060e0053	Kuziga mukababalira abantu amabî bammujirire, Sho w’empingu naye anammubabalira.
28060f0048	N’akabà murhababaliri abantu, naye Sho arhammubabalire ebyâha binyu.
28061000ab	Nka mwacîshalisa, murhabâga burhè nka ndyâlya, ezicîjira eminyuga ebusù, mpu lyo abantu babona oku bacîshalisize. Okuli mmubwîre, mîra bahâbagwa oluhembo lwâbo.
280611004c	Ci wêhe, nka wacîshalisa, ohebe amavurha omu irhwe onashuke obusù bwâwe;
280612007d	olek’ibonwa n’abantu nk’ocîshalisize, ci obonwe na Sho omu bufunda, na Sho odwîrhe abona eby’obufunda, akugalulira.
280613007d	Murhacîbikiragya omuhako en’igulu, emunda engisha n’enundo zaguhalagula, n’emunda ebishambo birhula enyumpa binazimba.
280614007c	Ci mucîbîkire amahirhi empingu, emunda engisha n’enundo zirhahalagula, n’aha ebishambo birharhula nyumpa birhanazimba.
280615003b	Bulya aha omuhako gwâwe guli ho n’omurhima gwâwe gubà.
280616007b	Akamole k’omubiri gwâwe, lyo isù lyâwe. Isù lyâwe likabà liri ligumaguma, omubiri gwâwe gwanabà omu bulangashane.
2806170086	Ci isù lyâwe likabà libî, omubiri gwâwe gwoshi gwanabà omu mwizimya. Akabà akamole kâwe kali mwizimya, mwizimya muci kankabà!
2806180098	Ntâye wankakolera bâmi babiri: bulya anashomba muguma, azigîre owundi; erhi ashimbe muguma, anene owundi. Murhankahashikolera Nyamuzinda n’ebirugu.
28061900c0	Co cirhumire mmubwîra: Murharhanyagya oku buzîne bwinyu, mpu bici mwalya, n’oku mubiri, mpu bici mwayambala. Ka obuzîne burhalushiri ebiryo, nîsi erhi omubiri, ka gurhalushiri emyambalo?
28061a008b	Rhengi mulole orhunyunyi, oku rhurhamîra rhurhanasârûla, ciru rhurhanahaka; na Sho w’empingu ye orhulîsa. Mâshi! ka murharhulushiri?
28061b0054	Ndi muli mwe, ciru ankahangaza, wankahash’iyûshûla ikoro liguma oku buli bwâge?
28061c0061	Cirhuma murhanya oku myambalo? Lolagi obwâso bw’omu mashwa oku bumera: burhabinga burhanaluka.
28061d0064	Mmubwîzire oku ciru Salomoni omw’irenge lyâge lyoshi, arhayambalaga nka hyâso higuma muli rhwo.
28061e00aa	Mâshi! Nnâmahanga akayambika ntyo ehyâsi hy’omw’ishwa, ehiriho ene n’irhondo erhi hyakwêbirwe omu muliro; banyamubula-bwêmêre, ka arhamujirire okulushire aho!
28061f0062	Murharhanyagya n’okuderha, mpu: «Bici rhwakalya, erhi bici rhwanywa, erhi bici rhwakayambala?»
2806200056	Ebyo byoshi, bapagani babilonza. Kali Sho w’empingu ayishi oku mubuzire ebyo byoshi.
2806210070	Burhanzi mulonze Obwâmi bwa Nnâmahanga n’obushinganyanya bwâbo, n’ebyo byoshi mwâyish’ibiyûshûlirwa.
2806220078	Kuziga murhakâg’icîyîrha oku b’irhondo; olusiku lw’irhondo lwacilongeza lwône. Ngasi lusiku n’amabî gâlò.
2807010049	Murhakazâg’itwa oluli omu mwa bene, irhondo bankatwa oluli omu mwinyu.
280702007f	Oku mwânatwe oluli omu mwabene, kwo mwâtwîrwe oluli omu mwinyu, n’omulengo mwalengeremwo abandi gwo ninyu mwâlengerwemwo.
2807030070	Ci ojà wadôkôlakwo ehyâsi hiri omw’isù ly’owinyu, orhanabona enduluma y’omurhi eri omw’isù lyâwe!
280704007e	Erhi bici obwîrira owinyu, erhi: Lemba nkudôkôle ehyâsi hikuli omw’isù; n’obwo enduluma y’omurhi ekulî omw’isù?
2807050078	Eyi ndyâlya! orheng’irhenza enduluma y’omurhi ekulî omw’isù, ogal’idôkôla owinyu ehyâsi himuli omw’isù.
280706009d	Murhakâg’ihà orhubwa ebiryo bitagatîfu, murhanakâg’ikwêba enjuma zinyu embere z’engulube, zirek’izilabarha, na hano zimmuhindukira, zimmujanule.
2807070047	Muhûne, mwahâbwa; mulonzelonze, mwârhôla; mukomambe, mwâyigulirwa.
2807080060	Bulya ngasi ohûna, anahâbwe; na ngasi olonza, anarhôle; n’okomamba oku lumvi, anayigulirwe.
2807090040	Ndi muli mwe, omugala erhi ankamuhûna obuntu, ankamuhà ibumba?
28070a0032	Nîsi erhi ankamuhûna enfî, ka ankamuhà empiri?
28070b006a	Mwe babî, mukamanya ebinja mwakahà abâna binyu, minjà manganaci Sho oli omu mpingu ankahà abamuhûna!
28070c0063	Ntyo, ngasi hyoshi mulonza abantu bammujirire, ninyu mubajirirehyo: lyo Irhegeko eryo n’Abalêbi.
28070d0078	Mugerere omu lusò lufundire, bulya olusò lugali n’olushanjûsire eri njira ehêka ebwa kuheza, na banji bayigeramwo.
28070e0051	Ci olusò lufunda n’enjira efundîre yo ehêka ebwa Buzîne, na banyi bayibona.
28070f0070	Mumanye abalêbi b’obunywesi, abammujaho bayambirhe nka bâna-buzi, n’obwo omu murhima gwâbo bali biryanyi.
280710007b	Mwâbamanyire oku bijiro byâbo. Ka mukola mubwîne owahumbûla amalehe oku mishûgi? Nîsi erhi enyungu oku murhandagulè?
2807110066	Na ntyo, ngasi murhi mwinjà guyânakwo amalehe minjà, na ngasi murhi mubî guyânakwo amalehe mabî.
280712005f	Omurhi mwinjà gurhankayânakwo amalehe mabî, n’omurhi mubî gurbankayânakwo malehe minjà.
2807130044	Ngasi murhi gurhayanyiri malehe minjà, gunatûbwe, gukwêbwe eciko.
2807140036	Nâshub’immubwîra: oku bijiro byâbo mwâbamanyire.
28071500af	Arhali ngasi ombwîra, mpu: «Yâgirwa, Yâgirwa, ye wâjè omu Bwâmi bw’empingu, ci olya ojira oku Larha oli omu mpingu alonza, y’oyo ye wâhike omu Bwâmi bw’empingu.
28071600f3	“Banji bambwîre olwo lusiku”: “Waliha, Waliha, kali oku Izîno lyâwe rhwakâg’iderha ebyânayishe! Oku Izîno lyâwe rhwakazag’ilêba, rhwakâg’ilibirhakwo abashetani! oku Izîno lyâwe rhwakâg’ijiramwo ebisômerîne binji!”
2807170064	“Nâni nyish’ibabwîra obwo oku ntà lusiku nabamanyire, nti: ntengiho mwe banyankola-maligo”.
2807180081	“Oyumvîrhe ezi nderho zâni akanazishimba, bayish’imushushanya omuntu ocîrhonda, owayûbakaga enyumpa yâge okw’ibuye”.
2807190089	“Enkuba yanacinia, enyîshi n’empûsi byanaciyisha, byacîhonda kuli erya nyumpa, erhakulumbaga: bulya yali eyûbasirwe oku ibuye”.
28071a008b	“Ci ngasi yêshi wakayumva ezi nderho zâni, abule n’okuzishimba, anashushanywa n’omusirhe wayûbakaga enyumpa yâge oku mushenyi”.
28071b008d	“Erhi enkuba ecinia, n’enyîshi n’empûsi biciyisha, byacîhonda kuli erya nyumpa yacîhongokera. Lêro obuhanya bwajà oku bundi!”»
28071c006d	Byanacibà ntyo! erhi Yezu ayûs’iderha ebyo binwa, orhutu rhw’abantu rhwasômerwa n’enyigîrizo zâge.
28071d0051	Bulya akâg’ibayigîriza nka ogwêrhe obuhashe, arhanali nk’abigîriza bâbo.
