0200000003	Nfa
2e071b0087	U ka̱m uchar chit ɗò? Kan wa ɗak ka̱ nkap ku uchar ɓu ka̱t. Nna u ka̱m uchar chit ka̱t ɗò? Kan wa ɗak ka̱ nkəka̱m ka̱t.
2e071c0155	ká̱ nnà te, a yà pa̱ unəm ka̱m uchar te, uza̱ nə̀m nnap-mɓá̱ngɓa̱ng ka̱t. A yà pa̱ uyen ɓyen ván te, uza̱ nə̀m nnap-mɓá̱ngɓa̱ng ka̱t. ká̱ nnà te, unəm, ka̱t te uchar va̱ ká̱ ivan te, oma yà ká̱ mɓək anung ka̱ ashe apambin va̱ ta̱. Nna nak te, n ɗom pa̱ ka̱ ń jul wo ka̱ mɓək anung va̱ ta.
2e071d00ba	Ógənang, iya̱m va̱ mmami ka̱ nləla te, nna pa̱ nra va̱ Inan kpa̱k ayi te, a makmak ka̱t. A ɓan chit nyangmata̱ onəm va̱ ka̱ ochar te, oza̱ a təm na oza̱ yà ka̱ ka̱t.
2e071e00fd	Onəm va̱ ka̱ nyə́ng te, oza̱ a təm wa onəm va ka̱ nyə́ng ka̱t. Onəm va̱ ka̱ ashe nchang ìgwak te, oza̱ a təm wa onəm va ka̱ ashe nchang ìgwak ka̱t. Onəm va̱ ka̱ nyap iya̱m ro te, oza̱ a təm wa onəm va yà ká̱ iya̱m ka̱t.
2e071f00b2	Onəm va̱ ka̱ nnəm inok iga apambin va̱ ta̱ te, kan oza̱ a re iya̱m iga apambin a yar ishi ka̱ oza̱ ka̱t. Ka̱kul apambin va̱ ta̱ wa nva nyangmata̱ te, ka̱ ngwatar.
2e072000bb	N ɗom wo pa̱ o fa ka̱ ashe nɗaktak. Ununggwan va̱ yà ku uchar ka̱t te, nnap inok aPonzhi-Yesu nna chwat i ɗak na, ka̱ asa̱l va̱ o nə̀m kan uPonzhi-Yesu i fe nchang ká̱ wò.
2e0721007e	Unəm uga uchar jiwo te, nnap ngga apambin va̱ ta̱ i ɗak na, ka̱ asa̱l va̱ o nə̀m kan uchar wò i fe nchang ká̱ wò.
2e0722018d	A nyám chit pa̱ nnap-nnənəm kap chit pa̱ mparəm. Uchar, ka̱t te uyen ɓyen va̱ ván ka̱t te, nnap inok aPonzhi-Yesu na i ɗak na. Iya̱m va̱ uza̱ nak ka̱ mpyal wò te, pa̱ o na ishi wò pa̱ kpaktak ká̱ inok aPonzhi-Yesu ka̱ nkpaktak nkam wò ká̱ ìgwak wò. Uchar uga ivan te, nnap ngga apambin va̱ ta̱ i ɗak na, ka̱ asa̱l va̱ o nə̀m kan uɓar wò i fe nchang ká̱ wò.
2e072300ca	N là iya̱m va̱ ta̱ ka̱kul nka̱m-shi wo. Mmami ka̱ nɗa̱t wo pa mwan ka̱t. N ɗom pa̱ ma nə̀m iya̱m ka̱səsa̱l. N ɗom kpa pa̱ ń nak wo o na ishi wo pa̱ kpaktak ká̱ inok aPonzhi-Yesu.
2e07240116	Unəm va̱ ya pa̱ nre uyen ɓyen wò pa̱ kwák ma̱t na ma̱t ka̱kul pa̱ aɗom aga izəzər kam nna kan nkpak iya̱m ro i fa ká̱ ishimshe oza̱ te, re uza̱ a ka̱m na, a yà pa̱ uza̱ ɗuɗom a. Uza̱ a nə̀m iya̱m va uza̱ ɗom. Nka̱m na nnap-mɓá̱ngɓa̱ng ka̱t.
2e072500e9	Unəm va kpaktak nnyi yar chit kəkam ka̱ ashe ìgwak wò kan a sat nkpak á na ka̱t, ka̱kul uza̱ kpán ishi wò kpán kan uza̱ yar chit ka̱ ashe ìgwak wò pa̱ o ka̱m uyen ɓyen wò ka̱t te, ya uza̱ nə̀m ɓiɓyen na kpa.
2e07260092	Ka̱kul nva̱ ta te, unəm va̱ ka̱m uyen ɓyen wò ka̱m te, uza̱ nə̀m dakdak. Unəm va̱ nnyi ka̱m ujiwo ka̱t te, uza̱ nə̀m ɓyen jiji.
2e072700f3	Ivan ká̱ ishimshe achar ku uɓar i fən ka̱t, a yà pa̱ unəm va̱ ta uwa yà ká̱ iriri a. A ya nnyi pa̱ uɓəɓar ku te, uza̱ i ɗom te, uza̱ i ván iya̱m wò. Ka̱ nna kpa te, nkpak pa̱ uza̱ a vang ku unəm va uja aPonzhi-Yesu a.
2e0728008d	Ka̱ atak n ya mi te, uchar va̱ ta a təm iya̱m wò a ɗak ka̱ nván ka̱t. Igugwak i ra i jiji pa. N rən pa̱ nna n yà ka̱ aRuhu Inan.
2e080100a0	Ka̱ apal ishi nnap izhé va̱ ma pà îchər te, i nyinyi pa̱ nkpaktak yi ka̱ nnyi. Nnyi pa te, i nak unəm i yar bal pa mwan. Mma̱n jiwo te, i me onəm me.
2e08020068	Unəm va̱ rən pa̱ o nyi iya̱m ro nyi te, ya uwa nyi iya̱m chit wa nva̱ mal pa̱ uza̱ a nyi ka̱t.
2e08030038	Unəm va̱ ma̱n Inan ma̱n jiwo te, ya Inan nyi na nyi.
2e080400b0	Ka̱kul nva̱ ta te, ka̱ apal ishi nnap nri izhé va̱ ma pà îchər te, i nyinyi pa̱ oga ichər pa te, oza̱ iya̱m ro ka̱t. Inan ikak yà ka̱t. Inan pa̱ izən yà byet.
2e080500ec	Ka̱kul ka̱ ya pa̱ iyá̱m-ngwop va̱ mí wór pa̱ inán na kpa nna yà ka̱ ashe apaɓur, ka̱t te ka̱ ashe apambin wa nva i nyinyi pa̱ iya̱m-ngwop nna yà pa̱ kyak, ka̱ onəm oga nnəm ka̱ onəm pa̱ kyak te, a ɗak yi ka̱t.
2e0806010a	Ka̱ atak yi te, Inan pa̱ izən, uwa uPon. Uwa fa ká̱ iya̱m pa̱ kpaktak. Kang ka̱kul a wà mmayi ka̱ n-yi n-yi kpa. Unəm uga nnəm ka̱ yi pa̱ uzəng. Uwa uYesu Kəristi. Ka̱ atətak na ma nəm nkpaktak iya̱m. Kang ka̱tətak na kpa nna i yà ká̱ iriri.
2e0807013b	Nza̱ unəm nggo ka̱ nnyi va̱ ta ka̱t. Onəm ro ka̱kul pa̱ nnap ichər nná fa oza̱ chit ká̱ ishi ka̱t te, uza̱ i ri apir izhé va̱ ta te, i nə̀m ka̱ oza̱ na izhé iga ngwop ichər. Kan ka̱kul oma kpán ipir nnáp va̱ ta chit kam ka̱t te, i nə̀m ka̱ oza̱ na oza̱ nə̀m nnap-mɓá̱ngɓa̱ng.
2e08080098	Iya̱m-nrì nna i nak yi i ɓa dat ká̱ Inan ka̱t. A yà pa̱ i ri ka̱t te, iya̱m ro yà i lan ka̱t. I riri nnyi te, i mak iya̱m ro ayi ka̱t kpa.
2e080900a7	Ka̱ nna kpa te, re unəm a nə̀m dakdak ka̱ atak nsat ngga nnəm iya̱m pa̱ shat va̱ uza̱ ka̱. Ka̱kul le kan a won a ta̱l iya̱m iga nləp ifan úwuwan ka̱t.
2e080a00c5	Ka̱kul a yà pa̱ unəm va̱ uwa kam chit ka̱t, kan a ya mmaɓu va u nyi ìpir nnàp nyi, ka̱ nri iya̱m-nrì ka̱ nzhi ichər te, ya mmaɓu ka̱ nshar na ka̱ nri iya̱m-nrì ichər ka̱t ɗò?
2e080b0059	Ugənan va̱ kam ka̱t, uwa uKəristi ku ka̱kukul te, uza̱ a zhì ka̱kul nnyi na ɗò?
2e080c00b1	A yà pa̱ o pat ógənang wanta har o nak oza̱ i nə̀m iya̱m va nrən-nnap ngga ikwoksók oza̱ nyám óza̱ ka̱t te, ya mmawó ka̱ nnəm nnap-mɓá̱ngɓa̱ng úKəristi.
2e080d00c1	Nna nak te, a yà pa̱ mi ri izhé kan i nak ugənang i nə̀m nnap-mɓá̱ngɓa̱ng te, mi re nri izhé va̱ ta̱ mbyet mbyet. Ka̱kul kan ma nak na uza̱ a nə̀m nnap-mɓá̱ngɓa̱ng ka̱t.
2e090100bc	Mmami uzwal jem ɗò? Mmami unəm uga nre aKəristi ka̱t ɗò? N ya uYesu Kəristi uPonzhi yi ká̱ iwu ka̱t ɗò? Mmawo na inok va n nə̀m ka̱kul aPonzhi yi uYesu Kəristi ka̱t ɗò?
2e090200d3	A yà pa̱ aɓo onəm yar mi pa̱ unəm uga nre aKəristi ka̱t te, mmawó te, nkpak pa̱ o yar mi pa. Ka̱kul mmawó na o sat wa iya̱m iɓapɓap iga nnyam nnap pa̱ mmami unəm uga nre aPonzhi-Yesu Kəristi a.
2e09030054	Onəm va̱ ɗom pa̱ o kat mi ka̱ nnap te, iya̱m va ta̱ mi là iga nfən ishi mi.
2e0904005e	A mal pa̱ ma na iya̱m-nrì ayi jiyi ka̱kul inok va̱ mmayi ka̱ nnə̀nə̀m ka̱t ɗakɓo?
2e090500bc	Ma dan yi dan ka̱ nkam ochar oga ngwa Inan na a ra nggang nzəng ka̱ yi wa nva̱ uKefas ka̱ aɓoshi onəm oga nre aKəristi ka̱ ogənan aKəristi oga nkpyak ka̱ nnə̀-nə̀m ɗakɓo?
2e09060048	Ka̱t te, mmami na chwat ku uBarnaba ma là pa̱ i ri ka̱ nlim yi ɗò?
2e090700d3	Nza̱ unəm i nə̀m ishozha kan i ri ká̱ ishi wò yà? Nza̱ unəm uga ngwap iram ìba̱ngba̱ng kan i ɗom nfe nchang awuwar ka̱t yà? Nza̱ unəm uga iya̱mkang kan i ɗom nfe nchang mbyal oza̱ ka̱t yà?
2e09080094	Mmami ka̱ nla iya̱m va̱ ta̱ ka̱kul n ya mal ka̱ nrən-nnap anəm pa mwan ɗakɓo? Iya̱m-zəntən va ta nnap-mpakpak Inan ka̱ nla ka̱t ɗò?
2e090900c3	Ka̱kul ma lir ka̱ ashe nnap-mpakpak aMusa pa̱, “Kang wa mwak asang atattat ina ka̱ anung, iga ntong iya̱m pa̱ na ma wòl ka̱t.” Nnap ina iga nnəm inok na chwat a rwa ìgwak Inan ɗò?
2e090a00ed	Nnap-nləla va̱ ta yar yi ji yi ka̱t ɗò? Ma lir mmayi na. A mal pa̱ unəm uga nshan iram va̱ ma suk ɓyen iya̱m, kang unəm uga mpəpək ɓa pə̀k te, nkpak pa̱ oza̱ a nəm inok va̱ ta ka̱ nnyi pa̱ oza̱ i ga nkəkap nzəng.
2e090b0081	Nsuk iya̱m va̱ nnap-nlà ngga iriri te, í suk chit ka̱ ashe wo. A ɓa nfe nchang mməmal chit te, pa̱ kan i fe jiyi ka̱t a?
2e090c0127	A yà pa̱ o ka̱mshi oro o ri ka̱ oza̱ ka̱ ashe inok oza̱ te, ó nəm á yi i jujwak ka̱t ɗò? Ka̱ nna kpa te, í yar atak nsat yi iya̱m ro ka̱t. Í sar ìgwak ka̱ nza̱ apir mɓək anung nggo ka̱ nva̱ pa̱ i nəm iya̱m ro va i dan ngga mpyal nnap-nlà aKəristi ngga nchang nfe a.
2e090d0092	O nyi ka̱t ɗò? O nyinyi pa̱ onəm oga nnəm inok ka̱ ashe Nzhi Inan nchumchum i ri ka̱ nna. Onəm oga nshi iya̱m awop i ri ka̱ nna na kpa.
2e090e0067	wantana kpa uPonzhi-Yesu là pa̱ onəm oga nra nggang i là nnap-nləla ngga nchang nfe a ri ka̱ nna.
2e090f00d7	Ka̱ nna kpa te, n yar nva̱ ta iya̱m ro ka̱t. Mmami ka̱ nlir iya̱m va̱ ta̱ na o ɓut iya̱m ro á mi ka̱t. Kapkap pa̱ n kú ka̱ ayang ka̱ nva̱ pa̱ unəm ro a nəm iya̱m ro á mi na a dang mi ka̱ ngok.
2e091000de	Mi yà ká̱ ngok ká̱ nla nnap-nlà aKəristi ngga nchang nfe ka̱t. Ka̱kul inok va̱ ta ma nak mi nak ka̱. A yà pa̱ mà yang ka̱ nlà nnap-nlà aKəristi ngga nchang nfe ónəm te, iya̱m iga ngga aɗor ka̱kul mi.
2e091100c4	Ka̱ ya pa̱ mmami ka̱ nnənəm ka̱ nɗom mi te, ya ma ka̱ mwa mi. A ya nnyi pa̱ mmami ka̱ nnənəm ka̱ nɗom mi ka̱t te, ya mmami ka̱ nnəm iya̱m va ma nak nɗəkɗək á mi chit ka̱wo.
2e091200fe	Chit te, nza̱ amwa mmami ka̱ yà? Iya̱m va̱ chàng ka̱ mi te, nna pa̱ mmami ka̱ nla nnap-nlà aKəristi ngga nchang nfe ká̱ imwa. A nak te, atak nsat va̱ mmami ka̱ ka̱kul pa̱ mmami unəm uga nla nnap-nlà Inan te, n yar pa̱ iya̱m ro ka̱t.
2e091300bf	Kap ka̱ nva̱ pa̱ mmami uzwal anəm ro ka̱t, kan pa̱ mmami ka̱ akum anəm ro ka̱t kpa te, ń nak ishi mi n ta̱l uzwal a nza̱ unəm nggo na n nak onəm pa̱ kyák a ɓa atak aKəristi.
2e09140158	Mi ga atak oYahudi te, mi nəm wa aYahudi na ń nak oYahudi a tong oji aKəristi. Ka̱ atak onəm va̱ nkpak nnap-mpakpak aMusa nna i nəm ka̱ oza̱ te, ń nəm wa anəm va nkpak nnap-mpakpak aMusa i nəm ka̱ na. Nnandər te, nnap nkpak nnap-mpakpak aMusa yar mi jem ka̱t. N nə̀m ka̱kul na ń nak oro ka̱ ashe oza̱ a tong oja aKəristi.
2e0915018b	Ka̱ atak onəm va̱ iya̱m ro yar oza̱ ka̱ nkpak nnap-mpakpak aMusa ka̱t pa̱ wat te, mi təm wa anəm va iya̱m ro yà gwang na ka̱ nnap nkpak nnap-mpakpak aMusa ka̱t. Ko pa̱ ɗa̱p mmami ka̱ nla pa̱ iya̱m ro yar mi ka̱ nnap-mpakpak Inan ka̱t ɗò ka̱t. Mmami pa te, nnap-mpakpak aKəristi ka̱ nnəm ka̱ mi. Mmami ka̱ nnəm pa na ń nak oro ka̱ ashe oza̱ a tong oja aKəristi.
2e091600d5	Ka̱ atak onəm va̱ kam ka̱t te, n nəm wa anəm va kam ka̱t na kpa na ń nak oza̱ a tong oja aKəristi. Mmami ka̱ nnəm ńkpaktak onəm na ka̱ ka̱ nza̱ asa̱l-awu nggo te, ń nak oro a tong oja aKəristi.
2e091700a3	N nə̀m nkpaktak iya̱m va̱ ta̱ ka̱kul mɓa ka̱ ngga mpyal nnap-nlà aKəristi ngga nchang nfe na ń fe nchang nnap nnəna̱n nəna̱n nzəng ka̱ aɓo onəm.
2e091800c6	O nyi ka̱t ɗò? O nyi pa̱ ka̱ ashe onəm oga nchəng nchəng ngga mma nkələk te, pa̱ uzəng wa byet i yà imwa ka̱t ɗò? Ka̱kul nva̱ ta te, o chəng apir nchəng va i nak wo o ka̱m imwa.
2e091900da	Unəm va pa̱ kpaktak ɗom mma nkələk te, uza̱ i kpán ishi wò pa̱ dakdak ka̱kul nya azang achipchip aga mpá ka̱ ishi va imwa a. Iya̱m va̱ ta i təm mbyet ka̱t. Mmayi te, a ji yi azang va i təm mbyet mbyet.
2e091a008f	A nak te, mmami ka̱ nchə̀r wa anəm uga nchə̀r nchə̀r ngga atak alakchi ka̱t. Mmami ka̱ nlung wa anəm uga nnə́m atak alakchi ka̱t.
2e091b008c	Mmami ka̱ nnuk izər mi ka̱kul na a nyi mi. Ka̱kul kang ka̱ nva̱ngva̱ mà là nnap-nlà Inan ônəm chit te, kang mma mandar mi ka̱t.
2e0a01006b	Ógənang, n ɗom wo pa̱ o nyi pa̱ okəka yi ka̱ chen ka̱vən ilulu. Nkpaktak oza̱ pa̱n iwa va̱ kpa.
2e0a020086	Ka̱ atak nchen ka̱vən ilulu ka̱ mpa̱n iwa va̱ oza̱ pa̱n te, ma nə̀m abaptisima óza̱ chit pa̱ onəm oga nyar nva̱n aMusa.
2e0a030038	Nkpaktak oza̱ ri iya̱m-nrì va̱ ri fa ka̱ atak Inan.
2e0a040097	Oza̱ wá ndəng va̱ wá fa ka̱ atak Inan kpa. Ka̱kul oza̱ wá ndəng ipang Inan va̱ wá ka̱ ga nzəng ka̱ oza̱ a. Ipang va̱ ta uwa uKəristi.
2e0a050079	Ka̱ nna kpa te, Inan fe nchang ka̱ mmakmak oza̱ ka̱t. A nak te, oza̱ ku, akum oza̱ zal pa̱ kpakpa ka̱ ashe anyin.
2e0a060092	Iya̱m va̱ ta̱ pa̱ kpaktak ka̱kul nɗyang ìpir nnàp ayi, na a ɗa̱t yi ka̱ nna ishi yi ka̱ nɗom iya̱m ina wa nva̱ oza̱ ka̱ nə̀m a.
2e0a0700fc	Kan o tong onəm oga ngwop ichər wa nva̱ oro ka̱ ashe oza̱ ka̱ yà ka̱t. Ma lir ka̱ ashe nnap-nlà Inan pa̱, “Onəm va̱ ta təm ri iya̱m iriri. Oza̱ wá iya̱m iwawa ka̱ te, oza̱ won gba̱p nza̱m nzəng ka̱ nnəm iya̱m pa̱ kpakpa.”
2e0a0800bc	Kan i nə̀m mmai ngga ilakchi wa nva̱ oro ka̱ ashe oza̱ nə̀m ka̱t. Har a nak te, iyə́l onəm ikalong ìsəm parəm ka̱ ama̱n pa̱ shaɗən tak ka̱ mbin ku ká̱ nda nzəngtən.
2e0a09005d	Kan i mà Inan wa nva̱ oro ka̱ ashe oza̱ ka̱ nə̀m ka̱t. A nak te, izwá kyen oza̱ ku.
2e0a0a0084	Kan ma fe nlwan nnap ka̱ anung wo wa nva̱ oro ka̱ ashe oza̱ ka̱ lwan ka̱t. Ka̱kukul na umaleka uga nzhì onəm gbá̱n oza̱.
2e0a0b00b4	Iya̱m va̱ ta̱ pa̱ kpaktak ka̱kul nɗyang nnap ayi. Ma lir oza̱ na ma won yi. Mmayi na onəm va iya̱m va̱ ma pak inok nləla chit pa̱ i ga nfa te, na i ya ka̱ ashe nra yi.
2e0a0c008c	Ka̱kul nva̱ ta te, unəm va̱ rən pa̱ ka̱ nva̱ mmawò ka̱səsa̱l ka̱t, o sat kəkam te, re uza̱ a nə̀m dakdak le kan uza̱ a ru.
2e0a0d0117	Mmà ro yà nva ka̱ nya wo pa̱ ɗi ka̱ nva̱ ka̱ nya aɓoshi onəm ka̱t. Inan pa te, unəm uga n-yə́l nsar nnap-nlà. Uza̱ i re mí mà yi i watar atak n-yi yi ka̱t. Ka̱ ashe mmà va kpaktak i ya wo te, uza̱ i bol asa̱l aga nnəm igwan awo va i nak wo o ka̱r ìgwak.
2e0a0e0047	Ka̱kul nva̱ ta te, ónəm mi oma̱nma̱n o gba̱ng ka̱ ngwop ichər.
2e0a0f007c	Mmami ka̱ nla nnap ka̱ onəm va nnap nnəm oza̱ ɓuɓut. Re o va̱n nnandər iya̱m va̱ mmami ka̱ nləla ká̱ ishi wo.
2e0a100131	Í na aɗəngchi ka̱kul ndəng ìba̱ngba̱ng va̱ kan í wá te, ya mmayi ka̱nun-zəntən ka̱ nka̱m nnap nnəna̱n va ikú aKəristi ka̱ mɓa ka̱ ka̱t ɗò? Nzənkən va̱ í ri nva izər aKəristi te, a nyám chit pa̱ mmayi ka̱ nka̱m nnap nnəna̱n va ikú aKəristi ka̱ mɓa ka̱ ka̱t ɗò?
2e0a11005c	Ka̱kul mmayi pa̱ kyak kan pa̱ i ri nzəngkəng nzəngtən te, ya mmayi izər izəngtəng.
2e0a1200ce	O dər oIsa̱rila oga nnap nnəm va̱ ta̱. Iya̱m ipápà Inan va̱ mí shi kan onəm oga nshishi i ri kpa te, a nyám pa̱ oza̱ ka̱ ntəm nzəng ku unəm va̱ ma shi iya̱m va̱ ta ka̱kukul ka̱t ɗò?
2e0a13006b	Mmami ka̱ nla pa̱ iya̱m ipápà îchər nnap na kpa ɗò? Ka̱t te, pa̱ ichər pa te, nnap na kpa ɗò?
2e0a1400bd	Ko pa̱ ɗa̱p. Iya̱m ipápà va̱ onəm oga afa̱p i shi te, oza̱ i shi Inan ka̱t, oza̱ i shi áruhu ɓá̱ngɓa̱ng. N ɗom wo pa̱ o təm ntəm inal ka̱ aruhu-ɓá̱ngɓa̱ng ka̱t.
2e0a1500df	O wá ndəng ìba̱ngba̱ng ngga nrəng ikú aPonzhi-Yesu te, kan o wá ndəng ìba̱ngba̱ng aruhu-ɓá̱ngɓa̱ng kpa ka̱t. O ri nzəngkəng ngga nrəng ikú aPonzhi-Yesu te, kan o ri nja aruhu-ɓá̱ngɓa̱ng kpa ka̱t.
2e0a16005b	Mmayi ka̱ nɗak pa̱ na i nak ìkpar a nə̀m uPonzhi-Yesu ɗakɓo? I kam i ji na ji ɗò?
2e0a1700e4	Onəm i là pa̱, “Ma məma̱n pa̱ ma nə̀m nza̱ iya̱m nggo.” Ka̱ nna kpa te, nza̱ iya̱m nggo ka̱ nka̱mshi ka̱t. “Ma məma̱n pa̱ ma nə̀m nza̱ iya̱m nggo.” Ka̱ nna kpa te, nza̱ iya̱m nggo i me yi ka̱t.
2e0a180065	Kan unəm ro ka̱ ashe wo a nakshi ká̱ ishi wò na chwat ka̱t. Re uza̱ a nakshi nak ka̱ oro kpa.
2e0a190066	O ri nza̱ apir izhé iga nyap ka̱ ashe akasuwa nzəng ka̱ n ɓəp nnap ro pa̱ mə̀mà ɗò ka̱t?
2e0a1a004c	Ka̱kul, “Apal mbin ká̱ iya̱m iga ashishe pa̱ kpaktak te, iji Inan.”
2e0a1b00c7	A yà pa̱ unəm va̱ wa Inan ka̱t, a wór ɓu ka̱ nri iya̱m-nrì kan u ɗom ngga ɗom te, ga ri iya̱m va pa̱ kpaktak uza̱ cher aɓu. Wa ri nzəng ka̱ n ɓəp nnap ro pa̱ mə̀mà ɗò ka̱t?
2e0a1c00b3	A ya nnyi pa̱ unəm ro a là aɓu pa̱, “N-yan va̱ ta̱ te, ma pà îchər.” Te, kang wa ri ka̱t. Re ka̱kul anəm uga nla aɓu, ka̱kul nva̱ pa̱ igugwak ra ka̱ ka̱t a.
2e0a1d00a0	Mmami ka̱ nla nnap nra ìgwak anəm uzəngtəng va. Mmami ka̱ nla mmaɓu ka̱t. Ka̱kul iza̱ i nak kang nrəng nnap anəm ro i dan mi ka̱ nnəm nnap mi yà?
2e0a1e00a0	A yà pa̱ n ri apir iya̱m va̱ ta nzəng ka̱ nna aɗəngchi íNan te, iza̱ i nak kan mí vyap mi ka̱kul iya̱m va n na aɗəngchi íNan chit ka̱kukul yà?
2e0a1f00a0	Ka̱kul nva̱ ta te, a yà pa̱ o ri iya̱m-nrì, ka̱t te o wa iya̱m ro, ka̱t te iya̱m va pa̱ kpaktak o nə̀m te, re o nə̀m ka̱kul nna ichumchum íNan.
2e0a2000a2	Kan o ma̱n o nak unəm ro a ləp ifan ka̱t. Ko uza̱ a yà uYahudi, ka̱t te uHeleni, ka̱t te unəm uga ashe ikilisiya Inan te, kan o nak na a ləp ifan ka̱t.
2e0a210103	O nə̀m wa nva mmami ka̱ nnə̀nə̀m. O ɗak na o nak nza̱ unəm nggo te, uza̱ a fe nchang wo. Ka̱kul mmami ka̱ nnəm iya̱m iga nfe nchang íshi mi na chwat ka̱t. Mi nə̀m ka̱kul na onəm pa̱ makmak a fe nchang na oza̱ a ya iriri iga mbyet mbyet.
2e0b010048	O ɗyang nnap nnəm mi wa nva mmami ka̱ nɗyang nnap nnəm aKəristi a.
2e0b0200d1	N ɗəngchi wo ka̱kul o kong ka̱ mi ka̱t. O rəng mi rəng ka̱ ashe iya̱m pa̱ kpaktak. Mmawo ka̱ nkpak iya̱m va̱ n ɗyang awo. O swang le awo ka̱ cho ka̱t. Mmawo ka̱ nkpəkpak wa nva n yichi awo a.
2e0b0300af	ká̱ nnà te, n ɗom wo pa̱ o nyi pa̱ uKəristi uwa ka̱ apal ishi a nza̱ ununggwan nggo. Ununggwan uwa ka̱ apal ishi achar. Inan nnyi te, uza̱ ka̱ apal ishi aKəristi.
2e0b0400af	Ununggwan va kpaktak ka̱ nnəm aduwa, ka̱t te ka̱ nla nnap-nlà va uza̱ ka̱m ka̱ atak Inan kan uza̱ dan ishi te, ya uza̱ na ichumchum únəm va̱ i nəm ka̱ na ka̱t.
2e0b0500e4	Uchar va̱ nnyi ka̱ nnəm aduwa, ka̱t te ka̱ nla nnap-nlà va uza̱ ka̱m ka̱ atak Inan kan uza̱ dan ishi ka̱t te, ya uza̱ na ichumchum úɓar wò ka̱t. Uza̱ dan ishi ka̱t te, ya a ɗongɗong ká̱ ishi igbatən ka̱t.
2e0b0600af	A yà pa̱ uchar yan ka̱ ndan ishi te, ya uza̱ a kpat a le. A yà pa̱ iya̱m iga ìwuswa pa̱ uchar a kpat ishi, ka̱t te a kpán a ya igbatən te, ya uza̱ a dan ishi wò.
2e0b07006d	A mà pa̱ ununggwan a dan ishi wò ka̱t. Ka̱kul uza̱ ala̱ka̱n Inan ká̱ ichumchum chumchum iga iɓyen.
2e0b080032	Uchar nnyi te, uwa ichumchum iga iɓyen anunggwan.
2e0b090050	Ma nə̀m ununggwan ka̱kul achar ka̱t. Uchar wa ma nə̀m ka̱kul anunggwan a.
2e0b0a008b	Ka̱kul nva̱ ta te, a mà pa̱ uchar a dan ishi na a nyám pa̱ uza̱ ka̱ akum anunggwan. Ka̱kul le kan a ra̱m oma̱leka ka̱ na ka̱t.
2e0b0b00c7	Ka̱ nna kpa te, ka̱ ashe aPonzhi-Yesu te, uchar ká̱ ishi wò iya̱m ro yar ununggwan ka̱ na ka̱t ɗò ka̱t. Ununggwan nnyi te uza̱ ká̱ ishi wò iya̱m ro yar uchar ka̱ na ka̱t ɗò ka̱t.
2e0b0c008b	Ka̱kul wa nva ma nə̀m uchar ka̱ atak anunggwan te, wa nnà ta kpa uchar a mar ununggwan. Nna kan iya̱m pa̱ kpaktak te, Inan a nə̀m.
2e0b0d006f	O va̱n iya̱m va ɓyen ji ká̱ ishi wo. A ɓiɓyen pa̱ uchar a nə̀m aduwa íNan uza̱ dan ishi ka̱t ɗò?
2e0b0e008b	Ka̱ apal ntəm ngga apambin na pa mwan ká̱ ishi wò te, a yà pa̱ ununggwan i re akpap-shi wò a wan te, iya̱m iga ìwuswa ka̱t ɗò?
2e0b0f0091	Uchar kan a re akpap-shi wò wan te, iya̱m va uza̱ i lan ka̱ ka̱t ɗò? Ka̱kul ma na akpap-shi awangwan á na ka̱ɗor iya̱m iga ndan ishi.
2e0b1000b7	A yà pa̱ unəm ro ɗom ndap atam ka̱ apal ishi nnap va̱ ta̱ te, iya̱m ro yà va í là pa̱ ma nə̀m pa̱ ɗi ka̱t. Íkílísiya Inan yà ká̱ iya̱m ro pa̱ o là ka̱t kpa.
2e0b1100d1	Ka̱pal-ishi iya̱m va̱ mi là awo ta̱ te, n ɗəngchi awo ka̱ pa̱ ɗa̱p ka̱t. Ka̱kul mɓut ka̱kul awop ka̱mshi wo ka̱ pa̱ ɗa̱p ka̱t. Nva̱ pa̱ a ka̱mshi wo te, a ta̱l njwak nnap ka̱ atak wo.
2e0b120080	Ngəshi te, n fe pa̱ o ɓut ka̱kul awop te, o kap izər. N nəm pa̱ ka̱ m məma̱n ká̱ iya̱m va̱ n fe ka̱ apal ishi wo.
2e0b130074	Akwam ka̱t te, nkpak pa̱ nkap izər a yà na a nyám ka̱ mban unəm va̱ Inan ma̱n ka̱ na ma̱n ka̱ ashe wo a.
2e0b140073	O ɓut ka̱ atak-zəntən ka̱kul nri iya̱m-nrì te, iya̱m-nrì iga nrəng ikú aPonzhi-Yesu na ó ri ka̱t ɗò?
2e0b15008c	Nna kan oro i ri i lok owan oza̱ ka̱t. Ma ka̱ nri iya̱m na te, uro ayan ka̱ nji na. Uro nnyi te, uza̱ wa chit, uza̱ ka̱ nra̱n ka̱.
2e0b160116	O yà ka̱ nzhí pa̱ o ri iya̱m ka̱ ka̱t ɗò? Ka̱t te, o ɗom nnak inəm íkilisiya Inan na ka̱t, nzəng ka̱ nna ìwuswa ónəm va̱ yà ká̱ iya̱m ro ka̱t ɗò? Iza̱ o ɗom pa̱ ń là awo yà? O ɗom pa̱ ń ɗəngchi wo ɗò? Ko pa̱ ɗa̱p mi ɗəngchi wo ka̱t.
