0100000012	पैदाइश
37020600ac	जो किसान मेहनत करता है, पैदावार का हिस्सा पहले उसी को मिलना चाहिए।
37020700c0	जो मैं कहता हूँ उस पर ग़ौर कर क्यूँकि ख़ुदावन्द तुझे सब बातों की समझ देगा।
3702080101	'ईसा मसीह को याद रख जो मुर्दों में से जी उठा है और दाऊद की नस्ल से है मेरी उस ख़ुशख़बरी के मुवाफ़िक़।
37020900e8	जिसके लिए मैं बदकार की तरह दुःख उठाता हूँ यहाँ तक कि क़ैद हूँ मगर ख़ुदा का कलाम क़ैद नहीं।
37020a012d	इसी वजह से मैं नेक लोगों की ख़ातिर सब कुछ सहता हूँ ताकि वो भी उस नजात को जो मसीह 'ईसा में है अबदी जलाल समेत हासिल करें।
37020b0095	ये बात सच है कि जब हम उस के साथ मर गए तो उस के साथ जिएँगे भी।
37020c010e	अगर हम दु: ख सहेंगे तो उस के साथ बादशाही भी करेंगे अगर हम उसका इन्कार करेंगे; तो वो भी हमारा इन्कार करेगा।
37020d00e8	अगर हम बेवफ़ा हो जाएँगे तो भी वो वफ़ादार रहेगा, क्यूँकि वो अपने आप का इन्कार नहीं कर सकता।
37020e015e	ये बातें उन्हें याद दिला और ख़ुदावन्द के सामने नसीहत कर के लफ़्ज़ी तकरार न करें जिस से कुछ हासिल नहीं बल्कि सुनने वाले बिगड़ जाते हैं।
37020f0198	अपने आपको ख़ुदा के सामने मक़बूल और ऐसे काम करने वाले की तरह पेश करने की कोशिश कर; जिसको शर्मिन्दा होना न पड़े, और जो हक़ के कलाम को दुरुस्ती से काम में लाता हो।
37021000da	लेकिन बेकार बातों से परहेज़ कर क्यूँकि ऐसे शख़्स और भी बेदीनी में तरक़्क़ी करेंगे।
37021100d9	और उन का कलाम सड़े घाव की तरह फैलता चला जाएगा; हुमिनयुस और फ़िलेतुस उन ही में से हैं।
37021200d8	वो ये कह कर कि क़यामत हो चुकी है; हक़ से गुमराह हो गए हैं और कुछ का ईमान बिगाड़ते हैं।
3702130192	तो भी ख़ुदा की मज़बूत बुनियाद क़ाईम रहती है और उस पर ये मुहर है, “ख़ुदावन्द अपनों को पहचानता है,” और “जो कोई ख़ुदावन्द का नाम लेता है नारास्ती से बाज़ रहे।”
3702140127	बड़े घर में न सिर्फ़ सोने चाँदी ही के बरतन होते हैं बल्कि लकड़ी और मिट्टी के भी कुछ 'इज़्ज़त और कुछ ज़िल्लत के लिए।
3702150166	पस, जो कोई इन से अलग होकर अपने आप को पाक करेगा वो 'इज़्ज़त का बरतन और मुक़द्दस बनेगा और मालिक के काम के लायक़ और हर नेक काम के लिए तैयार होगा।
3702160164	जवानी की ख़्वाहिशों से भाग और जो पाक दिल के साथ ख़ुदावन्द से दुआ करते हैं; उन के साथ रास्तबाज़ी और ईमान और मुहब्बत और मेलमिलाप की चाहत हो।
3702170107	लेकिन बेवक़ूफ़ी और नादानी की हुज्जतों से किनारा कर क्यूँकि तू जानता है; कि उन से झगड़े पैदा होते हैं।
3702180113	और मुनासिब नहीं कि ख़ुदावन्द का बन्दा झगड़ा करे बल्कि सब के साथ रहम करे और ता'लीम देने के लायक़ और हलीम हो।
370219010b	और मुख़ालिफ़ों को हलीमी से सिखाया करे शायद ख़ुदा उन्हें तौबा की तौफ़ीक़ बख़्शे ताकि वो हक़ को पहचानें
37021a00e4	और ख़ुदावन्द के बन्दे के हाथ से ख़ुदा की मर्ज़ी के क़ैदी हो कर इब्लीस के फन्दे से छूटें।
3703010088	लेकिन ये जान रख कि आख़िरी ज़माने में बुरे दिन आएँगे।
3703020106	क्यूँकि आदमी ख़ुदग़र्ज़ एहसान फ़रामोश, शेख़ीबाज़, मग़रूर बदग़ो, माँ बाप का नाफ़रमान' नाशुक्र, नापाक,
37030300de	ज़ाती मुहब्बत से ख़ाली संगदिल तोहमत लगानेवाले बेज़ब्त तुन्द मिज़ाज नेकी के दुश्मन।
37030400f3	दग़ाबाज़, ढीठ, घमण्ड करने वाले, ख़ुदा की निस्बत ऐश — ओ — अशरत को ज़्यादा दोस्त रखने वाले होंगे।
37030500c7	वो दीनदारी का दिखावा तो रखेंगे मगर उस पर अमल न करेंगे ऐसों से भी किनारा करना।
370306019c	इन ही में से वो लोग हैं जो घरों में दबे पाँव घुस आते हैं और उन बद चलन 'औरतों को क़ाबू कर लेते हैं जो गुनाहों में दबी हुई हैं और तरह तरह की ख़्वाहिशों के बस में हैं।
37030700b4	और हमेशा ता'लीम पाती रहती हैं मगर हक़ की पहचान उन तक कभी नहीं पहुँचती।
3703080162	और जिस तरह के यत्रेस और यम्ब्रेस ने मूसा की मुख़ालिफ़त की थी ये ऐसे आदमी हैं जिनकी अक़्ल बिगड़ी हुई है और वो ईमान के ऐ'तिबार से ख़ाली हैं।
3703090118	मगर इस से ज़्यादा न बढ़ सकेंगे इस वास्ते कि इन की नादानी सब आदमियों पर ज़ाहिर हो जाएगी जैसे उन की भी हो गई थी।
37030a010d	लेकिन तू ने ता'लीम, चाल चलन, इरादा, ईमान, तहम्मील, मुहब्बत, सब्र, सताए जाने और दु: ख उठाने में मेरी पैरवी की।
37030b0195	या'नी ऐसे दु: खों में जो अन्ताकिया और इकुनियुस और लुस्तरा शहरों में मुझ पर पड़े दीगर दु: खों में भी जो मैने उठाए हैं मगर ख़ुदावन्द ने मुझे उन सब से छुड़ा लिया।
37030c00e4	बल्कि जितने मसीह ईसा में दीनदारी के साथ ज़िन्दगी गुज़ारना चाहते हैं वो सब सताए जाएँगे।
37030d00c1	और बुरे और धोखेबाज़ आदमी फ़रेब देते और फ़रेब खाते हुए बिगड़ते चले जाएँगे।
37030e0143	मगर तू उन बातों पर जो तू ने सीखी थीं, और जिनका यक़ीन तुझे दिलाया गया था, ये जान कर क़ाईम रह कि तू ने उन्हें किन लोगों से सीखा था।
37030f0139	और तू बचपन से उन पाक नविश्तों से वाक़िफ़ है, जो तुझे मसीह 'ईसा पर ईमान लाने से नजात हासिल करने के लिए दानाई बख़्श सकते हैं।
3703100139	हर एक सहीफ़ा जो ख़ुदा के इल्हाम से है ता'लीम और इल्ज़ाम और इस्लाह और रास्तबाज़ी में तरबियत करने के लिए फ़ाइदे मन्द भी है।
37031100ba	ताकि मर्दे ख़ुदा कामिल बने और हर एक नेक काम के लिए बिल्कुल तैयार हो जाए।
370401015c	ख़ुदा और मसीह 'ईसा को जो ज़िन्दों और मुर्दों की अदालत करेगा; गवाह करके और उस के ज़हूर और बादशाही को याद दिला कर मैं तुझे नसीहत करता हूँ।
3704020128	कि तू कलाम की मनादी कर वक़्त और बे वक़्त मुस्त'इद रह, हर तरह के तहम्मील और ता'लीम के साथ समझा दे और मलामत और नसीहत कर।
370403018e	क्यूँकि ऐसा वक़्त आएगा कि लोग सही ता'लीम की बर्दाश्त न करेंगे; बल्कि कानों की खुजली के ज़रिए अपनी अपनी ख़्वाहिशों के मुवाफ़िक़ बहुत से उस्ताद बना लेंगे।
37040400af	और अपने कानों को हक़ की तरफ़ से फ़ेर कर कहानियों पर मुतवज्जह होंगे।
37040500de	मगर तू सब बातों में होशियार रह, दु: ख उठा बशारत का काम अन्जाम दे अपनी ख़िदमत को पूरा कर।
37040600b4	क्यूँकि मैं अब क़ुर्बान हो रहा हूँ, और मेरे जाने का वक़्त आ पहुँचा है।
37040700da	मैं अच्छी कुश्ती लड़ चुका, मैंने दौड़ को ख़त्म कर लिया, मैंने ईमान को महफ़ूज़ रख्खा।
37040801d4	आइन्दा के लिए मेरे वास्ते रास्तबाज़ी का वो ताज रखा हुआ है, जो आदिल मुन्सिफ़ या'नी ख़ुदावन्द मुझे उस दिन देगा और सिर्फ़ मुझे ही नहीं बल्कि उन सब को भी जो उस के ज़हूर के आरज़ूमन्द हों।
370409004e	मेरे पास जल्द आने की कोशिश कर।
37040a0190	क्यूँकि देमास ने इस मौजूदा जहान को पसन्द करके मुझे छोड़ दिया और थिस्सलुनीकियों के शहर को चला गया और क्रेसकेन्स ग़लतिया सूबे को और तितुस दलमतिया सूबे को।
37040b00e2	सिर्फ़ लूक़ा मेरे पास है मरकुस को साथ लेकर आजा; क्यूँकि ख़िदमत के लिए वो मेरे काम का है।
37040c0067	तुख़िकुस को में ने इफ़िसुस भेज दिया है।
37040d011d	जो चोग़ा में त्रोआस में करपुस के यहाँ छोड़ आया हूँ जब तू आए तो वो और किताबें ख़ास कर रक़्क़ के तुमार लेता आइये।
37040e00f0	सिकन्दर ठठेरे ने मुझ से बहुत बुराइयां कीं ख़ुदावन्द उसे उसके कामों के मुवाफ़िक़ बदला देगा।
37040f00ba	उस से तू भी ख़बरदार रह, क्यूँकि उस ने हमारी बातों की बड़ी मुख़ालिफ़त की।
3704100130	मेरी पहली जवाबदेही के वक़्त किसी ने मेरा साथ न दिया; बल्कि सब ने मुझे छोड़ दिया क़ाश कि उन्हें इसका हिसाब देना न पड़े।
370411019f	मगर ख़ुदावन्द मेरा मददगार था, और उस ने मुझे ताक़त बख़्शी ताकि मेरे ज़रिए पैग़ाम की पूरी मनादी हो जाए और सब ग़ैर क़ौमें सुन लें और मैं शेर के मुँह से छुड़ाया गया।
3704120160	ख़ुदावन्द मुझे हर एक बुरे काम से छुड़ाएगा और अपनी आसमानी बादशाही में सही सलामत पहुँचा देगा उसकी बड़ाई हमेशा से हमेशा तक होती रहे आमीन।
370413009d	प्रिस्का और अक्विला से और अनेसफ़ुरुस के ख़ानदान से सलाम कह।
37041400e0	इरास्तुस कुरिन्थुस शहर में रहा, और त्रुफ़िमुस को मैंने मीलेतुस टापू में बीमार छोड़ा।
370415011f	जाड़ों से पहले मेरे पास आ जाने की कोशिश कर यूबूलुस और पूदेंस और लीनुस और क्लोदिया और सब भाई तुझे सलाम कहते हैं।
3704160088	ख़ुदावन्द तेरी रूह के साथ रहे तुम पर फ़ज़ल होता रहे।
380000000f	तीतुस
3801010197	पौलुस की तरफ़ से तीतुस को ख़त, जो ख़ुदा का बन्दा और 'ईसा मसीह का रसूल है। ख़ुदा के बरगुज़ीदों के ईमान और उस हक़ की पहचान के मुताबिक़ जो दीनदारी के मुताबिक़ है।
38010200f3	उस हमेशा की ज़िन्दगी की उम्मीद पर जिसका वा'दा शुरू ही से ख़ुदा ने किया है जो झूठ नहीं बोल सकता।
3801030109	और उस ने मुनासिब वक़्तों पर अपने कलाम को जो हमारे मुन्जी ख़ुदा के हुक्म के मुताबिक़ मेरे सुपुर्द हुआ।
3801040166	ईमान की शिरकत के रूह से सच्चे फ़र्ज़न्द तितुस के नाम फ़ज़ल और इत्मीनान ख़ुदा बाप और हमारे मुन्जी 'ईसा मसीह की तरफ़ से तुझे हासिल होता रहे।
380105016c	मैंने तुझे करेते में इस लिए छोड़ा था, कि तू बक़िया बातों को दुरुस्त करे और मेरे हुक्म के मुताबिक़ शहर बा शहर ऐसे बुज़ुर्गों को मुक़र्रर करे।
380106010d	जो बे इल्ज़ाम और एक एक बीवी के शौहर हों और उन के बच्चे ईमान्दार और बदचलनी और सरकशी के इल्ज़ाम से पाक हों।
38010701bd	क्यूँकि निगहबान को ख़ुदा का मुख़्तार होने की वजह से बेइल्ज़ाम होना चाहिए; न ख़ुदराय हो न ग़ुस्सावर, न नशे में ग़ुल मचानेवाला, न मार पीट करने वाला और न नाजायज़ नफ़े का लालची;
38010800de	बल्कि मुसाफ़िर परवर, ख़ैर दोस्त, परहेज़गार, मुन्सिफ़ मिज़ाज, पाक और सब्र करने वाला हो;
380109014a	और ईमान के कलाम पर जो इस ता'लीम के मुवाफ़िक़ है क़ाईम हो ताकि सही ता'लीम के साथ नसीहत भी कर सके और मुख़ालिफ़ों को क़ायल भी कर सके।
38010a00f4	क्यूँकि बहुत से लोग सरकश और बेहूदा गो और दग़ाबाज़ हैं ख़ासकर ईमानदार यहूदी मख़्तूनों में से।
38010b010e	इन का मुँह बन्द करना चाहिए ये लोग नाजायज़ नफ़े की ख़ातिर नशाइस्ता बातें सीखकर घर के घर तबाह कर देते हैं।
38010c0113	उन ही में से एक शख़्स ने कहा है, जो ख़ास उन का नबी था “करेती हमेशा झूठे, मूज़ी जानवर, वादा ख़िलाफ़ होते हैं।”
38010d00c5	ये गवाही सच है, पस, उन्हें सख़्त मलामत किया कर ताकि उन का ईमान दुरुस्त होजाए।
38010e00f8	और वो यहूदियों की कहानियों और उन आदमियों के हुक्मों पर तवज्जह न करें, जो हक़ से गुमराह होते हैं।
38010f0164	पाक लोगों के लिए सब चीज़ें पाक हैं, मगर गुनाह आलूदा और बेईमान लोगों के लिए कुछ भी पाक नहीं, बल्कि उन की 'अक़्ल और दिल दोनों गुनाह आलूदा हैं।
380110016a	वो ख़ुदा की पहचान का दा'वा तो करते है, मगर अपने कामों से उसका इन्कार करते हैं क्यूँकि वो मकरूह और नाफ़रमान हैं, और किसी नेक काम के काबिल नहीं।
3802010084	और तू वो बातें बयान कर जो सही ता'लीम के मुनासिब हैं।
3802020105	या'नी ये कि बूढ़े मर्द परहेज़गार, सन्जीदा और मुहाबती हों और उन का ईमान और मुहब्बत और सब्र दुरुस्त हो।
380203016c	इसी तरह बूढ़ी 'औरतों की भी वज़'अ मुक़द्दसों सी हों, इल्ज़ाम लगाने वाली और ज़्यादा मय पीने में मशग़ूल न हों, बल्कि अच्छी बातें सिखाने वाली हों;
38020400c7	ताकि जवान 'औरतों को सिखाएँ कि अपने शौहरों को प्यार करें बच्चों को प्यार करें;
380205014c	और परहेज़गार और पाक दामन और घर का कारोबार करने वाली, और मेहरबान हों अपने और अपने शौहर के ताबे रहें, ताकि ख़ुदा का कलाम बदनाम न हो।
380206008e	जवान आदमियों को भी इसी तरह नसीहत कर कि परहेज़गार बनें।
38020700ce	सब बातों में अपने आप को नेक कामों का नमूना बना तेरी ता'लीम में सफ़ाई और सन्जीदगी
3802080124	और ऐसी सेहत कलामी पाई जाए जो मलामत के लायक़ न हो ताकि मुख़ालिफ़ हम पर 'ऐब लगाने की कोई वजह न पाकर शर्मिन्दा होजाए।
380209012c	नौकरों को नसीहत कर कि अपने मालिकों के ताबे' रहें और सब बातों में उन्हें ख़ुश रखें, और उनके हुक्म से कुछ इन्कार न करें,
38020a014e	चोरी चालाकी न करें बल्कि हर तरह की ईमानदारी अच्छी तरह ज़ाहिर करें, ताकि उन से हर बात में हमारे मुन्जी ख़ुदा की ता'लीम को रौनक़ हो।
38020b00c2	क्यूँकि ख़ुदा का वो फ़ज़ल ज़ाहिर हुआ है, जो सब आदमियों की नजात का ज़रिया है,
38020c0194	और हमें तालीम देता है ताकि बेदीनी और दुनियावी ख़्वाहिशों का इन्कार करके इस मौजूदा जहान में परहेज़गारी और रास्तबाज़ी और दीनदारी के साथ ज़िन्दगी गुज़ारें;
38020d011c	और उस मुबारिक़ उम्मीद या'नी अपने बुज़ुर्ग ख़ुदा और मुन्जी ईसा मसीह के जलाल के ज़ाहिर होने के मुन्तज़िर रहें।
38020e01ad	जिस ने अपने आपको हमारे लिए दे दिया, ताकि फ़िदया होकर हमें हर तरह की बेदीनी से छुड़ाले, और पाक करके अपनी ख़ास मिल्कियत के लिए ऐसी उम्मत बनाए जो नेक कामों में सरगर्म हो।
38020f00e1	पूरे इख़्तियार के साथ ये बातें कह और नसीहत दे और मलामत कर। कोई तेरी हिक़ारत न करने पाए।
3803010120	उनको याद दिला कि हाकिमों और इख़्तियारवालों के ताबे रहें और उनका हुक्म मानें, और हर नेक काम के लिए मुस्त'इद रहें,
3803020100	किसी की बुराई न करें तकरारी न हों; बल्कि नर्म मिज़ाज हों और सब आदमियों के साथ कमाल हलीमी से पेश आएँ।
38030301eb	क्यूँकि हम भी पहले नादान नाफ़रमान फ़रेब खाने वाले रंग बिरंग की ख़्वाहिशों और ऐश — ओ — अशरत के बन्दे थे, और बदख़्वाही और हसद में ज़िन्दगी गुज़ारते थे, नफ़रत के लायक़ थे और आपस में जलन रखते थे।
38030400cb	मगर जब हमारे मुन्जी ख़ुदा की मेहरबानी और इंसान के साथ उसकी उल्फ़त ज़ाहिर हुई।
38030501ce	तो उस ने हम को नजात दी; मगर रास्तबाज़ी के कामों के ज़रिए से नहीं जो हम ने ख़ुद किए, बल्कि अपनी रहमत के मुताबिक़ पैदाइश के ग़ुस्ल और रूह — उल — क़ुद्दूस के हमें नया बनाने के वसीले से।
38030600b5	जिसे उस ने हमारे मुन्जी 'ईसा मसीह के ज़रिए हम पर इफ़रात से नाज़िल किया,
38030700ee	ताकि हम उसके फ़ज़ल से रास्तबाज़ ठहर कर हमेशा की ज़िन्दगी की उम्मीद के मुताबिक़ वारिस बनें।
3803080204	ये बात सच है, और मैं चाहता हूँ, कि तू इन बातों का याक़ीनी तौर से दावा कर ताकि जिन्होंने ख़ुदा का यक़ीन किया है, वो अच्छे कामों में लगे रहने का ख़याल रख्खें ये बातें भली और आदमियों के लिए फ़ाइदामन्द हैं।
380309016c	मगर बेवक़ूफ़ी की हुज्जतों और नसबनामों और झगड़ों और उन लड़ाइयों से जो शरी'अत के बारे में हों परहेज़ करे इसलिए कि ये ला हासिल और बेफ़ाइदा हैं।
38030a009e	एक दो बार नसीहत करके झूठी ता'लीम देने वाले शख़्स से किनारा कर,
38030b00d2	ये जान कर कि ऐसा शख़्स मुड़ गया है और अपने आपको मुजरिम ठहरा कर गुनाह करता रहता है।
38030c016b	जब मैं तेरे पास अरतिमास या तुख़िकुस को भेजूँ तो मेरे पास नीकुपुलिस शहर आने की कोशीश करना कयूँकि मैंने वहीं जाड़ा काटने का इरादा कर लिया है।
38030d0100	ज़ेनास आलिम — ए — शरा और अपुल्लोस को कोशिश करके रवाना कर दे इस तौर पर कि उन को किसी चीज़ की कमी न रही।
38030e00f1	और हमारे लोग भी ज़रूरतों को रफ़ा करने के लिए अच्छे कामों में लगे रहना सीखें ताकि बेफल न रहें।
38030f011f	मेरे सब साथी तुझे सलाम कहते हैं। जो ईमान के रूह से हमें 'अज़ीज़ रखते हैं उन से सलाम कह। तुम सब पर फ़ज़ल होता रहे।
3900000015	फिलेमोन
3901010108	पौलुस की तरफ़ से जो मसीह ईसा का क़ैदी है, और भाई तीमुथियुस की तरफ़ से अपने 'अज़ीज़ और हम ख़िदमत फिलेमोन,
39010200d2	और बहन अफ़िया, और अपने हम सफ़र आर्ख़िप्पुस और फिलेमोन के घर की कलीसिया के नाम ख़त:
39010300ef	फ़ज़ल और इत्मीनान हमारे बाप ख़ुदा और ख़ुदावन्द 'ईसा मसीह की तरफ़ से तुम्हें हासिल होता रहे।
39010400eb	मैं तेरी उस मुहब्बत का और ईमान का हाल सुन कर, जो सब मुक़द्दसों के साथ और ख़ुदावन्द ईसा पर है'
39010500bb	हमेशा अपने ख़ुदा का शुक्र करता हूँ, और अपनी दु'आओं में तुझे याद करता हूँ।
39010600dd	ताकि तेरे ईमान की शिराकत तुम्हारी हर ख़ूबी की पहचान में मसीह के वास्ते मु' अस्सिर हो।
3901070129	क्यूँकि ऐ भाई! मुझे तेरी मुहब्बत से बहुत ख़ुशी और तसल्ली हुई, इसलिए कि तेरी वजह से मुक़द्दसों के दिल ताज़ा हुए हैं।
39010800af	पस अगरचे मुझे मसीह में बड़ी दिलेरी तो है कि तुझे मुनासिब हुक्म दूँ।
390109013d	मगर मुझे ये ज़्यादा पसन्द है कि मैं बूढ़ा पौलुस, बल्कि इस वक़्त मसीह 'ईसा का क़ैदी भी होकर मुहब्बत की राह से इल्तिमास करूँ।
39010a0104	सो अपने फ़र्ज़न्द उनेसिमुस के बारे में जो क़ैद की हालत में मुझ से पैदा हुआ, तुझसे इल्तिमास करता हूँ।
39010b00ad	पहले तो तेरे कुछ काम का ना था मगर अब तेरे और मेरे दोनों के काम का है।
39010c00b2	ख़ुद उसी को या'नी अपने कलेजे के टुकड़े को, मैने तेरे पास वापस भेजा है।
39010d0113	उसको मैं अपने ही पास रखना चाहता था, ताकि तेरी तरफ़ से इस क़ैद में जो ख़ुशख़बरी के ज़रिए है मेरी ख़िदमत करे।
39010e0109	लेकिन तेरी मर्ज़ी के बग़ैर में ने कुछ करना न चाहा, ताकि तेरे नेक काम लाचारी से नहीं बल्कि ख़ुशी से हों।
39010f00ee	क्यूँकि मुम्किन है कि वो तुझ से इसलिए थोड़ी देर के वास्ते जुदा हुआ हो कि हमेशा तेरे पास रहे।
39011001ae	मगर अब से ग़ुलाम की तरह नहीं बल्कि ग़ुलाम से बेहतर होकर या'नी ऐसे भाई की तरह रहे जो जिस्म में भी और ख़ुदावन्द में भी मेरा निहायत 'अज़ीज़ हो और तेरा इससे भी कही ज़्यादा।
39011100af	पस अगर तू मुझे शरीक जानता है, तो उसे इस तरह क़ुबूल करना जिस तरह मुझे।
39011200e4	और अगर उस ने तेरा कुछ नुक़्सान किया है, या उस पर तेरा कुछ आता है, तो उसे मेरे नाम से लिख ले।
3901130136	मैं पौलुस अपने हाथ से लिखता हूँ कि ख़ुद अदा करूँगा, इसके कहने की कुछ ज़रूरत नहीं कि मेरा क़र्ज़ जो तुझ पर है वो तू ख़ुद है
3901140106	ऐ भाई! मैं चाहता हूँ कि मुझे तेरी तरफ़ से ख़ुदावन्द में ख़ुशी हासिल हो। मसीह में मेरे दिल को ताज़ा कर।
3901150127	मैं तेरी फ़रमाँबरदारी का यक़ीन करके तुझे लिखता हूँ, और जानता हूँ कि जो कुछ मैं कहता हूँ, तू उस से भी ज़्यादा करेगा।
390116013f	इसके सिवा मेरे लिए ठहरने की जगह तैयार कर, क्यूँकि मुझे उम्मीद है कि मैं तुम्हारी दु' आओं के वसीले से तुम्हें बख़्शा जाऊँगा।
390117006c	इपफ़्रास जो मसीह ईसा में मेरे साथ क़ैद है,
39011800d7	और मरकुस और अरिस्तरख़ुस और दोमास और लुक़ा, जो मेरे हम ख़िदमत हैं तुझे सलाम कहते है।
39011900ad	हमारे ख़ुदावन्द ईसा मसीह का फ़ज़ल तुम्हारी रूह पर होता रहे। आमीन।
3a0000001e	इब्रानियों
3a01010106	पुराने ज़माने में ख़ुदा ने बाप — दादा से हिस्सा — ब — हिस्सा और तरह — ब — तरह नबियों के ज़रिए कलाम करके,
3a0102014b	इस ज़माने के आख़िर में हम से बेटे के ज़रिए कलाम किया, जिसे उसने सब चीज़ों का वारिस ठहराया और जिसके वसीले से उसने आलम भी पैदा किए।
3a0103019a	वो उसके जलाल की रोशनी और उसकी ज़ात का नक़्श होकर सब चीज़ों को अपनी क़ुदरत के कलाम से संभालता है। वो गुनाहों को धोकर 'आलम — ए — बाला पर ख़ुदा की दहनी तरफ़ जा बैठा,
3a010400d4	और फ़रिश्तों से इस क़दर बड़ा हो गया, जिस क़दर उसने मीरास में उनसे अफ़ज़ल नाम पाया।
3a0105012c	क्यूँकि फ़रिश्तों में से उसने कब किसी से कहा, “तू मेरा बेटा है, आज तू मुझ से पैदा हुआ?” और फिर ये, “मैं उसका बाप हूँगा?”
3a010600ec	और जब पहलौठे को दुनियाँ में फिर लाता है, तो कहता है, “ख़ुदा के सब फ़रिश्ते उसे सिज्दा करें।”
3a01070128	और वो अपने फ़रिश्तों के बारे में ये कहता है, “वो अपने फ़रिश्तों को हवाएँ, और अपने ख़ादिमों को आग के शो'ले बनाता है।”
3a0108013a	मगर बेटे के बारे में कहता है, “ऐ ख़ुदा, तेरा तख़्त हमेशा से हमेशा तक रहेगा, और तेरी बादशाही की 'लाठी रास्तबाज़ी की 'लाठी है।
3a01090192	तू ने रास्तबाज़ी से मुहब्बत और बदकारी से 'अदावत रख्खी, इसी वजह से ख़ुदा, या'नी तेरे ख़ुदा ने ख़ुशी के तेल से तेरे साथियों की बनिस्बत तुझे ज़्यादा मसह किया।”
3a010a00e2	और ये कि, “ऐ ख़ुदावन्द! तू ने शुरू में ज़मीन की नीव डाली, और आसमान तेरे हाथ की कारीगरी है।
3a010b00bc	वो मिट जाएँगे, मगर तू बाक़ी रहेगा; और वो सब पोशाक की तरह पुराने हो जाएँगे।
3a010c010e	तू उन्हें चादर की तरह लपेटेगा, और वो पोशाक की तरह बदल जाएँगे: मगर तू वही रहेगा और तेरे साल ख़त्म न होंगे।”
3a010d0158	लेकिन उसने फ़रिश्तों में से किसी के बारे में कब कहा, “तू मेरी दहनी तरफ़ बैठ, जब तक मैं तेरे दुश्मनों को तेरे पाँव तले की चौकी न कर दूँ?”
3a010e00fe	क्या वो सब ख़िदमत गुज़ार रूहें नहीं, जो नजात की मीरास पानेवालों की ख़ातिर ख़िदमत को भेजी जाती हैं?
3a020100f6	इसलिए जो बातें हम ने सुनी, उन पर और भी दिल लगाकर ग़ौर करना चाहिए, ताकि बहक कर उनसे दूर न चले जाएँ।
3a02020126	क्यूँकि जो कलाम फ़रिश्तों के ज़रिए फ़रमाया गया था, जब वो क़ाईम रहा और हर क़ुसूर और नाफ़रमानी का ठीक ठीक बदला मिला,
3a02030178	तो इतनी बड़ी नजात से ग़ाफ़िल रहकर हम क्यूँकर चल सकते हैं? जिसका बयान पहले ख़ुदावन्द के वसीले से हुआ, और सुनने वालों से हमें पूरे — सबूत को पहुँचा।
3a02040193	और साथ ही ख़ुदा भी अपनी मर्ज़ी के मुवाफ़िक़ निशानों, और 'अजीब कामों, और तरह तरह के मोजिज़ों, और रूह — उल — क़ुद्दूस की ने'मतों के ज़रिए से उसकी गवाही देता रहा।
3a020500cd	उसने उस आनेवाले जहान को जिसका हम ज़िक्र करते हैं, फ़रिश्तों के ताबे' नहीं किया।
3a02060156	बल्कि किसी ने किसी मौक़े पर ये बयान किया है, “इंसान क्या चीज़ है जो तू उसका ख़याल करता है? या आदमज़ाद क्या है जो तू उस पर निगाह करता है?
3a02070147	तू ने उसे फ़रिश्तों से कुछ ही कम किया; तू ने उस पर जलाल और 'इज़्ज़त का ताज रख्खा, और अपने हाथों के कामों पर उसे इख़्तियार बख़्शा।
3a020801f3	तू ने सब चीज़ें ताबे' करके उसके क़दमों तले कर दी हैं।” पस जिस सूरत में उसने सब चीज़ें उसके ताबे' कर दीं, तो उसने कोई चीज़ ऐसी न छोड़ी जो उसके ताबे, न हो। मगर हम अब तक सब चीज़ें उसके ताबे' नहीं देखते।
3a020901fc	अलबत्ता उसको देखते हैं जो फ़रिश्तों से कुछ ही कम किया गया, या'नी ईसा को मौत का दुःख सहने की वजह से जलाल और 'इज़्ज़त का ताज उसे पहनाया गया है, ताकि ख़ुदा के फ़ज़ल से वो हर एक आदमी के लिए मौत का मज़ा चखे।
3a020a01d0	क्यूँकि जिसके लिए सब चीज़ें है और जिसके वसीले से सब चीज़ें हैं, उसको यही मुनासिब था कि जब बहुत से बेटों को जलाल में दाख़िल करे, तो उनकी नजात के बानी को दुखों के ज़रिए से कामिल कर ले।
