25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
5	14
1	elder: Elder (therefore/then *NO*) (the/this/who *ko*) in/on/among you to plead/comfort the/this/who fellow elder and witness the/this/who the/this/who Christ suffering the/this/who and the/this/who to ensue to reveal glory participant
2	to shepherd the/this/who in/on/among you flock the/this/who God to oversee/care for not necessarily but voluntarily (according to God *NO*) nor greedily but eagerly
3	nor as/when to master the/this/who lot but mark/example to be the/this/who flock
4	and to reveal the/this/who chief shepherd to bring/be repaid the/this/who unfading the/this/who glory crown
5	similarly new to subject elder: Elder all then one another (to subject *k*) the/this/who humility to clothe oneself that/since: since the/this/who God arrogant to resist lowly then to give grace
6	to humble therefore/then by/under: under the/this/who mighty hand the/this/who God in order that/to you to lift up in/on/among time/right time
7	all the/this/who concern you to throw on upon/to/against it/s/he that/since: since it/s/he to concern about you
8	be sober to keep watch (that/since: that *k*) the/this/who opponent you devilish/the Devil as/when lion to roar to walk to seek (one to swallow *N(k)O*)
9	which to oppose strong the/this/who faith to know the/this/who it/s/he the/this/who suffering the/this/who in/on/among (the/this/who *no*) world you brotherhood to complete
10	the/this/who then God all grace the/this/who to call: call (you *N(K)O*) toward the/this/who eternal it/s/he glory in/on/among Christ Jesus little/few to suffer it/s/he (to complete *N(k)O*) (you *k*) (to establish to strengthen to found *N(k)O*)
11	it/s/he (the/this/who glory and *K*) the/this/who power toward the/this/who an age: eternity (the/this/who *ko*) (an age: eternity *KO*) amen
12	through/because of Silvanus you the/this/who faithful brother as/when to count through/because of little/few to write to plead/comfort and to testify to this/he/she/it to exist true grace the/this/who God toward which (to stand *N(k)O*)
13	to pay respects to you the/this/who in/on/among Babylon chosen with and Mark the/this/who son me
14	to pay respects to one another in/on/among kiss love peace you all the/this/who in/on/among Christ (Jesus amen *K*)
61	2 Peter	3
1	21
1	(Simeon *NK(o)*) Peter slave and apostle Jesus Christ the/this/who equally valuable me to choose by lot faith in/on/among righteousness the/this/who God me and savior Jesus Christ
2	grace you and peace to multiply in/on/among knowledge the/this/who God and Jesus the/this/who lord: God me
3	as/when all me the/this/who divine power it/s/he the/this/who to/with life and piety to give through/because of the/this/who knowledge the/this/who to call: call me (one's own/private *N(K)O*) (glory *N(k)O*) and (virtue *N(k)O*)
4	through/because of which the/this/who precious and great me a promise to give in order that/to through/because of this/he/she/it to be divine participant nature to escape the/this/who in/on/among (the/this/who *no*) world in/on/among desire corruption
5	and it/s/he this/he/she/it then diligence all to supply to supply in/on/among the/this/who faith you the/this/who virtue in/on/among then the/this/who virtue the/this/who knowledge
6	in/on/among then the/this/who knowledge the/this/who self-control in/on/among then the/this/who self-control the/this/who perseverance in/on/among then the/this/who perseverance the/this/who piety
7	in/on/among then the/this/who piety the/this/who brotherly love in/on/among then the/this/who brotherly love the/this/who love
8	this/he/she/it for you be already and to increase no idle nor unfruitful to appoint/conduct toward the/this/who the/this/who lord: God me Jesus Christ knowledge
9	which for not be present this/he/she/it blind to be be nearsighted forgetfulness to take the/this/who cleansing the/this/who of old it/s/he (sin *NK(o)*)
10	therefore more: rather brother be eager firm you the/this/who calling and selecting to do/make: do this/he/she/it for to do/make: do no not to stumble once/when
11	thus(-ly) for richly to supply you the/this/who entry toward the/this/who eternal kingdom the/this/who lord: God me and savior Jesus Christ
12	therefore (to ensue *N(K)O*) always you to remind about this/he/she/it although to know and to establish in/on/among the/this/who be present truth
13	just then to govern upon/to/against just as/how much to be in/on/among this/he/she/it the/this/who tent to arouse you in/on/among remembrance
14	to know that/since: that quick to be the/this/who removal the/this/who tent me as/just as and the/this/who lord: God me Jesus Christ to make clear me
15	be eager then and always to have/be you with/after the/this/who I/we departure the/this/who this/he/she/it remembrance to do/make: do
16	no for to make wise myth to follow to make known you the/this/who the/this/who lord: God me Jesus Christ power and coming but eyewitness to be the/this/who that majesty
17	to take for from/with/beside God father honor and glory voice/sound: voice to bear/lead it/s/he such as this by/under: by the/this/who majestic glory the/this/who son me the/this/who beloved (me *NO*) this/he/she/it to be toward which I/we to delight
18	and this/he/she/it the/this/who voice/sound: voice me to hear out from heaven to bear/lead with it/s/he to be in/on/among the/this/who holy (the/this/who *ko*) mountain
19	and to have/be firm the/this/who prophetic word which well to do/make: do to watch out as/when lamp to shine/appear in/on/among dingy place until which day through/because of to see and light-bearing to rise in/on/among the/this/who heart you
20	this/he/she/it first to know that/since: that all prophecy a writing one's own/private explanation no to be
21	no for will/desire a human to bear/lead prophecy once/when but by/under: by spirit/breath: spirit holy to bear/lead to speak (the/this/who *k*) (away from *N(K)O*) God a human
2	22
1	to be then and false prophet in/on/among the/this/who a people as/when and in/on/among you to be false teacher who/which to introduce sect destruction and the/this/who to buy it/s/he master to deny to bring upon themself quick destruction
2	and much to follow it/s/he the/this/who (debauchery *NK(O)*) through/because of which the/this/who road the/this/who truth to blaspheme
3	and in/on/among greediness made-up word you to traffic in which the/this/who judgment of old no be idle and the/this/who destruction it/s/he no (to doze *NK(o)*)
4	if for the/this/who God angel to sin no to spare but (chain *NK(O)*) darkness hell: Tartarus to deliver toward judgment (to keep: guard *N(k)O*)
5	and ancient world no to spare but eighth Noah righteousness preacher to keep/guard: protect flood world ungodly to bring upon
6	and city Sodom and Gomorrah to turn to ashes ruin to condemn example to ensue (ungodly *N(k)O*) to place
7	and just Lot to oppress by/under: by the/this/who the/this/who lawless in/on/among debauchery behaviour to rescue
8	a look for and hearing the/this/who just to live among in/on/among it/s/he day out from day soul just lawless work to torture: torture
9	to know lord: God pious out from temptation/testing: testing to rescue unjust then toward day judgment to punish to keep: guard
10	especially then the/this/who after flesh in/on/among desire defilement to travel and lordship to despise bold man self-willed glory no to tremble to blaspheme
11	where(-ever) angel strength and power great to be no to bear/lead according to it/s/he from/with/beside (lord: God *N(K)O*) blasphemous judgment
12	this/he/she/it then as/when unreasonable living thing (to beget *N(K)O*) natural toward capture and corruption in/on/among which be ignorant to blaspheme in/on/among the/this/who corruption it/s/he (and *no*) (to destroy *N(k)O*)
13	(to harm *N(K)O*) wage unrighteousness pleasure to govern the/this/who in/on/among day self-indulgence stain and blemish to revel in/on/among the/this/who (deceit *NK(o)*) it/s/he to feast with you
14	eye to have/be full adulterous and unceasing sin to entice soul unstable heart to train (greediness *N(K)O*) to have/be curse child
15	(to leave behind *N(k)O*) (the/this/who *k*) Straight road to lead astray to follow the/this/who road the/this/who Balaam the/this/who Beor which wage unrighteousness to love
16	rebuke then to have/be one's own/private lawlessness donkey mute in/on/among a human voice/sound: voice to speak to prevent the/this/who the/this/who prophet insanity
17	this/he/she/it to be flow waterless (and *no*) (fog *N(k)O*) by/under: by storm to drive which the/this/who darkness the/this/who darkness (toward an age: eternity *K*) to keep: guard
18	boastful for futility to speak to entice in/on/among desire flesh debauchery the/this/who (scarcely *N(K)O*) (to escape *N(k)O*) the/this/who in/on/among error to live/return
19	freedom it/s/he to profess it/s/he slave be already the/this/who corruption which for one be lesser this/he/she/it (and *ko*) to enslave
20	if for to escape the/this/who defilement the/this/who world in/on/among knowledge the/this/who lord: God (me *N*) and savior Jesus Christ this/he/she/it then again to entangle/involve be lesser to be it/s/he the/this/who last/least worse than the/this/who first
21	greater for to be it/s/he not to come to know the/this/who road the/this/who righteousness or to come to know (to return *N(k)O*) out from the/this/who to deliver it/s/he holy commandment
22	to happen (then *k*) it/s/he the/this/who the/this/who true proverb dog to turn upon/to/against the/this/who one's own/private vomit and sow to wash toward (wallowing *N(k)O*) mire
3	18
1	this/he/she/it already beloved secondly you to write epistle in/on/among which to arouse you in/on/among remembrance the/this/who pure mind
2	to remember the/this/who to predict declaration by/under: by the/this/who holy prophet and the/this/who the/this/who apostle (you *N(K)O*) commandment the/this/who lord: God and savior
3	this/he/she/it first to know that/since: that to come/go upon/to/against (last/least *N(k)O*) the/this/who day (in/on/among derision *NO*) a mocker according to the/this/who one's own/private desire it/s/he to travel
4	and to say where? to be the/this/who promise the/this/who coming it/s/he away from which for the/this/who father to sleep all thus(-ly) to remain away from beginning creation
5	be hidden for it/s/he this/he/she/it to will/desire that/since: that heaven to be of old and earth: planet out from water and through/because of water to commend the/this/who the/this/who God word
6	through/because of (which *NK(O)*) the/this/who then world water to flood to destroy
7	the/this/who then now heaven and the/this/who earth: planet the/this/who (it/s/he *NK(O)*) word to store up to be fire to keep: guard toward day judgment and destruction the/this/who ungodly a human
8	one then this/he/she/it not be hidden you beloved that/since: that one day from/with/beside lord: God as/when thousand year and thousand year as/when day one
9	no to delay (the/this/who *k*) lord: God the/this/who promise as/when one slowness to govern but to have patience toward (you *N(K)O*) not to plan one to destroy but all toward repentance to make room for
10	to come/be present then (the/this/who *k*) day lord: God as/when thief (in/on/among night *K*) in/on/among which the/this/who heaven with a roar to pass by principle then to burn (to loose *N(k)O*) and earth: planet and the/this/who in/on/among it/s/he work (no *O*) (to find/meet *N(K)O*)
11	this/he/she/it (thus(-ly) *N(K)O*) all to loose of what kind? be necessary be already you in/on/among holy behaviour and piety
12	to look for and to hasten the/this/who coming the/this/who the/this/who God day through/because of which heaven to burn to loose and principle to burn to melt
13	new then heaven and earth: planet new according to the/this/who a promise it/s/he to look for in/on/among which righteousness to dwell
14	therefore beloved this/he/she/it to look for be eager spotless and blameless it/s/he to find/meet in/on/among peace
15	and the/this/who the/this/who lord: God me patience salvation to govern as/just as and the/this/who beloved me brother Paul according to the/this/who to give it/s/he wisdom to write you
16	as/when and in/on/among all (the/this/who *ko*) epistle to speak in/on/among it/s/he about this/he/she/it in/on/among (which *N(k)O*) to be hard to understand one which the/this/who ignorant and unstable (to distort *NK(o)*) as/when and the/this/who remaining a writing to/with the/this/who one's own/private it/s/he destruction
17	you therefore/then beloved to know/choose to keep/guard: protect in order that/to not the/this/who the/this/who lawless error to lead away with to fall out the/this/who one's own/private security
18	to grow then in/on/among grace and knowledge the/this/who lord: God me and savior Jesus Christ it/s/he the/this/who glory and now and toward day an age: eternity amen
62	1 John	5
1	10
1	which to be away from beginning which to hear which to see: see the/this/who eye me which to look at and the/this/who hand me to touch about the/this/who word the/this/who life
2	and the/this/who life to reveal and to see: see and to testify and to announce you the/this/who life the/this/who eternal who/which to be to/with the/this/who father and to reveal me
3	which to see: see and to hear to announce (and *no*) you in order that/to and you participation to have/be with/after me and the/this/who participation then the/this/who I/we with/after the/this/who father and with/after the/this/who son it/s/he Jesus Christ
4	and this/he/she/it to write (me *N(K)O*) in order that/to the/this/who joy me to be to fulfill
5	and to be this/he/she/it the/this/who (message *NK(O)*) which to hear away from it/s/he and to report you that/since: that the/this/who God light to be and darkness in/on/among it/s/he no to be none
6	if to say that/since: that participation to have/be with/after it/s/he and in/on/among the/this/who darkness to walk to lie and no to do/make: do the/this/who truth
7	if then in/on/among the/this/who light to walk as/when it/s/he to be in/on/among the/this/who light participation to have/be with/after one another and the/this/who blood Jesus (Christ *K*) the/this/who son it/s/he to clean me away from all sin
8	if to say that/since: that sin no to have/be themself to lead astray and the/this/who truth no to be in/on/among me
9	if to confess/profess the/this/who sin me faithful to be and just in order that/to to release: forgive me the/this/who sin and to clean me away from all unrighteousness
10	if to say that/since: that no to sin liar to do/make: do it/s/he and the/this/who word it/s/he no to be in/on/among me
2	29
1	children me this/he/she/it to write you in order that/to not to sin and if one to sin counsellor to have/be to/with the/this/who father Jesus Christ just
2	and it/s/he propitiation to be about the/this/who sin me no about the/this/who I/we then alone but and about all the/this/who world
3	and in/on/among this/he/she/it to know that/since: that to know it/s/he if the/this/who commandment it/s/he to keep: observe
4	the/this/who to say (that/since: that *no*) to know it/s/he and the/this/who commandment it/s/he not to keep: observe liar to be and in/on/among this/he/she/it the/this/who truth no to be
5	which then if to keep: observe it/s/he the/this/who word truly in/on/among this/he/she/it the/this/who love the/this/who God to perfect in/on/among this/he/she/it to know that/since: that in/on/among it/s/he to be
6	the/this/who to say in/on/among it/s/he to stay to owe as/just as that to walk and it/s/he thus(-ly) to walk
7	(beloved *N(K)O*) no commandment new to write you but commandment old which to have/be away from beginning the/this/who commandment the/this/who old to be the/this/who word which to hear (away from beginning *K*)
8	again commandment new to write you which to be true in/on/among it/s/he and in/on/among you that/since: since the/this/who darkness to pass and the/this/who light the/this/who true already to shine/appear
9	the/this/who to say in/on/among the/this/who light to exist and the/this/who brother it/s/he to hate in/on/among the/this/who darkness to be until now
10	the/this/who to love the/this/who brother it/s/he in/on/among the/this/who light to stay and stumbling block in/on/among it/s/he no to be
11	the/this/who then to hate the/this/who brother it/s/he in/on/among the/this/who darkness to be and in/on/among the/this/who darkness to walk and no to know where? to go that/since: since the/this/who darkness to blind the/this/who eye it/s/he
12	to write you children that/since: since to release: forgive you the/this/who sin through/because of the/this/who name it/s/he
13	to write you father that/since: since to know the/this/who away from beginning to write you young man that/since: since to conquer the/this/who evil/bad (to write *N(k)O*) you child that/since: since to know the/this/who father
14	to write you father that/since: since to know the/this/who away from beginning to write you young man that/since: since strong to be and the/this/who word the/this/who God in/on/among you to stay and to conquer the/this/who evil/bad
15	not to love the/this/who world nor the/this/who in/on/among the/this/who world if one to love the/this/who world no to be the/this/who love the/this/who father in/on/among it/s/he
16	that/since: since all the/this/who in/on/among the/this/who world the/this/who desire the/this/who flesh and the/this/who desire the/this/who eye and the/this/who boasting the/this/who life no to be out from the/this/who father but out from the/this/who world to be
17	and the/this/who world to pass and the/this/who desire it/s/he the/this/who then to do/make: do the/this/who will/desire the/this/who God to stay toward the/this/who an age: eternity
18	child last/least hour to be and as/just as to hear that/since: that (the/this/who *k*) antichrist to come/go and now antichrist much to be whence to know that/since: that last/least hour to be
19	out from me to go out but no to be out from me if for out from me to be to stay if with/after me but in order that/to to reveal that/since: that no to be all out from me
20	and you anointing to have/be away from the/this/who holy and to know (all *N(K)O*)
21	no to write you that/since: that no to know the/this/who truth but that/since: since to know it/s/he and that/since: since all lie out from the/this/who truth no to be
22	which? to be the/this/who liar if: not not the/this/who to deny that/since: that Jesus no to be the/this/who Christ this/he/she/it to be the/this/who antichrist the/this/who to deny the/this/who father and the/this/who son
23	all the/this/who to deny the/this/who son nor the/this/who father to have/be the/this/who to confess/profess the/this/who son and the/this/who father to have/be
24	you (therefore/then *K*) which to hear away from beginning in/on/among you to stay if in/on/among you to stay which away from beginning to hear and you in/on/among the/this/who son and in/on/among the/this/who father to stay
25	and this/he/she/it to be the/this/who promise which it/s/he to profess me the/this/who life the/this/who eternal
26	this/he/she/it to write you about the/this/who to lead astray you
27	and you the/this/who anointing which to take away from it/s/he to stay in/on/among you and no need to have/be in order that/to one to teach you but as/when the/this/who (it/s/he *N(k)O*) anointing to teach you about all and true to be and no to be lie and as/just as to teach you (to stay *N(k)O*) in/on/among it/s/he
28	and now children to stay in/on/among it/s/he in order that/to (if *N(K)O*) to reveal (to have/be *N(k)O*) boldness and not be ashamed away from it/s/he in/on/among the/this/who coming it/s/he
29	if to know that/since: that just to be to know that/since: that (and *no*) all the/this/who to do/make: do the/this/who righteousness out from it/s/he to beget
3	24
1	to perceive: see of what kind? love to give me the/this/who father in order that/to child God to call: call (and to be *NO*) through/because of this/he/she/it the/this/who world no to know (me *NK(O)*) that/since: since no to know it/s/he
2	beloved now child God to be and not yet to reveal which? to be to know (then *k*) that/since: that if to reveal like it/s/he to be that/since: since to appear it/s/he as/just as to be
3	and all the/this/who to have/be the/this/who hope this/he/she/it upon/to/against it/s/he to purify themself as/just as that pure to be
4	all the/this/who to do/make: do the/this/who sin and the/this/who lawlessness to do/make: do and the/this/who sin to be the/this/who lawlessness
5	and to know that/since: that that to reveal in order that/to the/this/who sin (me *K*) to take up and sin in/on/among it/s/he no to be
6	all the/this/who in/on/among it/s/he to stay no to sin all the/this/who to sin no to see: see it/s/he nor to know it/s/he
7	(children *NK(o)*) nothing to lead astray you the/this/who to do/make: do the/this/who righteousness just to be as/just as that just to be
8	the/this/who to do/make: do the/this/who sin out from the/this/who devilish/the Devil to be that/since: since away from beginning the/this/who devilish/the Devil to sin toward this/he/she/it to reveal the/this/who son the/this/who God in order that/to to loose the/this/who work the/this/who devilish/the Devil
9	all the/this/who to beget out from the/this/who God sin no to do/make: do that/since: since seed(s) it/s/he in/on/among it/s/he to stay and no be able to sin that/since: since out from the/this/who God to beget
10	in/on/among this/he/she/it clear to be the/this/who child the/this/who God and the/this/who child the/this/who devilish/the Devil all the/this/who not to do/make: do righteousness no to be out from the/this/who God and the/this/who not to love the/this/who brother it/s/he
11	that/since: since this/he/she/it to be the/this/who message which to hear away from beginning in order that/to to love one another
12	no as/just as Cain out from the/this/who evil/bad to be and to slaughter the/this/who brother it/s/he and because of which? to slaughter it/s/he that/since: since the/this/who work it/s/he evil/bad to be the/this/who then the/this/who brother it/s/he just
13	(and *n*) not to marvel brother (me *K*) if to hate you the/this/who world
14	me to know that/since: that to depart out from the/this/who death toward the/this/who life that/since: since to love the/this/who brother the/this/who not to love (the/this/who brother *K*) to stay in/on/among the/this/who death
15	all the/this/who to hate the/this/who brother it/s/he murderer to be and to know that/since: that all murderer no to have/be life eternal in/on/among (it/s/he *NK(o)*) to stay
16	in/on/among this/he/she/it to know the/this/who love that/since: since that above/for me the/this/who soul: life it/s/he to place and me to owe above/for the/this/who brother the/this/who soul: life (to place *N(k)O*)
17	which then if to have/be the/this/who life the/this/who world and to see/experience the/this/who brother it/s/he need to have/be and to shut the/this/who affection/entrails it/s/he away from it/s/he how! the/this/who love the/this/who God to stay in/on/among it/s/he
18	children (me *K*) not to love word nor the/this/who tongue but in/on/among work and truth
19	and in/on/among this/he/she/it (to know *N(k)O*) that/since: that out from the/this/who truth to be and before it/s/he to persuade (the/this/who heart *N(k)O*) me
20	that/since: that if to condemn me the/this/who heart that/since: that great to be the/this/who God the/this/who heart me and to know all
21	beloved if the/this/who heart me not to condemn (me *ko*) boldness to have/be to/with the/this/who God
22	and which (if *NK(o)*) to ask to take (away from *N(k)O*) it/s/he that/since: since the/this/who commandment it/s/he to keep: observe and the/this/who pleasing before it/s/he to do/make: do
23	and this/he/she/it to be the/this/who commandment it/s/he in order that/to (to trust (in) *NK(o)*) the/this/who name the/this/who son it/s/he Jesus Christ and to love one another as/just as to give commandment me
24	and the/this/who to keep: observe the/this/who commandment it/s/he in/on/among it/s/he to stay and it/s/he in/on/among it/s/he and in/on/among this/he/she/it to know that/since: that to stay in/on/among me out from the/this/who spirit/breath: spirit which me to give
4	21
1	beloved not all spirit/breath: spirit to trust (in) but to test the/this/who spirit/breath: spirit if out from the/this/who God to be that/since: since much false prophet to go out toward the/this/who world
2	in/on/among this/he/she/it (to know *NK(O)*) the/this/who spirit/breath: spirit the/this/who God all spirit/breath: spirit which to confess/profess Jesus Christ in/on/among flesh to come/go out from the/this/who God to be
3	and all spirit/breath: spirit which not to confess/profess the/this/who Jesus (Christ in/on/among flesh to come/go *K*) out from the/this/who God no to be and this/he/she/it to be the/this/who the/this/who antichrist which to hear that/since: that to come/go and now in/on/among the/this/who world to be already
4	you out from the/this/who God to be children and to conquer it/s/he that/since: since great to be the/this/who in/on/among you or the/this/who in/on/among the/this/who world
5	it/s/he out from the/this/who world to be through/because of this/he/she/it out from the/this/who world to speak and the/this/who world it/s/he to hear
6	me out from the/this/who God to be the/this/who to know the/this/who God to hear me which no to be out from the/this/who God no to hear me out from this/he/she/it to know the/this/who spirit/breath: spirit the/this/who truth and the/this/who spirit/breath: spirit the/this/who error
7	beloved to love one another that/since: since the/this/who love out from the/this/who God to be and all the/this/who to love out from the/this/who God to beget and to know the/this/who God
8	the/this/who not to love no to know the/this/who God that/since: since the/this/who God love to be
9	in/on/among this/he/she/it to reveal the/this/who love the/this/who God in/on/among me that/since: that the/this/who son it/s/he the/this/who unique to send the/this/who God toward the/this/who world in order that/to to live through/because of it/s/he
10	in/on/among this/he/she/it to be the/this/who love no that/since: that me (to love *N(k)O*) the/this/who God but that/since: that it/s/he to love me and to send the/this/who son it/s/he propitiation about the/this/who sin me
11	beloved if thus(-ly) the/this/who God to love me and me to owe one another to love
12	God none ever to look at if to love one another the/this/who God in/on/among me to stay and the/this/who love it/s/he in/on/among me to perfect to be
13	in/on/among this/he/she/it to know that/since: that in/on/among it/s/he to stay and it/s/he in/on/among me that/since: since out from the/this/who spirit/breath: spirit it/s/he to give me
14	and me to look at and to testify that/since: that the/this/who father to send the/this/who son savior the/this/who world
15	which (if *N(k)O*) to confess/profess that/since: that Jesus (Christ *O*) to be the/this/who son the/this/who God the/this/who God in/on/among it/s/he to stay and it/s/he in/on/among the/this/who God
16	and me to know and to trust (in) the/this/who love which to have/be the/this/who God in/on/among me the/this/who God love to be and the/this/who to stay in/on/among the/this/who love in/on/among the/this/who God to stay and the/this/who God in/on/among it/s/he (to stay *NO*)
17	in/on/among this/he/she/it to perfect the/this/who love with/after me in order that/to boldness to have/be in/on/among the/this/who day the/this/who judgment that/since: that as/just as that to be and me to be in/on/among the/this/who world this/he/she/it
18	fear no to be in/on/among the/this/who love but the/this/who perfect love out/outside(r) to throw: throw the/this/who fear that/since: since the/this/who fear punishment to have/be the/this/who then to fear no to perfect in/on/among the/this/who love
19	me to love (it/s/he *K*) that/since: since it/s/he first to love me
20	if one to say that/since: that to love the/this/who God and the/this/who brother it/s/he to hate liar to be the/this/who for not to love the/this/who brother it/s/he which to see: see the/this/who God which no to see: see (no *N(K)O*) be able to love
21	and this/he/she/it the/this/who commandment to have/be away from it/s/he in order that/to the/this/who to love the/this/who God to love and the/this/who brother it/s/he
5	21
1	all the/this/who to trust (in) that/since: that Jesus to be the/this/who Christ out from the/this/who God to beget and all the/this/who to love the/this/who to beget to love and the/this/who to beget out from it/s/he
2	in/on/among this/he/she/it to know that/since: that to love the/this/who child the/this/who God when(-ever) the/this/who God to love and the/this/who commandment it/s/he (to do/make: do *N(k)O*)
3	this/he/she/it for to be the/this/who love the/this/who God in order that/to the/this/who commandment it/s/he to keep: observe and the/this/who commandment it/s/he weighty no to be
4	that/since: since all the/this/who to beget out from the/this/who God to conquer the/this/who world and this/he/she/it to be the/this/who victory the/this/who to conquer the/this/who world the/this/who faith me
5	which? (then *no*) to be the/this/who to conquer the/this/who world if: not not the/this/who to trust (in) that/since: that Jesus to be the/this/who son the/this/who God
6	this/he/she/it to be the/this/who to come/go through/because of water and blood Jesus (the/this/who *k*) Christ no in/on/among the/this/who water alone but in/on/among the/this/who water and (in/on/among *no*) the/this/who blood and the/this/who spirit/breath: spirit to be the/this/who to testify that/since: since the/this/who spirit/breath: spirit to be the/this/who truth
7	that/since: since Three to be the/this/who to testify (in/on/among the/this/who heaven the/this/who father the/this/who word and the/this/who holy spirit/breath: spirit and this/he/she/it the/this/who Three one to be *K*)
8	(and Three to be the/this/who to testify in/on/among the/this/who earth: planet *K*) the/this/who spirit/breath: spirit and the/this/who water and the/this/who blood and the/this/who Three toward the/this/who one to be
9	if the/this/who testimony the/this/who a human to take the/this/who testimony the/this/who God great to be that/since: since this/he/she/it to be the/this/who testimony the/this/who God (that/since: that *N(k)O*) to testify about the/this/who son it/s/he
10	the/this/who to trust (in) toward the/this/who son the/this/who God to have/be the/this/who testimony in/on/among (themself *NK(o)*) the/this/who not to trust (in) the/this/who God liar to do/make: do it/s/he that/since: since no to trust (in) toward the/this/who testimony which to testify the/this/who God about the/this/who son it/s/he
11	and this/he/she/it to be the/this/who testimony that/since: that life eternal to give me the/this/who God and this/he/she/it the/this/who life in/on/among the/this/who son it/s/he to be
12	the/this/who to have/be the/this/who son to have/be the/this/who life the/this/who not to have/be the/this/who son the/this/who God the/this/who life no to have/be
13	this/he/she/it to write you (the/this/who to trust (in) toward the/this/who name the/this/who son the/this/who God *K*) in order that/to to know that/since: that life to have/be eternal (and in order that/to *K*) (the/this/who *no*) (to trust (in) *N(k)O*) toward the/this/who name the/this/who son the/this/who God
14	and this/he/she/it to be the/this/who boldness which to have/be to/with it/s/he that/since: that if one to ask according to the/this/who will/desire it/s/he to hear me
15	and if to know that/since: that to hear me which (if *N(k)O*) to ask to know that/since: that to have/be the/this/who request which to ask (away from *N(k)O*) it/s/he
16	if one to perceive: see the/this/who brother it/s/he to sin sin not to/with death to ask and to give it/s/he life the/this/who to sin not to/with death to be sin to/with death no about that to say in order that/to to ask
17	all unrighteousness sin to be and to be sin no to/with death
18	to know that/since: that all the/this/who to beget out from the/this/who God no to sin but the/this/who to beget out from the/this/who God to keep: protect (themself *NK(o)*) and the/this/who evil/bad no to touch it/s/he
19	to know that/since: that out from the/this/who God to be and the/this/who world all in/on/among the/this/who evil/bad to lay/be appointed
20	to know then that/since: that the/this/who son the/this/who God to come/be present and to give me mind in order that/to (to know *NK(o)*) the/this/who true and to be in/on/among the/this/who true in/on/among the/this/who son it/s/he Jesus Christ this/he/she/it to be the/this/who true God and (the/this/who *k*) life eternal
21	children to keep/guard: protect (themself *N(k)O*) away from the/this/who idol (amen *KO*)
63	2 John	1
1	13
1	the/this/who elder: Elder select lady and the/this/who child it/s/he which I/we to love in/on/among truth and no I/we alone but and all the/this/who to know the/this/who truth
2	through/because of the/this/who truth the/this/who to stay in/on/among me and with/after me to be toward the/this/who an age: eternity
3	to be with/after me grace mercy peace from/with/beside God father and from/with/beside (lord: God *K*) Jesus Christ the/this/who son the/this/who father in/on/among truth and love
4	to rejoice greatly that/since: that to find/meet out from the/this/who child you to walk in/on/among truth as/just as commandment to take from/with/beside the/this/who father
5	and now to ask you lady no as/when commandment new to write you but which to have/be away from beginning in order that/to to love one another
6	and this/he/she/it to be the/this/who love in order that/to to walk according to the/this/who commandment it/s/he this/he/she/it the/this/who commandment to be as/just as to hear away from beginning in order that/to in/on/among it/s/he to walk
7	that/since: since much deceiving (to go out *N(K)O*) toward the/this/who world the/this/who not to confess/profess Jesus Christ to come/go in/on/among flesh this/he/she/it to be the/this/who deceiving and the/this/who antichrist
8	to see themself in order that/to not (to destroy *N(K)O*) which (to work *NK(O)*) but wage full (to get back *N(K)O*)
9	all the/this/who (to go/bring before *N(K)O*) and not to stay in/on/among the/this/who teaching the/this/who Christ God no to have/be the/this/who to stay in/on/among the/this/who teaching (the/this/who Christ *K*) this/he/she/it and the/this/who father and the/this/who son to have/be
10	if one to come/go to/with you and this/he/she/it the/this/who teaching no to bear/lead not to take it/s/he toward home and to rejoice it/s/he not to say
11	the/this/who to say for it/s/he to rejoice to participate the/this/who work it/s/he the/this/who evil/bad
12	much to have/be you to write no to plan through/because of paper and ink but to hope/expect (to be *N(k)O*) to/with you and mouth to/with mouth to speak in order that/to the/this/who joy (me *NK(O)*) to fulfill to be
13	to pay respects to you the/this/who child the/this/who sister you the/this/who select (amen *KO*)
64	3 John	1
1	14
1	the/this/who elder: Elder Gaius the/this/who beloved which I/we to love in/on/among truth
2	beloved about all to pray/wish for you to get along well and be healthy as/just as to get along well you the/this/who soul: myself
3	to rejoice for greatly to come/go brother and to testify you the/this/who truth as/just as you in/on/among truth to walk
4	great this/he/she/it no to have/be (joy *NK(O)*) in order that/to to hear the/this/who I/we child in/on/among (the/this/who *no*) truth to walk
5	beloved faithful to do/make: do which if to work toward the/this/who brother and (toward *k*) (this/he/she/it *N(k)O*) foreign
6	which to testify you the/this/who love before assembly which well to do/make: do to help on the way appropriately the/this/who God
7	above/for for the/this/who name to go out nothing to take away from the/this/who (Gentile-like *N(k)O*)
8	me therefore/then to owe (to take up/suppose *N(k)O*) the/this/who such as this in order that/to co-worker to be the/this/who truth
9	to write (one *no*) the/this/who assembly but the/this/who to love to be first it/s/he Diotrephes no to welcome me
10	through/because of this/he/she/it if to come/go to remind it/s/he the/this/who work which to do/make: do word evil/bad to talk nonsense me and not be sufficient upon/to/against this/he/she/it neither it/s/he to welcome the/this/who brother and the/this/who to plan to prevent and out from the/this/who assembly to expel
