24	66	1189	461
File Name	Holy-Bible---French---Free-for-the-World---Standard-Edition.noia
32	Souvenez-vous de la femme de Lot!
33	Celui qui cherche à sauver sa vie la perd, mais celui qui perd sa vie la conserve.
34	Je vous le dis, en cette nuit-là, il y aura deux personnes dans un même lit. L'une sera prise et l'autre laissée.
35	Il y aura deux personnes qui moudront du grain ensemble. L'une sera prise et l'autre laissée».
37	Eux, répondant, lui demandèrent: «Où, Seigneur?» Il leur dit: «Là où est le corps, là aussi les vautours seront rassemblés.»
18	43
1	Il leur dit aussi, en parabole, qu'ils devaient toujours prier et ne pas se décourager,
2	en disant: «Il y avait dans une certaine ville un juge qui ne craignait pas Dieu et ne respectait pas les hommes.
3	Il y avait dans cette ville une veuve qui venait souvent le trouver en disant: «Défends-moi contre mon adversaire!».
4	Il ne voulut pas pendant quelque temps; mais ensuite il se dit en lui-même: 'Bien que je ne craigne pas Dieu et que je ne respecte pas l'homme,
5	cependant, parce que cette veuve m'importune, je la défendrai, ou bien elle me fatiguera par sa venue continuelle.'"
6	L'Éternel dit: «Écoutez ce que dit le juge inique.
7	Dieu ne va-t-il pas tirer vengeance de ses élus qui crient vers lui jour et nuit, et qui pourtant font preuve de patience à leur égard?
8	Je vous dis qu'il les vengera bientôt. Cependant, quand le Fils de l'homme viendra, trouvera-t-il la foi sur la terre?»
9	Il dit aussi cette parabole à certaines personnes qui étaient convaincues de leur propre justice et qui méprisaient tous les autres:
10	Deux hommes montèrent au temple pour prier, l'un était pharisien, l'autre publicain.
11	Le pharisien se tenait debout et priait seul ainsi: Dieu, je te rends grâces de ce que je ne suis pas comme le reste des hommes, extorqueurs, injustes, adultères, ni même comme ce publicain.
12	Je jeûne deux fois par semaine. Je donne la dîme de tout ce que je reçois'.
13	Mais le publicain, qui se tenait à l'écart, ne levait même pas les yeux au ciel, mais il se frappait la poitrine en disant: «Dieu, aie pitié de moi, qui suis un pécheur.
14	Je vous le dis, celui-ci est descendu chez lui justifié plutôt que l'autre; car quiconque s'élève sera abaissé, mais celui qui s'abaisse sera élevé.»
15	Elles lui apportaient aussi leurs bébés, afin qu'il les touche. Mais les disciples, voyant cela, les réprimandèrent.
16	Jésus les appela et dit: «Laissez les petits enfants venir à moi et ne les en empêchez pas, car le Royaume de Dieu appartient à ceux qui leur ressemblent.
17	En vérité, je vous le dis, quiconque ne reçoit pas le Royaume de Dieu comme un petit enfant, n'y entrera pas.»
18	Un certain chef lui demanda: «Bon maître, que dois-je faire pour avoir en héritage la vie éternelle?»
19	Jésus lui demanda: «Pourquoi m'appelles-tu bon? Personne n'est bon, sauf un: Dieu.
20	Tu connais les commandements: «Ne commets pas d'adultère», «Ne commets pas de meurtre», «Ne vole pas», «Ne porte pas de faux témoignage», «Honore ton père et ta mère».
21	Il répondit: «J'ai observé toutes ces choses depuis ma jeunesse.»
22	Jésus, ayant entendu cela, lui dit: «Il te manque encore une chose. Vendez tout ce que vous avez et distribuez-le aux pauvres. Vous aurez alors un trésor dans le ciel; puis venez, suivez-moi.»
23	Mais quand il entendit ces choses, il devint très triste, car il était très riche.
24	Jésus, voyant qu'il était très triste, dit: «Comme il est difficile à ceux qui ont des richesses d'entrer dans le Royaume de Dieu!
25	Car il est plus facile à un chameau d'entrer par le trou d'une aiguille qu'à un riche d'entrer dans le Royaume de Dieu.»
26	Ceux qui l'entendaient disaient: «Alors, qui peut être sauvé?»
27	Mais il a dit: «Ce qui est impossible aux hommes est possible à Dieu.»
28	Pierre dit: «Regarde, nous avons tout quitté et nous t'avons suivi.»
29	Il leur dit: «En vérité, je vous le dis, il n'y a personne qui ait quitté sa maison, ou sa femme, ou ses frères, ou ses parents, ou ses enfants, à cause du Royaume de Dieu,
30	qui ne reçoive plusieurs fois, en ce temps-ci et dans le monde à venir, la vie éternelle.»
31	Il prit les douze à part et leur dit: «Voici que nous montons à Jérusalem, et tout ce qui est écrit par les prophètes au sujet du Fils de l'homme s'accomplira.
32	Car il sera livré aux païens, on se moquera de lui, on l'insultera, on crachera sur lui.
33	On le flagellera et on le fera mourir. Le troisième jour, il ressuscitera.»
34	Ils n'ont rien compris à ces choses. Cette parole leur était cachée, et ils ne comprenaient pas les choses qui étaient dites.
35	Comme il approchait de Jéricho, un aveugle était assis au bord du chemin et mendiait.
36	Entendant une foule qui passait, il demanda ce que cela signifiait.
37	On lui dit que Jésus de Nazareth passait par là.
38	Il s'écria: «Jésus, fils de David, aie pitié de moi!»
39	Ceux qui conduisaient le chemin le réprimandèrent pour qu'il se taise; mais il cria encore plus fort: «Fils de David, aie pitié de moi!»
40	S'étant arrêté, Jésus ordonna qu'on l'amène à lui. S'étant approché, il lui demanda:
41	«Que veux-tu que je fasse?» Il a dit: «Seigneur, que je puisse voir à nouveau.»
42	Jésus lui dit: «Recouvre la vue. Ta foi t'a guéri.»
43	Aussitôt, il recouvra la vue et le suivit, en glorifiant Dieu. Tout le peuple, en le voyant, loua Dieu.
19	48
1	Il entra et traversa Jéricho.
2	Il y avait là un homme nommé Zachée. C'était un grand collecteur d'impôts, et il était riche.
3	Il cherchait à voir qui était Jésus, mais il ne pouvait pas à cause de la foule, car il était de petite taille.
4	Il courut donc en avant et grimpa sur un sycomore pour le voir, car il allait passer par là.
5	Lorsque Jésus arriva à cet endroit, il leva les yeux et le vit, et il lui dit: «Zachée, dépêche-toi de descendre, car aujourd'hui je dois rester chez toi.»
6	Il se hâta, descendit et le reçut avec joie.
7	Quand ils le virent, ils murmurèrent tous, disant: «Il est entré pour loger chez un homme qui est un pécheur.»
8	Zachée, debout, dit au Seigneur: «Voici, Seigneur, la moitié de mes biens, je la donne aux pauvres. Si j'ai exigé injustement quelque chose de quelqu'un, je lui rends quatre fois plus.»
9	Jésus lui dit: «Aujourd'hui, le salut est arrivé à cette maison, car lui aussi est fils d'Abraham.
10	Car le Fils de l'homme est venu chercher et sauver ce qui était perdu.»
11	Comme ils entendaient ces choses, il poursuivit et raconta une parabole, parce qu'il était près de Jérusalem, et qu'ils supposaient que le Royaume de Dieu allait être révélé immédiatement.
12	Il dit donc: «Un certain noble s'en alla dans un pays lointain pour recevoir un royaume et s'en retourner.
13	Il appela dix de ses serviteurs, leur donna dix pièces de mina et leur dit: «Occupez-vous de vos affaires jusqu'à ce que je vienne.
14	Mais ses concitoyens le haïssaient et envoyèrent un émissaire à sa poursuite en disant: 'Nous ne voulons pas que cet homme règne sur nous.'
15	«Lorsqu'il fut de retour, après avoir reçu le royaume, il ordonna que ces serviteurs, à qui il avait donné l'argent, soient appelés auprès de lui, afin qu'il sache ce qu'ils avaient gagné en faisant des affaires.
16	Le premier se présenta devant lui et dit: «Seigneur, ton mina a fait dix autres minas.
17	Il lui dit: «C'est bien, bon serviteur. Parce que tu as été trouvé fidèle avec très peu de choses, tu auras autorité sur dix villes.
18	«Le second vint, disant: «Ton mina, Seigneur, a fait cinq minas».
19	Il lui dit: «Et toi, tu seras à la tête de cinq villes».
20	Un autre vint, disant: «Seigneur, voici ta mina, que j'ai gardée dans un mouchoir,
21	car je te craignais, parce que tu es un homme exigeant. Tu ramasses ce que tu n'as pas déposé, et tu récoltes ce que tu n'as pas semé.
22	Il lui dit: «C'est de ta propre bouche que je te jugerai, méchant serviteur! Tu savais que je suis un homme exigeant, prenant ce que je n'ai pas déposé et récoltant ce que je n'ai pas semé.
23	Alors, pourquoi n'as-tu pas déposé mon argent à la banque, pour qu'à mon retour, j'en tire un intérêt?
24	Il dit à ceux qui se tenaient là: «Enlève-lui le mina et donne-le à celui qui a les dix minas.
25	Ils lui dirent: «Seigneur, il a dix mines!
26	Car, je vous le dis, à quiconque a quelque chose, on donnera davantage; mais à celui qui n'a rien, on enlèvera même ce qu'il a.
27	Mais amène ici ceux de mes ennemis qui n'ont pas voulu que je règne sur eux, et tue-les devant moi.»
28	Ayant dit ces choses, il se mit en route, montant à Jérusalem.
29	Lorsqu'il approcha de Bethsphage et de Béthanie, sur la montagne appelée des Oliviers, il envoya deux de ses disciples,
30	en disant: «Allez de l'autre côté du village, où vous trouverez, en entrant, un ânon attaché, sur lequel personne ne s'est jamais assis. Détachez-le et amenez-le.
31	Si quelqu'un vous demande: «Pourquoi le détachez-vous?», dites-lui: «Le Seigneur en a besoin.»
32	Ceux qui avaient été envoyés s'en allèrent et trouvèrent les choses exactement comme il les avait dites.
33	Comme ils détachaient l'ânon, ses propriétaires leur dirent: «Pourquoi détachez-vous l'ânon?»
34	Ils répondirent: «Le Seigneur en a besoin.»
35	Puis ils l'amenèrent à Jésus. Ils jetèrent leurs manteaux sur l'ânon, et firent asseoir Jésus dessus.
36	Pendant qu'il allait, ils étendirent leurs manteaux sur la route.
37	Comme il approchait de la descente de la montagne des Oliviers, toute la multitude des disciples se mit à se réjouir et à louer Dieu à haute voix pour toutes les merveilles qu'ils avaient vues,
38	en disant: Béni soit le Roi qui vient au nom du Seigneur! Paix dans les cieux, et gloire au plus haut des cieux!»
39	Quelques pharisiens de la foule lui dirent: «Maître, reprends tes disciples!»
40	Il leur répondit: «Je vous le dis, si elles se taisaient, les pierres crieraient.»
41	Lorsqu'il s'approcha, il vit la ville et il pleura sur elle,
42	en disant: «Si tu avais su aujourd'hui les choses qui appartiennent à ta paix! Mais maintenant, elles sont cachées à tes yeux.
43	Car il viendra sur toi des jours où tes ennemis dresseront contre toi une barricade, t'entoureront, t'enserreront de toutes parts,
44	et te précipiteront par terre, toi et tes enfants qui sont en toi. Ils ne laisseront pas en toi une pierre sur l'autre, parce que tu n'as pas connu le moment de ton châtiment.»
45	Il entra dans le temple et se mit à chasser ceux qui y achetaient et vendaient,
46	en leur disant: «Il est écrit: «Ma maison est une maison de prière", mais vous en avez fait une «caverne de voleurs».»
47	Il enseignait chaque jour dans le temple, mais les chefs des prêtres, les scribes et les principaux du peuple cherchaient à le faire périr.
48	Ils ne trouvaient pas ce qu'ils pouvaient faire, car tout le peuple était attaché à chacune de ses paroles.
20	47
1	Un de ces jours, comme il enseignait le peuple dans le temple et prêchait la Bonne Nouvelle, les prêtres et les scribes vinrent le trouver avec les anciens.
2	Ils lui demandèrent: «Dis-nous: par quelle autorité fais-tu ces choses? Ou bien qui te donne cette autorité?»
3	Il leur répondit: «Je vous poserai aussi une question. Dites-moi:
4	le baptême de Jean, venait-il du ciel, ou des hommes?»
5	Ils raisonnaient ainsi: «Si nous disons: «Du ciel», il dira: «Pourquoi ne l'avez-vous pas cru?»
6	Mais si nous disons: «Des hommes», tout le peuple nous lapidera, car il est persuadé que Jean était un prophète.»
7	Ils répondirent qu'ils ne savaient pas d'où elle venait.
8	Jésus leur dit: «Je ne vous dirai pas non plus par quelle autorité je fais ces choses.»
9	Il se mit à raconter cette parabole au peuple: " Un homme planta une vigne, la loua à des fermiers et partit pour un long séjour dans un autre pays.
10	Au moment opportun, il envoya un serviteur chez les vignerons pour recueillir sa part du fruit de la vigne. Mais les paysans le battirent et le renvoyèrent à vide.
11	Il envoya un autre serviteur, qui fut lui aussi battu et maltraité, et qui fut renvoyé à vide.
12	Il en envoya encore un troisième; ils le blessèrent aussi et le jetèrent dehors.
13	Le maître de la vigne dit: «Que ferai-je? Je vais envoyer mon fils bien-aimé. Peut-être qu'en le voyant, ils le respecteront.
14	«Mais quand les paysans le virent, ils raisonnèrent entre eux en disant: «C'est l'héritier. Venez, tuons-le, afin que l'héritage nous revienne.
15	Alors ils le jetèrent hors de la vigne et le tuèrent. Que leur fera donc le maître de la vigne?
16	Il viendra faire périr ces paysans, et il donnera la vigne à d'autres.» Quand ils ont entendu ça, ils ont dit: «Que cela ne soit jamais!»
17	Mais il les regarda et dit: «Alors, que signifie ce qui est écrit, «La pierre que les bâtisseurs ont rejetée a été fait la principale pierre angulaire?
18	Tous ceux qui tomberont sur cette pierre seront brisés en morceaux, mais il réduira en poussière celui sur qui il tombera.»
19	Les chefs des prêtres et les scribes cherchaient à mettre la main sur lui à l'heure même, mais ils craignaient le peuple, car ils savaient qu'il avait prononcé cette parabole contre eux.
20	Ils le surveillaient et envoyaient des espions, qui se faisaient passer pour des justes, afin de le piéger dans une de ses paroles, pour le livrer au pouvoir et à l'autorité du gouverneur.
21	Ils lui posèrent cette question: «Maître, nous savons que tu dis et enseignes ce qui est juste, que tu n'as de parti pris pour personne, et que tu enseignes vraiment la voie de Dieu.
22	Nous est-il permis, oui ou non, de payer l'impôt à César?»
23	Mais, se rendant compte de leur ruse, il leur dit: «Pourquoi m'éprouvez-vous?
24	Montre-moi un denier. A qui appartient l'image et l'inscription qu'il porte?» Ils ont répondu: «Celui de César.»
25	Il leur dit: «Rendez donc à César ce qui est à César, et à Dieu ce qui est à Dieu.»
26	Ils n'ont pas réussi à le piéger dans ses paroles devant le peuple. Ils s'étonnaient de sa réponse et se taisaient.
27	Quelques-uns des sadducéens vinrent le trouver, ceux qui nient l'existence de la résurrection.
28	Ils lui posèrent cette question: «Maître, Moïse nous a écrit que si le frère d'un homme meurt en ayant une femme et qu'il est sans enfant, son frère doit prendre la femme et élever des enfants pour son frère.
29	Il y avait donc sept frères. Le premier prit une femme, et mourut sans enfant.
30	Le deuxième la prit pour femme, et il mourut sans enfants.
31	Le troisième la prit, et les sept autres ne laissèrent pas d'enfants et moururent.
32	Après cela, la femme mourut aussi.
33	C'est pourquoi, à la résurrection, de qui sera-t-elle la femme? Car les sept l'ont eue pour femme.»
34	Jésus leur dit: «Les enfants de ce siècle se marient et sont donnés en mariage.
35	Mais ceux qui sont jugés dignes d'atteindre ce siècle et la résurrection des morts ne se marient ni ne sont donnés en mariage.
36	Car ils ne peuvent plus mourir, puisqu'ils sont semblables aux anges et sont enfants de Dieu, étant enfants de la résurrection.
37	Mais que les morts ressuscitent, Moïse lui-même l'a montré au buisson, lorsqu'il a appelé le Seigneur «Dieu d'Abraham, Dieu d'Isaac et Dieu de Jacob».
38	Or, il n'est pas le Dieu des morts, mais des vivants, car tous sont vivants pour lui.»
39	Quelques-uns des scribes répondirent: «Maître, tu parles bien.»
40	Ils n'osèrent pas lui poser d'autres questions.
41	Il leur dit: «Pourquoi dit-on que le Christ est le fils de David?
42	David lui-même dit dans le livre des Psaumes, Le Seigneur a dit à mon Seigneur, «Assieds-toi à ma droite,
43	jusqu'à ce que je fasse de vos ennemis le marchepied de vos pieds.»
44	«David l'appelle donc Seigneur, comment est-il son fils?»
45	En présence de tout le peuple, il dit à ses disciples:
46	«Gardez-vous de ces scribes qui aiment à se promener en longues robes, et qui aiment les salutations sur les places de marché, les meilleures places dans les synagogues, et les meilleures places dans les fêtes;
47	qui dévorent les maisons des veuves, et qui, pour un prétexte, font de longues prières. Ceux-là recevront une plus grande condamnation.»
21	38
1	Il leva les yeux et vit les riches qui mettaient leurs dons dans le trésor.
2	Il vit une pauvre veuve qui jetait deux petites pièces d'airain.
3	Il dit: «Je vous le dis en vérité, cette pauvre veuve a mis plus qu'eux tous,
4	car tous ceux-là ont fait des dons à Dieu de leur superflu, mais elle, de sa pauvreté, a mis tout ce qu'elle avait pour vivre.»
5	Comme certains parlaient du temple et de la façon dont il était décoré de belles pierres et de cadeaux, il dit:
6	«Quant à ces choses que vous voyez, les jours viendront où il ne restera pas ici une pierre sur une autre qui ne soit pas renversée.»
7	Ils lui demandèrent: «Maître, quand donc ces choses arriveront-elles? Quel est le signe que ces choses vont arriver?»
8	Il dit: «Prenez garde de ne pas vous laisser égarer, car plusieurs viendront en mon nom, disant: «C'est moi", et «Le temps est proche». Ne les suivez donc pas.
9	Quand vous entendrez parler de guerres et de troubles, ne soyez pas terrifiés, car il faut que ces choses arrivent d'abord, mais la fin ne viendra pas immédiatement.»
10	Puis il leur dit: «Une nation s'élèvera contre une nation, et un royaume contre un royaume.
11	Il y aura de grands tremblements de terre, des famines et des pestes en divers lieux. Il y aura des terreurs et de grands signes venant du ciel.
12	Mais avant tout cela, on mettra la main sur vous, on vous persécutera, on vous livrera aux synagogues et aux prisons, on vous fera comparaître devant des rois et des gouverneurs, à cause de mon nom.
13	Il en résultera pour vous un témoignage.
14	Mettez-vous donc dans la tête de ne pas réfléchir d'avance à la manière de répondre,
15	car je vous donnerai une bouche et une sagesse auxquelles tous vos adversaires ne pourront résister ni contredire.
16	Vous serez livrés même par vos parents, vos frères, vos proches et vos amis. Ils feront mettre à mort certains d'entre vous.
17	Vous serez haïs de tous les hommes à cause de mon nom.
18	Et pas un cheveu de votre tête ne périra.
19	«C'est par votre endurance que vous gagnerez vos vies.
20	«Mais quand vous verrez Jérusalem entourée d'armées, sachez que sa désolation est proche.
21	Alors, que ceux qui sont en Judée fuient vers les montagnes. Que ceux qui sont au milieu d'elle s'en aillent. Que ceux qui sont dans la campagne n'y entrent pas.
22	Car ce sont des jours de vengeance, afin que s'accomplisse tout ce qui est écrit.
23	Malheur aux femmes enceintes et à celles qui allaitent en ces jours-là! Car il y aura une grande détresse dans le pays et une grande colère pour ce peuple.
24	Ils tomberont sous le tranchant de l'épée, et ils seront emmenés captifs dans toutes les nations. Jérusalem sera foulée aux pieds par les païens, jusqu'à ce que les temps des païens soient accomplis.
25	Il y aura des signes dans le soleil, la lune et les étoiles; et sur la terre, l'angoisse des nations, dans la perplexité à cause du mugissement de la mer et des flots;
26	les hommes seront saisis de crainte et d'attente des choses qui vont arriver au monde, car les puissances des cieux seront ébranlées.
27	Alors ils verront le Fils de l'homme venant sur une nuée avec puissance et grande gloire.
28	Mais quand ces choses commenceront à arriver, regardez en haut et levez vos têtes, car votre rédemption est proche.»
29	Il leur raconta une parabole. «Regardez le figuier et tous les arbres.
30	Quand ils bourgeonnent déjà, vous le voyez et vous savez par vous-mêmes que l'été est déjà proche.
31	De même, vous aussi, quand vous voyez ces choses arriver, vous savez que le Royaume de Dieu est proche.
32	En vérité, je vous le dis, cette génération ne passera pas que tout ne soit accompli.
33	Le ciel et la terre passeront, mais mes paroles ne passeront pas.
34	«Prenez donc garde que vos cœurs ne s'appesantissent sous le poids des plaisirs de la fête, de l'ivresse et des soucis de la vie présente, et que ce jour ne vienne sur vous à l'improviste.
35	Car il viendra comme un piège pour tous ceux qui habitent à la surface de toute la terre.
36	Veillez donc en permanence, en priant pour que vous soyez jugés dignes d'échapper à toutes ces choses qui arriveront, et de vous présenter devant le Fils de l'homme.»
37	Chaque jour, Jésus enseignait dans le temple, et chaque soir, il sortait et passait la nuit sur la montagne qu'on appelle le mont Olivet.
38	Tout le peuple venait de bon matin le trouver dans le temple pour l'écouter.
22	71
1	Or, la fête des pains sans levain, qu'on appelle la Pâque, approchait.
2	Les principaux sacrificateurs et les scribes cherchaient comment ils pourraient le faire mourir, car ils craignaient le peuple.
3	Satan entra dans Judas, appelé aussi Iscariote, qui était compté parmi les douze.
4	Il s'en alla, et s'entretint avec les principaux sacrificateurs et les chefs militaires sur la manière dont il pourrait le leur livrer.
5	Ils furent heureux, et convinrent de lui donner de l'argent.
6	Il y consentit et chercha une occasion de le leur livrer en l'absence de la foule.
7	Le jour des pains sans levain arriva, où l'on devait sacrifier la Pâque.
8	Jésus envoya Pierre et Jean, en disant: «Allez nous préparer la Pâque, afin que nous la mangions.»
9	Ils lui dirent: «Où veux-tu que nous nous préparions?»
10	Il leur dit: «Voici, quand vous serez entrés dans la ville, un homme portant une cruche d'eau viendra à votre rencontre. Suivez-le dans la maison où il entrera.
11	Dites au maître de la maison: «Le maître te dit: Où est la chambre d'amis où je pourrai manger la Pâque avec mes disciples?»
12	Il te montrera une grande chambre haute meublée. Fais-y tes préparatifs.»
13	Ils partirent, trouvèrent les choses comme Jésus le leur avait dit, et ils préparèrent la Pâque.
14	Lorsque l'heure fut venue, il s'assit avec les douze apôtres.
15	Il leur dit: «J'ai vivement désiré manger cette Pâque avec vous avant de souffrir,
16	car, je vous le dis, je n'en mangerai plus jusqu'à ce qu'elle soit accomplie dans le Royaume de Dieu.»
17	Il reçut une coupe, et, après avoir rendu grâces, il dit: «Prenez ceci et partagez-le entre vous,
18	car, je vous le dis, je ne boirai plus du tout du fruit de la vigne, jusqu'à ce que le Royaume de Dieu soit accompli.»
19	Il prit du pain, et, après avoir rendu grâces, il le rompit et le leur donna, en disant: «Ceci est mon corps, qui est donné pour vous. Faites ceci en mémoire de moi.»
20	De même, après le repas, il prit la coupe, en disant: «Cette coupe est la nouvelle alliance en mon sang, qui est répandu pour vous.
21	Mais voici, la main de celui qui me livre est avec moi sur la table.
22	Le Fils de l'homme s'en va, en effet, comme il a été décidé, mais malheur à l'homme par qui il est livré!»
23	Ils commencèrent à se demander entre eux lequel d'entre eux était celui qui ferait cette chose.
24	Une dispute s'éleva aussi entre eux, pour savoir lequel d'entre eux était considéré comme le plus grand.
25	Il leur dit: «Les rois des nations les dominent, et ceux qui ont autorité sur eux sont appelés «bienfaiteurs».
26	Mais il n'en est pas de même pour vous. Au contraire, que celui qui est le plus grand parmi vous devienne comme le plus jeune, et celui qui gouverne, comme celui qui sert.
27	Car qui est le plus grand, celui qui est assis à table, ou celui qui sert? N'est-ce pas celui qui est assis à la table? Mais moi, je suis au milieu de vous comme celui qui sert.
28	«Mais vous, vous êtes ceux qui ont persévéré avec moi dans mes épreuves.
29	Je vous confère un royaume, comme mon Père me l'a conféré,
30	afin que vous mangiez et buviez à ma table dans mon Royaume. Vous serez assis sur des trônes, et vous jugerez les douze tribus d'Israël.»
31	Le Seigneur dit: «Simon, Simon, voici que Satan a demandé à vous avoir tous, afin de vous cribler comme le blé,
32	mais j'ai prié pour toi, afin que ta foi ne défaille pas. Toi, quand tu te seras retourné, affermis tes frères.»
33	Il lui dit: «Seigneur, je suis prêt à aller avec toi en prison et à la mort!».
34	Il dit: «Je te le dis, Pierre, le coq ne chantera pas aujourd'hui avant que tu n'aies renié trois fois que tu me connais.»
35	Il leur dit: «Quand je vous ai envoyés sans bourse, sans sac et sans sandales, avez-vous manqué de quelque chose?». Ils ont dit: «Rien.»
36	Puis il leur dit: «Maintenant, si quelqu'un a une bourse, qu'il la prenne, ainsi qu'un sac. Si quelqu'un n'en a pas, qu'il vende son manteau et achète une épée.
37	Car, je vous le dis, il faut encore que s'accomplisse en moi ce qui est écrit: «Il a été compté parmi les transgresseurs». Car ce qui me concerne s'accomplit.»
38	Ils dirent: «Seigneur, voici deux épées.» Il leur a dit: «Ça suffit.»
39	Il sortit et alla, selon sa coutume, sur la montagne des Oliviers. Ses disciples le suivirent aussi.
40	Lorsqu'il fut arrivé à ce lieu, il leur dit: «Priez pour ne pas entrer en tentation.»
41	Il se retira d'eux à environ un jet de pierre, et, s'étant mis à genoux, il pria,
42	en disant: «Père, si tu le veux, éloigne de moi cette coupe. Cependant, que ce ne soit pas ma volonté qui se fasse, mais la tienne.»
43	Un ange du ciel lui apparut, et le fortifia.
44	Étant à l'agonie, il priait avec plus d'ardeur. Sa sueur devint comme de grosses gouttes de sang qui tombaient sur le sol.
45	S'étant levé après avoir prié, il vint vers les disciples et les trouva endormis à cause de la tristesse,
46	et il leur dit: «Pourquoi dormez-vous? Levez-vous et priez afin de ne pas entrer en tentation.»
47	Comme il parlait encore, une foule apparut. Celui qu'on appelait Judas, l'un des douze, était à leur tête. Il s'approcha de Jésus pour le baiser.
48	Mais Jésus lui dit: «Judas, est-ce par un baiser que tu trahis le Fils de l'homme?»
49	Ceux qui étaient autour de lui, voyant ce qui allait se passer, lui dirent: «Seigneur, devons-nous frapper par l'épée?»
50	Un certain nombre d'entre eux frappèrent le serviteur du grand prêtre, et lui coupèrent l'oreille droite.
51	Mais Jésus répondit: «Laissez-moi au moins faire ceci.» Il toucha son oreille et le guérit.
52	Jésus dit aux principaux sacrificateurs, aux chefs du temple et aux anciens, qui étaient venus contre lui: «Vous êtes sortis comme contre un brigand, avec des épées et des bâtons?
53	Lorsque j'étais chaque jour avec vous dans le temple, vous ne portiez pas la main sur moi. Mais voici votre heure, et la puissance des ténèbres.»
54	Ils se saisirent de lui, l'emmenèrent, et le conduisirent dans la maison du grand prêtre. Mais Pierre suivait à distance.
55	Lorsqu'ils eurent allumé un feu au milieu de la cour et se furent assis ensemble, Pierre s'assit au milieu d'eux.
56	Une servante le vit comme il était assis dans la lumière, et, le regardant attentivement, elle dit: «Cet homme aussi était avec lui.»
57	Il a renié Jésus, disant: «Femme, je ne le connais pas.»
58	Un peu plus tard, quelqu'un d'autre le vit et dit: «Toi aussi, tu es l'un d'entre eux!» Mais Pierre répondit: «Homme, je ne le suis pas!»
59	Après qu'une heure environ se soit écoulée, un autre affirma avec assurance: «En vérité, cet homme aussi était avec lui, car il est Galiléen!»
60	Mais Pierre dit: «Mon gars, je ne sais pas de quoi tu parles!» Aussitôt, alors qu'il parlait encore, un coq chanta.
61	Le Seigneur se retourna et regarda Pierre. Pierre se souvint alors de la parole du Seigneur, qui lui avait dit: «Avant que le coq chante, tu me renieras trois fois.»
62	Il sortit, et pleura amèrement.
63	Les hommes qui tenaient Jésus se moquaient de lui et le battaient.
64	Lui ayant bandé les yeux, ils le frappèrent au visage et lui demandèrent: «Prophétise! Qui est celui qui t'a frappé?»
65	Ils dirent encore beaucoup d'autres choses contre lui, en l'insultant.
66	Dès que le jour fut venu, l'assemblée des anciens du peuple se rassembla, les principaux sacrificateurs et les scribes, et ils l'emmenèrent dans leur conseil, en disant:
67	«Si tu es le Christ, dis-le nous.» Mais il leur dit: «Si je vous le dis, vous ne croirez pas,
68	et si je vous interroge, vous ne me répondrez pas et ne me laisserez pas partir.
69	Désormais, le Fils de l'homme sera assis à la droite de la puissance de Dieu.»
70	Ils dirent tous: «Es-tu donc le Fils de Dieu?» Il leur a dit: «Vous le dites, parce que je le suis.»
71	Ils dirent: «Pourquoi aurions-nous besoin d'un autre témoignage? Car nous avons nous-mêmes entendu de sa propre bouche!»
23	56
1	Toute la troupe se leva et l'amena devant Pilate.
2	Ils se mirent à l'accuser, en disant: «Nous avons trouvé cet homme qui pervertit la nation, qui interdit de payer les impôts à César, et qui dit qu'il est lui-même le Christ, un roi.»
3	Pilate lui demanda: «Es-tu le roi des Juifs?» Il lui répondit: «C'est ce que tu dis.»
4	Pilate dit aux chefs des prêtres et à la foule: «Je ne trouve aucun motif d'accusation contre cet homme.»
5	Mais ils insistèrent, disant: «Il excite le peuple, enseignant dans toute la Judée, depuis la Galilée jusqu'ici.»
6	Mais Pilate, ayant entendu parler de la Galilée, demanda si cet homme était Galiléen.
7	Ayant appris qu'il était dans la juridiction d'Hérode, il l'envoya à Hérode, qui était aussi à Jérusalem en ce temps-là.
8	Lorsque Hérode vit Jésus, il eut une grande joie, car il y avait longtemps qu'il désirait le voir, ayant entendu dire beaucoup de choses sur lui. Il espérait voir quelque miracle accompli par lui.
9	Il l'interrogea avec beaucoup de mots, mais il ne répondit pas.
10	Les chefs des prêtres et les scribes, debout, l'accusaient avec véhémence.
11	Hérode et ses soldats l'humiliaient et se moquaient de lui. Après l'avoir revêtu de vêtements de luxe, ils le renvoyèrent à Pilate.
12	Ce jour-là, Hérode et Pilate se lièrent d'amitié, car ils étaient auparavant ennemis l'un de l'autre.
13	Pilate convoqua les principaux sacrificateurs, les magistrats et le peuple,
14	et leur dit: Tu m'as amené cet homme comme étant un homme qui pervertit le peuple; or, après l'avoir examiné devant vous, je n'ai trouvé aucun motif d'accusation contre cet homme au sujet des choses dont tu l'accuses.
15	Hérode non plus, car je t'ai envoyé vers lui, et voici, il n'a rien fait de digne de mort.
16	Je vais donc le châtier et le relâcher.»
17	Or, il devait leur relâcher un prisonnier à l'occasion de la fête.
18	Mais ils s'écrièrent tous ensemble: «Lâchez cet homme! Relâchez-nous Barabbas,
19	qui avait été jeté en prison pour une révolte dans la ville et pour un meurtre.»
20	Alors Pilate leur parla de nouveau, voulant relâcher Jésus,
21	mais ils crièrent: «Crucifie! Crucifie-le!»
